context: It happened! response:	It actually happened!
context: Wait, your birthday's on New Year's Eve?\Chizu-chan, Ayane-chan, um...\Do you think we could meet over the winter holiday too?\When you're bored.\When you're really bored.\Only if you don't mind.\You idiot, of course we can.\You scared me, why would you bring that up now? response:	We can get in contact easier now too.
context: Chizu-chan, Ayane-chan, um...\Do you think we could meet over the winter holiday too?\When you're bored.\When you're really bored.\Only if you don't mind.\You idiot, of course we can.\You scared me, why would you bring that up now?\We can get in contact easier now too. response:	I don't have to wait until the third semester!
context: Do you think we could meet over the winter holiday too?\When you're bored.\When you're really bored.\Only if you don't mind.\You idiot, of course we can.\You scared me, why would you bring that up now?\We can get in contact easier now too.\I don't have to wait until the third semester! response:	I always go to the shrine with Ryu on New Year's.
context: When you're bored.\When you're really bored.\Only if you don't mind.\You idiot, of course we can.\You scared me, why would you bring that up now?\We can get in contact easier now too.\I don't have to wait until the third semester!\I always go to the shrine with Ryu on New Year's. response:	You guys want to join us this year?
context: When you're really bored.\Only if you don't mind.\You idiot, of course we can.\You scared me, why would you bring that up now?\We can get in contact easier now too.\I don't have to wait until the third semester!\I always go to the shrine with Ryu on New Year's.\You guys want to join us this year? response:	Sure.
context: Only if you don't mind.\You idiot, of course we can.\You scared me, why would you bring that up now?\We can get in contact easier now too.\I don't have to wait until the third semester!\I always go to the shrine with Ryu on New Year's.\You guys want to join us this year?\Sure. response:	I can see everyone on New Year's.
context: You idiot, of course we can.\You scared me, why would you bring that up now?\We can get in contact easier now too.\I don't have to wait until the third semester!\I always go to the shrine with Ryu on New Year's.\You guys want to join us this year?\Sure.\I can see everyone on New Year's. response:	I want to go!
context: You scared me, why would you bring that up now?\We can get in contact easier now too.\I don't have to wait until the third semester!\I always go to the shrine with Ryu on New Year's.\You guys want to join us this year?\Sure.\I can see everyone on New Year's.\I want to go! response:	Wait, I'll check.
context: We can get in contact easier now too.\I don't have to wait until the third semester!\I always go to the shrine with Ryu on New Year's.\You guys want to join us this year?\Sure.\I can see everyone on New Year's.\I want to go!\Wait, I'll check. response:	So fast.
context: I don't have to wait until the third semester!\I always go to the shrine with Ryu on New Year's.\You guys want to join us this year?\Sure.\I can see everyone on New Year's.\I want to go!\Wait, I'll check.\So fast. response:	With Chizu-chan and Ayane-chan? Sounds good.
context: I always go to the shrine with Ryu on New Year's.\You guys want to join us this year?\Sure.\I can see everyone on New Year's.\I want to go!\Wait, I'll check.\So fast.\With Chizu-chan and Ayane-chan? Sounds good. response:	Ask Dad when he gets home.
context: You guys want to join us this year?\Sure.\I can see everyone on New Year's.\I want to go!\Wait, I'll check.\So fast.\With Chizu-chan and Ayane-chan? Sounds good.\Ask Dad when he gets home. response:	He feels bad about yesterday. He won't say no.
context: Sure.\I can see everyone on New Year's.\I want to go!\Wait, I'll check.\So fast.\With Chizu-chan and Ayane-chan? Sounds good.\Ask Dad when he gets home.\He feels bad about yesterday. He won't say no. response:	Yes!
context: I can see everyone on New Year's.\I want to go!\Wait, I'll check.\So fast.\With Chizu-chan and Ayane-chan? Sounds good.\Ask Dad when he gets home.\He feels bad about yesterday. He won't say no.\Yes! response:	Was it that bad yesterday?
context: I want to go!\Wait, I'll check.\So fast.\With Chizu-chan and Ayane-chan? Sounds good.\Ask Dad when he gets home.\He feels bad about yesterday. He won't say no.\Yes!\Was it that bad yesterday? response:	I get to see them,
context: Wait, I'll check.\So fast.\With Chizu-chan and Ayane-chan? Sounds good.\Ask Dad when he gets home.\He feels bad about yesterday. He won't say no.\Yes!\Was it that bad yesterday?\I get to see them, response:	on New Year's Eve.
context: So fast.\With Chizu-chan and Ayane-chan? Sounds good.\Ask Dad when he gets home.\He feels bad about yesterday. He won't say no.\Yes!\Was it that bad yesterday?\I get to see them,\on New Year's Eve. response:	On my 16th birthday.
context: With Chizu-chan and Ayane-chan? Sounds good.\Ask Dad when he gets home.\He feels bad about yesterday. He won't say no.\Yes!\Was it that bad yesterday?\I get to see them,\on New Year's Eve.\On my 16th birthday. response:	I get to be with everyone.
context: Ask Dad when he gets home.\He feels bad about yesterday. He won't say no.\Yes!\Was it that bad yesterday?\I get to see them,\on New Year's Eve.\On my 16th birthday.\I get to be with everyone. response:	Do you have Kazehaya's phone number?
context: He feels bad about yesterday. He won't say no.\Yes!\Was it that bad yesterday?\I get to see them,\on New Year's Eve.\On my 16th birthday.\I get to be with everyone.\Do you have Kazehaya's phone number? response:	I got it when I met him yesterday.
context: Yes!\Was it that bad yesterday?\I get to see them,\on New Year's Eve.\On my 16th birthday.\I get to be with everyone.\Do you have Kazehaya's phone number?\I got it when I met him yesterday. response:	Have you called him yet?
context: Was it that bad yesterday?\I get to see them,\on New Year's Eve.\On my 16th birthday.\I get to be with everyone.\Do you have Kazehaya's phone number?\I got it when I met him yesterday.\Have you called him yet? response:	I don't have a reason to.
context: I get to see them,\on New Year's Eve.\On my 16th birthday.\I get to be with everyone.\Do you have Kazehaya's phone number?\I got it when I met him yesterday.\Have you called him yet?\I don't have a reason to. response:	You do now.
context: on New Year's Eve.\On my 16th birthday.\I get to be with everyone.\Do you have Kazehaya's phone number?\I got it when I met him yesterday.\Have you called him yet?\I don't have a reason to.\You do now. response:	At this rate, it'll be just Chizu, Ryu, you and me.
context: On my 16th birthday.\I get to be with everyone.\Do you have Kazehaya's phone number?\I got it when I met him yesterday.\Have you called him yet?\I don't have a reason to.\You do now.\At this rate, it'll be just Chizu, Ryu, you and me. response:	I don't mind, but if you want to see Kazehaya, you better invite him yourself.
context: I get to be with everyone.\Do you have Kazehaya's phone number?\I got it when I met him yesterday.\Have you called him yet?\I don't have a reason to.\You do now.\At this rate, it'll be just Chizu, Ryu, you and me.\I don't mind, but if you want to see Kazehaya, you better invite him yourself. response:	Invite him?
context: Do you have Kazehaya's phone number?\I got it when I met him yesterday.\Have you called him yet?\I don't have a reason to.\You do now.\At this rate, it'll be just Chizu, Ryu, you and me.\I don't mind, but if you want to see Kazehaya, you better invite him yourself.\Invite him? response:	You better call him now, or he'll have different plans.
context: I got it when I met him yesterday.\Have you called him yet?\I don't have a reason to.\You do now.\At this rate, it'll be just Chizu, Ryu, you and me.\I don't mind, but if you want to see Kazehaya, you better invite him yourself.\Invite him?\You better call him now, or he'll have different plans. response:	I'm not forcing you.
context: Have you called him yet?\I don't have a reason to.\You do now.\At this rate, it'll be just Chizu, Ryu, you and me.\I don't mind, but if you want to see Kazehaya, you better invite him yourself.\Invite him?\You better call him now, or he'll have different plans.\I'm not forcing you. response:	Just if you want to see him.
context: I don't have a reason to.\You do now.\At this rate, it'll be just Chizu, Ryu, you and me.\I don't mind, but if you want to see Kazehaya, you better invite him yourself.\Invite him?\You better call him now, or he'll have different plans.\I'm not forcing you.\Just if you want to see him. response:	If I don't call him now, I won't see him until the third semester.
context: You do now.\At this rate, it'll be just Chizu, Ryu, you and me.\I don't mind, but if you want to see Kazehaya, you better invite him yourself.\Invite him?\You better call him now, or he'll have different plans.\I'm not forcing you.\Just if you want to see him.\If I don't call him now, I won't see him until the third semester. response:	I-I don't know his email address.
context: At this rate, it'll be just Chizu, Ryu, you and me.\I don't mind, but if you want to see Kazehaya, you better invite him yourself.\Invite him?\You better call him now, or he'll have different plans.\I'm not forcing you.\Just if you want to see him.\If I don't call him now, I won't see him until the third semester.\I-I don't know his email address. response:	So I'll call.
context: I don't mind, but if you want to see Kazehaya, you better invite him yourself.\Invite him?\You better call him now, or he'll have different plans.\I'm not forcing you.\Just if you want to see him.\If I don't call him now, I won't see him until the third semester.\I-I don't know his email address.\So I'll call. response:	Hello? It's Kuronuma.
context: Invite him?\You better call him now, or he'll have different plans.\I'm not forcing you.\Just if you want to see him.\If I don't call him now, I won't see him until the third semester.\I-I don't know his email address.\So I'll call.\Hello? It's Kuronuma. response:	Hello? It's Kuronuma.
context: You better call him now, or he'll have different plans.\I'm not forcing you.\Just if you want to see him.\If I don't call him now, I won't see him until the third semester.\I-I don't know his email address.\So I'll call.\Hello? It's Kuronuma.\Hello? It's Kuronuma. response:	New Year's Eve Festival.
context: I'm not forcing you.\Just if you want to see him.\If I don't call him now, I won't see him until the third semester.\I-I don't know his email address.\So I'll call.\Hello? It's Kuronuma.\Hello? It's Kuronuma.\New Year's Eve Festival. response:	Breathe.
context: Just if you want to see him.\If I don't call him now, I won't see him until the third semester.\I-I don't know his email address.\So I'll call.\Hello? It's Kuronuma.\Hello? It's Kuronuma.\New Year's Eve Festival.\Breathe. response:	Now I'm getting nervous too.
context: If I don't call him now, I won't see him until the third semester.\I-I don't know his email address.\So I'll call.\Hello? It's Kuronuma.\Hello? It's Kuronuma.\New Year's Eve Festival.\Breathe.\Now I'm getting nervous too. response:	It'll be nice if I can see him.
context: I-I don't know his email address.\So I'll call.\Hello? It's Kuronuma.\Hello? It's Kuronuma.\New Year's Eve Festival.\Breathe.\Now I'm getting nervous too.\It'll be nice if I can see him. response:	I'll be so happy.
context: So I'll call.\Hello? It's Kuronuma.\Hello? It's Kuronuma.\New Year's Eve Festival.\Breathe.\Now I'm getting nervous too.\It'll be nice if I can see him.\I'll be so happy. response:	Go me.
context: Hello? It's Kuronuma.\Hello? It's Kuronuma.\New Year's Eve Festival.\Breathe.\Now I'm getting nervous too.\It'll be nice if I can see him.\I'll be so happy.\Go me. response:	Hello?
context: Hello? It's Kuronuma.\New Year's Eve Festival.\Breathe.\Now I'm getting nervous too.\It'll be nice if I can see him.\I'll be so happy.\Go me.\Hello? response:	I-It's me, Kuronuma.
context: New Year's Eve Festival.\Breathe.\Now I'm getting nervous too.\It'll be nice if I can see him.\I'll be so happy.\Go me.\Hello?\I-It's me, Kuronuma. response:	Do you want to come to the New Year's Festival at the shrine?
context: Breathe.\Now I'm getting nervous too.\It'll be nice if I can see him.\I'll be so happy.\Go me.\Hello?\I-It's me, Kuronuma.\Do you want to come to the New Year's Festival at the shrine? response:	It'll be Chizu-chan, Ayane-chan, Sanada-kun and me.
context: Now I'm getting nervous too.\It'll be nice if I can see him.\I'll be so happy.\Go me.\Hello?\I-It's me, Kuronuma.\Do you want to come to the New Year's Festival at the shrine?\It'll be Chizu-chan, Ayane-chan, Sanada-kun and me. response:	I'm bored.
context: It'll be nice if I can see him.\I'll be so happy.\Go me.\Hello?\I-It's me, Kuronuma.\Do you want to come to the New Year's Festival at the shrine?\It'll be Chizu-chan, Ayane-chan, Sanada-kun and me.\I'm bored. response:	I mean, if you're bored.
context: I'll be so happy.\Go me.\Hello?\I-It's me, Kuronuma.\Do you want to come to the New Year's Festival at the shrine?\It'll be Chizu-chan, Ayane-chan, Sanada-kun and me.\I'm bored.\I mean, if you're bored. response:	I'll come.
context: Go me.\Hello?\I-It's me, Kuronuma.\Do you want to come to the New Year's Festival at the shrine?\It'll be Chizu-chan, Ayane-chan, Sanada-kun and me.\I'm bored.\I mean, if you're bored.\I'll come. response:	Yoshida, Yano, Ryu and you, right?
context: Hello?\I-It's me, Kuronuma.\Do you want to come to the New Year's Festival at the shrine?\It'll be Chizu-chan, Ayane-chan, Sanada-kun and me.\I'm bored.\I mean, if you're bored.\I'll come.\Yoshida, Yano, Ryu and you, right? response:	I won't get in your way.
context: I-It's me, Kuronuma.\Do you want to come to the New Year's Festival at the shrine?\It'll be Chizu-chan, Ayane-chan, Sanada-kun and me.\I'm bored.\I mean, if you're bored.\I'll come.\Yoshida, Yano, Ryu and you, right?\I won't get in your way. response:	I'll come.
context: Do you want to come to the New Year's Festival at the shrine?\It'll be Chizu-chan, Ayane-chan, Sanada-kun and me.\I'm bored.\I mean, if you're bored.\I'll come.\Yoshida, Yano, Ryu and you, right?\I won't get in your way.\I'll come. response:	I'm looking forward to it.
context: It'll be Chizu-chan, Ayane-chan, Sanada-kun and me.\I'm bored.\I mean, if you're bored.\I'll come.\Yoshida, Yano, Ryu and you, right?\I won't get in your way.\I'll come.\I'm looking forward to it. response:	He says he's looking forward to it.
context: I'm bored.\I mean, if you're bored.\I'll come.\Yoshida, Yano, Ryu and you, right?\I won't get in your way.\I'll come.\I'm looking forward to it.\He says he's looking forward to it. response:	That's good.
context: I mean, if you're bored.\I'll come.\Yoshida, Yano, Ryu and you, right?\I won't get in your way.\I'll come.\I'm looking forward to it.\He says he's looking forward to it.\That's good. response:	Of course he is.
context: I'll come.\Yoshida, Yano, Ryu and you, right?\I won't get in your way.\I'll come.\I'm looking forward to it.\He says he's looking forward to it.\That's good.\Of course he is. response:	I'll get to see him.
context: Yoshida, Yano, Ryu and you, right?\I won't get in your way.\I'll come.\I'm looking forward to it.\He says he's looking forward to it.\That's good.\Of course he is.\I'll get to see him. response:	On my birthday, too.
context: I won't get in your way.\I'll come.\I'm looking forward to it.\He says he's looking forward to it.\That's good.\Of course he is.\I'll get to see him.\On my birthday, too. response:	I get to see him.
context: I'll come.\I'm looking forward to it.\He says he's looking forward to it.\That's good.\Of course he is.\I'll get to see him.\On my birthday, too.\I get to see him. response:	Now then...
context: I'm looking forward to it.\He says he's looking forward to it.\That's good.\Of course he is.\I'll get to see him.\On my birthday, too.\I get to see him.\Now then... response:	It's like a dream.
context: He says he's looking forward to it.\That's good.\Of course he is.\I'll get to see him.\On my birthday, too.\I get to see him.\Now then...\It's like a dream. response:	Time flies, and it's December 31st.
context: That's good.\Of course he is.\I'll get to see him.\On my birthday, too.\I get to see him.\Now then...\It's like a dream.\Time flies, and it's December 31st. response:	Don't worry about cleaning up.
context: Of course he is.\I'll get to see him.\On my birthday, too.\I get to see him.\Now then...\It's like a dream.\Time flies, and it's December 31st.\Don't worry about cleaning up. response:	Aren't Chizu-chan and Ayane-chan coming soon?
context: I'll get to see him.\On my birthday, too.\I get to see him.\Now then...\It's like a dream.\Time flies, and it's December 31st.\Don't worry about cleaning up.\Aren't Chizu-chan and Ayane-chan coming soon? response:	Right, it's not good to make your friends wait.
context: On my birthday, too.\I get to see him.\Now then...\It's like a dream.\Time flies, and it's December 31st.\Don't worry about cleaning up.\Aren't Chizu-chan and Ayane-chan coming soon?\Right, it's not good to make your friends wait. response:	Okay, thanks.
context: I get to see him.\Now then...\It's like a dream.\Time flies, and it's December 31st.\Don't worry about cleaning up.\Aren't Chizu-chan and Ayane-chan coming soon?\Right, it's not good to make your friends wait.\Okay, thanks. response:	I'll wear the poncho you got me.
context: Now then...\It's like a dream.\Time flies, and it's December 31st.\Don't worry about cleaning up.\Aren't Chizu-chan and Ayane-chan coming soon?\Right, it's not good to make your friends wait.\Okay, thanks.\I'll wear the poncho you got me. response:	New Year's Eve Festival with your friends, huh?
context: It's like a dream.\Time flies, and it's December 31st.\Don't worry about cleaning up.\Aren't Chizu-chan and Ayane-chan coming soon?\Right, it's not good to make your friends wait.\Okay, thanks.\I'll wear the poncho you got me.\New Year's Eve Festival with your friends, huh? response:	Huh? Chizu-chan and Ayane-chan are friends, but Sanada-kun and Kazehaya-kun... are they my friends?
context: Time flies, and it's December 31st.\Don't worry about cleaning up.\Aren't Chizu-chan and Ayane-chan coming soon?\Right, it's not good to make your friends wait.\Okay, thanks.\I'll wear the poncho you got me.\New Year's Eve Festival with your friends, huh?\Huh? Chizu-chan and Ayane-chan are friends, but Sanada-kun and Kazehaya-kun... are they my friends? response:	Especially Kazehaya-kun.
context: Don't worry about cleaning up.\Aren't Chizu-chan and Ayane-chan coming soon?\Right, it's not good to make your friends wait.\Okay, thanks.\I'll wear the poncho you got me.\New Year's Eve Festival with your friends, huh?\Huh? Chizu-chan and Ayane-chan are friends, but Sanada-kun and Kazehaya-kun... are they my friends?\Especially Kazehaya-kun. response:	We're here.
context: Aren't Chizu-chan and Ayane-chan coming soon?\Right, it's not good to make your friends wait.\Okay, thanks.\I'll wear the poncho you got me.\New Year's Eve Festival with your friends, huh?\Huh? Chizu-chan and Ayane-chan are friends, but Sanada-kun and Kazehaya-kun... are they my friends?\Especially Kazehaya-kun.\We're here. response:	Good evening.
context: Right, it's not good to make your friends wait.\Okay, thanks.\I'll wear the poncho you got me.\New Year's Eve Festival with your friends, huh?\Huh? Chizu-chan and Ayane-chan are friends, but Sanada-kun and Kazehaya-kun... are they my friends?\Especially Kazehaya-kun.\We're here.\Good evening. response:	You're here early.
context: Okay, thanks.\I'll wear the poncho you got me.\New Year's Eve Festival with your friends, huh?\Huh? Chizu-chan and Ayane-chan are friends, but Sanada-kun and Kazehaya-kun... are they my friends?\Especially Kazehaya-kun.\We're here.\Good evening.\You're here early. response:	Come in.
context: I'll wear the poncho you got me.\New Year's Eve Festival with your friends, huh?\Huh? Chizu-chan and Ayane-chan are friends, but Sanada-kun and Kazehaya-kun... are they my friends?\Especially Kazehaya-kun.\We're here.\Good evening.\You're here early.\Come in. response:	Thanks.
context: New Year's Eve Festival with your friends, huh?\Huh? Chizu-chan and Ayane-chan are friends, but Sanada-kun and Kazehaya-kun... are they my friends?\Especially Kazehaya-kun.\We're here.\Good evening.\You're here early.\Come in.\Thanks. response:	I'll go get my coat.
context: Huh? Chizu-chan and Ayane-chan are friends, but Sanada-kun and Kazehaya-kun... are they my friends?\Especially Kazehaya-kun.\We're here.\Good evening.\You're here early.\Come in.\Thanks.\I'll go get my coat. response:	Actually, can we come up to your room?
context: Especially Kazehaya-kun.\We're here.\Good evening.\You're here early.\Come in.\Thanks.\I'll go get my coat.\Actually, can we come up to your room? response:	Sure.
context: We're here.\Good evening.\You're here early.\Come in.\Thanks.\I'll go get my coat.\Actually, can we come up to your room?\Sure. response:	Huh?
context: Good evening.\You're here early.\Come in.\Thanks.\I'll go get my coat.\Actually, can we come up to your room?\Sure.\Huh? response:	W-What's happening?
context: You're here early.\Come in.\Thanks.\I'll go get my coat.\Actually, can we come up to your room?\Sure.\Huh?\W-What's happening? response:	Don't move.
context: Come in.\Thanks.\I'll go get my coat.\Actually, can we come up to your room?\Sure.\Huh?\W-What's happening?\Don't move. response:	Sorry.
context: Thanks.\I'll go get my coat.\Actually, can we come up to your room?\Sure.\Huh?\W-What's happening?\Don't move.\Sorry. response:	Don't worry.
context: I'll go get my coat.\Actually, can we come up to your room?\Sure.\Huh?\W-What's happening?\Don't move.\Sorry.\Don't worry. response:	You can hardly tell you're wearing anything.
context: Actually, can we come up to your room?\Sure.\Huh?\W-What's happening?\Don't move.\Sorry.\Don't worry.\You can hardly tell you're wearing anything. response:	Okay, eyelids.
context: Sure.\Huh?\W-What's happening?\Don't move.\Sorry.\Don't worry.\You can hardly tell you're wearing anything.\Okay, eyelids. response:	Like this?
context: Huh?\W-What's happening?\Don't move.\Sorry.\Don't worry.\You can hardly tell you're wearing anything.\Okay, eyelids.\Like this? response:	Don't close your eyes.
context: W-What's happening?\Don't move.\Sorry.\Don't worry.\You can hardly tell you're wearing anything.\Okay, eyelids.\Like this?\Don't close your eyes. response:	You wished you were cute when you met Kurumi, didn't you?
context: Don't move.\Sorry.\Don't worry.\You can hardly tell you're wearing anything.\Okay, eyelids.\Like this?\Don't close your eyes.\You wished you were cute when you met Kurumi, didn't you? response:	Think about why you want to be cute.
context: Sorry.\Don't worry.\You can hardly tell you're wearing anything.\Okay, eyelids.\Like this?\Don't close your eyes.\You wished you were cute when you met Kurumi, didn't you?\Think about why you want to be cute. response:	Done.
context: Don't worry.\You can hardly tell you're wearing anything.\Okay, eyelids.\Like this?\Don't close your eyes.\You wished you were cute when you met Kurumi, didn't you?\Think about why you want to be cute.\Done. response:	Almost done here too.
context: You can hardly tell you're wearing anything.\Okay, eyelids.\Like this?\Don't close your eyes.\You wished you were cute when you met Kurumi, didn't you?\Think about why you want to be cute.\Done.\Almost done here too. response:	This is from Yano-chin and me.
context: Okay, eyelids.\Like this?\Don't close your eyes.\You wished you were cute when you met Kurumi, didn't you?\Think about why you want to be cute.\Done.\Almost done here too.\This is from Yano-chin and me. response:	Happy birthday, Sawako.
context: Like this?\Don't close your eyes.\You wished you were cute when you met Kurumi, didn't you?\Think about why you want to be cute.\Done.\Almost done here too.\This is from Yano-chin and me.\Happy birthday, Sawako. response:	Cute.
context: Don't close your eyes.\You wished you were cute when you met Kurumi, didn't you?\Think about why you want to be cute.\Done.\Almost done here too.\This is from Yano-chin and me.\Happy birthday, Sawako.\Cute. response:	We're awesome.
context: You wished you were cute when you met Kurumi, didn't you?\Think about why you want to be cute.\Done.\Almost done here too.\This is from Yano-chin and me.\Happy birthday, Sawako.\Cute.\We're awesome. response:	Nice.
context: Think about why you want to be cute.\Done.\Almost done here too.\This is from Yano-chin and me.\Happy birthday, Sawako.\Cute.\We're awesome.\Nice. response:	That hairpin looks good on you too.
context: Done.\Almost done here too.\This is from Yano-chin and me.\Happy birthday, Sawako.\Cute.\We're awesome.\Nice.\That hairpin looks good on you too. response:	Stop!
context: Almost done here too.\This is from Yano-chin and me.\Happy birthday, Sawako.\Cute.\We're awesome.\Nice.\That hairpin looks good on you too.\Stop! response:	Don't cry! Don't!
context: This is from Yano-chin and me.\Happy birthday, Sawako.\Cute.\We're awesome.\Nice.\That hairpin looks good on you too.\Stop!\Don't cry! Don't! response:	I'm not going to ruin their efforts.
context: Happy birthday, Sawako.\Cute.\We're awesome.\Nice.\That hairpin looks good on you too.\Stop!\Don't cry! Don't!\I'm not going to ruin their efforts. response:	She's even scarier with make-up.
context: Cute.\We're awesome.\Nice.\That hairpin looks good on you too.\Stop!\Don't cry! Don't!\I'm not going to ruin their efforts.\She's even scarier with make-up. response:	Thanks.
context: We're awesome.\Nice.\That hairpin looks good on you too.\Stop!\Don't cry! Don't!\I'm not going to ruin their efforts.\She's even scarier with make-up.\Thanks. response:	Thanks.
context: Nice.\That hairpin looks good on you too.\Stop!\Don't cry! Don't!\I'm not going to ruin their efforts.\She's even scarier with make-up.\Thanks.\Thanks. response:	I'm so, so happy.
context: That hairpin looks good on you too.\Stop!\Don't cry! Don't!\I'm not going to ruin their efforts.\She's even scarier with make-up.\Thanks.\Thanks.\I'm so, so happy. response:	So many good things happened since I met you two this year.
context: Stop!\Don't cry! Don't!\I'm not going to ruin their efforts.\She's even scarier with make-up.\Thanks.\Thanks.\I'm so, so happy.\So many good things happened since I met you two this year. response:	Okay...
context: Don't cry! Don't!\I'm not going to ruin their efforts.\She's even scarier with make-up.\Thanks.\Thanks.\I'm so, so happy.\So many good things happened since I met you two this year.\Okay... response:	We're pretty close to where we're supposed to meet.
context: I'm not going to ruin their efforts.\She's even scarier with make-up.\Thanks.\Thanks.\I'm so, so happy.\So many good things happened since I met you two this year.\Okay...\We're pretty close to where we're supposed to meet. response:	Let's go, Chizu.
context: She's even scarier with make-up.\Thanks.\Thanks.\I'm so, so happy.\So many good things happened since I met you two this year.\Okay...\We're pretty close to where we're supposed to meet.\Let's go, Chizu. response:	Good thinking, Yano-chin.
context: Thanks.\Thanks.\I'm so, so happy.\So many good things happened since I met you two this year.\Okay...\We're pretty close to where we're supposed to meet.\Let's go, Chizu.\Good thinking, Yano-chin. response:	We'll get going now.
context: Thanks.\I'm so, so happy.\So many good things happened since I met you two this year.\Okay...\We're pretty close to where we're supposed to meet.\Let's go, Chizu.\Good thinking, Yano-chin.\We'll get going now. response:	Have fun with Kazehaya.
context: I'm so, so happy.\So many good things happened since I met you two this year.\Okay...\We're pretty close to where we're supposed to meet.\Let's go, Chizu.\Good thinking, Yano-chin.\We'll get going now.\Have fun with Kazehaya. response:	Wait, where are you going?
context: So many good things happened since I met you two this year.\Okay...\We're pretty close to where we're supposed to meet.\Let's go, Chizu.\Good thinking, Yano-chin.\We'll get going now.\Have fun with Kazehaya.\Wait, where are you going? response:	Don't worry about us.
context: Okay...\We're pretty close to where we're supposed to meet.\Let's go, Chizu.\Good thinking, Yano-chin.\We'll get going now.\Have fun with Kazehaya.\Wait, where are you going?\Don't worry about us. response:	Ryu's not coming either, by the way.
context: We're pretty close to where we're supposed to meet.\Let's go, Chizu.\Good thinking, Yano-chin.\We'll get going now.\Have fun with Kazehaya.\Wait, where are you going?\Don't worry about us.\Ryu's not coming either, by the way. response:	Give us a status report later.
context: Let's go, Chizu.\Good thinking, Yano-chin.\We'll get going now.\Have fun with Kazehaya.\Wait, where are you going?\Don't worry about us.\Ryu's not coming either, by the way.\Give us a status report later. response:	Why so serious? You're the one that invited him.
context: Good thinking, Yano-chin.\We'll get going now.\Have fun with Kazehaya.\Wait, where are you going?\Don't worry about us.\Ryu's not coming either, by the way.\Give us a status report later.\Why so serious? You're the one that invited him. response:	This is why Chizu-chan and Ayane-chan wanted to make me as cute as they could.
context: We'll get going now.\Have fun with Kazehaya.\Wait, where are you going?\Don't worry about us.\Ryu's not coming either, by the way.\Give us a status report later.\Why so serious? You're the one that invited him.\This is why Chizu-chan and Ayane-chan wanted to make me as cute as they could. response:	Ryu's not here yet.
context: Have fun with Kazehaya.\Wait, where are you going?\Don't worry about us.\Ryu's not coming either, by the way.\Give us a status report later.\Why so serious? You're the one that invited him.\This is why Chizu-chan and Ayane-chan wanted to make me as cute as they could.\Ryu's not here yet. response:	Where's Yoshida and Yano?
context: Wait, where are you going?\Don't worry about us.\Ryu's not coming either, by the way.\Give us a status report later.\Why so serious? You're the one that invited him.\This is why Chizu-chan and Ayane-chan wanted to make me as cute as they could.\Ryu's not here yet.\Where's Yoshida and Yano? response:	They're not coming.
context: Don't worry about us.\Ryu's not coming either, by the way.\Give us a status report later.\Why so serious? You're the one that invited him.\This is why Chizu-chan and Ayane-chan wanted to make me as cute as they could.\Ryu's not here yet.\Where's Yoshida and Yano?\They're not coming. response:	Neither is Sanada-kun.
context: Ryu's not coming either, by the way.\Give us a status report later.\Why so serious? You're the one that invited him.\This is why Chizu-chan and Ayane-chan wanted to make me as cute as they could.\Ryu's not here yet.\Where's Yoshida and Yano?\They're not coming.\Neither is Sanada-kun. response:	I wonder if I disappointed him.
context: Give us a status report later.\Why so serious? You're the one that invited him.\This is why Chizu-chan and Ayane-chan wanted to make me as cute as they could.\Ryu's not here yet.\Where's Yoshida and Yano?\They're not coming.\Neither is Sanada-kun.\I wonder if I disappointed him. response:	Is he upset?
context: Why so serious? You're the one that invited him.\This is why Chizu-chan and Ayane-chan wanted to make me as cute as they could.\Ryu's not here yet.\Where's Yoshida and Yano?\They're not coming.\Neither is Sanada-kun.\I wonder if I disappointed him.\Is he upset? response:	He might leave.
context: This is why Chizu-chan and Ayane-chan wanted to make me as cute as they could.\Ryu's not here yet.\Where's Yoshida and Yano?\They're not coming.\Neither is Sanada-kun.\I wonder if I disappointed him.\Is he upset?\He might leave. response:	Let's go.
context: Ryu's not here yet.\Where's Yoshida and Yano?\They're not coming.\Neither is Sanada-kun.\I wonder if I disappointed him.\Is he upset?\He might leave.\Let's go. response:	December 31st.
context: Where's Yoshida and Yano?\They're not coming.\Neither is Sanada-kun.\I wonder if I disappointed him.\Is he upset?\He might leave.\Let's go.\December 31st. response:	Thirty minutes until the new year.
context: They're not coming.\Neither is Sanada-kun.\I wonder if I disappointed him.\Is he upset?\He might leave.\Let's go.\December 31st.\Thirty minutes until the new year. response:	Words woven
context: Neither is Sanada-kun.\I wonder if I disappointed him.\Is he upset?\He might leave.\Let's go.\December 31st.\Thirty minutes until the new year.\Words woven response:	on a night lit by snow.
context: I wonder if I disappointed him.\Is he upset?\He might leave.\Let's go.\December 31st.\Thirty minutes until the new year.\Words woven\on a night lit by snow. response:	Next episode: Birthday
