context: W- what is this!? response:	I- it's Son Goku's boy...
context: with a battle power of just a bit more than a thousand!\What should we do? Put this planet on hold and go there?\They mentioned something... interesting, didn't they?\Dragon... balls, or something.\Yeah. It sounds like they can grant any wish.\All right then, let's go.\We're going to bring Raditz back to life, right?\Don't make jokes! We don't need that good-for-nothing any more. response:	We won't ever grow any older,
context: What should we do? Put this planet on hold and go there?\They mentioned something... interesting, didn't they?\Dragon... balls, or something.\Yeah. It sounds like they can grant any wish.\All right then, let's go.\We're going to bring Raditz back to life, right?\Don't make jokes! We don't need that good-for-nothing any more.\We won't ever grow any older, response:	but instead have eternal youth. How does that sound?
context: They mentioned something... interesting, didn't they?\Dragon... balls, or something.\Yeah. It sounds like they can grant any wish.\All right then, let's go.\We're going to bring Raditz back to life, right?\Don't make jokes! We don't need that good-for-nothing any more.\We won't ever grow any older,\but instead have eternal youth. How does that sound? response:	If that were so, we could enjoy fighting forever!
context: Dragon... balls, or something.\Yeah. It sounds like they can grant any wish.\All right then, let's go.\We're going to bring Raditz back to life, right?\Don't make jokes! We don't need that good-for-nothing any more.\We won't ever grow any older,\but instead have eternal youth. How does that sound?\If that were so, we could enjoy fighting forever! response:	I get you. That would be great!
context: Yeah. It sounds like they can grant any wish.\All right then, let's go.\We're going to bring Raditz back to life, right?\Don't make jokes! We don't need that good-for-nothing any more.\We won't ever grow any older,\but instead have eternal youth. How does that sound?\If that were so, we could enjoy fighting forever!\I get you. That would be great! response:	That's how it happened.
context: All right then, let's go.\We're going to bring Raditz back to life, right?\Don't make jokes! We don't need that good-for-nothing any more.\We won't ever grow any older,\but instead have eternal youth. How does that sound?\If that were so, we could enjoy fighting forever!\I get you. That would be great!\That's how it happened. response:	I- I see...
context: We're going to bring Raditz back to life, right?\Don't make jokes! We don't need that good-for-nothing any more.\We won't ever grow any older,\but instead have eternal youth. How does that sound?\If that were so, we could enjoy fighting forever!\I get you. That would be great!\That's how it happened.\I- I see... response:	Goku! Goku, I say!
context: Don't make jokes! We don't need that good-for-nothing any more.\We won't ever grow any older,\but instead have eternal youth. How does that sound?\If that were so, we could enjoy fighting forever!\I get you. That would be great!\That's how it happened.\I- I see...\Goku! Goku, I say! response:	Hey, Goku! Stay with us!
context: We won't ever grow any older,\but instead have eternal youth. How does that sound?\If that were so, we could enjoy fighting forever!\I get you. That would be great!\That's how it happened.\I- I see...\Goku! Goku, I say!\Hey, Goku! Stay with us! response:	Gohan- kun is fine. He's just unconscious.
context: but instead have eternal youth. How does that sound?\If that were so, we could enjoy fighting forever!\I get you. That would be great!\That's how it happened.\I- I see...\Goku! Goku, I say!\Hey, Goku! Stay with us!\Gohan- kun is fine. He's just unconscious. response:	Thank...
context: If that were so, we could enjoy fighting forever!\I get you. That would be great!\That's how it happened.\I- I see...\Goku! Goku, I say!\Hey, Goku! Stay with us!\Gohan- kun is fine. He's just unconscious.\Thank... response:	He's coming around.
context: I get you. That would be great!\That's how it happened.\I- I see...\Goku! Goku, I say!\Hey, Goku! Stay with us!\Gohan- kun is fine. He's just unconscious.\Thank...\He's coming around. response:	Goku...
context: That's how it happened.\I- I see...\Goku! Goku, I say!\Hey, Goku! Stay with us!\Gohan- kun is fine. He's just unconscious.\Thank...\He's coming around.\Goku... response:	Chichi won't... chew me out...
context: I- I see...\Goku! Goku, I say!\Hey, Goku! Stay with us!\Gohan- kun is fine. He's just unconscious.\Thank...\He's coming around.\Goku...\Chichi won't... chew me out... response:	Son- kun...
context: Goku! Goku, I say!\Hey, Goku! Stay with us!\Gohan- kun is fine. He's just unconscious.\Thank...\He's coming around.\Goku...\Chichi won't... chew me out...\Son- kun... response:	K- uririn...
context: Hey, Goku! Stay with us!\Gohan- kun is fine. He's just unconscious.\Thank...\He's coming around.\Goku...\Chichi won't... chew me out...\Son- kun...\K- uririn... response:	Y- you might say that.
context: Gohan- kun is fine. He's just unconscious.\Thank...\He's coming around.\Goku...\Chichi won't... chew me out...\Son- kun...\K- uririn...\Y- you might say that. response:	W- what are you saying, Goku!? D- don't give up!
context: Thank...\He's coming around.\Goku...\Chichi won't... chew me out...\Son- kun...\K- uririn...\Y- you might say that.\W- what are you saying, Goku!? D- don't give up! response:	This isn't like you!
context: He's coming around.\Goku...\Chichi won't... chew me out...\Son- kun...\K- uririn...\Y- you might say that.\W- what are you saying, Goku!? D- don't give up!\This isn't like you! response:	Goku!
context: Goku...\Chichi won't... chew me out...\Son- kun...\K- uririn...\Y- you might say that.\W- what are you saying, Goku!? D- don't give up!\This isn't like you!\Goku! response:	T- this time... it doesn't look... so good for me...
context: Chichi won't... chew me out...\Son- kun...\K- uririn...\Y- you might say that.\W- what are you saying, Goku!? D- don't give up!\This isn't like you!\Goku!\T- this time... it doesn't look... so good for me... response:	D- don't worry! We'll bring you back to life right away!
context: Son- kun...\K- uririn...\Y- you might say that.\W- what are you saying, Goku!? D- don't give up!\This isn't like you!\Goku!\T- this time... it doesn't look... so good for me...\D- don't worry! We'll bring you back to life right away! response:	I'm... counting... on it...
context: K- uririn...\Y- you might say that.\W- what are you saying, Goku!? D- don't give up!\This isn't like you!\Goku!\T- this time... it doesn't look... so good for me...\D- don't worry! We'll bring you back to life right away!\I'm... counting... on it... response:	Goku...
context: Y- you might say that.\W- what are you saying, Goku!? D- don't give up!\This isn't like you!\Goku!\T- this time... it doesn't look... so good for me...\D- don't worry! We'll bring you back to life right away!\I'm... counting... on it...\Goku... response:	Goku!!
context: W- what are you saying, Goku!? D- don't give up!\This isn't like you!\Goku!\T- this time... it doesn't look... so good for me...\D- don't worry! We'll bring you back to life right away!\I'm... counting... on it...\Goku...\Goku!! response:	Goku!!
context: This isn't like you!\Goku!\T- this time... it doesn't look... so good for me...\D- don't worry! We'll bring you back to life right away!\I'm... counting... on it...\Goku...\Goku!!\Goku!! response:	Everything else aside, Kakarrot's son's battle power...
context: Goku!\T- this time... it doesn't look... so good for me...\D- don't worry! We'll bring you back to life right away!\I'm... counting... on it...\Goku...\Goku!!\Goku!!\Everything else aside, Kakarrot's son's battle power... response:	It could have been some kind of mistake, couldn't it?
context: T- this time... it doesn't look... so good for me...\D- don't worry! We'll bring you back to life right away!\I'm... counting... on it...\Goku...\Goku!!\Goku!!\Everything else aside, Kakarrot's son's battle power...\It could have been some kind of mistake, couldn't it? response:	No, there's no mistake.
context: D- don't worry! We'll bring you back to life right away!\I'm... counting... on it...\Goku...\Goku!!\Goku!!\Everything else aside, Kakarrot's son's battle power...\It could have been some kind of mistake, couldn't it?\No, there's no mistake. response:	Raditz did actually take a great deal of damage from that kid's strike.
context: I'm... counting... on it...\Goku...\Goku!!\Goku!!\Everything else aside, Kakarrot's son's battle power...\It could have been some kind of mistake, couldn't it?\No, there's no mistake.\Raditz did actually take a great deal of damage from that kid's strike. response:	Apparently, when our blood is mixed with an Earthling's,
context: Goku...\Goku!!\Goku!!\Everything else aside, Kakarrot's son's battle power...\It could have been some kind of mistake, couldn't it?\No, there's no mistake.\Raditz did actually take a great deal of damage from that kid's strike.\Apparently, when our blood is mixed with an Earthling's, response:	it results in a hybrid with mighty power.
context: Goku!!\Goku!!\Everything else aside, Kakarrot's son's battle power...\It could have been some kind of mistake, couldn't it?\No, there's no mistake.\Raditz did actually take a great deal of damage from that kid's strike.\Apparently, when our blood is mixed with an Earthling's,\it results in a hybrid with mighty power. response:	Hmph, a Super Saiyan, you mean?
context: Goku!!\Everything else aside, Kakarrot's son's battle power...\It could have been some kind of mistake, couldn't it?\No, there's no mistake.\Raditz did actually take a great deal of damage from that kid's strike.\Apparently, when our blood is mixed with an Earthling's,\it results in a hybrid with mighty power.\Hmph, a Super Saiyan, you mean? response:	I get it. If we were to produce those guys one after another,
context: Everything else aside, Kakarrot's son's battle power...\It could have been some kind of mistake, couldn't it?\No, there's no mistake.\Raditz did actually take a great deal of damage from that kid's strike.\Apparently, when our blood is mixed with an Earthling's,\it results in a hybrid with mighty power.\Hmph, a Super Saiyan, you mean?\I get it. If we were to produce those guys one after another, response:	then once again, Saiyan rule will no longer be a dream.
context: It could have been some kind of mistake, couldn't it?\No, there's no mistake.\Raditz did actually take a great deal of damage from that kid's strike.\Apparently, when our blood is mixed with an Earthling's,\it results in a hybrid with mighty power.\Hmph, a Super Saiyan, you mean?\I get it. If we were to produce those guys one after another,\then once again, Saiyan rule will no longer be a dream. response:	You've got to be kidding.
context: No, there's no mistake.\Raditz did actually take a great deal of damage from that kid's strike.\Apparently, when our blood is mixed with an Earthling's,\it results in a hybrid with mighty power.\Hmph, a Super Saiyan, you mean?\I get it. If we were to produce those guys one after another,\then once again, Saiyan rule will no longer be a dream.\You've got to be kidding. response:	Just watch those guys grow and gain even greater power for themselves.
context: Raditz did actually take a great deal of damage from that kid's strike.\Apparently, when our blood is mixed with an Earthling's,\it results in a hybrid with mighty power.\Hmph, a Super Saiyan, you mean?\I get it. If we were to produce those guys one after another,\then once again, Saiyan rule will no longer be a dream.\You've got to be kidding.\Just watch those guys grow and gain even greater power for themselves. response:	Then it will be our positions that are in danger.
context: Apparently, when our blood is mixed with an Earthling's,\it results in a hybrid with mighty power.\Hmph, a Super Saiyan, you mean?\I get it. If we were to produce those guys one after another,\then once again, Saiyan rule will no longer be a dream.\You've got to be kidding.\Just watch those guys grow and gain even greater power for themselves.\Then it will be our positions that are in danger. response:	That would be true.
context: it results in a hybrid with mighty power.\Hmph, a Super Saiyan, you mean?\I get it. If we were to produce those guys one after another,\then once again, Saiyan rule will no longer be a dream.\You've got to be kidding.\Just watch those guys grow and gain even greater power for themselves.\Then it will be our positions that are in danger.\That would be true. response:	In any case,
context: Hmph, a Super Saiyan, you mean?\I get it. If we were to produce those guys one after another,\then once again, Saiyan rule will no longer be a dream.\You've got to be kidding.\Just watch those guys grow and gain even greater power for themselves.\Then it will be our positions that are in danger.\That would be true.\In any case, response:	we will exterminate everyone on Earth.
context: I get it. If we were to produce those guys one after another,\then once again, Saiyan rule will no longer be a dream.\You've got to be kidding.\Just watch those guys grow and gain even greater power for themselves.\Then it will be our positions that are in danger.\That would be true.\In any case,\we will exterminate everyone on Earth. response:	Three days should be enough for that.
context: then once again, Saiyan rule will no longer be a dream.\You've got to be kidding.\Just watch those guys grow and gain even greater power for themselves.\Then it will be our positions that are in danger.\That would be true.\In any case,\we will exterminate everyone on Earth.\Three days should be enough for that. response:	Until then, let's have ourselves a good, long sleep for the first time in a while.
context: You've got to be kidding.\Just watch those guys grow and gain even greater power for themselves.\Then it will be our positions that are in danger.\That would be true.\In any case,\we will exterminate everyone on Earth.\Three days should be enough for that.\Until then, let's have ourselves a good, long sleep for the first time in a while. response:	Yeah! I'll look forward to seeing you in a year!
context: Just watch those guys grow and gain even greater power for themselves.\Then it will be our positions that are in danger.\That would be true.\In any case,\we will exterminate everyone on Earth.\Three days should be enough for that.\Until then, let's have ourselves a good, long sleep for the first time in a while.\Yeah! I'll look forward to seeing you in a year! response:	Goku!
context: Then it will be our positions that are in danger.\That would be true.\In any case,\we will exterminate everyone on Earth.\Three days should be enough for that.\Until then, let's have ourselves a good, long sleep for the first time in a while.\Yeah! I'll look forward to seeing you in a year!\Goku! response:	Goku!
context: That would be true.\In any case,\we will exterminate everyone on Earth.\Three days should be enough for that.\Until then, let's have ourselves a good, long sleep for the first time in a while.\Yeah! I'll look forward to seeing you in a year!\Goku!\Goku! response:	Goku...
context: In any case,\we will exterminate everyone on Earth.\Three days should be enough for that.\Until then, let's have ourselves a good, long sleep for the first time in a while.\Yeah! I'll look forward to seeing you in a year!\Goku!\Goku!\Goku... response:	Son- kun! I can't stand you dying!
context: we will exterminate everyone on Earth.\Three days should be enough for that.\Until then, let's have ourselves a good, long sleep for the first time in a while.\Yeah! I'll look forward to seeing you in a year!\Goku!\Goku!\Goku...\Son- kun! I can't stand you dying! response:	Goku!
context: Three days should be enough for that.\Until then, let's have ourselves a good, long sleep for the first time in a while.\Yeah! I'll look forward to seeing you in a year!\Goku!\Goku!\Goku...\Son- kun! I can't stand you dying!\Goku! response:	He vanished!
context: Until then, let's have ourselves a good, long sleep for the first time in a while.\Yeah! I'll look forward to seeing you in a year!\Goku!\Goku!\Goku...\Son- kun! I can't stand you dying!\Goku!\He vanished! response:	I get it. This is Kami's doing.
context: Yeah! I'll look forward to seeing you in a year!\Goku!\Goku!\Goku...\Son- kun! I can't stand you dying!\Goku!\He vanished!\I get it. This is Kami's doing. response:	This is something he would be capable of.
context: Goku!\Goku!\Goku...\Son- kun! I can't stand you dying!\Goku!\He vanished!\I get it. This is Kami's doing.\This is something he would be capable of. response:	That bastard.
context: Goku!\Goku...\Son- kun! I can't stand you dying!\Goku!\He vanished!\I get it. This is Kami's doing.\This is something he would be capable of.\That bastard. response:	He's thinking of using Son Goku again for some nonsense or other.
context: Goku...\Son- kun! I can't stand you dying!\Goku!\He vanished!\I get it. This is Kami's doing.\This is something he would be capable of.\That bastard.\He's thinking of using Son Goku again for some nonsense or other. response:	Some nonsense?
context: Son- kun! I can't stand you dying!\Goku!\He vanished!\I get it. This is Kami's doing.\This is something he would be capable of.\That bastard.\He's thinking of using Son Goku again for some nonsense or other.\Some nonsense? response:	How does Kami-sama intend to use Son Goku?
context: Goku!\He vanished!\I get it. This is Kami's doing.\This is something he would be capable of.\That bastard.\He's thinking of using Son Goku again for some nonsense or other.\Some nonsense?\How does Kami-sama intend to use Son Goku? response:	Now that Goku is no longer here to rely on,
context: He vanished!\I get it. This is Kami's doing.\This is something he would be capable of.\That bastard.\He's thinking of using Son Goku again for some nonsense or other.\Some nonsense?\How does Kami-sama intend to use Son Goku?\Now that Goku is no longer here to rely on, response:	is there any means left of defending the Earth?
context: I get it. This is Kami's doing.\This is something he would be capable of.\That bastard.\He's thinking of using Son Goku again for some nonsense or other.\Some nonsense?\How does Kami-sama intend to use Son Goku?\Now that Goku is no longer here to rely on,\is there any means left of defending the Earth? response:	The mighty Saiyans arrive on Earth in one year!
