context: < Ministry of Internal Affairs and Communications, Statistics Bureau response:	< Second Investigation Division
context: so I've only heard the conclusion of what happened in Tokyo.\So who are your owners now?\Same as yours, Hei.\The CIA?\No.\Yes. Her.\I've just come to issue you a change of orders.\Tanya! response:	Nika.
context: So who are your owners now?\Same as yours, Hei.\The CIA?\No.\Yes. Her.\I've just come to issue you a change of orders.\Tanya!\Nika. response:	Sorry.
context: Same as yours, Hei.\The CIA?\No.\Yes. Her.\I've just come to issue you a change of orders.\Tanya!\Nika.\Sorry. response:	My mind can't keep up with the changes in my body.
context: The CIA?\No.\Yes. Her.\I've just come to issue you a change of orders.\Tanya!\Nika.\Sorry.\My mind can't keep up with the changes in my body. response:	I'm sure something bad will happen again if we're together.
context: No.\Yes. Her.\I've just come to issue you a change of orders.\Tanya!\Nika.\Sorry.\My mind can't keep up with the changes in my body.\I'm sure something bad will happen again if we're together. response:	I don't care.
context: Yes. Her.\I've just come to issue you a change of orders.\Tanya!\Nika.\Sorry.\My mind can't keep up with the changes in my body.\I'm sure something bad will happen again if we're together.\I don't care. response:	We're together again.
context: I've just come to issue you a change of orders.\Tanya!\Nika.\Sorry.\My mind can't keep up with the changes in my body.\I'm sure something bad will happen again if we're together.\I don't care.\We're together again. response:	Everything will be okay, Tanya.
context: Tanya!\Nika.\Sorry.\My mind can't keep up with the changes in my body.\I'm sure something bad will happen again if we're together.\I don't care.\We're together again.\Everything will be okay, Tanya. response:	What are you doing?!
context: Nika.\Sorry.\My mind can't keep up with the changes in my body.\I'm sure something bad will happen again if we're together.\I don't care.\We're together again.\Everything will be okay, Tanya.\What are you doing?! response:	A whale?
context: Sorry.\My mind can't keep up with the changes in my body.\I'm sure something bad will happen again if we're together.\I don't care.\We're together again.\Everything will be okay, Tanya.\What are you doing?!\A whale? response:	I'm waiting for you.
context: My mind can't keep up with the changes in my body.\I'm sure something bad will happen again if we're together.\I don't care.\We're together again.\Everything will be okay, Tanya.\What are you doing?!\A whale?\I'm waiting for you. response:	It's from Shion.
context: I'm sure something bad will happen again if we're together.\I don't care.\We're together again.\Everything will be okay, Tanya.\What are you doing?!\A whale?\I'm waiting for you.\It's from Shion. response:	In Ikebukuro?
context: I don't care.\We're together again.\Everything will be okay, Tanya.\What are you doing?!\A whale?\I'm waiting for you.\It's from Shion.\In Ikebukuro? response:	Ikebukuro?
context: We're together again.\Everything will be okay, Tanya.\What are you doing?!\A whale?\I'm waiting for you.\It's from Shion.\In Ikebukuro?\Ikebukuro? response:	Where's that?
context: Everything will be okay, Tanya.\What are you doing?!\A whale?\I'm waiting for you.\It's from Shion.\In Ikebukuro?\Ikebukuro?\Where's that? response:	In Tokyo.
context: What are you doing?!\A whale?\I'm waiting for you.\It's from Shion.\In Ikebukuro?\Ikebukuro?\Where's that?\In Tokyo. response:	Near Hell's Gate.
context: A whale?\I'm waiting for you.\It's from Shion.\In Ikebukuro?\Ikebukuro?\Where's that?\In Tokyo.\Near Hell's Gate. response:	That place is off-limits.
context: I'm waiting for you.\It's from Shion.\In Ikebukuro?\Ikebukuro?\Where's that?\In Tokyo.\Near Hell's Gate.\That place is off-limits. response:	Is Shion there?
context: It's from Shion.\In Ikebukuro?\Ikebukuro?\Where's that?\In Tokyo.\Near Hell's Gate.\That place is off-limits.\Is Shion there? response:	Stand up.
context: In Ikebukuro?\Ikebukuro?\Where's that?\In Tokyo.\Near Hell's Gate.\That place is off-limits.\Is Shion there?\Stand up. response:	Do you want to go to Japan?
context: Ikebukuro?\Where's that?\In Tokyo.\Near Hell's Gate.\That place is off-limits.\Is Shion there?\Stand up.\Do you want to go to Japan? response:	I'll take you there.
context: Where's that?\In Tokyo.\Near Hell's Gate.\That place is off-limits.\Is Shion there?\Stand up.\Do you want to go to Japan?\I'll take you there. response:	Episode 3 Vanishing into the Snow Fields...
context: In Tokyo.\Near Hell's Gate.\That place is off-limits.\Is Shion there?\Stand up.\Do you want to go to Japan?\I'll take you there.\Episode 3 Vanishing into the Snow Fields... response:	Nope, it got disconnected.
context: Near Hell's Gate.\That place is off-limits.\Is Shion there?\Stand up.\Do you want to go to Japan?\I'll take you there.\Episode 3 Vanishing into the Snow Fields...\Nope, it got disconnected. response:	But it rang, right?
context: That place is off-limits.\Is Shion there?\Stand up.\Do you want to go to Japan?\I'll take you there.\Episode 3 Vanishing into the Snow Fields...\Nope, it got disconnected.\But it rang, right? response:	Yeah.
context: Is Shion there?\Stand up.\Do you want to go to Japan?\I'll take you there.\Episode 3 Vanishing into the Snow Fields...\Nope, it got disconnected.\But it rang, right?\Yeah. response:	I hope Suou is okay.
context: Stand up.\Do you want to go to Japan?\I'll take you there.\Episode 3 Vanishing into the Snow Fields...\Nope, it got disconnected.\But it rang, right?\Yeah.\I hope Suou is okay. response:	Were you able to trace it?
context: Do you want to go to Japan?\I'll take you there.\Episode 3 Vanishing into the Snow Fields...\Nope, it got disconnected.\But it rang, right?\Yeah.\I hope Suou is okay.\Were you able to trace it? response:	That's enough, Tanya.
context: I'll take you there.\Episode 3 Vanishing into the Snow Fields...\Nope, it got disconnected.\But it rang, right?\Yeah.\I hope Suou is okay.\Were you able to trace it?\That's enough, Tanya. response:	They tracked us through your cellphone.
context: Episode 3 Vanishing into the Snow Fields...\Nope, it got disconnected.\But it rang, right?\Yeah.\I hope Suou is okay.\Were you able to trace it?\That's enough, Tanya.\They tracked us through your cellphone. response:	What's that light?
context: Nope, it got disconnected.\But it rang, right?\Yeah.\I hope Suou is okay.\Were you able to trace it?\That's enough, Tanya.\They tracked us through your cellphone.\What's that light? response:	A surveillance spirit?
context: But it rang, right?\Yeah.\I hope Suou is okay.\Were you able to trace it?\That's enough, Tanya.\They tracked us through your cellphone.\What's that light?\A surveillance spirit? response:	Don't look at it.
context: Yeah.\I hope Suou is okay.\Were you able to trace it?\That's enough, Tanya.\They tracked us through your cellphone.\What's that light?\A surveillance spirit?\Don't look at it. response:	It'll notice you.
context: I hope Suou is okay.\Were you able to trace it?\That's enough, Tanya.\They tracked us through your cellphone.\What's that light?\A surveillance spirit?\Don't look at it.\It'll notice you. response:	It's the train over there.
context: Were you able to trace it?\That's enough, Tanya.\They tracked us through your cellphone.\What's that light?\A surveillance spirit?\Don't look at it.\It'll notice you.\It's the train over there. response:	Try to get on without getting noticed.
context: That's enough, Tanya.\They tracked us through your cellphone.\What's that light?\A surveillance spirit?\Don't look at it.\It'll notice you.\It's the train over there.\Try to get on without getting noticed. response:	It'll depart in five minutes.
context: They tracked us through your cellphone.\What's that light?\A surveillance spirit?\Don't look at it.\It'll notice you.\It's the train over there.\Try to get on without getting noticed.\It'll depart in five minutes. response:	Tanya...
context: What's that light?\A surveillance spirit?\Don't look at it.\It'll notice you.\It's the train over there.\Try to get on without getting noticed.\It'll depart in five minutes.\Tanya... response:	Why?
context: A surveillance spirit?\Don't look at it.\It'll notice you.\It's the train over there.\Try to get on without getting noticed.\It'll depart in five minutes.\Tanya...\Why? response:	I made a deal with them.
context: Don't look at it.\It'll notice you.\It's the train over there.\Try to get on without getting noticed.\It'll depart in five minutes.\Tanya...\Why?\I made a deal with them. response:	I'll be rewarded and guaranteed a position if I capture you.
context: It'll notice you.\It's the train over there.\Try to get on without getting noticed.\It'll depart in five minutes.\Tanya...\Why?\I made a deal with them.\I'll be rewarded and guaranteed a position if I capture you. response:	What about Nika?
context: It's the train over there.\Try to get on without getting noticed.\It'll depart in five minutes.\Tanya...\Why?\I made a deal with them.\I'll be rewarded and guaranteed a position if I capture you.\What about Nika? response:	What happened to him?
context: Try to get on without getting noticed.\It'll depart in five minutes.\Tanya...\Why?\I made a deal with them.\I'll be rewarded and guaranteed a position if I capture you.\What about Nika?\What happened to him? response:	Why are you...
context: It'll depart in five minutes.\Tanya...\Why?\I made a deal with them.\I'll be rewarded and guaranteed a position if I capture you.\What about Nika?\What happened to him?\Why are you... response:	Answer me, Suou.
context: Tanya...\Why?\I made a deal with them.\I'll be rewarded and guaranteed a position if I capture you.\What about Nika?\What happened to him?\Why are you...\Answer me, Suou. response:	Where's Shion Pavlichenko?
context: Why?\I made a deal with them.\I'll be rewarded and guaranteed a position if I capture you.\What about Nika?\What happened to him?\Why are you...\Answer me, Suou.\Where's Shion Pavlichenko? response:	Answer me.
context: I made a deal with them.\I'll be rewarded and guaranteed a position if I capture you.\What about Nika?\What happened to him?\Why are you...\Answer me, Suou.\Where's Shion Pavlichenko?\Answer me. response:	Stop it, Tanya!
context: I'll be rewarded and guaranteed a position if I capture you.\What about Nika?\What happened to him?\Why are you...\Answer me, Suou.\Where's Shion Pavlichenko?\Answer me.\Stop it, Tanya! response:	Why?
context: What about Nika?\What happened to him?\Why are you...\Answer me, Suou.\Where's Shion Pavlichenko?\Answer me.\Stop it, Tanya!\Why? response:	Stop!!!
context: What happened to him?\Why are you...\Answer me, Suou.\Where's Shion Pavlichenko?\Answer me.\Stop it, Tanya!\Why?\Stop!!! response:	Seems like we're too late.
context: Why are you...\Answer me, Suou.\Where's Shion Pavlichenko?\Answer me.\Stop it, Tanya!\Why?\Stop!!!\Seems like we're too late. response:	What do we do?
context: Answer me, Suou.\Where's Shion Pavlichenko?\Answer me.\Stop it, Tanya!\Why?\Stop!!!\Seems like we're too late.\What do we do? response:	Oh well...
context: Where's Shion Pavlichenko?\Answer me.\Stop it, Tanya!\Why?\Stop!!!\Seems like we're too late.\What do we do?\Oh well... response:	Guess we'll just have to go wild.
context: Answer me.\Stop it, Tanya!\Why?\Stop!!!\Seems like we're too late.\What do we do?\Oh well...\Guess we'll just have to go wild. response:	Mao, take care of her.
context: Stop it, Tanya!\Why?\Stop!!!\Seems like we're too late.\What do we do?\Oh well...\Guess we'll just have to go wild.\Mao, take care of her. response:	Take care of her?
context: Why?\Stop!!!\Seems like we're too late.\What do we do?\Oh well...\Guess we'll just have to go wild.\Mao, take care of her.\Take care of her? response:	Wait, Hei!
context: Stop!!!\Seems like we're too late.\What do we do?\Oh well...\Guess we'll just have to go wild.\Mao, take care of her.\Take care of her?\Wait, Hei! response:	Damn, don't blame me if something happens!
context: Seems like we're too late.\What do we do?\Oh well...\Guess we'll just have to go wild.\Mao, take care of her.\Take care of her?\Wait, Hei!\Damn, don't blame me if something happens! response:	Petya! You...
context: What do we do?\Oh well...\Guess we'll just have to go wild.\Mao, take care of her.\Take care of her?\Wait, Hei!\Damn, don't blame me if something happens!\Petya! You... response:	There is no time for you to be surprised. I'll explain later.
context: Oh well...\Guess we'll just have to go wild.\Mao, take care of her.\Take care of her?\Wait, Hei!\Damn, don't blame me if something happens!\Petya! You...\There is no time for you to be surprised. I'll explain later. response:	Let's go, missy.
context: Guess we'll just have to go wild.\Mao, take care of her.\Take care of her?\Wait, Hei!\Damn, don't blame me if something happens!\Petya! You...\There is no time for you to be surprised. I'll explain later.\Let's go, missy. response:	We're going under here.
context: Mao, take care of her.\Take care of her?\Wait, Hei!\Damn, don't blame me if something happens!\Petya! You...\There is no time for you to be surprised. I'll explain later.\Let's go, missy.\We're going under here. response:	Come here. You can climb up right?
context: Take care of her?\Wait, Hei!\Damn, don't blame me if something happens!\Petya! You...\There is no time for you to be surprised. I'll explain later.\Let's go, missy.\We're going under here.\Come here. You can climb up right? response:	Good.
context: Wait, Hei!\Damn, don't blame me if something happens!\Petya! You...\There is no time for you to be surprised. I'll explain later.\Let's go, missy.\We're going under here.\Come here. You can climb up right?\Good. response:	He'll act as a decoy and distract them.
context: Damn, don't blame me if something happens!\Petya! You...\There is no time for you to be surprised. I'll explain later.\Let's go, missy.\We're going under here.\Come here. You can climb up right?\Good.\He'll act as a decoy and distract them. response:	We'll escape during the chaos.
context: Petya! You...\There is no time for you to be surprised. I'll explain later.\Let's go, missy.\We're going under here.\Come here. You can climb up right?\Good.\He'll act as a decoy and distract them.\We'll escape during the chaos. response:	Time for departure!
context: There is no time for you to be surprised. I'll explain later.\Let's go, missy.\We're going under here.\Come here. You can climb up right?\Good.\He'll act as a decoy and distract them.\We'll escape during the chaos.\Time for departure! response:	Beware of accidents!
context: Let's go, missy.\We're going under here.\Come here. You can climb up right?\Good.\He'll act as a decoy and distract them.\We'll escape during the chaos.\Time for departure!\Beware of accidents! response:	Major!
context: We're going under here.\Come here. You can climb up right?\Good.\He'll act as a decoy and distract them.\We'll escape during the chaos.\Time for departure!\Beware of accidents!\Major! response:	Fire!
context: Come here. You can climb up right?\Good.\He'll act as a decoy and distract them.\We'll escape during the chaos.\Time for departure!\Beware of accidents!\Major!\Fire! response:	Too bad. I missed.
context: Good.\He'll act as a decoy and distract them.\We'll escape during the chaos.\Time for departure!\Beware of accidents!\Major!\Fire!\Too bad. I missed. response:	No way...
context: He'll act as a decoy and distract them.\We'll escape during the chaos.\Time for departure!\Beware of accidents!\Major!\Fire!\Too bad. I missed.\No way... response:	What's going on...
context: We'll escape during the chaos.\Time for departure!\Beware of accidents!\Major!\Fire!\Too bad. I missed.\No way...\What's going on... response:	Why? Why is this...
context: Time for departure!\Beware of accidents!\Major!\Fire!\Too bad. I missed.\No way...\What's going on...\Why? Why is this... response:	Die.
context: Beware of accidents!\Major!\Fire!\Too bad. I missed.\No way...\What's going on...\Why? Why is this...\Die. response:	Don't!
context: Major!\Fire!\Too bad. I missed.\No way...\What's going on...\Why? Why is this...\Die.\Don't! response:	Stop it, Tanya!
context: Fire!\Too bad. I missed.\No way...\What's going on...\Why? Why is this...\Die.\Don't!\Stop it, Tanya! response:	Aren't we friends?
context: Too bad. I missed.\No way...\What's going on...\Why? Why is this...\Die.\Don't!\Stop it, Tanya!\Aren't we friends? response:	Yes, we were friends.
context: No way...\What's going on...\Why? Why is this...\Die.\Don't!\Stop it, Tanya!\Aren't we friends?\Yes, we were friends. response:	But I didn't even know that you had a little brother named Shion.
context: What's going on...\Why? Why is this...\Die.\Don't!\Stop it, Tanya!\Aren't we friends?\Yes, we were friends.\But I didn't even know that you had a little brother named Shion. response:	Does he really exist?
context: Why? Why is this...\Die.\Don't!\Stop it, Tanya!\Aren't we friends?\Yes, we were friends.\But I didn't even know that you had a little brother named Shion.\Does he really exist? response:	Or are you Shion?
context: Die.\Don't!\Stop it, Tanya!\Aren't we friends?\Yes, we were friends.\But I didn't even know that you had a little brother named Shion.\Does he really exist?\Or are you Shion? response:	That's...
context: Don't!\Stop it, Tanya!\Aren't we friends?\Yes, we were friends.\But I didn't even know that you had a little brother named Shion.\Does he really exist?\Or are you Shion?\That's... response:	Even though I let you live...
context: Stop it, Tanya!\Aren't we friends?\Yes, we were friends.\But I didn't even know that you had a little brother named Shion.\Does he really exist?\Or are you Shion?\That's...\Even though I let you live... response:	Nika!
context: Aren't we friends?\Yes, we were friends.\But I didn't even know that you had a little brother named Shion.\Does he really exist?\Or are you Shion?\That's...\Even though I let you live...\Nika! response:	Don't tell me...
context: Yes, we were friends.\But I didn't even know that you had a little brother named Shion.\Does he really exist?\Or are you Shion?\That's...\Even though I let you live...\Nika!\Don't tell me... response:	Tanya!
context: But I didn't even know that you had a little brother named Shion.\Does he really exist?\Or are you Shion?\That's...\Even though I let you live...\Nika!\Don't tell me...\Tanya! response:	Let's go back home, Tanya.
context: Does he really exist?\Or are you Shion?\That's...\Even though I let you live...\Nika!\Don't tell me...\Tanya!\Let's go back home, Tanya. response:	Stop it!
context: Or are you Shion?\That's...\Even though I let you live...\Nika!\Don't tell me...\Tanya!\Let's go back home, Tanya.\Stop it! response:	Please stop!
context: That's...\Even though I let you live...\Nika!\Don't tell me...\Tanya!\Let's go back home, Tanya.\Stop it!\Please stop! response:	Tanya!
context: Even though I let you live...\Nika!\Don't tell me...\Tanya!\Let's go back home, Tanya.\Stop it!\Please stop!\Tanya! response:	No...
context: Nika!\Don't tell me...\Tanya!\Let's go back home, Tanya.\Stop it!\Please stop!\Tanya!\No... response:	Not that...
context: Don't tell me...\Tanya!\Let's go back home, Tanya.\Stop it!\Please stop!\Tanya!\No...\Not that... response:	It can't be...
context: Tanya!\Let's go back home, Tanya.\Stop it!\Please stop!\Tanya!\No...\Not that...\It can't be... response:	She has awoken.
context: Let's go back home, Tanya.\Stop it!\Please stop!\Tanya!\No...\Not that...\It can't be...\She has awoken. response:	It has begun.
context: Stop it!\Please stop!\Tanya!\No...\Not that...\It can't be...\She has awoken.\It has begun. response:	The end...
context: Please stop!\Tanya!\No...\Not that...\It can't be...\She has awoken.\It has begun.\The end... response:	has begun.
context: Tanya!\No...\Not that...\It can't be...\She has awoken.\It has begun.\The end...\has begun. response:	It's begun.
context: No...\Not that...\It can't be...\She has awoken.\It has begun.\The end...\has begun.\It's begun. response:	All contractors...
context: Not that...\It can't be...\She has awoken.\It has begun.\The end...\has begun.\It's begun.\All contractors... response:	should just die.
context: It can't be...\She has awoken.\It has begun.\The end...\has begun.\It's begun.\All contractors...\should just die. response:	120 to the left.
context: She has awoken.\It has begun.\The end...\has begun.\It's begun.\All contractors...\should just die.\120 to the left. response:	3 meters up.
context: It has begun.\The end...\has begun.\It's begun.\All contractors...\should just die.\120 to the left.\3 meters up. response:	10 centimeters more to the right.
context: The end...\has begun.\It's begun.\All contractors...\should just die.\120 to the left.\3 meters up.\10 centimeters more to the right. response:	20 to the right.
context: has begun.\It's begun.\All contractors...\should just die.\120 to the left.\3 meters up.\10 centimeters more to the right.\20 to the right. response:	3 meters down.
context: It's begun.\All contractors...\should just die.\120 to the left.\3 meters up.\10 centimeters more to the right.\20 to the right.\3 meters down. response:	Shit!
context: All contractors...\should just die.\120 to the left.\3 meters up.\10 centimeters more to the right.\20 to the right.\3 meters down.\Shit! response:	110 to the right, 50 centimeters down.
context: should just die.\120 to the left.\3 meters up.\10 centimeters more to the right.\20 to the right.\3 meters down.\Shit!\110 to the right, 50 centimeters down. response:	What's your name?
context: 120 to the left.\3 meters up.\10 centimeters more to the right.\20 to the right.\3 meters down.\Shit!\110 to the right, 50 centimeters down.\What's your name? response:	July.
context: 3 meters up.\10 centimeters more to the right.\20 to the right.\3 meters down.\Shit!\110 to the right, 50 centimeters down.\What's your name?\July. response:	Hey, Hei! He's a...
context: 10 centimeters more to the right.\20 to the right.\3 meters down.\Shit!\110 to the right, 50 centimeters down.\What's your name?\July.\Hey, Hei! He's a... response:	Come.
context: 20 to the right.\3 meters down.\Shit!\110 to the right, 50 centimeters down.\What's your name?\July.\Hey, Hei! He's a...\Come. response:	With three advantages, there will also be three disadvantages sums up our situation, Madame.
context: 3 meters down.\Shit!\110 to the right, 50 centimeters down.\What's your name?\July.\Hey, Hei! He's a...\Come.\With three advantages, there will also be three disadvantages sums up our situation, Madame. response:	Oh, hello, Mr. Smith.
context: Shit!\110 to the right, 50 centimeters down.\What's your name?\July.\Hey, Hei! He's a...\Come.\With three advantages, there will also be three disadvantages sums up our situation, Madame.\Oh, hello, Mr. Smith. response:	What brings you here today?
context: 110 to the right, 50 centimeters down.\What's your name?\July.\Hey, Hei! He's a...\Come.\With three advantages, there will also be three disadvantages sums up our situation, Madame.\Oh, hello, Mr. Smith.\What brings you here today? response:	I was wondering if you knew where the Black Grim Reaper is?
context: What's your name?\July.\Hey, Hei! He's a...\Come.\With three advantages, there will also be three disadvantages sums up our situation, Madame.\Oh, hello, Mr. Smith.\What brings you here today?\I was wondering if you knew where the Black Grim Reaper is? response:	You're not going to tell me that the all-knowing CIA doesn't know, right?
context: July.\Hey, Hei! He's a...\Come.\With three advantages, there will also be three disadvantages sums up our situation, Madame.\Oh, hello, Mr. Smith.\What brings you here today?\I was wondering if you knew where the Black Grim Reaper is?\You're not going to tell me that the all-knowing CIA doesn't know, right? response:	If you're here to discuss business, then I'm all ears.
context: Hey, Hei! He's a...\Come.\With three advantages, there will also be three disadvantages sums up our situation, Madame.\Oh, hello, Mr. Smith.\What brings you here today?\I was wondering if you knew where the Black Grim Reaper is?\You're not going to tell me that the all-knowing CIA doesn't know, right?\If you're here to discuss business, then I'm all ears. response:	Information is my commodity.
context: Come.\With three advantages, there will also be three disadvantages sums up our situation, Madame.\Oh, hello, Mr. Smith.\What brings you here today?\I was wondering if you knew where the Black Grim Reaper is?\You're not going to tell me that the all-knowing CIA doesn't know, right?\If you're here to discuss business, then I'm all ears.\Information is my commodity. response:	My motto is As long as I receive the proper payment, I will provide information to anyone at anytime.
context: With three advantages, there will also be three disadvantages sums up our situation, Madame.\Oh, hello, Mr. Smith.\What brings you here today?\I was wondering if you knew where the Black Grim Reaper is?\You're not going to tell me that the all-knowing CIA doesn't know, right?\If you're here to discuss business, then I'm all ears.\Information is my commodity.\My motto is As long as I receive the proper payment, I will provide information to anyone at anytime. response:	Thus, though we have heard of stupid haste in war.
context: Oh, hello, Mr. Smith.\What brings you here today?\I was wondering if you knew where the Black Grim Reaper is?\You're not going to tell me that the all-knowing CIA doesn't know, right?\If you're here to discuss business, then I'm all ears.\Information is my commodity.\My motto is As long as I receive the proper payment, I will provide information to anyone at anytime.\Thus, though we have heard of stupid haste in war. response:	I expect a prompt reply, Madame O'Reille.
context: What brings you here today?\I was wondering if you knew where the Black Grim Reaper is?\You're not going to tell me that the all-knowing CIA doesn't know, right?\If you're here to discuss business, then I'm all ears.\Information is my commodity.\My motto is As long as I receive the proper payment, I will provide information to anyone at anytime.\Thus, though we have heard of stupid haste in war.\I expect a prompt reply, Madame O'Reille. response:	His star really disappeared!
context: I was wondering if you knew where the Black Grim Reaper is?\You're not going to tell me that the all-knowing CIA doesn't know, right?\If you're here to discuss business, then I'm all ears.\Information is my commodity.\My motto is As long as I receive the proper payment, I will provide information to anyone at anytime.\Thus, though we have heard of stupid haste in war.\I expect a prompt reply, Madame O'Reille.\His star really disappeared! response:	If his star fell, that would means he's dead.
context: You're not going to tell me that the all-knowing CIA doesn't know, right?\If you're here to discuss business, then I'm all ears.\Information is my commodity.\My motto is As long as I receive the proper payment, I will provide information to anyone at anytime.\Thus, though we have heard of stupid haste in war.\I expect a prompt reply, Madame O'Reille.\His star really disappeared!\If his star fell, that would means he's dead. response:	I've never heard of one disappearing.
context: If you're here to discuss business, then I'm all ears.\Information is my commodity.\My motto is As long as I receive the proper payment, I will provide information to anyone at anytime.\Thus, though we have heard of stupid haste in war.\I expect a prompt reply, Madame O'Reille.\His star really disappeared!\If his star fell, that would means he's dead.\I've never heard of one disappearing. response:	Are you sure you didn't make a mistake?
context: Information is my commodity.\My motto is As long as I receive the proper payment, I will provide information to anyone at anytime.\Thus, though we have heard of stupid haste in war.\I expect a prompt reply, Madame O'Reille.\His star really disappeared!\If his star fell, that would means he's dead.\I've never heard of one disappearing.\Are you sure you didn't make a mistake? response:	But...
context: My motto is As long as I receive the proper payment, I will provide information to anyone at anytime.\Thus, though we have heard of stupid haste in war.\I expect a prompt reply, Madame O'Reille.\His star really disappeared!\If his star fell, that would means he's dead.\I've never heard of one disappearing.\Are you sure you didn't make a mistake?\But... response:	Sorry, I'm a bit busy over here.
context: Thus, though we have heard of stupid haste in war.\I expect a prompt reply, Madame O'Reille.\His star really disappeared!\If his star fell, that would means he's dead.\I've never heard of one disappearing.\Are you sure you didn't make a mistake?\But...\Sorry, I'm a bit busy over here. response:	Just give up on him. Find yourself a new guy.
context: I expect a prompt reply, Madame O'Reille.\His star really disappeared!\If his star fell, that would means he's dead.\I've never heard of one disappearing.\Are you sure you didn't make a mistake?\But...\Sorry, I'm a bit busy over here.\Just give up on him. Find yourself a new guy. response:	Kanami...
context: His star really disappeared!\If his star fell, that would means he's dead.\I've never heard of one disappearing.\Are you sure you didn't make a mistake?\But...\Sorry, I'm a bit busy over here.\Just give up on him. Find yourself a new guy.\Kanami... response:	I think this is a good opportunity for you.
context: If his star fell, that would means he's dead.\I've never heard of one disappearing.\Are you sure you didn't make a mistake?\But...\Sorry, I'm a bit busy over here.\Just give up on him. Find yourself a new guy.\Kanami...\I think this is a good opportunity for you. response:	Kirihara speaking.
context: I've never heard of one disappearing.\Are you sure you didn't make a mistake?\But...\Sorry, I'm a bit busy over here.\Just give up on him. Find yourself a new guy.\Kanami...\I think this is a good opportunity for you.\Kirihara speaking. response:	Chief!
context: Are you sure you didn't make a mistake?\But...\Sorry, I'm a bit busy over here.\Just give up on him. Find yourself a new guy.\Kanami...\I think this is a good opportunity for you.\Kirihara speaking.\Chief! response:	Ah, er... I mean Kirihara-san.
context: But...\Sorry, I'm a bit busy over here.\Just give up on him. Find yourself a new guy.\Kanami...\I think this is a good opportunity for you.\Kirihara speaking.\Chief!\Ah, er... I mean Kirihara-san. response:	It's been a while.
context: Sorry, I'm a bit busy over here.\Just give up on him. Find yourself a new guy.\Kanami...\I think this is a good opportunity for you.\Kirihara speaking.\Chief!\Ah, er... I mean Kirihara-san.\It's been a while. response:	Saitou, do you have time?
context: Just give up on him. Find yourself a new guy.\Kanami...\I think this is a good opportunity for you.\Kirihara speaking.\Chief!\Ah, er... I mean Kirihara-san.\It's been a while.\Saitou, do you have time? response:	There's something I wanted to ask.
context: Kanami...\I think this is a good opportunity for you.\Kirihara speaking.\Chief!\Ah, er... I mean Kirihara-san.\It's been a while.\Saitou, do you have time?\There's something I wanted to ask. response:	Yep, I've got all the time in the world.
context: I think this is a good opportunity for you.\Kirihara speaking.\Chief!\Ah, er... I mean Kirihara-san.\It's been a while.\Saitou, do you have time?\There's something I wanted to ask.\Yep, I've got all the time in the world. response:	What is it?
context: Kirihara speaking.\Chief!\Ah, er... I mean Kirihara-san.\It's been a while.\Saitou, do you have time?\There's something I wanted to ask.\Yep, I've got all the time in the world.\What is it? response:	It's regarding BK201...
context: Chief!\Ah, er... I mean Kirihara-san.\It's been a while.\Saitou, do you have time?\There's something I wanted to ask.\Yep, I've got all the time in the world.\What is it?\It's regarding BK201... response:	Ah... I'm sorry but I can't give out information about contractors to anyone outside the department.
context: Ah, er... I mean Kirihara-san.\It's been a while.\Saitou, do you have time?\There's something I wanted to ask.\Yep, I've got all the time in the world.\What is it?\It's regarding BK201...\Ah... I'm sorry but I can't give out information about contractors to anyone outside the department. response:	Ah, right.
context: It's been a while.\Saitou, do you have time?\There's something I wanted to ask.\Yep, I've got all the time in the world.\What is it?\It's regarding BK201...\Ah... I'm sorry but I can't give out information about contractors to anyone outside the department.\Ah, right. response:	If they find out that you were still in touch with someone who was exiled...
context: Saitou, do you have time?\There's something I wanted to ask.\Yep, I've got all the time in the world.\What is it?\It's regarding BK201...\Ah... I'm sorry but I can't give out information about contractors to anyone outside the department.\Ah, right.\If they find out that you were still in touch with someone who was exiled... response:	That's not what I mean!
context: There's something I wanted to ask.\Yep, I've got all the time in the world.\What is it?\It's regarding BK201...\Ah... I'm sorry but I can't give out information about contractors to anyone outside the department.\Ah, right.\If they find out that you were still in touch with someone who was exiled...\That's not what I mean! response:	Chief Kirihara, you're still the boss to me!
context: Yep, I've got all the time in the world.\What is it?\It's regarding BK201...\Ah... I'm sorry but I can't give out information about contractors to anyone outside the department.\Ah, right.\If they find out that you were still in touch with someone who was exiled...\That's not what I mean!\Chief Kirihara, you're still the boss to me! response:	Sorry. I'll call you another time.
context: What is it?\It's regarding BK201...\Ah... I'm sorry but I can't give out information about contractors to anyone outside the department.\Ah, right.\If they find out that you were still in touch with someone who was exiled...\That's not what I mean!\Chief Kirihara, you're still the boss to me!\Sorry. I'll call you another time. response:	Chief.
context: It's regarding BK201...\Ah... I'm sorry but I can't give out information about contractors to anyone outside the department.\Ah, right.\If they find out that you were still in touch with someone who was exiled...\That's not what I mean!\Chief Kirihara, you're still the boss to me!\Sorry. I'll call you another time.\Chief. response:	Have you heard of Section 3?
context: Ah... I'm sorry but I can't give out information about contractors to anyone outside the department.\Ah, right.\If they find out that you were still in touch with someone who was exiled...\That's not what I mean!\Chief Kirihara, you're still the boss to me!\Sorry. I'll call you another time.\Chief.\Have you heard of Section 3? response:	Section 3? No...
