context: On the fourth day of the Grand Magic Games, response:	in one of the battle part's tag matches,
context: Natsu!\Happy, is something wrong?\You here to see him off?\I'm gonna head out.\Not especially...\Really? Then I'll see ya later!\I'm not gonna say anything!\I'm not gonna say anything! response:	Yeah.
context: Happy, is something wrong?\You here to see him off?\I'm gonna head out.\Not especially...\Really? Then I'll see ya later!\I'm not gonna say anything!\I'm not gonna say anything!\Yeah. response:	I got it...
context: You here to see him off?\I'm gonna head out.\Not especially...\Really? Then I'll see ya later!\I'm not gonna say anything!\I'm not gonna say anything!\Yeah.\I got it... response:	It's Fiore's strongest guild, Sabertooth, vs.
context: I'm gonna head out.\Not especially...\Really? Then I'll see ya later!\I'm not gonna say anything!\I'm not gonna say anything!\Yeah.\I got it...\It's Fiore's strongest guild, Sabertooth, vs. response:	the strongest guild seven years ago, Fairy Tail!
context: Not especially...\Really? Then I'll see ya later!\I'm not gonna say anything!\I'm not gonna say anything!\Yeah.\I got it...\It's Fiore's strongest guild, Sabertooth, vs.\the strongest guild seven years ago, Fairy Tail! response:	And taking the challenge of this tag battle are four dragons!
context: Really? Then I'll see ya later!\I'm not gonna say anything!\I'm not gonna say anything!\Yeah.\I got it...\It's Fiore's strongest guild, Sabertooth, vs.\the strongest guild seven years ago, Fairy Tail!\And taking the challenge of this tag battle are four dragons! response:	Although one of them has gone off somewhere...
context: I'm not gonna say anything!\I'm not gonna say anything!\Yeah.\I got it...\It's Fiore's strongest guild, Sabertooth, vs.\the strongest guild seven years ago, Fairy Tail!\And taking the challenge of this tag battle are four dragons!\Although one of them has gone off somewhere... response:	Currently, below the arena,
context: I'm not gonna say anything!\Yeah.\I got it...\It's Fiore's strongest guild, Sabertooth, vs.\the strongest guild seven years ago, Fairy Tail!\And taking the challenge of this tag battle are four dragons!\Although one of them has gone off somewhere...\Currently, below the arena, response:	Natsu and the Twin Dragons are locked in fierce battle!
context: Yeah.\I got it...\It's Fiore's strongest guild, Sabertooth, vs.\the strongest guild seven years ago, Fairy Tail!\And taking the challenge of this tag battle are four dragons!\Although one of them has gone off somewhere...\Currently, below the arena,\Natsu and the Twin Dragons are locked in fierce battle! response:	It's become quiet...
context: I got it...\It's Fiore's strongest guild, Sabertooth, vs.\the strongest guild seven years ago, Fairy Tail!\And taking the challenge of this tag battle are four dragons!\Although one of them has gone off somewhere...\Currently, below the arena,\Natsu and the Twin Dragons are locked in fierce battle!\It's become quiet... response:	No... I feel a strange pressure.
context: It's Fiore's strongest guild, Sabertooth, vs.\the strongest guild seven years ago, Fairy Tail!\And taking the challenge of this tag battle are four dragons!\Although one of them has gone off somewhere...\Currently, below the arena,\Natsu and the Twin Dragons are locked in fierce battle!\It's become quiet...\No... I feel a strange pressure. response:	You too?
context: the strongest guild seven years ago, Fairy Tail!\And taking the challenge of this tag battle are four dragons!\Although one of them has gone off somewhere...\Currently, below the arena,\Natsu and the Twin Dragons are locked in fierce battle!\It's become quiet...\No... I feel a strange pressure.\You too? response:	Yeah.
context: And taking the challenge of this tag battle are four dragons!\Although one of them has gone off somewhere...\Currently, below the arena,\Natsu and the Twin Dragons are locked in fierce battle!\It's become quiet...\No... I feel a strange pressure.\You too?\Yeah. response:	Maybe this is...
context: Although one of them has gone off somewhere...\Currently, below the arena,\Natsu and the Twin Dragons are locked in fierce battle!\It's become quiet...\No... I feel a strange pressure.\You too?\Yeah.\Maybe this is... response:	Yo. How do you feel?
context: Currently, below the arena,\Natsu and the Twin Dragons are locked in fierce battle!\It's become quiet...\No... I feel a strange pressure.\You too?\Yeah.\Maybe this is...\Yo. How do you feel? response:	I'm okay. Is your match next?
context: Natsu and the Twin Dragons are locked in fierce battle!\It's become quiet...\No... I feel a strange pressure.\You too?\Yeah.\Maybe this is...\Yo. How do you feel?\I'm okay. Is your match next? response:	Yeah.
context: It's become quiet...\No... I feel a strange pressure.\You too?\Yeah.\Maybe this is...\Yo. How do you feel?\I'm okay. Is your match next?\Yeah. response:	And I'll win it for sure.
context: No... I feel a strange pressure.\You too?\Yeah.\Maybe this is...\Yo. How do you feel?\I'm okay. Is your match next?\Yeah.\And I'll win it for sure. response:	Natsu...
context: You too?\Yeah.\Maybe this is...\Yo. How do you feel?\I'm okay. Is your match next?\Yeah.\And I'll win it for sure.\Natsu... response:	I believe in you.
context: Yeah.\Maybe this is...\Yo. How do you feel?\I'm okay. Is your match next?\Yeah.\And I'll win it for sure.\Natsu...\I believe in you. response:	I have ever since I joined the guild.
context: Maybe this is...\Yo. How do you feel?\I'm okay. Is your match next?\Yeah.\And I'll win it for sure.\Natsu...\I believe in you.\I have ever since I joined the guild. response:	Thanks. Leave this to me!
context: Yo. How do you feel?\I'm okay. Is your match next?\Yeah.\And I'll win it for sure.\Natsu...\I believe in you.\I have ever since I joined the guild.\Thanks. Leave this to me! response:	What are you talking about, pressure? That's pathetic!
context: I'm okay. Is your match next?\Yeah.\And I'll win it for sure.\Natsu...\I believe in you.\I have ever since I joined the guild.\Thanks. Leave this to me!\What are you talking about, pressure? That's pathetic! response:	You're just insensitive!
context: Yeah.\And I'll win it for sure.\Natsu...\I believe in you.\I have ever since I joined the guild.\Thanks. Leave this to me!\What are you talking about, pressure? That's pathetic!\You're just insensitive! response:	What are you two doing, a husband-and-wife comedy routine?!
context: And I'll win it for sure.\Natsu...\I believe in you.\I have ever since I joined the guild.\Thanks. Leave this to me!\What are you talking about, pressure? That's pathetic!\You're just insensitive!\What are you two doing, a husband-and-wife comedy routine?! response:	We ain't married!
context: Natsu...\I believe in you.\I have ever since I joined the guild.\Thanks. Leave this to me!\What are you talking about, pressure? That's pathetic!\You're just insensitive!\What are you two doing, a husband-and-wife comedy routine?!\We ain't married! response:	No matter how far away he is,
context: I believe in you.\I have ever since I joined the guild.\Thanks. Leave this to me!\What are you talking about, pressure? That's pathetic!\You're just insensitive!\What are you two doing, a husband-and-wife comedy routine?!\We ain't married!\No matter how far away he is, response:	he'll always be watching over me...
context: I have ever since I joined the guild.\Thanks. Leave this to me!\What are you talking about, pressure? That's pathetic!\You're just insensitive!\What are you two doing, a husband-and-wife comedy routine?!\We ain't married!\No matter how far away he is,\he'll always be watching over me... response:	Look at this.
context: Thanks. Leave this to me!\What are you talking about, pressure? That's pathetic!\You're just insensitive!\What are you two doing, a husband-and-wife comedy routine?!\We ain't married!\No matter how far away he is,\he'll always be watching over me...\Look at this. response:	You're surrounded by such good children...
context: What are you talking about, pressure? That's pathetic!\You're just insensitive!\What are you two doing, a husband-and-wife comedy routine?!\We ain't married!\No matter how far away he is,\he'll always be watching over me...\Look at this.\You're surrounded by such good children... response:	There are walls that can't be broken through power alone.
context: You're just insensitive!\What are you two doing, a husband-and-wife comedy routine?!\We ain't married!\No matter how far away he is,\he'll always be watching over me...\Look at this.\You're surrounded by such good children...\There are walls that can't be broken through power alone. response:	But if there is a power that can break through those walls,
context: What are you two doing, a husband-and-wife comedy routine?!\We ain't married!\No matter how far away he is,\he'll always be watching over me...\Look at this.\You're surrounded by such good children...\There are walls that can't be broken through power alone.\But if there is a power that can break through those walls, response:	it's...
context: We ain't married!\No matter how far away he is,\he'll always be watching over me...\Look at this.\You're surrounded by such good children...\There are walls that can't be broken through power alone.\But if there is a power that can break through those walls,\it's... response:	Holy Shadow Dragon Fang Flash!
context: No matter how far away he is,\he'll always be watching over me...\Look at this.\You're surrounded by such good children...\There are walls that can't be broken through power alone.\But if there is a power that can break through those walls,\it's...\Holy Shadow Dragon Fang Flash! response:	Secret Dragon Slayer Art!
context: he'll always be watching over me...\Look at this.\You're surrounded by such good children...\There are walls that can't be broken through power alone.\But if there is a power that can break through those walls,\it's...\Holy Shadow Dragon Fang Flash!\Secret Dragon Slayer Art! response:	Crimson Lotus Exploding Flame Edge!
context: Look at this.\You're surrounded by such good children...\There are walls that can't be broken through power alone.\But if there is a power that can break through those walls,\it's...\Holy Shadow Dragon Fang Flash!\Secret Dragon Slayer Art!\Crimson Lotus Exploding Flame Edge! response:	Oh, my! It looks like the mega-moves of both sides ended the match...
context: You're surrounded by such good children...\There are walls that can't be broken through power alone.\But if there is a power that can break through those walls,\it's...\Holy Shadow Dragon Fang Flash!\Secret Dragon Slayer Art!\Crimson Lotus Exploding Flame Edge!\Oh, my! It looks like the mega-moves of both sides ended the match... response:	It's like an earthquake here!
context: There are walls that can't be broken through power alone.\But if there is a power that can break through those walls,\it's...\Holy Shadow Dragon Fang Flash!\Secret Dragon Slayer Art!\Crimson Lotus Exploding Flame Edge!\Oh, my! It looks like the mega-moves of both sides ended the match...\It's like an earthquake here! response:	Apparently, the live feed lacrima is experiencing technical difficulties,
context: But if there is a power that can break through those walls,\it's...\Holy Shadow Dragon Fang Flash!\Secret Dragon Slayer Art!\Crimson Lotus Exploding Flame Edge!\Oh, my! It looks like the mega-moves of both sides ended the match...\It's like an earthquake here!\Apparently, the live feed lacrima is experiencing technical difficulties, response:	so please sit tight a little longer!
context: it's...\Holy Shadow Dragon Fang Flash!\Secret Dragon Slayer Art!\Crimson Lotus Exploding Flame Edge!\Oh, my! It looks like the mega-moves of both sides ended the match...\It's like an earthquake here!\Apparently, the live feed lacrima is experiencing technical difficulties,\so please sit tight a little longer! response:	I don't feel any magic...
context: Holy Shadow Dragon Fang Flash!\Secret Dragon Slayer Art!\Crimson Lotus Exploding Flame Edge!\Oh, my! It looks like the mega-moves of both sides ended the match...\It's like an earthquake here!\Apparently, the live feed lacrima is experiencing technical difficulties,\so please sit tight a little longer!\I don't feel any magic... response:	Meaning it's settled...?
context: Secret Dragon Slayer Art!\Crimson Lotus Exploding Flame Edge!\Oh, my! It looks like the mega-moves of both sides ended the match...\It's like an earthquake here!\Apparently, the live feed lacrima is experiencing technical difficulties,\so please sit tight a little longer!\I don't feel any magic...\Meaning it's settled...? response:	Oh, my! Thank you for your patience!
context: Crimson Lotus Exploding Flame Edge!\Oh, my! It looks like the mega-moves of both sides ended the match...\It's like an earthquake here!\Apparently, the live feed lacrima is experiencing technical difficulties,\so please sit tight a little longer!\I don't feel any magic...\Meaning it's settled...?\Oh, my! Thank you for your patience! response:	It seems Lacrima-Vision is back up!
context: Oh, my! It looks like the mega-moves of both sides ended the match...\It's like an earthquake here!\Apparently, the live feed lacrima is experiencing technical difficulties,\so please sit tight a little longer!\I don't feel any magic...\Meaning it's settled...?\Oh, my! Thank you for your patience!\It seems Lacrima-Vision is back up! response:	Natsu Dragneel...
context: It's like an earthquake here!\Apparently, the live feed lacrima is experiencing technical difficulties,\so please sit tight a little longer!\I don't feel any magic...\Meaning it's settled...?\Oh, my! Thank you for your patience!\It seems Lacrima-Vision is back up!\Natsu Dragneel... response:	Your power is... immeasurable...
context: Apparently, the live feed lacrima is experiencing technical difficulties,\so please sit tight a little longer!\I don't feel any magic...\Meaning it's settled...?\Oh, my! Thank you for your patience!\It seems Lacrima-Vision is back up!\Natsu Dragneel...\Your power is... immeasurable... response:	Lector...
context: so please sit tight a little longer!\I don't feel any magic...\Meaning it's settled...?\Oh, my! Thank you for your patience!\It seems Lacrima-Vision is back up!\Natsu Dragneel...\Your power is... immeasurable...\Lector... response:	He's too strong...
context: I don't feel any magic...\Meaning it's settled...?\Oh, my! Thank you for your patience!\It seems Lacrima-Vision is back up!\Natsu Dragneel...\Your power is... immeasurable...\Lector...\He's too strong... response:	Natsu-san...
context: Meaning it's settled...?\Oh, my! Thank you for your patience!\It seems Lacrima-Vision is back up!\Natsu Dragneel...\Your power is... immeasurable...\Lector...\He's too strong...\Natsu-san... response:	Th-This is...
context: Oh, my! Thank you for your patience!\It seems Lacrima-Vision is back up!\Natsu Dragneel...\Your power is... immeasurable...\Lector...\He's too strong...\Natsu-san...\Th-This is... response:	The last one standing is Natsu Dragneel!
context: It seems Lacrima-Vision is back up!\Natsu Dragneel...\Your power is... immeasurable...\Lector...\He's too strong...\Natsu-san...\Th-This is...\The last one standing is Natsu Dragneel! response:	A guild is a place that nurtures feelings.
context: Natsu Dragneel...\Your power is... immeasurable...\Lector...\He's too strong...\Natsu-san...\Th-This is...\The last one standing is Natsu Dragneel!\A guild is a place that nurtures feelings. response:	It's Fairy Tail! He broke the Twin Dragons!
context: Your power is... immeasurable...\Lector...\He's too strong...\Natsu-san...\Th-This is...\The last one standing is Natsu Dragneel!\A guild is a place that nurtures feelings.\It's Fairy Tail! He broke the Twin Dragons! response:	The winner is Fairy Tail!
context: Lector...\He's too strong...\Natsu-san...\Th-This is...\The last one standing is Natsu Dragneel!\A guild is a place that nurtures feelings.\It's Fairy Tail! He broke the Twin Dragons!\The winner is Fairy Tail! response:	With this, they've leaped to first place!
context: He's too strong...\Natsu-san...\Th-This is...\The last one standing is Natsu Dragneel!\A guild is a place that nurtures feelings.\It's Fairy Tail! He broke the Twin Dragons!\The winner is Fairy Tail!\With this, they've leaped to first place! response:	And this brings an end to the fourth day of the Grand Magic Games!
context: Natsu-san...\Th-This is...\The last one standing is Natsu Dragneel!\A guild is a place that nurtures feelings.\It's Fairy Tail! He broke the Twin Dragons!\The winner is Fairy Tail!\With this, they've leaped to first place!\And this brings an end to the fourth day of the Grand Magic Games! response:	After one day off, we'll be back the day after tomorrow with the final battle!
context: Th-This is...\The last one standing is Natsu Dragneel!\A guild is a place that nurtures feelings.\It's Fairy Tail! He broke the Twin Dragons!\The winner is Fairy Tail!\With this, they've leaped to first place!\And this brings an end to the fourth day of the Grand Magic Games!\After one day off, we'll be back the day after tomorrow with the final battle! response:	The last day...
context: The last one standing is Natsu Dragneel!\A guild is a place that nurtures feelings.\It's Fairy Tail! He broke the Twin Dragons!\The winner is Fairy Tail!\With this, they've leaped to first place!\And this brings an end to the fourth day of the Grand Magic Games!\After one day off, we'll be back the day after tomorrow with the final battle!\The last day... response:	Which guild will achieve victory in the end?!
context: A guild is a place that nurtures feelings.\It's Fairy Tail! He broke the Twin Dragons!\The winner is Fairy Tail!\With this, they've leaped to first place!\And this brings an end to the fourth day of the Grand Magic Games!\After one day off, we'll be back the day after tomorrow with the final battle!\The last day...\Which guild will achieve victory in the end?! response:	Don't anyone miss it!
context: It's Fairy Tail! He broke the Twin Dragons!\The winner is Fairy Tail!\With this, they've leaped to first place!\And this brings an end to the fourth day of the Grand Magic Games!\After one day off, we'll be back the day after tomorrow with the final battle!\The last day...\Which guild will achieve victory in the end?!\Don't anyone miss it! response:	I figured it would turn out like this!
context: The winner is Fairy Tail!\With this, they've leaped to first place!\And this brings an end to the fourth day of the Grand Magic Games!\After one day off, we'll be back the day after tomorrow with the final battle!\The last day...\Which guild will achieve victory in the end?!\Don't anyone miss it!\I figured it would turn out like this! response:	That's what I expected, I guess I should say...
context: With this, they've leaped to first place!\And this brings an end to the fourth day of the Grand Magic Games!\After one day off, we'll be back the day after tomorrow with the final battle!\The last day...\Which guild will achieve victory in the end?!\Don't anyone miss it!\I figured it would turn out like this!\That's what I expected, I guess I should say... response:	Our goal for the final day has changed!
context: And this brings an end to the fourth day of the Grand Magic Games!\After one day off, we'll be back the day after tomorrow with the final battle!\The last day...\Which guild will achieve victory in the end?!\Don't anyone miss it!\I figured it would turn out like this!\That's what I expected, I guess I should say...\Our goal for the final day has changed! response:	Bring it!
context: After one day off, we'll be back the day after tomorrow with the final battle!\The last day...\Which guild will achieve victory in the end?!\Don't anyone miss it!\I figured it would turn out like this!\That's what I expected, I guess I should say...\Our goal for the final day has changed!\Bring it! response:	Defeat Fairy Tail!
context: The last day...\Which guild will achieve victory in the end?!\Don't anyone miss it!\I figured it would turn out like this!\That's what I expected, I guess I should say...\Our goal for the final day has changed!\Bring it!\Defeat Fairy Tail! response:	You're mine, Gray!
context: Which guild will achieve victory in the end?!\Don't anyone miss it!\I figured it would turn out like this!\That's what I expected, I guess I should say...\Our goal for the final day has changed!\Bring it!\Defeat Fairy Tail!\You're mine, Gray! response:	Laxus... Makarov-dono's grandchild...
context: Don't anyone miss it!\I figured it would turn out like this!\That's what I expected, I guess I should say...\Our goal for the final day has changed!\Bring it!\Defeat Fairy Tail!\You're mine, Gray!\Laxus... Makarov-dono's grandchild... response:	Erza...
context: I figured it would turn out like this!\That's what I expected, I guess I should say...\Our goal for the final day has changed!\Bring it!\Defeat Fairy Tail!\You're mine, Gray!\Laxus... Makarov-dono's grandchild...\Erza... response:	Gajeel...
context: That's what I expected, I guess I should say...\Our goal for the final day has changed!\Bring it!\Defeat Fairy Tail!\You're mine, Gray!\Laxus... Makarov-dono's grandchild...\Erza...\Gajeel... response:	Let's have some fun, Natsu-kun...
context: Our goal for the final day has changed!\Bring it!\Defeat Fairy Tail!\You're mine, Gray!\Laxus... Makarov-dono's grandchild...\Erza...\Gajeel...\Let's have some fun, Natsu-kun... response:	Lector...
context: Bring it!\Defeat Fairy Tail!\You're mine, Gray!\Laxus... Makarov-dono's grandchild...\Erza...\Gajeel...\Let's have some fun, Natsu-kun...\Lector... response:	I can't believe those two lost...
context: Defeat Fairy Tail!\You're mine, Gray!\Laxus... Makarov-dono's grandchild...\Erza...\Gajeel...\Let's have some fun, Natsu-kun...\Lector...\I can't believe those two lost... response:	It was an interesting match.
context: You're mine, Gray!\Laxus... Makarov-dono's grandchild...\Erza...\Gajeel...\Let's have some fun, Natsu-kun...\Lector...\I can't believe those two lost...\It was an interesting match. response:	I've thoroughly memorized it.
context: Laxus... Makarov-dono's grandchild...\Erza...\Gajeel...\Let's have some fun, Natsu-kun...\Lector...\I can't believe those two lost...\It was an interesting match.\I've thoroughly memorized it. response:	This'll keep us in the spotlight for a while.
context: Erza...\Gajeel...\Let's have some fun, Natsu-kun...\Lector...\I can't believe those two lost...\It was an interesting match.\I've thoroughly memorized it.\This'll keep us in the spotlight for a while. response:	For a while... If they have a while...
context: Gajeel...\Let's have some fun, Natsu-kun...\Lector...\I can't believe those two lost...\It was an interesting match.\I've thoroughly memorized it.\This'll keep us in the spotlight for a while.\For a while... If they have a while... response:	Th-That guy...
context: Let's have some fun, Natsu-kun...\Lector...\I can't believe those two lost...\It was an interesting match.\I've thoroughly memorized it.\This'll keep us in the spotlight for a while.\For a while... If they have a while...\Th-That guy... response:	Saber's master!
context: Lector...\I can't believe those two lost...\It was an interesting match.\I've thoroughly memorized it.\This'll keep us in the spotlight for a while.\For a while... If they have a while...\Th-That guy...\Saber's master! response:	The power of feelings, eh?
context: I can't believe those two lost...\It was an interesting match.\I've thoroughly memorized it.\This'll keep us in the spotlight for a while.\For a while... If they have a while...\Th-That guy...\Saber's master!\The power of feelings, eh? response:	Go ahead. I'll give this match to you.
context: It was an interesting match.\I've thoroughly memorized it.\This'll keep us in the spotlight for a while.\For a while... If they have a while...\Th-That guy...\Saber's master!\The power of feelings, eh?\Go ahead. I'll give this match to you. response:	After this one, we're gonna keep winning anyway.
context: I've thoroughly memorized it.\This'll keep us in the spotlight for a while.\For a while... If they have a while...\Th-That guy...\Saber's master!\The power of feelings, eh?\Go ahead. I'll give this match to you.\After this one, we're gonna keep winning anyway. response:	We're not gonna miss one or two points.
context: This'll keep us in the spotlight for a while.\For a while... If they have a while...\Th-That guy...\Saber's master!\The power of feelings, eh?\Go ahead. I'll give this match to you.\After this one, we're gonna keep winning anyway.\We're not gonna miss one or two points. response:	Don't cry about that one point later, kid!
context: For a while... If they have a while...\Th-That guy...\Saber's master!\The power of feelings, eh?\Go ahead. I'll give this match to you.\After this one, we're gonna keep winning anyway.\We're not gonna miss one or two points.\Don't cry about that one point later, kid! response:	Let's fight again sometime!
context: Th-That guy...\Saber's master!\The power of feelings, eh?\Go ahead. I'll give this match to you.\After this one, we're gonna keep winning anyway.\We're not gonna miss one or two points.\Don't cry about that one point later, kid!\Let's fight again sometime! response:	Total defeat...
context: Saber's master!\The power of feelings, eh?\Go ahead. I'll give this match to you.\After this one, we're gonna keep winning anyway.\We're not gonna miss one or two points.\Don't cry about that one point later, kid!\Let's fight again sometime!\Total defeat... response:	If Gajeel has the same fighting strength as Natsu...
context: The power of feelings, eh?\Go ahead. I'll give this match to you.\After this one, we're gonna keep winning anyway.\We're not gonna miss one or two points.\Don't cry about that one point later, kid!\Let's fight again sometime!\Total defeat...\If Gajeel has the same fighting strength as Natsu... response:	Just how arrogant am I?
context: Go ahead. I'll give this match to you.\After this one, we're gonna keep winning anyway.\We're not gonna miss one or two points.\Don't cry about that one point later, kid!\Let's fight again sometime!\Total defeat...\If Gajeel has the same fighting strength as Natsu...\Just how arrogant am I? response:	You did it, Natsu!
context: After this one, we're gonna keep winning anyway.\We're not gonna miss one or two points.\Don't cry about that one point later, kid!\Let's fight again sometime!\Total defeat...\If Gajeel has the same fighting strength as Natsu...\Just how arrogant am I?\You did it, Natsu! response:	I gotta hurry up and tell Lucy!
context: We're not gonna miss one or two points.\Don't cry about that one point later, kid!\Let's fight again sometime!\Total defeat...\If Gajeel has the same fighting strength as Natsu...\Just how arrogant am I?\You did it, Natsu!\I gotta hurry up and tell Lucy! response:	You did it, Natsu!
context: Don't cry about that one point later, kid!\Let's fight again sometime!\Total defeat...\If Gajeel has the same fighting strength as Natsu...\Just how arrogant am I?\You did it, Natsu!\I gotta hurry up and tell Lucy!\You did it, Natsu! response:	Yeah, well...
context: Let's fight again sometime!\Total defeat...\If Gajeel has the same fighting strength as Natsu...\Just how arrogant am I?\You did it, Natsu!\I gotta hurry up and tell Lucy!\You did it, Natsu!\Yeah, well... response:	Today, I'll give you honest praise, Natsu.
context: Total defeat...\If Gajeel has the same fighting strength as Natsu...\Just how arrogant am I?\You did it, Natsu!\I gotta hurry up and tell Lucy!\You did it, Natsu!\Yeah, well...\Today, I'll give you honest praise, Natsu. response:	You're incredible.
context: If Gajeel has the same fighting strength as Natsu...\Just how arrogant am I?\You did it, Natsu!\I gotta hurry up and tell Lucy!\You did it, Natsu!\Yeah, well...\Today, I'll give you honest praise, Natsu.\You're incredible. response:	R-Really?
context: Just how arrogant am I?\You did it, Natsu!\I gotta hurry up and tell Lucy!\You did it, Natsu!\Yeah, well...\Today, I'll give you honest praise, Natsu.\You're incredible.\R-Really? response:	Don't be modest!
context: You did it, Natsu!\I gotta hurry up and tell Lucy!\You did it, Natsu!\Yeah, well...\Today, I'll give you honest praise, Natsu.\You're incredible.\R-Really?\Don't be modest! response:	You gave us a good show, but what happened to Gajeel?!
context: I gotta hurry up and tell Lucy!\You did it, Natsu!\Yeah, well...\Today, I'll give you honest praise, Natsu.\You're incredible.\R-Really?\Don't be modest!\You gave us a good show, but what happened to Gajeel?! response:	Come to think of it...
context: You did it, Natsu!\Yeah, well...\Today, I'll give you honest praise, Natsu.\You're incredible.\R-Really?\Don't be modest!\You gave us a good show, but what happened to Gajeel?!\Come to think of it... response:	He took off during the middle of it! Doesn't he know the meaning of tag battle?!
context: Yeah, well...\Today, I'll give you honest praise, Natsu.\You're incredible.\R-Really?\Don't be modest!\You gave us a good show, but what happened to Gajeel?!\Come to think of it...\He took off during the middle of it! Doesn't he know the meaning of tag battle?! response:	Have you forgotten what you did?!
context: Today, I'll give you honest praise, Natsu.\You're incredible.\R-Really?\Don't be modest!\You gave us a good show, but what happened to Gajeel?!\Come to think of it...\He took off during the middle of it! Doesn't he know the meaning of tag battle?!\Have you forgotten what you did?! response:	That's Natsu!
context: You're incredible.\R-Really?\Don't be modest!\You gave us a good show, but what happened to Gajeel?!\Come to think of it...\He took off during the middle of it! Doesn't he know the meaning of tag battle?!\Have you forgotten what you did?!\That's Natsu! response:	Get plenty of rest tomorrow to prepare for the final day's survival battle.
context: R-Really?\Don't be modest!\You gave us a good show, but what happened to Gajeel?!\Come to think of it...\He took off during the middle of it! Doesn't he know the meaning of tag battle?!\Have you forgotten what you did?!\That's Natsu!\Get plenty of rest tomorrow to prepare for the final day's survival battle. response:	The final battle, huh?
context: Don't be modest!\You gave us a good show, but what happened to Gajeel?!\Come to think of it...\He took off during the middle of it! Doesn't he know the meaning of tag battle?!\Have you forgotten what you did?!\That's Natsu!\Get plenty of rest tomorrow to prepare for the final day's survival battle.\The final battle, huh? response:	I'm gonna win it for sure!
context: You gave us a good show, but what happened to Gajeel?!\Come to think of it...\He took off during the middle of it! Doesn't he know the meaning of tag battle?!\Have you forgotten what you did?!\That's Natsu!\Get plenty of rest tomorrow to prepare for the final day's survival battle.\The final battle, huh?\I'm gonna win it for sure! response:	Victory first!
context: Come to think of it...\He took off during the middle of it! Doesn't he know the meaning of tag battle?!\Have you forgotten what you did?!\That's Natsu!\Get plenty of rest tomorrow to prepare for the final day's survival battle.\The final battle, huh?\I'm gonna win it for sure!\Victory first! response:	After that, I'm gonna fight you two, Erza and Gray!
context: He took off during the middle of it! Doesn't he know the meaning of tag battle?!\Have you forgotten what you did?!\That's Natsu!\Get plenty of rest tomorrow to prepare for the final day's survival battle.\The final battle, huh?\I'm gonna win it for sure!\Victory first!\After that, I'm gonna fight you two, Erza and Gray! response:	Fine with me.
context: Have you forgotten what you did?!\That's Natsu!\Get plenty of rest tomorrow to prepare for the final day's survival battle.\The final battle, huh?\I'm gonna win it for sure!\Victory first!\After that, I'm gonna fight you two, Erza and Gray!\Fine with me. response:	I think you're putting the horse before the carriage or whatever...
context: That's Natsu!\Get plenty of rest tomorrow to prepare for the final day's survival battle.\The final battle, huh?\I'm gonna win it for sure!\Victory first!\After that, I'm gonna fight you two, Erza and Gray!\Fine with me.\I think you're putting the horse before the carriage or whatever... response:	Good job!
context: Get plenty of rest tomorrow to prepare for the final day's survival battle.\The final battle, huh?\I'm gonna win it for sure!\Victory first!\After that, I'm gonna fight you two, Erza and Gray!\Fine with me.\I think you're putting the horse before the carriage or whatever...\Good job! response:	Aren't you gonna ask how it turned out?
context: The final battle, huh?\I'm gonna win it for sure!\Victory first!\After that, I'm gonna fight you two, Erza and Gray!\Fine with me.\I think you're putting the horse before the carriage or whatever...\Good job!\Aren't you gonna ask how it turned out? response:	I already said, remember?
context: I'm gonna win it for sure!\Victory first!\After that, I'm gonna fight you two, Erza and Gray!\Fine with me.\I think you're putting the horse before the carriage or whatever...\Good job!\Aren't you gonna ask how it turned out?\I already said, remember? response:	I've believed in you since I first joined the guild.
context: Victory first!\After that, I'm gonna fight you two, Erza and Gray!\Fine with me.\I think you're putting the horse before the carriage or whatever...\Good job!\Aren't you gonna ask how it turned out?\I already said, remember?\I've believed in you since I first joined the guild. response:	But it ain't over.
context: After that, I'm gonna fight you two, Erza and Gray!\Fine with me.\I think you're putting the horse before the carriage or whatever...\Good job!\Aren't you gonna ask how it turned out?\I already said, remember?\I've believed in you since I first joined the guild.\But it ain't over. response:	This is just the beginning.
context: Fine with me.\I think you're putting the horse before the carriage or whatever...\Good job!\Aren't you gonna ask how it turned out?\I already said, remember?\I've believed in you since I first joined the guild.\But it ain't over.\This is just the beginning. response:	Our aim is winning, right?
context: I think you're putting the horse before the carriage or whatever...\Good job!\Aren't you gonna ask how it turned out?\I already said, remember?\I've believed in you since I first joined the guild.\But it ain't over.\This is just the beginning.\Our aim is winning, right? response:	Of course! We've made it this far.
context: Good job!\Aren't you gonna ask how it turned out?\I already said, remember?\I've believed in you since I first joined the guild.\But it ain't over.\This is just the beginning.\Our aim is winning, right?\Of course! We've made it this far. response:	Although we were off to a rotten start in last place on the first day...
context: Aren't you gonna ask how it turned out?\I already said, remember?\I've believed in you since I first joined the guild.\But it ain't over.\This is just the beginning.\Our aim is winning, right?\Of course! We've made it this far.\Although we were off to a rotten start in last place on the first day... response:	We were even booed then.
context: I already said, remember?\I've believed in you since I first joined the guild.\But it ain't over.\This is just the beginning.\Our aim is winning, right?\Of course! We've made it this far.\Although we were off to a rotten start in last place on the first day...\We were even booed then. response:	And laughed at and we got frustrated.
context: I've believed in you since I first joined the guild.\But it ain't over.\This is just the beginning.\Our aim is winning, right?\Of course! We've made it this far.\Although we were off to a rotten start in last place on the first day...\We were even booed then.\And laughed at and we got frustrated. response:	But now we're one step away from victory!
