context: Somebody! response:	Isn't there anyone around?!
context: What's this girl's problem?\Hey, Paula, you're always looking at Tsugumi, aren't you?\What's your relationship to Tsugumi?\Oh, did you go to the same junior high, maybe?\That's none of your business!\Well, you see, I've got an older sister.\See, over there!\My sister's name is Kosaki, response:	and she's always been sweet and a little ditzy, but she's really dependable,
context: Hey, Paula, you're always looking at Tsugumi, aren't you?\What's your relationship to Tsugumi?\Oh, did you go to the same junior high, maybe?\That's none of your business!\Well, you see, I've got an older sister.\See, over there!\My sister's name is Kosaki,\and she's always been sweet and a little ditzy, but she's really dependable, response:	and she's my beloved, precious big sister!
context: What's your relationship to Tsugumi?\Oh, did you go to the same junior high, maybe?\That's none of your business!\Well, you see, I've got an older sister.\See, over there!\My sister's name is Kosaki,\and she's always been sweet and a little ditzy, but she's really dependable,\and she's my beloved, precious big sister! response:	I was wondering if maybe you felt the same way towards Tsugumi, you know?
context: Oh, did you go to the same junior high, maybe?\That's none of your business!\Well, you see, I've got an older sister.\See, over there!\My sister's name is Kosaki,\and she's always been sweet and a little ditzy, but she's really dependable,\and she's my beloved, precious big sister!\I was wondering if maybe you felt the same way towards Tsugumi, you know? response:	I told you, it's none of your business!
context: That's none of your business!\Well, you see, I've got an older sister.\See, over there!\My sister's name is Kosaki,\and she's always been sweet and a little ditzy, but she's really dependable,\and she's my beloved, precious big sister!\I was wondering if maybe you felt the same way towards Tsugumi, you know?\I told you, it's none of your business! response:	Why are you paying so much attention to me, anyway?!
context: Well, you see, I've got an older sister.\See, over there!\My sister's name is Kosaki,\and she's always been sweet and a little ditzy, but she's really dependable,\and she's my beloved, precious big sister!\I was wondering if maybe you felt the same way towards Tsugumi, you know?\I told you, it's none of your business!\Why are you paying so much attention to me, anyway?! response:	What's the problem? You're so stingy!
context: See, over there!\My sister's name is Kosaki,\and she's always been sweet and a little ditzy, but she's really dependable,\and she's my beloved, precious big sister!\I was wondering if maybe you felt the same way towards Tsugumi, you know?\I told you, it's none of your business!\Why are you paying so much attention to me, anyway?!\What's the problem? You're so stingy! response:	Everybody's starting to jump into the pool!
context: My sister's name is Kosaki,\and she's always been sweet and a little ditzy, but she's really dependable,\and she's my beloved, precious big sister!\I was wondering if maybe you felt the same way towards Tsugumi, you know?\I told you, it's none of your business!\Why are you paying so much attention to me, anyway?!\What's the problem? You're so stingy!\Everybody's starting to jump into the pool! response:	Young Mistress! You forgot to stretch!
context: and she's always been sweet and a little ditzy, but she's really dependable,\and she's my beloved, precious big sister!\I was wondering if maybe you felt the same way towards Tsugumi, you know?\I told you, it's none of your business!\Why are you paying so much attention to me, anyway?!\What's the problem? You're so stingy!\Everybody's starting to jump into the pool!\Young Mistress! You forgot to stretch! response:	Why don't we go in, too, Paula?
context: and she's my beloved, precious big sister!\I was wondering if maybe you felt the same way towards Tsugumi, you know?\I told you, it's none of your business!\Why are you paying so much attention to me, anyway?!\What's the problem? You're so stingy!\Everybody's starting to jump into the pool!\Young Mistress! You forgot to stretch!\Why don't we go in, too, Paula? response:	We've got floats and water pistols and stuff!
context: I was wondering if maybe you felt the same way towards Tsugumi, you know?\I told you, it's none of your business!\Why are you paying so much attention to me, anyway?!\What's the problem? You're so stingy!\Everybody's starting to jump into the pool!\Young Mistress! You forgot to stretch!\Why don't we go in, too, Paula?\We've got floats and water pistols and stuff! response:	Do whatever you want.
context: I told you, it's none of your business!\Why are you paying so much attention to me, anyway?!\What's the problem? You're so stingy!\Everybody's starting to jump into the pool!\Young Mistress! You forgot to stretch!\Why don't we go in, too, Paula?\We've got floats and water pistols and stuff!\Do whatever you want. response:	Hold up! No way!
context: Why are you paying so much attention to me, anyway?!\What's the problem? You're so stingy!\Everybody's starting to jump into the pool!\Young Mistress! You forgot to stretch!\Why don't we go in, too, Paula?\We've got floats and water pistols and stuff!\Do whatever you want.\Hold up! No way! response:	Amazing!
context: What's the problem? You're so stingy!\Everybody's starting to jump into the pool!\Young Mistress! You forgot to stretch!\Why don't we go in, too, Paula?\We've got floats and water pistols and stuff!\Do whatever you want.\Hold up! No way!\Amazing! response:	Jeez, talk about acting too buddy-buddy.
context: Everybody's starting to jump into the pool!\Young Mistress! You forgot to stretch!\Why don't we go in, too, Paula?\We've got floats and water pistols and stuff!\Do whatever you want.\Hold up! No way!\Amazing!\Jeez, talk about acting too buddy-buddy. response:	What do I care about relationships?
context: Young Mistress! You forgot to stretch!\Why don't we go in, too, Paula?\We've got floats and water pistols and stuff!\Do whatever you want.\Hold up! No way!\Amazing!\Jeez, talk about acting too buddy-buddy.\What do I care about relationships? response:	They're sure handling those water pistols like amateurs.
context: Why don't we go in, too, Paula?\We've got floats and water pistols and stuff!\Do whatever you want.\Hold up! No way!\Amazing!\Jeez, talk about acting too buddy-buddy.\What do I care about relationships?\They're sure handling those water pistols like amateurs. response:	If it were me, I'd go like...
context: We've got floats and water pistols and stuff!\Do whatever you want.\Hold up! No way!\Amazing!\Jeez, talk about acting too buddy-buddy.\What do I care about relationships?\They're sure handling those water pistols like amateurs.\If it were me, I'd go like... response:	What the...?
context: Do whatever you want.\Hold up! No way!\Amazing!\Jeez, talk about acting too buddy-buddy.\What do I care about relationships?\They're sure handling those water pistols like amateurs.\If it were me, I'd go like...\What the...? response:	What's the big idea, damn you?!
context: Hold up! No way!\Amazing!\Jeez, talk about acting too buddy-buddy.\What do I care about relationships?\They're sure handling those water pistols like amateurs.\If it were me, I'd go like...\What the...?\What's the big idea, damn you?! response:	No, what do you think you're doing?
context: Amazing!\Jeez, talk about acting too buddy-buddy.\What do I care about relationships?\They're sure handling those water pistols like amateurs.\If it were me, I'd go like...\What the...?\What's the big idea, damn you?!\No, what do you think you're doing? response:	It's so obvious that you're dying to join in.
context: Jeez, talk about acting too buddy-buddy.\What do I care about relationships?\They're sure handling those water pistols like amateurs.\If it were me, I'd go like...\What the...?\What's the big idea, damn you?!\No, what do you think you're doing?\It's so obvious that you're dying to join in. response:	If you want to play, then just play.
context: What do I care about relationships?\They're sure handling those water pistols like amateurs.\If it were me, I'd go like...\What the...?\What's the big idea, damn you?!\No, what do you think you're doing?\It's so obvious that you're dying to join in.\If you want to play, then just play. response:	What... Wh-Who wants to...?
context: They're sure handling those water pistols like amateurs.\If it were me, I'd go like...\What the...?\What's the big idea, damn you?!\No, what do you think you're doing?\It's so obvious that you're dying to join in.\If you want to play, then just play.\What... Wh-Who wants to...? response:	I have absolutely no desire to play!
context: If it were me, I'd go like...\What the...?\What's the big idea, damn you?!\No, what do you think you're doing?\It's so obvious that you're dying to join in.\If you want to play, then just play.\What... Wh-Who wants to...?\I have absolutely no desire to play! response:	Dummy, you can't hide it.
context: What the...?\What's the big idea, damn you?!\No, what do you think you're doing?\It's so obvious that you're dying to join in.\If you want to play, then just play.\What... Wh-Who wants to...?\I have absolutely no desire to play!\Dummy, you can't hide it. response:	It's written all over your face.
context: What's the big idea, damn you?!\No, what do you think you're doing?\It's so obvious that you're dying to join in.\If you want to play, then just play.\What... Wh-Who wants to...?\I have absolutely no desire to play!\Dummy, you can't hide it.\It's written all over your face. response:	Didn't you say you were trying to learn more about this world?
context: No, what do you think you're doing?\It's so obvious that you're dying to join in.\If you want to play, then just play.\What... Wh-Who wants to...?\I have absolutely no desire to play!\Dummy, you can't hide it.\It's written all over your face.\Didn't you say you were trying to learn more about this world? response:	But I don't have a clue...
context: It's so obvious that you're dying to join in.\If you want to play, then just play.\What... Wh-Who wants to...?\I have absolutely no desire to play!\Dummy, you can't hide it.\It's written all over your face.\Didn't you say you were trying to learn more about this world?\But I don't have a clue... response:	I've never played with so many people like this,
context: If you want to play, then just play.\What... Wh-Who wants to...?\I have absolutely no desire to play!\Dummy, you can't hide it.\It's written all over your face.\Didn't you say you were trying to learn more about this world?\But I don't have a clue...\I've never played with so many people like this, response:	and I have no idea what expression I should have when I join in.
context: What... Wh-Who wants to...?\I have absolutely no desire to play!\Dummy, you can't hide it.\It's written all over your face.\Didn't you say you were trying to learn more about this world?\But I don't have a clue...\I've never played with so many people like this,\and I have no idea what expression I should have when I join in. response:	Idiot!
context: I have absolutely no desire to play!\Dummy, you can't hide it.\It's written all over your face.\Didn't you say you were trying to learn more about this world?\But I don't have a clue...\I've never played with so many people like this,\and I have no idea what expression I should have when I join in.\Idiot! response:	Who cares what your expression is - if you don't join in, you'll never know!
context: Dummy, you can't hide it.\It's written all over your face.\Didn't you say you were trying to learn more about this world?\But I don't have a clue...\I've never played with so many people like this,\and I have no idea what expression I should have when I join in.\Idiot!\Who cares what your expression is - if you don't join in, you'll never know! response:	You do have some interest in why Tsugumi changed after coming here, right?
context: It's written all over your face.\Didn't you say you were trying to learn more about this world?\But I don't have a clue...\I've never played with so many people like this,\and I have no idea what expression I should have when I join in.\Idiot!\Who cares what your expression is - if you don't join in, you'll never know!\You do have some interest in why Tsugumi changed after coming here, right? response:	Then come on.
context: Didn't you say you were trying to learn more about this world?\But I don't have a clue...\I've never played with so many people like this,\and I have no idea what expression I should have when I join in.\Idiot!\Who cares what your expression is - if you don't join in, you'll never know!\You do have some interest in why Tsugumi changed after coming here, right?\Then come on. response:	Everybody's waiting.
context: But I don't have a clue...\I've never played with so many people like this,\and I have no idea what expression I should have when I join in.\Idiot!\Who cares what your expression is - if you don't join in, you'll never know!\You do have some interest in why Tsugumi changed after coming here, right?\Then come on.\Everybody's waiting. response:	Paula! Thank goodness, you came back!
context: I've never played with so many people like this,\and I have no idea what expression I should have when I join in.\Idiot!\Who cares what your expression is - if you don't join in, you'll never know!\You do have some interest in why Tsugumi changed after coming here, right?\Then come on.\Everybody's waiting.\Paula! Thank goodness, you came back! response:	Hey, hey, wanna swim together?
context: and I have no idea what expression I should have when I join in.\Idiot!\Who cares what your expression is - if you don't join in, you'll never know!\You do have some interest in why Tsugumi changed after coming here, right?\Then come on.\Everybody's waiting.\Paula! Thank goodness, you came back!\Hey, hey, wanna swim together? response:	No... I...
context: Idiot!\Who cares what your expression is - if you don't join in, you'll never know!\You do have some interest in why Tsugumi changed after coming here, right?\Then come on.\Everybody's waiting.\Paula! Thank goodness, you came back!\Hey, hey, wanna swim together?\No... I... response:	You're not gonna swim?
context: Who cares what your expression is - if you don't join in, you'll never know!\You do have some interest in why Tsugumi changed after coming here, right?\Then come on.\Everybody's waiting.\Paula! Thank goodness, you came back!\Hey, hey, wanna swim together?\No... I...\You're not gonna swim? response:	Just let me make one thing clear. I'm not here because you told me to come.
context: You do have some interest in why Tsugumi changed after coming here, right?\Then come on.\Everybody's waiting.\Paula! Thank goodness, you came back!\Hey, hey, wanna swim together?\No... I...\You're not gonna swim?\Just let me make one thing clear. I'm not here because you told me to come. response:	I just felt like taking a break, that's all.
context: Then come on.\Everybody's waiting.\Paula! Thank goodness, you came back!\Hey, hey, wanna swim together?\No... I...\You're not gonna swim?\Just let me make one thing clear. I'm not here because you told me to come.\I just felt like taking a break, that's all. response:	Yeah, sure, gotcha.
context: Everybody's waiting.\Paula! Thank goodness, you came back!\Hey, hey, wanna swim together?\No... I...\You're not gonna swim?\Just let me make one thing clear. I'm not here because you told me to come.\I just felt like taking a break, that's all.\Yeah, sure, gotcha. response:	Come on, come on, don't be shy!
context: Paula! Thank goodness, you came back!\Hey, hey, wanna swim together?\No... I...\You're not gonna swim?\Just let me make one thing clear. I'm not here because you told me to come.\I just felt like taking a break, that's all.\Yeah, sure, gotcha.\Come on, come on, don't be shy! response:	Let's swim!
context: Hey, hey, wanna swim together?\No... I...\You're not gonna swim?\Just let me make one thing clear. I'm not here because you told me to come.\I just felt like taking a break, that's all.\Yeah, sure, gotcha.\Come on, come on, don't be shy!\Let's swim! response:	I told you, I...
context: No... I...\You're not gonna swim?\Just let me make one thing clear. I'm not here because you told me to come.\I just felt like taking a break, that's all.\Yeah, sure, gotcha.\Come on, come on, don't be shy!\Let's swim!\I told you, I... response:	M-My legs...
context: You're not gonna swim?\Just let me make one thing clear. I'm not here because you told me to come.\I just felt like taking a break, that's all.\Yeah, sure, gotcha.\Come on, come on, don't be shy!\Let's swim!\I told you, I...\M-My legs... response:	Paula... you can't swim?
context: Just let me make one thing clear. I'm not here because you told me to come.\I just felt like taking a break, that's all.\Yeah, sure, gotcha.\Come on, come on, don't be shy!\Let's swim!\I told you, I...\M-My legs...\Paula... you can't swim? response:	Oh, shut up! You got a problem with that?!
context: I just felt like taking a break, that's all.\Yeah, sure, gotcha.\Come on, come on, don't be shy!\Let's swim!\I told you, I...\M-My legs...\Paula... you can't swim?\Oh, shut up! You got a problem with that?! response:	Whaaat? No way! Who knew?
context: Yeah, sure, gotcha.\Come on, come on, don't be shy!\Let's swim!\I told you, I...\M-My legs...\Paula... you can't swim?\Oh, shut up! You got a problem with that?!\Whaaat? No way! Who knew? response:	So you do have some endearing aspects!
context: Come on, come on, don't be shy!\Let's swim!\I told you, I...\M-My legs...\Paula... you can't swim?\Oh, shut up! You got a problem with that?!\Whaaat? No way! Who knew?\So you do have some endearing aspects! response:	Shut up! Shut up!
context: Let's swim!\I told you, I...\M-My legs...\Paula... you can't swim?\Oh, shut up! You got a problem with that?!\Whaaat? No way! Who knew?\So you do have some endearing aspects!\Shut up! Shut up! response:	I'm never getting into the pool again!
context: I told you, I...\M-My legs...\Paula... you can't swim?\Oh, shut up! You got a problem with that?!\Whaaat? No way! Who knew?\So you do have some endearing aspects!\Shut up! Shut up!\I'm never getting into the pool again! response:	Hey, don't be like that, all right?
context: M-My legs...\Paula... you can't swim?\Oh, shut up! You got a problem with that?!\Whaaat? No way! Who knew?\So you do have some endearing aspects!\Shut up! Shut up!\I'm never getting into the pool again!\Hey, don't be like that, all right? response:	How anyone finds this fun, I'll never know! Jeez, I'm so wiped!
context: Paula... you can't swim?\Oh, shut up! You got a problem with that?!\Whaaat? No way! Who knew?\So you do have some endearing aspects!\Shut up! Shut up!\I'm never getting into the pool again!\Hey, don't be like that, all right?\How anyone finds this fun, I'll never know! Jeez, I'm so wiped! response:	Youth, eh?
context: Oh, shut up! You got a problem with that?!\Whaaat? No way! Who knew?\So you do have some endearing aspects!\Shut up! Shut up!\I'm never getting into the pool again!\Hey, don't be like that, all right?\How anyone finds this fun, I'll never know! Jeez, I'm so wiped!\Youth, eh? response:	Visiting the Sick
context: Whaaat? No way! Who knew?\So you do have some endearing aspects!\Shut up! Shut up!\I'm never getting into the pool again!\Hey, don't be like that, all right?\How anyone finds this fun, I'll never know! Jeez, I'm so wiped!\Youth, eh?\Visiting the Sick response:	Onodera's got a cold?
context: So you do have some endearing aspects!\Shut up! Shut up!\I'm never getting into the pool again!\Hey, don't be like that, all right?\How anyone finds this fun, I'll never know! Jeez, I'm so wiped!\Youth, eh?\Visiting the Sick\Onodera's got a cold? response:	That's right.
context: Shut up! Shut up!\I'm never getting into the pool again!\Hey, don't be like that, all right?\How anyone finds this fun, I'll never know! Jeez, I'm so wiped!\Youth, eh?\Visiting the Sick\Onodera's got a cold?\That's right. response:	I want to go see her myself, but I've got something to do.
context: I'm never getting into the pool again!\Hey, don't be like that, all right?\How anyone finds this fun, I'll never know! Jeez, I'm so wiped!\Youth, eh?\Visiting the Sick\Onodera's got a cold?\That's right.\I want to go see her myself, but I've got something to do. response:	Ichijo, would you mind going in my place?
context: Hey, don't be like that, all right?\How anyone finds this fun, I'll never know! Jeez, I'm so wiped!\Youth, eh?\Visiting the Sick\Onodera's got a cold?\That's right.\I want to go see her myself, but I've got something to do.\Ichijo, would you mind going in my place? response:	But are you sure it's okay for me to go?
context: How anyone finds this fun, I'll never know! Jeez, I'm so wiped!\Youth, eh?\Visiting the Sick\Onodera's got a cold?\That's right.\I want to go see her myself, but I've got something to do.\Ichijo, would you mind going in my place?\But are you sure it's okay for me to go? response:	What are you talking about?
context: Youth, eh?\Visiting the Sick\Onodera's got a cold?\That's right.\I want to go see her myself, but I've got something to do.\Ichijo, would you mind going in my place?\But are you sure it's okay for me to go?\What are you talking about? response:	Kosaki says she wants you to come over.
context: Visiting the Sick\Onodera's got a cold?\That's right.\I want to go see her myself, but I've got something to do.\Ichijo, would you mind going in my place?\But are you sure it's okay for me to go?\What are you talking about?\Kosaki says she wants you to come over. response:	Whaaat?
context: Onodera's got a cold?\That's right.\I want to go see her myself, but I've got something to do.\Ichijo, would you mind going in my place?\But are you sure it's okay for me to go?\What are you talking about?\Kosaki says she wants you to come over.\Whaaat? response:	ONODERA JAPANESE CONFECTIONS
context: That's right.\I want to go see her myself, but I've got something to do.\Ichijo, would you mind going in my place?\But are you sure it's okay for me to go?\What are you talking about?\Kosaki says she wants you to come over.\Whaaat?\ONODERA JAPANESE CONFECTIONS response:	And so I did end up coming,
context: I want to go see her myself, but I've got something to do.\Ichijo, would you mind going in my place?\But are you sure it's okay for me to go?\What are you talking about?\Kosaki says she wants you to come over.\Whaaat?\ONODERA JAPANESE CONFECTIONS\And so I did end up coming, response:	but is it really okay?
context: Ichijo, would you mind going in my place?\But are you sure it's okay for me to go?\What are you talking about?\Kosaki says she wants you to come over.\Whaaat?\ONODERA JAPANESE CONFECTIONS\And so I did end up coming,\but is it really okay? response:	A guy visiting a girl at home alone?
context: But are you sure it's okay for me to go?\What are you talking about?\Kosaki says she wants you to come over.\Whaaat?\ONODERA JAPANESE CONFECTIONS\And so I did end up coming,\but is it really okay?\A guy visiting a girl at home alone? response:	Closed for the next few days
context: What are you talking about?\Kosaki says she wants you to come over.\Whaaat?\ONODERA JAPANESE CONFECTIONS\And so I did end up coming,\but is it really okay?\A guy visiting a girl at home alone?\Closed for the next few days response:	Huh? The shop is closed.
context: Kosaki says she wants you to come over.\Whaaat?\ONODERA JAPANESE CONFECTIONS\And so I did end up coming,\but is it really okay?\A guy visiting a girl at home alone?\Closed for the next few days\Huh? The shop is closed. response:	Come to think of it, Miyamoto did tell me to go in from the back.
context: Whaaat?\ONODERA JAPANESE CONFECTIONS\And so I did end up coming,\but is it really okay?\A guy visiting a girl at home alone?\Closed for the next few days\Huh? The shop is closed.\Come to think of it, Miyamoto did tell me to go in from the back. response:	Yes?
context: ONODERA JAPANESE CONFECTIONS\And so I did end up coming,\but is it really okay?\A guy visiting a girl at home alone?\Closed for the next few days\Huh? The shop is closed.\Come to think of it, Miyamoto did tell me to go in from the back.\Yes? response:	Yes? Who's there...?
context: And so I did end up coming,\but is it really okay?\A guy visiting a girl at home alone?\Closed for the next few days\Huh? The shop is closed.\Come to think of it, Miyamoto did tell me to go in from the back.\Yes?\Yes? Who's there...? response:	Huh? Wait... Onodera?
context: but is it really okay?\A guy visiting a girl at home alone?\Closed for the next few days\Huh? The shop is closed.\Come to think of it, Miyamoto did tell me to go in from the back.\Yes?\Yes? Who's there...?\Huh? Wait... Onodera? response:	What's wrong, Onodera? Open up, will you?
context: A guy visiting a girl at home alone?\Closed for the next few days\Huh? The shop is closed.\Come to think of it, Miyamoto did tell me to go in from the back.\Yes?\Yes? Who's there...?\Huh? Wait... Onodera?\What's wrong, Onodera? Open up, will you? response:	Okay? Come on!
context: Closed for the next few days\Huh? The shop is closed.\Come to think of it, Miyamoto did tell me to go in from the back.\Yes?\Yes? Who's there...?\Huh? Wait... Onodera?\What's wrong, Onodera? Open up, will you?\Okay? Come on! response:	I-Ichijo... what are you doing here?
context: Huh? The shop is closed.\Come to think of it, Miyamoto did tell me to go in from the back.\Yes?\Yes? Who's there...?\Huh? Wait... Onodera?\What's wrong, Onodera? Open up, will you?\Okay? Come on!\I-Ichijo... what are you doing here? response:	Well... Miyamoto said she had an errand to run, so I'm here in her place.
context: Come to think of it, Miyamoto did tell me to go in from the back.\Yes?\Yes? Who's there...?\Huh? Wait... Onodera?\What's wrong, Onodera? Open up, will you?\Okay? Come on!\I-Ichijo... what are you doing here?\Well... Miyamoto said she had an errand to run, so I'm here in her place. response:	She never said anything to me!
context: Yes?\Yes? Who's there...?\Huh? Wait... Onodera?\What's wrong, Onodera? Open up, will you?\Okay? Come on!\I-Ichijo... what are you doing here?\Well... Miyamoto said she had an errand to run, so I'm here in her place.\She never said anything to me! response:	What the hell, Miyamoto?
context: Yes? Who's there...?\Huh? Wait... Onodera?\What's wrong, Onodera? Open up, will you?\Okay? Come on!\I-Ichijo... what are you doing here?\Well... Miyamoto said she had an errand to run, so I'm here in her place.\She never said anything to me!\What the hell, Miyamoto? response:	Giving me false hope!
context: Huh? Wait... Onodera?\What's wrong, Onodera? Open up, will you?\Okay? Come on!\I-Ichijo... what are you doing here?\Well... Miyamoto said she had an errand to run, so I'm here in her place.\She never said anything to me!\What the hell, Miyamoto?\Giving me false hope! response:	Thanks to you, I've come to see her, but...
context: What's wrong, Onodera? Open up, will you?\Okay? Come on!\I-Ichijo... what are you doing here?\Well... Miyamoto said she had an errand to run, so I'm here in her place.\She never said anything to me!\What the hell, Miyamoto?\Giving me false hope!\Thanks to you, I've come to see her, but... response:	Hey... My fever's going to spike!
context: Okay? Come on!\I-Ichijo... what are you doing here?\Well... Miyamoto said she had an errand to run, so I'm here in her place.\She never said anything to me!\What the hell, Miyamoto?\Giving me false hope!\Thanks to you, I've come to see her, but...\Hey... My fever's going to spike! response:	All right... All right, why don't you come in for now?
context: I-Ichijo... what are you doing here?\Well... Miyamoto said she had an errand to run, so I'm here in her place.\She never said anything to me!\What the hell, Miyamoto?\Giving me false hope!\Thanks to you, I've come to see her, but...\Hey... My fever's going to spike!\All right... All right, why don't you come in for now? response:	Are you sure?
context: Well... Miyamoto said she had an errand to run, so I'm here in her place.\She never said anything to me!\What the hell, Miyamoto?\Giving me false hope!\Thanks to you, I've come to see her, but...\Hey... My fever's going to spike!\All right... All right, why don't you come in for now?\Are you sure? response:	How are you feeling?
context: She never said anything to me!\What the hell, Miyamoto?\Giving me false hope!\Thanks to you, I've come to see her, but...\Hey... My fever's going to spike!\All right... All right, why don't you come in for now?\Are you sure?\How are you feeling? response:	Yes, it's fine.
context: What the hell, Miyamoto?\Giving me false hope!\Thanks to you, I've come to see her, but...\Hey... My fever's going to spike!\All right... All right, why don't you come in for now?\Are you sure?\How are you feeling?\Yes, it's fine. response:	I still have a fever, but I've got some medicine.
context: Giving me false hope!\Thanks to you, I've come to see her, but...\Hey... My fever's going to spike!\All right... All right, why don't you come in for now?\Are you sure?\How are you feeling?\Yes, it's fine.\I still have a fever, but I've got some medicine. response:	Come to think of it, the shop's closed today.
context: Thanks to you, I've come to see her, but...\Hey... My fever's going to spike!\All right... All right, why don't you come in for now?\Are you sure?\How are you feeling?\Yes, it's fine.\I still have a fever, but I've got some medicine.\Come to think of it, the shop's closed today. response:	Yes, the thing is, Mom's away on a trip with her friends from the shopping arcade.
context: Hey... My fever's going to spike!\All right... All right, why don't you come in for now?\Are you sure?\How are you feeling?\Yes, it's fine.\I still have a fever, but I've got some medicine.\Come to think of it, the shop's closed today.\Yes, the thing is, Mom's away on a trip with her friends from the shopping arcade. response:	She won't be back for another few days.
context: All right... All right, why don't you come in for now?\Are you sure?\How are you feeling?\Yes, it's fine.\I still have a fever, but I've got some medicine.\Come to think of it, the shop's closed today.\Yes, the thing is, Mom's away on a trip with her friends from the shopping arcade.\She won't be back for another few days. response:	What? Meaning that...
context: Are you sure?\How are you feeling?\Yes, it's fine.\I still have a fever, but I've got some medicine.\Come to think of it, the shop's closed today.\Yes, the thing is, Mom's away on a trip with her friends from the shopping arcade.\She won't be back for another few days.\What? Meaning that... response:	could it be that today I'm here alone with Onodera?
context: How are you feeling?\Yes, it's fine.\I still have a fever, but I've got some medicine.\Come to think of it, the shop's closed today.\Yes, the thing is, Mom's away on a trip with her friends from the shopping arcade.\She won't be back for another few days.\What? Meaning that...\could it be that today I'm here alone with Onodera? response:	Hello? Is this the police?
context: Yes, it's fine.\I still have a fever, but I've got some medicine.\Come to think of it, the shop's closed today.\Yes, the thing is, Mom's away on a trip with her friends from the shopping arcade.\She won't be back for another few days.\What? Meaning that...\could it be that today I'm here alone with Onodera?\Hello? Is this the police? response:	There's a prowler inside my home!
context: I still have a fever, but I've got some medicine.\Come to think of it, the shop's closed today.\Yes, the thing is, Mom's away on a trip with her friends from the shopping arcade.\She won't be back for another few days.\What? Meaning that...\could it be that today I'm here alone with Onodera?\Hello? Is this the police?\There's a prowler inside my home! response:	Hold up, hold up, hold up! Who are you calling a prowler?
context: Come to think of it, the shop's closed today.\Yes, the thing is, Mom's away on a trip with her friends from the shopping arcade.\She won't be back for another few days.\What? Meaning that...\could it be that today I'm here alone with Onodera?\Hello? Is this the police?\There's a prowler inside my home!\Hold up, hold up, hold up! Who are you calling a prowler? response:	What are you doing here in our home, Senpai?!
context: Yes, the thing is, Mom's away on a trip with her friends from the shopping arcade.\She won't be back for another few days.\What? Meaning that...\could it be that today I'm here alone with Onodera?\Hello? Is this the police?\There's a prowler inside my home!\Hold up, hold up, hold up! Who are you calling a prowler?\What are you doing here in our home, Senpai?! response:	Just get out of here right now!
context: She won't be back for another few days.\What? Meaning that...\could it be that today I'm here alone with Onodera?\Hello? Is this the police?\There's a prowler inside my home!\Hold up, hold up, hold up! Who are you calling a prowler?\What are you doing here in our home, Senpai?!\Just get out of here right now! response:	Hey, Haru!
context: What? Meaning that...\could it be that today I'm here alone with Onodera?\Hello? Is this the police?\There's a prowler inside my home!\Hold up, hold up, hold up! Who are you calling a prowler?\What are you doing here in our home, Senpai?!\Just get out of here right now!\Hey, Haru! response:	Ichijo came here to check up on me, you know?
context: could it be that today I'm here alone with Onodera?\Hello? Is this the police?\There's a prowler inside my home!\Hold up, hold up, hold up! Who are you calling a prowler?\What are you doing here in our home, Senpai?!\Just get out of here right now!\Hey, Haru!\Ichijo came here to check up on me, you know? response:	You shouldn't be rude to him!
context: Hello? Is this the police?\There's a prowler inside my home!\Hold up, hold up, hold up! Who are you calling a prowler?\What are you doing here in our home, Senpai?!\Just get out of here right now!\Hey, Haru!\Ichijo came here to check up on me, you know?\You shouldn't be rude to him! response:	But there's no need.
context: There's a prowler inside my home!\Hold up, hold up, hold up! Who are you calling a prowler?\What are you doing here in our home, Senpai?!\Just get out of here right now!\Hey, Haru!\Ichijo came here to check up on me, you know?\You shouldn't be rude to him!\But there's no need. response:	For him to check on you.
context: Hold up, hold up, hold up! Who are you calling a prowler?\What are you doing here in our home, Senpai?!\Just get out of here right now!\Hey, Haru!\Ichijo came here to check up on me, you know?\You shouldn't be rude to him!\But there's no need.\For him to check on you. response:	You've got me at your side, Sister.
context: What are you doing here in our home, Senpai?!\Just get out of here right now!\Hey, Haru!\Ichijo came here to check up on me, you know?\You shouldn't be rude to him!\But there's no need.\For him to check on you.\You've got me at your side, Sister. response:	All right, Senpai, thank you for coming over! There's nothing to worry about anymore!
context: Just get out of here right now!\Hey, Haru!\Ichijo came here to check up on me, you know?\You shouldn't be rude to him!\But there's no need.\For him to check on you.\You've got me at your side, Sister.\All right, Senpai, thank you for coming over! There's nothing to worry about anymore! response:	Hold up, hold up, Haru!
context: Hey, Haru!\Ichijo came here to check up on me, you know?\You shouldn't be rude to him!\But there's no need.\For him to check on you.\You've got me at your side, Sister.\All right, Senpai, thank you for coming over! There's nothing to worry about anymore!\Hold up, hold up, Haru! response:	Uh... If you like... Here!
context: Ichijo came here to check up on me, you know?\You shouldn't be rude to him!\But there's no need.\For him to check on you.\You've got me at your side, Sister.\All right, Senpai, thank you for coming over! There's nothing to worry about anymore!\Hold up, hold up, Haru!\Uh... If you like... Here! response:	You did tell me that you loved the strawberry rice cakes from Suzumiya.
context: You shouldn't be rude to him!\But there's no need.\For him to check on you.\You've got me at your side, Sister.\All right, Senpai, thank you for coming over! There's nothing to worry about anymore!\Hold up, hold up, Haru!\Uh... If you like... Here!\You did tell me that you loved the strawberry rice cakes from Suzumiya. response:	Dangling a carrot in front of me... did you really think that would work?
