context: Acnologia? response:	Did Zeref really say that?
context: Now you can't use your hands!\Roar of the Thunder-Flame Dragon!\What is...\Is that Natsu?\Natsu... Stay alive.\We did... it...\Natsu!\P-Phew... response:	I'm really outta magic power now.
context: Roar of the Thunder-Flame Dragon!\What is...\Is that Natsu?\Natsu... Stay alive.\We did... it...\Natsu!\P-Phew...\I'm really outta magic power now. response:	With such overwhelming magic power, it looks like he consumed it just as quickly.
context: What is...\Is that Natsu?\Natsu... Stay alive.\We did... it...\Natsu!\P-Phew...\I'm really outta magic power now.\With such overwhelming magic power, it looks like he consumed it just as quickly. response:	It's over now, right?
context: Is that Natsu?\Natsu... Stay alive.\We did... it...\Natsu!\P-Phew...\I'm really outta magic power now.\With such overwhelming magic power, it looks like he consumed it just as quickly.\It's over now, right? response:	Yes!
context: Natsu... Stay alive.\We did... it...\Natsu!\P-Phew...\I'm really outta magic power now.\With such overwhelming magic power, it looks like he consumed it just as quickly.\It's over now, right?\Yes! response:	Where in the world is the power source?
context: We did... it...\Natsu!\P-Phew...\I'm really outta magic power now.\With such overwhelming magic power, it looks like he consumed it just as quickly.\It's over now, right?\Yes!\Where in the world is the power source? response:	With a ship this big, it should be powered by a huge lacrima.
context: Natsu!\P-Phew...\I'm really outta magic power now.\With such overwhelming magic power, it looks like he consumed it just as quickly.\It's over now, right?\Yes!\Where in the world is the power source?\With a ship this big, it should be powered by a huge lacrima. response:	And why are we crawling through this passage?
context: P-Phew...\I'm really outta magic power now.\With such overwhelming magic power, it looks like he consumed it just as quickly.\It's over now, right?\Yes!\Where in the world is the power source?\With a ship this big, it should be powered by a huge lacrima.\And why are we crawling through this passage? response:	Don't ask me, ask Happy.
context: I'm really outta magic power now.\With such overwhelming magic power, it looks like he consumed it just as quickly.\It's over now, right?\Yes!\Where in the world is the power source?\With a ship this big, it should be powered by a huge lacrima.\And why are we crawling through this passage?\Don't ask me, ask Happy. response:	Just a hunch.
context: With such overwhelming magic power, it looks like he consumed it just as quickly.\It's over now, right?\Yes!\Where in the world is the power source?\With a ship this big, it should be powered by a huge lacrima.\And why are we crawling through this passage?\Don't ask me, ask Happy.\Just a hunch. response:	A hunch?!
context: It's over now, right?\Yes!\Where in the world is the power source?\With a ship this big, it should be powered by a huge lacrima.\And why are we crawling through this passage?\Don't ask me, ask Happy.\Just a hunch.\A hunch?! response:	Hey! Don't just stop all of a sudden.
context: Yes!\Where in the world is the power source?\With a ship this big, it should be powered by a huge lacrima.\And why are we crawling through this passage?\Don't ask me, ask Happy.\Just a hunch.\A hunch?!\Hey! Don't just stop all of a sudden. response:	Lily...
context: Where in the world is the power source?\With a ship this big, it should be powered by a huge lacrima.\And why are we crawling through this passage?\Don't ask me, ask Happy.\Just a hunch.\A hunch?!\Hey! Don't just stop all of a sudden.\Lily... response:	What?
context: With a ship this big, it should be powered by a huge lacrima.\And why are we crawling through this passage?\Don't ask me, ask Happy.\Just a hunch.\A hunch?!\Hey! Don't just stop all of a sudden.\Lily...\What? response:	You just bumped, didn't you?
context: And why are we crawling through this passage?\Don't ask me, ask Happy.\Just a hunch.\A hunch?!\Hey! Don't just stop all of a sudden.\Lily...\What?\You just bumped, didn't you? response:	If Carla bumped my butt, then that means you bumped...
context: Don't ask me, ask Happy.\Just a hunch.\A hunch?!\Hey! Don't just stop all of a sudden.\Lily...\What?\You just bumped, didn't you?\If Carla bumped my butt, then that means you bumped... response:	Like I could help it!
context: Just a hunch.\A hunch?!\Hey! Don't just stop all of a sudden.\Lily...\What?\You just bumped, didn't you?\If Carla bumped my butt, then that means you bumped...\Like I could help it! response:	It's your fault for stopping so suddenly!
context: A hunch?!\Hey! Don't just stop all of a sudden.\Lily...\What?\You just bumped, didn't you?\If Carla bumped my butt, then that means you bumped...\Like I could help it!\It's your fault for stopping so suddenly! response:	You just bumped into Carla's butt with a *pomf*...
context: Hey! Don't just stop all of a sudden.\Lily...\What?\You just bumped, didn't you?\If Carla bumped my butt, then that means you bumped...\Like I could help it!\It's your fault for stopping so suddenly!\You just bumped into Carla's butt with a *pomf*... response:	Lily, isn't that so?!
context: Lily...\What?\You just bumped, didn't you?\If Carla bumped my butt, then that means you bumped...\Like I could help it!\It's your fault for stopping so suddenly!\You just bumped into Carla's butt with a *pomf*...\Lily, isn't that so?! response:	Are you actually complaining about that?!
context: What?\You just bumped, didn't you?\If Carla bumped my butt, then that means you bumped...\Like I could help it!\It's your fault for stopping so suddenly!\You just bumped into Carla's butt with a *pomf*...\Lily, isn't that so?!\Are you actually complaining about that?! response:	Is this really the time?!
context: You just bumped, didn't you?\If Carla bumped my butt, then that means you bumped...\Like I could help it!\It's your fault for stopping so suddenly!\You just bumped into Carla's butt with a *pomf*...\Lily, isn't that so?!\Are you actually complaining about that?!\Is this really the time?! response:	It's very important to me!
context: If Carla bumped my butt, then that means you bumped...\Like I could help it!\It's your fault for stopping so suddenly!\You just bumped into Carla's butt with a *pomf*...\Lily, isn't that so?!\Are you actually complaining about that?!\Is this really the time?!\It's very important to me! response:	When we get back, we're having a duel!
context: Like I could help it!\It's your fault for stopping so suddenly!\You just bumped into Carla's butt with a *pomf*...\Lily, isn't that so?!\Are you actually complaining about that?!\Is this really the time?!\It's very important to me!\When we get back, we're having a duel! response:	Stop this!
context: It's your fault for stopping so suddenly!\You just bumped into Carla's butt with a *pomf*...\Lily, isn't that so?!\Are you actually complaining about that?!\Is this really the time?!\It's very important to me!\When we get back, we're having a duel!\Stop this! response:	Happy, more importantly... What caught your attention?
context: You just bumped into Carla's butt with a *pomf*...\Lily, isn't that so?!\Are you actually complaining about that?!\Is this really the time?!\It's very important to me!\When we get back, we're having a duel!\Stop this!\Happy, more importantly... What caught your attention? response:	Oh, right.
context: Lily, isn't that so?!\Are you actually complaining about that?!\Is this really the time?!\It's very important to me!\When we get back, we're having a duel!\Stop this!\Happy, more importantly... What caught your attention?\Oh, right. response:	What is this?
context: Are you actually complaining about that?!\Is this really the time?!\It's very important to me!\When we get back, we're having a duel!\Stop this!\Happy, more importantly... What caught your attention?\Oh, right.\What is this? response:	It's alive?
context: Is this really the time?!\It's very important to me!\When we get back, we're having a duel!\Stop this!\Happy, more importantly... What caught your attention?\Oh, right.\What is this?\It's alive? response:	Such impressive youths...
context: It's very important to me!\When we get back, we're having a duel!\Stop this!\Happy, more importantly... What caught your attention?\Oh, right.\What is this?\It's alive?\Such impressive youths... response:	Makarov, you bastard... You've raised some fearsome whippersnappers.
context: When we get back, we're having a duel!\Stop this!\Happy, more importantly... What caught your attention?\Oh, right.\What is this?\It's alive?\Such impressive youths...\Makarov, you bastard... You've raised some fearsome whippersnappers. response:	That's...
context: Stop this!\Happy, more importantly... What caught your attention?\Oh, right.\What is this?\It's alive?\Such impressive youths...\Makarov, you bastard... You've raised some fearsome whippersnappers.\That's... response:	How many decades has it been since someone has beaten me like this?
context: Happy, more importantly... What caught your attention?\Oh, right.\What is this?\It's alive?\Such impressive youths...\Makarov, you bastard... You've raised some fearsome whippersnappers.\That's...\How many decades has it been since someone has beaten me like this? response:	You've gotta be kidding me!
context: Oh, right.\What is this?\It's alive?\Such impressive youths...\Makarov, you bastard... You've raised some fearsome whippersnappers.\That's...\How many decades has it been since someone has beaten me like this?\You've gotta be kidding me! response:	It will be a trivial matter to clean up now,
context: What is this?\It's alive?\Such impressive youths...\Makarov, you bastard... You've raised some fearsome whippersnappers.\That's...\How many decades has it been since someone has beaten me like this?\You've gotta be kidding me!\It will be a trivial matter to clean up now, response:	but I must honor you properly for showing me an enjoyable time.
context: It's alive?\Such impressive youths...\Makarov, you bastard... You've raised some fearsome whippersnappers.\That's...\How many decades has it been since someone has beaten me like this?\You've gotta be kidding me!\It will be a trivial matter to clean up now,\but I must honor you properly for showing me an enjoyable time. response:	So, that attack didn't work?!
context: Such impressive youths...\Makarov, you bastard... You've raised some fearsome whippersnappers.\That's...\How many decades has it been since someone has beaten me like this?\You've gotta be kidding me!\It will be a trivial matter to clean up now,\but I must honor you properly for showing me an enjoyable time.\So, that attack didn't work?! response:	Devil's Eye... Open!
context: Makarov, you bastard... You've raised some fearsome whippersnappers.\That's...\How many decades has it been since someone has beaten me like this?\You've gotta be kidding me!\It will be a trivial matter to clean up now,\but I must honor you properly for showing me an enjoyable time.\So, that attack didn't work?!\Devil's Eye... Open! response:	I'll show you all, special...
context: That's...\How many decades has it been since someone has beaten me like this?\You've gotta be kidding me!\It will be a trivial matter to clean up now,\but I must honor you properly for showing me an enjoyable time.\So, that attack didn't work?!\Devil's Eye... Open!\I'll show you all, special... response:	The depths of magic...
context: How many decades has it been since someone has beaten me like this?\You've gotta be kidding me!\It will be a trivial matter to clean up now,\but I must honor you properly for showing me an enjoyable time.\So, that attack didn't work?!\Devil's Eye... Open!\I'll show you all, special...\The depths of magic... response:	This is a realm which far surpasses even your imagination.
context: You've gotta be kidding me!\It will be a trivial matter to clean up now,\but I must honor you properly for showing me an enjoyable time.\So, that attack didn't work?!\Devil's Eye... Open!\I'll show you all, special...\The depths of magic...\This is a realm which far surpasses even your imagination. response:	Impossible!
context: It will be a trivial matter to clean up now,\but I must honor you properly for showing me an enjoyable time.\So, that attack didn't work?!\Devil's Eye... Open!\I'll show you all, special...\The depths of magic...\This is a realm which far surpasses even your imagination.\Impossible! response:	I've never felt magic power like this before!
context: but I must honor you properly for showing me an enjoyable time.\So, that attack didn't work?!\Devil's Eye... Open!\I'll show you all, special...\The depths of magic...\This is a realm which far surpasses even your imagination.\Impossible!\I've never felt magic power like this before! response:	It's still growing!
context: So, that attack didn't work?!\Devil's Eye... Open!\I'll show you all, special...\The depths of magic...\This is a realm which far surpasses even your imagination.\Impossible!\I've never felt magic power like this before!\It's still growing! response:	It is over, Fairy Tail!
context: Devil's Eye... Open!\I'll show you all, special...\The depths of magic...\This is a realm which far surpasses even your imagination.\Impossible!\I've never felt magic power like this before!\It's still growing!\It is over, Fairy Tail! response:	Natsu!
context: I'll show you all, special...\The depths of magic...\This is a realm which far surpasses even your imagination.\Impossible!\I've never felt magic power like this before!\It's still growing!\It is over, Fairy Tail!\Natsu! response:	Damn it!
context: The depths of magic...\This is a realm which far surpasses even your imagination.\Impossible!\I've never felt magic power like this before!\It's still growing!\It is over, Fairy Tail!\Natsu!\Damn it! response:	I don't even have enough strength to move...
context: This is a realm which far surpasses even your imagination.\Impossible!\I've never felt magic power like this before!\It's still growing!\It is over, Fairy Tail!\Natsu!\Damn it!\I don't even have enough strength to move... response:	This is...
context: Impossible!\I've never felt magic power like this before!\It's still growing!\It is over, Fairy Tail!\Natsu!\Damn it!\I don't even have enough strength to move...\This is... response:	Doesn't look like a power source exactly...
context: I've never felt magic power like this before!\It's still growing!\It is over, Fairy Tail!\Natsu!\Damn it!\I don't even have enough strength to move...\This is...\Doesn't look like a power source exactly... response:	Grimoire Heart... Devil's Heart.
context: It's still growing!\It is over, Fairy Tail!\Natsu!\Damn it!\I don't even have enough strength to move...\This is...\Doesn't look like a power source exactly...\Grimoire Heart... Devil's Heart. response:	Don't tell me...
context: It is over, Fairy Tail!\Natsu!\Damn it!\I don't even have enough strength to move...\This is...\Doesn't look like a power source exactly...\Grimoire Heart... Devil's Heart.\Don't tell me... response:	I can hear voices inside!
context: Natsu!\Damn it!\I don't even have enough strength to move...\This is...\Doesn't look like a power source exactly...\Grimoire Heart... Devil's Heart.\Don't tell me...\I can hear voices inside! response:	No way! How did they get in the room?
context: Damn it!\I don't even have enough strength to move...\This is...\Doesn't look like a power source exactly...\Grimoire Heart... Devil's Heart.\Don't tell me...\I can hear voices inside!\No way! How did they get in the room? response:	We've been found!
context: I don't even have enough strength to move...\This is...\Doesn't look like a power source exactly...\Grimoire Heart... Devil's Heart.\Don't tell me...\I can hear voices inside!\No way! How did they get in the room?\We've been found! response:	I'll hold off the enemy! You two, stop that thing!
context: This is...\Doesn't look like a power source exactly...\Grimoire Heart... Devil's Heart.\Don't tell me...\I can hear voices inside!\No way! How did they get in the room?\We've been found!\I'll hold off the enemy! You two, stop that thing! response:	Stop it?
context: Doesn't look like a power source exactly...\Grimoire Heart... Devil's Heart.\Don't tell me...\I can hear voices inside!\No way! How did they get in the room?\We've been found!\I'll hold off the enemy! You two, stop that thing!\Stop it? response:	Let's do it!
context: Grimoire Heart... Devil's Heart.\Don't tell me...\I can hear voices inside!\No way! How did they get in the room?\We've been found!\I'll hold off the enemy! You two, stop that thing!\Stop it?\Let's do it! response:	What's with the tiny cat?
context: Don't tell me...\I can hear voices inside!\No way! How did they get in the room?\We've been found!\I'll hold off the enemy! You two, stop that thing!\Stop it?\Let's do it!\What's with the tiny cat? response:	I'll stomp him flat!
context: I can hear voices inside!\No way! How did they get in the room?\We've been found!\I'll hold off the enemy! You two, stop that thing!\Stop it?\Let's do it!\What's with the tiny cat?\I'll stomp him flat! response:	Take this!
context: No way! How did they get in the room?\We've been found!\I'll hold off the enemy! You two, stop that thing!\Stop it?\Let's do it!\What's with the tiny cat?\I'll stomp him flat!\Take this! response:	You bastard! You've done it now!
context: We've been found!\I'll hold off the enemy! You two, stop that thing!\Stop it?\Let's do it!\What's with the tiny cat?\I'll stomp him flat!\Take this!\You bastard! You've done it now! response:	What is this guy?
context: I'll hold off the enemy! You two, stop that thing!\Stop it?\Let's do it!\What's with the tiny cat?\I'll stomp him flat!\Take this!\You bastard! You've done it now!\What is this guy? response:	Don't back off!
context: Stop it?\Let's do it!\What's with the tiny cat?\I'll stomp him flat!\Take this!\You bastard! You've done it now!\What is this guy?\Don't back off! response:	I'll borrow this.
context: Let's do it!\What's with the tiny cat?\I'll stomp him flat!\Take this!\You bastard! You've done it now!\What is this guy?\Don't back off!\I'll borrow this. response:	M-My sword...
context: What's with the tiny cat?\I'll stomp him flat!\Take this!\You bastard! You've done it now!\What is this guy?\Don't back off!\I'll borrow this.\M-My sword... response:	Stop it, sure... But how?
context: I'll stomp him flat!\Take this!\You bastard! You've done it now!\What is this guy?\Don't back off!\I'll borrow this.\M-My sword...\Stop it, sure... But how? response:	Looks like all we can do is try fiddling with stuff.
context: Take this!\You bastard! You've done it now!\What is this guy?\Don't back off!\I'll borrow this.\M-My sword...\Stop it, sure... But how?\Looks like all we can do is try fiddling with stuff. response:	A sword that can change size?
context: You bastard! You've done it now!\What is this guy?\Don't back off!\I'll borrow this.\M-My sword...\Stop it, sure... But how?\Looks like all we can do is try fiddling with stuff.\A sword that can change size? response:	That's like my sword, the Buster Ma'am.
context: What is this guy?\Don't back off!\I'll borrow this.\M-My sword...\Stop it, sure... But how?\Looks like all we can do is try fiddling with stuff.\A sword that can change size?\That's like my sword, the Buster Ma'am. response:	Protect it at all costs!
context: Don't back off!\I'll borrow this.\M-My sword...\Stop it, sure... But how?\Looks like all we can do is try fiddling with stuff.\A sword that can change size?\That's like my sword, the Buster Ma'am.\Protect it at all costs! response:	If there's one thing we'll protect, it's this room!
context: I'll borrow this.\M-My sword...\Stop it, sure... But how?\Looks like all we can do is try fiddling with stuff.\A sword that can change size?\That's like my sword, the Buster Ma'am.\Protect it at all costs!\If there's one thing we'll protect, it's this room! response:	I like it! I will make this my weapon!
context: M-My sword...\Stop it, sure... But how?\Looks like all we can do is try fiddling with stuff.\A sword that can change size?\That's like my sword, the Buster Ma'am.\Protect it at all costs!\If there's one thing we'll protect, it's this room!\I like it! I will make this my weapon! response:	Ah... My Musica Sword... That was expensive!
context: Stop it, sure... But how?\Looks like all we can do is try fiddling with stuff.\A sword that can change size?\That's like my sword, the Buster Ma'am.\Protect it at all costs!\If there's one thing we'll protect, it's this room!\I like it! I will make this my weapon!\Ah... My Musica Sword... That was expensive! response:	Now, come at me!
context: Looks like all we can do is try fiddling with stuff.\A sword that can change size?\That's like my sword, the Buster Ma'am.\Protect it at all costs!\If there's one thing we'll protect, it's this room!\I like it! I will make this my weapon!\Ah... My Musica Sword... That was expensive!\Now, come at me! response:	We can't do anything like this!
context: A sword that can change size?\That's like my sword, the Buster Ma'am.\Protect it at all costs!\If there's one thing we'll protect, it's this room!\I like it! I will make this my weapon!\Ah... My Musica Sword... That was expensive!\Now, come at me!\We can't do anything like this! response:	I hate pain!
context: That's like my sword, the Buster Ma'am.\Protect it at all costs!\If there's one thing we'll protect, it's this room!\I like it! I will make this my weapon!\Ah... My Musica Sword... That was expensive!\Now, come at me!\We can't do anything like this!\I hate pain! response:	Bring it on! I'll turn you into fish food!
context: Protect it at all costs!\If there's one thing we'll protect, it's this room!\I like it! I will make this my weapon!\Ah... My Musica Sword... That was expensive!\Now, come at me!\We can't do anything like this!\I hate pain!\Bring it on! I'll turn you into fish food! response:	The depths of magic...
context: If there's one thing we'll protect, it's this room!\I like it! I will make this my weapon!\Ah... My Musica Sword... That was expensive!\Now, come at me!\We can't do anything like this!\I hate pain!\Bring it on! I'll turn you into fish food!\The depths of magic... response:	What indescribable magic power!
context: I like it! I will make this my weapon!\Ah... My Musica Sword... That was expensive!\Now, come at me!\We can't do anything like this!\I hate pain!\Bring it on! I'll turn you into fish food!\The depths of magic...\What indescribable magic power! response:	Natsu, get yourself together! Please!
context: Ah... My Musica Sword... That was expensive!\Now, come at me!\We can't do anything like this!\I hate pain!\Bring it on! I'll turn you into fish food!\The depths of magic...\What indescribable magic power!\Natsu, get yourself together! Please! response:	I can't move...
context: Now, come at me!\We can't do anything like this!\I hate pain!\Bring it on! I'll turn you into fish food!\The depths of magic...\What indescribable magic power!\Natsu, get yourself together! Please!\I can't move... response:	The farther along the path of magic you tread,
context: We can't do anything like this!\I hate pain!\Bring it on! I'll turn you into fish food!\The depths of magic...\What indescribable magic power!\Natsu, get yourself together! Please!\I can't move...\The farther along the path of magic you tread, response:	the deeper you sink toward the depths of darkness.
context: I hate pain!\Bring it on! I'll turn you into fish food!\The depths of magic...\What indescribable magic power!\Natsu, get yourself together! Please!\I can't move...\The farther along the path of magic you tread,\the deeper you sink toward the depths of darkness. response:	And what you find there in the depths, glistening...
context: Bring it on! I'll turn you into fish food!\The depths of magic...\What indescribable magic power!\Natsu, get yourself together! Please!\I can't move...\The farther along the path of magic you tread,\the deeper you sink toward the depths of darkness.\And what you find there in the depths, glistening... response:	Just a little farther... Just a little farther and I will reach the One Magic.
context: The depths of magic...\What indescribable magic power!\Natsu, get yourself together! Please!\I can't move...\The farther along the path of magic you tread,\the deeper you sink toward the depths of darkness.\And what you find there in the depths, glistening...\Just a little farther... Just a little farther and I will reach the One Magic. response:	But that just a little is so very deep!
context: What indescribable magic power!\Natsu, get yourself together! Please!\I can't move...\The farther along the path of magic you tread,\the deeper you sink toward the depths of darkness.\And what you find there in the depths, glistening...\Just a little farther... Just a little farther and I will reach the One Magic.\But that just a little is so very deep! response:	To fill that depth, the World of Great Magic is needed!
context: Natsu, get yourself together! Please!\I can't move...\The farther along the path of magic you tread,\the deeper you sink toward the depths of darkness.\And what you find there in the depths, glistening...\Just a little farther... Just a little farther and I will reach the One Magic.\But that just a little is so very deep!\To fill that depth, the World of Great Magic is needed! response:	A world with Zeref!
context: I can't move...\The farther along the path of magic you tread,\the deeper you sink toward the depths of darkness.\And what you find there in the depths, glistening...\Just a little farther... Just a little farther and I will reach the One Magic.\But that just a little is so very deep!\To fill that depth, the World of Great Magic is needed!\A world with Zeref! response:	Soon, the world will change with Zeref's awakening.
context: The farther along the path of magic you tread,\the deeper you sink toward the depths of darkness.\And what you find there in the depths, glistening...\Just a little farther... Just a little farther and I will reach the One Magic.\But that just a little is so very deep!\To fill that depth, the World of Great Magic is needed!\A world with Zeref!\Soon, the world will change with Zeref's awakening. response:	And, it will finally come into my hands...
context: the deeper you sink toward the depths of darkness.\And what you find there in the depths, glistening...\Just a little farther... Just a little farther and I will reach the One Magic.\But that just a little is so very deep!\To fill that depth, the World of Great Magic is needed!\A world with Zeref!\Soon, the world will change with Zeref's awakening.\And, it will finally come into my hands... response:	The One Magic!
context: And what you find there in the depths, glistening...\Just a little farther... Just a little farther and I will reach the One Magic.\But that just a little is so very deep!\To fill that depth, the World of Great Magic is needed!\A world with Zeref!\Soon, the world will change with Zeref's awakening.\And, it will finally come into my hands...\The One Magic! response:	The One Magic?
context: Just a little farther... Just a little farther and I will reach the One Magic.\But that just a little is so very deep!\To fill that depth, the World of Great Magic is needed!\A world with Zeref!\Soon, the world will change with Zeref's awakening.\And, it will finally come into my hands...\The One Magic!\The One Magic? response:	I know that I've heard this somewhere before...
context: But that just a little is so very deep!\To fill that depth, the World of Great Magic is needed!\A world with Zeref!\Soon, the world will change with Zeref's awakening.\And, it will finally come into my hands...\The One Magic!\The One Magic?\I know that I've heard this somewhere before... response:	From Mom?
context: To fill that depth, the World of Great Magic is needed!\A world with Zeref!\Soon, the world will change with Zeref's awakening.\And, it will finally come into my hands...\The One Magic!\The One Magic?\I know that I've heard this somewhere before...\From Mom? response:	You all cannot go to the World of Great Magic.
context: A world with Zeref!\Soon, the world will change with Zeref's awakening.\And, it will finally come into my hands...\The One Magic!\The One Magic?\I know that I've heard this somewhere before...\From Mom?\You all cannot go to the World of Great Magic. response:	You lack the conviction to dive into the depths!
context: Soon, the world will change with Zeref's awakening.\And, it will finally come into my hands...\The One Magic!\The One Magic?\I know that I've heard this somewhere before...\From Mom?\You all cannot go to the World of Great Magic.\You lack the conviction to dive into the depths! response:	What kind of pose is that?
context: And, it will finally come into my hands...\The One Magic!\The One Magic?\I know that I've heard this somewhere before...\From Mom?\You all cannot go to the World of Great Magic.\You lack the conviction to dive into the depths!\What kind of pose is that? response:	From the Book of Zeref, Volume 4, Verse 20: Hidden Magic, Nemesis!
context: The One Magic!\The One Magic?\I know that I've heard this somewhere before...\From Mom?\You all cannot go to the World of Great Magic.\You lack the conviction to dive into the depths!\What kind of pose is that?\From the Book of Zeref, Volume 4, Verse 20: Hidden Magic, Nemesis! response:	H-He made monsters from the rubble?!
context: The One Magic?\I know that I've heard this somewhere before...\From Mom?\You all cannot go to the World of Great Magic.\You lack the conviction to dive into the depths!\What kind of pose is that?\From the Book of Zeref, Volume 4, Verse 20: Hidden Magic, Nemesis!\H-He made monsters from the rubble?! response:	With the magic power from the deepest depths,
context: I know that I've heard this somewhere before...\From Mom?\You all cannot go to the World of Great Magic.\You lack the conviction to dive into the depths!\What kind of pose is that?\From the Book of Zeref, Volume 4, Verse 20: Hidden Magic, Nemesis!\H-He made monsters from the rubble?!\With the magic power from the deepest depths, response:	you can even create devils from lumps of earth!
context: From Mom?\You all cannot go to the World of Great Magic.\You lack the conviction to dive into the depths!\What kind of pose is that?\From the Book of Zeref, Volume 4, Verse 20: Hidden Magic, Nemesis!\H-He made monsters from the rubble?!\With the magic power from the deepest depths,\you can even create devils from lumps of earth! response:	You can make the devils do your bidding, as heaven's judge...
context: You all cannot go to the World of Great Magic.\You lack the conviction to dive into the depths!\What kind of pose is that?\From the Book of Zeref, Volume 4, Verse 20: Hidden Magic, Nemesis!\H-He made monsters from the rubble?!\With the magic power from the deepest depths,\you can even create devils from lumps of earth!\You can make the devils do your bidding, as heaven's judge... response:	That is Hidden Magic!
context: You lack the conviction to dive into the depths!\What kind of pose is that?\From the Book of Zeref, Volume 4, Verse 20: Hidden Magic, Nemesis!\H-He made monsters from the rubble?!\With the magic power from the deepest depths,\you can even create devils from lumps of earth!\You can make the devils do your bidding, as heaven's judge...\That is Hidden Magic! response:	One after another... Every spell a bundle of magical despair!
context: What kind of pose is that?\From the Book of Zeref, Volume 4, Verse 20: Hidden Magic, Nemesis!\H-He made monsters from the rubble?!\With the magic power from the deepest depths,\you can even create devils from lumps of earth!\You can make the devils do your bidding, as heaven's judge...\That is Hidden Magic!\One after another... Every spell a bundle of magical despair! response:	This can't be!
context: From the Book of Zeref, Volume 4, Verse 20: Hidden Magic, Nemesis!\H-He made monsters from the rubble?!\With the magic power from the deepest depths,\you can even create devils from lumps of earth!\You can make the devils do your bidding, as heaven's judge...\That is Hidden Magic!\One after another... Every spell a bundle of magical despair!\This can't be! response:	I'm scared... I'm scared... I'm scared...
context: H-He made monsters from the rubble?!\With the magic power from the deepest depths,\you can even create devils from lumps of earth!\You can make the devils do your bidding, as heaven's judge...\That is Hidden Magic!\One after another... Every spell a bundle of magical despair!\This can't be!\I'm scared... I'm scared... I'm scared... response:	I'm... shaking in fear...
context: With the magic power from the deepest depths,\you can even create devils from lumps of earth!\You can make the devils do your bidding, as heaven's judge...\That is Hidden Magic!\One after another... Every spell a bundle of magical despair!\This can't be!\I'm scared... I'm scared... I'm scared...\I'm... shaking in fear... response:	What am I afraid of?!
context: you can even create devils from lumps of earth!\You can make the devils do your bidding, as heaven's judge...\That is Hidden Magic!\One after another... Every spell a bundle of magical despair!\This can't be!\I'm scared... I'm scared... I'm scared...\I'm... shaking in fear...\What am I afraid of?! response:	Damn it...
context: You can make the devils do your bidding, as heaven's judge...\That is Hidden Magic!\One after another... Every spell a bundle of magical despair!\This can't be!\I'm scared... I'm scared... I'm scared...\I'm... shaking in fear...\What am I afraid of?!\Damn it... response:	I'm scared! I can't...
context: That is Hidden Magic!\One after another... Every spell a bundle of magical despair!\This can't be!\I'm scared... I'm scared... I'm scared...\I'm... shaking in fear...\What am I afraid of?!\Damn it...\I'm scared! I can't... response:	Somebody, give us the courage!
context: One after another... Every spell a bundle of magical despair!\This can't be!\I'm scared... I'm scared... I'm scared...\I'm... shaking in fear...\What am I afraid of?!\Damn it...\I'm scared! I can't...\Somebody, give us the courage! response:	Natsu...
context: This can't be!\I'm scared... I'm scared... I'm scared...\I'm... shaking in fear...\What am I afraid of?!\Damn it...\I'm scared! I can't...\Somebody, give us the courage!\Natsu... response:	What? I've got my friends this close by.
context: I'm scared... I'm scared... I'm scared...\I'm... shaking in fear...\What am I afraid of?!\Damn it...\I'm scared! I can't...\Somebody, give us the courage!\Natsu...\What? I've got my friends this close by. response:	Fear is not evil...
context: I'm... shaking in fear...\What am I afraid of?!\Damn it...\I'm scared! I can't...\Somebody, give us the courage!\Natsu...\What? I've got my friends this close by.\Fear is not evil... response:	It tells you what your weakness is.
context: What am I afraid of?!\Damn it...\I'm scared! I can't...\Somebody, give us the courage!\Natsu...\What? I've got my friends this close by.\Fear is not evil...\It tells you what your weakness is. response:	And once you know your weakness, you can become stronger as well as kinder.
context: Damn it...\I'm scared! I can't...\Somebody, give us the courage!\Natsu...\What? I've got my friends this close by.\Fear is not evil...\It tells you what your weakness is.\And once you know your weakness, you can become stronger as well as kinder. response:	We know our weakness.
context: I'm scared! I can't...\Somebody, give us the courage!\Natsu...\What? I've got my friends this close by.\Fear is not evil...\It tells you what your weakness is.\And once you know your weakness, you can become stronger as well as kinder.\We know our weakness. response:	So, what'll we do next?
context: Somebody, give us the courage!\Natsu...\What? I've got my friends this close by.\Fear is not evil...\It tells you what your weakness is.\And once you know your weakness, you can become stronger as well as kinder.\We know our weakness.\So, what'll we do next? response:	We'll get stronger!
context: Natsu...\What? I've got my friends this close by.\Fear is not evil...\It tells you what your weakness is.\And once you know your weakness, you can become stronger as well as kinder.\We know our weakness.\So, what'll we do next?\We'll get stronger! response:	We'll stand up and fight!
context: What? I've got my friends this close by.\Fear is not evil...\It tells you what your weakness is.\And once you know your weakness, you can become stronger as well as kinder.\We know our weakness.\So, what'll we do next?\We'll get stronger!\We'll stand up and fight! response:	Maybe we can't help being scared alone.
context: Fear is not evil...\It tells you what your weakness is.\And once you know your weakness, you can become stronger as well as kinder.\We know our weakness.\So, what'll we do next?\We'll get stronger!\We'll stand up and fight!\Maybe we can't help being scared alone. response:	But we're all right here, together.
context: It tells you what your weakness is.\And once you know your weakness, you can become stronger as well as kinder.\We know our weakness.\So, what'll we do next?\We'll get stronger!\We'll stand up and fight!\Maybe we can't help being scared alone.\But we're all right here, together. response:	We've got our friends close by!
