context: Kami-sama Also Returns to Life! Piccolo is Resurrected By Super Shen Long. response:	He- He's huge! His form is different than the one on Earth as well.
context: Unfortunately, my memory isn't that great.\- Why you! - Hold it now...\- Kaio-sama! - Just take it easy!\Let go of me! How dare you do this to me!\I don't know what kind of punk you are, but I, Piccolo-sama, will be sure to defeat you!\You guys! You have no idea how terrible Freeza is! Let go of me! I can't talk to you like this!\Okay!\Before we do anything else, let's get those two wishes granted! response:	- Right! - Dende!
context: - Why you! - Hold it now...\- Kaio-sama! - Just take it easy!\Let go of me! How dare you do this to me!\I don't know what kind of punk you are, but I, Piccolo-sama, will be sure to defeat you!\You guys! You have no idea how terrible Freeza is! Let go of me! I can't talk to you like this!\Okay!\Before we do anything else, let's get those two wishes granted!\- Right! - Dende! response:	- Yes? - Ask that Piccolo, the Nameksei-jin who was on Earth, be brought back to life!
context: - Kaio-sama! - Just take it easy!\Let go of me! How dare you do this to me!\I don't know what kind of punk you are, but I, Piccolo-sama, will be sure to defeat you!\You guys! You have no idea how terrible Freeza is! Let go of me! I can't talk to you like this!\Okay!\Before we do anything else, let's get those two wishes granted!\- Right! - Dende!\- Yes? - Ask that Piccolo, the Nameksei-jin who was on Earth, be brought back to life! response:	Piccolo-san, you say? Got it.
context: Let go of me! How dare you do this to me!\I don't know what kind of punk you are, but I, Piccolo-sama, will be sure to defeat you!\You guys! You have no idea how terrible Freeza is! Let go of me! I can't talk to you like this!\Okay!\Before we do anything else, let's get those two wishes granted!\- Right! - Dende!\- Yes? - Ask that Piccolo, the Nameksei-jin who was on Earth, be brought back to life!\Piccolo-san, you say? Got it. response:	Any second now, Piccolo-san...
context: I don't know what kind of punk you are, but I, Piccolo-sama, will be sure to defeat you!\You guys! You have no idea how terrible Freeza is! Let go of me! I can't talk to you like this!\Okay!\Before we do anything else, let's get those two wishes granted!\- Right! - Dende!\- Yes? - Ask that Piccolo, the Nameksei-jin who was on Earth, be brought back to life!\Piccolo-san, you say? Got it.\Any second now, Piccolo-san... response:	What's this? Something's headed this way!
context: You guys! You have no idea how terrible Freeza is! Let go of me! I can't talk to you like this!\Okay!\Before we do anything else, let's get those two wishes granted!\- Right! - Dende!\- Yes? - Ask that Piccolo, the Nameksei-jin who was on Earth, be brought back to life!\Piccolo-san, you say? Got it.\Any second now, Piccolo-san...\What's this? Something's headed this way! response:	It's an incredible battle power!
context: Okay!\Before we do anything else, let's get those two wishes granted!\- Right! - Dende!\- Yes? - Ask that Piccolo, the Nameksei-jin who was on Earth, be brought back to life!\Piccolo-san, you say? Got it.\Any second now, Piccolo-san...\What's this? Something's headed this way!\It's an incredible battle power! response:	F- Freeza!
context: Before we do anything else, let's get those two wishes granted!\- Right! - Dende!\- Yes? - Ask that Piccolo, the Nameksei-jin who was on Earth, be brought back to life!\Piccolo-san, you say? Got it.\Any second now, Piccolo-san...\What's this? Something's headed this way!\It's an incredible battle power!\F- Freeza! response:	It will still take several more minutes for Kakarotto to fully recover.
context: - Right! - Dende!\- Yes? - Ask that Piccolo, the Nameksei-jin who was on Earth, be brought back to life!\Piccolo-san, you say? Got it.\Any second now, Piccolo-san...\What's this? Something's headed this way!\It's an incredible battle power!\F- Freeza!\It will still take several more minutes for Kakarotto to fully recover. response:	It's still a bad time for Freeza to appear.
context: - Yes? - Ask that Piccolo, the Nameksei-jin who was on Earth, be brought back to life!\Piccolo-san, you say? Got it.\Any second now, Piccolo-san...\What's this? Something's headed this way!\It's an incredible battle power!\F- Freeza!\It will still take several more minutes for Kakarotto to fully recover.\It's still a bad time for Freeza to appear. response:	Ah, crap. I got a bad feeling about this.
context: Piccolo-san, you say? Got it.\Any second now, Piccolo-san...\What's this? Something's headed this way!\It's an incredible battle power!\F- Freeza!\It will still take several more minutes for Kakarotto to fully recover.\It's still a bad time for Freeza to appear.\Ah, crap. I got a bad feeling about this. response:	What?
context: Any second now, Piccolo-san...\What's this? Something's headed this way!\It's an incredible battle power!\F- Freeza!\It will still take several more minutes for Kakarotto to fully recover.\It's still a bad time for Freeza to appear.\Ah, crap. I got a bad feeling about this.\What? response:	What's going on here? It's night!
context: What's this? Something's headed this way!\It's an incredible battle power!\F- Freeza!\It will still take several more minutes for Kakarotto to fully recover.\It's still a bad time for Freeza to appear.\Ah, crap. I got a bad feeling about this.\What?\What's going on here? It's night! response:	Why?
context: It's an incredible battle power!\F- Freeza!\It will still take several more minutes for Kakarotto to fully recover.\It's still a bad time for Freeza to appear.\Ah, crap. I got a bad feeling about this.\What?\What's going on here? It's night!\Why? response:	There isn't supposed to be any night time on this planet. So then why is the sky so dark?
context: F- Freeza!\It will still take several more minutes for Kakarotto to fully recover.\It's still a bad time for Freeza to appear.\Ah, crap. I got a bad feeling about this.\What?\What's going on here? It's night!\Why?\There isn't supposed to be any night time on this planet. So then why is the sky so dark? response:	This has to mean...
context: It will still take several more minutes for Kakarotto to fully recover.\It's still a bad time for Freeza to appear.\Ah, crap. I got a bad feeling about this.\What?\What's going on here? It's night!\Why?\There isn't supposed to be any night time on this planet. So then why is the sky so dark?\This has to mean... response:	No, it couldn't be...
context: It's still a bad time for Freeza to appear.\Ah, crap. I got a bad feeling about this.\What?\What's going on here? It's night!\Why?\There isn't supposed to be any night time on this planet. So then why is the sky so dark?\This has to mean...\No, it couldn't be... response:	It couldn't be... It couldn't be!
context: Ah, crap. I got a bad feeling about this.\What?\What's going on here? It's night!\Why?\There isn't supposed to be any night time on this planet. So then why is the sky so dark?\This has to mean...\No, it couldn't be...\It couldn't be... It couldn't be! response:	It couldn't be!!
context: What?\What's going on here? It's night!\Why?\There isn't supposed to be any night time on this planet. So then why is the sky so dark?\This has to mean...\No, it couldn't be...\It couldn't be... It couldn't be!\It couldn't be!! response:	Understood. I shall grant thy first wish.
context: What's going on here? It's night!\Why?\There isn't supposed to be any night time on this planet. So then why is the sky so dark?\This has to mean...\No, it couldn't be...\It couldn't be... It couldn't be!\It couldn't be!!\Understood. I shall grant thy first wish. response:	NO!!
context: Why?\There isn't supposed to be any night time on this planet. So then why is the sky so dark?\This has to mean...\No, it couldn't be...\It couldn't be... It couldn't be!\It couldn't be!!\Understood. I shall grant thy first wish.\NO!! response:	The Dragonballs are gone!
context: There isn't supposed to be any night time on this planet. So then why is the sky so dark?\This has to mean...\No, it couldn't be...\It couldn't be... It couldn't be!\It couldn't be!!\Understood. I shall grant thy first wish.\NO!!\The Dragonballs are gone! response:	Damn it! Kakarotto's son is also missing.
context: This has to mean...\No, it couldn't be...\It couldn't be... It couldn't be!\It couldn't be!!\Understood. I shall grant thy first wish.\NO!!\The Dragonballs are gone!\Damn it! Kakarotto's son is also missing. response:	Why you dirty rotten little brat!
context: No, it couldn't be...\It couldn't be... It couldn't be!\It couldn't be!!\Understood. I shall grant thy first wish.\NO!!\The Dragonballs are gone!\Damn it! Kakarotto's son is also missing.\Why you dirty rotten little brat! response:	What's that monster over there?
context: It couldn't be... It couldn't be!\It couldn't be!!\Understood. I shall grant thy first wish.\NO!!\The Dragonballs are gone!\Damn it! Kakarotto's son is also missing.\Why you dirty rotten little brat!\What's that monster over there? response:	Is that the dragon they said would appear out of the Dragonballs?
context: It couldn't be!!\Understood. I shall grant thy first wish.\NO!!\The Dragonballs are gone!\Damn it! Kakarotto's son is also missing.\Why you dirty rotten little brat!\What's that monster over there?\Is that the dragon they said would appear out of the Dragonballs? response:	Damn it, those rotten kids have gotten the jump on me!
context: Understood. I shall grant thy first wish.\NO!!\The Dragonballs are gone!\Damn it! Kakarotto's son is also missing.\Why you dirty rotten little brat!\What's that monster over there?\Is that the dragon they said would appear out of the Dragonballs?\Damn it, those rotten kids have gotten the jump on me! response:	YOU'LL PAY FOR THIS!!
context: NO!!\The Dragonballs are gone!\Damn it! Kakarotto's son is also missing.\Why you dirty rotten little brat!\What's that monster over there?\Is that the dragon they said would appear out of the Dragonballs?\Damn it, those rotten kids have gotten the jump on me!\YOU'LL PAY FOR THIS!! response:	This is bad! Freeza is almost on top of us!
context: The Dragonballs are gone!\Damn it! Kakarotto's son is also missing.\Why you dirty rotten little brat!\What's that monster over there?\Is that the dragon they said would appear out of the Dragonballs?\Damn it, those rotten kids have gotten the jump on me!\YOU'LL PAY FOR THIS!!\This is bad! Freeza is almost on top of us! response:	I'm reading four life signs. At last, I've found you!
context: Damn it! Kakarotto's son is also missing.\Why you dirty rotten little brat!\What's that monster over there?\Is that the dragon they said would appear out of the Dragonballs?\Damn it, those rotten kids have gotten the jump on me!\YOU'LL PAY FOR THIS!!\This is bad! Freeza is almost on top of us!\I'm reading four life signs. At last, I've found you! response:	Just you wait for what you've got coming, you inferior life forms!
context: Why you dirty rotten little brat!\What's that monster over there?\Is that the dragon they said would appear out of the Dragonballs?\Damn it, those rotten kids have gotten the jump on me!\YOU'LL PAY FOR THIS!!\This is bad! Freeza is almost on top of us!\I'm reading four life signs. At last, I've found you!\Just you wait for what you've got coming, you inferior life forms! response:	It vanished!
context: What's that monster over there?\Is that the dragon they said would appear out of the Dragonballs?\Damn it, those rotten kids have gotten the jump on me!\YOU'LL PAY FOR THIS!!\This is bad! Freeza is almost on top of us!\I'm reading four life signs. At last, I've found you!\Just you wait for what you've got coming, you inferior life forms!\It vanished! response:	All right.
context: Is that the dragon they said would appear out of the Dragonballs?\Damn it, those rotten kids have gotten the jump on me!\YOU'LL PAY FOR THIS!!\This is bad! Freeza is almost on top of us!\I'm reading four life signs. At last, I've found you!\Just you wait for what you've got coming, you inferior life forms!\It vanished!\All right. response:	I'm alive again! Now, for the next wish!
context: Damn it, those rotten kids have gotten the jump on me!\YOU'LL PAY FOR THIS!!\This is bad! Freeza is almost on top of us!\I'm reading four life signs. At last, I've found you!\Just you wait for what you've got coming, you inferior life forms!\It vanished!\All right.\I'm alive again! Now, for the next wish! response:	I'm counting on you, Gohan!
context: YOU'LL PAY FOR THIS!!\This is bad! Freeza is almost on top of us!\I'm reading four life signs. At last, I've found you!\Just you wait for what you've got coming, you inferior life forms!\It vanished!\All right.\I'm alive again! Now, for the next wish!\I'm counting on you, Gohan! response:	I won't be responsible for this! It's out of my hands now!
context: This is bad! Freeza is almost on top of us!\I'm reading four life signs. At last, I've found you!\Just you wait for what you've got coming, you inferior life forms!\It vanished!\All right.\I'm alive again! Now, for the next wish!\I'm counting on you, Gohan!\I won't be responsible for this! It's out of my hands now! response:	Wait!... Wait! Wait!
context: I'm reading four life signs. At last, I've found you!\Just you wait for what you've got coming, you inferior life forms!\It vanished!\All right.\I'm alive again! Now, for the next wish!\I'm counting on you, Gohan!\I won't be responsible for this! It's out of my hands now!\Wait!... Wait! Wait! response:	Kami-sama!
context: Just you wait for what you've got coming, you inferior life forms!\It vanished!\All right.\I'm alive again! Now, for the next wish!\I'm counting on you, Gohan!\I won't be responsible for this! It's out of my hands now!\Wait!... Wait! Wait!\Kami-sama! response:	Piccolo, you rascal. That was some smart thinking.
context: It vanished!\All right.\I'm alive again! Now, for the next wish!\I'm counting on you, Gohan!\I won't be responsible for this! It's out of my hands now!\Wait!... Wait! Wait!\Kami-sama!\Piccolo, you rascal. That was some smart thinking. response:	Popo, you've taken good care of the place in my absence.
context: All right.\I'm alive again! Now, for the next wish!\I'm counting on you, Gohan!\I won't be responsible for this! It's out of my hands now!\Wait!... Wait! Wait!\Kami-sama!\Piccolo, you rascal. That was some smart thinking.\Popo, you've taken good care of the place in my absence. response:	Great! Kami-sama is back alive! So happy!
context: I'm alive again! Now, for the next wish!\I'm counting on you, Gohan!\I won't be responsible for this! It's out of my hands now!\Wait!... Wait! Wait!\Kami-sama!\Piccolo, you rascal. That was some smart thinking.\Popo, you've taken good care of the place in my absence.\Great! Kami-sama is back alive! So happy! response:	I have granted your first wish.
context: I'm counting on you, Gohan!\I won't be responsible for this! It's out of my hands now!\Wait!... Wait! Wait!\Kami-sama!\Piccolo, you rascal. That was some smart thinking.\Popo, you've taken good care of the place in my absence.\Great! Kami-sama is back alive! So happy!\I have granted your first wish. response:	Now, speak forth thy second wish!
context: I won't be responsible for this! It's out of my hands now!\Wait!... Wait! Wait!\Kami-sama!\Piccolo, you rascal. That was some smart thinking.\Popo, you've taken good care of the place in my absence.\Great! Kami-sama is back alive! So happy!\I have granted your first wish.\Now, speak forth thy second wish! response:	The second wish is to have Piccolo, who was just restored to life, transported here to Planet Namek.
context: Wait!... Wait! Wait!\Kami-sama!\Piccolo, you rascal. That was some smart thinking.\Popo, you've taken good care of the place in my absence.\Great! Kami-sama is back alive! So happy!\I have granted your first wish.\Now, speak forth thy second wish!\The second wish is to have Piccolo, who was just restored to life, transported here to Planet Namek. response:	Right!
context: Kami-sama!\Piccolo, you rascal. That was some smart thinking.\Popo, you've taken good care of the place in my absence.\Great! Kami-sama is back alive! So happy!\I have granted your first wish.\Now, speak forth thy second wish!\The second wish is to have Piccolo, who was just restored to life, transported here to Planet Namek.\Right! response:	Dende, make it fast! Vegeta's found us out!
context: Piccolo, you rascal. That was some smart thinking.\Popo, you've taken good care of the place in my absence.\Great! Kami-sama is back alive! So happy!\I have granted your first wish.\Now, speak forth thy second wish!\The second wish is to have Piccolo, who was just restored to life, transported here to Planet Namek.\Right!\Dende, make it fast! Vegeta's found us out! response:	Okay!
context: Popo, you've taken good care of the place in my absence.\Great! Kami-sama is back alive! So happy!\I have granted your first wish.\Now, speak forth thy second wish!\The second wish is to have Piccolo, who was just restored to life, transported here to Planet Namek.\Right!\Dende, make it fast! Vegeta's found us out!\Okay! response:	That is a simple matter. I shall grant your second wish.
context: Great! Kami-sama is back alive! So happy!\I have granted your first wish.\Now, speak forth thy second wish!\The second wish is to have Piccolo, who was just restored to life, transported here to Planet Namek.\Right!\Dende, make it fast! Vegeta's found us out!\Okay!\That is a simple matter. I shall grant your second wish. response:	Such a fool!
context: I have granted your first wish.\Now, speak forth thy second wish!\The second wish is to have Piccolo, who was just restored to life, transported here to Planet Namek.\Right!\Dende, make it fast! Vegeta's found us out!\Okay!\That is a simple matter. I shall grant your second wish.\Such a fool! response:	I have granted thy second wish. You may now speak thy final wish.
context: Now, speak forth thy second wish!\The second wish is to have Piccolo, who was just restored to life, transported here to Planet Namek.\Right!\Dende, make it fast! Vegeta's found us out!\Okay!\That is a simple matter. I shall grant your second wish.\Such a fool!\I have granted thy second wish. You may now speak thy final wish. response:	He said it's granted? But Piccolo isn't here yet.
context: The second wish is to have Piccolo, who was just restored to life, transported here to Planet Namek.\Right!\Dende, make it fast! Vegeta's found us out!\Okay!\That is a simple matter. I shall grant your second wish.\Such a fool!\I have granted thy second wish. You may now speak thy final wish.\He said it's granted? But Piccolo isn't here yet. response:	Where are you, Piccolo-san?
context: Right!\Dende, make it fast! Vegeta's found us out!\Okay!\That is a simple matter. I shall grant your second wish.\Such a fool!\I have granted thy second wish. You may now speak thy final wish.\He said it's granted? But Piccolo isn't here yet.\Where are you, Piccolo-san? response:	You just said to have him brought to this planet... so he could be anywhere.
context: Dende, make it fast! Vegeta's found us out!\Okay!\That is a simple matter. I shall grant your second wish.\Such a fool!\I have granted thy second wish. You may now speak thy final wish.\He said it's granted? But Piccolo isn't here yet.\Where are you, Piccolo-san?\You just said to have him brought to this planet... so he could be anywhere. response:	Did you mean you wanted him brought here?
context: Okay!\That is a simple matter. I shall grant your second wish.\Such a fool!\I have granted thy second wish. You may now speak thy final wish.\He said it's granted? But Piccolo isn't here yet.\Where are you, Piccolo-san?\You just said to have him brought to this planet... so he could be anywhere.\Did you mean you wanted him brought here? response:	Oh, no!
context: That is a simple matter. I shall grant your second wish.\Such a fool!\I have granted thy second wish. You may now speak thy final wish.\He said it's granted? But Piccolo isn't here yet.\Where are you, Piccolo-san?\You just said to have him brought to this planet... so he could be anywhere.\Did you mean you wanted him brought here?\Oh, no! response:	What should we do? We could use the third wish to bring him-
context: Such a fool!\I have granted thy second wish. You may now speak thy final wish.\He said it's granted? But Piccolo isn't here yet.\Where are you, Piccolo-san?\You just said to have him brought to this planet... so he could be anywhere.\Did you mean you wanted him brought here?\Oh, no!\What should we do? We could use the third wish to bring him- response:	Vegeta!
context: I have granted thy second wish. You may now speak thy final wish.\He said it's granted? But Piccolo isn't here yet.\Where are you, Piccolo-san?\You just said to have him brought to this planet... so he could be anywhere.\Did you mean you wanted him brought here?\Oh, no!\What should we do? We could use the third wish to bring him-\Vegeta! response:	I knew it! I knew it was something like this!
context: He said it's granted? But Piccolo isn't here yet.\Where are you, Piccolo-san?\You just said to have him brought to this planet... so he could be anywhere.\Did you mean you wanted him brought here?\Oh, no!\What should we do? We could use the third wish to bring him-\Vegeta!\I knew it! I knew it was something like this! response:	How dare you... How dare you try to trick me, Vegeta-sama, you punks!!?
context: Where are you, Piccolo-san?\You just said to have him brought to this planet... so he could be anywhere.\Did you mean you wanted him brought here?\Oh, no!\What should we do? We could use the third wish to bring him-\Vegeta!\I knew it! I knew it was something like this!\How dare you... How dare you try to trick me, Vegeta-sama, you punks!!? response:	You'll pay for this!
context: You just said to have him brought to this planet... so he could be anywhere.\Did you mean you wanted him brought here?\Oh, no!\What should we do? We could use the third wish to bring him-\Vegeta!\I knew it! I knew it was something like this!\How dare you... How dare you try to trick me, Vegeta-sama, you punks!!?\You'll pay for this! response:	You idiots! You've taken the only chance we had to defeat Freeza and wasted it!
context: Did you mean you wanted him brought here?\Oh, no!\What should we do? We could use the third wish to bring him-\Vegeta!\I knew it! I knew it was something like this!\How dare you... How dare you try to trick me, Vegeta-sama, you punks!!?\You'll pay for this!\You idiots! You've taken the only chance we had to defeat Freeza and wasted it! response:	The only way we can win is if I am made immortal. You dirty, stinking brats!
context: Oh, no!\What should we do? We could use the third wish to bring him-\Vegeta!\I knew it! I knew it was something like this!\How dare you... How dare you try to trick me, Vegeta-sama, you punks!!?\You'll pay for this!\You idiots! You've taken the only chance we had to defeat Freeza and wasted it!\The only way we can win is if I am made immortal. You dirty, stinking brats! response:	Wait! We've only had two wishes granted so far, there's still one wish that remains to be granted.
context: What should we do? We could use the third wish to bring him-\Vegeta!\I knew it! I knew it was something like this!\How dare you... How dare you try to trick me, Vegeta-sama, you punks!!?\You'll pay for this!\You idiots! You've taken the only chance we had to defeat Freeza and wasted it!\The only way we can win is if I am made immortal. You dirty, stinking brats!\Wait! We've only had two wishes granted so far, there's still one wish that remains to be granted. response:	Idiot! Keep your mouth shut!
context: Vegeta!\I knew it! I knew it was something like this!\How dare you... How dare you try to trick me, Vegeta-sama, you punks!!?\You'll pay for this!\You idiots! You've taken the only chance we had to defeat Freeza and wasted it!\The only way we can win is if I am made immortal. You dirty, stinking brats!\Wait! We've only had two wishes granted so far, there's still one wish that remains to be granted.\Idiot! Keep your mouth shut! response:	I'm quite relieved to hear this.
context: I knew it! I knew it was something like this!\How dare you... How dare you try to trick me, Vegeta-sama, you punks!!?\You'll pay for this!\You idiots! You've taken the only chance we had to defeat Freeza and wasted it!\The only way we can win is if I am made immortal. You dirty, stinking brats!\Wait! We've only had two wishes granted so far, there's still one wish that remains to be granted.\Idiot! Keep your mouth shut!\I'm quite relieved to hear this. response:	What is that column of light there?
context: How dare you... How dare you try to trick me, Vegeta-sama, you punks!!?\You'll pay for this!\You idiots! You've taken the only chance we had to defeat Freeza and wasted it!\The only way we can win is if I am made immortal. You dirty, stinking brats!\Wait! We've only had two wishes granted so far, there's still one wish that remains to be granted.\Idiot! Keep your mouth shut!\I'm quite relieved to hear this.\What is that column of light there? response:	Thats where the life sign readings are...
context: You'll pay for this!\You idiots! You've taken the only chance we had to defeat Freeza and wasted it!\The only way we can win is if I am made immortal. You dirty, stinking brats!\Wait! We've only had two wishes granted so far, there's still one wish that remains to be granted.\Idiot! Keep your mouth shut!\I'm quite relieved to hear this.\What is that column of light there?\Thats where the life sign readings are... response:	No! They couldn't be using the Dragonballs to get their wish!
context: You idiots! You've taken the only chance we had to defeat Freeza and wasted it!\The only way we can win is if I am made immortal. You dirty, stinking brats!\Wait! We've only had two wishes granted so far, there's still one wish that remains to be granted.\Idiot! Keep your mouth shut!\I'm quite relieved to hear this.\What is that column of light there?\Thats where the life sign readings are...\No! They couldn't be using the Dragonballs to get their wish! response:	What is thy third wish?
context: The only way we can win is if I am made immortal. You dirty, stinking brats!\Wait! We've only had two wishes granted so far, there's still one wish that remains to be granted.\Idiot! Keep your mouth shut!\I'm quite relieved to hear this.\What is that column of light there?\Thats where the life sign readings are...\No! They couldn't be using the Dragonballs to get their wish!\What is thy third wish? response:	Now then, make me immortal! Hurry up and do it now!
context: Wait! We've only had two wishes granted so far, there's still one wish that remains to be granted.\Idiot! Keep your mouth shut!\I'm quite relieved to hear this.\What is that column of light there?\Thats where the life sign readings are...\No! They couldn't be using the Dragonballs to get their wish!\What is thy third wish?\Now then, make me immortal! Hurry up and do it now! response:	Lousy brat!
context: Idiot! Keep your mouth shut!\I'm quite relieved to hear this.\What is that column of light there?\Thats where the life sign readings are...\No! They couldn't be using the Dragonballs to get their wish!\What is thy third wish?\Now then, make me immortal! Hurry up and do it now!\Lousy brat! response:	Don't you know what Do it now means!?
context: I'm quite relieved to hear this.\What is that column of light there?\Thats where the life sign readings are...\No! They couldn't be using the Dragonballs to get their wish!\What is thy third wish?\Now then, make me immortal! Hurry up and do it now!\Lousy brat!\Don't you know what Do it now means!? response:	Dende!
context: What is that column of light there?\Thats where the life sign readings are...\No! They couldn't be using the Dragonballs to get their wish!\What is thy third wish?\Now then, make me immortal! Hurry up and do it now!\Lousy brat!\Don't you know what Do it now means!?\Dende! response:	You have to do it right now! Freeza is nearly upon us!
context: Thats where the life sign readings are...\No! They couldn't be using the Dragonballs to get their wish!\What is thy third wish?\Now then, make me immortal! Hurry up and do it now!\Lousy brat!\Don't you know what Do it now means!?\Dende!\You have to do it right now! Freeza is nearly upon us! response:	If that wish gets granted...
context: No! They couldn't be using the Dragonballs to get their wish!\What is thy third wish?\Now then, make me immortal! Hurry up and do it now!\Lousy brat!\Don't you know what Do it now means!?\Dende!\You have to do it right now! Freeza is nearly upon us!\If that wish gets granted... response:	But we don't have any other choice! Father's injuries won't heal for some time still...
context: What is thy third wish?\Now then, make me immortal! Hurry up and do it now!\Lousy brat!\Don't you know what Do it now means!?\Dende!\You have to do it right now! Freeza is nearly upon us!\If that wish gets granted...\But we don't have any other choice! Father's injuries won't heal for some time still... response:	So this is my homeland?
context: Now then, make me immortal! Hurry up and do it now!\Lousy brat!\Don't you know what Do it now means!?\Dende!\You have to do it right now! Freeza is nearly upon us!\If that wish gets granted...\But we don't have any other choice! Father's injuries won't heal for some time still...\So this is my homeland? response:	Planet Namek.
context: Lousy brat!\Don't you know what Do it now means!?\Dende!\You have to do it right now! Freeza is nearly upon us!\If that wish gets granted...\But we don't have any other choice! Father's injuries won't heal for some time still...\So this is my homeland?\Planet Namek. response:	Then it's no wonder I feel such an odd nostalgia for this place.
context: Don't you know what Do it now means!?\Dende!\You have to do it right now! Freeza is nearly upon us!\If that wish gets granted...\But we don't have any other choice! Father's injuries won't heal for some time still...\So this is my homeland?\Planet Namek.\Then it's no wonder I feel such an odd nostalgia for this place. response:	The Nameksei-jin blood that flows within me must be responsible.
context: Dende!\You have to do it right now! Freeza is nearly upon us!\If that wish gets granted...\But we don't have any other choice! Father's injuries won't heal for some time still...\So this is my homeland?\Planet Namek.\Then it's no wonder I feel such an odd nostalgia for this place.\The Nameksei-jin blood that flows within me must be responsible. response:	Hold on, this is no time to be so sentimental. I'd better locate Gohan and the others.
context: You have to do it right now! Freeza is nearly upon us!\If that wish gets granted...\But we don't have any other choice! Father's injuries won't heal for some time still...\So this is my homeland?\Planet Namek.\Then it's no wonder I feel such an odd nostalgia for this place.\The Nameksei-jin blood that flows within me must be responsible.\Hold on, this is no time to be so sentimental. I'd better locate Gohan and the others. response:	Damn, where are they? They aren't around here anywhere close.
context: If that wish gets granted...\But we don't have any other choice! Father's injuries won't heal for some time still...\So this is my homeland?\Planet Namek.\Then it's no wonder I feel such an odd nostalgia for this place.\The Nameksei-jin blood that flows within me must be responsible.\Hold on, this is no time to be so sentimental. I'd better locate Gohan and the others.\Damn, where are they? They aren't around here anywhere close. response:	Wh- What's that!?
context: But we don't have any other choice! Father's injuries won't heal for some time still...\So this is my homeland?\Planet Namek.\Then it's no wonder I feel such an odd nostalgia for this place.\The Nameksei-jin blood that flows within me must be responsible.\Hold on, this is no time to be so sentimental. I'd better locate Gohan and the others.\Damn, where are they? They aren't around here anywhere close.\Wh- What's that!? response:	I can feel a tremendous Ki off in the distance.
context: So this is my homeland?\Planet Namek.\Then it's no wonder I feel such an odd nostalgia for this place.\The Nameksei-jin blood that flows within me must be responsible.\Hold on, this is no time to be so sentimental. I'd better locate Gohan and the others.\Damn, where are they? They aren't around here anywhere close.\Wh- What's that!?\I can feel a tremendous Ki off in the distance. response:	Can that be the monster, Freeza?
context: Planet Namek.\Then it's no wonder I feel such an odd nostalgia for this place.\The Nameksei-jin blood that flows within me must be responsible.\Hold on, this is no time to be so sentimental. I'd better locate Gohan and the others.\Damn, where are they? They aren't around here anywhere close.\Wh- What's that!?\I can feel a tremendous Ki off in the distance.\Can that be the monster, Freeza? response:	There are three other Kis near there. Gohan and the others...
context: Then it's no wonder I feel such an odd nostalgia for this place.\The Nameksei-jin blood that flows within me must be responsible.\Hold on, this is no time to be so sentimental. I'd better locate Gohan and the others.\Damn, where are they? They aren't around here anywhere close.\Wh- What's that!?\I can feel a tremendous Ki off in the distance.\Can that be the monster, Freeza?\There are three other Kis near there. Gohan and the others... response:	All right. Hold on, Gohan!
context: The Nameksei-jin blood that flows within me must be responsible.\Hold on, this is no time to be so sentimental. I'd better locate Gohan and the others.\Damn, where are they? They aren't around here anywhere close.\Wh- What's that!?\I can feel a tremendous Ki off in the distance.\Can that be the monster, Freeza?\There are three other Kis near there. Gohan and the others...\All right. Hold on, Gohan! response:	I still await thy final wish. Thou may speak it now.
context: Hold on, this is no time to be so sentimental. I'd better locate Gohan and the others.\Damn, where are they? They aren't around here anywhere close.\Wh- What's that!?\I can feel a tremendous Ki off in the distance.\Can that be the monster, Freeza?\There are three other Kis near there. Gohan and the others...\All right. Hold on, Gohan!\I still await thy final wish. Thou may speak it now. response:	What are you waiting for!? Tell him now! Make me immortal!
context: Damn, where are they? They aren't around here anywhere close.\Wh- What's that!?\I can feel a tremendous Ki off in the distance.\Can that be the monster, Freeza?\There are three other Kis near there. Gohan and the others...\All right. Hold on, Gohan!\I still await thy final wish. Thou may speak it now.\What are you waiting for!? Tell him now! Make me immortal! response:	Do you want to be killed by Freeza?
context: Wh- What's that!?\I can feel a tremendous Ki off in the distance.\Can that be the monster, Freeza?\There are three other Kis near there. Gohan and the others...\All right. Hold on, Gohan!\I still await thy final wish. Thou may speak it now.\What are you waiting for!? Tell him now! Make me immortal!\Do you want to be killed by Freeza? response:	Krillin-san, Freeza is almost here!
context: I can feel a tremendous Ki off in the distance.\Can that be the monster, Freeza?\There are three other Kis near there. Gohan and the others...\All right. Hold on, Gohan!\I still await thy final wish. Thou may speak it now.\What are you waiting for!? Tell him now! Make me immortal!\Do you want to be killed by Freeza?\Krillin-san, Freeza is almost here! response:	Our situation is desperate.
context: Can that be the monster, Freeza?\There are three other Kis near there. Gohan and the others...\All right. Hold on, Gohan!\I still await thy final wish. Thou may speak it now.\What are you waiting for!? Tell him now! Make me immortal!\Do you want to be killed by Freeza?\Krillin-san, Freeza is almost here!\Our situation is desperate. response:	Dende! Let him have his wish!
context: There are three other Kis near there. Gohan and the others...\All right. Hold on, Gohan!\I still await thy final wish. Thou may speak it now.\What are you waiting for!? Tell him now! Make me immortal!\Do you want to be killed by Freeza?\Krillin-san, Freeza is almost here!\Our situation is desperate.\Dende! Let him have his wish! response:	Vegeta may be incredibly bad, but at least he's better than Freeza. I hate to have to do this,
