context: Are you all right? response:	Do you want to go to the nurse's office?
context: Properties\Recycle Bin\Open\Explore\Empty Recycle Bin\Create Shortcut\Properties\Now! response:	I'm going home for today.
context: Recycle Bin\Open\Explore\Empty Recycle Bin\Create Shortcut\Properties\Now!\I'm going home for today. response:	Sorry!
context: Open\Explore\Empty Recycle Bin\Create Shortcut\Properties\Now!\I'm going home for today.\Sorry! response:	What happened?
context: Explore\Empty Recycle Bin\Create Shortcut\Properties\Now!\I'm going home for today.\Sorry!\What happened? response:	Nothing at all.
context: Empty Recycle Bin\Create Shortcut\Properties\Now!\I'm going home for today.\Sorry!\What happened?\Nothing at all. response:	An evil plot was thwarted.
context: Create Shortcut\Properties\Now!\I'm going home for today.\Sorry!\What happened?\Nothing at all.\An evil plot was thwarted. response:	Having nothing to do...
context: Properties\Now!\I'm going home for today.\Sorry!\What happened?\Nothing at all.\An evil plot was thwarted.\Having nothing to do... response:	With his usual smile.
context: Now!\I'm going home for today.\Sorry!\What happened?\Nothing at all.\An evil plot was thwarted.\Having nothing to do...\With his usual smile. response:	I have to go to work.
context: I'm going home for today.\Sorry!\What happened?\Nothing at all.\An evil plot was thwarted.\Having nothing to do...\With his usual smile.\I have to go to work. response:	I'll be excusing myself now.
context: Sorry!\What happened?\Nothing at all.\An evil plot was thwarted.\Having nothing to do...\With his usual smile.\I have to go to work.\I'll be excusing myself now. response:	And what kind of work would that be?
context: What happened?\Nothing at all.\An evil plot was thwarted.\Having nothing to do...\With his usual smile.\I have to go to work.\I'll be excusing myself now.\And what kind of work would that be? response:	I'm going to change...
context: Nothing at all.\An evil plot was thwarted.\Having nothing to do...\With his usual smile.\I have to go to work.\I'll be excusing myself now.\And what kind of work would that be?\I'm going to change... response:	And so I took Asahina-san up on her offer...
context: An evil plot was thwarted.\Having nothing to do...\With his usual smile.\I have to go to work.\I'll be excusing myself now.\And what kind of work would that be?\I'm going to change...\And so I took Asahina-san up on her offer... response:	When I saw the person standing there...
context: Having nothing to do...\With his usual smile.\I have to go to work.\I'll be excusing myself now.\And what kind of work would that be?\I'm going to change...\And so I took Asahina-san up on her offer...\When I saw the person standing there... response:	Why don't you come in?
context: With his usual smile.\I have to go to work.\I'll be excusing myself now.\And what kind of work would that be?\I'm going to change...\And so I took Asahina-san up on her offer...\When I saw the person standing there...\Why don't you come in? response:	It's you, huh?
context: I have to go to work.\I'll be excusing myself now.\And what kind of work would that be?\I'm going to change...\And so I took Asahina-san up on her offer...\When I saw the person standing there...\Why don't you come in?\It's you, huh? response:	Yes.
context: I'll be excusing myself now.\And what kind of work would that be?\I'm going to change...\And so I took Asahina-san up on her offer...\When I saw the person standing there...\Why don't you come in?\It's you, huh?\Yes. response:	Didn't expect me, did you?
context: And what kind of work would that be?\I'm going to change...\And so I took Asahina-san up on her offer...\When I saw the person standing there...\Why don't you come in?\It's you, huh?\Yes.\Didn't expect me, did you? response:	What do you want with me?
context: I'm going to change...\And so I took Asahina-san up on her offer...\When I saw the person standing there...\Why don't you come in?\It's you, huh?\Yes.\Didn't expect me, did you?\What do you want with me? response:	There is something I need you for...
context: And so I took Asahina-san up on her offer...\When I saw the person standing there...\Why don't you come in?\It's you, huh?\Yes.\Didn't expect me, did you?\What do you want with me?\There is something I need you for... response:	But I want to ask you something.
context: When I saw the person standing there...\Why don't you come in?\It's you, huh?\Yes.\Didn't expect me, did you?\What do you want with me?\There is something I need you for...\But I want to ask you something. response:	It's about Suzumiya-san.
context: Why don't you come in?\It's you, huh?\Yes.\Didn't expect me, did you?\What do you want with me?\There is something I need you for...\But I want to ask you something.\It's about Suzumiya-san. response:	What do you think about her?
context: It's you, huh?\Yes.\Didn't expect me, did you?\What do you want with me?\There is something I need you for...\But I want to ask you something.\It's about Suzumiya-san.\What do you think about her? response:	Oh, boy.
context: Yes.\Didn't expect me, did you?\What do you want with me?\There is something I need you for...\But I want to ask you something.\It's about Suzumiya-san.\What do you think about her?\Oh, boy. response:	Another Suzumiya fan, huh?
context: Didn't expect me, did you?\What do you want with me?\There is something I need you for...\But I want to ask you something.\It's about Suzumiya-san.\What do you think about her?\Oh, boy.\Another Suzumiya fan, huh? response:	You know...
context: What do you want with me?\There is something I need you for...\But I want to ask you something.\It's about Suzumiya-san.\What do you think about her?\Oh, boy.\Another Suzumiya fan, huh?\You know... response:	Humans always say, It's better to regret something you did than to regret something you didn't do.
context: There is something I need you for...\But I want to ask you something.\It's about Suzumiya-san.\What do you think about her?\Oh, boy.\Another Suzumiya fan, huh?\You know...\Humans always say, It's better to regret something you did than to regret something you didn't do. response:	What's your opinion on that?
context: But I want to ask you something.\It's about Suzumiya-san.\What do you think about her?\Oh, boy.\Another Suzumiya fan, huh?\You know...\Humans always say, It's better to regret something you did than to regret something you didn't do.\What's your opinion on that? response:	I don't know about it being a common saying...
context: It's about Suzumiya-san.\What do you think about her?\Oh, boy.\Another Suzumiya fan, huh?\You know...\Humans always say, It's better to regret something you did than to regret something you didn't do.\What's your opinion on that?\I don't know about it being a common saying... response:	Then...
context: What do you think about her?\Oh, boy.\Another Suzumiya fan, huh?\You know...\Humans always say, It's better to regret something you did than to regret something you didn't do.\What's your opinion on that?\I don't know about it being a common saying...\Then... response:	Speaking theoretically...
context: Oh, boy.\Another Suzumiya fan, huh?\You know...\Humans always say, It's better to regret something you did than to regret something you didn't do.\What's your opinion on that?\I don't know about it being a common saying...\Then...\Speaking theoretically... response:	If there were a situation where maintaining the status quo would only make things worse...
context: Another Suzumiya fan, huh?\You know...\Humans always say, It's better to regret something you did than to regret something you didn't do.\What's your opinion on that?\I don't know about it being a common saying...\Then...\Speaking theoretically...\If there were a situation where maintaining the status quo would only make things worse... response:	What's that?
context: You know...\Humans always say, It's better to regret something you did than to regret something you didn't do.\What's your opinion on that?\I don't know about it being a common saying...\Then...\Speaking theoretically...\If there were a situation where maintaining the status quo would only make things worse...\What's that? response:	Are you talking about the Japanese economy?
context: Humans always say, It's better to regret something you did than to regret something you didn't do.\What's your opinion on that?\I don't know about it being a common saying...\Then...\Speaking theoretically...\If there were a situation where maintaining the status quo would only make things worse...\What's that?\Are you talking about the Japanese economy? response:	Wouldn't you think that change, any change at all, would be best for now?
context: What's your opinion on that?\I don't know about it being a common saying...\Then...\Speaking theoretically...\If there were a situation where maintaining the status quo would only make things worse...\What's that?\Are you talking about the Japanese economy?\Wouldn't you think that change, any change at all, would be best for now? response:	Nothing will improve the way things currently are.
context: I don't know about it being a common saying...\Then...\Speaking theoretically...\If there were a situation where maintaining the status quo would only make things worse...\What's that?\Are you talking about the Japanese economy?\Wouldn't you think that change, any change at all, would be best for now?\Nothing will improve the way things currently are. response:	Well, I guess that's one way to look at it.
context: Then...\Speaking theoretically...\If there were a situation where maintaining the status quo would only make things worse...\What's that?\Are you talking about the Japanese economy?\Wouldn't you think that change, any change at all, would be best for now?\Nothing will improve the way things currently are.\Well, I guess that's one way to look at it. response:	Right?
context: Speaking theoretically...\If there were a situation where maintaining the status quo would only make things worse...\What's that?\Are you talking about the Japanese economy?\Wouldn't you think that change, any change at all, would be best for now?\Nothing will improve the way things currently are.\Well, I guess that's one way to look at it.\Right? response:	But you know...
context: If there were a situation where maintaining the status quo would only make things worse...\What's that?\Are you talking about the Japanese economy?\Wouldn't you think that change, any change at all, would be best for now?\Nothing will improve the way things currently are.\Well, I guess that's one way to look at it.\Right?\But you know... response:	But I can't afford such complacency out in the field.
context: What's that?\Are you talking about the Japanese economy?\Wouldn't you think that change, any change at all, would be best for now?\Nothing will improve the way things currently are.\Well, I guess that's one way to look at it.\Right?\But you know...\But I can't afford such complacency out in the field. response:	A lack of action would only allow the situation to grow worse.
context: Are you talking about the Japanese economy?\Wouldn't you think that change, any change at all, would be best for now?\Nothing will improve the way things currently are.\Well, I guess that's one way to look at it.\Right?\But you know...\But I can't afford such complacency out in the field.\A lack of action would only allow the situation to grow worse. response:	In that case, it should be okay for me to use my own judgment to assert changes, right?
context: Wouldn't you think that change, any change at all, would be best for now?\Nothing will improve the way things currently are.\Well, I guess that's one way to look at it.\Right?\But you know...\But I can't afford such complacency out in the field.\A lack of action would only allow the situation to grow worse.\In that case, it should be okay for me to use my own judgment to assert changes, right? response:	What is she trying to say?
context: Nothing will improve the way things currently are.\Well, I guess that's one way to look at it.\Right?\But you know...\But I can't afford such complacency out in the field.\A lack of action would only allow the situation to grow worse.\In that case, it should be okay for me to use my own judgment to assert changes, right?\What is she trying to say? response:	Is this a prank?
context: Well, I guess that's one way to look at it.\Right?\But you know...\But I can't afford such complacency out in the field.\A lack of action would only allow the situation to grow worse.\In that case, it should be okay for me to use my own judgment to assert changes, right?\What is she trying to say?\Is this a prank? response:	Is Taniguchi hiding in the broom closet or something?
context: Right?\But you know...\But I can't afford such complacency out in the field.\A lack of action would only allow the situation to grow worse.\In that case, it should be okay for me to use my own judgment to assert changes, right?\What is she trying to say?\Is this a prank?\Is Taniguchi hiding in the broom closet or something? response:	I've grown quite tired...
context: But you know...\But I can't afford such complacency out in the field.\A lack of action would only allow the situation to grow worse.\In that case, it should be okay for me to use my own judgment to assert changes, right?\What is she trying to say?\Is this a prank?\Is Taniguchi hiding in the broom closet or something?\I've grown quite tired... response:	That's why...
context: But I can't afford such complacency out in the field.\A lack of action would only allow the situation to grow worse.\In that case, it should be okay for me to use my own judgment to assert changes, right?\What is she trying to say?\Is this a prank?\Is Taniguchi hiding in the broom closet or something?\I've grown quite tired...\That's why... response:	Wait, wait, what?
context: A lack of action would only allow the situation to grow worse.\In that case, it should be okay for me to use my own judgment to assert changes, right?\What is she trying to say?\Is this a prank?\Is Taniguchi hiding in the broom closet or something?\I've grown quite tired...\That's why...\Wait, wait, what? response:	What is this?
context: In that case, it should be okay for me to use my own judgment to assert changes, right?\What is she trying to say?\Is this a prank?\Is Taniguchi hiding in the broom closet or something?\I've grown quite tired...\That's why...\Wait, wait, what?\What is this? response:	No, wait.
context: What is she trying to say?\Is this a prank?\Is Taniguchi hiding in the broom closet or something?\I've grown quite tired...\That's why...\Wait, wait, what?\What is this?\No, wait. response:	What's going on here?
context: Is this a prank?\Is Taniguchi hiding in the broom closet or something?\I've grown quite tired...\That's why...\Wait, wait, what?\What is this?\No, wait.\What's going on here? response:	Why is Asakura trying to stab me with a knife?
context: Is Taniguchi hiding in the broom closet or something?\I've grown quite tired...\That's why...\Wait, wait, what?\What is this?\No, wait.\What's going on here?\Why is Asakura trying to stab me with a knife? response:	Hold on a sec.
context: I've grown quite tired...\That's why...\Wait, wait, what?\What is this?\No, wait.\What's going on here?\Why is Asakura trying to stab me with a knife?\Hold on a sec. response:	What did Asakura say?
context: That's why...\Wait, wait, what?\What is this?\No, wait.\What's going on here?\Why is Asakura trying to stab me with a knife?\Hold on a sec.\What did Asakura say? response:	Kill me?
context: Wait, wait, what?\What is this?\No, wait.\What's going on here?\Why is Asakura trying to stab me with a knife?\Hold on a sec.\What did Asakura say?\Kill me? response:	Why? For what reason?
context: What is this?\No, wait.\What's going on here?\Why is Asakura trying to stab me with a knife?\Hold on a sec.\What did Asakura say?\Kill me?\Why? For what reason? response:	Stop joking around!
context: No, wait.\What's going on here?\Why is Asakura trying to stab me with a knife?\Hold on a sec.\What did Asakura say?\Kill me?\Why? For what reason?\Stop joking around! response:	That's really dangerous!
context: What's going on here?\Why is Asakura trying to stab me with a knife?\Hold on a sec.\What did Asakura say?\Kill me?\Why? For what reason?\Stop joking around!\That's really dangerous! response:	A fake would be enough to scare anyone!
context: Why is Asakura trying to stab me with a knife?\Hold on a sec.\What did Asakura say?\Kill me?\Why? For what reason?\Stop joking around!\That's really dangerous!\A fake would be enough to scare anyone! response:	You think that this is a joke?
context: Hold on a sec.\What did Asakura say?\Kill me?\Why? For what reason?\Stop joking around!\That's really dangerous!\A fake would be enough to scare anyone!\You think that this is a joke? response:	You don't want to die?
context: What did Asakura say?\Kill me?\Why? For what reason?\Stop joking around!\That's really dangerous!\A fake would be enough to scare anyone!\You think that this is a joke?\You don't want to die? response:	You don't want to be killed?
context: Kill me?\Why? For what reason?\Stop joking around!\That's really dangerous!\A fake would be enough to scare anyone!\You think that this is a joke?\You don't want to die?\You don't want to be killed? response:	I don't really understand the concept of death for organic life forms.
context: Why? For what reason?\Stop joking around!\That's really dangerous!\A fake would be enough to scare anyone!\You think that this is a joke?\You don't want to die?\You don't want to be killed?\I don't really understand the concept of death for organic life forms. response:	I don't get it! It's not funny!
context: Stop joking around!\That's really dangerous!\A fake would be enough to scare anyone!\You think that this is a joke?\You don't want to die?\You don't want to be killed?\I don't really understand the concept of death for organic life forms.\I don't get it! It's not funny! response:	Just put that dangerous thing down!
context: That's really dangerous!\A fake would be enough to scare anyone!\You think that this is a joke?\You don't want to die?\You don't want to be killed?\I don't really understand the concept of death for organic life forms.\I don't get it! It's not funny!\Just put that dangerous thing down! response:	That's impossible.
context: A fake would be enough to scare anyone!\You think that this is a joke?\You don't want to die?\You don't want to be killed?\I don't really understand the concept of death for organic life forms.\I don't get it! It's not funny!\Just put that dangerous thing down!\That's impossible. response:	Because I truly want you to die.
context: You think that this is a joke?\You don't want to die?\You don't want to be killed?\I don't really understand the concept of death for organic life forms.\I don't get it! It's not funny!\Just put that dangerous thing down!\That's impossible.\Because I truly want you to die. response:	It's no use.
context: You don't want to die?\You don't want to be killed?\I don't really understand the concept of death for organic life forms.\I don't get it! It's not funny!\Just put that dangerous thing down!\That's impossible.\Because I truly want you to die.\It's no use. response:	This space is now under my data jurisdiction.
context: You don't want to be killed?\I don't really understand the concept of death for organic life forms.\I don't get it! It's not funny!\Just put that dangerous thing down!\That's impossible.\Because I truly want you to die.\It's no use.\This space is now under my data jurisdiction. response:	No one can leave or enter.
context: I don't really understand the concept of death for organic life forms.\I don't get it! It's not funny!\Just put that dangerous thing down!\That's impossible.\Because I truly want you to die.\It's no use.\This space is now under my data jurisdiction.\No one can leave or enter. response:	I have no idea what's going on anymore.
context: I don't get it! It's not funny!\Just put that dangerous thing down!\That's impossible.\Because I truly want you to die.\It's no use.\This space is now under my data jurisdiction.\No one can leave or enter.\I have no idea what's going on anymore. response:	If somebody does, come here!
context: Just put that dangerous thing down!\That's impossible.\Because I truly want you to die.\It's no use.\This space is now under my data jurisdiction.\No one can leave or enter.\I have no idea what's going on anymore.\If somebody does, come here! response:	And explain this to me!
context: That's impossible.\Because I truly want you to die.\It's no use.\This space is now under my data jurisdiction.\No one can leave or enter.\I have no idea what's going on anymore.\If somebody does, come here!\And explain this to me! response:	Say, just give up.
context: Because I truly want you to die.\It's no use.\This space is now under my data jurisdiction.\No one can leave or enter.\I have no idea what's going on anymore.\If somebody does, come here!\And explain this to me!\Say, just give up. response:	The result will be the same in the end.
context: It's no use.\This space is now under my data jurisdiction.\No one can leave or enter.\I have no idea what's going on anymore.\If somebody does, come here!\And explain this to me!\Say, just give up.\The result will be the same in the end. response:	Who are you?
context: This space is now under my data jurisdiction.\No one can leave or enter.\I have no idea what's going on anymore.\If somebody does, come here!\And explain this to me!\Say, just give up.\The result will be the same in the end.\Who are you? response:	It's no use.
context: No one can leave or enter.\I have no idea what's going on anymore.\If somebody does, come here!\And explain this to me!\Say, just give up.\The result will be the same in the end.\Who are you?\It's no use. response:	Didn't I tell you?
context: I have no idea what's going on anymore.\If somebody does, come here!\And explain this to me!\Say, just give up.\The result will be the same in the end.\Who are you?\It's no use.\Didn't I tell you? response:	Right now everything in this classroom moves according to my will.
context: If somebody does, come here!\And explain this to me!\Say, just give up.\The result will be the same in the end.\Who are you?\It's no use.\Didn't I tell you?\Right now everything in this classroom moves according to my will. response:	Wait! Wait! Wait!
context: And explain this to me!\Say, just give up.\The result will be the same in the end.\Who are you?\It's no use.\Didn't I tell you?\Right now everything in this classroom moves according to my will.\Wait! Wait! Wait! response:	What is this?
context: Say, just give up.\The result will be the same in the end.\Who are you?\It's no use.\Didn't I tell you?\Right now everything in this classroom moves according to my will.\Wait! Wait! Wait!\What is this? response:	Kill me and see how Haruhi Suzumiya responds?
context: The result will be the same in the end.\Who are you?\It's no use.\Didn't I tell you?\Right now everything in this classroom moves according to my will.\Wait! Wait! Wait!\What is this?\Kill me and see how Haruhi Suzumiya responds? response:	Haruhi again?
context: Who are you?\It's no use.\Didn't I tell you?\Right now everything in this classroom moves according to my will.\Wait! Wait! Wait!\What is this?\Kill me and see how Haruhi Suzumiya responds?\Haruhi again? response:	You sure are popular Haruhi!
context: It's no use.\Didn't I tell you?\Right now everything in this classroom moves according to my will.\Wait! Wait! Wait!\What is this?\Kill me and see how Haruhi Suzumiya responds?\Haruhi again?\You sure are popular Haruhi! response:	And wait.
context: Didn't I tell you?\Right now everything in this classroom moves according to my will.\Wait! Wait! Wait!\What is this?\Kill me and see how Haruhi Suzumiya responds?\Haruhi again?\You sure are popular Haruhi!\And wait. response:	Why does that mean I have to die?
context: Right now everything in this classroom moves according to my will.\Wait! Wait! Wait!\What is this?\Kill me and see how Haruhi Suzumiya responds?\Haruhi again?\You sure are popular Haruhi!\And wait.\Why does that mean I have to die? response:	I should have done this to start with.
context: Wait! Wait! Wait!\What is this?\Kill me and see how Haruhi Suzumiya responds?\Haruhi again?\You sure are popular Haruhi!\And wait.\Why does that mean I have to die?\I should have done this to start with. response:	My body won't move.
context: What is this?\Kill me and see how Haruhi Suzumiya responds?\Haruhi again?\You sure are popular Haruhi!\And wait.\Why does that mean I have to die?\I should have done this to start with.\My body won't move. response:	You can do that?
context: Kill me and see how Haruhi Suzumiya responds?\Haruhi again?\You sure are popular Haruhi!\And wait.\Why does that mean I have to die?\I should have done this to start with.\My body won't move.\You can do that? response:	I cry foul play!
context: Haruhi again?\You sure are popular Haruhi!\And wait.\Why does that mean I have to die?\I should have done this to start with.\My body won't move.\You can do that?\I cry foul play! response:	If you die...
context: You sure are popular Haruhi!\And wait.\Why does that mean I have to die?\I should have done this to start with.\My body won't move.\You can do that?\I cry foul play!\If you die... response:	I'll probably be able to observe a considerable explosion of data.
context: And wait.\Why does that mean I have to die?\I should have done this to start with.\My body won't move.\You can do that?\I cry foul play!\If you die...\I'll probably be able to observe a considerable explosion of data. response:	A golden opportunity.
context: Why does that mean I have to die?\I should have done this to start with.\My body won't move.\You can do that?\I cry foul play!\If you die...\I'll probably be able to observe a considerable explosion of data.\A golden opportunity. response:	I don't care.
context: I should have done this to start with.\My body won't move.\You can do that?\I cry foul play!\If you die...\I'll probably be able to observe a considerable explosion of data.\A golden opportunity.\I don't care. response:	Now die.
context: My body won't move.\You can do that?\I cry foul play!\If you die...\I'll probably be able to observe a considerable explosion of data.\A golden opportunity.\I don't care.\Now die. response:	That hurt, damn it!
context: You can do that?\I cry foul play!\If you die...\I'll probably be able to observe a considerable explosion of data.\A golden opportunity.\I don't care.\Now die.\That hurt, damn it! response:	Wait.
context: I cry foul play!\If you die...\I'll probably be able to observe a considerable explosion of data.\A golden opportunity.\I don't care.\Now die.\That hurt, damn it!\Wait. response:	Huh?
context: If you die...\I'll probably be able to observe a considerable explosion of data.\A golden opportunity.\I don't care.\Now die.\That hurt, damn it!\Wait.\Huh? response:	I can move now.
context: I'll probably be able to observe a considerable explosion of data.\A golden opportunity.\I don't care.\Now die.\That hurt, damn it!\Wait.\Huh?\I can move now. response:	Nagato?
context: A golden opportunity.\I don't care.\Now die.\That hurt, damn it!\Wait.\Huh?\I can move now.\Nagato? response:	Your individual programs were too weak.
context: I don't care.\Now die.\That hurt, damn it!\Wait.\Huh?\I can move now.\Nagato?\Your individual programs were too weak. response:	The spatial lockdown and data blockade in lateral sectors were too weak.
context: Now die.\That hurt, damn it!\Wait.\Huh?\I can move now.\Nagato?\Your individual programs were too weak.\The spatial lockdown and data blockade in lateral sectors were too weak. response:	That is why I could detect you.
context: That hurt, damn it!\Wait.\Huh?\I can move now.\Nagato?\Your individual programs were too weak.\The spatial lockdown and data blockade in lateral sectors were too weak.\That is why I could detect you. response:	Why intrusion was granted.
context: Wait.\Huh?\I can move now.\Nagato?\Your individual programs were too weak.\The spatial lockdown and data blockade in lateral sectors were too weak.\That is why I could detect you.\Why intrusion was granted. response:	You're going to get in my way?
context: Huh?\I can move now.\Nagato?\Your individual programs were too weak.\The spatial lockdown and data blockade in lateral sectors were too weak.\That is why I could detect you.\Why intrusion was granted.\You're going to get in my way? response:	If this human is killed...
context: I can move now.\Nagato?\Your individual programs were too weak.\The spatial lockdown and data blockade in lateral sectors were too weak.\That is why I could detect you.\Why intrusion was granted.\You're going to get in my way?\If this human is killed... response:	That's the only way to obtain more data.
context: Nagato?\Your individual programs were too weak.\The spatial lockdown and data blockade in lateral sectors were too weak.\That is why I could detect you.\Why intrusion was granted.\You're going to get in my way?\If this human is killed...\That's the only way to obtain more data. response:	You are supposed to be my backup.
context: Your individual programs were too weak.\The spatial lockdown and data blockade in lateral sectors were too weak.\That is why I could detect you.\Why intrusion was granted.\You're going to get in my way?\If this human is killed...\That's the only way to obtain more data.\You are supposed to be my backup. response:	Independent action has not been authorized.
context: The spatial lockdown and data blockade in lateral sectors were too weak.\That is why I could detect you.\Why intrusion was granted.\You're going to get in my way?\If this human is killed...\That's the only way to obtain more data.\You are supposed to be my backup.\Independent action has not been authorized. response:	You are supposed to obey me.
context: That is why I could detect you.\Why intrusion was granted.\You're going to get in my way?\If this human is killed...\That's the only way to obtain more data.\You are supposed to be my backup.\Independent action has not been authorized.\You are supposed to obey me. response:	If I don't want to?
context: Why intrusion was granted.\You're going to get in my way?\If this human is killed...\That's the only way to obtain more data.\You are supposed to be my backup.\Independent action has not been authorized.\You are supposed to obey me.\If I don't want to? response:	I will nullify your data link.
context: You're going to get in my way?\If this human is killed...\That's the only way to obtain more data.\You are supposed to be my backup.\Independent action has not been authorized.\You are supposed to obey me.\If I don't want to?\I will nullify your data link. response:	Go ahead and try?
context: If this human is killed...\That's the only way to obtain more data.\You are supposed to be my backup.\Independent action has not been authorized.\You are supposed to obey me.\If I don't want to?\I will nullify your data link.\Go ahead and try? response:	I have the advantage in this place.
context: That's the only way to obtain more data.\You are supposed to be my backup.\Independent action has not been authorized.\You are supposed to obey me.\If I don't want to?\I will nullify your data link.\Go ahead and try?\I have the advantage in this place. response:	This classroom is now within space under my data jurisdiction.
context: You are supposed to be my backup.\Independent action has not been authorized.\You are supposed to obey me.\If I don't want to?\I will nullify your data link.\Go ahead and try?\I have the advantage in this place.\This classroom is now within space under my data jurisdiction. response:	I am requisitioning the nullification of your data link.
context: Independent action has not been authorized.\You are supposed to obey me.\If I don't want to?\I will nullify your data link.\Go ahead and try?\I have the advantage in this place.\This classroom is now within space under my data jurisdiction.\I am requisitioning the nullification of your data link. response:	That was when...
context: You are supposed to obey me.\If I don't want to?\I will nullify your data link.\Go ahead and try?\I have the advantage in this place.\This classroom is now within space under my data jurisdiction.\I am requisitioning the nullification of your data link.\That was when... response:	Stay close.
context: If I don't want to?\I will nullify your data link.\Go ahead and try?\I have the advantage in this place.\This classroom is now within space under my data jurisdiction.\I am requisitioning the nullification of your data link.\That was when...\Stay close. response:	Nagato
context: I will nullify your data link.\Go ahead and try?\I have the advantage in this place.\This classroom is now within space under my data jurisdiction.\I am requisitioning the nullification of your data link.\That was when...\Stay close.\Nagato response:	Nagato
context: Go ahead and try?\I have the advantage in this place.\This classroom is now within space under my data jurisdiction.\I am requisitioning the nullification of your data link.\That was when...\Stay close.\Nagato\Nagato response:	Nagato
context: I have the advantage in this place.\This classroom is now within space under my data jurisdiction.\I am requisitioning the nullification of your data link.\That was when...\Stay close.\Nagato\Nagato\Nagato response:	Nagato
context: This classroom is now within space under my data jurisdiction.\I am requisitioning the nullification of your data link.\That was when...\Stay close.\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: I am requisitioning the nullification of your data link.\That was when...\Stay close.\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: That was when...\Stay close.\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Stay close.\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
context: Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato\Nagato response:	Nagato
