context: during my forlorn years in this world response:	Saitama Hundred Poets Tournament
context: If I'd been ready to move back from\While it may to While it brings...\I have faster reflexes!\Stay calm...\This may be my first Class A match,\but I can't lose!\If I'm not the strongest female Class A player,\I don't even get to challenge the Queen! response:	If I lose here, I can never take on Shinobu-chan!
context: While it may to While it brings...\I have faster reflexes!\Stay calm...\This may be my first Class A match,\but I can't lose!\If I'm not the strongest female Class A player,\I don't even get to challenge the Queen!\If I lose here, I can never take on Shinobu-chan! response:	This is no fun.
context: I have faster reflexes!\Stay calm...\This may be my first Class A match,\but I can't lose!\If I'm not the strongest female Class A player,\I don't even get to challenge the Queen!\If I lose here, I can never take on Shinobu-chan!\This is no fun. response:	Huh?
context: Stay calm...\This may be my first Class A match,\but I can't lose!\If I'm not the strongest female Class A player,\I don't even get to challenge the Queen!\If I lose here, I can never take on Shinobu-chan!\This is no fun.\Huh? response:	Ayase-san, it feels like you're only playing against the cards.
context: This may be my first Class A match,\but I can't lose!\If I'm not the strongest female Class A player,\I don't even get to challenge the Queen!\If I lose here, I can never take on Shinobu-chan!\This is no fun.\Huh?\Ayase-san, it feels like you're only playing against the cards. response:	it is as though pearls have been strung across the autumn plain
context: but I can't lose!\If I'm not the strongest female Class A player,\I don't even get to challenge the Queen!\If I lose here, I can never take on Shinobu-chan!\This is no fun.\Huh?\Ayase-san, it feels like you're only playing against the cards.\it is as though pearls have been strung across the autumn plain response:	She sent me Since the, which is a
context: If I'm not the strongest female Class A player,\I don't even get to challenge the Queen!\If I lose here, I can never take on Shinobu-chan!\This is no fun.\Huh?\Ayase-san, it feels like you're only playing against the cards.\it is as though pearls have been strung across the autumn plain\She sent me Since the, which is a response:	one-syllable card now because
context: I don't even get to challenge the Queen!\If I lose here, I can never take on Shinobu-chan!\This is no fun.\Huh?\Ayase-san, it feels like you're only playing against the cards.\it is as though pearls have been strung across the autumn plain\She sent me Since the, which is a\one-syllable card now because response:	Since I could not hide has been read.
context: If I lose here, I can never take on Shinobu-chan!\This is no fun.\Huh?\Ayase-san, it feels like you're only playing against the cards.\it is as though pearls have been strung across the autumn plain\She sent me Since the, which is a\one-syllable card now because\Since I could not hide has been read. response:	I was hoping to take that card from her...
context: This is no fun.\Huh?\Ayase-san, it feels like you're only playing against the cards.\it is as though pearls have been strung across the autumn plain\She sent me Since the, which is a\one-syllable card now because\Since I could not hide has been read.\I was hoping to take that card from her... response:	She's so hard to play against...
context: Huh?\Ayase-san, it feels like you're only playing against the cards.\it is as though pearls have been strung across the autumn plain\She sent me Since the, which is a\one-syllable card now because\Since I could not hide has been read.\I was hoping to take that card from her...\She's so hard to play against... response:	She's making it hard for me to play against her?
context: Ayase-san, it feels like you're only playing against the cards.\it is as though pearls have been strung across the autumn plain\She sent me Since the, which is a\one-syllable card now because\Since I could not hide has been read.\I was hoping to take that card from her...\She's so hard to play against...\She's making it hard for me to play against her? response:	Right, she also sent Impassionate.
context: it is as though pearls have been strung across the autumn plain\She sent me Since the, which is a\one-syllable card now because\Since I could not hide has been read.\I was hoping to take that card from her...\She's so hard to play against...\She's making it hard for me to play against her?\Right, she also sent Impassionate. response:	The opponent's right side doesn't have many cards left.
context: She sent me Since the, which is a\one-syllable card now because\Since I could not hide has been read.\I was hoping to take that card from her...\She's so hard to play against...\She's making it hard for me to play against her?\Right, she also sent Impassionate.\The opponent's right side doesn't have many cards left. response:	Her cards are positioned to prevent me from
context: one-syllable card now because\Since I could not hide has been read.\I was hoping to take that card from her...\She's so hard to play against...\She's making it hard for me to play against her?\Right, she also sent Impassionate.\The opponent's right side doesn't have many cards left.\Her cards are positioned to prevent me from response:	using my speed effectively.
context: Since I could not hide has been read.\I was hoping to take that card from her...\She's so hard to play against...\She's making it hard for me to play against her?\Right, she also sent Impassionate.\The opponent's right side doesn't have many cards left.\Her cards are positioned to prevent me from\using my speed effectively. response:	Wow, you really have fast reflexes.
context: I was hoping to take that card from her...\She's so hard to play against...\She's making it hard for me to play against her?\Right, she also sent Impassionate.\The opponent's right side doesn't have many cards left.\Her cards are positioned to prevent me from\using my speed effectively.\Wow, you really have fast reflexes. response:	Ayase-san, it feels like you're only playing against the cards.
context: She's so hard to play against...\She's making it hard for me to play against her?\Right, she also sent Impassionate.\The opponent's right side doesn't have many cards left.\Her cards are positioned to prevent me from\using my speed effectively.\Wow, you really have fast reflexes.\Ayase-san, it feels like you're only playing against the cards. response:	She addresses me by name
context: She's making it hard for me to play against her?\Right, she also sent Impassionate.\The opponent's right side doesn't have many cards left.\Her cards are positioned to prevent me from\using my speed effectively.\Wow, you really have fast reflexes.\Ayase-san, it feels like you're only playing against the cards.\She addresses me by name response:	and watches how I play.
context: Right, she also sent Impassionate.\The opponent's right side doesn't have many cards left.\Her cards are positioned to prevent me from\using my speed effectively.\Wow, you really have fast reflexes.\Ayase-san, it feels like you're only playing against the cards.\She addresses me by name\and watches how I play. response:	Vs. Ayase Ayase Komano 1) The Impassionate card in my right middle row is taken by Ayase. She sends The sound of people from her right lower row to my right lower row. 2) I take In order to from her right middle row. In order for is on my side and Ayase was focused on taking that card from me. I send I feel as from my right middle side to her right middle side.
context: The opponent's right side doesn't have many cards left.\Her cards are positioned to prevent me from\using my speed effectively.\Wow, you really have fast reflexes.\Ayase-san, it feels like you're only playing against the cards.\She addresses me by name\and watches how I play.\Vs. Ayase Ayase Komano 1) The Impassionate card in my right middle row is taken by Ayase. She sends The sound of people from her right lower row to my right lower row. 2) I take In order to from her right middle row. In order for is on my side and Ayase was focused on taking that card from me. I send I feel as from my right middle side to her right middle side. response:	But you have trouble with three-syllable cards,
context: Her cards are positioned to prevent me from\using my speed effectively.\Wow, you really have fast reflexes.\Ayase-san, it feels like you're only playing against the cards.\She addresses me by name\and watches how I play.\Vs. Ayase Ayase Komano 1) The Impassionate card in my right middle row is taken by Ayase. She sends The sound of people from her right lower row to my right lower row. 2) I take In order to from her right middle row. In order for is on my side and Ayase was focused on taking that card from me. I send I feel as from my right middle side to her right middle side.\But you have trouble with three-syllable cards, response:	so I would place those cards in
context: using my speed effectively.\Wow, you really have fast reflexes.\Ayase-san, it feels like you're only playing against the cards.\She addresses me by name\and watches how I play.\Vs. Ayase Ayase Komano 1) The Impassionate card in my right middle row is taken by Ayase. She sends The sound of people from her right lower row to my right lower row. 2) I take In order to from her right middle row. In order for is on my side and Ayase was focused on taking that card from me. I send I feel as from my right middle side to her right middle side.\But you have trouble with three-syllable cards,\so I would place those cards in response:	region B and constantly attack them.
context: Wow, you really have fast reflexes.\Ayase-san, it feels like you're only playing against the cards.\She addresses me by name\and watches how I play.\Vs. Ayase Ayase Komano 1) The Impassionate card in my right middle row is taken by Ayase. She sends The sound of people from her right lower row to my right lower row. 2) I take In order to from her right middle row. In order for is on my side and Ayase was focused on taking that card from me. I send I feel as from my right middle side to her right middle side.\But you have trouble with three-syllable cards,\so I would place those cards in\region B and constantly attack them. response:	I'm sure you'll come up against people
context: Ayase-san, it feels like you're only playing against the cards.\She addresses me by name\and watches how I play.\Vs. Ayase Ayase Komano 1) The Impassionate card in my right middle row is taken by Ayase. She sends The sound of people from her right lower row to my right lower row. 2) I take In order to from her right middle row. In order for is on my side and Ayase was focused on taking that card from me. I send I feel as from my right middle side to her right middle side.\But you have trouble with three-syllable cards,\so I would place those cards in\region B and constantly attack them.\I'm sure you'll come up against people response:	who use these strategies.
context: She addresses me by name\and watches how I play.\Vs. Ayase Ayase Komano 1) The Impassionate card in my right middle row is taken by Ayase. She sends The sound of people from her right lower row to my right lower row. 2) I take In order to from her right middle row. In order for is on my side and Ayase was focused on taking that card from me. I send I feel as from my right middle side to her right middle side.\But you have trouble with three-syllable cards,\so I would place those cards in\region B and constantly attack them.\I'm sure you'll come up against people\who use these strategies. response:	Excuse me.
context: and watches how I play.\Vs. Ayase Ayase Komano 1) The Impassionate card in my right middle row is taken by Ayase. She sends The sound of people from her right lower row to my right lower row. 2) I take In order to from her right middle row. In order for is on my side and Ayase was focused on taking that card from me. I send I feel as from my right middle side to her right middle side.\But you have trouble with three-syllable cards,\so I would place those cards in\region B and constantly attack them.\I'm sure you'll come up against people\who use these strategies.\Excuse me. response:	I have a habit of going for every card
context: Vs. Ayase Ayase Komano 1) The Impassionate card in my right middle row is taken by Ayase. She sends The sound of people from her right lower row to my right lower row. 2) I take In order to from her right middle row. In order for is on my side and Ayase was focused on taking that card from me. I send I feel as from my right middle side to her right middle side.\But you have trouble with three-syllable cards,\so I would place those cards in\region B and constantly attack them.\I'm sure you'll come up against people\who use these strategies.\Excuse me.\I have a habit of going for every card response:	as though it were a one-syllable card.
context: But you have trouble with three-syllable cards,\so I would place those cards in\region B and constantly attack them.\I'm sure you'll come up against people\who use these strategies.\Excuse me.\I have a habit of going for every card\as though it were a one-syllable card. response:	That's why I end up using too much force.
context: so I would place those cards in\region B and constantly attack them.\I'm sure you'll come up against people\who use these strategies.\Excuse me.\I have a habit of going for every card\as though it were a one-syllable card.\That's why I end up using too much force. response:	In that case, I should move back my start line.
context: region B and constantly attack them.\I'm sure you'll come up against people\who use these strategies.\Excuse me.\I have a habit of going for every card\as though it were a one-syllable card.\That's why I end up using too much force.\In that case, I should move back my start line. response:	Just a little bit.
context: I'm sure you'll come up against people\who use these strategies.\Excuse me.\I have a habit of going for every card\as though it were a one-syllable card.\That's why I end up using too much force.\In that case, I should move back my start line.\Just a little bit. response:	Find the position that
context: who use these strategies.\Excuse me.\I have a habit of going for every card\as though it were a one-syllable card.\That's why I end up using too much force.\In that case, I should move back my start line.\Just a little bit.\Find the position that response:	lets me take the lead at the goal line!
context: Excuse me.\I have a habit of going for every card\as though it were a one-syllable card.\That's why I end up using too much force.\In that case, I should move back my start line.\Just a little bit.\Find the position that\lets me take the lead at the goal line! response:	Oh, she moved back?
context: I have a habit of going for every card\as though it were a one-syllable card.\That's why I end up using too much force.\In that case, I should move back my start line.\Just a little bit.\Find the position that\lets me take the lead at the goal line!\Oh, she moved back? response:	She was on the edge of the boundary before.
context: as though it were a one-syllable card.\That's why I end up using too much force.\In that case, I should move back my start line.\Just a little bit.\Find the position that\lets me take the lead at the goal line!\Oh, she moved back?\She was on the edge of the boundary before. response:	Ten centimeters?
context: That's why I end up using too much force.\In that case, I should move back my start line.\Just a little bit.\Find the position that\lets me take the lead at the goal line!\Oh, she moved back?\She was on the edge of the boundary before.\Ten centimeters? response:	No, she moved back fifteen centimeters.
context: In that case, I should move back my start line.\Just a little bit.\Find the position that\lets me take the lead at the goal line!\Oh, she moved back?\She was on the edge of the boundary before.\Ten centimeters?\No, she moved back fifteen centimeters. response:	Can she still reach the cards?
context: Just a little bit.\Find the position that\lets me take the lead at the goal line!\Oh, she moved back?\She was on the edge of the boundary before.\Ten centimeters?\No, she moved back fifteen centimeters.\Can she still reach the cards? response:	She must have a plan. I love it!
context: Find the position that\lets me take the lead at the goal line!\Oh, she moved back?\She was on the edge of the boundary before.\Ten centimeters?\No, she moved back fifteen centimeters.\Can she still reach the cards?\She must have a plan. I love it! response:	Youth is a wonderful thing!
context: lets me take the lead at the goal line!\Oh, she moved back?\She was on the edge of the boundary before.\Ten centimeters?\No, she moved back fifteen centimeters.\Can she still reach the cards?\She must have a plan. I love it!\Youth is a wonderful thing! response:	Said night was young when the false rooster's crow
context: Oh, she moved back?\She was on the edge of the boundary before.\Ten centimeters?\No, she moved back fifteen centimeters.\Can she still reach the cards?\She must have a plan. I love it!\Youth is a wonderful thing!\Said night was young when the false rooster's crow response:	Whoa! A dead card!
context: She was on the edge of the boundary before.\Ten centimeters?\No, she moved back fifteen centimeters.\Can she still reach the cards?\She must have a plan. I love it!\Youth is a wonderful thing!\Said night was young when the false rooster's crow\Whoa! A dead card! response:	That was close.
context: Ten centimeters?\No, she moved back fifteen centimeters.\Can she still reach the cards?\She must have a plan. I love it!\Youth is a wonderful thing!\Said night was young when the false rooster's crow\Whoa! A dead card!\That was close. response:	But I can reach the farthest row on both sides.
context: No, she moved back fifteen centimeters.\Can she still reach the cards?\She must have a plan. I love it!\Youth is a wonderful thing!\Said night was young when the false rooster's crow\Whoa! A dead card!\That was close.\But I can reach the farthest row on both sides. response:	Her arm is so long.
context: Can she still reach the cards?\She must have a plan. I love it!\Youth is a wonderful thing!\Said night was young when the false rooster's crow\Whoa! A dead card!\That was close.\But I can reach the farthest row on both sides.\Her arm is so long. response:	She can easily reach any spot on the field.
context: She must have a plan. I love it!\Youth is a wonderful thing!\Said night was young when the false rooster's crow\Whoa! A dead card!\That was close.\But I can reach the farthest row on both sides.\Her arm is so long.\She can easily reach any spot on the field. response:	If she finds her rhythm...
context: Youth is a wonderful thing!\Said night was young when the false rooster's crow\Whoa! A dead card!\That was close.\But I can reach the farthest row on both sides.\Her arm is so long.\She can easily reach any spot on the field.\If she finds her rhythm... response:	I'm moving a card.
context: Said night was young when the false rooster's crow\Whoa! A dead card!\That was close.\But I can reach the farthest row on both sides.\Her arm is so long.\She can easily reach any spot on the field.\If she finds her rhythm...\I'm moving a card. response:	Huh?
context: Whoa! A dead card!\That was close.\But I can reach the farthest row on both sides.\Her arm is so long.\She can easily reach any spot on the field.\If she finds her rhythm...\I'm moving a card.\Huh? response:	She moved Said bed as soon
context: That was close.\But I can reach the farthest row on both sides.\Her arm is so long.\She can easily reach any spot on the field.\If she finds her rhythm...\I'm moving a card.\Huh?\She moved Said bed as soon response:	as it became a one-syllable card!
context: But I can reach the farthest row on both sides.\Her arm is so long.\She can easily reach any spot on the field.\If she finds her rhythm...\I'm moving a card.\Huh?\She moved Said bed as soon\as it became a one-syllable card! response:	Keep worrying your pretty little head.
context: Her arm is so long.\She can easily reach any spot on the field.\If she finds her rhythm...\I'm moving a card.\Huh?\She moved Said bed as soon\as it became a one-syllable card!\Keep worrying your pretty little head. response:	So innocent and cute!
context: She can easily reach any spot on the field.\If she finds her rhythm...\I'm moving a card.\Huh?\She moved Said bed as soon\as it became a one-syllable card!\Keep worrying your pretty little head.\So innocent and cute! response:	I feel as though I am...
context: If she finds her rhythm...\I'm moving a card.\Huh?\She moved Said bed as soon\as it became a one-syllable card!\Keep worrying your pretty little head.\So innocent and cute!\I feel as though I am... response:	Lucky me.
context: I'm moving a card.\Huh?\She moved Said bed as soon\as it became a one-syllable card!\Keep worrying your pretty little head.\So innocent and cute!\I feel as though I am...\Lucky me. response:	The emotions experienced...
context: Huh?\She moved Said bed as soon\as it became a one-syllable card!\Keep worrying your pretty little head.\So innocent and cute!\I feel as though I am...\Lucky me.\The emotions experienced... response:	I have to take the cards that are there for me.
context: She moved Said bed as soon\as it became a one-syllable card!\Keep worrying your pretty little head.\So innocent and cute!\I feel as though I am...\Lucky me.\The emotions experienced...\I have to take the cards that are there for me. response:	The cards that are there for her?
context: as it became a one-syllable card!\Keep worrying your pretty little head.\So innocent and cute!\I feel as though I am...\Lucky me.\The emotions experienced...\I have to take the cards that are there for me.\The cards that are there for her? response:	Is this all part of her plan?!
context: Keep worrying your pretty little head.\So innocent and cute!\I feel as though I am...\Lucky me.\The emotions experienced...\I have to take the cards that are there for me.\The cards that are there for her?\Is this all part of her plan?! response:	She finally noticed...
context: So innocent and cute!\I feel as though I am...\Lucky me.\The emotions experienced...\I have to take the cards that are there for me.\The cards that are there for her?\Is this all part of her plan?!\She finally noticed... response:	Her karuta has something that mine lacks.
context: I feel as though I am...\Lucky me.\The emotions experienced...\I have to take the cards that are there for me.\The cards that are there for her?\Is this all part of her plan?!\She finally noticed...\Her karuta has something that mine lacks. response:	I need to watch her play.
context: Lucky me.\The emotions experienced...\I have to take the cards that are there for me.\The cards that are there for her?\Is this all part of her plan?!\She finally noticed...\Her karuta has something that mine lacks.\I need to watch her play. response:	Figure out what Sakura-san has that I don't.
context: The emotions experienced...\I have to take the cards that are there for me.\The cards that are there for her?\Is this all part of her plan?!\She finally noticed...\Her karuta has something that mine lacks.\I need to watch her play.\Figure out what Sakura-san has that I don't. response:	The way she's been watching me play.
context: I have to take the cards that are there for me.\The cards that are there for her?\Is this all part of her plan?!\She finally noticed...\Her karuta has something that mine lacks.\I need to watch her play.\Figure out what Sakura-san has that I don't.\The way she's been watching me play. response:	banish any lingering memories of the past
context: The cards that are there for her?\Is this all part of her plan?!\She finally noticed...\Her karuta has something that mine lacks.\I need to watch her play.\Figure out what Sakura-san has that I don't.\The way she's been watching me play.\banish any lingering memories of the past response:	My fear is not of...
context: Is this all part of her plan?!\She finally noticed...\Her karuta has something that mine lacks.\I need to watch her play.\Figure out what Sakura-san has that I don't.\The way she's been watching me play.\banish any lingering memories of the past\My fear is not of... response:	Oh.
context: She finally noticed...\Her karuta has something that mine lacks.\I need to watch her play.\Figure out what Sakura-san has that I don't.\The way she's been watching me play.\banish any lingering memories of the past\My fear is not of...\Oh. response:	We used the same three-syllable timing to take the card,
context: Her karuta has something that mine lacks.\I need to watch her play.\Figure out what Sakura-san has that I don't.\The way she's been watching me play.\banish any lingering memories of the past\My fear is not of...\Oh.\We used the same three-syllable timing to take the card, response:	But since we touched it at the same time,
context: I need to watch her play.\Figure out what Sakura-san has that I don't.\The way she's been watching me play.\banish any lingering memories of the past\My fear is not of...\Oh.\We used the same three-syllable timing to take the card,\But since we touched it at the same time, response:	it's mine.
context: Figure out what Sakura-san has that I don't.\The way she's been watching me play.\banish any lingering memories of the past\My fear is not of...\Oh.\We used the same three-syllable timing to take the card,\But since we touched it at the same time,\it's mine. response:	Three-syllable timing...
context: The way she's been watching me play.\banish any lingering memories of the past\My fear is not of...\Oh.\We used the same three-syllable timing to take the card,\But since we touched it at the same time,\it's mine.\Three-syllable timing... response:	Timing...
context: banish any lingering memories of the past\My fear is not of...\Oh.\We used the same three-syllable timing to take the card,\But since we touched it at the same time,\it's mine.\Three-syllable timing...\Timing... response:	Timing!
context: My fear is not of...\Oh.\We used the same three-syllable timing to take the card,\But since we touched it at the same time,\it's mine.\Three-syllable timing...\Timing...\Timing! response:	There's another way to play karuta!
context: Oh.\We used the same three-syllable timing to take the card,\But since we touched it at the same time,\it's mine.\Three-syllable timing...\Timing...\Timing!\There's another way to play karuta! response:	A way that doesn't rely on speed!
context: We used the same three-syllable timing to take the card,\But since we touched it at the same time,\it's mine.\Three-syllable timing...\Timing...\Timing!\There's another way to play karuta!\A way that doesn't rely on speed! response:	The way Sakura-san plays!
context: But since we touched it at the same time,\it's mine.\Three-syllable timing...\Timing...\Timing!\There's another way to play karuta!\A way that doesn't rely on speed!\The way Sakura-san plays! response:	In order for us to find our way home,
context: it's mine.\Three-syllable timing...\Timing...\Timing!\There's another way to play karuta!\A way that doesn't rely on speed!\The way Sakura-san plays!\In order for us to find our way home, response:	Thank you very much.
context: Three-syllable timing...\Timing...\Timing!\There's another way to play karuta!\A way that doesn't rely on speed!\The way Sakura-san plays!\In order for us to find our way home,\Thank you very much. response:	I lost by six cards...
context: Timing...\Timing!\There's another way to play karuta!\A way that doesn't rely on speed!\The way Sakura-san plays!\In order for us to find our way home,\Thank you very much.\I lost by six cards... response:	Kanai Sakura-san!
context: Timing!\There's another way to play karuta!\A way that doesn't rely on speed!\The way Sakura-san plays!\In order for us to find our way home,\Thank you very much.\I lost by six cards...\Kanai Sakura-san! response:	Oh!
context: There's another way to play karuta!\A way that doesn't rely on speed!\The way Sakura-san plays!\In order for us to find our way home,\Thank you very much.\I lost by six cards...\Kanai Sakura-san!\Oh! response:	Yes?
context: A way that doesn't rely on speed!\The way Sakura-san plays!\In order for us to find our way home,\Thank you very much.\I lost by six cards...\Kanai Sakura-san!\Oh!\Yes? response:	Th-They're adorable!
context: The way Sakura-san plays!\In order for us to find our way home,\Thank you very much.\I lost by six cards...\Kanai Sakura-san!\Oh!\Yes?\Th-They're adorable! response:	I know.
context: In order for us to find our way home,\Thank you very much.\I lost by six cards...\Kanai Sakura-san!\Oh!\Yes?\Th-They're adorable!\I know. response:	So she knows. Oh...
context: Thank you very much.\I lost by six cards...\Kanai Sakura-san!\Oh!\Yes?\Th-They're adorable!\I know.\So she knows. Oh... response:	Thank you very much for your help today!
context: I lost by six cards...\Kanai Sakura-san!\Oh!\Yes?\Th-They're adorable!\I know.\So she knows. Oh...\Thank you very much for your help today! response:	I'll do my best to become a player that doesn't rely on speed!
context: Kanai Sakura-san!\Oh!\Yes?\Th-They're adorable!\I know.\So she knows. Oh...\Thank you very much for your help today!\I'll do my best to become a player that doesn't rely on speed! response:	I want to become Queen!
context: Oh!\Yes?\Th-They're adorable!\I know.\So she knows. Oh...\Thank you very much for your help today!\I'll do my best to become a player that doesn't rely on speed!\I want to become Queen! response:	Oh, dear. So do I.
context: Yes?\Th-They're adorable!\I know.\So she knows. Oh...\Thank you very much for your help today!\I'll do my best to become a player that doesn't rely on speed!\I want to become Queen!\Oh, dear. So do I. response:	Huh?
context: Th-They're adorable!\I know.\So she knows. Oh...\Thank you very much for your help today!\I'll do my best to become a player that doesn't rely on speed!\I want to become Queen!\Oh, dear. So do I.\Huh? response:	Does it sound strange coming from
context: I know.\So she knows. Oh...\Thank you very much for your help today!\I'll do my best to become a player that doesn't rely on speed!\I want to become Queen!\Oh, dear. So do I.\Huh?\Does it sound strange coming from response:	an old lady who's been playing karuta for 35 years?
context: So she knows. Oh...\Thank you very much for your help today!\I'll do my best to become a player that doesn't rely on speed!\I want to become Queen!\Oh, dear. So do I.\Huh?\Does it sound strange coming from\an old lady who's been playing karuta for 35 years? response:	35 years?!
context: Thank you very much for your help today!\I'll do my best to become a player that doesn't rely on speed!\I want to become Queen!\Oh, dear. So do I.\Huh?\Does it sound strange coming from\an old lady who's been playing karuta for 35 years?\35 years?! response:	20 years ago, I was much cuter
context: I'll do my best to become a player that doesn't rely on speed!\I want to become Queen!\Oh, dear. So do I.\Huh?\Does it sound strange coming from\an old lady who's been playing karuta for 35 years?\35 years?!\20 years ago, I was much cuter response:	and considered a karuta idol like you.
context: I want to become Queen!\Oh, dear. So do I.\Huh?\Does it sound strange coming from\an old lady who's been playing karuta for 35 years?\35 years?!\20 years ago, I was much cuter\and considered a karuta idol like you. response:	Not a karuta idol
context: Oh, dear. So do I.\Huh?\Does it sound strange coming from\an old lady who's been playing karuta for 35 years?\35 years?!\20 years ago, I was much cuter\and considered a karuta idol like you.\Not a karuta idol response:	Not a karuta idol
context: Huh?\Does it sound strange coming from\an old lady who's been playing karuta for 35 years?\35 years?!\20 years ago, I was much cuter\and considered a karuta idol like you.\Not a karuta idol\Not a karuta idol response:	I've never won any major tournaments,
context: Does it sound strange coming from\an old lady who's been playing karuta for 35 years?\35 years?!\20 years ago, I was much cuter\and considered a karuta idol like you.\Not a karuta idol\Not a karuta idol\I've never won any major tournaments, response:	and no matter how hard I try,
context: an old lady who's been playing karuta for 35 years?\35 years?!\20 years ago, I was much cuter\and considered a karuta idol like you.\Not a karuta idol\Not a karuta idol\I've never won any major tournaments,\and no matter how hard I try, response:	I keep losing to younger players.
context: 35 years?!\20 years ago, I was much cuter\and considered a karuta idol like you.\Not a karuta idol\Not a karuta idol\I've never won any major tournaments,\and no matter how hard I try,\I keep losing to younger players. response:	But I love karuta.
context: 20 years ago, I was much cuter\and considered a karuta idol like you.\Not a karuta idol\Not a karuta idol\I've never won any major tournaments,\and no matter how hard I try,\I keep losing to younger players.\But I love karuta. response:	I still dream about becoming Queen.
context: and considered a karuta idol like you.\Not a karuta idol\Not a karuta idol\I've never won any major tournaments,\and no matter how hard I try,\I keep losing to younger players.\But I love karuta.\I still dream about becoming Queen. response:	What? Then I also want to become Queen!
context: Not a karuta idol\Not a karuta idol\I've never won any major tournaments,\and no matter how hard I try,\I keep losing to younger players.\But I love karuta.\I still dream about becoming Queen.\What? Then I also want to become Queen! response:	Me too!
context: Not a karuta idol\I've never won any major tournaments,\and no matter how hard I try,\I keep losing to younger players.\But I love karuta.\I still dream about becoming Queen.\What? Then I also want to become Queen!\Me too! response:	Oh? That makes us rivals then.
context: I've never won any major tournaments,\and no matter how hard I try,\I keep losing to younger players.\But I love karuta.\I still dream about becoming Queen.\What? Then I also want to become Queen!\Me too!\Oh? That makes us rivals then. response:	I'll see you at the East qualifier.
context: and no matter how hard I try,\I keep losing to younger players.\But I love karuta.\I still dream about becoming Queen.\What? Then I also want to become Queen!\Me too!\Oh? That makes us rivals then.\I'll see you at the East qualifier. response:	And so, I had just lost my first Class A match,
context: I keep losing to younger players.\But I love karuta.\I still dream about becoming Queen.\What? Then I also want to become Queen!\Me too!\Oh? That makes us rivals then.\I'll see you at the East qualifier.\And so, I had just lost my first Class A match, response:	yet I had no idea that I was
context: But I love karuta.\I still dream about becoming Queen.\What? Then I also want to become Queen!\Me too!\Oh? That makes us rivals then.\I'll see you at the East qualifier.\And so, I had just lost my first Class A match,\yet I had no idea that I was response:	about to experience the worst moment of my life.
context: I still dream about becoming Queen.\What? Then I also want to become Queen!\Me too!\Oh? That makes us rivals then.\I'll see you at the East qualifier.\And so, I had just lost my first Class A match,\yet I had no idea that I was\about to experience the worst moment of my life. response:	The Class B final is between Taichi and Porky!
context: What? Then I also want to become Queen!\Me too!\Oh? That makes us rivals then.\I'll see you at the East qualifier.\And so, I had just lost my first Class A match,\yet I had no idea that I was\about to experience the worst moment of my life.\The Class B final is between Taichi and Porky! response:	The Class D final is between
context: Me too!\Oh? That makes us rivals then.\I'll see you at the East qualifier.\And so, I had just lost my first Class A match,\yet I had no idea that I was\about to experience the worst moment of my life.\The Class B final is between Taichi and Porky!\The Class D final is between response:	Desktomu-kun and Kana-chan!
context: Oh? That makes us rivals then.\I'll see you at the East qualifier.\And so, I had just lost my first Class A match,\yet I had no idea that I was\about to experience the worst moment of my life.\The Class B final is between Taichi and Porky!\The Class D final is between\Desktomu-kun and Kana-chan! response:	The other four members of the Mizusawa karuta club
context: I'll see you at the East qualifier.\And so, I had just lost my first Class A match,\yet I had no idea that I was\about to experience the worst moment of my life.\The Class B final is between Taichi and Porky!\The Class D final is between\Desktomu-kun and Kana-chan!\The other four members of the Mizusawa karuta club response:	trumped their captain by reaching the finals!
context: And so, I had just lost my first Class A match,\yet I had no idea that I was\about to experience the worst moment of my life.\The Class B final is between Taichi and Porky!\The Class D final is between\Desktomu-kun and Kana-chan!\The other four members of the Mizusawa karuta club\trumped their captain by reaching the finals! response:	Wh-Who do I...
context: yet I had no idea that I was\about to experience the worst moment of my life.\The Class B final is between Taichi and Porky!\The Class D final is between\Desktomu-kun and Kana-chan!\The other four members of the Mizusawa karuta club\trumped their captain by reaching the finals!\Wh-Who do I... response:	Which match do I watch?!
context: about to experience the worst moment of my life.\The Class B final is between Taichi and Porky!\The Class D final is between\Desktomu-kun and Kana-chan!\The other four members of the Mizusawa karuta club\trumped their captain by reaching the finals!\Wh-Who do I...\Which match do I watch?! response:	Who do I root for?!
context: The Class B final is between Taichi and Porky!\The Class D final is between\Desktomu-kun and Kana-chan!\The other four members of the Mizusawa karuta club\trumped their captain by reaching the finals!\Wh-Who do I...\Which match do I watch?!\Who do I root for?! response:	What should I do as their captain?!
context: The Class D final is between\Desktomu-kun and Kana-chan!\The other four members of the Mizusawa karuta club\trumped their captain by reaching the finals!\Wh-Who do I...\Which match do I watch?!\Who do I root for?!\What should I do as their captain?! response:	Retro-kun!
context: Desktomu-kun and Kana-chan!\The other four members of the Mizusawa karuta club\trumped their captain by reaching the finals!\Wh-Who do I...\Which match do I watch?!\Who do I root for?!\What should I do as their captain?!\Retro-kun! response:	Y-You were in this tournament.
context: The other four members of the Mizusawa karuta club\trumped their captain by reaching the finals!\Wh-Who do I...\Which match do I watch?!\Who do I root for?!\What should I do as their captain?!\Retro-kun!\Y-You were in this tournament. response:	How did you do?
context: trumped their captain by reaching the finals!\Wh-Who do I...\Which match do I watch?!\Who do I root for?!\What should I do as their captain?!\Retro-kun!\Y-You were in this tournament.\How did you do? response:	I didn't do anything!
