context: Why don't you tell me what you're plotting? response:	Nothing at all.
context: I want cola!\Then I'll have royal milk tea.\You don't get to order until you're out.\Remote islands are all about strange incidents, right?\Please don't let anything happen. Please don't let anything happen.\The exact characteristics which constitute an incident remain undefined...\Little Sis! Mikuru-chan!\Let's head up to the deck. response:	Maybe a monster squid will show up!
context: Then I'll have royal milk tea.\You don't get to order until you're out.\Remote islands are all about strange incidents, right?\Please don't let anything happen. Please don't let anything happen.\The exact characteristics which constitute an incident remain undefined...\Little Sis! Mikuru-chan!\Let's head up to the deck.\Maybe a monster squid will show up! response:	Let's go!
context: You don't get to order until you're out.\Remote islands are all about strange incidents, right?\Please don't let anything happen. Please don't let anything happen.\The exact characteristics which constitute an incident remain undefined...\Little Sis! Mikuru-chan!\Let's head up to the deck.\Maybe a monster squid will show up!\Let's go! response:	Squid?
context: Remote islands are all about strange incidents, right?\Please don't let anything happen. Please don't let anything happen.\The exact characteristics which constitute an incident remain undefined...\Little Sis! Mikuru-chan!\Let's head up to the deck.\Maybe a monster squid will show up!\Let's go!\Squid? response:	If one shows up, Nagato will have to act.
context: Please don't let anything happen. Please don't let anything happen.\The exact characteristics which constitute an incident remain undefined...\Little Sis! Mikuru-chan!\Let's head up to the deck.\Maybe a monster squid will show up!\Let's go!\Squid?\If one shows up, Nagato will have to act. response:	Oh, boy...
context: The exact characteristics which constitute an incident remain undefined...\Little Sis! Mikuru-chan!\Let's head up to the deck.\Maybe a monster squid will show up!\Let's go!\Squid?\If one shows up, Nagato will have to act.\Oh, boy... response:	What are you sleeping for, stupid?
context: Little Sis! Mikuru-chan!\Let's head up to the deck.\Maybe a monster squid will show up!\Let's go!\Squid?\If one shows up, Nagato will have to act.\Oh, boy...\What are you sleeping for, stupid? response:	Get up already!
context: Let's head up to the deck.\Maybe a monster squid will show up!\Let's go!\Squid?\If one shows up, Nagato will have to act.\Oh, boy...\What are you sleeping for, stupid?\Get up already! response:	Do you even intend to be serious about this trip?
context: Maybe a monster squid will show up!\Let's go!\Squid?\If one shows up, Nagato will have to act.\Oh, boy...\What are you sleeping for, stupid?\Get up already!\Do you even intend to be serious about this trip? response:	I took a picture of you waking up.
context: Let's go!\Squid?\If one shows up, Nagato will have to act.\Oh, boy...\What are you sleeping for, stupid?\Get up already!\Do you even intend to be serious about this trip?\I took a picture of you waking up. response:	And I took a picture of your sleeping face.
context: Squid?\If one shows up, Nagato will have to act.\Oh, boy...\What are you sleeping for, stupid?\Get up already!\Do you even intend to be serious about this trip?\I took a picture of you waking up.\And I took a picture of your sleeping face. response:	You were sound asleep.
context: If one shows up, Nagato will have to act.\Oh, boy...\What are you sleeping for, stupid?\Get up already!\Do you even intend to be serious about this trip?\I took a picture of you waking up.\And I took a picture of your sleeping face.\You were sound asleep. response:	My sleeping face?
context: Oh, boy...\What are you sleeping for, stupid?\Get up already!\Do you even intend to be serious about this trip?\I took a picture of you waking up.\And I took a picture of your sleeping face.\You were sound asleep.\My sleeping face? response:	Why would Asahina-san secretly take pictures of me?
context: What are you sleeping for, stupid?\Get up already!\Do you even intend to be serious about this trip?\I took a picture of you waking up.\And I took a picture of your sleeping face.\You were sound asleep.\My sleeping face?\Why would Asahina-san secretly take pictures of me? response:	Maybe she's going to put my picture in a cute-looking frame and place it by her bed...
context: Get up already!\Do you even intend to be serious about this trip?\I took a picture of you waking up.\And I took a picture of your sleeping face.\You were sound asleep.\My sleeping face?\Why would Asahina-san secretly take pictures of me?\Maybe she's going to put my picture in a cute-looking frame and place it by her bed... response:	I must be really deep in dreamland...
context: Do you even intend to be serious about this trip?\I took a picture of you waking up.\And I took a picture of your sleeping face.\You were sound asleep.\My sleeping face?\Why would Asahina-san secretly take pictures of me?\Maybe she's going to put my picture in a cute-looking frame and place it by her bed...\I must be really deep in dreamland... response:	What are you grinning about?
context: I took a picture of you waking up.\And I took a picture of your sleeping face.\You were sound asleep.\My sleeping face?\Why would Asahina-san secretly take pictures of me?\Maybe she's going to put my picture in a cute-looking frame and place it by her bed...\I must be really deep in dreamland...\What are you grinning about? response:	It makes you look like an idiot so you'd best stop.
context: And I took a picture of your sleeping face.\You were sound asleep.\My sleeping face?\Why would Asahina-san secretly take pictures of me?\Maybe she's going to put my picture in a cute-looking frame and place it by her bed...\I must be really deep in dreamland...\What are you grinning about?\It makes you look like an idiot so you'd best stop. response:	I made Mikuru-chan the temporary SOS Brigade photographer for this trip.
context: You were sound asleep.\My sleeping face?\Why would Asahina-san secretly take pictures of me?\Maybe she's going to put my picture in a cute-looking frame and place it by her bed...\I must be really deep in dreamland...\What are you grinning about?\It makes you look like an idiot so you'd best stop.\I made Mikuru-chan the temporary SOS Brigade photographer for this trip. response:	These are important materials needed to leave a record of our club activities for posterity.
context: My sleeping face?\Why would Asahina-san secretly take pictures of me?\Maybe she's going to put my picture in a cute-looking frame and place it by her bed...\I must be really deep in dreamland...\What are you grinning about?\It makes you look like an idiot so you'd best stop.\I made Mikuru-chan the temporary SOS Brigade photographer for this trip.\These are important materials needed to leave a record of our club activities for posterity. response:	But I'm the one who decides what to take a picture of.
context: Why would Asahina-san secretly take pictures of me?\Maybe she's going to put my picture in a cute-looking frame and place it by her bed...\I must be really deep in dreamland...\What are you grinning about?\It makes you look like an idiot so you'd best stop.\I made Mikuru-chan the temporary SOS Brigade photographer for this trip.\These are important materials needed to leave a record of our club activities for posterity.\But I'm the one who decides what to take a picture of. response:	So...
context: Maybe she's going to put my picture in a cute-looking frame and place it by her bed...\I must be really deep in dreamland...\What are you grinning about?\It makes you look like an idiot so you'd best stop.\I made Mikuru-chan the temporary SOS Brigade photographer for this trip.\These are important materials needed to leave a record of our club activities for posterity.\But I'm the one who decides what to take a picture of.\So... response:	How are pictures of me sleeping and waking up worthwhile material?
context: I must be really deep in dreamland...\What are you grinning about?\It makes you look like an idiot so you'd best stop.\I made Mikuru-chan the temporary SOS Brigade photographer for this trip.\These are important materials needed to leave a record of our club activities for posterity.\But I'm the one who decides what to take a picture of.\So...\How are pictures of me sleeping and waking up worthwhile material? response:	A picture of you sleeping with a stupid look on your face totally oblivious to the dangers of this trip...
context: What are you grinning about?\It makes you look like an idiot so you'd best stop.\I made Mikuru-chan the temporary SOS Brigade photographer for this trip.\These are important materials needed to leave a record of our club activities for posterity.\But I'm the one who decides what to take a picture of.\So...\How are pictures of me sleeping and waking up worthwhile material?\A picture of you sleeping with a stupid look on your face totally oblivious to the dangers of this trip... response:	Understood?
context: It makes you look like an idiot so you'd best stop.\I made Mikuru-chan the temporary SOS Brigade photographer for this trip.\These are important materials needed to leave a record of our club activities for posterity.\But I'm the one who decides what to take a picture of.\So...\How are pictures of me sleeping and waking up worthwhile material?\A picture of you sleeping with a stupid look on your face totally oblivious to the dangers of this trip...\Understood? response:	An underling snoring away when the chief is awake...
context: I made Mikuru-chan the temporary SOS Brigade photographer for this trip.\These are important materials needed to leave a record of our club activities for posterity.\But I'm the one who decides what to take a picture of.\So...\How are pictures of me sleeping and waking up worthwhile material?\A picture of you sleeping with a stupid look on your face totally oblivious to the dangers of this trip...\Understood?\An underling snoring away when the chief is awake... response:	Come on! Let's go!
context: These are important materials needed to leave a record of our club activities for posterity.\But I'm the one who decides what to take a picture of.\So...\How are pictures of me sleeping and waking up worthwhile material?\A picture of you sleeping with a stupid look on your face totally oblivious to the dangers of this trip...\Understood?\An underling snoring away when the chief is awake...\Come on! Let's go! response:	A mysterious island awaits us!
context: But I'm the one who decides what to take a picture of.\So...\How are pictures of me sleeping and waking up worthwhile material?\A picture of you sleeping with a stupid look on your face totally oblivious to the dangers of this trip...\Understood?\An underling snoring away when the chief is awake...\Come on! Let's go!\A mysterious island awaits us! response:	Mysterious island, huh...
context: So...\How are pictures of me sleeping and waking up worthwhile material?\A picture of you sleeping with a stupid look on your face totally oblivious to the dangers of this trip...\Understood?\An underling snoring away when the chief is awake...\Come on! Let's go!\A mysterious island awaits us!\Mysterious island, huh... response:	Not like Panorama Island or Infant Island, right?
context: How are pictures of me sleeping and waking up worthwhile material?\A picture of you sleeping with a stupid look on your face totally oblivious to the dangers of this trip...\Understood?\An underling snoring away when the chief is awake...\Come on! Let's go!\A mysterious island awaits us!\Mysterious island, huh...\Not like Panorama Island or Infant Island, right? response:	It'll be fine as long as it doesn't suddenly rise out of the water or start moving.
context: A picture of you sleeping with a stupid look on your face totally oblivious to the dangers of this trip...\Understood?\An underling snoring away when the chief is awake...\Come on! Let's go!\A mysterious island awaits us!\Mysterious island, huh...\Not like Panorama Island or Infant Island, right?\It'll be fine as long as it doesn't suddenly rise out of the water or start moving. response:	Do not worry.
context: Understood?\An underling snoring away when the chief is awake...\Come on! Let's go!\A mysterious island awaits us!\Mysterious island, huh...\Not like Panorama Island or Infant Island, right?\It'll be fine as long as it doesn't suddenly rise out of the water or start moving.\Do not worry. response:	Guess what.
context: An underling snoring away when the chief is awake...\Come on! Let's go!\A mysterious island awaits us!\Mysterious island, huh...\Not like Panorama Island or Infant Island, right?\It'll be fine as long as it doesn't suddenly rise out of the water or start moving.\Do not worry.\Guess what. response:	This is my first time to a mysterious island!
context: Come on! Let's go!\A mysterious island awaits us!\Mysterious island, huh...\Not like Panorama Island or Infant Island, right?\It'll be fine as long as it doesn't suddenly rise out of the water or start moving.\Do not worry.\Guess what.\This is my first time to a mysterious island! response:	There is nothing unusual about it.
context: A mysterious island awaits us!\Mysterious island, huh...\Not like Panorama Island or Infant Island, right?\It'll be fine as long as it doesn't suddenly rise out of the water or start moving.\Do not worry.\Guess what.\This is my first time to a mysterious island!\There is nothing unusual about it. response:	Just a small, lone island.
context: Mysterious island, huh...\Not like Panorama Island or Infant Island, right?\It'll be fine as long as it doesn't suddenly rise out of the water or start moving.\Do not worry.\Guess what.\This is my first time to a mysterious island!\There is nothing unusual about it.\Just a small, lone island. response:	Really?
context: Not like Panorama Island or Infant Island, right?\It'll be fine as long as it doesn't suddenly rise out of the water or start moving.\Do not worry.\Guess what.\This is my first time to a mysterious island!\There is nothing unusual about it.\Just a small, lone island.\Really? response:	You won't find any monsters or crazy scientists there.
context: It'll be fine as long as it doesn't suddenly rise out of the water or start moving.\Do not worry.\Guess what.\This is my first time to a mysterious island!\There is nothing unusual about it.\Just a small, lone island.\Really?\You won't find any monsters or crazy scientists there. response:	What about Mikuru-chan?
context: Do not worry.\Guess what.\This is my first time to a mysterious island!\There is nothing unusual about it.\Just a small, lone island.\Really?\You won't find any monsters or crazy scientists there.\What about Mikuru-chan? response:	Have you ever been to one?
context: Guess what.\This is my first time to a mysterious island!\There is nothing unusual about it.\Just a small, lone island.\Really?\You won't find any monsters or crazy scientists there.\What about Mikuru-chan?\Have you ever been to one? response:	You have my word.
context: This is my first time to a mysterious island!\There is nothing unusual about it.\Just a small, lone island.\Really?\You won't find any monsters or crazy scientists there.\What about Mikuru-chan?\Have you ever been to one?\You have my word. response:	I haven't either.
context: There is nothing unusual about it.\Just a small, lone island.\Really?\You won't find any monsters or crazy scientists there.\What about Mikuru-chan?\Have you ever been to one?\You have my word.\I haven't either. response:	Your word is the one I trust the least.
context: Just a small, lone island.\Really?\You won't find any monsters or crazy scientists there.\What about Mikuru-chan?\Have you ever been to one?\You have my word.\I haven't either.\Your word is the one I trust the least. response:	Really...
context: Really?\You won't find any monsters or crazy scientists there.\What about Mikuru-chan?\Have you ever been to one?\You have my word.\I haven't either.\Your word is the one I trust the least.\Really... response:	Ferry
context: You won't find any monsters or crazy scientists there.\What about Mikuru-chan?\Have you ever been to one?\You have my word.\I haven't either.\Your word is the one I trust the least.\Really...\Ferry response:	Terminal
context: What about Mikuru-chan?\Have you ever been to one?\You have my word.\I haven't either.\Your word is the one I trust the least.\Really...\Ferry\Terminal response:	Hey, Arakawa-san.
context: Have you ever been to one?\You have my word.\I haven't either.\Your word is the one I trust the least.\Really...\Ferry\Terminal\Hey, Arakawa-san. response:	It's been quite some time.
context: You have my word.\I haven't either.\Your word is the one I trust the least.\Really...\Ferry\Terminal\Hey, Arakawa-san.\It's been quite some time. response:	Mr. Arakawa/ Butler
context: I haven't either.\Your word is the one I trust the least.\Really...\Ferry\Terminal\Hey, Arakawa-san.\It's been quite some time.\Mr. Arakawa/ Butler response:	And you, Mori-san.
context: Your word is the one I trust the least.\Really...\Ferry\Terminal\Hey, Arakawa-san.\It's been quite some time.\Mr. Arakawa/ Butler\And you, Mori-san. response:	Sonou Mori/ Maid
context: Really...\Ferry\Terminal\Hey, Arakawa-san.\It's been quite some time.\Mr. Arakawa/ Butler\And you, Mori-san.\Sonou Mori/ Maid response:	Thank you for coming to meet us.
context: Ferry\Terminal\Hey, Arakawa-san.\It's been quite some time.\Mr. Arakawa/ Butler\And you, Mori-san.\Sonou Mori/ Maid\Thank you for coming to meet us. response:	Sorry to trouble you.
context: Terminal\Hey, Arakawa-san.\It's been quite some time.\Mr. Arakawa/ Butler\And you, Mori-san.\Sonou Mori/ Maid\Thank you for coming to meet us.\Sorry to trouble you. response:	These are my irreplaceable friends.
context: Hey, Arakawa-san.\It's been quite some time.\Mr. Arakawa/ Butler\And you, Mori-san.\Sonou Mori/ Maid\Thank you for coming to meet us.\Sorry to trouble you.\These are my irreplaceable friends. response:	I have prepared a boat over there.
context: It's been quite some time.\Mr. Arakawa/ Butler\And you, Mori-san.\Sonou Mori/ Maid\Thank you for coming to meet us.\Sorry to trouble you.\These are my irreplaceable friends.\I have prepared a boat over there. response:	It will be a half hour voyage by boat to reach my master's island.
context: Mr. Arakawa/ Butler\And you, Mori-san.\Sonou Mori/ Maid\Thank you for coming to meet us.\Sorry to trouble you.\These are my irreplaceable friends.\I have prepared a boat over there.\It will be a half hour voyage by boat to reach my master's island. response:	I must apologize for the inconvenience.
context: And you, Mori-san.\Sonou Mori/ Maid\Thank you for coming to meet us.\Sorry to trouble you.\These are my irreplaceable friends.\I have prepared a boat over there.\It will be a half hour voyage by boat to reach my master's island.\I must apologize for the inconvenience. response:	It's totally not a problem!
context: Sonou Mori/ Maid\Thank you for coming to meet us.\Sorry to trouble you.\These are my irreplaceable friends.\I have prepared a boat over there.\It will be a half hour voyage by boat to reach my master's island.\I must apologize for the inconvenience.\It's totally not a problem! response:	That's what makes it a remote island!
context: Thank you for coming to meet us.\Sorry to trouble you.\These are my irreplaceable friends.\I have prepared a boat over there.\It will be a half hour voyage by boat to reach my master's island.\I must apologize for the inconvenience.\It's totally not a problem!\That's what makes it a remote island! response:	Forget half an hour...
context: Sorry to trouble you.\These are my irreplaceable friends.\I have prepared a boat over there.\It will be a half hour voyage by boat to reach my master's island.\I must apologize for the inconvenience.\It's totally not a problem!\That's what makes it a remote island!\Forget half an hour... response:	Take as many hours as you want!
context: These are my irreplaceable friends.\I have prepared a boat over there.\It will be a half hour voyage by boat to reach my master's island.\I must apologize for the inconvenience.\It's totally not a problem!\That's what makes it a remote island!\Forget half an hour...\Take as many hours as you want! response:	I want a remote island out in the deep seas!
context: I have prepared a boat over there.\It will be a half hour voyage by boat to reach my master's island.\I must apologize for the inconvenience.\It's totally not a problem!\That's what makes it a remote island!\Forget half an hour...\Take as many hours as you want!\I want a remote island out in the deep seas! response:	Kyon. Mikuru-chan.
context: It will be a half hour voyage by boat to reach my master's island.\I must apologize for the inconvenience.\It's totally not a problem!\That's what makes it a remote island!\Forget half an hour...\Take as many hours as you want!\I want a remote island out in the deep seas!\Kyon. Mikuru-chan. response:	You should look happier about this!
context: I must apologize for the inconvenience.\It's totally not a problem!\That's what makes it a remote island!\Forget half an hour...\Take as many hours as you want!\I want a remote island out in the deep seas!\Kyon. Mikuru-chan.\You should look happier about this! response:	A manor on a remote island...
context: It's totally not a problem!\That's what makes it a remote island!\Forget half an hour...\Take as many hours as you want!\I want a remote island out in the deep seas!\Kyon. Mikuru-chan.\You should look happier about this!\A manor on a remote island... response:	And even a suspicious-looking butler and maid!
context: That's what makes it a remote island!\Forget half an hour...\Take as many hours as you want!\I want a remote island out in the deep seas!\Kyon. Mikuru-chan.\You should look happier about this!\A manor on a remote island...\And even a suspicious-looking butler and maid! response:	You could search all of Japan and only find two other islands like this!
context: Forget half an hour...\Take as many hours as you want!\I want a remote island out in the deep seas!\Kyon. Mikuru-chan.\You should look happier about this!\A manor on a remote island...\And even a suspicious-looking butler and maid!\You could search all of Japan and only find two other islands like this! response:	You couldn't even find two!
context: Take as many hours as you want!\I want a remote island out in the deep seas!\Kyon. Mikuru-chan.\You should look happier about this!\A manor on a remote island...\And even a suspicious-looking butler and maid!\You could search all of Japan and only find two other islands like this!\You couldn't even find two! response:	That's amazing!
context: I want a remote island out in the deep seas!\Kyon. Mikuru-chan.\You should look happier about this!\A manor on a remote island...\And even a suspicious-looking butler and maid!\You could search all of Japan and only find two other islands like this!\You couldn't even find two!\That's amazing! response:	I'm looking forward to this!
context: Kyon. Mikuru-chan.\You should look happier about this!\A manor on a remote island...\And even a suspicious-looking butler and maid!\You could search all of Japan and only find two other islands like this!\You couldn't even find two!\That's amazing!\I'm looking forward to this! response:	Is she trying to pick up on maid mannerisms from Mori-san?
context: You should look happier about this!\A manor on a remote island...\And even a suspicious-looking butler and maid!\You could search all of Japan and only find two other islands like this!\You couldn't even find two!\That's amazing!\I'm looking forward to this!\Is she trying to pick up on maid mannerisms from Mori-san? response:	She sure gets serious about weird things.
context: A manor on a remote island...\And even a suspicious-looking butler and maid!\You could search all of Japan and only find two other islands like this!\You couldn't even find two!\That's amazing!\I'm looking forward to this!\Is she trying to pick up on maid mannerisms from Mori-san?\She sure gets serious about weird things. response:	So?
context: And even a suspicious-looking butler and maid!\You could search all of Japan and only find two other islands like this!\You couldn't even find two!\That's amazing!\I'm looking forward to this!\Is she trying to pick up on maid mannerisms from Mori-san?\She sure gets serious about weird things.\So? response:	What do you call that building?
context: You could search all of Japan and only find two other islands like this!\You couldn't even find two!\That's amazing!\I'm looking forward to this!\Is she trying to pick up on maid mannerisms from Mori-san?\She sure gets serious about weird things.\So?\What do you call that building? response:	What do you mean?
context: You couldn't even find two!\That's amazing!\I'm looking forward to this!\Is she trying to pick up on maid mannerisms from Mori-san?\She sure gets serious about weird things.\So?\What do you call that building?\What do you mean? response:	Like the House of Black Death or Lilas Manor or Koketsu Castle!
context: That's amazing!\I'm looking forward to this!\Is she trying to pick up on maid mannerisms from Mori-san?\She sure gets serious about weird things.\So?\What do you call that building?\What do you mean?\Like the House of Black Death or Lilas Manor or Koketsu Castle! response:	It has a name along those lines, doesn't it?
context: I'm looking forward to this!\Is she trying to pick up on maid mannerisms from Mori-san?\She sure gets serious about weird things.\So?\What do you call that building?\What do you mean?\Like the House of Black Death or Lilas Manor or Koketsu Castle!\It has a name along those lines, doesn't it? response:	No. Not particularly.
context: Is she trying to pick up on maid mannerisms from Mori-san?\She sure gets serious about weird things.\So?\What do you call that building?\What do you mean?\Like the House of Black Death or Lilas Manor or Koketsu Castle!\It has a name along those lines, doesn't it?\No. Not particularly. response:	It has a bunch of hidden mechanisms!
context: She sure gets serious about weird things.\So?\What do you call that building?\What do you mean?\Like the House of Black Death or Lilas Manor or Koketsu Castle!\It has a name along those lines, doesn't it?\No. Not particularly.\It has a bunch of hidden mechanisms! response:	Or the architect died of unnatural causes!
context: So?\What do you call that building?\What do you mean?\Like the House of Black Death or Lilas Manor or Koketsu Castle!\It has a name along those lines, doesn't it?\No. Not particularly.\It has a bunch of hidden mechanisms!\Or the architect died of unnatural causes! response:	Or there's a room where any occupant ends up dying!
context: What do you call that building?\What do you mean?\Like the House of Black Death or Lilas Manor or Koketsu Castle!\It has a name along those lines, doesn't it?\No. Not particularly.\It has a bunch of hidden mechanisms!\Or the architect died of unnatural causes!\Or there's a room where any occupant ends up dying! response:	There are none.
context: What do you mean?\Like the House of Black Death or Lilas Manor or Koketsu Castle!\It has a name along those lines, doesn't it?\No. Not particularly.\It has a bunch of hidden mechanisms!\Or the architect died of unnatural causes!\Or there's a room where any occupant ends up dying!\There are none. response:	You could hear a pin drop.
context: Like the House of Black Death or Lilas Manor or Koketsu Castle!\It has a name along those lines, doesn't it?\No. Not particularly.\It has a bunch of hidden mechanisms!\Or the architect died of unnatural causes!\Or there's a room where any occupant ends up dying!\There are none.\You could hear a pin drop. response:	Say!
context: It has a name along those lines, doesn't it?\No. Not particularly.\It has a bunch of hidden mechanisms!\Or the architect died of unnatural causes!\Or there's a room where any occupant ends up dying!\There are none.\You could hear a pin drop.\Say! response:	Does the master of the manor wear a mask?
context: No. Not particularly.\It has a bunch of hidden mechanisms!\Or the architect died of unnatural causes!\Or there's a room where any occupant ends up dying!\There are none.\You could hear a pin drop.\Say!\Does the master of the manor wear a mask? response:	Or maybe three gentle sisters exist inside his head...
context: It has a bunch of hidden mechanisms!\Or the architect died of unnatural causes!\Or there's a room where any occupant ends up dying!\There are none.\You could hear a pin drop.\Say!\Does the master of the manor wear a mask?\Or maybe three gentle sisters exist inside his head... response:	There has been nothing as of this point.
context: Or the architect died of unnatural causes!\Or there's a room where any occupant ends up dying!\There are none.\You could hear a pin drop.\Say!\Does the master of the manor wear a mask?\Or maybe three gentle sisters exist inside his head...\There has been nothing as of this point. response:	Then there's a pretty high chance something will happen in the future, right?
context: Or there's a room where any occupant ends up dying!\There are none.\You could hear a pin drop.\Say!\Does the master of the manor wear a mask?\Or maybe three gentle sisters exist inside his head...\There has been nothing as of this point.\Then there's a pretty high chance something will happen in the future, right? response:	That may be the case.
context: There are none.\You could hear a pin drop.\Say!\Does the master of the manor wear a mask?\Or maybe three gentle sisters exist inside his head...\There has been nothing as of this point.\Then there's a pretty high chance something will happen in the future, right?\That may be the case. response:	I can see it!
context: You could hear a pin drop.\Say!\Does the master of the manor wear a mask?\Or maybe three gentle sisters exist inside his head...\There has been nothing as of this point.\Then there's a pretty high chance something will happen in the future, right?\That may be the case.\I can see it! response:	Is that the manor?
context: Say!\Does the master of the manor wear a mask?\Or maybe three gentle sisters exist inside his head...\There has been nothing as of this point.\Then there's a pretty high chance something will happen in the future, right?\That may be the case.\I can see it!\Is that the manor? response:	That would be the villa.
context: Does the master of the manor wear a mask?\Or maybe three gentle sisters exist inside his head...\There has been nothing as of this point.\Then there's a pretty high chance something will happen in the future, right?\That may be the case.\I can see it!\Is that the manor?\That would be the villa. response:	Looks kind of normal.
context: Or maybe three gentle sisters exist inside his head...\There has been nothing as of this point.\Then there's a pretty high chance something will happen in the future, right?\That may be the case.\I can see it!\Is that the manor?\That would be the villa.\Looks kind of normal. response:	Who's that person?
context: There has been nothing as of this point.\Then there's a pretty high chance something will happen in the future, right?\That may be the case.\I can see it!\Is that the manor?\That would be the villa.\Looks kind of normal.\Who's that person? response:	Is he the master of the manor?
context: Then there's a pretty high chance something will happen in the future, right?\That may be the case.\I can see it!\Is that the manor?\That would be the villa.\Looks kind of normal.\Who's that person?\Is he the master of the manor? response:	He looks rather young.
context: That may be the case.\I can see it!\Is that the manor?\That would be the villa.\Looks kind of normal.\Who's that person?\Is he the master of the manor?\He looks rather young. response:	He's also an invited guest.
context: I can see it!\Is that the manor?\That would be the villa.\Looks kind of normal.\Who's that person?\Is he the master of the manor?\He looks rather young.\He's also an invited guest. response:	Yutaka Tamaru/ Master's Younger Brother
context: Is that the manor?\That would be the villa.\Looks kind of normal.\Who's that person?\Is he the master of the manor?\He looks rather young.\He's also an invited guest.\Yutaka Tamaru/ Master's Younger Brother response:	The master's younger brother.
context: That would be the villa.\Looks kind of normal.\Who's that person?\Is he the master of the manor?\He looks rather young.\He's also an invited guest.\Yutaka Tamaru/ Master's Younger Brother\The master's younger brother. response:	Yutaka Tamaru-san.
context: Looks kind of normal.\Who's that person?\Is he the master of the manor?\He looks rather young.\He's also an invited guest.\Yutaka Tamaru/ Master's Younger Brother\The master's younger brother.\Yutaka Tamaru-san. response:	I've met him once before.
context: Who's that person?\Is he the master of the manor?\He looks rather young.\He's also an invited guest.\Yutaka Tamaru/ Master's Younger Brother\The master's younger brother.\Yutaka Tamaru-san.\I've met him once before. response:	Tell us these things earlier.
context: Is he the master of the manor?\He looks rather young.\He's also an invited guest.\Yutaka Tamaru/ Master's Younger Brother\The master's younger brother.\Yutaka Tamaru-san.\I've met him once before.\Tell us these things earlier. response:	This is the first I've heard about any other guests.
context: He looks rather young.\He's also an invited guest.\Yutaka Tamaru/ Master's Younger Brother\The master's younger brother.\Yutaka Tamaru-san.\I've met him once before.\Tell us these things earlier.\This is the first I've heard about any other guests. response:	Keiichi Tamaru/ Master of Manor
context: He's also an invited guest.\Yutaka Tamaru/ Master's Younger Brother\The master's younger brother.\Yutaka Tamaru-san.\I've met him once before.\Tell us these things earlier.\This is the first I've heard about any other guests.\Keiichi Tamaru/ Master of Manor response:	Hey.
context: Yutaka Tamaru/ Master's Younger Brother\The master's younger brother.\Yutaka Tamaru-san.\I've met him once before.\Tell us these things earlier.\This is the first I've heard about any other guests.\Keiichi Tamaru/ Master of Manor\Hey. response:	I would like to express my sincere gratitude for your invitation.
context: The master's younger brother.\Yutaka Tamaru-san.\I've met him once before.\Tell us these things earlier.\This is the first I've heard about any other guests.\Keiichi Tamaru/ Master of Manor\Hey.\I would like to express my sincere gratitude for your invitation. response:	I truly appreciate the opportunity to stay in such a wonderful manor.
context: Yutaka Tamaru-san.\I've met him once before.\Tell us these things earlier.\This is the first I've heard about any other guests.\Keiichi Tamaru/ Master of Manor\Hey.\I would like to express my sincere gratitude for your invitation.\I truly appreciate the opportunity to stay in such a wonderful manor. response:	On behalf of everyone here, I offer our thanks.
context: I've met him once before.\Tell us these things earlier.\This is the first I've heard about any other guests.\Keiichi Tamaru/ Master of Manor\Hey.\I would like to express my sincere gratitude for your invitation.\I truly appreciate the opportunity to stay in such a wonderful manor.\On behalf of everyone here, I offer our thanks. response:	Oh, my.
context: Tell us these things earlier.\This is the first I've heard about any other guests.\Keiichi Tamaru/ Master of Manor\Hey.\I would like to express my sincere gratitude for your invitation.\I truly appreciate the opportunity to stay in such a wonderful manor.\On behalf of everyone here, I offer our thanks.\Oh, my. response:	You sure are different from what I heard from Itsuki-kun.
context: This is the first I've heard about any other guests.\Keiichi Tamaru/ Master of Manor\Hey.\I would like to express my sincere gratitude for your invitation.\I truly appreciate the opportunity to stay in such a wonderful manor.\On behalf of everyone here, I offer our thanks.\Oh, my.\You sure are different from what I heard from Itsuki-kun. response:	I believe...
context: Keiichi Tamaru/ Master of Manor\Hey.\I would like to express my sincere gratitude for your invitation.\I truly appreciate the opportunity to stay in such a wonderful manor.\On behalf of everyone here, I offer our thanks.\Oh, my.\You sure are different from what I heard from Itsuki-kun.\I believe... response:	Really?
context: Hey.\I would like to express my sincere gratitude for your invitation.\I truly appreciate the opportunity to stay in such a wonderful manor.\On behalf of everyone here, I offer our thanks.\Oh, my.\You sure are different from what I heard from Itsuki-kun.\I believe...\Really? response:	Nice to meet you, big guy!
context: I would like to express my sincere gratitude for your invitation.\I truly appreciate the opportunity to stay in such a wonderful manor.\On behalf of everyone here, I offer our thanks.\Oh, my.\You sure are different from what I heard from Itsuki-kun.\I believe...\Really?\Nice to meet you, big guy! response:	Moving right along, have any strange incidents happened in this manor?
context: I truly appreciate the opportunity to stay in such a wonderful manor.\On behalf of everyone here, I offer our thanks.\Oh, my.\You sure are different from what I heard from Itsuki-kun.\I believe...\Really?\Nice to meet you, big guy!\Moving right along, have any strange incidents happened in this manor? response:	And does this island have any ominous nicknames or terrifying legends?
context: On behalf of everyone here, I offer our thanks.\Oh, my.\You sure are different from what I heard from Itsuki-kun.\I believe...\Really?\Nice to meet you, big guy!\Moving right along, have any strange incidents happened in this manor?\And does this island have any ominous nicknames or terrifying legends? response:	I'm interested in that kind of stuff!
