context: <OP> response:	<Comic relief>
context: Hey. Why do you and Kureha never let me cook whenever it's my turn?\I cooked all the time before you two got here.\Well, um...\It shouldn't taste bad.\Well, it doesn't taste as bad as it looks...\What was that?\No, it has a very distinct flavor! It's wonderful!\Isn't it? response:	Then I guess I'll put even more of my love into it today.
context: I cooked all the time before you two got here.\Well, um...\It shouldn't taste bad.\Well, it doesn't taste as bad as it looks...\What was that?\No, it has a very distinct flavor! It's wonderful!\Isn't it?\Then I guess I'll put even more of my love into it today. response:	Hey! Anyone home?
context: Well, um...\It shouldn't taste bad.\Well, it doesn't taste as bad as it looks...\What was that?\No, it has a very distinct flavor! It's wonderful!\Isn't it?\Then I guess I'll put even more of my love into it today.\Hey! Anyone home? response:	Yes!
context: It shouldn't taste bad.\Well, it doesn't taste as bad as it looks...\What was that?\No, it has a very distinct flavor! It's wonderful!\Isn't it?\Then I guess I'll put even more of my love into it today.\Hey! Anyone home?\Yes! response:	Rio, it's Miss Naomi.
context: Well, it doesn't taste as bad as it looks...\What was that?\No, it has a very distinct flavor! It's wonderful!\Isn't it?\Then I guess I'll put even more of my love into it today.\Hey! Anyone home?\Yes!\Rio, it's Miss Naomi. response:	I'm working.
context: What was that?\No, it has a very distinct flavor! It's wonderful!\Isn't it?\Then I guess I'll put even more of my love into it today.\Hey! Anyone home?\Yes!\Rio, it's Miss Naomi.\I'm working. response:	But I need to stick to the phone.
context: No, it has a very distinct flavor! It's wonderful!\Isn't it?\Then I guess I'll put even more of my love into it today.\Hey! Anyone home?\Yes!\Rio, it's Miss Naomi.\I'm working.\But I need to stick to the phone. response:	Hey! You've got a customer here!
context: Isn't it?\Then I guess I'll put even more of my love into it today.\Hey! Anyone home?\Yes!\Rio, it's Miss Naomi.\I'm working.\But I need to stick to the phone.\Hey! You've got a customer here! response:	Fine. Guess I'll get it.
context: Then I guess I'll put even more of my love into it today.\Hey! Anyone home?\Yes!\Rio, it's Miss Naomi.\I'm working.\But I need to stick to the phone.\Hey! You've got a customer here!\Fine. Guess I'll get it. response:	Yeah! I'll be right there!
context: Hey! Anyone home?\Yes!\Rio, it's Miss Naomi.\I'm working.\But I need to stick to the phone.\Hey! You've got a customer here!\Fine. Guess I'll get it.\Yeah! I'll be right there! response:	I don't want to eat sandwiches with cutting board in them anymore...
context: Yes!\Rio, it's Miss Naomi.\I'm working.\But I need to stick to the phone.\Hey! You've got a customer here!\Fine. Guess I'll get it.\Yeah! I'll be right there!\I don't want to eat sandwiches with cutting board in them anymore... response:	Are these...
context: Rio, it's Miss Naomi.\I'm working.\But I need to stick to the phone.\Hey! You've got a customer here!\Fine. Guess I'll get it.\Yeah! I'll be right there!\I don't want to eat sandwiches with cutting board in them anymore...\Are these... response:	Go ahead and drink. It's apple cider.
context: I'm working.\But I need to stick to the phone.\Hey! You've got a customer here!\Fine. Guess I'll get it.\Yeah! I'll be right there!\I don't want to eat sandwiches with cutting board in them anymore...\Are these...\Go ahead and drink. It's apple cider. response:	It's handmade from the farm where we get our apple juice.
context: But I need to stick to the phone.\Hey! You've got a customer here!\Fine. Guess I'll get it.\Yeah! I'll be right there!\I don't want to eat sandwiches with cutting board in them anymore...\Are these...\Go ahead and drink. It's apple cider.\It's handmade from the farm where we get our apple juice. response:	So it's like a cousin of the calvados we make?
context: Hey! You've got a customer here!\Fine. Guess I'll get it.\Yeah! I'll be right there!\I don't want to eat sandwiches with cutting board in them anymore...\Are these...\Go ahead and drink. It's apple cider.\It's handmade from the farm where we get our apple juice.\So it's like a cousin of the calvados we make? response:	What?
context: Fine. Guess I'll get it.\Yeah! I'll be right there!\I don't want to eat sandwiches with cutting board in them anymore...\Are these...\Go ahead and drink. It's apple cider.\It's handmade from the farm where we get our apple juice.\So it's like a cousin of the calvados we make?\What? response:	Oh, right. She found out.
context: Yeah! I'll be right there!\I don't want to eat sandwiches with cutting board in them anymore...\Are these...\Go ahead and drink. It's apple cider.\It's handmade from the farm where we get our apple juice.\So it's like a cousin of the calvados we make?\What?\Oh, right. She found out. response:	What?
context: I don't want to eat sandwiches with cutting board in them anymore...\Are these...\Go ahead and drink. It's apple cider.\It's handmade from the farm where we get our apple juice.\So it's like a cousin of the calvados we make?\What?\Oh, right. She found out.\What? response:	Two should be enough for tonight, right?
context: Are these...\Go ahead and drink. It's apple cider.\It's handmade from the farm where we get our apple juice.\So it's like a cousin of the calvados we make?\What?\Oh, right. She found out.\What?\Two should be enough for tonight, right? response:	What? Oh, yeah, sure.
context: Go ahead and drink. It's apple cider.\It's handmade from the farm where we get our apple juice.\So it's like a cousin of the calvados we make?\What?\Oh, right. She found out.\What?\Two should be enough for tonight, right?\What? Oh, yeah, sure. response:	Tonight?
context: It's handmade from the farm where we get our apple juice.\So it's like a cousin of the calvados we make?\What?\Oh, right. She found out.\What?\Two should be enough for tonight, right?\What? Oh, yeah, sure.\Tonight? response:	There's a merchants' guild meeting tonight.
context: So it's like a cousin of the calvados we make?\What?\Oh, right. She found out.\What?\Two should be enough for tonight, right?\What? Oh, yeah, sure.\Tonight?\There's a merchants' guild meeting tonight. response:	We always like to provide refreshments as thanks for everything they do.
context: What?\Oh, right. She found out.\What?\Two should be enough for tonight, right?\What? Oh, yeah, sure.\Tonight?\There's a merchants' guild meeting tonight.\We always like to provide refreshments as thanks for everything they do. response:	Remember that.
context: Oh, right. She found out.\What?\Two should be enough for tonight, right?\What? Oh, yeah, sure.\Tonight?\There's a merchants' guild meeting tonight.\We always like to provide refreshments as thanks for everything they do.\Remember that. response:	Okay.
context: What?\Two should be enough for tonight, right?\What? Oh, yeah, sure.\Tonight?\There's a merchants' guild meeting tonight.\We always like to provide refreshments as thanks for everything they do.\Remember that.\Okay. response:	Oh, come on! They did everything they could to hide it from you too!
context: Two should be enough for tonight, right?\What? Oh, yeah, sure.\Tonight?\There's a merchants' guild meeting tonight.\We always like to provide refreshments as thanks for everything they do.\Remember that.\Okay.\Oh, come on! They did everything they could to hide it from you too! response:	How'd you find out?
context: What? Oh, yeah, sure.\Tonight?\There's a merchants' guild meeting tonight.\We always like to provide refreshments as thanks for everything they do.\Remember that.\Okay.\Oh, come on! They did everything they could to hide it from you too!\How'd you find out? response:	W- Well, um...
context: Tonight?\There's a merchants' guild meeting tonight.\We always like to provide refreshments as thanks for everything they do.\Remember that.\Okay.\Oh, come on! They did everything they could to hide it from you too!\How'd you find out?\W- Well, um... response:	Well...
context: There's a merchants' guild meeting tonight.\We always like to provide refreshments as thanks for everything they do.\Remember that.\Okay.\Oh, come on! They did everything they could to hide it from you too!\How'd you find out?\W- Well, um...\Well... response:	If I get the chance, maybe I can...
context: We always like to provide refreshments as thanks for everything they do.\Remember that.\Okay.\Oh, come on! They did everything they could to hide it from you too!\How'd you find out?\W- Well, um...\Well...\If I get the chance, maybe I can... response:	Miss Naomi, how would you like to have lunch with us?
context: Remember that.\Okay.\Oh, come on! They did everything they could to hide it from you too!\How'd you find out?\W- Well, um...\Well...\If I get the chance, maybe I can...\Miss Naomi, how would you like to have lunch with us? response:	What? You want me to attend it?
context: Okay.\Oh, come on! They did everything they could to hide it from you too!\How'd you find out?\W- Well, um...\Well...\If I get the chance, maybe I can...\Miss Naomi, how would you like to have lunch with us?\What? You want me to attend it? response:	Look, everyone wants a proper explanation from the military for the news in this week's paper.
context: Oh, come on! They did everything they could to hide it from you too!\How'd you find out?\W- Well, um...\Well...\If I get the chance, maybe I can...\Miss Naomi, how would you like to have lunch with us?\What? You want me to attend it?\Look, everyone wants a proper explanation from the military for the news in this week's paper. response:	News?
context: How'd you find out?\W- Well, um...\Well...\If I get the chance, maybe I can...\Miss Naomi, how would you like to have lunch with us?\What? You want me to attend it?\Look, everyone wants a proper explanation from the military for the news in this week's paper.\News? response:	About how the peace treaty conferences aren't going smoothly.
context: W- Well, um...\Well...\If I get the chance, maybe I can...\Miss Naomi, how would you like to have lunch with us?\What? You want me to attend it?\Look, everyone wants a proper explanation from the military for the news in this week's paper.\News?\About how the peace treaty conferences aren't going smoothly. response:	They aren't?
context: Well...\If I get the chance, maybe I can...\Miss Naomi, how would you like to have lunch with us?\What? You want me to attend it?\Look, everyone wants a proper explanation from the military for the news in this week's paper.\News?\About how the peace treaty conferences aren't going smoothly.\They aren't? response:	They're squabbling over paying reparations and drawing borders.
context: If I get the chance, maybe I can...\Miss Naomi, how would you like to have lunch with us?\What? You want me to attend it?\Look, everyone wants a proper explanation from the military for the news in this week's paper.\News?\About how the peace treaty conferences aren't going smoothly.\They aren't?\They're squabbling over paying reparations and drawing borders. response:	Everyone knows these things always take longer than they should.
context: Miss Naomi, how would you like to have lunch with us?\What? You want me to attend it?\Look, everyone wants a proper explanation from the military for the news in this week's paper.\News?\About how the peace treaty conferences aren't going smoothly.\They aren't?\They're squabbling over paying reparations and drawing borders.\Everyone knows these things always take longer than they should. response:	It's more like those old geezers in the guild want to see you again.
context: What? You want me to attend it?\Look, everyone wants a proper explanation from the military for the news in this week's paper.\News?\About how the peace treaty conferences aren't going smoothly.\They aren't?\They're squabbling over paying reparations and drawing borders.\Everyone knows these things always take longer than they should.\It's more like those old geezers in the guild want to see you again. response:	Ever since you played the part of one of the Maidens of the Fire at the Water-Casting festival,
context: Look, everyone wants a proper explanation from the military for the news in this week's paper.\News?\About how the peace treaty conferences aren't going smoothly.\They aren't?\They're squabbling over paying reparations and drawing borders.\Everyone knows these things always take longer than they should.\It's more like those old geezers in the guild want to see you again.\Ever since you played the part of one of the Maidens of the Fire at the Water-Casting festival, response:	you've been gaining quite a fanbase.
context: News?\About how the peace treaty conferences aren't going smoothly.\They aren't?\They're squabbling over paying reparations and drawing borders.\Everyone knows these things always take longer than they should.\It's more like those old geezers in the guild want to see you again.\Ever since you played the part of one of the Maidens of the Fire at the Water-Casting festival,\you've been gaining quite a fanbase. response:	What a bother. Seriously.
context: About how the peace treaty conferences aren't going smoothly.\They aren't?\They're squabbling over paying reparations and drawing borders.\Everyone knows these things always take longer than they should.\It's more like those old geezers in the guild want to see you again.\Ever since you played the part of one of the Maidens of the Fire at the Water-Casting festival,\you've been gaining quite a fanbase.\What a bother. Seriously. response:	So, there. It looks like I'll have to attend the meeting.
context: They aren't?\They're squabbling over paying reparations and drawing borders.\Everyone knows these things always take longer than they should.\It's more like those old geezers in the guild want to see you again.\Ever since you played the part of one of the Maidens of the Fire at the Water-Casting festival,\you've been gaining quite a fanbase.\What a bother. Seriously.\So, there. It looks like I'll have to attend the meeting. response:	I'm one of the Maidens of the Fortress now, heart and soul!
context: They're squabbling over paying reparations and drawing borders.\Everyone knows these things always take longer than they should.\It's more like those old geezers in the guild want to see you again.\Ever since you played the part of one of the Maidens of the Fire at the Water-Casting festival,\you've been gaining quite a fanbase.\What a bother. Seriously.\So, there. It looks like I'll have to attend the meeting.\I'm one of the Maidens of the Fortress now, heart and soul! response:	I will complete this mission by myself!
context: Everyone knows these things always take longer than they should.\It's more like those old geezers in the guild want to see you again.\Ever since you played the part of one of the Maidens of the Fire at the Water-Casting festival,\you've been gaining quite a fanbase.\What a bother. Seriously.\So, there. It looks like I'll have to attend the meeting.\I'm one of the Maidens of the Fortress now, heart and soul!\I will complete this mission by myself! response:	Understood. It's all yours.
context: It's more like those old geezers in the guild want to see you again.\Ever since you played the part of one of the Maidens of the Fire at the Water-Casting festival,\you've been gaining quite a fanbase.\What a bother. Seriously.\So, there. It looks like I'll have to attend the meeting.\I'm one of the Maidens of the Fortress now, heart and soul!\I will complete this mission by myself!\Understood. It's all yours. response:	Yes!
context: Ever since you played the part of one of the Maidens of the Fire at the Water-Casting festival,\you've been gaining quite a fanbase.\What a bother. Seriously.\So, there. It looks like I'll have to attend the meeting.\I'm one of the Maidens of the Fortress now, heart and soul!\I will complete this mission by myself!\Understood. It's all yours.\Yes! response:	Kanata, I'd like to give you this.
context: you've been gaining quite a fanbase.\What a bother. Seriously.\So, there. It looks like I'll have to attend the meeting.\I'm one of the Maidens of the Fortress now, heart and soul!\I will complete this mission by myself!\Understood. It's all yours.\Yes!\Kanata, I'd like to give you this. response:	Sorry they're not new, they were mine before.
context: What a bother. Seriously.\So, there. It looks like I'll have to attend the meeting.\I'm one of the Maidens of the Fortress now, heart and soul!\I will complete this mission by myself!\Understood. It's all yours.\Yes!\Kanata, I'd like to give you this.\Sorry they're not new, they were mine before. response:	Aren't these... trumpet-
context: So, there. It looks like I'll have to attend the meeting.\I'm one of the Maidens of the Fortress now, heart and soul!\I will complete this mission by myself!\Understood. It's all yours.\Yes!\Kanata, I'd like to give you this.\Sorry they're not new, they were mine before.\Aren't these... trumpet- response:	Wonderful! Wonderful! Wonderful!
context: I'm one of the Maidens of the Fortress now, heart and soul!\I will complete this mission by myself!\Understood. It's all yours.\Yes!\Kanata, I'd like to give you this.\Sorry they're not new, they were mine before.\Aren't these... trumpet-\Wonderful! Wonderful! Wonderful! response:	Thank you very much!
context: I will complete this mission by myself!\Understood. It's all yours.\Yes!\Kanata, I'd like to give you this.\Sorry they're not new, they were mine before.\Aren't these... trumpet-\Wonderful! Wonderful! Wonderful!\Thank you very much! response:	Your bugling's gotten a lot better recently, you know.
context: Understood. It's all yours.\Yes!\Kanata, I'd like to give you this.\Sorry they're not new, they were mine before.\Aren't these... trumpet-\Wonderful! Wonderful! Wonderful!\Thank you very much!\Your bugling's gotten a lot better recently, you know. response:	It's a reward for practicing so hard.
context: Yes!\Kanata, I'd like to give you this.\Sorry they're not new, they were mine before.\Aren't these... trumpet-\Wonderful! Wonderful! Wonderful!\Thank you very much!\Your bugling's gotten a lot better recently, you know.\It's a reward for practicing so hard. response:	And with those, you won't fall asleep.
context: Kanata, I'd like to give you this.\Sorry they're not new, they were mine before.\Aren't these... trumpet-\Wonderful! Wonderful! Wonderful!\Thank you very much!\Your bugling's gotten a lot better recently, you know.\It's a reward for practicing so hard.\And with those, you won't fall asleep. response:	And...
context: Sorry they're not new, they were mine before.\Aren't these... trumpet-\Wonderful! Wonderful! Wonderful!\Thank you very much!\Your bugling's gotten a lot better recently, you know.\It's a reward for practicing so hard.\And with those, you won't fall asleep.\And... response:	This is C...
context: Aren't these... trumpet-\Wonderful! Wonderful! Wonderful!\Thank you very much!\Your bugling's gotten a lot better recently, you know.\It's a reward for practicing so hard.\And with those, you won't fall asleep.\And...\This is C... response:	I guess summer's just about over.
context: Wonderful! Wonderful! Wonderful!\Thank you very much!\Your bugling's gotten a lot better recently, you know.\It's a reward for practicing so hard.\And with those, you won't fall asleep.\And...\This is C...\I guess summer's just about over. response:	Iliya?
context: Thank you very much!\Your bugling's gotten a lot better recently, you know.\It's a reward for practicing so hard.\And with those, you won't fall asleep.\And...\This is C...\I guess summer's just about over.\Iliya? response:	Maybe I drank too much.
context: Your bugling's gotten a lot better recently, you know.\It's a reward for practicing so hard.\And with those, you won't fall asleep.\And...\This is C...\I guess summer's just about over.\Iliya?\Maybe I drank too much. response:	Noel! Are you there?
context: It's a reward for practicing so hard.\And with those, you won't fall asleep.\And...\This is C...\I guess summer's just about over.\Iliya?\Maybe I drank too much.\Noel! Are you there? response:	It's raining! The laundry is getting wet!
context: And with those, you won't fall asleep.\And...\This is C...\I guess summer's just about over.\Iliya?\Maybe I drank too much.\Noel! Are you there?\It's raining! The laundry is getting wet! response:	The courtyard is within the field of operations!
context: And...\This is C...\I guess summer's just about over.\Iliya?\Maybe I drank too much.\Noel! Are you there?\It's raining! The laundry is getting wet!\The courtyard is within the field of operations! response:	Kanata!
context: This is C...\I guess summer's just about over.\Iliya?\Maybe I drank too much.\Noel! Are you there?\It's raining! The laundry is getting wet!\The courtyard is within the field of operations!\Kanata! response:	Come out to play!
context: I guess summer's just about over.\Iliya?\Maybe I drank too much.\Noel! Are you there?\It's raining! The laundry is getting wet!\The courtyard is within the field of operations!\Kanata!\Come out to play! response:	Coming!
context: Iliya?\Maybe I drank too much.\Noel! Are you there?\It's raining! The laundry is getting wet!\The courtyard is within the field of operations!\Kanata!\Come out to play!\Coming! response:	Kanata!
context: Maybe I drank too much.\Noel! Are you there?\It's raining! The laundry is getting wet!\The courtyard is within the field of operations!\Kanata!\Come out to play!\Coming!\Kanata! response:	Come out to play!
context: Noel! Are you there?\It's raining! The laundry is getting wet!\The courtyard is within the field of operations!\Kanata!\Come out to play!\Coming!\Kanata!\Come out to play! response:	Help me!
context: It's raining! The laundry is getting wet!\The courtyard is within the field of operations!\Kanata!\Come out to play!\Coming!\Kanata!\Come out to play!\Help me! response:	Sound of the Skies
context: The courtyard is within the field of operations!\Kanata!\Come out to play!\Coming!\Kanata!\Come out to play!\Help me!\Sound of the Skies response:	Sound of the Skies
context: Kanata!\Come out to play!\Coming!\Kanata!\Come out to play!\Help me!\Sound of the Skies\Sound of the Skies response:	Thank you so much.
context: Come out to play!\Coming!\Kanata!\Come out to play!\Help me!\Sound of the Skies\Sound of the Skies\Thank you so much. response:	No, I'm glad that your laundry is fine.
context: Coming!\Kanata!\Come out to play!\Help me!\Sound of the Skies\Sound of the Skies\Thank you so much.\No, I'm glad that your laundry is fine. response:	So am- I mean-
context: Kanata!\Come out to play!\Help me!\Sound of the Skies\Sound of the Skies\Thank you so much.\No, I'm glad that your laundry is fine.\So am- I mean- response:	Sorry to make you help me after you came all this way!
context: Come out to play!\Help me!\Sound of the Skies\Sound of the Skies\Thank you so much.\No, I'm glad that your laundry is fine.\So am- I mean-\Sorry to make you help me after you came all this way! response:	Oh, not at all. I'm sorry for the sudden visit.
context: Help me!\Sound of the Skies\Sound of the Skies\Thank you so much.\No, I'm glad that your laundry is fine.\So am- I mean-\Sorry to make you help me after you came all this way!\Oh, not at all. I'm sorry for the sudden visit. response:	I must return to Treize tomorrow, so I came to say goodbye.
context: Sound of the Skies\Sound of the Skies\Thank you so much.\No, I'm glad that your laundry is fine.\So am- I mean-\Sorry to make you help me after you came all this way!\Oh, not at all. I'm sorry for the sudden visit.\I must return to Treize tomorrow, so I came to say goodbye. response:	It's an honor, Father...
context: Sound of the Skies\Thank you so much.\No, I'm glad that your laundry is fine.\So am- I mean-\Sorry to make you help me after you came all this way!\Oh, not at all. I'm sorry for the sudden visit.\I must return to Treize tomorrow, so I came to say goodbye.\It's an honor, Father... response:	Even though soldiers don't need goodbyes.
context: Thank you so much.\No, I'm glad that your laundry is fine.\So am- I mean-\Sorry to make you help me after you came all this way!\Oh, not at all. I'm sorry for the sudden visit.\I must return to Treize tomorrow, so I came to say goodbye.\It's an honor, Father...\Even though soldiers don't need goodbyes. response:	That's not true at all, Seiya.
context: No, I'm glad that your laundry is fine.\So am- I mean-\Sorry to make you help me after you came all this way!\Oh, not at all. I'm sorry for the sudden visit.\I must return to Treize tomorrow, so I came to say goodbye.\It's an honor, Father...\Even though soldiers don't need goodbyes.\That's not true at all, Seiya. response:	I've heard that Seiya has been disrespectful to you in the past.
context: So am- I mean-\Sorry to make you help me after you came all this way!\Oh, not at all. I'm sorry for the sudden visit.\I must return to Treize tomorrow, so I came to say goodbye.\It's an honor, Father...\Even though soldiers don't need goodbyes.\That's not true at all, Seiya.\I've heard that Seiya has been disrespectful to you in the past. response:	I thought I would apologize for that as well.
context: Sorry to make you help me after you came all this way!\Oh, not at all. I'm sorry for the sudden visit.\I must return to Treize tomorrow, so I came to say goodbye.\It's an honor, Father...\Even though soldiers don't need goodbyes.\That's not true at all, Seiya.\I've heard that Seiya has been disrespectful to you in the past.\I thought I would apologize for that as well. response:	Are the others home?
context: Oh, not at all. I'm sorry for the sudden visit.\I must return to Treize tomorrow, so I came to say goodbye.\It's an honor, Father...\Even though soldiers don't need goodbyes.\That's not true at all, Seiya.\I've heard that Seiya has been disrespectful to you in the past.\I thought I would apologize for that as well.\Are the others home? response:	They're all out at the moment.
context: I must return to Treize tomorrow, so I came to say goodbye.\It's an honor, Father...\Even though soldiers don't need goodbyes.\That's not true at all, Seiya.\I've heard that Seiya has been disrespectful to you in the past.\I thought I would apologize for that as well.\Are the others home?\They're all out at the moment. response:	Was it... Rio? And the black-haired one?
context: It's an honor, Father...\Even though soldiers don't need goodbyes.\That's not true at all, Seiya.\I've heard that Seiya has been disrespectful to you in the past.\I thought I would apologize for that as well.\Are the others home?\They're all out at the moment.\Was it... Rio? And the black-haired one? response:	Yes.
context: Even though soldiers don't need goodbyes.\That's not true at all, Seiya.\I've heard that Seiya has been disrespectful to you in the past.\I thought I would apologize for that as well.\Are the others home?\They're all out at the moment.\Was it... Rio? And the black-haired one?\Yes. response:	I see.
context: That's not true at all, Seiya.\I've heard that Seiya has been disrespectful to you in the past.\I thought I would apologize for that as well.\Are the others home?\They're all out at the moment.\Was it... Rio? And the black-haired one?\Yes.\I see. response:	I would have liked to pay my-
context: I've heard that Seiya has been disrespectful to you in the past.\I thought I would apologize for that as well.\Are the others home?\They're all out at the moment.\Was it... Rio? And the black-haired one?\Yes.\I see.\I would have liked to pay my- response:	Oh, is this book... yours?
context: I thought I would apologize for that as well.\Are the others home?\They're all out at the moment.\Was it... Rio? And the black-haired one?\Yes.\I see.\I would have liked to pay my-\Oh, is this book... yours? response:	What is it?
context: Are the others home?\They're all out at the moment.\Was it... Rio? And the black-haired one?\Yes.\I see.\I would have liked to pay my-\Oh, is this book... yours?\What is it? response:	It's a book for the trumpet.
context: They're all out at the moment.\Was it... Rio? And the black-haired one?\Yes.\I see.\I would have liked to pay my-\Oh, is this book... yours?\What is it?\It's a book for the trumpet. response:	Rio gave it to me.
context: Was it... Rio? And the black-haired one?\Yes.\I see.\I would have liked to pay my-\Oh, is this book... yours?\What is it?\It's a book for the trumpet.\Rio gave it to me. response:	I see. I thought so.
context: Yes.\I see.\I would have liked to pay my-\Oh, is this book... yours?\What is it?\It's a book for the trumpet.\Rio gave it to me.\I see. I thought so. response:	Oh, no. I'm sorry. I was just talking to myself.
context: I see.\I would have liked to pay my-\Oh, is this book... yours?\What is it?\It's a book for the trumpet.\Rio gave it to me.\I see. I thought so.\Oh, no. I'm sorry. I was just talking to myself. response:	Are you here alone?
context: I would have liked to pay my-\Oh, is this book... yours?\What is it?\It's a book for the trumpet.\Rio gave it to me.\I see. I thought so.\Oh, no. I'm sorry. I was just talking to myself.\Are you here alone? response:	That's right.
context: Oh, is this book... yours?\What is it?\It's a book for the trumpet.\Rio gave it to me.\I see. I thought so.\Oh, no. I'm sorry. I was just talking to myself.\Are you here alone?\That's right. response:	I'm on a...
context: What is it?\It's a book for the trumpet.\Rio gave it to me.\I see. I thought so.\Oh, no. I'm sorry. I was just talking to myself.\Are you here alone?\That's right.\I'm on a... response:	Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission
context: It's a book for the trumpet.\Rio gave it to me.\I see. I thought so.\Oh, no. I'm sorry. I was just talking to myself.\Are you here alone?\That's right.\I'm on a...\Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission response:	right now.
context: Rio gave it to me.\I see. I thought so.\Oh, no. I'm sorry. I was just talking to myself.\Are you here alone?\That's right.\I'm on a...\Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission\right now. response:	In other words,
context: I see. I thought so.\Oh, no. I'm sorry. I was just talking to myself.\Are you here alone?\That's right.\I'm on a...\Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission\right now.\In other words, response:	you're waiting for this to ring?
context: Oh, no. I'm sorry. I was just talking to myself.\Are you here alone?\That's right.\I'm on a...\Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission\right now.\In other words,\you're waiting for this to ring? response:	Yes.
context: Are you here alone?\That's right.\I'm on a...\Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission\right now.\In other words,\you're waiting for this to ring?\Yes. response:	But I've never used one before.
context: That's right.\I'm on a...\Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission\right now.\In other words,\you're waiting for this to ring?\Yes.\But I've never used one before. response:	I'm kind of nervous.
context: I'm on a...\Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission\right now.\In other words,\you're waiting for this to ring?\Yes.\But I've never used one before.\I'm kind of nervous. response:	Like whether I can speak properly.
context: Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission\right now.\In other words,\you're waiting for this to ring?\Yes.\But I've never used one before.\I'm kind of nervous.\Like whether I can speak properly. response:	Then would you like to practice?
context: right now.\In other words,\you're waiting for this to ring?\Yes.\But I've never used one before.\I'm kind of nervous.\Like whether I can speak properly.\Then would you like to practice? response:	So Sister Yumina is attending the guild meeting too?
context: In other words,\you're waiting for this to ring?\Yes.\But I've never used one before.\I'm kind of nervous.\Like whether I can speak properly.\Then would you like to practice?\So Sister Yumina is attending the guild meeting too? response:	Yes, she's gone to collect donations from the members of the guild.
context: you're waiting for this to ring?\Yes.\But I've never used one before.\I'm kind of nervous.\Like whether I can speak properly.\Then would you like to practice?\So Sister Yumina is attending the guild meeting too?\Yes, she's gone to collect donations from the members of the guild. response:	Here you go. Drink up.
context: Yes.\But I've never used one before.\I'm kind of nervous.\Like whether I can speak properly.\Then would you like to practice?\So Sister Yumina is attending the guild meeting too?\Yes, she's gone to collect donations from the members of the guild.\Here you go. Drink up. response:	Yummy!
context: But I've never used one before.\I'm kind of nervous.\Like whether I can speak properly.\Then would you like to practice?\So Sister Yumina is attending the guild meeting too?\Yes, she's gone to collect donations from the members of the guild.\Here you go. Drink up.\Yummy! response:	Isn't it? Drink up, Seiya.
context: I'm kind of nervous.\Like whether I can speak properly.\Then would you like to practice?\So Sister Yumina is attending the guild meeting too?\Yes, she's gone to collect donations from the members of the guild.\Here you go. Drink up.\Yummy!\Isn't it? Drink up, Seiya. response:	Fine, I'll drink your stupid cider, but don't think I'll like you any more for it.
context: Like whether I can speak properly.\Then would you like to practice?\So Sister Yumina is attending the guild meeting too?\Yes, she's gone to collect donations from the members of the guild.\Here you go. Drink up.\Yummy!\Isn't it? Drink up, Seiya.\Fine, I'll drink your stupid cider, but don't think I'll like you any more for it. response:	What are you making?
context: Then would you like to practice?\So Sister Yumina is attending the guild meeting too?\Yes, she's gone to collect donations from the members of the guild.\Here you go. Drink up.\Yummy!\Isn't it? Drink up, Seiya.\Fine, I'll drink your stupid cider, but don't think I'll like you any more for it.\What are you making? response:	Do you two know?
context: So Sister Yumina is attending the guild meeting too?\Yes, she's gone to collect donations from the members of the guild.\Here you go. Drink up.\Yummy!\Isn't it? Drink up, Seiya.\Fine, I'll drink your stupid cider, but don't think I'll like you any more for it.\What are you making?\Do you two know? response:	A phone!
context: Yes, she's gone to collect donations from the members of the guild.\Here you go. Drink up.\Yummy!\Isn't it? Drink up, Seiya.\Fine, I'll drink your stupid cider, but don't think I'll like you any more for it.\What are you making?\Do you two know?\A phone! response:	Is this really the same?
context: Here you go. Drink up.\Yummy!\Isn't it? Drink up, Seiya.\Fine, I'll drink your stupid cider, but don't think I'll like you any more for it.\What are you making?\Do you two know?\A phone!\Is this really the same? response:	It is. It's a phone.
context: Yummy!\Isn't it? Drink up, Seiya.\Fine, I'll drink your stupid cider, but don't think I'll like you any more for it.\What are you making?\Do you two know?\A phone!\Is this really the same?\It is. It's a phone. response:	The kids love them, so sometimes I make them.
context: Isn't it? Drink up, Seiya.\Fine, I'll drink your stupid cider, but don't think I'll like you any more for it.\What are you making?\Do you two know?\A phone!\Is this really the same?\It is. It's a phone.\The kids love them, so sometimes I make them. response:	Go ahead, Seiya.
context: Fine, I'll drink your stupid cider, but don't think I'll like you any more for it.\What are you making?\Do you two know?\A phone!\Is this really the same?\It is. It's a phone.\The kids love them, so sometimes I make them.\Go ahead, Seiya. response:	A phone...
