context: The second group of instructors is here. response:	The summer training camp is going well.
context: Um, ten measures is... about twenty seconds?\Let's go with what we agreed on.\It'll be fine. I can do this.\Yesterday, we spent all day talking, instead of going into the dungeon.\Now I know all their skills...\And how they best work together.\Even I spent a lot of my valuable time\listening to what they had to say. response:	This has to work!
context: Let's go with what we agreed on.\It'll be fine. I can do this.\Yesterday, we spent all day talking, instead of going into the dungeon.\Now I know all their skills...\And how they best work together.\Even I spent a lot of my valuable time\listening to what they had to say.\This has to work! response:	All that's left is to combine those techniques.
context: It'll be fine. I can do this.\Yesterday, we spent all day talking, instead of going into the dungeon.\Now I know all their skills...\And how they best work together.\Even I spent a lot of my valuable time\listening to what they had to say.\This has to work!\All that's left is to combine those techniques. response:	Formation, operator, field monitor, patrol file...
context: Yesterday, we spent all day talking, instead of going into the dungeon.\Now I know all their skills...\And how they best work together.\Even I spent a lot of my valuable time\listening to what they had to say.\This has to work!\All that's left is to combine those techniques.\Formation, operator, field monitor, patrol file... response:	Memorize the basics of party combat I just explained.
context: Now I know all their skills...\And how they best work together.\Even I spent a lot of my valuable time\listening to what they had to say.\This has to work!\All that's left is to combine those techniques.\Formation, operator, field monitor, patrol file...\Memorize the basics of party combat I just explained. response:	I have it in my head...
context: And how they best work together.\Even I spent a lot of my valuable time\listening to what they had to say.\This has to work!\All that's left is to combine those techniques.\Formation, operator, field monitor, patrol file...\Memorize the basics of party combat I just explained.\I have it in my head... response:	But what, exactly, am I supposed to do with it?
context: Even I spent a lot of my valuable time\listening to what they had to say.\This has to work!\All that's left is to combine those techniques.\Formation, operator, field monitor, patrol file...\Memorize the basics of party combat I just explained.\I have it in my head...\But what, exactly, am I supposed to do with it? response:	Well, basically...
context: listening to what they had to say.\This has to work!\All that's left is to combine those techniques.\Formation, operator, field monitor, patrol file...\Memorize the basics of party combat I just explained.\I have it in my head...\But what, exactly, am I supposed to do with it?\Well, basically... response:	They're here!
context: This has to work!\All that's left is to combine those techniques.\Formation, operator, field monitor, patrol file...\Memorize the basics of party combat I just explained.\I have it in my head...\But what, exactly, am I supposed to do with it?\Well, basically...\They're here! response:	Lightning Slash!
context: All that's left is to combine those techniques.\Formation, operator, field monitor, patrol file...\Memorize the basics of party combat I just explained.\I have it in my head...\But what, exactly, am I supposed to do with it?\Well, basically...\They're here!\Lightning Slash! response:	The first thing you should consider is our formation.
context: Formation, operator, field monitor, patrol file...\Memorize the basics of party combat I just explained.\I have it in my head...\But what, exactly, am I supposed to do with it?\Well, basically...\They're here!\Lightning Slash!\The first thing you should consider is our formation. response:	The basic idea is that our front line fighter, our samurai,
context: Memorize the basics of party combat I just explained.\I have it in my head...\But what, exactly, am I supposed to do with it?\Well, basically...\They're here!\Lightning Slash!\The first thing you should consider is our formation.\The basic idea is that our front line fighter, our samurai, response:	will draw the enemy's attacks.
context: I have it in my head...\But what, exactly, am I supposed to do with it?\Well, basically...\They're here!\Lightning Slash!\The first thing you should consider is our formation.\The basic idea is that our front line fighter, our samurai,\will draw the enemy's attacks. response:	But for that to work, we'll need everyone's help.
context: But what, exactly, am I supposed to do with it?\Well, basically...\They're here!\Lightning Slash!\The first thing you should consider is our formation.\The basic idea is that our front line fighter, our samurai,\will draw the enemy's attacks.\But for that to work, we'll need everyone's help. response:	Take care of them!
context: Well, basically...\They're here!\Lightning Slash!\The first thing you should consider is our formation.\The basic idea is that our front line fighter, our samurai,\will draw the enemy's attacks.\But for that to work, we'll need everyone's help.\Take care of them! response:	Get back.
context: They're here!\Lightning Slash!\The first thing you should consider is our formation.\The basic idea is that our front line fighter, our samurai,\will draw the enemy's attacks.\But for that to work, we'll need everyone's help.\Take care of them!\Get back. response:	I have more appropriate spells than Orb of Lava for dealing with you alone.
context: Lightning Slash!\The first thing you should consider is our formation.\The basic idea is that our front line fighter, our samurai,\will draw the enemy's attacks.\But for that to work, we'll need everyone's help.\Take care of them!\Get back.\I have more appropriate spells than Orb of Lava for dealing with you alone. response:	Taste the sorcerer's elegant magics...
context: The first thing you should consider is our formation.\The basic idea is that our front line fighter, our samurai,\will draw the enemy's attacks.\But for that to work, we'll need everyone's help.\Take care of them!\Get back.\I have more appropriate spells than Orb of Lava for dealing with you alone.\Taste the sorcerer's elegant magics... response:	Lightning Chamber!
context: The basic idea is that our front line fighter, our samurai,\will draw the enemy's attacks.\But for that to work, we'll need everyone's help.\Take care of them!\Get back.\I have more appropriate spells than Orb of Lava for dealing with you alone.\Taste the sorcerer's elegant magics...\Lightning Chamber! response:	Okay!
context: will draw the enemy's attacks.\But for that to work, we'll need everyone's help.\Take care of them!\Get back.\I have more appropriate spells than Orb of Lava for dealing with you alone.\Taste the sorcerer's elegant magics...\Lightning Chamber!\Okay! response:	Why, you...
context: But for that to work, we'll need everyone's help.\Take care of them!\Get back.\I have more appropriate spells than Orb of Lava for dealing with you alone.\Taste the sorcerer's elegant magics...\Lightning Chamber!\Okay!\Why, you... response:	Tohya Race/ Human Samurai, Lv. 30 Log Horizon
context: Take care of them!\Get back.\I have more appropriate spells than Orb of Lava for dealing with you alone.\Taste the sorcerer's elegant magics...\Lightning Chamber!\Okay!\Why, you...\Tohya Race/ Human Samurai, Lv. 30 Log Horizon response:	His HP is at 64.
context: Get back.\I have more appropriate spells than Orb of Lava for dealing with you alone.\Taste the sorcerer's elegant magics...\Lightning Chamber!\Okay!\Why, you...\Tohya Race/ Human Samurai, Lv. 30 Log Horizon\His HP is at 64. response:	Healing!
context: I have more appropriate spells than Orb of Lava for dealing with you alone.\Taste the sorcerer's elegant magics...\Lightning Chamber!\Okay!\Why, you...\Tohya Race/ Human Samurai, Lv. 30 Log Horizon\His HP is at 64.\Healing! response:	The next role to keep in mind is the operator.
context: Taste the sorcerer's elegant magics...\Lightning Chamber!\Okay!\Why, you...\Tohya Race/ Human Samurai, Lv. 30 Log Horizon\His HP is at 64.\Healing!\The next role to keep in mind is the operator. response:	It's their job to monitor everyone's status,
context: Lightning Chamber!\Okay!\Why, you...\Tohya Race/ Human Samurai, Lv. 30 Log Horizon\His HP is at 64.\Healing!\The next role to keep in mind is the operator.\It's their job to monitor everyone's status, response:	but it's a waste for both Serara and me to heal at the same time,
context: Okay!\Why, you...\Tohya Race/ Human Samurai, Lv. 30 Log Horizon\His HP is at 64.\Healing!\The next role to keep in mind is the operator.\It's their job to monitor everyone's status,\but it's a waste for both Serara and me to heal at the same time, response:	Tohya Race/ Human Samurai, Lv. 30 Log Horizon
context: Why, you...\Tohya Race/ Human Samurai, Lv. 30 Log Horizon\His HP is at 64.\Healing!\The next role to keep in mind is the operator.\It's their job to monitor everyone's status,\but it's a waste for both Serara and me to heal at the same time,\Tohya Race/ Human Samurai, Lv. 30 Log Horizon response:	so most of the time, I'll leave it to Serara.
context: Tohya Race/ Human Samurai, Lv. 30 Log Horizon\His HP is at 64.\Healing!\The next role to keep in mind is the operator.\It's their job to monitor everyone's status,\but it's a waste for both Serara and me to heal at the same time,\Tohya Race/ Human Samurai, Lv. 30 Log Horizon\so most of the time, I'll leave it to Serara. response:	Thank you, Serara!
context: His HP is at 64.\Healing!\The next role to keep in mind is the operator.\It's their job to monitor everyone's status,\but it's a waste for both Serara and me to heal at the same time,\Tohya Race/ Human Samurai, Lv. 30 Log Horizon\so most of the time, I'll leave it to Serara.\Thank you, Serara! response:	It's starting to hurt, but...
context: Healing!\The next role to keep in mind is the operator.\It's their job to monitor everyone's status,\but it's a waste for both Serara and me to heal at the same time,\Tohya Race/ Human Samurai, Lv. 30 Log Horizon\so most of the time, I'll leave it to Serara.\Thank you, Serara!\It's starting to hurt, but... response:	The job of a front-line tank is to absorb all the enemy hits,
context: The next role to keep in mind is the operator.\It's their job to monitor everyone's status,\but it's a waste for both Serara and me to heal at the same time,\Tohya Race/ Human Samurai, Lv. 30 Log Horizon\so most of the time, I'll leave it to Serara.\Thank you, Serara!\It's starting to hurt, but...\The job of a front-line tank is to absorb all the enemy hits, response:	and to trust his companions.
context: It's their job to monitor everyone's status,\but it's a waste for both Serara and me to heal at the same time,\Tohya Race/ Human Samurai, Lv. 30 Log Horizon\so most of the time, I'll leave it to Serara.\Thank you, Serara!\It's starting to hurt, but...\The job of a front-line tank is to absorb all the enemy hits,\and to trust his companions. response:	Tohya,
context: but it's a waste for both Serara and me to heal at the same time,\Tohya Race/ Human Samurai, Lv. 30 Log Horizon\so most of the time, I'll leave it to Serara.\Thank you, Serara!\It's starting to hurt, but...\The job of a front-line tank is to absorb all the enemy hits,\and to trust his companions.\Tohya, response:	as a man, you must promise to do that!
context: Tohya Race/ Human Samurai, Lv. 30 Log Horizon\so most of the time, I'll leave it to Serara.\Thank you, Serara!\It's starting to hurt, but...\The job of a front-line tank is to absorb all the enemy hits,\and to trust his companions.\Tohya,\as a man, you must promise to do that! response:	I know that, Master Naotsugu.
context: so most of the time, I'll leave it to Serara.\Thank you, Serara!\It's starting to hurt, but...\The job of a front-line tank is to absorb all the enemy hits,\and to trust his companions.\Tohya,\as a man, you must promise to do that!\I know that, Master Naotsugu. response:	Now, come and get me!
context: Thank you, Serara!\It's starting to hurt, but...\The job of a front-line tank is to absorb all the enemy hits,\and to trust his companions.\Tohya,\as a man, you must promise to do that!\I know that, Master Naotsugu.\Now, come and get me! response:	Samurai's Challenge!
context: It's starting to hurt, but...\The job of a front-line tank is to absorb all the enemy hits,\and to trust his companions.\Tohya,\as a man, you must promise to do that!\I know that, Master Naotsugu.\Now, come and get me!\Samurai's Challenge! response:	Minori, keep an eye out.
context: The job of a front-line tank is to absorb all the enemy hits,\and to trust his companions.\Tohya,\as a man, you must promise to do that!\I know that, Master Naotsugu.\Now, come and get me!\Samurai's Challenge!\Minori, keep an eye out. response:	Isuzu and Rudy, get ready to attack!
context: and to trust his companions.\Tohya,\as a man, you must promise to do that!\I know that, Master Naotsugu.\Now, come and get me!\Samurai's Challenge!\Minori, keep an eye out.\Isuzu and Rudy, get ready to attack! response:	Right!
context: Tohya,\as a man, you must promise to do that!\I know that, Master Naotsugu.\Now, come and get me!\Samurai's Challenge!\Minori, keep an eye out.\Isuzu and Rudy, get ready to attack!\Right! response:	Yeah.
context: as a man, you must promise to do that!\I know that, Master Naotsugu.\Now, come and get me!\Samurai's Challenge!\Minori, keep an eye out.\Isuzu and Rudy, get ready to attack!\Right!\Yeah. response:	I'll be the field monitor.
context: I know that, Master Naotsugu.\Now, come and get me!\Samurai's Challenge!\Minori, keep an eye out.\Isuzu and Rudy, get ready to attack!\Right!\Yeah.\I'll be the field monitor. response:	My job is to monitor the area
context: Now, come and get me!\Samurai's Challenge!\Minori, keep an eye out.\Isuzu and Rudy, get ready to attack!\Right!\Yeah.\I'll be the field monitor.\My job is to monitor the area response:	and tell you if reinforcements or enemy patrols are coming.
context: Samurai's Challenge!\Minori, keep an eye out.\Isuzu and Rudy, get ready to attack!\Right!\Yeah.\I'll be the field monitor.\My job is to monitor the area\and tell you if reinforcements or enemy patrols are coming. response:	That lets the attackers concentrate on fighting.
context: Minori, keep an eye out.\Isuzu and Rudy, get ready to attack!\Right!\Yeah.\I'll be the field monitor.\My job is to monitor the area\and tell you if reinforcements or enemy patrols are coming.\That lets the attackers concentrate on fighting. response:	Checking the corridor!
context: Isuzu and Rudy, get ready to attack!\Right!\Yeah.\I'll be the field monitor.\My job is to monitor the area\and tell you if reinforcements or enemy patrols are coming.\That lets the attackers concentrate on fighting.\Checking the corridor! response:	No enemy patrols in sight!
context: Right!\Yeah.\I'll be the field monitor.\My job is to monitor the area\and tell you if reinforcements or enemy patrols are coming.\That lets the attackers concentrate on fighting.\Checking the corridor!\No enemy patrols in sight! response:	All clear.
context: Yeah.\I'll be the field monitor.\My job is to monitor the area\and tell you if reinforcements or enemy patrols are coming.\That lets the attackers concentrate on fighting.\Checking the corridor!\No enemy patrols in sight!\All clear. response:	Get them!
context: I'll be the field monitor.\My job is to monitor the area\and tell you if reinforcements or enemy patrols are coming.\That lets the attackers concentrate on fighting.\Checking the corridor!\No enemy patrols in sight!\All clear.\Get them! response:	Are they all good and mad now?
context: My job is to monitor the area\and tell you if reinforcements or enemy patrols are coming.\That lets the attackers concentrate on fighting.\Checking the corridor!\No enemy patrols in sight!\All clear.\Get them!\Are they all good and mad now? response:	Yeah... I had time
context: and tell you if reinforcements or enemy patrols are coming.\That lets the attackers concentrate on fighting.\Checking the corridor!\No enemy patrols in sight!\All clear.\Get them!\Are they all good and mad now?\Yeah... I had time response:	to use Samurai's Challenge twice on each.
context: That lets the attackers concentrate on fighting.\Checking the corridor!\No enemy patrols in sight!\All clear.\Get them!\Are they all good and mad now?\Yeah... I had time\to use Samurai's Challenge twice on each. response:	They won't get to you easily now, Rudy!
context: Checking the corridor!\No enemy patrols in sight!\All clear.\Get them!\Are they all good and mad now?\Yeah... I had time\to use Samurai's Challenge twice on each.\They won't get to you easily now, Rudy! response:	That's a load off my mind, then.
context: No enemy patrols in sight!\All clear.\Get them!\Are they all good and mad now?\Yeah... I had time\to use Samurai's Challenge twice on each.\They won't get to you easily now, Rudy!\That's a load off my mind, then. response:	Resonance Beat!
context: All clear.\Get them!\Are they all good and mad now?\Yeah... I had time\to use Samurai's Challenge twice on each.\They won't get to you easily now, Rudy!\That's a load off my mind, then.\Resonance Beat! response:	Orb of Lava!
context: Get them!\Are they all good and mad now?\Yeah... I had time\to use Samurai's Challenge twice on each.\They won't get to you easily now, Rudy!\That's a load off my mind, then.\Resonance Beat!\Orb of Lava! response:	Return to the darkness from whence you came!
context: Are they all good and mad now?\Yeah... I had time\to use Samurai's Challenge twice on each.\They won't get to you easily now, Rudy!\That's a load off my mind, then.\Resonance Beat!\Orb of Lava!\Return to the darkness from whence you came! response:	Wow.
context: Yeah... I had time\to use Samurai's Challenge twice on each.\They won't get to you easily now, Rudy!\That's a load off my mind, then.\Resonance Beat!\Orb of Lava!\Return to the darkness from whence you came!\Wow. response:	Frigid Wind!
context: to use Samurai's Challenge twice on each.\They won't get to you easily now, Rudy!\That's a load off my mind, then.\Resonance Beat!\Orb of Lava!\Return to the darkness from whence you came!\Wow.\Frigid Wind! response:	Patrol file! Secure the immediate area!
context: They won't get to you easily now, Rudy!\That's a load off my mind, then.\Resonance Beat!\Orb of Lava!\Return to the darkness from whence you came!\Wow.\Frigid Wind!\Patrol file! Secure the immediate area! response:	Patrol file is a way to maintain your formation and field monitoring.
context: That's a load off my mind, then.\Resonance Beat!\Orb of Lava!\Return to the darkness from whence you came!\Wow.\Frigid Wind!\Patrol file! Secure the immediate area!\Patrol file is a way to maintain your formation and field monitoring. response:	The first and last members in line cover each other's view,
context: Resonance Beat!\Orb of Lava!\Return to the darkness from whence you came!\Wow.\Frigid Wind!\Patrol file! Secure the immediate area!\Patrol file is a way to maintain your formation and field monitoring.\The first and last members in line cover each other's view, response:	so attackers and healers can focus on their own jobs as the party moves.
context: Orb of Lava!\Return to the darkness from whence you came!\Wow.\Frigid Wind!\Patrol file! Secure the immediate area!\Patrol file is a way to maintain your formation and field monitoring.\The first and last members in line cover each other's view,\so attackers and healers can focus on their own jobs as the party moves. response:	Did we win?
context: Return to the darkness from whence you came!\Wow.\Frigid Wind!\Patrol file! Secure the immediate area!\Patrol file is a way to maintain your formation and field monitoring.\The first and last members in line cover each other's view,\so attackers and healers can focus on their own jobs as the party moves.\Did we win? response:	No one else is coming.
context: Wow.\Frigid Wind!\Patrol file! Secure the immediate area!\Patrol file is a way to maintain your formation and field monitoring.\The first and last members in line cover each other's view,\so attackers and healers can focus on their own jobs as the party moves.\Did we win?\No one else is coming. response:	This battle is over!
context: Frigid Wind!\Patrol file! Secure the immediate area!\Patrol file is a way to maintain your formation and field monitoring.\The first and last members in line cover each other's view,\so attackers and healers can focus on their own jobs as the party moves.\Did we win?\No one else is coming.\This battle is over! response:	Yahoo!
context: Patrol file! Secure the immediate area!\Patrol file is a way to maintain your formation and field monitoring.\The first and last members in line cover each other's view,\so attackers and healers can focus on their own jobs as the party moves.\Did we win?\No one else is coming.\This battle is over!\Yahoo! response:	We did it!
context: Patrol file is a way to maintain your formation and field monitoring.\The first and last members in line cover each other's view,\so attackers and healers can focus on their own jobs as the party moves.\Did we win?\No one else is coming.\This battle is over!\Yahoo!\We did it! response:	This is how it should be.
context: The first and last members in line cover each other's view,\so attackers and healers can focus on their own jobs as the party moves.\Did we win?\No one else is coming.\This battle is over!\Yahoo!\We did it!\This is how it should be. response:	Just let yourself be happy, Rudy.
context: so attackers and healers can focus on their own jobs as the party moves.\Did we win?\No one else is coming.\This battle is over!\Yahoo!\We did it!\This is how it should be.\Just let yourself be happy, Rudy. response:	I understand, Shiroe.
context: Did we win?\No one else is coming.\This battle is over!\Yahoo!\We did it!\This is how it should be.\Just let yourself be happy, Rudy.\I understand, Shiroe. response:	We just need to talk to one another and work things out.
context: No one else is coming.\This battle is over!\Yahoo!\We did it!\This is how it should be.\Just let yourself be happy, Rudy.\I understand, Shiroe.\We just need to talk to one another and work things out. response:	It's so simple, but it's more important than anything,
context: This battle is over!\Yahoo!\We did it!\This is how it should be.\Just let yourself be happy, Rudy.\I understand, Shiroe.\We just need to talk to one another and work things out.\It's so simple, but it's more important than anything, response:	in order to make members of a party become true friends.
context: Yahoo!\We did it!\This is how it should be.\Just let yourself be happy, Rudy.\I understand, Shiroe.\We just need to talk to one another and work things out.\It's so simple, but it's more important than anything,\in order to make members of a party become true friends. response:	Thanks so much!
context: We did it!\This is how it should be.\Just let yourself be happy, Rudy.\I understand, Shiroe.\We just need to talk to one another and work things out.\It's so simple, but it's more important than anything,\in order to make members of a party become true friends.\Thanks so much! response:	It's so hard to write on this world's paper.
context: This is how it should be.\Just let yourself be happy, Rudy.\I understand, Shiroe.\We just need to talk to one another and work things out.\It's so simple, but it's more important than anything,\in order to make members of a party become true friends.\Thanks so much!\It's so hard to write on this world's paper. response:	Take as much as you need.
context: Just let yourself be happy, Rudy.\I understand, Shiroe.\We just need to talk to one another and work things out.\It's so simple, but it's more important than anything,\in order to make members of a party become true friends.\Thanks so much!\It's so hard to write on this world's paper.\Take as much as you need. response:	Part of a scribe's job is making paper and ink.
context: I understand, Shiroe.\We just need to talk to one another and work things out.\It's so simple, but it's more important than anything,\in order to make members of a party become true friends.\Thanks so much!\It's so hard to write on this world's paper.\Take as much as you need.\Part of a scribe's job is making paper and ink. response:	I still need to work on the ink, though.
context: We just need to talk to one another and work things out.\It's so simple, but it's more important than anything,\in order to make members of a party become true friends.\Thanks so much!\It's so hard to write on this world's paper.\Take as much as you need.\Part of a scribe's job is making paper and ink.\I still need to work on the ink, though. response:	Oh, the stuff you gave me last time was more than sufficient.
context: It's so simple, but it's more important than anything,\in order to make members of a party become true friends.\Thanks so much!\It's so hard to write on this world's paper.\Take as much as you need.\Part of a scribe's job is making paper and ink.\I still need to work on the ink, though.\Oh, the stuff you gave me last time was more than sufficient. response:	Just being able to write with it isn't enough.
context: in order to make members of a party become true friends.\Thanks so much!\It's so hard to write on this world's paper.\Take as much as you need.\Part of a scribe's job is making paper and ink.\I still need to work on the ink, though.\Oh, the stuff you gave me last time was more than sufficient.\Just being able to write with it isn't enough. response:	When this was a game,
context: Thanks so much!\It's so hard to write on this world's paper.\Take as much as you need.\Part of a scribe's job is making paper and ink.\I still need to work on the ink, though.\Oh, the stuff you gave me last time was more than sufficient.\Just being able to write with it isn't enough.\When this was a game, response:	didn't you do any quests where maps or documents were important?
context: It's so hard to write on this world's paper.\Take as much as you need.\Part of a scribe's job is making paper and ink.\I still need to work on the ink, though.\Oh, the stuff you gave me last time was more than sufficient.\Just being able to write with it isn't enough.\When this was a game,\didn't you do any quests where maps or documents were important? response:	Come to think of it...
context: Take as much as you need.\Part of a scribe's job is making paper and ink.\I still need to work on the ink, though.\Oh, the stuff you gave me last time was more than sufficient.\Just being able to write with it isn't enough.\When this was a game,\didn't you do any quests where maps or documents were important?\Come to think of it... response:	A single document can be a magic item.
context: Part of a scribe's job is making paper and ink.\I still need to work on the ink, though.\Oh, the stuff you gave me last time was more than sufficient.\Just being able to write with it isn't enough.\When this was a game,\didn't you do any quests where maps or documents were important?\Come to think of it...\A single document can be a magic item. response:	And of course, making high-level documents requires
context: I still need to work on the ink, though.\Oh, the stuff you gave me last time was more than sufficient.\Just being able to write with it isn't enough.\When this was a game,\didn't you do any quests where maps or documents were important?\Come to think of it...\A single document can be a magic item.\And of course, making high-level documents requires response:	high-level paper and ink as ingredients.
context: Oh, the stuff you gave me last time was more than sufficient.\Just being able to write with it isn't enough.\When this was a game,\didn't you do any quests where maps or documents were important?\Come to think of it...\A single document can be a magic item.\And of course, making high-level documents requires\high-level paper and ink as ingredients. response:	So that's why...
context: Just being able to write with it isn't enough.\When this was a game,\didn't you do any quests where maps or documents were important?\Come to think of it...\A single document can be a magic item.\And of course, making high-level documents requires\high-level paper and ink as ingredients.\So that's why... response:	You're copying this map to raise your level, then?
context: When this was a game,\didn't you do any quests where maps or documents were important?\Come to think of it...\A single document can be a magic item.\And of course, making high-level documents requires\high-level paper and ink as ingredients.\So that's why...\You're copying this map to raise your level, then? response:	Actually, I need it for something.
context: didn't you do any quests where maps or documents were important?\Come to think of it...\A single document can be a magic item.\And of course, making high-level documents requires\high-level paper and ink as ingredients.\So that's why...\You're copying this map to raise your level, then?\Actually, I need it for something. response:	Maps written on papyrus and bark simply don't last long enough.
context: Come to think of it...\A single document can be a magic item.\And of course, making high-level documents requires\high-level paper and ink as ingredients.\So that's why...\You're copying this map to raise your level, then?\Actually, I need it for something.\Maps written on papyrus and bark simply don't last long enough. response:	You seem tired.
context: A single document can be a magic item.\And of course, making high-level documents requires\high-level paper and ink as ingredients.\So that's why...\You're copying this map to raise your level, then?\Actually, I need it for something.\Maps written on papyrus and bark simply don't last long enough.\You seem tired. response:	I guess making this really is a lot of work...
context: And of course, making high-level documents requires\high-level paper and ink as ingredients.\So that's why...\You're copying this map to raise your level, then?\Actually, I need it for something.\Maps written on papyrus and bark simply don't last long enough.\You seem tired.\I guess making this really is a lot of work... response:	No, that isn't why...
context: high-level paper and ink as ingredients.\So that's why...\You're copying this map to raise your level, then?\Actually, I need it for something.\Maps written on papyrus and bark simply don't last long enough.\You seem tired.\I guess making this really is a lot of work...\No, that isn't why... response:	I mean, maybe I'm tired from that dance.
context: So that's why...\You're copying this map to raise your level, then?\Actually, I need it for something.\Maps written on papyrus and bark simply don't last long enough.\You seem tired.\I guess making this really is a lot of work...\No, that isn't why...\I mean, maybe I'm tired from that dance. response:	Ah, then shall we practice, so that it'll be easier for you next time?
context: You're copying this map to raise your level, then?\Actually, I need it for something.\Maps written on papyrus and bark simply don't last long enough.\You seem tired.\I guess making this really is a lot of work...\No, that isn't why...\I mean, maybe I'm tired from that dance.\Ah, then shall we practice, so that it'll be easier for you next time? response:	No, I'd rather not.
context: Actually, I need it for something.\Maps written on papyrus and bark simply don't last long enough.\You seem tired.\I guess making this really is a lot of work...\No, that isn't why...\I mean, maybe I'm tired from that dance.\Ah, then shall we practice, so that it'll be easier for you next time?\No, I'd rather not. response:	Any time you want to, just let me know.
context: Maps written on papyrus and bark simply don't last long enough.\You seem tired.\I guess making this really is a lot of work...\No, that isn't why...\I mean, maybe I'm tired from that dance.\Ah, then shall we practice, so that it'll be easier for you next time?\No, I'd rather not.\Any time you want to, just let me know. response:	Thank you for these.
context: You seem tired.\I guess making this really is a lot of work...\No, that isn't why...\I mean, maybe I'm tired from that dance.\Ah, then shall we practice, so that it'll be easier for you next time?\No, I'd rather not.\Any time you want to, just let me know.\Thank you for these. response:	I look tired, huh?
context: I guess making this really is a lot of work...\No, that isn't why...\I mean, maybe I'm tired from that dance.\Ah, then shall we practice, so that it'll be easier for you next time?\No, I'd rather not.\Any time you want to, just let me know.\Thank you for these.\I look tired, huh? response:	Maybe she's right.
context: No, that isn't why...\I mean, maybe I'm tired from that dance.\Ah, then shall we practice, so that it'll be easier for you next time?\No, I'd rather not.\Any time you want to, just let me know.\Thank you for these.\I look tired, huh?\Maybe she's right. response:	I'm thinking too much about the wrong things.
context: I mean, maybe I'm tired from that dance.\Ah, then shall we practice, so that it'll be easier for you next time?\No, I'd rather not.\Any time you want to, just let me know.\Thank you for these.\I look tired, huh?\Maybe she's right.\I'm thinking too much about the wrong things. response:	Every time we die in this world, we lose our memories.
context: Ah, then shall we practice, so that it'll be easier for you next time?\No, I'd rather not.\Any time you want to, just let me know.\Thank you for these.\I look tired, huh?\Maybe she's right.\I'm thinking too much about the wrong things.\Every time we die in this world, we lose our memories. response:	Is it possible that we'll forget the real world?
context: No, I'd rather not.\Any time you want to, just let me know.\Thank you for these.\I look tired, huh?\Maybe she's right.\I'm thinking too much about the wrong things.\Every time we die in this world, we lose our memories.\Is it possible that we'll forget the real world? response:	There's so much we don't know about this world.
context: Any time you want to, just let me know.\Thank you for these.\I look tired, huh?\Maybe she's right.\I'm thinking too much about the wrong things.\Every time we die in this world, we lose our memories.\Is it possible that we'll forget the real world?\There's so much we don't know about this world. response:	We don't even know what we should do from here on...
context: Thank you for these.\I look tired, huh?\Maybe she's right.\I'm thinking too much about the wrong things.\Every time we die in this world, we lose our memories.\Is it possible that we'll forget the real world?\There's so much we don't know about this world.\We don't even know what we should do from here on... response:	Good evening, Shiroe!
context: I look tired, huh?\Maybe she's right.\I'm thinking too much about the wrong things.\Every time we die in this world, we lose our memories.\Is it possible that we'll forget the real world?\There's so much we don't know about this world.\We don't even know what we should do from here on...\Good evening, Shiroe! response:	Hey, there.
context: Maybe she's right.\I'm thinking too much about the wrong things.\Every time we die in this world, we lose our memories.\Is it possible that we'll forget the real world?\There's so much we don't know about this world.\We don't even know what we should do from here on...\Good evening, Shiroe!\Hey, there. response:	I guess things are going well with the dungeon.
context: I'm thinking too much about the wrong things.\Every time we die in this world, we lose our memories.\Is it possible that we'll forget the real world?\There's so much we don't know about this world.\We don't even know what we should do from here on...\Good evening, Shiroe!\Hey, there.\I guess things are going well with the dungeon. response:	You can tell?
context: Every time we die in this world, we lose our memories.\Is it possible that we'll forget the real world?\There's so much we don't know about this world.\We don't even know what we should do from here on...\Good evening, Shiroe!\Hey, there.\I guess things are going well with the dungeon.\You can tell? response:	I can... By the tone of your voice.
context: Is it possible that we'll forget the real world?\There's so much we don't know about this world.\We don't even know what we should do from here on...\Good evening, Shiroe!\Hey, there.\I guess things are going well with the dungeon.\You can tell?\I can... By the tone of your voice. response:	Yeah.
context: There's so much we don't know about this world.\We don't even know what we should do from here on...\Good evening, Shiroe!\Hey, there.\I guess things are going well with the dungeon.\You can tell?\I can... By the tone of your voice.\Yeah. response:	I'll give you the report.
context: We don't even know what we should do from here on...\Good evening, Shiroe!\Hey, there.\I guess things are going well with the dungeon.\You can tell?\I can... By the tone of your voice.\Yeah.\I'll give you the report. response:	This morning, we entered the dungeon at 7:30.
context: Good evening, Shiroe!\Hey, there.\I guess things are going well with the dungeon.\You can tell?\I can... By the tone of your voice.\Yeah.\I'll give you the report.\This morning, we entered the dungeon at 7:30. response:	After around seven hours of exploration,
context: Hey, there.\I guess things are going well with the dungeon.\You can tell?\I can... By the tone of your voice.\Yeah.\I'll give you the report.\This morning, we entered the dungeon at 7:30.\After around seven hours of exploration, response:	we left at 15:00.
context: I guess things are going well with the dungeon.\You can tell?\I can... By the tone of your voice.\Yeah.\I'll give you the report.\This morning, we entered the dungeon at 7:30.\After around seven hours of exploration,\we left at 15:00. response:	We went as far as the end of the right fork,
context: You can tell?\I can... By the tone of your voice.\Yeah.\I'll give you the report.\This morning, we entered the dungeon at 7:30.\After around seven hours of exploration,\we left at 15:00.\We went as far as the end of the right fork, response:	and defeated the Burning Dead at the blast furnace.
