context: Japanese Math Science Social Studies English response:	Ichika Nino Miku Yotsuba Itsuki
context: All right, we've managed to keep them here, but now what?\You guys should get along better.\Study with us, Itsuki.\Let's take Uesugi-san's lessons together from now on.\It'll be a lot more fun with the five of us.\I think I took the wrong approach.\This suits Yotsuba a lot more than having her tell lies.\I'll think about it. response:	Here you are.
context: You guys should get along better.\Study with us, Itsuki.\Let's take Uesugi-san's lessons together from now on.\It'll be a lot more fun with the five of us.\I think I took the wrong approach.\This suits Yotsuba a lot more than having her tell lies.\I'll think about it.\Here you are. response:	I made porridge.
context: Study with us, Itsuki.\Let's take Uesugi-san's lessons together from now on.\It'll be a lot more fun with the five of us.\I think I took the wrong approach.\This suits Yotsuba a lot more than having her tell lies.\I'll think about it.\Here you are.\I made porridge. response:	Hey, whole rice.
context: Let's take Uesugi-san's lessons together from now on.\It'll be a lot more fun with the five of us.\I think I took the wrong approach.\This suits Yotsuba a lot more than having her tell lies.\I'll think about it.\Here you are.\I made porridge.\Hey, whole rice. response:	Every single grain is sparkling.
context: It'll be a lot more fun with the five of us.\I think I took the wrong approach.\This suits Yotsuba a lot more than having her tell lies.\I'll think about it.\Here you are.\I made porridge.\Hey, whole rice.\Every single grain is sparkling. response:	They must use really good rice.
context: I think I took the wrong approach.\This suits Yotsuba a lot more than having her tell lies.\I'll think about it.\Here you are.\I made porridge.\Hey, whole rice.\Every single grain is sparkling.\They must use really good rice. response:	That burns!
context: This suits Yotsuba a lot more than having her tell lies.\I'll think about it.\Here you are.\I made porridge.\Hey, whole rice.\Every single grain is sparkling.\They must use really good rice.\That burns! response:	S-Sorry, are you okay?
context: I'll think about it.\Here you are.\I made porridge.\Hey, whole rice.\Every single grain is sparkling.\They must use really good rice.\That burns!\S-Sorry, are you okay? response:	Wait, huh? He's moving around.
context: Here you are.\I made porridge.\Hey, whole rice.\Every single grain is sparkling.\They must use really good rice.\That burns!\S-Sorry, are you okay?\Wait, huh? He's moving around. response:	Looks like I'm all better now.
context: I made porridge.\Hey, whole rice.\Every single grain is sparkling.\They must use really good rice.\That burns!\S-Sorry, are you okay?\Wait, huh? He's moving around.\Looks like I'm all better now. response:	And now it's just the two of us again.
context: Hey, whole rice.\Every single grain is sparkling.\They must use really good rice.\That burns!\S-Sorry, are you okay?\Wait, huh? He's moving around.\Looks like I'm all better now.\And now it's just the two of us again. response:	We're back to where we were before the exams.
context: Every single grain is sparkling.\They must use really good rice.\That burns!\S-Sorry, are you okay?\Wait, huh? He's moving around.\Looks like I'm all better now.\And now it's just the two of us again.\We're back to where we were before the exams. response:	Are we?
context: They must use really good rice.\That burns!\S-Sorry, are you okay?\Wait, huh? He's moving around.\Looks like I'm all better now.\And now it's just the two of us again.\We're back to where we were before the exams.\Are we? response:	Haven't you noticed?
context: That burns!\S-Sorry, are you okay?\Wait, huh? He's moving around.\Looks like I'm all better now.\And now it's just the two of us again.\We're back to where we were before the exams.\Are we?\Haven't you noticed? response:	Nino didn't try to kick you out of our apartment.
context: S-Sorry, are you okay?\Wait, huh? He's moving around.\Looks like I'm all better now.\And now it's just the two of us again.\We're back to where we were before the exams.\Are we?\Haven't you noticed?\Nino didn't try to kick you out of our apartment. response:	It's just a coincidence.
context: Wait, huh? He's moving around.\Looks like I'm all better now.\And now it's just the two of us again.\We're back to where we were before the exams.\Are we?\Haven't you noticed?\Nino didn't try to kick you out of our apartment.\It's just a coincidence. response:	It's not just Nino and Itsuki, either.
context: Looks like I'm all better now.\And now it's just the two of us again.\We're back to where we were before the exams.\Are we?\Haven't you noticed?\Nino didn't try to kick you out of our apartment.\It's just a coincidence.\It's not just Nino and Itsuki, either. response:	Ichika and Miku are changing, too. Even I can tell.
context: And now it's just the two of us again.\We're back to where we were before the exams.\Are we?\Haven't you noticed?\Nino didn't try to kick you out of our apartment.\It's just a coincidence.\It's not just Nino and Itsuki, either.\Ichika and Miku are changing, too. Even I can tell. response:	I'm the only one that hasn't grown.
context: We're back to where we were before the exams.\Are we?\Haven't you noticed?\Nino didn't try to kick you out of our apartment.\It's just a coincidence.\It's not just Nino and Itsuki, either.\Ichika and Miku are changing, too. Even I can tell.\I'm the only one that hasn't grown. response:	My exam results still suck, too.
context: Are we?\Haven't you noticed?\Nino didn't try to kick you out of our apartment.\It's just a coincidence.\It's not just Nino and Itsuki, either.\Ichika and Miku are changing, too. Even I can tell.\I'm the only one that hasn't grown.\My exam results still suck, too. response:	That's not true.
context: Haven't you noticed?\Nino didn't try to kick you out of our apartment.\It's just a coincidence.\It's not just Nino and Itsuki, either.\Ichika and Miku are changing, too. Even I can tell.\I'm the only one that hasn't grown.\My exam results still suck, too.\That's not true. response:	You were the first one to change.
context: Nino didn't try to kick you out of our apartment.\It's just a coincidence.\It's not just Nino and Itsuki, either.\Ichika and Miku are changing, too. Even I can tell.\I'm the only one that hasn't grown.\My exam results still suck, too.\That's not true.\You were the first one to change. response:	I'm lucky one of you was honest and straightforward.
context: It's just a coincidence.\It's not just Nino and Itsuki, either.\Ichika and Miku are changing, too. Even I can tell.\I'm the only one that hasn't grown.\My exam results still suck, too.\That's not true.\You were the first one to change.\I'm lucky one of you was honest and straightforward. response:	Maybe I'm giving you too much credit.
context: It's not just Nino and Itsuki, either.\Ichika and Miku are changing, too. Even I can tell.\I'm the only one that hasn't grown.\My exam results still suck, too.\That's not true.\You were the first one to change.\I'm lucky one of you was honest and straightforward.\Maybe I'm giving you too much credit. response:	Especially given I got wrecked today because you're too straightforward to lie.
context: Ichika and Miku are changing, too. Even I can tell.\I'm the only one that hasn't grown.\My exam results still suck, too.\That's not true.\You were the first one to change.\I'm lucky one of you was honest and straightforward.\Maybe I'm giving you too much credit.\Especially given I got wrecked today because you're too straightforward to lie. response:	Do you know why I'm on your side?
context: I'm the only one that hasn't grown.\My exam results still suck, too.\That's not true.\You were the first one to change.\I'm lucky one of you was honest and straightforward.\Maybe I'm giving you too much credit.\Especially given I got wrecked today because you're too straightforward to lie.\Do you know why I'm on your side? response:	Say what?
context: My exam results still suck, too.\That's not true.\You were the first one to change.\I'm lucky one of you was honest and straightforward.\Maybe I'm giving you too much credit.\Especially given I got wrecked today because you're too straightforward to lie.\Do you know why I'm on your side?\Say what? response:	Because you want better grades, right?
context: That's not true.\You were the first one to change.\I'm lucky one of you was honest and straightforward.\Maybe I'm giving you too much credit.\Especially given I got wrecked today because you're too straightforward to lie.\Do you know why I'm on your side?\Say what?\Because you want better grades, right? response:	No.
context: You were the first one to change.\I'm lucky one of you was honest and straightforward.\Maybe I'm giving you too much credit.\Especially given I got wrecked today because you're too straightforward to lie.\Do you know why I'm on your side?\Say what?\Because you want better grades, right?\No. response:	Because I like you.
context: I'm lucky one of you was honest and straightforward.\Maybe I'm giving you too much credit.\Especially given I got wrecked today because you're too straightforward to lie.\Do you know why I'm on your side?\Say what?\Because you want better grades, right?\No.\Because I like you. response:	Huh?
context: Maybe I'm giving you too much credit.\Especially given I got wrecked today because you're too straightforward to lie.\Do you know why I'm on your side?\Say what?\Because you want better grades, right?\No.\Because I like you.\Huh? response:	Wait...
context: Especially given I got wrecked today because you're too straightforward to lie.\Do you know why I'm on your side?\Say what?\Because you want better grades, right?\No.\Because I like you.\Huh?\Wait... response:	What?
context: Do you know why I'm on your side?\Say what?\Because you want better grades, right?\No.\Because I like you.\Huh?\Wait...\What? response:	Just kidding.
context: Say what?\Because you want better grades, right?\No.\Because I like you.\Huh?\Wait...\What?\Just kidding. response:	I can lie when I wanna, too!
context: Because you want better grades, right?\No.\Because I like you.\Huh?\Wait...\What?\Just kidding.\I can lie when I wanna, too! response:	I won't trust anyone anymore.
context: No.\Because I like you.\Huh?\Wait...\What?\Just kidding.\I can lie when I wanna, too!\I won't trust anyone anymore. response:	And so Futaro's heart grew a little colder.
context: Because I like you.\Huh?\Wait...\What?\Just kidding.\I can lie when I wanna, too!\I won't trust anyone anymore.\And so Futaro's heart grew a little colder. response:	School camp! School camp! School camp!
context: Huh?\Wait...\What?\Just kidding.\I can lie when I wanna, too!\I won't trust anyone anymore.\And so Futaro's heart grew a little colder.\School camp! School camp! School camp! response:	Uesugi-san! School camp is coming up!
context: Wait...\What?\Just kidding.\I can lie when I wanna, too!\I won't trust anyone anymore.\And so Futaro's heart grew a little colder.\School camp! School camp! School camp!\Uesugi-san! School camp is coming up! response:	Yotsuba?
context: What?\Just kidding.\I can lie when I wanna, too!\I won't trust anyone anymore.\And so Futaro's heart grew a little colder.\School camp! School camp! School camp!\Uesugi-san! School camp is coming up!\Yotsuba? response:	It's me.
context: Just kidding.\I can lie when I wanna, too!\I won't trust anyone anymore.\And so Futaro's heart grew a little colder.\School camp! School camp! School camp!\Uesugi-san! School camp is coming up!\Yotsuba?\It's me. response:	Uesugi-san.
context: I can lie when I wanna, too!\I won't trust anyone anymore.\And so Futaro's heart grew a little colder.\School camp! School camp! School camp!\Uesugi-san! School camp is coming up!\Yotsuba?\It's me.\Uesugi-san. response:	Who are you?!
context: I won't trust anyone anymore.\And so Futaro's heart grew a little colder.\School camp! School camp! School camp!\Uesugi-san! School camp is coming up!\Yotsuba?\It's me.\Uesugi-san.\Who are you?! response:	It's me.
context: And so Futaro's heart grew a little colder.\School camp! School camp! School camp!\Uesugi-san! School camp is coming up!\Yotsuba?\It's me.\Uesugi-san.\Who are you?!\It's me. response:	Thank goodness.
context: School camp! School camp! School camp!\Uesugi-san! School camp is coming up!\Yotsuba?\It's me.\Uesugi-san.\Who are you?!\It's me.\Thank goodness. response:	Who are you?!
context: Uesugi-san! School camp is coming up!\Yotsuba?\It's me.\Uesugi-san.\Who are you?!\It's me.\Thank goodness.\Who are you?! response:	It's me.
context: Yotsuba?\It's me.\Uesugi-san.\Who are you?!\It's me.\Thank goodness.\Who are you?!\It's me. response:	Help me!
context: It's me.\Uesugi-san.\Who are you?!\It's me.\Thank goodness.\Who are you?!\It's me.\Help me! response:	Quiet in the library.
context: Uesugi-san.\Who are you?!\It's me.\Thank goodness.\Who are you?!\It's me.\Help me!\Quiet in the library. response:	Sorry.
context: Who are you?!\It's me.\Thank goodness.\Who are you?!\It's me.\Help me!\Quiet in the library.\Sorry. response:	What are you doing with all these costume masks?
context: It's me.\Thank goodness.\Who are you?!\It's me.\Help me!\Quiet in the library.\Sorry.\What are you doing with all these costume masks? response:	He's on the test of courage planning committee.
context: Thank goodness.\Who are you?!\It's me.\Help me!\Quiet in the library.\Sorry.\What are you doing with all these costume masks?\He's on the test of courage planning committee. response:	That's a surprisingly social thing for you to do.
context: Who are you?!\It's me.\Help me!\Quiet in the library.\Sorry.\What are you doing with all these costume masks?\He's on the test of courage planning committee.\That's a surprisingly social thing for you to do. response:	I'm not doing it by choice.
context: It's me.\Help me!\Quiet in the library.\Sorry.\What are you doing with all these costume masks?\He's on the test of courage planning committee.\That's a surprisingly social thing for you to do.\I'm not doing it by choice. response:	Curry
context: Help me!\Quiet in the library.\Sorry.\What are you doing with all these costume masks?\He's on the test of courage planning committee.\That's a surprisingly social thing for you to do.\I'm not doing it by choice.\Curry response:	Orienteering
context: Quiet in the library.\Sorry.\What are you doing with all these costume masks?\He's on the test of courage planning committee.\That's a surprisingly social thing for you to do.\I'm not doing it by choice.\Curry\Orienteering response:	Test of Courage
context: Sorry.\What are you doing with all these costume masks?\He's on the test of courage planning committee.\That's a surprisingly social thing for you to do.\I'm not doing it by choice.\Curry\Orienteering\Test of Courage response:	Skiing
context: What are you doing with all these costume masks?\He's on the test of courage planning committee.\That's a surprisingly social thing for you to do.\I'm not doing it by choice.\Curry\Orienteering\Test of Courage\Skiing response:	Campfire
context: He's on the test of courage planning committee.\That's a surprisingly social thing for you to do.\I'm not doing it by choice.\Curry\Orienteering\Test of Courage\Skiing\Campfire response:	My class is in charge of the test of courage,
context: That's a surprisingly social thing for you to do.\I'm not doing it by choice.\Curry\Orienteering\Test of Courage\Skiing\Campfire\My class is in charge of the test of courage, response:	and my classmates dumped it on my head while I was busy studying by myself.
context: I'm not doing it by choice.\Curry\Orienteering\Test of Courage\Skiing\Campfire\My class is in charge of the test of courage,\and my classmates dumped it on my head while I was busy studying by myself. response:	Poor thing.
context: Curry\Orienteering\Test of Courage\Skiing\Campfire\My class is in charge of the test of courage,\and my classmates dumped it on my head while I was busy studying by myself.\Poor thing. response:	He deserved it.
context: Orienteering\Test of Courage\Skiing\Campfire\My class is in charge of the test of courage,\and my classmates dumped it on my head while I was busy studying by myself.\Poor thing.\He deserved it. response:	I'm going to get back at them by scaring the crap out of them.
context: Test of Courage\Skiing\Campfire\My class is in charge of the test of courage,\and my classmates dumped it on my head while I was busy studying by myself.\Poor thing.\He deserved it.\I'm going to get back at them by scaring the crap out of them. response:	I'll make it a night they won't forget.
context: Skiing\Campfire\My class is in charge of the test of courage,\and my classmates dumped it on my head while I was busy studying by myself.\Poor thing.\He deserved it.\I'm going to get back at them by scaring the crap out of them.\I'll make it a night they won't forget. response:	You're totally into it.
context: Campfire\My class is in charge of the test of courage,\and my classmates dumped it on my head while I was busy studying by myself.\Poor thing.\He deserved it.\I'm going to get back at them by scaring the crap out of them.\I'll make it a night they won't forget.\You're totally into it. response:	It's not right that they're making him do it all on his own, though.
context: My class is in charge of the test of courage,\and my classmates dumped it on my head while I was busy studying by myself.\Poor thing.\He deserved it.\I'm going to get back at them by scaring the crap out of them.\I'll make it a night they won't forget.\You're totally into it.\It's not right that they're making him do it all on his own, though. response:	I'm gonna go complain to Class 1.
context: and my classmates dumped it on my head while I was busy studying by myself.\Poor thing.\He deserved it.\I'm going to get back at them by scaring the crap out of them.\I'll make it a night they won't forget.\You're totally into it.\It's not right that they're making him do it all on his own, though.\I'm gonna go complain to Class 1. response:	Don't bother.
context: Poor thing.\He deserved it.\I'm going to get back at them by scaring the crap out of them.\I'll make it a night they won't forget.\You're totally into it.\It's not right that they're making him do it all on his own, though.\I'm gonna go complain to Class 1.\Don't bother. response:	Miku's right.
context: He deserved it.\I'm going to get back at them by scaring the crap out of them.\I'll make it a night they won't forget.\You're totally into it.\It's not right that they're making him do it all on his own, though.\I'm gonna go complain to Class 1.\Don't bother.\Miku's right. response:	I deserved it.
context: I'm going to get back at them by scaring the crap out of them.\I'll make it a night they won't forget.\You're totally into it.\It's not right that they're making him do it all on his own, though.\I'm gonna go complain to Class 1.\Don't bother.\Miku's right.\I deserved it. response:	But...
context: I'll make it a night they won't forget.\You're totally into it.\It's not right that they're making him do it all on his own, though.\I'm gonna go complain to Class 1.\Don't bother.\Miku's right.\I deserved it.\But... response:	Besides, I don't even care about camp.
context: You're totally into it.\It's not right that they're making him do it all on his own, though.\I'm gonna go complain to Class 1.\Don't bother.\Miku's right.\I deserved it.\But...\Besides, I don't even care about camp. response:	Then, let's talk about things that could make you look forward to it.
context: It's not right that they're making him do it all on his own, though.\I'm gonna go complain to Class 1.\Don't bother.\Miku's right.\I deserved it.\But...\Besides, I don't even care about camp.\Then, let's talk about things that could make you look forward to it. response:	I heard this from my friends in class.
context: I'm gonna go complain to Class 1.\Don't bother.\Miku's right.\I deserved it.\But...\Besides, I don't even care about camp.\Then, let's talk about things that could make you look forward to it.\I heard this from my friends in class. response:	Did you know there's a legend about our school camp?
context: Don't bother.\Miku's right.\I deserved it.\But...\Besides, I don't even care about camp.\Then, let's talk about things that could make you look forward to it.\I heard this from my friends in class.\Did you know there's a legend about our school camp? response:	There's always a campfire dance on the last day,
context: Miku's right.\I deserved it.\But...\Besides, I don't even care about camp.\Then, let's talk about things that could make you look forward to it.\I heard this from my friends in class.\Did you know there's a legend about our school camp?\There's always a campfire dance on the last day, response:	and any pairs dancing when it ends are destined to spend their lives together.
context: I deserved it.\But...\Besides, I don't even care about camp.\Then, let's talk about things that could make you look forward to it.\I heard this from my friends in class.\Did you know there's a legend about our school camp?\There's always a campfire dance on the last day,\and any pairs dancing when it ends are destined to spend their lives together. response:	That's unrealistic. And silly.
context: But...\Besides, I don't even care about camp.\Then, let's talk about things that could make you look forward to it.\I heard this from my friends in class.\Did you know there's a legend about our school camp?\There's always a campfire dance on the last day,\and any pairs dancing when it ends are destined to spend their lives together.\That's unrealistic. And silly. response:	You're too cynical! Kids these days!
context: Besides, I don't even care about camp.\Then, let's talk about things that could make you look forward to it.\I heard this from my friends in class.\Did you know there's a legend about our school camp?\There's always a campfire dance on the last day,\and any pairs dancing when it ends are destined to spend their lives together.\That's unrealistic. And silly.\You're too cynical! Kids these days! response:	It's a campfire!
context: Then, let's talk about things that could make you look forward to it.\I heard this from my friends in class.\Did you know there's a legend about our school camp?\There's always a campfire dance on the last day,\and any pairs dancing when it ends are destined to spend their lives together.\That's unrealistic. And silly.\You're too cynical! Kids these days!\It's a campfire! response:	A legend of fate!
context: I heard this from my friends in class.\Did you know there's a legend about our school camp?\There's always a campfire dance on the last day,\and any pairs dancing when it ends are destined to spend their lives together.\That's unrealistic. And silly.\You're too cynical! Kids these days!\It's a campfire!\A legend of fate! response:	Don't you think it's romantic?
context: Did you know there's a legend about our school camp?\There's always a campfire dance on the last day,\and any pairs dancing when it ends are destined to spend their lives together.\That's unrealistic. And silly.\You're too cynical! Kids these days!\It's a campfire!\A legend of fate!\Don't you think it's romantic? response:	Come on, let's start studying.
context: There's always a campfire dance on the last day,\and any pairs dancing when it ends are destined to spend their lives together.\That's unrealistic. And silly.\You're too cynical! Kids these days!\It's a campfire!\A legend of fate!\Don't you think it's romantic?\Come on, let's start studying. response:	Yoohoo.
context: and any pairs dancing when it ends are destined to spend their lives together.\That's unrealistic. And silly.\You're too cynical! Kids these days!\It's a campfire!\A legend of fate!\Don't you think it's romantic?\Come on, let's start studying.\Yoohoo. response:	Ichika, you're late.
context: That's unrealistic. And silly.\You're too cynical! Kids these days!\It's a campfire!\A legend of fate!\Don't you think it's romantic?\Come on, let's start studying.\Yoohoo.\Ichika, you're late. response:	What are you wearing?
context: You're too cynical! Kids these days!\It's a campfire!\A legend of fate!\Don't you think it's romantic?\Come on, let's start studying.\Yoohoo.\Ichika, you're late.\What are you wearing? response:	That's not important. We're doing math today.
context: It's a campfire!\A legend of fate!\Don't you think it's romantic?\Come on, let's start studying.\Yoohoo.\Ichika, you're late.\What are you wearing?\That's not important. We're doing math today. response:	Sorry.
context: A legend of fate!\Don't you think it's romantic?\Come on, let's start studying.\Yoohoo.\Ichika, you're late.\What are you wearing?\That's not important. We're doing math today.\Sorry. response:	I have a shoot today.
context: Don't you think it's romantic?\Come on, let's start studying.\Yoohoo.\Ichika, you're late.\What are you wearing?\That's not important. We're doing math today.\Sorry.\I have a shoot today. response:	That got me thinking...
context: Come on, let's start studying.\Yoohoo.\Ichika, you're late.\What are you wearing?\That's not important. We're doing math today.\Sorry.\I have a shoot today.\That got me thinking... response:	I should let you know ahead of time whenever this happens.
context: Yoohoo.\Ichika, you're late.\What are you wearing?\That's not important. We're doing math today.\Sorry.\I have a shoot today.\That got me thinking...\I should let you know ahead of time whenever this happens. response:	So here. Let's exchange email addresses.
context: Ichika, you're late.\What are you wearing?\That's not important. We're doing math today.\Sorry.\I have a shoot today.\That got me thinking...\I should let you know ahead of time whenever this happens.\So here. Let's exchange email addresses. response:	Email addresses, huh?
context: What are you wearing?\That's not important. We're doing math today.\Sorry.\I have a shoot today.\That got me thinking...\I should let you know ahead of time whenever this happens.\So here. Let's exchange email addresses.\Email addresses, huh? response:	Do we really need to?
context: That's not important. We're doing math today.\Sorry.\I have a shoot today.\That got me thinking...\I should let you know ahead of time whenever this happens.\So here. Let's exchange email addresses.\Email addresses, huh?\Do we really need to? response:	I agree! We should exchange email addresses!
context: Sorry.\I have a shoot today.\That got me thinking...\I should let you know ahead of time whenever this happens.\So here. Let's exchange email addresses.\Email addresses, huh?\Do we really need to?\I agree! We should exchange email addresses! response:	I'd like to join in too, Uesugi-san.
context: I have a shoot today.\That got me thinking...\I should let you know ahead of time whenever this happens.\So here. Let's exchange email addresses.\Email addresses, huh?\Do we really need to?\I agree! We should exchange email addresses!\I'd like to join in too, Uesugi-san. response:	Oh, but before that,
context: That got me thinking...\I should let you know ahead of time whenever this happens.\So here. Let's exchange email addresses.\Email addresses, huh?\Do we really need to?\I agree! We should exchange email addresses!\I'd like to join in too, Uesugi-san.\Oh, but before that, response:	Infrared Transfer
context: I should let you know ahead of time whenever this happens.\So here. Let's exchange email addresses.\Email addresses, huh?\Do we really need to?\I agree! We should exchange email addresses!\I'd like to join in too, Uesugi-san.\Oh, but before that,\Infrared Transfer response:	Receiving
context: So here. Let's exchange email addresses.\Email addresses, huh?\Do we really need to?\I agree! We should exchange email addresses!\I'd like to join in too, Uesugi-san.\Oh, but before that,\Infrared Transfer\Receiving response:	let me get this done.
context: Email addresses, huh?\Do we really need to?\I agree! We should exchange email addresses!\I'd like to join in too, Uesugi-san.\Oh, but before that,\Infrared Transfer\Receiving\let me get this done. response:	Address Book
context: Do we really need to?\I agree! We should exchange email addresses!\I'd like to join in too, Uesugi-san.\Oh, but before that,\Infrared Transfer\Receiving\let me get this done.\Address Book response:	Nakano Ichika
context: I agree! We should exchange email addresses!\I'd like to join in too, Uesugi-san.\Oh, but before that,\Infrared Transfer\Receiving\let me get this done.\Address Book\Nakano Ichika response:	Mobile Phone
context: I'd like to join in too, Uesugi-san.\Oh, but before that,\Infrared Transfer\Receiving\let me get this done.\Address Book\Nakano Ichika\Mobile Phone response:	Mail Address
context: Oh, but before that,\Infrared Transfer\Receiving\let me get this done.\Address Book\Nakano Ichika\Mobile Phone\Mail Address response:	Okay, done.
context: Infrared Transfer\Receiving\let me get this done.\Address Book\Nakano Ichika\Mobile Phone\Mail Address\Okay, done. response:	Yotsuba.
context: Receiving\let me get this done.\Address Book\Nakano Ichika\Mobile Phone\Mail Address\Okay, done.\Yotsuba. response:	Should I even ask what you're doing?
context: let me get this done.\Address Book\Nakano Ichika\Mobile Phone\Mail Address\Okay, done.\Yotsuba.\Should I even ask what you're doing? response:	Making a thousand paper cranes.
context: Address Book\Nakano Ichika\Mobile Phone\Mail Address\Okay, done.\Yotsuba.\Should I even ask what you're doing?\Making a thousand paper cranes. response:	My friend's friend is in the hospital.
context: Nakano Ichika\Mobile Phone\Mail Address\Okay, done.\Yotsuba.\Should I even ask what you're doing?\Making a thousand paper cranes.\My friend's friend is in the hospital. response:	Study!
context: Mobile Phone\Mail Address\Okay, done.\Yotsuba.\Should I even ask what you're doing?\Making a thousand paper cranes.\My friend's friend is in the hospital.\Study! response:	Give me half of that.
context: Mail Address\Okay, done.\Yotsuba.\Should I even ask what you're doing?\Making a thousand paper cranes.\My friend's friend is in the hospital.\Study!\Give me half of that. response:	We're studying once we're done with this.
context: Okay, done.\Yotsuba.\Should I even ask what you're doing?\Making a thousand paper cranes.\My friend's friend is in the hospital.\Study!\Give me half of that.\We're studying once we're done with this. response:	Okay.
context: Yotsuba.\Should I even ask what you're doing?\Making a thousand paper cranes.\My friend's friend is in the hospital.\Study!\Give me half of that.\We're studying once we're done with this.\Okay. response:	Oh, Nakano.
context: Should I even ask what you're doing?\Making a thousand paper cranes.\My friend's friend is in the hospital.\Study!\Give me half of that.\We're studying once we're done with this.\Okay.\Oh, Nakano. response:	Sensei.
context: Making a thousand paper cranes.\My friend's friend is in the hospital.\Study!\Give me half of that.\We're studying once we're done with this.\Okay.\Oh, Nakano.\Sensei. response:	I'm glad I found you here.
context: My friend's friend is in the hospital.\Study!\Give me half of that.\We're studying once we're done with this.\Okay.\Oh, Nakano.\Sensei.\I'm glad I found you here. response:	Could you put these on everyone's desks?
context: Study!\Give me half of that.\We're studying once we're done with this.\Okay.\Oh, Nakano.\Sensei.\I'm glad I found you here.\Could you put these on everyone's desks? response:	Sure.
context: Give me half of that.\We're studying once we're done with this.\Okay.\Oh, Nakano.\Sensei.\I'm glad I found you here.\Could you put these on everyone's desks?\Sure. response:	How much of a pushover are you?!
context: We're studying once we're done with this.\Okay.\Oh, Nakano.\Sensei.\I'm glad I found you here.\Could you put these on everyone's desks?\Sure.\How much of a pushover are you?! response:	Hold on, is she buying time so she doesn't have to study?
context: Okay.\Oh, Nakano.\Sensei.\I'm glad I found you here.\Could you put these on everyone's desks?\Sure.\How much of a pushover are you?!\Hold on, is she buying time so she doesn't have to study? response:	If she is, she's way more wicked than Nino.
context: Oh, Nakano.\Sensei.\I'm glad I found you here.\Could you put these on everyone's desks?\Sure.\How much of a pushover are you?!\Hold on, is she buying time so she doesn't have to study?\If she is, she's way more wicked than Nino. response:	Okay, I'm off.
context: Sensei.\I'm glad I found you here.\Could you put these on everyone's desks?\Sure.\How much of a pushover are you?!\Hold on, is she buying time so she doesn't have to study?\If she is, she's way more wicked than Nino.\Okay, I'm off. response:	Good luck.
context: I'm glad I found you here.\Could you put these on everyone's desks?\Sure.\How much of a pushover are you?!\Hold on, is she buying time so she doesn't have to study?\If she is, she's way more wicked than Nino.\Okay, I'm off.\Good luck. response:	Go, Ichika!
context: Could you put these on everyone's desks?\Sure.\How much of a pushover are you?!\Hold on, is she buying time so she doesn't have to study?\If she is, she's way more wicked than Nino.\Okay, I'm off.\Good luck.\Go, Ichika! response:	Receiving Message
context: Sure.\How much of a pushover are you?!\Hold on, is she buying time so she doesn't have to study?\If she is, she's way more wicked than Nino.\Okay, I'm off.\Good luck.\Go, Ichika!\Receiving Message response:	1 New Message
context: How much of a pushover are you?!\Hold on, is she buying time so she doesn't have to study?\If she is, she's way more wicked than Nino.\Okay, I'm off.\Good luck.\Go, Ichika!\Receiving Message\1 New Message response:	Incoming Mail
context: Hold on, is she buying time so she doesn't have to study?\If she is, she's way more wicked than Nino.\Okay, I'm off.\Good luck.\Go, Ichika!\Receiving Message\1 New Message\Incoming Mail response:	Nakano Ichika
context: If she is, she's way more wicked than Nino.\Okay, I'm off.\Good luck.\Go, Ichika!\Receiving Message\1 New Message\Incoming Mail\Nakano Ichika response:	Your cute sleepy face
context: Okay, I'm off.\Good luck.\Go, Ichika!\Receiving Message\1 New Message\Incoming Mail\Nakano Ichika\Your cute sleepy face response:	If you don't want me to send it around, you'll get the other four's email addresses!
context: Good luck.\Go, Ichika!\Receiving Message\1 New Message\Incoming Mail\Nakano Ichika\Your cute sleepy face\If you don't want me to send it around, you'll get the other four's email addresses! response:	If you don't want me to send it around, you'll get the other four's email addresses!
context: Go, Ichika!\Receiving Message\1 New Message\Incoming Mail\Nakano Ichika\Your cute sleepy face\If you don't want me to send it around, you'll get the other four's email addresses!\If you don't want me to send it around, you'll get the other four's email addresses! response:	Man, as your tutor,
context: Receiving Message\1 New Message\Incoming Mail\Nakano Ichika\Your cute sleepy face\If you don't want me to send it around, you'll get the other four's email addresses!\If you don't want me to send it around, you'll get the other four's email addresses!\Man, as your tutor, response:	I should probably get everyone's email addresses, huh?
context: 1 New Message\Incoming Mail\Nakano Ichika\Your cute sleepy face\If you don't want me to send it around, you'll get the other four's email addresses!\If you don't want me to send it around, you'll get the other four's email addresses!\Man, as your tutor,\I should probably get everyone's email addresses, huh? response:	I'll help you.
context: Incoming Mail\Nakano Ichika\Your cute sleepy face\If you don't want me to send it around, you'll get the other four's email addresses!\If you don't want me to send it around, you'll get the other four's email addresses!\Man, as your tutor,\I should probably get everyone's email addresses, huh?\I'll help you. response:	Yay.
context: Nakano Ichika\Your cute sleepy face\If you don't want me to send it around, you'll get the other four's email addresses!\If you don't want me to send it around, you'll get the other four's email addresses!\Man, as your tutor,\I should probably get everyone's email addresses, huh?\I'll help you.\Yay. response:	I did it.
context: Your cute sleepy face\If you don't want me to send it around, you'll get the other four's email addresses!\If you don't want me to send it around, you'll get the other four's email addresses!\Man, as your tutor,\I should probably get everyone's email addresses, huh?\I'll help you.\Yay.\I did it. response:	I guess I can get Itsuki's and Nino's some other day.
