context: I am bored to death. response:	I've had it. This is still only the seventh day, too.
context: Let's hope you don't embarrass mankind.\Kuririn- san...\All right, let's go.\Gohan! Don't push!\Gohan, watch yourself! It looks like there are some booby traps in here.\Remember, you two! Men are to protect ladies at all times! Don't forget that!\There should be a doorway into the main room somewhere-\A wall like this will be easy to take care of. response:	Kame...
context: Kuririn- san...\All right, let's go.\Gohan! Don't push!\Gohan, watch yourself! It looks like there are some booby traps in here.\Remember, you two! Men are to protect ladies at all times! Don't forget that!\There should be a doorway into the main room somewhere-\A wall like this will be easy to take care of.\Kame... response:	hame...
context: All right, let's go.\Gohan! Don't push!\Gohan, watch yourself! It looks like there are some booby traps in here.\Remember, you two! Men are to protect ladies at all times! Don't forget that!\There should be a doorway into the main room somewhere-\A wall like this will be easy to take care of.\Kame...\hame... response:	K- Kuririn!
context: Gohan! Don't push!\Gohan, watch yourself! It looks like there are some booby traps in here.\Remember, you two! Men are to protect ladies at all times! Don't forget that!\There should be a doorway into the main room somewhere-\A wall like this will be easy to take care of.\Kame...\hame...\K- Kuririn! response:	Kame...
context: Gohan, watch yourself! It looks like there are some booby traps in here.\Remember, you two! Men are to protect ladies at all times! Don't forget that!\There should be a doorway into the main room somewhere-\A wall like this will be easy to take care of.\Kame...\hame...\K- Kuririn!\Kame... response:	Must be nice for you guys, being able to perform Bukujutsu.
context: Remember, you two! Men are to protect ladies at all times! Don't forget that!\There should be a doorway into the main room somewhere-\A wall like this will be easy to take care of.\Kame...\hame...\K- Kuririn!\Kame...\Must be nice for you guys, being able to perform Bukujutsu. response:	I get the feeling that they want to eliminate any intruders, no matter what.
context: There should be a doorway into the main room somewhere-\A wall like this will be easy to take care of.\Kame...\hame...\K- Kuririn!\Kame...\Must be nice for you guys, being able to perform Bukujutsu.\I get the feeling that they want to eliminate any intruders, no matter what. response:	Is this a Saiyan spaceship?
context: A wall like this will be easy to take care of.\Kame...\hame...\K- Kuririn!\Kame...\Must be nice for you guys, being able to perform Bukujutsu.\I get the feeling that they want to eliminate any intruders, no matter what.\Is this a Saiyan spaceship? response:	Beats me.
context: Kame...\hame...\K- Kuririn!\Kame...\Must be nice for you guys, being able to perform Bukujutsu.\I get the feeling that they want to eliminate any intruders, no matter what.\Is this a Saiyan spaceship?\Beats me. response:	Suppose Vegeta were to suddenly appear from over there...
context: hame...\K- Kuririn!\Kame...\Must be nice for you guys, being able to perform Bukujutsu.\I get the feeling that they want to eliminate any intruders, no matter what.\Is this a Saiyan spaceship?\Beats me.\Suppose Vegeta were to suddenly appear from over there... response:	C- cut that out! Look, I'm starting to get goosebumps!
context: K- Kuririn!\Kame...\Must be nice for you guys, being able to perform Bukujutsu.\I get the feeling that they want to eliminate any intruders, no matter what.\Is this a Saiyan spaceship?\Beats me.\Suppose Vegeta were to suddenly appear from over there...\C- cut that out! Look, I'm starting to get goosebumps! response:	I wonder if that man Vegeta is recovering from his injuries somewhere right now.
context: Kame...\Must be nice for you guys, being able to perform Bukujutsu.\I get the feeling that they want to eliminate any intruders, no matter what.\Is this a Saiyan spaceship?\Beats me.\Suppose Vegeta were to suddenly appear from over there...\C- cut that out! Look, I'm starting to get goosebumps!\I wonder if that man Vegeta is recovering from his injuries somewhere right now. response:	I'd appreciate it if he'd just die.
context: Must be nice for you guys, being able to perform Bukujutsu.\I get the feeling that they want to eliminate any intruders, no matter what.\Is this a Saiyan spaceship?\Beats me.\Suppose Vegeta were to suddenly appear from over there...\C- cut that out! Look, I'm starting to get goosebumps!\I wonder if that man Vegeta is recovering from his injuries somewhere right now.\I'd appreciate it if he'd just die. response:	K - Kakarrot... remember this... I will definitely go back there to settle the score!
context: I get the feeling that they want to eliminate any intruders, no matter what.\Is this a Saiyan spaceship?\Beats me.\Suppose Vegeta were to suddenly appear from over there...\C- cut that out! Look, I'm starting to get goosebumps!\I wonder if that man Vegeta is recovering from his injuries somewhere right now.\I'd appreciate it if he'd just die.\K - Kakarrot... remember this... I will definitely go back there to settle the score! response:	Say, I get the feeling
context: Is this a Saiyan spaceship?\Beats me.\Suppose Vegeta were to suddenly appear from over there...\C- cut that out! Look, I'm starting to get goosebumps!\I wonder if that man Vegeta is recovering from his injuries somewhere right now.\I'd appreciate it if he'd just die.\K - Kakarrot... remember this... I will definitely go back there to settle the score!\Say, I get the feeling response:	that we've been walking around the same place in circles for a while now.
context: Beats me.\Suppose Vegeta were to suddenly appear from over there...\C- cut that out! Look, I'm starting to get goosebumps!\I wonder if that man Vegeta is recovering from his injuries somewhere right now.\I'd appreciate it if he'd just die.\K - Kakarrot... remember this... I will definitely go back there to settle the score!\Say, I get the feeling\that we've been walking around the same place in circles for a while now. response:	There wasn't anything that looked like a door, huh?
context: Suppose Vegeta were to suddenly appear from over there...\C- cut that out! Look, I'm starting to get goosebumps!\I wonder if that man Vegeta is recovering from his injuries somewhere right now.\I'd appreciate it if he'd just die.\K - Kakarrot... remember this... I will definitely go back there to settle the score!\Say, I get the feeling\that we've been walking around the same place in circles for a while now.\There wasn't anything that looked like a door, huh? response:	There's one!
context: C- cut that out! Look, I'm starting to get goosebumps!\I wonder if that man Vegeta is recovering from his injuries somewhere right now.\I'd appreciate it if he'd just die.\K - Kakarrot... remember this... I will definitely go back there to settle the score!\Say, I get the feeling\that we've been walking around the same place in circles for a while now.\There wasn't anything that looked like a door, huh?\There's one! response:	It looks like the real door is down here.
context: I wonder if that man Vegeta is recovering from his injuries somewhere right now.\I'd appreciate it if he'd just die.\K - Kakarrot... remember this... I will definitely go back there to settle the score!\Say, I get the feeling\that we've been walking around the same place in circles for a while now.\There wasn't anything that looked like a door, huh?\There's one!\It looks like the real door is down here. response:	Yay!
context: I'd appreciate it if he'd just die.\K - Kakarrot... remember this... I will definitely go back there to settle the score!\Say, I get the feeling\that we've been walking around the same place in circles for a while now.\There wasn't anything that looked like a door, huh?\There's one!\It looks like the real door is down here.\Yay! response:	Damn... They sure built this thing to be convoluted!
context: K - Kakarrot... remember this... I will definitely go back there to settle the score!\Say, I get the feeling\that we've been walking around the same place in circles for a while now.\There wasn't anything that looked like a door, huh?\There's one!\It looks like the real door is down here.\Yay!\Damn... They sure built this thing to be convoluted! response:	All right, let's try going in here.
context: Say, I get the feeling\that we've been walking around the same place in circles for a while now.\There wasn't anything that looked like a door, huh?\There's one!\It looks like the real door is down here.\Yay!\Damn... They sure built this thing to be convoluted!\All right, let's try going in here. response:	Kuririn, be careful.
context: that we've been walking around the same place in circles for a while now.\There wasn't anything that looked like a door, huh?\There's one!\It looks like the real door is down here.\Yay!\Damn... They sure built this thing to be convoluted!\All right, let's try going in here.\Kuririn, be careful. response:	I know.
context: There wasn't anything that looked like a door, huh?\There's one!\It looks like the real door is down here.\Yay!\Damn... They sure built this thing to be convoluted!\All right, let's try going in here.\Kuririn, be careful.\I know. response:	Outer space!
context: There's one!\It looks like the real door is down here.\Yay!\Damn... They sure built this thing to be convoluted!\All right, let's try going in here.\Kuririn, be careful.\I know.\Outer space! response:	I thought we were dead!
context: It looks like the real door is down here.\Yay!\Damn... They sure built this thing to be convoluted!\All right, let's try going in here.\Kuririn, be careful.\I know.\Outer space!\I thought we were dead! response:	I- I'm getting hungry...
context: Yay!\Damn... They sure built this thing to be convoluted!\All right, let's try going in here.\Kuririn, be careful.\I know.\Outer space!\I thought we were dead!\I- I'm getting hungry... response:	My tummy is grumbling, too.
context: Damn... They sure built this thing to be convoluted!\All right, let's try going in here.\Kuririn, be careful.\I know.\Outer space!\I thought we were dead!\I- I'm getting hungry...\My tummy is grumbling, too. response:	Something smells good.
context: All right, let's try going in here.\Kuririn, be careful.\I know.\Outer space!\I thought we were dead!\I- I'm getting hungry...\My tummy is grumbling, too.\Something smells good. response:	Y- you're right.
context: Kuririn, be careful.\I know.\Outer space!\I thought we were dead!\I- I'm getting hungry...\My tummy is grumbling, too.\Something smells good.\Y- you're right. response:	Wow, that looks delicious.
context: I know.\Outer space!\I thought we were dead!\I- I'm getting hungry...\My tummy is grumbling, too.\Something smells good.\Y- you're right.\Wow, that looks delicious. response:	It might be a trap!
context: Outer space!\I thought we were dead!\I- I'm getting hungry...\My tummy is grumbling, too.\Something smells good.\Y- you're right.\Wow, that looks delicious.\It might be a trap! response:	It sure is a spread!
context: I thought we were dead!\I- I'm getting hungry...\My tummy is grumbling, too.\Something smells good.\Y- you're right.\Wow, that looks delicious.\It might be a trap!\It sure is a spread! response:	Be careful when touching anything.
context: I- I'm getting hungry...\My tummy is grumbling, too.\Something smells good.\Y- you're right.\Wow, that looks delicious.\It might be a trap!\It sure is a spread!\Be careful when touching anything. response:	You won't catch me falling for that!
context: My tummy is grumbling, too.\Something smells good.\Y- you're right.\Wow, that looks delicious.\It might be a trap!\It sure is a spread!\Be careful when touching anything.\You won't catch me falling for that! response:	Bulma- san!
context: Something smells good.\Y- you're right.\Wow, that looks delicious.\It might be a trap!\It sure is a spread!\Be careful when touching anything.\You won't catch me falling for that!\Bulma- san! response:	Help me!
context: Y- you're right.\Wow, that looks delicious.\It might be a trap!\It sure is a spread!\Be careful when touching anything.\You won't catch me falling for that!\Bulma- san!\Help me! response:	Bulma- san, your reflexes are so slow!
context: Wow, that looks delicious.\It might be a trap!\It sure is a spread!\Be careful when touching anything.\You won't catch me falling for that!\Bulma- san!\Help me!\Bulma- san, your reflexes are so slow! response:	It's you guys who are the unusual ones!
context: It might be a trap!\It sure is a spread!\Be careful when touching anything.\You won't catch me falling for that!\Bulma- san!\Help me!\Bulma- san, your reflexes are so slow!\It's you guys who are the unusual ones! response:	We're coming to help you out now!
context: It sure is a spread!\Be careful when touching anything.\You won't catch me falling for that!\Bulma- san!\Help me!\Bulma- san, your reflexes are so slow!\It's you guys who are the unusual ones!\We're coming to help you out now! response:	Please move away from the cage!
context: Be careful when touching anything.\You won't catch me falling for that!\Bulma- san!\Help me!\Bulma- san, your reflexes are so slow!\It's you guys who are the unusual ones!\We're coming to help you out now!\Please move away from the cage! response:	What is this!? Who set this childish trap!?
context: You won't catch me falling for that!\Bulma- san!\Help me!\Bulma- san, your reflexes are so slow!\It's you guys who are the unusual ones!\We're coming to help you out now!\Please move away from the cage!\What is this!? Who set this childish trap!? response:	Don't move!
context: Bulma- san!\Help me!\Bulma- san, your reflexes are so slow!\It's you guys who are the unusual ones!\We're coming to help you out now!\Please move away from the cage!\What is this!? Who set this childish trap!?\Don't move! response:	Bulma- san!
context: Help me!\Bulma- san, your reflexes are so slow!\It's you guys who are the unusual ones!\We're coming to help you out now!\Please move away from the cage!\What is this!? Who set this childish trap!?\Don't move!\Bulma- san! response:	Why, you!
context: Bulma- san, your reflexes are so slow!\It's you guys who are the unusual ones!\We're coming to help you out now!\Please move away from the cage!\What is this!? Who set this childish trap!?\Don't move!\Bulma- san!\Why, you! response:	Stay back! I'll be shot!
context: It's you guys who are the unusual ones!\We're coming to help you out now!\Please move away from the cage!\What is this!? Who set this childish trap!?\Don't move!\Bulma- san!\Why, you!\Stay back! I'll be shot! response:	Kuririn- san, they're all children!
context: We're coming to help you out now!\Please move away from the cage!\What is this!? Who set this childish trap!?\Don't move!\Bulma- san!\Why, you!\Stay back! I'll be shot!\Kuririn- san, they're all children! response:	D- don't shoot! We're not your enemy! Is there an adult here that I could speak to?
context: Please move away from the cage!\What is this!? Who set this childish trap!?\Don't move!\Bulma- san!\Why, you!\Stay back! I'll be shot!\Kuririn- san, they're all children!\D- don't shoot! We're not your enemy! Is there an adult here that I could speak to? response:	Never mind about me! Give these kids a good hard spanking!
context: What is this!? Who set this childish trap!?\Don't move!\Bulma- san!\Why, you!\Stay back! I'll be shot!\Kuririn- san, they're all children!\D- don't shoot! We're not your enemy! Is there an adult here that I could speak to?\Never mind about me! Give these kids a good hard spanking! response:	B- but...
context: Don't move!\Bulma- san!\Why, you!\Stay back! I'll be shot!\Kuririn- san, they're all children!\D- don't shoot! We're not your enemy! Is there an adult here that I could speak to?\Never mind about me! Give these kids a good hard spanking!\B- but... response:	Don't dawdle around! Hurry up!
context: Bulma- san!\Why, you!\Stay back! I'll be shot!\Kuririn- san, they're all children!\D- don't shoot! We're not your enemy! Is there an adult here that I could speak to?\Never mind about me! Give these kids a good hard spanking!\B- but...\Don't dawdle around! Hurry up! response:	Okay then...
context: Why, you!\Stay back! I'll be shot!\Kuririn- san, they're all children!\D- don't shoot! We're not your enemy! Is there an adult here that I could speak to?\Never mind about me! Give these kids a good hard spanking!\B- but...\Don't dawdle around! Hurry up!\Okay then... response:	Kuririn! Don't offer any more futile resistance!
context: Stay back! I'll be shot!\Kuririn- san, they're all children!\D- don't shoot! We're not your enemy! Is there an adult here that I could speak to?\Never mind about me! Give these kids a good hard spanking!\B- but...\Don't dawdle around! Hurry up!\Okay then...\Kuririn! Don't offer any more futile resistance! response:	Just hurry and surrender, already!
context: Kuririn- san, they're all children!\D- don't shoot! We're not your enemy! Is there an adult here that I could speak to?\Never mind about me! Give these kids a good hard spanking!\B- but...\Don't dawdle around! Hurry up!\Okay then...\Kuririn! Don't offer any more futile resistance!\Just hurry and surrender, already! response:	B- Bulma- san...
context: D- don't shoot! We're not your enemy! Is there an adult here that I could speak to?\Never mind about me! Give these kids a good hard spanking!\B- but...\Don't dawdle around! Hurry up!\Okay then...\Kuririn! Don't offer any more futile resistance!\Just hurry and surrender, already!\B- Bulma- san... response:	K- Kuririn- san?
context: Never mind about me! Give these kids a good hard spanking!\B- but...\Don't dawdle around! Hurry up!\Okay then...\Kuririn! Don't offer any more futile resistance!\Just hurry and surrender, already!\B- Bulma- san...\K- Kuririn- san? response:	W- what should we do?
context: B- but...\Don't dawdle around! Hurry up!\Okay then...\Kuririn! Don't offer any more futile resistance!\Just hurry and surrender, already!\B- Bulma- san...\K- Kuririn- san?\W- what should we do? response:	Ominously, these children have suddenly appeared.
context: Don't dawdle around! Hurry up!\Okay then...\Kuririn! Don't offer any more futile resistance!\Just hurry and surrender, already!\B- Bulma- san...\K- Kuririn- san?\W- what should we do?\Ominously, these children have suddenly appeared. response:	What exactly is the true nature of this mysterious spaceship?
