context: I've always hoped that you could forget what happened 300 years ago. response:	Now that you've fallen for this high god...
context: I took her there.\She heard that Mo Yuan was the God of War and was thrilled.\She imagined Mo Yuan as a majestic high god with three heads and six arms.\Even after having him as her mentor\she still couldn't believe that Mo Yuan looked nothing like that.\You really didn't lie to me?\He really is the one and only God of War in all realms, Mo Yuan?\What now? response:	You already took his Jade Purity Fan of Kunlun and became his disciple.
context: She heard that Mo Yuan was the God of War and was thrilled.\She imagined Mo Yuan as a majestic high god with three heads and six arms.\Even after having him as her mentor\she still couldn't believe that Mo Yuan looked nothing like that.\You really didn't lie to me?\He really is the one and only God of War in all realms, Mo Yuan?\What now?\You already took his Jade Purity Fan of Kunlun and became his disciple. response:	Have you regretted it?
context: She imagined Mo Yuan as a majestic high god with three heads and six arms.\Even after having him as her mentor\she still couldn't believe that Mo Yuan looked nothing like that.\You really didn't lie to me?\He really is the one and only God of War in all realms, Mo Yuan?\What now?\You already took his Jade Purity Fan of Kunlun and became his disciple.\Have you regretted it? response:	But he doesn't look like a God of War.
context: Even after having him as her mentor\she still couldn't believe that Mo Yuan looked nothing like that.\You really didn't lie to me?\He really is the one and only God of War in all realms, Mo Yuan?\What now?\You already took his Jade Purity Fan of Kunlun and became his disciple.\Have you regretted it?\But he doesn't look like a God of War. response:	How do I not look like a God of War?
context: she still couldn't believe that Mo Yuan looked nothing like that.\You really didn't lie to me?\He really is the one and only God of War in all realms, Mo Yuan?\What now?\You already took his Jade Purity Fan of Kunlun and became his disciple.\Have you regretted it?\But he doesn't look like a God of War.\How do I not look like a God of War? response:	Master, your facial features are so delicate.
context: You really didn't lie to me?\He really is the one and only God of War in all realms, Mo Yuan?\What now?\You already took his Jade Purity Fan of Kunlun and became his disciple.\Have you regretted it?\But he doesn't look like a God of War.\How do I not look like a God of War?\Master, your facial features are so delicate. response:	You're just like one of those pretty boys in those plays
context: He really is the one and only God of War in all realms, Mo Yuan?\What now?\You already took his Jade Purity Fan of Kunlun and became his disciple.\Have you regretted it?\But he doesn't look like a God of War.\How do I not look like a God of War?\Master, your facial features are so delicate.\You're just like one of those pretty boys in those plays response:	who would meet up with mortal ladies secretly at the back of gardens.
context: What now?\You already took his Jade Purity Fan of Kunlun and became his disciple.\Have you regretted it?\But he doesn't look like a God of War.\How do I not look like a God of War?\Master, your facial features are so delicate.\You're just like one of those pretty boys in those plays\who would meet up with mortal ladies secretly at the back of gardens. response:	How could you wield Sword of the Yellow Emperor?
context: You already took his Jade Purity Fan of Kunlun and became his disciple.\Have you regretted it?\But he doesn't look like a God of War.\How do I not look like a God of War?\Master, your facial features are so delicate.\You're just like one of those pretty boys in those plays\who would meet up with mortal ladies secretly at the back of gardens.\How could you wield Sword of the Yellow Emperor? response:	Did you call me a pretty boy?
context: Have you regretted it?\But he doesn't look like a God of War.\How do I not look like a God of War?\Master, your facial features are so delicate.\You're just like one of those pretty boys in those plays\who would meet up with mortal ladies secretly at the back of gardens.\How could you wield Sword of the Yellow Emperor?\Did you call me a pretty boy? response:	Yes.
context: But he doesn't look like a God of War.\How do I not look like a God of War?\Master, your facial features are so delicate.\You're just like one of those pretty boys in those plays\who would meet up with mortal ladies secretly at the back of gardens.\How could you wield Sword of the Yellow Emperor?\Did you call me a pretty boy?\Yes. response:	Mo Yuan, I've sent you a great disciple.
context: How do I not look like a God of War?\Master, your facial features are so delicate.\You're just like one of those pretty boys in those plays\who would meet up with mortal ladies secretly at the back of gardens.\How could you wield Sword of the Yellow Emperor?\Did you call me a pretty boy?\Yes.\Mo Yuan, I've sent you a great disciple. response:	You are in for some fun.
context: Master, your facial features are so delicate.\You're just like one of those pretty boys in those plays\who would meet up with mortal ladies secretly at the back of gardens.\How could you wield Sword of the Yellow Emperor?\Did you call me a pretty boy?\Yes.\Mo Yuan, I've sent you a great disciple.\You are in for some fun. response:	It was just nostalgia.
context: You're just like one of those pretty boys in those plays\who would meet up with mortal ladies secretly at the back of gardens.\How could you wield Sword of the Yellow Emperor?\Did you call me a pretty boy?\Yes.\Mo Yuan, I've sent you a great disciple.\You are in for some fun.\It was just nostalgia. response:	Crown Prince, don't mind me.
context: who would meet up with mortal ladies secretly at the back of gardens.\How could you wield Sword of the Yellow Emperor?\Did you call me a pretty boy?\Yes.\Mo Yuan, I've sent you a great disciple.\You are in for some fun.\It was just nostalgia.\Crown Prince, don't mind me. response:	It's fine.
context: How could you wield Sword of the Yellow Emperor?\Did you call me a pretty boy?\Yes.\Mo Yuan, I've sent you a great disciple.\You are in for some fun.\It was just nostalgia.\Crown Prince, don't mind me.\It's fine. response:	Ye Hua, have you ever doubted that you could be Mo Yuan?
context: Did you call me a pretty boy?\Yes.\Mo Yuan, I've sent you a great disciple.\You are in for some fun.\It was just nostalgia.\Crown Prince, don't mind me.\It's fine.\Ye Hua, have you ever doubted that you could be Mo Yuan? response:	No.
context: Yes.\Mo Yuan, I've sent you a great disciple.\You are in for some fun.\It was just nostalgia.\Crown Prince, don't mind me.\It's fine.\Ye Hua, have you ever doubted that you could be Mo Yuan?\No. response:	But I did mistake you for him.
context: Mo Yuan, I've sent you a great disciple.\You are in for some fun.\It was just nostalgia.\Crown Prince, don't mind me.\It's fine.\Ye Hua, have you ever doubted that you could be Mo Yuan?\No.\But I did mistake you for him. response:	Even up until last night I was still confused.
context: You are in for some fun.\It was just nostalgia.\Crown Prince, don't mind me.\It's fine.\Ye Hua, have you ever doubted that you could be Mo Yuan?\No.\But I did mistake you for him.\Even up until last night I was still confused. response:	I have to find Qian Qian now!
context: It was just nostalgia.\Crown Prince, don't mind me.\It's fine.\Ye Hua, have you ever doubted that you could be Mo Yuan?\No.\But I did mistake you for him.\Even up until last night I was still confused.\I have to find Qian Qian now! response:	High God, please halt.
context: Crown Prince, don't mind me.\It's fine.\Ye Hua, have you ever doubted that you could be Mo Yuan?\No.\But I did mistake you for him.\Even up until last night I was still confused.\I have to find Qian Qian now!\High God, please halt. response:	Is there a way to revive High God Mo Yuan sooner?
context: It's fine.\Ye Hua, have you ever doubted that you could be Mo Yuan?\No.\But I did mistake you for him.\Even up until last night I was still confused.\I have to find Qian Qian now!\High God, please halt.\Is there a way to revive High God Mo Yuan sooner? response:	You'd actually want Mo Yuan to wake up sooner?
context: Ye Hua, have you ever doubted that you could be Mo Yuan?\No.\But I did mistake you for him.\Even up until last night I was still confused.\I have to find Qian Qian now!\High God, please halt.\Is there a way to revive High God Mo Yuan sooner?\You'd actually want Mo Yuan to wake up sooner? response:	This has been Qian Qian's wish for the past 70,000 years.
context: No.\But I did mistake you for him.\Even up until last night I was still confused.\I have to find Qian Qian now!\High God, please halt.\Is there a way to revive High God Mo Yuan sooner?\You'd actually want Mo Yuan to wake up sooner?\This has been Qian Qian's wish for the past 70,000 years. response:	The sooner he wakes up, the fewer days Qian Qian has to wait.
context: But I did mistake you for him.\Even up until last night I was still confused.\I have to find Qian Qian now!\High God, please halt.\Is there a way to revive High God Mo Yuan sooner?\You'd actually want Mo Yuan to wake up sooner?\This has been Qian Qian's wish for the past 70,000 years.\The sooner he wakes up, the fewer days Qian Qian has to wait. response:	All right, I'll be honest with you.
context: Even up until last night I was still confused.\I have to find Qian Qian now!\High God, please halt.\Is there a way to revive High God Mo Yuan sooner?\You'd actually want Mo Yuan to wake up sooner?\This has been Qian Qian's wish for the past 70,000 years.\The sooner he wakes up, the fewer days Qian Qian has to wait.\All right, I'll be honest with you. response:	In order to revive him I need the Soul-gathering Lamp.
context: I have to find Qian Qian now!\High God, please halt.\Is there a way to revive High God Mo Yuan sooner?\You'd actually want Mo Yuan to wake up sooner?\This has been Qian Qian's wish for the past 70,000 years.\The sooner he wakes up, the fewer days Qian Qian has to wait.\All right, I'll be honest with you.\In order to revive him I need the Soul-gathering Lamp. response:	Soul-gathering Lamp?
context: High God, please halt.\Is there a way to revive High God Mo Yuan sooner?\You'd actually want Mo Yuan to wake up sooner?\This has been Qian Qian's wish for the past 70,000 years.\The sooner he wakes up, the fewer days Qian Qian has to wait.\All right, I'll be honest with you.\In order to revive him I need the Soul-gathering Lamp.\Soul-gathering Lamp? response:	High God, you're awake?
context: Is there a way to revive High God Mo Yuan sooner?\You'd actually want Mo Yuan to wake up sooner?\This has been Qian Qian's wish for the past 70,000 years.\The sooner he wakes up, the fewer days Qian Qian has to wait.\All right, I'll be honest with you.\In order to revive him I need the Soul-gathering Lamp.\Soul-gathering Lamp?\High God, you're awake? response:	Wash your face first and I'll make you breakfast.
context: You'd actually want Mo Yuan to wake up sooner?\This has been Qian Qian's wish for the past 70,000 years.\The sooner he wakes up, the fewer days Qian Qian has to wait.\All right, I'll be honest with you.\In order to revive him I need the Soul-gathering Lamp.\Soul-gathering Lamp?\High God, you're awake?\Wash your face first and I'll make you breakfast. response:	Don't bother.
context: This has been Qian Qian's wish for the past 70,000 years.\The sooner he wakes up, the fewer days Qian Qian has to wait.\All right, I'll be honest with you.\In order to revive him I need the Soul-gathering Lamp.\Soul-gathering Lamp?\High God, you're awake?\Wash your face first and I'll make you breakfast.\Don't bother. response:	I'm going to have breakfast with Riceball in Zichen Hall.
context: The sooner he wakes up, the fewer days Qian Qian has to wait.\All right, I'll be honest with you.\In order to revive him I need the Soul-gathering Lamp.\Soul-gathering Lamp?\High God, you're awake?\Wash your face first and I'll make you breakfast.\Don't bother.\I'm going to have breakfast with Riceball in Zichen Hall. response:	Do you think he'd like that?
context: All right, I'll be honest with you.\In order to revive him I need the Soul-gathering Lamp.\Soul-gathering Lamp?\High God, you're awake?\Wash your face first and I'll make you breakfast.\Don't bother.\I'm going to have breakfast with Riceball in Zichen Hall.\Do you think he'd like that? response:	Certainly! Little Prince really likes High God.
context: In order to revive him I need the Soul-gathering Lamp.\Soul-gathering Lamp?\High God, you're awake?\Wash your face first and I'll make you breakfast.\Don't bother.\I'm going to have breakfast with Riceball in Zichen Hall.\Do you think he'd like that?\Certainly! Little Prince really likes High God. response:	He will be so happy!
context: Soul-gathering Lamp?\High God, you're awake?\Wash your face first and I'll make you breakfast.\Don't bother.\I'm going to have breakfast with Riceball in Zichen Hall.\Do you think he'd like that?\Certainly! Little Prince really likes High God.\He will be so happy! response:	I'll take you there now.
context: High God, you're awake?\Wash your face first and I'll make you breakfast.\Don't bother.\I'm going to have breakfast with Riceball in Zichen Hall.\Do you think he'd like that?\Certainly! Little Prince really likes High God.\He will be so happy!\I'll take you there now. response:	Forget it.
context: Wash your face first and I'll make you breakfast.\Don't bother.\I'm going to have breakfast with Riceball in Zichen Hall.\Do you think he'd like that?\Certainly! Little Prince really likes High God.\He will be so happy!\I'll take you there now.\Forget it. response:	I'll go to the Realm of Supreme Purity instead.
context: Don't bother.\I'm going to have breakfast with Riceball in Zichen Hall.\Do you think he'd like that?\Certainly! Little Prince really likes High God.\He will be so happy!\I'll take you there now.\Forget it.\I'll go to the Realm of Supreme Purity instead. response:	Why isn't High God visiting the little prince?
context: I'm going to have breakfast with Riceball in Zichen Hall.\Do you think he'd like that?\Certainly! Little Prince really likes High God.\He will be so happy!\I'll take you there now.\Forget it.\I'll go to the Realm of Supreme Purity instead.\Why isn't High God visiting the little prince? response:	He is after all not my child.
context: Do you think he'd like that?\Certainly! Little Prince really likes High God.\He will be so happy!\I'll take you there now.\Forget it.\I'll go to the Realm of Supreme Purity instead.\Why isn't High God visiting the little prince?\He is after all not my child. response:	If I'm not attentive enough, tongues will wag again.
context: Certainly! Little Prince really likes High God.\He will be so happy!\I'll take you there now.\Forget it.\I'll go to the Realm of Supreme Purity instead.\Why isn't High God visiting the little prince?\He is after all not my child.\If I'm not attentive enough, tongues will wag again. response:	I should avoid seeing him.
context: He will be so happy!\I'll take you there now.\Forget it.\I'll go to the Realm of Supreme Purity instead.\Why isn't High God visiting the little prince?\He is after all not my child.\If I'm not attentive enough, tongues will wag again.\I should avoid seeing him. response:	I've been helping Consort Le Xu look after the little prince
context: I'll take you there now.\Forget it.\I'll go to the Realm of Supreme Purity instead.\Why isn't High God visiting the little prince?\He is after all not my child.\If I'm not attentive enough, tongues will wag again.\I should avoid seeing him.\I've been helping Consort Le Xu look after the little prince response:	in Zichen Hall yesterday and finally get to leave this morning.
context: Forget it.\I'll go to the Realm of Supreme Purity instead.\Why isn't High God visiting the little prince?\He is after all not my child.\If I'm not attentive enough, tongues will wag again.\I should avoid seeing him.\I've been helping Consort Le Xu look after the little prince\in Zichen Hall yesterday and finally get to leave this morning. response:	I rushed off especially to greet Sister Qian Qian.
context: I'll go to the Realm of Supreme Purity instead.\Why isn't High God visiting the little prince?\He is after all not my child.\If I'm not attentive enough, tongues will wag again.\I should avoid seeing him.\I've been helping Consort Le Xu look after the little prince\in Zichen Hall yesterday and finally get to leave this morning.\I rushed off especially to greet Sister Qian Qian. response:	Since you're in such a hurry to greet me
context: Why isn't High God visiting the little prince?\He is after all not my child.\If I'm not attentive enough, tongues will wag again.\I should avoid seeing him.\I've been helping Consort Le Xu look after the little prince\in Zichen Hall yesterday and finally get to leave this morning.\I rushed off especially to greet Sister Qian Qian.\Since you're in such a hurry to greet me response:	why didn't you do so when we first met?
context: He is after all not my child.\If I'm not attentive enough, tongues will wag again.\I should avoid seeing him.\I've been helping Consort Le Xu look after the little prince\in Zichen Hall yesterday and finally get to leave this morning.\I rushed off especially to greet Sister Qian Qian.\Since you're in such a hurry to greet me\why didn't you do so when we first met? response:	You had to wait until now?
context: If I'm not attentive enough, tongues will wag again.\I should avoid seeing him.\I've been helping Consort Le Xu look after the little prince\in Zichen Hall yesterday and finally get to leave this morning.\I rushed off especially to greet Sister Qian Qian.\Since you're in such a hurry to greet me\why didn't you do so when we first met?\You had to wait until now? response:	Celestial Palace is unlike any other place.
context: I should avoid seeing him.\I've been helping Consort Le Xu look after the little prince\in Zichen Hall yesterday and finally get to leave this morning.\I rushed off especially to greet Sister Qian Qian.\Since you're in such a hurry to greet me\why didn't you do so when we first met?\You had to wait until now?\Celestial Palace is unlike any other place. response:	If it's a formal greeting, it has to conform to the rites.
context: I've been helping Consort Le Xu look after the little prince\in Zichen Hall yesterday and finally get to leave this morning.\I rushed off especially to greet Sister Qian Qian.\Since you're in such a hurry to greet me\why didn't you do so when we first met?\You had to wait until now?\Celestial Palace is unlike any other place.\If it's a formal greeting, it has to conform to the rites. response:	Only then would it demonstrate the sincerity of the worshiper.
context: in Zichen Hall yesterday and finally get to leave this morning.\I rushed off especially to greet Sister Qian Qian.\Since you're in such a hurry to greet me\why didn't you do so when we first met?\You had to wait until now?\Celestial Palace is unlike any other place.\If it's a formal greeting, it has to conform to the rites.\Only then would it demonstrate the sincerity of the worshiper. response:	According to regulations of Celestial Palace
context: I rushed off especially to greet Sister Qian Qian.\Since you're in such a hurry to greet me\why didn't you do so when we first met?\You had to wait until now?\Celestial Palace is unlike any other place.\If it's a formal greeting, it has to conform to the rites.\Only then would it demonstrate the sincerity of the worshiper.\According to regulations of Celestial Palace response:	I should have come to greet you when you first arrived.
context: Since you're in such a hurry to greet me\why didn't you do so when we first met?\You had to wait until now?\Celestial Palace is unlike any other place.\If it's a formal greeting, it has to conform to the rites.\Only then would it demonstrate the sincerity of the worshiper.\According to regulations of Celestial Palace\I should have come to greet you when you first arrived. response:	It's just that Crown Prince never told me about you.
context: why didn't you do so when we first met?\You had to wait until now?\Celestial Palace is unlike any other place.\If it's a formal greeting, it has to conform to the rites.\Only then would it demonstrate the sincerity of the worshiper.\According to regulations of Celestial Palace\I should have come to greet you when you first arrived.\It's just that Crown Prince never told me about you. response:	Yesterday when we first met, I didn't recognize who you were.
context: You had to wait until now?\Celestial Palace is unlike any other place.\If it's a formal greeting, it has to conform to the rites.\Only then would it demonstrate the sincerity of the worshiper.\According to regulations of Celestial Palace\I should have come to greet you when you first arrived.\It's just that Crown Prince never told me about you.\Yesterday when we first met, I didn't recognize who you were. response:	Sister Qian Qian must find me impolite.
context: Celestial Palace is unlike any other place.\If it's a formal greeting, it has to conform to the rites.\Only then would it demonstrate the sincerity of the worshiper.\According to regulations of Celestial Palace\I should have come to greet you when you first arrived.\It's just that Crown Prince never told me about you.\Yesterday when we first met, I didn't recognize who you were.\Sister Qian Qian must find me impolite. response:	I apologize for greeting you so late.
context: If it's a formal greeting, it has to conform to the rites.\Only then would it demonstrate the sincerity of the worshiper.\According to regulations of Celestial Palace\I should have come to greet you when you first arrived.\It's just that Crown Prince never told me about you.\Yesterday when we first met, I didn't recognize who you were.\Sister Qian Qian must find me impolite.\I apologize for greeting you so late. response:	This is my first visit to Celestial Palace
context: Only then would it demonstrate the sincerity of the worshiper.\According to regulations of Celestial Palace\I should have come to greet you when you first arrived.\It's just that Crown Prince never told me about you.\Yesterday when we first met, I didn't recognize who you were.\Sister Qian Qian must find me impolite.\I apologize for greeting you so late.\This is my first visit to Celestial Palace response:	so I know nothing of such regulations.
context: According to regulations of Celestial Palace\I should have come to greet you when you first arrived.\It's just that Crown Prince never told me about you.\Yesterday when we first met, I didn't recognize who you were.\Sister Qian Qian must find me impolite.\I apologize for greeting you so late.\This is my first visit to Celestial Palace\so I know nothing of such regulations. response:	What you just said was quite interesting.
context: I should have come to greet you when you first arrived.\It's just that Crown Prince never told me about you.\Yesterday when we first met, I didn't recognize who you were.\Sister Qian Qian must find me impolite.\I apologize for greeting you so late.\This is my first visit to Celestial Palace\so I know nothing of such regulations.\What you just said was quite interesting. response:	You may now greet me accordingly.
context: It's just that Crown Prince never told me about you.\Yesterday when we first met, I didn't recognize who you were.\Sister Qian Qian must find me impolite.\I apologize for greeting you so late.\This is my first visit to Celestial Palace\so I know nothing of such regulations.\What you just said was quite interesting.\You may now greet me accordingly. response:	That was it?
context: Yesterday when we first met, I didn't recognize who you were.\Sister Qian Qian must find me impolite.\I apologize for greeting you so late.\This is my first visit to Celestial Palace\so I know nothing of such regulations.\What you just said was quite interesting.\You may now greet me accordingly.\That was it? response:	Your greeting seemed too informal.
context: Sister Qian Qian must find me impolite.\I apologize for greeting you so late.\This is my first visit to Celestial Palace\so I know nothing of such regulations.\What you just said was quite interesting.\You may now greet me accordingly.\That was it?\Your greeting seemed too informal. response:	What is this for?
context: I apologize for greeting you so late.\This is my first visit to Celestial Palace\so I know nothing of such regulations.\What you just said was quite interesting.\You may now greet me accordingly.\That was it?\Your greeting seemed too informal.\What is this for? response:	I greeted you as a side consort would to the legal consort.
context: This is my first visit to Celestial Palace\so I know nothing of such regulations.\What you just said was quite interesting.\You may now greet me accordingly.\That was it?\Your greeting seemed too informal.\What is this for?\I greeted you as a side consort would to the legal consort. response:	This is now a greeting to a benefactor.
context: so I know nothing of such regulations.\What you just said was quite interesting.\You may now greet me accordingly.\That was it?\Your greeting seemed too informal.\What is this for?\I greeted you as a side consort would to the legal consort.\This is now a greeting to a benefactor. response:	I thank Sister Qian Qian for looking after A-Li these months.
context: What you just said was quite interesting.\You may now greet me accordingly.\That was it?\Your greeting seemed too informal.\What is this for?\I greeted you as a side consort would to the legal consort.\This is now a greeting to a benefactor.\I thank Sister Qian Qian for looking after A-Li these months. response:	I'm very grateful.
context: You may now greet me accordingly.\That was it?\Your greeting seemed too informal.\What is this for?\I greeted you as a side consort would to the legal consort.\This is now a greeting to a benefactor.\I thank Sister Qian Qian for looking after A-Li these months.\I'm very grateful. response:	A-Li lost his mother at a young age.
context: That was it?\Your greeting seemed too informal.\What is this for?\I greeted you as a side consort would to the legal consort.\This is now a greeting to a benefactor.\I thank Sister Qian Qian for looking after A-Li these months.\I'm very grateful.\A-Li lost his mother at a young age. response:	It's because of your appearance that he mistook you for his mother.
context: Your greeting seemed too informal.\What is this for?\I greeted you as a side consort would to the legal consort.\This is now a greeting to a benefactor.\I thank Sister Qian Qian for looking after A-Li these months.\I'm very grateful.\A-Li lost his mother at a young age.\It's because of your appearance that he mistook you for his mother. response:	I hope that Sister Qian Qian won't take it to heart if he offended you.
context: What is this for?\I greeted you as a side consort would to the legal consort.\This is now a greeting to a benefactor.\I thank Sister Qian Qian for looking after A-Li these months.\I'm very grateful.\A-Li lost his mother at a young age.\It's because of your appearance that he mistook you for his mother.\I hope that Sister Qian Qian won't take it to heart if he offended you. response:	I won't take it to heart.
context: I greeted you as a side consort would to the legal consort.\This is now a greeting to a benefactor.\I thank Sister Qian Qian for looking after A-Li these months.\I'm very grateful.\A-Li lost his mother at a young age.\It's because of your appearance that he mistook you for his mother.\I hope that Sister Qian Qian won't take it to heart if he offended you.\I won't take it to heart. response:	I do like him very much.
context: This is now a greeting to a benefactor.\I thank Sister Qian Qian for looking after A-Li these months.\I'm very grateful.\A-Li lost his mother at a young age.\It's because of your appearance that he mistook you for his mother.\I hope that Sister Qian Qian won't take it to heart if he offended you.\I won't take it to heart.\I do like him very much. response:	Crown Prince was very devoted to A-Li's mother.
context: I thank Sister Qian Qian for looking after A-Li these months.\I'm very grateful.\A-Li lost his mother at a young age.\It's because of your appearance that he mistook you for his mother.\I hope that Sister Qian Qian won't take it to heart if he offended you.\I won't take it to heart.\I do like him very much.\Crown Prince was very devoted to A-Li's mother. response:	When she jumped off from Zhuxian Terrace
context: I'm very grateful.\A-Li lost his mother at a young age.\It's because of your appearance that he mistook you for his mother.\I hope that Sister Qian Qian won't take it to heart if he offended you.\I won't take it to heart.\I do like him very much.\Crown Prince was very devoted to A-Li's mother.\When she jumped off from Zhuxian Terrace response:	Crown Prince jumped in after her.
context: A-Li lost his mother at a young age.\It's because of your appearance that he mistook you for his mother.\I hope that Sister Qian Qian won't take it to heart if he offended you.\I won't take it to heart.\I do like him very much.\Crown Prince was very devoted to A-Li's mother.\When she jumped off from Zhuxian Terrace\Crown Prince jumped in after her. response:	After High God Zhe Yan rescued him
context: It's because of your appearance that he mistook you for his mother.\I hope that Sister Qian Qian won't take it to heart if he offended you.\I won't take it to heart.\I do like him very much.\Crown Prince was very devoted to A-Li's mother.\When she jumped off from Zhuxian Terrace\Crown Prince jumped in after her.\After High God Zhe Yan rescued him response:	he stayed in a coma in Zichen Hall for 60 years.
context: I hope that Sister Qian Qian won't take it to heart if he offended you.\I won't take it to heart.\I do like him very much.\Crown Prince was very devoted to A-Li's mother.\When she jumped off from Zhuxian Terrace\Crown Prince jumped in after her.\After High God Zhe Yan rescued him\he stayed in a coma in Zichen Hall for 60 years. response:	Sister Qian Qian, look.
context: I won't take it to heart.\I do like him very much.\Crown Prince was very devoted to A-Li's mother.\When she jumped off from Zhuxian Terrace\Crown Prince jumped in after her.\After High God Zhe Yan rescued him\he stayed in a coma in Zichen Hall for 60 years.\Sister Qian Qian, look. response:	The peach blossoms in the Hall of Beautiful Youth
context: I do like him very much.\Crown Prince was very devoted to A-Li's mother.\When she jumped off from Zhuxian Terrace\Crown Prince jumped in after her.\After High God Zhe Yan rescued him\he stayed in a coma in Zichen Hall for 60 years.\Sister Qian Qian, look.\The peach blossoms in the Hall of Beautiful Youth response:	were planted by Crown Prince in memory of A-Li's mother.
context: Crown Prince was very devoted to A-Li's mother.\When she jumped off from Zhuxian Terrace\Crown Prince jumped in after her.\After High God Zhe Yan rescued him\he stayed in a coma in Zichen Hall for 60 years.\Sister Qian Qian, look.\The peach blossoms in the Hall of Beautiful Youth\were planted by Crown Prince in memory of A-Li's mother. response:	His Highness hasn't been happy for 200 years now.
context: When she jumped off from Zhuxian Terrace\Crown Prince jumped in after her.\After High God Zhe Yan rescued him\he stayed in a coma in Zichen Hall for 60 years.\Sister Qian Qian, look.\The peach blossoms in the Hall of Beautiful Youth\were planted by Crown Prince in memory of A-Li's mother.\His Highness hasn't been happy for 200 years now. response:	Sister Qian Qian, since you resemble A-Li's mother
context: Crown Prince jumped in after her.\After High God Zhe Yan rescued him\he stayed in a coma in Zichen Hall for 60 years.\Sister Qian Qian, look.\The peach blossoms in the Hall of Beautiful Youth\were planted by Crown Prince in memory of A-Li's mother.\His Highness hasn't been happy for 200 years now.\Sister Qian Qian, since you resemble A-Li's mother response:	I do think that it's fate.
context: After High God Zhe Yan rescued him\he stayed in a coma in Zichen Hall for 60 years.\Sister Qian Qian, look.\The peach blossoms in the Hall of Beautiful Youth\were planted by Crown Prince in memory of A-Li's mother.\His Highness hasn't been happy for 200 years now.\Sister Qian Qian, since you resemble A-Li's mother\I do think that it's fate. response:	I greeted you so formally in hope that you could marry the Crown Prince sooner
context: he stayed in a coma in Zichen Hall for 60 years.\Sister Qian Qian, look.\The peach blossoms in the Hall of Beautiful Youth\were planted by Crown Prince in memory of A-Li's mother.\His Highness hasn't been happy for 200 years now.\Sister Qian Qian, since you resemble A-Li's mother\I do think that it's fate.\I greeted you so formally in hope that you could marry the Crown Prince sooner response:	and bring some comfort to his half dead heart.
context: Sister Qian Qian, look.\The peach blossoms in the Hall of Beautiful Youth\were planted by Crown Prince in memory of A-Li's mother.\His Highness hasn't been happy for 200 years now.\Sister Qian Qian, since you resemble A-Li's mother\I do think that it's fate.\I greeted you so formally in hope that you could marry the Crown Prince sooner\and bring some comfort to his half dead heart. response:	This side consort is quick-witted.
context: The peach blossoms in the Hall of Beautiful Youth\were planted by Crown Prince in memory of A-Li's mother.\His Highness hasn't been happy for 200 years now.\Sister Qian Qian, since you resemble A-Li's mother\I do think that it's fate.\I greeted you so formally in hope that you could marry the Crown Prince sooner\and bring some comfort to his half dead heart.\This side consort is quick-witted. response:	She means to say that I, Bai Qian of Qing Qiu
context: were planted by Crown Prince in memory of A-Li's mother.\His Highness hasn't been happy for 200 years now.\Sister Qian Qian, since you resemble A-Li's mother\I do think that it's fate.\I greeted you so formally in hope that you could marry the Crown Prince sooner\and bring some comfort to his half dead heart.\This side consort is quick-witted.\She means to say that I, Bai Qian of Qing Qiu response:	won the affection of Ye Hua because I resemble A-Li's mother.
context: His Highness hasn't been happy for 200 years now.\Sister Qian Qian, since you resemble A-Li's mother\I do think that it's fate.\I greeted you so formally in hope that you could marry the Crown Prince sooner\and bring some comfort to his half dead heart.\This side consort is quick-witted.\She means to say that I, Bai Qian of Qing Qiu\won the affection of Ye Hua because I resemble A-Li's mother. response:	Fortunately, I've read quite a few plays when roaming in Mortal Realm.
context: Sister Qian Qian, since you resemble A-Li's mother\I do think that it's fate.\I greeted you so formally in hope that you could marry the Crown Prince sooner\and bring some comfort to his half dead heart.\This side consort is quick-witted.\She means to say that I, Bai Qian of Qing Qiu\won the affection of Ye Hua because I resemble A-Li's mother.\Fortunately, I've read quite a few plays when roaming in Mortal Realm. response:	I could figure out her underlying sarcasms.
context: I do think that it's fate.\I greeted you so formally in hope that you could marry the Crown Prince sooner\and bring some comfort to his half dead heart.\This side consort is quick-witted.\She means to say that I, Bai Qian of Qing Qiu\won the affection of Ye Hua because I resemble A-Li's mother.\Fortunately, I've read quite a few plays when roaming in Mortal Realm.\I could figure out her underlying sarcasms. response:	Since you've confided so much in me
context: I greeted you so formally in hope that you could marry the Crown Prince sooner\and bring some comfort to his half dead heart.\This side consort is quick-witted.\She means to say that I, Bai Qian of Qing Qiu\won the affection of Ye Hua because I resemble A-Li's mother.\Fortunately, I've read quite a few plays when roaming in Mortal Realm.\I could figure out her underlying sarcasms.\Since you've confided so much in me response:	I should reciprocate.
context: and bring some comfort to his half dead heart.\This side consort is quick-witted.\She means to say that I, Bai Qian of Qing Qiu\won the affection of Ye Hua because I resemble A-Li's mother.\Fortunately, I've read quite a few plays when roaming in Mortal Realm.\I could figure out her underlying sarcasms.\Since you've confided so much in me\I should reciprocate. response:	Sister, do tell.
context: This side consort is quick-witted.\She means to say that I, Bai Qian of Qing Qiu\won the affection of Ye Hua because I resemble A-Li's mother.\Fortunately, I've read quite a few plays when roaming in Mortal Realm.\I could figure out her underlying sarcasms.\Since you've confided so much in me\I should reciprocate.\Sister, do tell. response:	Su Jin...
