context: Man, it's cold... response:	Dammit, this is needlessly lacy. It's so hard to wash.
context: but eat as much as you want, Our Sword!\Our Sword?\That's right. You're a peasant like us,\but you won the duel against that snobby noble boy.\You're the pride of the peasants, Our Sword!\When I held that sword, my body just moved on its own,\so I have no idea what was going on.\Did you hear that? response:	A true master is like this, never boasting!
context: Our Sword?\That's right. You're a peasant like us,\but you won the duel against that snobby noble boy.\You're the pride of the peasants, Our Sword!\When I held that sword, my body just moved on its own,\so I have no idea what was going on.\Did you hear that?\A true master is like this, never boasting! response:	This is where he's different from all those stupid nobles!
context: That's right. You're a peasant like us,\but you won the duel against that snobby noble boy.\You're the pride of the peasants, Our Sword!\When I held that sword, my body just moved on its own,\so I have no idea what was going on.\Did you hear that?\A true master is like this, never boasting!\This is where he's different from all those stupid nobles! response:	I expected nothing less!
context: but you won the duel against that snobby noble boy.\You're the pride of the peasants, Our Sword!\When I held that sword, my body just moved on its own,\so I have no idea what was going on.\Did you hear that?\A true master is like this, never boasting!\This is where he's different from all those stupid nobles!\I expected nothing less! response:	Nothing less!
context: You're the pride of the peasants, Our Sword!\When I held that sword, my body just moved on its own,\so I have no idea what was going on.\Did you hear that?\A true master is like this, never boasting!\This is where he's different from all those stupid nobles!\I expected nothing less!\Nothing less! response:	But do they always eat stuff this tasty? Damn...
context: When I held that sword, my body just moved on its own,\so I have no idea what was going on.\Did you hear that?\A true master is like this, never boasting!\This is where he's different from all those stupid nobles!\I expected nothing less!\Nothing less!\But do they always eat stuff this tasty? Damn... response:	When it comes to me, Marteau the head chef,
context: so I have no idea what was going on.\Did you hear that?\A true master is like this, never boasting!\This is where he's different from all those stupid nobles!\I expected nothing less!\Nothing less!\But do they always eat stuff this tasty? Damn...\When it comes to me, Marteau the head chef, response:	anything will end up tasting exquisite!
context: Did you hear that?\A true master is like this, never boasting!\This is where he's different from all those stupid nobles!\I expected nothing less!\Nothing less!\But do they always eat stuff this tasty? Damn...\When it comes to me, Marteau the head chef,\anything will end up tasting exquisite! response:	This is magic in and of itself.
context: A true master is like this, never boasting!\This is where he's different from all those stupid nobles!\I expected nothing less!\Nothing less!\But do they always eat stuff this tasty? Damn...\When it comes to me, Marteau the head chef,\anything will end up tasting exquisite!\This is magic in and of itself. response:	You're right! I've never had stew this tasty before!
context: This is where he's different from all those stupid nobles!\I expected nothing less!\Nothing less!\But do they always eat stuff this tasty? Damn...\When it comes to me, Marteau the head chef,\anything will end up tasting exquisite!\This is magic in and of itself.\You're right! I've never had stew this tasty before! response:	A good man! Saito, you really are a good man!
context: I expected nothing less!\Nothing less!\But do they always eat stuff this tasty? Damn...\When it comes to me, Marteau the head chef,\anything will end up tasting exquisite!\This is magic in and of itself.\You're right! I've never had stew this tasty before!\A good man! Saito, you really are a good man! response:	I like you, Our Sword!
context: Nothing less!\But do they always eat stuff this tasty? Damn...\When it comes to me, Marteau the head chef,\anything will end up tasting exquisite!\This is magic in and of itself.\You're right! I've never had stew this tasty before!\A good man! Saito, you really are a good man!\I like you, Our Sword! response:	Please, let me kiss you!
context: But do they always eat stuff this tasty? Damn...\When it comes to me, Marteau the head chef,\anything will end up tasting exquisite!\This is magic in and of itself.\You're right! I've never had stew this tasty before!\A good man! Saito, you really are a good man!\I like you, Our Sword!\Please, let me kiss you! response:	I'll hold off from being called that, and the kiss!
context: When it comes to me, Marteau the head chef,\anything will end up tasting exquisite!\This is magic in and of itself.\You're right! I've never had stew this tasty before!\A good man! Saito, you really are a good man!\I like you, Our Sword!\Please, let me kiss you!\I'll hold off from being called that, and the kiss! response:	Such modesty. As expected!
context: anything will end up tasting exquisite!\This is magic in and of itself.\You're right! I've never had stew this tasty before!\A good man! Saito, you really are a good man!\I like you, Our Sword!\Please, let me kiss you!\I'll hold off from being called that, and the kiss!\Such modesty. As expected! response:	As expected!
context: This is magic in and of itself.\You're right! I've never had stew this tasty before!\A good man! Saito, you really are a good man!\I like you, Our Sword!\Please, let me kiss you!\I'll hold off from being called that, and the kiss!\Such modesty. As expected!\As expected! response:	Please come again.
context: You're right! I've never had stew this tasty before!\A good man! Saito, you really are a good man!\I like you, Our Sword!\Please, let me kiss you!\I'll hold off from being called that, and the kiss!\Such modesty. As expected!\As expected!\Please come again. response:	Every one of them is a fan of yours, Mr. Saito.
context: A good man! Saito, you really are a good man!\I like you, Our Sword!\Please, let me kiss you!\I'll hold off from being called that, and the kiss!\Such modesty. As expected!\As expected!\Please come again.\Every one of them is a fan of yours, Mr. Saito. response:	Thanks to this, I'm now confident that I can survive here.
context: I like you, Our Sword!\Please, let me kiss you!\I'll hold off from being called that, and the kiss!\Such modesty. As expected!\As expected!\Please come again.\Every one of them is a fan of yours, Mr. Saito.\Thanks to this, I'm now confident that I can survive here. response:	Though when I got injured the other day,
context: Please, let me kiss you!\I'll hold off from being called that, and the kiss!\Such modesty. As expected!\As expected!\Please come again.\Every one of them is a fan of yours, Mr. Saito.\Thanks to this, I'm now confident that I can survive here.\Though when I got injured the other day, response:	I thought that I was going to die.
context: I'll hold off from being called that, and the kiss!\Such modesty. As expected!\As expected!\Please come again.\Every one of them is a fan of yours, Mr. Saito.\Thanks to this, I'm now confident that I can survive here.\Though when I got injured the other day,\I thought that I was going to die. response:	Mr. Saito, you really were in a dangerous situation,
context: Such modesty. As expected!\As expected!\Please come again.\Every one of them is a fan of yours, Mr. Saito.\Thanks to this, I'm now confident that I can survive here.\Though when I got injured the other day,\I thought that I was going to die.\Mr. Saito, you really were in a dangerous situation, response:	one step shy of a coma.
context: As expected!\Please come again.\Every one of them is a fan of yours, Mr. Saito.\Thanks to this, I'm now confident that I can survive here.\Though when I got injured the other day,\I thought that I was going to die.\Mr. Saito, you really were in a dangerous situation,\one step shy of a coma. response:	Is that so?
context: Please come again.\Every one of them is a fan of yours, Mr. Saito.\Thanks to this, I'm now confident that I can survive here.\Though when I got injured the other day,\I thought that I was going to die.\Mr. Saito, you really were in a dangerous situation,\one step shy of a coma.\Is that so? response:	You only revived after Miss Valliere ordered a terribly expensive elixir.
context: Every one of them is a fan of yours, Mr. Saito.\Thanks to this, I'm now confident that I can survive here.\Though when I got injured the other day,\I thought that I was going to die.\Mr. Saito, you really were in a dangerous situation,\one step shy of a coma.\Is that so?\You only revived after Miss Valliere ordered a terribly expensive elixir. response:	As a noble, she sure has money to spend.
context: Thanks to this, I'm now confident that I can survive here.\Though when I got injured the other day,\I thought that I was going to die.\Mr. Saito, you really were in a dangerous situation,\one step shy of a coma.\Is that so?\You only revived after Miss Valliere ordered a terribly expensive elixir.\As a noble, she sure has money to spend. response:	Um, Mr. Saito?
context: Though when I got injured the other day,\I thought that I was going to die.\Mr. Saito, you really were in a dangerous situation,\one step shy of a coma.\Is that so?\You only revived after Miss Valliere ordered a terribly expensive elixir.\As a noble, she sure has money to spend.\Um, Mr. Saito? response:	I would like to have a long chat with you sometime.
context: I thought that I was going to die.\Mr. Saito, you really were in a dangerous situation,\one step shy of a coma.\Is that so?\You only revived after Miss Valliere ordered a terribly expensive elixir.\As a noble, she sure has money to spend.\Um, Mr. Saito?\I would like to have a long chat with you sometime. response:	Is something the matter?
context: Mr. Saito, you really were in a dangerous situation,\one step shy of a coma.\Is that so?\You only revived after Miss Valliere ordered a terribly expensive elixir.\As a noble, she sure has money to spend.\Um, Mr. Saito?\I would like to have a long chat with you sometime.\Is something the matter? response:	Uh, no... Someday later.
context: one step shy of a coma.\Is that so?\You only revived after Miss Valliere ordered a terribly expensive elixir.\As a noble, she sure has money to spend.\Um, Mr. Saito?\I would like to have a long chat with you sometime.\Is something the matter?\Uh, no... Someday later. response:	Yes.
context: Is that so?\You only revived after Miss Valliere ordered a terribly expensive elixir.\As a noble, she sure has money to spend.\Um, Mr. Saito?\I would like to have a long chat with you sometime.\Is something the matter?\Uh, no... Someday later.\Yes. response:	Well, I think it's about time for me to head back.
context: You only revived after Miss Valliere ordered a terribly expensive elixir.\As a noble, she sure has money to spend.\Um, Mr. Saito?\I would like to have a long chat with you sometime.\Is something the matter?\Uh, no... Someday later.\Yes.\Well, I think it's about time for me to head back. response:	Good night.
context: As a noble, she sure has money to spend.\Um, Mr. Saito?\I would like to have a long chat with you sometime.\Is something the matter?\Uh, no... Someday later.\Yes.\Well, I think it's about time for me to head back.\Good night. response:	Night!
context: Um, Mr. Saito?\I would like to have a long chat with you sometime.\Is something the matter?\Uh, no... Someday later.\Yes.\Well, I think it's about time for me to head back.\Good night.\Night! response:	She's such a good girl!
context: I would like to have a long chat with you sometime.\Is something the matter?\Uh, no... Someday later.\Yes.\Well, I think it's about time for me to head back.\Good night.\Night!\She's such a good girl! response:	What?!
context: Is something the matter?\Uh, no... Someday later.\Yes.\Well, I think it's about time for me to head back.\Good night.\Night!\She's such a good girl!\What?! response:	You're Kirche's...
context: Uh, no... Someday later.\Yes.\Well, I think it's about time for me to head back.\Good night.\Night!\She's such a good girl!\What?!\You're Kirche's... response:	If you eat something like me,
context: Yes.\Well, I think it's about time for me to head back.\Good night.\Night!\She's such a good girl!\What?!\You're Kirche's...\If you eat something like me, response:	you're sure to have an upset stomach!
context: Well, I think it's about time for me to head back.\Good night.\Night!\She's such a good girl!\What?!\You're Kirche's...\If you eat something like me,\you're sure to have an upset stomach! response:	Is it all right? It won't be my fault!
context: Good night.\Night!\She's such a good girl!\What?!\You're Kirche's...\If you eat something like me,\you're sure to have an upset stomach!\Is it all right? It won't be my fault! response:	Hey, are you listening?
context: Night!\She's such a good girl!\What?!\You're Kirche's...\If you eat something like me,\you're sure to have an upset stomach!\Is it all right? It won't be my fault!\Hey, are you listening? response:	This is...
context: She's such a good girl!\What?!\You're Kirche's...\If you eat something like me,\you're sure to have an upset stomach!\Is it all right? It won't be my fault!\Hey, are you listening?\This is... response:	Kirche?
context: What?!\You're Kirche's...\If you eat something like me,\you're sure to have an upset stomach!\Is it all right? It won't be my fault!\Hey, are you listening?\This is...\Kirche? response:	Oh, was it Hira Gasaito?
context: You're Kirche's...\If you eat something like me,\you're sure to have an upset stomach!\Is it all right? It won't be my fault!\Hey, are you listening?\This is...\Kirche?\Oh, was it Hira Gasaito? response:	If you don't mind, just call me Saito.
context: If you eat something like me,\you're sure to have an upset stomach!\Is it all right? It won't be my fault!\Hey, are you listening?\This is...\Kirche?\Oh, was it Hira Gasaito?\If you don't mind, just call me Saito. response:	All right.
context: you're sure to have an upset stomach!\Is it all right? It won't be my fault!\Hey, are you listening?\This is...\Kirche?\Oh, was it Hira Gasaito?\If you don't mind, just call me Saito.\All right. response:	Saito...
context: Is it all right? It won't be my fault!\Hey, are you listening?\This is...\Kirche?\Oh, was it Hira Gasaito?\If you don't mind, just call me Saito.\All right.\Saito... response:	I know that it's something that shouldn't be.
context: Hey, are you listening?\This is...\Kirche?\Oh, was it Hira Gasaito?\If you don't mind, just call me Saito.\All right.\Saito...\I know that it's something that shouldn't be. response:	But my byname is Fever.
context: This is...\Kirche?\Oh, was it Hira Gasaito?\If you don't mind, just call me Saito.\All right.\Saito...\I know that it's something that shouldn't be.\But my byname is Fever. response:	I tend to burn like a torch.
context: Kirche?\Oh, was it Hira Gasaito?\If you don't mind, just call me Saito.\All right.\Saito...\I know that it's something that shouldn't be.\But my byname is Fever.\I tend to burn like a torch. response:	Uh, I see.
context: Oh, was it Hira Gasaito?\If you don't mind, just call me Saito.\All right.\Saito...\I know that it's something that shouldn't be.\But my byname is Fever.\I tend to burn like a torch.\Uh, I see. response:	You still don't understand?
context: If you don't mind, just call me Saito.\All right.\Saito...\I know that it's something that shouldn't be.\But my byname is Fever.\I tend to burn like a torch.\Uh, I see.\You still don't understand? response:	I'm in love with you!
context: All right.\Saito...\I know that it's something that shouldn't be.\But my byname is Fever.\I tend to burn like a torch.\Uh, I see.\You still don't understand?\I'm in love with you! response:	Love always comes so suddenly.
context: Saito...\I know that it's something that shouldn't be.\But my byname is Fever.\I tend to burn like a torch.\Uh, I see.\You still don't understand?\I'm in love with you!\Love always comes so suddenly. response:	It's certainly sudden.
context: I know that it's something that shouldn't be.\But my byname is Fever.\I tend to burn like a torch.\Uh, I see.\You still don't understand?\I'm in love with you!\Love always comes so suddenly.\It's certainly sudden. response:	You looked so handsome when you defeated Guiche!
context: But my byname is Fever.\I tend to burn like a torch.\Uh, I see.\You still don't understand?\I'm in love with you!\Love always comes so suddenly.\It's certainly sudden.\You looked so handsome when you defeated Guiche! response:	Seeing it, Kirche the Fever became Kirche the Passion...
context: I tend to burn like a torch.\Uh, I see.\You still don't understand?\I'm in love with you!\Love always comes so suddenly.\It's certainly sudden.\You looked so handsome when you defeated Guiche!\Seeing it, Kirche the Fever became Kirche the Passion... response:	Um...
context: Uh, I see.\You still don't understand?\I'm in love with you!\Love always comes so suddenly.\It's certainly sudden.\You looked so handsome when you defeated Guiche!\Seeing it, Kirche the Fever became Kirche the Passion...\Um... response:	Kirche!
context: You still don't understand?\I'm in love with you!\Love always comes so suddenly.\It's certainly sudden.\You looked so handsome when you defeated Guiche!\Seeing it, Kirche the Fever became Kirche the Passion...\Um...\Kirche! response:	Oh, my, Styx?
context: I'm in love with you!\Love always comes so suddenly.\It's certainly sudden.\You looked so handsome when you defeated Guiche!\Seeing it, Kirche the Fever became Kirche the Passion...\Um...\Kirche!\Oh, my, Styx? response:	I came by because you didn't show up at our promised time.
context: Love always comes so suddenly.\It's certainly sudden.\You looked so handsome when you defeated Guiche!\Seeing it, Kirche the Fever became Kirche the Passion...\Um...\Kirche!\Oh, my, Styx?\I came by because you didn't show up at our promised time. response:	Then change that appointment to two hours from now.
context: It's certainly sudden.\You looked so handsome when you defeated Guiche!\Seeing it, Kirche the Fever became Kirche the Passion...\Um...\Kirche!\Oh, my, Styx?\I came by because you didn't show up at our promised time.\Then change that appointment to two hours from now. response:	That's not the deal we had!
context: You looked so handsome when you defeated Guiche!\Seeing it, Kirche the Fever became Kirche the Passion...\Um...\Kirche!\Oh, my, Styx?\I came by because you didn't show up at our promised time.\Then change that appointment to two hours from now.\That's not the deal we had! response:	This is the third floor, right?
context: Seeing it, Kirche the Fever became Kirche the Passion...\Um...\Kirche!\Oh, my, Styx?\I came by because you didn't show up at our promised time.\Then change that appointment to two hours from now.\That's not the deal we had!\This is the third floor, right? response:	That was...
context: Um...\Kirche!\Oh, my, Styx?\I came by because you didn't show up at our promised time.\Then change that appointment to two hours from now.\That's not the deal we had!\This is the third floor, right?\That was... response:	Just a friend.
context: Kirche!\Oh, my, Styx?\I came by because you didn't show up at our promised time.\Then change that appointment to two hours from now.\That's not the deal we had!\This is the third floor, right?\That was...\Just a friend. response:	Right now, the one that I love the most is...
context: Oh, my, Styx?\I came by because you didn't show up at our promised time.\Then change that appointment to two hours from now.\That's not the deal we had!\This is the third floor, right?\That was...\Just a friend.\Right now, the one that I love the most is... response:	Kirche!
context: I came by because you didn't show up at our promised time.\Then change that appointment to two hours from now.\That's not the deal we had!\This is the third floor, right?\That was...\Just a friend.\Right now, the one that I love the most is...\Kirche! response:	Who is that man?!
context: Then change that appointment to two hours from now.\That's not the deal we had!\This is the third floor, right?\That was...\Just a friend.\Right now, the one that I love the most is...\Kirche!\Who is that man?! response:	Tonight, I want you to burn up with me...
context: That's not the deal we had!\This is the third floor, right?\That was...\Just a friend.\Right now, the one that I love the most is...\Kirche!\Who is that man?!\Tonight, I want you to burn up with me... response:	That was another friend?
context: This is the third floor, right?\That was...\Just a friend.\Right now, the one that I love the most is...\Kirche!\Who is that man?!\Tonight, I want you to burn up with me...\That was another friend? response:	That's right.
context: That was...\Just a friend.\Right now, the one that I love the most is...\Kirche!\Who is that man?!\Tonight, I want you to burn up with me...\That was another friend?\That's right. response:	In any case, the night is short,
context: Just a friend.\Right now, the one that I love the most is...\Kirche!\Who is that man?!\Tonight, I want you to burn up with me...\That was another friend?\That's right.\In any case, the night is short, response:	and I don't want to waste any time with you!
context: Right now, the one that I love the most is...\Kirche!\Who is that man?!\Tonight, I want you to burn up with me...\That was another friend?\That's right.\In any case, the night is short,\and I don't want to waste any time with you! response:	Kirche!
context: Kirche!\Who is that man?!\Tonight, I want you to burn up with me...\That was another friend?\That's right.\In any case, the night is short,\and I don't want to waste any time with you!\Kirche! response:	What are you doing?! You said you didn't have any particular lover!
context: Who is that man?!\Tonight, I want you to burn up with me...\That was another friend?\That's right.\In any case, the night is short,\and I don't want to waste any time with you!\Kirche!\What are you doing?! You said you didn't have any particular lover! response:	Manica... Ajax... Gimly!
context: Tonight, I want you to burn up with me...\That was another friend?\That's right.\In any case, the night is short,\and I don't want to waste any time with you!\Kirche!\What are you doing?! You said you didn't have any particular lover!\Manica... Ajax... Gimly! response:	Well then, in six hours.
context: That was another friend?\That's right.\In any case, the night is short,\and I don't want to waste any time with you!\Kirche!\What are you doing?! You said you didn't have any particular lover!\Manica... Ajax... Gimly!\Well then, in six hours. response:	That's morning already!
context: That's right.\In any case, the night is short,\and I don't want to waste any time with you!\Kirche!\What are you doing?! You said you didn't have any particular lover!\Manica... Ajax... Gimly!\Well then, in six hours.\That's morning already! response:	Flame!
context: In any case, the night is short,\and I don't want to waste any time with you!\Kirche!\What are you doing?! You said you didn't have any particular lover!\Manica... Ajax... Gimly!\Well then, in six hours.\That's morning already!\Flame! response:	Come on...
context: and I don't want to waste any time with you!\Kirche!\What are you doing?! You said you didn't have any particular lover!\Manica... Ajax... Gimly!\Well then, in six hours.\That's morning already!\Flame!\Come on... response:	I love you, Saito!
context: Kirche!\What are you doing?! You said you didn't have any particular lover!\Manica... Ajax... Gimly!\Well then, in six hours.\That's morning already!\Flame!\Come on...\I love you, Saito! response:	Um, I have an errand to run.
context: What are you doing?! You said you didn't have any particular lover!\Manica... Ajax... Gimly!\Well then, in six hours.\That's morning already!\Flame!\Come on...\I love you, Saito!\Um, I have an errand to run. response:	You know, I'm just a familiar, so I'm really busy. It's true.
context: Manica... Ajax... Gimly!\Well then, in six hours.\That's morning already!\Flame!\Come on...\I love you, Saito!\Um, I have an errand to run.\You know, I'm just a familiar, so I'm really busy. It's true. response:	Leave them be. I'm much more than Louise the Zero.
context: Well then, in six hours.\That's morning already!\Flame!\Come on...\I love you, Saito!\Um, I have an errand to run.\You know, I'm just a familiar, so I'm really busy. It's true.\Leave them be. I'm much more than Louise the Zero. response:	She's right, those aren't a zero...
context: That's morning already!\Flame!\Come on...\I love you, Saito!\Um, I have an errand to run.\You know, I'm just a familiar, so I'm really busy. It's true.\Leave them be. I'm much more than Louise the Zero.\She's right, those aren't a zero... response:	Oh?
context: Flame!\Come on...\I love you, Saito!\Um, I have an errand to run.\You know, I'm just a familiar, so I'm really busy. It's true.\Leave them be. I'm much more than Louise the Zero.\She's right, those aren't a zero...\Oh? response:	Louise? Oh?
context: Come on...\I love you, Saito!\Um, I have an errand to run.\You know, I'm just a familiar, so I'm really busy. It's true.\Leave them be. I'm much more than Louise the Zero.\She's right, those aren't a zero...\Oh?\Louise? Oh? response:	Louise? Kirche!
context: I love you, Saito!\Um, I have an errand to run.\You know, I'm just a familiar, so I'm really busy. It's true.\Leave them be. I'm much more than Louise the Zero.\She's right, those aren't a zero...\Oh?\Louise? Oh?\Louise? Kirche! response:	Kirche!
context: Um, I have an errand to run.\You know, I'm just a familiar, so I'm really busy. It's true.\Leave them be. I'm much more than Louise the Zero.\She's right, those aren't a zero...\Oh?\Louise? Oh?\Louise? Kirche!\Kirche! response:	I'm busy right now, Valliere.
context: You know, I'm just a familiar, so I'm really busy. It's true.\Leave them be. I'm much more than Louise the Zero.\She's right, those aren't a zero...\Oh?\Louise? Oh?\Louise? Kirche!\Kirche!\I'm busy right now, Valliere. response:	Zerbst! Whose familiar are you trying to seduce?!
context: Leave them be. I'm much more than Louise the Zero.\She's right, those aren't a zero...\Oh?\Louise? Oh?\Louise? Kirche!\Kirche!\I'm busy right now, Valliere.\Zerbst! Whose familiar are you trying to seduce?! response:	It can't be helped.
context: She's right, those aren't a zero...\Oh?\Louise? Oh?\Louise? Kirche!\Kirche!\I'm busy right now, Valliere.\Zerbst! Whose familiar are you trying to seduce?!\It can't be helped. response:	Love and fire are the destinies of the von Zerbst family.
context: Oh?\Louise? Oh?\Louise? Kirche!\Kirche!\I'm busy right now, Valliere.\Zerbst! Whose familiar are you trying to seduce?!\It can't be helped.\Love and fire are the destinies of the von Zerbst family. response:	I only wish to burn in flames of love.
context: Louise? Oh?\Louise? Kirche!\Kirche!\I'm busy right now, Valliere.\Zerbst! Whose familiar are you trying to seduce?!\It can't be helped.\Love and fire are the destinies of the von Zerbst family.\I only wish to burn in flames of love. response:	Come here.
context: Louise? Kirche!\Kirche!\I'm busy right now, Valliere.\Zerbst! Whose familiar are you trying to seduce?!\It can't be helped.\Love and fire are the destinies of the von Zerbst family.\I only wish to burn in flames of love.\Come here. response:	Wait! He may be your familiar,
context: Kirche!\I'm busy right now, Valliere.\Zerbst! Whose familiar are you trying to seduce?!\It can't be helped.\Love and fire are the destinies of the von Zerbst family.\I only wish to burn in flames of love.\Come here.\Wait! He may be your familiar, response:	but he is a proper human!
context: I'm busy right now, Valliere.\Zerbst! Whose familiar are you trying to seduce?!\It can't be helped.\Love and fire are the destinies of the von Zerbst family.\I only wish to burn in flames of love.\Come here.\Wait! He may be your familiar,\but he is a proper human! response:	It's rather unreasonable to get in the way of someone's romance!
context: Zerbst! Whose familiar are you trying to seduce?!\It can't be helped.\Love and fire are the destinies of the von Zerbst family.\I only wish to burn in flames of love.\Come here.\Wait! He may be your familiar,\but he is a proper human!\It's rather unreasonable to get in the way of someone's romance! response:	Right, Saito?
context: It can't be helped.\Love and fire are the destinies of the von Zerbst family.\I only wish to burn in flames of love.\Come here.\Wait! He may be your familiar,\but he is a proper human!\It's rather unreasonable to get in the way of someone's romance!\Right, Saito? response:	That's right! It's unreasonable!
context: Love and fire are the destinies of the von Zerbst family.\I only wish to burn in flames of love.\Come here.\Wait! He may be your familiar,\but he is a proper human!\It's rather unreasonable to get in the way of someone's romance!\Right, Saito?\That's right! It's unreasonable! response:	I see...
context: I only wish to burn in flames of love.\Come here.\Wait! He may be your familiar,\but he is a proper human!\It's rather unreasonable to get in the way of someone's romance!\Right, Saito?\That's right! It's unreasonable!\I see... response:	But you know, when tomorrow comes,
context: Come here.\Wait! He may be your familiar,\but he is a proper human!\It's rather unreasonable to get in the way of someone's romance!\Right, Saito?\That's right! It's unreasonable!\I see...\But you know, when tomorrow comes, response:	you'll be skewered by at least ten noblemen.
context: Wait! He may be your familiar,\but he is a proper human!\It's rather unreasonable to get in the way of someone's romance!\Right, Saito?\That's right! It's unreasonable!\I see...\But you know, when tomorrow comes,\you'll be skewered by at least ten noblemen. response:	In the end, this is dangerous, in all sorts of ways.
context: but he is a proper human!\It's rather unreasonable to get in the way of someone's romance!\Right, Saito?\That's right! It's unreasonable!\I see...\But you know, when tomorrow comes,\you'll be skewered by at least ten noblemen.\In the end, this is dangerous, in all sorts of ways. response:	I'll say it one more time. Come here.
context: It's rather unreasonable to get in the way of someone's romance!\Right, Saito?\That's right! It's unreasonable!\I see...\But you know, when tomorrow comes,\you'll be skewered by at least ten noblemen.\In the end, this is dangerous, in all sorts of ways.\I'll say it one more time. Come here. response:	Oh, you're going home already?
context: Right, Saito?\That's right! It's unreasonable!\I see...\But you know, when tomorrow comes,\you'll be skewered by at least ten noblemen.\In the end, this is dangerous, in all sorts of ways.\I'll say it one more time. Come here.\Oh, you're going home already? response:	Cute!
context: That's right! It's unreasonable!\I see...\But you know, when tomorrow comes,\you'll be skewered by at least ten noblemen.\In the end, this is dangerous, in all sorts of ways.\I'll say it one more time. Come here.\Oh, you're going home already?\Cute! response:	Ouch!
context: I see...\But you know, when tomorrow comes,\you'll be skewered by at least ten noblemen.\In the end, this is dangerous, in all sorts of ways.\I'll say it one more time. Come here.\Oh, you're going home already?\Cute!\Ouch! response:	It's just her usual trick! Wake up already!
context: But you know, when tomorrow comes,\you'll be skewered by at least ten noblemen.\In the end, this is dangerous, in all sorts of ways.\I'll say it one more time. Come here.\Oh, you're going home already?\Cute!\Ouch!\It's just her usual trick! Wake up already! response:	Ouch... Don't pull so hard, I hear you!
context: you'll be skewered by at least ten noblemen.\In the end, this is dangerous, in all sorts of ways.\I'll say it one more time. Come here.\Oh, you're going home already?\Cute!\Ouch!\It's just her usual trick! Wake up already!\Ouch... Don't pull so hard, I hear you! response:	You're going to tear my ear off!
context: In the end, this is dangerous, in all sorts of ways.\I'll say it one more time. Come here.\Oh, you're going home already?\Cute!\Ouch!\It's just her usual trick! Wake up already!\Ouch... Don't pull so hard, I hear you!\You're going to tear my ear off! response:	I'm not going to give up just yet.
context: I'll say it one more time. Come here.\Oh, you're going home already?\Cute!\Ouch!\It's just her usual trick! Wake up already!\Ouch... Don't pull so hard, I hear you!\You're going to tear my ear off!\I'm not going to give up just yet. response:	You're just like a dog in heat!
context: Oh, you're going home already?\Cute!\Ouch!\It's just her usual trick! Wake up already!\Ouch... Don't pull so hard, I hear you!\You're going to tear my ear off!\I'm not going to give up just yet.\You're just like a dog in heat! response:	Sorry!
context: Cute!\Ouch!\It's just her usual trick! Wake up already!\Ouch... Don't pull so hard, I hear you!\You're going to tear my ear off!\I'm not going to give up just yet.\You're just like a dog in heat!\Sorry! response:	What is that?
context: Ouch!\It's just her usual trick! Wake up already!\Ouch... Don't pull so hard, I hear you!\You're going to tear my ear off!\I'm not going to give up just yet.\You're just like a dog in heat!\Sorry!\What is that? response:	A crop I use for horseback riding.
context: It's just her usual trick! Wake up already!\Ouch... Don't pull so hard, I hear you!\You're going to tear my ear off!\I'm not going to give up just yet.\You're just like a dog in heat!\Sorry!\What is that?\A crop I use for horseback riding. response:	Crop?
context: Ouch... Don't pull so hard, I hear you!\You're going to tear my ear off!\I'm not going to give up just yet.\You're just like a dog in heat!\Sorry!\What is that?\A crop I use for horseback riding.\Crop? response:	I was wrong...
context: You're going to tear my ear off!\I'm not going to give up just yet.\You're just like a dog in heat!\Sorry!\What is that?\A crop I use for horseback riding.\Crop?\I was wrong... response:	For accidentally treating you like a human!
context: I'm not going to give up just yet.\You're just like a dog in heat!\Sorry!\What is that?\A crop I use for horseback riding.\Crop?\I was wrong...\For accidentally treating you like a human! response:	Liar!
context: You're just like a dog in heat!\Sorry!\What is that?\A crop I use for horseback riding.\Crop?\I was wrong...\For accidentally treating you like a human!\Liar! response:	To think you were wagging your tail at a Zerbst, of all people!
context: Sorry!\What is that?\A crop I use for horseback riding.\Crop?\I was wrong...\For accidentally treating you like a human!\Liar!\To think you were wagging your tail at a Zerbst, of all people! response:	Dog!
context: What is that?\A crop I use for horseback riding.\Crop?\I was wrong...\For accidentally treating you like a human!\Liar!\To think you were wagging your tail at a Zerbst, of all people!\Dog! response:	Young Miss!
context: A crop I use for horseback riding.\Crop?\I was wrong...\For accidentally treating you like a human!\Liar!\To think you were wagging your tail at a Zerbst, of all people!\Dog!\Young Miss! response:	Please, find it in your heart to drop...
context: Crop?\I was wrong...\For accidentally treating you like a human!\Liar!\To think you were wagging your tail at a Zerbst, of all people!\Dog!\Young Miss!\Please, find it in your heart to drop... response:	I was spoiling you.
context: I was wrong...\For accidentally treating you like a human!\Liar!\To think you were wagging your tail at a Zerbst, of all people!\Dog!\Young Miss!\Please, find it in your heart to drop...\I was spoiling you. response:	If you're a stray dog, I have to treat you like a stray dog!
context: For accidentally treating you like a human!\Liar!\To think you were wagging your tail at a Zerbst, of all people!\Dog!\Young Miss!\Please, find it in your heart to drop...\I was spoiling you.\If you're a stray dog, I have to treat you like a stray dog! response:	Wait... First, calm down...
context: Liar!\To think you were wagging your tail at a Zerbst, of all people!\Dog!\Young Miss!\Please, find it in your heart to drop...\I was spoiling you.\If you're a stray dog, I have to treat you like a stray dog!\Wait... First, calm down... response:	Seriously, stop! Please!
