context: I am still sleepy. response:	Ah, I can't!
context: My magic\was being cosumed?\That's right!\But right now,\the Clow cards can't be used coz there's an interference'\In other words,\the cards are still asleep\If it is in a sleeping state' response:	The food can't be eaten'
context: was being cosumed?\That's right!\But right now,\the Clow cards can't be used coz there's an interference'\In other words,\the cards are still asleep\If it is in a sleeping state'\The food can't be eaten' response:	If the food can't be eaten?
context: That's right!\But right now,\the Clow cards can't be used coz there's an interference'\In other words,\the cards are still asleep\If it is in a sleeping state'\The food can't be eaten'\If the food can't be eaten? response:	What happens?
context: But right now,\the Clow cards can't be used coz there's an interference'\In other words,\the cards are still asleep\If it is in a sleeping state'\The food can't be eaten'\If the food can't be eaten?\What happens? response:	They become ordinary cards.
context: the Clow cards can't be used coz there's an interference'\In other words,\the cards are still asleep\If it is in a sleeping state'\The food can't be eaten'\If the food can't be eaten?\What happens?\They become ordinary cards. response:	I won't be able to meet with the Cards anymore?
context: In other words,\the cards are still asleep\If it is in a sleeping state'\The food can't be eaten'\If the food can't be eaten?\What happens?\They become ordinary cards.\I won't be able to meet with the Cards anymore? response:	Umm' yeah.
context: the cards are still asleep\If it is in a sleeping state'\The food can't be eaten'\If the food can't be eaten?\What happens?\They become ordinary cards.\I won't be able to meet with the Cards anymore?\Umm' yeah. response:	I can't let that happen.
context: If it is in a sleeping state'\The food can't be eaten'\If the food can't be eaten?\What happens?\They become ordinary cards.\I won't be able to meet with the Cards anymore?\Umm' yeah.\I can't let that happen. response:	I was finally able to become good friends with them!
context: The food can't be eaten'\If the food can't be eaten?\What happens?\They become ordinary cards.\I won't be able to meet with the Cards anymore?\Umm' yeah.\I can't let that happen.\I was finally able to become good friends with them! response:	Therefore,
context: If the food can't be eaten?\What happens?\They become ordinary cards.\I won't be able to meet with the Cards anymore?\Umm' yeah.\I can't let that happen.\I was finally able to become good friends with them!\Therefore, response:	the ones that are transformed to Sakura Cards are fine.
context: What happens?\They become ordinary cards.\I won't be able to meet with the Cards anymore?\Umm' yeah.\I can't let that happen.\I was finally able to become good friends with them!\Therefore,\the ones that are transformed to Sakura Cards are fine. response:	Since we just said that
context: They become ordinary cards.\I won't be able to meet with the Cards anymore?\Umm' yeah.\I can't let that happen.\I was finally able to become good friends with them!\Therefore,\the ones that are transformed to Sakura Cards are fine.\Since we just said that response:	the source of the Sakura Card is your magic'
context: I won't be able to meet with the Cards anymore?\Umm' yeah.\I can't let that happen.\I was finally able to become good friends with them!\Therefore,\the ones that are transformed to Sakura Cards are fine.\Since we just said that\the source of the Sakura Card is your magic' response:	O Key which hides the power of the stars,
context: Umm' yeah.\I can't let that happen.\I was finally able to become good friends with them!\Therefore,\the ones that are transformed to Sakura Cards are fine.\Since we just said that\the source of the Sakura Card is your magic'\O Key which hides the power of the stars, response:	reveal thy true form before me.
context: I can't let that happen.\I was finally able to become good friends with them!\Therefore,\the ones that are transformed to Sakura Cards are fine.\Since we just said that\the source of the Sakura Card is your magic'\O Key which hides the power of the stars,\reveal thy true form before me. response:	I, Sakura, command thee under contract.
context: I was finally able to become good friends with them!\Therefore,\the ones that are transformed to Sakura Cards are fine.\Since we just said that\the source of the Sakura Card is your magic'\O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract. response:	Release!
context: Therefore,\the ones that are transformed to Sakura Cards are fine.\Since we just said that\the source of the Sakura Card is your magic'\O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release! response:	Wh What are you planning to do?
context: the ones that are transformed to Sakura Cards are fine.\Since we just said that\the source of the Sakura Card is your magic'\O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Wh What are you planning to do? response:	I'm going to turn them all into Sakura Cards.
context: Since we just said that\the source of the Sakura Card is your magic'\O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Wh What are you planning to do?\I'm going to turn them all into Sakura Cards. response:	Say what?
context: the source of the Sakura Card is your magic'\O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Wh What are you planning to do?\I'm going to turn them all into Sakura Cards.\Say what? response:	O Card that Clow has made,
context: O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Wh What are you planning to do?\I'm going to turn them all into Sakura Cards.\Say what?\O Card that Clow has made, response:	I command you to lose your old form and be reborn.
context: reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Wh What are you planning to do?\I'm going to turn them all into Sakura Cards.\Say what?\O Card that Clow has made,\I command you to lose your old form and be reborn. response:	Under the new master, Sakura!
context: I, Sakura, command thee under contract.\Release!\Wh What are you planning to do?\I'm going to turn them all into Sakura Cards.\Say what?\O Card that Clow has made,\I command you to lose your old form and be reborn.\Under the new master, Sakura! response:	Sweet!
context: Release!\Wh What are you planning to do?\I'm going to turn them all into Sakura Cards.\Say what?\O Card that Clow has made,\I command you to lose your old form and be reborn.\Under the new master, Sakura!\Sweet! response:	Lock!
context: Wh What are you planning to do?\I'm going to turn them all into Sakura Cards.\Say what?\O Card that Clow has made,\I command you to lose your old form and be reborn.\Under the new master, Sakura!\Sweet!\Lock! response:	Libra!
context: I'm going to turn them all into Sakura Cards.\Say what?\O Card that Clow has made,\I command you to lose your old form and be reborn.\Under the new master, Sakura!\Sweet!\Lock!\Libra! response:	Song!
context: Say what?\O Card that Clow has made,\I command you to lose your old form and be reborn.\Under the new master, Sakura!\Sweet!\Lock!\Libra!\Song! response:	Voice!
context: O Card that Clow has made,\I command you to lose your old form and be reborn.\Under the new master, Sakura!\Sweet!\Lock!\Libra!\Song!\Voice! response:	Change!
context: I command you to lose your old form and be reborn.\Under the new master, Sakura!\Sweet!\Lock!\Libra!\Song!\Voice!\Change! response:	Loop!
context: Under the new master, Sakura!\Sweet!\Lock!\Libra!\Song!\Voice!\Change!\Loop! response:	Dash!
context: Sweet!\Lock!\Libra!\Song!\Voice!\Change!\Loop!\Dash! response:	Sakura!
context: Lock!\Libra!\Song!\Voice!\Change!\Loop!\Dash!\Sakura! response:	Why are you being so reckless?
context: Libra!\Song!\Voice!\Change!\Loop!\Dash!\Sakura!\Why are you being so reckless? response:	Your magic power is drained right now
context: Song!\Voice!\Change!\Loop!\Dash!\Sakura!\Why are you being so reckless?\Your magic power is drained right now response:	so if you try to change them all at once, of course you're going to collapse.
context: Voice!\Change!\Loop!\Dash!\Sakura!\Why are you being so reckless?\Your magic power is drained right now\so if you try to change them all at once, of course you're going to collapse. response:	I'm so glad, you're all still full of energy!
context: Change!\Loop!\Dash!\Sakura!\Why are you being so reckless?\Your magic power is drained right now\so if you try to change them all at once, of course you're going to collapse.\I'm so glad, you're all still full of energy! response:	Sakura!!
context: Loop!\Dash!\Sakura!\Why are you being so reckless?\Your magic power is drained right now\so if you try to change them all at once, of course you're going to collapse.\I'm so glad, you're all still full of energy!\Sakura!! response:	That one, Dash.
context: Dash!\Sakura!\Why are you being so reckless?\Your magic power is drained right now\so if you try to change them all at once, of course you're going to collapse.\I'm so glad, you're all still full of energy!\Sakura!!\That one, Dash. response:	What's going on? The magic has run away relentlessly.
context: Sakura!\Why are you being so reckless?\Your magic power is drained right now\so if you try to change them all at once, of course you're going to collapse.\I'm so glad, you're all still full of energy!\Sakura!!\That one, Dash.\What's going on? The magic has run away relentlessly. response:	I didn't even use Dash, so why?
context: Why are you being so reckless?\Your magic power is drained right now\so if you try to change them all at once, of course you're going to collapse.\I'm so glad, you're all still full of energy!\Sakura!!\That one, Dash.\What's going on? The magic has run away relentlessly.\I didn't even use Dash, so why? response:	It's because it's impossible
context: Your magic power is drained right now\so if you try to change them all at once, of course you're going to collapse.\I'm so glad, you're all still full of energy!\Sakura!!\That one, Dash.\What's going on? The magic has run away relentlessly.\I didn't even use Dash, so why?\It's because it's impossible response:	to transform those cards all at once
context: so if you try to change them all at once, of course you're going to collapse.\I'm so glad, you're all still full of energy!\Sakura!!\That one, Dash.\What's going on? The magic has run away relentlessly.\I didn't even use Dash, so why?\It's because it's impossible\to transform those cards all at once response:	That, and the fact that the card was initated
context: I'm so glad, you're all still full of energy!\Sakura!!\That one, Dash.\What's going on? The magic has run away relentlessly.\I didn't even use Dash, so why?\It's because it's impossible\to transform those cards all at once\That, and the fact that the card was initated response:	without any reason
context: Sakura!!\That one, Dash.\What's going on? The magic has run away relentlessly.\I didn't even use Dash, so why?\It's because it's impossible\to transform those cards all at once\That, and the fact that the card was initated\without any reason response:	and Dash didn't know
context: That one, Dash.\What's going on? The magic has run away relentlessly.\I didn't even use Dash, so why?\It's because it's impossible\to transform those cards all at once\That, and the fact that the card was initated\without any reason\and Dash didn't know response:	what to do so it went into a panic state.
context: What's going on? The magic has run away relentlessly.\I didn't even use Dash, so why?\It's because it's impossible\to transform those cards all at once\That, and the fact that the card was initated\without any reason\and Dash didn't know\what to do so it went into a panic state. response:	Considering your magic power and precision at the moment,
context: I didn't even use Dash, so why?\It's because it's impossible\to transform those cards all at once\That, and the fact that the card was initated\without any reason\and Dash didn't know\what to do so it went into a panic state.\Considering your magic power and precision at the moment, response:	you can't use magic when there's no need for it.
context: It's because it's impossible\to transform those cards all at once\That, and the fact that the card was initated\without any reason\and Dash didn't know\what to do so it went into a panic state.\Considering your magic power and precision at the moment,\you can't use magic when there's no need for it. response:	On top of that,
context: to transform those cards all at once\That, and the fact that the card was initated\without any reason\and Dash didn't know\what to do so it went into a panic state.\Considering your magic power and precision at the moment,\you can't use magic when there's no need for it.\On top of that, response:	transforming that many cards into Sakura cards,
context: That, and the fact that the card was initated\without any reason\and Dash didn't know\what to do so it went into a panic state.\Considering your magic power and precision at the moment,\you can't use magic when there's no need for it.\On top of that,\transforming that many cards into Sakura cards, response:	You idiot!
context: without any reason\and Dash didn't know\what to do so it went into a panic state.\Considering your magic power and precision at the moment,\you can't use magic when there's no need for it.\On top of that,\transforming that many cards into Sakura cards,\You idiot! response:	Of course, I'm worried about the Clow Cards,
context: and Dash didn't know\what to do so it went into a panic state.\Considering your magic power and precision at the moment,\you can't use magic when there's no need for it.\On top of that,\transforming that many cards into Sakura cards,\You idiot!\Of course, I'm worried about the Clow Cards, response:	but if something happens to you
context: what to do so it went into a panic state.\Considering your magic power and precision at the moment,\you can't use magic when there's no need for it.\On top of that,\transforming that many cards into Sakura cards,\You idiot!\Of course, I'm worried about the Clow Cards,\but if something happens to you response:	then the Sakura Cards lose their magic as well.
context: Considering your magic power and precision at the moment,\you can't use magic when there's no need for it.\On top of that,\transforming that many cards into Sakura cards,\You idiot!\Of course, I'm worried about the Clow Cards,\but if something happens to you\then the Sakura Cards lose their magic as well. response:	In any case, we must stop Dash and calm it down.
context: you can't use magic when there's no need for it.\On top of that,\transforming that many cards into Sakura cards,\You idiot!\Of course, I'm worried about the Clow Cards,\but if something happens to you\then the Sakura Cards lose their magic as well.\In any case, we must stop Dash and calm it down. response:	O Card created by Clow,
context: On top of that,\transforming that many cards into Sakura cards,\You idiot!\Of course, I'm worried about the Clow Cards,\but if something happens to you\then the Sakura Cards lose their magic as well.\In any case, we must stop Dash and calm it down.\O Card created by Clow, response:	discard thine old form and be reborn.
context: transforming that many cards into Sakura cards,\You idiot!\Of course, I'm worried about the Clow Cards,\but if something happens to you\then the Sakura Cards lose their magic as well.\In any case, we must stop Dash and calm it down.\O Card created by Clow,\discard thine old form and be reborn. response:	Under the name of Sakura, thy new Mistress.
context: You idiot!\Of course, I'm worried about the Clow Cards,\but if something happens to you\then the Sakura Cards lose their magic as well.\In any case, we must stop Dash and calm it down.\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress. response:	Windy!
context: Of course, I'm worried about the Clow Cards,\but if something happens to you\then the Sakura Cards lose their magic as well.\In any case, we must stop Dash and calm it down.\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Windy! response:	It looks like Windy can't catch up to it.
context: but if something happens to you\then the Sakura Cards lose their magic as well.\In any case, we must stop Dash and calm it down.\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Windy!\It looks like Windy can't catch up to it. response:	Oh! That's right.
context: then the Sakura Cards lose their magic as well.\In any case, we must stop Dash and calm it down.\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Windy!\It looks like Windy can't catch up to it.\Oh! That's right. response:	Hey!! What're you doing making a phone call now?!
context: In any case, we must stop Dash and calm it down.\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Windy!\It looks like Windy can't catch up to it.\Oh! That's right.\Hey!! What're you doing making a phone call now?! response:	But, I promised
context: O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Windy!\It looks like Windy can't catch up to it.\Oh! That's right.\Hey!! What're you doing making a phone call now?!\But, I promised response:	Li-kun and Tomoyo that I'd contact them.
context: discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Windy!\It looks like Windy can't catch up to it.\Oh! That's right.\Hey!! What're you doing making a phone call now?!\But, I promised\Li-kun and Tomoyo that I'd contact them. response:	Think about the time and the place!!
context: Under the name of Sakura, thy new Mistress.\Windy!\It looks like Windy can't catch up to it.\Oh! That's right.\Hey!! What're you doing making a phone call now?!\But, I promised\Li-kun and Tomoyo that I'd contact them.\Think about the time and the place!! response:	I guess Tomoyo's not there. I'll leave her a message.
context: Windy!\It looks like Windy can't catch up to it.\Oh! That's right.\Hey!! What're you doing making a phone call now?!\But, I promised\Li-kun and Tomoyo that I'd contact them.\Think about the time and the place!!\I guess Tomoyo's not there. I'll leave her a message. response:	Listen when someone is talking to you!!!
context: It looks like Windy can't catch up to it.\Oh! That's right.\Hey!! What're you doing making a phone call now?!\But, I promised\Li-kun and Tomoyo that I'd contact them.\Think about the time and the place!!\I guess Tomoyo's not there. I'll leave her a message.\Listen when someone is talking to you!!! response:	Next is Li'
context: Oh! That's right.\Hey!! What're you doing making a phone call now?!\But, I promised\Li-kun and Tomoyo that I'd contact them.\Think about the time and the place!!\I guess Tomoyo's not there. I'll leave her a message.\Listen when someone is talking to you!!!\Next is Li' response:	Hello.
context: Hey!! What're you doing making a phone call now?!\But, I promised\Li-kun and Tomoyo that I'd contact them.\Think about the time and the place!!\I guess Tomoyo's not there. I'll leave her a message.\Listen when someone is talking to you!!!\Next is Li'\Hello. response:	Li-kun? It's me Sakura'
context: But, I promised\Li-kun and Tomoyo that I'd contact them.\Think about the time and the place!!\I guess Tomoyo's not there. I'll leave her a message.\Listen when someone is talking to you!!!\Next is Li'\Hello.\Li-kun? It's me Sakura' response:	What's it?
context: Li-kun and Tomoyo that I'd contact them.\Think about the time and the place!!\I guess Tomoyo's not there. I'll leave her a message.\Listen when someone is talking to you!!!\Next is Li'\Hello.\Li-kun? It's me Sakura'\What's it? response:	We're chasing a bicycle right now.
context: Think about the time and the place!!\I guess Tomoyo's not there. I'll leave her a message.\Listen when someone is talking to you!!!\Next is Li'\Hello.\Li-kun? It's me Sakura'\What's it?\We're chasing a bicycle right now. response:	Without thinking,
context: I guess Tomoyo's not there. I'll leave her a message.\Listen when someone is talking to you!!!\Next is Li'\Hello.\Li-kun? It's me Sakura'\What's it?\We're chasing a bicycle right now.\Without thinking, response:	I tried to change all the cards at once,
context: Listen when someone is talking to you!!!\Next is Li'\Hello.\Li-kun? It's me Sakura'\What's it?\We're chasing a bicycle right now.\Without thinking,\I tried to change all the cards at once, response:	and Dash ran away' And then'
context: Next is Li'\Hello.\Li-kun? It's me Sakura'\What's it?\We're chasing a bicycle right now.\Without thinking,\I tried to change all the cards at once,\and Dash ran away' And then' response:	I can't understand what you're trying to say!
context: Hello.\Li-kun? It's me Sakura'\What's it?\We're chasing a bicycle right now.\Without thinking,\I tried to change all the cards at once,\and Dash ran away' And then'\I can't understand what you're trying to say! response:	Anyway we're in big trouble!
context: Li-kun? It's me Sakura'\What's it?\We're chasing a bicycle right now.\Without thinking,\I tried to change all the cards at once,\and Dash ran away' And then'\I can't understand what you're trying to say!\Anyway we're in big trouble! response:	Where are you right now?
context: What's it?\We're chasing a bicycle right now.\Without thinking,\I tried to change all the cards at once,\and Dash ran away' And then'\I can't understand what you're trying to say!\Anyway we're in big trouble!\Where are you right now? response:	In the park, heading towards the library.
context: We're chasing a bicycle right now.\Without thinking,\I tried to change all the cards at once,\and Dash ran away' And then'\I can't understand what you're trying to say!\Anyway we're in big trouble!\Where are you right now?\In the park, heading towards the library. response:	Alright, I'll be right there!
context: Without thinking,\I tried to change all the cards at once,\and Dash ran away' And then'\I can't understand what you're trying to say!\Anyway we're in big trouble!\Where are you right now?\In the park, heading towards the library.\Alright, I'll be right there! response:	because you were concentrating on your phone call!!
context: I tried to change all the cards at once,\and Dash ran away' And then'\I can't understand what you're trying to say!\Anyway we're in big trouble!\Where are you right now?\In the park, heading towards the library.\Alright, I'll be right there!\because you were concentrating on your phone call!! response:	Jump!
context: and Dash ran away' And then'\I can't understand what you're trying to say!\Anyway we're in big trouble!\Where are you right now?\In the park, heading towards the library.\Alright, I'll be right there!\because you were concentrating on your phone call!!\Jump! response:	There it is.
context: I can't understand what you're trying to say!\Anyway we're in big trouble!\Where are you right now?\In the park, heading towards the library.\Alright, I'll be right there!\because you were concentrating on your phone call!!\Jump!\There it is. response:	No, you can't do that!
context: Anyway we're in big trouble!\Where are you right now?\In the park, heading towards the library.\Alright, I'll be right there!\because you were concentrating on your phone call!!\Jump!\There it is.\No, you can't do that! response:	Sakura!
context: Where are you right now?\In the park, heading towards the library.\Alright, I'll be right there!\because you were concentrating on your phone call!!\Jump!\There it is.\No, you can't do that!\Sakura! response:	God of Wind, obey my order!
context: In the park, heading towards the library.\Alright, I'll be right there!\because you were concentrating on your phone call!!\Jump!\There it is.\No, you can't do that!\Sakura!\God of Wind, obey my order! response:	Stop being so reckless!
context: Alright, I'll be right there!\because you were concentrating on your phone call!!\Jump!\There it is.\No, you can't do that!\Sakura!\God of Wind, obey my order!\Stop being so reckless! response:	Are you ok?
context: because you were concentrating on your phone call!!\Jump!\There it is.\No, you can't do that!\Sakura!\God of Wind, obey my order!\Stop being so reckless!\Are you ok? response:	You came here pretty fast, kid.
context: Jump!\There it is.\No, you can't do that!\Sakura!\God of Wind, obey my order!\Stop being so reckless!\Are you ok?\You came here pretty fast, kid. response:	I didn't really.
context: There it is.\No, you can't do that!\Sakura!\God of Wind, obey my order!\Stop being so reckless!\Are you ok?\You came here pretty fast, kid.\I didn't really. response:	Thanks for coming.
context: No, you can't do that!\Sakura!\God of Wind, obey my order!\Stop being so reckless!\Are you ok?\You came here pretty fast, kid.\I didn't really.\Thanks for coming. response:	Is that it?
context: Sakura!\God of Wind, obey my order!\Stop being so reckless!\Are you ok?\You came here pretty fast, kid.\I didn't really.\Thanks for coming.\Is that it? response:	Thunder, come!
context: God of Wind, obey my order!\Stop being so reckless!\Are you ok?\You came here pretty fast, kid.\I didn't really.\Thanks for coming.\Is that it?\Thunder, come! response:	Damn.
context: Stop being so reckless!\Are you ok?\You came here pretty fast, kid.\I didn't really.\Thanks for coming.\Is that it?\Thunder, come!\Damn. response:	One more time!!
context: Are you ok?\You came here pretty fast, kid.\I didn't really.\Thanks for coming.\Is that it?\Thunder, come!\Damn.\One more time!! response:	Don't! You'll scare the card!
context: You came here pretty fast, kid.\I didn't really.\Thanks for coming.\Is that it?\Thunder, come!\Damn.\One more time!!\Don't! You'll scare the card! response:	But if you leave it like that'
context: I didn't really.\Thanks for coming.\Is that it?\Thunder, come!\Damn.\One more time!!\Don't! You'll scare the card!\But if you leave it like that' response:	It's my fault, if we're calm,
context: Thanks for coming.\Is that it?\Thunder, come!\Damn.\One more time!!\Don't! You'll scare the card!\But if you leave it like that'\It's my fault, if we're calm, response:	I am sure Dash will come back to us peacefully.
context: Is that it?\Thunder, come!\Damn.\One more time!!\Don't! You'll scare the card!\But if you leave it like that'\It's my fault, if we're calm,\I am sure Dash will come back to us peacefully. response:	OK. I understand.
context: Thunder, come!\Damn.\One more time!!\Don't! You'll scare the card!\But if you leave it like that'\It's my fault, if we're calm,\I am sure Dash will come back to us peacefully.\OK. I understand. response:	What're you planning on doing, Sakura?
context: Damn.\One more time!!\Don't! You'll scare the card!\But if you leave it like that'\It's my fault, if we're calm,\I am sure Dash will come back to us peacefully.\OK. I understand.\What're you planning on doing, Sakura? response:	Using Fly, get in the air' No,
context: One more time!!\Don't! You'll scare the card!\But if you leave it like that'\It's my fault, if we're calm,\I am sure Dash will come back to us peacefully.\OK. I understand.\What're you planning on doing, Sakura?\Using Fly, get in the air' No, response:	following Dash in its panic state
context: Don't! You'll scare the card!\But if you leave it like that'\It's my fault, if we're calm,\I am sure Dash will come back to us peacefully.\OK. I understand.\What're you planning on doing, Sakura?\Using Fly, get in the air' No,\following Dash in its panic state response:	is too much even in my true form.
context: But if you leave it like that'\It's my fault, if we're calm,\I am sure Dash will come back to us peacefully.\OK. I understand.\What're you planning on doing, Sakura?\Using Fly, get in the air' No,\following Dash in its panic state\is too much even in my true form. response:	Don't think Fly would work either.
context: It's my fault, if we're calm,\I am sure Dash will come back to us peacefully.\OK. I understand.\What're you planning on doing, Sakura?\Using Fly, get in the air' No,\following Dash in its panic state\is too much even in my true form.\Don't think Fly would work either. response:	If we can somehow get ahead
context: I am sure Dash will come back to us peacefully.\OK. I understand.\What're you planning on doing, Sakura?\Using Fly, get in the air' No,\following Dash in its panic state\is too much even in my true form.\Don't think Fly would work either.\If we can somehow get ahead response:	so Dash can' t go anywhere.
context: OK. I understand.\What're you planning on doing, Sakura?\Using Fly, get in the air' No,\following Dash in its panic state\is too much even in my true form.\Don't think Fly would work either.\If we can somehow get ahead\so Dash can' t go anywhere. response:	It might work!!
context: What're you planning on doing, Sakura?\Using Fly, get in the air' No,\following Dash in its panic state\is too much even in my true form.\Don't think Fly would work either.\If we can somehow get ahead\so Dash can' t go anywhere.\It might work!! response:	Loop, huh?
context: Using Fly, get in the air' No,\following Dash in its panic state\is too much even in my true form.\Don't think Fly would work either.\If we can somehow get ahead\so Dash can' t go anywhere.\It might work!!\Loop, huh? response:	Yeah, but then you have to transform another card.
context: following Dash in its panic state\is too much even in my true form.\Don't think Fly would work either.\If we can somehow get ahead\so Dash can' t go anywhere.\It might work!!\Loop, huh?\Yeah, but then you have to transform another card. response:	This time, it won't end with you just fainting.
context: is too much even in my true form.\Don't think Fly would work either.\If we can somehow get ahead\so Dash can' t go anywhere.\It might work!!\Loop, huh?\Yeah, but then you have to transform another card.\This time, it won't end with you just fainting. response:	But it's my fault
context: Don't think Fly would work either.\If we can somehow get ahead\so Dash can' t go anywhere.\It might work!!\Loop, huh?\Yeah, but then you have to transform another card.\This time, it won't end with you just fainting.\But it's my fault response:	that Dash is like this,
context: If we can somehow get ahead\so Dash can' t go anywhere.\It might work!!\Loop, huh?\Yeah, but then you have to transform another card.\This time, it won't end with you just fainting.\But it's my fault\that Dash is like this, response:	I have to try and turn it back into a card!
context: so Dash can' t go anywhere.\It might work!!\Loop, huh?\Yeah, but then you have to transform another card.\This time, it won't end with you just fainting.\But it's my fault\that Dash is like this,\I have to try and turn it back into a card! response:	All right! If you faint,
context: It might work!!\Loop, huh?\Yeah, but then you have to transform another card.\This time, it won't end with you just fainting.\But it's my fault\that Dash is like this,\I have to try and turn it back into a card!\All right! If you faint, response:	I'll be sure and catch you!
context: Loop, huh?\Yeah, but then you have to transform another card.\This time, it won't end with you just fainting.\But it's my fault\that Dash is like this,\I have to try and turn it back into a card!\All right! If you faint,\I'll be sure and catch you! response:	Go for it Sakura!
context: Yeah, but then you have to transform another card.\This time, it won't end with you just fainting.\But it's my fault\that Dash is like this,\I have to try and turn it back into a card!\All right! If you faint,\I'll be sure and catch you!\Go for it Sakura! response:	O Card that Clow has made,
context: This time, it won't end with you just fainting.\But it's my fault\that Dash is like this,\I have to try and turn it back into a card!\All right! If you faint,\I'll be sure and catch you!\Go for it Sakura!\O Card that Clow has made, response:	I command you to lose your old form and be reborn.
context: But it's my fault\that Dash is like this,\I have to try and turn it back into a card!\All right! If you faint,\I'll be sure and catch you!\Go for it Sakura!\O Card that Clow has made,\I command you to lose your old form and be reborn. response:	Under the new master, Sakura!
context: that Dash is like this,\I have to try and turn it back into a card!\All right! If you faint,\I'll be sure and catch you!\Go for it Sakura!\O Card that Clow has made,\I command you to lose your old form and be reborn.\Under the new master, Sakura! response:	Loop!
context: I have to try and turn it back into a card!\All right! If you faint,\I'll be sure and catch you!\Go for it Sakura!\O Card that Clow has made,\I command you to lose your old form and be reborn.\Under the new master, Sakura!\Loop! response:	I see. Loop, is it?
context: All right! If you faint,\I'll be sure and catch you!\Go for it Sakura!\O Card that Clow has made,\I command you to lose your old form and be reborn.\Under the new master, Sakura!\Loop!\I see. Loop, is it? response:	But what'll you do about the frightened Dash?
context: I'll be sure and catch you!\Go for it Sakura!\O Card that Clow has made,\I command you to lose your old form and be reborn.\Under the new master, Sakura!\Loop!\I see. Loop, is it?\But what'll you do about the frightened Dash? response:	WINDY
context: Go for it Sakura!\O Card that Clow has made,\I command you to lose your old form and be reborn.\Under the new master, Sakura!\Loop!\I see. Loop, is it?\But what'll you do about the frightened Dash?\WINDY response:	Don't hurt it.
context: O Card that Clow has made,\I command you to lose your old form and be reborn.\Under the new master, Sakura!\Loop!\I see. Loop, is it?\But what'll you do about the frightened Dash?\WINDY\Don't hurt it. response:	It's alright. You don't have to be scared.
context: I command you to lose your old form and be reborn.\Under the new master, Sakura!\Loop!\I see. Loop, is it?\But what'll you do about the frightened Dash?\WINDY\Don't hurt it.\It's alright. You don't have to be scared. response:	I'm sorry I fightened you.
context: Under the new master, Sakura!\Loop!\I see. Loop, is it?\But what'll you do about the frightened Dash?\WINDY\Don't hurt it.\It's alright. You don't have to be scared.\I'm sorry I fightened you. response:	It's alright now.
context: Loop!\I see. Loop, is it?\But what'll you do about the frightened Dash?\WINDY\Don't hurt it.\It's alright. You don't have to be scared.\I'm sorry I fightened you.\It's alright now. response:	You're a good kid, so stay still. Ok?
context: I see. Loop, is it?\But what'll you do about the frightened Dash?\WINDY\Don't hurt it.\It's alright. You don't have to be scared.\I'm sorry I fightened you.\It's alright now.\You're a good kid, so stay still. Ok? response:	That tickles. I'm sorry.
context: But what'll you do about the frightened Dash?\WINDY\Don't hurt it.\It's alright. You don't have to be scared.\I'm sorry I fightened you.\It's alright now.\You're a good kid, so stay still. Ok?\That tickles. I'm sorry. response:	I won't frighten you anymore so please,
context: WINDY\Don't hurt it.\It's alright. You don't have to be scared.\I'm sorry I fightened you.\It's alright now.\You're a good kid, so stay still. Ok?\That tickles. I'm sorry.\I won't frighten you anymore so please, response:	turn back into a card.
context: Don't hurt it.\It's alright. You don't have to be scared.\I'm sorry I fightened you.\It's alright now.\You're a good kid, so stay still. Ok?\That tickles. I'm sorry.\I won't frighten you anymore so please,\turn back into a card. response:	Thank goodness'
context: It's alright. You don't have to be scared.\I'm sorry I fightened you.\It's alright now.\You're a good kid, so stay still. Ok?\That tickles. I'm sorry.\I won't frighten you anymore so please,\turn back into a card.\Thank goodness' response:	You did it, Sakura!
context: I'm sorry I fightened you.\It's alright now.\You're a good kid, so stay still. Ok?\That tickles. I'm sorry.\I won't frighten you anymore so please,\turn back into a card.\Thank goodness'\You did it, Sakura! response:	Kero,
context: It's alright now.\You're a good kid, so stay still. Ok?\That tickles. I'm sorry.\I won't frighten you anymore so please,\turn back into a card.\Thank goodness'\You did it, Sakura!\Kero, response:	if there's a reason to use magic and if it's little by little,
context: You're a good kid, so stay still. Ok?\That tickles. I'm sorry.\I won't frighten you anymore so please,\turn back into a card.\Thank goodness'\You did it, Sakura!\Kero,\if there's a reason to use magic and if it's little by little, response:	Then it's OK to change
