context: What Lies on the Opposite Shore response:	After the third day of the new year, my health was restored.
context: above anything else...\if I use my Bishop to take his Silver, his Gold will take my Bishop.\That knight could be mine too?\Dangle-dangle!\And in the enemy camp!\Rook\I can promote my rook!\Dragon response:	I have to take his knight here, right?
context: if I use my Bishop to take his Silver, his Gold will take my Bishop.\That knight could be mine too?\Dangle-dangle!\And in the enemy camp!\Rook\I can promote my rook!\Dragon\I have to take his knight here, right? response:	Bishop
context: That knight could be mine too?\Dangle-dangle!\And in the enemy camp!\Rook\I can promote my rook!\Dragon\I have to take his knight here, right?\Bishop response:	Silver General Knight
context: Dangle-dangle!\And in the enemy camp!\Rook\I can promote my rook!\Dragon\I have to take his knight here, right?\Bishop\Silver General Knight response:	Even if I sacrifice my Bishop, I'll get his Knight and Silver in exchange.
context: And in the enemy camp!\Rook\I can promote my rook!\Dragon\I have to take his knight here, right?\Bishop\Silver General Knight\Even if I sacrifice my Bishop, I'll get his Knight and Silver in exchange. response:	Plus my Rook will become a dragon.
context: Rook\I can promote my rook!\Dragon\I have to take his knight here, right?\Bishop\Silver General Knight\Even if I sacrifice my Bishop, I'll get his Knight and Silver in exchange.\Plus my Rook will become a dragon. response:	It's like my mentor said.
context: I can promote my rook!\Dragon\I have to take his knight here, right?\Bishop\Silver General Knight\Even if I sacrifice my Bishop, I'll get his Knight and Silver in exchange.\Plus my Rook will become a dragon.\It's like my mentor said. response:	Women may betray you, but stolen pieces never will.
context: Dragon\I have to take his knight here, right?\Bishop\Silver General Knight\Even if I sacrifice my Bishop, I'll get his Knight and Silver in exchange.\Plus my Rook will become a dragon.\It's like my mentor said.\Women may betray you, but stolen pieces never will. response:	All right.
context: I have to take his knight here, right?\Bishop\Silver General Knight\Even if I sacrifice my Bishop, I'll get his Knight and Silver in exchange.\Plus my Rook will become a dragon.\It's like my mentor said.\Women may betray you, but stolen pieces never will.\All right. response:	Right. Well, that's what would happen.
context: Bishop\Silver General Knight\Even if I sacrifice my Bishop, I'll get his Knight and Silver in exchange.\Plus my Rook will become a dragon.\It's like my mentor said.\Women may betray you, but stolen pieces never will.\All right.\Right. Well, that's what would happen. response:	Silver Dragon Knight
context: Silver General Knight\Even if I sacrifice my Bishop, I'll get his Knight and Silver in exchange.\Plus my Rook will become a dragon.\It's like my mentor said.\Women may betray you, but stolen pieces never will.\All right.\Right. Well, that's what would happen.\Silver Dragon Knight response:	Satisfied
context: Even if I sacrifice my Bishop, I'll get his Knight and Silver in exchange.\Plus my Rook will become a dragon.\It's like my mentor said.\Women may betray you, but stolen pieces never will.\All right.\Right. Well, that's what would happen.\Silver Dragon Knight\Satisfied response:	So for now, I'll pull my dragon back...
context: Plus my Rook will become a dragon.\It's like my mentor said.\Women may betray you, but stolen pieces never will.\All right.\Right. Well, that's what would happen.\Silver Dragon Knight\Satisfied\So for now, I'll pull my dragon back... response:	Poison chestnut!
context: It's like my mentor said.\Women may betray you, but stolen pieces never will.\All right.\Right. Well, that's what would happen.\Silver Dragon Knight\Satisfied\So for now, I'll pull my dragon back...\Poison chestnut! response:	Pawn
context: Women may betray you, but stolen pieces never will.\All right.\Right. Well, that's what would happen.\Silver Dragon Knight\Satisfied\So for now, I'll pull my dragon back...\Poison chestnut!\Pawn response:	What is this?
context: All right.\Right. Well, that's what would happen.\Silver Dragon Knight\Satisfied\So for now, I'll pull my dragon back...\Poison chestnut!\Pawn\What is this? response:	Stabbed!
context: Right. Well, that's what would happen.\Silver Dragon Knight\Satisfied\So for now, I'll pull my dragon back...\Poison chestnut!\Pawn\What is this?\Stabbed! response:	Don't take it
context: Silver Dragon Knight\Satisfied\So for now, I'll pull my dragon back...\Poison chestnut!\Pawn\What is this?\Stabbed!\Don't take it response:	Take it
context: Satisfied\So for now, I'll pull my dragon back...\Poison chestnut!\Pawn\What is this?\Stabbed!\Don't take it\Take it response:	If I take the 2-g-Pawn, my Dragon would do it.
context: So for now, I'll pull my dragon back...\Poison chestnut!\Pawn\What is this?\Stabbed!\Don't take it\Take it\If I take the 2-g-Pawn, my Dragon would do it. response:	His turn, 4-i-Bishop
context: Poison chestnut!\Pawn\What is this?\Stabbed!\Don't take it\Take it\If I take the 2-g-Pawn, my Dragon would do it.\His turn, 4-i-Bishop response:	My turn, 2-h-Dragon
context: Pawn\What is this?\Stabbed!\Don't take it\Take it\If I take the 2-g-Pawn, my Dragon would do it.\His turn, 4-i-Bishop\My turn, 2-h-Dragon response:	His turn, 6-g-Pawn+
context: What is this?\Stabbed!\Don't take it\Take it\If I take the 2-g-Pawn, my Dragon would do it.\His turn, 4-i-Bishop\My turn, 2-h-Dragon\His turn, 6-g-Pawn+ response:	Take it Don't take it
context: Stabbed!\Don't take it\Take it\If I take the 2-g-Pawn, my Dragon would do it.\His turn, 4-i-Bishop\My turn, 2-h-Dragon\His turn, 6-g-Pawn+\Take it Don't take it response:	If I don't take it...
context: Don't take it\Take it\If I take the 2-g-Pawn, my Dragon would do it.\His turn, 4-i-Bishop\My turn, 2-h-Dragon\His turn, 6-g-Pawn+\Take it Don't take it\If I don't take it... response:	my turn, 3-h-Dragon.
context: Take it\If I take the 2-g-Pawn, my Dragon would do it.\His turn, 4-i-Bishop\My turn, 2-h-Dragon\His turn, 6-g-Pawn+\Take it Don't take it\If I don't take it...\my turn, 3-h-Dragon. response:	His move, 2-h-Bishop, and that's bad for me!
context: If I take the 2-g-Pawn, my Dragon would do it.\His turn, 4-i-Bishop\My turn, 2-h-Dragon\His turn, 6-g-Pawn+\Take it Don't take it\If I don't take it...\my turn, 3-h-Dragon.\His move, 2-h-Bishop, and that's bad for me! response:	No wait... is this already over?
context: His turn, 4-i-Bishop\My turn, 2-h-Dragon\His turn, 6-g-Pawn+\Take it Don't take it\If I don't take it...\my turn, 3-h-Dragon.\His move, 2-h-Bishop, and that's bad for me!\No wait... is this already over? response:	The castle's on fire.
context: My turn, 2-h-Dragon\His turn, 6-g-Pawn+\Take it Don't take it\If I don't take it...\my turn, 3-h-Dragon.\His move, 2-h-Bishop, and that's bad for me!\No wait... is this already over?\The castle's on fire. response:	And something's stabbing me in the back?
context: His turn, 6-g-Pawn+\Take it Don't take it\If I don't take it...\my turn, 3-h-Dragon.\His move, 2-h-Bishop, and that's bad for me!\No wait... is this already over?\The castle's on fire.\And something's stabbing me in the back? response:	Mr. Yokomizo You died at 2h, while holding Knight and Silver.
context: Take it Don't take it\If I don't take it...\my turn, 3-h-Dragon.\His move, 2-h-Bishop, and that's bad for me!\No wait... is this already over?\The castle's on fire.\And something's stabbing me in the back?\Mr. Yokomizo You died at 2h, while holding Knight and Silver. response:	Smith's Mysterious Dungeon
context: If I don't take it...\my turn, 3-h-Dragon.\His move, 2-h-Bishop, and that's bad for me!\No wait... is this already over?\The castle's on fire.\And something's stabbing me in the back?\Mr. Yokomizo You died at 2h, while holding Knight and Silver.\Smith's Mysterious Dungeon response:	What was that? Incredible...
context: my turn, 3-h-Dragon.\His move, 2-h-Bishop, and that's bad for me!\No wait... is this already over?\The castle's on fire.\And something's stabbing me in the back?\Mr. Yokomizo You died at 2h, while holding Knight and Silver.\Smith's Mysterious Dungeon\What was that? Incredible... response:	Thank you.
context: His move, 2-h-Bishop, and that's bad for me!\No wait... is this already over?\The castle's on fire.\And something's stabbing me in the back?\Mr. Yokomizo You died at 2h, while holding Knight and Silver.\Smith's Mysterious Dungeon\What was that? Incredible...\Thank you. response:	What is this?
context: No wait... is this already over?\The castle's on fire.\And something's stabbing me in the back?\Mr. Yokomizo You died at 2h, while holding Knight and Silver.\Smith's Mysterious Dungeon\What was that? Incredible...\Thank you.\What is this? response:	From where? From the Bishop?
context: The castle's on fire.\And something's stabbing me in the back?\Mr. Yokomizo You died at 2h, while holding Knight and Silver.\Smith's Mysterious Dungeon\What was that? Incredible...\Thank you.\What is this?\From where? From the Bishop? response:	Well, well...
context: And something's stabbing me in the back?\Mr. Yokomizo You died at 2h, while holding Knight and Silver.\Smith's Mysterious Dungeon\What was that? Incredible...\Thank you.\What is this?\From where? From the Bishop?\Well, well... response:	Or before that?
context: Mr. Yokomizo You died at 2h, while holding Knight and Silver.\Smith's Mysterious Dungeon\What was that? Incredible...\Thank you.\What is this?\From where? From the Bishop?\Well, well...\Or before that? response:	Thank you.
context: Smith's Mysterious Dungeon\What was that? Incredible...\Thank you.\What is this?\From where? From the Bishop?\Well, well...\Or before that?\Thank you. response:	But aren't you guys in the middle of your own match?
context: What was that? Incredible...\Thank you.\What is this?\From where? From the Bishop?\Well, well...\Or before that?\Thank you.\But aren't you guys in the middle of your own match? response:	Come on now, go on. Concentrate on your own board.
context: Thank you.\What is this?\From where? From the Bishop?\Well, well...\Or before that?\Thank you.\But aren't you guys in the middle of your own match?\Come on now, go on. Concentrate on your own board. response:	I was also at the end of an intense, quagmire-filled rendezvous.
context: What is this?\From where? From the Bishop?\Well, well...\Or before that?\Thank you.\But aren't you guys in the middle of your own match?\Come on now, go on. Concentrate on your own board.\I was also at the end of an intense, quagmire-filled rendezvous. response:	Kiriyama 5th-Dan Tsujii 9th-Dan
context: From where? From the Bishop?\Well, well...\Or before that?\Thank you.\But aren't you guys in the middle of your own match?\Come on now, go on. Concentrate on your own board.\I was also at the end of an intense, quagmire-filled rendezvous.\Kiriyama 5th-Dan Tsujii 9th-Dan response:	I narrowly got a win on the 187th move.
context: Well, well...\Or before that?\Thank you.\But aren't you guys in the middle of your own match?\Come on now, go on. Concentrate on your own board.\I was also at the end of an intense, quagmire-filled rendezvous.\Kiriyama 5th-Dan Tsujii 9th-Dan\I narrowly got a win on the 187th move. response:	Kiriyama 5th-Dan, wins on the 187th move
context: Or before that?\Thank you.\But aren't you guys in the middle of your own match?\Come on now, go on. Concentrate on your own board.\I was also at the end of an intense, quagmire-filled rendezvous.\Kiriyama 5th-Dan Tsujii 9th-Dan\I narrowly got a win on the 187th move.\Kiriyama 5th-Dan, wins on the 187th move response:	Looks like I drew... my own draw.
context: Thank you.\But aren't you guys in the middle of your own match?\Come on now, go on. Concentrate on your own board.\I was also at the end of an intense, quagmire-filled rendezvous.\Kiriyama 5th-Dan Tsujii 9th-Dan\I narrowly got a win on the 187th move.\Kiriyama 5th-Dan, wins on the 187th move\Looks like I drew... my own draw. response:	I wish I could say that, but today, you sealed the deal...
context: But aren't you guys in the middle of your own match?\Come on now, go on. Concentrate on your own board.\I was also at the end of an intense, quagmire-filled rendezvous.\Kiriyama 5th-Dan Tsujii 9th-Dan\I narrowly got a win on the 187th move.\Kiriyama 5th-Dan, wins on the 187th move\Looks like I drew... my own draw.\I wish I could say that, but today, you sealed the deal... response:	Sealed... sealed the ceiling seal deal?
context: Come on now, go on. Concentrate on your own board.\I was also at the end of an intense, quagmire-filled rendezvous.\Kiriyama 5th-Dan Tsujii 9th-Dan\I narrowly got a win on the 187th move.\Kiriyama 5th-Dan, wins on the 187th move\Looks like I drew... my own draw.\I wish I could say that, but today, you sealed the deal...\Sealed... sealed the ceiling seal deal? response:	Please. That's enough. No more...
context: I was also at the end of an intense, quagmire-filled rendezvous.\Kiriyama 5th-Dan Tsujii 9th-Dan\I narrowly got a win on the 187th move.\Kiriyama 5th-Dan, wins on the 187th move\Looks like I drew... my own draw.\I wish I could say that, but today, you sealed the deal...\Sealed... sealed the ceiling seal deal?\Please. That's enough. No more... response:	I'm at my limit...
context: Kiriyama 5th-Dan Tsujii 9th-Dan\I narrowly got a win on the 187th move.\Kiriyama 5th-Dan, wins on the 187th move\Looks like I drew... my own draw.\I wish I could say that, but today, you sealed the deal...\Sealed... sealed the ceiling seal deal?\Please. That's enough. No more...\I'm at my limit... response:	Too much
context: I narrowly got a win on the 187th move.\Kiriyama 5th-Dan, wins on the 187th move\Looks like I drew... my own draw.\I wish I could say that, but today, you sealed the deal...\Sealed... sealed the ceiling seal deal?\Please. That's enough. No more...\I'm at my limit...\Too much response:	Special Match Room Takao Lion King Tournament Lion King Tournament
context: Kiriyama 5th-Dan, wins on the 187th move\Looks like I drew... my own draw.\I wish I could say that, but today, you sealed the deal...\Sealed... sealed the ceiling seal deal?\Please. That's enough. No more...\I'm at my limit...\Too much\Special Match Room Takao Lion King Tournament Lion King Tournament response:	Masamune Gotou Kenichirou Irie
context: Looks like I drew... my own draw.\I wish I could say that, but today, you sealed the deal...\Sealed... sealed the ceiling seal deal?\Please. That's enough. No more...\I'm at my limit...\Too much\Special Match Room Takao Lion King Tournament Lion King Tournament\Masamune Gotou Kenichirou Irie response:	Rei Kiriyama Takeshi Tsujii
context: I wish I could say that, but today, you sealed the deal...\Sealed... sealed the ceiling seal deal?\Please. That's enough. No more...\I'm at my limit...\Too much\Special Match Room Takao Lion King Tournament Lion King Tournament\Masamune Gotou Kenichirou Irie\Rei Kiriyama Takeshi Tsujii response:	Tatsuyuki Misumi Okuyasu Yokomizo
context: Sealed... sealed the ceiling seal deal?\Please. That's enough. No more...\I'm at my limit...\Too much\Special Match Room Takao Lion King Tournament Lion King Tournament\Masamune Gotou Kenichirou Irie\Rei Kiriyama Takeshi Tsujii\Tatsuyuki Misumi Okuyasu Yokomizo response:	Damn.
context: Please. That's enough. No more...\I'm at my limit...\Too much\Special Match Room Takao Lion King Tournament Lion King Tournament\Masamune Gotou Kenichirou Irie\Rei Kiriyama Takeshi Tsujii\Tatsuyuki Misumi Okuyasu Yokomizo\Damn. response:	I've got Gotou next? Wish I didn't.
context: I'm at my limit...\Too much\Special Match Room Takao Lion King Tournament Lion King Tournament\Masamune Gotou Kenichirou Irie\Rei Kiriyama Takeshi Tsujii\Tatsuyuki Misumi Okuyasu Yokomizo\Damn.\I've got Gotou next? Wish I didn't. response:	I mean, that old dude is pretty scary.
context: Too much\Special Match Room Takao Lion King Tournament Lion King Tournament\Masamune Gotou Kenichirou Irie\Rei Kiriyama Takeshi Tsujii\Tatsuyuki Misumi Okuyasu Yokomizo\Damn.\I've got Gotou next? Wish I didn't.\I mean, that old dude is pretty scary. response:	I don't know what it is, but he's got a yakuza aura.
context: Special Match Room Takao Lion King Tournament Lion King Tournament\Masamune Gotou Kenichirou Irie\Rei Kiriyama Takeshi Tsujii\Tatsuyuki Misumi Okuyasu Yokomizo\Damn.\I've got Gotou next? Wish I didn't.\I mean, that old dude is pretty scary.\I don't know what it is, but he's got a yakuza aura. response:	Just sitting in front of him makes you make mistakes. Yikes.
context: Masamune Gotou Kenichirou Irie\Rei Kiriyama Takeshi Tsujii\Tatsuyuki Misumi Okuyasu Yokomizo\Damn.\I've got Gotou next? Wish I didn't.\I mean, that old dude is pretty scary.\I don't know what it is, but he's got a yakuza aura.\Just sitting in front of him makes you make mistakes. Yikes. response:	Oh crap! Speak of the devil...
context: Rei Kiriyama Takeshi Tsujii\Tatsuyuki Misumi Okuyasu Yokomizo\Damn.\I've got Gotou next? Wish I didn't.\I mean, that old dude is pretty scary.\I don't know what it is, but he's got a yakuza aura.\Just sitting in front of him makes you make mistakes. Yikes.\Oh crap! Speak of the devil... response:	Hey.
context: Tatsuyuki Misumi Okuyasu Yokomizo\Damn.\I've got Gotou next? Wish I didn't.\I mean, that old dude is pretty scary.\I don't know what it is, but he's got a yakuza aura.\Just sitting in front of him makes you make mistakes. Yikes.\Oh crap! Speak of the devil...\Hey. response:	What Lies on the Opposite Shore
context: Damn.\I've got Gotou next? Wish I didn't.\I mean, that old dude is pretty scary.\I don't know what it is, but he's got a yakuza aura.\Just sitting in front of him makes you make mistakes. Yikes.\Oh crap! Speak of the devil...\Hey.\What Lies on the Opposite Shore response:	Black River (Part 1)
context: I've got Gotou next? Wish I didn't.\I mean, that old dude is pretty scary.\I don't know what it is, but he's got a yakuza aura.\Just sitting in front of him makes you make mistakes. Yikes.\Oh crap! Speak of the devil...\Hey.\What Lies on the Opposite Shore\Black River (Part 1) response:	You look well.
context: I mean, that old dude is pretty scary.\I don't know what it is, but he's got a yakuza aura.\Just sitting in front of him makes you make mistakes. Yikes.\Oh crap! Speak of the devil...\Hey.\What Lies on the Opposite Shore\Black River (Part 1)\You look well. response:	Too bad.
context: I don't know what it is, but he's got a yakuza aura.\Just sitting in front of him makes you make mistakes. Yikes.\Oh crap! Speak of the devil...\Hey.\What Lies on the Opposite Shore\Black River (Part 1)\You look well.\Too bad. response:	I see.
context: Just sitting in front of him makes you make mistakes. Yikes.\Oh crap! Speak of the devil...\Hey.\What Lies on the Opposite Shore\Black River (Part 1)\You look well.\Too bad.\I see. response:	If we keep going like this, you and I will go head to head.
context: Oh crap! Speak of the devil...\Hey.\What Lies on the Opposite Shore\Black River (Part 1)\You look well.\Too bad.\I see.\If we keep going like this, you and I will go head to head. response:	Well, I'm looking forward to that.
context: Hey.\What Lies on the Opposite Shore\Black River (Part 1)\You look well.\Too bad.\I see.\If we keep going like this, you and I will go head to head.\Well, I'm looking forward to that. response:	It should be a little more interesting than beating you with my bare hands.
context: What Lies on the Opposite Shore\Black River (Part 1)\You look well.\Too bad.\I see.\If we keep going like this, you and I will go head to head.\Well, I'm looking forward to that.\It should be a little more interesting than beating you with my bare hands. response:	That's right.
context: Black River (Part 1)\You look well.\Too bad.\I see.\If we keep going like this, you and I will go head to head.\Well, I'm looking forward to that.\It should be a little more interesting than beating you with my bare hands.\That's right. response:	I want you to pass on a message to your old man, Kouda.
context: You look well.\Too bad.\I see.\If we keep going like this, you and I will go head to head.\Well, I'm looking forward to that.\It should be a little more interesting than beating you with my bare hands.\That's right.\I want you to pass on a message to your old man, Kouda. response:	It's about that stalker girl.
context: Too bad.\I see.\If we keep going like this, you and I will go head to head.\Well, I'm looking forward to that.\It should be a little more interesting than beating you with my bare hands.\That's right.\I want you to pass on a message to your old man, Kouda.\It's about that stalker girl. response:	Tell him to get her off my back.
context: I see.\If we keep going like this, you and I will go head to head.\Well, I'm looking forward to that.\It should be a little more interesting than beating you with my bare hands.\That's right.\I want you to pass on a message to your old man, Kouda.\It's about that stalker girl.\Tell him to get her off my back. response:	Gotou gave it to me recently.
context: If we keep going like this, you and I will go head to head.\Well, I'm looking forward to that.\It should be a little more interesting than beating you with my bare hands.\That's right.\I want you to pass on a message to your old man, Kouda.\It's about that stalker girl.\Tell him to get her off my back.\Gotou gave it to me recently. response:	I love him. I truly love him.
context: Well, I'm looking forward to that.\It should be a little more interesting than beating you with my bare hands.\That's right.\I want you to pass on a message to your old man, Kouda.\It's about that stalker girl.\Tell him to get her off my back.\Gotou gave it to me recently.\I love him. I truly love him. response:	She's really annoying.
context: It should be a little more interesting than beating you with my bare hands.\That's right.\I want you to pass on a message to your old man, Kouda.\It's about that stalker girl.\Tell him to get her off my back.\Gotou gave it to me recently.\I love him. I truly love him.\She's really annoying. response:	You know?
context: That's right.\I want you to pass on a message to your old man, Kouda.\It's about that stalker girl.\Tell him to get her off my back.\Gotou gave it to me recently.\I love him. I truly love him.\She's really annoying.\You know? response:	What?
context: I want you to pass on a message to your old man, Kouda.\It's about that stalker girl.\Tell him to get her off my back.\Gotou gave it to me recently.\I love him. I truly love him.\She's really annoying.\You know?\What? response:	Whoa! Whoa!
context: It's about that stalker girl.\Tell him to get her off my back.\Gotou gave it to me recently.\I love him. I truly love him.\She's really annoying.\You know?\What?\Whoa! Whoa! response:	Hold on there, Kiriyama!
context: Tell him to get her off my back.\Gotou gave it to me recently.\I love him. I truly love him.\She's really annoying.\You know?\What?\Whoa! Whoa!\Hold on there, Kiriyama! response:	What's wrong with you?
context: Gotou gave it to me recently.\I love him. I truly love him.\She's really annoying.\You know?\What?\Whoa! Whoa!\Hold on there, Kiriyama!\What's wrong with you? response:	As for you, Mr. Gotou, if there's something you want to say, please tell Mr. Kouda directly.
context: I love him. I truly love him.\She's really annoying.\You know?\What?\Whoa! Whoa!\Hold on there, Kiriyama!\What's wrong with you?\As for you, Mr. Gotou, if there's something you want to say, please tell Mr. Kouda directly. response:	Please! New people like him are vulnerable.
context: She's really annoying.\You know?\What?\Whoa! Whoa!\Hold on there, Kiriyama!\What's wrong with you?\As for you, Mr. Gotou, if there's something you want to say, please tell Mr. Kouda directly.\Please! New people like him are vulnerable. response:	Hey!
context: You know?\What?\Whoa! Whoa!\Hold on there, Kiriyama!\What's wrong with you?\As for you, Mr. Gotou, if there's something you want to say, please tell Mr. Kouda directly.\Please! New people like him are vulnerable.\Hey! response:	Is somebody still on the 4th floor?
context: What?\Whoa! Whoa!\Hold on there, Kiriyama!\What's wrong with you?\As for you, Mr. Gotou, if there's something you want to say, please tell Mr. Kouda directly.\Please! New people like him are vulnerable.\Hey!\Is somebody still on the 4th floor? response:	The fortune fishing boat's back!
context: Whoa! Whoa!\Hold on there, Kiriyama!\What's wrong with you?\As for you, Mr. Gotou, if there's something you want to say, please tell Mr. Kouda directly.\Please! New people like him are vulnerable.\Hey!\Is somebody still on the 4th floor?\The fortune fishing boat's back! response:	Chairman! Please don't take your fish out here!
context: Hold on there, Kiriyama!\What's wrong with you?\As for you, Mr. Gotou, if there's something you want to say, please tell Mr. Kouda directly.\Please! New people like him are vulnerable.\Hey!\Is somebody still on the 4th floor?\The fortune fishing boat's back!\Chairman! Please don't take your fish out here! response:	Geez, at a time like this, another troublemaker.
context: What's wrong with you?\As for you, Mr. Gotou, if there's something you want to say, please tell Mr. Kouda directly.\Please! New people like him are vulnerable.\Hey!\Is somebody still on the 4th floor?\The fortune fishing boat's back!\Chairman! Please don't take your fish out here!\Geez, at a time like this, another troublemaker. response:	Yes, yes, Kiriyama. Calm down, calm down.
context: As for you, Mr. Gotou, if there's something you want to say, please tell Mr. Kouda directly.\Please! New people like him are vulnerable.\Hey!\Is somebody still on the 4th floor?\The fortune fishing boat's back!\Chairman! Please don't take your fish out here!\Geez, at a time like this, another troublemaker.\Yes, yes, Kiriyama. Calm down, calm down. response:	The noisy guy's back, huh?
context: Please! New people like him are vulnerable.\Hey!\Is somebody still on the 4th floor?\The fortune fishing boat's back!\Chairman! Please don't take your fish out here!\Geez, at a time like this, another troublemaker.\Yes, yes, Kiriyama. Calm down, calm down.\The noisy guy's back, huh? response:	I'm going. Remember to tell Kouda, okay?
context: Hey!\Is somebody still on the 4th floor?\The fortune fishing boat's back!\Chairman! Please don't take your fish out here!\Geez, at a time like this, another troublemaker.\Yes, yes, Kiriyama. Calm down, calm down.\The noisy guy's back, huh?\I'm going. Remember to tell Kouda, okay? response:	S-Scary. He's like, what, a heavyweight?
context: Is somebody still on the 4th floor?\The fortune fishing boat's back!\Chairman! Please don't take your fish out here!\Geez, at a time like this, another troublemaker.\Yes, yes, Kiriyama. Calm down, calm down.\The noisy guy's back, huh?\I'm going. Remember to tell Kouda, okay?\S-Scary. He's like, what, a heavyweight? response:	Heavy and tenacious.
context: The fortune fishing boat's back!\Chairman! Please don't take your fish out here!\Geez, at a time like this, another troublemaker.\Yes, yes, Kiriyama. Calm down, calm down.\The noisy guy's back, huh?\I'm going. Remember to tell Kouda, okay?\S-Scary. He's like, what, a heavyweight?\Heavy and tenacious. response:	If he's crude oil, I'm salad oil.
context: Chairman! Please don't take your fish out here!\Geez, at a time like this, another troublemaker.\Yes, yes, Kiriyama. Calm down, calm down.\The noisy guy's back, huh?\I'm going. Remember to tell Kouda, okay?\S-Scary. He's like, what, a heavyweight?\Heavy and tenacious.\If he's crude oil, I'm salad oil. response:	Nice and light.
context: Geez, at a time like this, another troublemaker.\Yes, yes, Kiriyama. Calm down, calm down.\The noisy guy's back, huh?\I'm going. Remember to tell Kouda, okay?\S-Scary. He's like, what, a heavyweight?\Heavy and tenacious.\If he's crude oil, I'm salad oil.\Nice and light. response:	So? What?
context: Yes, yes, Kiriyama. Calm down, calm down.\The noisy guy's back, huh?\I'm going. Remember to tell Kouda, okay?\S-Scary. He's like, what, a heavyweight?\Heavy and tenacious.\If he's crude oil, I'm salad oil.\Nice and light.\So? What? response:	Did something happen between you and Gotou?
context: The noisy guy's back, huh?\I'm going. Remember to tell Kouda, okay?\S-Scary. He's like, what, a heavyweight?\Heavy and tenacious.\If he's crude oil, I'm salad oil.\Nice and light.\So? What?\Did something happen between you and Gotou? response:	Are you okay?
context: I'm going. Remember to tell Kouda, okay?\S-Scary. He's like, what, a heavyweight?\Heavy and tenacious.\If he's crude oil, I'm salad oil.\Nice and light.\So? What?\Did something happen between you and Gotou?\Are you okay? response:	He was saying some ominous things.
context: S-Scary. He's like, what, a heavyweight?\Heavy and tenacious.\If he's crude oil, I'm salad oil.\Nice and light.\So? What?\Did something happen between you and Gotou?\Are you okay?\He was saying some ominous things. response:	Hey, the tackle master is here!
context: Heavy and tenacious.\If he's crude oil, I'm salad oil.\Nice and light.\So? What?\Did something happen between you and Gotou?\Are you okay?\He was saying some ominous things.\Hey, the tackle master is here! response:	Slippery
context: If he's crude oil, I'm salad oil.\Nice and light.\So? What?\Did something happen between you and Gotou?\Are you okay?\He was saying some ominous things.\Hey, the tackle master is here!\Slippery response:	What's going on? I'm not seeing any smiles!
context: Nice and light.\So? What?\Did something happen between you and Gotou?\Are you okay?\He was saying some ominous things.\Hey, the tackle master is here!\Slippery\What's going on? I'm not seeing any smiles! response:	Japan Shogi Association
context: So? What?\Did something happen between you and Gotou?\Are you okay?\He was saying some ominous things.\Hey, the tackle master is here!\Slippery\What's going on? I'm not seeing any smiles!\Japan Shogi Association response:	What do you think? 62 centimeters!
context: Did something happen between you and Gotou?\Are you okay?\He was saying some ominous things.\Hey, the tackle master is here!\Slippery\What's going on? I'm not seeing any smiles!\Japan Shogi Association\What do you think? 62 centimeters! response:	How about some sashimi and hot sake?
context: Are you okay?\He was saying some ominous things.\Hey, the tackle master is here!\Slippery\What's going on? I'm not seeing any smiles!\Japan Shogi Association\What do you think? 62 centimeters!\How about some sashimi and hot sake? response:	Chairman, shhh!
context: He was saying some ominous things.\Hey, the tackle master is here!\Slippery\What's going on? I'm not seeing any smiles!\Japan Shogi Association\What do you think? 62 centimeters!\How about some sashimi and hot sake?\Chairman, shhh! response:	Some people are still in their match! Shhh!
context: Hey, the tackle master is here!\Slippery\What's going on? I'm not seeing any smiles!\Japan Shogi Association\What do you think? 62 centimeters!\How about some sashimi and hot sake?\Chairman, shhh!\Some people are still in their match! Shhh! response:	Oh no. Whoops, sorry about that!
context: Slippery\What's going on? I'm not seeing any smiles!\Japan Shogi Association\What do you think? 62 centimeters!\How about some sashimi and hot sake?\Chairman, shhh!\Some people are still in their match! Shhh!\Oh no. Whoops, sorry about that! response:	Slap
context: What's going on? I'm not seeing any smiles!\Japan Shogi Association\What do you think? 62 centimeters!\How about some sashimi and hot sake?\Chairman, shhh!\Some people are still in their match! Shhh!\Oh no. Whoops, sorry about that!\Slap response:	Avalanche
context: Japan Shogi Association\What do you think? 62 centimeters!\How about some sashimi and hot sake?\Chairman, shhh!\Some people are still in their match! Shhh!\Oh no. Whoops, sorry about that!\Slap\Avalanche response:	Take whatever you like!
context: What do you think? 62 centimeters!\How about some sashimi and hot sake?\Chairman, shhh!\Some people are still in their match! Shhh!\Oh no. Whoops, sorry about that!\Slap\Avalanche\Take whatever you like! response:	Hey, Nakamura! Bring some bags you can put fish in!
context: How about some sashimi and hot sake?\Chairman, shhh!\Some people are still in their match! Shhh!\Oh no. Whoops, sorry about that!\Slap\Avalanche\Take whatever you like!\Hey, Nakamura! Bring some bags you can put fish in! response:	Okay!
context: Chairman, shhh!\Some people are still in their match! Shhh!\Oh no. Whoops, sorry about that!\Slap\Avalanche\Take whatever you like!\Hey, Nakamura! Bring some bags you can put fish in!\Okay! response:	Also, tell everyone from Modern Shogi downstairs to come up!
context: Some people are still in their match! Shhh!\Oh no. Whoops, sorry about that!\Slap\Avalanche\Take whatever you like!\Hey, Nakamura! Bring some bags you can put fish in!\Okay!\Also, tell everyone from Modern Shogi downstairs to come up! response:	Unlimited capturing!
