context: Oh, is that so? So that's what happened, huh? response:	Mm-hmm. I really thought we were done for.
context: When Vegeta comes to get ours, I will kill him, and take his two from him.\Then I will have all seven of them.\Is that how I am to be endowed with eternal life?\Now then, to wait leisurely at the spaceship.\Right, this Kami- sama person was a Namekian who had made his way to Earth.\We want to use the Dragon Balls here to bring our dead friends back to life.\If things go right when our wish is granted,\the Dragon Balls on Earth will be revived as well. response:	S- so that's why you're here, is it? I've finally unraveled the mystery about you.
context: Then I will have all seven of them.\Is that how I am to be endowed with eternal life?\Now then, to wait leisurely at the spaceship.\Right, this Kami- sama person was a Namekian who had made his way to Earth.\We want to use the Dragon Balls here to bring our dead friends back to life.\If things go right when our wish is granted,\the Dragon Balls on Earth will be revived as well.\S- so that's why you're here, is it? I've finally unraveled the mystery about you. response:	I'm begging you, please come with me!
context: Is that how I am to be endowed with eternal life?\Now then, to wait leisurely at the spaceship.\Right, this Kami- sama person was a Namekian who had made his way to Earth.\We want to use the Dragon Balls here to bring our dead friends back to life.\If things go right when our wish is granted,\the Dragon Balls on Earth will be revived as well.\S- so that's why you're here, is it? I've finally unraveled the mystery about you.\I'm begging you, please come with me! response:	I will show you where the Grand Elder is!
context: Now then, to wait leisurely at the spaceship.\Right, this Kami- sama person was a Namekian who had made his way to Earth.\We want to use the Dragon Balls here to bring our dead friends back to life.\If things go right when our wish is granted,\the Dragon Balls on Earth will be revived as well.\S- so that's why you're here, is it? I've finally unraveled the mystery about you.\I'm begging you, please come with me!\I will show you where the Grand Elder is! response:	Grand Elder?
context: Right, this Kami- sama person was a Namekian who had made his way to Earth.\We want to use the Dragon Balls here to bring our dead friends back to life.\If things go right when our wish is granted,\the Dragon Balls on Earth will be revived as well.\S- so that's why you're here, is it? I've finally unraveled the mystery about you.\I'm begging you, please come with me!\I will show you where the Grand Elder is!\Grand Elder? response:	Who is this Grand Elder?
context: We want to use the Dragon Balls here to bring our dead friends back to life.\If things go right when our wish is granted,\the Dragon Balls on Earth will be revived as well.\S- so that's why you're here, is it? I've finally unraveled the mystery about you.\I'm begging you, please come with me!\I will show you where the Grand Elder is!\Grand Elder?\Who is this Grand Elder? response:	The one who gave birth to all of us here on Namek.
context: If things go right when our wish is granted,\the Dragon Balls on Earth will be revived as well.\S- so that's why you're here, is it? I've finally unraveled the mystery about you.\I'm begging you, please come with me!\I will show you where the Grand Elder is!\Grand Elder?\Who is this Grand Elder?\The one who gave birth to all of us here on Namek. response:	The only one who survived the abnormal weather long ago,
context: the Dragon Balls on Earth will be revived as well.\S- so that's why you're here, is it? I've finally unraveled the mystery about you.\I'm begging you, please come with me!\I will show you where the Grand Elder is!\Grand Elder?\Who is this Grand Elder?\The one who gave birth to all of us here on Namek.\The only one who survived the abnormal weather long ago, response:	and once again brought life to Namek.
context: S- so that's why you're here, is it? I've finally unraveled the mystery about you.\I'm begging you, please come with me!\I will show you where the Grand Elder is!\Grand Elder?\Who is this Grand Elder?\The one who gave birth to all of us here on Namek.\The only one who survived the abnormal weather long ago,\and once again brought life to Namek. response:	I am Grand Elder's 108th child.
context: I'm begging you, please come with me!\I will show you where the Grand Elder is!\Grand Elder?\Who is this Grand Elder?\The one who gave birth to all of us here on Namek.\The only one who survived the abnormal weather long ago,\and once again brought life to Namek.\I am Grand Elder's 108th child. response:	The only one? How do you guys have children?
context: I will show you where the Grand Elder is!\Grand Elder?\Who is this Grand Elder?\The one who gave birth to all of us here on Namek.\The only one who survived the abnormal weather long ago,\and once again brought life to Namek.\I am Grand Elder's 108th child.\The only one? How do you guys have children? response:	How, you ask? We spawn eggs out though our mouths.
context: Grand Elder?\Who is this Grand Elder?\The one who gave birth to all of us here on Namek.\The only one who survived the abnormal weather long ago,\and once again brought life to Namek.\I am Grand Elder's 108th child.\The only one? How do you guys have children?\How, you ask? We spawn eggs out though our mouths. response:	O- oh, yeah? T- that's unusual, huh?
context: Who is this Grand Elder?\The one who gave birth to all of us here on Namek.\The only one who survived the abnormal weather long ago,\and once again brought life to Namek.\I am Grand Elder's 108th child.\The only one? How do you guys have children?\How, you ask? We spawn eggs out though our mouths.\O- oh, yeah? T- that's unusual, huh? response:	Then, this Grand Elder person is a woman, right?
context: The one who gave birth to all of us here on Namek.\The only one who survived the abnormal weather long ago,\and once again brought life to Namek.\I am Grand Elder's 108th child.\The only one? How do you guys have children?\How, you ask? We spawn eggs out though our mouths.\O- oh, yeah? T- that's unusual, huh?\Then, this Grand Elder person is a woman, right? response:	Woman? What's a woman?
context: The only one who survived the abnormal weather long ago,\and once again brought life to Namek.\I am Grand Elder's 108th child.\The only one? How do you guys have children?\How, you ask? We spawn eggs out though our mouths.\O- oh, yeah? T- that's unusual, huh?\Then, this Grand Elder person is a woman, right?\Woman? What's a woman? response:	W- what's a woman? There are two kinds of Namekians, right? Male and female.
context: and once again brought life to Namek.\I am Grand Elder's 108th child.\The only one? How do you guys have children?\How, you ask? We spawn eggs out though our mouths.\O- oh, yeah? T- that's unusual, huh?\Then, this Grand Elder person is a woman, right?\Woman? What's a woman?\W- what's a woman? There are two kinds of Namekians, right? Male and female. response:	Let's see... f- for example, you have a father and a mother...
context: I am Grand Elder's 108th child.\The only one? How do you guys have children?\How, you ask? We spawn eggs out though our mouths.\O- oh, yeah? T- that's unusual, huh?\Then, this Grand Elder person is a woman, right?\Woman? What's a woman?\W- what's a woman? There are two kinds of Namekians, right? Male and female.\Let's see... f- for example, you have a father and a mother... response:	Huh? Two kinds? W- well, um...
context: The only one? How do you guys have children?\How, you ask? We spawn eggs out though our mouths.\O- oh, yeah? T- that's unusual, huh?\Then, this Grand Elder person is a woman, right?\Woman? What's a woman?\W- what's a woman? There are two kinds of Namekians, right? Male and female.\Let's see... f- for example, you have a father and a mother...\Huh? Two kinds? W- well, um... response:	Did you hear that? They don't have male and female. What a dull planet, huh?
context: How, you ask? We spawn eggs out though our mouths.\O- oh, yeah? T- that's unusual, huh?\Then, this Grand Elder person is a woman, right?\Woman? What's a woman?\W- what's a woman? There are two kinds of Namekians, right? Male and female.\Let's see... f- for example, you have a father and a mother...\Huh? Two kinds? W- well, um...\Did you hear that? They don't have male and female. What a dull planet, huh? response:	Thank goodness I'm not a Namekian.
context: O- oh, yeah? T- that's unusual, huh?\Then, this Grand Elder person is a woman, right?\Woman? What's a woman?\W- what's a woman? There are two kinds of Namekians, right? Male and female.\Let's see... f- for example, you have a father and a mother...\Huh? Two kinds? W- well, um...\Did you hear that? They don't have male and female. What a dull planet, huh?\Thank goodness I'm not a Namekian. response:	N- never mind that, tell me why we're going to this Grand Elder.
context: Then, this Grand Elder person is a woman, right?\Woman? What's a woman?\W- what's a woman? There are two kinds of Namekians, right? Male and female.\Let's see... f- for example, you have a father and a mother...\Huh? Two kinds? W- well, um...\Did you hear that? They don't have male and female. What a dull planet, huh?\Thank goodness I'm not a Namekian.\N- never mind that, tell me why we're going to this Grand Elder. response:	T- the ones who attacked our village already had four Dragon Balls.
context: Woman? What's a woman?\W- what's a woman? There are two kinds of Namekians, right? Male and female.\Let's see... f- for example, you have a father and a mother...\Huh? Two kinds? W- well, um...\Did you hear that? They don't have male and female. What a dull planet, huh?\Thank goodness I'm not a Namekian.\N- never mind that, tell me why we're going to this Grand Elder.\T- the ones who attacked our village already had four Dragon Balls. response:	A- and you just said
context: W- what's a woman? There are two kinds of Namekians, right? Male and female.\Let's see... f- for example, you have a father and a mother...\Huh? Two kinds? W- well, um...\Did you hear that? They don't have male and female. What a dull planet, huh?\Thank goodness I'm not a Namekian.\N- never mind that, tell me why we're going to this Grand Elder.\T- the ones who attacked our village already had four Dragon Balls.\A- and you just said response:	there were a lot of people being killed in that direction, right?
context: Let's see... f- for example, you have a father and a mother...\Huh? Two kinds? W- well, um...\Did you hear that? They don't have male and female. What a dull planet, huh?\Thank goodness I'm not a Namekian.\N- never mind that, tell me why we're going to this Grand Elder.\T- the ones who attacked our village already had four Dragon Balls.\A- and you just said\there were a lot of people being killed in that direction, right? response:	Y- yeah, probably by someone named Vegeta.
context: Huh? Two kinds? W- well, um...\Did you hear that? They don't have male and female. What a dull planet, huh?\Thank goodness I'm not a Namekian.\N- never mind that, tell me why we're going to this Grand Elder.\T- the ones who attacked our village already had four Dragon Balls.\A- and you just said\there were a lot of people being killed in that direction, right?\Y- yeah, probably by someone named Vegeta. response:	T- there isn't a single Ki left anymore.
context: Did you hear that? They don't have male and female. What a dull planet, huh?\Thank goodness I'm not a Namekian.\N- never mind that, tell me why we're going to this Grand Elder.\T- the ones who attacked our village already had four Dragon Balls.\A- and you just said\there were a lot of people being killed in that direction, right?\Y- yeah, probably by someone named Vegeta.\T- there isn't a single Ki left anymore. response:	They were probably all wiped out.
context: Thank goodness I'm not a Namekian.\N- never mind that, tell me why we're going to this Grand Elder.\T- the ones who attacked our village already had four Dragon Balls.\A- and you just said\there were a lot of people being killed in that direction, right?\Y- yeah, probably by someone named Vegeta.\T- there isn't a single Ki left anymore.\They were probably all wiped out. response:	If that's the case, then there are hardly any Namekians left on this world.
context: N- never mind that, tell me why we're going to this Grand Elder.\T- the ones who attacked our village already had four Dragon Balls.\A- and you just said\there were a lot of people being killed in that direction, right?\Y- yeah, probably by someone named Vegeta.\T- there isn't a single Ki left anymore.\They were probably all wiped out.\If that's the case, then there are hardly any Namekians left on this world. response:	I see. Assuming that Vegeta found the Dragon Ball from the village he attacked,
context: T- the ones who attacked our village already had four Dragon Balls.\A- and you just said\there were a lot of people being killed in that direction, right?\Y- yeah, probably by someone named Vegeta.\T- there isn't a single Ki left anymore.\They were probably all wiped out.\If that's the case, then there are hardly any Namekians left on this world.\I see. Assuming that Vegeta found the Dragon Ball from the village he attacked, response:	then there's only one left.
context: A- and you just said\there were a lot of people being killed in that direction, right?\Y- yeah, probably by someone named Vegeta.\T- there isn't a single Ki left anymore.\They were probably all wiped out.\If that's the case, then there are hardly any Namekians left on this world.\I see. Assuming that Vegeta found the Dragon Ball from the village he attacked,\then there's only one left. response:	By any chance, does the Grand Elder have that last Dragon Ball?
context: there were a lot of people being killed in that direction, right?\Y- yeah, probably by someone named Vegeta.\T- there isn't a single Ki left anymore.\They were probably all wiped out.\If that's the case, then there are hardly any Namekians left on this world.\I see. Assuming that Vegeta found the Dragon Ball from the village he attacked,\then there's only one left.\By any chance, does the Grand Elder have that last Dragon Ball? response:	Y- yes.
context: Y- yeah, probably by someone named Vegeta.\T- there isn't a single Ki left anymore.\They were probably all wiped out.\If that's the case, then there are hardly any Namekians left on this world.\I see. Assuming that Vegeta found the Dragon Ball from the village he attacked,\then there's only one left.\By any chance, does the Grand Elder have that last Dragon Ball?\Y- yes. response:	Oh, no!
context: T- there isn't a single Ki left anymore.\They were probably all wiped out.\If that's the case, then there are hardly any Namekians left on this world.\I see. Assuming that Vegeta found the Dragon Ball from the village he attacked,\then there's only one left.\By any chance, does the Grand Elder have that last Dragon Ball?\Y- yes.\Oh, no! response:	Those Freeza guys may have lost their Scouters,
context: They were probably all wiped out.\If that's the case, then there are hardly any Namekians left on this world.\I see. Assuming that Vegeta found the Dragon Ball from the village he attacked,\then there's only one left.\By any chance, does the Grand Elder have that last Dragon Ball?\Y- yes.\Oh, no!\Those Freeza guys may have lost their Scouters, response:	but Vegeta has gained the ability to sense Ki.
context: If that's the case, then there are hardly any Namekians left on this world.\I see. Assuming that Vegeta found the Dragon Ball from the village he attacked,\then there's only one left.\By any chance, does the Grand Elder have that last Dragon Ball?\Y- yes.\Oh, no!\Those Freeza guys may have lost their Scouters,\but Vegeta has gained the ability to sense Ki. response:	If he searches for Ki, he'll arrive at the Grand Elder's place before long,
context: I see. Assuming that Vegeta found the Dragon Ball from the village he attacked,\then there's only one left.\By any chance, does the Grand Elder have that last Dragon Ball?\Y- yes.\Oh, no!\Those Freeza guys may have lost their Scouters,\but Vegeta has gained the ability to sense Ki.\If he searches for Ki, he'll arrive at the Grand Elder's place before long, response:	and he'll take the seventh Dragon Ball from him!
context: then there's only one left.\By any chance, does the Grand Elder have that last Dragon Ball?\Y- yes.\Oh, no!\Those Freeza guys may have lost their Scouters,\but Vegeta has gained the ability to sense Ki.\If he searches for Ki, he'll arrive at the Grand Elder's place before long,\and he'll take the seventh Dragon Ball from him! response:	T- then we have to hurry and go tell the Grand Elder about this!
context: By any chance, does the Grand Elder have that last Dragon Ball?\Y- yes.\Oh, no!\Those Freeza guys may have lost their Scouters,\but Vegeta has gained the ability to sense Ki.\If he searches for Ki, he'll arrive at the Grand Elder's place before long,\and he'll take the seventh Dragon Ball from him!\T- then we have to hurry and go tell the Grand Elder about this! response:	Please! Please!
context: Y- yes.\Oh, no!\Those Freeza guys may have lost their Scouters,\but Vegeta has gained the ability to sense Ki.\If he searches for Ki, he'll arrive at the Grand Elder's place before long,\and he'll take the seventh Dragon Ball from him!\T- then we have to hurry and go tell the Grand Elder about this!\Please! Please! response:	Whether it's Freeza or Vegeta,
context: Oh, no!\Those Freeza guys may have lost their Scouters,\but Vegeta has gained the ability to sense Ki.\If he searches for Ki, he'll arrive at the Grand Elder's place before long,\and he'll take the seventh Dragon Ball from him!\T- then we have to hurry and go tell the Grand Elder about this!\Please! Please!\Whether it's Freeza or Vegeta, response:	if either one of them is given eternal life, it will be terrible!
context: Those Freeza guys may have lost their Scouters,\but Vegeta has gained the ability to sense Ki.\If he searches for Ki, he'll arrive at the Grand Elder's place before long,\and he'll take the seventh Dragon Ball from him!\T- then we have to hurry and go tell the Grand Elder about this!\Please! Please!\Whether it's Freeza or Vegeta,\if either one of them is given eternal life, it will be terrible! response:	A- all right, let's hurry. Show me the way.
context: but Vegeta has gained the ability to sense Ki.\If he searches for Ki, he'll arrive at the Grand Elder's place before long,\and he'll take the seventh Dragon Ball from him!\T- then we have to hurry and go tell the Grand Elder about this!\Please! Please!\Whether it's Freeza or Vegeta,\if either one of them is given eternal life, it will be terrible!\A- all right, let's hurry. Show me the way. response:	Right.
context: If he searches for Ki, he'll arrive at the Grand Elder's place before long,\and he'll take the seventh Dragon Ball from him!\T- then we have to hurry and go tell the Grand Elder about this!\Please! Please!\Whether it's Freeza or Vegeta,\if either one of them is given eternal life, it will be terrible!\A- all right, let's hurry. Show me the way.\Right. response:	I'll go with Dende to meet the Grand Elder.
context: and he'll take the seventh Dragon Ball from him!\T- then we have to hurry and go tell the Grand Elder about this!\Please! Please!\Whether it's Freeza or Vegeta,\if either one of them is given eternal life, it will be terrible!\A- all right, let's hurry. Show me the way.\Right.\I'll go with Dende to meet the Grand Elder. response:	Gohan and Bulma- san, you wait here for us.
context: T- then we have to hurry and go tell the Grand Elder about this!\Please! Please!\Whether it's Freeza or Vegeta,\if either one of them is given eternal life, it will be terrible!\A- all right, let's hurry. Show me the way.\Right.\I'll go with Dende to meet the Grand Elder.\Gohan and Bulma- san, you wait here for us. response:	It won't do any good for all of us to go, right?
context: Please! Please!\Whether it's Freeza or Vegeta,\if either one of them is given eternal life, it will be terrible!\A- all right, let's hurry. Show me the way.\Right.\I'll go with Dende to meet the Grand Elder.\Gohan and Bulma- san, you wait here for us.\It won't do any good for all of us to go, right? response:	U- understood. Be careful.
context: Whether it's Freeza or Vegeta,\if either one of them is given eternal life, it will be terrible!\A- all right, let's hurry. Show me the way.\Right.\I'll go with Dende to meet the Grand Elder.\Gohan and Bulma- san, you wait here for us.\It won't do any good for all of us to go, right?\U- understood. Be careful. response:	Remember, you be careful, too!
context: if either one of them is given eternal life, it will be terrible!\A- all right, let's hurry. Show me the way.\Right.\I'll go with Dende to meet the Grand Elder.\Gohan and Bulma- san, you wait here for us.\It won't do any good for all of us to go, right?\U- understood. Be careful.\Remember, you be careful, too! response:	Right!
context: A- all right, let's hurry. Show me the way.\Right.\I'll go with Dende to meet the Grand Elder.\Gohan and Bulma- san, you wait here for us.\It won't do any good for all of us to go, right?\U- understood. Be careful.\Remember, you be careful, too!\Right! response:	Vegeta seems to be even stronger than he was before,
context: Right.\I'll go with Dende to meet the Grand Elder.\Gohan and Bulma- san, you wait here for us.\It won't do any good for all of us to go, right?\U- understood. Be careful.\Remember, you be careful, too!\Right!\Vegeta seems to be even stronger than he was before, response:	and I sensed an even more incredible Ki from that Freeza guy.
context: I'll go with Dende to meet the Grand Elder.\Gohan and Bulma- san, you wait here for us.\It won't do any good for all of us to go, right?\U- understood. Be careful.\Remember, you be careful, too!\Right!\Vegeta seems to be even stronger than he was before,\and I sensed an even more incredible Ki from that Freeza guy. response:	l don't know what kind of training Goku is doing,
context: Gohan and Bulma- san, you wait here for us.\It won't do any good for all of us to go, right?\U- understood. Be careful.\Remember, you be careful, too!\Right!\Vegeta seems to be even stronger than he was before,\and I sensed an even more incredible Ki from that Freeza guy.\l don't know what kind of training Goku is doing, response:	but this time, even he might not be up to the task.
context: It won't do any good for all of us to go, right?\U- understood. Be careful.\Remember, you be careful, too!\Right!\Vegeta seems to be even stronger than he was before,\and I sensed an even more incredible Ki from that Freeza guy.\l don't know what kind of training Goku is doing,\but this time, even he might not be up to the task. response:	ln any case, we'll get the one Dragon Ball the Grand Elder has,
context: U- understood. Be careful.\Remember, you be careful, too!\Right!\Vegeta seems to be even stronger than he was before,\and I sensed an even more incredible Ki from that Freeza guy.\l don't know what kind of training Goku is doing,\but this time, even he might not be up to the task.\ln any case, we'll get the one Dragon Ball the Grand Elder has, response:	and then just hide for five and a half days until Goku arrives.
context: Remember, you be careful, too!\Right!\Vegeta seems to be even stronger than he was before,\and I sensed an even more incredible Ki from that Freeza guy.\l don't know what kind of training Goku is doing,\but this time, even he might not be up to the task.\ln any case, we'll get the one Dragon Ball the Grand Elder has,\and then just hide for five and a half days until Goku arrives. response:	After that, all we can do is wait for Goku to perform a miracle.
context: Right!\Vegeta seems to be even stronger than he was before,\and I sensed an even more incredible Ki from that Freeza guy.\l don't know what kind of training Goku is doing,\but this time, even he might not be up to the task.\ln any case, we'll get the one Dragon Ball the Grand Elder has,\and then just hide for five and a half days until Goku arrives.\After that, all we can do is wait for Goku to perform a miracle. response:	Ah, if l'm starting to hope for miracles, then we've had it.
context: Vegeta seems to be even stronger than he was before,\and I sensed an even more incredible Ki from that Freeza guy.\l don't know what kind of training Goku is doing,\but this time, even he might not be up to the task.\ln any case, we'll get the one Dragon Ball the Grand Elder has,\and then just hide for five and a half days until Goku arrives.\After that, all we can do is wait for Goku to perform a miracle.\Ah, if l'm starting to hope for miracles, then we've had it. response:	Geez, l've never had a single woman in my life, either.
context: and I sensed an even more incredible Ki from that Freeza guy.\l don't know what kind of training Goku is doing,\but this time, even he might not be up to the task.\ln any case, we'll get the one Dragon Ball the Grand Elder has,\and then just hide for five and a half days until Goku arrives.\After that, all we can do is wait for Goku to perform a miracle.\Ah, if l'm starting to hope for miracles, then we've had it.\Geez, l've never had a single woman in my life, either. response:	All right... terrific... I'm pretty used to this 20-times gravity now...
context: l don't know what kind of training Goku is doing,\but this time, even he might not be up to the task.\ln any case, we'll get the one Dragon Ball the Grand Elder has,\and then just hide for five and a half days until Goku arrives.\After that, all we can do is wait for Goku to perform a miracle.\Ah, if l'm starting to hope for miracles, then we've had it.\Geez, l've never had a single woman in my life, either.\All right... terrific... I'm pretty used to this 20-times gravity now... response:	Okay, maybe I should try 30-times now.
context: but this time, even he might not be up to the task.\ln any case, we'll get the one Dragon Ball the Grand Elder has,\and then just hide for five and a half days until Goku arrives.\After that, all we can do is wait for Goku to perform a miracle.\Ah, if l'm starting to hope for miracles, then we've had it.\Geez, l've never had a single woman in my life, either.\All right... terrific... I'm pretty used to this 20-times gravity now...\Okay, maybe I should try 30-times now. response:	Goku! Can you hear me? Goku! Huh?
context: ln any case, we'll get the one Dragon Ball the Grand Elder has,\and then just hide for five and a half days until Goku arrives.\After that, all we can do is wait for Goku to perform a miracle.\Ah, if l'm starting to hope for miracles, then we've had it.\Geez, l've never had a single woman in my life, either.\All right... terrific... I'm pretty used to this 20-times gravity now...\Okay, maybe I should try 30-times now.\Goku! Can you hear me? Goku! Huh? response:	Oh! That voice! Is that you, Kaio- sama!?
context: and then just hide for five and a half days until Goku arrives.\After that, all we can do is wait for Goku to perform a miracle.\Ah, if l'm starting to hope for miracles, then we've had it.\Geez, l've never had a single woman in my life, either.\All right... terrific... I'm pretty used to this 20-times gravity now...\Okay, maybe I should try 30-times now.\Goku! Can you hear me? Goku! Huh?\Oh! That voice! Is that you, Kaio- sama!? response:	Oh, indeed it is Kaio.
context: After that, all we can do is wait for Goku to perform a miracle.\Ah, if l'm starting to hope for miracles, then we've had it.\Geez, l've never had a single woman in my life, either.\All right... terrific... I'm pretty used to this 20-times gravity now...\Okay, maybe I should try 30-times now.\Goku! Can you hear me? Goku! Huh?\Oh! That voice! Is that you, Kaio- sama!?\Oh, indeed it is Kaio. response:	By any chance, is that outer space you're in now? What are you doing in space?
context: Ah, if l'm starting to hope for miracles, then we've had it.\Geez, l've never had a single woman in my life, either.\All right... terrific... I'm pretty used to this 20-times gravity now...\Okay, maybe I should try 30-times now.\Goku! Can you hear me? Goku! Huh?\Oh! That voice! Is that you, Kaio- sama!?\Oh, indeed it is Kaio.\By any chance, is that outer space you're in now? What are you doing in space? response:	Oh, I get it. Planet Namek, right?
context: Geez, l've never had a single woman in my life, either.\All right... terrific... I'm pretty used to this 20-times gravity now...\Okay, maybe I should try 30-times now.\Goku! Can you hear me? Goku! Huh?\Oh! That voice! Is that you, Kaio- sama!?\Oh, indeed it is Kaio.\By any chance, is that outer space you're in now? What are you doing in space?\Oh, I get it. Planet Namek, right? response:	It would be nice if you could find their Dragon Balls, huh?
context: All right... terrific... I'm pretty used to this 20-times gravity now...\Okay, maybe I should try 30-times now.\Goku! Can you hear me? Goku! Huh?\Oh! That voice! Is that you, Kaio- sama!?\Oh, indeed it is Kaio.\By any chance, is that outer space you're in now? What are you doing in space?\Oh, I get it. Planet Namek, right?\It would be nice if you could find their Dragon Balls, huh? response:	What's with you, Kaio- sama!? Don't you know anything?
context: Okay, maybe I should try 30-times now.\Goku! Can you hear me? Goku! Huh?\Oh! That voice! Is that you, Kaio- sama!?\Oh, indeed it is Kaio.\By any chance, is that outer space you're in now? What are you doing in space?\Oh, I get it. Planet Namek, right?\It would be nice if you could find their Dragon Balls, huh?\What's with you, Kaio- sama!? Don't you know anything? response:	There's something terrible happening on Planet Namek.
context: Goku! Can you hear me? Goku! Huh?\Oh! That voice! Is that you, Kaio- sama!?\Oh, indeed it is Kaio.\By any chance, is that outer space you're in now? What are you doing in space?\Oh, I get it. Planet Namek, right?\It would be nice if you could find their Dragon Balls, huh?\What's with you, Kaio- sama!? Don't you know anything?\There's something terrible happening on Planet Namek. response:	Something terrible? Well, I'll ask about that later.
context: Oh! That voice! Is that you, Kaio- sama!?\Oh, indeed it is Kaio.\By any chance, is that outer space you're in now? What are you doing in space?\Oh, I get it. Planet Namek, right?\It would be nice if you could find their Dragon Balls, huh?\What's with you, Kaio- sama!? Don't you know anything?\There's something terrible happening on Planet Namek.\Something terrible? Well, I'll ask about that later. response:	As it happens, I've had some visitors come by here.
context: Oh, indeed it is Kaio.\By any chance, is that outer space you're in now? What are you doing in space?\Oh, I get it. Planet Namek, right?\It would be nice if you could find their Dragon Balls, huh?\What's with you, Kaio- sama!? Don't you know anything?\There's something terrible happening on Planet Namek.\Something terrible? Well, I'll ask about that later.\As it happens, I've had some visitors come by here. response:	Visitors? What about them?
context: By any chance, is that outer space you're in now? What are you doing in space?\Oh, I get it. Planet Namek, right?\It would be nice if you could find their Dragon Balls, huh?\What's with you, Kaio- sama!? Don't you know anything?\There's something terrible happening on Planet Namek.\Something terrible? Well, I'll ask about that later.\As it happens, I've had some visitors come by here.\Visitors? What about them? response:	lt's amazing.
context: Oh, I get it. Planet Namek, right?\It would be nice if you could find their Dragon Balls, huh?\What's with you, Kaio- sama!? Don't you know anything?\There's something terrible happening on Planet Namek.\Something terrible? Well, I'll ask about that later.\As it happens, I've had some visitors come by here.\Visitors? What about them?\lt's amazing. response:	These visitors cleared the Serpentine Road and arrived in far less time than you did.
context: It would be nice if you could find their Dragon Balls, huh?\What's with you, Kaio- sama!? Don't you know anything?\There's something terrible happening on Planet Namek.\Something terrible? Well, I'll ask about that later.\As it happens, I've had some visitors come by here.\Visitors? What about them?\lt's amazing.\These visitors cleared the Serpentine Road and arrived in far less time than you did. response:	What's more, there are four of them.
context: What's with you, Kaio- sama!? Don't you know anything?\There's something terrible happening on Planet Namek.\Something terrible? Well, I'll ask about that later.\As it happens, I've had some visitors come by here.\Visitors? What about them?\lt's amazing.\These visitors cleared the Serpentine Road and arrived in far less time than you did.\What's more, there are four of them. response:	Huh?
context: There's something terrible happening on Planet Namek.\Something terrible? Well, I'll ask about that later.\As it happens, I've had some visitors come by here.\Visitors? What about them?\lt's amazing.\These visitors cleared the Serpentine Road and arrived in far less time than you did.\What's more, there are four of them.\Huh? response:	Four of them?
context: Something terrible? Well, I'll ask about that later.\As it happens, I've had some visitors come by here.\Visitors? What about them?\lt's amazing.\These visitors cleared the Serpentine Road and arrived in far less time than you did.\What's more, there are four of them.\Huh?\Four of them? response:	That's right. You know these four quite well.
context: As it happens, I've had some visitors come by here.\Visitors? What about them?\lt's amazing.\These visitors cleared the Serpentine Road and arrived in far less time than you did.\What's more, there are four of them.\Huh?\Four of them?\That's right. You know these four quite well. response:	Y - you don't mean-?
context: Visitors? What about them?\lt's amazing.\These visitors cleared the Serpentine Road and arrived in far less time than you did.\What's more, there are four of them.\Huh?\Four of them?\That's right. You know these four quite well.\Y - you don't mean-? response:	They all want even tougher training than what you went through.
context: lt's amazing.\These visitors cleared the Serpentine Road and arrived in far less time than you did.\What's more, there are four of them.\Huh?\Four of them?\That's right. You know these four quite well.\Y - you don't mean-?\They all want even tougher training than what you went through. response:	T- that's awesome!
context: These visitors cleared the Serpentine Road and arrived in far less time than you did.\What's more, there are four of them.\Huh?\Four of them?\That's right. You know these four quite well.\Y - you don't mean-?\They all want even tougher training than what you went through.\T- that's awesome! response:	You mean that each of them has arrived there together at your place, Kaio- sama?
context: What's more, there are four of them.\Huh?\Four of them?\That's right. You know these four quite well.\Y - you don't mean-?\They all want even tougher training than what you went through.\T- that's awesome!\You mean that each of them has arrived there together at your place, Kaio- sama? response:	Can I talk to Goku?
context: Huh?\Four of them?\That's right. You know these four quite well.\Y - you don't mean-?\They all want even tougher training than what you went through.\T- that's awesome!\You mean that each of them has arrived there together at your place, Kaio- sama?\Can I talk to Goku? response:	Place your hand on my shoulder and speak.
context: Four of them?\That's right. You know these four quite well.\Y - you don't mean-?\They all want even tougher training than what you went through.\T- that's awesome!\You mean that each of them has arrived there together at your place, Kaio- sama?\Can I talk to Goku?\Place your hand on my shoulder and speak. response:	Yo, do you hear me, Goku?
context: That's right. You know these four quite well.\Y - you don't mean-?\They all want even tougher training than what you went through.\T- that's awesome!\You mean that each of them has arrived there together at your place, Kaio- sama?\Can I talk to Goku?\Place your hand on my shoulder and speak.\Yo, do you hear me, Goku? response:	Yamucha!
context: Y - you don't mean-?\They all want even tougher training than what you went through.\T- that's awesome!\You mean that each of them has arrived there together at your place, Kaio- sama?\Can I talk to Goku?\Place your hand on my shoulder and speak.\Yo, do you hear me, Goku?\Yamucha! response:	We met the dead Kami- sama here on the Other Side,
context: They all want even tougher training than what you went through.\T- that's awesome!\You mean that each of them has arrived there together at your place, Kaio- sama?\Can I talk to Goku?\Place your hand on my shoulder and speak.\Yo, do you hear me, Goku?\Yamucha!\We met the dead Kami- sama here on the Other Side, response:	and he told us about this place.
context: T- that's awesome!\You mean that each of them has arrived there together at your place, Kaio- sama?\Can I talk to Goku?\Place your hand on my shoulder and speak.\Yo, do you hear me, Goku?\Yamucha!\We met the dead Kami- sama here on the Other Side,\and he told us about this place. response:	Hey, we hear that you're going off to Piccolo's homeworld
