context: Well, we somehow managed to stop the Dragon Chain Cannon. response:	We managed somehow once I rushed onto the scene!
context: Happy...\Fire!\Magic Bullets?\Happy, watch out!\Carla!\Carla!\Crap, I hit an Exceed!\Fool! That's going to be our magic power! response:	Carla, hang in there! Carla!
context: Fire!\Magic Bullets?\Happy, watch out!\Carla!\Carla!\Crap, I hit an Exceed!\Fool! That's going to be our magic power!\Carla, hang in there! Carla! response:	Happy, take Carla someplace safe!
context: Magic Bullets?\Happy, watch out!\Carla!\Carla!\Crap, I hit an Exceed!\Fool! That's going to be our magic power!\Carla, hang in there! Carla!\Happy, take Carla someplace safe! response:	Thanks, Loke.
context: Happy, watch out!\Carla!\Carla!\Crap, I hit an Exceed!\Fool! That's going to be our magic power!\Carla, hang in there! Carla!\Happy, take Carla someplace safe!\Thanks, Loke. response:	I'm not done yet!
context: Carla!\Carla!\Crap, I hit an Exceed!\Fool! That's going to be our magic power!\Carla, hang in there! Carla!\Happy, take Carla someplace safe!\Thanks, Loke.\I'm not done yet! response:	I think everyone's said their opinion. It's about time to decide.
context: Carla!\Crap, I hit an Exceed!\Fool! That's going to be our magic power!\Carla, hang in there! Carla!\Happy, take Carla someplace safe!\Thanks, Loke.\I'm not done yet!\I think everyone's said their opinion. It's about time to decide. response:	I want people to hear one last thing.
context: Crap, I hit an Exceed!\Fool! That's going to be our magic power!\Carla, hang in there! Carla!\Happy, take Carla someplace safe!\Thanks, Loke.\I'm not done yet!\I think everyone's said their opinion. It's about time to decide.\I want people to hear one last thing. response:	Right now the Fairy Tail from Earthland is fighting the Kingdom, risking their lives!
context: Fool! That's going to be our magic power!\Carla, hang in there! Carla!\Happy, take Carla someplace safe!\Thanks, Loke.\I'm not done yet!\I think everyone's said their opinion. It's about time to decide.\I want people to hear one last thing.\Right now the Fairy Tail from Earthland is fighting the Kingdom, risking their lives! response:	Earthland's Natsu, Gray, myself, and everyone else!
context: Carla, hang in there! Carla!\Happy, take Carla someplace safe!\Thanks, Loke.\I'm not done yet!\I think everyone's said their opinion. It's about time to decide.\I want people to hear one last thing.\Right now the Fairy Tail from Earthland is fighting the Kingdom, risking their lives!\Earthland's Natsu, Gray, myself, and everyone else! response:	At this rate... everyone is going to die...
context: Happy, take Carla someplace safe!\Thanks, Loke.\I'm not done yet!\I think everyone's said their opinion. It's about time to decide.\I want people to hear one last thing.\Right now the Fairy Tail from Earthland is fighting the Kingdom, risking their lives!\Earthland's Natsu, Gray, myself, and everyone else!\At this rate... everyone is going to die... response:	I'm not done yet! I can't be defeated here!
context: Thanks, Loke.\I'm not done yet!\I think everyone's said their opinion. It's about time to decide.\I want people to hear one last thing.\Right now the Fairy Tail from Earthland is fighting the Kingdom, risking their lives!\Earthland's Natsu, Gray, myself, and everyone else!\At this rate... everyone is going to die...\I'm not done yet! I can't be defeated here! response:	We can't just stand back and watch while they're killed!
context: I'm not done yet!\I think everyone's said their opinion. It's about time to decide.\I want people to hear one last thing.\Right now the Fairy Tail from Earthland is fighting the Kingdom, risking their lives!\Earthland's Natsu, Gray, myself, and everyone else!\At this rate... everyone is going to die...\I'm not done yet! I can't be defeated here!\We can't just stand back and watch while they're killed! response:	We have to cut open a path to our world's future ourselves!
context: I think everyone's said their opinion. It's about time to decide.\I want people to hear one last thing.\Right now the Fairy Tail from Earthland is fighting the Kingdom, risking their lives!\Earthland's Natsu, Gray, myself, and everyone else!\At this rate... everyone is going to die...\I'm not done yet! I can't be defeated here!\We can't just stand back and watch while they're killed!\We have to cut open a path to our world's future ourselves! response:	Natsu and Erza should still be fighting!
context: I want people to hear one last thing.\Right now the Fairy Tail from Earthland is fighting the Kingdom, risking their lives!\Earthland's Natsu, Gray, myself, and everyone else!\At this rate... everyone is going to die...\I'm not done yet! I can't be defeated here!\We can't just stand back and watch while they're killed!\We have to cut open a path to our world's future ourselves!\Natsu and Erza should still be fighting! response:	We can't give up before they do!
context: Right now the Fairy Tail from Earthland is fighting the Kingdom, risking their lives!\Earthland's Natsu, Gray, myself, and everyone else!\At this rate... everyone is going to die...\I'm not done yet! I can't be defeated here!\We can't just stand back and watch while they're killed!\We have to cut open a path to our world's future ourselves!\Natsu and Erza should still be fighting!\We can't give up before they do! response:	We're the only ones who can stand against the Kingdom now!
context: Earthland's Natsu, Gray, myself, and everyone else!\At this rate... everyone is going to die...\I'm not done yet! I can't be defeated here!\We can't just stand back and watch while they're killed!\We have to cut open a path to our world's future ourselves!\Natsu and Erza should still be fighting!\We can't give up before they do!\We're the only ones who can stand against the Kingdom now! response:	We can do it! We can win!
context: At this rate... everyone is going to die...\I'm not done yet! I can't be defeated here!\We can't just stand back and watch while they're killed!\We have to cut open a path to our world's future ourselves!\Natsu and Erza should still be fighting!\We can't give up before they do!\We're the only ones who can stand against the Kingdom now!\We can do it! We can win! response:	Because we're...
context: I'm not done yet! I can't be defeated here!\We can't just stand back and watch while they're killed!\We have to cut open a path to our world's future ourselves!\Natsu and Erza should still be fighting!\We can't give up before they do!\We're the only ones who can stand against the Kingdom now!\We can do it! We can win!\Because we're... response:	Why? Because we're...
context: We can't just stand back and watch while they're killed!\We have to cut open a path to our world's future ourselves!\Natsu and Erza should still be fighting!\We can't give up before they do!\We're the only ones who can stand against the Kingdom now!\We can do it! We can win!\Because we're...\Why? Because we're... response:	It's no use... We're just too outnumbered...
context: We have to cut open a path to our world's future ourselves!\Natsu and Erza should still be fighting!\We can't give up before they do!\We're the only ones who can stand against the Kingdom now!\We can do it! We can win!\Because we're...\Why? Because we're...\It's no use... We're just too outnumbered... response:	Someone... save us!
context: Natsu and Erza should still be fighting!\We can't give up before they do!\We're the only ones who can stand against the Kingdom now!\We can do it! We can win!\Because we're...\Why? Because we're...\It's no use... We're just too outnumbered...\Someone... save us! response:	W-What's this?
context: We can't give up before they do!\We're the only ones who can stand against the Kingdom now!\We can do it! We can win!\Because we're...\Why? Because we're...\It's no use... We're just too outnumbered...\Someone... save us!\W-What's this? response:	It's like a tree that's moving on its own...
context: We're the only ones who can stand against the Kingdom now!\We can do it! We can win!\Because we're...\Why? Because we're...\It's no use... We're just too outnumbered...\Someone... save us!\W-What's this?\It's like a tree that's moving on its own... response:	What's that?
context: We can do it! We can win!\Because we're...\Why? Because we're...\It's no use... We're just too outnumbered...\Someone... save us!\W-What's this?\It's like a tree that's moving on its own...\What's that? response:	No way... Those guys who only ever run away?
context: Because we're...\Why? Because we're...\It's no use... We're just too outnumbered...\Someone... save us!\W-What's this?\It's like a tree that's moving on its own...\What's that?\No way... Those guys who only ever run away? response:	Here we go!
context: Why? Because we're...\It's no use... We're just too outnumbered...\Someone... save us!\W-What's this?\It's like a tree that's moving on its own...\What's that?\No way... Those guys who only ever run away?\Here we go! response:	We'll show you the power of the bonds of friendship!
context: It's no use... We're just too outnumbered...\Someone... save us!\W-What's this?\It's like a tree that's moving on its own...\What's that?\No way... Those guys who only ever run away?\Here we go!\We'll show you the power of the bonds of friendship! response:	It's the Edolas Fairy Tail!
context: Someone... save us!\W-What's this?\It's like a tree that's moving on its own...\What's that?\No way... Those guys who only ever run away?\Here we go!\We'll show you the power of the bonds of friendship!\It's the Edolas Fairy Tail! response:	Sorry'bout that. Were we late, Earth-Lucy?
context: W-What's this?\It's like a tree that's moving on its own...\What's that?\No way... Those guys who only ever run away?\Here we go!\We'll show you the power of the bonds of friendship!\It's the Edolas Fairy Tail!\Sorry'bout that. Were we late, Earth-Lucy? response:	Edo-Lucy...
context: It's like a tree that's moving on its own...\What's that?\No way... Those guys who only ever run away?\Here we go!\We'll show you the power of the bonds of friendship!\It's the Edolas Fairy Tail!\Sorry'bout that. Were we late, Earth-Lucy?\Edo-Lucy... response:	Go!
context: What's that?\No way... Those guys who only ever run away?\Here we go!\We'll show you the power of the bonds of friendship!\It's the Edolas Fairy Tail!\Sorry'bout that. Were we late, Earth-Lucy?\Edo-Lucy...\Go! response:	Pummel the Royal Army!
context: No way... Those guys who only ever run away?\Here we go!\We'll show you the power of the bonds of friendship!\It's the Edolas Fairy Tail!\Sorry'bout that. Were we late, Earth-Lucy?\Edo-Lucy...\Go!\Pummel the Royal Army! response:	Natsu, go for it!
context: Here we go!\We'll show you the power of the bonds of friendship!\It's the Edolas Fairy Tail!\Sorry'bout that. Were we late, Earth-Lucy?\Edo-Lucy...\Go!\Pummel the Royal Army!\Natsu, go for it! response:	Sure! The Earthland Fairy Tail is fighting,
context: We'll show you the power of the bonds of friendship!\It's the Edolas Fairy Tail!\Sorry'bout that. Were we late, Earth-Lucy?\Edo-Lucy...\Go!\Pummel the Royal Army!\Natsu, go for it!\Sure! The Earthland Fairy Tail is fighting, response:	so we'll fight, too!
context: It's the Edolas Fairy Tail!\Sorry'bout that. Were we late, Earth-Lucy?\Edo-Lucy...\Go!\Pummel the Royal Army!\Natsu, go for it!\Sure! The Earthland Fairy Tail is fighting,\so we'll fight, too! response:	Can you stand, Earth-Lucy?
context: Sorry'bout that. Were we late, Earth-Lucy?\Edo-Lucy...\Go!\Pummel the Royal Army!\Natsu, go for it!\Sure! The Earthland Fairy Tail is fighting,\so we'll fight, too!\Can you stand, Earth-Lucy? response:	Double Lucy...
context: Edo-Lucy...\Go!\Pummel the Royal Army!\Natsu, go for it!\Sure! The Earthland Fairy Tail is fighting,\so we'll fight, too!\Can you stand, Earth-Lucy?\Double Lucy... response:	Thank you...
context: Go!\Pummel the Royal Army!\Natsu, go for it!\Sure! The Earthland Fairy Tail is fighting,\so we'll fight, too!\Can you stand, Earth-Lucy?\Double Lucy...\Thank you... response:	Me? And look at your clothes!
context: Pummel the Royal Army!\Natsu, go for it!\Sure! The Earthland Fairy Tail is fighting,\so we'll fight, too!\Can you stand, Earth-Lucy?\Double Lucy...\Thank you...\Me? And look at your clothes! response:	Strip down!
context: Natsu, go for it!\Sure! The Earthland Fairy Tail is fighting,\so we'll fight, too!\Can you stand, Earth-Lucy?\Double Lucy...\Thank you...\Me? And look at your clothes!\Strip down! response:	Put some clothes on!
context: Sure! The Earthland Fairy Tail is fighting,\so we'll fight, too!\Can you stand, Earth-Lucy?\Double Lucy...\Thank you...\Me? And look at your clothes!\Strip down!\Put some clothes on! response:	I can't believe there are two Grays!
context: so we'll fight, too!\Can you stand, Earth-Lucy?\Double Lucy...\Thank you...\Me? And look at your clothes!\Strip down!\Put some clothes on!\I can't believe there are two Grays! response:	Juvia's in a pickle!
context: Can you stand, Earth-Lucy?\Double Lucy...\Thank you...\Me? And look at your clothes!\Strip down!\Put some clothes on!\I can't believe there are two Grays!\Juvia's in a pickle! response:	Ooh, I wish I were them...
context: Double Lucy...\Thank you...\Me? And look at your clothes!\Strip down!\Put some clothes on!\I can't believe there are two Grays!\Juvia's in a pickle!\Ooh, I wish I were them... response:	You're me, so why can't you feel what I do?
context: Thank you...\Me? And look at your clothes!\Strip down!\Put some clothes on!\I can't believe there are two Grays!\Juvia's in a pickle!\Ooh, I wish I were them...\You're me, so why can't you feel what I do? response:	Just look at my beloved Juvia-chan!
context: Me? And look at your clothes!\Strip down!\Put some clothes on!\I can't believe there are two Grays!\Juvia's in a pickle!\Ooh, I wish I were them...\You're me, so why can't you feel what I do?\Just look at my beloved Juvia-chan! response:	Beloved Juvia-chan?!
context: Strip down!\Put some clothes on!\I can't believe there are two Grays!\Juvia's in a pickle!\Ooh, I wish I were them...\You're me, so why can't you feel what I do?\Just look at my beloved Juvia-chan!\Beloved Juvia-chan?! response:	Juvia-chan, I love you!
context: Put some clothes on!\I can't believe there are two Grays!\Juvia's in a pickle!\Ooh, I wish I were them...\You're me, so why can't you feel what I do?\Just look at my beloved Juvia-chan!\Beloved Juvia-chan?!\Juvia-chan, I love you! response:	Argh, shut up!
context: I can't believe there are two Grays!\Juvia's in a pickle!\Ooh, I wish I were them...\You're me, so why can't you feel what I do?\Just look at my beloved Juvia-chan!\Beloved Juvia-chan?!\Juvia-chan, I love you!\Argh, shut up! response:	We can't lose either, Al Al!
context: Juvia's in a pickle!\Ooh, I wish I were them...\You're me, so why can't you feel what I do?\Just look at my beloved Juvia-chan!\Beloved Juvia-chan?!\Juvia-chan, I love you!\Argh, shut up!\We can't lose either, Al Al! response:	Let's go, Bis Bis!
context: Ooh, I wish I were them...\You're me, so why can't you feel what I do?\Just look at my beloved Juvia-chan!\Beloved Juvia-chan?!\Juvia-chan, I love you!\Argh, shut up!\We can't lose either, Al Al!\Let's go, Bis Bis! response:	This is our...
context: You're me, so why can't you feel what I do?\Just look at my beloved Juvia-chan!\Beloved Juvia-chan?!\Juvia-chan, I love you!\Argh, shut up!\We can't lose either, Al Al!\Let's go, Bis Bis!\This is our... response:	Yeehaw!
context: Just look at my beloved Juvia-chan!\Beloved Juvia-chan?!\Juvia-chan, I love you!\Argh, shut up!\We can't lose either, Al Al!\Let's go, Bis Bis!\This is our...\Yeehaw! response:	Nobody's stronger than us!
context: Beloved Juvia-chan?!\Juvia-chan, I love you!\Argh, shut up!\We can't lose either, Al Al!\Let's go, Bis Bis!\This is our...\Yeehaw!\Nobody's stronger than us! response:	Prepare yourselves!
context: Juvia-chan, I love you!\Argh, shut up!\We can't lose either, Al Al!\Let's go, Bis Bis!\This is our...\Yeehaw!\Nobody's stronger than us!\Prepare yourselves! response:	Make sure to show up Lucy, boys!
context: Argh, shut up!\We can't lose either, Al Al!\Let's go, Bis Bis!\This is our...\Yeehaw!\Nobody's stronger than us!\Prepare yourselves!\Make sure to show up Lucy, boys! response:	Heck yeah!
context: We can't lose either, Al Al!\Let's go, Bis Bis!\This is our...\Yeehaw!\Nobody's stronger than us!\Prepare yourselves!\Make sure to show up Lucy, boys!\Heck yeah! response:	Let me show you the strongest power in Fairy Tail!
context: Let's go, Bis Bis!\This is our...\Yeehaw!\Nobody's stronger than us!\Prepare yourselves!\Make sure to show up Lucy, boys!\Heck yeah!\Let me show you the strongest power in Fairy Tail! response:	I'm the strongest!
context: This is our...\Yeehaw!\Nobody's stronger than us!\Prepare yourselves!\Make sure to show up Lucy, boys!\Heck yeah!\Let me show you the strongest power in Fairy Tail!\I'm the strongest! response:	W-Wow...
context: Yeehaw!\Nobody's stronger than us!\Prepare yourselves!\Make sure to show up Lucy, boys!\Heck yeah!\Let me show you the strongest power in Fairy Tail!\I'm the strongest!\W-Wow... response:	He's even faster than me!
context: Nobody's stronger than us!\Prepare yourselves!\Make sure to show up Lucy, boys!\Heck yeah!\Let me show you the strongest power in Fairy Tail!\I'm the strongest!\W-Wow...\He's even faster than me! response:	Gray is drooling all over Juvia?
context: Prepare yourselves!\Make sure to show up Lucy, boys!\Heck yeah!\Let me show you the strongest power in Fairy Tail!\I'm the strongest!\W-Wow...\He's even faster than me!\Gray is drooling all over Juvia? response:	Plus, Jet and Droy are contending for the strongest?
context: Make sure to show up Lucy, boys!\Heck yeah!\Let me show you the strongest power in Fairy Tail!\I'm the strongest!\W-Wow...\He's even faster than me!\Gray is drooling all over Juvia?\Plus, Jet and Droy are contending for the strongest? response:	There's so much completely backwards!
context: Heck yeah!\Let me show you the strongest power in Fairy Tail!\I'm the strongest!\W-Wow...\He's even faster than me!\Gray is drooling all over Juvia?\Plus, Jet and Droy are contending for the strongest?\There's so much completely backwards! response:	Look, Carla. Fairy Tail came to rescue us.
context: Let me show you the strongest power in Fairy Tail!\I'm the strongest!\W-Wow...\He's even faster than me!\Gray is drooling all over Juvia?\Plus, Jet and Droy are contending for the strongest?\There's so much completely backwards!\Look, Carla. Fairy Tail came to rescue us. response:	Our feelings are making this world change.
context: I'm the strongest!\W-Wow...\He's even faster than me!\Gray is drooling all over Juvia?\Plus, Jet and Droy are contending for the strongest?\There's so much completely backwards!\Look, Carla. Fairy Tail came to rescue us.\Our feelings are making this world change. response:	Natsu, hang in there!
context: W-Wow...\He's even faster than me!\Gray is drooling all over Juvia?\Plus, Jet and Droy are contending for the strongest?\There's so much completely backwards!\Look, Carla. Fairy Tail came to rescue us.\Our feelings are making this world change.\Natsu, hang in there! response:	Thank you, Lisanna-chan!
context: He's even faster than me!\Gray is drooling all over Juvia?\Plus, Jet and Droy are contending for the strongest?\There's so much completely backwards!\Look, Carla. Fairy Tail came to rescue us.\Our feelings are making this world change.\Natsu, hang in there!\Thank you, Lisanna-chan! response:	We're Shadow Gear, the strongest of them all!
context: Gray is drooling all over Juvia?\Plus, Jet and Droy are contending for the strongest?\There's so much completely backwards!\Look, Carla. Fairy Tail came to rescue us.\Our feelings are making this world change.\Natsu, hang in there!\Thank you, Lisanna-chan!\We're Shadow Gear, the strongest of them all! response:	Al Al!
context: Plus, Jet and Droy are contending for the strongest?\There's so much completely backwards!\Look, Carla. Fairy Tail came to rescue us.\Our feelings are making this world change.\Natsu, hang in there!\Thank you, Lisanna-chan!\We're Shadow Gear, the strongest of them all!\Al Al! response:	Let's go, Bis Bis!
context: There's so much completely backwards!\Look, Carla. Fairy Tail came to rescue us.\Our feelings are making this world change.\Natsu, hang in there!\Thank you, Lisanna-chan!\We're Shadow Gear, the strongest of them all!\Al Al!\Let's go, Bis Bis! response:	No matter where you go, our guild's making trouble...
context: Look, Carla. Fairy Tail came to rescue us.\Our feelings are making this world change.\Natsu, hang in there!\Thank you, Lisanna-chan!\We're Shadow Gear, the strongest of them all!\Al Al!\Let's go, Bis Bis!\No matter where you go, our guild's making trouble... response:	Scarlet!
context: Our feelings are making this world change.\Natsu, hang in there!\Thank you, Lisanna-chan!\We're Shadow Gear, the strongest of them all!\Al Al!\Let's go, Bis Bis!\No matter where you go, our guild's making trouble...\Scarlet! response:	Knightwalker!
context: Natsu, hang in there!\Thank you, Lisanna-chan!\We're Shadow Gear, the strongest of them all!\Al Al!\Let's go, Bis Bis!\No matter where you go, our guild's making trouble...\Scarlet!\Knightwalker! response:	Still even, after all this.
context: Thank you, Lisanna-chan!\We're Shadow Gear, the strongest of them all!\Al Al!\Let's go, Bis Bis!\No matter where you go, our guild's making trouble...\Scarlet!\Knightwalker!\Still even, after all this. response:	Even? I don't think so.
context: We're Shadow Gear, the strongest of them all!\Al Al!\Let's go, Bis Bis!\No matter where you go, our guild's making trouble...\Scarlet!\Knightwalker!\Still even, after all this.\Even? I don't think so. response:	You still haven't experienced the ultimate form of the Ten Commandments!
context: Al Al!\Let's go, Bis Bis!\No matter where you go, our guild's making trouble...\Scarlet!\Knightwalker!\Still even, after all this.\Even? I don't think so.\You still haven't experienced the ultimate form of the Ten Commandments! response:	Holy Lance, Ravelt!
context: Let's go, Bis Bis!\No matter where you go, our guild's making trouble...\Scarlet!\Knightwalker!\Still even, after all this.\Even? I don't think so.\You still haven't experienced the ultimate form of the Ten Commandments!\Holy Lance, Ravelt! response:	A holy lance forged by the greatest blacksmith in Edolas.
context: No matter where you go, our guild's making trouble...\Scarlet!\Knightwalker!\Still even, after all this.\Even? I don't think so.\You still haven't experienced the ultimate form of the Ten Commandments!\Holy Lance, Ravelt!\A holy lance forged by the greatest blacksmith in Edolas. response:	Its attack brings ultimate destruction that resounds out into the land.
context: Scarlet!\Knightwalker!\Still even, after all this.\Even? I don't think so.\You still haven't experienced the ultimate form of the Ten Commandments!\Holy Lance, Ravelt!\A holy lance forged by the greatest blacksmith in Edolas.\Its attack brings ultimate destruction that resounds out into the land. response:	Armadura Faerie!
context: Knightwalker!\Still even, after all this.\Even? I don't think so.\You still haven't experienced the ultimate form of the Ten Commandments!\Holy Lance, Ravelt!\A holy lance forged by the greatest blacksmith in Edolas.\Its attack brings ultimate destruction that resounds out into the land.\Armadura Faerie! response:	Fairy Armor!
context: Still even, after all this.\Even? I don't think so.\You still haven't experienced the ultimate form of the Ten Commandments!\Holy Lance, Ravelt!\A holy lance forged by the greatest blacksmith in Edolas.\Its attack brings ultimate destruction that resounds out into the land.\Armadura Faerie!\Fairy Armor! response:	I need hardly explain why it bears the name of our guild.
context: Even? I don't think so.\You still haven't experienced the ultimate form of the Ten Commandments!\Holy Lance, Ravelt!\A holy lance forged by the greatest blacksmith in Edolas.\Its attack brings ultimate destruction that resounds out into the land.\Armadura Faerie!\Fairy Armor!\I need hardly explain why it bears the name of our guild. response:	So you're saying that's your strongest magic, then?
context: You still haven't experienced the ultimate form of the Ten Commandments!\Holy Lance, Ravelt!\A holy lance forged by the greatest blacksmith in Edolas.\Its attack brings ultimate destruction that resounds out into the land.\Armadura Faerie!\Fairy Armor!\I need hardly explain why it bears the name of our guild.\So you're saying that's your strongest magic, then? response:	Fascinating... Have at me!
context: Holy Lance, Ravelt!\A holy lance forged by the greatest blacksmith in Edolas.\Its attack brings ultimate destruction that resounds out into the land.\Armadura Faerie!\Fairy Armor!\I need hardly explain why it bears the name of our guild.\So you're saying that's your strongest magic, then?\Fascinating... Have at me! response:	M-My Ravelt...
context: A holy lance forged by the greatest blacksmith in Edolas.\Its attack brings ultimate destruction that resounds out into the land.\Armadura Faerie!\Fairy Armor!\I need hardly explain why it bears the name of our guild.\So you're saying that's your strongest magic, then?\Fascinating... Have at me!\M-My Ravelt... response:	M-My armor...
context: Its attack brings ultimate destruction that resounds out into the land.\Armadura Faerie!\Fairy Armor!\I need hardly explain why it bears the name of our guild.\So you're saying that's your strongest magic, then?\Fascinating... Have at me!\M-My Ravelt...\M-My armor... response:	With that attack, the floating island can no longer stay afloat.
context: Armadura Faerie!\Fairy Armor!\I need hardly explain why it bears the name of our guild.\So you're saying that's your strongest magic, then?\Fascinating... Have at me!\M-My Ravelt...\M-My armor...\With that attack, the floating island can no longer stay afloat. response:	Neither of us has any magic power left.
context: Fairy Armor!\I need hardly explain why it bears the name of our guild.\So you're saying that's your strongest magic, then?\Fascinating... Have at me!\M-My Ravelt...\M-My armor...\With that attack, the floating island can no longer stay afloat.\Neither of us has any magic power left. response:	And yet I will strike you down!
context: I need hardly explain why it bears the name of our guild.\So you're saying that's your strongest magic, then?\Fascinating... Have at me!\M-My Ravelt...\M-My armor...\With that attack, the floating island can no longer stay afloat.\Neither of us has any magic power left.\And yet I will strike you down! response:	Why, you...
context: So you're saying that's your strongest magic, then?\Fascinating... Have at me!\M-My Ravelt...\M-My armor...\With that attack, the floating island can no longer stay afloat.\Neither of us has any magic power left.\And yet I will strike you down!\Why, you... response:	No matter how many times you stand, you will never be able to defeat me!
context: Fascinating... Have at me!\M-My Ravelt...\M-My armor...\With that attack, the floating island can no longer stay afloat.\Neither of us has any magic power left.\And yet I will strike you down!\Why, you...\No matter how many times you stand, you will never be able to defeat me! response:	Those with magic power will rule the world!
context: M-My Ravelt...\M-My armor...\With that attack, the floating island can no longer stay afloat.\Neither of us has any magic power left.\And yet I will strike you down!\Why, you...\No matter how many times you stand, you will never be able to defeat me!\Those with magic power will rule the world! response:	That's something this world requires!
context: M-My armor...\With that attack, the floating island can no longer stay afloat.\Neither of us has any magic power left.\And yet I will strike you down!\Why, you...\No matter how many times you stand, you will never be able to defeat me!\Those with magic power will rule the world!\That's something this world requires! response:	Stop twistin' logic to justify your actions!
context: With that attack, the floating island can no longer stay afloat.\Neither of us has any magic power left.\And yet I will strike you down!\Why, you...\No matter how many times you stand, you will never be able to defeat me!\Those with magic power will rule the world!\That's something this world requires!\Stop twistin' logic to justify your actions! response:	You dolt!
context: Neither of us has any magic power left.\And yet I will strike you down!\Why, you...\No matter how many times you stand, you will never be able to defeat me!\Those with magic power will rule the world!\That's something this world requires!\Stop twistin' logic to justify your actions!\You dolt! response:	I don't know whether it requires it or not, but I do know I'm gonna bust that thing up!
context: And yet I will strike you down!\Why, you...\No matter how many times you stand, you will never be able to defeat me!\Those with magic power will rule the world!\That's something this world requires!\Stop twistin' logic to justify your actions!\You dolt!\I don't know whether it requires it or not, but I do know I'm gonna bust that thing up! response:	Roar of the Sky Dragon!
context: Why, you...\No matter how many times you stand, you will never be able to defeat me!\Those with magic power will rule the world!\That's something this world requires!\Stop twistin' logic to justify your actions!\You dolt!\I don't know whether it requires it or not, but I do know I'm gonna bust that thing up!\Roar of the Sky Dragon! response:	Would you please refrain from wasting all the magic power?
context: No matter how many times you stand, you will never be able to defeat me!\Those with magic power will rule the world!\That's something this world requires!\Stop twistin' logic to justify your actions!\You dolt!\I don't know whether it requires it or not, but I do know I'm gonna bust that thing up!\Roar of the Sky Dragon!\Would you please refrain from wasting all the magic power? response:	Because all your magic power is mine!
context: Those with magic power will rule the world!\That's something this world requires!\Stop twistin' logic to justify your actions!\You dolt!\I don't know whether it requires it or not, but I do know I'm gonna bust that thing up!\Roar of the Sky Dragon!\Would you please refrain from wasting all the magic power?\Because all your magic power is mine! response:	Don't even joke about that! My magic power is my own!
context: That's something this world requires!\Stop twistin' logic to justify your actions!\You dolt!\I don't know whether it requires it or not, but I do know I'm gonna bust that thing up!\Roar of the Sky Dragon!\Would you please refrain from wasting all the magic power?\Because all your magic power is mine!\Don't even joke about that! My magic power is my own! response:	It ain't no one else's but mine...
context: Stop twistin' logic to justify your actions!\You dolt!\I don't know whether it requires it or not, but I do know I'm gonna bust that thing up!\Roar of the Sky Dragon!\Would you please refrain from wasting all the magic power?\Because all your magic power is mine!\Don't even joke about that! My magic power is my own!\It ain't no one else's but mine... response:	Pillar of the Iron Dragon!
context: You dolt!\I don't know whether it requires it or not, but I do know I'm gonna bust that thing up!\Roar of the Sky Dragon!\Would you please refrain from wasting all the magic power?\Because all your magic power is mine!\Don't even joke about that! My magic power is my own!\It ain't no one else's but mine...\Pillar of the Iron Dragon! response:	Your magic power, your very lives... They're all mine for the taking!
context: I don't know whether it requires it or not, but I do know I'm gonna bust that thing up!\Roar of the Sky Dragon!\Would you please refrain from wasting all the magic power?\Because all your magic power is mine!\Don't even joke about that! My magic power is my own!\It ain't no one else's but mine...\Pillar of the Iron Dragon!\Your magic power, your very lives... They're all mine for the taking! response:	Like hell they are!
context: Roar of the Sky Dragon!\Would you please refrain from wasting all the magic power?\Because all your magic power is mine!\Don't even joke about that! My magic power is my own!\It ain't no one else's but mine...\Pillar of the Iron Dragon!\Your magic power, your very lives... They're all mine for the taking!\Like hell they are! response:	Juvia-chan, so cool!
context: Would you please refrain from wasting all the magic power?\Because all your magic power is mine!\Don't even joke about that! My magic power is my own!\It ain't no one else's but mine...\Pillar of the Iron Dragon!\Your magic power, your very lives... They're all mine for the taking!\Like hell they are!\Juvia-chan, so cool! response:	Get off me! Try taking a page out of that other Gray's book and strip down!
context: Because all your magic power is mine!\Don't even joke about that! My magic power is my own!\It ain't no one else's but mine...\Pillar of the Iron Dragon!\Your magic power, your very lives... They're all mine for the taking!\Like hell they are!\Juvia-chan, so cool!\Get off me! Try taking a page out of that other Gray's book and strip down! response:	You bastards! Don't you realize what you're doing is wrong?
context: Don't even joke about that! My magic power is my own!\It ain't no one else's but mine...\Pillar of the Iron Dragon!\Your magic power, your very lives... They're all mine for the taking!\Like hell they are!\Juvia-chan, so cool!\Get off me! Try taking a page out of that other Gray's book and strip down!\You bastards! Don't you realize what you're doing is wrong? response:	W-Well...
context: It ain't no one else's but mine...\Pillar of the Iron Dragon!\Your magic power, your very lives... They're all mine for the taking!\Like hell they are!\Juvia-chan, so cool!\Get off me! Try taking a page out of that other Gray's book and strip down!\You bastards! Don't you realize what you're doing is wrong?\W-Well... response:	They should realize. There should be some people against what the Kingdom is doing here.
context: Pillar of the Iron Dragon!\Your magic power, your very lives... They're all mine for the taking!\Like hell they are!\Juvia-chan, so cool!\Get off me! Try taking a page out of that other Gray's book and strip down!\You bastards! Don't you realize what you're doing is wrong?\W-Well...\They should realize. There should be some people against what the Kingdom is doing here. response:	If they disobey, they'll be killed, so they have no choice but to fight!
context: Your magic power, your very lives... They're all mine for the taking!\Like hell they are!\Juvia-chan, so cool!\Get off me! Try taking a page out of that other Gray's book and strip down!\You bastards! Don't you realize what you're doing is wrong?\W-Well...\They should realize. There should be some people against what the Kingdom is doing here.\If they disobey, they'll be killed, so they have no choice but to fight! response:	War is just so tragic.
