context: M-Mankanshoku! response:	Hey! How come the slacker's wearing a Goku Uniform?!
context: This ship is the homeland of her soul!\She said no such thing!\The Ryuko in my mind said it!\Mako! Mako!\Even now, she's asking me to come into the light!\You're pretty messed up in many ways...\Spare me your opinions!\Don't overdo it, Mankanshoku! response:	I'll give you an A for effort, Slacker.
context: She said no such thing!\The Ryuko in my mind said it!\Mako! Mako!\Even now, she's asking me to come into the light!\You're pretty messed up in many ways...\Spare me your opinions!\Don't overdo it, Mankanshoku!\I'll give you an A for effort, Slacker. response:	But from here on out, it's our job.
context: The Ryuko in my mind said it!\Mako! Mako!\Even now, she's asking me to come into the light!\You're pretty messed up in many ways...\Spare me your opinions!\Don't overdo it, Mankanshoku!\I'll give you an A for effort, Slacker.\But from here on out, it's our job. response:	So, shall we unveil Iori's final Goku Uniforms?
context: Mako! Mako!\Even now, she's asking me to come into the light!\You're pretty messed up in many ways...\Spare me your opinions!\Don't overdo it, Mankanshoku!\I'll give you an A for effort, Slacker.\But from here on out, it's our job.\So, shall we unveil Iori's final Goku Uniforms? response:	Three-Star Goku Uniforms, ultimate configuration!
context: Even now, she's asking me to come into the light!\You're pretty messed up in many ways...\Spare me your opinions!\Don't overdo it, Mankanshoku!\I'll give you an A for effort, Slacker.\But from here on out, it's our job.\So, shall we unveil Iori's final Goku Uniforms?\Three-Star Goku Uniforms, ultimate configuration! response:	Blade Regalia: Secret Unsealed!
context: You're pretty messed up in many ways...\Spare me your opinions!\Don't overdo it, Mankanshoku!\I'll give you an A for effort, Slacker.\But from here on out, it's our job.\So, shall we unveil Iori's final Goku Uniforms?\Three-Star Goku Uniforms, ultimate configuration!\Blade Regalia: Secret Unsealed! response:	BLADE REGALIA SECRET UNSEALED
context: Spare me your opinions!\Don't overdo it, Mankanshoku!\I'll give you an A for effort, Slacker.\But from here on out, it's our job.\So, shall we unveil Iori's final Goku Uniforms?\Three-Star Goku Uniforms, ultimate configuration!\Blade Regalia: Secret Unsealed!\BLADE REGALIA SECRET UNSEALED response:	Symphony Regalia: Finale!
context: Don't overdo it, Mankanshoku!\I'll give you an A for effort, Slacker.\But from here on out, it's our job.\So, shall we unveil Iori's final Goku Uniforms?\Three-Star Goku Uniforms, ultimate configuration!\Blade Regalia: Secret Unsealed!\BLADE REGALIA SECRET UNSEALED\Symphony Regalia: Finale! response:	SYMPHONY REGALIA FINALE
context: I'll give you an A for effort, Slacker.\But from here on out, it's our job.\So, shall we unveil Iori's final Goku Uniforms?\Three-Star Goku Uniforms, ultimate configuration!\Blade Regalia: Secret Unsealed!\BLADE REGALIA SECRET UNSEALED\Symphony Regalia: Finale!\SYMPHONY REGALIA FINALE response:	Probe Regalia: Truth Unveiled.
context: But from here on out, it's our job.\So, shall we unveil Iori's final Goku Uniforms?\Three-Star Goku Uniforms, ultimate configuration!\Blade Regalia: Secret Unsealed!\BLADE REGALIA SECRET UNSEALED\Symphony Regalia: Finale!\SYMPHONY REGALIA FINALE\Probe Regalia: Truth Unveiled. response:	PROBE REGALIA TRUTH UNVEILED
context: So, shall we unveil Iori's final Goku Uniforms?\Three-Star Goku Uniforms, ultimate configuration!\Blade Regalia: Secret Unsealed!\BLADE REGALIA SECRET UNSEALED\Symphony Regalia: Finale!\SYMPHONY REGALIA FINALE\Probe Regalia: Truth Unveiled.\PROBE REGALIA TRUTH UNVEILED response:	Shackle Regalia: Persona Unleashed!
context: Three-Star Goku Uniforms, ultimate configuration!\Blade Regalia: Secret Unsealed!\BLADE REGALIA SECRET UNSEALED\Symphony Regalia: Finale!\SYMPHONY REGALIA FINALE\Probe Regalia: Truth Unveiled.\PROBE REGALIA TRUTH UNVEILED\Shackle Regalia: Persona Unleashed! response:	SHACKLE REGALIA PERSONA UNLEASHED
context: Blade Regalia: Secret Unsealed!\BLADE REGALIA SECRET UNSEALED\Symphony Regalia: Finale!\SYMPHONY REGALIA FINALE\Probe Regalia: Truth Unveiled.\PROBE REGALIA TRUTH UNVEILED\Shackle Regalia: Persona Unleashed!\SHACKLE REGALIA PERSONA UNLEASHED response:	Honnouji Academy Elite Four Ultimate Battle Regalia!
context: BLADE REGALIA SECRET UNSEALED\Symphony Regalia: Finale!\SYMPHONY REGALIA FINALE\Probe Regalia: Truth Unveiled.\PROBE REGALIA TRUTH UNVEILED\Shackle Regalia: Persona Unleashed!\SHACKLE REGALIA PERSONA UNLEASHED\Honnouji Academy Elite Four Ultimate Battle Regalia! response:	HONNOUJI ACADEMY ELITE FOUR ULTIMATE BATTLE REGALIA
context: Symphony Regalia: Finale!\SYMPHONY REGALIA FINALE\Probe Regalia: Truth Unveiled.\PROBE REGALIA TRUTH UNVEILED\Shackle Regalia: Persona Unleashed!\SHACKLE REGALIA PERSONA UNLEASHED\Honnouji Academy Elite Four Ultimate Battle Regalia!\HONNOUJI ACADEMY ELITE FOUR ULTIMATE BATTLE REGALIA response:	- Snake! - Dog!
context: SYMPHONY REGALIA FINALE\Probe Regalia: Truth Unveiled.\PROBE REGALIA TRUTH UNVEILED\Shackle Regalia: Persona Unleashed!\SHACKLE REGALIA PERSONA UNLEASHED\Honnouji Academy Elite Four Ultimate Battle Regalia!\HONNOUJI ACADEMY ELITE FOUR ULTIMATE BATTLE REGALIA\- Snake! - Dog! response:	- Monkey! - Toad!
context: Probe Regalia: Truth Unveiled.\PROBE REGALIA TRUTH UNVEILED\Shackle Regalia: Persona Unleashed!\SHACKLE REGALIA PERSONA UNLEASHED\Honnouji Academy Elite Four Ultimate Battle Regalia!\HONNOUJI ACADEMY ELITE FOUR ULTIMATE BATTLE REGALIA\- Snake! - Dog!\- Monkey! - Toad! response:	Utter Victory, Single Blow!
context: PROBE REGALIA TRUTH UNVEILED\Shackle Regalia: Persona Unleashed!\SHACKLE REGALIA PERSONA UNLEASHED\Honnouji Academy Elite Four Ultimate Battle Regalia!\HONNOUJI ACADEMY ELITE FOUR ULTIMATE BATTLE REGALIA\- Snake! - Dog!\- Monkey! - Toad!\Utter Victory, Single Blow! response:	UTTER VICTORY SINGLE BLOW
context: Shackle Regalia: Persona Unleashed!\SHACKLE REGALIA PERSONA UNLEASHED\Honnouji Academy Elite Four Ultimate Battle Regalia!\HONNOUJI ACADEMY ELITE FOUR ULTIMATE BATTLE REGALIA\- Snake! - Dog!\- Monkey! - Toad!\Utter Victory, Single Blow!\UTTER VICTORY SINGLE BLOW response:	Wow, that was the amazing! That's the Elite Four for you!
context: SHACKLE REGALIA PERSONA UNLEASHED\Honnouji Academy Elite Four Ultimate Battle Regalia!\HONNOUJI ACADEMY ELITE FOUR ULTIMATE BATTLE REGALIA\- Snake! - Dog!\- Monkey! - Toad!\Utter Victory, Single Blow!\UTTER VICTORY SINGLE BLOW\Wow, that was the amazing! That's the Elite Four for you! response:	No need for such a flashy entrance!
context: Honnouji Academy Elite Four Ultimate Battle Regalia!\HONNOUJI ACADEMY ELITE FOUR ULTIMATE BATTLE REGALIA\- Snake! - Dog!\- Monkey! - Toad!\Utter Victory, Single Blow!\UTTER VICTORY SINGLE BLOW\Wow, that was the amazing! That's the Elite Four for you!\No need for such a flashy entrance! response:	Honestly, you girls are so thick-skulled.
context: HONNOUJI ACADEMY ELITE FOUR ULTIMATE BATTLE REGALIA\- Snake! - Dog!\- Monkey! - Toad!\Utter Victory, Single Blow!\UTTER VICTORY SINGLE BLOW\Wow, that was the amazing! That's the Elite Four for you!\No need for such a flashy entrance!\Honestly, you girls are so thick-skulled. response:	No matter how much they struggle, humanity is
context: - Snake! - Dog!\- Monkey! - Toad!\Utter Victory, Single Blow!\UTTER VICTORY SINGLE BLOW\Wow, that was the amazing! That's the Elite Four for you!\No need for such a flashy entrance!\Honestly, you girls are so thick-skulled.\No matter how much they struggle, humanity is response:	merely a creature meant to submit to Life fibers.
context: - Monkey! - Toad!\Utter Victory, Single Blow!\UTTER VICTORY SINGLE BLOW\Wow, that was the amazing! That's the Elite Four for you!\No need for such a flashy entrance!\Honestly, you girls are so thick-skulled.\No matter how much they struggle, humanity is\merely a creature meant to submit to Life fibers. response:	The hell they are!
context: Utter Victory, Single Blow!\UTTER VICTORY SINGLE BLOW\Wow, that was the amazing! That's the Elite Four for you!\No need for such a flashy entrance!\Honestly, you girls are so thick-skulled.\No matter how much they struggle, humanity is\merely a creature meant to submit to Life fibers.\The hell they are! response:	Life Fibers spurred on the evolution of this world's sentient life.
context: UTTER VICTORY SINGLE BLOW\Wow, that was the amazing! That's the Elite Four for you!\No need for such a flashy entrance!\Honestly, you girls are so thick-skulled.\No matter how much they struggle, humanity is\merely a creature meant to submit to Life fibers.\The hell they are!\Life Fibers spurred on the evolution of this world's sentient life. response:	Clothing transformed beasts into humans.
context: Wow, that was the amazing! That's the Elite Four for you!\No need for such a flashy entrance!\Honestly, you girls are so thick-skulled.\No matter how much they struggle, humanity is\merely a creature meant to submit to Life fibers.\The hell they are!\Life Fibers spurred on the evolution of this world's sentient life.\Clothing transformed beasts into humans. response:	Just as humans raise livestock, you see.
context: No need for such a flashy entrance!\Honestly, you girls are so thick-skulled.\No matter how much they struggle, humanity is\merely a creature meant to submit to Life fibers.\The hell they are!\Life Fibers spurred on the evolution of this world's sentient life.\Clothing transformed beasts into humans.\Just as humans raise livestock, you see. response:	Livestock?
context: Honestly, you girls are so thick-skulled.\No matter how much they struggle, humanity is\merely a creature meant to submit to Life fibers.\The hell they are!\Life Fibers spurred on the evolution of this world's sentient life.\Clothing transformed beasts into humans.\Just as humans raise livestock, you see.\Livestock? response:	Just as humans eat their livestock, so will Life Fibers feed on humanity.
context: No matter how much they struggle, humanity is\merely a creature meant to submit to Life fibers.\The hell they are!\Life Fibers spurred on the evolution of this world's sentient life.\Clothing transformed beasts into humans.\Just as humans raise livestock, you see.\Livestock?\Just as humans eat their livestock, so will Life Fibers feed on humanity. response:	Is that not appropriate for the beings who occupy the
context: merely a creature meant to submit to Life fibers.\The hell they are!\Life Fibers spurred on the evolution of this world's sentient life.\Clothing transformed beasts into humans.\Just as humans raise livestock, you see.\Livestock?\Just as humans eat their livestock, so will Life Fibers feed on humanity.\Is that not appropriate for the beings who occupy the response:	top of this world's food chain?
context: The hell they are!\Life Fibers spurred on the evolution of this world's sentient life.\Clothing transformed beasts into humans.\Just as humans raise livestock, you see.\Livestock?\Just as humans eat their livestock, so will Life Fibers feed on humanity.\Is that not appropriate for the beings who occupy the\top of this world's food chain? response:	But that does not mean we must meekly obey!
context: Life Fibers spurred on the evolution of this world's sentient life.\Clothing transformed beasts into humans.\Just as humans raise livestock, you see.\Livestock?\Just as humans eat their livestock, so will Life Fibers feed on humanity.\Is that not appropriate for the beings who occupy the\top of this world's food chain?\But that does not mean we must meekly obey! response:	Humans have a will to live!
context: Clothing transformed beasts into humans.\Just as humans raise livestock, you see.\Livestock?\Just as humans eat their livestock, so will Life Fibers feed on humanity.\Is that not appropriate for the beings who occupy the\top of this world's food chain?\But that does not mean we must meekly obey!\Humans have a will to live! response:	You impudent pigs in clothing...
context: Just as humans raise livestock, you see.\Livestock?\Just as humans eat their livestock, so will Life Fibers feed on humanity.\Is that not appropriate for the beings who occupy the\top of this world's food chain?\But that does not mean we must meekly obey!\Humans have a will to live!\You impudent pigs in clothing... response:	That will to survive will disappear soon enough.
context: Livestock?\Just as humans eat their livestock, so will Life Fibers feed on humanity.\Is that not appropriate for the beings who occupy the\top of this world's food chain?\But that does not mean we must meekly obey!\Humans have a will to live!\You impudent pigs in clothing...\That will to survive will disappear soon enough. response:	Your last bastion is almost within reach.
context: Just as humans eat their livestock, so will Life Fibers feed on humanity.\Is that not appropriate for the beings who occupy the\top of this world's food chain?\But that does not mean we must meekly obey!\Humans have a will to live!\You impudent pigs in clothing...\That will to survive will disappear soon enough.\Your last bastion is almost within reach. response:	This is bad, Ryuko! The ship, it's
context: Is that not appropriate for the beings who occupy the\top of this world's food chain?\But that does not mean we must meekly obey!\Humans have a will to live!\You impudent pigs in clothing...\That will to survive will disappear soon enough.\Your last bastion is almost within reach.\This is bad, Ryuko! The ship, it's response:	I know.
context: top of this world's food chain?\But that does not mean we must meekly obey!\Humans have a will to live!\You impudent pigs in clothing...\That will to survive will disappear soon enough.\Your last bastion is almost within reach.\This is bad, Ryuko! The ship, it's\I know. response:	Satsuki!
context: But that does not mean we must meekly obey!\Humans have a will to live!\You impudent pigs in clothing...\That will to survive will disappear soon enough.\Your last bastion is almost within reach.\This is bad, Ryuko! The ship, it's\I know.\Satsuki! response:	I'm gonna show you if we can
context: Humans have a will to live!\You impudent pigs in clothing...\That will to survive will disappear soon enough.\Your last bastion is almost within reach.\This is bad, Ryuko! The ship, it's\I know.\Satsuki!\I'm gonna show you if we can response:	do anything about it!
context: You impudent pigs in clothing...\That will to survive will disappear soon enough.\Your last bastion is almost within reach.\This is bad, Ryuko! The ship, it's\I know.\Satsuki!\I'm gonna show you if we can\do anything about it! response:	Finishing move!
context: That will to survive will disappear soon enough.\Your last bastion is almost within reach.\This is bad, Ryuko! The ship, it's\I know.\Satsuki!\I'm gonna show you if we can\do anything about it!\Finishing move! response:	SEN-I-SOSHITSU!
context: Your last bastion is almost within reach.\This is bad, Ryuko! The ship, it's\I know.\Satsuki!\I'm gonna show you if we can\do anything about it!\Finishing move!\SEN-I-SOSHITSU! response:	Die.
context: This is bad, Ryuko! The ship, it's\I know.\Satsuki!\I'm gonna show you if we can\do anything about it!\Finishing move!\SEN-I-SOSHITSU!\Die. response:	Ryuko!
context: I know.\Satsuki!\I'm gonna show you if we can\do anything about it!\Finishing move!\SEN-I-SOSHITSU!\Die.\Ryuko! response:	Ryuko!
context: Satsuki!\I'm gonna show you if we can\do anything about it!\Finishing move!\SEN-I-SOSHITSU!\Die.\Ryuko!\Ryuko! response:	Ryuko!
context: I'm gonna show you if we can\do anything about it!\Finishing move!\SEN-I-SOSHITSU!\Die.\Ryuko!\Ryuko!\Ryuko! response:	RYUKO!
context: do anything about it!\Finishing move!\SEN-I-SOSHITSU!\Die.\Ryuko!\Ryuko!\Ryuko!\RYUKO! response:	Damn you!
context: Finishing move!\SEN-I-SOSHITSU!\Die.\Ryuko!\Ryuko!\Ryuko!\RYUKO!\Damn you! response:	Ragyo!
context: SEN-I-SOSHITSU!\Die.\Ryuko!\Ryuko!\Ryuko!\RYUKO!\Damn you!\Ragyo! response:	You waste your time.
context: Die.\Ryuko!\Ryuko!\Ryuko!\RYUKO!\Damn you!\Ragyo!\You waste your time. response:	It was only because Ryuko was fused with Life Fibers
context: Ryuko!\Ryuko!\Ryuko!\RYUKO!\Damn you!\Ragyo!\You waste your time.\It was only because Ryuko was fused with Life Fibers response:	that you could stand against me, however slightly.
context: Ryuko!\Ryuko!\RYUKO!\Damn you!\Ragyo!\You waste your time.\It was only because Ryuko was fused with Life Fibers\that you could stand against me, however slightly. response:	You, in that makeshift Kamui, cannot so much as slow me down.
context: Ryuko!\RYUKO!\Damn you!\Ragyo!\You waste your time.\It was only because Ryuko was fused with Life Fibers\that you could stand against me, however slightly.\You, in that makeshift Kamui, cannot so much as slow me down. response:	Poor girl, who doesn't even know her own limitations...
context: RYUKO!\Damn you!\Ragyo!\You waste your time.\It was only because Ryuko was fused with Life Fibers\that you could stand against me, however slightly.\You, in that makeshift Kamui, cannot so much as slow me down.\Poor girl, who doesn't even know her own limitations... response:	All you can do is go keep your little sister from being lonely.
context: Damn you!\Ragyo!\You waste your time.\It was only because Ryuko was fused with Life Fibers\that you could stand against me, however slightly.\You, in that makeshift Kamui, cannot so much as slow me down.\Poor girl, who doesn't even know her own limitations...\All you can do is go keep your little sister from being lonely. response:	The one who is on her way to Hell.
context: Ragyo!\You waste your time.\It was only because Ryuko was fused with Life Fibers\that you could stand against me, however slightly.\You, in that makeshift Kamui, cannot so much as slow me down.\Poor girl, who doesn't even know her own limitations...\All you can do is go keep your little sister from being lonely.\The one who is on her way to Hell. response:	I admit it, perhaps I am a sham...
context: You waste your time.\It was only because Ryuko was fused with Life Fibers\that you could stand against me, however slightly.\You, in that makeshift Kamui, cannot so much as slow me down.\Poor girl, who doesn't even know her own limitations...\All you can do is go keep your little sister from being lonely.\The one who is on her way to Hell.\I admit it, perhaps I am a sham... response:	But it is you who will suffer for underestimating this sham!
context: It was only because Ryuko was fused with Life Fibers\that you could stand against me, however slightly.\You, in that makeshift Kamui, cannot so much as slow me down.\Poor girl, who doesn't even know her own limitations...\All you can do is go keep your little sister from being lonely.\The one who is on her way to Hell.\I admit it, perhaps I am a sham...\But it is you who will suffer for underestimating this sham! response:	How pathetic. What could you possibly do now?
context: that you could stand against me, however slightly.\You, in that makeshift Kamui, cannot so much as slow me down.\Poor girl, who doesn't even know her own limitations...\All you can do is go keep your little sister from being lonely.\The one who is on her way to Hell.\I admit it, perhaps I am a sham...\But it is you who will suffer for underestimating this sham!\How pathetic. What could you possibly do now? response:	I can buy time.
context: You, in that makeshift Kamui, cannot so much as slow me down.\Poor girl, who doesn't even know her own limitations...\All you can do is go keep your little sister from being lonely.\The one who is on her way to Hell.\I admit it, perhaps I am a sham...\But it is you who will suffer for underestimating this sham!\How pathetic. What could you possibly do now?\I can buy time. response:	I'm a decoy!
context: Poor girl, who doesn't even know her own limitations...\All you can do is go keep your little sister from being lonely.\The one who is on her way to Hell.\I admit it, perhaps I am a sham...\But it is you who will suffer for underestimating this sham!\How pathetic. What could you possibly do now?\I can buy time.\I'm a decoy! response:	Shippu Senjin!
context: All you can do is go keep your little sister from being lonely.\The one who is on her way to Hell.\I admit it, perhaps I am a sham...\But it is you who will suffer for underestimating this sham!\How pathetic. What could you possibly do now?\I can buy time.\I'm a decoy!\Shippu Senjin! response:	Ryuko?!
context: The one who is on her way to Hell.\I admit it, perhaps I am a sham...\But it is you who will suffer for underestimating this sham!\How pathetic. What could you possibly do now?\I can buy time.\I'm a decoy!\Shippu Senjin!\Ryuko?! response:	When I bisected her, she deflected my blade
context: I admit it, perhaps I am a sham...\But it is you who will suffer for underestimating this sham!\How pathetic. What could you possibly do now?\I can buy time.\I'm a decoy!\Shippu Senjin!\Ryuko?!\When I bisected her, she deflected my blade response:	and threw herself into the sea before her fibers could be completely cut!
context: But it is you who will suffer for underestimating this sham!\How pathetic. What could you possibly do now?\I can buy time.\I'm a decoy!\Shippu Senjin!\Ryuko?!\When I bisected her, she deflected my blade\and threw herself into the sea before her fibers could be completely cut! response:	That's right!
context: How pathetic. What could you possibly do now?\I can buy time.\I'm a decoy!\Shippu Senjin!\Ryuko?!\When I bisected her, she deflected my blade\and threw herself into the sea before her fibers could be completely cut!\That's right! response:	Pretend to be killed by you, heal her wounds in the sea,
context: I can buy time.\I'm a decoy!\Shippu Senjin!\Ryuko?!\When I bisected her, she deflected my blade\and threw herself into the sea before her fibers could be completely cut!\That's right!\Pretend to be killed by you, heal her wounds in the sea, response:	and deliver the finishing blow to the Original Life Fiber.
context: I'm a decoy!\Shippu Senjin!\Ryuko?!\When I bisected her, she deflected my blade\and threw herself into the sea before her fibers could be completely cut!\That's right!\Pretend to be killed by you, heal her wounds in the sea,\and deliver the finishing blow to the Original Life Fiber. response:	That was all Ryuko's plan.
context: Shippu Senjin!\Ryuko?!\When I bisected her, she deflected my blade\and threw herself into the sea before her fibers could be completely cut!\That's right!\Pretend to be killed by you, heal her wounds in the sea,\and deliver the finishing blow to the Original Life Fiber.\That was all Ryuko's plan. response:	You have no one to blame but yourself for
context: Ryuko?!\When I bisected her, she deflected my blade\and threw herself into the sea before her fibers could be completely cut!\That's right!\Pretend to be killed by you, heal her wounds in the sea,\and deliver the finishing blow to the Original Life Fiber.\That was all Ryuko's plan.\You have no one to blame but yourself for response:	wasting precious time on monologing at me,
context: When I bisected her, she deflected my blade\and threw herself into the sea before her fibers could be completely cut!\That's right!\Pretend to be killed by you, heal her wounds in the sea,\and deliver the finishing blow to the Original Life Fiber.\That was all Ryuko's plan.\You have no one to blame but yourself for\wasting precious time on monologing at me, response:	Ragyo Kiryuin!
context: and threw herself into the sea before her fibers could be completely cut!\That's right!\Pretend to be killed by you, heal her wounds in the sea,\and deliver the finishing blow to the Original Life Fiber.\That was all Ryuko's plan.\You have no one to blame but yourself for\wasting precious time on monologing at me,\Ragyo Kiryuin! response:	I'll wipe that smug look off your face!
context: That's right!\Pretend to be killed by you, heal her wounds in the sea,\and deliver the finishing blow to the Original Life Fiber.\That was all Ryuko's plan.\You have no one to blame but yourself for\wasting precious time on monologing at me,\Ragyo Kiryuin!\I'll wipe that smug look off your face! response:	You!
context: Pretend to be killed by you, heal her wounds in the sea,\and deliver the finishing blow to the Original Life Fiber.\That was all Ryuko's plan.\You have no one to blame but yourself for\wasting precious time on monologing at me,\Ragyo Kiryuin!\I'll wipe that smug look off your face!\You! response:	My arms are equally as strong as Bakuzan.
context: and deliver the finishing blow to the Original Life Fiber.\That was all Ryuko's plan.\You have no one to blame but yourself for\wasting precious time on monologing at me,\Ragyo Kiryuin!\I'll wipe that smug look off your face!\You!\My arms are equally as strong as Bakuzan. response:	Know that I am Ira Gamagoori, Satsuki Kiryuin's living shield!
context: That was all Ryuko's plan.\You have no one to blame but yourself for\wasting precious time on monologing at me,\Ragyo Kiryuin!\I'll wipe that smug look off your face!\You!\My arms are equally as strong as Bakuzan.\Know that I am Ira Gamagoori, Satsuki Kiryuin's living shield! response:	Look at how much I've grown, Auntie Ragyo!
context: You have no one to blame but yourself for\wasting precious time on monologing at me,\Ragyo Kiryuin!\I'll wipe that smug look off your face!\You!\My arms are equally as strong as Bakuzan.\Know that I am Ira Gamagoori, Satsuki Kiryuin's living shield!\Look at how much I've grown, Auntie Ragyo! response:	No matter how much you've strengthened those Goku Uniforms,
context: wasting precious time on monologing at me,\Ragyo Kiryuin!\I'll wipe that smug look off your face!\You!\My arms are equally as strong as Bakuzan.\Know that I am Ira Gamagoori, Satsuki Kiryuin's living shield!\Look at how much I've grown, Auntie Ragyo!\No matter how much you've strengthened those Goku Uniforms, response:	do you think the blade of a blind man can strike me?
context: Ragyo Kiryuin!\I'll wipe that smug look off your face!\You!\My arms are equally as strong as Bakuzan.\Know that I am Ira Gamagoori, Satsuki Kiryuin's living shield!\Look at how much I've grown, Auntie Ragyo!\No matter how much you've strengthened those Goku Uniforms,\do you think the blade of a blind man can strike me? response:	You aren't an opponent that one
context: I'll wipe that smug look off your face!\You!\My arms are equally as strong as Bakuzan.\Know that I am Ira Gamagoori, Satsuki Kiryuin's living shield!\Look at how much I've grown, Auntie Ragyo!\No matter how much you've strengthened those Goku Uniforms,\do you think the blade of a blind man can strike me?\You aren't an opponent that one response:	can afford to hold back against, Director.
context: You!\My arms are equally as strong as Bakuzan.\Know that I am Ira Gamagoori, Satsuki Kiryuin's living shield!\Look at how much I've grown, Auntie Ragyo!\No matter how much you've strengthened those Goku Uniforms,\do you think the blade of a blind man can strike me?\You aren't an opponent that one\can afford to hold back against, Director. response:	My eyes are already open!
context: My arms are equally as strong as Bakuzan.\Know that I am Ira Gamagoori, Satsuki Kiryuin's living shield!\Look at how much I've grown, Auntie Ragyo!\No matter how much you've strengthened those Goku Uniforms,\do you think the blade of a blind man can strike me?\You aren't an opponent that one\can afford to hold back against, Director.\My eyes are already open! response:	Hence the name Secret Unsealed!
context: Know that I am Ira Gamagoori, Satsuki Kiryuin's living shield!\Look at how much I've grown, Auntie Ragyo!\No matter how much you've strengthened those Goku Uniforms,\do you think the blade of a blind man can strike me?\You aren't an opponent that one\can afford to hold back against, Director.\My eyes are already open!\Hence the name Secret Unsealed! response:	SECRET UNSEALED
context: Look at how much I've grown, Auntie Ragyo!\No matter how much you've strengthened those Goku Uniforms,\do you think the blade of a blind man can strike me?\You aren't an opponent that one\can afford to hold back against, Director.\My eyes are already open!\Hence the name Secret Unsealed!\SECRET UNSEALED response:	Lady Satsuki, take these!
context: No matter how much you've strengthened those Goku Uniforms,\do you think the blade of a blind man can strike me?\You aren't an opponent that one\can afford to hold back against, Director.\My eyes are already open!\Hence the name Secret Unsealed!\SECRET UNSEALED\Lady Satsuki, take these! response:	BAKUZAN-GAKO
context: do you think the blade of a blind man can strike me?\You aren't an opponent that one\can afford to hold back against, Director.\My eyes are already open!\Hence the name Secret Unsealed!\SECRET UNSEALED\Lady Satsuki, take these!\BAKUZAN-GAKO response:	BAKUZAN-KORYU
context: You aren't an opponent that one\can afford to hold back against, Director.\My eyes are already open!\Hence the name Secret Unsealed!\SECRET UNSEALED\Lady Satsuki, take these!\BAKUZAN-GAKO\BAKUZAN-KORYU response:	Well done, Inumuta!
context: can afford to hold back against, Director.\My eyes are already open!\Hence the name Secret Unsealed!\SECRET UNSEALED\Lady Satsuki, take these!\BAKUZAN-GAKO\BAKUZAN-KORYU\Well done, Inumuta! response:	We can't shake off another!
context: My eyes are already open!\Hence the name Secret Unsealed!\SECRET UNSEALED\Lady Satsuki, take these!\BAKUZAN-GAKO\BAKUZAN-KORYU\Well done, Inumuta!\We can't shake off another! response:	Is that so?
context: Hence the name Secret Unsealed!\SECRET UNSEALED\Lady Satsuki, take these!\BAKUZAN-GAKO\BAKUZAN-KORYU\Well done, Inumuta!\We can't shake off another!\Is that so? response:	I have nothing else to take off,
context: SECRET UNSEALED\Lady Satsuki, take these!\BAKUZAN-GAKO\BAKUZAN-KORYU\Well done, Inumuta!\We can't shake off another!\Is that so?\I have nothing else to take off, response:	but being a Nudist means flying by the seat of your pants.
context: Lady Satsuki, take these!\BAKUZAN-GAKO\BAKUZAN-KORYU\Well done, Inumuta!\We can't shake off another!\Is that so?\I have nothing else to take off,\but being a Nudist means flying by the seat of your pants. response:	I agree wholeheartedly, sir.
context: BAKUZAN-GAKO\BAKUZAN-KORYU\Well done, Inumuta!\We can't shake off another!\Is that so?\I have nothing else to take off,\but being a Nudist means flying by the seat of your pants.\I agree wholeheartedly, sir. response:	Clear the deck!
context: BAKUZAN-KORYU\Well done, Inumuta!\We can't shake off another!\Is that so?\I have nothing else to take off,\but being a Nudist means flying by the seat of your pants.\I agree wholeheartedly, sir.\Clear the deck! response:	Hey, what are you up to?! Don't tell me you're
context: Well done, Inumuta!\We can't shake off another!\Is that so?\I have nothing else to take off,\but being a Nudist means flying by the seat of your pants.\I agree wholeheartedly, sir.\Clear the deck!\Hey, what are you up to?! Don't tell me you're response:	Oh, but I am!
context: We can't shake off another!\Is that so?\I have nothing else to take off,\but being a Nudist means flying by the seat of your pants.\I agree wholeheartedly, sir.\Clear the deck!\Hey, what are you up to?! Don't tell me you're\Oh, but I am! response:	The last ace up the Naked Sol's sleeve...
context: Is that so?\I have nothing else to take off,\but being a Nudist means flying by the seat of your pants.\I agree wholeheartedly, sir.\Clear the deck!\Hey, what are you up to?! Don't tell me you're\Oh, but I am!\The last ace up the Naked Sol's sleeve... response:	Oh, you want to use that blade to peel that gourd bare, huh?
context: I have nothing else to take off,\but being a Nudist means flying by the seat of your pants.\I agree wholeheartedly, sir.\Clear the deck!\Hey, what are you up to?! Don't tell me you're\Oh, but I am!\The last ace up the Naked Sol's sleeve...\Oh, you want to use that blade to peel that gourd bare, huh? response:	I like it!
context: but being a Nudist means flying by the seat of your pants.\I agree wholeheartedly, sir.\Clear the deck!\Hey, what are you up to?! Don't tell me you're\Oh, but I am!\The last ace up the Naked Sol's sleeve...\Oh, you want to use that blade to peel that gourd bare, huh?\I like it! response:	GREAT NAKED DAGGER
context: I agree wholeheartedly, sir.\Clear the deck!\Hey, what are you up to?! Don't tell me you're\Oh, but I am!\The last ace up the Naked Sol's sleeve...\Oh, you want to use that blade to peel that gourd bare, huh?\I like it!\GREAT NAKED DAGGER response:	We're here, Ryuko! This is that thing's core!
context: Clear the deck!\Hey, what are you up to?! Don't tell me you're\Oh, but I am!\The last ace up the Naked Sol's sleeve...\Oh, you want to use that blade to peel that gourd bare, huh?\I like it!\GREAT NAKED DAGGER\We're here, Ryuko! This is that thing's core! response:	Let's do it!
