context: Bastard... response:	Son of a bitch, this ain't funny.
context: I have the power to nullify all magic.\If I can't use magic,\then I guess I'll just have to rely on this, huh?\In a physical showdown,\I, who practice swordplay and barehanded fighting every day, will surely win.\You're big on logic.\In fact...\It appears that Rapowant is no longer with us. response:	His role was already done.
context: If I can't use magic,\then I guess I'll just have to rely on this, huh?\In a physical showdown,\I, who practice swordplay and barehanded fighting every day, will surely win.\You're big on logic.\In fact...\It appears that Rapowant is no longer with us.\His role was already done. response:	Although he was a puppet made from my father's hair,
context: then I guess I'll just have to rely on this, huh?\In a physical showdown,\I, who practice swordplay and barehanded fighting every day, will surely win.\You're big on logic.\In fact...\It appears that Rapowant is no longer with us.\His role was already done.\Although he was a puppet made from my father's hair, response:	in the end, he was disposable.
context: In a physical showdown,\I, who practice swordplay and barehanded fighting every day, will surely win.\You're big on logic.\In fact...\It appears that Rapowant is no longer with us.\His role was already done.\Although he was a puppet made from my father's hair,\in the end, he was disposable. response:	What's that?!
context: I, who practice swordplay and barehanded fighting every day, will surely win.\You're big on logic.\In fact...\It appears that Rapowant is no longer with us.\His role was already done.\Although he was a puppet made from my father's hair,\in the end, he was disposable.\What's that?! response:	I don't care if you create it from magic or what, but a life is a life!
context: You're big on logic.\In fact...\It appears that Rapowant is no longer with us.\His role was already done.\Although he was a puppet made from my father's hair,\in the end, he was disposable.\What's that?!\I don't care if you create it from magic or what, but a life is a life! response:	Incorrect.
context: In fact...\It appears that Rapowant is no longer with us.\His role was already done.\Although he was a puppet made from my father's hair,\in the end, he was disposable.\What's that?!\I don't care if you create it from magic or what, but a life is a life!\Incorrect. response:	What's important is the heart.
context: It appears that Rapowant is no longer with us.\His role was already done.\Although he was a puppet made from my father's hair,\in the end, he was disposable.\What's that?!\I don't care if you create it from magic or what, but a life is a life!\Incorrect.\What's important is the heart. response:	That's what that thing was lacking in.
context: His role was already done.\Although he was a puppet made from my father's hair,\in the end, he was disposable.\What's that?!\I don't care if you create it from magic or what, but a life is a life!\Incorrect.\What's important is the heart.\That's what that thing was lacking in. response:	Heart...
context: Although he was a puppet made from my father's hair,\in the end, he was disposable.\What's that?!\I don't care if you create it from magic or what, but a life is a life!\Incorrect.\What's important is the heart.\That's what that thing was lacking in.\Heart... response:	Is it the same magic that was cast on Cana?
context: in the end, he was disposable.\What's that?!\I don't care if you create it from magic or what, but a life is a life!\Incorrect.\What's important is the heart.\That's what that thing was lacking in.\Heart...\Is it the same magic that was cast on Cana? response:	Likely.
context: What's that?!\I don't care if you create it from magic or what, but a life is a life!\Incorrect.\What's important is the heart.\That's what that thing was lacking in.\Heart...\Is it the same magic that was cast on Cana?\Likely. response:	What do you think, Wendy?
context: I don't care if you create it from magic or what, but a life is a life!\Incorrect.\What's important is the heart.\That's what that thing was lacking in.\Heart...\Is it the same magic that was cast on Cana?\Likely.\What do you think, Wendy? response:	My Healing Magic has no effect.
context: Incorrect.\What's important is the heart.\That's what that thing was lacking in.\Heart...\Is it the same magic that was cast on Cana?\Likely.\What do you think, Wendy?\My Healing Magic has no effect. response:	Oh, no...
context: What's important is the heart.\That's what that thing was lacking in.\Heart...\Is it the same magic that was cast on Cana?\Likely.\What do you think, Wendy?\My Healing Magic has no effect.\Oh, no... response:	His fever hasn't gone down either.
context: That's what that thing was lacking in.\Heart...\Is it the same magic that was cast on Cana?\Likely.\What do you think, Wendy?\My Healing Magic has no effect.\Oh, no...\His fever hasn't gone down either. response:	Why?
context: Heart...\Is it the same magic that was cast on Cana?\Likely.\What do you think, Wendy?\My Healing Magic has no effect.\Oh, no...\His fever hasn't gone down either.\Why? response:	There are traces of magic on the archbishop's brain, showing he was under a spell for a long time.
context: Is it the same magic that was cast on Cana?\Likely.\What do you think, Wendy?\My Healing Magic has no effect.\Oh, no...\His fever hasn't gone down either.\Why?\There are traces of magic on the archbishop's brain, showing he was under a spell for a long time. response:	It's clinging to him like a disease.
context: Likely.\What do you think, Wendy?\My Healing Magic has no effect.\Oh, no...\His fever hasn't gone down either.\Why?\There are traces of magic on the archbishop's brain, showing he was under a spell for a long time.\It's clinging to him like a disease. response:	Unless it can be removed, the archbishop won't recover.
context: What do you think, Wendy?\My Healing Magic has no effect.\Oh, no...\His fever hasn't gone down either.\Why?\There are traces of magic on the archbishop's brain, showing he was under a spell for a long time.\It's clinging to him like a disease.\Unless it can be removed, the archbishop won't recover. response:	What should we do?
context: My Healing Magic has no effect.\Oh, no...\His fever hasn't gone down either.\Why?\There are traces of magic on the archbishop's brain, showing he was under a spell for a long time.\It's clinging to him like a disease.\Unless it can be removed, the archbishop won't recover.\What should we do? response:	If I can perform delicate Healing Magic upon him without damaging his brain...
context: Oh, no...\His fever hasn't gone down either.\Why?\There are traces of magic on the archbishop's brain, showing he was under a spell for a long time.\It's clinging to him like a disease.\Unless it can be removed, the archbishop won't recover.\What should we do?\If I can perform delicate Healing Magic upon him without damaging his brain... response:	If the archbishop returns to his senses,
context: His fever hasn't gone down either.\Why?\There are traces of magic on the archbishop's brain, showing he was under a spell for a long time.\It's clinging to him like a disease.\Unless it can be removed, the archbishop won't recover.\What should we do?\If I can perform delicate Healing Magic upon him without damaging his brain...\If the archbishop returns to his senses, response:	we may be able to learn something about the Infinity Clock.
context: Why?\There are traces of magic on the archbishop's brain, showing he was under a spell for a long time.\It's clinging to him like a disease.\Unless it can be removed, the archbishop won't recover.\What should we do?\If I can perform delicate Healing Magic upon him without damaging his brain...\If the archbishop returns to his senses,\we may be able to learn something about the Infinity Clock. response:	Do you best, Wendy.
context: There are traces of magic on the archbishop's brain, showing he was under a spell for a long time.\It's clinging to him like a disease.\Unless it can be removed, the archbishop won't recover.\What should we do?\If I can perform delicate Healing Magic upon him without damaging his brain...\If the archbishop returns to his senses,\we may be able to learn something about the Infinity Clock.\Do you best, Wendy. response:	I will.
context: It's clinging to him like a disease.\Unless it can be removed, the archbishop won't recover.\What should we do?\If I can perform delicate Healing Magic upon him without damaging his brain...\If the archbishop returns to his senses,\we may be able to learn something about the Infinity Clock.\Do you best, Wendy.\I will. response:	Something's coming closer.
context: Unless it can be removed, the archbishop won't recover.\What should we do?\If I can perform delicate Healing Magic upon him without damaging his brain...\If the archbishop returns to his senses,\we may be able to learn something about the Infinity Clock.\Do you best, Wendy.\I will.\Something's coming closer. response:	Is it Natsu?!
context: What should we do?\If I can perform delicate Healing Magic upon him without damaging his brain...\If the archbishop returns to his senses,\we may be able to learn something about the Infinity Clock.\Do you best, Wendy.\I will.\Something's coming closer.\Is it Natsu?! response:	No... This is...
context: If I can perform delicate Healing Magic upon him without damaging his brain...\If the archbishop returns to his senses,\we may be able to learn something about the Infinity Clock.\Do you best, Wendy.\I will.\Something's coming closer.\Is it Natsu?!\No... This is... response:	I found you! My calculations were right.
context: If the archbishop returns to his senses,\we may be able to learn something about the Infinity Clock.\Do you best, Wendy.\I will.\Something's coming closer.\Is it Natsu?!\No... This is...\I found you! My calculations were right. response:	That's... Samuel?!
context: we may be able to learn something about the Infinity Clock.\Do you best, Wendy.\I will.\Something's coming closer.\Is it Natsu?!\No... This is...\I found you! My calculations were right.\That's... Samuel?! response:	Lucy-nee-san belongs to me.
context: Do you best, Wendy.\I will.\Something's coming closer.\Is it Natsu?!\No... This is...\I found you! My calculations were right.\That's... Samuel?!\Lucy-nee-san belongs to me. response:	I won't let anyone else have her!
context: I will.\Something's coming closer.\Is it Natsu?!\No... This is...\I found you! My calculations were right.\That's... Samuel?!\Lucy-nee-san belongs to me.\I won't let anyone else have her! response:	Isn't Samuel on your side, Michelle?!
context: Something's coming closer.\Is it Natsu?!\No... This is...\I found you! My calculations were right.\That's... Samuel?!\Lucy-nee-san belongs to me.\I won't let anyone else have her!\Isn't Samuel on your side, Michelle?! response:	That may have been the case once.
context: Is it Natsu?!\No... This is...\I found you! My calculations were right.\That's... Samuel?!\Lucy-nee-san belongs to me.\I won't let anyone else have her!\Isn't Samuel on your side, Michelle?!\That may have been the case once. response:	But I know why he's here.
context: No... This is...\I found you! My calculations were right.\That's... Samuel?!\Lucy-nee-san belongs to me.\I won't let anyone else have her!\Isn't Samuel on your side, Michelle?!\That may have been the case once.\But I know why he's here. response:	He intends to kill you, Nee-san.
context: I found you! My calculations were right.\That's... Samuel?!\Lucy-nee-san belongs to me.\I won't let anyone else have her!\Isn't Samuel on your side, Michelle?!\That may have been the case once.\But I know why he's here.\He intends to kill you, Nee-san. response:	I made an error...
context: That's... Samuel?!\Lucy-nee-san belongs to me.\I won't let anyone else have her!\Isn't Samuel on your side, Michelle?!\That may have been the case once.\But I know why he's here.\He intends to kill you, Nee-san.\I made an error... response:	It's ironic.
context: Lucy-nee-san belongs to me.\I won't let anyone else have her!\Isn't Samuel on your side, Michelle?!\That may have been the case once.\But I know why he's here.\He intends to kill you, Nee-san.\I made an error...\It's ironic. response:	We used Legion and now you're after her life, while we're protecting her.
context: I won't let anyone else have her!\Isn't Samuel on your side, Michelle?!\That may have been the case once.\But I know why he's here.\He intends to kill you, Nee-san.\I made an error...\It's ironic.\We used Legion and now you're after her life, while we're protecting her. response:	Even if I can't fly...
context: Isn't Samuel on your side, Michelle?!\That may have been the case once.\But I know why he's here.\He intends to kill you, Nee-san.\I made an error...\It's ironic.\We used Legion and now you're after her life, while we're protecting her.\Even if I can't fly... response:	I can use my own legs to climb.
context: That may have been the case once.\But I know why he's here.\He intends to kill you, Nee-san.\I made an error...\It's ironic.\We used Legion and now you're after her life, while we're protecting her.\Even if I can't fly...\I can use my own legs to climb. response:	Byro-sama... I...
context: But I know why he's here.\He intends to kill you, Nee-san.\I made an error...\It's ironic.\We used Legion and now you're after her life, while we're protecting her.\Even if I can't fly...\I can use my own legs to climb.\Byro-sama... I... response:	You could hear their telepathic communications, too, couldn't you?
context: He intends to kill you, Nee-san.\I made an error...\It's ironic.\We used Legion and now you're after her life, while we're protecting her.\Even if I can't fly...\I can use my own legs to climb.\Byro-sama... I...\You could hear their telepathic communications, too, couldn't you? response:	What do you intend to do now?
context: I made an error...\It's ironic.\We used Legion and now you're after her life, while we're protecting her.\Even if I can't fly...\I can use my own legs to climb.\Byro-sama... I...\You could hear their telepathic communications, too, couldn't you?\What do you intend to do now? response:	Now...?
context: It's ironic.\We used Legion and now you're after her life, while we're protecting her.\Even if I can't fly...\I can use my own legs to climb.\Byro-sama... I...\You could hear their telepathic communications, too, couldn't you?\What do you intend to do now?\Now...? response:	Even Byro-sama... Even His Grace, the archbishop himself, was just used as a tool.
context: We used Legion and now you're after her life, while we're protecting her.\Even if I can't fly...\I can use my own legs to climb.\Byro-sama... I...\You could hear their telepathic communications, too, couldn't you?\What do you intend to do now?\Now...?\Even Byro-sama... Even His Grace, the archbishop himself, was just used as a tool. response:	Which means...
context: Even if I can't fly...\I can use my own legs to climb.\Byro-sama... I...\You could hear their telepathic communications, too, couldn't you?\What do you intend to do now?\Now...?\Even Byro-sama... Even His Grace, the archbishop himself, was just used as a tool.\Which means... response:	Then it wasn't Zentopia's doctrine. I was just being used by the new Oracion Seis.
context: I can use my own legs to climb.\Byro-sama... I...\You could hear their telepathic communications, too, couldn't you?\What do you intend to do now?\Now...?\Even Byro-sama... Even His Grace, the archbishop himself, was just used as a tool.\Which means...\Then it wasn't Zentopia's doctrine. I was just being used by the new Oracion Seis. response:	That's right, isn't it?
context: Byro-sama... I...\You could hear their telepathic communications, too, couldn't you?\What do you intend to do now?\Now...?\Even Byro-sama... Even His Grace, the archbishop himself, was just used as a tool.\Which means...\Then it wasn't Zentopia's doctrine. I was just being used by the new Oracion Seis.\That's right, isn't it? response:	I feel like such a loser...
context: You could hear their telepathic communications, too, couldn't you?\What do you intend to do now?\Now...?\Even Byro-sama... Even His Grace, the archbishop himself, was just used as a tool.\Which means...\Then it wasn't Zentopia's doctrine. I was just being used by the new Oracion Seis.\That's right, isn't it?\I feel like such a loser... response:	Gatman-chama... Gatman-chama...
context: What do you intend to do now?\Now...?\Even Byro-sama... Even His Grace, the archbishop himself, was just used as a tool.\Which means...\Then it wasn't Zentopia's doctrine. I was just being used by the new Oracion Seis.\That's right, isn't it?\I feel like such a loser...\Gatman-chama... Gatman-chama... response:	Goodnight.
context: Now...?\Even Byro-sama... Even His Grace, the archbishop himself, was just used as a tool.\Which means...\Then it wasn't Zentopia's doctrine. I was just being used by the new Oracion Seis.\That's right, isn't it?\I feel like such a loser...\Gatman-chama... Gatman-chama...\Goodnight. response:	What the hell is that?
context: Even Byro-sama... Even His Grace, the archbishop himself, was just used as a tool.\Which means...\Then it wasn't Zentopia's doctrine. I was just being used by the new Oracion Seis.\That's right, isn't it?\I feel like such a loser...\Gatman-chama... Gatman-chama...\Goodnight.\What the hell is that? response:	The rest is up to you... Coco...
context: Which means...\Then it wasn't Zentopia's doctrine. I was just being used by the new Oracion Seis.\That's right, isn't it?\I feel like such a loser...\Gatman-chama... Gatman-chama...\Goodnight.\What the hell is that?\The rest is up to you... Coco... response:	Hurry, everyone!
context: Then it wasn't Zentopia's doctrine. I was just being used by the new Oracion Seis.\That's right, isn't it?\I feel like such a loser...\Gatman-chama... Gatman-chama...\Goodnight.\What the hell is that?\The rest is up to you... Coco...\Hurry, everyone! response:	That girl is fast!
context: That's right, isn't it?\I feel like such a loser...\Gatman-chama... Gatman-chama...\Goodnight.\What the hell is that?\The rest is up to you... Coco...\Hurry, everyone!\That girl is fast! response:	According to Fabrizio-san,
context: I feel like such a loser...\Gatman-chama... Gatman-chama...\Goodnight.\What the hell is that?\The rest is up to you... Coco...\Hurry, everyone!\That girl is fast!\According to Fabrizio-san, response:	we can get up to the Infinity Castle
context: Gatman-chama... Gatman-chama...\Goodnight.\What the hell is that?\The rest is up to you... Coco...\Hurry, everyone!\That girl is fast!\According to Fabrizio-san,\we can get up to the Infinity Castle response:	through the eye at the triangle of the cathedral's center!
context: Goodnight.\What the hell is that?\The rest is up to you... Coco...\Hurry, everyone!\That girl is fast!\According to Fabrizio-san,\we can get up to the Infinity Castle\through the eye at the triangle of the cathedral's center! response:	Hang on, Lucy!
context: What the hell is that?\The rest is up to you... Coco...\Hurry, everyone!\That girl is fast!\According to Fabrizio-san,\we can get up to the Infinity Castle\through the eye at the triangle of the cathedral's center!\Hang on, Lucy! response:	I'm Lahar, the Captain of the Enforcement and Detention Corps of the Magic Council.
context: The rest is up to you... Coco...\Hurry, everyone!\That girl is fast!\According to Fabrizio-san,\we can get up to the Infinity Castle\through the eye at the triangle of the cathedral's center!\Hang on, Lucy!\I'm Lahar, the Captain of the Enforcement and Detention Corps of the Magic Council. response:	As long as you're inside this barrier that the Rune Knights made,
context: Hurry, everyone!\That girl is fast!\According to Fabrizio-san,\we can get up to the Infinity Castle\through the eye at the triangle of the cathedral's center!\Hang on, Lucy!\I'm Lahar, the Captain of the Enforcement and Detention Corps of the Magic Council.\As long as you're inside this barrier that the Rune Knights made, response:	you won't be influenced by the magic coming from those chains.
context: That girl is fast!\According to Fabrizio-san,\we can get up to the Infinity Castle\through the eye at the triangle of the cathedral's center!\Hang on, Lucy!\I'm Lahar, the Captain of the Enforcement and Detention Corps of the Magic Council.\As long as you're inside this barrier that the Rune Knights made,\you won't be influenced by the magic coming from those chains. response:	Stay quiet in here!
context: According to Fabrizio-san,\we can get up to the Infinity Castle\through the eye at the triangle of the cathedral's center!\Hang on, Lucy!\I'm Lahar, the Captain of the Enforcement and Detention Corps of the Magic Council.\As long as you're inside this barrier that the Rune Knights made,\you won't be influenced by the magic coming from those chains.\Stay quiet in here! response:	Direct Line!
context: we can get up to the Infinity Castle\through the eye at the triangle of the cathedral's center!\Hang on, Lucy!\I'm Lahar, the Captain of the Enforcement and Detention Corps of the Magic Council.\As long as you're inside this barrier that the Rune Knights made,\you won't be influenced by the magic coming from those chains.\Stay quiet in here!\Direct Line! response:	Mama!
context: through the eye at the triangle of the cathedral's center!\Hang on, Lucy!\I'm Lahar, the Captain of the Enforcement and Detention Corps of the Magic Council.\As long as you're inside this barrier that the Rune Knights made,\you won't be influenced by the magic coming from those chains.\Stay quiet in here!\Direct Line!\Mama! response:	Stay calm!
context: Hang on, Lucy!\I'm Lahar, the Captain of the Enforcement and Detention Corps of the Magic Council.\As long as you're inside this barrier that the Rune Knights made,\you won't be influenced by the magic coming from those chains.\Stay quiet in here!\Direct Line!\Mama!\Stay calm! response:	I'm going to take you inside this barrier!
context: I'm Lahar, the Captain of the Enforcement and Detention Corps of the Magic Council.\As long as you're inside this barrier that the Rune Knights made,\you won't be influenced by the magic coming from those chains.\Stay quiet in here!\Direct Line!\Mama!\Stay calm!\I'm going to take you inside this barrier! response:	Go ahead, quickly! Inside the barrier!
context: As long as you're inside this barrier that the Rune Knights made,\you won't be influenced by the magic coming from those chains.\Stay quiet in here!\Direct Line!\Mama!\Stay calm!\I'm going to take you inside this barrier!\Go ahead, quickly! Inside the barrier! response:	Look.
context: you won't be influenced by the magic coming from those chains.\Stay quiet in here!\Direct Line!\Mama!\Stay calm!\I'm going to take you inside this barrier!\Go ahead, quickly! Inside the barrier!\Look. response:	His complexion is improving little by little.
context: Stay quiet in here!\Direct Line!\Mama!\Stay calm!\I'm going to take you inside this barrier!\Go ahead, quickly! Inside the barrier!\Look.\His complexion is improving little by little. response:	Carefully...
context: Direct Line!\Mama!\Stay calm!\I'm going to take you inside this barrier!\Go ahead, quickly! Inside the barrier!\Look.\His complexion is improving little by little.\Carefully... response:	Delicately...
context: Mama!\Stay calm!\I'm going to take you inside this barrier!\Go ahead, quickly! Inside the barrier!\Look.\His complexion is improving little by little.\Carefully...\Delicately... response:	It looks tough...
context: Stay calm!\I'm going to take you inside this barrier!\Go ahead, quickly! Inside the barrier!\Look.\His complexion is improving little by little.\Carefully...\Delicately...\It looks tough... response:	This is the first time she's tried to cure someone continuously
context: I'm going to take you inside this barrier!\Go ahead, quickly! Inside the barrier!\Look.\His complexion is improving little by little.\Carefully...\Delicately...\It looks tough...\This is the first time she's tried to cure someone continuously response:	over the course of several hours.
context: Go ahead, quickly! Inside the barrier!\Look.\His complexion is improving little by little.\Carefully...\Delicately...\It looks tough...\This is the first time she's tried to cure someone continuously\over the course of several hours. response:	Gildarts Clive!
context: Look.\His complexion is improving little by little.\Carefully...\Delicately...\It looks tough...\This is the first time she's tried to cure someone continuously\over the course of several hours.\Gildarts Clive! response:	Why aren't you giving me everything you've got?
context: His complexion is improving little by little.\Carefully...\Delicately...\It looks tough...\This is the first time she's tried to cure someone continuously\over the course of several hours.\Gildarts Clive!\Why aren't you giving me everything you've got? response:	I didn't want the brats to see it...
context: Carefully...\Delicately...\It looks tough...\This is the first time she's tried to cure someone continuously\over the course of several hours.\Gildarts Clive!\Why aren't you giving me everything you've got?\I didn't want the brats to see it... response:	Me pulverizing you...
context: Delicately...\It looks tough...\This is the first time she's tried to cure someone continuously\over the course of several hours.\Gildarts Clive!\Why aren't you giving me everything you've got?\I didn't want the brats to see it...\Me pulverizing you... response:	You jest with me...
context: It looks tough...\This is the first time she's tried to cure someone continuously\over the course of several hours.\Gildarts Clive!\Why aren't you giving me everything you've got?\I didn't want the brats to see it...\Me pulverizing you...\You jest with me... response:	That was a good warming up.
context: This is the first time she's tried to cure someone continuously\over the course of several hours.\Gildarts Clive!\Why aren't you giving me everything you've got?\I didn't want the brats to see it...\Me pulverizing you...\You jest with me...\That was a good warming up. response:	This might be good once in a while, pitting muscles against muscles.
context: over the course of several hours.\Gildarts Clive!\Why aren't you giving me everything you've got?\I didn't want the brats to see it...\Me pulverizing you...\You jest with me...\That was a good warming up.\This might be good once in a while, pitting muscles against muscles. response:	Wendy, if you go overboard, it'll put you in danger, too.
context: Gildarts Clive!\Why aren't you giving me everything you've got?\I didn't want the brats to see it...\Me pulverizing you...\You jest with me...\That was a good warming up.\This might be good once in a while, pitting muscles against muscles.\Wendy, if you go overboard, it'll put you in danger, too. response:	Shouldn't you take a little break?
context: Why aren't you giving me everything you've got?\I didn't want the brats to see it...\Me pulverizing you...\You jest with me...\That was a good warming up.\This might be good once in a while, pitting muscles against muscles.\Wendy, if you go overboard, it'll put you in danger, too.\Shouldn't you take a little break? response:	I'm fine. It's finished.
context: I didn't want the brats to see it...\Me pulverizing you...\You jest with me...\That was a good warming up.\This might be good once in a while, pitting muscles against muscles.\Wendy, if you go overboard, it'll put you in danger, too.\Shouldn't you take a little break?\I'm fine. It's finished. response:	Already?!
context: Me pulverizing you...\You jest with me...\That was a good warming up.\This might be good once in a while, pitting muscles against muscles.\Wendy, if you go overboard, it'll put you in danger, too.\Shouldn't you take a little break?\I'm fine. It's finished.\Already?! response:	Wow! When did you improve this much?
context: You jest with me...\That was a good warming up.\This might be good once in a while, pitting muscles against muscles.\Wendy, if you go overboard, it'll put you in danger, too.\Shouldn't you take a little break?\I'm fine. It's finished.\Already?!\Wow! When did you improve this much? response:	I've just gained experience, that's all.
context: That was a good warming up.\This might be good once in a while, pitting muscles against muscles.\Wendy, if you go overboard, it'll put you in danger, too.\Shouldn't you take a little break?\I'm fine. It's finished.\Already?!\Wow! When did you improve this much?\I've just gained experience, that's all. response:	At any rate, the archbishop has been freed from that magic.
context: This might be good once in a while, pitting muscles against muscles.\Wendy, if you go overboard, it'll put you in danger, too.\Shouldn't you take a little break?\I'm fine. It's finished.\Already?!\Wow! When did you improve this much?\I've just gained experience, that's all.\At any rate, the archbishop has been freed from that magic. response:	It's true! His fever's down, too!
context: Wendy, if you go overboard, it'll put you in danger, too.\Shouldn't you take a little break?\I'm fine. It's finished.\Already?!\Wow! When did you improve this much?\I've just gained experience, that's all.\At any rate, the archbishop has been freed from that magic.\It's true! His fever's down, too! response:	Those are some impressive skills.
context: Shouldn't you take a little break?\I'm fine. It's finished.\Already?!\Wow! When did you improve this much?\I've just gained experience, that's all.\At any rate, the archbishop has been freed from that magic.\It's true! His fever's down, too!\Those are some impressive skills. response:	We sure can rely on you!
context: I'm fine. It's finished.\Already?!\Wow! When did you improve this much?\I've just gained experience, that's all.\At any rate, the archbishop has been freed from that magic.\It's true! His fever's down, too!\Those are some impressive skills.\We sure can rely on you! response:	She removed the magic, which saved the archbishop's life...
context: Already?!\Wow! When did you improve this much?\I've just gained experience, that's all.\At any rate, the archbishop has been freed from that magic.\It's true! His fever's down, too!\Those are some impressive skills.\We sure can rely on you!\She removed the magic, which saved the archbishop's life... response:	She removed it...
context: Wow! When did you improve this much?\I've just gained experience, that's all.\At any rate, the archbishop has been freed from that magic.\It's true! His fever's down, too!\Those are some impressive skills.\We sure can rely on you!\She removed the magic, which saved the archbishop's life...\She removed it... response:	I see!
context: I've just gained experience, that's all.\At any rate, the archbishop has been freed from that magic.\It's true! His fever's down, too!\Those are some impressive skills.\We sure can rely on you!\She removed the magic, which saved the archbishop's life...\She removed it...\I see! response:	What's wrong?!
context: At any rate, the archbishop has been freed from that magic.\It's true! His fever's down, too!\Those are some impressive skills.\We sure can rely on you!\She removed the magic, which saved the archbishop's life...\She removed it...\I see!\What's wrong?! response:	Samuel is going to try stopping the clock by eliminating Lucy,
context: It's true! His fever's down, too!\Those are some impressive skills.\We sure can rely on you!\She removed the magic, which saved the archbishop's life...\She removed it...\I see!\What's wrong?!\Samuel is going to try stopping the clock by eliminating Lucy, response:	but there's another way to stop it.
context: Those are some impressive skills.\We sure can rely on you!\She removed the magic, which saved the archbishop's life...\She removed it...\I see!\What's wrong?!\Samuel is going to try stopping the clock by eliminating Lucy,\but there's another way to stop it. response:	What is it?
context: We sure can rely on you!\She removed the magic, which saved the archbishop's life...\She removed it...\I see!\What's wrong?!\Samuel is going to try stopping the clock by eliminating Lucy,\but there's another way to stop it.\What is it? response:	We beat all the members of the new Oracion Seis!
context: She removed the magic, which saved the archbishop's life...\She removed it...\I see!\What's wrong?!\Samuel is going to try stopping the clock by eliminating Lucy,\but there's another way to stop it.\What is it?\We beat all the members of the new Oracion Seis! response:	The members of the new Oracion Seis?
context: She removed it...\I see!\What's wrong?!\Samuel is going to try stopping the clock by eliminating Lucy,\but there's another way to stop it.\What is it?\We beat all the members of the new Oracion Seis!\The members of the new Oracion Seis? response:	Beat all of them?!
context: I see!\What's wrong?!\Samuel is going to try stopping the clock by eliminating Lucy,\but there's another way to stop it.\What is it?\We beat all the members of the new Oracion Seis!\The members of the new Oracion Seis?\Beat all of them?! response:	What would that do?
context: What's wrong?!\Samuel is going to try stopping the clock by eliminating Lucy,\but there's another way to stop it.\What is it?\We beat all the members of the new Oracion Seis!\The members of the new Oracion Seis?\Beat all of them?!\What would that do? response:	When the Infinity Clock was reactivated, the new Oracion Seis engraved their seals on it, remember?
context: Samuel is going to try stopping the clock by eliminating Lucy,\but there's another way to stop it.\What is it?\We beat all the members of the new Oracion Seis!\The members of the new Oracion Seis?\Beat all of them?!\What would that do?\When the Infinity Clock was reactivated, the new Oracion Seis engraved their seals on it, remember? response:	When I think back, I remember Michelle engraving the sixth seal...
context: but there's another way to stop it.\What is it?\We beat all the members of the new Oracion Seis!\The members of the new Oracion Seis?\Beat all of them?!\What would that do?\When the Infinity Clock was reactivated, the new Oracion Seis engraved their seals on it, remember?\When I think back, I remember Michelle engraving the sixth seal... response:	Those seals must serve as proof of ownership of the Infinity Clock.
context: What is it?\We beat all the members of the new Oracion Seis!\The members of the new Oracion Seis?\Beat all of them?!\What would that do?\When the Infinity Clock was reactivated, the new Oracion Seis engraved their seals on it, remember?\When I think back, I remember Michelle engraving the sixth seal...\Those seals must serve as proof of ownership of the Infinity Clock. response:	So if we defeat all the members of the new Oracion Seis,
context: We beat all the members of the new Oracion Seis!\The members of the new Oracion Seis?\Beat all of them?!\What would that do?\When the Infinity Clock was reactivated, the new Oracion Seis engraved their seals on it, remember?\When I think back, I remember Michelle engraving the sixth seal...\Those seals must serve as proof of ownership of the Infinity Clock.\So if we defeat all the members of the new Oracion Seis, response:	we can remove their right of ownership to the Infinity Clock, right?
context: The members of the new Oracion Seis?\Beat all of them?!\What would that do?\When the Infinity Clock was reactivated, the new Oracion Seis engraved their seals on it, remember?\When I think back, I remember Michelle engraving the sixth seal...\Those seals must serve as proof of ownership of the Infinity Clock.\So if we defeat all the members of the new Oracion Seis,\we can remove their right of ownership to the Infinity Clock, right? response:	And then maybe we'll be able to free Lucy, too!
context: Beat all of them?!\What would that do?\When the Infinity Clock was reactivated, the new Oracion Seis engraved their seals on it, remember?\When I think back, I remember Michelle engraving the sixth seal...\Those seals must serve as proof of ownership of the Infinity Clock.\So if we defeat all the members of the new Oracion Seis,\we can remove their right of ownership to the Infinity Clock, right?\And then maybe we'll be able to free Lucy, too! response:	Aye, sir!
context: What would that do?\When the Infinity Clock was reactivated, the new Oracion Seis engraved their seals on it, remember?\When I think back, I remember Michelle engraving the sixth seal...\Those seals must serve as proof of ownership of the Infinity Clock.\So if we defeat all the members of the new Oracion Seis,\we can remove their right of ownership to the Infinity Clock, right?\And then maybe we'll be able to free Lucy, too!\Aye, sir! response:	Alright! I'll pass that on to Natsu and the others right away!
context: When the Infinity Clock was reactivated, the new Oracion Seis engraved their seals on it, remember?\When I think back, I remember Michelle engraving the sixth seal...\Those seals must serve as proof of ownership of the Infinity Clock.\So if we defeat all the members of the new Oracion Seis,\we can remove their right of ownership to the Infinity Clock, right?\And then maybe we'll be able to free Lucy, too!\Aye, sir!\Alright! I'll pass that on to Natsu and the others right away! response:	I'm gonna set off to find Lucy, too!
context: When I think back, I remember Michelle engraving the sixth seal...\Those seals must serve as proof of ownership of the Infinity Clock.\So if we defeat all the members of the new Oracion Seis,\we can remove their right of ownership to the Infinity Clock, right?\And then maybe we'll be able to free Lucy, too!\Aye, sir!\Alright! I'll pass that on to Natsu and the others right away!\I'm gonna set off to find Lucy, too! response:	Me too!
