context: =Someday,= =I'll become a wonderful person.= response:	=I want to bring happiness=
context: Daidouji-san!\Tomoyo-chan!\You' can't speak?\No way!\Please take care.\Please excuse us.\And then, Tomoyo went home?\The bodyguard ladies came to pick her up. response:	And they went straight to the doctor.
context: Tomoyo-chan!\You' can't speak?\No way!\Please take care.\Please excuse us.\And then, Tomoyo went home?\The bodyguard ladies came to pick her up.\And they went straight to the doctor. response:	That's what the maid said
context: You' can't speak?\No way!\Please take care.\Please excuse us.\And then, Tomoyo went home?\The bodyguard ladies came to pick her up.\And they went straight to the doctor.\That's what the maid said response:	on the phone just now.
context: No way!\Please take care.\Please excuse us.\And then, Tomoyo went home?\The bodyguard ladies came to pick her up.\And they went straight to the doctor.\That's what the maid said\on the phone just now. response:	It seems she still hasn't been able to speak after all'
context: Please take care.\Please excuse us.\And then, Tomoyo went home?\The bodyguard ladies came to pick her up.\And they went straight to the doctor.\That's what the maid said\on the phone just now.\It seems she still hasn't been able to speak after all' response:	That is probably the act of the Clow Card
context: Please excuse us.\And then, Tomoyo went home?\The bodyguard ladies came to pick her up.\And they went straight to the doctor.\That's what the maid said\on the phone just now.\It seems she still hasn't been able to speak after all'\That is probably the act of the Clow Card response:	you sensed then.
context: And then, Tomoyo went home?\The bodyguard ladies came to pick her up.\And they went straight to the doctor.\That's what the maid said\on the phone just now.\It seems she still hasn't been able to speak after all'\That is probably the act of the Clow Card\you sensed then. response:	You sensed it, right?
context: The bodyguard ladies came to pick her up.\And they went straight to the doctor.\That's what the maid said\on the phone just now.\It seems she still hasn't been able to speak after all'\That is probably the act of the Clow Card\you sensed then.\You sensed it, right? response:	If only I'd noticed it a little earlier
context: And they went straight to the doctor.\That's what the maid said\on the phone just now.\It seems she still hasn't been able to speak after all'\That is probably the act of the Clow Card\you sensed then.\You sensed it, right?\If only I'd noticed it a little earlier response:	and sealed it'
context: That's what the maid said\on the phone just now.\It seems she still hasn't been able to speak after all'\That is probably the act of the Clow Card\you sensed then.\You sensed it, right?\If only I'd noticed it a little earlier\and sealed it' response:	Cheer up.
context: on the phone just now.\It seems she still hasn't been able to speak after all'\That is probably the act of the Clow Card\you sensed then.\You sensed it, right?\If only I'd noticed it a little earlier\and sealed it'\Cheer up. response:	If you're like this,
context: It seems she still hasn't been able to speak after all'\That is probably the act of the Clow Card\you sensed then.\You sensed it, right?\If only I'd noticed it a little earlier\and sealed it'\Cheer up.\If you're like this, response:	Tomoyo'll be sad too.
context: That is probably the act of the Clow Card\you sensed then.\You sensed it, right?\If only I'd noticed it a little earlier\and sealed it'\Cheer up.\If you're like this,\Tomoyo'll be sad too. response:	She can't speak'
context: you sensed then.\You sensed it, right?\If only I'd noticed it a little earlier\and sealed it'\Cheer up.\If you're like this,\Tomoyo'll be sad too.\She can't speak' response:	which means'
context: You sensed it, right?\If only I'd noticed it a little earlier\and sealed it'\Cheer up.\If you're like this,\Tomoyo'll be sad too.\She can't speak'\which means' response:	No doubt about it.
context: If only I'd noticed it a little earlier\and sealed it'\Cheer up.\If you're like this,\Tomoyo'll be sad too.\She can't speak'\which means'\No doubt about it. response:	It's the act of Voice card.
context: and sealed it'\Cheer up.\If you're like this,\Tomoyo'll be sad too.\She can't speak'\which means'\No doubt about it.\It's the act of Voice card. response:	Voice?
context: Cheer up.\If you're like this,\Tomoyo'll be sad too.\She can't speak'\which means'\No doubt about it.\It's the act of Voice card.\Voice? response:	It liked Tomoyo's voice,
context: If you're like this,\Tomoyo'll be sad too.\She can't speak'\which means'\No doubt about it.\It's the act of Voice card.\Voice?\It liked Tomoyo's voice, response:	so it stole it.
context: Tomoyo'll be sad too.\She can't speak'\which means'\No doubt about it.\It's the act of Voice card.\Voice?\It liked Tomoyo's voice,\so it stole it. response:	That's mean!
context: She can't speak'\which means'\No doubt about it.\It's the act of Voice card.\Voice?\It liked Tomoyo's voice,\so it stole it.\That's mean! response:	What Mizuki-sensei said'
context: which means'\No doubt about it.\It's the act of Voice card.\Voice?\It liked Tomoyo's voice,\so it stole it.\That's mean!\What Mizuki-sensei said' response:	Could it be about this'?
context: No doubt about it.\It's the act of Voice card.\Voice?\It liked Tomoyo's voice,\so it stole it.\That's mean!\What Mizuki-sensei said'\Could it be about this'? response:	I'd like to meet
context: It's the act of Voice card.\Voice?\It liked Tomoyo's voice,\so it stole it.\That's mean!\What Mizuki-sensei said'\Could it be about this'?\I'd like to meet response:	this teacher for once.
context: Voice?\It liked Tomoyo's voice,\so it stole it.\That's mean!\What Mizuki-sensei said'\Could it be about this'?\I'd like to meet\this teacher for once. response:	Tomoyo!
context: It liked Tomoyo's voice,\so it stole it.\That's mean!\What Mizuki-sensei said'\Could it be about this'?\I'd like to meet\this teacher for once.\Tomoyo! response:	You couldn't speak?
context: so it stole it.\That's mean!\What Mizuki-sensei said'\Could it be about this'?\I'd like to meet\this teacher for once.\Tomoyo!\You couldn't speak? response:	Even though the doctor said you didn't catch a cold'
context: That's mean!\What Mizuki-sensei said'\Could it be about this'?\I'd like to meet\this teacher for once.\Tomoyo!\You couldn't speak?\Even though the doctor said you didn't catch a cold' response:	How about a fever? Are you cold?
context: What Mizuki-sensei said'\Could it be about this'?\I'd like to meet\this teacher for once.\Tomoyo!\You couldn't speak?\Even though the doctor said you didn't catch a cold'\How about a fever? Are you cold? response:	Are you in pain anywhere?
context: Could it be about this'?\I'd like to meet\this teacher for once.\Tomoyo!\You couldn't speak?\Even though the doctor said you didn't catch a cold'\How about a fever? Are you cold?\Are you in pain anywhere? response:	Is that right?
context: I'd like to meet\this teacher for once.\Tomoyo!\You couldn't speak?\Even though the doctor said you didn't catch a cold'\How about a fever? Are you cold?\Are you in pain anywhere?\Is that right? response:	I'll skip work tomorrow.
context: this teacher for once.\Tomoyo!\You couldn't speak?\Even though the doctor said you didn't catch a cold'\How about a fever? Are you cold?\Are you in pain anywhere?\Is that right?\I'll skip work tomorrow. response:	I'm so worried.
context: Tomoyo!\You couldn't speak?\Even though the doctor said you didn't catch a cold'\How about a fever? Are you cold?\Are you in pain anywhere?\Is that right?\I'll skip work tomorrow.\I'm so worried. response:	You are not okay.
context: You couldn't speak?\Even though the doctor said you didn't catch a cold'\How about a fever? Are you cold?\Are you in pain anywhere?\Is that right?\I'll skip work tomorrow.\I'm so worried.\You are not okay. response:	I could tell you must be scared
context: Even though the doctor said you didn't catch a cold'\How about a fever? Are you cold?\Are you in pain anywhere?\Is that right?\I'll skip work tomorrow.\I'm so worried.\You are not okay.\I could tell you must be scared response:	when something like this happen.
context: How about a fever? Are you cold?\Are you in pain anywhere?\Is that right?\I'll skip work tomorrow.\I'm so worried.\You are not okay.\I could tell you must be scared\when something like this happen. response:	Because you're my one and only daughter.
context: Are you in pain anywhere?\Is that right?\I'll skip work tomorrow.\I'm so worried.\You are not okay.\I could tell you must be scared\when something like this happen.\Because you're my one and only daughter. response:	Saitou Mioko-san.
context: Is that right?\I'll skip work tomorrow.\I'm so worried.\You are not okay.\I could tell you must be scared\when something like this happen.\Because you're my one and only daughter.\Saitou Mioko-san. response:	Here!
context: I'll skip work tomorrow.\I'm so worried.\You are not okay.\I could tell you must be scared\when something like this happen.\Because you're my one and only daughter.\Saitou Mioko-san.\Here! response:	Tanade Ryouichi-kun.
context: I'm so worried.\You are not okay.\I could tell you must be scared\when something like this happen.\Because you're my one and only daughter.\Saitou Mioko-san.\Here!\Tanade Ryouichi-kun. response:	Here!
context: You are not okay.\I could tell you must be scared\when something like this happen.\Because you're my one and only daughter.\Saitou Mioko-san.\Here!\Tanade Ryouichi-kun.\Here! response:	Daidouji-san is not feeling well today.
context: I could tell you must be scared\when something like this happen.\Because you're my one and only daughter.\Saitou Mioko-san.\Here!\Tanade Ryouichi-kun.\Here!\Daidouji-san is not feeling well today. response:	Her mother called saying that
context: when something like this happen.\Because you're my one and only daughter.\Saitou Mioko-san.\Here!\Tanade Ryouichi-kun.\Here!\Daidouji-san is not feeling well today.\Her mother called saying that response:	she will be absent today.
context: Because you're my one and only daughter.\Saitou Mioko-san.\Here!\Tanade Ryouichi-kun.\Here!\Daidouji-san is not feeling well today.\Her mother called saying that\she will be absent today. response:	Tomoyo-chan'
context: Saitou Mioko-san.\Here!\Tanade Ryouichi-kun.\Here!\Daidouji-san is not feeling well today.\Her mother called saying that\she will be absent today.\Tomoyo-chan' response:	What happened?
context: Here!\Tanade Ryouichi-kun.\Here!\Daidouji-san is not feeling well today.\Her mother called saying that\she will be absent today.\Tomoyo-chan'\What happened? response:	Li. Why are you here'
context: Tanade Ryouichi-kun.\Here!\Daidouji-san is not feeling well today.\Her mother called saying that\she will be absent today.\Tomoyo-chan'\What happened?\Li. Why are you here' response:	I' I was worried about you'
context: Here!\Daidouji-san is not feeling well today.\Her mother called saying that\she will be absent today.\Tomoyo-chan'\What happened?\Li. Why are you here'\I' I was worried about you' response:	I just think, I
context: Daidouji-san is not feeling well today.\Her mother called saying that\she will be absent today.\Tomoyo-chan'\What happened?\Li. Why are you here'\I' I was worried about you'\I just think, I response:	'might have found a Clow Card'
context: Her mother called saying that\she will be absent today.\Tomoyo-chan'\What happened?\Li. Why are you here'\I' I was worried about you'\I just think, I\'might have found a Clow Card' response:	Daidouji is absent
context: she will be absent today.\Tomoyo-chan'\What happened?\Li. Why are you here'\I' I was worried about you'\I just think, I\'might have found a Clow Card'\Daidouji is absent response:	because of the Clow Card.
context: Tomoyo-chan'\What happened?\Li. Why are you here'\I' I was worried about you'\I just think, I\'might have found a Clow Card'\Daidouji is absent\because of the Clow Card. response:	Tomoyo-chan, for the competition this time,
context: What happened?\Li. Why are you here'\I' I was worried about you'\I just think, I\'might have found a Clow Card'\Daidouji is absent\because of the Clow Card.\Tomoyo-chan, for the competition this time, response:	was practicing so hard for the solo she has at the beginning.
context: Li. Why are you here'\I' I was worried about you'\I just think, I\'might have found a Clow Card'\Daidouji is absent\because of the Clow Card.\Tomoyo-chan, for the competition this time,\was practicing so hard for the solo she has at the beginning. response:	If she can't sing well,
context: I' I was worried about you'\I just think, I\'might have found a Clow Card'\Daidouji is absent\because of the Clow Card.\Tomoyo-chan, for the competition this time,\was practicing so hard for the solo she has at the beginning.\If she can't sing well, response:	The rest will be wasted.
context: I just think, I\'might have found a Clow Card'\Daidouji is absent\because of the Clow Card.\Tomoyo-chan, for the competition this time,\was practicing so hard for the solo she has at the beginning.\If she can't sing well,\The rest will be wasted. response:	It's not just about the competition.
context: 'might have found a Clow Card'\Daidouji is absent\because of the Clow Card.\Tomoyo-chan, for the competition this time,\was practicing so hard for the solo she has at the beginning.\If she can't sing well,\The rest will be wasted.\It's not just about the competition. response:	What if she loses her voice from now on?
context: Daidouji is absent\because of the Clow Card.\Tomoyo-chan, for the competition this time,\was practicing so hard for the solo she has at the beginning.\If she can't sing well,\The rest will be wasted.\It's not just about the competition.\What if she loses her voice from now on? response:	Tomoyo-chan!
context: because of the Clow Card.\Tomoyo-chan, for the competition this time,\was practicing so hard for the solo she has at the beginning.\If she can't sing well,\The rest will be wasted.\It's not just about the competition.\What if she loses her voice from now on?\Tomoyo-chan! response:	It's no use crying.
context: Tomoyo-chan, for the competition this time,\was practicing so hard for the solo she has at the beginning.\If she can't sing well,\The rest will be wasted.\It's not just about the competition.\What if she loses her voice from now on?\Tomoyo-chan!\It's no use crying. response:	You must think of a way to seal the Clow Card.
context: was practicing so hard for the solo she has at the beginning.\If she can't sing well,\The rest will be wasted.\It's not just about the competition.\What if she loses her voice from now on?\Tomoyo-chan!\It's no use crying.\You must think of a way to seal the Clow Card. response:	I'll think too.
context: If she can't sing well,\The rest will be wasted.\It's not just about the competition.\What if she loses her voice from now on?\Tomoyo-chan!\It's no use crying.\You must think of a way to seal the Clow Card.\I'll think too. response:	I' just' wanted to capture the card'
context: The rest will be wasted.\It's not just about the competition.\What if she loses her voice from now on?\Tomoyo-chan!\It's no use crying.\You must think of a way to seal the Clow Card.\I'll think too.\I' just' wanted to capture the card' response:	Thanks.
context: It's not just about the competition.\What if she loses her voice from now on?\Tomoyo-chan!\It's no use crying.\You must think of a way to seal the Clow Card.\I'll think too.\I' just' wanted to capture the card'\Thanks. response:	In' In the meantime, we should go visit Daidouji-san
context: What if she loses her voice from now on?\Tomoyo-chan!\It's no use crying.\You must think of a way to seal the Clow Card.\I'll think too.\I' just' wanted to capture the card'\Thanks.\In' In the meantime, we should go visit Daidouji-san response:	and see how things are going.
context: Tomoyo-chan!\It's no use crying.\You must think of a way to seal the Clow Card.\I'll think too.\I' just' wanted to capture the card'\Thanks.\In' In the meantime, we should go visit Daidouji-san\and see how things are going. response:	Li-kun! Tomoyo-chan's house is not that way!
context: It's no use crying.\You must think of a way to seal the Clow Card.\I'll think too.\I' just' wanted to capture the card'\Thanks.\In' In the meantime, we should go visit Daidouji-san\and see how things are going.\Li-kun! Tomoyo-chan's house is not that way! response:	How are you feeling?
context: You must think of a way to seal the Clow Card.\I'll think too.\I' just' wanted to capture the card'\Thanks.\In' In the meantime, we should go visit Daidouji-san\and see how things are going.\Li-kun! Tomoyo-chan's house is not that way!\How are you feeling? response:	You still can't speak, can you?
context: I'll think too.\I' just' wanted to capture the card'\Thanks.\In' In the meantime, we should go visit Daidouji-san\and see how things are going.\Li-kun! Tomoyo-chan's house is not that way!\How are you feeling?\You still can't speak, can you? response:	I'm sorry.
context: I' just' wanted to capture the card'\Thanks.\In' In the meantime, we should go visit Daidouji-san\and see how things are going.\Li-kun! Tomoyo-chan's house is not that way!\How are you feeling?\You still can't speak, can you?\I'm sorry. response:	It's all because I didn't notice it quickly enough.
context: Thanks.\In' In the meantime, we should go visit Daidouji-san\and see how things are going.\Li-kun! Tomoyo-chan's house is not that way!\How are you feeling?\You still can't speak, can you?\I'm sorry.\It's all because I didn't notice it quickly enough. response:	Tomoyo-chan!
context: In' In the meantime, we should go visit Daidouji-san\and see how things are going.\Li-kun! Tomoyo-chan's house is not that way!\How are you feeling?\You still can't speak, can you?\I'm sorry.\It's all because I didn't notice it quickly enough.\Tomoyo-chan! response:	I'll capture the card
context: and see how things are going.\Li-kun! Tomoyo-chan's house is not that way!\How are you feeling?\You still can't speak, can you?\I'm sorry.\It's all because I didn't notice it quickly enough.\Tomoyo-chan!\I'll capture the card response:	before the competition. I promise!
context: Li-kun! Tomoyo-chan's house is not that way!\How are you feeling?\You still can't speak, can you?\I'm sorry.\It's all because I didn't notice it quickly enough.\Tomoyo-chan!\I'll capture the card\before the competition. I promise! response:	Hello!
context: How are you feeling?\You still can't speak, can you?\I'm sorry.\It's all because I didn't notice it quickly enough.\Tomoyo-chan!\I'll capture the card\before the competition. I promise!\Hello! response:	Hello!
context: You still can't speak, can you?\I'm sorry.\It's all because I didn't notice it quickly enough.\Tomoyo-chan!\I'll capture the card\before the competition. I promise!\Hello!\Hello! response:	Oh, we haven't met before.
context: I'm sorry.\It's all because I didn't notice it quickly enough.\Tomoyo-chan!\I'll capture the card\before the competition. I promise!\Hello!\Hello!\Oh, we haven't met before. response:	I'm Shao Lan Li.
context: It's all because I didn't notice it quickly enough.\Tomoyo-chan!\I'll capture the card\before the competition. I promise!\Hello!\Hello!\Oh, we haven't met before.\I'm Shao Lan Li. response:	I'm Tomoyo's mother. Nice to meet you.
context: Tomoyo-chan!\I'll capture the card\before the competition. I promise!\Hello!\Hello!\Oh, we haven't met before.\I'm Shao Lan Li.\I'm Tomoyo's mother. Nice to meet you. response:	Oh, Sakura-chan, please sit.
context: I'll capture the card\before the competition. I promise!\Hello!\Hello!\Oh, we haven't met before.\I'm Shao Lan Li.\I'm Tomoyo's mother. Nice to meet you.\Oh, Sakura-chan, please sit. response:	Please let me help you.
context: before the competition. I promise!\Hello!\Hello!\Oh, we haven't met before.\I'm Shao Lan Li.\I'm Tomoyo's mother. Nice to meet you.\Oh, Sakura-chan, please sit.\Please let me help you. response:	Oh? Thanks.
context: Hello!\Hello!\Oh, we haven't met before.\I'm Shao Lan Li.\I'm Tomoyo's mother. Nice to meet you.\Oh, Sakura-chan, please sit.\Please let me help you.\Oh? Thanks. response:	Wh' Wha'
context: Hello!\Oh, we haven't met before.\I'm Shao Lan Li.\I'm Tomoyo's mother. Nice to meet you.\Oh, Sakura-chan, please sit.\Please let me help you.\Oh? Thanks.\Wh' Wha' response:	I' I'm not'
context: Oh, we haven't met before.\I'm Shao Lan Li.\I'm Tomoyo's mother. Nice to meet you.\Oh, Sakura-chan, please sit.\Please let me help you.\Oh? Thanks.\Wh' Wha'\I' I'm not' response:	What's wrong, Li?
context: I'm Shao Lan Li.\I'm Tomoyo's mother. Nice to meet you.\Oh, Sakura-chan, please sit.\Please let me help you.\Oh? Thanks.\Wh' Wha'\I' I'm not'\What's wrong, Li? response:	It's nothing.
context: I'm Tomoyo's mother. Nice to meet you.\Oh, Sakura-chan, please sit.\Please let me help you.\Oh? Thanks.\Wh' Wha'\I' I'm not'\What's wrong, Li?\It's nothing. response:	Did Kerberos mention anything
context: Oh, Sakura-chan, please sit.\Please let me help you.\Oh? Thanks.\Wh' Wha'\I' I'm not'\What's wrong, Li?\It's nothing.\Did Kerberos mention anything response:	about the Voice card?
context: Please let me help you.\Oh? Thanks.\Wh' Wha'\I' I'm not'\What's wrong, Li?\It's nothing.\Did Kerberos mention anything\about the Voice card? response:	He said,'The Voice card likes Tomoyo-chan's voice,
context: Oh? Thanks.\Wh' Wha'\I' I'm not'\What's wrong, Li?\It's nothing.\Did Kerberos mention anything\about the Voice card?\He said,'The Voice card likes Tomoyo-chan's voice, response:	so it took it, right?'
context: Wh' Wha'\I' I'm not'\What's wrong, Li?\It's nothing.\Did Kerberos mention anything\about the Voice card?\He said,'The Voice card likes Tomoyo-chan's voice,\so it took it, right?' response:	It's not nearby.
context: I' I'm not'\What's wrong, Li?\It's nothing.\Did Kerberos mention anything\about the Voice card?\He said,'The Voice card likes Tomoyo-chan's voice,\so it took it, right?'\It's not nearby. response:	He said Voice is not going to stop
context: What's wrong, Li?\It's nothing.\Did Kerberos mention anything\about the Voice card?\He said,'The Voice card likes Tomoyo-chan's voice,\so it took it, right?'\It's not nearby.\He said Voice is not going to stop response:	until it finishes collecting all the voices it likes.
context: It's nothing.\Did Kerberos mention anything\about the Voice card?\He said,'The Voice card likes Tomoyo-chan's voice,\so it took it, right?'\It's not nearby.\He said Voice is not going to stop\until it finishes collecting all the voices it likes. response:	Said it'll also hide from those whose voices are taken
context: Did Kerberos mention anything\about the Voice card?\He said,'The Voice card likes Tomoyo-chan's voice,\so it took it, right?'\It's not nearby.\He said Voice is not going to stop\until it finishes collecting all the voices it likes.\Said it'll also hide from those whose voices are taken response:	so that they can't get them back.
context: about the Voice card?\He said,'The Voice card likes Tomoyo-chan's voice,\so it took it, right?'\It's not nearby.\He said Voice is not going to stop\until it finishes collecting all the voices it likes.\Said it'll also hide from those whose voices are taken\so that they can't get them back. response:	So if we want to seal Voice,
context: He said,'The Voice card likes Tomoyo-chan's voice,\so it took it, right?'\It's not nearby.\He said Voice is not going to stop\until it finishes collecting all the voices it likes.\Said it'll also hide from those whose voices are taken\so that they can't get them back.\So if we want to seal Voice, response:	we must find it first.
context: so it took it, right?'\It's not nearby.\He said Voice is not going to stop\until it finishes collecting all the voices it likes.\Said it'll also hide from those whose voices are taken\so that they can't get them back.\So if we want to seal Voice,\we must find it first. response:	I have no idea at all
context: It's not nearby.\He said Voice is not going to stop\until it finishes collecting all the voices it likes.\Said it'll also hide from those whose voices are taken\so that they can't get them back.\So if we want to seal Voice,\we must find it first.\I have no idea at all response:	how to search for Voice!
context: He said Voice is not going to stop\until it finishes collecting all the voices it likes.\Said it'll also hide from those whose voices are taken\so that they can't get them back.\So if we want to seal Voice,\we must find it first.\I have no idea at all\how to search for Voice! response:	Compare to me, you must be feeling even more terrible.
context: until it finishes collecting all the voices it likes.\Said it'll also hide from those whose voices are taken\so that they can't get them back.\So if we want to seal Voice,\we must find it first.\I have no idea at all\how to search for Voice!\Compare to me, you must be feeling even more terrible. response:	This is the second time for you!
context: Said it'll also hide from those whose voices are taken\so that they can't get them back.\So if we want to seal Voice,\we must find it first.\I have no idea at all\how to search for Voice!\Compare to me, you must be feeling even more terrible.\This is the second time for you! response:	It's always you Tomoyo-chan.
context: so that they can't get them back.\So if we want to seal Voice,\we must find it first.\I have no idea at all\how to search for Voice!\Compare to me, you must be feeling even more terrible.\This is the second time for you!\It's always you Tomoyo-chan. response:	Last time I got you involved
context: So if we want to seal Voice,\we must find it first.\I have no idea at all\how to search for Voice!\Compare to me, you must be feeling even more terrible.\This is the second time for you!\It's always you Tomoyo-chan.\Last time I got you involved response:	in the Song card too!
context: we must find it first.\I have no idea at all\how to search for Voice!\Compare to me, you must be feeling even more terrible.\This is the second time for you!\It's always you Tomoyo-chan.\Last time I got you involved\in the Song card too! response:	Song!
context: I have no idea at all\how to search for Voice!\Compare to me, you must be feeling even more terrible.\This is the second time for you!\It's always you Tomoyo-chan.\Last time I got you involved\in the Song card too!\Song! response:	We can use Song!
context: how to search for Voice!\Compare to me, you must be feeling even more terrible.\This is the second time for you!\It's always you Tomoyo-chan.\Last time I got you involved\in the Song card too!\Song!\We can use Song! response:	That card has copied Daidouji's voice, right?
context: Compare to me, you must be feeling even more terrible.\This is the second time for you!\It's always you Tomoyo-chan.\Last time I got you involved\in the Song card too!\Song!\We can use Song!\That card has copied Daidouji's voice, right? response:	If Voice could
context: This is the second time for you!\It's always you Tomoyo-chan.\Last time I got you involved\in the Song card too!\Song!\We can use Song!\That card has copied Daidouji's voice, right?\If Voice could response:	hear the voice
context: It's always you Tomoyo-chan.\Last time I got you involved\in the Song card too!\Song!\We can use Song!\That card has copied Daidouji's voice, right?\If Voice could\hear the voice response:	it has stolen coming from somewhere'
context: Last time I got you involved\in the Song card too!\Song!\We can use Song!\That card has copied Daidouji's voice, right?\If Voice could\hear the voice\it has stolen coming from somewhere' response:	It might come out to steal it again!
context: in the Song card too!\Song!\We can use Song!\That card has copied Daidouji's voice, right?\If Voice could\hear the voice\it has stolen coming from somewhere'\It might come out to steal it again! response:	Deliver the most supreme singing voice!
context: Song!\We can use Song!\That card has copied Daidouji's voice, right?\If Voice could\hear the voice\it has stolen coming from somewhere'\It might come out to steal it again!\Deliver the most supreme singing voice! response:	Song!
context: We can use Song!\That card has copied Daidouji's voice, right?\If Voice could\hear the voice\it has stolen coming from somewhere'\It might come out to steal it again!\Deliver the most supreme singing voice!\Song! response:	All right!
context: That card has copied Daidouji's voice, right?\If Voice could\hear the voice\it has stolen coming from somewhere'\It might come out to steal it again!\Deliver the most supreme singing voice!\Song!\All right! response:	Return to thy form which thou should be!
context: If Voice could\hear the voice\it has stolen coming from somewhere'\It might come out to steal it again!\Deliver the most supreme singing voice!\Song!\All right!\Return to thy form which thou should be! response:	Clow Card!
context: hear the voice\it has stolen coming from somewhere'\It might come out to steal it again!\Deliver the most supreme singing voice!\Song!\All right!\Return to thy form which thou should be!\Clow Card! response:	Tomoyo-chan!
context: it has stolen coming from somewhere'\It might come out to steal it again!\Deliver the most supreme singing voice!\Song!\All right!\Return to thy form which thou should be!\Clow Card!\Tomoyo-chan! response:	Sakura-chan'
context: It might come out to steal it again!\Deliver the most supreme singing voice!\Song!\All right!\Return to thy form which thou should be!\Clow Card!\Tomoyo-chan!\Sakura-chan' response:	Thank goodness! Thank goodness!
context: Deliver the most supreme singing voice!\Song!\All right!\Return to thy form which thou should be!\Clow Card!\Tomoyo-chan!\Sakura-chan'\Thank goodness! Thank goodness! response:	Thank you very, very much.
context: Song!\All right!\Return to thy form which thou should be!\Clow Card!\Tomoyo-chan!\Sakura-chan'\Thank goodness! Thank goodness!\Thank you very, very much. response:	Next is the Tomoeda Elementary School Choir.
context: All right!\Return to thy form which thou should be!\Clow Card!\Tomoyo-chan!\Sakura-chan'\Thank goodness! Thank goodness!\Thank you very, very much.\Next is the Tomoeda Elementary School Choir. response:	Tomoyo-chan has a solo, you know?
context: Return to thy form which thou should be!\Clow Card!\Tomoyo-chan!\Sakura-chan'\Thank goodness! Thank goodness!\Thank you very, very much.\Next is the Tomoeda Elementary School Choir.\Tomoyo-chan has a solo, you know? response:	I can't wait!
context: Clow Card!\Tomoyo-chan!\Sakura-chan'\Thank goodness! Thank goodness!\Thank you very, very much.\Next is the Tomoeda Elementary School Choir.\Tomoyo-chan has a solo, you know?\I can't wait! response:	When it comes to singing, Daidouji-san is my only rival.
context: Tomoyo-chan!\Sakura-chan'\Thank goodness! Thank goodness!\Thank you very, very much.\Next is the Tomoeda Elementary School Choir.\Tomoyo-chan has a solo, you know?\I can't wait!\When it comes to singing, Daidouji-san is my only rival. response:	So there's no way she can lose.
context: Sakura-chan'\Thank goodness! Thank goodness!\Thank you very, very much.\Next is the Tomoeda Elementary School Choir.\Tomoyo-chan has a solo, you know?\I can't wait!\When it comes to singing, Daidouji-san is my only rival.\So there's no way she can lose. response:	Where's Sakura-san?
context: Thank goodness! Thank goodness!\Thank you very, very much.\Next is the Tomoeda Elementary School Choir.\Tomoyo-chan has a solo, you know?\I can't wait!\When it comes to singing, Daidouji-san is my only rival.\So there's no way she can lose.\Where's Sakura-san? response:	I'll cheer for you with all I have!
context: Thank you very, very much.\Next is the Tomoeda Elementary School Choir.\Tomoyo-chan has a solo, you know?\I can't wait!\When it comes to singing, Daidouji-san is my only rival.\So there's no way she can lose.\Where's Sakura-san?\I'll cheer for you with all I have! response:	Because you went through all that trouble
context: Next is the Tomoeda Elementary School Choir.\Tomoyo-chan has a solo, you know?\I can't wait!\When it comes to singing, Daidouji-san is my only rival.\So there's no way she can lose.\Where's Sakura-san?\I'll cheer for you with all I have!\Because you went through all that trouble response:	to bring me back my voice,
context: Tomoyo-chan has a solo, you know?\I can't wait!\When it comes to singing, Daidouji-san is my only rival.\So there's no way she can lose.\Where's Sakura-san?\I'll cheer for you with all I have!\Because you went through all that trouble\to bring me back my voice, response:	I'll do my very best.
context: I can't wait!\When it comes to singing, Daidouji-san is my only rival.\So there's no way she can lose.\Where's Sakura-san?\I'll cheer for you with all I have!\Because you went through all that trouble\to bring me back my voice,\I'll do my very best. response:	Next is the
context: When it comes to singing, Daidouji-san is my only rival.\So there's no way she can lose.\Where's Sakura-san?\I'll cheer for you with all I have!\Because you went through all that trouble\to bring me back my voice,\I'll do my very best.\Next is the response:	Tomoeda Elementary School Choir.
context: So there's no way she can lose.\Where's Sakura-san?\I'll cheer for you with all I have!\Because you went through all that trouble\to bring me back my voice,\I'll do my very best.\Next is the\Tomoeda Elementary School Choir. response:	I will sing from the bottom of my heart.
context: Where's Sakura-san?\I'll cheer for you with all I have!\Because you went through all that trouble\to bring me back my voice,\I'll do my very best.\Next is the\Tomoeda Elementary School Choir.\I will sing from the bottom of my heart. response:	Because I am dedicating this song to you.
context: I'll cheer for you with all I have!\Because you went through all that trouble\to bring me back my voice,\I'll do my very best.\Next is the\Tomoeda Elementary School Choir.\I will sing from the bottom of my heart.\Because I am dedicating this song to you. response:	Please go listen to it.
context: Because you went through all that trouble\to bring me back my voice,\I'll do my very best.\Next is the\Tomoeda Elementary School Choir.\I will sing from the bottom of my heart.\Because I am dedicating this song to you.\Please go listen to it. response:	=Sunshine dances between the clouds,=
context: to bring me back my voice,\I'll do my very best.\Next is the\Tomoeda Elementary School Choir.\I will sing from the bottom of my heart.\Because I am dedicating this song to you.\Please go listen to it.\=Sunshine dances between the clouds,= response:	=and pours into the plains'=
context: I'll do my very best.\Next is the\Tomoeda Elementary School Choir.\I will sing from the bottom of my heart.\Because I am dedicating this song to you.\Please go listen to it.\=Sunshine dances between the clouds,=\=and pours into the plains'= response:	=The season has just begun.=
