context: The Unmovable Sovereign, Ozen the Immovable. response:	This irredeemable lesson of hers is a trial before setting off anew...
context: What's the matter, Ozen?\You giving up already?\This is amazing, Ozen! A whole field of Flowers of Fortitude!\It doesn't even feel like we're in the middle of the netherworld!\This is Torka from my squad.\I got married to him!\Sorry, Ozen...\Do you mind giving me a bit of time alone? response:	How incredibly maddening.
context: You giving up already?\This is amazing, Ozen! A whole field of Flowers of Fortitude!\It doesn't even feel like we're in the middle of the netherworld!\This is Torka from my squad.\I got married to him!\Sorry, Ozen...\Do you mind giving me a bit of time alone?\How incredibly maddening. response:	To think that no sooner than Torka quickly passed away...
context: This is amazing, Ozen! A whole field of Flowers of Fortitude!\It doesn't even feel like we're in the middle of the netherworld!\This is Torka from my squad.\I got married to him!\Sorry, Ozen...\Do you mind giving me a bit of time alone?\How incredibly maddening.\To think that no sooner than Torka quickly passed away... response:	even the baby was stillborn...
context: It doesn't even feel like we're in the middle of the netherworld!\This is Torka from my squad.\I got married to him!\Sorry, Ozen...\Do you mind giving me a bit of time alone?\How incredibly maddening.\To think that no sooner than Torka quickly passed away...\even the baby was stillborn... response:	That's some nerve to leave the delivery to me...
context: This is Torka from my squad.\I got married to him!\Sorry, Ozen...\Do you mind giving me a bit of time alone?\How incredibly maddening.\To think that no sooner than Torka quickly passed away...\even the baby was stillborn...\That's some nerve to leave the delivery to me... response:	That dumb face and you come along, and just when Lyza had finally mellowed out, she gets treated like this?
context: I got married to him!\Sorry, Ozen...\Do you mind giving me a bit of time alone?\How incredibly maddening.\To think that no sooner than Torka quickly passed away...\even the baby was stillborn...\That's some nerve to leave the delivery to me...\That dumb face and you come along, and just when Lyza had finally mellowed out, she gets treated like this? response:	How maddening...
context: Sorry, Ozen...\Do you mind giving me a bit of time alone?\How incredibly maddening.\To think that no sooner than Torka quickly passed away...\even the baby was stillborn...\That's some nerve to leave the delivery to me...\That dumb face and you come along, and just when Lyza had finally mellowed out, she gets treated like this?\How maddening... response:	I didn't want to see Lyza in such a state.
context: Do you mind giving me a bit of time alone?\How incredibly maddening.\To think that no sooner than Torka quickly passed away...\even the baby was stillborn...\That's some nerve to leave the delivery to me...\That dumb face and you come along, and just when Lyza had finally mellowed out, she gets treated like this?\How maddening...\I didn't want to see Lyza in such a state. response:	I don't have much strength left.
context: How incredibly maddening.\To think that no sooner than Torka quickly passed away...\even the baby was stillborn...\That's some nerve to leave the delivery to me...\That dumb face and you come along, and just when Lyza had finally mellowed out, she gets treated like this?\How maddening...\I didn't want to see Lyza in such a state.\I don't have much strength left. response:	Perhaps I'll just leave this thing behind here and carry the Bell up with Lyza...
context: To think that no sooner than Torka quickly passed away...\even the baby was stillborn...\That's some nerve to leave the delivery to me...\That dumb face and you come along, and just when Lyza had finally mellowed out, she gets treated like this?\How maddening...\I didn't want to see Lyza in such a state.\I don't have much strength left.\Perhaps I'll just leave this thing behind here and carry the Bell up with Lyza... response:	Good grief, I've taken on another burden now...
context: even the baby was stillborn...\That's some nerve to leave the delivery to me...\That dumb face and you come along, and just when Lyza had finally mellowed out, she gets treated like this?\How maddening...\I didn't want to see Lyza in such a state.\I don't have much strength left.\Perhaps I'll just leave this thing behind here and carry the Bell up with Lyza...\Good grief, I've taken on another burden now... response:	Just relax...
context: That's some nerve to leave the delivery to me...\That dumb face and you come along, and just when Lyza had finally mellowed out, she gets treated like this?\How maddening...\I didn't want to see Lyza in such a state.\I don't have much strength left.\Perhaps I'll just leave this thing behind here and carry the Bell up with Lyza...\Good grief, I've taken on another burden now...\Just relax... response:	I have a strong sense of duty.
context: That dumb face and you come along, and just when Lyza had finally mellowed out, she gets treated like this?\How maddening...\I didn't want to see Lyza in such a state.\I don't have much strength left.\Perhaps I'll just leave this thing behind here and carry the Bell up with Lyza...\Good grief, I've taken on another burden now...\Just relax...\I have a strong sense of duty. response:	This is pretty good!
context: How maddening...\I didn't want to see Lyza in such a state.\I don't have much strength left.\Perhaps I'll just leave this thing behind here and carry the Bell up with Lyza...\Good grief, I've taken on another burden now...\Just relax...\I have a strong sense of duty.\This is pretty good! response:	With this we should be able to make it through the remaining five days!
context: I didn't want to see Lyza in such a state.\I don't have much strength left.\Perhaps I'll just leave this thing behind here and carry the Bell up with Lyza...\Good grief, I've taken on another burden now...\Just relax...\I have a strong sense of duty.\This is pretty good!\With this we should be able to make it through the remaining five days! response:	Yeah.
context: I don't have much strength left.\Perhaps I'll just leave this thing behind here and carry the Bell up with Lyza...\Good grief, I've taken on another burden now...\Just relax...\I have a strong sense of duty.\This is pretty good!\With this we should be able to make it through the remaining five days!\Yeah. response:	Are you alright, Riko?
context: Perhaps I'll just leave this thing behind here and carry the Bell up with Lyza...\Good grief, I've taken on another burden now...\Just relax...\I have a strong sense of duty.\This is pretty good!\With this we should be able to make it through the remaining five days!\Yeah.\Are you alright, Riko? response:	Yeah...
context: Good grief, I've taken on another burden now...\Just relax...\I have a strong sense of duty.\This is pretty good!\With this we should be able to make it through the remaining five days!\Yeah.\Are you alright, Riko?\Yeah... response:	Somehow... it feels like ages since we were here...
context: Just relax...\I have a strong sense of duty.\This is pretty good!\With this we should be able to make it through the remaining five days!\Yeah.\Are you alright, Riko?\Yeah...\Somehow... it feels like ages since we were here... response:	It's actually been 10 days.
context: I have a strong sense of duty.\This is pretty good!\With this we should be able to make it through the remaining five days!\Yeah.\Are you alright, Riko?\Yeah...\Somehow... it feels like ages since we were here...\It's actually been 10 days. response:	Good work out there.
context: This is pretty good!\With this we should be able to make it through the remaining five days!\Yeah.\Are you alright, Riko?\Yeah...\Somehow... it feels like ages since we were here...\It's actually been 10 days.\Good work out there. response:	Both of you are quite amazing.
context: With this we should be able to make it through the remaining five days!\Yeah.\Are you alright, Riko?\Yeah...\Somehow... it feels like ages since we were here...\It's actually been 10 days.\Good work out there.\Both of you are quite amazing. response:	Personally, I started crying right away...
context: Yeah.\Are you alright, Riko?\Yeah...\Somehow... it feels like ages since we were here...\It's actually been 10 days.\Good work out there.\Both of you are quite amazing.\Personally, I started crying right away... response:	Any further out than the Seeker Camp and it's almost completely dark...
context: Are you alright, Riko?\Yeah...\Somehow... it feels like ages since we were here...\It's actually been 10 days.\Good work out there.\Both of you are quite amazing.\Personally, I started crying right away...\Any further out than the Seeker Camp and it's almost completely dark... response:	and Master left and went back home by herself somewhere along the way...
context: Yeah...\Somehow... it feels like ages since we were here...\It's actually been 10 days.\Good work out there.\Both of you are quite amazing.\Personally, I started crying right away...\Any further out than the Seeker Camp and it's almost completely dark...\and Master left and went back home by herself somewhere along the way... response:	Marulk, you know, even I...
context: Somehow... it feels like ages since we were here...\It's actually been 10 days.\Good work out there.\Both of you are quite amazing.\Personally, I started crying right away...\Any further out than the Seeker Camp and it's almost completely dark...\and Master left and went back home by herself somewhere along the way...\Marulk, you know, even I... response:	Near the end when I got separated from Riko, I was feeling so hopeless...
context: It's actually been 10 days.\Good work out there.\Both of you are quite amazing.\Personally, I started crying right away...\Any further out than the Seeker Camp and it's almost completely dark...\and Master left and went back home by herself somewhere along the way...\Marulk, you know, even I...\Near the end when I got separated from Riko, I was feeling so hopeless... response:	Really?!
context: Good work out there.\Both of you are quite amazing.\Personally, I started crying right away...\Any further out than the Seeker Camp and it's almost completely dark...\and Master left and went back home by herself somewhere along the way...\Marulk, you know, even I...\Near the end when I got separated from Riko, I was feeling so hopeless...\Really?! response:	Absolutely.
context: Both of you are quite amazing.\Personally, I started crying right away...\Any further out than the Seeker Camp and it's almost completely dark...\and Master left and went back home by herself somewhere along the way...\Marulk, you know, even I...\Near the end when I got separated from Riko, I was feeling so hopeless...\Really?!\Absolutely. response:	Reg, so that happens to even you, huh?
context: Personally, I started crying right away...\Any further out than the Seeker Camp and it's almost completely dark...\and Master left and went back home by herself somewhere along the way...\Marulk, you know, even I...\Near the end when I got separated from Riko, I was feeling so hopeless...\Really?!\Absolutely.\Reg, so that happens to even you, huh? response:	That makes me feel a bit better.
context: Any further out than the Seeker Camp and it's almost completely dark...\and Master left and went back home by herself somewhere along the way...\Marulk, you know, even I...\Near the end when I got separated from Riko, I was feeling so hopeless...\Really?!\Absolutely.\Reg, so that happens to even you, huh?\That makes me feel a bit better. response:	Are you hungry? I'll bring you something to eat!
context: and Master left and went back home by herself somewhere along the way...\Marulk, you know, even I...\Near the end when I got separated from Riko, I was feeling so hopeless...\Really?!\Absolutely.\Reg, so that happens to even you, huh?\That makes me feel a bit better.\Are you hungry? I'll bring you something to eat! response:	So it's already been ten days, huh?
context: Marulk, you know, even I...\Near the end when I got separated from Riko, I was feeling so hopeless...\Really?!\Absolutely.\Reg, so that happens to even you, huh?\That makes me feel a bit better.\Are you hungry? I'll bring you something to eat!\So it's already been ten days, huh? response:	Now that I think about it, the pain I was feeling from Ozen's thrashing is gone now.
context: Near the end when I got separated from Riko, I was feeling so hopeless...\Really?!\Absolutely.\Reg, so that happens to even you, huh?\That makes me feel a bit better.\Are you hungry? I'll bring you something to eat!\So it's already been ten days, huh?\Now that I think about it, the pain I was feeling from Ozen's thrashing is gone now. response:	I wonder if the Riko Hodgepodge Stew did the trick...
context: Really?!\Absolutely.\Reg, so that happens to even you, huh?\That makes me feel a bit better.\Are you hungry? I'll bring you something to eat!\So it's already been ten days, huh?\Now that I think about it, the pain I was feeling from Ozen's thrashing is gone now.\I wonder if the Riko Hodgepodge Stew did the trick... response:	Alright!
context: Absolutely.\Reg, so that happens to even you, huh?\That makes me feel a bit better.\Are you hungry? I'll bring you something to eat!\So it's already been ten days, huh?\Now that I think about it, the pain I was feeling from Ozen's thrashing is gone now.\I wonder if the Riko Hodgepodge Stew did the trick...\Alright! response:	My rehabilitation is complete!
context: Reg, so that happens to even you, huh?\That makes me feel a bit better.\Are you hungry? I'll bring you something to eat!\So it's already been ten days, huh?\Now that I think about it, the pain I was feeling from Ozen's thrashing is gone now.\I wonder if the Riko Hodgepodge Stew did the trick...\Alright!\My rehabilitation is complete! response:	This pattern...
context: That makes me feel a bit better.\Are you hungry? I'll bring you something to eat!\So it's already been ten days, huh?\Now that I think about it, the pain I was feeling from Ozen's thrashing is gone now.\I wonder if the Riko Hodgepodge Stew did the trick...\Alright!\My rehabilitation is complete!\This pattern... response:	Was it always like that...?
context: Are you hungry? I'll bring you something to eat!\So it's already been ten days, huh?\Now that I think about it, the pain I was feeling from Ozen's thrashing is gone now.\I wonder if the Riko Hodgepodge Stew did the trick...\Alright!\My rehabilitation is complete!\This pattern...\Was it always like that...? response:	What does it mean, anyway?
context: So it's already been ten days, huh?\Now that I think about it, the pain I was feeling from Ozen's thrashing is gone now.\I wonder if the Riko Hodgepodge Stew did the trick...\Alright!\My rehabilitation is complete!\This pattern...\Was it always like that...?\What does it mean, anyway? response:	At any rate...
context: Now that I think about it, the pain I was feeling from Ozen's thrashing is gone now.\I wonder if the Riko Hodgepodge Stew did the trick...\Alright!\My rehabilitation is complete!\This pattern...\Was it always like that...?\What does it mean, anyway?\At any rate... response:	seems I never put on any muscle...
context: I wonder if the Riko Hodgepodge Stew did the trick...\Alright!\My rehabilitation is complete!\This pattern...\Was it always like that...?\What does it mean, anyway?\At any rate...\seems I never put on any muscle... response:	Reg! Riko!
context: Alright!\My rehabilitation is complete!\This pattern...\Was it always like that...?\What does it mean, anyway?\At any rate...\seems I never put on any muscle...\Reg! Riko! response:	Master is saying that now that you're back, we should all have a meal.
context: My rehabilitation is complete!\This pattern...\Was it always like that...?\What does it mean, anyway?\At any rate...\seems I never put on any muscle...\Reg! Riko!\Master is saying that now that you're back, we should all have a meal. response:	Food!
context: This pattern...\Was it always like that...?\What does it mean, anyway?\At any rate...\seems I never put on any muscle...\Reg! Riko!\Master is saying that now that you're back, we should all have a meal.\Food! response:	So how was it?
context: Was it always like that...?\What does it mean, anyway?\At any rate...\seems I never put on any muscle...\Reg! Riko!\Master is saying that now that you're back, we should all have a meal.\Food!\So how was it? response:	Spending 10 days there, I mean.
context: What does it mean, anyway?\At any rate...\seems I never put on any muscle...\Reg! Riko!\Master is saying that now that you're back, we should all have a meal.\Food!\So how was it?\Spending 10 days there, I mean. response:	It was pretty hectic, wasn't it?
context: At any rate...\seems I never put on any muscle...\Reg! Riko!\Master is saying that now that you're back, we should all have a meal.\Food!\So how was it?\Spending 10 days there, I mean.\It was pretty hectic, wasn't it? response:	That's right...
context: seems I never put on any muscle...\Reg! Riko!\Master is saying that now that you're back, we should all have a meal.\Food!\So how was it?\Spending 10 days there, I mean.\It was pretty hectic, wasn't it?\That's right... response:	Looking back at it now, it feels like it was over in the blink of an eye.
context: Reg! Riko!\Master is saying that now that you're back, we should all have a meal.\Food!\So how was it?\Spending 10 days there, I mean.\It was pretty hectic, wasn't it?\That's right...\Looking back at it now, it feels like it was over in the blink of an eye. response:	Don't stay in the deep layers if you don't want to kill those who're waiting for you...
context: Master is saying that now that you're back, we should all have a meal.\Food!\So how was it?\Spending 10 days there, I mean.\It was pretty hectic, wasn't it?\That's right...\Looking back at it now, it feels like it was over in the blink of an eye.\Don't stay in the deep layers if you don't want to kill those who're waiting for you... response:	There's an old saying like that, you see.
context: Food!\So how was it?\Spending 10 days there, I mean.\It was pretty hectic, wasn't it?\That's right...\Looking back at it now, it feels like it was over in the blink of an eye.\Don't stay in the deep layers if you don't want to kill those who're waiting for you...\There's an old saying like that, you see. response:	What does it mean?
context: So how was it?\Spending 10 days there, I mean.\It was pretty hectic, wasn't it?\That's right...\Looking back at it now, it feels like it was over in the blink of an eye.\Don't stay in the deep layers if you don't want to kill those who're waiting for you...\There's an old saying like that, you see.\What does it mean? response:	One's sense of time goes mad.
context: Spending 10 days there, I mean.\It was pretty hectic, wasn't it?\That's right...\Looking back at it now, it feels like it was over in the blink of an eye.\Don't stay in the deep layers if you don't want to kill those who're waiting for you...\There's an old saying like that, you see.\What does it mean?\One's sense of time goes mad. response:	It's particularly striking in the depths of the fifth layer.
context: It was pretty hectic, wasn't it?\That's right...\Looking back at it now, it feels like it was over in the blink of an eye.\Don't stay in the deep layers if you don't want to kill those who're waiting for you...\There's an old saying like that, you see.\What does it mean?\One's sense of time goes mad.\It's particularly striking in the depths of the fifth layer. response:	I had intended to stay down there a few weeks,
context: That's right...\Looking back at it now, it feels like it was over in the blink of an eye.\Don't stay in the deep layers if you don't want to kill those who're waiting for you...\There's an old saying like that, you see.\What does it mean?\One's sense of time goes mad.\It's particularly striking in the depths of the fifth layer.\I had intended to stay down there a few weeks, response:	but when I returned to the surface, a few months had passed.
context: Looking back at it now, it feels like it was over in the blink of an eye.\Don't stay in the deep layers if you don't want to kill those who're waiting for you...\There's an old saying like that, you see.\What does it mean?\One's sense of time goes mad.\It's particularly striking in the depths of the fifth layer.\I had intended to stay down there a few weeks,\but when I returned to the surface, a few months had passed. response:	Such occurrences are common...
context: Don't stay in the deep layers if you don't want to kill those who're waiting for you...\There's an old saying like that, you see.\What does it mean?\One's sense of time goes mad.\It's particularly striking in the depths of the fifth layer.\I had intended to stay down there a few weeks,\but when I returned to the surface, a few months had passed.\Such occurrences are common... response:	So that rumor...
context: There's an old saying like that, you see.\What does it mean?\One's sense of time goes mad.\It's particularly striking in the depths of the fifth layer.\I had intended to stay down there a few weeks,\but when I returned to the surface, a few months had passed.\Such occurrences are common...\So that rumor... response:	is true, then!
context: What does it mean?\One's sense of time goes mad.\It's particularly striking in the depths of the fifth layer.\I had intended to stay down there a few weeks,\but when I returned to the surface, a few months had passed.\Such occurrences are common...\So that rumor...\is true, then! response:	It's no rumor. I'm telling you flat out.
context: One's sense of time goes mad.\It's particularly striking in the depths of the fifth layer.\I had intended to stay down there a few weeks,\but when I returned to the surface, a few months had passed.\Such occurrences are common...\So that rumor...\is true, then!\It's no rumor. I'm telling you flat out. response:	Well, only those with strange tastes -
context: It's particularly striking in the depths of the fifth layer.\I had intended to stay down there a few weeks,\but when I returned to the surface, a few months had passed.\Such occurrences are common...\So that rumor...\is true, then!\It's no rumor. I'm telling you flat out.\Well, only those with strange tastes - response:	basically just us White Whistles - would try living in the deep layers.
context: I had intended to stay down there a few weeks,\but when I returned to the surface, a few months had passed.\Such occurrences are common...\So that rumor...\is true, then!\It's no rumor. I'm telling you flat out.\Well, only those with strange tastes -\basically just us White Whistles - would try living in the deep layers. response:	That saying I mentioned that if you stay there for a really long time,
context: but when I returned to the surface, a few months had passed.\Such occurrences are common...\So that rumor...\is true, then!\It's no rumor. I'm telling you flat out.\Well, only those with strange tastes -\basically just us White Whistles - would try living in the deep layers.\That saying I mentioned that if you stay there for a really long time, response:	everyone who's waiting for you will probably die, is somewhat of an exaggeration.
context: Such occurrences are common...\So that rumor...\is true, then!\It's no rumor. I'm telling you flat out.\Well, only those with strange tastes -\basically just us White Whistles - would try living in the deep layers.\That saying I mentioned that if you stay there for a really long time,\everyone who's waiting for you will probably die, is somewhat of an exaggeration. response:	Still, you probably think it has nothing to do with you since you're making a journey of no return...
context: So that rumor...\is true, then!\It's no rumor. I'm telling you flat out.\Well, only those with strange tastes -\basically just us White Whistles - would try living in the deep layers.\That saying I mentioned that if you stay there for a really long time,\everyone who's waiting for you will probably die, is somewhat of an exaggeration.\Still, you probably think it has nothing to do with you since you're making a journey of no return... response:	But the problem is that we can't even estimate the extent
context: is true, then!\It's no rumor. I'm telling you flat out.\Well, only those with strange tastes -\basically just us White Whistles - would try living in the deep layers.\That saying I mentioned that if you stay there for a really long time,\everyone who's waiting for you will probably die, is somewhat of an exaggeration.\Still, you probably think it has nothing to do with you since you're making a journey of no return...\But the problem is that we can't even estimate the extent response:	to which this madness manifests in the sixth and seventh layers.
context: It's no rumor. I'm telling you flat out.\Well, only those with strange tastes -\basically just us White Whistles - would try living in the deep layers.\That saying I mentioned that if you stay there for a really long time,\everyone who's waiting for you will probably die, is somewhat of an exaggeration.\Still, you probably think it has nothing to do with you since you're making a journey of no return...\But the problem is that we can't even estimate the extent\to which this madness manifests in the sixth and seventh layers. response:	I have a feeling that perhaps not as much time as we all think has actually passed for Lyza.
context: Well, only those with strange tastes -\basically just us White Whistles - would try living in the deep layers.\That saying I mentioned that if you stay there for a really long time,\everyone who's waiting for you will probably die, is somewhat of an exaggeration.\Still, you probably think it has nothing to do with you since you're making a journey of no return...\But the problem is that we can't even estimate the extent\to which this madness manifests in the sixth and seventh layers.\I have a feeling that perhaps not as much time as we all think has actually passed for Lyza. response:	Ten years on the surface...
context: basically just us White Whistles - would try living in the deep layers.\That saying I mentioned that if you stay there for a really long time,\everyone who's waiting for you will probably die, is somewhat of an exaggeration.\Still, you probably think it has nothing to do with you since you're making a journey of no return...\But the problem is that we can't even estimate the extent\to which this madness manifests in the sixth and seventh layers.\I have a feeling that perhaps not as much time as we all think has actually passed for Lyza.\Ten years on the surface... response:	But if we assume that only a few years have passed at the bottom of the netherworld,
context: That saying I mentioned that if you stay there for a really long time,\everyone who's waiting for you will probably die, is somewhat of an exaggeration.\Still, you probably think it has nothing to do with you since you're making a journey of no return...\But the problem is that we can't even estimate the extent\to which this madness manifests in the sixth and seventh layers.\I have a feeling that perhaps not as much time as we all think has actually passed for Lyza.\Ten years on the surface...\But if we assume that only a few years have passed at the bottom of the netherworld, response:	don't you get the feeling there's a very good chance she's alive and well?
context: everyone who's waiting for you will probably die, is somewhat of an exaggeration.\Still, you probably think it has nothing to do with you since you're making a journey of no return...\But the problem is that we can't even estimate the extent\to which this madness manifests in the sixth and seventh layers.\I have a feeling that perhaps not as much time as we all think has actually passed for Lyza.\Ten years on the surface...\But if we assume that only a few years have passed at the bottom of the netherworld,\don't you get the feeling there's a very good chance she's alive and well? response:	Ozen...
context: Still, you probably think it has nothing to do with you since you're making a journey of no return...\But the problem is that we can't even estimate the extent\to which this madness manifests in the sixth and seventh layers.\I have a feeling that perhaps not as much time as we all think has actually passed for Lyza.\Ten years on the surface...\But if we assume that only a few years have passed at the bottom of the netherworld,\don't you get the feeling there's a very good chance she's alive and well?\Ozen... response:	Ozen!
context: But the problem is that we can't even estimate the extent\to which this madness manifests in the sixth and seventh layers.\I have a feeling that perhaps not as much time as we all think has actually passed for Lyza.\Ten years on the surface...\But if we assume that only a few years have passed at the bottom of the netherworld,\don't you get the feeling there's a very good chance she's alive and well?\Ozen...\Ozen! response:	Well, even so, you should do your best not to stay in the fifth layer for long.
context: to which this madness manifests in the sixth and seventh layers.\I have a feeling that perhaps not as much time as we all think has actually passed for Lyza.\Ten years on the surface...\But if we assume that only a few years have passed at the bottom of the netherworld,\don't you get the feeling there's a very good chance she's alive and well?\Ozen...\Ozen!\Well, even so, you should do your best not to stay in the fifth layer for long. response:	And why would that be?
context: I have a feeling that perhaps not as much time as we all think has actually passed for Lyza.\Ten years on the surface...\But if we assume that only a few years have passed at the bottom of the netherworld,\don't you get the feeling there's a very good chance she's alive and well?\Ozen...\Ozen!\Well, even so, you should do your best not to stay in the fifth layer for long.\And why would that be? response:	So that you don't bump into any of the other White Whistles...
context: Ten years on the surface...\But if we assume that only a few years have passed at the bottom of the netherworld,\don't you get the feeling there's a very good chance she's alive and well?\Ozen...\Ozen!\Well, even so, you should do your best not to stay in the fifth layer for long.\And why would that be?\So that you don't bump into any of the other White Whistles... response:	The depths' fifth layer, the Sea of Corpses, is as deep as humans can go and return alive.
context: But if we assume that only a few years have passed at the bottom of the netherworld,\don't you get the feeling there's a very good chance she's alive and well?\Ozen...\Ozen!\Well, even so, you should do your best not to stay in the fifth layer for long.\And why would that be?\So that you don't bump into any of the other White Whistles...\The depths' fifth layer, the Sea of Corpses, is as deep as humans can go and return alive. response:	I suppose some of them are there...
context: don't you get the feeling there's a very good chance she's alive and well?\Ozen...\Ozen!\Well, even so, you should do your best not to stay in the fifth layer for long.\And why would that be?\So that you don't bump into any of the other White Whistles...\The depths' fifth layer, the Sea of Corpses, is as deep as humans can go and return alive.\I suppose some of them are there... response:	The Sovereign of Guidance, Wakuna the Chosen.
context: Ozen...\Ozen!\Well, even so, you should do your best not to stay in the fifth layer for long.\And why would that be?\So that you don't bump into any of the other White Whistles...\The depths' fifth layer, the Sea of Corpses, is as deep as humans can go and return alive.\I suppose some of them are there...\The Sovereign of Guidance, Wakuna the Chosen. response:	The Sovereign of Mystery, Srajo the Mysterious.
context: Ozen!\Well, even so, you should do your best not to stay in the fifth layer for long.\And why would that be?\So that you don't bump into any of the other White Whistles...\The depths' fifth layer, the Sea of Corpses, is as deep as humans can go and return alive.\I suppose some of them are there...\The Sovereign of Guidance, Wakuna the Chosen.\The Sovereign of Mystery, Srajo the Mysterious. response:	The Sovereign of Dawn, Bondrewd the Novel.
context: Well, even so, you should do your best not to stay in the fifth layer for long.\And why would that be?\So that you don't bump into any of the other White Whistles...\The depths' fifth layer, the Sea of Corpses, is as deep as humans can go and return alive.\I suppose some of them are there...\The Sovereign of Guidance, Wakuna the Chosen.\The Sovereign of Mystery, Srajo the Mysterious.\The Sovereign of Dawn, Bondrewd the Novel. response:	Those are the other three who are down in the Abyss now.
context: And why would that be?\So that you don't bump into any of the other White Whistles...\The depths' fifth layer, the Sea of Corpses, is as deep as humans can go and return alive.\I suppose some of them are there...\The Sovereign of Guidance, Wakuna the Chosen.\The Sovereign of Mystery, Srajo the Mysterious.\The Sovereign of Dawn, Bondrewd the Novel.\Those are the other three who are down in the Abyss now. response:	Among them... Bondrewd in particular is an out-and-out scoundrel.
context: So that you don't bump into any of the other White Whistles...\The depths' fifth layer, the Sea of Corpses, is as deep as humans can go and return alive.\I suppose some of them are there...\The Sovereign of Guidance, Wakuna the Chosen.\The Sovereign of Mystery, Srajo the Mysterious.\The Sovereign of Dawn, Bondrewd the Novel.\Those are the other three who are down in the Abyss now.\Among them... Bondrewd in particular is an out-and-out scoundrel. response:	He's not kind like I am, so you better be careful...
context: The depths' fifth layer, the Sea of Corpses, is as deep as humans can go and return alive.\I suppose some of them are there...\The Sovereign of Guidance, Wakuna the Chosen.\The Sovereign of Mystery, Srajo the Mysterious.\The Sovereign of Dawn, Bondrewd the Novel.\Those are the other three who are down in the Abyss now.\Among them... Bondrewd in particular is an out-and-out scoundrel.\He's not kind like I am, so you better be careful... response:	Is that... a joke?
context: I suppose some of them are there...\The Sovereign of Guidance, Wakuna the Chosen.\The Sovereign of Mystery, Srajo the Mysterious.\The Sovereign of Dawn, Bondrewd the Novel.\Those are the other three who are down in the Abyss now.\Among them... Bondrewd in particular is an out-and-out scoundrel.\He's not kind like I am, so you better be careful...\Is that... a joke? response:	Reg, you okay?
context: The Sovereign of Guidance, Wakuna the Chosen.\The Sovereign of Mystery, Srajo the Mysterious.\The Sovereign of Dawn, Bondrewd the Novel.\Those are the other three who are down in the Abyss now.\Among them... Bondrewd in particular is an out-and-out scoundrel.\He's not kind like I am, so you better be careful...\Is that... a joke?\Reg, you okay? response:	Ah, that's right...
context: The Sovereign of Mystery, Srajo the Mysterious.\The Sovereign of Dawn, Bondrewd the Novel.\Those are the other three who are down in the Abyss now.\Among them... Bondrewd in particular is an out-and-out scoundrel.\He's not kind like I am, so you better be careful...\Is that... a joke?\Reg, you okay?\Ah, that's right... response:	Speaking of Lyza, I also have something I'm curious about...
context: The Sovereign of Dawn, Bondrewd the Novel.\Those are the other three who are down in the Abyss now.\Among them... Bondrewd in particular is an out-and-out scoundrel.\He's not kind like I am, so you better be careful...\Is that... a joke?\Reg, you okay?\Ah, that's right...\Speaking of Lyza, I also have something I'm curious about... response:	The slip in the sealed letter that said: At the netherworld's bottom, I'll be waiting...
context: Those are the other three who are down in the Abyss now.\Among them... Bondrewd in particular is an out-and-out scoundrel.\He's not kind like I am, so you better be careful...\Is that... a joke?\Reg, you okay?\Ah, that's right...\Speaking of Lyza, I also have something I'm curious about...\The slip in the sealed letter that said: At the netherworld's bottom, I'll be waiting... response:	I wonder who wrote that...
context: Among them... Bondrewd in particular is an out-and-out scoundrel.\He's not kind like I am, so you better be careful...\Is that... a joke?\Reg, you okay?\Ah, that's right...\Speaking of Lyza, I also have something I'm curious about...\The slip in the sealed letter that said: At the netherworld's bottom, I'll be waiting...\I wonder who wrote that... response:	Huh?
context: He's not kind like I am, so you better be careful...\Is that... a joke?\Reg, you okay?\Ah, that's right...\Speaking of Lyza, I also have something I'm curious about...\The slip in the sealed letter that said: At the netherworld's bottom, I'll be waiting...\I wonder who wrote that...\Huh? response:	It's written overly large in crooked penmanship,
context: Is that... a joke?\Reg, you okay?\Ah, that's right...\Speaking of Lyza, I also have something I'm curious about...\The slip in the sealed letter that said: At the netherworld's bottom, I'll be waiting...\I wonder who wrote that...\Huh?\It's written overly large in crooked penmanship, response:	using old nether glyphs without any of the simplified forms.
context: Reg, you okay?\Ah, that's right...\Speaking of Lyza, I also have something I'm curious about...\The slip in the sealed letter that said: At the netherworld's bottom, I'll be waiting...\I wonder who wrote that...\Huh?\It's written overly large in crooked penmanship,\using old nether glyphs without any of the simplified forms. response:	On top of that, the paper it's on isn't even paper.
context: Ah, that's right...\Speaking of Lyza, I also have something I'm curious about...\The slip in the sealed letter that said: At the netherworld's bottom, I'll be waiting...\I wonder who wrote that...\Huh?\It's written overly large in crooked penmanship,\using old nether glyphs without any of the simplified forms.\On top of that, the paper it's on isn't even paper. response:	It's an unknown Relic.
context: Speaking of Lyza, I also have something I'm curious about...\The slip in the sealed letter that said: At the netherworld's bottom, I'll be waiting...\I wonder who wrote that...\Huh?\It's written overly large in crooked penmanship,\using old nether glyphs without any of the simplified forms.\On top of that, the paper it's on isn't even paper.\It's an unknown Relic. response:	It looks all worn out, but it really surprised me...
context: The slip in the sealed letter that said: At the netherworld's bottom, I'll be waiting...\I wonder who wrote that...\Huh?\It's written overly large in crooked penmanship,\using old nether glyphs without any of the simplified forms.\On top of that, the paper it's on isn't even paper.\It's an unknown Relic.\It looks all worn out, but it really surprised me... response:	That thing can't be ripped even with my strength.
