context: Oh, it's a shooting star! response:	Onii-chan, I saw another shooting star!
context: As the supervisor of the team, I cannot afford to lose any more of our researchers.\Boss...\Did you retrieve the meteor fragment?\About that...\I'm sure you already know, but this is your last chance.\I can no longer persuade the chief executives, even with my level of influence.\Nick-san.\Hey. response:	Are you feeling better already?
context: Boss...\Did you retrieve the meteor fragment?\About that...\I'm sure you already know, but this is your last chance.\I can no longer persuade the chief executives, even with my level of influence.\Nick-san.\Hey.\Are you feeling better already? response:	More or less.
context: Did you retrieve the meteor fragment?\About that...\I'm sure you already know, but this is your last chance.\I can no longer persuade the chief executives, even with my level of influence.\Nick-san.\Hey.\Are you feeling better already?\More or less. response:	It must have been tough.
context: About that...\I'm sure you already know, but this is your last chance.\I can no longer persuade the chief executives, even with my level of influence.\Nick-san.\Hey.\Are you feeling better already?\More or less.\It must have been tough. response:	I've decided to quit this job.
context: I'm sure you already know, but this is your last chance.\I can no longer persuade the chief executives, even with my level of influence.\Nick-san.\Hey.\Are you feeling better already?\More or less.\It must have been tough.\I've decided to quit this job. response:	The chief has already negotiated with PANDORA headquarters.
context: I can no longer persuade the chief executives, even with my level of influence.\Nick-san.\Hey.\Are you feeling better already?\More or less.\It must have been tough.\I've decided to quit this job.\The chief has already negotiated with PANDORA headquarters. response:	What are you going to do after you leave?
context: Nick-san.\Hey.\Are you feeling better already?\More or less.\It must have been tough.\I've decided to quit this job.\The chief has already negotiated with PANDORA headquarters.\What are you going to do after you leave? response:	It's earlier than I had anticipated, but I'm thinking about returning to NASA.
context: Hey.\Are you feeling better already?\More or less.\It must have been tough.\I've decided to quit this job.\The chief has already negotiated with PANDORA headquarters.\What are you going to do after you leave?\It's earlier than I had anticipated, but I'm thinking about returning to NASA. response:	It's only one-fifth of its original size during its prime, but it still technically exists.
context: Are you feeling better already?\More or less.\It must have been tough.\I've decided to quit this job.\The chief has already negotiated with PANDORA headquarters.\What are you going to do after you leave?\It's earlier than I had anticipated, but I'm thinking about returning to NASA.\It's only one-fifth of its original size during its prime, but it still technically exists. response:	The promise of gazing at the stars will have to wait until after I leave this place.
context: More or less.\It must have been tough.\I've decided to quit this job.\The chief has already negotiated with PANDORA headquarters.\What are you going to do after you leave?\It's earlier than I had anticipated, but I'm thinking about returning to NASA.\It's only one-fifth of its original size during its prime, but it still technically exists.\The promise of gazing at the stars will have to wait until after I leave this place. response:	When the time comes, please invite your sister.
context: It must have been tough.\I've decided to quit this job.\The chief has already negotiated with PANDORA headquarters.\What are you going to do after you leave?\It's earlier than I had anticipated, but I'm thinking about returning to NASA.\It's only one-fifth of its original size during its prime, but it still technically exists.\The promise of gazing at the stars will have to wait until after I leave this place.\When the time comes, please invite your sister. response:	Yeah, sure.
context: I've decided to quit this job.\The chief has already negotiated with PANDORA headquarters.\What are you going to do after you leave?\It's earlier than I had anticipated, but I'm thinking about returning to NASA.\It's only one-fifth of its original size during its prime, but it still technically exists.\The promise of gazing at the stars will have to wait until after I leave this place.\When the time comes, please invite your sister.\Yeah, sure. response:	Ever since we first met, I never thought of you as a stranger.
context: The chief has already negotiated with PANDORA headquarters.\What are you going to do after you leave?\It's earlier than I had anticipated, but I'm thinking about returning to NASA.\It's only one-fifth of its original size during its prime, but it still technically exists.\The promise of gazing at the stars will have to wait until after I leave this place.\When the time comes, please invite your sister.\Yeah, sure.\Ever since we first met, I never thought of you as a stranger. response:	It felt like I was seeing a different part of myself.
context: What are you going to do after you leave?\It's earlier than I had anticipated, but I'm thinking about returning to NASA.\It's only one-fifth of its original size during its prime, but it still technically exists.\The promise of gazing at the stars will have to wait until after I leave this place.\When the time comes, please invite your sister.\Yeah, sure.\Ever since we first met, I never thought of you as a stranger.\It felt like I was seeing a different part of myself. response:	I'm glad we met.
context: It's earlier than I had anticipated, but I'm thinking about returning to NASA.\It's only one-fifth of its original size during its prime, but it still technically exists.\The promise of gazing at the stars will have to wait until after I leave this place.\When the time comes, please invite your sister.\Yeah, sure.\Ever since we first met, I never thought of you as a stranger.\It felt like I was seeing a different part of myself.\I'm glad we met. response:	Is something wrong, Mina?
context: It's only one-fifth of its original size during its prime, but it still technically exists.\The promise of gazing at the stars will have to wait until after I leave this place.\When the time comes, please invite your sister.\Yeah, sure.\Ever since we first met, I never thought of you as a stranger.\It felt like I was seeing a different part of myself.\I'm glad we met.\Is something wrong, Mina? response:	Why did you resort to such a conspicuous method?
context: The promise of gazing at the stars will have to wait until after I leave this place.\When the time comes, please invite your sister.\Yeah, sure.\Ever since we first met, I never thought of you as a stranger.\It felt like I was seeing a different part of myself.\I'm glad we met.\Is something wrong, Mina?\Why did you resort to such a conspicuous method? response:	I don't understand...
context: When the time comes, please invite your sister.\Yeah, sure.\Ever since we first met, I never thought of you as a stranger.\It felt like I was seeing a different part of myself.\I'm glad we met.\Is something wrong, Mina?\Why did you resort to such a conspicuous method?\I don't understand... response:	Why was Nick the only one who made it back alive?
context: Yeah, sure.\Ever since we first met, I never thought of you as a stranger.\It felt like I was seeing a different part of myself.\I'm glad we met.\Is something wrong, Mina?\Why did you resort to such a conspicuous method?\I don't understand...\Why was Nick the only one who made it back alive? response:	I checked all of the video tapes since that time,
context: Ever since we first met, I never thought of you as a stranger.\It felt like I was seeing a different part of myself.\I'm glad we met.\Is something wrong, Mina?\Why did you resort to such a conspicuous method?\I don't understand...\Why was Nick the only one who made it back alive?\I checked all of the video tapes since that time, response:	but he doesn't show up at all.
context: It felt like I was seeing a different part of myself.\I'm glad we met.\Is something wrong, Mina?\Why did you resort to such a conspicuous method?\I don't understand...\Why was Nick the only one who made it back alive?\I checked all of the video tapes since that time,\but he doesn't show up at all. response:	Nick's absent in all of them.
context: I'm glad we met.\Is something wrong, Mina?\Why did you resort to such a conspicuous method?\I don't understand...\Why was Nick the only one who made it back alive?\I checked all of the video tapes since that time,\but he doesn't show up at all.\Nick's absent in all of them. response:	In addition, everyone's shoes were turned over.
context: Is something wrong, Mina?\Why did you resort to such a conspicuous method?\I don't understand...\Why was Nick the only one who made it back alive?\I checked all of the video tapes since that time,\but he doesn't show up at all.\Nick's absent in all of them.\In addition, everyone's shoes were turned over. response:	This incident wasn't caused by the gate.
context: Why did you resort to such a conspicuous method?\I don't understand...\Why was Nick the only one who made it back alive?\I checked all of the video tapes since that time,\but he doesn't show up at all.\Nick's absent in all of them.\In addition, everyone's shoes were turned over.\This incident wasn't caused by the gate. response:	It's probably...
context: I don't understand...\Why was Nick the only one who made it back alive?\I checked all of the video tapes since that time,\but he doesn't show up at all.\Nick's absent in all of them.\In addition, everyone's shoes were turned over.\This incident wasn't caused by the gate.\It's probably... response:	his doing.
context: Why was Nick the only one who made it back alive?\I checked all of the video tapes since that time,\but he doesn't show up at all.\Nick's absent in all of them.\In addition, everyone's shoes were turned over.\This incident wasn't caused by the gate.\It's probably...\his doing. response:	Yes.
context: I checked all of the video tapes since that time,\but he doesn't show up at all.\Nick's absent in all of them.\In addition, everyone's shoes were turned over.\This incident wasn't caused by the gate.\It's probably...\his doing.\Yes. response:	How long have you two been working together?
context: but he doesn't show up at all.\Nick's absent in all of them.\In addition, everyone's shoes were turned over.\This incident wasn't caused by the gate.\It's probably...\his doing.\Yes.\How long have you two been working together? response:	Did you ever think he was a contractor?
context: Nick's absent in all of them.\In addition, everyone's shoes were turned over.\This incident wasn't caused by the gate.\It's probably...\his doing.\Yes.\How long have you two been working together?\Did you ever think he was a contractor? response:	Never.
context: In addition, everyone's shoes were turned over.\This incident wasn't caused by the gate.\It's probably...\his doing.\Yes.\How long have you two been working together?\Did you ever think he was a contractor?\Never. response:	After meeting you, I'm not so sure anymore.
context: This incident wasn't caused by the gate.\It's probably...\his doing.\Yes.\How long have you two been working together?\Did you ever think he was a contractor?\Never.\After meeting you, I'm not so sure anymore. response:	You're nicer than the others,
context: It's probably...\his doing.\Yes.\How long have you two been working together?\Did you ever think he was a contractor?\Never.\After meeting you, I'm not so sure anymore.\You're nicer than the others, response:	so I don't want you to get hurt.
context: his doing.\Yes.\How long have you two been working together?\Did you ever think he was a contractor?\Never.\After meeting you, I'm not so sure anymore.\You're nicer than the others,\so I don't want you to get hurt. response:	I don't know why I'm acting this way or saying these things.
context: Yes.\How long have you two been working together?\Did you ever think he was a contractor?\Never.\After meeting you, I'm not so sure anymore.\You're nicer than the others,\so I don't want you to get hurt.\I don't know why I'm acting this way or saying these things. response:	I never had any other interests aside from research.
context: How long have you two been working together?\Did you ever think he was a contractor?\Never.\After meeting you, I'm not so sure anymore.\You're nicer than the others,\so I don't want you to get hurt.\I don't know why I'm acting this way or saying these things.\I never had any other interests aside from research. response:	Ever since I met you, I...
context: Did you ever think he was a contractor?\Never.\After meeting you, I'm not so sure anymore.\You're nicer than the others,\so I don't want you to get hurt.\I don't know why I'm acting this way or saying these things.\I never had any other interests aside from research.\Ever since I met you, I... response:	That's as far as you go.
context: Never.\After meeting you, I'm not so sure anymore.\You're nicer than the others,\so I don't want you to get hurt.\I don't know why I'm acting this way or saying these things.\I never had any other interests aside from research.\Ever since I met you, I...\That's as far as you go. response:	Is that where the meteor fragment is?
context: After meeting you, I'm not so sure anymore.\You're nicer than the others,\so I don't want you to get hurt.\I don't know why I'm acting this way or saying these things.\I never had any other interests aside from research.\Ever since I met you, I...\That's as far as you go.\Is that where the meteor fragment is? response:	Slowly move backwards and put your hands against the locker.
context: You're nicer than the others,\so I don't want you to get hurt.\I don't know why I'm acting this way or saying these things.\I never had any other interests aside from research.\Ever since I met you, I...\That's as far as you go.\Is that where the meteor fragment is?\Slowly move backwards and put your hands against the locker. response:	Damn!
context: so I don't want you to get hurt.\I don't know why I'm acting this way or saying these things.\I never had any other interests aside from research.\Ever since I met you, I...\That's as far as you go.\Is that where the meteor fragment is?\Slowly move backwards and put your hands against the locker.\Damn! response:	Li-kun!
context: I don't know why I'm acting this way or saying these things.\I never had any other interests aside from research.\Ever since I met you, I...\That's as far as you go.\Is that where the meteor fragment is?\Slowly move backwards and put your hands against the locker.\Damn!\Li-kun! response:	Why are you here?
context: I never had any other interests aside from research.\Ever since I met you, I...\That's as far as you go.\Is that where the meteor fragment is?\Slowly move backwards and put your hands against the locker.\Damn!\Li-kun!\Why are you here? response:	You witnessed what I did.
context: Ever since I met you, I...\That's as far as you go.\Is that where the meteor fragment is?\Slowly move backwards and put your hands against the locker.\Damn!\Li-kun!\Why are you here?\You witnessed what I did. response:	It's only natural to be suspicious,
context: That's as far as you go.\Is that where the meteor fragment is?\Slowly move backwards and put your hands against the locker.\Damn!\Li-kun!\Why are you here?\You witnessed what I did.\It's only natural to be suspicious, response:	but I want you to trust me.
context: Is that where the meteor fragment is?\Slowly move backwards and put your hands against the locker.\Damn!\Li-kun!\Why are you here?\You witnessed what I did.\It's only natural to be suspicious,\but I want you to trust me. response:	This is the meteor fragment.
context: Slowly move backwards and put your hands against the locker.\Damn!\Li-kun!\Why are you here?\You witnessed what I did.\It's only natural to be suspicious,\but I want you to trust me.\This is the meteor fragment. response:	I was hired by the CIA.
context: Damn!\Li-kun!\Why are you here?\You witnessed what I did.\It's only natural to be suspicious,\but I want you to trust me.\This is the meteor fragment.\I was hired by the CIA. response:	I was ordered to retrieve the material within the gate in exchange for a position in NASA.
context: Li-kun!\Why are you here?\You witnessed what I did.\It's only natural to be suspicious,\but I want you to trust me.\This is the meteor fragment.\I was hired by the CIA.\I was ordered to retrieve the material within the gate in exchange for a position in NASA. response:	I'm not fond of the management here.
context: Why are you here?\You witnessed what I did.\It's only natural to be suspicious,\but I want you to trust me.\This is the meteor fragment.\I was hired by the CIA.\I was ordered to retrieve the material within the gate in exchange for a position in NASA.\I'm not fond of the management here. response:	Research data is sent to the upper divisions and never disclosed with others.
context: You witnessed what I did.\It's only natural to be suspicious,\but I want you to trust me.\This is the meteor fragment.\I was hired by the CIA.\I was ordered to retrieve the material within the gate in exchange for a position in NASA.\I'm not fond of the management here.\Research data is sent to the upper divisions and never disclosed with others. response:	I don't even know what the other teams are researching.
context: It's only natural to be suspicious,\but I want you to trust me.\This is the meteor fragment.\I was hired by the CIA.\I was ordered to retrieve the material within the gate in exchange for a position in NASA.\I'm not fond of the management here.\Research data is sent to the upper divisions and never disclosed with others.\I don't even know what the other teams are researching. response:	At this rate, I'll never realize my dreams.
context: but I want you to trust me.\This is the meteor fragment.\I was hired by the CIA.\I was ordered to retrieve the material within the gate in exchange for a position in NASA.\I'm not fond of the management here.\Research data is sent to the upper divisions and never disclosed with others.\I don't even know what the other teams are researching.\At this rate, I'll never realize my dreams. response:	I won't be able to retrieve the real sky or take my sister out to space.
context: This is the meteor fragment.\I was hired by the CIA.\I was ordered to retrieve the material within the gate in exchange for a position in NASA.\I'm not fond of the management here.\Research data is sent to the upper divisions and never disclosed with others.\I don't even know what the other teams are researching.\At this rate, I'll never realize my dreams.\I won't be able to retrieve the real sky or take my sister out to space. response:	It sounds eccentric, doesn't it?
context: I was hired by the CIA.\I was ordered to retrieve the material within the gate in exchange for a position in NASA.\I'm not fond of the management here.\Research data is sent to the upper divisions and never disclosed with others.\I don't even know what the other teams are researching.\At this rate, I'll never realize my dreams.\I won't be able to retrieve the real sky or take my sister out to space.\It sounds eccentric, doesn't it? response:	Unfortunately, it's the truth.
context: I was ordered to retrieve the material within the gate in exchange for a position in NASA.\I'm not fond of the management here.\Research data is sent to the upper divisions and never disclosed with others.\I don't even know what the other teams are researching.\At this rate, I'll never realize my dreams.\I won't be able to retrieve the real sky or take my sister out to space.\It sounds eccentric, doesn't it?\Unfortunately, it's the truth. response:	I wanted you to believe in my dreams.
context: I'm not fond of the management here.\Research data is sent to the upper divisions and never disclosed with others.\I don't even know what the other teams are researching.\At this rate, I'll never realize my dreams.\I won't be able to retrieve the real sky or take my sister out to space.\It sounds eccentric, doesn't it?\Unfortunately, it's the truth.\I wanted you to believe in my dreams. response:	A long time ago, I saw the same thing.
context: Research data is sent to the upper divisions and never disclosed with others.\I don't even know what the other teams are researching.\At this rate, I'll never realize my dreams.\I won't be able to retrieve the real sky or take my sister out to space.\It sounds eccentric, doesn't it?\Unfortunately, it's the truth.\I wanted you to believe in my dreams.\A long time ago, I saw the same thing. response:	Contractors, who became so proficient that they were unable to control their abilities, started killing each other.
context: I don't even know what the other teams are researching.\At this rate, I'll never realize my dreams.\I won't be able to retrieve the real sky or take my sister out to space.\It sounds eccentric, doesn't it?\Unfortunately, it's the truth.\I wanted you to believe in my dreams.\A long time ago, I saw the same thing.\Contractors, who became so proficient that they were unable to control their abilities, started killing each other. response:	Everything you've said up to now was a lie.
context: At this rate, I'll never realize my dreams.\I won't be able to retrieve the real sky or take my sister out to space.\It sounds eccentric, doesn't it?\Unfortunately, it's the truth.\I wanted you to believe in my dreams.\A long time ago, I saw the same thing.\Contractors, who became so proficient that they were unable to control their abilities, started killing each other.\Everything you've said up to now was a lie. response:	This won't bring the real starry sky back.
context: I won't be able to retrieve the real sky or take my sister out to space.\It sounds eccentric, doesn't it?\Unfortunately, it's the truth.\I wanted you to believe in my dreams.\A long time ago, I saw the same thing.\Contractors, who became so proficient that they were unable to control their abilities, started killing each other.\Everything you've said up to now was a lie.\This won't bring the real starry sky back. response:	The dreams you talked about, your sister, everything...
context: It sounds eccentric, doesn't it?\Unfortunately, it's the truth.\I wanted you to believe in my dreams.\A long time ago, I saw the same thing.\Contractors, who became so proficient that they were unable to control their abilities, started killing each other.\Everything you've said up to now was a lie.\This won't bring the real starry sky back.\The dreams you talked about, your sister, everything... response:	After all, contractors aren't able to dream.
context: Unfortunately, it's the truth.\I wanted you to believe in my dreams.\A long time ago, I saw the same thing.\Contractors, who became so proficient that they were unable to control their abilities, started killing each other.\Everything you've said up to now was a lie.\This won't bring the real starry sky back.\The dreams you talked about, your sister, everything...\After all, contractors aren't able to dream. response:	Who are you?
context: I wanted you to believe in my dreams.\A long time ago, I saw the same thing.\Contractors, who became so proficient that they were unable to control their abilities, started killing each other.\Everything you've said up to now was a lie.\This won't bring the real starry sky back.\The dreams you talked about, your sister, everything...\After all, contractors aren't able to dream.\Who are you? response:	Why doesn't my ability have any effect?
context: A long time ago, I saw the same thing.\Contractors, who became so proficient that they were unable to control their abilities, started killing each other.\Everything you've said up to now was a lie.\This won't bring the real starry sky back.\The dreams you talked about, your sister, everything...\After all, contractors aren't able to dream.\Who are you?\Why doesn't my ability have any effect? response:	We even have the same abilities.
context: Contractors, who became so proficient that they were unable to control their abilities, started killing each other.\Everything you've said up to now was a lie.\This won't bring the real starry sky back.\The dreams you talked about, your sister, everything...\After all, contractors aren't able to dream.\Who are you?\Why doesn't my ability have any effect?\We even have the same abilities. response:	You and I are nearly identical.
context: Everything you've said up to now was a lie.\This won't bring the real starry sky back.\The dreams you talked about, your sister, everything...\After all, contractors aren't able to dream.\Who are you?\Why doesn't my ability have any effect?\We even have the same abilities.\You and I are nearly identical. response:	Contractors do not dream...
context: This won't bring the real starry sky back.\The dreams you talked about, your sister, everything...\After all, contractors aren't able to dream.\Who are you?\Why doesn't my ability have any effect?\We even have the same abilities.\You and I are nearly identical.\Contractors do not dream... response:	True, I may have had those thoughts.
context: The dreams you talked about, your sister, everything...\After all, contractors aren't able to dream.\Who are you?\Why doesn't my ability have any effect?\We even have the same abilities.\You and I are nearly identical.\Contractors do not dream...\True, I may have had those thoughts. response:	That's why I trusted you.
context: After all, contractors aren't able to dream.\Who are you?\Why doesn't my ability have any effect?\We even have the same abilities.\You and I are nearly identical.\Contractors do not dream...\True, I may have had those thoughts.\That's why I trusted you. response:	I thought you'd be able to understand my dreams.
context: Who are you?\Why doesn't my ability have any effect?\We even have the same abilities.\You and I are nearly identical.\Contractors do not dream...\True, I may have had those thoughts.\That's why I trusted you.\I thought you'd be able to understand my dreams. response:	In the end, I was the one stupid enough to have trusted you.
context: Why doesn't my ability have any effect?\We even have the same abilities.\You and I are nearly identical.\Contractors do not dream...\True, I may have had those thoughts.\That's why I trusted you.\I thought you'd be able to understand my dreams.\In the end, I was the one stupid enough to have trusted you. response:	Out of everyone, I didn't want to drag you into this.
context: We even have the same abilities.\You and I are nearly identical.\Contractors do not dream...\True, I may have had those thoughts.\That's why I trusted you.\I thought you'd be able to understand my dreams.\In the end, I was the one stupid enough to have trusted you.\Out of everyone, I didn't want to drag you into this. response:	It can't be...
context: You and I are nearly identical.\Contractors do not dream...\True, I may have had those thoughts.\That's why I trusted you.\I thought you'd be able to understand my dreams.\In the end, I was the one stupid enough to have trusted you.\Out of everyone, I didn't want to drag you into this.\It can't be... response:	Li-kun, the stars!
context: Contractors do not dream...\True, I may have had those thoughts.\That's why I trusted you.\I thought you'd be able to understand my dreams.\In the end, I was the one stupid enough to have trusted you.\Out of everyone, I didn't want to drag you into this.\It can't be...\Li-kun, the stars! response:	You believed in me after all.
context: True, I may have had those thoughts.\That's why I trusted you.\I thought you'd be able to understand my dreams.\In the end, I was the one stupid enough to have trusted you.\Out of everyone, I didn't want to drag you into this.\It can't be...\Li-kun, the stars!\You believed in me after all. response:	I can't hear you.
context: That's why I trusted you.\I thought you'd be able to understand my dreams.\In the end, I was the one stupid enough to have trusted you.\Out of everyone, I didn't want to drag you into this.\It can't be...\Li-kun, the stars!\You believed in me after all.\I can't hear you. response:	Yin...
context: I thought you'd be able to understand my dreams.\In the end, I was the one stupid enough to have trusted you.\Out of everyone, I didn't want to drag you into this.\It can't be...\Li-kun, the stars!\You believed in me after all.\I can't hear you.\Yin... response:	Go to Gate Eleven in Research Building Three, Hei.
context: In the end, I was the one stupid enough to have trusted you.\Out of everyone, I didn't want to drag you into this.\It can't be...\Li-kun, the stars!\You believed in me after all.\I can't hear you.\Yin...\Go to Gate Eleven in Research Building Three, Hei. response:	Arrangements have been made for your departure.
context: Out of everyone, I didn't want to drag you into this.\It can't be...\Li-kun, the stars!\You believed in me after all.\I can't hear you.\Yin...\Go to Gate Eleven in Research Building Three, Hei.\Arrangements have been made for your departure. response:	You knew about everything, didn't you?
context: It can't be...\Li-kun, the stars!\You believed in me after all.\I can't hear you.\Yin...\Go to Gate Eleven in Research Building Three, Hei.\Arrangements have been made for your departure.\You knew about everything, didn't you? response:	You even knew Nick was the culprit.
context: Li-kun, the stars!\You believed in me after all.\I can't hear you.\Yin...\Go to Gate Eleven in Research Building Three, Hei.\Arrangements have been made for your departure.\You knew about everything, didn't you?\You even knew Nick was the culprit. response:	Yes, I knew.
context: You believed in me after all.\I can't hear you.\Yin...\Go to Gate Eleven in Research Building Three, Hei.\Arrangements have been made for your departure.\You knew about everything, didn't you?\You even knew Nick was the culprit.\Yes, I knew. response:	In that case, why didn't you take care of him earlier?
context: I can't hear you.\Yin...\Go to Gate Eleven in Research Building Three, Hei.\Arrangements have been made for your departure.\You knew about everything, didn't you?\You even knew Nick was the culprit.\Yes, I knew.\In that case, why didn't you take care of him earlier? response:	I had to see it with my own eyes... the power of the meteor fragment.
context: Yin...\Go to Gate Eleven in Research Building Three, Hei.\Arrangements have been made for your departure.\You knew about everything, didn't you?\You even knew Nick was the culprit.\Yes, I knew.\In that case, why didn't you take care of him earlier?\I had to see it with my own eyes... the power of the meteor fragment. response:	What's to become of her?
context: Go to Gate Eleven in Research Building Three, Hei.\Arrangements have been made for your departure.\You knew about everything, didn't you?\You even knew Nick was the culprit.\Yes, I knew.\In that case, why didn't you take care of him earlier?\I had to see it with my own eyes... the power of the meteor fragment.\What's to become of her? response:	Her daily life won't change.
context: Arrangements have been made for your departure.\You knew about everything, didn't you?\You even knew Nick was the culprit.\Yes, I knew.\In that case, why didn't you take care of him earlier?\I had to see it with my own eyes... the power of the meteor fragment.\What's to become of her?\Her daily life won't change. response:	She found what she had lost and completed her remuneration.
context: You knew about everything, didn't you?\You even knew Nick was the culprit.\Yes, I knew.\In that case, why didn't you take care of him earlier?\I had to see it with my own eyes... the power of the meteor fragment.\What's to become of her?\Her daily life won't change.\She found what she had lost and completed her remuneration. response:	That's it.
context: You even knew Nick was the culprit.\Yes, I knew.\In that case, why didn't you take care of him earlier?\I had to see it with my own eyes... the power of the meteor fragment.\What's to become of her?\Her daily life won't change.\She found what she had lost and completed her remuneration.\That's it. response:	Even Huang said you should rest for a while.
context: Yes, I knew.\In that case, why didn't you take care of him earlier?\I had to see it with my own eyes... the power of the meteor fragment.\What's to become of her?\Her daily life won't change.\She found what she had lost and completed her remuneration.\That's it.\Even Huang said you should rest for a while. response:	Say...
context: In that case, why didn't you take care of him earlier?\I had to see it with my own eyes... the power of the meteor fragment.\What's to become of her?\Her daily life won't change.\She found what she had lost and completed her remuneration.\That's it.\Even Huang said you should rest for a while.\Say... response:	Do you think the real starry sky will return someday?
context: I had to see it with my own eyes... the power of the meteor fragment.\What's to become of her?\Her daily life won't change.\She found what she had lost and completed her remuneration.\That's it.\Even Huang said you should rest for a while.\Say...\Do you think the real starry sky will return someday? response:	You can only retrieve what you lost inside the gate.
context: What's to become of her?\Her daily life won't change.\She found what she had lost and completed her remuneration.\That's it.\Even Huang said you should rest for a while.\Say...\Do you think the real starry sky will return someday?\You can only retrieve what you lost inside the gate. response:	Then again, that's probably a rumor, too.
context: Her daily life won't change.\She found what she had lost and completed her remuneration.\That's it.\Even Huang said you should rest for a while.\Say...\Do you think the real starry sky will return someday?\You can only retrieve what you lost inside the gate.\Then again, that's probably a rumor, too. response:	Oh, it's that black cat again!
context: She found what she had lost and completed her remuneration.\That's it.\Even Huang said you should rest for a while.\Say...\Do you think the real starry sky will return someday?\You can only retrieve what you lost inside the gate.\Then again, that's probably a rumor, too.\Oh, it's that black cat again! response:	Shit!
context: That's it.\Even Huang said you should rest for a while.\Say...\Do you think the real starry sky will return someday?\You can only retrieve what you lost inside the gate.\Then again, that's probably a rumor, too.\Oh, it's that black cat again!\Shit! response:	Wait, you stupid cat!
context: Even Huang said you should rest for a while.\Say...\Do you think the real starry sky will return someday?\You can only retrieve what you lost inside the gate.\Then again, that's probably a rumor, too.\Oh, it's that black cat again!\Shit!\Wait, you stupid cat! response:	Thanks.
context: Say...\Do you think the real starry sky will return someday?\You can only retrieve what you lost inside the gate.\Then again, that's probably a rumor, too.\Oh, it's that black cat again!\Shit!\Wait, you stupid cat!\Thanks. response:	The glow of the moon displays a distant past,
context: Do you think the real starry sky will return someday?\You can only retrieve what you lost inside the gate.\Then again, that's probably a rumor, too.\Oh, it's that black cat again!\Shit!\Wait, you stupid cat!\Thanks.\The glow of the moon displays a distant past, response:	the warmth of youthful days.
context: You can only retrieve what you lost inside the gate.\Then again, that's probably a rumor, too.\Oh, it's that black cat again!\Shit!\Wait, you stupid cat!\Thanks.\The glow of the moon displays a distant past,\the warmth of youthful days. response:	That happy feeling in my memories is an intangible mirage.
context: Then again, that's probably a rumor, too.\Oh, it's that black cat again!\Shit!\Wait, you stupid cat!\Thanks.\The glow of the moon displays a distant past,\the warmth of youthful days.\That happy feeling in my memories is an intangible mirage. response:	The melodies resonate against the dull, grey eyes,
context: Oh, it's that black cat again!\Shit!\Wait, you stupid cat!\Thanks.\The glow of the moon displays a distant past,\the warmth of youthful days.\That happy feeling in my memories is an intangible mirage.\The melodies resonate against the dull, grey eyes, response:	but there is no soul to receive them.
context: Shit!\Wait, you stupid cat!\Thanks.\The glow of the moon displays a distant past,\the warmth of youthful days.\That happy feeling in my memories is an intangible mirage.\The melodies resonate against the dull, grey eyes,\but there is no soul to receive them. response:	Everything has disappeared with the moonlight.
context: Wait, you stupid cat!\Thanks.\The glow of the moon displays a distant past,\the warmth of youthful days.\That happy feeling in my memories is an intangible mirage.\The melodies resonate against the dull, grey eyes,\but there is no soul to receive them.\Everything has disappeared with the moonlight. response:	Episode Thirteen A Heart Unswaying on the Water's Surface... (Part One)
context: Thanks.\The glow of the moon displays a distant past,\the warmth of youthful days.\That happy feeling in my memories is an intangible mirage.\The melodies resonate against the dull, grey eyes,\but there is no soul to receive them.\Everything has disappeared with the moonlight.\Episode Thirteen A Heart Unswaying on the Water's Surface... (Part One) response:	Your soul begins to wander.
