context: Brr... response:	H- hurry it up! Are you trying to freeze me to death!?
context: To whom do the supposedly invincible Saiyans owe the pleasure of this grief?\Get lost, Kewie. I don't have time to entertain your inconsequential chitchat.\Now, just listen.\Freeza- sama is cross with you for the actions you guys took without his permission.\He can't complain about it if he's not here.\Now,\remove that filthy hand of yours.\Still, Freeza- sama is a magnanimous gentleman. I hear he's going to forgive you. response:	That's because you've discovered something wonderful.
context: Get lost, Kewie. I don't have time to entertain your inconsequential chitchat.\Now, just listen.\Freeza- sama is cross with you for the actions you guys took without his permission.\He can't complain about it if he's not here.\Now,\remove that filthy hand of yours.\Still, Freeza- sama is a magnanimous gentleman. I hear he's going to forgive you.\That's because you've discovered something wonderful. response:	What?
context: Now, just listen.\Freeza- sama is cross with you for the actions you guys took without his permission.\He can't complain about it if he's not here.\Now,\remove that filthy hand of yours.\Still, Freeza- sama is a magnanimous gentleman. I hear he's going to forgive you.\That's because you've discovered something wonderful.\What? response:	He was thrilled when he found out he might be able to gain eternal youth and life.
context: Freeza- sama is cross with you for the actions you guys took without his permission.\He can't complain about it if he's not here.\Now,\remove that filthy hand of yours.\Still, Freeza- sama is a magnanimous gentleman. I hear he's going to forgive you.\That's because you've discovered something wonderful.\What?\He was thrilled when he found out he might be able to gain eternal youth and life. response:	What did you say!? Then, the place that Freeza- sama departed for is-?
context: He can't complain about it if he's not here.\Now,\remove that filthy hand of yours.\Still, Freeza- sama is a magnanimous gentleman. I hear he's going to forgive you.\That's because you've discovered something wonderful.\What?\He was thrilled when he found out he might be able to gain eternal youth and life.\What did you say!? Then, the place that Freeza- sama departed for is-? response:	Planet Namek.
context: Now,\remove that filthy hand of yours.\Still, Freeza- sama is a magnanimous gentleman. I hear he's going to forgive you.\That's because you've discovered something wonderful.\What?\He was thrilled when he found out he might be able to gain eternal youth and life.\What did you say!? Then, the place that Freeza- sama departed for is-?\Planet Namek. response:	Damn it! He listened in on our conversation over the Scouters, huh?
context: remove that filthy hand of yours.\Still, Freeza- sama is a magnanimous gentleman. I hear he's going to forgive you.\That's because you've discovered something wonderful.\What?\He was thrilled when he found out he might be able to gain eternal youth and life.\What did you say!? Then, the place that Freeza- sama departed for is-?\Planet Namek.\Damn it! He listened in on our conversation over the Scouters, huh? response:	l - l have to beat him to it somehow, or l'll be that bastard's toady forever!
context: Still, Freeza- sama is a magnanimous gentleman. I hear he's going to forgive you.\That's because you've discovered something wonderful.\What?\He was thrilled when he found out he might be able to gain eternal youth and life.\What did you say!? Then, the place that Freeza- sama departed for is-?\Planet Namek.\Damn it! He listened in on our conversation over the Scouters, huh?\l - l have to beat him to it somehow, or l'll be that bastard's toady forever! response:	I understand that you wanted those Dragon Ball things to gain eternal life too,
context: That's because you've discovered something wonderful.\What?\He was thrilled when he found out he might be able to gain eternal youth and life.\What did you say!? Then, the place that Freeza- sama departed for is-?\Planet Namek.\Damn it! He listened in on our conversation over the Scouters, huh?\l - l have to beat him to it somehow, or l'll be that bastard's toady forever!\I understand that you wanted those Dragon Ball things to gain eternal life too, response:	but you'll have to give that up now.
context: What?\He was thrilled when he found out he might be able to gain eternal youth and life.\What did you say!? Then, the place that Freeza- sama departed for is-?\Planet Namek.\Damn it! He listened in on our conversation over the Scouters, huh?\l - l have to beat him to it somehow, or l'll be that bastard's toady forever!\I understand that you wanted those Dragon Ball things to gain eternal life too,\but you'll have to give that up now. response:	Once Freeza- sama has his wish granted, he's planning to exterminate the Namekians.
context: He was thrilled when he found out he might be able to gain eternal youth and life.\What did you say!? Then, the place that Freeza- sama departed for is-?\Planet Namek.\Damn it! He listened in on our conversation over the Scouters, huh?\l - l have to beat him to it somehow, or l'll be that bastard's toady forever!\I understand that you wanted those Dragon Ball things to gain eternal life too,\but you'll have to give that up now.\Once Freeza- sama has his wish granted, he's planning to exterminate the Namekians. response:	That bastard!
context: What did you say!? Then, the place that Freeza- sama departed for is-?\Planet Namek.\Damn it! He listened in on our conversation over the Scouters, huh?\l - l have to beat him to it somehow, or l'll be that bastard's toady forever!\I understand that you wanted those Dragon Ball things to gain eternal life too,\but you'll have to give that up now.\Once Freeza- sama has his wish granted, he's planning to exterminate the Namekians.\That bastard! response:	Hey! Vegeta!
context: Planet Namek.\Damn it! He listened in on our conversation over the Scouters, huh?\l - l have to beat him to it somehow, or l'll be that bastard's toady forever!\I understand that you wanted those Dragon Ball things to gain eternal life too,\but you'll have to give that up now.\Once Freeza- sama has his wish granted, he's planning to exterminate the Namekians.\That bastard!\Hey! Vegeta! response:	Vegeta- sama!
context: Damn it! He listened in on our conversation over the Scouters, huh?\l - l have to beat him to it somehow, or l'll be that bastard's toady forever!\I understand that you wanted those Dragon Ball things to gain eternal life too,\but you'll have to give that up now.\Once Freeza- sama has his wish granted, he's planning to exterminate the Namekians.\That bastard!\Hey! Vegeta!\Vegeta- sama! response:	Give me that!
context: l - l have to beat him to it somehow, or l'll be that bastard's toady forever!\I understand that you wanted those Dragon Ball things to gain eternal life too,\but you'll have to give that up now.\Once Freeza- sama has his wish granted, he's planning to exterminate the Namekians.\That bastard!\Hey! Vegeta!\Vegeta- sama!\Give me that! response:	It turns out I need it after all!
context: I understand that you wanted those Dragon Ball things to gain eternal life too,\but you'll have to give that up now.\Once Freeza- sama has his wish granted, he's planning to exterminate the Namekians.\That bastard!\Hey! Vegeta!\Vegeta- sama!\Give me that!\It turns out I need it after all! response:	Vegeta!
context: but you'll have to give that up now.\Once Freeza- sama has his wish granted, he's planning to exterminate the Namekians.\That bastard!\Hey! Vegeta!\Vegeta- sama!\Give me that!\It turns out I need it after all!\Vegeta! response:	I won't let you do this! Those belong to me!
context: Once Freeza- sama has his wish granted, he's planning to exterminate the Namekians.\That bastard!\Hey! Vegeta!\Vegeta- sama!\Give me that!\It turns out I need it after all!\Vegeta!\I won't let you do this! Those belong to me! response:	W- what are you doing? If you try anything perverted, you're going to answer for it!
context: That bastard!\Hey! Vegeta!\Vegeta- sama!\Give me that!\It turns out I need it after all!\Vegeta!\I won't let you do this! Those belong to me!\W- what are you doing? If you try anything perverted, you're going to answer for it! response:	We're through playing around now.
context: Hey! Vegeta!\Vegeta- sama!\Give me that!\It turns out I need it after all!\Vegeta!\I won't let you do this! Those belong to me!\W- what are you doing? If you try anything perverted, you're going to answer for it!\We're through playing around now. response:	Playing around?
context: Vegeta- sama!\Give me that!\It turns out I need it after all!\Vegeta!\I won't let you do this! Those belong to me!\W- what are you doing? If you try anything perverted, you're going to answer for it!\We're through playing around now.\Playing around? response:	Yeah.
context: Give me that!\It turns out I need it after all!\Vegeta!\I won't let you do this! Those belong to me!\W- what are you doing? If you try anything perverted, you're going to answer for it!\We're through playing around now.\Playing around?\Yeah. response:	That's right.
context: It turns out I need it after all!\Vegeta!\I won't let you do this! Those belong to me!\W- what are you doing? If you try anything perverted, you're going to answer for it!\We're through playing around now.\Playing around?\Yeah.\That's right. response:	Sure enough, you guys...
context: Vegeta!\I won't let you do this! Those belong to me!\W- what are you doing? If you try anything perverted, you're going to answer for it!\We're through playing around now.\Playing around?\Yeah.\That's right.\Sure enough, you guys... response:	That's right!
context: I won't let you do this! Those belong to me!\W- what are you doing? If you try anything perverted, you're going to answer for it!\We're through playing around now.\Playing around?\Yeah.\That's right.\Sure enough, you guys...\That's right! response:	You're just now realizing it?
context: W- what are you doing? If you try anything perverted, you're going to answer for it!\We're through playing around now.\Playing around?\Yeah.\That's right.\Sure enough, you guys...\That's right!\You're just now realizing it? response:	What!?
context: We're through playing around now.\Playing around?\Yeah.\That's right.\Sure enough, you guys...\That's right!\You're just now realizing it?\What!? response:	You don't mean-!
context: Playing around?\Yeah.\That's right.\Sure enough, you guys...\That's right!\You're just now realizing it?\What!?\You don't mean-! response:	I- it can't be...
context: Yeah.\That's right.\Sure enough, you guys...\That's right!\You're just now realizing it?\What!?\You don't mean-!\I- it can't be... response:	Are you sure you shouldn't be rescuing him?
context: That's right.\Sure enough, you guys...\That's right!\You're just now realizing it?\What!?\You don't mean-!\I- it can't be...\Are you sure you shouldn't be rescuing him? response:	Those are man-eating nautili. He'll be eaten if you leave him there.
context: Sure enough, you guys...\That's right!\You're just now realizing it?\What!?\You don't mean-!\I- it can't be...\Are you sure you shouldn't be rescuing him?\Those are man-eating nautili. He'll be eaten if you leave him there. response:	Gohan!
context: That's right!\You're just now realizing it?\What!?\You don't mean-!\I- it can't be...\Are you sure you shouldn't be rescuing him?\Those are man-eating nautili. He'll be eaten if you leave him there.\Gohan! response:	Bulma- san!
context: You're just now realizing it?\What!?\You don't mean-!\I- it can't be...\Are you sure you shouldn't be rescuing him?\Those are man-eating nautili. He'll be eaten if you leave him there.\Gohan!\Bulma- san! response:	What's this? This world isn't Planet Namek? Then, just what is it?
context: What!?\You don't mean-!\I- it can't be...\Are you sure you shouldn't be rescuing him?\Those are man-eating nautili. He'll be eaten if you leave him there.\Gohan!\Bulma- san!\What's this? This world isn't Planet Namek? Then, just what is it? response:	And who is this Freeza that even Vegeta is afraid of?
context: You don't mean-!\I- it can't be...\Are you sure you shouldn't be rescuing him?\Those are man-eating nautili. He'll be eaten if you leave him there.\Gohan!\Bulma- san!\What's this? This world isn't Planet Namek? Then, just what is it?\And who is this Freeza that even Vegeta is afraid of? response:	The situation grows more tense. What fates will everyone meet?
