context: It's summer! response:	In preparation for the big event,
context: Violet-san, please!\Everybody is scared, and the kids can't play outside...\I just can't stand that!\I want to catch the perp as soon as possible!\I'll be fine.\I have the Ex Machina and Vert and Jau will be close by.\You won't give up, will you?\Fine. response:	I will respect our Hero's opinion.
context: Everybody is scared, and the kids can't play outside...\I just can't stand that!\I want to catch the perp as soon as possible!\I'll be fine.\I have the Ex Machina and Vert and Jau will be close by.\You won't give up, will you?\Fine.\I will respect our Hero's opinion. response:	Yay! Thank you, Violet-san!
context: I just can't stand that!\I want to catch the perp as soon as possible!\I'll be fine.\I have the Ex Machina and Vert and Jau will be close by.\You won't give up, will you?\Fine.\I will respect our Hero's opinion.\Yay! Thank you, Violet-san! response:	You're so kind! You're so wonderful!
context: I want to catch the perp as soon as possible!\I'll be fine.\I have the Ex Machina and Vert and Jau will be close by.\You won't give up, will you?\Fine.\I will respect our Hero's opinion.\Yay! Thank you, Violet-san!\You're so kind! You're so wonderful! response:	See you tomorrow!
context: I'll be fine.\I have the Ex Machina and Vert and Jau will be close by.\You won't give up, will you?\Fine.\I will respect our Hero's opinion.\Yay! Thank you, Violet-san!\You're so kind! You're so wonderful!\See you tomorrow! response:	Bye-bye!
context: I have the Ex Machina and Vert and Jau will be close by.\You won't give up, will you?\Fine.\I will respect our Hero's opinion.\Yay! Thank you, Violet-san!\You're so kind! You're so wonderful!\See you tomorrow!\Bye-bye! response:	Thank you for your hard work.
context: You won't give up, will you?\Fine.\I will respect our Hero's opinion.\Yay! Thank you, Violet-san!\You're so kind! You're so wonderful!\See you tomorrow!\Bye-bye!\Thank you for your hard work. response:	Be careful on the streets at night.
context: Fine.\I will respect our Hero's opinion.\Yay! Thank you, Violet-san!\You're so kind! You're so wonderful!\See you tomorrow!\Bye-bye!\Thank you for your hard work.\Be careful on the streets at night. response:	It's not been too safe, lately.
context: I will respect our Hero's opinion.\Yay! Thank you, Violet-san!\You're so kind! You're so wonderful!\See you tomorrow!\Bye-bye!\Thank you for your hard work.\Be careful on the streets at night.\It's not been too safe, lately. response:	Yes, thank you.
context: Yay! Thank you, Violet-san!\You're so kind! You're so wonderful!\See you tomorrow!\Bye-bye!\Thank you for your hard work.\Be careful on the streets at night.\It's not been too safe, lately.\Yes, thank you. response:	Nanami-chan's disguise is great.
context: You're so kind! You're so wonderful!\See you tomorrow!\Bye-bye!\Thank you for your hard work.\Be careful on the streets at night.\It's not been too safe, lately.\Yes, thank you.\Nanami-chan's disguise is great. response:	Good. Let's scout the area while we protect Nanami.
context: See you tomorrow!\Bye-bye!\Thank you for your hard work.\Be careful on the streets at night.\It's not been too safe, lately.\Yes, thank you.\Nanami-chan's disguise is great.\Good. Let's scout the area while we protect Nanami. response:	Yeah!
context: Bye-bye!\Thank you for your hard work.\Be careful on the streets at night.\It's not been too safe, lately.\Yes, thank you.\Nanami-chan's disguise is great.\Good. Let's scout the area while we protect Nanami.\Yeah! response:	I guess it's almost time for shift change.
context: Thank you for your hard work.\Be careful on the streets at night.\It's not been too safe, lately.\Yes, thank you.\Nanami-chan's disguise is great.\Good. Let's scout the area while we protect Nanami.\Yeah!\I guess it's almost time for shift change. response:	Yeah.
context: Be careful on the streets at night.\It's not been too safe, lately.\Yes, thank you.\Nanami-chan's disguise is great.\Good. Let's scout the area while we protect Nanami.\Yeah!\I guess it's almost time for shift change.\Yeah. response:	A kid?
context: It's not been too safe, lately.\Yes, thank you.\Nanami-chan's disguise is great.\Good. Let's scout the area while we protect Nanami.\Yeah!\I guess it's almost time for shift change.\Yeah.\A kid? response:	Pardon me,
context: Yes, thank you.\Nanami-chan's disguise is great.\Good. Let's scout the area while we protect Nanami.\Yeah!\I guess it's almost time for shift change.\Yeah.\A kid?\Pardon me, response:	young lady.
context: Nanami-chan's disguise is great.\Good. Let's scout the area while we protect Nanami.\Yeah!\I guess it's almost time for shift change.\Yeah.\A kid?\Pardon me,\young lady. response:	You mean me?
context: Good. Let's scout the area while we protect Nanami.\Yeah!\I guess it's almost time for shift change.\Yeah.\A kid?\Pardon me,\young lady.\You mean me? response:	That's a nice kimono.
context: Yeah!\I guess it's almost time for shift change.\Yeah.\A kid?\Pardon me,\young lady.\You mean me?\That's a nice kimono. response:	So it really was him?!
context: I guess it's almost time for shift change.\Yeah.\A kid?\Pardon me,\young lady.\You mean me?\That's a nice kimono.\So it really was him?! response:	Wearing something like that, at this hour,
context: Yeah.\A kid?\Pardon me,\young lady.\You mean me?\That's a nice kimono.\So it really was him?!\Wearing something like that, at this hour, response:	is basically asking to be assaulted.
context: A kid?\Pardon me,\young lady.\You mean me?\That's a nice kimono.\So it really was him?!\Wearing something like that, at this hour,\is basically asking to be assaulted. response:	We found the perp! Vert!
context: Pardon me,\young lady.\You mean me?\That's a nice kimono.\So it really was him?!\Wearing something like that, at this hour,\is basically asking to be assaulted.\We found the perp! Vert! response:	Roger!
context: young lady.\You mean me?\That's a nice kimono.\So it really was him?!\Wearing something like that, at this hour,\is basically asking to be assaulted.\We found the perp! Vert!\Roger! response:	Huh?
context: You mean me?\That's a nice kimono.\So it really was him?!\Wearing something like that, at this hour,\is basically asking to be assaulted.\We found the perp! Vert!\Roger!\Huh? response:	Oops...
context: That's a nice kimono.\So it really was him?!\Wearing something like that, at this hour,\is basically asking to be assaulted.\We found the perp! Vert!\Roger!\Huh?\Oops... response:	No, wait a second.
context: So it really was him?!\Wearing something like that, at this hour,\is basically asking to be assaulted.\We found the perp! Vert!\Roger!\Huh?\Oops...\No, wait a second. response:	You're the thief who keeps terrorizing Ayase!
context: Wearing something like that, at this hour,\is basically asking to be assaulted.\We found the perp! Vert!\Roger!\Huh?\Oops...\No, wait a second.\You're the thief who keeps terrorizing Ayase! response:	Too bad you were not able to see through my disguise!
context: is basically asking to be assaulted.\We found the perp! Vert!\Roger!\Huh?\Oops...\No, wait a second.\You're the thief who keeps terrorizing Ayase!\Too bad you were not able to see through my disguise! response:	Exactly!
context: We found the perp! Vert!\Roger!\Huh?\Oops...\No, wait a second.\You're the thief who keeps terrorizing Ayase!\Too bad you were not able to see through my disguise!\Exactly! response:	We, the Lion Army's Investigation Unit,
context: Roger!\Huh?\Oops...\No, wait a second.\You're the thief who keeps terrorizing Ayase!\Too bad you were not able to see through my disguise!\Exactly!\We, the Lion Army's Investigation Unit, response:	have clearly seen your face!
context: Huh?\Oops...\No, wait a second.\You're the thief who keeps terrorizing Ayase!\Too bad you were not able to see through my disguise!\Exactly!\We, the Lion Army's Investigation Unit,\have clearly seen your face! response:	Now, let us arrest you!
context: Oops...\No, wait a second.\You're the thief who keeps terrorizing Ayase!\Too bad you were not able to see through my disguise!\Exactly!\We, the Lion Army's Investigation Unit,\have clearly seen your face!\Now, let us arrest you! response:	Sorry, we'll have to continue this game another time.
context: No, wait a second.\You're the thief who keeps terrorizing Ayase!\Too bad you were not able to see through my disguise!\Exactly!\We, the Lion Army's Investigation Unit,\have clearly seen your face!\Now, let us arrest you!\Sorry, we'll have to continue this game another time. response:	Oh no!
context: You're the thief who keeps terrorizing Ayase!\Too bad you were not able to see through my disguise!\Exactly!\We, the Lion Army's Investigation Unit,\have clearly seen your face!\Now, let us arrest you!\Sorry, we'll have to continue this game another time.\Oh no! response:	We let him get away!
context: Too bad you were not able to see through my disguise!\Exactly!\We, the Lion Army's Investigation Unit,\have clearly seen your face!\Now, let us arrest you!\Sorry, we'll have to continue this game another time.\Oh no!\We let him get away! response:	We have to chase him!
context: Exactly!\We, the Lion Army's Investigation Unit,\have clearly seen your face!\Now, let us arrest you!\Sorry, we'll have to continue this game another time.\Oh no!\We let him get away!\We have to chase him! response:	Just as I thought, the real one has come out.
context: We, the Lion Army's Investigation Unit,\have clearly seen your face!\Now, let us arrest you!\Sorry, we'll have to continue this game another time.\Oh no!\We let him get away!\We have to chase him!\Just as I thought, the real one has come out. response:	I wonder if I can handle this by myself.
context: have clearly seen your face!\Now, let us arrest you!\Sorry, we'll have to continue this game another time.\Oh no!\We let him get away!\We have to chase him!\Just as I thought, the real one has come out.\I wonder if I can handle this by myself. response:	Let's split up. I'll go this way.
context: Now, let us arrest you!\Sorry, we'll have to continue this game another time.\Oh no!\We let him get away!\We have to chase him!\Just as I thought, the real one has come out.\I wonder if I can handle this by myself.\Let's split up. I'll go this way. response:	I'll go that way.
context: Sorry, we'll have to continue this game another time.\Oh no!\We let him get away!\We have to chase him!\Just as I thought, the real one has come out.\I wonder if I can handle this by myself.\Let's split up. I'll go this way.\I'll go that way. response:	Then, I'll go this way!
context: Oh no!\We let him get away!\We have to chase him!\Just as I thought, the real one has come out.\I wonder if I can handle this by myself.\Let's split up. I'll go this way.\I'll go that way.\Then, I'll go this way! response:	No, it's not here.
context: We let him get away!\We have to chase him!\Just as I thought, the real one has come out.\I wonder if I can handle this by myself.\Let's split up. I'll go this way.\I'll go that way.\Then, I'll go this way!\No, it's not here. response:	Big sister...
context: We have to chase him!\Just as I thought, the real one has come out.\I wonder if I can handle this by myself.\Let's split up. I'll go this way.\I'll go that way.\Then, I'll go this way!\No, it's not here.\Big sister... response:	That's a nice kimono.
context: Just as I thought, the real one has come out.\I wonder if I can handle this by myself.\Let's split up. I'll go this way.\I'll go that way.\Then, I'll go this way!\No, it's not here.\Big sister...\That's a nice kimono. response:	Please give it to me.
context: I wonder if I can handle this by myself.\Let's split up. I'll go this way.\I'll go that way.\Then, I'll go this way!\No, it's not here.\Big sister...\That's a nice kimono.\Please give it to me. response:	Jau?!
context: Let's split up. I'll go this way.\I'll go that way.\Then, I'll go this way!\No, it's not here.\Big sister...\That's a nice kimono.\Please give it to me.\Jau?! response:	Don't stop! It's behind you!
context: I'll go that way.\Then, I'll go this way!\No, it's not here.\Big sister...\That's a nice kimono.\Please give it to me.\Jau?!\Don't stop! It's behind you! response:	Seriously?!
context: Then, I'll go this way!\No, it's not here.\Big sister...\That's a nice kimono.\Please give it to me.\Jau?!\Don't stop! It's behind you!\Seriously?! response:	Heavenly Draw...
context: No, it's not here.\Big sister...\That's a nice kimono.\Please give it to me.\Jau?!\Don't stop! It's behind you!\Seriously?!\Heavenly Draw... response:	Flying Heaven Wolf Fang Attack!
context: Big sister...\That's a nice kimono.\Please give it to me.\Jau?!\Don't stop! It's behind you!\Seriously?!\Heavenly Draw...\Flying Heaven Wolf Fang Attack! response:	Do you get it now?
context: That's a nice kimono.\Please give it to me.\Jau?!\Don't stop! It's behind you!\Seriously?!\Heavenly Draw...\Flying Heaven Wolf Fang Attack!\Do you get it now? response:	These are the real perps.
context: Please give it to me.\Jau?!\Don't stop! It's behind you!\Seriously?!\Heavenly Draw...\Flying Heaven Wolf Fang Attack!\Do you get it now?\These are the real perps. response:	Little monsters who are disguised as people.
context: Jau?!\Don't stop! It's behind you!\Seriously?!\Heavenly Draw...\Flying Heaven Wolf Fang Attack!\Do you get it now?\These are the real perps.\Little monsters who are disguised as people. response:	Monster? These cute things?
context: Don't stop! It's behind you!\Seriously?!\Heavenly Draw...\Flying Heaven Wolf Fang Attack!\Do you get it now?\These are the real perps.\Little monsters who are disguised as people.\Monster? These cute things? response:	There are probably more out there.
context: Seriously?!\Heavenly Draw...\Flying Heaven Wolf Fang Attack!\Do you get it now?\These are the real perps.\Little monsters who are disguised as people.\Monster? These cute things?\There are probably more out there. response:	It's dangerous, so you should go back to your inn.
context: Heavenly Draw...\Flying Heaven Wolf Fang Attack!\Do you get it now?\These are the real perps.\Little monsters who are disguised as people.\Monster? These cute things?\There are probably more out there.\It's dangerous, so you should go back to your inn. response:	Wh-Who are you?
context: Flying Heaven Wolf Fang Attack!\Do you get it now?\These are the real perps.\Little monsters who are disguised as people.\Monster? These cute things?\There are probably more out there.\It's dangerous, so you should go back to your inn.\Wh-Who are you? response:	Got it?
context: Do you get it now?\These are the real perps.\Little monsters who are disguised as people.\Monster? These cute things?\There are probably more out there.\It's dangerous, so you should go back to your inn.\Wh-Who are you?\Got it? response:	Take your friends and go home quickly!
context: These are the real perps.\Little monsters who are disguised as people.\Monster? These cute things?\There are probably more out there.\It's dangerous, so you should go back to your inn.\Wh-Who are you?\Got it?\Take your friends and go home quickly! response:	Oh yeah, Jau and Vert!
context: Little monsters who are disguised as people.\Monster? These cute things?\There are probably more out there.\It's dangerous, so you should go back to your inn.\Wh-Who are you?\Got it?\Take your friends and go home quickly!\Oh yeah, Jau and Vert! response:	Well, I'm sure those two won't be defeated or...
context: Monster? These cute things?\There are probably more out there.\It's dangerous, so you should go back to your inn.\Wh-Who are you?\Got it?\Take your friends and go home quickly!\Oh yeah, Jau and Vert!\Well, I'm sure those two won't be defeated or... response:	They actually were.
context: There are probably more out there.\It's dangerous, so you should go back to your inn.\Wh-Who are you?\Got it?\Take your friends and go home quickly!\Oh yeah, Jau and Vert!\Well, I'm sure those two won't be defeated or...\They actually were. response:	We underestimated them.
context: It's dangerous, so you should go back to your inn.\Wh-Who are you?\Got it?\Take your friends and go home quickly!\Oh yeah, Jau and Vert!\Well, I'm sure those two won't be defeated or...\They actually were.\We underestimated them. response:	I can sense them more clearly now.
context: Wh-Who are you?\Got it?\Take your friends and go home quickly!\Oh yeah, Jau and Vert!\Well, I'm sure those two won't be defeated or...\They actually were.\We underestimated them.\I can sense them more clearly now. response:	There must be quite a few out there, still.
context: Got it?\Take your friends and go home quickly!\Oh yeah, Jau and Vert!\Well, I'm sure those two won't be defeated or...\They actually were.\We underestimated them.\I can sense them more clearly now.\There must be quite a few out there, still. response:	Hey!
context: Take your friends and go home quickly!\Oh yeah, Jau and Vert!\Well, I'm sure those two won't be defeated or...\They actually were.\We underestimated them.\I can sense them more clearly now.\There must be quite a few out there, still.\Hey! response:	Excuse me!
context: Oh yeah, Jau and Vert!\Well, I'm sure those two won't be defeated or...\They actually were.\We underestimated them.\I can sense them more clearly now.\There must be quite a few out there, still.\Hey!\Excuse me! response:	We're sorry about before.
context: Well, I'm sure those two won't be defeated or...\They actually were.\We underestimated them.\I can sense them more clearly now.\There must be quite a few out there, still.\Hey!\Excuse me!\We're sorry about before. response:	You are...
context: They actually were.\We underestimated them.\I can sense them more clearly now.\There must be quite a few out there, still.\Hey!\Excuse me!\We're sorry about before.\You are... response:	We're a Hero and bodyguard team from Vannette.
context: We underestimated them.\I can sense them more clearly now.\There must be quite a few out there, still.\Hey!\Excuse me!\We're sorry about before.\You are...\We're a Hero and bodyguard team from Vannette. response:	We came here to investigate.
context: I can sense them more clearly now.\There must be quite a few out there, still.\Hey!\Excuse me!\We're sorry about before.\You are...\We're a Hero and bodyguard team from Vannette.\We came here to investigate. response:	Oh, you're from the castle...
context: There must be quite a few out there, still.\Hey!\Excuse me!\We're sorry about before.\You are...\We're a Hero and bodyguard team from Vannette.\We came here to investigate.\Oh, you're from the castle... response:	A Hero?
context: Hey!\Excuse me!\We're sorry about before.\You are...\We're a Hero and bodyguard team from Vannette.\We came here to investigate.\Oh, you're from the castle...\A Hero? response:	We want to assist you!
context: Excuse me!\We're sorry about before.\You are...\We're a Hero and bodyguard team from Vannette.\We came here to investigate.\Oh, you're from the castle...\A Hero?\We want to assist you! response:	Our captain of the Imperial Guard is also strengthening security
context: We're sorry about before.\You are...\We're a Hero and bodyguard team from Vannette.\We came here to investigate.\Oh, you're from the castle...\A Hero?\We want to assist you!\Our captain of the Imperial Guard is also strengthening security response:	by directing the guards.
context: You are...\We're a Hero and bodyguard team from Vannette.\We came here to investigate.\Oh, you're from the castle...\A Hero?\We want to assist you!\Our captain of the Imperial Guard is also strengthening security\by directing the guards. response:	We will help you fight the monsters!
context: We're a Hero and bodyguard team from Vannette.\We came here to investigate.\Oh, you're from the castle...\A Hero?\We want to assist you!\Our captain of the Imperial Guard is also strengthening security\by directing the guards.\We will help you fight the monsters! response:	Okay. If that's the case, let's work together.
context: We came here to investigate.\Oh, you're from the castle...\A Hero?\We want to assist you!\Our captain of the Imperial Guard is also strengthening security\by directing the guards.\We will help you fight the monsters!\Okay. If that's the case, let's work together. response:	These monsters, the Highwayman Rabbits, move in packs.
context: Oh, you're from the castle...\A Hero?\We want to assist you!\Our captain of the Imperial Guard is also strengthening security\by directing the guards.\We will help you fight the monsters!\Okay. If that's the case, let's work together.\These monsters, the Highwayman Rabbits, move in packs. response:	They have a habit of gathering
context: A Hero?\We want to assist you!\Our captain of the Imperial Guard is also strengthening security\by directing the guards.\We will help you fight the monsters!\Okay. If that's the case, let's work together.\These monsters, the Highwayman Rabbits, move in packs.\They have a habit of gathering response:	the things their boss likes.
context: We want to assist you!\Our captain of the Imperial Guard is also strengthening security\by directing the guards.\We will help you fight the monsters!\Okay. If that's the case, let's work together.\These monsters, the Highwayman Rabbits, move in packs.\They have a habit of gathering\the things their boss likes. response:	This time, it's girls' clothes!
context: Our captain of the Imperial Guard is also strengthening security\by directing the guards.\We will help you fight the monsters!\Okay. If that's the case, let's work together.\These monsters, the Highwayman Rabbits, move in packs.\They have a habit of gathering\the things their boss likes.\This time, it's girls' clothes! response:	They have a strong sense of camaraderie.
context: by directing the guards.\We will help you fight the monsters!\Okay. If that's the case, let's work together.\These monsters, the Highwayman Rabbits, move in packs.\They have a habit of gathering\the things their boss likes.\This time, it's girls' clothes!\They have a strong sense of camaraderie. response:	If one of them gets captured...
context: We will help you fight the monsters!\Okay. If that's the case, let's work together.\These monsters, the Highwayman Rabbits, move in packs.\They have a habit of gathering\the things their boss likes.\This time, it's girls' clothes!\They have a strong sense of camaraderie.\If one of them gets captured... response:	They'll come to rescue them!
context: Okay. If that's the case, let's work together.\These monsters, the Highwayman Rabbits, move in packs.\They have a habit of gathering\the things their boss likes.\This time, it's girls' clothes!\They have a strong sense of camaraderie.\If one of them gets captured...\They'll come to rescue them! response:	Here they come!
context: These monsters, the Highwayman Rabbits, move in packs.\They have a habit of gathering\the things their boss likes.\This time, it's girls' clothes!\They have a strong sense of camaraderie.\If one of them gets captured...\They'll come to rescue them!\Here they come! response:	Four of them!
context: They have a habit of gathering\the things their boss likes.\This time, it's girls' clothes!\They have a strong sense of camaraderie.\If one of them gets captured...\They'll come to rescue them!\Here they come!\Four of them! response:	Allow me to get you back for what you did before!
context: the things their boss likes.\This time, it's girls' clothes!\They have a strong sense of camaraderie.\If one of them gets captured...\They'll come to rescue them!\Here they come!\Four of them!\Allow me to get you back for what you did before! response:	Flak Arrows!
context: This time, it's girls' clothes!\They have a strong sense of camaraderie.\If one of them gets captured...\They'll come to rescue them!\Here they come!\Four of them!\Allow me to get you back for what you did before!\Flak Arrows! response:	Jau, let's go!
context: They have a strong sense of camaraderie.\If one of them gets captured...\They'll come to rescue them!\Here they come!\Four of them!\Allow me to get you back for what you did before!\Flak Arrows!\Jau, let's go! response:	I'm ready, Nanami!
context: If one of them gets captured...\They'll come to rescue them!\Here they come!\Four of them!\Allow me to get you back for what you did before!\Flak Arrows!\Jau, let's go!\I'm ready, Nanami! response:	One, two...
context: They'll come to rescue them!\Here they come!\Four of them!\Allow me to get you back for what you did before!\Flak Arrows!\Jau, let's go!\I'm ready, Nanami!\One, two... response:	Tiger King Fist!
context: Here they come!\Four of them!\Allow me to get you back for what you did before!\Flak Arrows!\Jau, let's go!\I'm ready, Nanami!\One, two...\Tiger King Fist! response:	Boom.
context: Four of them!\Allow me to get you back for what you did before!\Flak Arrows!\Jau, let's go!\I'm ready, Nanami!\One, two...\Tiger King Fist!\Boom. response:	That's four down.
context: Allow me to get you back for what you did before!\Flak Arrows!\Jau, let's go!\I'm ready, Nanami!\One, two...\Tiger King Fist!\Boom.\That's four down. response:	That sound...
context: Flak Arrows!\Jau, let's go!\I'm ready, Nanami!\One, two...\Tiger King Fist!\Boom.\That's four down.\That sound... response:	It's a huge monster!
context: Jau, let's go!\I'm ready, Nanami!\One, two...\Tiger King Fist!\Boom.\That's four down.\That sound...\It's a huge monster! response:	It's headed towards the city's main gate.
context: I'm ready, Nanami!\One, two...\Tiger King Fist!\Boom.\That's four down.\That sound...\It's a huge monster!\It's headed towards the city's main gate. response:	Understood. I will chase it.
context: One, two...\Tiger King Fist!\Boom.\That's four down.\That sound...\It's a huge monster!\It's headed towards the city's main gate.\Understood. I will chase it. response:	I guess he saw no chance and decided to run.
context: Tiger King Fist!\Boom.\That's four down.\That sound...\It's a huge monster!\It's headed towards the city's main gate.\Understood. I will chase it.\I guess he saw no chance and decided to run. response:	Violet-neesama is chasing it right now!
context: Boom.\That's four down.\That sound...\It's a huge monster!\It's headed towards the city's main gate.\Understood. I will chase it.\I guess he saw no chance and decided to run.\Violet-neesama is chasing it right now! response:	There it is.
context: That's four down.\That sound...\It's a huge monster!\It's headed towards the city's main gate.\Understood. I will chase it.\I guess he saw no chance and decided to run.\Violet-neesama is chasing it right now!\There it is. response:	Someone's there?!
context: That sound...\It's a huge monster!\It's headed towards the city's main gate.\Understood. I will chase it.\I guess he saw no chance and decided to run.\Violet-neesama is chasing it right now!\There it is.\Someone's there?! response:	You there! It's dangerous!
context: It's a huge monster!\It's headed towards the city's main gate.\Understood. I will chase it.\I guess he saw no chance and decided to run.\Violet-neesama is chasing it right now!\There it is.\Someone's there?!\You there! It's dangerous! response:	Please run!
context: It's headed towards the city's main gate.\Understood. I will chase it.\I guess he saw no chance and decided to run.\Violet-neesama is chasing it right now!\There it is.\Someone's there?!\You there! It's dangerous!\Please run! response:	There's no need to run, is there?
context: Understood. I will chase it.\I guess he saw no chance and decided to run.\Violet-neesama is chasing it right now!\There it is.\Someone's there?!\You there! It's dangerous!\Please run!\There's no need to run, is there? response:	No, there isn't.
context: I guess he saw no chance and decided to run.\Violet-neesama is chasing it right now!\There it is.\Someone's there?!\You there! It's dangerous!\Please run!\There's no need to run, is there?\No, there isn't. response:	First, you invaded these people's city!
context: Violet-neesama is chasing it right now!\There it is.\Someone's there?!\You there! It's dangerous!\Please run!\There's no need to run, is there?\No, there isn't.\First, you invaded these people's city! response:	Second, you performed filthy thefts!
context: There it is.\Someone's there?!\You there! It's dangerous!\Please run!\There's no need to run, is there?\No, there isn't.\First, you invaded these people's city!\Second, you performed filthy thefts! response:	Third!
context: Someone's there?!\You there! It's dangerous!\Please run!\There's no need to run, is there?\No, there isn't.\First, you invaded these people's city!\Second, you performed filthy thefts!\Third! response:	Bad kids who bother everybody face...
context: You there! It's dangerous!\Please run!\There's no need to run, is there?\No, there isn't.\First, you invaded these people's city!\Second, you performed filthy thefts!\Third!\Bad kids who bother everybody face... response:	This Lion King Samurai and...
context: Please run!\There's no need to run, is there?\No, there isn't.\First, you invaded these people's city!\Second, you performed filthy thefts!\Third!\Bad kids who bother everybody face...\This Lion King Samurai and... response:	Me, the Dog Princess Samurai...
context: There's no need to run, is there?\No, there isn't.\First, you invaded these people's city!\Second, you performed filthy thefts!\Third!\Bad kids who bother everybody face...\This Lion King Samurai and...\Me, the Dog Princess Samurai... response:	and will be vanquished!
context: No, there isn't.\First, you invaded these people's city!\Second, you performed filthy thefts!\Third!\Bad kids who bother everybody face...\This Lion King Samurai and...\Me, the Dog Princess Samurai...\and will be vanquished! response:	Here we go, Dog Princess Samurai!
context: First, you invaded these people's city!\Second, you performed filthy thefts!\Third!\Bad kids who bother everybody face...\This Lion King Samurai and...\Me, the Dog Princess Samurai...\and will be vanquished!\Here we go, Dog Princess Samurai! response:	Yes, Lion King Samurai!
context: Second, you performed filthy thefts!\Third!\Bad kids who bother everybody face...\This Lion King Samurai and...\Me, the Dog Princess Samurai...\and will be vanquished!\Here we go, Dog Princess Samurai!\Yes, Lion King Samurai! response:	Run free, Blade of Judgment!
context: Third!\Bad kids who bother everybody face...\This Lion King Samurai and...\Me, the Dog Princess Samurai...\and will be vanquished!\Here we go, Dog Princess Samurai!\Yes, Lion King Samurai!\Run free, Blade of Judgment! response:	Illuminate the sky, Sword of Banishment!
context: Bad kids who bother everybody face...\This Lion King Samurai and...\Me, the Dog Princess Samurai...\and will be vanquished!\Here we go, Dog Princess Samurai!\Yes, Lion King Samurai!\Run free, Blade of Judgment!\Illuminate the sky, Sword of Banishment! response:	Ex Grandia Finale!
context: This Lion King Samurai and...\Me, the Dog Princess Samurai...\and will be vanquished!\Here we go, Dog Princess Samurai!\Yes, Lion King Samurai!\Run free, Blade of Judgment!\Illuminate the sky, Sword of Banishment!\Ex Grandia Finale! response:	Justice is served!
context: Me, the Dog Princess Samurai...\and will be vanquished!\Here we go, Dog Princess Samurai!\Yes, Lion King Samurai!\Run free, Blade of Judgment!\Illuminate the sky, Sword of Banishment!\Ex Grandia Finale!\Justice is served! response:	Th-They totally stole the show.
context: and will be vanquished!\Here we go, Dog Princess Samurai!\Yes, Lion King Samurai!\Run free, Blade of Judgment!\Illuminate the sky, Sword of Banishment!\Ex Grandia Finale!\Justice is served!\Th-They totally stole the show. response:	Leo-sama, Princess, that's not fair.
context: Here we go, Dog Princess Samurai!\Yes, Lion King Samurai!\Run free, Blade of Judgment!\Illuminate the sky, Sword of Banishment!\Ex Grandia Finale!\Justice is served!\Th-They totally stole the show.\Leo-sama, Princess, that's not fair. response:	Oh jeez, those two...
context: Yes, Lion King Samurai!\Run free, Blade of Judgment!\Illuminate the sky, Sword of Banishment!\Ex Grandia Finale!\Justice is served!\Th-They totally stole the show.\Leo-sama, Princess, that's not fair.\Oh jeez, those two... response:	Oh, you guys, it's fine now.
context: Run free, Blade of Judgment!\Illuminate the sky, Sword of Banishment!\Ex Grandia Finale!\Justice is served!\Th-They totally stole the show.\Leo-sama, Princess, that's not fair.\Oh jeez, those two...\Oh, you guys, it's fine now. response:	Okay.
context: Illuminate the sky, Sword of Banishment!\Ex Grandia Finale!\Justice is served!\Th-They totally stole the show.\Leo-sama, Princess, that's not fair.\Oh jeez, those two...\Oh, you guys, it's fine now.\Okay. response:	Thank you, guys.
context: Ex Grandia Finale!\Justice is served!\Th-They totally stole the show.\Leo-sama, Princess, that's not fair.\Oh jeez, those two...\Oh, you guys, it's fine now.\Okay.\Thank you, guys. response:	I captured all the heroic footage of the Lion King Samurai
context: Justice is served!\Th-They totally stole the show.\Leo-sama, Princess, that's not fair.\Oh jeez, those two...\Oh, you guys, it's fine now.\Okay.\Thank you, guys.\I captured all the heroic footage of the Lion King Samurai response:	and the Dog Princess Samurai in here.
context: Th-They totally stole the show.\Leo-sama, Princess, that's not fair.\Oh jeez, those two...\Oh, you guys, it's fine now.\Okay.\Thank you, guys.\I captured all the heroic footage of the Lion King Samurai\and the Dog Princess Samurai in here. response:	Perfect.
context: Leo-sama, Princess, that's not fair.\Oh jeez, those two...\Oh, you guys, it's fine now.\Okay.\Thank you, guys.\I captured all the heroic footage of the Lion King Samurai\and the Dog Princess Samurai in here.\Perfect. response:	I guess they're done over there.
context: Oh jeez, those two...\Oh, you guys, it's fine now.\Okay.\Thank you, guys.\I captured all the heroic footage of the Lion King Samurai\and the Dog Princess Samurai in here.\Perfect.\I guess they're done over there. response:	Looks like it.
context: Oh, you guys, it's fine now.\Okay.\Thank you, guys.\I captured all the heroic footage of the Lion King Samurai\and the Dog Princess Samurai in here.\Perfect.\I guess they're done over there.\Looks like it. response:	Noir!
context: Okay.\Thank you, guys.\I captured all the heroic footage of the Lion King Samurai\and the Dog Princess Samurai in here.\Perfect.\I guess they're done over there.\Looks like it.\Noir! response:	Well, I'll be on my way, then...
context: Thank you, guys.\I captured all the heroic footage of the Lion King Samurai\and the Dog Princess Samurai in here.\Perfect.\I guess they're done over there.\Looks like it.\Noir!\Well, I'll be on my way, then... response:	Huh?
context: I captured all the heroic footage of the Lion King Samurai\and the Dog Princess Samurai in here.\Perfect.\I guess they're done over there.\Looks like it.\Noir!\Well, I'll be on my way, then...\Huh? response:	No, no, please wait.
context: and the Dog Princess Samurai in here.\Perfect.\I guess they're done over there.\Looks like it.\Noir!\Well, I'll be on my way, then...\Huh?\No, no, please wait. response:	At least tell us your name.
