context: Dear Mom... response:	The weather in Tokyo is cool, but hotter than the Tohoku region.
context: Hey, have you seen Lev?\Maybe he's in the bathroom.\No, of course not!\He said you said it was okay\and went running off.\I didn't say that!\Well, whatever.\Then... response:	We have the right number of people,
context: Maybe he's in the bathroom.\No, of course not!\He said you said it was okay\and went running off.\I didn't say that!\Well, whatever.\Then...\We have the right number of people, response:	so let's play some three-on-three.
context: No, of course not!\He said you said it was okay\and went running off.\I didn't say that!\Well, whatever.\Then...\We have the right number of people,\so let's play some three-on-three. response:	Eh?
context: He said you said it was okay\and went running off.\I didn't say that!\Well, whatever.\Then...\We have the right number of people,\so let's play some three-on-three.\Eh? response:	Yay!
context: and went running off.\I didn't say that!\Well, whatever.\Then...\We have the right number of people,\so let's play some three-on-three.\Eh?\Yay! response:	A match!
context: I didn't say that!\Well, whatever.\Then...\We have the right number of people,\so let's play some three-on-three.\Eh?\Yay!\A match! response:	Owls Cats
context: Well, whatever.\Then...\We have the right number of people,\so let's play some three-on-three.\Eh?\Yay!\A match!\Owls Cats response:	Um...
context: Then...\We have the right number of people,\so let's play some three-on-three.\Eh?\Yay!\A match!\Owls Cats\Um... response:	Isn't this just a bit unbalanced?
context: We have the right number of people,\so let's play some three-on-three.\Eh?\Yay!\A match!\Owls Cats\Um...\Isn't this just a bit unbalanced? response:	Whoa!
context: so let's play some three-on-three.\Eh?\Yay!\A match!\Owls Cats\Um...\Isn't this just a bit unbalanced?\Whoa! response:	I'm playing with a setter and an ace
context: Eh?\Yay!\A match!\Owls Cats\Um...\Isn't this just a bit unbalanced?\Whoa!\I'm playing with a setter and an ace response:	from one of the Tokyo powerhouse schools!
context: Yay!\A match!\Owls Cats\Um...\Isn't this just a bit unbalanced?\Whoa!\I'm playing with a setter and an ace\from one of the Tokyo powerhouse schools! response:	And... versus Tsukishima!
context: A match!\Owls Cats\Um...\Isn't this just a bit unbalanced?\Whoa!\I'm playing with a setter and an ace\from one of the Tokyo powerhouse schools!\And... versus Tsukishima! response:	It's fine!
context: Owls Cats\Um...\Isn't this just a bit unbalanced?\Whoa!\I'm playing with a setter and an ace\from one of the Tokyo powerhouse schools!\And... versus Tsukishima!\It's fine! response:	Let's do things we can't do during the day!
context: Um...\Isn't this just a bit unbalanced?\Whoa!\I'm playing with a setter and an ace\from one of the Tokyo powerhouse schools!\And... versus Tsukishima!\It's fine!\Let's do things we can't do during the day! response:	Woo-hoo!
context: Isn't this just a bit unbalanced?\Whoa!\I'm playing with a setter and an ace\from one of the Tokyo powerhouse schools!\And... versus Tsukishima!\It's fine!\Let's do things we can't do during the day!\Woo-hoo! response:	And then I looked over
context: Whoa!\I'm playing with a setter and an ace\from one of the Tokyo powerhouse schools!\And... versus Tsukishima!\It's fine!\Let's do things we can't do during the day!\Woo-hoo!\And then I looked over response:	and there was a giant rhinoceros beetle, and I totally freaked out.
context: I'm playing with a setter and an ace\from one of the Tokyo powerhouse schools!\And... versus Tsukishima!\It's fine!\Let's do things we can't do during the day!\Woo-hoo!\And then I looked over\and there was a giant rhinoceros beetle, and I totally freaked out. response:	Oh, I saw a stag beetle, too.
context: from one of the Tokyo powerhouse schools!\And... versus Tsukishima!\It's fine!\Let's do things we can't do during the day!\Woo-hoo!\And then I looked over\and there was a giant rhinoceros beetle, and I totally freaked out.\Oh, I saw a stag beetle, too. response:	Lev!
context: And... versus Tsukishima!\It's fine!\Let's do things we can't do during the day!\Woo-hoo!\And then I looked over\and there was a giant rhinoceros beetle, and I totally freaked out.\Oh, I saw a stag beetle, too.\Lev! response:	I told you to jump after looking at the toss!
context: It's fine!\Let's do things we can't do during the day!\Woo-hoo!\And then I looked over\and there was a giant rhinoceros beetle, and I totally freaked out.\Oh, I saw a stag beetle, too.\Lev!\I told you to jump after looking at the toss! response:	Read blocking!
context: Let's do things we can't do during the day!\Woo-hoo!\And then I looked over\and there was a giant rhinoceros beetle, and I totally freaked out.\Oh, I saw a stag beetle, too.\Lev!\I told you to jump after looking at the toss!\Read blocking! response:	Oh, right!
context: Woo-hoo!\And then I looked over\and there was a giant rhinoceros beetle, and I totally freaked out.\Oh, I saw a stag beetle, too.\Lev!\I told you to jump after looking at the toss!\Read blocking!\Oh, right! response:	Don't try jumping too far to the sides when blocking!
context: And then I looked over\and there was a giant rhinoceros beetle, and I totally freaked out.\Oh, I saw a stag beetle, too.\Lev!\I told you to jump after looking at the toss!\Read blocking!\Oh, right!\Don't try jumping too far to the sides when blocking! response:	Wow, he got it...
context: and there was a giant rhinoceros beetle, and I totally freaked out.\Oh, I saw a stag beetle, too.\Lev!\I told you to jump after looking at the toss!\Read blocking!\Oh, right!\Don't try jumping too far to the sides when blocking!\Wow, he got it... response:	When you have enough time, full stop, then jump up!
context: Oh, I saw a stag beetle, too.\Lev!\I told you to jump after looking at the toss!\Read blocking!\Oh, right!\Don't try jumping too far to the sides when blocking!\Wow, he got it...\When you have enough time, full stop, then jump up! response:	Right!
context: Lev!\I told you to jump after looking at the toss!\Read blocking!\Oh, right!\Don't try jumping too far to the sides when blocking!\Wow, he got it...\When you have enough time, full stop, then jump up!\Right! response:	Chance ball!
context: I told you to jump after looking at the toss!\Read blocking!\Oh, right!\Don't try jumping too far to the sides when blocking!\Wow, he got it...\When you have enough time, full stop, then jump up!\Right!\Chance ball! response:	Full stop,
context: Read blocking!\Oh, right!\Don't try jumping too far to the sides when blocking!\Wow, he got it...\When you have enough time, full stop, then jump up!\Right!\Chance ball!\Full stop, response:	then jump up.
context: Oh, right!\Don't try jumping too far to the sides when blocking!\Wow, he got it...\When you have enough time, full stop, then jump up!\Right!\Chance ball!\Full stop,\then jump up. response:	Damn it!
context: Don't try jumping too far to the sides when blocking!\Wow, he got it...\When you have enough time, full stop, then jump up!\Right!\Chance ball!\Full stop,\then jump up.\Damn it! response:	Bring it again!
context: Wow, he got it...\When you have enough time, full stop, then jump up!\Right!\Chance ball!\Full stop,\then jump up.\Damn it!\Bring it again! response:	Um...
context: When you have enough time, full stop, then jump up!\Right!\Chance ball!\Full stop,\then jump up.\Damn it!\Bring it again!\Um... response:	If you don't wrap up soon,
context: Right!\Chance ball!\Full stop,\then jump up.\Damn it!\Bring it again!\Um...\If you don't wrap up soon, response:	the cafeteria will will close, and you won't get any dinner.
context: Chance ball!\Full stop,\then jump up.\Damn it!\Bring it again!\Um...\If you don't wrap up soon,\the cafeteria will will close, and you won't get any dinner. response:	We cannot go into battle on an empty stomach.
context: Full stop,\then jump up.\Damn it!\Bring it again!\Um...\If you don't wrap up soon,\the cafeteria will will close, and you won't get any dinner.\We cannot go into battle on an empty stomach. response:	Food!
context: then jump up.\Damn it!\Bring it again!\Um...\If you don't wrap up soon,\the cafeteria will will close, and you won't get any dinner.\We cannot go into battle on an empty stomach.\Food! response:	Shrimpy.
context: Damn it!\Bring it again!\Um...\If you don't wrap up soon,\the cafeteria will will close, and you won't get any dinner.\We cannot go into battle on an empty stomach.\Food!\Shrimpy. response:	We'll continue tomorrow, all right?
context: Bring it again!\Um...\If you don't wrap up soon,\the cafeteria will will close, and you won't get any dinner.\We cannot go into battle on an empty stomach.\Food!\Shrimpy.\We'll continue tomorrow, all right? response:	Yeah!
context: Um...\If you don't wrap up soon,\the cafeteria will will close, and you won't get any dinner.\We cannot go into battle on an empty stomach.\Food!\Shrimpy.\We'll continue tomorrow, all right?\Yeah! response:	Haikyu!!
context: If you don't wrap up soon,\the cafeteria will will close, and you won't get any dinner.\We cannot go into battle on an empty stomach.\Food!\Shrimpy.\We'll continue tomorrow, all right?\Yeah!\Haikyu!! response:	Haikyu!!
context: the cafeteria will will close, and you won't get any dinner.\We cannot go into battle on an empty stomach.\Food!\Shrimpy.\We'll continue tomorrow, all right?\Yeah!\Haikyu!!\Haikyu!! response:	It's morning!
context: We cannot go into battle on an empty stomach.\Food!\Shrimpy.\We'll continue tomorrow, all right?\Yeah!\Haikyu!!\Haikyu!!\It's morning! response:	Let me sleep a little longer...
context: Food!\Shrimpy.\We'll continue tomorrow, all right?\Yeah!\Haikyu!!\Haikyu!!\It's morning!\Let me sleep a little longer... response:	Cafeteria
context: Shrimpy.\We'll continue tomorrow, all right?\Yeah!\Haikyu!!\Haikyu!!\It's morning!\Let me sleep a little longer...\Cafeteria response:	Thanks for the food!
context: We'll continue tomorrow, all right?\Yeah!\Haikyu!!\Haikyu!!\It's morning!\Let me sleep a little longer...\Cafeteria\Thanks for the food! response:	How is it that you eat that much,
context: Yeah!\Haikyu!!\Haikyu!!\It's morning!\Let me sleep a little longer...\Cafeteria\Thanks for the food!\How is it that you eat that much, response:	and none of those nutrients go toward making you taller?
context: Haikyu!!\Haikyu!!\It's morning!\Let me sleep a little longer...\Cafeteria\Thanks for the food!\How is it that you eat that much,\and none of those nutrients go toward making you taller? response:	Mff mmm mrrrf.
context: Haikyu!!\It's morning!\Let me sleep a little longer...\Cafeteria\Thanks for the food!\How is it that you eat that much,\and none of those nutrients go toward making you taller?\Mff mmm mrrrf. response:	Yeah... I have no idea what you're saying.
context: It's morning!\Let me sleep a little longer...\Cafeteria\Thanks for the food!\How is it that you eat that much,\and none of those nutrients go toward making you taller?\Mff mmm mrrrf.\Yeah... I have no idea what you're saying. response:	Ubugawa Karasuno
context: Let me sleep a little longer...\Cafeteria\Thanks for the food!\How is it that you eat that much,\and none of those nutrients go toward making you taller?\Mff mmm mrrrf.\Yeah... I have no idea what you're saying.\Ubugawa Karasuno response:	Gora, one more! Nice serve!
context: Cafeteria\Thanks for the food!\How is it that you eat that much,\and none of those nutrients go toward making you taller?\Mff mmm mrrrf.\Yeah... I have no idea what you're saying.\Ubugawa Karasuno\Gora, one more! Nice serve! response:	It's off! Kageyama, follow through!
context: Thanks for the food!\How is it that you eat that much,\and none of those nutrients go toward making you taller?\Mff mmm mrrrf.\Yeah... I have no idea what you're saying.\Ubugawa Karasuno\Gora, one more! Nice serve!\It's off! Kageyama, follow through! response:	Hinata!
context: How is it that you eat that much,\and none of those nutrients go toward making you taller?\Mff mmm mrrrf.\Yeah... I have no idea what you're saying.\Ubugawa Karasuno\Gora, one more! Nice serve!\It's off! Kageyama, follow through!\Hinata! response:	Tanaka, free!
context: and none of those nutrients go toward making you taller?\Mff mmm mrrrf.\Yeah... I have no idea what you're saying.\Ubugawa Karasuno\Gora, one more! Nice serve!\It's off! Kageyama, follow through!\Hinata!\Tanaka, free! response:	All right!
context: Mff mmm mrrrf.\Yeah... I have no idea what you're saying.\Ubugawa Karasuno\Gora, one more! Nice serve!\It's off! Kageyama, follow through!\Hinata!\Tanaka, free!\All right! response:	Sorry! I overcompensated!
context: Yeah... I have no idea what you're saying.\Ubugawa Karasuno\Gora, one more! Nice serve!\It's off! Kageyama, follow through!\Hinata!\Tanaka, free!\All right!\Sorry! I overcompensated! response:	Ubugawa Karasuno
context: Ubugawa Karasuno\Gora, one more! Nice serve!\It's off! Kageyama, follow through!\Hinata!\Tanaka, free!\All right!\Sorry! I overcompensated!\Ubugawa Karasuno response:	Thank you very much!
context: Gora, one more! Nice serve!\It's off! Kageyama, follow through!\Hinata!\Tanaka, free!\All right!\Sorry! I overcompensated!\Ubugawa Karasuno\Thank you very much! response:	Time for our penalty!
context: It's off! Kageyama, follow through!\Hinata!\Tanaka, free!\All right!\Sorry! I overcompensated!\Ubugawa Karasuno\Thank you very much!\Time for our penalty! response:	Right!
context: Hinata!\Tanaka, free!\All right!\Sorry! I overcompensated!\Ubugawa Karasuno\Thank you very much!\Time for our penalty!\Right! response:	Tanaka, you get double.
context: Tanaka, free!\All right!\Sorry! I overcompensated!\Ubugawa Karasuno\Thank you very much!\Time for our penalty!\Right!\Tanaka, you get double. response:	That's not fair!
context: All right!\Sorry! I overcompensated!\Ubugawa Karasuno\Thank you very much!\Time for our penalty!\Right!\Tanaka, you get double.\That's not fair! response:	Whoa...
context: Sorry! I overcompensated!\Ubugawa Karasuno\Thank you very much!\Time for our penalty!\Right!\Tanaka, you get double.\That's not fair!\Whoa... response:	You know...
context: Ubugawa Karasuno\Thank you very much!\Time for our penalty!\Right!\Tanaka, you get double.\That's not fair!\Whoa...\You know... response:	Go!
context: Thank you very much!\Time for our penalty!\Right!\Tanaka, you get double.\That's not fair!\Whoa...\You know...\Go! response:	They've changed a bit.
context: Time for our penalty!\Right!\Tanaka, you get double.\That's not fair!\Whoa...\You know...\Go!\They've changed a bit. response:	I'm starving.
context: Right!\Tanaka, you get double.\That's not fair!\Whoa...\You know...\Go!\They've changed a bit.\I'm starving. response:	Same.
context: Tanaka, you get double.\That's not fair!\Whoa...\You know...\Go!\They've changed a bit.\I'm starving.\Same. response:	I'm so hungry that I'm starting to feel nauseous.
context: That's not fair!\Whoa...\You know...\Go!\They've changed a bit.\I'm starving.\Same.\I'm so hungry that I'm starting to feel nauseous. response:	Same here.
context: Whoa...\You know...\Go!\They've changed a bit.\I'm starving.\Same.\I'm so hungry that I'm starting to feel nauseous.\Same here. response:	But seriously...
context: You know...\Go!\They've changed a bit.\I'm starving.\Same.\I'm so hungry that I'm starting to feel nauseous.\Same here.\But seriously... response:	I wonder how long they're gonna go on.
context: Go!\They've changed a bit.\I'm starving.\Same.\I'm so hungry that I'm starting to feel nauseous.\Same here.\But seriously...\I wonder how long they're gonna go on. response:	Next, please!
context: They've changed a bit.\I'm starving.\Same.\I'm so hungry that I'm starting to feel nauseous.\Same here.\But seriously...\I wonder how long they're gonna go on.\Next, please! response:	Damn it!
context: I'm starving.\Same.\I'm so hungry that I'm starting to feel nauseous.\Same here.\But seriously...\I wonder how long they're gonna go on.\Next, please!\Damn it! response:	Kageyama, don't think of the bottle as a target.
context: Same.\I'm so hungry that I'm starting to feel nauseous.\Same here.\But seriously...\I wonder how long they're gonna go on.\Next, please!\Damn it!\Kageyama, don't think of the bottle as a target. response:	Actually visualize it.
context: I'm so hungry that I'm starting to feel nauseous.\Same here.\But seriously...\I wonder how long they're gonna go on.\Next, please!\Damn it!\Kageyama, don't think of the bottle as a target.\Actually visualize it. response:	As much as you can, visualize a spiker.
context: Same here.\But seriously...\I wonder how long they're gonna go on.\Next, please!\Damn it!\Kageyama, don't think of the bottle as a target.\Actually visualize it.\As much as you can, visualize a spiker. response:	Visualize the spiker...
context: But seriously...\I wonder how long they're gonna go on.\Next, please!\Damn it!\Kageyama, don't think of the bottle as a target.\Actually visualize it.\As much as you can, visualize a spiker.\Visualize the spiker... response:	Oh, by the way, when you're going one-on-one with a spiker,
context: I wonder how long they're gonna go on.\Next, please!\Damn it!\Kageyama, don't think of the bottle as a target.\Actually visualize it.\As much as you can, visualize a spiker.\Visualize the spiker...\Oh, by the way, when you're going one-on-one with a spiker, response:	don't try to block by centering yourself to their body.
context: Next, please!\Damn it!\Kageyama, don't think of the bottle as a target.\Actually visualize it.\As much as you can, visualize a spiker.\Visualize the spiker...\Oh, by the way, when you're going one-on-one with a spiker,\don't try to block by centering yourself to their body. response:	Center yourself with their dominant arm instead.
context: Damn it!\Kageyama, don't think of the bottle as a target.\Actually visualize it.\As much as you can, visualize a spiker.\Visualize the spiker...\Oh, by the way, when you're going one-on-one with a spiker,\don't try to block by centering yourself to their body.\Center yourself with their dominant arm instead. response:	Oh!
context: Kageyama, don't think of the bottle as a target.\Actually visualize it.\As much as you can, visualize a spiker.\Visualize the spiker...\Oh, by the way, when you're going one-on-one with a spiker,\don't try to block by centering yourself to their body.\Center yourself with their dominant arm instead.\Oh! response:	Um...
context: Actually visualize it.\As much as you can, visualize a spiker.\Visualize the spiker...\Oh, by the way, when you're going one-on-one with a spiker,\don't try to block by centering yourself to their body.\Center yourself with their dominant arm instead.\Oh!\Um... response:	We are technically opponents as soon as we're in a match, right?
context: As much as you can, visualize a spiker.\Visualize the spiker...\Oh, by the way, when you're going one-on-one with a spiker,\don't try to block by centering yourself to their body.\Center yourself with their dominant arm instead.\Oh!\Um...\We are technically opponents as soon as we're in a match, right? response:	Why are you giving us advice?
context: Visualize the spiker...\Oh, by the way, when you're going one-on-one with a spiker,\don't try to block by centering yourself to their body.\Center yourself with their dominant arm instead.\Oh!\Um...\We are technically opponents as soon as we're in a match, right?\Why are you giving us advice? response:	I've always been a nice person.
context: Oh, by the way, when you're going one-on-one with a spiker,\don't try to block by centering yourself to their body.\Center yourself with their dominant arm instead.\Oh!\Um...\We are technically opponents as soon as we're in a match, right?\Why are you giving us advice?\I've always been a nice person. response:	You don't have to look at me like that...
context: don't try to block by centering yourself to their body.\Center yourself with their dominant arm instead.\Oh!\Um...\We are technically opponents as soon as we're in a match, right?\Why are you giving us advice?\I've always been a nice person.\You don't have to look at me like that... response:	I want to make the Battle at the Garbage Dump a reality.
context: Center yourself with their dominant arm instead.\Oh!\Um...\We are technically opponents as soon as we're in a match, right?\Why are you giving us advice?\I've always been a nice person.\You don't have to look at me like that...\I want to make the Battle at the Garbage Dump a reality. response:	All right, let's drink!
context: Oh!\Um...\We are technically opponents as soon as we're in a match, right?\Why are you giving us advice?\I've always been a nice person.\You don't have to look at me like that...\I want to make the Battle at the Garbage Dump a reality.\All right, let's drink! response:	It's what our coach wants more than anything.
context: Um...\We are technically opponents as soon as we're in a match, right?\Why are you giving us advice?\I've always been a nice person.\You don't have to look at me like that...\I want to make the Battle at the Garbage Dump a reality.\All right, let's drink!\It's what our coach wants more than anything. response:	Yes!
context: We are technically opponents as soon as we're in a match, right?\Why are you giving us advice?\I've always been a nice person.\You don't have to look at me like that...\I want to make the Battle at the Garbage Dump a reality.\All right, let's drink!\It's what our coach wants more than anything.\Yes! response:	Hm? Where did Keishin go?
context: Why are you giving us advice?\I've always been a nice person.\You don't have to look at me like that...\I want to make the Battle at the Garbage Dump a reality.\All right, let's drink!\It's what our coach wants more than anything.\Yes!\Hm? Where did Keishin go? response:	But who knows
context: I've always been a nice person.\You don't have to look at me like that...\I want to make the Battle at the Garbage Dump a reality.\All right, let's drink!\It's what our coach wants more than anything.\Yes!\Hm? Where did Keishin go?\But who knows response:	how much longer our coach is going to continue coaching?
context: You don't have to look at me like that...\I want to make the Battle at the Garbage Dump a reality.\All right, let's drink!\It's what our coach wants more than anything.\Yes!\Hm? Where did Keishin go?\But who knows\how much longer our coach is going to continue coaching? response:	He's apparently helping out
context: I want to make the Battle at the Garbage Dump a reality.\All right, let's drink!\It's what our coach wants more than anything.\Yes!\Hm? Where did Keishin go?\But who knows\how much longer our coach is going to continue coaching?\He's apparently helping out response:	with the students' practices.
context: All right, let's drink!\It's what our coach wants more than anything.\Yes!\Hm? Where did Keishin go?\But who knows\how much longer our coach is going to continue coaching?\He's apparently helping out\with the students' practices. response:	So because of that,
context: It's what our coach wants more than anything.\Yes!\Hm? Where did Keishin go?\But who knows\how much longer our coach is going to continue coaching?\He's apparently helping out\with the students' practices.\So because of that, response:	What? Get him over here, Sensei.
context: Yes!\Hm? Where did Keishin go?\But who knows\how much longer our coach is going to continue coaching?\He's apparently helping out\with the students' practices.\So because of that,\What? Get him over here, Sensei. response:	we need you guys to keep winning, too.
context: Hm? Where did Keishin go?\But who knows\how much longer our coach is going to continue coaching?\He's apparently helping out\with the students' practices.\So because of that,\What? Get him over here, Sensei.\we need you guys to keep winning, too. response:	Yes, sir.
context: But who knows\how much longer our coach is going to continue coaching?\He's apparently helping out\with the students' practices.\So because of that,\What? Get him over here, Sensei.\we need you guys to keep winning, too.\Yes, sir. response:	Well, it's practice for me, as well,
context: how much longer our coach is going to continue coaching?\He's apparently helping out\with the students' practices.\So because of that,\What? Get him over here, Sensei.\we need you guys to keep winning, too.\Yes, sir.\Well, it's practice for me, as well, response:	so don't sweat the small things.
context: He's apparently helping out\with the students' practices.\So because of that,\What? Get him over here, Sensei.\we need you guys to keep winning, too.\Yes, sir.\Well, it's practice for me, as well,\so don't sweat the small things. response:	Come on. Let's get back to practice!
context: with the students' practices.\So because of that,\What? Get him over here, Sensei.\we need you guys to keep winning, too.\Yes, sir.\Well, it's practice for me, as well,\so don't sweat the small things.\Come on. Let's get back to practice! response:	Owls Cats
context: So because of that,\What? Get him over here, Sensei.\we need you guys to keep winning, too.\Yes, sir.\Well, it's practice for me, as well,\so don't sweat the small things.\Come on. Let's get back to practice!\Owls Cats response:	Akaashi, cover!
context: What? Get him over here, Sensei.\we need you guys to keep winning, too.\Yes, sir.\Well, it's practice for me, as well,\so don't sweat the small things.\Come on. Let's get back to practice!\Owls Cats\Akaashi, cover! response:	Sorry! It's a bit short.
context: we need you guys to keep winning, too.\Yes, sir.\Well, it's practice for me, as well,\so don't sweat the small things.\Come on. Let's get back to practice!\Owls Cats\Akaashi, cover!\Sorry! It's a bit short. response:	Surround him! Spread out the block!
context: Yes, sir.\Well, it's practice for me, as well,\so don't sweat the small things.\Come on. Let's get back to practice!\Owls Cats\Akaashi, cover!\Sorry! It's a bit short.\Surround him! Spread out the block! response:	Damn it! You're still ridiculously huge for a first-year.
context: Well, it's practice for me, as well,\so don't sweat the small things.\Come on. Let's get back to practice!\Owls Cats\Akaashi, cover!\Sorry! It's a bit short.\Surround him! Spread out the block!\Damn it! You're still ridiculously huge for a first-year. response:	He hit the block on purpose?
context: so don't sweat the small things.\Come on. Let's get back to practice!\Owls Cats\Akaashi, cover!\Sorry! It's a bit short.\Surround him! Spread out the block!\Damn it! You're still ridiculously huge for a first-year.\He hit the block on purpose? response:	One more time!
context: Come on. Let's get back to practice!\Owls Cats\Akaashi, cover!\Sorry! It's a bit short.\Surround him! Spread out the block!\Damn it! You're still ridiculously huge for a first-year.\He hit the block on purpose?\One more time! response:	You better make that toss a good one, Akaashi!
context: Owls Cats\Akaashi, cover!\Sorry! It's a bit short.\Surround him! Spread out the block!\Damn it! You're still ridiculously huge for a first-year.\He hit the block on purpose?\One more time!\You better make that toss a good one, Akaashi! response:	Yeah! Hey, hey, hey!
context: Akaashi, cover!\Sorry! It's a bit short.\Surround him! Spread out the block!\Damn it! You're still ridiculously huge for a first-year.\He hit the block on purpose?\One more time!\You better make that toss a good one, Akaashi!\Yeah! Hey, hey, hey! response:	Was that... on purpose?!
context: Sorry! It's a bit short.\Surround him! Spread out the block!\Damn it! You're still ridiculously huge for a first-year.\He hit the block on purpose?\One more time!\You better make that toss a good one, Akaashi!\Yeah! Hey, hey, hey!\Was that... on purpose?! response:	When you lightly hit the block.
context: Surround him! Spread out the block!\Damn it! You're still ridiculously huge for a first-year.\He hit the block on purpose?\One more time!\You better make that toss a good one, Akaashi!\Yeah! Hey, hey, hey!\Was that... on purpose?!\When you lightly hit the block. response:	Yup! It's a rebound!
context: Damn it! You're still ridiculously huge for a first-year.\He hit the block on purpose?\One more time!\You better make that toss a good one, Akaashi!\Yeah! Hey, hey, hey!\Was that... on purpose?!\When you lightly hit the block.\Yup! It's a rebound! response:	A rebound? That's so cool!
context: He hit the block on purpose?\One more time!\You better make that toss a good one, Akaashi!\Yeah! Hey, hey, hey!\Was that... on purpose?!\When you lightly hit the block.\Yup! It's a rebound!\A rebound? That's so cool! response:	Is it? It is, isn't it?!
context: One more time!\You better make that toss a good one, Akaashi!\Yeah! Hey, hey, hey!\Was that... on purpose?!\When you lightly hit the block.\Yup! It's a rebound!\A rebound? That's so cool!\Is it? It is, isn't it?! response:	You sure are good at flattering the airhead, Shrimpy.
context: You better make that toss a good one, Akaashi!\Yeah! Hey, hey, hey!\Was that... on purpose?!\When you lightly hit the block.\Yup! It's a rebound!\A rebound? That's so cool!\Is it? It is, isn't it?!\You sure are good at flattering the airhead, Shrimpy. response:	When you aren't completely ready,
context: Yeah! Hey, hey, hey!\Was that... on purpose?!\When you lightly hit the block.\Yup! It's a rebound!\A rebound? That's so cool!\Is it? It is, isn't it?!\You sure are good at flattering the airhead, Shrimpy.\When you aren't completely ready, response:	and you feel like your spike's going to get blocked for sure,
context: Was that... on purpose?!\When you lightly hit the block.\Yup! It's a rebound!\A rebound? That's so cool!\Is it? It is, isn't it?!\You sure are good at flattering the airhead, Shrimpy.\When you aren't completely ready,\and you feel like your spike's going to get blocked for sure, response:	you purposely hit the block with the ball
context: When you lightly hit the block.\Yup! It's a rebound!\A rebound? That's so cool!\Is it? It is, isn't it?!\You sure are good at flattering the airhead, Shrimpy.\When you aren't completely ready,\and you feel like your spike's going to get blocked for sure,\you purposely hit the block with the ball response:	and try one more time when it bounces back.
context: Yup! It's a rebound!\A rebound? That's so cool!\Is it? It is, isn't it?!\You sure are good at flattering the airhead, Shrimpy.\When you aren't completely ready,\and you feel like your spike's going to get blocked for sure,\you purposely hit the block with the ball\and try one more time when it bounces back. response:	Well, of course, there are plenty of times
context: A rebound? That's so cool!\Is it? It is, isn't it?!\You sure are good at flattering the airhead, Shrimpy.\When you aren't completely ready,\and you feel like your spike's going to get blocked for sure,\you purposely hit the block with the ball\and try one more time when it bounces back.\Well, of course, there are plenty of times response:	that fails and they just slam the ball down.
context: Is it? It is, isn't it?!\You sure are good at flattering the airhead, Shrimpy.\When you aren't completely ready,\and you feel like your spike's going to get blocked for sure,\you purposely hit the block with the ball\and try one more time when it bounces back.\Well, of course, there are plenty of times\that fails and they just slam the ball down. response:	That happens quite often with you, Bokuto-san.
context: You sure are good at flattering the airhead, Shrimpy.\When you aren't completely ready,\and you feel like your spike's going to get blocked for sure,\you purposely hit the block with the ball\and try one more time when it bounces back.\Well, of course, there are plenty of times\that fails and they just slam the ball down.\That happens quite often with you, Bokuto-san. response:	You're supposed to say, That's not true, there, Akaashi!
context: When you aren't completely ready,\and you feel like your spike's going to get blocked for sure,\you purposely hit the block with the ball\and try one more time when it bounces back.\Well, of course, there are plenty of times\that fails and they just slam the ball down.\That happens quite often with you, Bokuto-san.\You're supposed to say, That's not true, there, Akaashi! response:	Spiking doesn't just involve slamming the ball into the ground.
context: and you feel like your spike's going to get blocked for sure,\you purposely hit the block with the ball\and try one more time when it bounces back.\Well, of course, there are plenty of times\that fails and they just slam the ball down.\That happens quite often with you, Bokuto-san.\You're supposed to say, That's not true, there, Akaashi!\Spiking doesn't just involve slamming the ball into the ground. response:	If you're calm, you'll see how to attack.
context: you purposely hit the block with the ball\and try one more time when it bounces back.\Well, of course, there are plenty of times\that fails and they just slam the ball down.\That happens quite often with you, Bokuto-san.\You're supposed to say, That's not true, there, Akaashi!\Spiking doesn't just involve slamming the ball into the ground.\If you're calm, you'll see how to attack. response:	Oh, that's not true, Bokuto-san.
context: and try one more time when it bounces back.\Well, of course, there are plenty of times\that fails and they just slam the ball down.\That happens quite often with you, Bokuto-san.\You're supposed to say, That's not true, there, Akaashi!\Spiking doesn't just involve slamming the ball into the ground.\If you're calm, you'll see how to attack.\Oh, that's not true, Bokuto-san. response:	You're late, Akaashi!
context: Well, of course, there are plenty of times\that fails and they just slam the ball down.\That happens quite often with you, Bokuto-san.\You're supposed to say, That's not true, there, Akaashi!\Spiking doesn't just involve slamming the ball into the ground.\If you're calm, you'll see how to attack.\Oh, that's not true, Bokuto-san.\You're late, Akaashi! response:	Owls Cats
context: that fails and they just slam the ball down.\That happens quite often with you, Bokuto-san.\You're supposed to say, That's not true, there, Akaashi!\Spiking doesn't just involve slamming the ball into the ground.\If you're calm, you'll see how to attack.\Oh, that's not true, Bokuto-san.\You're late, Akaashi!\Owls Cats response:	All right!
context: That happens quite often with you, Bokuto-san.\You're supposed to say, That's not true, there, Akaashi!\Spiking doesn't just involve slamming the ball into the ground.\If you're calm, you'll see how to attack.\Oh, that's not true, Bokuto-san.\You're late, Akaashi!\Owls Cats\All right! response:	Akaashi, nice!
context: You're supposed to say, That's not true, there, Akaashi!\Spiking doesn't just involve slamming the ball into the ground.\If you're calm, you'll see how to attack.\Oh, that's not true, Bokuto-san.\You're late, Akaashi!\Owls Cats\All right!\Akaashi, nice! response:	Get the last part, Shrimpy!
