context: Father was hopping mad, you know. response:	I didn't do anything!
context: That's not true.\I've gotten taller, for one thing.\Y-You have?\I gotta say, what a small world!\This might even be one of those fateful reunions!\Fateful reunion?\Yeah, well-put, Yabuki.\By the way, how's your dad doing? response:	He's almost doing too well.
context: I've gotten taller, for one thing.\Y-You have?\I gotta say, what a small world!\This might even be one of those fateful reunions!\Fateful reunion?\Yeah, well-put, Yabuki.\By the way, how's your dad doing?\He's almost doing too well. response:	I wish he'd slow down.
context: Y-You have?\I gotta say, what a small world!\This might even be one of those fateful reunions!\Fateful reunion?\Yeah, well-put, Yabuki.\By the way, how's your dad doing?\He's almost doing too well.\I wish he'd slow down. response:	The reason I came here is because Dad told me to.
context: I gotta say, what a small world!\This might even be one of those fateful reunions!\Fateful reunion?\Yeah, well-put, Yabuki.\By the way, how's your dad doing?\He's almost doing too well.\I wish he'd slow down.\The reason I came here is because Dad told me to. response:	Your dad?
context: This might even be one of those fateful reunions!\Fateful reunion?\Yeah, well-put, Yabuki.\By the way, how's your dad doing?\He's almost doing too well.\I wish he'd slow down.\The reason I came here is because Dad told me to.\Your dad? response:	He told me to get some exposure for the gun he invented.
context: Fateful reunion?\Yeah, well-put, Yabuki.\By the way, how's your dad doing?\He's almost doing too well.\I wish he'd slow down.\The reason I came here is because Dad told me to.\Your dad?\He told me to get some exposure for the gun he invented. response:	That's the reason?
context: Yeah, well-put, Yabuki.\By the way, how's your dad doing?\He's almost doing too well.\I wish he'd slow down.\The reason I came here is because Dad told me to.\Your dad?\He told me to get some exposure for the gun he invented.\That's the reason? response:	I had my own reasons, too. So I don't mind.
context: By the way, how's your dad doing?\He's almost doing too well.\I wish he'd slow down.\The reason I came here is because Dad told me to.\Your dad?\He told me to get some exposure for the gun he invented.\That's the reason?\I had my own reasons, too. So I don't mind. response:	I see. And what would that reason be?
context: He's almost doing too well.\I wish he'd slow down.\The reason I came here is because Dad told me to.\Your dad?\He told me to get some exposure for the gun he invented.\That's the reason?\I had my own reasons, too. So I don't mind.\I see. And what would that reason be? response:	Well, that's...
context: I wish he'd slow down.\The reason I came here is because Dad told me to.\Your dad?\He told me to get some exposure for the gun he invented.\That's the reason?\I had my own reasons, too. So I don't mind.\I see. And what would that reason be?\Well, that's... response:	a secret.
context: The reason I came here is because Dad told me to.\Your dad?\He told me to get some exposure for the gun he invented.\That's the reason?\I had my own reasons, too. So I don't mind.\I see. And what would that reason be?\Well, that's...\a secret. response:	Ah, yes. I see, I see...
context: Your dad?\He told me to get some exposure for the gun he invented.\That's the reason?\I had my own reasons, too. So I don't mind.\I see. And what would that reason be?\Well, that's...\a secret.\Ah, yes. I see, I see... response:	Better not get any tasteless ideas.
context: He told me to get some exposure for the gun he invented.\That's the reason?\I had my own reasons, too. So I don't mind.\I see. And what would that reason be?\Well, that's...\a secret.\Ah, yes. I see, I see...\Better not get any tasteless ideas. response:	Gotcha, loud and clear!
context: That's the reason?\I had my own reasons, too. So I don't mind.\I see. And what would that reason be?\Well, that's...\a secret.\Ah, yes. I see, I see...\Better not get any tasteless ideas.\Gotcha, loud and clear! response:	All right, all right, sit yourselves down!
context: I had my own reasons, too. So I don't mind.\I see. And what would that reason be?\Well, that's...\a secret.\Ah, yes. I see, I see...\Better not get any tasteless ideas.\Gotcha, loud and clear!\All right, all right, sit yourselves down! response:	Homeroom's now in session!
context: I see. And what would that reason be?\Well, that's...\a secret.\Ah, yes. I see, I see...\Better not get any tasteless ideas.\Gotcha, loud and clear!\All right, all right, sit yourselves down!\Homeroom's now in session! response:	Well, if it isn't you, Sasamiya!
context: Well, that's...\a secret.\Ah, yes. I see, I see...\Better not get any tasteless ideas.\Gotcha, loud and clear!\All right, all right, sit yourselves down!\Homeroom's now in session!\Well, if it isn't you, Sasamiya! response:	Good morning.
context: a secret.\Ah, yes. I see, I see...\Better not get any tasteless ideas.\Gotcha, loud and clear!\All right, all right, sit yourselves down!\Homeroom's now in session!\Well, if it isn't you, Sasamiya!\Good morning. response:	So why were you a no-show yesterday, huh?
context: Ah, yes. I see, I see...\Better not get any tasteless ideas.\Gotcha, loud and clear!\All right, all right, sit yourselves down!\Homeroom's now in session!\Well, if it isn't you, Sasamiya!\Good morning.\So why were you a no-show yesterday, huh? response:	I'll hear you out, so talk to me!
context: Better not get any tasteless ideas.\Gotcha, loud and clear!\All right, all right, sit yourselves down!\Homeroom's now in session!\Well, if it isn't you, Sasamiya!\Good morning.\So why were you a no-show yesterday, huh?\I'll hear you out, so talk to me! response:	I merely overslept.
context: Gotcha, loud and clear!\All right, all right, sit yourselves down!\Homeroom's now in session!\Well, if it isn't you, Sasamiya!\Good morning.\So why were you a no-show yesterday, huh?\I'll hear you out, so talk to me!\I merely overslept. response:	I see, you overslept, huh?
context: All right, all right, sit yourselves down!\Homeroom's now in session!\Well, if it isn't you, Sasamiya!\Good morning.\So why were you a no-show yesterday, huh?\I'll hear you out, so talk to me!\I merely overslept.\I see, you overslept, huh? response:	Ohhh... ouch.
context: Homeroom's now in session!\Well, if it isn't you, Sasamiya!\Good morning.\So why were you a no-show yesterday, huh?\I'll hear you out, so talk to me!\I merely overslept.\I see, you overslept, huh?\Ohhh... ouch. response:	Idiot! How many times have you pulled this?!
context: Well, if it isn't you, Sasamiya!\Good morning.\So why were you a no-show yesterday, huh?\I'll hear you out, so talk to me!\I merely overslept.\I see, you overslept, huh?\Ohhh... ouch.\Idiot! How many times have you pulled this?! response:	You're taking a make-up class on your next day off, got it?!
context: Good morning.\So why were you a no-show yesterday, huh?\I'll hear you out, so talk to me!\I merely overslept.\I see, you overslept, huh?\Ohhh... ouch.\Idiot! How many times have you pulled this?!\You're taking a make-up class on your next day off, got it?! response:	Looks like you still have trouble getting up in the morning, too.
context: So why were you a no-show yesterday, huh?\I'll hear you out, so talk to me!\I merely overslept.\I see, you overslept, huh?\Ohhh... ouch.\Idiot! How many times have you pulled this?!\You're taking a make-up class on your next day off, got it?!\Looks like you still have trouble getting up in the morning, too. response:	My bed holds me hostage.
context: I'll hear you out, so talk to me!\I merely overslept.\I see, you overslept, huh?\Ohhh... ouch.\Idiot! How many times have you pulled this?!\You're taking a make-up class on your next day off, got it?!\Looks like you still have trouble getting up in the morning, too.\My bed holds me hostage. response:	Well, I guess that should do.
context: I merely overslept.\I see, you overslept, huh?\Ohhh... ouch.\Idiot! How many times have you pulled this?!\You're taking a make-up class on your next day off, got it?!\Looks like you still have trouble getting up in the morning, too.\My bed holds me hostage.\Well, I guess that should do. response:	Do you remember that park we always used to play in as kids?
context: I see, you overslept, huh?\Ohhh... ouch.\Idiot! How many times have you pulled this?!\You're taking a make-up class on your next day off, got it?!\Looks like you still have trouble getting up in the morning, too.\My bed holds me hostage.\Well, I guess that should do.\Do you remember that park we always used to play in as kids? response:	Yeah. Where there was a huge lake, right?
context: Ohhh... ouch.\Idiot! How many times have you pulled this?!\You're taking a make-up class on your next day off, got it?!\Looks like you still have trouble getting up in the morning, too.\My bed holds me hostage.\Well, I guess that should do.\Do you remember that park we always used to play in as kids?\Yeah. Where there was a huge lake, right? response:	Right, right! Remember when we...
context: Idiot! How many times have you pulled this?!\You're taking a make-up class on your next day off, got it?!\Looks like you still have trouble getting up in the morning, too.\My bed holds me hostage.\Well, I guess that should do.\Do you remember that park we always used to play in as kids?\Yeah. Where there was a huge lake, right?\Right, right! Remember when we... response:	Are you ready yet?
context: You're taking a make-up class on your next day off, got it?!\Looks like you still have trouble getting up in the morning, too.\My bed holds me hostage.\Well, I guess that should do.\Do you remember that park we always used to play in as kids?\Yeah. Where there was a huge lake, right?\Right, right! Remember when we...\Are you ready yet? response:	Hey, Julis.
context: Looks like you still have trouble getting up in the morning, too.\My bed holds me hostage.\Well, I guess that should do.\Do you remember that park we always used to play in as kids?\Yeah. Where there was a huge lake, right?\Right, right! Remember when we...\Are you ready yet?\Hey, Julis. response:	Okay, I'm depending on you.
context: My bed holds me hostage.\Well, I guess that should do.\Do you remember that park we always used to play in as kids?\Yeah. Where there was a huge lake, right?\Right, right! Remember when we...\Are you ready yet?\Hey, Julis.\Okay, I'm depending on you. response:	I have no choice.
context: Well, I guess that should do.\Do you remember that park we always used to play in as kids?\Yeah. Where there was a huge lake, right?\Right, right! Remember when we...\Are you ready yet?\Hey, Julis.\Okay, I'm depending on you.\I have no choice. response:	A promise is a promise, after all.
context: Do you remember that park we always used to play in as kids?\Yeah. Where there was a huge lake, right?\Right, right! Remember when we...\Are you ready yet?\Hey, Julis.\Okay, I'm depending on you.\I have no choice.\A promise is a promise, after all. response:	What promise?
context: Yeah. Where there was a huge lake, right?\Right, right! Remember when we...\Are you ready yet?\Hey, Julis.\Okay, I'm depending on you.\I have no choice.\A promise is a promise, after all.\What promise? response:	Julis's going to give me a tour of the academy today.
context: Right, right! Remember when we...\Are you ready yet?\Hey, Julis.\Okay, I'm depending on you.\I have no choice.\A promise is a promise, after all.\What promise?\Julis's going to give me a tour of the academy today. response:	Riessfeld is? But why?
context: Are you ready yet?\Hey, Julis.\Okay, I'm depending on you.\I have no choice.\A promise is a promise, after all.\What promise?\Julis's going to give me a tour of the academy today.\Riessfeld is? But why? response:	Because... Well, it's quite complicated.
context: Hey, Julis.\Okay, I'm depending on you.\I have no choice.\A promise is a promise, after all.\What promise?\Julis's going to give me a tour of the academy today.\Riessfeld is? But why?\Because... Well, it's quite complicated. response:	It's no concern of yours, Sasamiya.
context: Okay, I'm depending on you.\I have no choice.\A promise is a promise, after all.\What promise?\Julis's going to give me a tour of the academy today.\Riessfeld is? But why?\Because... Well, it's quite complicated.\It's no concern of yours, Sasamiya. response:	Come on, let's go.
context: I have no choice.\A promise is a promise, after all.\What promise?\Julis's going to give me a tour of the academy today.\Riessfeld is? But why?\Because... Well, it's quite complicated.\It's no concern of yours, Sasamiya.\Come on, let's go. response:	Uh, right!
context: A promise is a promise, after all.\What promise?\Julis's going to give me a tour of the academy today.\Riessfeld is? But why?\Because... Well, it's quite complicated.\It's no concern of yours, Sasamiya.\Come on, let's go.\Uh, right! response:	Hold up.
context: What promise?\Julis's going to give me a tour of the academy today.\Riessfeld is? But why?\Because... Well, it's quite complicated.\It's no concern of yours, Sasamiya.\Come on, let's go.\Uh, right!\Hold up. response:	I'll show Ayato around.
context: Julis's going to give me a tour of the academy today.\Riessfeld is? But why?\Because... Well, it's quite complicated.\It's no concern of yours, Sasamiya.\Come on, let's go.\Uh, right!\Hold up.\I'll show Ayato around. response:	You said I have no choice, Riessfeld.
context: Riessfeld is? But why?\Because... Well, it's quite complicated.\It's no concern of yours, Sasamiya.\Come on, let's go.\Uh, right!\Hold up.\I'll show Ayato around.\You said I have no choice, Riessfeld. response:	In that case, you shouldn't have a problem with me taking your place.
context: Because... Well, it's quite complicated.\It's no concern of yours, Sasamiya.\Come on, let's go.\Uh, right!\Hold up.\I'll show Ayato around.\You said I have no choice, Riessfeld.\In that case, you shouldn't have a problem with me taking your place. response:	I appreciate your offer,
context: It's no concern of yours, Sasamiya.\Come on, let's go.\Uh, right!\Hold up.\I'll show Ayato around.\You said I have no choice, Riessfeld.\In that case, you shouldn't have a problem with me taking your place.\I appreciate your offer, response:	but unfortunately, I have no intention of breaking a promise I've made.
context: Come on, let's go.\Uh, right!\Hold up.\I'll show Ayato around.\You said I have no choice, Riessfeld.\In that case, you shouldn't have a problem with me taking your place.\I appreciate your offer,\but unfortunately, I have no intention of breaking a promise I've made. response:	But I think Ayato would rather have me than a guide who's not into it.
context: Uh, right!\Hold up.\I'll show Ayato around.\You said I have no choice, Riessfeld.\In that case, you shouldn't have a problem with me taking your place.\I appreciate your offer,\but unfortunately, I have no intention of breaking a promise I've made.\But I think Ayato would rather have me than a guide who's not into it. response:	It's not that I'm not into it!
context: Hold up.\I'll show Ayato around.\You said I have no choice, Riessfeld.\In that case, you shouldn't have a problem with me taking your place.\I appreciate your offer,\but unfortunately, I have no intention of breaking a promise I've made.\But I think Ayato would rather have me than a guide who's not into it.\It's not that I'm not into it! response:	In the first place, whereas you just started here this year, Sasamiya...
context: I'll show Ayato around.\You said I have no choice, Riessfeld.\In that case, you shouldn't have a problem with me taking your place.\I appreciate your offer,\but unfortunately, I have no intention of breaking a promise I've made.\But I think Ayato would rather have me than a guide who's not into it.\It's not that I'm not into it!\In the first place, whereas you just started here this year, Sasamiya... response:	As someone who's been here since junior high, I'd make a far better guide!
context: You said I have no choice, Riessfeld.\In that case, you shouldn't have a problem with me taking your place.\I appreciate your offer,\but unfortunately, I have no intention of breaking a promise I've made.\But I think Ayato would rather have me than a guide who's not into it.\It's not that I'm not into it!\In the first place, whereas you just started here this year, Sasamiya...\As someone who's been here since junior high, I'd make a far better guide! response:	Hey, both of you...
context: In that case, you shouldn't have a problem with me taking your place.\I appreciate your offer,\but unfortunately, I have no intention of breaking a promise I've made.\But I think Ayato would rather have me than a guide who's not into it.\It's not that I'm not into it!\In the first place, whereas you just started here this year, Sasamiya...\As someone who's been here since junior high, I'd make a far better guide!\Hey, both of you... response:	Well! If that's the criteria,
context: I appreciate your offer,\but unfortunately, I have no intention of breaking a promise I've made.\But I think Ayato would rather have me than a guide who's not into it.\It's not that I'm not into it!\In the first place, whereas you just started here this year, Sasamiya...\As someone who's been here since junior high, I'd make a far better guide!\Hey, both of you...\Well! If that's the criteria, response:	then that certainly makes me the most qualified, doesn't it?
context: but unfortunately, I have no intention of breaking a promise I've made.\But I think Ayato would rather have me than a guide who's not into it.\It's not that I'm not into it!\In the first place, whereas you just started here this year, Sasamiya...\As someone who's been here since junior high, I'd make a far better guide!\Hey, both of you...\Well! If that's the criteria,\then that certainly makes me the most qualified, doesn't it? response:	After all, Julis transferred in during our third year of junior high,
context: But I think Ayato would rather have me than a guide who's not into it.\It's not that I'm not into it!\In the first place, whereas you just started here this year, Sasamiya...\As someone who's been here since junior high, I'd make a far better guide!\Hey, both of you...\Well! If that's the criteria,\then that certainly makes me the most qualified, doesn't it?\After all, Julis transferred in during our third year of junior high, response:	but I've been a bona fide student here since first year.
context: It's not that I'm not into it!\In the first place, whereas you just started here this year, Sasamiya...\As someone who's been here since junior high, I'd make a far better guide!\Hey, both of you...\Well! If that's the criteria,\then that certainly makes me the most qualified, doesn't it?\After all, Julis transferred in during our third year of junior high,\but I've been a bona fide student here since first year. response:	Who are you?
context: In the first place, whereas you just started here this year, Sasamiya...\As someone who's been here since junior high, I'd make a far better guide!\Hey, both of you...\Well! If that's the criteria,\then that certainly makes me the most qualified, doesn't it?\After all, Julis transferred in during our third year of junior high,\but I've been a bona fide student here since first year.\Who are you? response:	What are you doing here?
context: As someone who's been here since junior high, I'd make a far better guide!\Hey, both of you...\Well! If that's the criteria,\then that certainly makes me the most qualified, doesn't it?\After all, Julis transferred in during our third year of junior high,\but I've been a bona fide student here since first year.\Who are you?\What are you doing here? response:	Actually, before you do anything else, get away from me, Claudia!
context: Hey, both of you...\Well! If that's the criteria,\then that certainly makes me the most qualified, doesn't it?\After all, Julis transferred in during our third year of junior high,\but I've been a bona fide student here since first year.\Who are you?\What are you doing here?\Actually, before you do anything else, get away from me, Claudia! response:	My goodness, you're all so callous.
context: Well! If that's the criteria,\then that certainly makes me the most qualified, doesn't it?\After all, Julis transferred in during our third year of junior high,\but I've been a bona fide student here since first year.\Who are you?\What are you doing here?\Actually, before you do anything else, get away from me, Claudia!\My goodness, you're all so callous. response:	Since I'm here, I wanted to join in on the fun, but...
context: then that certainly makes me the most qualified, doesn't it?\After all, Julis transferred in during our third year of junior high,\but I've been a bona fide student here since first year.\Who are you?\What are you doing here?\Actually, before you do anything else, get away from me, Claudia!\My goodness, you're all so callous.\Since I'm here, I wanted to join in on the fun, but... response:	No way.
context: After all, Julis transferred in during our third year of junior high,\but I've been a bona fide student here since first year.\Who are you?\What are you doing here?\Actually, before you do anything else, get away from me, Claudia!\My goodness, you're all so callous.\Since I'm here, I wanted to join in on the fun, but...\No way. response:	Permission denied!
context: but I've been a bona fide student here since first year.\Who are you?\What are you doing here?\Actually, before you do anything else, get away from me, Claudia!\My goodness, you're all so callous.\Since I'm here, I wanted to join in on the fun, but...\No way.\Permission denied! response:	In that case, why don't I just take care of business and withdraw?
context: Who are you?\What are you doing here?\Actually, before you do anything else, get away from me, Claudia!\My goodness, you're all so callous.\Since I'm here, I wanted to join in on the fun, but...\No way.\Permission denied!\In that case, why don't I just take care of business and withdraw? response:	Look... They're touching me, okay?
context: What are you doing here?\Actually, before you do anything else, get away from me, Claudia!\My goodness, you're all so callous.\Since I'm here, I wanted to join in on the fun, but...\No way.\Permission denied!\In that case, why don't I just take care of business and withdraw?\Look... They're touching me, okay? response:	Here. Take a look at this.
context: Actually, before you do anything else, get away from me, Claudia!\My goodness, you're all so callous.\Since I'm here, I wanted to join in on the fun, but...\No way.\Permission denied!\In that case, why don't I just take care of business and withdraw?\Look... They're touching me, okay?\Here. Take a look at this. response:	As I mentioned the other day,
context: My goodness, you're all so callous.\Since I'm here, I wanted to join in on the fun, but...\No way.\Permission denied!\In that case, why don't I just take care of business and withdraw?\Look... They're touching me, okay?\Here. Take a look at this.\As I mentioned the other day, response:	your Lux weapon selection and compatibility test will be held tomorrow.
context: Since I'm here, I wanted to join in on the fun, but...\No way.\Permission denied!\In that case, why don't I just take care of business and withdraw?\Look... They're touching me, okay?\Here. Take a look at this.\As I mentioned the other day,\your Lux weapon selection and compatibility test will be held tomorrow. response:	If there are no issues, please sign those documents.
context: No way.\Permission denied!\In that case, why don't I just take care of business and withdraw?\Look... They're touching me, okay?\Here. Take a look at this.\As I mentioned the other day,\your Lux weapon selection and compatibility test will be held tomorrow.\If there are no issues, please sign those documents. response:	Oh, that's what you're here for.
context: Permission denied!\In that case, why don't I just take care of business and withdraw?\Look... They're touching me, okay?\Here. Take a look at this.\As I mentioned the other day,\your Lux weapon selection and compatibility test will be held tomorrow.\If there are no issues, please sign those documents.\Oh, that's what you're here for. response:	If the student council president is hand-delivering mere documents,
context: In that case, why don't I just take care of business and withdraw?\Look... They're touching me, okay?\Here. Take a look at this.\As I mentioned the other day,\your Lux weapon selection and compatibility test will be held tomorrow.\If there are no issues, please sign those documents.\Oh, that's what you're here for.\If the student council president is hand-delivering mere documents, response:	you must have a lot of time on your hands.
context: Look... They're touching me, okay?\Here. Take a look at this.\As I mentioned the other day,\your Lux weapon selection and compatibility test will be held tomorrow.\If there are no issues, please sign those documents.\Oh, that's what you're here for.\If the student council president is hand-delivering mere documents,\you must have a lot of time on your hands. response:	Yes, as our students are all such good children, it makes our jobs so much easier.
context: Here. Take a look at this.\As I mentioned the other day,\your Lux weapon selection and compatibility test will be held tomorrow.\If there are no issues, please sign those documents.\Oh, that's what you're here for.\If the student council president is hand-delivering mere documents,\you must have a lot of time on your hands.\Yes, as our students are all such good children, it makes our jobs so much easier. response:	I've been wondering about this yesterday, but are you two friends?
context: As I mentioned the other day,\your Lux weapon selection and compatibility test will be held tomorrow.\If there are no issues, please sign those documents.\Oh, that's what you're here for.\If the student council president is hand-delivering mere documents,\you must have a lot of time on your hands.\Yes, as our students are all such good children, it makes our jobs so much easier.\I've been wondering about this yesterday, but are you two friends? response:	- Yes, indeed we are! - Not on your life!
context: your Lux weapon selection and compatibility test will be held tomorrow.\If there are no issues, please sign those documents.\Oh, that's what you're here for.\If the student council president is hand-delivering mere documents,\you must have a lot of time on your hands.\Yes, as our students are all such good children, it makes our jobs so much easier.\I've been wondering about this yesterday, but are you two friends?\- Yes, indeed we are! - Not on your life! response:	My, my, how cold we are!
context: If there are no issues, please sign those documents.\Oh, that's what you're here for.\If the student council president is hand-delivering mere documents,\you must have a lot of time on your hands.\Yes, as our students are all such good children, it makes our jobs so much easier.\I've been wondering about this yesterday, but are you two friends?\- Yes, indeed we are! - Not on your life!\My, my, how cold we are! response:	We're longtime acquaintances
context: Oh, that's what you're here for.\If the student council president is hand-delivering mere documents,\you must have a lot of time on your hands.\Yes, as our students are all such good children, it makes our jobs so much easier.\I've been wondering about this yesterday, but are you two friends?\- Yes, indeed we are! - Not on your life!\My, my, how cold we are!\We're longtime acquaintances response:	who've run into each other at the Vienna Opera House Ball several times.
context: If the student council president is hand-delivering mere documents,\you must have a lot of time on your hands.\Yes, as our students are all such good children, it makes our jobs so much easier.\I've been wondering about this yesterday, but are you two friends?\- Yes, indeed we are! - Not on your life!\My, my, how cold we are!\We're longtime acquaintances\who've run into each other at the Vienna Opera House Ball several times. response:	If you're done here, then why don't you take off?
context: you must have a lot of time on your hands.\Yes, as our students are all such good children, it makes our jobs so much easier.\I've been wondering about this yesterday, but are you two friends?\- Yes, indeed we are! - Not on your life!\My, my, how cold we are!\We're longtime acquaintances\who've run into each other at the Vienna Opera House Ball several times.\If you're done here, then why don't you take off? response:	Shoo, shoo!
context: Yes, as our students are all such good children, it makes our jobs so much easier.\I've been wondering about this yesterday, but are you two friends?\- Yes, indeed we are! - Not on your life!\My, my, how cold we are!\We're longtime acquaintances\who've run into each other at the Vienna Opera House Ball several times.\If you're done here, then why don't you take off?\Shoo, shoo! response:	Good day to you.
context: I've been wondering about this yesterday, but are you two friends?\- Yes, indeed we are! - Not on your life!\My, my, how cold we are!\We're longtime acquaintances\who've run into each other at the Vienna Opera House Ball several times.\If you're done here, then why don't you take off?\Shoo, shoo!\Good day to you. response:	However, tomorrow I'm going to have Ayato all to myself, so...
context: - Yes, indeed we are! - Not on your life!\My, my, how cold we are!\We're longtime acquaintances\who've run into each other at the Vienna Opera House Ball several times.\If you're done here, then why don't you take off?\Shoo, shoo!\Good day to you.\However, tomorrow I'm going to have Ayato all to myself, so... response:	consider yourself warned!
context: My, my, how cold we are!\We're longtime acquaintances\who've run into each other at the Vienna Opera House Ball several times.\If you're done here, then why don't you take off?\Shoo, shoo!\Good day to you.\However, tomorrow I'm going to have Ayato all to myself, so...\consider yourself warned! response:	Seriously, that vixen!
context: We're longtime acquaintances\who've run into each other at the Vienna Opera House Ball several times.\If you're done here, then why don't you take off?\Shoo, shoo!\Good day to you.\However, tomorrow I'm going to have Ayato all to myself, so...\consider yourself warned!\Seriously, that vixen! response:	Getting so carried away just because her breasts are somewhat large!
context: who've run into each other at the Vienna Opera House Ball several times.\If you're done here, then why don't you take off?\Shoo, shoo!\Good day to you.\However, tomorrow I'm going to have Ayato all to myself, so...\consider yourself warned!\Seriously, that vixen!\Getting so carried away just because her breasts are somewhat large! response:	At the end of the day, those things are nothing but fat, anyway!
context: If you're done here, then why don't you take off?\Shoo, shoo!\Good day to you.\However, tomorrow I'm going to have Ayato all to myself, so...\consider yourself warned!\Seriously, that vixen!\Getting so carried away just because her breasts are somewhat large!\At the end of the day, those things are nothing but fat, anyway! response:	Agreed.
context: Shoo, shoo!\Good day to you.\However, tomorrow I'm going to have Ayato all to myself, so...\consider yourself warned!\Seriously, that vixen!\Getting so carried away just because her breasts are somewhat large!\At the end of the day, those things are nothing but fat, anyway!\Agreed. response:	Hey! All right, then,
context: Good day to you.\However, tomorrow I'm going to have Ayato all to myself, so...\consider yourself warned!\Seriously, that vixen!\Getting so carried away just because her breasts are somewhat large!\At the end of the day, those things are nothing but fat, anyway!\Agreed.\Hey! All right, then, response:	since you're both here, maybe I'll have you both show me around?
context: However, tomorrow I'm going to have Ayato all to myself, so...\consider yourself warned!\Seriously, that vixen!\Getting so carried away just because her breasts are somewhat large!\At the end of the day, those things are nothing but fat, anyway!\Agreed.\Hey! All right, then,\since you're both here, maybe I'll have you both show me around? response:	Very well.
context: consider yourself warned!\Seriously, that vixen!\Getting so carried away just because her breasts are somewhat large!\At the end of the day, those things are nothing but fat, anyway!\Agreed.\Hey! All right, then,\since you're both here, maybe I'll have you both show me around?\Very well. response:	Oh, why not? It would be a pain to argue any further, anyway.
context: Seriously, that vixen!\Getting so carried away just because her breasts are somewhat large!\At the end of the day, those things are nothing but fat, anyway!\Agreed.\Hey! All right, then,\since you're both here, maybe I'll have you both show me around?\Very well.\Oh, why not? It would be a pain to argue any further, anyway. response:	This is the Club Building.
context: Getting so carried away just because her breasts are somewhat large!\At the end of the day, those things are nothing but fat, anyway!\Agreed.\Hey! All right, then,\since you're both here, maybe I'll have you both show me around?\Very well.\Oh, why not? It would be a pain to argue any further, anyway.\This is the Club Building. response:	Well, I suppose you'll be making your way here
context: At the end of the day, those things are nothing but fat, anyway!\Agreed.\Hey! All right, then,\since you're both here, maybe I'll have you both show me around?\Very well.\Oh, why not? It would be a pain to argue any further, anyway.\This is the Club Building.\Well, I suppose you'll be making your way here response:	when you want to lodge a complaint with the media clubs.
context: Agreed.\Hey! All right, then,\since you're both here, maybe I'll have you both show me around?\Very well.\Oh, why not? It would be a pain to argue any further, anyway.\This is the Club Building.\Well, I suppose you'll be making your way here\when you want to lodge a complaint with the media clubs. response:	This is the Committee Center.
context: Hey! All right, then,\since you're both here, maybe I'll have you both show me around?\Very well.\Oh, why not? It would be a pain to argue any further, anyway.\This is the Club Building.\Well, I suppose you'll be making your way here\when you want to lodge a complaint with the media clubs.\This is the Committee Center. response:	If you have any issues with your benefits, you need to go through here.
context: since you're both here, maybe I'll have you both show me around?\Very well.\Oh, why not? It would be a pain to argue any further, anyway.\This is the Club Building.\Well, I suppose you'll be making your way here\when you want to lodge a complaint with the media clubs.\This is the Committee Center.\If you have any issues with your benefits, you need to go through here. response:	I see.
context: Very well.\Oh, why not? It would be a pain to argue any further, anyway.\This is the Club Building.\Well, I suppose you'll be making your way here\when you want to lodge a complaint with the media clubs.\This is the Committee Center.\If you have any issues with your benefits, you need to go through here.\I see. response:	There are seven different places to eat on campus,
context: Oh, why not? It would be a pain to argue any further, anyway.\This is the Club Building.\Well, I suppose you'll be making your way here\when you want to lodge a complaint with the media clubs.\This is the Committee Center.\If you have any issues with your benefits, you need to go through here.\I see.\There are seven different places to eat on campus, response:	but since this underground cafeteria is often relatively empty, you should use it.
context: This is the Club Building.\Well, I suppose you'll be making your way here\when you want to lodge a complaint with the media clubs.\This is the Committee Center.\If you have any issues with your benefits, you need to go through here.\I see.\There are seven different places to eat on campus,\but since this underground cafeteria is often relatively empty, you should use it. response:	That's news to me.
context: Well, I suppose you'll be making your way here\when you want to lodge a complaint with the media clubs.\This is the Committee Center.\If you have any issues with your benefits, you need to go through here.\I see.\There are seven different places to eat on campus,\but since this underground cafeteria is often relatively empty, you should use it.\That's news to me. response:	You know, Sasamiya, it's not like I'm showing you around, you know.
context: when you want to lodge a complaint with the media clubs.\This is the Committee Center.\If you have any issues with your benefits, you need to go through here.\I see.\There are seven different places to eat on campus,\but since this underground cafeteria is often relatively empty, you should use it.\That's news to me.\You know, Sasamiya, it's not like I'm showing you around, you know. response:	Well, but I'm directionally-challenged.
context: This is the Committee Center.\If you have any issues with your benefits, you need to go through here.\I see.\There are seven different places to eat on campus,\but since this underground cafeteria is often relatively empty, you should use it.\That's news to me.\You know, Sasamiya, it's not like I'm showing you around, you know.\Well, but I'm directionally-challenged. response:	Then I'm amazed that you still insisted on giving the tour yourself!
context: If you have any issues with your benefits, you need to go through here.\I see.\There are seven different places to eat on campus,\but since this underground cafeteria is often relatively empty, you should use it.\That's news to me.\You know, Sasamiya, it's not like I'm showing you around, you know.\Well, but I'm directionally-challenged.\Then I'm amazed that you still insisted on giving the tour yourself! response:	That's not a compliment!
context: I see.\There are seven different places to eat on campus,\but since this underground cafeteria is often relatively empty, you should use it.\That's news to me.\You know, Sasamiya, it's not like I'm showing you around, you know.\Well, but I'm directionally-challenged.\Then I'm amazed that you still insisted on giving the tour yourself!\That's not a compliment! response:	H-Hey, let's take a break.
context: There are seven different places to eat on campus,\but since this underground cafeteria is often relatively empty, you should use it.\That's news to me.\You know, Sasamiya, it's not like I'm showing you around, you know.\Well, but I'm directionally-challenged.\Then I'm amazed that you still insisted on giving the tour yourself!\That's not a compliment!\H-Hey, let's take a break. response:	I'll go get us some drinks.
