context: The opening battle of the Union Fest response:	was the one-on-one between Ecle and myself.
context: Yeah!\Move forward!\Don't fret! Charge!\I see. I can tell you were Sink's teacher.\We've been working hard together since we were little.\Even if my opponent is you, the strongest in the land,\aiming to win is Galette's style!\I will go all out! response:	I look forward to it.
context: Move forward!\Don't fret! Charge!\I see. I can tell you were Sink's teacher.\We've been working hard together since we were little.\Even if my opponent is you, the strongest in the land,\aiming to win is Galette's style!\I will go all out!\I look forward to it. response:	Here I... go!
context: Don't fret! Charge!\I see. I can tell you were Sink's teacher.\We've been working hard together since we were little.\Even if my opponent is you, the strongest in the land,\aiming to win is Galette's style!\I will go all out!\I look forward to it.\Here I... go! response:	Tempest Slash!
context: I see. I can tell you were Sink's teacher.\We've been working hard together since we were little.\Even if my opponent is you, the strongest in the land,\aiming to win is Galette's style!\I will go all out!\I look forward to it.\Here I... go!\Tempest Slash! response:	Ex Machina, Form Change!
context: We've been working hard together since we were little.\Even if my opponent is you, the strongest in the land,\aiming to win is Galette's style!\I will go all out!\I look forward to it.\Here I... go!\Tempest Slash!\Ex Machina, Form Change! response:	Boomerang Slash!
context: Even if my opponent is you, the strongest in the land,\aiming to win is Galette's style!\I will go all out!\I look forward to it.\Here I... go!\Tempest Slash!\Ex Machina, Form Change!\Boomerang Slash! response:	Neptune Fist!
context: aiming to win is Galette's style!\I will go all out!\I look forward to it.\Here I... go!\Tempest Slash!\Ex Machina, Form Change!\Boomerang Slash!\Neptune Fist! response:	Bright Power Charge!
context: I will go all out!\I look forward to it.\Here I... go!\Tempest Slash!\Ex Machina, Form Change!\Boomerang Slash!\Neptune Fist!\Bright Power Charge! response:	Freeze!
context: I look forward to it.\Here I... go!\Tempest Slash!\Ex Machina, Form Change!\Boomerang Slash!\Neptune Fist!\Bright Power Charge!\Freeze! response:	Link active!
context: Here I... go!\Tempest Slash!\Ex Machina, Form Change!\Boomerang Slash!\Neptune Fist!\Bright Power Charge!\Freeze!\Link active! response:	Here I go!
context: Tempest Slash!\Ex Machina, Form Change!\Boomerang Slash!\Neptune Fist!\Bright Power Charge!\Freeze!\Link active!\Here I go! response:	This is...
context: Ex Machina, Form Change!\Boomerang Slash!\Neptune Fist!\Bright Power Charge!\Freeze!\Link active!\Here I go!\This is... response:	Finishing blow!
context: Boomerang Slash!\Neptune Fist!\Bright Power Charge!\Freeze!\Link active!\Here I go!\This is...\Finishing blow! response:	Lupine God Void Fang
context: Neptune Fist!\Bright Power Charge!\Freeze!\Link active!\Here I go!\This is...\Finishing blow!\Lupine God Void Fang response:	Demon Sealing Judgement!
context: Bright Power Charge!\Freeze!\Link active!\Here I go!\This is...\Finishing blow!\Lupine God Void Fang\Demon Sealing Judgement! response:	That was close...
context: Freeze!\Link active!\Here I go!\This is...\Finishing blow!\Lupine God Void Fang\Demon Sealing Judgement!\That was close... response:	Oh, no...
context: Link active!\Here I go!\This is...\Finishing blow!\Lupine God Void Fang\Demon Sealing Judgement!\That was close...\Oh, no... response:	Wow! Lady d'Arquien's armor was destroyed!
context: Here I go!\This is...\Finishing blow!\Lupine God Void Fang\Demon Sealing Judgement!\That was close...\Oh, no...\Wow! Lady d'Arquien's armor was destroyed! response:	Hero Nanami's boomerang flew down from above and hit!
context: This is...\Finishing blow!\Lupine God Void Fang\Demon Sealing Judgement!\That was close...\Oh, no...\Wow! Lady d'Arquien's armor was destroyed!\Hero Nanami's boomerang flew down from above and hit! response:	Even though Hero Nanami went down,
context: Finishing blow!\Lupine God Void Fang\Demon Sealing Judgement!\That was close...\Oh, no...\Wow! Lady d'Arquien's armor was destroyed!\Hero Nanami's boomerang flew down from above and hit!\Even though Hero Nanami went down, response:	this was excellent!
context: Lupine God Void Fang\Demon Sealing Judgement!\That was close...\Oh, no...\Wow! Lady d'Arquien's armor was destroyed!\Hero Nanami's boomerang flew down from above and hit!\Even though Hero Nanami went down,\this was excellent! response:	Galette Spirit...
context: Demon Sealing Judgement!\That was close...\Oh, no...\Wow! Lady d'Arquien's armor was destroyed!\Hero Nanami's boomerang flew down from above and hit!\Even though Hero Nanami went down,\this was excellent!\Galette Spirit... response:	Biscotti's strong in both one-on-ones and in the group battles.
context: That was close...\Oh, no...\Wow! Lady d'Arquien's armor was destroyed!\Hero Nanami's boomerang flew down from above and hit!\Even though Hero Nanami went down,\this was excellent!\Galette Spirit...\Biscotti's strong in both one-on-ones and in the group battles. response:	We're going to ride this high and push through!
context: Oh, no...\Wow! Lady d'Arquien's armor was destroyed!\Hero Nanami's boomerang flew down from above and hit!\Even though Hero Nanami went down,\this was excellent!\Galette Spirit...\Biscotti's strong in both one-on-ones and in the group battles.\We're going to ride this high and push through! response:	High's don't matter!
context: Wow! Lady d'Arquien's armor was destroyed!\Hero Nanami's boomerang flew down from above and hit!\Even though Hero Nanami went down,\this was excellent!\Galette Spirit...\Biscotti's strong in both one-on-ones and in the group battles.\We're going to ride this high and push through!\High's don't matter! response:	Fighting with skill and power is Galette's style!
context: Hero Nanami's boomerang flew down from above and hit!\Even though Hero Nanami went down,\this was excellent!\Galette Spirit...\Biscotti's strong in both one-on-ones and in the group battles.\We're going to ride this high and push through!\High's don't matter!\Fighting with skill and power is Galette's style! response:	I'm going all out!
context: Even though Hero Nanami went down,\this was excellent!\Galette Spirit...\Biscotti's strong in both one-on-ones and in the group battles.\We're going to ride this high and push through!\High's don't matter!\Fighting with skill and power is Galette's style!\I'm going all out! response:	Transform!
context: this was excellent!\Galette Spirit...\Biscotti's strong in both one-on-ones and in the group battles.\We're going to ride this high and push through!\High's don't matter!\Fighting with skill and power is Galette's style!\I'm going all out!\Transform! response:	T-Transform?!
context: Galette Spirit...\Biscotti's strong in both one-on-ones and in the group battles.\We're going to ride this high and push through!\High's don't matter!\Fighting with skill and power is Galette's style!\I'm going all out!\Transform!\T-Transform?! response:	Who are those hotties?
context: Biscotti's strong in both one-on-ones and in the group battles.\We're going to ride this high and push through!\High's don't matter!\Fighting with skill and power is Galette's style!\I'm going all out!\Transform!\T-Transform?!\Who are those hotties? response:	The details are secret, but this is their special move!
context: We're going to ride this high and push through!\High's don't matter!\Fighting with skill and power is Galette's style!\I'm going all out!\Transform!\T-Transform?!\Who are those hotties?\The details are secret, but this is their special move! response:	Apparently this is a hypercharged mode where
context: High's don't matter!\Fighting with skill and power is Galette's style!\I'm going all out!\Transform!\T-Transform?!\Who are those hotties?\The details are secret, but this is their special move!\Apparently this is a hypercharged mode where response:	all their powers gain in potency!
context: Fighting with skill and power is Galette's style!\I'm going all out!\Transform!\T-Transform?!\Who are those hotties?\The details are secret, but this is their special move!\Apparently this is a hypercharged mode where\all their powers gain in potency! response:	Is that okay?
context: I'm going all out!\Transform!\T-Transform?!\Who are those hotties?\The details are secret, but this is their special move!\Apparently this is a hypercharged mode where\all their powers gain in potency!\Is that okay? response:	Using that in public?
context: Transform!\T-Transform?!\Who are those hotties?\The details are secret, but this is their special move!\Apparently this is a hypercharged mode where\all their powers gain in potency!\Is that okay?\Using that in public? response:	Yes, I actually recommended it.
context: T-Transform?!\Who are those hotties?\The details are secret, but this is their special move!\Apparently this is a hypercharged mode where\all their powers gain in potency!\Is that okay?\Using that in public?\Yes, I actually recommended it. response:	That's another proper way that will lead
context: Who are those hotties?\The details are secret, but this is their special move!\Apparently this is a hypercharged mode where\all their powers gain in potency!\Is that okay?\Using that in public?\Yes, I actually recommended it.\That's another proper way that will lead response:	to giving people hope and joy.
context: The details are secret, but this is their special move!\Apparently this is a hypercharged mode where\all their powers gain in potency!\Is that okay?\Using that in public?\Yes, I actually recommended it.\That's another proper way that will lead\to giving people hope and joy. response:	That's fine, but you need to calm down.
context: Apparently this is a hypercharged mode where\all their powers gain in potency!\Is that okay?\Using that in public?\Yes, I actually recommended it.\That's another proper way that will lead\to giving people hope and joy.\That's fine, but you need to calm down. response:	Furious Lightning Strike!
context: all their powers gain in potency!\Is that okay?\Using that in public?\Yes, I actually recommended it.\That's another proper way that will lead\to giving people hope and joy.\That's fine, but you need to calm down.\Furious Lightning Strike! response:	You're annoying, Rico!
context: Is that okay?\Using that in public?\Yes, I actually recommended it.\That's another proper way that will lead\to giving people hope and joy.\That's fine, but you need to calm down.\Furious Lightning Strike!\You're annoying, Rico! response:	You bet I am!
context: Using that in public?\Yes, I actually recommended it.\That's another proper way that will lead\to giving people hope and joy.\That's fine, but you need to calm down.\Furious Lightning Strike!\You're annoying, Rico!\You bet I am! response:	Ecle really gave her best today!
context: Yes, I actually recommended it.\That's another proper way that will lead\to giving people hope and joy.\That's fine, but you need to calm down.\Furious Lightning Strike!\You're annoying, Rico!\You bet I am!\Ecle really gave her best today! response:	I have to show the princess and the Heroes that
context: That's another proper way that will lead\to giving people hope and joy.\That's fine, but you need to calm down.\Furious Lightning Strike!\You're annoying, Rico!\You bet I am!\Ecle really gave her best today!\I have to show the princess and the Heroes that response:	I am capable as well!
context: to giving people hope and joy.\That's fine, but you need to calm down.\Furious Lightning Strike!\You're annoying, Rico!\You bet I am!\Ecle really gave her best today!\I have to show the princess and the Heroes that\I am capable as well! response:	The same goes for me!
context: That's fine, but you need to calm down.\Furious Lightning Strike!\You're annoying, Rico!\You bet I am!\Ecle really gave her best today!\I have to show the princess and the Heroes that\I am capable as well!\The same goes for me! response:	Pastillage's people are watching!
context: Furious Lightning Strike!\You're annoying, Rico!\You bet I am!\Ecle really gave her best today!\I have to show the princess and the Heroes that\I am capable as well!\The same goes for me!\Pastillage's people are watching! response:	I cannot lose this fight!
context: You're annoying, Rico!\You bet I am!\Ecle really gave her best today!\I have to show the princess and the Heroes that\I am capable as well!\The same goes for me!\Pastillage's people are watching!\I cannot lose this fight! response:	Harlan, here we go!
context: You bet I am!\Ecle really gave her best today!\I have to show the princess and the Heroes that\I am capable as well!\The same goes for me!\Pastillage's people are watching!\I cannot lose this fight!\Harlan, here we go! response:	Both of them are incredible...
context: Ecle really gave her best today!\I have to show the princess and the Heroes that\I am capable as well!\The same goes for me!\Pastillage's people are watching!\I cannot lose this fight!\Harlan, here we go!\Both of them are incredible... response:	Yeah...
context: I have to show the princess and the Heroes that\I am capable as well!\The same goes for me!\Pastillage's people are watching!\I cannot lose this fight!\Harlan, here we go!\Both of them are incredible...\Yeah... response:	Truth be told, I was a bit nervous
context: I am capable as well!\The same goes for me!\Pastillage's people are watching!\I cannot lose this fight!\Harlan, here we go!\Both of them are incredible...\Yeah...\Truth be told, I was a bit nervous response:	about this vacation.
context: The same goes for me!\Pastillage's people are watching!\I cannot lose this fight!\Harlan, here we go!\Both of them are incredible...\Yeah...\Truth be told, I was a bit nervous\about this vacation. response:	Sink had told me that he really loved this place,
context: Pastillage's people are watching!\I cannot lose this fight!\Harlan, here we go!\Both of them are incredible...\Yeah...\Truth be told, I was a bit nervous\about this vacation.\Sink had told me that he really loved this place, response:	where he made tons of new friends...
context: I cannot lose this fight!\Harlan, here we go!\Both of them are incredible...\Yeah...\Truth be told, I was a bit nervous\about this vacation.\Sink had told me that he really loved this place,\where he made tons of new friends... response:	I was afraid that there'd be no place for me there.
context: Harlan, here we go!\Both of them are incredible...\Yeah...\Truth be told, I was a bit nervous\about this vacation.\Sink had told me that he really loved this place,\where he made tons of new friends...\I was afraid that there'd be no place for me there. response:	That'd never happen!
context: Both of them are incredible...\Yeah...\Truth be told, I was a bit nervous\about this vacation.\Sink had told me that he really loved this place,\where he made tons of new friends...\I was afraid that there'd be no place for me there.\That'd never happen! response:	You're an important guest!
context: Yeah...\Truth be told, I was a bit nervous\about this vacation.\Sink had told me that he really loved this place,\where he made tons of new friends...\I was afraid that there'd be no place for me there.\That'd never happen!\You're an important guest! response:	and Cou-sama even made me a Hero.
context: Truth be told, I was a bit nervous\about this vacation.\Sink had told me that he really loved this place,\where he made tons of new friends...\I was afraid that there'd be no place for me there.\That'd never happen!\You're an important guest!\and Cou-sama even made me a Hero. response:	I was able to become friends with such a
context: about this vacation.\Sink had told me that he really loved this place,\where he made tons of new friends...\I was afraid that there'd be no place for me there.\That'd never happen!\You're an important guest!\and Cou-sama even made me a Hero.\I was able to become friends with such a response:	nice and cute Princess as you.
context: Sink had told me that he really loved this place,\where he made tons of new friends...\I was afraid that there'd be no place for me there.\That'd never happen!\You're an important guest!\and Cou-sama even made me a Hero.\I was able to become friends with such a\nice and cute Princess as you. response:	I'm glad I was able to come here.
context: where he made tons of new friends...\I was afraid that there'd be no place for me there.\That'd never happen!\You're an important guest!\and Cou-sama even made me a Hero.\I was able to become friends with such a\nice and cute Princess as you.\I'm glad I was able to come here. response:	I'm really glad I was able to
context: I was afraid that there'd be no place for me there.\That'd never happen!\You're an important guest!\and Cou-sama even made me a Hero.\I was able to become friends with such a\nice and cute Princess as you.\I'm glad I was able to come here.\I'm really glad I was able to response:	become friends with you!
context: That'd never happen!\You're an important guest!\and Cou-sama even made me a Hero.\I was able to become friends with such a\nice and cute Princess as you.\I'm glad I was able to come here.\I'm really glad I was able to\become friends with you! response:	I feel the same way, Rebecca!
context: You're an important guest!\and Cou-sama even made me a Hero.\I was able to become friends with such a\nice and cute Princess as you.\I'm glad I was able to come here.\I'm really glad I was able to\become friends with you!\I feel the same way, Rebecca! response:	Wouldn't it be really fun if the two of us
context: and Cou-sama even made me a Hero.\I was able to become friends with such a\nice and cute Princess as you.\I'm glad I was able to come here.\I'm really glad I was able to\become friends with you!\I feel the same way, Rebecca!\Wouldn't it be really fun if the two of us response:	could have a fight during tomorrow's war?
context: I was able to become friends with such a\nice and cute Princess as you.\I'm glad I was able to come here.\I'm really glad I was able to\become friends with you!\I feel the same way, Rebecca!\Wouldn't it be really fun if the two of us\could have a fight during tomorrow's war? response:	Hero versus Princess.
context: nice and cute Princess as you.\I'm glad I was able to come here.\I'm really glad I was able to\become friends with you!\I feel the same way, Rebecca!\Wouldn't it be really fun if the two of us\could have a fight during tomorrow's war?\Hero versus Princess. response:	Yes, certainly!
context: I'm glad I was able to come here.\I'm really glad I was able to\become friends with you!\I feel the same way, Rebecca!\Wouldn't it be really fun if the two of us\could have a fight during tomorrow's war?\Hero versus Princess.\Yes, certainly! response:	Cheering on and watching over
context: I'm really glad I was able to\become friends with you!\I feel the same way, Rebecca!\Wouldn't it be really fun if the two of us\could have a fight during tomorrow's war?\Hero versus Princess.\Yes, certainly!\Cheering on and watching over response:	someone you love is fun...
context: become friends with you!\I feel the same way, Rebecca!\Wouldn't it be really fun if the two of us\could have a fight during tomorrow's war?\Hero versus Princess.\Yes, certainly!\Cheering on and watching over\someone you love is fun... response:	but being able to compete with them is even better!
context: I feel the same way, Rebecca!\Wouldn't it be really fun if the two of us\could have a fight during tomorrow's war?\Hero versus Princess.\Yes, certainly!\Cheering on and watching over\someone you love is fun...\but being able to compete with them is even better! response:	Because you're somone I love,
context: Wouldn't it be really fun if the two of us\could have a fight during tomorrow's war?\Hero versus Princess.\Yes, certainly!\Cheering on and watching over\someone you love is fun...\but being able to compete with them is even better!\Because you're somone I love, response:	I want you to see...
context: could have a fight during tomorrow's war?\Hero versus Princess.\Yes, certainly!\Cheering on and watching over\someone you love is fun...\but being able to compete with them is even better!\Because you're somone I love,\I want you to see... response:	my passion and my unrelenting courage!
context: Hero versus Princess.\Yes, certainly!\Cheering on and watching over\someone you love is fun...\but being able to compete with them is even better!\Because you're somone I love,\I want you to see...\my passion and my unrelenting courage! response:	Here I go, Princess!
context: Yes, certainly!\Cheering on and watching over\someone you love is fun...\but being able to compete with them is even better!\Because you're somone I love,\I want you to see...\my passion and my unrelenting courage!\Here I go, Princess! response:	Witch Cannon - Asterism Strive!
context: Cheering on and watching over\someone you love is fun...\but being able to compete with them is even better!\Because you're somone I love,\I want you to see...\my passion and my unrelenting courage!\Here I go, Princess!\Witch Cannon - Asterism Strive! response:	Right, Rebecca!
context: someone you love is fun...\but being able to compete with them is even better!\Because you're somone I love,\I want you to see...\my passion and my unrelenting courage!\Here I go, Princess!\Witch Cannon - Asterism Strive!\Right, Rebecca! response:	Excelide!
context: but being able to compete with them is even better!\Because you're somone I love,\I want you to see...\my passion and my unrelenting courage!\Here I go, Princess!\Witch Cannon - Asterism Strive!\Right, Rebecca!\Excelide! response:	The Princess's and Rebecca-sama's biggest
context: Because you're somone I love,\I want you to see...\my passion and my unrelenting courage!\Here I go, Princess!\Witch Cannon - Asterism Strive!\Right, Rebecca!\Excelide!\The Princess's and Rebecca-sama's biggest response:	attacks just clashed!
context: I want you to see...\my passion and my unrelenting courage!\Here I go, Princess!\Witch Cannon - Asterism Strive!\Right, Rebecca!\Excelide!\The Princess's and Rebecca-sama's biggest\attacks just clashed! response:	Both were finishing moves!
context: my passion and my unrelenting courage!\Here I go, Princess!\Witch Cannon - Asterism Strive!\Right, Rebecca!\Excelide!\The Princess's and Rebecca-sama's biggest\attacks just clashed!\Both were finishing moves! response:	Who was victorious?
context: Here I go, Princess!\Witch Cannon - Asterism Strive!\Right, Rebecca!\Excelide!\The Princess's and Rebecca-sama's biggest\attacks just clashed!\Both were finishing moves!\Who was victorious? response:	Princess!
context: Witch Cannon - Asterism Strive!\Right, Rebecca!\Excelide!\The Princess's and Rebecca-sama's biggest\attacks just clashed!\Both were finishing moves!\Who was victorious?\Princess! response:	I'm coming right away!
context: Right, Rebecca!\Excelide!\The Princess's and Rebecca-sama's biggest\attacks just clashed!\Both were finishing moves!\Who was victorious?\Princess!\I'm coming right away! response:	What? Seriously?!
context: Excelide!\The Princess's and Rebecca-sama's biggest\attacks just clashed!\Both were finishing moves!\Who was victorious?\Princess!\I'm coming right away!\What? Seriously?! response:	Princess, Princess, wake up!
context: The Princess's and Rebecca-sama's biggest\attacks just clashed!\Both were finishing moves!\Who was victorious?\Princess!\I'm coming right away!\What? Seriously?!\Princess, Princess, wake up! response:	Huh?
context: attacks just clashed!\Both were finishing moves!\Who was victorious?\Princess!\I'm coming right away!\What? Seriously?!\Princess, Princess, wake up!\Huh? response:	We're falling! It's bad!
context: Both were finishing moves!\Who was victorious?\Princess!\I'm coming right away!\What? Seriously?!\Princess, Princess, wake up!\Huh?\We're falling! It's bad! response:	Oh no! We have to save them!
context: Who was victorious?\Princess!\I'm coming right away!\What? Seriously?!\Princess, Princess, wake up!\Huh?\We're falling! It's bad!\Oh no! We have to save them! response:	Yes, indeed!
context: Princess!\I'm coming right away!\What? Seriously?!\Princess, Princess, wake up!\Huh?\We're falling! It's bad!\Oh no! We have to save them!\Yes, indeed! response:	That was a good fight,
context: I'm coming right away!\What? Seriously?!\Princess, Princess, wake up!\Huh?\We're falling! It's bad!\Oh no! We have to save them!\Yes, indeed!\That was a good fight, response:	but you have to stay safe.
context: What? Seriously?!\Princess, Princess, wake up!\Huh?\We're falling! It's bad!\Oh no! We have to save them!\Yes, indeed!\That was a good fight,\but you have to stay safe. response:	It'd be really bad if either of you got hurt.
context: Princess, Princess, wake up!\Huh?\We're falling! It's bad!\Oh no! We have to save them!\Yes, indeed!\That was a good fight,\but you have to stay safe.\It'd be really bad if either of you got hurt. response:	Sink...
context: Huh?\We're falling! It's bad!\Oh no! We have to save them!\Yes, indeed!\That was a good fight,\but you have to stay safe.\It'd be really bad if either of you got hurt.\Sink... response:	Hero Sink has gracefully saved them in midair!
context: We're falling! It's bad!\Oh no! We have to save them!\Yes, indeed!\That was a good fight,\but you have to stay safe.\It'd be really bad if either of you got hurt.\Sink...\Hero Sink has gracefully saved them in midair! response:	It appears that he went to save them
context: Oh no! We have to save them!\Yes, indeed!\That was a good fight,\but you have to stay safe.\It'd be really bad if either of you got hurt.\Sink...\Hero Sink has gracefully saved them in midair!\It appears that he went to save them response:	right after he defeated Prince Gaul!
context: Yes, indeed!\That was a good fight,\but you have to stay safe.\It'd be really bad if either of you got hurt.\Sink...\Hero Sink has gracefully saved them in midair!\It appears that he went to save them\right after he defeated Prince Gaul! response:	I didn't lose!
context: That was a good fight,\but you have to stay safe.\It'd be really bad if either of you got hurt.\Sink...\Hero Sink has gracefully saved them in midair!\It appears that he went to save them\right after he defeated Prince Gaul!\I didn't lose! response:	I let him have this one!
context: but you have to stay safe.\It'd be really bad if either of you got hurt.\Sink...\Hero Sink has gracefully saved them in midair!\It appears that he went to save them\right after he defeated Prince Gaul!\I didn't lose!\I let him have this one! response:	Umm... Thank you, Sink.
context: It'd be really bad if either of you got hurt.\Sink...\Hero Sink has gracefully saved them in midair!\It appears that he went to save them\right after he defeated Prince Gaul!\I didn't lose!\I let him have this one!\Umm... Thank you, Sink. response:	Thank you very much!
context: Sink...\Hero Sink has gracefully saved them in midair!\It appears that he went to save them\right after he defeated Prince Gaul!\I didn't lose!\I let him have this one!\Umm... Thank you, Sink.\Thank you very much! response:	The Princess' and Hero Rebecca's armor was destroyed!
context: Hero Sink has gracefully saved them in midair!\It appears that he went to save them\right after he defeated Prince Gaul!\I didn't lose!\I let him have this one!\Umm... Thank you, Sink.\Thank you very much!\The Princess' and Hero Rebecca's armor was destroyed! response:	Now we did it...
context: It appears that he went to save them\right after he defeated Prince Gaul!\I didn't lose!\I let him have this one!\Umm... Thank you, Sink.\Thank you very much!\The Princess' and Hero Rebecca's armor was destroyed!\Now we did it... response:	I'm sorry!
context: right after he defeated Prince Gaul!\I didn't lose!\I let him have this one!\Umm... Thank you, Sink.\Thank you very much!\The Princess' and Hero Rebecca's armor was destroyed!\Now we did it...\I'm sorry! response:	Looks like they need our rescue after all.
context: I didn't lose!\I let him have this one!\Umm... Thank you, Sink.\Thank you very much!\The Princess' and Hero Rebecca's armor was destroyed!\Now we did it...\I'm sorry!\Looks like they need our rescue after all. response:	Yes, indeed.
context: I let him have this one!\Umm... Thank you, Sink.\Thank you very much!\The Princess' and Hero Rebecca's armor was destroyed!\Now we did it...\I'm sorry!\Looks like they need our rescue after all.\Yes, indeed. response:	Hero Nanami's back!
context: Umm... Thank you, Sink.\Thank you very much!\The Princess' and Hero Rebecca's armor was destroyed!\Now we did it...\I'm sorry!\Looks like they need our rescue after all.\Yes, indeed.\Hero Nanami's back! response:	Biscotti's got the most victory points!
context: Thank you very much!\The Princess' and Hero Rebecca's armor was destroyed!\Now we did it...\I'm sorry!\Looks like they need our rescue after all.\Yes, indeed.\Hero Nanami's back!\Biscotti's got the most victory points! response:	Can Galette catch up?
context: The Princess' and Hero Rebecca's armor was destroyed!\Now we did it...\I'm sorry!\Looks like they need our rescue after all.\Yes, indeed.\Hero Nanami's back!\Biscotti's got the most victory points!\Can Galette catch up? response:	Shut up, we'll overtake them now!
context: Now we did it...\I'm sorry!\Looks like they need our rescue after all.\Yes, indeed.\Hero Nanami's back!\Biscotti's got the most victory points!\Can Galette catch up?\Shut up, we'll overtake them now! response:	Right!
context: I'm sorry!\Looks like they need our rescue after all.\Yes, indeed.\Hero Nanami's back!\Biscotti's got the most victory points!\Can Galette catch up?\Shut up, we'll overtake them now!\Right! response:	Will Pastillage, currently in last place, be all right?!
context: Looks like they need our rescue after all.\Yes, indeed.\Hero Nanami's back!\Biscotti's got the most victory points!\Can Galette catch up?\Shut up, we'll overtake them now!\Right!\Will Pastillage, currently in last place, be all right?! response:	Pastillage Main Camp
context: Yes, indeed.\Hero Nanami's back!\Biscotti's got the most victory points!\Can Galette catch up?\Shut up, we'll overtake them now!\Right!\Will Pastillage, currently in last place, be all right?!\Pastillage Main Camp response:	The point gap keeps growing!
context: Hero Nanami's back!\Biscotti's got the most victory points!\Can Galette catch up?\Shut up, we'll overtake them now!\Right!\Will Pastillage, currently in last place, be all right?!\Pastillage Main Camp\The point gap keeps growing! response:	Will there really be a chance for an upset?!
context: Biscotti's got the most victory points!\Can Galette catch up?\Shut up, we'll overtake them now!\Right!\Will Pastillage, currently in last place, be all right?!\Pastillage Main Camp\The point gap keeps growing!\Will there really be a chance for an upset?! response:	Your motherland's in danger.
context: Can Galette catch up?\Shut up, we'll overtake them now!\Right!\Will Pastillage, currently in last place, be all right?!\Pastillage Main Camp\The point gap keeps growing!\Will there really be a chance for an upset?!\Your motherland's in danger. response:	Don't you have to go save them?
context: Shut up, we'll overtake them now!\Right!\Will Pastillage, currently in last place, be all right?!\Pastillage Main Camp\The point gap keeps growing!\Will there really be a chance for an upset?!\Your motherland's in danger.\Don't you have to go save them? response:	If you don't want to show your true identity, use this.
context: Right!\Will Pastillage, currently in last place, be all right?!\Pastillage Main Camp\The point gap keeps growing!\Will there really be a chance for an upset?!\Your motherland's in danger.\Don't you have to go save them?\If you don't want to show your true identity, use this. response:	People of Pastillage!
context: Will Pastillage, currently in last place, be all right?!\Pastillage Main Camp\The point gap keeps growing!\Will there really be a chance for an upset?!\Your motherland's in danger.\Don't you have to go save them?\If you don't want to show your true identity, use this.\People of Pastillage! response:	Sorry to keep you waiting!
context: Pastillage Main Camp\The point gap keeps growing!\Will there really be a chance for an upset?!\Your motherland's in danger.\Don't you have to go save them?\If you don't want to show your true identity, use this.\People of Pastillage!\Sorry to keep you waiting! response:	For justice!
context: The point gap keeps growing!\Will there really be a chance for an upset?!\Your motherland's in danger.\Don't you have to go save them?\If you don't want to show your true identity, use this.\People of Pastillage!\Sorry to keep you waiting!\For justice! response:	For hope!
context: Will there really be a chance for an upset?!\Your motherland's in danger.\Don't you have to go save them?\If you don't want to show your true identity, use this.\People of Pastillage!\Sorry to keep you waiting!\For justice!\For hope! response:	Here to aid Pastillage, I am Hero Mask!
context: Your motherland's in danger.\Don't you have to go save them?\If you don't want to show your true identity, use this.\People of Pastillage!\Sorry to keep you waiting!\For justice!\For hope!\Here to aid Pastillage, I am Hero Mask! response:	Yup!
context: Don't you have to go save them?\If you don't want to show your true identity, use this.\People of Pastillage!\Sorry to keep you waiting!\For justice!\For hope!\Here to aid Pastillage, I am Hero Mask!\Yup! response:	She's really into it.
context: If you don't want to show your true identity, use this.\People of Pastillage!\Sorry to keep you waiting!\For justice!\For hope!\Here to aid Pastillage, I am Hero Mask!\Yup!\She's really into it. response:	Adel-sama's wonderful.
context: People of Pastillage!\Sorry to keep you waiting!\For justice!\For hope!\Here to aid Pastillage, I am Hero Mask!\Yup!\She's really into it.\Adel-sama's wonderful. response:	If the Hero King, I mean... If Hero Mask's our opponent...
context: Sorry to keep you waiting!\For justice!\For hope!\Here to aid Pastillage, I am Hero Mask!\Yup!\She's really into it.\Adel-sama's wonderful.\If the Hero King, I mean... If Hero Mask's our opponent... response:	The three youngsters from Biscotti...
context: For justice!\For hope!\Here to aid Pastillage, I am Hero Mask!\Yup!\She's really into it.\Adel-sama's wonderful.\If the Hero King, I mean... If Hero Mask's our opponent...\The three youngsters from Biscotti... response:	Will rise to the challenge!
context: For hope!\Here to aid Pastillage, I am Hero Mask!\Yup!\She's really into it.\Adel-sama's wonderful.\If the Hero King, I mean... If Hero Mask's our opponent...\The three youngsters from Biscotti...\Will rise to the challenge! response:	Sounds good, bring it on!
context: Here to aid Pastillage, I am Hero Mask!\Yup!\She's really into it.\Adel-sama's wonderful.\If the Hero King, I mean... If Hero Mask's our opponent...\The three youngsters from Biscotti...\Will rise to the challenge!\Sounds good, bring it on! response:	Union Fest, the event that takes place
context: Yup!\She's really into it.\Adel-sama's wonderful.\If the Hero King, I mean... If Hero Mask's our opponent...\The three youngsters from Biscotti...\Will rise to the challenge!\Sounds good, bring it on!\Union Fest, the event that takes place response:	when the three countries are united.
context: She's really into it.\Adel-sama's wonderful.\If the Hero King, I mean... If Hero Mask's our opponent...\The three youngsters from Biscotti...\Will rise to the challenge!\Sounds good, bring it on!\Union Fest, the event that takes place\when the three countries are united. response:	The first day of the war was intense and fun...
context: Adel-sama's wonderful.\If the Hero King, I mean... If Hero Mask's our opponent...\The three youngsters from Biscotti...\Will rise to the challenge!\Sounds good, bring it on!\Union Fest, the event that takes place\when the three countries are united.\The first day of the war was intense and fun... response:	but it was just still just beginning!
