context: Got tickets for the premier showing? response:	Nope. Radio Taikan was completely out.
context: Let's get going.\I'll treat you to anything you like as thanks for the advice.\You don't have to...\It's fine.\I owe you for helping me study too.\Okay!\What should I get?\Could you not drool over your eroge so brazenly in public like that? response:	I'm free to do what I want!
context: I'll treat you to anything you like as thanks for the advice.\You don't have to...\It's fine.\I owe you for helping me study too.\Okay!\What should I get?\Could you not drool over your eroge so brazenly in public like that?\I'm free to do what I want! response:	I'm holding myself back from going home right now to play this.
context: You don't have to...\It's fine.\I owe you for helping me study too.\Okay!\What should I get?\Could you not drool over your eroge so brazenly in public like that?\I'm free to do what I want!\I'm holding myself back from going home right now to play this. response:	Be more appreciative!
context: It's fine.\I owe you for helping me study too.\Okay!\What should I get?\Could you not drool over your eroge so brazenly in public like that?\I'm free to do what I want!\I'm holding myself back from going home right now to play this.\Be more appreciative! response:	Appreciative of what now?
context: I owe you for helping me study too.\Okay!\What should I get?\Could you not drool over your eroge so brazenly in public like that?\I'm free to do what I want!\I'm holding myself back from going home right now to play this.\Be more appreciative!\Appreciative of what now? response:	I understand how you feel, Miss Kiririn!
context: Okay!\What should I get?\Could you not drool over your eroge so brazenly in public like that?\I'm free to do what I want!\I'm holding myself back from going home right now to play this.\Be more appreciative!\Appreciative of what now?\I understand how you feel, Miss Kiririn! response:	I get to read the doujins I worked so hard to find later...
context: What should I get?\Could you not drool over your eroge so brazenly in public like that?\I'm free to do what I want!\I'm holding myself back from going home right now to play this.\Be more appreciative!\Appreciative of what now?\I understand how you feel, Miss Kiririn!\I get to read the doujins I worked so hard to find later... response:	Or maybe I'll read them tomorrow...
context: Could you not drool over your eroge so brazenly in public like that?\I'm free to do what I want!\I'm holding myself back from going home right now to play this.\Be more appreciative!\Appreciative of what now?\I understand how you feel, Miss Kiririn!\I get to read the doujins I worked so hard to find later...\Or maybe I'll read them tomorrow... response:	Pushing it back a day is another kind of pleasure.
context: I'm free to do what I want!\I'm holding myself back from going home right now to play this.\Be more appreciative!\Appreciative of what now?\I understand how you feel, Miss Kiririn!\I get to read the doujins I worked so hard to find later...\Or maybe I'll read them tomorrow...\Pushing it back a day is another kind of pleasure. response:	Oh, right...
context: I'm holding myself back from going home right now to play this.\Be more appreciative!\Appreciative of what now?\I understand how you feel, Miss Kiririn!\I get to read the doujins I worked so hard to find later...\Or maybe I'll read them tomorrow...\Pushing it back a day is another kind of pleasure.\Oh, right... response:	Here's the DVDs, as promised.
context: Be more appreciative!\Appreciative of what now?\I understand how you feel, Miss Kiririn!\I get to read the doujins I worked so hard to find later...\Or maybe I'll read them tomorrow...\Pushing it back a day is another kind of pleasure.\Oh, right...\Here's the DVDs, as promised. response:	I don't remember agreeing to anything...
context: Appreciative of what now?\I understand how you feel, Miss Kiririn!\I get to read the doujins I worked so hard to find later...\Or maybe I'll read them tomorrow...\Pushing it back a day is another kind of pleasure.\Oh, right...\Here's the DVDs, as promised.\I don't remember agreeing to anything... response:	Oh?
context: I understand how you feel, Miss Kiririn!\I get to read the doujins I worked so hard to find later...\Or maybe I'll read them tomorrow...\Pushing it back a day is another kind of pleasure.\Oh, right...\Here's the DVDs, as promised.\I don't remember agreeing to anything...\Oh? response:	Weren't you begging me to lend you the Meruru DVDs earlier?
context: I get to read the doujins I worked so hard to find later...\Or maybe I'll read them tomorrow...\Pushing it back a day is another kind of pleasure.\Oh, right...\Here's the DVDs, as promised.\I don't remember agreeing to anything...\Oh?\Weren't you begging me to lend you the Meruru DVDs earlier? response:	What kind of image do you have of me, exactly?
context: Or maybe I'll read them tomorrow...\Pushing it back a day is another kind of pleasure.\Oh, right...\Here's the DVDs, as promised.\I don't remember agreeing to anything...\Oh?\Weren't you begging me to lend you the Meruru DVDs earlier?\What kind of image do you have of me, exactly? response:	It's good to see how well you two get along!
context: Pushing it back a day is another kind of pleasure.\Oh, right...\Here's the DVDs, as promised.\I don't remember agreeing to anything...\Oh?\Weren't you begging me to lend you the Meruru DVDs earlier?\What kind of image do you have of me, exactly?\It's good to see how well you two get along! response:	I actually recorded Meruru but never got around to watching it...
context: Oh, right...\Here's the DVDs, as promised.\I don't remember agreeing to anything...\Oh?\Weren't you begging me to lend you the Meruru DVDs earlier?\What kind of image do you have of me, exactly?\It's good to see how well you two get along!\I actually recorded Meruru but never got around to watching it... response:	After hearing you talk so passionately about it yesterday, I figured I should give it a try.
context: Here's the DVDs, as promised.\I don't remember agreeing to anything...\Oh?\Weren't you begging me to lend you the Meruru DVDs earlier?\What kind of image do you have of me, exactly?\It's good to see how well you two get along!\I actually recorded Meruru but never got around to watching it...\After hearing you talk so passionately about it yesterday, I figured I should give it a try. response:	What?!
context: I don't remember agreeing to anything...\Oh?\Weren't you begging me to lend you the Meruru DVDs earlier?\What kind of image do you have of me, exactly?\It's good to see how well you two get along!\I actually recorded Meruru but never got around to watching it...\After hearing you talk so passionately about it yesterday, I figured I should give it a try.\What?! response:	You're missing out on life if you haven't watched it!
context: Oh?\Weren't you begging me to lend you the Meruru DVDs earlier?\What kind of image do you have of me, exactly?\It's good to see how well you two get along!\I actually recorded Meruru but never got around to watching it...\After hearing you talk so passionately about it yesterday, I figured I should give it a try.\What?!\You're missing out on life if you haven't watched it! response:	Go and watch it immediately!
context: Weren't you begging me to lend you the Meruru DVDs earlier?\What kind of image do you have of me, exactly?\It's good to see how well you two get along!\I actually recorded Meruru but never got around to watching it...\After hearing you talk so passionately about it yesterday, I figured I should give it a try.\What?!\You're missing out on life if you haven't watched it!\Go and watch it immediately! response:	Understood!
context: What kind of image do you have of me, exactly?\It's good to see how well you two get along!\I actually recorded Meruru but never got around to watching it...\After hearing you talk so passionately about it yesterday, I figured I should give it a try.\What?!\You're missing out on life if you haven't watched it!\Go and watch it immediately!\Understood! response:	When I get the chance.
context: It's good to see how well you two get along!\I actually recorded Meruru but never got around to watching it...\After hearing you talk so passionately about it yesterday, I figured I should give it a try.\What?!\You're missing out on life if you haven't watched it!\Go and watch it immediately!\Understood!\When I get the chance. response:	By the way, why Akiba?
context: I actually recorded Meruru but never got around to watching it...\After hearing you talk so passionately about it yesterday, I figured I should give it a try.\What?!\You're missing out on life if you haven't watched it!\Go and watch it immediately!\Understood!\When I get the chance.\By the way, why Akiba? response:	We could have met somewhere closer.
context: After hearing you talk so passionately about it yesterday, I figured I should give it a try.\What?!\You're missing out on life if you haven't watched it!\Go and watch it immediately!\Understood!\When I get the chance.\By the way, why Akiba?\We could have met somewhere closer. response:	Well, I have some stuff to do here...
context: What?!\You're missing out on life if you haven't watched it!\Go and watch it immediately!\Understood!\When I get the chance.\By the way, why Akiba?\We could have met somewhere closer.\Well, I have some stuff to do here... response:	And we can't hang around home, right?
context: You're missing out on life if you haven't watched it!\Go and watch it immediately!\Understood!\When I get the chance.\By the way, why Akiba?\We could have met somewhere closer.\Well, I have some stuff to do here...\And we can't hang around home, right? response:	Haven't you been keeping this hobby a secret from your parents?
context: Go and watch it immediately!\Understood!\When I get the chance.\By the way, why Akiba?\We could have met somewhere closer.\Well, I have some stuff to do here...\And we can't hang around home, right?\Haven't you been keeping this hobby a secret from your parents? response:	There's no way I'd be able to keep it secret...
context: Understood!\When I get the chance.\By the way, why Akiba?\We could have met somewhere closer.\Well, I have some stuff to do here...\And we can't hang around home, right?\Haven't you been keeping this hobby a secret from your parents?\There's no way I'd be able to keep it secret... response:	Huh?
context: When I get the chance.\By the way, why Akiba?\We could have met somewhere closer.\Well, I have some stuff to do here...\And we can't hang around home, right?\Haven't you been keeping this hobby a secret from your parents?\There's no way I'd be able to keep it secret...\Huh? response:	How does that work?
context: By the way, why Akiba?\We could have met somewhere closer.\Well, I have some stuff to do here...\And we can't hang around home, right?\Haven't you been keeping this hobby a secret from your parents?\There's no way I'd be able to keep it secret...\Huh?\How does that work? response:	It just does? I just live normally.
context: We could have met somewhere closer.\Well, I have some stuff to do here...\And we can't hang around home, right?\Haven't you been keeping this hobby a secret from your parents?\There's no way I'd be able to keep it secret...\Huh?\How does that work?\It just does? I just live normally. response:	It's stupid to care about what other people think.
context: Well, I have some stuff to do here...\And we can't hang around home, right?\Haven't you been keeping this hobby a secret from your parents?\There's no way I'd be able to keep it secret...\Huh?\How does that work?\It just does? I just live normally.\It's stupid to care about what other people think. response:	Didn't you take a shot at me for looking at my eroge earlier?
context: And we can't hang around home, right?\Haven't you been keeping this hobby a secret from your parents?\There's no way I'd be able to keep it secret...\Huh?\How does that work?\It just does? I just live normally.\It's stupid to care about what other people think.\Didn't you take a shot at me for looking at my eroge earlier? response:	Shut up.
context: Haven't you been keeping this hobby a secret from your parents?\There's no way I'd be able to keep it secret...\Huh?\How does that work?\It just does? I just live normally.\It's stupid to care about what other people think.\Didn't you take a shot at me for looking at my eroge earlier?\Shut up. response:	I'll put a curse on you.
context: There's no way I'd be able to keep it secret...\Huh?\How does that work?\It just does? I just live normally.\It's stupid to care about what other people think.\Didn't you take a shot at me for looking at my eroge earlier?\Shut up.\I'll put a curse on you. response:	I'm the same way.
context: Huh?\How does that work?\It just does? I just live normally.\It's stupid to care about what other people think.\Didn't you take a shot at me for looking at my eroge earlier?\Shut up.\I'll put a curse on you.\I'm the same way. response:	I don't really get any hassle for it.
context: How does that work?\It just does? I just live normally.\It's stupid to care about what other people think.\Didn't you take a shot at me for looking at my eroge earlier?\Shut up.\I'll put a curse on you.\I'm the same way.\I don't really get any hassle for it. response:	As long as I do everything else properly, it doesn't really matter what hobbies I have.
context: It just does? I just live normally.\It's stupid to care about what other people think.\Didn't you take a shot at me for looking at my eroge earlier?\Shut up.\I'll put a curse on you.\I'm the same way.\I don't really get any hassle for it.\As long as I do everything else properly, it doesn't really matter what hobbies I have. response:	I see...
context: It's stupid to care about what other people think.\Didn't you take a shot at me for looking at my eroge earlier?\Shut up.\I'll put a curse on you.\I'm the same way.\I don't really get any hassle for it.\As long as I do everything else properly, it doesn't really matter what hobbies I have.\I see... response:	That makes sense.
context: Didn't you take a shot at me for looking at my eroge earlier?\Shut up.\I'll put a curse on you.\I'm the same way.\I don't really get any hassle for it.\As long as I do everything else properly, it doesn't really matter what hobbies I have.\I see...\That makes sense. response:	So where are we going after lunch?
context: Shut up.\I'll put a curse on you.\I'm the same way.\I don't really get any hassle for it.\As long as I do everything else properly, it doesn't really matter what hobbies I have.\I see...\That makes sense.\So where are we going after lunch? response:	I absolutely have to see the Uchimizukko Event!
context: I'll put a curse on you.\I'm the same way.\I don't really get any hassle for it.\As long as I do everything else properly, it doesn't really matter what hobbies I have.\I see...\That makes sense.\So where are we going after lunch?\I absolutely have to see the Uchimizukko Event! response:	What's that?
context: I'm the same way.\I don't really get any hassle for it.\As long as I do everything else properly, it doesn't really matter what hobbies I have.\I see...\That makes sense.\So where are we going after lunch?\I absolutely have to see the Uchimizukko Event!\What's that? response:	Crap...
context: I don't really get any hassle for it.\As long as I do everything else properly, it doesn't really matter what hobbies I have.\I see...\That makes sense.\So where are we going after lunch?\I absolutely have to see the Uchimizukko Event!\What's that?\Crap... response:	Kyou-chan?
context: As long as I do everything else properly, it doesn't really matter what hobbies I have.\I see...\That makes sense.\So where are we going after lunch?\I absolutely have to see the Uchimizukko Event!\What's that?\Crap...\Kyou-chan? response:	You're doing well.
context: I see...\That makes sense.\So where are we going after lunch?\I absolutely have to see the Uchimizukko Event!\What's that?\Crap...\Kyou-chan?\You're doing well. response:	What's wrong, Kyou-chan?
context: That makes sense.\So where are we going after lunch?\I absolutely have to see the Uchimizukko Event!\What's that?\Crap...\Kyou-chan?\You're doing well.\What's wrong, Kyou-chan? response:	Nothing.
context: So where are we going after lunch?\I absolutely have to see the Uchimizukko Event!\What's that?\Crap...\Kyou-chan?\You're doing well.\What's wrong, Kyou-chan?\Nothing. response:	Alright, let's keep at it a little longer.
context: I absolutely have to see the Uchimizukko Event!\What's that?\Crap...\Kyou-chan?\You're doing well.\What's wrong, Kyou-chan?\Nothing.\Alright, let's keep at it a little longer. response:	I'm back.
context: What's that?\Crap...\Kyou-chan?\You're doing well.\What's wrong, Kyou-chan?\Nothing.\Alright, let's keep at it a little longer.\I'm back. response:	I didn't see exactly what happened,
context: Crap...\Kyou-chan?\You're doing well.\What's wrong, Kyou-chan?\Nothing.\Alright, let's keep at it a little longer.\I'm back.\I didn't see exactly what happened, response:	but apparently she bumped into Dad when she came back and dropped that DVD.
context: Kyou-chan?\You're doing well.\What's wrong, Kyou-chan?\Nothing.\Alright, let's keep at it a little longer.\I'm back.\I didn't see exactly what happened,\but apparently she bumped into Dad when she came back and dropped that DVD. response:	And inside it was... what do you call it?
context: You're doing well.\What's wrong, Kyou-chan?\Nothing.\Alright, let's keep at it a little longer.\I'm back.\I didn't see exactly what happened,\but apparently she bumped into Dad when she came back and dropped that DVD.\And inside it was... what do you call it? response:	Something very indecent, and Dad caught a glimpse of it.
context: What's wrong, Kyou-chan?\Nothing.\Alright, let's keep at it a little longer.\I'm back.\I didn't see exactly what happened,\but apparently she bumped into Dad when she came back and dropped that DVD.\And inside it was... what do you call it?\Something very indecent, and Dad caught a glimpse of it. response:	You don't look surprised.
context: Nothing.\Alright, let's keep at it a little longer.\I'm back.\I didn't see exactly what happened,\but apparently she bumped into Dad when she came back and dropped that DVD.\And inside it was... what do you call it?\Something very indecent, and Dad caught a glimpse of it.\You don't look surprised. response:	Did you... know?
context: Alright, let's keep at it a little longer.\I'm back.\I didn't see exactly what happened,\but apparently she bumped into Dad when she came back and dropped that DVD.\And inside it was... what do you call it?\Something very indecent, and Dad caught a glimpse of it.\You don't look surprised.\Did you... know? response:	Huh? What?
context: I'm back.\I didn't see exactly what happened,\but apparently she bumped into Dad when she came back and dropped that DVD.\And inside it was... what do you call it?\Something very indecent, and Dad caught a glimpse of it.\You don't look surprised.\Did you... know?\Huh? What? response:	That Kirino had that kind of thing.
context: I didn't see exactly what happened,\but apparently she bumped into Dad when she came back and dropped that DVD.\And inside it was... what do you call it?\Something very indecent, and Dad caught a glimpse of it.\You don't look surprised.\Did you... know?\Huh? What?\That Kirino had that kind of thing. response:	Yeah, I knew.
context: but apparently she bumped into Dad when she came back and dropped that DVD.\And inside it was... what do you call it?\Something very indecent, and Dad caught a glimpse of it.\You don't look surprised.\Did you... know?\Huh? What?\That Kirino had that kind of thing.\Yeah, I knew. response:	Why on earth would she have that?
context: And inside it was... what do you call it?\Something very indecent, and Dad caught a glimpse of it.\You don't look surprised.\Did you... know?\Huh? What?\That Kirino had that kind of thing.\Yeah, I knew.\Why on earth would she have that? response:	It's been a long time since I saw Dad so angry...
context: Something very indecent, and Dad caught a glimpse of it.\You don't look surprised.\Did you... know?\Huh? What?\That Kirino had that kind of thing.\Yeah, I knew.\Why on earth would she have that?\It's been a long time since I saw Dad so angry... response:	Who knows what'll come of this...
context: You don't look surprised.\Did you... know?\Huh? What?\That Kirino had that kind of thing.\Yeah, I knew.\Why on earth would she have that?\It's been a long time since I saw Dad so angry...\Who knows what'll come of this... response:	Kirino!
context: Did you... know?\Huh? What?\That Kirino had that kind of thing.\Yeah, I knew.\Why on earth would she have that?\It's been a long time since I saw Dad so angry...\Who knows what'll come of this...\Kirino! response:	Kirino!
context: Huh? What?\That Kirino had that kind of thing.\Yeah, I knew.\Why on earth would she have that?\It's been a long time since I saw Dad so angry...\Who knows what'll come of this...\Kirino!\Kirino! response:	Kyousuke, go after her!
context: That Kirino had that kind of thing.\Yeah, I knew.\Why on earth would she have that?\It's been a long time since I saw Dad so angry...\Who knows what'll come of this...\Kirino!\Kirino!\Kyousuke, go after her! response:	Okay!
context: Yeah, I knew.\Why on earth would she have that?\It's been a long time since I saw Dad so angry...\Who knows what'll come of this...\Kirino!\Kirino!\Kyousuke, go after her!\Okay! response:	She's fast!!
context: Why on earth would she have that?\It's been a long time since I saw Dad so angry...\Who knows what'll come of this...\Kirino!\Kirino!\Kyousuke, go after her!\Okay!\She's fast!! response:	Dammit, what kind of flag is this?
context: It's been a long time since I saw Dad so angry...\Who knows what'll come of this...\Kirino!\Kirino!\Kyousuke, go after her!\Okay!\She's fast!!\Dammit, what kind of flag is this? response:	Damn!
context: Who knows what'll come of this...\Kirino!\Kirino!\Kyousuke, go after her!\Okay!\She's fast!!\Dammit, what kind of flag is this?\Damn! response:	If this were an eroge I'd have found her already!
context: Kirino!\Kirino!\Kyousuke, go after her!\Okay!\She's fast!!\Dammit, what kind of flag is this?\Damn!\If this were an eroge I'd have found her already! response:	What the hell!
context: Kirino!\Kyousuke, go after her!\Okay!\She's fast!!\Dammit, what kind of flag is this?\Damn!\If this were an eroge I'd have found her already!\What the hell! response:	Damn! Damn!
context: Kyousuke, go after her!\Okay!\She's fast!!\Dammit, what kind of flag is this?\Damn!\If this were an eroge I'd have found her already!\What the hell!\Damn! Damn! response:	Damn! Damn! Damn!
context: Okay!\She's fast!!\Dammit, what kind of flag is this?\Damn!\If this were an eroge I'd have found her already!\What the hell!\Damn! Damn!\Damn! Damn! Damn! response:	This damn...
context: She's fast!!\Dammit, what kind of flag is this?\Damn!\If this were an eroge I'd have found her already!\What the hell!\Damn! Damn!\Damn! Damn! Damn!\This damn... response:	Stupid! Stupid! Stupid!
context: Dammit, what kind of flag is this?\Damn!\If this were an eroge I'd have found her already!\What the hell!\Damn! Damn!\Damn! Damn! Damn!\This damn...\Stupid! Stupid! Stupid! response:	You stupid, damn...
context: Damn!\If this were an eroge I'd have found her already!\What the hell!\Damn! Damn!\Damn! Damn! Damn!\This damn...\Stupid! Stupid! Stupid!\You stupid, damn... response:	You're the stupid one.
context: If this were an eroge I'd have found her already!\What the hell!\Damn! Damn!\Damn! Damn! Damn!\This damn...\Stupid! Stupid! Stupid!\You stupid, damn...\You're the stupid one. response:	Oh, it's you?
context: What the hell!\Damn! Damn!\Damn! Damn! Damn!\This damn...\Stupid! Stupid! Stupid!\You stupid, damn...\You're the stupid one.\Oh, it's you? response:	Why are you here?
context: Damn! Damn!\Damn! Damn! Damn!\This damn...\Stupid! Stupid! Stupid!\You stupid, damn...\You're the stupid one.\Oh, it's you?\Why are you here? response:	Because you just ran out!
context: Damn! Damn! Damn!\This damn...\Stupid! Stupid! Stupid!\You stupid, damn...\You're the stupid one.\Oh, it's you?\Why are you here?\Because you just ran out! response:	I came looking for you!
context: This damn...\Stupid! Stupid! Stupid!\You stupid, damn...\You're the stupid one.\Oh, it's you?\Why are you here?\Because you just ran out!\I came looking for you! response:	Gross.
context: Stupid! Stupid! Stupid!\You stupid, damn...\You're the stupid one.\Oh, it's you?\Why are you here?\Because you just ran out!\I came looking for you!\Gross. response:	This, huh?
context: You stupid, damn...\You're the stupid one.\Oh, it's you?\Why are you here?\Because you just ran out!\I came looking for you!\Gross.\This, huh? response:	This is what you came home with all ecstatic over?
context: You're the stupid one.\Oh, it's you?\Why are you here?\Because you just ran out!\I came looking for you!\Gross.\This, huh?\This is what you came home with all ecstatic over? response:	Got a problem?
context: Oh, it's you?\Why are you here?\Because you just ran out!\I came looking for you!\Gross.\This, huh?\This is what you came home with all ecstatic over?\Got a problem? response:	So what did Dad say to you?
context: Why are you here?\Because you just ran out!\I came looking for you!\Gross.\This, huh?\This is what you came home with all ecstatic over?\Got a problem?\So what did Dad say to you? response:	I have no complaints about your makeup, flashy clothes, or bags.
context: Because you just ran out!\I came looking for you!\Gross.\This, huh?\This is what you came home with all ecstatic over?\Got a problem?\So what did Dad say to you?\I have no complaints about your makeup, flashy clothes, or bags. response:	You worked and paid for them yourself.
context: I came looking for you!\Gross.\This, huh?\This is what you came home with all ecstatic over?\Got a problem?\So what did Dad say to you?\I have no complaints about your makeup, flashy clothes, or bags.\You worked and paid for them yourself. response:	But this is different.
context: Gross.\This, huh?\This is what you came home with all ecstatic over?\Got a problem?\So what did Dad say to you?\I have no complaints about your makeup, flashy clothes, or bags.\You worked and paid for them yourself.\But this is different. response:	Even the news says that this is a bad influence on children.
context: This, huh?\This is what you came home with all ecstatic over?\Got a problem?\So what did Dad say to you?\I have no complaints about your makeup, flashy clothes, or bags.\You worked and paid for them yourself.\But this is different.\Even the news says that this is a bad influence on children. response:	Of course, I take it with a grain of salt,
context: This is what you came home with all ecstatic over?\Got a problem?\So what did Dad say to you?\I have no complaints about your makeup, flashy clothes, or bags.\You worked and paid for them yourself.\But this is different.\Even the news says that this is a bad influence on children.\Of course, I take it with a grain of salt, response:	but they label people who do these things at this age otaku.
context: Got a problem?\So what did Dad say to you?\I have no complaints about your makeup, flashy clothes, or bags.\You worked and paid for them yourself.\But this is different.\Even the news says that this is a bad influence on children.\Of course, I take it with a grain of salt,\but they label people who do these things at this age otaku. response:	It can't possibly have any good influence.
context: So what did Dad say to you?\I have no complaints about your makeup, flashy clothes, or bags.\You worked and paid for them yourself.\But this is different.\Even the news says that this is a bad influence on children.\Of course, I take it with a grain of salt,\but they label people who do these things at this age otaku.\It can't possibly have any good influence. response:	If you intend to indulge yourself in such a worthless hobby, I must correct that before you go completely astray.
context: I have no complaints about your makeup, flashy clothes, or bags.\You worked and paid for them yourself.\But this is different.\Even the news says that this is a bad influence on children.\Of course, I take it with a grain of salt,\but they label people who do these things at this age otaku.\It can't possibly have any good influence.\If you intend to indulge yourself in such a worthless hobby, I must correct that before you go completely astray. response:	He called them worthless...
context: You worked and paid for them yourself.\But this is different.\Even the news says that this is a bad influence on children.\Of course, I take it with a grain of salt,\but they label people who do these things at this age otaku.\It can't possibly have any good influence.\If you intend to indulge yourself in such a worthless hobby, I must correct that before you go completely astray.\He called them worthless... response:	My favorite anime and games and the meetup I went to today...
context: But this is different.\Even the news says that this is a bad influence on children.\Of course, I take it with a grain of salt,\but they label people who do these things at this age otaku.\It can't possibly have any good influence.\If you intend to indulge yourself in such a worthless hobby, I must correct that before you go completely astray.\He called them worthless...\My favorite anime and games and the meetup I went to today... response:	All of it! All of it!
context: Even the news says that this is a bad influence on children.\Of course, I take it with a grain of salt,\but they label people who do these things at this age otaku.\It can't possibly have any good influence.\If you intend to indulge yourself in such a worthless hobby, I must correct that before you go completely astray.\He called them worthless...\My favorite anime and games and the meetup I went to today...\All of it! All of it! response:	Even though they aren't... they aren't...
context: Of course, I take it with a grain of salt,\but they label people who do these things at this age otaku.\It can't possibly have any good influence.\If you intend to indulge yourself in such a worthless hobby, I must correct that before you go completely astray.\He called them worthless...\My favorite anime and games and the meetup I went to today...\All of it! All of it!\Even though they aren't... they aren't... response:	But... I...
context: but they label people who do these things at this age otaku.\It can't possibly have any good influence.\If you intend to indulge yourself in such a worthless hobby, I must correct that before you go completely astray.\He called them worthless...\My favorite anime and games and the meetup I went to today...\All of it! All of it!\Even though they aren't... they aren't...\But... I... response:	I couldn't... say anything back...
context: It can't possibly have any good influence.\If you intend to indulge yourself in such a worthless hobby, I must correct that before you go completely astray.\He called them worthless...\My favorite anime and games and the meetup I went to today...\All of it! All of it!\Even though they aren't... they aren't...\But... I...\I couldn't... say anything back... response:	Dammit...
context: If you intend to indulge yourself in such a worthless hobby, I must correct that before you go completely astray.\He called them worthless...\My favorite anime and games and the meetup I went to today...\All of it! All of it!\Even though they aren't... they aren't...\But... I...\I couldn't... say anything back...\Dammit... response:	Hey, am I weird?
context: He called them worthless...\My favorite anime and games and the meetup I went to today...\All of it! All of it!\Even though they aren't... they aren't...\But... I...\I couldn't... say anything back...\Dammit...\Hey, am I weird? response:	Is it wrong for me to like those things?
context: My favorite anime and games and the meetup I went to today...\All of it! All of it!\Even though they aren't... they aren't...\But... I...\I couldn't... say anything back...\Dammit...\Hey, am I weird?\Is it wrong for me to like those things? response:	Dad will say that.
context: All of it! All of it!\Even though they aren't... they aren't...\But... I...\I couldn't... say anything back...\Dammit...\Hey, am I weird?\Is it wrong for me to like those things?\Dad will say that. response:	Any normal parent would think so.
context: Even though they aren't... they aren't...\But... I...\I couldn't... say anything back...\Dammit...\Hey, am I weird?\Is it wrong for me to like those things?\Dad will say that.\Any normal parent would think so. response:	And then there's the social consequences.
context: But... I...\I couldn't... say anything back...\Dammit...\Hey, am I weird?\Is it wrong for me to like those things?\Dad will say that.\Any normal parent would think so.\And then there's the social consequences. response:	You already know, right?
context: I couldn't... say anything back...\Dammit...\Hey, am I weird?\Is it wrong for me to like those things?\Dad will say that.\Any normal parent would think so.\And then there's the social consequences.\You already know, right? response:	That's why you didn't tell any of your school friends or fellow models.
context: Dammit...\Hey, am I weird?\Is it wrong for me to like those things?\Dad will say that.\Any normal parent would think so.\And then there's the social consequences.\You already know, right?\That's why you didn't tell any of your school friends or fellow models. response:	But Dad found out.
context: Hey, am I weird?\Is it wrong for me to like those things?\Dad will say that.\Any normal parent would think so.\And then there's the social consequences.\You already know, right?\That's why you didn't tell any of your school friends or fellow models.\But Dad found out. response:	So now you have to choose.
context: Is it wrong for me to like those things?\Dad will say that.\Any normal parent would think so.\And then there's the social consequences.\You already know, right?\That's why you didn't tell any of your school friends or fellow models.\But Dad found out.\So now you have to choose. response:	Are you telling me to stop?
context: Dad will say that.\Any normal parent would think so.\And then there's the social consequences.\You already know, right?\That's why you didn't tell any of your school friends or fellow models.\But Dad found out.\So now you have to choose.\Are you telling me to stop? response:	If you did, everything would be just peachy.
context: Any normal parent would think so.\And then there's the social consequences.\You already know, right?\That's why you didn't tell any of your school friends or fellow models.\But Dad found out.\So now you have to choose.\Are you telling me to stop?\If you did, everything would be just peachy. response:	Dad would relax, and you wouldn't need to sneak around to do all this.
context: And then there's the social consequences.\You already know, right?\That's why you didn't tell any of your school friends or fellow models.\But Dad found out.\So now you have to choose.\Are you telling me to stop?\If you did, everything would be just peachy.\Dad would relax, and you wouldn't need to sneak around to do all this. response:	You're a star athlete, an honor student, and a graceful beauty.
context: You already know, right?\That's why you didn't tell any of your school friends or fellow models.\But Dad found out.\So now you have to choose.\Are you telling me to stop?\If you did, everything would be just peachy.\Dad would relax, and you wouldn't need to sneak around to do all this.\You're a star athlete, an honor student, and a graceful beauty. response:	Get rid of this, and you're perfect.
context: That's why you didn't tell any of your school friends or fellow models.\But Dad found out.\So now you have to choose.\Are you telling me to stop?\If you did, everything would be just peachy.\Dad would relax, and you wouldn't need to sneak around to do all this.\You're a star athlete, an honor student, and a graceful beauty.\Get rid of this, and you're perfect. response:	I know that already!
context: But Dad found out.\So now you have to choose.\Are you telling me to stop?\If you did, everything would be just peachy.\Dad would relax, and you wouldn't need to sneak around to do all this.\You're a star athlete, an honor student, and a graceful beauty.\Get rid of this, and you're perfect.\I know that already! response:	But I won't stop.
context: So now you have to choose.\Are you telling me to stop?\If you did, everything would be just peachy.\Dad would relax, and you wouldn't need to sneak around to do all this.\You're a star athlete, an honor student, and a graceful beauty.\Get rid of this, and you're perfect.\I know that already!\But I won't stop. response:	I definitely won't.
context: Are you telling me to stop?\If you did, everything would be just peachy.\Dad would relax, and you wouldn't need to sneak around to do all this.\You're a star athlete, an honor student, and a graceful beauty.\Get rid of this, and you're perfect.\I know that already!\But I won't stop.\I definitely won't. response:	I love them. I really love them.
context: If you did, everything would be just peachy.\Dad would relax, and you wouldn't need to sneak around to do all this.\You're a star athlete, an honor student, and a graceful beauty.\Get rid of this, and you're perfect.\I know that already!\But I won't stop.\I definitely won't.\I love them. I really love them. response:	I can't stop it.
context: Dad would relax, and you wouldn't need to sneak around to do all this.\You're a star athlete, an honor student, and a graceful beauty.\Get rid of this, and you're perfect.\I know that already!\But I won't stop.\I definitely won't.\I love them. I really love them.\I can't stop it. response:	No matter how much you love them, it's just a worthless hobby to Dad.
context: You're a star athlete, an honor student, and a graceful beauty.\Get rid of this, and you're perfect.\I know that already!\But I won't stop.\I definitely won't.\I love them. I really love them.\I can't stop it.\No matter how much you love them, it's just a worthless hobby to Dad. response:	He might force you to stop.
