context: Where... am I? response:	Are you the one who was calling me?
context: I'm telling you that it's okay to suck my blood!\Don't make me say it!\Eh!? But why, all of a sudden!?\December-san's ability...\It seals your power to control Familiars.\If I'm not wrong, then increasing your vampiric power will allow you to keep ownership of them.\Or maybe...\You don't want it to be me? response:	No, it's not that...
context: Don't make me say it!\Eh!? But why, all of a sudden!?\December-san's ability...\It seals your power to control Familiars.\If I'm not wrong, then increasing your vampiric power will allow you to keep ownership of them.\Or maybe...\You don't want it to be me?\No, it's not that... response:	I can't do that in this sort of situation...
context: Eh!? But why, all of a sudden!?\December-san's ability...\It seals your power to control Familiars.\If I'm not wrong, then increasing your vampiric power will allow you to keep ownership of them.\Or maybe...\You don't want it to be me?\No, it's not that...\I can't do that in this sort of situation... response:	I understand.
context: December-san's ability...\It seals your power to control Familiars.\If I'm not wrong, then increasing your vampiric power will allow you to keep ownership of them.\Or maybe...\You don't want it to be me?\No, it's not that...\I can't do that in this sort of situation...\I understand. response:	In that case, Senpai, close your eyes.
context: It seals your power to control Familiars.\If I'm not wrong, then increasing your vampiric power will allow you to keep ownership of them.\Or maybe...\You don't want it to be me?\No, it's not that...\I can't do that in this sort of situation...\I understand.\In that case, Senpai, close your eyes. response:	Hmm? Sure...
context: If I'm not wrong, then increasing your vampiric power will allow you to keep ownership of them.\Or maybe...\You don't want it to be me?\No, it's not that...\I can't do that in this sort of situation...\I understand.\In that case, Senpai, close your eyes.\Hmm? Sure... response:	Himeragi... Is this your...?
context: Or maybe...\You don't want it to be me?\No, it's not that...\I can't do that in this sort of situation...\I understand.\In that case, Senpai, close your eyes.\Hmm? Sure...\Himeragi... Is this your...? response:	Don't worry about it!
context: You don't want it to be me?\No, it's not that...\I can't do that in this sort of situation...\I understand.\In that case, Senpai, close your eyes.\Hmm? Sure...\Himeragi... Is this your...?\Don't worry about it! response:	My handkerchief wasn't long enough.
context: No, it's not that...\I can't do that in this sort of situation...\I understand.\In that case, Senpai, close your eyes.\Hmm? Sure...\Himeragi... Is this your...?\Don't worry about it!\My handkerchief wasn't long enough. response:	So it's not your handkerchief?
context: I can't do that in this sort of situation...\I understand.\In that case, Senpai, close your eyes.\Hmm? Sure...\Himeragi... Is this your...?\Don't worry about it!\My handkerchief wasn't long enough.\So it's not your handkerchief? response:	It smells kind of nice, though...
context: I understand.\In that case, Senpai, close your eyes.\Hmm? Sure...\Himeragi... Is this your...?\Don't worry about it!\My handkerchief wasn't long enough.\So it's not your handkerchief?\It smells kind of nice, though... response:	Smells like soap...
context: In that case, Senpai, close your eyes.\Hmm? Sure...\Himeragi... Is this your...?\Don't worry about it!\My handkerchief wasn't long enough.\So it's not your handkerchief?\It smells kind of nice, though...\Smells like soap... response:	Stop smelling it!
context: Hmm? Sure...\Himeragi... Is this your...?\Don't worry about it!\My handkerchief wasn't long enough.\So it's not your handkerchief?\It smells kind of nice, though...\Smells like soap...\Stop smelling it! response:	I don't need your comments!
context: Himeragi... Is this your...?\Don't worry about it!\My handkerchief wasn't long enough.\So it's not your handkerchief?\It smells kind of nice, though...\Smells like soap...\Stop smelling it!\I don't need your comments! response:	H-Himeragi...
context: Don't worry about it!\My handkerchief wasn't long enough.\So it's not your handkerchief?\It smells kind of nice, though...\Smells like soap...\Stop smelling it!\I don't need your comments!\H-Himeragi... response:	How... is it?
context: My handkerchief wasn't long enough.\So it's not your handkerchief?\It smells kind of nice, though...\Smells like soap...\Stop smelling it!\I don't need your comments!\H-Himeragi...\How... is it? response:	How should I say this...
context: So it's not your handkerchief?\It smells kind of nice, though...\Smells like soap...\Stop smelling it!\I don't need your comments!\H-Himeragi...\How... is it?\How should I say this... response:	I want to keep doing this forever.
context: It smells kind of nice, though...\Smells like soap...\Stop smelling it!\I don't need your comments!\H-Himeragi...\How... is it?\How should I say this...\I want to keep doing this forever. response:	No! It tickles!
context: Smells like soap...\Stop smelling it!\I don't need your comments!\H-Himeragi...\How... is it?\How should I say this...\I want to keep doing this forever.\No! It tickles! response:	S-Senpai!?
context: Stop smelling it!\I don't need your comments!\H-Himeragi...\How... is it?\How should I say this...\I want to keep doing this forever.\No! It tickles!\S-Senpai!? response:	Not there...!
context: I don't need your comments!\H-Himeragi...\How... is it?\How should I say this...\I want to keep doing this forever.\No! It tickles!\S-Senpai!?\Not there...! response:	Himeragi...
context: H-Himeragi...\How... is it?\How should I say this...\I want to keep doing this forever.\No! It tickles!\S-Senpai!?\Not there...!\Himeragi... response:	You musn't...! No!
context: How... is it?\How should I say this...\I want to keep doing this forever.\No! It tickles!\S-Senpai!?\Not there...!\Himeragi...\You musn't...! No! response:	No, Senpai! Don't stop!
context: How should I say this...\I want to keep doing this forever.\No! It tickles!\S-Senpai!?\Not there...!\Himeragi...\You musn't...! No!\No, Senpai! Don't stop! response:	You need to drink more.
context: I want to keep doing this forever.\No! It tickles!\S-Senpai!?\Not there...!\Himeragi...\You musn't...! No!\No, Senpai! Don't stop!\You need to drink more. response:	I can't do that, Himeragi.
context: No! It tickles!\S-Senpai!?\Not there...!\Himeragi...\You musn't...! No!\No, Senpai! Don't stop!\You need to drink more.\I can't do that, Himeragi. response:	Your body can't take any more of this.
context: S-Senpai!?\Not there...!\Himeragi...\You musn't...! No!\No, Senpai! Don't stop!\You need to drink more.\I can't do that, Himeragi.\Your body can't take any more of this. response:	But you might not be able to beat December-san the way you are now.
context: Not there...!\Himeragi...\You musn't...! No!\No, Senpai! Don't stop!\You need to drink more.\I can't do that, Himeragi.\Your body can't take any more of this.\But you might not be able to beat December-san the way you are now. response:	Himeragi...
context: Himeragi...\You musn't...! No!\No, Senpai! Don't stop!\You need to drink more.\I can't do that, Himeragi.\Your body can't take any more of this.\But you might not be able to beat December-san the way you are now.\Himeragi... response:	Da?
context: You musn't...! No!\No, Senpai! Don't stop!\You need to drink more.\I can't do that, Himeragi.\Your body can't take any more of this.\But you might not be able to beat December-san the way you are now.\Himeragi...\Da? response:	You can't, Grenda!
context: No, Senpai! Don't stop!\You need to drink more.\I can't do that, Himeragi.\Your body can't take any more of this.\But you might not be able to beat December-san the way you are now.\Himeragi...\Da?\You can't, Grenda! response:	Yuiri-san?
context: You need to drink more.\I can't do that, Himeragi.\Your body can't take any more of this.\But you might not be able to beat December-san the way you are now.\Himeragi...\Da?\You can't, Grenda!\Yuiri-san? response:	It's not what you think, Yuki!
context: I can't do that, Himeragi.\Your body can't take any more of this.\But you might not be able to beat December-san the way you are now.\Himeragi...\Da?\You can't, Grenda!\Yuiri-san?\It's not what you think, Yuki! response:	Grenda was tired, so I wanted to let her rest...
context: Your body can't take any more of this.\But you might not be able to beat December-san the way you are now.\Himeragi...\Da?\You can't, Grenda!\Yuiri-san?\It's not what you think, Yuki!\Grenda was tired, so I wanted to let her rest... response:	I wasn't peeking or anything!
context: But you might not be able to beat December-san the way you are now.\Himeragi...\Da?\You can't, Grenda!\Yuiri-san?\It's not what you think, Yuki!\Grenda was tired, so I wanted to let her rest...\I wasn't peeking or anything! response:	K-Kojou-kun...?
context: Himeragi...\Da?\You can't, Grenda!\Yuiri-san?\It's not what you think, Yuki!\Grenda was tired, so I wanted to let her rest...\I wasn't peeking or anything!\K-Kojou-kun...? response:	Grenda!
context: Da?\You can't, Grenda!\Yuiri-san?\It's not what you think, Yuki!\Grenda was tired, so I wanted to let her rest...\I wasn't peeking or anything!\K-Kojou-kun...?\Grenda! response:	Senpai. This is an emergency, so I'll allow it, just this once.
context: You can't, Grenda!\Yuiri-san?\It's not what you think, Yuki!\Grenda was tired, so I wanted to let her rest...\I wasn't peeking or anything!\K-Kojou-kun...?\Grenda!\Senpai. This is an emergency, so I'll allow it, just this once. response:	Just this once, you hear?
context: Yuiri-san?\It's not what you think, Yuki!\Grenda was tired, so I wanted to let her rest...\I wasn't peeking or anything!\K-Kojou-kun...?\Grenda!\Senpai. This is an emergency, so I'll allow it, just this once.\Just this once, you hear? response:	Yuki... what do mean, allow?
context: It's not what you think, Yuki!\Grenda was tired, so I wanted to let her rest...\I wasn't peeking or anything!\K-Kojou-kun...?\Grenda!\Senpai. This is an emergency, so I'll allow it, just this once.\Just this once, you hear?\Yuki... what do mean, allow? response:	Umm... Wait...
context: Grenda was tired, so I wanted to let her rest...\I wasn't peeking or anything!\K-Kojou-kun...?\Grenda!\Senpai. This is an emergency, so I'll allow it, just this once.\Just this once, you hear?\Yuki... what do mean, allow?\Umm... Wait... response:	I'm not against it, but...
context: I wasn't peeking or anything!\K-Kojou-kun...?\Grenda!\Senpai. This is an emergency, so I'll allow it, just this once.\Just this once, you hear?\Yuki... what do mean, allow?\Umm... Wait...\I'm not against it, but... response:	This is my first time...
context: K-Kojou-kun...?\Grenda!\Senpai. This is an emergency, so I'll allow it, just this once.\Just this once, you hear?\Yuki... what do mean, allow?\Umm... Wait...\I'm not against it, but...\This is my first time... response:	Bear with it for a little while.
context: Grenda!\Senpai. This is an emergency, so I'll allow it, just this once.\Just this once, you hear?\Yuki... what do mean, allow?\Umm... Wait...\I'm not against it, but...\This is my first time...\Bear with it for a little while. response:	No way!
context: Senpai. This is an emergency, so I'll allow it, just this once.\Just this once, you hear?\Yuki... what do mean, allow?\Umm... Wait...\I'm not against it, but...\This is my first time...\Bear with it for a little while.\No way! response:	Yuki, don't look!
context: Just this once, you hear?\Yuki... what do mean, allow?\Umm... Wait...\I'm not against it, but...\This is my first time...\Bear with it for a little while.\No way!\Yuki, don't look! response:	Koukarin!
context: Yuki... what do mean, allow?\Umm... Wait...\I'm not against it, but...\This is my first time...\Bear with it for a little while.\No way!\Yuki, don't look!\Koukarin! response:	Kirasaka! How many shots do you have left?
context: Umm... Wait...\I'm not against it, but...\This is my first time...\Bear with it for a little while.\No way!\Yuki, don't look!\Koukarin!\Kirasaka! How many shots do you have left? response:	Including my spares, six! How about you?
context: I'm not against it, but...\This is my first time...\Bear with it for a little while.\No way!\Yuki, don't look!\Koukarin!\Kirasaka! How many shots do you have left?\Including my spares, six! How about you? response:	The same.
context: This is my first time...\Bear with it for a little while.\No way!\Yuki, don't look!\Koukarin!\Kirasaka! How many shots do you have left?\Including my spares, six! How about you?\The same. response:	At this rate, we won't last more than three or four minutes!
context: Bear with it for a little while.\No way!\Yuki, don't look!\Koukarin!\Kirasaka! How many shots do you have left?\Including my spares, six! How about you?\The same.\At this rate, we won't last more than three or four minutes! response:	Hikawa Shio!
context: No way!\Yuki, don't look!\Koukarin!\Kirasaka! How many shots do you have left?\Including my spares, six! How about you?\The same.\At this rate, we won't last more than three or four minutes!\Hikawa Shio! response:	Al-Nasl-Minium!
context: Yuki, don't look!\Koukarin!\Kirasaka! How many shots do you have left?\Including my spares, six! How about you?\The same.\At this rate, we won't last more than three or four minutes!\Hikawa Shio!\Al-Nasl-Minium! response:	Are you okay?
context: Koukarin!\Kirasaka! How many shots do you have left?\Including my spares, six! How about you?\The same.\At this rate, we won't last more than three or four minutes!\Hikawa Shio!\Al-Nasl-Minium!\Are you okay? response:	Akatsuki Kojou!
context: Kirasaka! How many shots do you have left?\Including my spares, six! How about you?\The same.\At this rate, we won't last more than three or four minutes!\Hikawa Shio!\Al-Nasl-Minium!\Are you okay?\Akatsuki Kojou! response:	Sayaka-san!
context: Including my spares, six! How about you?\The same.\At this rate, we won't last more than three or four minutes!\Hikawa Shio!\Al-Nasl-Minium!\Are you okay?\Akatsuki Kojou!\Sayaka-san! response:	Sorry we're late, Kirasaka-san!
context: The same.\At this rate, we won't last more than three or four minutes!\Hikawa Shio!\Al-Nasl-Minium!\Are you okay?\Akatsuki Kojou!\Sayaka-san!\Sorry we're late, Kirasaka-san! response:	Haba Yuiri... and Yukina, too!
context: At this rate, we won't last more than three or four minutes!\Hikawa Shio!\Al-Nasl-Minium!\Are you okay?\Akatsuki Kojou!\Sayaka-san!\Sorry we're late, Kirasaka-san!\Haba Yuiri... and Yukina, too! response:	Your faces are red, are you two okay?
context: Hikawa Shio!\Al-Nasl-Minium!\Are you okay?\Akatsuki Kojou!\Sayaka-san!\Sorry we're late, Kirasaka-san!\Haba Yuiri... and Yukina, too!\Your faces are red, are you two okay? response:	Wait...
context: Al-Nasl-Minium!\Are you okay?\Akatsuki Kojou!\Sayaka-san!\Sorry we're late, Kirasaka-san!\Haba Yuiri... and Yukina, too!\Your faces are red, are you two okay?\Wait... response:	Akatsuki Kojou! Don't tell me, you did it again!?
context: Are you okay?\Akatsuki Kojou!\Sayaka-san!\Sorry we're late, Kirasaka-san!\Haba Yuiri... and Yukina, too!\Your faces are red, are you two okay?\Wait...\Akatsuki Kojou! Don't tell me, you did it again!? response:	The Four Heavenly Beasts!?
context: Akatsuki Kojou!\Sayaka-san!\Sorry we're late, Kirasaka-san!\Haba Yuiri... and Yukina, too!\Your faces are red, are you two okay?\Wait...\Akatsuki Kojou! Don't tell me, you did it again!?\The Four Heavenly Beasts!? response:	The mythical beasts said to govern over the four cardinal directions of heaven...
context: Sayaka-san!\Sorry we're late, Kirasaka-san!\Haba Yuiri... and Yukina, too!\Your faces are red, are you two okay?\Wait...\Akatsuki Kojou! Don't tell me, you did it again!?\The Four Heavenly Beasts!?\The mythical beasts said to govern over the four cardinal directions of heaven... response:	The symbols of power in Feng Shui...
context: Sorry we're late, Kirasaka-san!\Haba Yuiri... and Yukina, too!\Your faces are red, are you two okay?\Wait...\Akatsuki Kojou! Don't tell me, you did it again!?\The Four Heavenly Beasts!?\The mythical beasts said to govern over the four cardinal directions of heaven...\The symbols of power in Feng Shui... response:	Don't tell me... He used the structure of Itogami Island itself,
context: Haba Yuiri... and Yukina, too!\Your faces are red, are you two okay?\Wait...\Akatsuki Kojou! Don't tell me, you did it again!?\The Four Heavenly Beasts!?\The mythical beasts said to govern over the four cardinal directions of heaven...\The symbols of power in Feng Shui...\Don't tell me... He used the structure of Itogami Island itself, response:	which was built to correspond to the four gods!?
context: Your faces are red, are you two okay?\Wait...\Akatsuki Kojou! Don't tell me, you did it again!?\The Four Heavenly Beasts!?\The mythical beasts said to govern over the four cardinal directions of heaven...\The symbols of power in Feng Shui...\Don't tell me... He used the structure of Itogami Island itself,\which was built to correspond to the four gods!? response:	So this is what Tartaros Lapus were really after!
context: Wait...\Akatsuki Kojou! Don't tell me, you did it again!?\The Four Heavenly Beasts!?\The mythical beasts said to govern over the four cardinal directions of heaven...\The symbols of power in Feng Shui...\Don't tell me... He used the structure of Itogami Island itself,\which was built to correspond to the four gods!?\So this is what Tartaros Lapus were really after! response:	I've found the magician!
context: Akatsuki Kojou! Don't tell me, you did it again!?\The Four Heavenly Beasts!?\The mythical beasts said to govern over the four cardinal directions of heaven...\The symbols of power in Feng Shui...\Don't tell me... He used the structure of Itogami Island itself,\which was built to correspond to the four gods!?\So this is what Tartaros Lapus were really after!\I've found the magician! response:	Direction, three o'clock, distance 6200 meters!
context: The Four Heavenly Beasts!?\The mythical beasts said to govern over the four cardinal directions of heaven...\The symbols of power in Feng Shui...\Don't tell me... He used the structure of Itogami Island itself,\which was built to correspond to the four gods!?\So this is what Tartaros Lapus were really after!\I've found the magician!\Direction, three o'clock, distance 6200 meters! response:	6200? Wouldn't that be on top of the ocean?
context: The mythical beasts said to govern over the four cardinal directions of heaven...\The symbols of power in Feng Shui...\Don't tell me... He used the structure of Itogami Island itself,\which was built to correspond to the four gods!?\So this is what Tartaros Lapus were really after!\I've found the magician!\Direction, three o'clock, distance 6200 meters!\6200? Wouldn't that be on top of the ocean? response:	Itogami Island's abandoned District 27.
context: The symbols of power in Feng Shui...\Don't tell me... He used the structure of Itogami Island itself,\which was built to correspond to the four gods!?\So this is what Tartaros Lapus were really after!\I've found the magician!\Direction, three o'clock, distance 6200 meters!\6200? Wouldn't that be on top of the ocean?\Itogami Island's abandoned District 27. response:	The former site of an early man-made island,
context: Don't tell me... He used the structure of Itogami Island itself,\which was built to correspond to the four gods!?\So this is what Tartaros Lapus were really after!\I've found the magician!\Direction, three o'clock, distance 6200 meters!\6200? Wouldn't that be on top of the ocean?\Itogami Island's abandoned District 27.\The former site of an early man-made island, response:	It was sunk only nine months ago.
context: which was built to correspond to the four gods!?\So this is what Tartaros Lapus were really after!\I've found the magician!\Direction, three o'clock, distance 6200 meters!\6200? Wouldn't that be on top of the ocean?\Itogami Island's abandoned District 27.\The former site of an early man-made island,\It was sunk only nine months ago. response:	I see.
context: So this is what Tartaros Lapus were really after!\I've found the magician!\Direction, three o'clock, distance 6200 meters!\6200? Wouldn't that be on top of the ocean?\Itogami Island's abandoned District 27.\The former site of an early man-made island,\It was sunk only nine months ago.\I see. response:	If she's going to appear again one last time, that's the only place, huh?
context: I've found the magician!\Direction, three o'clock, distance 6200 meters!\6200? Wouldn't that be on top of the ocean?\Itogami Island's abandoned District 27.\The former site of an early man-made island,\It was sunk only nine months ago.\I see.\If she's going to appear again one last time, that's the only place, huh? response:	Are you ready, Hikawa Shio?
context: Direction, three o'clock, distance 6200 meters!\6200? Wouldn't that be on top of the ocean?\Itogami Island's abandoned District 27.\The former site of an early man-made island,\It was sunk only nine months ago.\I see.\If she's going to appear again one last time, that's the only place, huh?\Are you ready, Hikawa Shio? response:	What about you?
context: 6200? Wouldn't that be on top of the ocean?\Itogami Island's abandoned District 27.\The former site of an early man-made island,\It was sunk only nine months ago.\I see.\If she's going to appear again one last time, that's the only place, huh?\Are you ready, Hikawa Shio?\What about you? response:	We'll buy you some time. Make it count!
context: Itogami Island's abandoned District 27.\The former site of an early man-made island,\It was sunk only nine months ago.\I see.\If she's going to appear again one last time, that's the only place, huh?\Are you ready, Hikawa Shio?\What about you?\We'll buy you some time. Make it count! response:	Let's go, Senpai!
context: The former site of an early man-made island,\It was sunk only nine months ago.\I see.\If she's going to appear again one last time, that's the only place, huh?\Are you ready, Hikawa Shio?\What about you?\We'll buy you some time. Make it count!\Let's go, Senpai! response:	Yeah!
context: It was sunk only nine months ago.\I see.\If she's going to appear again one last time, that's the only place, huh?\Are you ready, Hikawa Shio?\What about you?\We'll buy you some time. Make it count!\Let's go, Senpai!\Yeah! response:	Grenda, are you ready?
context: I see.\If she's going to appear again one last time, that's the only place, huh?\Are you ready, Hikawa Shio?\What about you?\We'll buy you some time. Make it count!\Let's go, Senpai!\Yeah!\Grenda, are you ready? response:	Dammit, the Keystone Gate is right in front of our noses!
context: If she's going to appear again one last time, that's the only place, huh?\Are you ready, Hikawa Shio?\What about you?\We'll buy you some time. Make it count!\Let's go, Senpai!\Yeah!\Grenda, are you ready?\Dammit, the Keystone Gate is right in front of our noses! response:	There aren't any places left to hide and move anymore!
context: Are you ready, Hikawa Shio?\What about you?\We'll buy you some time. Make it count!\Let's go, Senpai!\Yeah!\Grenda, are you ready?\Dammit, the Keystone Gate is right in front of our noses!\There aren't any places left to hide and move anymore! response:	Need some help, Carly?
context: What about you?\We'll buy you some time. Make it count!\Let's go, Senpai!\Yeah!\Grenda, are you ready?\Dammit, the Keystone Gate is right in front of our noses!\There aren't any places left to hide and move anymore!\Need some help, Carly? response:	It's fine. I have them cornered.
context: We'll buy you some time. Make it count!\Let's go, Senpai!\Yeah!\Grenda, are you ready?\Dammit, the Keystone Gate is right in front of our noses!\There aren't any places left to hide and move anymore!\Need some help, Carly?\It's fine. I have them cornered. response:	It's all or nothing.
context: Let's go, Senpai!\Yeah!\Grenda, are you ready?\Dammit, the Keystone Gate is right in front of our noses!\There aren't any places left to hide and move anymore!\Need some help, Carly?\It's fine. I have them cornered.\It's all or nothing. response:	I'll be the decoy.
context: Yeah!\Grenda, are you ready?\Dammit, the Keystone Gate is right in front of our noses!\There aren't any places left to hide and move anymore!\Need some help, Carly?\It's fine. I have them cornered.\It's all or nothing.\I'll be the decoy. response:	Run to the Keystone Gate as fast as you can!
context: Grenda, are you ready?\Dammit, the Keystone Gate is right in front of our noses!\There aren't any places left to hide and move anymore!\Need some help, Carly?\It's fine. I have them cornered.\It's all or nothing.\I'll be the decoy.\Run to the Keystone Gate as fast as you can! response:	But...!
context: Dammit, the Keystone Gate is right in front of our noses!\There aren't any places left to hide and move anymore!\Need some help, Carly?\It's fine. I have them cornered.\It's all or nothing.\I'll be the decoy.\Run to the Keystone Gate as fast as you can!\But...! response:	We don't have the time to hesitate!
context: There aren't any places left to hide and move anymore!\Need some help, Carly?\It's fine. I have them cornered.\It's all or nothing.\I'll be the decoy.\Run to the Keystone Gate as fast as you can!\But...!\We don't have the time to hesitate! response:	Mogwai, I'll leave you to guide Asagi!
context: Need some help, Carly?\It's fine. I have them cornered.\It's all or nothing.\I'll be the decoy.\Run to the Keystone Gate as fast as you can!\But...!\We don't have the time to hesitate!\Mogwai, I'll leave you to guide Asagi! response:	Leave it to me!
context: It's fine. I have them cornered.\It's all or nothing.\I'll be the decoy.\Run to the Keystone Gate as fast as you can!\But...!\We don't have the time to hesitate!\Mogwai, I'll leave you to guide Asagi!\Leave it to me! response:	I'm starting the countdown.
context: It's all or nothing.\I'll be the decoy.\Run to the Keystone Gate as fast as you can!\But...!\We don't have the time to hesitate!\Mogwai, I'll leave you to guide Asagi!\Leave it to me!\I'm starting the countdown. response:	Three... Two... One... Zero!
context: I'll be the decoy.\Run to the Keystone Gate as fast as you can!\But...!\We don't have the time to hesitate!\Mogwai, I'll leave you to guide Asagi!\Leave it to me!\I'm starting the countdown.\Three... Two... One... Zero! response:	Oh no, you don't!
context: Run to the Keystone Gate as fast as you can!\But...!\We don't have the time to hesitate!\Mogwai, I'll leave you to guide Asagi!\Leave it to me!\I'm starting the countdown.\Three... Two... One... Zero!\Oh no, you don't! response:	An Air Elemental!?
context: But...!\We don't have the time to hesitate!\Mogwai, I'll leave you to guide Asagi!\Leave it to me!\I'm starting the countdown.\Three... Two... One... Zero!\Oh no, you don't!\An Air Elemental!? response:	No, a Wraith!?
context: We don't have the time to hesitate!\Mogwai, I'll leave you to guide Asagi!\Leave it to me!\I'm starting the countdown.\Three... Two... One... Zero!\Oh no, you don't!\An Air Elemental!?\No, a Wraith!? response:	Something like that... If I destroy the clone, even the technique user should receive damage!
context: Mogwai, I'll leave you to guide Asagi!\Leave it to me!\I'm starting the countdown.\Three... Two... One... Zero!\Oh no, you don't!\An Air Elemental!?\No, a Wraith!?\Something like that... If I destroy the clone, even the technique user should receive damage! response:	And now...!
context: Leave it to me!\I'm starting the countdown.\Three... Two... One... Zero!\Oh no, you don't!\An Air Elemental!?\No, a Wraith!?\Something like that... If I destroy the clone, even the technique user should receive damage!\And now...! response:	I'm not done yet!
context: I'm starting the countdown.\Three... Two... One... Zero!\Oh no, you don't!\An Air Elemental!?\No, a Wraith!?\Something like that... If I destroy the clone, even the technique user should receive damage!\And now...!\I'm not done yet! response:	Sorry... December...
context: Three... Two... One... Zero!\Oh no, you don't!\An Air Elemental!?\No, a Wraith!?\Something like that... If I destroy the clone, even the technique user should receive damage!\And now...!\I'm not done yet!\Sorry... December... response:	Dammit, I guess I tried too hard.
context: Oh no, you don't!\An Air Elemental!?\No, a Wraith!?\Something like that... If I destroy the clone, even the technique user should receive damage!\And now...!\I'm not done yet!\Sorry... December...\Dammit, I guess I tried too hard. response:	The rest is in your hands, Kojou...
context: An Air Elemental!?\No, a Wraith!?\Something like that... If I destroy the clone, even the technique user should receive damage!\And now...!\I'm not done yet!\Sorry... December...\Dammit, I guess I tried too hard.\The rest is in your hands, Kojou... response:	Carly! What's wrong, Carly!?
context: No, a Wraith!?\Something like that... If I destroy the clone, even the technique user should receive damage!\And now...!\I'm not done yet!\Sorry... December...\Dammit, I guess I tried too hard.\The rest is in your hands, Kojou...\Carly! What's wrong, Carly!? response:	You're not going anywhere.
context: Something like that... If I destroy the clone, even the technique user should receive damage!\And now...!\I'm not done yet!\Sorry... December...\Dammit, I guess I tried too hard.\The rest is in your hands, Kojou...\Carly! What's wrong, Carly!?\You're not going anywhere. response:	Resistance is futile.
context: And now...!\I'm not done yet!\Sorry... December...\Dammit, I guess I tried too hard.\The rest is in your hands, Kojou...\Carly! What's wrong, Carly!?\You're not going anywhere.\Resistance is futile. response:	Answer me.
context: I'm not done yet!\Sorry... December...\Dammit, I guess I tried too hard.\The rest is in your hands, Kojou...\Carly! What's wrong, Carly!?\You're not going anywhere.\Resistance is futile.\Answer me. response:	Where is Senga Takehito?
context: Sorry... December...\Dammit, I guess I tried too hard.\The rest is in your hands, Kojou...\Carly! What's wrong, Carly!?\You're not going anywhere.\Resistance is futile.\Answer me.\Where is Senga Takehito? response:	Program.
context: Dammit, I guess I tried too hard.\The rest is in your hands, Kojou...\Carly! What's wrong, Carly!?\You're not going anywhere.\Resistance is futile.\Answer me.\Where is Senga Takehito?\Program. response:	Tartaros Rose's network infiltration dropped to 77.
context: The rest is in your hands, Kojou...\Carly! What's wrong, Carly!?\You're not going anywhere.\Resistance is futile.\Answer me.\Where is Senga Takehito?\Program.\Tartaros Rose's network infiltration dropped to 77. response:	Demon registration bracelets... Signal lost from 4800 units.
context: Carly! What's wrong, Carly!?\You're not going anywhere.\Resistance is futile.\Answer me.\Where is Senga Takehito?\Program.\Tartaros Rose's network infiltration dropped to 77.\Demon registration bracelets... Signal lost from 4800 units. response:	Even you can't stop her?
context: You're not going anywhere.\Resistance is futile.\Answer me.\Where is Senga Takehito?\Program.\Tartaros Rose's network infiltration dropped to 77.\Demon registration bracelets... Signal lost from 4800 units.\Even you can't stop her? response:	Aiba Asagi really is something else.
context: Resistance is futile.\Answer me.\Where is Senga Takehito?\Program.\Tartaros Rose's network infiltration dropped to 77.\Demon registration bracelets... Signal lost from 4800 units.\Even you can't stop her?\Aiba Asagi really is something else. response:	Ran, that's enough. Run away.
context: Answer me.\Where is Senga Takehito?\Program.\Tartaros Rose's network infiltration dropped to 77.\Demon registration bracelets... Signal lost from 4800 units.\Even you can't stop her?\Aiba Asagi really is something else.\Ran, that's enough. Run away. response:	I can handle the rest on my own.
context: Where is Senga Takehito?\Program.\Tartaros Rose's network infiltration dropped to 77.\Demon registration bracelets... Signal lost from 4800 units.\Even you can't stop her?\Aiba Asagi really is something else.\Ran, that's enough. Run away.\I can handle the rest on my own. response:	I'm sorry, I can't run away.
context: Program.\Tartaros Rose's network infiltration dropped to 77.\Demon registration bracelets... Signal lost from 4800 units.\Even you can't stop her?\Aiba Asagi really is something else.\Ran, that's enough. Run away.\I can handle the rest on my own.\I'm sorry, I can't run away. response:	I don't... want to... go away.
context: Tartaros Rose's network infiltration dropped to 77.\Demon registration bracelets... Signal lost from 4800 units.\Even you can't stop her?\Aiba Asagi really is something else.\Ran, that's enough. Run away.\I can handle the rest on my own.\I'm sorry, I can't run away.\I don't... want to... go away. response:	Ran...
context: Demon registration bracelets... Signal lost from 4800 units.\Even you can't stop her?\Aiba Asagi really is something else.\Ran, that's enough. Run away.\I can handle the rest on my own.\I'm sorry, I can't run away.\I don't... want to... go away.\Ran... response:	Stop it, Ran!
context: Even you can't stop her?\Aiba Asagi really is something else.\Ran, that's enough. Run away.\I can handle the rest on my own.\I'm sorry, I can't run away.\I don't... want to... go away.\Ran...\Stop it, Ran! response:	She's a monster who has control over this entire man-made island!
context: Aiba Asagi really is something else.\Ran, that's enough. Run away.\I can handle the rest on my own.\I'm sorry, I can't run away.\I don't... want to... go away.\Ran...\Stop it, Ran!\She's a monster who has control over this entire man-made island! response:	These are the memories of C... So pretty...
context: Ran, that's enough. Run away.\I can handle the rest on my own.\I'm sorry, I can't run away.\I don't... want to... go away.\Ran...\Stop it, Ran!\She's a monster who has control over this entire man-made island!\These are the memories of C... So pretty... response:	Don't go, Ran!
context: I can handle the rest on my own.\I'm sorry, I can't run away.\I don't... want to... go away.\Ran...\Stop it, Ran!\She's a monster who has control over this entire man-made island!\These are the memories of C... So pretty...\Don't go, Ran! response:	Sorry, Ran... I love you.
