context: The four-year-olds and under aren't here? response:	I'm leaving them here.
context: - So close! - You can do it!\Nat!\Yeah!\Emma, are we really...\It's all right.\As long as the first person can cross...\Whoa, hey!\Yay! response:	Okay, we're up next!
context: Nat!\Yeah!\Emma, are we really...\It's all right.\As long as the first person can cross...\Whoa, hey!\Yay!\Okay, we're up next! response:	Ready...
context: Yeah!\Emma, are we really...\It's all right.\As long as the first person can cross...\Whoa, hey!\Yay!\Okay, we're up next!\Ready... response:	We did it!
context: Emma, are we really...\It's all right.\As long as the first person can cross...\Whoa, hey!\Yay!\Okay, we're up next!\Ready...\We did it! response:	All right, come on!
context: It's all right.\As long as the first person can cross...\Whoa, hey!\Yay!\Okay, we're up next!\Ready...\We did it!\All right, come on! response:	See you later, Ray!
context: As long as the first person can cross...\Whoa, hey!\Yay!\Okay, we're up next!\Ready...\We did it!\All right, come on!\See you later, Ray! response:	You guys...
context: Whoa, hey!\Yay!\Okay, we're up next!\Ready...\We did it!\All right, come on!\See you later, Ray!\You guys... response:	You guys... when did you...
context: Yay!\Okay, we're up next!\Ready...\We did it!\All right, come on!\See you later, Ray!\You guys...\You guys... when did you... response:	Well?
context: Okay, we're up next!\Ready...\We did it!\All right, come on!\See you later, Ray!\You guys...\You guys... when did you...\Well? response:	What a smug face. How annoying.
context: Ready...\We did it!\All right, come on!\See you later, Ray!\You guys...\You guys... when did you...\Well?\What a smug face. How annoying. response:	Well, we were able to completely fool you.
context: We did it!\All right, come on!\See you later, Ray!\You guys...\You guys... when did you...\Well?\What a smug face. How annoying.\Well, we were able to completely fool you. response:	You'll show me something cool, so shut up and come, huh?
context: All right, come on!\See you later, Ray!\You guys...\You guys... when did you...\Well?\What a smug face. How annoying.\Well, we were able to completely fool you.\You'll show me something cool, so shut up and come, huh? response:	And isn't it cool?
context: See you later, Ray!\You guys...\You guys... when did you...\Well?\What a smug face. How annoying.\Well, we were able to completely fool you.\You'll show me something cool, so shut up and come, huh?\And isn't it cool? response:	Look.
context: You guys...\You guys... when did you...\Well?\What a smug face. How annoying.\Well, we were able to completely fool you.\You'll show me something cool, so shut up and come, huh?\And isn't it cool?\Look. response:	It's a scenery we never thought we would see.
context: You guys... when did you...\Well?\What a smug face. How annoying.\Well, we were able to completely fool you.\You'll show me something cool, so shut up and come, huh?\And isn't it cool?\Look.\It's a scenery we never thought we would see. response:	Yeah.
context: Well?\What a smug face. How annoying.\Well, we were able to completely fool you.\You'll show me something cool, so shut up and come, huh?\And isn't it cool?\Look.\It's a scenery we never thought we would see.\Yeah. response:	I thought it wouldn't be possible to take everyone.
context: What a smug face. How annoying.\Well, we were able to completely fool you.\You'll show me something cool, so shut up and come, huh?\And isn't it cool?\Look.\It's a scenery we never thought we would see.\Yeah.\I thought it wouldn't be possible to take everyone. response:	I thought they would be a hindrance.
context: Well, we were able to completely fool you.\You'll show me something cool, so shut up and come, huh?\And isn't it cool?\Look.\It's a scenery we never thought we would see.\Yeah.\I thought it wouldn't be possible to take everyone.\I thought they would be a hindrance. response:	I hesitated too.
context: You'll show me something cool, so shut up and come, huh?\And isn't it cool?\Look.\It's a scenery we never thought we would see.\Yeah.\I thought it wouldn't be possible to take everyone.\I thought they would be a hindrance.\I hesitated too. response:	But in the end, I made a decision, and it's thanks to Emma.
context: And isn't it cool?\Look.\It's a scenery we never thought we would see.\Yeah.\I thought it wouldn't be possible to take everyone.\I thought they would be a hindrance.\I hesitated too.\But in the end, I made a decision, and it's thanks to Emma. response:	Everyone joined with full faith because it's Emma.
context: Look.\It's a scenery we never thought we would see.\Yeah.\I thought it wouldn't be possible to take everyone.\I thought they would be a hindrance.\I hesitated too.\But in the end, I made a decision, and it's thanks to Emma.\Everyone joined with full faith because it's Emma. response:	She's reckless and unreasonable, but she's honest,
context: It's a scenery we never thought we would see.\Yeah.\I thought it wouldn't be possible to take everyone.\I thought they would be a hindrance.\I hesitated too.\But in the end, I made a decision, and it's thanks to Emma.\Everyone joined with full faith because it's Emma.\She's reckless and unreasonable, but she's honest, response:	and can say we're taking everyone without a second thought.
context: Yeah.\I thought it wouldn't be possible to take everyone.\I thought they would be a hindrance.\I hesitated too.\But in the end, I made a decision, and it's thanks to Emma.\Everyone joined with full faith because it's Emma.\She's reckless and unreasonable, but she's honest,\and can say we're taking everyone without a second thought. response:	You don't have to give up, Ray.
context: I thought it wouldn't be possible to take everyone.\I thought they would be a hindrance.\I hesitated too.\But in the end, I made a decision, and it's thanks to Emma.\Everyone joined with full faith because it's Emma.\She's reckless and unreasonable, but she's honest,\and can say we're taking everyone without a second thought.\You don't have to give up, Ray. response:	- Did you find them? - No, keep looking!
context: I thought they would be a hindrance.\I hesitated too.\But in the end, I made a decision, and it's thanks to Emma.\Everyone joined with full faith because it's Emma.\She's reckless and unreasonable, but she's honest,\and can say we're taking everyone without a second thought.\You don't have to give up, Ray.\- Did you find them? - No, keep looking! response:	Those children haven't appeared at the bridge yet?
context: I hesitated too.\But in the end, I made a decision, and it's thanks to Emma.\Everyone joined with full faith because it's Emma.\She's reckless and unreasonable, but she's honest,\and can say we're taking everyone without a second thought.\You don't have to give up, Ray.\- Did you find them? - No, keep looking!\Those children haven't appeared at the bridge yet? response:	Not yet. Leave no stone unturned. Find them!
context: But in the end, I made a decision, and it's thanks to Emma.\Everyone joined with full faith because it's Emma.\She's reckless and unreasonable, but she's honest,\and can say we're taking everyone without a second thought.\You don't have to give up, Ray.\- Did you find them? - No, keep looking!\Those children haven't appeared at the bridge yet?\Not yet. Leave no stone unturned. Find them! response:	Why?
context: Everyone joined with full faith because it's Emma.\She's reckless and unreasonable, but she's honest,\and can say we're taking everyone without a second thought.\You don't have to give up, Ray.\- Did you find them? - No, keep looking!\Those children haven't appeared at the bridge yet?\Not yet. Leave no stone unturned. Find them!\Why? response:	Could they be...
context: She's reckless and unreasonable, but she's honest,\and can say we're taking everyone without a second thought.\You don't have to give up, Ray.\- Did you find them? - No, keep looking!\Those children haven't appeared at the bridge yet?\Not yet. Leave no stone unturned. Find them!\Why?\Could they be... response:	Just five more!
context: and can say we're taking everyone without a second thought.\You don't have to give up, Ray.\- Did you find them? - No, keep looking!\Those children haven't appeared at the bridge yet?\Not yet. Leave no stone unturned. Find them!\Why?\Could they be...\Just five more! response:	Emma, what should I do?
context: You don't have to give up, Ray.\- Did you find them? - No, keep looking!\Those children haven't appeared at the bridge yet?\Not yet. Leave no stone unturned. Find them!\Why?\Could they be...\Just five more!\Emma, what should I do? response:	My hands... I'm sorry! When I think that there's a cliff below...
context: - Did you find them? - No, keep looking!\Those children haven't appeared at the bridge yet?\Not yet. Leave no stone unturned. Find them!\Why?\Could they be...\Just five more!\Emma, what should I do?\My hands... I'm sorry! When I think that there's a cliff below... response:	I start to think... What if I fall?
context: Those children haven't appeared at the bridge yet?\Not yet. Leave no stone unturned. Find them!\Why?\Could they be...\Just five more!\Emma, what should I do?\My hands... I'm sorry! When I think that there's a cliff below...\I start to think... What if I fall? response:	Fall?
context: Not yet. Leave no stone unturned. Find them!\Why?\Could they be...\Just five more!\Emma, what should I do?\My hands... I'm sorry! When I think that there's a cliff below...\I start to think... What if I fall?\Fall? response:	It's okay, Jemima.
context: Why?\Could they be...\Just five more!\Emma, what should I do?\My hands... I'm sorry! When I think that there's a cliff below...\I start to think... What if I fall?\Fall?\It's okay, Jemima. response:	Let's cross together.
context: Could they be...\Just five more!\Emma, what should I do?\My hands... I'm sorry! When I think that there's a cliff below...\I start to think... What if I fall?\Fall?\It's okay, Jemima.\Let's cross together. response:	Ray.
context: Just five more!\Emma, what should I do?\My hands... I'm sorry! When I think that there's a cliff below...\I start to think... What if I fall?\Fall?\It's okay, Jemima.\Let's cross together.\Ray. response:	Emma.
context: Emma, what should I do?\My hands... I'm sorry! When I think that there's a cliff below...\I start to think... What if I fall?\Fall?\It's okay, Jemima.\Let's cross together.\Ray.\Emma. response:	You still have the rope we used to pull everyone up, right?
context: My hands... I'm sorry! When I think that there's a cliff below...\I start to think... What if I fall?\Fall?\It's okay, Jemima.\Let's cross together.\Ray.\Emma.\You still have the rope we used to pull everyone up, right? response:	Y-Yeah!
context: I start to think... What if I fall?\Fall?\It's okay, Jemima.\Let's cross together.\Ray.\Emma.\You still have the rope we used to pull everyone up, right?\Y-Yeah! response:	Can you tie Jemima to me using that?
context: Fall?\It's okay, Jemima.\Let's cross together.\Ray.\Emma.\You still have the rope we used to pull everyone up, right?\Y-Yeah!\Can you tie Jemima to me using that? response:	Do you know how to go down?
context: It's okay, Jemima.\Let's cross together.\Ray.\Emma.\You still have the rope we used to pull everyone up, right?\Y-Yeah!\Can you tie Jemima to me using that?\Do you know how to go down? response:	I saw what everyone did.
context: Let's cross together.\Ray.\Emma.\You still have the rope we used to pull everyone up, right?\Y-Yeah!\Can you tie Jemima to me using that?\Do you know how to go down?\I saw what everyone did. response:	How about you guys?
context: Ray.\Emma.\You still have the rope we used to pull everyone up, right?\Y-Yeah!\Can you tie Jemima to me using that?\Do you know how to go down?\I saw what everyone did.\How about you guys? response:	Don't tell me you can't do this.
context: Emma.\You still have the rope we used to pull everyone up, right?\Y-Yeah!\Can you tie Jemima to me using that?\Do you know how to go down?\I saw what everyone did.\How about you guys?\Don't tell me you can't do this. response:	W-We'll be fine!
context: You still have the rope we used to pull everyone up, right?\Y-Yeah!\Can you tie Jemima to me using that?\Do you know how to go down?\I saw what everyone did.\How about you guys?\Don't tell me you can't do this.\W-We'll be fine! response:	Y-Yeah, super easy!
context: Y-Yeah!\Can you tie Jemima to me using that?\Do you know how to go down?\I saw what everyone did.\How about you guys?\Don't tell me you can't do this.\W-We'll be fine!\Y-Yeah, super easy! response:	Well said.
context: Can you tie Jemima to me using that?\Do you know how to go down?\I saw what everyone did.\How about you guys?\Don't tell me you can't do this.\W-We'll be fine!\Y-Yeah, super easy!\Well said. response:	Let's go, Jemima.
context: Do you know how to go down?\I saw what everyone did.\How about you guys?\Don't tell me you can't do this.\W-We'll be fine!\Y-Yeah, super easy!\Well said.\Let's go, Jemima. response:	See? We got here, Jemima.
context: I saw what everyone did.\How about you guys?\Don't tell me you can't do this.\W-We'll be fine!\Y-Yeah, super easy!\Well said.\Let's go, Jemima.\See? We got here, Jemima. response:	I lose, Norman.
context: How about you guys?\Don't tell me you can't do this.\W-We'll be fine!\Y-Yeah, super easy!\Well said.\Let's go, Jemima.\See? We got here, Jemima.\I lose, Norman. response:	Okay, you're the last one! Let's go, Emma!
context: Don't tell me you can't do this.\W-We'll be fine!\Y-Yeah, super easy!\Well said.\Let's go, Jemima.\See? We got here, Jemima.\I lose, Norman.\Okay, you're the last one! Let's go, Emma! response:	Goodbye, House.
context: W-We'll be fine!\Y-Yeah, super easy!\Well said.\Let's go, Jemima.\See? We got here, Jemima.\I lose, Norman.\Okay, you're the last one! Let's go, Emma!\Goodbye, House. response:	Goodbye, our home that we loved so much.
context: Y-Yeah, super easy!\Well said.\Let's go, Jemima.\See? We got here, Jemima.\I lose, Norman.\Okay, you're the last one! Let's go, Emma!\Goodbye, House.\Goodbye, our home that we loved so much. response:	Goodbye... Mom.
context: Well said.\Let's go, Jemima.\See? We got here, Jemima.\I lose, Norman.\Okay, you're the last one! Let's go, Emma!\Goodbye, House.\Goodbye, our home that we loved so much.\Goodbye... Mom. response:	Don't go, Emma.
context: Let's go, Jemima.\See? We got here, Jemima.\I lose, Norman.\Okay, you're the last one! Let's go, Emma!\Goodbye, House.\Goodbye, our home that we loved so much.\Goodbye... Mom.\Don't go, Emma. response:	My dear children...
context: See? We got here, Jemima.\I lose, Norman.\Okay, you're the last one! Let's go, Emma!\Goodbye, House.\Goodbye, our home that we loved so much.\Goodbye... Mom.\Don't go, Emma.\My dear children... response:	Isabella!
context: I lose, Norman.\Okay, you're the last one! Let's go, Emma!\Goodbye, House.\Goodbye, our home that we loved so much.\Goodbye... Mom.\Don't go, Emma.\My dear children...\Isabella! response:	You scared me.
context: Okay, you're the last one! Let's go, Emma!\Goodbye, House.\Goodbye, our home that we loved so much.\Goodbye... Mom.\Don't go, Emma.\My dear children...\Isabella!\You scared me. response:	I'm sorry. I was climbing trees and I heard a beautiful song, so...
context: Goodbye, House.\Goodbye, our home that we loved so much.\Goodbye... Mom.\Don't go, Emma.\My dear children...\Isabella!\You scared me.\I'm sorry. I was climbing trees and I heard a beautiful song, so... response:	Did you compose it, Leslie?
context: Goodbye, our home that we loved so much.\Goodbye... Mom.\Don't go, Emma.\My dear children...\Isabella!\You scared me.\I'm sorry. I was climbing trees and I heard a beautiful song, so...\Did you compose it, Leslie? response:	Yeah.
context: Goodbye... Mom.\Don't go, Emma.\My dear children...\Isabella!\You scared me.\I'm sorry. I was climbing trees and I heard a beautiful song, so...\Did you compose it, Leslie?\Yeah. response:	It's a lovely melody. What's the name of the song?
context: Don't go, Emma.\My dear children...\Isabella!\You scared me.\I'm sorry. I was climbing trees and I heard a beautiful song, so...\Did you compose it, Leslie?\Yeah.\It's a lovely melody. What's the name of the song? response:	It doesn't have a name.
context: My dear children...\Isabella!\You scared me.\I'm sorry. I was climbing trees and I heard a beautiful song, so...\Did you compose it, Leslie?\Yeah.\It's a lovely melody. What's the name of the song?\It doesn't have a name. response:	It's amazing. Let me hear more of it!
context: Isabella!\You scared me.\I'm sorry. I was climbing trees and I heard a beautiful song, so...\Did you compose it, Leslie?\Yeah.\It's a lovely melody. What's the name of the song?\It doesn't have a name.\It's amazing. Let me hear more of it! response:	But it's embarrassing, so don't tell everyone else.
context: You scared me.\I'm sorry. I was climbing trees and I heard a beautiful song, so...\Did you compose it, Leslie?\Yeah.\It's a lovely melody. What's the name of the song?\It doesn't have a name.\It's amazing. Let me hear more of it!\But it's embarrassing, so don't tell everyone else. response:	Okay.
context: I'm sorry. I was climbing trees and I heard a beautiful song, so...\Did you compose it, Leslie?\Yeah.\It's a lovely melody. What's the name of the song?\It doesn't have a name.\It's amazing. Let me hear more of it!\But it's embarrassing, so don't tell everyone else.\Okay. response:	I'm going to put you in charge of Plant Three starting next year.
context: Did you compose it, Leslie?\Yeah.\It's a lovely melody. What's the name of the song?\It doesn't have a name.\It's amazing. Let me hear more of it!\But it's embarrassing, so don't tell everyone else.\Okay.\I'm going to put you in charge of Plant Three starting next year. response:	Yes, understood.
context: Yeah.\It's a lovely melody. What's the name of the song?\It doesn't have a name.\It's amazing. Let me hear more of it!\But it's embarrassing, so don't tell everyone else.\Okay.\I'm going to put you in charge of Plant Three starting next year.\Yes, understood. response:	Ray.
context: It's a lovely melody. What's the name of the song?\It doesn't have a name.\It's amazing. Let me hear more of it!\But it's embarrassing, so don't tell everyone else.\Okay.\I'm going to put you in charge of Plant Three starting next year.\Yes, understood.\Ray. response:	How do you know that song?
context: It doesn't have a name.\It's amazing. Let me hear more of it!\But it's embarrassing, so don't tell everyone else.\Okay.\I'm going to put you in charge of Plant Three starting next year.\Yes, understood.\Ray.\How do you know that song? response:	Hey, Mom.
context: It's amazing. Let me hear more of it!\But it's embarrassing, so don't tell everyone else.\Okay.\I'm going to put you in charge of Plant Three starting next year.\Yes, understood.\Ray.\How do you know that song?\Hey, Mom. response:	Why did you give birth to me?
context: But it's embarrassing, so don't tell everyone else.\Okay.\I'm going to put you in charge of Plant Three starting next year.\Yes, understood.\Ray.\How do you know that song?\Hey, Mom.\Why did you give birth to me? response:	Well, Ray...
context: Okay.\I'm going to put you in charge of Plant Three starting next year.\Yes, understood.\Ray.\How do you know that song?\Hey, Mom.\Why did you give birth to me?\Well, Ray... response:	it was for survival.
context: I'm going to put you in charge of Plant Three starting next year.\Yes, understood.\Ray.\How do you know that song?\Hey, Mom.\Why did you give birth to me?\Well, Ray...\it was for survival. response:	Longer than anyone.
context: Yes, understood.\Ray.\How do you know that song?\Hey, Mom.\Why did you give birth to me?\Well, Ray...\it was for survival.\Longer than anyone. response:	But I guess I've had enough.
context: Ray.\How do you know that song?\Hey, Mom.\Why did you give birth to me?\Well, Ray...\it was for survival.\Longer than anyone.\But I guess I've had enough. response:	I lost.
context: How do you know that song?\Hey, Mom.\Why did you give birth to me?\Well, Ray...\it was for survival.\Longer than anyone.\But I guess I've had enough.\I lost. response:	Go on.
context: Hey, Mom.\Why did you give birth to me?\Well, Ray...\it was for survival.\Longer than anyone.\But I guess I've had enough.\I lost.\Go on. response:	Please be careful.
context: Why did you give birth to me?\Well, Ray...\it was for survival.\Longer than anyone.\But I guess I've had enough.\I lost.\Go on.\Please be careful. response:	And I pray that you will find light.
context: Well, Ray...\it was for survival.\Longer than anyone.\But I guess I've had enough.\I lost.\Go on.\Please be careful.\And I pray that you will find light. response:	Mom.
context: it was for survival.\Longer than anyone.\But I guess I've had enough.\I lost.\Go on.\Please be careful.\And I pray that you will find light.\Mom. response:	Don't worry. They escaped safely.
context: Longer than anyone.\But I guess I've had enough.\I lost.\Go on.\Please be careful.\And I pray that you will find light.\Mom.\Don't worry. They escaped safely. response:	Mom.
context: But I guess I've had enough.\I lost.\Go on.\Please be careful.\And I pray that you will find light.\Mom.\Don't worry. They escaped safely.\Mom. response:	I'm sorry, everyone.
context: I lost.\Go on.\Please be careful.\And I pray that you will find light.\Mom.\Don't worry. They escaped safely.\Mom.\I'm sorry, everyone. response:	You must have been cold and lonely.
context: Go on.\Please be careful.\And I pray that you will find light.\Mom.\Don't worry. They escaped safely.\Mom.\I'm sorry, everyone.\You must have been cold and lonely. response:	We did it.
context: Please be careful.\And I pray that you will find light.\Mom.\Don't worry. They escaped safely.\Mom.\I'm sorry, everyone.\You must have been cold and lonely.\We did it. response:	We did it, Norman!
context: And I pray that you will find light.\Mom.\Don't worry. They escaped safely.\Mom.\I'm sorry, everyone.\You must have been cold and lonely.\We did it.\We did it, Norman! response:	It's the outside! We made it out!
context: Mom.\Don't worry. They escaped safely.\Mom.\I'm sorry, everyone.\You must have been cold and lonely.\We did it.\We did it, Norman!\It's the outside! We made it out! response:	I'll definitely come back to get everyone else.
context: Don't worry. They escaped safely.\Mom.\I'm sorry, everyone.\You must have been cold and lonely.\We did it.\We did it, Norman!\It's the outside! We made it out!\I'll definitely come back to get everyone else. response:	Today we take the first step.
context: Mom.\I'm sorry, everyone.\You must have been cold and lonely.\We did it.\We did it, Norman!\It's the outside! We made it out!\I'll definitely come back to get everyone else.\Today we take the first step. response:	It's our first morning.
