context: The Grand Magic Games are held once a year. response:	Seeking to fill in the blank of the last seven years, Natsu and the rest of the Tenrou group
context: For instance, one year we weren't in it, they had a shooting contest...\The year I wasn't in it, they had a race...\The team with the greatest cumulative points over a number of events is the winner...\I looked at the past records,\but it seems there's no consistency with the events.\Well, then we'll just play it by ear.\I hope it's a battle, though!\Every year, when the Games are held, we sense a strange magical force. response:	A mysterious force... and mysterious contests...
context: The year I wasn't in it, they had a race...\The team with the greatest cumulative points over a number of events is the winner...\I looked at the past records,\but it seems there's no consistency with the events.\Well, then we'll just play it by ear.\I hope it's a battle, though!\Every year, when the Games are held, we sense a strange magical force.\A mysterious force... and mysterious contests... response:	Erza!
context: The team with the greatest cumulative points over a number of events is the winner...\I looked at the past records,\but it seems there's no consistency with the events.\Well, then we'll just play it by ear.\I hope it's a battle, though!\Every year, when the Games are held, we sense a strange magical force.\A mysterious force... and mysterious contests...\Erza! response:	Read the official rulebook by tomorrow.
context: I looked at the past records,\but it seems there's no consistency with the events.\Well, then we'll just play it by ear.\I hope it's a battle, though!\Every year, when the Games are held, we sense a strange magical force.\A mysterious force... and mysterious contests...\Erza!\Read the official rulebook by tomorrow. response:	Read this...?
context: but it seems there's no consistency with the events.\Well, then we'll just play it by ear.\I hope it's a battle, though!\Every year, when the Games are held, we sense a strange magical force.\A mysterious force... and mysterious contests...\Erza!\Read the official rulebook by tomorrow.\Read this...? response:	Leave it to me! I've got Windreading Glasses!
context: Well, then we'll just play it by ear.\I hope it's a battle, though!\Every year, when the Games are held, we sense a strange magical force.\A mysterious force... and mysterious contests...\Erza!\Read the official rulebook by tomorrow.\Read this...?\Leave it to me! I've got Windreading Glasses! response:	You're always prepared, Levy-chan!
context: I hope it's a battle, though!\Every year, when the Games are held, we sense a strange magical force.\A mysterious force... and mysterious contests...\Erza!\Read the official rulebook by tomorrow.\Read this...?\Leave it to me! I've got Windreading Glasses!\You're always prepared, Levy-chan! response:	To put it in a nutshell,
context: Every year, when the Games are held, we sense a strange magical force.\A mysterious force... and mysterious contests...\Erza!\Read the official rulebook by tomorrow.\Read this...?\Leave it to me! I've got Windreading Glasses!\You're always prepared, Levy-chan!\To put it in a nutshell, response:	I'd say there are three important things.
context: A mysterious force... and mysterious contests...\Erza!\Read the official rulebook by tomorrow.\Read this...?\Leave it to me! I've got Windreading Glasses!\You're always prepared, Levy-chan!\To put it in a nutshell,\I'd say there are three important things. response:	The first is that a guild master can't participate.
context: Erza!\Read the official rulebook by tomorrow.\Read this...?\Leave it to me! I've got Windreading Glasses!\You're always prepared, Levy-chan!\To put it in a nutshell,\I'd say there are three important things.\The first is that a guild master can't participate. response:	Well, that makes sense.
context: Read the official rulebook by tomorrow.\Read this...?\Leave it to me! I've got Windreading Glasses!\You're always prepared, Levy-chan!\To put it in a nutshell,\I'd say there are three important things.\The first is that a guild master can't participate.\Well, that makes sense. response:	Anyone who doesn't have the guild emblem
context: Read this...?\Leave it to me! I've got Windreading Glasses!\You're always prepared, Levy-chan!\To put it in a nutshell,\I'd say there are three important things.\The first is that a guild master can't participate.\Well, that makes sense.\Anyone who doesn't have the guild emblem response:	is counted as a spectator and may not participate.
context: Leave it to me! I've got Windreading Glasses!\You're always prepared, Levy-chan!\To put it in a nutshell,\I'd say there are three important things.\The first is that a guild master can't participate.\Well, that makes sense.\Anyone who doesn't have the guild emblem\is counted as a spectator and may not participate. response:	That's a pretty obvious one, too.
context: You're always prepared, Levy-chan!\To put it in a nutshell,\I'd say there are three important things.\The first is that a guild master can't participate.\Well, that makes sense.\Anyone who doesn't have the guild emblem\is counted as a spectator and may not participate.\That's a pretty obvious one, too. response:	And to maintain secrecy, the rules for each event
context: To put it in a nutshell,\I'd say there are three important things.\The first is that a guild master can't participate.\Well, that makes sense.\Anyone who doesn't have the guild emblem\is counted as a spectator and may not participate.\That's a pretty obvious one, too.\And to maintain secrecy, the rules for each event response:	won't be revealed until right before the event starts.
context: I'd say there are three important things.\The first is that a guild master can't participate.\Well, that makes sense.\Anyone who doesn't have the guild emblem\is counted as a spectator and may not participate.\That's a pretty obvious one, too.\And to maintain secrecy, the rules for each event\won't be revealed until right before the event starts. response:	Not much info of use there.
context: The first is that a guild master can't participate.\Well, that makes sense.\Anyone who doesn't have the guild emblem\is counted as a spectator and may not participate.\That's a pretty obvious one, too.\And to maintain secrecy, the rules for each event\won't be revealed until right before the event starts.\Not much info of use there. response:	There is a warning at the end.
context: Well, that makes sense.\Anyone who doesn't have the guild emblem\is counted as a spectator and may not participate.\That's a pretty obvious one, too.\And to maintain secrecy, the rules for each event\won't be revealed until right before the event starts.\Not much info of use there.\There is a warning at the end. response:	It says that all the participants have to be back at their designated inn by midnight.
context: Anyone who doesn't have the guild emblem\is counted as a spectator and may not participate.\That's a pretty obvious one, too.\And to maintain secrecy, the rules for each event\won't be revealed until right before the event starts.\Not much info of use there.\There is a warning at the end.\It says that all the participants have to be back at their designated inn by midnight. response:	Midnight?
context: is counted as a spectator and may not participate.\That's a pretty obvious one, too.\And to maintain secrecy, the rules for each event\won't be revealed until right before the event starts.\Not much info of use there.\There is a warning at the end.\It says that all the participants have to be back at their designated inn by midnight.\Midnight? response:	When?
context: That's a pretty obvious one, too.\And to maintain secrecy, the rules for each event\won't be revealed until right before the event starts.\Not much info of use there.\There is a warning at the end.\It says that all the participants have to be back at their designated inn by midnight.\Midnight?\When? response:	It must mean tonight, right?
context: And to maintain secrecy, the rules for each event\won't be revealed until right before the event starts.\Not much info of use there.\There is a warning at the end.\It says that all the participants have to be back at their designated inn by midnight.\Midnight?\When?\It must mean tonight, right? response:	Back by midnight...
context: won't be revealed until right before the event starts.\Not much info of use there.\There is a warning at the end.\It says that all the participants have to be back at their designated inn by midnight.\Midnight?\When?\It must mean tonight, right?\Back by midnight... response:	It's like that story, the princess with the glass slippers.
context: Not much info of use there.\There is a warning at the end.\It says that all the participants have to be back at their designated inn by midnight.\Midnight?\When?\It must mean tonight, right?\Back by midnight...\It's like that story, the princess with the glass slippers. response:	How can Gray-sama be saying romantic things when Juvia isn't around?!
context: There is a warning at the end.\It says that all the participants have to be back at their designated inn by midnight.\Midnight?\When?\It must mean tonight, right?\Back by midnight...\It's like that story, the princess with the glass slippers.\How can Gray-sama be saying romantic things when Juvia isn't around?! response:	Oh, my prince!
context: It says that all the participants have to be back at their designated inn by midnight.\Midnight?\When?\It must mean tonight, right?\Back by midnight...\It's like that story, the princess with the glass slippers.\How can Gray-sama be saying romantic things when Juvia isn't around?!\Oh, my prince! response:	If it's midnight, we still got plenty of time!
context: Midnight?\When?\It must mean tonight, right?\Back by midnight...\It's like that story, the princess with the glass slippers.\How can Gray-sama be saying romantic things when Juvia isn't around?!\Oh, my prince!\If it's midnight, we still got plenty of time! response:	It's not every day you get a chance to visit a town this big! Let's go exploring!
context: When?\It must mean tonight, right?\Back by midnight...\It's like that story, the princess with the glass slippers.\How can Gray-sama be saying romantic things when Juvia isn't around?!\Oh, my prince!\If it's midnight, we still got plenty of time!\It's not every day you get a chance to visit a town this big! Let's go exploring! response:	Aye, sir!
context: It must mean tonight, right?\Back by midnight...\It's like that story, the princess with the glass slippers.\How can Gray-sama be saying romantic things when Juvia isn't around?!\Oh, my prince!\If it's midnight, we still got plenty of time!\It's not every day you get a chance to visit a town this big! Let's go exploring!\Aye, sir! response:	Let's go!
context: Back by midnight...\It's like that story, the princess with the glass slippers.\How can Gray-sama be saying romantic things when Juvia isn't around?!\Oh, my prince!\If it's midnight, we still got plenty of time!\It's not every day you get a chance to visit a town this big! Let's go exploring!\Aye, sir!\Let's go! response:	Hey! Do you even know the inn we're staying at?!
context: It's like that story, the princess with the glass slippers.\How can Gray-sama be saying romantic things when Juvia isn't around?!\Oh, my prince!\If it's midnight, we still got plenty of time!\It's not every day you get a chance to visit a town this big! Let's go exploring!\Aye, sir!\Let's go!\Hey! Do you even know the inn we're staying at?! response:	Honeybone, right?!
context: How can Gray-sama be saying romantic things when Juvia isn't around?!\Oh, my prince!\If it's midnight, we still got plenty of time!\It's not every day you get a chance to visit a town this big! Let's go exploring!\Aye, sir!\Let's go!\Hey! Do you even know the inn we're staying at?!\Honeybone, right?! response:	Just make sure you're back by midnight! Got it?!
context: Oh, my prince!\If it's midnight, we still got plenty of time!\It's not every day you get a chance to visit a town this big! Let's go exploring!\Aye, sir!\Let's go!\Hey! Do you even know the inn we're staying at?!\Honeybone, right?!\Just make sure you're back by midnight! Got it?! response:	Aye!
context: If it's midnight, we still got plenty of time!\It's not every day you get a chance to visit a town this big! Let's go exploring!\Aye, sir!\Let's go!\Hey! Do you even know the inn we're staying at?!\Honeybone, right?!\Just make sure you're back by midnight! Got it?!\Aye! response:	Midnight... at the designated inn...
context: It's not every day you get a chance to visit a town this big! Let's go exploring!\Aye, sir!\Let's go!\Hey! Do you even know the inn we're staying at?!\Honeybone, right?!\Just make sure you're back by midnight! Got it?!\Aye!\Midnight... at the designated inn... response:	And this is that designated inn, Honeybone.
context: Aye, sir!\Let's go!\Hey! Do you even know the inn we're staying at?!\Honeybone, right?!\Just make sure you're back by midnight! Got it?!\Aye!\Midnight... at the designated inn...\And this is that designated inn, Honeybone. response:	For some reason, six beds have been prepared...
context: Let's go!\Hey! Do you even know the inn we're staying at?!\Honeybone, right?!\Just make sure you're back by midnight! Got it?!\Aye!\Midnight... at the designated inn...\And this is that designated inn, Honeybone.\For some reason, six beds have been prepared... response:	So we're all supposed to sleep in the same room?
context: Hey! Do you even know the inn we're staying at?!\Honeybone, right?!\Just make sure you're back by midnight! Got it?!\Aye!\Midnight... at the designated inn...\And this is that designated inn, Honeybone.\For some reason, six beds have been prepared...\So we're all supposed to sleep in the same room? response:	Doesn't look like there's anything suspicious here, but still...
context: Honeybone, right?!\Just make sure you're back by midnight! Got it?!\Aye!\Midnight... at the designated inn...\And this is that designated inn, Honeybone.\For some reason, six beds have been prepared...\So we're all supposed to sleep in the same room?\Doesn't look like there's anything suspicious here, but still... response:	Gray-sama!
context: Just make sure you're back by midnight! Got it?!\Aye!\Midnight... at the designated inn...\And this is that designated inn, Honeybone.\For some reason, six beds have been prepared...\So we're all supposed to sleep in the same room?\Doesn't look like there's anything suspicious here, but still...\Gray-sama! response:	Juvia! What are you doing here?!
context: Aye!\Midnight... at the designated inn...\And this is that designated inn, Honeybone.\For some reason, six beds have been prepared...\So we're all supposed to sleep in the same room?\Doesn't look like there's anything suspicious here, but still...\Gray-sama!\Juvia! What are you doing here?! response:	It's not only Juvia!
context: Midnight... at the designated inn...\And this is that designated inn, Honeybone.\For some reason, six beds have been prepared...\So we're all supposed to sleep in the same room?\Doesn't look like there's anything suspicious here, but still...\Gray-sama!\Juvia! What are you doing here?!\It's not only Juvia! response:	Everyone in the guild came to cheer you on.
context: And this is that designated inn, Honeybone.\For some reason, six beds have been prepared...\So we're all supposed to sleep in the same room?\Doesn't look like there's anything suspicious here, but still...\Gray-sama!\Juvia! What are you doing here?!\It's not only Juvia!\Everyone in the guild came to cheer you on. response:	Jeez. Those guys have too much free time...
context: For some reason, six beds have been prepared...\So we're all supposed to sleep in the same room?\Doesn't look like there's anything suspicious here, but still...\Gray-sama!\Juvia! What are you doing here?!\It's not only Juvia!\Everyone in the guild came to cheer you on.\Jeez. Those guys have too much free time... response:	Um... Would you like to have dinner together?
context: So we're all supposed to sleep in the same room?\Doesn't look like there's anything suspicious here, but still...\Gray-sama!\Juvia! What are you doing here?!\It's not only Juvia!\Everyone in the guild came to cheer you on.\Jeez. Those guys have too much free time...\Um... Would you like to have dinner together? response:	Now that you mention it, I am hungry.
context: Doesn't look like there's anything suspicious here, but still...\Gray-sama!\Juvia! What are you doing here?!\It's not only Juvia!\Everyone in the guild came to cheer you on.\Jeez. Those guys have too much free time...\Um... Would you like to have dinner together?\Now that you mention it, I am hungry. response:	In that case, I know a good restaurant in town.
context: Gray-sama!\Juvia! What are you doing here?!\It's not only Juvia!\Everyone in the guild came to cheer you on.\Jeez. Those guys have too much free time...\Um... Would you like to have dinner together?\Now that you mention it, I am hungry.\In that case, I know a good restaurant in town. response:	Lyon!
context: Juvia! What are you doing here?!\It's not only Juvia!\Everyone in the guild came to cheer you on.\Jeez. Those guys have too much free time...\Um... Would you like to have dinner together?\Now that you mention it, I am hungry.\In that case, I know a good restaurant in town.\Lyon! response:	It's combined with the aquarium. A really fashionable restaurant.
context: It's not only Juvia!\Everyone in the guild came to cheer you on.\Jeez. Those guys have too much free time...\Um... Would you like to have dinner together?\Now that you mention it, I am hungry.\In that case, I know a good restaurant in town.\Lyon!\It's combined with the aquarium. A really fashionable restaurant. response:	Huh? Wait... What is this?
context: Everyone in the guild came to cheer you on.\Jeez. Those guys have too much free time...\Um... Would you like to have dinner together?\Now that you mention it, I am hungry.\In that case, I know a good restaurant in town.\Lyon!\It's combined with the aquarium. A really fashionable restaurant.\Huh? Wait... What is this? response:	Hey! Don't just walk off with one of my members!
context: Jeez. Those guys have too much free time...\Um... Would you like to have dinner together?\Now that you mention it, I am hungry.\In that case, I know a good restaurant in town.\Lyon!\It's combined with the aquarium. A really fashionable restaurant.\Huh? Wait... What is this?\Hey! Don't just walk off with one of my members! response:	I hear you're going to be in the Grand Magic Games, Gray.
context: Um... Would you like to have dinner together?\Now that you mention it, I am hungry.\In that case, I know a good restaurant in town.\Lyon!\It's combined with the aquarium. A really fashionable restaurant.\Huh? Wait... What is this?\Hey! Don't just walk off with one of my members!\I hear you're going to be in the Grand Magic Games, Gray. response:	My guild, Lamia Scale, is going to win, though.
context: Now that you mention it, I am hungry.\In that case, I know a good restaurant in town.\Lyon!\It's combined with the aquarium. A really fashionable restaurant.\Huh? Wait... What is this?\Hey! Don't just walk off with one of my members!\I hear you're going to be in the Grand Magic Games, Gray.\My guild, Lamia Scale, is going to win, though. response:	I hear you guys come in second every year.
context: In that case, I know a good restaurant in town.\Lyon!\It's combined with the aquarium. A really fashionable restaurant.\Huh? Wait... What is this?\Hey! Don't just walk off with one of my members!\I hear you're going to be in the Grand Magic Games, Gray.\My guild, Lamia Scale, is going to win, though.\I hear you guys come in second every year. response:	And you guys are in last place every year.
context: Lyon!\It's combined with the aquarium. A really fashionable restaurant.\Huh? Wait... What is this?\Hey! Don't just walk off with one of my members!\I hear you're going to be in the Grand Magic Games, Gray.\My guild, Lamia Scale, is going to win, though.\I hear you guys come in second every year.\And you guys are in last place every year. response:	Until last year, we've always been in second place,
context: It's combined with the aquarium. A really fashionable restaurant.\Huh? Wait... What is this?\Hey! Don't just walk off with one of my members!\I hear you're going to be in the Grand Magic Games, Gray.\My guild, Lamia Scale, is going to win, though.\I hear you guys come in second every year.\And you guys are in last place every year.\Until last year, we've always been in second place, response:	but that was without Jura-san or me participating.
context: Huh? Wait... What is this?\Hey! Don't just walk off with one of my members!\I hear you're going to be in the Grand Magic Games, Gray.\My guild, Lamia Scale, is going to win, though.\I hear you guys come in second every year.\And you guys are in last place every year.\Until last year, we've always been in second place,\but that was without Jura-san or me participating. response:	You understand what I'm getting at, don't you?
context: Hey! Don't just walk off with one of my members!\I hear you're going to be in the Grand Magic Games, Gray.\My guild, Lamia Scale, is going to win, though.\I hear you guys come in second every year.\And you guys are in last place every year.\Until last year, we've always been in second place,\but that was without Jura-san or me participating.\You understand what I'm getting at, don't you? response:	Are you forgetting?
context: I hear you're going to be in the Grand Magic Games, Gray.\My guild, Lamia Scale, is going to win, though.\I hear you guys come in second every year.\And you guys are in last place every year.\Until last year, we've always been in second place,\but that was without Jura-san or me participating.\You understand what I'm getting at, don't you?\Are you forgetting? response:	We got this monster named Erza on our side!
context: My guild, Lamia Scale, is going to win, though.\I hear you guys come in second every year.\And you guys are in last place every year.\Until last year, we've always been in second place,\but that was without Jura-san or me participating.\You understand what I'm getting at, don't you?\Are you forgetting?\We got this monster named Erza on our side! response:	Let's make a wager.
context: I hear you guys come in second every year.\And you guys are in last place every year.\Until last year, we've always been in second place,\but that was without Jura-san or me participating.\You understand what I'm getting at, don't you?\Are you forgetting?\We got this monster named Erza on our side!\Let's make a wager. response:	When Lamia Scale achieves victory,
context: And you guys are in last place every year.\Until last year, we've always been in second place,\but that was without Jura-san or me participating.\You understand what I'm getting at, don't you?\Are you forgetting?\We got this monster named Erza on our side!\Let's make a wager.\When Lamia Scale achieves victory, response:	Juvia will join our guild!
context: Until last year, we've always been in second place,\but that was without Jura-san or me participating.\You understand what I'm getting at, don't you?\Are you forgetting?\We got this monster named Erza on our side!\Let's make a wager.\When Lamia Scale achieves victory,\Juvia will join our guild! response:	What the hell is that?!
context: but that was without Jura-san or me participating.\You understand what I'm getting at, don't you?\Are you forgetting?\We got this monster named Erza on our side!\Let's make a wager.\When Lamia Scale achieves victory,\Juvia will join our guild!\What the hell is that?! response:	And if we win...?
context: You understand what I'm getting at, don't you?\Are you forgetting?\We got this monster named Erza on our side!\Let's make a wager.\When Lamia Scale achieves victory,\Juvia will join our guild!\What the hell is that?!\And if we win...? response:	I'll return Juvia to your guild.
context: Are you forgetting?\We got this monster named Erza on our side!\Let's make a wager.\When Lamia Scale achieves victory,\Juvia will join our guild!\What the hell is that?!\And if we win...?\I'll return Juvia to your guild. response:	She's ours to begin with!
context: We got this monster named Erza on our side!\Let's make a wager.\When Lamia Scale achieves victory,\Juvia will join our guild!\What the hell is that?!\And if we win...?\I'll return Juvia to your guild.\She's ours to begin with! response:	This is a gentleman's agreement. Don't forget it, Gray.
context: Let's make a wager.\When Lamia Scale achieves victory,\Juvia will join our guild!\What the hell is that?!\And if we win...?\I'll return Juvia to your guild.\She's ours to begin with!\This is a gentleman's agreement. Don't forget it, Gray. response:	Gimme a break! That's no kind of bet!
context: When Lamia Scale achieves victory,\Juvia will join our guild!\What the hell is that?!\And if we win...?\I'll return Juvia to your guild.\She's ours to begin with!\This is a gentleman's agreement. Don't forget it, Gray.\Gimme a break! That's no kind of bet! response:	Are you afraid of losing?
context: Juvia will join our guild!\What the hell is that?!\And if we win...?\I'll return Juvia to your guild.\She's ours to begin with!\This is a gentleman's agreement. Don't forget it, Gray.\Gimme a break! That's no kind of bet!\Are you afraid of losing? response:	What's that?!
context: What the hell is that?!\And if we win...?\I'll return Juvia to your guild.\She's ours to begin with!\This is a gentleman's agreement. Don't forget it, Gray.\Gimme a break! That's no kind of bet!\Are you afraid of losing?\What's that?! response:	Gray-sama!
context: And if we win...?\I'll return Juvia to your guild.\She's ours to begin with!\This is a gentleman's agreement. Don't forget it, Gray.\Gimme a break! That's no kind of bet!\Are you afraid of losing?\What's that?!\Gray-sama! response:	Do you want Juvia?! Or Lyon-sama?! Please make up your mind!
context: I'll return Juvia to your guild.\She's ours to begin with!\This is a gentleman's agreement. Don't forget it, Gray.\Gimme a break! That's no kind of bet!\Are you afraid of losing?\What's that?!\Gray-sama!\Do you want Juvia?! Or Lyon-sama?! Please make up your mind! response:	You're not following the conversation, are you?
context: She's ours to begin with!\This is a gentleman's agreement. Don't forget it, Gray.\Gimme a break! That's no kind of bet!\Are you afraid of losing?\What's that?!\Gray-sama!\Do you want Juvia?! Or Lyon-sama?! Please make up your mind!\You're not following the conversation, are you? response:	You're always right.
context: This is a gentleman's agreement. Don't forget it, Gray.\Gimme a break! That's no kind of bet!\Are you afraid of losing?\What's that?!\Gray-sama!\Do you want Juvia?! Or Lyon-sama?! Please make up your mind!\You're not following the conversation, are you?\You're always right. response:	That's not true.
context: Gimme a break! That's no kind of bet!\Are you afraid of losing?\What's that?!\Gray-sama!\Do you want Juvia?! Or Lyon-sama?! Please make up your mind!\You're not following the conversation, are you?\You're always right.\That's not true. response:	In my own clumsy way, I live my life to the fullest.
context: Are you afraid of losing?\What's that?!\Gray-sama!\Do you want Juvia?! Or Lyon-sama?! Please make up your mind!\You're not following the conversation, are you?\You're always right.\That's not true.\In my own clumsy way, I live my life to the fullest. response:	That's all...
context: What's that?!\Gray-sama!\Do you want Juvia?! Or Lyon-sama?! Please make up your mind!\You're not following the conversation, are you?\You're always right.\That's not true.\In my own clumsy way, I live my life to the fullest.\That's all... response:	Erza...
context: Gray-sama!\Do you want Juvia?! Or Lyon-sama?! Please make up your mind!\You're not following the conversation, are you?\You're always right.\That's not true.\In my own clumsy way, I live my life to the fullest.\That's all...\Erza... response:	Men! You have the same beguiling parfum as always.
context: Do you want Juvia?! Or Lyon-sama?! Please make up your mind!\You're not following the conversation, are you?\You're always right.\That's not true.\In my own clumsy way, I live my life to the fullest.\That's all...\Erza...\Men! You have the same beguiling parfum as always. response:	How dare you enter someone's room uninvited?!
context: You're not following the conversation, are you?\You're always right.\That's not true.\In my own clumsy way, I live my life to the fullest.\That's all...\Erza...\Men! You have the same beguiling parfum as always.\How dare you enter someone's room uninvited?! response:	Men!
context: You're always right.\That's not true.\In my own clumsy way, I live my life to the fullest.\That's all...\Erza...\Men! You have the same beguiling parfum as always.\How dare you enter someone's room uninvited?!\Men! response:	You're beautiful when you're angry.
context: That's not true.\In my own clumsy way, I live my life to the fullest.\That's all...\Erza...\Men! You have the same beguiling parfum as always.\How dare you enter someone's room uninvited?!\Men!\You're beautiful when you're angry. response:	We didn't come here especially to cheer you up, though.
context: In my own clumsy way, I live my life to the fullest.\That's all...\Erza...\Men! You have the same beguiling parfum as always.\How dare you enter someone's room uninvited?!\Men!\You're beautiful when you're angry.\We didn't come here especially to cheer you up, though. response:	Have a hot washcloth.
context: That's all...\Erza...\Men! You have the same beguiling parfum as always.\How dare you enter someone's room uninvited?!\Men!\You're beautiful when you're angry.\We didn't come here especially to cheer you up, though.\Have a hot washcloth. response:	That goes the same for you!
context: Erza...\Men! You have the same beguiling parfum as always.\How dare you enter someone's room uninvited?!\Men!\You're beautiful when you're angry.\We didn't come here especially to cheer you up, though.\Have a hot washcloth.\That goes the same for you! response:	Forever Trimens!
context: Men! You have the same beguiling parfum as always.\How dare you enter someone's room uninvited?!\Men!\You're beautiful when you're angry.\We didn't come here especially to cheer you up, though.\Have a hot washcloth.\That goes the same for you!\Forever Trimens! response:	Carla, look at that!
context: How dare you enter someone's room uninvited?!\Men!\You're beautiful when you're angry.\We didn't come here especially to cheer you up, though.\Have a hot washcloth.\That goes the same for you!\Forever Trimens!\Carla, look at that! response:	Wow!
context: Men!\You're beautiful when you're angry.\We didn't come here especially to cheer you up, though.\Have a hot washcloth.\That goes the same for you!\Forever Trimens!\Carla, look at that!\Wow! response:	This says it's the Flower Light Palace, Mercurius.
context: You're beautiful when you're angry.\We didn't come here especially to cheer you up, though.\Have a hot washcloth.\That goes the same for you!\Forever Trimens!\Carla, look at that!\Wow!\This says it's the Flower Light Palace, Mercurius. response:	I wonder what the king is like...
context: We didn't come here especially to cheer you up, though.\Have a hot washcloth.\That goes the same for you!\Forever Trimens!\Carla, look at that!\Wow!\This says it's the Flower Light Palace, Mercurius.\I wonder what the king is like... response:	I wonder if he has a mustache...
context: Have a hot washcloth.\That goes the same for you!\Forever Trimens!\Carla, look at that!\Wow!\This says it's the Flower Light Palace, Mercurius.\I wonder what the king is like...\I wonder if he has a mustache... response:	I bet he does.
context: That goes the same for you!\Forever Trimens!\Carla, look at that!\Wow!\This says it's the Flower Light Palace, Mercurius.\I wonder what the king is like...\I wonder if he has a mustache...\I bet he does. response:	They've got flowers everywhere in this town.
context: Forever Trimens!\Carla, look at that!\Wow!\This says it's the Flower Light Palace, Mercurius.\I wonder what the king is like...\I wonder if he has a mustache...\I bet he does.\They've got flowers everywhere in this town. response:	No wonder it's called the blooming capital.
context: Carla, look at that!\Wow!\This says it's the Flower Light Palace, Mercurius.\I wonder what the king is like...\I wonder if he has a mustache...\I bet he does.\They've got flowers everywhere in this town.\No wonder it's called the blooming capital. response:	A fight!
context: Wow!\This says it's the Flower Light Palace, Mercurius.\I wonder what the king is like...\I wonder if he has a mustache...\I bet he does.\They've got flowers everywhere in this town.\No wonder it's called the blooming capital.\A fight! response:	You can't have a festival without a fight! Where is it?!
context: This says it's the Flower Light Palace, Mercurius.\I wonder what the king is like...\I wonder if he has a mustache...\I bet he does.\They've got flowers everywhere in this town.\No wonder it's called the blooming capital.\A fight!\You can't have a festival without a fight! Where is it?! response:	This is what I'd expect with all the guilds of Fiore gathering here.
context: I wonder what the king is like...\I wonder if he has a mustache...\I bet he does.\They've got flowers everywhere in this town.\No wonder it's called the blooming capital.\A fight!\You can't have a festival without a fight! Where is it?!\This is what I'd expect with all the guilds of Fiore gathering here. response:	Natsu, wait!
context: I wonder if he has a mustache...\I bet he does.\They've got flowers everywhere in this town.\No wonder it's called the blooming capital.\A fight!\You can't have a festival without a fight! Where is it?!\This is what I'd expect with all the guilds of Fiore gathering here.\Natsu, wait! response:	This smell...
context: I bet he does.\They've got flowers everywhere in this town.\No wonder it's called the blooming capital.\A fight!\You can't have a festival without a fight! Where is it?!\This is what I'd expect with all the guilds of Fiore gathering here.\Natsu, wait!\This smell... response:	What's wrong?
context: They've got flowers everywhere in this town.\No wonder it's called the blooming capital.\A fight!\You can't have a festival without a fight! Where is it?!\This is what I'd expect with all the guilds of Fiore gathering here.\Natsu, wait!\This smell...\What's wrong? response:	It smells similar to a dragon...
context: No wonder it's called the blooming capital.\A fight!\You can't have a festival without a fight! Where is it?!\This is what I'd expect with all the guilds of Fiore gathering here.\Natsu, wait!\This smell...\What's wrong?\It smells similar to a dragon... response:	Don't tell me...
context: A fight!\You can't have a festival without a fight! Where is it?!\This is what I'd expect with all the guilds of Fiore gathering here.\Natsu, wait!\This smell...\What's wrong?\It smells similar to a dragon...\Don't tell me... response:	Move it! Move it! Move it!
context: You can't have a festival without a fight! Where is it?!\This is what I'd expect with all the guilds of Fiore gathering here.\Natsu, wait!\This smell...\What's wrong?\It smells similar to a dragon...\Don't tell me...\Move it! Move it! Move it! response:	Anybody else?
context: This is what I'd expect with all the guilds of Fiore gathering here.\Natsu, wait!\This smell...\What's wrong?\It smells similar to a dragon...\Don't tell me...\Move it! Move it! Move it!\Anybody else? response:	These guys are beneath us, literally, oh yeah!
context: Natsu, wait!\This smell...\What's wrong?\It smells similar to a dragon...\Don't tell me...\Move it! Move it! Move it!\Anybody else?\These guys are beneath us, literally, oh yeah! response:	Fro thinks so, too.
context: This smell...\What's wrong?\It smells similar to a dragon...\Don't tell me...\Move it! Move it! Move it!\Anybody else?\These guys are beneath us, literally, oh yeah!\Fro thinks so, too. response:	What the...?!
context: What's wrong?\It smells similar to a dragon...\Don't tell me...\Move it! Move it! Move it!\Anybody else?\These guys are beneath us, literally, oh yeah!\Fro thinks so, too.\What the...?! response:	You!
context: It smells similar to a dragon...\Don't tell me...\Move it! Move it! Move it!\Anybody else?\These guys are beneath us, literally, oh yeah!\Fro thinks so, too.\What the...?!\You! response:	Natsu Dragneel!
context: Don't tell me...\Move it! Move it! Move it!\Anybody else?\These guys are beneath us, literally, oh yeah!\Fro thinks so, too.\What the...?!\You!\Natsu Dragneel! response:	Cats?!
context: Move it! Move it! Move it!\Anybody else?\These guys are beneath us, literally, oh yeah!\Fro thinks so, too.\What the...?!\You!\Natsu Dragneel!\Cats?! response:	What's up with this stupid-looking cat?
context: Anybody else?\These guys are beneath us, literally, oh yeah!\Fro thinks so, too.\What the...?!\You!\Natsu Dragneel!\Cats?!\What's up with this stupid-looking cat? response:	Stupid!
context: These guys are beneath us, literally, oh yeah!\Fro thinks so, too.\What the...?!\You!\Natsu Dragneel!\Cats?!\What's up with this stupid-looking cat?\Stupid! response:	They talk!
context: Fro thinks so, too.\What the...?!\You!\Natsu Dragneel!\Cats?!\What's up with this stupid-looking cat?\Stupid!\They talk! response:	Do I have to say something here...?
context: What the...?!\You!\Natsu Dragneel!\Cats?!\What's up with this stupid-looking cat?\Stupid!\They talk!\Do I have to say something here...? response:	Who the hell are you guys?
