context: In Use response:	Her injuries are minor,
context: You can't play in here.\Sawa, check this out!\Death Chop!\Stop it...\Don't touch those!\Huh?\Ah, sorry.\It's just, those are very important to me. response:	They're the Gambaraijers,
context: Sawa, check this out!\Death Chop!\Stop it...\Don't touch those!\Huh?\Ah, sorry.\It's just, those are very important to me.\They're the Gambaraijers, response:	the heroes who protect the world's hopes.
context: Death Chop!\Stop it...\Don't touch those!\Huh?\Ah, sorry.\It's just, those are very important to me.\They're the Gambaraijers,\the heroes who protect the world's hopes. response:	Oh, sorry...
context: Stop it...\Don't touch those!\Huh?\Ah, sorry.\It's just, those are very important to me.\They're the Gambaraijers,\the heroes who protect the world's hopes.\Oh, sorry... response:	The red one's missing.
context: Don't touch those!\Huh?\Ah, sorry.\It's just, those are very important to me.\They're the Gambaraijers,\the heroes who protect the world's hopes.\Oh, sorry...\The red one's missing. response:	Yeah. Red's on a very important mission, in a faraway place.
context: Huh?\Ah, sorry.\It's just, those are very important to me.\They're the Gambaraijers,\the heroes who protect the world's hopes.\Oh, sorry...\The red one's missing.\Yeah. Red's on a very important mission, in a faraway place. response:	So, where's the piano?
context: Ah, sorry.\It's just, those are very important to me.\They're the Gambaraijers,\the heroes who protect the world's hopes.\Oh, sorry...\The red one's missing.\Yeah. Red's on a very important mission, in a faraway place.\So, where's the piano? response:	We can't use this.
context: It's just, those are very important to me.\They're the Gambaraijers,\the heroes who protect the world's hopes.\Oh, sorry...\The red one's missing.\Yeah. Red's on a very important mission, in a faraway place.\So, where's the piano?\We can't use this. response:	You guys came all the way here for nothing...
context: They're the Gambaraijers,\the heroes who protect the world's hopes.\Oh, sorry...\The red one's missing.\Yeah. Red's on a very important mission, in a faraway place.\So, where's the piano?\We can't use this.\You guys came all the way here for nothing... response:	Not true.
context: the heroes who protect the world's hopes.\Oh, sorry...\The red one's missing.\Yeah. Red's on a very important mission, in a faraway place.\So, where's the piano?\We can't use this.\You guys came all the way here for nothing...\Not true. response:	We'll just practice without the piano.
context: Oh, sorry...\The red one's missing.\Yeah. Red's on a very important mission, in a faraway place.\So, where's the piano?\We can't use this.\You guys came all the way here for nothing...\Not true.\We'll just practice without the piano. response:	I'm sorry, but I need to go.
context: The red one's missing.\Yeah. Red's on a very important mission, in a faraway place.\So, where's the piano?\We can't use this.\You guys came all the way here for nothing...\Not true.\We'll just practice without the piano.\I'm sorry, but I need to go. response:	If your breakup was that painful, you should talk to us about it!
context: Yeah. Red's on a very important mission, in a faraway place.\So, where's the piano?\We can't use this.\You guys came all the way here for nothing...\Not true.\We'll just practice without the piano.\I'm sorry, but I need to go.\If your breakup was that painful, you should talk to us about it! response:	What?
context: So, where's the piano?\We can't use this.\You guys came all the way here for nothing...\Not true.\We'll just practice without the piano.\I'm sorry, but I need to go.\If your breakup was that painful, you should talk to us about it!\What? response:	We all want to help you.
context: We can't use this.\You guys came all the way here for nothing...\Not true.\We'll just practice without the piano.\I'm sorry, but I need to go.\If your breakup was that painful, you should talk to us about it!\What?\We all want to help you. response:	We do?
context: You guys came all the way here for nothing...\Not true.\We'll just practice without the piano.\I'm sorry, but I need to go.\If your breakup was that painful, you should talk to us about it!\What?\We all want to help you.\We do? response:	So, you can't be a jockey?
context: Not true.\We'll just practice without the piano.\I'm sorry, but I need to go.\If your breakup was that painful, you should talk to us about it!\What?\We all want to help you.\We do?\So, you can't be a jockey? response:	I'll never get into the school.
context: We'll just practice without the piano.\I'm sorry, but I need to go.\If your breakup was that painful, you should talk to us about it!\What?\We all want to help you.\We do?\So, you can't be a jockey?\I'll never get into the school. response:	But that's not for sure, right?
context: I'm sorry, but I need to go.\If your breakup was that painful, you should talk to us about it!\What?\We all want to help you.\We do?\So, you can't be a jockey?\I'll never get into the school.\But that's not for sure, right? response:	Maybe if you try really hard...
context: If your breakup was that painful, you should talk to us about it!\What?\We all want to help you.\We do?\So, you can't be a jockey?\I'll never get into the school.\But that's not for sure, right?\Maybe if you try really hard... response:	Yeah!
context: What?\We all want to help you.\We do?\So, you can't be a jockey?\I'll never get into the school.\But that's not for sure, right?\Maybe if you try really hard...\Yeah! response:	You can do it, Sawa.
context: We all want to help you.\We do?\So, you can't be a jockey?\I'll never get into the school.\But that's not for sure, right?\Maybe if you try really hard...\Yeah!\You can do it, Sawa. response:	What if you tried taking a step back?
context: We do?\So, you can't be a jockey?\I'll never get into the school.\But that's not for sure, right?\Maybe if you try really hard...\Yeah!\You can do it, Sawa.\What if you tried taking a step back? response:	A step back?
context: So, you can't be a jockey?\I'll never get into the school.\But that's not for sure, right?\Maybe if you try really hard...\Yeah!\You can do it, Sawa.\What if you tried taking a step back?\A step back? response:	Yes, some distance might help you examine
context: I'll never get into the school.\But that's not for sure, right?\Maybe if you try really hard...\Yeah!\You can do it, Sawa.\What if you tried taking a step back?\A step back?\Yes, some distance might help you examine response:	your feelings with more clari
context: But that's not for sure, right?\Maybe if you try really hard...\Yeah!\You can do it, Sawa.\What if you tried taking a step back?\A step back?\Yes, some distance might help you examine\your feelings with more clari response:	Must be nice to be such an expert!
context: Maybe if you try really hard...\Yeah!\You can do it, Sawa.\What if you tried taking a step back?\A step back?\Yes, some distance might help you examine\your feelings with more clari\Must be nice to be such an expert! response:	You can only talk like that because music is easy to go back to!
context: Yeah!\You can do it, Sawa.\What if you tried taking a step back?\A step back?\Yes, some distance might help you examine\your feelings with more clari\Must be nice to be such an expert!\You can only talk like that because music is easy to go back to! response:	But if I step back now, it's all over for me!
context: You can do it, Sawa.\What if you tried taking a step back?\A step back?\Yes, some distance might help you examine\your feelings with more clari\Must be nice to be such an expert!\You can only talk like that because music is easy to go back to!\But if I step back now, it's all over for me! response:	I'll have no future!
context: What if you tried taking a step back?\A step back?\Yes, some distance might help you examine\your feelings with more clari\Must be nice to be such an expert!\You can only talk like that because music is easy to go back to!\But if I step back now, it's all over for me!\I'll have no future! response:	Sawa...
context: A step back?\Yes, some distance might help you examine\your feelings with more clari\Must be nice to be such an expert!\You can only talk like that because music is easy to go back to!\But if I step back now, it's all over for me!\I'll have no future!\Sawa... response:	I'm glad I was able to go back to music,
context: Yes, some distance might help you examine\your feelings with more clari\Must be nice to be such an expert!\You can only talk like that because music is easy to go back to!\But if I step back now, it's all over for me!\I'll have no future!\Sawa...\I'm glad I was able to go back to music, response:	because my mother and I promised to write a song together.
context: your feelings with more clari\Must be nice to be such an expert!\You can only talk like that because music is easy to go back to!\But if I step back now, it's all over for me!\I'll have no future!\Sawa...\I'm glad I was able to go back to music,\because my mother and I promised to write a song together. response:	Music keeps me connected to her.
context: Must be nice to be such an expert!\You can only talk like that because music is easy to go back to!\But if I step back now, it's all over for me!\I'll have no future!\Sawa...\I'm glad I was able to go back to music,\because my mother and I promised to write a song together.\Music keeps me connected to her. response:	Then again, if I could see her just one more time...
context: You can only talk like that because music is easy to go back to!\But if I step back now, it's all over for me!\I'll have no future!\Sawa...\I'm glad I was able to go back to music,\because my mother and I promised to write a song together.\Music keeps me connected to her.\Then again, if I could see her just one more time... response:	I'd give up music in a heartbeat.
context: But if I step back now, it's all over for me!\I'll have no future!\Sawa...\I'm glad I was able to go back to music,\because my mother and I promised to write a song together.\Music keeps me connected to her.\Then again, if I could see her just one more time...\I'd give up music in a heartbeat. response:	But that's not an option.
context: I'll have no future!\Sawa...\I'm glad I was able to go back to music,\because my mother and I promised to write a song together.\Music keeps me connected to her.\Then again, if I could see her just one more time...\I'd give up music in a heartbeat.\But that's not an option. response:	Even a Cat Can Learn
context: Sawa...\I'm glad I was able to go back to music,\because my mother and I promised to write a song together.\Music keeps me connected to her.\Then again, if I could see her just one more time...\I'd give up music in a heartbeat.\But that's not an option.\Even a Cat Can Learn response:	Lessons in Composition
context: I'm glad I was able to go back to music,\because my mother and I promised to write a song together.\Music keeps me connected to her.\Then again, if I could see her just one more time...\I'd give up music in a heartbeat.\But that's not an option.\Even a Cat Can Learn\Lessons in Composition response:	A cat's kicking my butt...
context: because my mother and I promised to write a song together.\Music keeps me connected to her.\Then again, if I could see her just one more time...\I'd give up music in a heartbeat.\But that's not an option.\Even a Cat Can Learn\Lessons in Composition\A cat's kicking my butt... response:	Okita Sawa
context: Music keeps me connected to her.\Then again, if I could see her just one more time...\I'd give up music in a heartbeat.\But that's not an option.\Even a Cat Can Learn\Lessons in Composition\A cat's kicking my butt...\Okita Sawa response:	Stepping back just means quitting.
context: Then again, if I could see her just one more time...\I'd give up music in a heartbeat.\But that's not an option.\Even a Cat Can Learn\Lessons in Composition\A cat's kicking my butt...\Okita Sawa\Stepping back just means quitting. response:	Why is everyone telling me to quit?
context: I'd give up music in a heartbeat.\But that's not an option.\Even a Cat Can Learn\Lessons in Composition\A cat's kicking my butt...\Okita Sawa\Stepping back just means quitting.\Why is everyone telling me to quit? response:	Am I being naive?
context: But that's not an option.\Even a Cat Can Learn\Lessons in Composition\A cat's kicking my butt...\Okita Sawa\Stepping back just means quitting.\Why is everyone telling me to quit?\Am I being naive? response:	I feel so empty...
context: Even a Cat Can Learn\Lessons in Composition\A cat's kicking my butt...\Okita Sawa\Stepping back just means quitting.\Why is everyone telling me to quit?\Am I being naive?\I feel so empty... response:	It might sound strange,
context: Lessons in Composition\A cat's kicking my butt...\Okita Sawa\Stepping back just means quitting.\Why is everyone telling me to quit?\Am I being naive?\I feel so empty...\It might sound strange, response:	but according to virtual water theory,
context: A cat's kicking my butt...\Okita Sawa\Stepping back just means quitting.\Why is everyone telling me to quit?\Am I being naive?\I feel so empty...\It might sound strange,\but according to virtual water theory, response:	the Japanese water supply is largely dependent on foreign sources.
context: Okita Sawa\Stepping back just means quitting.\Why is everyone telling me to quit?\Am I being naive?\I feel so empty...\It might sound strange,\but according to virtual water theory,\the Japanese water supply is largely dependent on foreign sources. response:	Excuse me.
context: Stepping back just means quitting.\Why is everyone telling me to quit?\Am I being naive?\I feel so empty...\It might sound strange,\but according to virtual water theory,\the Japanese water supply is largely dependent on foreign sources.\Excuse me. response:	You asked for us?
context: Why is everyone telling me to quit?\Am I being naive?\I feel so empty...\It might sound strange,\but according to virtual water theory,\the Japanese water supply is largely dependent on foreign sources.\Excuse me.\You asked for us? response:	Withdraw your application.
context: Am I being naive?\I feel so empty...\It might sound strange,\but according to virtual water theory,\the Japanese water supply is largely dependent on foreign sources.\Excuse me.\You asked for us?\Withdraw your application. response:	Why?
context: I feel so empty...\It might sound strange,\but according to virtual water theory,\the Japanese water supply is largely dependent on foreign sources.\Excuse me.\You asked for us?\Withdraw your application.\Why? response:	You're just favoring the music majors over us,
context: It might sound strange,\but according to virtual water theory,\the Japanese water supply is largely dependent on foreign sources.\Excuse me.\You asked for us?\Withdraw your application.\Why?\You're just favoring the music majors over us, response:	since they're more serious about the future, right?
context: but according to virtual water theory,\the Japanese water supply is largely dependent on foreign sources.\Excuse me.\You asked for us?\Withdraw your application.\Why?\You're just favoring the music majors over us,\since they're more serious about the future, right? response:	We respectfully refuse.
context: the Japanese water supply is largely dependent on foreign sources.\Excuse me.\You asked for us?\Withdraw your application.\Why?\You're just favoring the music majors over us,\since they're more serious about the future, right?\We respectfully refuse. response:	Sakai-san, what are you doing?
context: Excuse me.\You asked for us?\Withdraw your application.\Why?\You're just favoring the music majors over us,\since they're more serious about the future, right?\We respectfully refuse.\Sakai-san, what are you doing? response:	I didn't approve your entry into general studies
context: You asked for us?\Withdraw your application.\Why?\You're just favoring the music majors over us,\since they're more serious about the future, right?\We respectfully refuse.\Sakai-san, what are you doing?\I didn't approve your entry into general studies response:	so you could waste your time on such nonsense.
context: Withdraw your application.\Why?\You're just favoring the music majors over us,\since they're more serious about the future, right?\We respectfully refuse.\Sakai-san, what are you doing?\I didn't approve your entry into general studies\so you could waste your time on such nonsense. response:	Until I entered the choir club,
context: Why?\You're just favoring the music majors over us,\since they're more serious about the future, right?\We respectfully refuse.\Sakai-san, what are you doing?\I didn't approve your entry into general studies\so you could waste your time on such nonsense.\Until I entered the choir club, response:	I thought of music as a skill you cultivated alone.
context: You're just favoring the music majors over us,\since they're more serious about the future, right?\We respectfully refuse.\Sakai-san, what are you doing?\I didn't approve your entry into general studies\so you could waste your time on such nonsense.\Until I entered the choir club,\I thought of music as a skill you cultivated alone. response:	But I was wrong.
context: since they're more serious about the future, right?\We respectfully refuse.\Sakai-san, what are you doing?\I didn't approve your entry into general studies\so you could waste your time on such nonsense.\Until I entered the choir club,\I thought of music as a skill you cultivated alone.\But I was wrong. response:	You need to be with others,
context: We respectfully refuse.\Sakai-san, what are you doing?\I didn't approve your entry into general studies\so you could waste your time on such nonsense.\Until I entered the choir club,\I thought of music as a skill you cultivated alone.\But I was wrong.\You need to be with others, response:	let your feelings intersect and connect,
context: Sakai-san, what are you doing?\I didn't approve your entry into general studies\so you could waste your time on such nonsense.\Until I entered the choir club,\I thought of music as a skill you cultivated alone.\But I was wrong.\You need to be with others,\let your feelings intersect and connect, response:	and experience joy and suffering together.
context: I didn't approve your entry into general studies\so you could waste your time on such nonsense.\Until I entered the choir club,\I thought of music as a skill you cultivated alone.\But I was wrong.\You need to be with others,\let your feelings intersect and connect,\and experience joy and suffering together. response:	I'm not explaining it well, but...
context: so you could waste your time on such nonsense.\Until I entered the choir club,\I thought of music as a skill you cultivated alone.\But I was wrong.\You need to be with others,\let your feelings intersect and connect,\and experience joy and suffering together.\I'm not explaining it well, but... response:	I can't create a beautiful harmony...
context: Until I entered the choir club,\I thought of music as a skill you cultivated alone.\But I was wrong.\You need to be with others,\let your feelings intersect and connect,\and experience joy and suffering together.\I'm not explaining it well, but...\I can't create a beautiful harmony... response:	Isn't it more fun?
context: I thought of music as a skill you cultivated alone.\But I was wrong.\You need to be with others,\let your feelings intersect and connect,\and experience joy and suffering together.\I'm not explaining it well, but...\I can't create a beautiful harmony...\Isn't it more fun? response:	Isn't it nice to be around people?
context: But I was wrong.\You need to be with others,\let your feelings intersect and connect,\and experience joy and suffering together.\I'm not explaining it well, but...\I can't create a beautiful harmony...\Isn't it more fun?\Isn't it nice to be around people? response:	Despite what you said,
context: You need to be with others,\let your feelings intersect and connect,\and experience joy and suffering together.\I'm not explaining it well, but...\I can't create a beautiful harmony...\Isn't it more fun?\Isn't it nice to be around people?\Despite what you said, response:	you always went off and accomplished things on your own.
context: let your feelings intersect and connect,\and experience joy and suffering together.\I'm not explaining it well, but...\I can't create a beautiful harmony...\Isn't it more fun?\Isn't it nice to be around people?\Despite what you said,\you always went off and accomplished things on your own. response:	Madam Vice Principal, music does love me,
context: and experience joy and suffering together.\I'm not explaining it well, but...\I can't create a beautiful harmony...\Isn't it more fun?\Isn't it nice to be around people?\Despite what you said,\you always went off and accomplished things on your own.\Madam Vice Principal, music does love me, response:	if only a little.
context: I'm not explaining it well, but...\I can't create a beautiful harmony...\Isn't it more fun?\Isn't it nice to be around people?\Despite what you said,\you always went off and accomplished things on your own.\Madam Vice Principal, music does love me,\if only a little. response:	Remember when you told me
context: I can't create a beautiful harmony...\Isn't it more fun?\Isn't it nice to be around people?\Despite what you said,\you always went off and accomplished things on your own.\Madam Vice Principal, music does love me,\if only a little.\Remember when you told me response:	I didn't have that special something that moves people?
context: Isn't it more fun?\Isn't it nice to be around people?\Despite what you said,\you always went off and accomplished things on your own.\Madam Vice Principal, music does love me,\if only a little.\Remember when you told me\I didn't have that special something that moves people? response:	I can't do it alone.
context: Isn't it nice to be around people?\Despite what you said,\you always went off and accomplished things on your own.\Madam Vice Principal, music does love me,\if only a little.\Remember when you told me\I didn't have that special something that moves people?\I can't do it alone. response:	But with the help of my friends,
context: Despite what you said,\you always went off and accomplished things on your own.\Madam Vice Principal, music does love me,\if only a little.\Remember when you told me\I didn't have that special something that moves people?\I can't do it alone.\But with the help of my friends, response:	I think I'm finally at a point
context: you always went off and accomplished things on your own.\Madam Vice Principal, music does love me,\if only a little.\Remember when you told me\I didn't have that special something that moves people?\I can't do it alone.\But with the help of my friends,\I think I'm finally at a point response:	where I have the potential to move people's hearts.
context: Madam Vice Principal, music does love me,\if only a little.\Remember when you told me\I didn't have that special something that moves people?\I can't do it alone.\But with the help of my friends,\I think I'm finally at a point\where I have the potential to move people's hearts. response:	I believe a teacher's job is to develop that potential!
context: if only a little.\Remember when you told me\I didn't have that special something that moves people?\I can't do it alone.\But with the help of my friends,\I think I'm finally at a point\where I have the potential to move people's hearts.\I believe a teacher's job is to develop that potential! response:	So please, let us go up on that stage.
context: Remember when you told me\I didn't have that special something that moves people?\I can't do it alone.\But with the help of my friends,\I think I'm finally at a point\where I have the potential to move people's hearts.\I believe a teacher's job is to develop that potential!\So please, let us go up on that stage. response:	All right, but you'll have to convince me.
context: I didn't have that special something that moves people?\I can't do it alone.\But with the help of my friends,\I think I'm finally at a point\where I have the potential to move people's hearts.\I believe a teacher's job is to develop that potential!\So please, let us go up on that stage.\All right, but you'll have to convince me. response:	There's an audition for all groups who
context: I can't do it alone.\But with the help of my friends,\I think I'm finally at a point\where I have the potential to move people's hearts.\I believe a teacher's job is to develop that potential!\So please, let us go up on that stage.\All right, but you'll have to convince me.\There's an audition for all groups who response:	wish to use the main stage.
context: But with the help of my friends,\I think I'm finally at a point\where I have the potential to move people's hearts.\I believe a teacher's job is to develop that potential!\So please, let us go up on that stage.\All right, but you'll have to convince me.\There's an audition for all groups who\wish to use the main stage. response:	Don't just tell me your choir club has improved.
context: I think I'm finally at a point\where I have the potential to move people's hearts.\I believe a teacher's job is to develop that potential!\So please, let us go up on that stage.\All right, but you'll have to convince me.\There's an audition for all groups who\wish to use the main stage.\Don't just tell me your choir club has improved. response:	Prove it, by participating in the audition.
context: where I have the potential to move people's hearts.\I believe a teacher's job is to develop that potential!\So please, let us go up on that stage.\All right, but you'll have to convince me.\There's an audition for all groups who\wish to use the main stage.\Don't just tell me your choir club has improved.\Prove it, by participating in the audition. response:	We will.
context: I believe a teacher's job is to develop that potential!\So please, let us go up on that stage.\All right, but you'll have to convince me.\There's an audition for all groups who\wish to use the main stage.\Don't just tell me your choir club has improved.\Prove it, by participating in the audition.\We will. response:	When is it?
context: So please, let us go up on that stage.\All right, but you'll have to convince me.\There's an audition for all groups who\wish to use the main stage.\Don't just tell me your choir club has improved.\Prove it, by participating in the audition.\We will.\When is it? response:	Today?!
context: All right, but you'll have to convince me.\There's an audition for all groups who\wish to use the main stage.\Don't just tell me your choir club has improved.\Prove it, by participating in the audition.\We will.\When is it?\Today?! response:	This is bad. Very, very bad. Sawa!
context: There's an audition for all groups who\wish to use the main stage.\Don't just tell me your choir club has improved.\Prove it, by participating in the audition.\We will.\When is it?\Today?!\This is bad. Very, very bad. Sawa! response:	She's not here today, we'll have to go it alone.
context: wish to use the main stage.\Don't just tell me your choir club has improved.\Prove it, by participating in the audition.\We will.\When is it?\Today?!\This is bad. Very, very bad. Sawa!\She's not here today, we'll have to go it alone. response:	Are you nuts?
context: Don't just tell me your choir club has improved.\Prove it, by participating in the audition.\We will.\When is it?\Today?!\This is bad. Very, very bad. Sawa!\She's not here today, we'll have to go it alone.\Are you nuts? response:	If we were a choir of 100,
context: Prove it, by participating in the audition.\We will.\When is it?\Today?!\This is bad. Very, very bad. Sawa!\She's not here today, we'll have to go it alone.\Are you nuts?\If we were a choir of 100, response:	this would be like missing 20 people!
context: We will.\When is it?\Today?!\This is bad. Very, very bad. Sawa!\She's not here today, we'll have to go it alone.\Are you nuts?\If we were a choir of 100,\this would be like missing 20 people! response:	Why won't Sawa pick up her phone?!
context: When is it?\Today?!\This is bad. Very, very bad. Sawa!\She's not here today, we'll have to go it alone.\Are you nuts?\If we were a choir of 100,\this would be like missing 20 people!\Why won't Sawa pick up her phone?! response:	Leave a message.
context: Today?!\This is bad. Very, very bad. Sawa!\She's not here today, we'll have to go it alone.\Are you nuts?\If we were a choir of 100,\this would be like missing 20 people!\Why won't Sawa pick up her phone?!\Leave a message. response:	I'll text her.
context: This is bad. Very, very bad. Sawa!\She's not here today, we'll have to go it alone.\Are you nuts?\If we were a choir of 100,\this would be like missing 20 people!\Why won't Sawa pick up her phone?!\Leave a message.\I'll text her. response:	The customer you have dialed is away from the phone.
context: She's not here today, we'll have to go it alone.\Are you nuts?\If we were a choir of 100,\this would be like missing 20 people!\Why won't Sawa pick up her phone?!\Leave a message.\I'll text her.\The customer you have dialed is away from the phone. response:	Please leave a message after the beep.
context: Are you nuts?\If we were a choir of 100,\this would be like missing 20 people!\Why won't Sawa pick up her phone?!\Leave a message.\I'll text her.\The customer you have dialed is away from the phone.\Please leave a message after the beep. response:	Sawa, we're in trouble!
context: If we were a choir of 100,\this would be like missing 20 people!\Why won't Sawa pick up her phone?!\Leave a message.\I'll text her.\The customer you have dialed is away from the phone.\Please leave a message after the beep.\Sawa, we're in trouble! response:	We just found out we have to audition for the main stage, today!
context: this would be like missing 20 people!\Why won't Sawa pick up her phone?!\Leave a message.\I'll text her.\The customer you have dialed is away from the phone.\Please leave a message after the beep.\Sawa, we're in trouble!\We just found out we have to audition for the main stage, today! response:	Please come! If you leave now, you could make it!
context: Why won't Sawa pick up her phone?!\Leave a message.\I'll text her.\The customer you have dialed is away from the phone.\Please leave a message after the beep.\Sawa, we're in trouble!\We just found out we have to audition for the main stage, today!\Please come! If you leave now, you could make it! response:	Without you, we'll be totally
context: Leave a message.\I'll text her.\The customer you have dialed is away from the phone.\Please leave a message after the beep.\Sawa, we're in trouble!\We just found out we have to audition for the main stage, today!\Please come! If you leave now, you could make it!\Without you, we'll be totally response:	She's not calling back.
context: I'll text her.\The customer you have dialed is away from the phone.\Please leave a message after the beep.\Sawa, we're in trouble!\We just found out we have to audition for the main stage, today!\Please come! If you leave now, you could make it!\Without you, we'll be totally\She's not calling back. response:	Let it go.
context: The customer you have dialed is away from the phone.\Please leave a message after the beep.\Sawa, we're in trouble!\We just found out we have to audition for the main stage, today!\Please come! If you leave now, you could make it!\Without you, we'll be totally\She's not calling back.\Let it go. response:	She's in no condition to sing.
context: Please leave a message after the beep.\Sawa, we're in trouble!\We just found out we have to audition for the main stage, today!\Please come! If you leave now, you could make it!\Without you, we'll be totally\She's not calling back.\Let it go.\She's in no condition to sing. response:	He's right.
context: Sawa, we're in trouble!\We just found out we have to audition for the main stage, today!\Please come! If you leave now, you could make it!\Without you, we'll be totally\She's not calling back.\Let it go.\She's in no condition to sing.\He's right. response:	That hurts...
context: We just found out we have to audition for the main stage, today!\Please come! If you leave now, you could make it!\Without you, we'll be totally\She's not calling back.\Let it go.\She's in no condition to sing.\He's right.\That hurts... response:	Sawa's really depressed, so maybe
context: Please come! If you leave now, you could make it!\Without you, we'll be totally\She's not calling back.\Let it go.\She's in no condition to sing.\He's right.\That hurts...\Sawa's really depressed, so maybe response:	saying we want you here isn't enough.
context: Without you, we'll be totally\She's not calling back.\Let it go.\She's in no condition to sing.\He's right.\That hurts...\Sawa's really depressed, so maybe\saying we want you here isn't enough. response:	Ah, yeah.
context: She's not calling back.\Let it go.\She's in no condition to sing.\He's right.\That hurts...\Sawa's really depressed, so maybe\saying we want you here isn't enough.\Ah, yeah. response:	We should be doing something for her...
context: Let it go.\She's in no condition to sing.\He's right.\That hurts...\Sawa's really depressed, so maybe\saying we want you here isn't enough.\Ah, yeah.\We should be doing something for her... response:	When I was depressed, I wanted to be left alone.
context: She's in no condition to sing.\He's right.\That hurts...\Sawa's really depressed, so maybe\saying we want you here isn't enough.\Ah, yeah.\We should be doing something for her...\When I was depressed, I wanted to be left alone. response:	Then again, it was nice to know people cared.
context: He's right.\That hurts...\Sawa's really depressed, so maybe\saying we want you here isn't enough.\Ah, yeah.\We should be doing something for her...\When I was depressed, I wanted to be left alone.\Then again, it was nice to know people cared. response:	Then we have to somehow show Sawa that we care!
context: That hurts...\Sawa's really depressed, so maybe\saying we want you here isn't enough.\Ah, yeah.\We should be doing something for her...\When I was depressed, I wanted to be left alone.\Then again, it was nice to know people cared.\Then we have to somehow show Sawa that we care! response:	But how?
context: Sawa's really depressed, so maybe\saying we want you here isn't enough.\Ah, yeah.\We should be doing something for her...\When I was depressed, I wanted to be left alone.\Then again, it was nice to know people cared.\Then we have to somehow show Sawa that we care!\But how? response:	Sakai Wakana
context: saying we want you here isn't enough.\Ah, yeah.\We should be doing something for her...\When I was depressed, I wanted to be left alone.\Then again, it was nice to know people cared.\Then we have to somehow show Sawa that we care!\But how?\Sakai Wakana response:	I don't think I said anything horrible,
context: Ah, yeah.\We should be doing something for her...\When I was depressed, I wanted to be left alone.\Then again, it was nice to know people cared.\Then we have to somehow show Sawa that we care!\But how?\Sakai Wakana\I don't think I said anything horrible, response:	or was told anything horrible that day.
context: We should be doing something for her...\When I was depressed, I wanted to be left alone.\Then again, it was nice to know people cared.\Then we have to somehow show Sawa that we care!\But how?\Sakai Wakana\I don't think I said anything horrible,\or was told anything horrible that day. response:	But if I hurt you in any way, I apologize.
context: When I was depressed, I wanted to be left alone.\Then again, it was nice to know people cared.\Then we have to somehow show Sawa that we care!\But how?\Sakai Wakana\I don't think I said anything horrible,\or was told anything horrible that day.\But if I hurt you in any way, I apologize. response:	I'm sorry.
context: Then again, it was nice to know people cared.\Then we have to somehow show Sawa that we care!\But how?\Sakai Wakana\I don't think I said anything horrible,\or was told anything horrible that day.\But if I hurt you in any way, I apologize.\I'm sorry. response:	Did you get Konatsu's message?
context: Then we have to somehow show Sawa that we care!\But how?\Sakai Wakana\I don't think I said anything horrible,\or was told anything horrible that day.\But if I hurt you in any way, I apologize.\I'm sorry.\Did you get Konatsu's message? response:	We don't want to give up without a fight,
context: But how?\Sakai Wakana\I don't think I said anything horrible,\or was told anything horrible that day.\But if I hurt you in any way, I apologize.\I'm sorry.\Did you get Konatsu's message?\We don't want to give up without a fight, response:	so the four of us are going to sing.
context: Sakai Wakana\I don't think I said anything horrible,\or was told anything horrible that day.\But if I hurt you in any way, I apologize.\I'm sorry.\Did you get Konatsu's message?\We don't want to give up without a fight,\so the four of us are going to sing. response:	But we'd feel much more confident if you were with us.
context: I don't think I said anything horrible,\or was told anything horrible that day.\But if I hurt you in any way, I apologize.\I'm sorry.\Did you get Konatsu's message?\We don't want to give up without a fight,\so the four of us are going to sing.\But we'd feel much more confident if you were with us. response:	Wakana is so strong.
context: or was told anything horrible that day.\But if I hurt you in any way, I apologize.\I'm sorry.\Did you get Konatsu's message?\We don't want to give up without a fight,\so the four of us are going to sing.\But we'd feel much more confident if you were with us.\Wakana is so strong. response:	Now I'm embarrassed.
context: But if I hurt you in any way, I apologize.\I'm sorry.\Did you get Konatsu's message?\We don't want to give up without a fight,\so the four of us are going to sing.\But we'd feel much more confident if you were with us.\Wakana is so strong.\Now I'm embarrassed. response:	I'm asking you to explain your reason!
context: I'm sorry.\Did you get Konatsu's message?\We don't want to give up without a fight,\so the four of us are going to sing.\But we'd feel much more confident if you were with us.\Wakana is so strong.\Now I'm embarrassed.\I'm asking you to explain your reason! response:	What? The parents' heights?!
context: Did you get Konatsu's message?\We don't want to give up without a fight,\so the four of us are going to sing.\But we'd feel much more confident if you were with us.\Wakana is so strong.\Now I'm embarrassed.\I'm asking you to explain your reason!\What? The parents' heights?! response:	How is that relevant?!
context: We don't want to give up without a fight,\so the four of us are going to sing.\But we'd feel much more confident if you were with us.\Wakana is so strong.\Now I'm embarrassed.\I'm asking you to explain your reason!\What? The parents' heights?!\How is that relevant?! response:	What about a horse's connection with its rider?
context: so the four of us are going to sing.\But we'd feel much more confident if you were with us.\Wakana is so strong.\Now I'm embarrassed.\I'm asking you to explain your reason!\What? The parents' heights?!\How is that relevant?!\What about a horse's connection with its rider? response:	My daughter is serious about this!
context: But we'd feel much more confident if you were with us.\Wakana is so strong.\Now I'm embarrassed.\I'm asking you to explain your reason!\What? The parents' heights?!\How is that relevant?!\What about a horse's connection with its rider?\My daughter is serious about this! response:	She's been riding since she was a little girl.
