context: It's ok now. response:	I'm back to my old self.
context: I'm the one who should thank you.\You were the one\who helped me feel better that time.\Let's go?\Brother and Yukito-san will join us later.\It's ok already.\He really seems like a part of my family now.\Touya are you ok? response:	It's just the usual. Don't worry.
context: You were the one\who helped me feel better that time.\Let's go?\Brother and Yukito-san will join us later.\It's ok already.\He really seems like a part of my family now.\Touya are you ok?\It's just the usual. Don't worry. response:	However, I'm glad Sakura invited me.
context: who helped me feel better that time.\Let's go?\Brother and Yukito-san will join us later.\It's ok already.\He really seems like a part of my family now.\Touya are you ok?\It's just the usual. Don't worry.\However, I'm glad Sakura invited me. response:	I know she didn't feel for me exactly the same
context: Let's go?\Brother and Yukito-san will join us later.\It's ok already.\He really seems like a part of my family now.\Touya are you ok?\It's just the usual. Don't worry.\However, I'm glad Sakura invited me.\I know she didn't feel for me exactly the same response:	was as for her father, but because of the way she felt,
context: Brother and Yukito-san will join us later.\It's ok already.\He really seems like a part of my family now.\Touya are you ok?\It's just the usual. Don't worry.\However, I'm glad Sakura invited me.\I know she didn't feel for me exactly the same\was as for her father, but because of the way she felt, response:	she couldn't find the person she was meant to love.
context: It's ok already.\He really seems like a part of my family now.\Touya are you ok?\It's just the usual. Don't worry.\However, I'm glad Sakura invited me.\I know she didn't feel for me exactly the same\was as for her father, but because of the way she felt,\she couldn't find the person she was meant to love. response:	I know it hurts her'
context: He really seems like a part of my family now.\Touya are you ok?\It's just the usual. Don't worry.\However, I'm glad Sakura invited me.\I know she didn't feel for me exactly the same\was as for her father, but because of the way she felt,\she couldn't find the person she was meant to love.\I know it hurts her' response:	but it was for the best.
context: Touya are you ok?\It's just the usual. Don't worry.\However, I'm glad Sakura invited me.\I know she didn't feel for me exactly the same\was as for her father, but because of the way she felt,\she couldn't find the person she was meant to love.\I know it hurts her'\but it was for the best. response:	She was smiling'
context: It's just the usual. Don't worry.\However, I'm glad Sakura invited me.\I know she didn't feel for me exactly the same\was as for her father, but because of the way she felt,\she couldn't find the person she was meant to love.\I know it hurts her'\but it was for the best.\She was smiling' response:	but I'm sure she wasn't really happy to see me.
context: However, I'm glad Sakura invited me.\I know she didn't feel for me exactly the same\was as for her father, but because of the way she felt,\she couldn't find the person she was meant to love.\I know it hurts her'\but it was for the best.\She was smiling'\but I'm sure she wasn't really happy to see me. response:	I'm sure she's forgiven you.
context: I know she didn't feel for me exactly the same\was as for her father, but because of the way she felt,\she couldn't find the person she was meant to love.\I know it hurts her'\but it was for the best.\She was smiling'\but I'm sure she wasn't really happy to see me.\I'm sure she's forgiven you. response:	She's cheerful again.
context: was as for her father, but because of the way she felt,\she couldn't find the person she was meant to love.\I know it hurts her'\but it was for the best.\She was smiling'\but I'm sure she wasn't really happy to see me.\I'm sure she's forgiven you.\She's cheerful again. response:	That's why she has invited you.
context: she couldn't find the person she was meant to love.\I know it hurts her'\but it was for the best.\She was smiling'\but I'm sure she wasn't really happy to see me.\I'm sure she's forgiven you.\She's cheerful again.\That's why she has invited you. response:	Tomoyo-chan!
context: I know it hurts her'\but it was for the best.\She was smiling'\but I'm sure she wasn't really happy to see me.\I'm sure she's forgiven you.\She's cheerful again.\That's why she has invited you.\Tomoyo-chan! response:	Sakura-chan!
context: but it was for the best.\She was smiling'\but I'm sure she wasn't really happy to see me.\I'm sure she's forgiven you.\She's cheerful again.\That's why she has invited you.\Tomoyo-chan!\Sakura-chan! response:	I'm so glad I get to take videos again
context: She was smiling'\but I'm sure she wasn't really happy to see me.\I'm sure she's forgiven you.\She's cheerful again.\That's why she has invited you.\Tomoyo-chan!\Sakura-chan!\I'm so glad I get to take videos again response:	That scarf looks very nice on you!
context: but I'm sure she wasn't really happy to see me.\I'm sure she's forgiven you.\She's cheerful again.\That's why she has invited you.\Tomoyo-chan!\Sakura-chan!\I'm so glad I get to take videos again\That scarf looks very nice on you! response:	I don't see her.
context: I'm sure she's forgiven you.\She's cheerful again.\That's why she has invited you.\Tomoyo-chan!\Sakura-chan!\I'm so glad I get to take videos again\That scarf looks very nice on you!\I don't see her. response:	Maybe she isn't here yet.
context: She's cheerful again.\That's why she has invited you.\Tomoyo-chan!\Sakura-chan!\I'm so glad I get to take videos again\That scarf looks very nice on you!\I don't see her.\Maybe she isn't here yet. response:	It's Brother and Yukito-san! Over here!
context: That's why she has invited you.\Tomoyo-chan!\Sakura-chan!\I'm so glad I get to take videos again\That scarf looks very nice on you!\I don't see her.\Maybe she isn't here yet.\It's Brother and Yukito-san! Over here! response:	Good evening, Yukito-san.
context: Tomoyo-chan!\Sakura-chan!\I'm so glad I get to take videos again\That scarf looks very nice on you!\I don't see her.\Maybe she isn't here yet.\It's Brother and Yukito-san! Over here!\Good evening, Yukito-san. response:	Good evening, Sakura-chan.
context: Sakura-chan!\I'm so glad I get to take videos again\That scarf looks very nice on you!\I don't see her.\Maybe she isn't here yet.\It's Brother and Yukito-san! Over here!\Good evening, Yukito-san.\Good evening, Sakura-chan. response:	Let's go Yukito-san!
context: I'm so glad I get to take videos again\That scarf looks very nice on you!\I don't see her.\Maybe she isn't here yet.\It's Brother and Yukito-san! Over here!\Good evening, Yukito-san.\Good evening, Sakura-chan.\Let's go Yukito-san! response:	It's very good that she's gotten over it so soon.
context: That scarf looks very nice on you!\I don't see her.\Maybe she isn't here yet.\It's Brother and Yukito-san! Over here!\Good evening, Yukito-san.\Good evening, Sakura-chan.\Let's go Yukito-san!\It's very good that she's gotten over it so soon. response:	Yeah'
context: I don't see her.\Maybe she isn't here yet.\It's Brother and Yukito-san! Over here!\Good evening, Yukito-san.\Good evening, Sakura-chan.\Let's go Yukito-san!\It's very good that she's gotten over it so soon.\Yeah' response:	You still haven't told her have you? About how you feel.
context: Maybe she isn't here yet.\It's Brother and Yukito-san! Over here!\Good evening, Yukito-san.\Good evening, Sakura-chan.\Let's go Yukito-san!\It's very good that she's gotten over it so soon.\Yeah'\You still haven't told her have you? About how you feel. response:	If I told her, it would just confuse her.
context: It's Brother and Yukito-san! Over here!\Good evening, Yukito-san.\Good evening, Sakura-chan.\Let's go Yukito-san!\It's very good that she's gotten over it so soon.\Yeah'\You still haven't told her have you? About how you feel.\If I told her, it would just confuse her. response:	She loved him for so long,
context: Good evening, Yukito-san.\Good evening, Sakura-chan.\Let's go Yukito-san!\It's very good that she's gotten over it so soon.\Yeah'\You still haven't told her have you? About how you feel.\If I told her, it would just confuse her.\She loved him for so long, response:	but he loved someone else'
context: Good evening, Sakura-chan.\Let's go Yukito-san!\It's very good that she's gotten over it so soon.\Yeah'\You still haven't told her have you? About how you feel.\If I told her, it would just confuse her.\She loved him for so long,\but he loved someone else' response:	She wouldn't know how to react either.
context: Let's go Yukito-san!\It's very good that she's gotten over it so soon.\Yeah'\You still haven't told her have you? About how you feel.\If I told her, it would just confuse her.\She loved him for so long,\but he loved someone else'\She wouldn't know how to react either. response:	She knows
context: It's very good that she's gotten over it so soon.\Yeah'\You still haven't told her have you? About how you feel.\If I told her, it would just confuse her.\She loved him for so long,\but he loved someone else'\She wouldn't know how to react either.\She knows response:	what it's like to be turned down.
context: Yeah'\You still haven't told her have you? About how you feel.\If I told her, it would just confuse her.\She loved him for so long,\but he loved someone else'\She wouldn't know how to react either.\She knows\what it's like to be turned down. response:	If I told her how I felt,
context: You still haven't told her have you? About how you feel.\If I told her, it would just confuse her.\She loved him for so long,\but he loved someone else'\She wouldn't know how to react either.\She knows\what it's like to be turned down.\If I told her how I felt, response:	she'd be too afraid of hurting me to really think it over.
context: If I told her, it would just confuse her.\She loved him for so long,\but he loved someone else'\She wouldn't know how to react either.\She knows\what it's like to be turned down.\If I told her how I felt,\she'd be too afraid of hurting me to really think it over. response:	So' I won't tell her yet
context: She loved him for so long,\but he loved someone else'\She wouldn't know how to react either.\She knows\what it's like to be turned down.\If I told her how I felt,\she'd be too afraid of hurting me to really think it over.\So' I won't tell her yet response:	Li-kun.
context: but he loved someone else'\She wouldn't know how to react either.\She knows\what it's like to be turned down.\If I told her how I felt,\she'd be too afraid of hurting me to really think it over.\So' I won't tell her yet\Li-kun. response:	Tomoyo-chan! Shao Lan-kun!
context: She wouldn't know how to react either.\She knows\what it's like to be turned down.\If I told her how I felt,\she'd be too afraid of hurting me to really think it over.\So' I won't tell her yet\Li-kun.\Tomoyo-chan! Shao Lan-kun! response:	Coming!
context: She knows\what it's like to be turned down.\If I told her how I felt,\she'd be too afraid of hurting me to really think it over.\So' I won't tell her yet\Li-kun.\Tomoyo-chan! Shao Lan-kun!\Coming! response:	Why did I have to buy one for that brat too?
context: what it's like to be turned down.\If I told her how I felt,\she'd be too afraid of hurting me to really think it over.\So' I won't tell her yet\Li-kun.\Tomoyo-chan! Shao Lan-kun!\Coming!\Why did I have to buy one for that brat too? response:	Why does he bother you so much?
context: If I told her how I felt,\she'd be too afraid of hurting me to really think it over.\So' I won't tell her yet\Li-kun.\Tomoyo-chan! Shao Lan-kun!\Coming!\Why did I have to buy one for that brat too?\Why does he bother you so much? response:	I can't afford to ignore him.
context: she'd be too afraid of hurting me to really think it over.\So' I won't tell her yet\Li-kun.\Tomoyo-chan! Shao Lan-kun!\Coming!\Why did I have to buy one for that brat too?\Why does he bother you so much?\I can't afford to ignore him. response:	Why?
context: So' I won't tell her yet\Li-kun.\Tomoyo-chan! Shao Lan-kun!\Coming!\Why did I have to buy one for that brat too?\Why does he bother you so much?\I can't afford to ignore him.\Why? response:	He's too involved with something important to me.
context: Li-kun.\Tomoyo-chan! Shao Lan-kun!\Coming!\Why did I have to buy one for that brat too?\Why does he bother you so much?\I can't afford to ignore him.\Why?\He's too involved with something important to me. response:	Oh brother!
context: Tomoyo-chan! Shao Lan-kun!\Coming!\Why did I have to buy one for that brat too?\Why does he bother you so much?\I can't afford to ignore him.\Why?\He's too involved with something important to me.\Oh brother! response:	What do you want?!
context: Coming!\Why did I have to buy one for that brat too?\Why does he bother you so much?\I can't afford to ignore him.\Why?\He's too involved with something important to me.\Oh brother!\What do you want?! response:	Don't surprise me like that!
context: Why did I have to buy one for that brat too?\Why does he bother you so much?\I can't afford to ignore him.\Why?\He's too involved with something important to me.\Oh brother!\What do you want?!\Don't surprise me like that! response:	I'm thirsty, could you get some juice?
context: Why does he bother you so much?\I can't afford to ignore him.\Why?\He's too involved with something important to me.\Oh brother!\What do you want?!\Don't surprise me like that!\I'm thirsty, could you get some juice? response:	For Yukito-san and Tomoyo-chan and Shao Lan-kun and me!
context: I can't afford to ignore him.\Why?\He's too involved with something important to me.\Oh brother!\What do you want?!\Don't surprise me like that!\I'm thirsty, could you get some juice?\For Yukito-san and Tomoyo-chan and Shao Lan-kun and me! response:	You want me to pay again?
context: Why?\He's too involved with something important to me.\Oh brother!\What do you want?!\Don't surprise me like that!\I'm thirsty, could you get some juice?\For Yukito-san and Tomoyo-chan and Shao Lan-kun and me!\You want me to pay again? response:	We've walked pretty far,
context: He's too involved with something important to me.\Oh brother!\What do you want?!\Don't surprise me like that!\I'm thirsty, could you get some juice?\For Yukito-san and Tomoyo-chan and Shao Lan-kun and me!\You want me to pay again?\We've walked pretty far, response:	so we'll wait over there.
context: Oh brother!\What do you want?!\Don't surprise me like that!\I'm thirsty, could you get some juice?\For Yukito-san and Tomoyo-chan and Shao Lan-kun and me!\You want me to pay again?\We've walked pretty far,\so we'll wait over there. response:	' So why do I'' Thank you!
context: What do you want?!\Don't surprise me like that!\I'm thirsty, could you get some juice?\For Yukito-san and Tomoyo-chan and Shao Lan-kun and me!\You want me to pay again?\We've walked pretty far,\so we'll wait over there.\' So why do I'' Thank you! response:	Hey wait a minute'
context: Don't surprise me like that!\I'm thirsty, could you get some juice?\For Yukito-san and Tomoyo-chan and Shao Lan-kun and me!\You want me to pay again?\We've walked pretty far,\so we'll wait over there.\' So why do I'' Thank you!\Hey wait a minute' response:	He'll need help, so I'll go with him.
context: I'm thirsty, could you get some juice?\For Yukito-san and Tomoyo-chan and Shao Lan-kun and me!\You want me to pay again?\We've walked pretty far,\so we'll wait over there.\' So why do I'' Thank you!\Hey wait a minute'\He'll need help, so I'll go with him. response:	Should I help you too?
context: For Yukito-san and Tomoyo-chan and Shao Lan-kun and me!\You want me to pay again?\We've walked pretty far,\so we'll wait over there.\' So why do I'' Thank you!\Hey wait a minute'\He'll need help, so I'll go with him.\Should I help you too? response:	We'll be ok. Wait by the lake.
context: You want me to pay again?\We've walked pretty far,\so we'll wait over there.\' So why do I'' Thank you!\Hey wait a minute'\He'll need help, so I'll go with him.\Should I help you too?\We'll be ok. Wait by the lake. response:	OK.
context: We've walked pretty far,\so we'll wait over there.\' So why do I'' Thank you!\Hey wait a minute'\He'll need help, so I'll go with him.\Should I help you too?\We'll be ok. Wait by the lake.\OK. response:	Hmph. Why did I have to buy one for that brat too?
context: so we'll wait over there.\' So why do I'' Thank you!\Hey wait a minute'\He'll need help, so I'll go with him.\Should I help you too?\We'll be ok. Wait by the lake.\OK.\Hmph. Why did I have to buy one for that brat too? response:	What is it?
context: ' So why do I'' Thank you!\Hey wait a minute'\He'll need help, so I'll go with him.\Should I help you too?\We'll be ok. Wait by the lake.\OK.\Hmph. Why did I have to buy one for that brat too?\What is it? response:	You didn't sense her coming just then.
context: Hey wait a minute'\He'll need help, so I'll go with him.\Should I help you too?\We'll be ok. Wait by the lake.\OK.\Hmph. Why did I have to buy one for that brat too?\What is it?\You didn't sense her coming just then. response:	You used to be able to tell if anyone was nearby'
context: He'll need help, so I'll go with him.\Should I help you too?\We'll be ok. Wait by the lake.\OK.\Hmph. Why did I have to buy one for that brat too?\What is it?\You didn't sense her coming just then.\You used to be able to tell if anyone was nearby' response:	until you gave me all your strength.
context: Should I help you too?\We'll be ok. Wait by the lake.\OK.\Hmph. Why did I have to buy one for that brat too?\What is it?\You didn't sense her coming just then.\You used to be able to tell if anyone was nearby'\until you gave me all your strength. response:	And you've been so tired'
context: We'll be ok. Wait by the lake.\OK.\Hmph. Why did I have to buy one for that brat too?\What is it?\You didn't sense her coming just then.\You used to be able to tell if anyone was nearby'\until you gave me all your strength.\And you've been so tired' response:	Yuki,
context: OK.\Hmph. Why did I have to buy one for that brat too?\What is it?\You didn't sense her coming just then.\You used to be able to tell if anyone was nearby'\until you gave me all your strength.\And you've been so tired'\Yuki, response:	while eating lunch,
context: Hmph. Why did I have to buy one for that brat too?\What is it?\You didn't sense her coming just then.\You used to be able to tell if anyone was nearby'\until you gave me all your strength.\And you've been so tired'\Yuki,\while eating lunch, response:	when you had finished yours and were still hungry,
context: What is it?\You didn't sense her coming just then.\You used to be able to tell if anyone was nearby'\until you gave me all your strength.\And you've been so tired'\Yuki,\while eating lunch,\when you had finished yours and were still hungry, response:	what did I do?
context: You didn't sense her coming just then.\You used to be able to tell if anyone was nearby'\until you gave me all your strength.\And you've been so tired'\Yuki,\while eating lunch,\when you had finished yours and were still hungry,\what did I do? response:	You have me all of yours.
context: You used to be able to tell if anyone was nearby'\until you gave me all your strength.\And you've been so tired'\Yuki,\while eating lunch,\when you had finished yours and were still hungry,\what did I do?\You have me all of yours. response:	It's the same thing.
context: until you gave me all your strength.\And you've been so tired'\Yuki,\while eating lunch,\when you had finished yours and were still hungry,\what did I do?\You have me all of yours.\It's the same thing. response:	' Don't worry about it anymore ok?' Right.
context: And you've been so tired'\Yuki,\while eating lunch,\when you had finished yours and were still hungry,\what did I do?\You have me all of yours.\It's the same thing.\' Don't worry about it anymore ok?' Right. response:	This is the moon pool.
context: Yuki,\while eating lunch,\when you had finished yours and were still hungry,\what did I do?\You have me all of yours.\It's the same thing.\' Don't worry about it anymore ok?' Right.\This is the moon pool. response:	There aren't any fish are there?
context: while eating lunch,\when you had finished yours and were still hungry,\what did I do?\You have me all of yours.\It's the same thing.\' Don't worry about it anymore ok?' Right.\This is the moon pool.\There aren't any fish are there? response:	There's a lake with fish that way.
context: when you had finished yours and were still hungry,\what did I do?\You have me all of yours.\It's the same thing.\' Don't worry about it anymore ok?' Right.\This is the moon pool.\There aren't any fish are there?\There's a lake with fish that way. response:	They use this lake
context: what did I do?\You have me all of yours.\It's the same thing.\' Don't worry about it anymore ok?' Right.\This is the moon pool.\There aren't any fish are there?\There's a lake with fish that way.\They use this lake response:	to tell fortunes with the moon
context: You have me all of yours.\It's the same thing.\' Don't worry about it anymore ok?' Right.\This is the moon pool.\There aren't any fish are there?\There's a lake with fish that way.\They use this lake\to tell fortunes with the moon response:	so there aren't any living things in here.
context: It's the same thing.\' Don't worry about it anymore ok?' Right.\This is the moon pool.\There aren't any fish are there?\There's a lake with fish that way.\They use this lake\to tell fortunes with the moon\so there aren't any living things in here. response:	You know a lot!
context: ' Don't worry about it anymore ok?' Right.\This is the moon pool.\There aren't any fish are there?\There's a lake with fish that way.\They use this lake\to tell fortunes with the moon\so there aren't any living things in here.\You know a lot! response:	Mizuki-sensei told me!
context: This is the moon pool.\There aren't any fish are there?\There's a lake with fish that way.\They use this lake\to tell fortunes with the moon\so there aren't any living things in here.\You know a lot!\Mizuki-sensei told me! response:	Do you know how to tell fortunes well?
context: There aren't any fish are there?\There's a lake with fish that way.\They use this lake\to tell fortunes with the moon\so there aren't any living things in here.\You know a lot!\Mizuki-sensei told me!\Do you know how to tell fortunes well? response:	Yeah, she told me that too.
context: There's a lake with fish that way.\They use this lake\to tell fortunes with the moon\so there aren't any living things in here.\You know a lot!\Mizuki-sensei told me!\Do you know how to tell fortunes well?\Yeah, she told me that too. response:	First, walk to the edge of the dock.
context: They use this lake\to tell fortunes with the moon\so there aren't any living things in here.\You know a lot!\Mizuki-sensei told me!\Do you know how to tell fortunes well?\Yeah, she told me that too.\First, walk to the edge of the dock. response:	Clasp your hands.
context: to tell fortunes with the moon\so there aren't any living things in here.\You know a lot!\Mizuki-sensei told me!\Do you know how to tell fortunes well?\Yeah, she told me that too.\First, walk to the edge of the dock.\Clasp your hands. response:	Then look at the moon reflected in the water.
context: so there aren't any living things in here.\You know a lot!\Mizuki-sensei told me!\Do you know how to tell fortunes well?\Yeah, she told me that too.\First, walk to the edge of the dock.\Clasp your hands.\Then look at the moon reflected in the water. response:	Huh?
context: You know a lot!\Mizuki-sensei told me!\Do you know how to tell fortunes well?\Yeah, she told me that too.\First, walk to the edge of the dock.\Clasp your hands.\Then look at the moon reflected in the water.\Huh? response:	I've been quiet recently.
context: Mizuki-sensei told me!\Do you know how to tell fortunes well?\Yeah, she told me that too.\First, walk to the edge of the dock.\Clasp your hands.\Then look at the moon reflected in the water.\Huh?\I've been quiet recently. response:	Clow-san's aura.
context: Do you know how to tell fortunes well?\Yeah, she told me that too.\First, walk to the edge of the dock.\Clasp your hands.\Then look at the moon reflected in the water.\Huh?\I've been quiet recently.\Clow-san's aura. response:	Watch out!
context: Yeah, she told me that too.\First, walk to the edge of the dock.\Clasp your hands.\Then look at the moon reflected in the water.\Huh?\I've been quiet recently.\Clow-san's aura.\Watch out! response:	Sakura-chan!
context: First, walk to the edge of the dock.\Clasp your hands.\Then look at the moon reflected in the water.\Huh?\I've been quiet recently.\Clow-san's aura.\Watch out!\Sakura-chan! response:	Oh key that hides the power of the stars.
context: Clasp your hands.\Then look at the moon reflected in the water.\Huh?\I've been quiet recently.\Clow-san's aura.\Watch out!\Sakura-chan!\Oh key that hides the power of the stars. response:	Reveal thy true form to me.
context: Then look at the moon reflected in the water.\Huh?\I've been quiet recently.\Clow-san's aura.\Watch out!\Sakura-chan!\Oh key that hides the power of the stars.\Reveal thy true form to me. response:	By our contract, Sakura commands you.
context: Huh?\I've been quiet recently.\Clow-san's aura.\Watch out!\Sakura-chan!\Oh key that hides the power of the stars.\Reveal thy true form to me.\By our contract, Sakura commands you. response:	Release!
context: I've been quiet recently.\Clow-san's aura.\Watch out!\Sakura-chan!\Oh key that hides the power of the stars.\Reveal thy true form to me.\By our contract, Sakura commands you.\Release! response:	Wood!
context: Clow-san's aura.\Watch out!\Sakura-chan!\Oh key that hides the power of the stars.\Reveal thy true form to me.\By our contract, Sakura commands you.\Release!\Wood! response:	What happened?
context: Watch out!\Sakura-chan!\Oh key that hides the power of the stars.\Reveal thy true form to me.\By our contract, Sakura commands you.\Release!\Wood!\What happened? response:	A blackout
context: Sakura-chan!\Oh key that hides the power of the stars.\Reveal thy true form to me.\By our contract, Sakura commands you.\Release!\Wood!\What happened?\A blackout response:	Aren't the power lines for the Shrine near the lake?
context: Oh key that hides the power of the stars.\Reveal thy true form to me.\By our contract, Sakura commands you.\Release!\Wood!\What happened?\A blackout\Aren't the power lines for the Shrine near the lake? response:	That's where Sakura and her friends are!
context: Reveal thy true form to me.\By our contract, Sakura commands you.\Release!\Wood!\What happened?\A blackout\Aren't the power lines for the Shrine near the lake?\That's where Sakura and her friends are! response:	Let me try to beat it.
context: By our contract, Sakura commands you.\Release!\Wood!\What happened?\A blackout\Aren't the power lines for the Shrine near the lake?\That's where Sakura and her friends are!\Let me try to beat it. response:	God of lightnig, come forth!
context: Release!\Wood!\What happened?\A blackout\Aren't the power lines for the Shrine near the lake?\That's where Sakura and her friends are!\Let me try to beat it.\God of lightnig, come forth! response:	It didn't work.
context: Wood!\What happened?\A blackout\Aren't the power lines for the Shrine near the lake?\That's where Sakura and her friends are!\Let me try to beat it.\God of lightnig, come forth!\It didn't work. response:	But it did affect it.
context: What happened?\A blackout\Aren't the power lines for the Shrine near the lake?\That's where Sakura and her friends are!\Let me try to beat it.\God of lightnig, come forth!\It didn't work.\But it did affect it. response:	It isn't strong enough.
context: A blackout\Aren't the power lines for the Shrine near the lake?\That's where Sakura and her friends are!\Let me try to beat it.\God of lightnig, come forth!\It didn't work.\But it did affect it.\It isn't strong enough. response:	But' somehow'
context: Aren't the power lines for the Shrine near the lake?\That's where Sakura and her friends are!\Let me try to beat it.\God of lightnig, come forth!\It didn't work.\But it did affect it.\It isn't strong enough.\But' somehow' response:	that's it!
context: That's where Sakura and her friends are!\Let me try to beat it.\God of lightnig, come forth!\It didn't work.\But it did affect it.\It isn't strong enough.\But' somehow'\that's it! response:	Since you're here to help, I'm sure we can do it.
context: Let me try to beat it.\God of lightnig, come forth!\It didn't work.\But it did affect it.\It isn't strong enough.\But' somehow'\that's it!\Since you're here to help, I'm sure we can do it. response:	Alright!
context: God of lightnig, come forth!\It didn't work.\But it did affect it.\It isn't strong enough.\But' somehow'\that's it!\Since you're here to help, I'm sure we can do it.\Alright! response:	Let's do it!
context: It didn't work.\But it did affect it.\It isn't strong enough.\But' somehow'\that's it!\Since you're here to help, I'm sure we can do it.\Alright!\Let's do it! response:	God of wind, come forth!
context: But it did affect it.\It isn't strong enough.\But' somehow'\that's it!\Since you're here to help, I'm sure we can do it.\Alright!\Let's do it!\God of wind, come forth! response:	Now!
context: It isn't strong enough.\But' somehow'\that's it!\Since you're here to help, I'm sure we can do it.\Alright!\Let's do it!\God of wind, come forth!\Now! response:	Card created by Clow.
context: But' somehow'\that's it!\Since you're here to help, I'm sure we can do it.\Alright!\Let's do it!\God of wind, come forth!\Now!\Card created by Clow. response:	Listen to my words and be reborn!
context: that's it!\Since you're here to help, I'm sure we can do it.\Alright!\Let's do it!\God of wind, come forth!\Now!\Card created by Clow.\Listen to my words and be reborn! response:	I, Sakura command you.
context: Since you're here to help, I'm sure we can do it.\Alright!\Let's do it!\God of wind, come forth!\Now!\Card created by Clow.\Listen to my words and be reborn!\I, Sakura command you. response:	Thunder!
context: Alright!\Let's do it!\God of wind, come forth!\Now!\Card created by Clow.\Listen to my words and be reborn!\I, Sakura command you.\Thunder! response:	I'm relieved.
context: Let's do it!\God of wind, come forth!\Now!\Card created by Clow.\Listen to my words and be reborn!\I, Sakura command you.\Thunder!\I'm relieved. response:	I couldn't have done it without your help,
context: God of wind, come forth!\Now!\Card created by Clow.\Listen to my words and be reborn!\I, Sakura command you.\Thunder!\I'm relieved.\I couldn't have done it without your help, response:	thank you.
context: Now!\Card created by Clow.\Listen to my words and be reborn!\I, Sakura command you.\Thunder!\I'm relieved.\I couldn't have done it without your help,\thank you. response:	Tomoyo-chan? Tomoyo-chan!
context: Card created by Clow.\Listen to my words and be reborn!\I, Sakura command you.\Thunder!\I'm relieved.\I couldn't have done it without your help,\thank you.\Tomoyo-chan? Tomoyo-chan! response:	Yes! I'm alright!
context: Listen to my words and be reborn!\I, Sakura command you.\Thunder!\I'm relieved.\I couldn't have done it without your help,\thank you.\Tomoyo-chan? Tomoyo-chan!\Yes! I'm alright! response:	Sakura!
context: I, Sakura command you.\Thunder!\I'm relieved.\I couldn't have done it without your help,\thank you.\Tomoyo-chan? Tomoyo-chan!\Yes! I'm alright!\Sakura! response:	Sakura.
context: Thunder!\I'm relieved.\I couldn't have done it without your help,\thank you.\Tomoyo-chan? Tomoyo-chan!\Yes! I'm alright!\Sakura!\Sakura. response:	Are you ok?
context: I'm relieved.\I couldn't have done it without your help,\thank you.\Tomoyo-chan? Tomoyo-chan!\Yes! I'm alright!\Sakura!\Sakura.\Are you ok? response:	We're ok.
context: I couldn't have done it without your help,\thank you.\Tomoyo-chan? Tomoyo-chan!\Yes! I'm alright!\Sakura!\Sakura.\Are you ok?\We're ok. response:	The lights are all gone.
context: thank you.\Tomoyo-chan? Tomoyo-chan!\Yes! I'm alright!\Sakura!\Sakura.\Are you ok?\We're ok.\The lights are all gone. response:	I guess the festival is over for tonight.
context: Tomoyo-chan? Tomoyo-chan!\Yes! I'm alright!\Sakura!\Sakura.\Are you ok?\We're ok.\The lights are all gone.\I guess the festival is over for tonight. response:	But it just started' Oh!
context: Yes! I'm alright!\Sakura!\Sakura.\Are you ok?\We're ok.\The lights are all gone.\I guess the festival is over for tonight.\But it just started' Oh! response:	Wait just a minute ok?
context: Sakura!\Sakura.\Are you ok?\We're ok.\The lights are all gone.\I guess the festival is over for tonight.\But it just started' Oh!\Wait just a minute ok? response:	Hey Sakura!
context: Sakura.\Are you ok?\We're ok.\The lights are all gone.\I guess the festival is over for tonight.\But it just started' Oh!\Wait just a minute ok?\Hey Sakura! response:	Card created by Clow.
context: Are you ok?\We're ok.\The lights are all gone.\I guess the festival is over for tonight.\But it just started' Oh!\Wait just a minute ok?\Hey Sakura!\Card created by Clow. response:	Listen to my words and be reborn!
context: We're ok.\The lights are all gone.\I guess the festival is over for tonight.\But it just started' Oh!\Wait just a minute ok?\Hey Sakura!\Card created by Clow.\Listen to my words and be reborn! response:	I, Sakura command you.
context: The lights are all gone.\I guess the festival is over for tonight.\But it just started' Oh!\Wait just a minute ok?\Hey Sakura!\Card created by Clow.\Listen to my words and be reborn!\I, Sakura command you. response:	Glow!
context: I guess the festival is over for tonight.\But it just started' Oh!\Wait just a minute ok?\Hey Sakura!\Card created by Clow.\Listen to my words and be reborn!\I, Sakura command you.\Glow! response:	What's this?
context: But it just started' Oh!\Wait just a minute ok?\Hey Sakura!\Card created by Clow.\Listen to my words and be reborn!\I, Sakura command you.\Glow!\What's this? response:	Pretty!
context: Wait just a minute ok?\Hey Sakura!\Card created by Clow.\Listen to my words and be reborn!\I, Sakura command you.\Glow!\What's this?\Pretty! response:	They're not fireflies are they?
context: Hey Sakura!\Card created by Clow.\Listen to my words and be reborn!\I, Sakura command you.\Glow!\What's this?\Pretty!\They're not fireflies are they? response:	It's beautiful isn't it?
context: Card created by Clow.\Listen to my words and be reborn!\I, Sakura command you.\Glow!\What's this?\Pretty!\They're not fireflies are they?\It's beautiful isn't it? response:	Sakura probably.
context: Listen to my words and be reborn!\I, Sakura command you.\Glow!\What's this?\Pretty!\They're not fireflies are they?\It's beautiful isn't it?\Sakura probably. response:	Sakura isn't it?
context: I, Sakura command you.\Glow!\What's this?\Pretty!\They're not fireflies are they?\It's beautiful isn't it?\Sakura probably.\Sakura isn't it? response:	The Glow card.
context: Glow!\What's this?\Pretty!\They're not fireflies are they?\It's beautiful isn't it?\Sakura probably.\Sakura isn't it?\The Glow card. response:	Li-kun?
