context: The rain that has been falling response:	in Tomoeda since last night.
context: That's what I thought. The question becomes,\who is this' someone.\In the meantime,\the aura I felt yesterday.\I wanted to confirm it was his.\His'\That guy both you and I know so well'\Thanks for waiting. response:	' What's the matter!?' You got me!
context: who is this' someone.\In the meantime,\the aura I felt yesterday.\I wanted to confirm it was his.\His'\That guy both you and I know so well'\Thanks for waiting.\' What's the matter!?' You got me! response:	You transformerd'
context: In the meantime,\the aura I felt yesterday.\I wanted to confirm it was his.\His'\That guy both you and I know so well'\Thanks for waiting.\' What's the matter!?' You got me!\You transformerd' response:	Just get used to it.
context: the aura I felt yesterday.\I wanted to confirm it was his.\His'\That guy both you and I know so well'\Thanks for waiting.\' What's the matter!?' You got me!\You transformerd'\Just get used to it. response:	Kero,
context: I wanted to confirm it was his.\His'\That guy both you and I know so well'\Thanks for waiting.\' What's the matter!?' You got me!\You transformerd'\Just get used to it.\Kero, response:	I don't know what's going to happen.
context: His'\That guy both you and I know so well'\Thanks for waiting.\' What's the matter!?' You got me!\You transformerd'\Just get used to it.\Kero,\I don't know what's going to happen. response:	I'll leave Tomoyo to you, ok?
context: That guy both you and I know so well'\Thanks for waiting.\' What's the matter!?' You got me!\You transformerd'\Just get used to it.\Kero,\I don't know what's going to happen.\I'll leave Tomoyo to you, ok? response:	Please be careful.
context: Thanks for waiting.\' What's the matter!?' You got me!\You transformerd'\Just get used to it.\Kero,\I don't know what's going to happen.\I'll leave Tomoyo to you, ok?\Please be careful. response:	' What??' No, nothing' Hmmm,
context: ' What's the matter!?' You got me!\You transformerd'\Just get used to it.\Kero,\I don't know what's going to happen.\I'll leave Tomoyo to you, ok?\Please be careful.\' What??' No, nothing' Hmmm, response:	Yukito doesn't know about you at all, right?
context: You transformerd'\Just get used to it.\Kero,\I don't know what's going to happen.\I'll leave Tomoyo to you, ok?\Please be careful.\' What??' No, nothing' Hmmm,\Yukito doesn't know about you at all, right? response:	Right. Then what about when you are him?
context: Just get used to it.\Kero,\I don't know what's going to happen.\I'll leave Tomoyo to you, ok?\Please be careful.\' What??' No, nothing' Hmmm,\Yukito doesn't know about you at all, right?\Right. Then what about when you are him? response:	' I remember everything.' I' I see'
context: Kero,\I don't know what's going to happen.\I'll leave Tomoyo to you, ok?\Please be careful.\' What??' No, nothing' Hmmm,\Yukito doesn't know about you at all, right?\Right. Then what about when you are him?\' I remember everything.' I' I see' response:	This is making me so nervous'
context: I don't know what's going to happen.\I'll leave Tomoyo to you, ok?\Please be careful.\' What??' No, nothing' Hmmm,\Yukito doesn't know about you at all, right?\Right. Then what about when you are him?\' I remember everything.' I' I see'\This is making me so nervous' response:	In the end,
context: I'll leave Tomoyo to you, ok?\Please be careful.\' What??' No, nothing' Hmmm,\Yukito doesn't know about you at all, right?\Right. Then what about when you are him?\' I remember everything.' I' I see'\This is making me so nervous'\In the end, response:	I still can't imagine that
context: Please be careful.\' What??' No, nothing' Hmmm,\Yukito doesn't know about you at all, right?\Right. Then what about when you are him?\' I remember everything.' I' I see'\This is making me so nervous'\In the end,\I still can't imagine that response:	Yukito and Yue are the same person.
context: ' What??' No, nothing' Hmmm,\Yukito doesn't know about you at all, right?\Right. Then what about when you are him?\' I remember everything.' I' I see'\This is making me so nervous'\In the end,\I still can't imagine that\Yukito and Yue are the same person. response:	Yue is handsome,
context: Yukito doesn't know about you at all, right?\Right. Then what about when you are him?\' I remember everything.' I' I see'\This is making me so nervous'\In the end,\I still can't imagine that\Yukito and Yue are the same person.\Yue is handsome, response:	but Yukito'
context: Right. Then what about when you are him?\' I remember everything.' I' I see'\This is making me so nervous'\In the end,\I still can't imagine that\Yukito and Yue are the same person.\Yue is handsome,\but Yukito' response:	Sakura!!
context: ' I remember everything.' I' I see'\This is making me so nervous'\In the end,\I still can't imagine that\Yukito and Yue are the same person.\Yue is handsome,\but Yukito'\Sakura!! response:	Sakura!
context: This is making me so nervous'\In the end,\I still can't imagine that\Yukito and Yue are the same person.\Yue is handsome,\but Yukito'\Sakura!!\Sakura! response:	Yue!
context: In the end,\I still can't imagine that\Yukito and Yue are the same person.\Yue is handsome,\but Yukito'\Sakura!!\Sakura!\Yue! response:	O Key which hides the forces of darkness,
context: I still can't imagine that\Yukito and Yue are the same person.\Yue is handsome,\but Yukito'\Sakura!!\Sakura!\Yue!\O Key which hides the forces of darkness, response:	reveal thy true form before me.
context: Yukito and Yue are the same person.\Yue is handsome,\but Yukito'\Sakura!!\Sakura!\Yue!\O Key which hides the forces of darkness,\reveal thy true form before me. response:	I, Sakura, command thee under contract.
context: Yue is handsome,\but Yukito'\Sakura!!\Sakura!\Yue!\O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract. response:	Release!
context: but Yukito'\Sakura!!\Sakura!\Yue!\O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release! response:	Release! No! It doesn't work after all!
context: Sakura!!\Sakura!\Yue!\O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Release! No! It doesn't work after all! response:	Able to overpower me and Yue,
context: Sakura!\Yue!\O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Release! No! It doesn't work after all!\Able to overpower me and Yue, response:	that means it must be'
context: Yue!\O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Release! No! It doesn't work after all!\Able to overpower me and Yue,\that means it must be' response:	Sakura!
context: O Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Release! No! It doesn't work after all!\Able to overpower me and Yue,\that means it must be'\Sakura! response:	Kero!
context: reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Release! No! It doesn't work after all!\Able to overpower me and Yue,\that means it must be'\Sakura!\Kero! response:	I can't move!
context: I, Sakura, command thee under contract.\Release!\Release! No! It doesn't work after all!\Able to overpower me and Yue,\that means it must be'\Sakura!\Kero!\I can't move! response:	Kero'
context: Release!\Release! No! It doesn't work after all!\Able to overpower me and Yue,\that means it must be'\Sakura!\Kero!\I can't move!\Kero' response:	Sakura! Run!
context: Release! No! It doesn't work after all!\Able to overpower me and Yue,\that means it must be'\Sakura!\Kero!\I can't move!\Kero'\Sakura! Run! response:	Sakura!
context: Able to overpower me and Yue,\that means it must be'\Sakura!\Kero!\I can't move!\Kero'\Sakura! Run!\Sakura! response:	Sakura'
context: that means it must be'\Sakura!\Kero!\I can't move!\Kero'\Sakura! Run!\Sakura!\Sakura' response:	This power'
context: Sakura!\Kero!\I can't move!\Kero'\Sakura! Run!\Sakura!\Sakura'\This power' response:	I can't breathe'
context: Kero!\I can't move!\Kero'\Sakura! Run!\Sakura!\Sakura'\This power'\I can't breathe' response:	Tomoyo! Kero! Yue!
context: I can't move!\Kero'\Sakura! Run!\Sakura!\Sakura'\This power'\I can't breathe'\Tomoyo! Kero! Yue! response:	This feels terrible!
context: Kero'\Sakura! Run!\Sakura!\Sakura'\This power'\I can't breathe'\Tomoyo! Kero! Yue!\This feels terrible! response:	At this rate,
context: Sakura! Run!\Sakura!\Sakura'\This power'\I can't breathe'\Tomoyo! Kero! Yue!\This feels terrible!\At this rate, response:	I'll' Everyone will'
context: Sakura!\Sakura'\This power'\I can't breathe'\Tomoyo! Kero! Yue!\This feels terrible!\At this rate,\I'll' Everyone will' response:	No!
context: Sakura'\This power'\I can't breathe'\Tomoyo! Kero! Yue!\This feels terrible!\At this rate,\I'll' Everyone will'\No! response:	This can't happen'
context: This power'\I can't breathe'\Tomoyo! Kero! Yue!\This feels terrible!\At this rate,\I'll' Everyone will'\No!\This can't happen' response:	I can't' let this happen!
context: I can't breathe'\Tomoyo! Kero! Yue!\This feels terrible!\At this rate,\I'll' Everyone will'\No!\This can't happen'\I can't' let this happen! response:	that magical formation'
context: Tomoyo! Kero! Yue!\This feels terrible!\At this rate,\I'll' Everyone will'\No!\This can't happen'\I can't' let this happen!\that magical formation' response:	It's not the one Crow created.
context: This feels terrible!\At this rate,\I'll' Everyone will'\No!\This can't happen'\I can't' let this happen!\that magical formation'\It's not the one Crow created. response:	That wand'
context: At this rate,\I'll' Everyone will'\No!\This can't happen'\I can't' let this happen!\that magical formation'\It's not the one Crow created.\That wand' response:	That wand holds a new power.
context: I'll' Everyone will'\No!\This can't happen'\I can't' let this happen!\that magical formation'\It's not the one Crow created.\That wand'\That wand holds a new power. response:	Neither the Sun or the Moon,
context: No!\This can't happen'\I can't' let this happen!\that magical formation'\It's not the one Crow created.\That wand'\That wand holds a new power.\Neither the Sun or the Moon, response:	it is your mere power of the Stars.
context: This can't happen'\I can't' let this happen!\that magical formation'\It's not the one Crow created.\That wand'\That wand holds a new power.\Neither the Sun or the Moon,\it is your mere power of the Stars. response:	Power of the Stars'
context: I can't' let this happen!\that magical formation'\It's not the one Crow created.\That wand'\That wand holds a new power.\Neither the Sun or the Moon,\it is your mere power of the Stars.\Power of the Stars' response:	O Key which hides the power of the stars,
context: that magical formation'\It's not the one Crow created.\That wand'\That wand holds a new power.\Neither the Sun or the Moon,\it is your mere power of the Stars.\Power of the Stars'\O Key which hides the power of the stars, response:	reveal thy true form before me.
context: It's not the one Crow created.\That wand'\That wand holds a new power.\Neither the Sun or the Moon,\it is your mere power of the Stars.\Power of the Stars'\O Key which hides the power of the stars,\reveal thy true form before me. response:	I, Sakura, command thee under contract.
context: That wand'\That wand holds a new power.\Neither the Sun or the Moon,\it is your mere power of the Stars.\Power of the Stars'\O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract. response:	Release!
context: That wand holds a new power.\Neither the Sun or the Moon,\it is your mere power of the Stars.\Power of the Stars'\O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release! response:	Firey!
context: Neither the Sun or the Moon,\it is your mere power of the Stars.\Power of the Stars'\O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Firey! response:	Why?
context: it is your mere power of the Stars.\Power of the Stars'\O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Firey!\Why? response:	The Key transformed into the wand,
context: Power of the Stars'\O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Firey!\Why?\The Key transformed into the wand, response:	but why doesn't it work on the card?
context: O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Firey!\Why?\The Key transformed into the wand,\but why doesn't it work on the card? response:	What should I do'
context: reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Firey!\Why?\The Key transformed into the wand,\but why doesn't it work on the card?\What should I do' response:	How do I save everyone'?
context: I, Sakura, command thee under contract.\Release!\Firey!\Why?\The Key transformed into the wand,\but why doesn't it work on the card?\What should I do'\How do I save everyone'? response:	A new wand.
context: Release!\Firey!\Why?\The Key transformed into the wand,\but why doesn't it work on the card?\What should I do'\How do I save everyone'?\A new wand. response:	If this is a new wand,
context: Firey!\Why?\The Key transformed into the wand,\but why doesn't it work on the card?\What should I do'\How do I save everyone'?\A new wand.\If this is a new wand, response:	maybe the cards too'
context: Why?\The Key transformed into the wand,\but why doesn't it work on the card?\What should I do'\How do I save everyone'?\A new wand.\If this is a new wand,\maybe the cards too' response:	Card, I beg of you,
context: The Key transformed into the wand,\but why doesn't it work on the card?\What should I do'\How do I save everyone'?\A new wand.\If this is a new wand,\maybe the cards too'\Card, I beg of you, response:	lend me your power!
context: but why doesn't it work on the card?\What should I do'\How do I save everyone'?\A new wand.\If this is a new wand,\maybe the cards too'\Card, I beg of you,\lend me your power! response:	O Card created by Clow,
context: What should I do'\How do I save everyone'?\A new wand.\If this is a new wand,\maybe the cards too'\Card, I beg of you,\lend me your power!\O Card created by Clow, response:	discard thine old form and be reborn.
context: How do I save everyone'?\A new wand.\If this is a new wand,\maybe the cards too'\Card, I beg of you,\lend me your power!\O Card created by Clow,\discard thine old form and be reborn. response:	Under the name of Sakura,
context: A new wand.\If this is a new wand,\maybe the cards too'\Card, I beg of you,\lend me your power!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, response:	thy new Mistress
context: If this is a new wand,\maybe the cards too'\Card, I beg of you,\lend me your power!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura,\thy new Mistress response:	Firey!
context: maybe the cards too'\Card, I beg of you,\lend me your power!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura,\thy new Mistress\Firey! response:	The Spells changed.
context: Card, I beg of you,\lend me your power!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura,\thy new Mistress\Firey!\The Spells changed. response:	Because the wand holds the power of the stars,
context: lend me your power!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura,\thy new Mistress\Firey!\The Spells changed.\Because the wand holds the power of the stars, response:	it wouldn't work unless I changed the wording of the spell to'star'.
context: O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura,\thy new Mistress\Firey!\The Spells changed.\Because the wand holds the power of the stars,\it wouldn't work unless I changed the wording of the spell to'star'. response:	And besides, the card'
context: discard thine old form and be reborn.\Under the name of Sakura,\thy new Mistress\Firey!\The Spells changed.\Because the wand holds the power of the stars,\it wouldn't work unless I changed the wording of the spell to'star'.\And besides, the card' response:	'has changed as well'
context: Under the name of Sakura,\thy new Mistress\Firey!\The Spells changed.\Because the wand holds the power of the stars,\it wouldn't work unless I changed the wording of the spell to'star'.\And besides, the card'\'has changed as well' response:	O Key which hides the power of the stars,
context: thy new Mistress\Firey!\The Spells changed.\Because the wand holds the power of the stars,\it wouldn't work unless I changed the wording of the spell to'star'.\And besides, the card'\'has changed as well'\O Key which hides the power of the stars, response:	reveal thy true form before me.
context: Firey!\The Spells changed.\Because the wand holds the power of the stars,\it wouldn't work unless I changed the wording of the spell to'star'.\And besides, the card'\'has changed as well'\O Key which hides the power of the stars,\reveal thy true form before me. response:	O Card created by Clow,
context: The Spells changed.\Because the wand holds the power of the stars,\it wouldn't work unless I changed the wording of the spell to'star'.\And besides, the card'\'has changed as well'\O Key which hides the power of the stars,\reveal thy true form before me.\O Card created by Clow, response:	discard thine old form and be reborn.
context: Because the wand holds the power of the stars,\it wouldn't work unless I changed the wording of the spell to'star'.\And besides, the card'\'has changed as well'\O Key which hides the power of the stars,\reveal thy true form before me.\O Card created by Clow,\discard thine old form and be reborn. response:	Under the name of Sakura,
context: it wouldn't work unless I changed the wording of the spell to'star'.\And besides, the card'\'has changed as well'\O Key which hides the power of the stars,\reveal thy true form before me.\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, response:	thy new Mistress.
context: And besides, the card'\'has changed as well'\O Key which hides the power of the stars,\reveal thy true form before me.\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura,\thy new Mistress. response:	' Sakura.' Are you okay?
context: 'has changed as well'\O Key which hides the power of the stars,\reveal thy true form before me.\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura,\thy new Mistress.\' Sakura.' Are you okay? response:	I'm ok, oh, you know, the card'
context: O Key which hides the power of the stars,\reveal thy true form before me.\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura,\thy new Mistress.\' Sakura.' Are you okay?\I'm ok, oh, you know, the card' response:	Sakura.
context: reveal thy true form before me.\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura,\thy new Mistress.\' Sakura.' Are you okay?\I'm ok, oh, you know, the card'\Sakura. response:	' How is she?' Is she hurt?
context: O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura,\thy new Mistress.\' Sakura.' Are you okay?\I'm ok, oh, you know, the card'\Sakura.\' How is she?' Is she hurt? response:	Asleep.
context: discard thine old form and be reborn.\Under the name of Sakura,\thy new Mistress.\' Sakura.' Are you okay?\I'm ok, oh, you know, the card'\Sakura.\' How is she?' Is she hurt?\Asleep. response:	Is something wrong, Yue?
context: Under the name of Sakura,\thy new Mistress.\' Sakura.' Are you okay?\I'm ok, oh, you know, the card'\Sakura.\' How is she?' Is she hurt?\Asleep.\Is something wrong, Yue? response:	No.
context: thy new Mistress.\' Sakura.' Are you okay?\I'm ok, oh, you know, the card'\Sakura.\' How is she?' Is she hurt?\Asleep.\Is something wrong, Yue?\No. response:	Not bad.
context: ' Sakura.' Are you okay?\I'm ok, oh, you know, the card'\Sakura.\' How is she?' Is she hurt?\Asleep.\Is something wrong, Yue?\No.\Not bad. response:	To be able to create a new card
context: I'm ok, oh, you know, the card'\Sakura.\' How is she?' Is she hurt?\Asleep.\Is something wrong, Yue?\No.\Not bad.\To be able to create a new card response:	from a Clow Card
context: Sakura.\' How is she?' Is she hurt?\Asleep.\Is something wrong, Yue?\No.\Not bad.\To be able to create a new card\from a Clow Card response:	That's impressive.
