context: Plastic Surgery Yu Otosaka, 15 yr old male attending doctor: Dr. Koike response:	It hurts...
context: How is it?\It's tasty! I feel like I got a bit more energy now.\I'm so glad!\I can never show Takajo a scene like this...\Misa, you there?\What do you want from a dead person?\Hey, where do people go once they die?\Who knows? I'm still here. response:	My existence is like a balloon that Yusa is holding.
context: It's tasty! I feel like I got a bit more energy now.\I'm so glad!\I can never show Takajo a scene like this...\Misa, you there?\What do you want from a dead person?\Hey, where do people go once they die?\Who knows? I'm still here.\My existence is like a balloon that Yusa is holding. response:	When Yusa's ability is gone, the balloon will easily fly off somewhere.
context: I'm so glad!\I can never show Takajo a scene like this...\Misa, you there?\What do you want from a dead person?\Hey, where do people go once they die?\Who knows? I'm still here.\My existence is like a balloon that Yusa is holding.\When Yusa's ability is gone, the balloon will easily fly off somewhere. response:	I see.
context: I can never show Takajo a scene like this...\Misa, you there?\What do you want from a dead person?\Hey, where do people go once they die?\Who knows? I'm still here.\My existence is like a balloon that Yusa is holding.\When Yusa's ability is gone, the balloon will easily fly off somewhere.\I see. response:	Then, shouldn't you go visit the people you care about while you can?
context: Misa, you there?\What do you want from a dead person?\Hey, where do people go once they die?\Who knows? I'm still here.\My existence is like a balloon that Yusa is holding.\When Yusa's ability is gone, the balloon will easily fly off somewhere.\I see.\Then, shouldn't you go visit the people you care about while you can? response:	What's this all of a sudden?
context: What do you want from a dead person?\Hey, where do people go once they die?\Who knows? I'm still here.\My existence is like a balloon that Yusa is holding.\When Yusa's ability is gone, the balloon will easily fly off somewhere.\I see.\Then, shouldn't you go visit the people you care about while you can?\What's this all of a sudden? response:	I experienced something that put me near death.
context: Hey, where do people go once they die?\Who knows? I'm still here.\My existence is like a balloon that Yusa is holding.\When Yusa's ability is gone, the balloon will easily fly off somewhere.\I see.\Then, shouldn't you go visit the people you care about while you can?\What's this all of a sudden?\I experienced something that put me near death. response:	You can be gone at any point in time.
context: Who knows? I'm still here.\My existence is like a balloon that Yusa is holding.\When Yusa's ability is gone, the balloon will easily fly off somewhere.\I see.\Then, shouldn't you go visit the people you care about while you can?\What's this all of a sudden?\I experienced something that put me near death.\You can be gone at any point in time. response:	You should go visit them while you still can.
context: My existence is like a balloon that Yusa is holding.\When Yusa's ability is gone, the balloon will easily fly off somewhere.\I see.\Then, shouldn't you go visit the people you care about while you can?\What's this all of a sudden?\I experienced something that put me near death.\You can be gone at any point in time.\You should go visit them while you still can. response:	That's understandable as I have already died once, but...
context: When Yusa's ability is gone, the balloon will easily fly off somewhere.\I see.\Then, shouldn't you go visit the people you care about while you can?\What's this all of a sudden?\I experienced something that put me near death.\You can be gone at any point in time.\You should go visit them while you still can.\That's understandable as I have already died once, but... response:	Come to think, I used to eat that a lot.
context: I see.\Then, shouldn't you go visit the people you care about while you can?\What's this all of a sudden?\I experienced something that put me near death.\You can be gone at any point in time.\You should go visit them while you still can.\That's understandable as I have already died once, but...\Come to think, I used to eat that a lot. response:	It used to be our mom's best dish, but Yusa copied her and made it often.
context: Then, shouldn't you go visit the people you care about while you can?\What's this all of a sudden?\I experienced something that put me near death.\You can be gone at any point in time.\You should go visit them while you still can.\That's understandable as I have already died once, but...\Come to think, I used to eat that a lot.\It used to be our mom's best dish, but Yusa copied her and made it often. response:	That's just like my family.
context: What's this all of a sudden?\I experienced something that put me near death.\You can be gone at any point in time.\You should go visit them while you still can.\That's understandable as I have already died once, but...\Come to think, I used to eat that a lot.\It used to be our mom's best dish, but Yusa copied her and made it often.\That's just like my family. response:	Unlike Yusa, I made my parents unhappy.
context: I experienced something that put me near death.\You can be gone at any point in time.\You should go visit them while you still can.\That's understandable as I have already died once, but...\Come to think, I used to eat that a lot.\It used to be our mom's best dish, but Yusa copied her and made it often.\That's just like my family.\Unlike Yusa, I made my parents unhappy. response:	Though, you could say dying was the worst way to be a bad daughter...
context: You can be gone at any point in time.\You should go visit them while you still can.\That's understandable as I have already died once, but...\Come to think, I used to eat that a lot.\It used to be our mom's best dish, but Yusa copied her and made it often.\That's just like my family.\Unlike Yusa, I made my parents unhappy.\Though, you could say dying was the worst way to be a bad daughter... response:	Then, go see your parents before that ability is gone.
context: You should go visit them while you still can.\That's understandable as I have already died once, but...\Come to think, I used to eat that a lot.\It used to be our mom's best dish, but Yusa copied her and made it often.\That's just like my family.\Unlike Yusa, I made my parents unhappy.\Though, you could say dying was the worst way to be a bad daughter...\Then, go see your parents before that ability is gone. response:	I'll take that suggestion into consideration.
context: That's understandable as I have already died once, but...\Come to think, I used to eat that a lot.\It used to be our mom's best dish, but Yusa copied her and made it often.\That's just like my family.\Unlike Yusa, I made my parents unhappy.\Though, you could say dying was the worst way to be a bad daughter...\Then, go see your parents before that ability is gone.\I'll take that suggestion into consideration. response:	Was I asleep again?
context: Come to think, I used to eat that a lot.\It used to be our mom's best dish, but Yusa copied her and made it often.\That's just like my family.\Unlike Yusa, I made my parents unhappy.\Though, you could say dying was the worst way to be a bad daughter...\Then, go see your parents before that ability is gone.\I'll take that suggestion into consideration.\Was I asleep again? response:	No, it's fine.
context: It used to be our mom's best dish, but Yusa copied her and made it often.\That's just like my family.\Unlike Yusa, I made my parents unhappy.\Though, you could say dying was the worst way to be a bad daughter...\Then, go see your parents before that ability is gone.\I'll take that suggestion into consideration.\Was I asleep again?\No, it's fine. response:	I have a question. What do your parents do?
context: That's just like my family.\Unlike Yusa, I made my parents unhappy.\Though, you could say dying was the worst way to be a bad daughter...\Then, go see your parents before that ability is gone.\I'll take that suggestion into consideration.\Was I asleep again?\No, it's fine.\I have a question. What do your parents do? response:	Oh, yes, they make soba noodles deep in the mountains in Nagano and serve them.
context: Unlike Yusa, I made my parents unhappy.\Though, you could say dying was the worst way to be a bad daughter...\Then, go see your parents before that ability is gone.\I'll take that suggestion into consideration.\Was I asleep again?\No, it's fine.\I have a question. What do your parents do?\Oh, yes, they make soba noodles deep in the mountains in Nagano and serve them. response:	I see. Then, I suggest you go visit them sometime soon.
context: Though, you could say dying was the worst way to be a bad daughter...\Then, go see your parents before that ability is gone.\I'll take that suggestion into consideration.\Was I asleep again?\No, it's fine.\I have a question. What do your parents do?\Oh, yes, they make soba noodles deep in the mountains in Nagano and serve them.\I see. Then, I suggest you go visit them sometime soon. response:	Huh?
context: Then, go see your parents before that ability is gone.\I'll take that suggestion into consideration.\Was I asleep again?\No, it's fine.\I have a question. What do your parents do?\Oh, yes, they make soba noodles deep in the mountains in Nagano and serve them.\I see. Then, I suggest you go visit them sometime soon.\Huh? response:	No, you don't have any time left! You should go immediately!
context: I'll take that suggestion into consideration.\Was I asleep again?\No, it's fine.\I have a question. What do your parents do?\Oh, yes, they make soba noodles deep in the mountains in Nagano and serve them.\I see. Then, I suggest you go visit them sometime soon.\Huh?\No, you don't have any time left! You should go immediately! response:	S-Sure! I'll talk it out with my manager!
context: Was I asleep again?\No, it's fine.\I have a question. What do your parents do?\Oh, yes, they make soba noodles deep in the mountains in Nagano and serve them.\I see. Then, I suggest you go visit them sometime soon.\Huh?\No, you don't have any time left! You should go immediately!\S-Sure! I'll talk it out with my manager! response:	This indeed requires a bit of getting used to.
context: No, it's fine.\I have a question. What do your parents do?\Oh, yes, they make soba noodles deep in the mountains in Nagano and serve them.\I see. Then, I suggest you go visit them sometime soon.\Huh?\No, you don't have any time left! You should go immediately!\S-Sure! I'll talk it out with my manager!\This indeed requires a bit of getting used to. response:	South 503 Nao Tomori
context: I have a question. What do your parents do?\Oh, yes, they make soba noodles deep in the mountains in Nagano and serve them.\I see. Then, I suggest you go visit them sometime soon.\Huh?\No, you don't have any time left! You should go immediately!\S-Sure! I'll talk it out with my manager!\This indeed requires a bit of getting used to.\South 503 Nao Tomori response:	Fairly Close to Last Supper, Fair Supper for short!
context: Oh, yes, they make soba noodles deep in the mountains in Nagano and serve them.\I see. Then, I suggest you go visit them sometime soon.\Huh?\No, you don't have any time left! You should go immediately!\S-Sure! I'll talk it out with my manager!\This indeed requires a bit of getting used to.\South 503 Nao Tomori\Fairly Close to Last Supper, Fair Supper for short! response:	This is a show where celebrities introduce viewers to their favorite gourmet food.
context: I see. Then, I suggest you go visit them sometime soon.\Huh?\No, you don't have any time left! You should go immediately!\S-Sure! I'll talk it out with my manager!\This indeed requires a bit of getting used to.\South 503 Nao Tomori\Fairly Close to Last Supper, Fair Supper for short!\This is a show where celebrities introduce viewers to their favorite gourmet food. response:	She had a show like this that she made regular appearances in?
context: Huh?\No, you don't have any time left! You should go immediately!\S-Sure! I'll talk it out with my manager!\This indeed requires a bit of getting used to.\South 503 Nao Tomori\Fairly Close to Last Supper, Fair Supper for short!\This is a show where celebrities introduce viewers to their favorite gourmet food.\She had a show like this that she made regular appearances in? response:	Which wouldn't be their last supper, but a supper fairly close to it!
context: No, you don't have any time left! You should go immediately!\S-Sure! I'll talk it out with my manager!\This indeed requires a bit of getting used to.\South 503 Nao Tomori\Fairly Close to Last Supper, Fair Supper for short!\This is a show where celebrities introduce viewers to their favorite gourmet food.\She had a show like this that she made regular appearances in?\Which wouldn't be their last supper, but a supper fairly close to it! response:	Today, surprisingly enough, I'll be introducing the Fair Supper for me, Yusarin!
context: S-Sure! I'll talk it out with my manager!\This indeed requires a bit of getting used to.\South 503 Nao Tomori\Fairly Close to Last Supper, Fair Supper for short!\This is a show where celebrities introduce viewers to their favorite gourmet food.\She had a show like this that she made regular appearances in?\Which wouldn't be their last supper, but a supper fairly close to it!\Today, surprisingly enough, I'll be introducing the Fair Supper for me, Yusarin! response:	The restaurant is over there!
context: This indeed requires a bit of getting used to.\South 503 Nao Tomori\Fairly Close to Last Supper, Fair Supper for short!\This is a show where celebrities introduce viewers to their favorite gourmet food.\She had a show like this that she made regular appearances in?\Which wouldn't be their last supper, but a supper fairly close to it!\Today, surprisingly enough, I'll be introducing the Fair Supper for me, Yusarin!\The restaurant is over there! response:	Actually, this is a soba restaurant that Yusarin's parents run.
context: South 503 Nao Tomori\Fairly Close to Last Supper, Fair Supper for short!\This is a show where celebrities introduce viewers to their favorite gourmet food.\She had a show like this that she made regular appearances in?\Which wouldn't be their last supper, but a supper fairly close to it!\Today, surprisingly enough, I'll be introducing the Fair Supper for me, Yusarin!\The restaurant is over there!\Actually, this is a soba restaurant that Yusarin's parents run. response:	She used her work to go see her parents, huh... Pretty good.
context: Fairly Close to Last Supper, Fair Supper for short!\This is a show where celebrities introduce viewers to their favorite gourmet food.\She had a show like this that she made regular appearances in?\Which wouldn't be their last supper, but a supper fairly close to it!\Today, surprisingly enough, I'll be introducing the Fair Supper for me, Yusarin!\The restaurant is over there!\Actually, this is a soba restaurant that Yusarin's parents run.\She used her work to go see her parents, huh... Pretty good. response:	This is the first time Yusarin has seen her folks in a while, and she seems very happy about it.
context: This is a show where celebrities introduce viewers to their favorite gourmet food.\She had a show like this that she made regular appearances in?\Which wouldn't be their last supper, but a supper fairly close to it!\Today, surprisingly enough, I'll be introducing the Fair Supper for me, Yusarin!\The restaurant is over there!\Actually, this is a soba restaurant that Yusarin's parents run.\She used her work to go see her parents, huh... Pretty good.\This is the first time Yusarin has seen her folks in a while, and she seems very happy about it. response:	This is the hand-made soba and wild greens tempura set meal!
context: She had a show like this that she made regular appearances in?\Which wouldn't be their last supper, but a supper fairly close to it!\Today, surprisingly enough, I'll be introducing the Fair Supper for me, Yusarin!\The restaurant is over there!\Actually, this is a soba restaurant that Yusarin's parents run.\She used her work to go see her parents, huh... Pretty good.\This is the first time Yusarin has seen her folks in a while, and she seems very happy about it.\This is the hand-made soba and wild greens tempura set meal! response:	First, I'll have some of the soba!
context: Which wouldn't be their last supper, but a supper fairly close to it!\Today, surprisingly enough, I'll be introducing the Fair Supper for me, Yusarin!\The restaurant is over there!\Actually, this is a soba restaurant that Yusarin's parents run.\She used her work to go see her parents, huh... Pretty good.\This is the first time Yusarin has seen her folks in a while, and she seems very happy about it.\This is the hand-made soba and wild greens tempura set meal!\First, I'll have some of the soba! response:	Dunking it into the dipping sauce with lots of condiments!
context: Today, surprisingly enough, I'll be introducing the Fair Supper for me, Yusarin!\The restaurant is over there!\Actually, this is a soba restaurant that Yusarin's parents run.\She used her work to go see her parents, huh... Pretty good.\This is the first time Yusarin has seen her folks in a while, and she seems very happy about it.\This is the hand-made soba and wild greens tempura set meal!\First, I'll have some of the soba!\Dunking it into the dipping sauce with lots of condiments! response:	So tasty!
context: The restaurant is over there!\Actually, this is a soba restaurant that Yusarin's parents run.\She used her work to go see her parents, huh... Pretty good.\This is the first time Yusarin has seen her folks in a while, and she seems very happy about it.\This is the hand-made soba and wild greens tempura set meal!\First, I'll have some of the soba!\Dunking it into the dipping sauce with lots of condiments!\So tasty! response:	Next up, I'll have some mugwort tempura!
context: Actually, this is a soba restaurant that Yusarin's parents run.\She used her work to go see her parents, huh... Pretty good.\This is the first time Yusarin has seen her folks in a while, and she seems very happy about it.\This is the hand-made soba and wild greens tempura set meal!\First, I'll have some of the soba!\Dunking it into the dipping sauce with lots of condiments!\So tasty!\Next up, I'll have some mugwort tempura! response:	This is tasty too!
context: She used her work to go see her parents, huh... Pretty good.\This is the first time Yusarin has seen her folks in a while, and she seems very happy about it.\This is the hand-made soba and wild greens tempura set meal!\First, I'll have some of the soba!\Dunking it into the dipping sauce with lots of condiments!\So tasty!\Next up, I'll have some mugwort tempura!\This is tasty too! response:	With such a lack of vocabulary, I'm surprised you managed to become a food show host.
context: This is the first time Yusarin has seen her folks in a while, and she seems very happy about it.\This is the hand-made soba and wild greens tempura set meal!\First, I'll have some of the soba!\Dunking it into the dipping sauce with lots of condiments!\So tasty!\Next up, I'll have some mugwort tempura!\This is tasty too!\With such a lack of vocabulary, I'm surprised you managed to become a food show host. response:	But, to be honest, it tastes very ordinary.
context: This is the hand-made soba and wild greens tempura set meal!\First, I'll have some of the soba!\Dunking it into the dipping sauce with lots of condiments!\So tasty!\Next up, I'll have some mugwort tempura!\This is tasty too!\With such a lack of vocabulary, I'm surprised you managed to become a food show host.\But, to be honest, it tastes very ordinary. response:	So ordinary that you can buy something similar to eat at a convenience store.
context: First, I'll have some of the soba!\Dunking it into the dipping sauce with lots of condiments!\So tasty!\Next up, I'll have some mugwort tempura!\This is tasty too!\With such a lack of vocabulary, I'm surprised you managed to become a food show host.\But, to be honest, it tastes very ordinary.\So ordinary that you can buy something similar to eat at a convenience store. response:	Misa?
context: Dunking it into the dipping sauce with lots of condiments!\So tasty!\Next up, I'll have some mugwort tempura!\This is tasty too!\With such a lack of vocabulary, I'm surprised you managed to become a food show host.\But, to be honest, it tastes very ordinary.\So ordinary that you can buy something similar to eat at a convenience store.\Misa? response:	What are you suddenly saying?
context: So tasty!\Next up, I'll have some mugwort tempura!\This is tasty too!\With such a lack of vocabulary, I'm surprised you managed to become a food show host.\But, to be honest, it tastes very ordinary.\So ordinary that you can buy something similar to eat at a convenience store.\Misa?\What are you suddenly saying? response:	However, the love of my parents.
context: Next up, I'll have some mugwort tempura!\This is tasty too!\With such a lack of vocabulary, I'm surprised you managed to become a food show host.\But, to be honest, it tastes very ordinary.\So ordinary that you can buy something similar to eat at a convenience store.\Misa?\What are you suddenly saying?\However, the love of my parents. response:	That is the secret ingredient to make this an exquisite meal.
context: This is tasty too!\With such a lack of vocabulary, I'm surprised you managed to become a food show host.\But, to be honest, it tastes very ordinary.\So ordinary that you can buy something similar to eat at a convenience store.\Misa?\What are you suddenly saying?\However, the love of my parents.\That is the secret ingredient to make this an exquisite meal. response:	That is why it is this tasty. It is very delicious.
context: With such a lack of vocabulary, I'm surprised you managed to become a food show host.\But, to be honest, it tastes very ordinary.\So ordinary that you can buy something similar to eat at a convenience store.\Misa?\What are you suddenly saying?\However, the love of my parents.\That is the secret ingredient to make this an exquisite meal.\That is why it is this tasty. It is very delicious. response:	Thank you for this meal.
context: But, to be honest, it tastes very ordinary.\So ordinary that you can buy something similar to eat at a convenience store.\Misa?\What are you suddenly saying?\However, the love of my parents.\That is the secret ingredient to make this an exquisite meal.\That is why it is this tasty. It is very delicious.\Thank you for this meal. response:	I'm sorry.
context: So ordinary that you can buy something similar to eat at a convenience store.\Misa?\What are you suddenly saying?\However, the love of my parents.\That is the secret ingredient to make this an exquisite meal.\That is why it is this tasty. It is very delicious.\Thank you for this meal.\I'm sorry. response:	You just reminded me of Misa just now.
context: Misa?\What are you suddenly saying?\However, the love of my parents.\That is the secret ingredient to make this an exquisite meal.\That is why it is this tasty. It is very delicious.\Thank you for this meal.\I'm sorry.\You just reminded me of Misa just now. response:	Yeah, she was a delinquent with a bad mouth.
context: What are you suddenly saying?\However, the love of my parents.\That is the secret ingredient to make this an exquisite meal.\That is why it is this tasty. It is very delicious.\Thank you for this meal.\I'm sorry.\You just reminded me of Misa just now.\Yeah, she was a delinquent with a bad mouth. response:	But she truly was a good girl.
context: However, the love of my parents.\That is the secret ingredient to make this an exquisite meal.\That is why it is this tasty. It is very delicious.\Thank you for this meal.\I'm sorry.\You just reminded me of Misa just now.\Yeah, she was a delinquent with a bad mouth.\But she truly was a good girl. response:	That was a good way of repaying your parents.
context: That is the secret ingredient to make this an exquisite meal.\That is why it is this tasty. It is very delicious.\Thank you for this meal.\I'm sorry.\You just reminded me of Misa just now.\Yeah, she was a delinquent with a bad mouth.\But she truly was a good girl.\That was a good way of repaying your parents. response:	Yes, come in.
context: That is why it is this tasty. It is very delicious.\Thank you for this meal.\I'm sorry.\You just reminded me of Misa just now.\Yeah, she was a delinquent with a bad mouth.\But she truly was a good girl.\That was a good way of repaying your parents.\Yes, come in. response:	Good morning!
context: Thank you for this meal.\I'm sorry.\You just reminded me of Misa just now.\Yeah, she was a delinquent with a bad mouth.\But she truly was a good girl.\That was a good way of repaying your parents.\Yes, come in.\Good morning! response:	Yeah. Morning.
context: I'm sorry.\You just reminded me of Misa just now.\Yeah, she was a delinquent with a bad mouth.\But she truly was a good girl.\That was a good way of repaying your parents.\Yes, come in.\Good morning!\Yeah. Morning. response:	Ta-dah!
context: You just reminded me of Misa just now.\Yeah, she was a delinquent with a bad mouth.\But she truly was a good girl.\That was a good way of repaying your parents.\Yes, come in.\Good morning!\Yeah. Morning.\Ta-dah! response:	Happy birthday!
context: Yeah, she was a delinquent with a bad mouth.\But she truly was a good girl.\That was a good way of repaying your parents.\Yes, come in.\Good morning!\Yeah. Morning.\Ta-dah!\Happy birthday! response:	16 years congrats <3
context: But she truly was a good girl.\That was a good way of repaying your parents.\Yes, come in.\Good morning!\Yeah. Morning.\Ta-dah!\Happy birthday!\16 years congrats <3 response:	Today is your 16th birthday, Big Brother Yu!
context: That was a good way of repaying your parents.\Yes, come in.\Good morning!\Yeah. Morning.\Ta-dah!\Happy birthday!\16 years congrats <3\Today is your 16th birthday, Big Brother Yu! response:	Was it?
context: Yes, come in.\Good morning!\Yeah. Morning.\Ta-dah!\Happy birthday!\16 years congrats <3\Today is your 16th birthday, Big Brother Yu!\Was it? response:	Ayu here would never forget!
context: Good morning!\Yeah. Morning.\Ta-dah!\Happy birthday!\16 years congrats <3\Today is your 16th birthday, Big Brother Yu!\Was it?\Ayu here would never forget! response:	So, I used all of my skills for the first time in a while!
context: Yeah. Morning.\Ta-dah!\Happy birthday!\16 years congrats <3\Today is your 16th birthday, Big Brother Yu!\Was it?\Ayu here would never forget!\So, I used all of my skills for the first time in a while! response:	Congrats
context: Ta-dah!\Happy birthday!\16 years congrats <3\Today is your 16th birthday, Big Brother Yu!\Was it?\Ayu here would never forget!\So, I used all of my skills for the first time in a while!\Congrats response:	Good things will come <3
context: Happy birthday!\16 years congrats <3\Today is your 16th birthday, Big Brother Yu!\Was it?\Ayu here would never forget!\So, I used all of my skills for the first time in a while!\Congrats\Good things will come <3 response:	Um... So will you eat it?
context: 16 years congrats <3\Today is your 16th birthday, Big Brother Yu!\Was it?\Ayu here would never forget!\So, I used all of my skills for the first time in a while!\Congrats\Good things will come <3\Um... So will you eat it? response:	Yeah! Of course!
context: Today is your 16th birthday, Big Brother Yu!\Was it?\Ayu here would never forget!\So, I used all of my skills for the first time in a while!\Congrats\Good things will come <3\Um... So will you eat it?\Yeah! Of course! response:	Then, please open your mouth.
context: Was it?\Ayu here would never forget!\So, I used all of my skills for the first time in a while!\Congrats\Good things will come <3\Um... So will you eat it?\Yeah! Of course!\Then, please open your mouth. response:	I can eat it by myself.
context: Ayu here would never forget!\So, I used all of my skills for the first time in a while!\Congrats\Good things will come <3\Um... So will you eat it?\Yeah! Of course!\Then, please open your mouth.\I can eat it by myself. response:	I can't allow someone rehabilitating to overexert themself.
context: So, I used all of my skills for the first time in a while!\Congrats\Good things will come <3\Um... So will you eat it?\Yeah! Of course!\Then, please open your mouth.\I can eat it by myself.\I can't allow someone rehabilitating to overexert themself. response:	It's sweet, but it's tasty.
context: Congrats\Good things will come <3\Um... So will you eat it?\Yeah! Of course!\Then, please open your mouth.\I can eat it by myself.\I can't allow someone rehabilitating to overexert themself.\It's sweet, but it's tasty. response:	Here.
context: Good things will come <3\Um... So will you eat it?\Yeah! Of course!\Then, please open your mouth.\I can eat it by myself.\I can't allow someone rehabilitating to overexert themself.\It's sweet, but it's tasty.\Here. response:	It's the same flavor.
context: Um... So will you eat it?\Yeah! Of course!\Then, please open your mouth.\I can eat it by myself.\I can't allow someone rehabilitating to overexert themself.\It's sweet, but it's tasty.\Here.\It's the same flavor. response:	Maybe this is because of that secret ingredient that Misa was talking about.
context: Yeah! Of course!\Then, please open your mouth.\I can eat it by myself.\I can't allow someone rehabilitating to overexert themself.\It's sweet, but it's tasty.\Here.\It's the same flavor.\Maybe this is because of that secret ingredient that Misa was talking about. response:	How is it?
context: Then, please open your mouth.\I can eat it by myself.\I can't allow someone rehabilitating to overexert themself.\It's sweet, but it's tasty.\Here.\It's the same flavor.\Maybe this is because of that secret ingredient that Misa was talking about.\How is it? response:	Tasty!
context: I can eat it by myself.\I can't allow someone rehabilitating to overexert themself.\It's sweet, but it's tasty.\Here.\It's the same flavor.\Maybe this is because of that secret ingredient that Misa was talking about.\How is it?\Tasty! response:	All right!
context: I can't allow someone rehabilitating to overexert themself.\It's sweet, but it's tasty.\Here.\It's the same flavor.\Maybe this is because of that secret ingredient that Misa was talking about.\How is it?\Tasty!\All right! response:	Now, next!
context: It's sweet, but it's tasty.\Here.\It's the same flavor.\Maybe this is because of that secret ingredient that Misa was talking about.\How is it?\Tasty!\All right!\Now, next! response:	Yeah, tasty!
context: Here.\It's the same flavor.\Maybe this is because of that secret ingredient that Misa was talking about.\How is it?\Tasty!\All right!\Now, next!\Yeah, tasty! response:	Now, next, next!
context: It's the same flavor.\Maybe this is because of that secret ingredient that Misa was talking about.\How is it?\Tasty!\All right!\Now, next!\Yeah, tasty!\Now, next, next! response:	To be able to only give an impression like this. I'm not one to criticize others.
context: Maybe this is because of that secret ingredient that Misa was talking about.\How is it?\Tasty!\All right!\Now, next!\Yeah, tasty!\Now, next, next!\To be able to only give an impression like this. I'm not one to criticize others. response:	Tasty, tasty!
context: How is it?\Tasty!\All right!\Now, next!\Yeah, tasty!\Now, next, next!\To be able to only give an impression like this. I'm not one to criticize others.\Tasty, tasty! response:	Grats on getting all better.
context: Tasty!\All right!\Now, next!\Yeah, tasty!\Now, next, next!\To be able to only give an impression like this. I'm not one to criticize others.\Tasty, tasty!\Grats on getting all better. response:	Though I'm not fully well yet.
context: All right!\Now, next!\Yeah, tasty!\Now, next, next!\To be able to only give an impression like this. I'm not one to criticize others.\Tasty, tasty!\Grats on getting all better.\Though I'm not fully well yet. response:	There is a favor I want to ask you.
context: Now, next!\Yeah, tasty!\Now, next, next!\To be able to only give an impression like this. I'm not one to criticize others.\Tasty, tasty!\Grats on getting all better.\Though I'm not fully well yet.\There is a favor I want to ask you. response:	Big Brother, I hear you've been here for all this time.
context: Yeah, tasty!\Now, next, next!\To be able to only give an impression like this. I'm not one to criticize others.\Tasty, tasty!\Grats on getting all better.\Though I'm not fully well yet.\There is a favor I want to ask you.\Big Brother, I hear you've been here for all this time. response:	Please say something.
context: Now, next, next!\To be able to only give an impression like this. I'm not one to criticize others.\Tasty, tasty!\Grats on getting all better.\Though I'm not fully well yet.\There is a favor I want to ask you.\Big Brother, I hear you've been here for all this time.\Please say something. response:	This hospital is all right. You won't have to deal with the police here.
context: To be able to only give an impression like this. I'm not one to criticize others.\Tasty, tasty!\Grats on getting all better.\Though I'm not fully well yet.\There is a favor I want to ask you.\Big Brother, I hear you've been here for all this time.\Please say something.\This hospital is all right. You won't have to deal with the police here. response:	More than that
context: Tasty, tasty!\Grats on getting all better.\Though I'm not fully well yet.\There is a favor I want to ask you.\Big Brother, I hear you've been here for all this time.\Please say something.\This hospital is all right. You won't have to deal with the police here.\More than that response:	He's just like how I was back then.
context: Grats on getting all better.\Though I'm not fully well yet.\There is a favor I want to ask you.\Big Brother, I hear you've been here for all this time.\Please say something.\This hospital is all right. You won't have to deal with the police here.\More than that\He's just like how I was back then. response:	The terrorists are all acting up overseas,
context: Though I'm not fully well yet.\There is a favor I want to ask you.\Big Brother, I hear you've been here for all this time.\Please say something.\This hospital is all right. You won't have to deal with the police here.\More than that\He's just like how I was back then.\The terrorists are all acting up overseas, response:	and Japan will become involved in their activities soon.
context: There is a favor I want to ask you.\Big Brother, I hear you've been here for all this time.\Please say something.\This hospital is all right. You won't have to deal with the police here.\More than that\He's just like how I was back then.\The terrorists are all acting up overseas,\and Japan will become involved in their activities soon. response:	Kumagami is no longer here, either.
context: Big Brother, I hear you've been here for all this time.\Please say something.\This hospital is all right. You won't have to deal with the police here.\More than that\He's just like how I was back then.\The terrorists are all acting up overseas,\and Japan will become involved in their activities soon.\Kumagami is no longer here, either. response:	What will happen to us from now on?
context: Please say something.\This hospital is all right. You won't have to deal with the police here.\More than that\He's just like how I was back then.\The terrorists are all acting up overseas,\and Japan will become involved in their activities soon.\Kumagami is no longer here, either.\What will happen to us from now on? response:	It's been a while.
context: This hospital is all right. You won't have to deal with the police here.\More than that\He's just like how I was back then.\The terrorists are all acting up overseas,\and Japan will become involved in their activities soon.\Kumagami is no longer here, either.\What will happen to us from now on?\It's been a while. response:	Tomori?
context: More than that\He's just like how I was back then.\The terrorists are all acting up overseas,\and Japan will become involved in their activities soon.\Kumagami is no longer here, either.\What will happen to us from now on?\It's been a while.\Tomori? response:	What? Why are you so surprised?
context: He's just like how I was back then.\The terrorists are all acting up overseas,\and Japan will become involved in their activities soon.\Kumagami is no longer here, either.\What will happen to us from now on?\It's been a while.\Tomori?\What? Why are you so surprised? response:	W-Well... It was rather sudden.
context: The terrorists are all acting up overseas,\and Japan will become involved in their activities soon.\Kumagami is no longer here, either.\What will happen to us from now on?\It's been a while.\Tomori?\What? Why are you so surprised?\W-Well... It was rather sudden. response:	I was able to be discharged from the hospital a bit earlier,
context: and Japan will become involved in their activities soon.\Kumagami is no longer here, either.\What will happen to us from now on?\It's been a while.\Tomori?\What? Why are you so surprised?\W-Well... It was rather sudden.\I was able to be discharged from the hospital a bit earlier, response:	so I thought I'd have a chat with you.
context: Kumagami is no longer here, either.\What will happen to us from now on?\It's been a while.\Tomori?\What? Why are you so surprised?\W-Well... It was rather sudden.\I was able to be discharged from the hospital a bit earlier,\so I thought I'd have a chat with you. response:	Did you hear anything from your big brother?
context: What will happen to us from now on?\It's been a while.\Tomori?\What? Why are you so surprised?\W-Well... It was rather sudden.\I was able to be discharged from the hospital a bit earlier,\so I thought I'd have a chat with you.\Did you hear anything from your big brother? response:	He said that Japan will soon be involved in the activities of overseas terrorists.
context: It's been a while.\Tomori?\What? Why are you so surprised?\W-Well... It was rather sudden.\I was able to be discharged from the hospital a bit earlier,\so I thought I'd have a chat with you.\Did you hear anything from your big brother?\He said that Japan will soon be involved in the activities of overseas terrorists. response:	I see...
