context: Okay! Let's adjust the suspension. response:	Good work.
context: Yep. He's really interested in the stars and vehicles you use to travel through space.\But his body is weak, so he can't walk around as he likes.\Body... is weak?\He's got like a disease... in the chest.\In the Galactic Alliance, frail humans are eliminated and disposed of.\Humans who cannot participate in battle are useless.\Useless! That's... Ledo, were you okay with that?\Don't... understand... question. response:	I see...
context: But his body is weak, so he can't walk around as he likes.\Body... is weak?\He's got like a disease... in the chest.\In the Galactic Alliance, frail humans are eliminated and disposed of.\Humans who cannot participate in battle are useless.\Useless! That's... Ledo, were you okay with that?\Don't... understand... question.\I see... response:	Will I be able to gain useful information by talking to that person?
context: Body... is weak?\He's got like a disease... in the chest.\In the Galactic Alliance, frail humans are eliminated and disposed of.\Humans who cannot participate in battle are useless.\Useless! That's... Ledo, were you okay with that?\Don't... understand... question.\I see...\Will I be able to gain useful information by talking to that person? response:	Information?
context: He's got like a disease... in the chest.\In the Galactic Alliance, frail humans are eliminated and disposed of.\Humans who cannot participate in battle are useless.\Useless! That's... Ledo, were you okay with that?\Don't... understand... question.\I see...\Will I be able to gain useful information by talking to that person?\Information? response:	In that case, why not meet Dr. Oldham?
context: In the Galactic Alliance, frail humans are eliminated and disposed of.\Humans who cannot participate in battle are useless.\Useless! That's... Ledo, were you okay with that?\Don't... understand... question.\I see...\Will I be able to gain useful information by talking to that person?\Information?\In that case, why not meet Dr. Oldham? response:	Old...ham...?
context: Humans who cannot participate in battle are useless.\Useless! That's... Ledo, were you okay with that?\Don't... understand... question.\I see...\Will I be able to gain useful information by talking to that person?\Information?\In that case, why not meet Dr. Oldham?\Old...ham...? response:	He's a doctor, but people call him the Sage.
context: Useless! That's... Ledo, were you okay with that?\Don't... understand... question.\I see...\Will I be able to gain useful information by talking to that person?\Information?\In that case, why not meet Dr. Oldham?\Old...ham...?\He's a doctor, but people call him the Sage. response:	He's the smartest person in all of Gargantia.
context: Don't... understand... question.\I see...\Will I be able to gain useful information by talking to that person?\Information?\In that case, why not meet Dr. Oldham?\Old...ham...?\He's a doctor, but people call him the Sage.\He's the smartest person in all of Gargantia. response:	Over here!
context: I see...\Will I be able to gain useful information by talking to that person?\Information?\In that case, why not meet Dr. Oldham?\Old...ham...?\He's a doctor, but people call him the Sage.\He's the smartest person in all of Gargantia.\Over here! response:	Hello! Dr. Oldham!
context: Will I be able to gain useful information by talking to that person?\Information?\In that case, why not meet Dr. Oldham?\Old...ham...?\He's a doctor, but people call him the Sage.\He's the smartest person in all of Gargantia.\Over here!\Hello! Dr. Oldham! response:	Amy!
context: Information?\In that case, why not meet Dr. Oldham?\Old...ham...?\He's a doctor, but people call him the Sage.\He's the smartest person in all of Gargantia.\Over here!\Hello! Dr. Oldham!\Amy! response:	Doctor, Amy's here!
context: In that case, why not meet Dr. Oldham?\Old...ham...?\He's a doctor, but people call him the Sage.\He's the smartest person in all of Gargantia.\Over here!\Hello! Dr. Oldham!\Amy!\Doctor, Amy's here! response:	Hello.
context: Old...ham...?\He's a doctor, but people call him the Sage.\He's the smartest person in all of Gargantia.\Over here!\Hello! Dr. Oldham!\Amy!\Doctor, Amy's here!\Hello. response:	Doctor...
context: He's a doctor, but people call him the Sage.\He's the smartest person in all of Gargantia.\Over here!\Hello! Dr. Oldham!\Amy!\Doctor, Amy's here!\Hello.\Doctor... response:	Hi, Amy.
context: He's the smartest person in all of Gargantia.\Over here!\Hello! Dr. Oldham!\Amy!\Doctor, Amy's here!\Hello.\Doctor...\Hi, Amy. response:	I brought someone here today.
context: Over here!\Hello! Dr. Oldham!\Amy!\Doctor, Amy's here!\Hello.\Doctor...\Hi, Amy.\I brought someone here today. response:	Could it be that you're Ledo?
context: Hello! Dr. Oldham!\Amy!\Doctor, Amy's here!\Hello.\Doctor...\Hi, Amy.\I brought someone here today.\Could it be that you're Ledo? response:	He says he's got something to ask you, Doctor.
context: Amy!\Doctor, Amy's here!\Hello.\Doctor...\Hi, Amy.\I brought someone here today.\Could it be that you're Ledo?\He says he's got something to ask you, Doctor. response:	Well, I've still got work to do, so I'm taking off.
context: Doctor, Amy's here!\Hello.\Doctor...\Hi, Amy.\I brought someone here today.\Could it be that you're Ledo?\He says he's got something to ask you, Doctor.\Well, I've still got work to do, so I'm taking off. response:	You're busy, huh?
context: Hello.\Doctor...\Hi, Amy.\I brought someone here today.\Could it be that you're Ledo?\He says he's got something to ask you, Doctor.\Well, I've still got work to do, so I'm taking off.\You're busy, huh? response:	Ledo, I'll come by to pick you up later, so wait downstairs.
context: Doctor...\Hi, Amy.\I brought someone here today.\Could it be that you're Ledo?\He says he's got something to ask you, Doctor.\Well, I've still got work to do, so I'm taking off.\You're busy, huh?\Ledo, I'll come by to pick you up later, so wait downstairs. response:	I would like you to provide information.
context: Hi, Amy.\I brought someone here today.\Could it be that you're Ledo?\He says he's got something to ask you, Doctor.\Well, I've still got work to do, so I'm taking off.\You're busy, huh?\Ledo, I'll come by to pick you up later, so wait downstairs.\I would like you to provide information. response:	I've heard the rumors,
context: I brought someone here today.\Could it be that you're Ledo?\He says he's got something to ask you, Doctor.\Well, I've still got work to do, so I'm taking off.\You're busy, huh?\Ledo, I'll come by to pick you up later, so wait downstairs.\I would like you to provide information.\I've heard the rumors, response:	but is that the voice of the machine that can understand words?
context: Could it be that you're Ledo?\He says he's got something to ask you, Doctor.\Well, I've still got work to do, so I'm taking off.\You're busy, huh?\Ledo, I'll come by to pick you up later, so wait downstairs.\I would like you to provide information.\I've heard the rumors,\but is that the voice of the machine that can understand words? response:	That... is correct.
context: He says he's got something to ask you, Doctor.\Well, I've still got work to do, so I'm taking off.\You're busy, huh?\Ledo, I'll come by to pick you up later, so wait downstairs.\I would like you to provide information.\I've heard the rumors,\but is that the voice of the machine that can understand words?\That... is correct. response:	Lost technology. I never imagined I'd be able to lay my eyes on the real thing...
context: Well, I've still got work to do, so I'm taking off.\You're busy, huh?\Ledo, I'll come by to pick you up later, so wait downstairs.\I would like you to provide information.\I've heard the rumors,\but is that the voice of the machine that can understand words?\That... is correct.\Lost technology. I never imagined I'd be able to lay my eyes on the real thing... response:	Can I... ask question?
context: You're busy, huh?\Ledo, I'll come by to pick you up later, so wait downstairs.\I would like you to provide information.\I've heard the rumors,\but is that the voice of the machine that can understand words?\That... is correct.\Lost technology. I never imagined I'd be able to lay my eyes on the real thing...\Can I... ask question? response:	Of course, although I'm not sure I'll know the answer.
context: Ledo, I'll come by to pick you up later, so wait downstairs.\I would like you to provide information.\I've heard the rumors,\but is that the voice of the machine that can understand words?\That... is correct.\Lost technology. I never imagined I'd be able to lay my eyes on the real thing...\Can I... ask question?\Of course, although I'm not sure I'll know the answer. response:	Please, sit.
context: I would like you to provide information.\I've heard the rumors,\but is that the voice of the machine that can understand words?\That... is correct.\Lost technology. I never imagined I'd be able to lay my eyes on the real thing...\Can I... ask question?\Of course, although I'm not sure I'll know the answer.\Please, sit. response:	What do you want to ask?
context: I've heard the rumors,\but is that the voice of the machine that can understand words?\That... is correct.\Lost technology. I never imagined I'd be able to lay my eyes on the real thing...\Can I... ask question?\Of course, although I'm not sure I'll know the answer.\Please, sit.\What do you want to ask? response:	I would ask about how to return to the Galactic Alliance.
context: but is that the voice of the machine that can understand words?\That... is correct.\Lost technology. I never imagined I'd be able to lay my eyes on the real thing...\Can I... ask question?\Of course, although I'm not sure I'll know the answer.\Please, sit.\What do you want to ask?\I would ask about how to return to the Galactic Alliance. response:	I'm afraid I don't possess any knowledge pertaining to that subject.
context: That... is correct.\Lost technology. I never imagined I'd be able to lay my eyes on the real thing...\Can I... ask question?\Of course, although I'm not sure I'll know the answer.\Please, sit.\What do you want to ask?\I would ask about how to return to the Galactic Alliance.\I'm afraid I don't possess any knowledge pertaining to that subject. response:	As you can see, we've lost the majority of ancient wisdom.
context: Lost technology. I never imagined I'd be able to lay my eyes on the real thing...\Can I... ask question?\Of course, although I'm not sure I'll know the answer.\Please, sit.\What do you want to ask?\I would ask about how to return to the Galactic Alliance.\I'm afraid I don't possess any knowledge pertaining to that subject.\As you can see, we've lost the majority of ancient wisdom. response:	Particularly regarding the technology of traveling to the stars...
context: Can I... ask question?\Of course, although I'm not sure I'll know the answer.\Please, sit.\What do you want to ask?\I would ask about how to return to the Galactic Alliance.\I'm afraid I don't possess any knowledge pertaining to that subject.\As you can see, we've lost the majority of ancient wisdom.\Particularly regarding the technology of traveling to the stars... response:	Currently, this is the knowledge of the heavens that's been left to us.
context: Of course, although I'm not sure I'll know the answer.\Please, sit.\What do you want to ask?\I would ask about how to return to the Galactic Alliance.\I'm afraid I don't possess any knowledge pertaining to that subject.\As you can see, we've lost the majority of ancient wisdom.\Particularly regarding the technology of traveling to the stars...\Currently, this is the knowledge of the heavens that's been left to us. response:	I doubt this is what you're looking for...
context: Please, sit.\What do you want to ask?\I would ask about how to return to the Galactic Alliance.\I'm afraid I don't possess any knowledge pertaining to that subject.\As you can see, we've lost the majority of ancient wisdom.\Particularly regarding the technology of traveling to the stars...\Currently, this is the knowledge of the heavens that's been left to us.\I doubt this is what you're looking for... response:	I apologize for being of no help.
context: What do you want to ask?\I would ask about how to return to the Galactic Alliance.\I'm afraid I don't possess any knowledge pertaining to that subject.\As you can see, we've lost the majority of ancient wisdom.\Particularly regarding the technology of traveling to the stars...\Currently, this is the knowledge of the heavens that's been left to us.\I doubt this is what you're looking for...\I apologize for being of no help. response:	It... can't be helped.
context: I would ask about how to return to the Galactic Alliance.\I'm afraid I don't possess any knowledge pertaining to that subject.\As you can see, we've lost the majority of ancient wisdom.\Particularly regarding the technology of traveling to the stars...\Currently, this is the knowledge of the heavens that's been left to us.\I doubt this is what you're looking for...\I apologize for being of no help.\It... can't be helped. response:	Can I ask... one more question?
context: I'm afraid I don't possess any knowledge pertaining to that subject.\As you can see, we've lost the majority of ancient wisdom.\Particularly regarding the technology of traveling to the stars...\Currently, this is the knowledge of the heavens that's been left to us.\I doubt this is what you're looking for...\I apologize for being of no help.\It... can't be helped.\Can I ask... one more question? response:	Certainly, go right ahead.
context: As you can see, we've lost the majority of ancient wisdom.\Particularly regarding the technology of traveling to the stars...\Currently, this is the knowledge of the heavens that's been left to us.\I doubt this is what you're looking for...\I apologize for being of no help.\It... can't be helped.\Can I ask... one more question?\Certainly, go right ahead. response:	I would ask for your explanation of the structure of this fleet.
context: Particularly regarding the technology of traveling to the stars...\Currently, this is the knowledge of the heavens that's been left to us.\I doubt this is what you're looking for...\I apologize for being of no help.\It... can't be helped.\Can I ask... one more question?\Certainly, go right ahead.\I would ask for your explanation of the structure of this fleet. response:	Explanation?
context: Currently, this is the knowledge of the heavens that's been left to us.\I doubt this is what you're looking for...\I apologize for being of no help.\It... can't be helped.\Can I ask... one more question?\Certainly, go right ahead.\I would ask for your explanation of the structure of this fleet.\Explanation? response:	This fleet is inefficient.
context: I doubt this is what you're looking for...\I apologize for being of no help.\It... can't be helped.\Can I ask... one more question?\Certainly, go right ahead.\I would ask for your explanation of the structure of this fleet.\Explanation?\This fleet is inefficient. response:	The chain of command and training of children are defective,
context: I apologize for being of no help.\It... can't be helped.\Can I ask... one more question?\Certainly, go right ahead.\I would ask for your explanation of the structure of this fleet.\Explanation?\This fleet is inefficient.\The chain of command and training of children are defective, response:	while the behavior of the citizenry is disorganized.
context: It... can't be helped.\Can I ask... one more question?\Certainly, go right ahead.\I would ask for your explanation of the structure of this fleet.\Explanation?\This fleet is inefficient.\The chain of command and training of children are defective,\while the behavior of the citizenry is disorganized. response:	And I cannot comprehend the purpose of caring for the weak.
context: Can I ask... one more question?\Certainly, go right ahead.\I would ask for your explanation of the structure of this fleet.\Explanation?\This fleet is inefficient.\The chain of command and training of children are defective,\while the behavior of the citizenry is disorganized.\And I cannot comprehend the purpose of caring for the weak. response:	I see. So that's how it looks to a visitor from the stars.
context: Certainly, go right ahead.\I would ask for your explanation of the structure of this fleet.\Explanation?\This fleet is inefficient.\The chain of command and training of children are defective,\while the behavior of the citizenry is disorganized.\And I cannot comprehend the purpose of caring for the weak.\I see. So that's how it looks to a visitor from the stars. response:	I beg your pardon.
context: I would ask for your explanation of the structure of this fleet.\Explanation?\This fleet is inefficient.\The chain of command and training of children are defective,\while the behavior of the citizenry is disorganized.\And I cannot comprehend the purpose of caring for the weak.\I see. So that's how it looks to a visitor from the stars.\I beg your pardon. response:	This efficiency that you speak of has a rather narrow range.
context: Explanation?\This fleet is inefficient.\The chain of command and training of children are defective,\while the behavior of the citizenry is disorganized.\And I cannot comprehend the purpose of caring for the weak.\I see. So that's how it looks to a visitor from the stars.\I beg your pardon.\This efficiency that you speak of has a rather narrow range. response:	Let's see... I think you should meet Bebel.
context: This fleet is inefficient.\The chain of command and training of children are defective,\while the behavior of the citizenry is disorganized.\And I cannot comprehend the purpose of caring for the weak.\I see. So that's how it looks to a visitor from the stars.\I beg your pardon.\This efficiency that you speak of has a rather narrow range.\Let's see... I think you should meet Bebel. response:	Will I attain any useful information by conversing with that person?
context: The chain of command and training of children are defective,\while the behavior of the citizenry is disorganized.\And I cannot comprehend the purpose of caring for the weak.\I see. So that's how it looks to a visitor from the stars.\I beg your pardon.\This efficiency that you speak of has a rather narrow range.\Let's see... I think you should meet Bebel.\Will I attain any useful information by conversing with that person? response:	Whether it's useful or not is up to you to decide.
context: while the behavior of the citizenry is disorganized.\And I cannot comprehend the purpose of caring for the weak.\I see. So that's how it looks to a visitor from the stars.\I beg your pardon.\This efficiency that you speak of has a rather narrow range.\Let's see... I think you should meet Bebel.\Will I attain any useful information by conversing with that person?\Whether it's useful or not is up to you to decide. response:	I see. So even the doctor didn't know...
context: And I cannot comprehend the purpose of caring for the weak.\I see. So that's how it looks to a visitor from the stars.\I beg your pardon.\This efficiency that you speak of has a rather narrow range.\Let's see... I think you should meet Bebel.\Will I attain any useful information by conversing with that person?\Whether it's useful or not is up to you to decide.\I see. So even the doctor didn't know... response:	Bebel! I'm home!
context: I see. So that's how it looks to a visitor from the stars.\I beg your pardon.\This efficiency that you speak of has a rather narrow range.\Let's see... I think you should meet Bebel.\Will I attain any useful information by conversing with that person?\Whether it's useful or not is up to you to decide.\I see. So even the doctor didn't know...\Bebel! I'm home! response:	He's Ledo?
context: I beg your pardon.\This efficiency that you speak of has a rather narrow range.\Let's see... I think you should meet Bebel.\Will I attain any useful information by conversing with that person?\Whether it's useful or not is up to you to decide.\I see. So even the doctor didn't know...\Bebel! I'm home!\He's Ledo? response:	He really is your friend, Sis!
context: This efficiency that you speak of has a rather narrow range.\Let's see... I think you should meet Bebel.\Will I attain any useful information by conversing with that person?\Whether it's useful or not is up to you to decide.\I see. So even the doctor didn't know...\Bebel! I'm home!\He's Ledo?\He really is your friend, Sis! response:	You're awesome, Sis!
context: Let's see... I think you should meet Bebel.\Will I attain any useful information by conversing with that person?\Whether it's useful or not is up to you to decide.\I see. So even the doctor didn't know...\Bebel! I'm home!\He's Ledo?\He really is your friend, Sis!\You're awesome, Sis! response:	Nice to meet you. I'm Bebel.
context: Will I attain any useful information by conversing with that person?\Whether it's useful or not is up to you to decide.\I see. So even the doctor didn't know...\Bebel! I'm home!\He's Ledo?\He really is your friend, Sis!\You're awesome, Sis!\Nice to meet you. I'm Bebel. response:	Nice to... meet you.
context: Whether it's useful or not is up to you to decide.\I see. So even the doctor didn't know...\Bebel! I'm home!\He's Ledo?\He really is your friend, Sis!\You're awesome, Sis!\Nice to meet you. I'm Bebel.\Nice to... meet you. response:	This is Amy's little brother?
context: I see. So even the doctor didn't know...\Bebel! I'm home!\He's Ledo?\He really is your friend, Sis!\You're awesome, Sis!\Nice to meet you. I'm Bebel.\Nice to... meet you.\This is Amy's little brother? response:	Sit down, if you'd like.
context: Bebel! I'm home!\He's Ledo?\He really is your friend, Sis!\You're awesome, Sis!\Nice to meet you. I'm Bebel.\Nice to... meet you.\This is Amy's little brother?\Sit down, if you'd like. response:	Ledo said he wanted to meet you, Bebel!
context: He's Ledo?\He really is your friend, Sis!\You're awesome, Sis!\Nice to meet you. I'm Bebel.\Nice to... meet you.\This is Amy's little brother?\Sit down, if you'd like.\Ledo said he wanted to meet you, Bebel! response:	Really?
context: He really is your friend, Sis!\You're awesome, Sis!\Nice to meet you. I'm Bebel.\Nice to... meet you.\This is Amy's little brother?\Sit down, if you'd like.\Ledo said he wanted to meet you, Bebel!\Really? response:	That's... right.
context: You're awesome, Sis!\Nice to meet you. I'm Bebel.\Nice to... meet you.\This is Amy's little brother?\Sit down, if you'd like.\Ledo said he wanted to meet you, Bebel!\Really?\That's... right. response:	I would like you to provide information.
context: Nice to meet you. I'm Bebel.\Nice to... meet you.\This is Amy's little brother?\Sit down, if you'd like.\Ledo said he wanted to meet you, Bebel!\Really?\That's... right.\I would like you to provide information. response:	Is that...
context: Nice to... meet you.\This is Amy's little brother?\Sit down, if you'd like.\Ledo said he wanted to meet you, Bebel!\Really?\That's... right.\I would like you to provide information.\Is that... response:	Uh-huh! This is Chamber's communications device.
context: This is Amy's little brother?\Sit down, if you'd like.\Ledo said he wanted to meet you, Bebel!\Really?\That's... right.\I would like you to provide information.\Is that...\Uh-huh! This is Chamber's communications device. response:	Wow! It really can talk!
context: Sit down, if you'd like.\Ledo said he wanted to meet you, Bebel!\Really?\That's... right.\I would like you to provide information.\Is that...\Uh-huh! This is Chamber's communications device.\Wow! It really can talk! response:	Chamber...
context: Ledo said he wanted to meet you, Bebel!\Really?\That's... right.\I would like you to provide information.\Is that...\Uh-huh! This is Chamber's communications device.\Wow! It really can talk!\Chamber... response:	I am an artificial intelligence created to aid my pilot.
context: Really?\That's... right.\I would like you to provide information.\Is that...\Uh-huh! This is Chamber's communications device.\Wow! It really can talk!\Chamber...\I am an artificial intelligence created to aid my pilot. response:	Cool! You understand Earth language, too!
context: That's... right.\I would like you to provide information.\Is that...\Uh-huh! This is Chamber's communications device.\Wow! It really can talk!\Chamber...\I am an artificial intelligence created to aid my pilot.\Cool! You understand Earth language, too! response:	Amy, are you in there?!
context: I would like you to provide information.\Is that...\Uh-huh! This is Chamber's communications device.\Wow! It really can talk!\Chamber...\I am an artificial intelligence created to aid my pilot.\Cool! You understand Earth language, too!\Amy, are you in there?! response:	We don't have enough people, so we need your help...
context: Is that...\Uh-huh! This is Chamber's communications device.\Wow! It really can talk!\Chamber...\I am an artificial intelligence created to aid my pilot.\Cool! You understand Earth language, too!\Amy, are you in there?!\We don't have enough people, so we need your help... response:	Oh?
context: Uh-huh! This is Chamber's communications device.\Wow! It really can talk!\Chamber...\I am an artificial intelligence created to aid my pilot.\Cool! You understand Earth language, too!\Amy, are you in there?!\We don't have enough people, so we need your help...\Oh? response:	Huh? The hottie?!
context: Wow! It really can talk!\Chamber...\I am an artificial intelligence created to aid my pilot.\Cool! You understand Earth language, too!\Amy, are you in there?!\We don't have enough people, so we need your help...\Oh?\Huh? The hottie?! response:	Already inviting him home?
context: Chamber...\I am an artificial intelligence created to aid my pilot.\Cool! You understand Earth language, too!\Amy, are you in there?!\We don't have enough people, so we need your help...\Oh?\Huh? The hottie?!\Already inviting him home? response:	It's not like that!
context: I am an artificial intelligence created to aid my pilot.\Cool! You understand Earth language, too!\Amy, are you in there?!\We don't have enough people, so we need your help...\Oh?\Huh? The hottie?!\Already inviting him home?\It's not like that! response:	Sorry, I have to work again.
context: Cool! You understand Earth language, too!\Amy, are you in there?!\We don't have enough people, so we need your help...\Oh?\Huh? The hottie?!\Already inviting him home?\It's not like that!\Sorry, I have to work again. response:	See you later.
context: Amy, are you in there?!\We don't have enough people, so we need your help...\Oh?\Huh? The hottie?!\Already inviting him home?\It's not like that!\Sorry, I have to work again.\See you later. response:	Just when it was getting good...
context: We don't have enough people, so we need your help...\Oh?\Huh? The hottie?!\Already inviting him home?\It's not like that!\Sorry, I have to work again.\See you later.\Just when it was getting good... response:	When what was getting good?
context: Oh?\Huh? The hottie?!\Already inviting him home?\It's not like that!\Sorry, I have to work again.\See you later.\Just when it was getting good...\When what was getting good? response:	I told you, it's nothing like that!
context: Huh? The hottie?!\Already inviting him home?\It's not like that!\Sorry, I have to work again.\See you later.\Just when it was getting good...\When what was getting good?\I told you, it's nothing like that! response:	Well, Bebel, take care of Ledo, okay?
context: Already inviting him home?\It's not like that!\Sorry, I have to work again.\See you later.\Just when it was getting good...\When what was getting good?\I told you, it's nothing like that!\Well, Bebel, take care of Ledo, okay? response:	Don't be in such a rush that you trip!
context: It's not like that!\Sorry, I have to work again.\See you later.\Just when it was getting good...\When what was getting good?\I told you, it's nothing like that!\Well, Bebel, take care of Ledo, okay?\Don't be in such a rush that you trip! response:	I know...!
context: Sorry, I have to work again.\See you later.\Just when it was getting good...\When what was getting good?\I told you, it's nothing like that!\Well, Bebel, take care of Ledo, okay?\Don't be in such a rush that you trip!\I know...! response:	Amy!
context: See you later.\Just when it was getting good...\When what was getting good?\I told you, it's nothing like that!\Well, Bebel, take care of Ledo, okay?\Don't be in such a rush that you trip!\I know...!\Amy! response:	Sorry, my sister never stops moving.
context: Just when it was getting good...\When what was getting good?\I told you, it's nothing like that!\Well, Bebel, take care of Ledo, okay?\Don't be in such a rush that you trip!\I know...!\Amy!\Sorry, my sister never stops moving. response:	Ledo, are you really from space?
context: When what was getting good?\I told you, it's nothing like that!\Well, Bebel, take care of Ledo, okay?\Don't be in such a rush that you trip!\I know...!\Amy!\Sorry, my sister never stops moving.\Ledo, are you really from space? response:	I've always wondered!
context: I told you, it's nothing like that!\Well, Bebel, take care of Ledo, okay?\Don't be in such a rush that you trip!\I know...!\Amy!\Sorry, my sister never stops moving.\Ledo, are you really from space?\I've always wondered! response:	What's life like in space?
context: Well, Bebel, take care of Ledo, okay?\Don't be in such a rush that you trip!\I know...!\Amy!\Sorry, my sister never stops moving.\Ledo, are you really from space?\I've always wondered!\What's life like in space? response:	With the Galactic Alliance, the main mission is fighting the Hideauze.
context: Don't be in such a rush that you trip!\I know...!\Amy!\Sorry, my sister never stops moving.\Ledo, are you really from space?\I've always wondered!\What's life like in space?\With the Galactic Alliance, the main mission is fighting the Hideauze. response:	Hideauze...?
context: I know...!\Amy!\Sorry, my sister never stops moving.\Ledo, are you really from space?\I've always wondered!\What's life like in space?\With the Galactic Alliance, the main mission is fighting the Hideauze.\Hideauze...? response:	An alien life-form that threatens the existence of the human race.
context: Amy!\Sorry, my sister never stops moving.\Ledo, are you really from space?\I've always wondered!\What's life like in space?\With the Galactic Alliance, the main mission is fighting the Hideauze.\Hideauze...?\An alien life-form that threatens the existence of the human race. response:	Have you always been fighting them?
context: Sorry, my sister never stops moving.\Ledo, are you really from space?\I've always wondered!\What's life like in space?\With the Galactic Alliance, the main mission is fighting the Hideauze.\Hideauze...?\An alien life-form that threatens the existence of the human race.\Have you always been fighting them? response:	The war has been going on since the formation of the Galactic Alliance.
context: Ledo, are you really from space?\I've always wondered!\What's life like in space?\With the Galactic Alliance, the main mission is fighting the Hideauze.\Hideauze...?\An alien life-form that threatens the existence of the human race.\Have you always been fighting them?\The war has been going on since the formation of the Galactic Alliance. response:	Wow...
context: I've always wondered!\What's life like in space?\With the Galactic Alliance, the main mission is fighting the Hideauze.\Hideauze...?\An alien life-form that threatens the existence of the human race.\Have you always been fighting them?\The war has been going on since the formation of the Galactic Alliance.\Wow... response:	It must be totally different from how life is here.
context: What's life like in space?\With the Galactic Alliance, the main mission is fighting the Hideauze.\Hideauze...?\An alien life-form that threatens the existence of the human race.\Have you always been fighting them?\The war has been going on since the formation of the Galactic Alliance.\Wow...\It must be totally different from how life is here. response:	Doesn't it wear you out?
context: With the Galactic Alliance, the main mission is fighting the Hideauze.\Hideauze...?\An alien life-form that threatens the existence of the human race.\Have you always been fighting them?\The war has been going on since the formation of the Galactic Alliance.\Wow...\It must be totally different from how life is here.\Doesn't it wear you out? response:	The only exhausted people are dead.
context: Hideauze...?\An alien life-form that threatens the existence of the human race.\Have you always been fighting them?\The war has been going on since the formation of the Galactic Alliance.\Wow...\It must be totally different from how life is here.\Doesn't it wear you out?\The only exhausted people are dead. response:	Dead... I see. It's rough, huh?
context: An alien life-form that threatens the existence of the human race.\Have you always been fighting them?\The war has been going on since the formation of the Galactic Alliance.\Wow...\It must be totally different from how life is here.\Doesn't it wear you out?\The only exhausted people are dead.\Dead... I see. It's rough, huh? response:	Are you used to things here?
context: Have you always been fighting them?\The war has been going on since the formation of the Galactic Alliance.\Wow...\It must be totally different from how life is here.\Doesn't it wear you out?\The only exhausted people are dead.\Dead... I see. It's rough, huh?\Are you used to things here? response:	I cannot comprehend the organizational structure of Gargantia.
context: The war has been going on since the formation of the Galactic Alliance.\Wow...\It must be totally different from how life is here.\Doesn't it wear you out?\The only exhausted people are dead.\Dead... I see. It's rough, huh?\Are you used to things here?\I cannot comprehend the organizational structure of Gargantia. response:	Organization?
context: Wow...\It must be totally different from how life is here.\Doesn't it wear you out?\The only exhausted people are dead.\Dead... I see. It's rough, huh?\Are you used to things here?\I cannot comprehend the organizational structure of Gargantia.\Organization? response:	Query: What is the reason for running such an inefficient and useless operation?
context: It must be totally different from how life is here.\Doesn't it wear you out?\The only exhausted people are dead.\Dead... I see. It's rough, huh?\Are you used to things here?\I cannot comprehend the organizational structure of Gargantia.\Organization?\Query: What is the reason for running such an inefficient and useless operation? response:	The fleet isn't an organization. It's just everyone coming together.
context: Doesn't it wear you out?\The only exhausted people are dead.\Dead... I see. It's rough, huh?\Are you used to things here?\I cannot comprehend the organizational structure of Gargantia.\Organization?\Query: What is the reason for running such an inefficient and useless operation?\The fleet isn't an organization. It's just everyone coming together. response:	Sometimes we fight, sometimes help each other... And that's just how we live.
context: The only exhausted people are dead.\Dead... I see. It's rough, huh?\Are you used to things here?\I cannot comprehend the organizational structure of Gargantia.\Organization?\Query: What is the reason for running such an inefficient and useless operation?\The fleet isn't an organization. It's just everyone coming together.\Sometimes we fight, sometimes help each other... And that's just how we live. response:	Query: What is the significance of that?
context: Dead... I see. It's rough, huh?\Are you used to things here?\I cannot comprehend the organizational structure of Gargantia.\Organization?\Query: What is the reason for running such an inefficient and useless operation?\The fleet isn't an organization. It's just everyone coming together.\Sometimes we fight, sometimes help each other... And that's just how we live.\Query: What is the significance of that? response:	As long as everyone can live free of worry, that's all that matters.
context: Are you used to things here?\I cannot comprehend the organizational structure of Gargantia.\Organization?\Query: What is the reason for running such an inefficient and useless operation?\The fleet isn't an organization. It's just everyone coming together.\Sometimes we fight, sometimes help each other... And that's just how we live.\Query: What is the significance of that?\As long as everyone can live free of worry, that's all that matters. response:	The answer is unclear.
context: I cannot comprehend the organizational structure of Gargantia.\Organization?\Query: What is the reason for running such an inefficient and useless operation?\The fleet isn't an organization. It's just everyone coming together.\Sometimes we fight, sometimes help each other... And that's just how we live.\Query: What is the significance of that?\As long as everyone can live free of worry, that's all that matters.\The answer is unclear. response:	The behavioral objective of the human race is subjugating the enemy, the Hideauze.
context: Organization?\Query: What is the reason for running such an inefficient and useless operation?\The fleet isn't an organization. It's just everyone coming together.\Sometimes we fight, sometimes help each other... And that's just how we live.\Query: What is the significance of that?\As long as everyone can live free of worry, that's all that matters.\The answer is unclear.\The behavioral objective of the human race is subjugating the enemy, the Hideauze. response:	Without that, the human race has no stable development.
context: Query: What is the reason for running such an inefficient and useless operation?\The fleet isn't an organization. It's just everyone coming together.\Sometimes we fight, sometimes help each other... And that's just how we live.\Query: What is the significance of that?\As long as everyone can live free of worry, that's all that matters.\The answer is unclear.\The behavioral objective of the human race is subjugating the enemy, the Hideauze.\Without that, the human race has no stable development. response:	Really?
context: The fleet isn't an organization. It's just everyone coming together.\Sometimes we fight, sometimes help each other... And that's just how we live.\Query: What is the significance of that?\As long as everyone can live free of worry, that's all that matters.\The answer is unclear.\The behavioral objective of the human race is subjugating the enemy, the Hideauze.\Without that, the human race has no stable development.\Really? response:	Humans like you are culled immediately by the Galactic Alliance.
