context: Hey Natsu, don't you think our guild has a whole lot of special events? response:	Yeah... There's the that big parade, the Fantasia...
context: Pict Magic!\What a cinch!\Everyone, fall!\That's what you get for layin' back and paintin'!\Ice Make Floor!\All's fair!\Gray, you bastard!\Beast Arm... response:	Iron Bull!
context: What a cinch!\Everyone, fall!\That's what you get for layin' back and paintin'!\Ice Make Floor!\All's fair!\Gray, you bastard!\Beast Arm...\Iron Bull! response:	Gray-sama?
context: Everyone, fall!\That's what you get for layin' back and paintin'!\Ice Make Floor!\All's fair!\Gray, you bastard!\Beast Arm...\Iron Bull!\Gray-sama? response:	This is tough work...
context: That's what you get for layin' back and paintin'!\Ice Make Floor!\All's fair!\Gray, you bastard!\Beast Arm...\Iron Bull!\Gray-sama?\This is tough work... response:	You drink too much, Cana!
context: Ice Make Floor!\All's fair!\Gray, you bastard!\Beast Arm...\Iron Bull!\Gray-sama?\This is tough work...\You drink too much, Cana! response:	You look just as tired as me, Wakaba!
context: All's fair!\Gray, you bastard!\Beast Arm...\Iron Bull!\Gray-sama?\This is tough work...\You drink too much, Cana!\You look just as tired as me, Wakaba! response:	I didn't think I'd gotten this out of shape!
context: Gray, you bastard!\Beast Arm...\Iron Bull!\Gray-sama?\This is tough work...\You drink too much, Cana!\You look just as tired as me, Wakaba!\I didn't think I'd gotten this out of shape! response:	Can we even make it to the goal?
context: Beast Arm...\Iron Bull!\Gray-sama?\This is tough work...\You drink too much, Cana!\You look just as tired as me, Wakaba!\I didn't think I'd gotten this out of shape!\Can we even make it to the goal? response:	You guys are pitiful.
context: Iron Bull!\Gray-sama?\This is tough work...\You drink too much, Cana!\You look just as tired as me, Wakaba!\I didn't think I'd gotten this out of shape!\Can we even make it to the goal?\You guys are pitiful. response:	Learn from this, and lay off the booze and tobacco a little.
context: Gray-sama?\This is tough work...\You drink too much, Cana!\You look just as tired as me, Wakaba!\I didn't think I'd gotten this out of shape!\Can we even make it to the goal?\You guys are pitiful.\Learn from this, and lay off the booze and tobacco a little. response:	What is this?
context: This is tough work...\You drink too much, Cana!\You look just as tired as me, Wakaba!\I didn't think I'd gotten this out of shape!\Can we even make it to the goal?\You guys are pitiful.\Learn from this, and lay off the booze and tobacco a little.\What is this? response:	Runes?
context: You drink too much, Cana!\You look just as tired as me, Wakaba!\I didn't think I'd gotten this out of shape!\Can we even make it to the goal?\You guys are pitiful.\Learn from this, and lay off the booze and tobacco a little.\What is this?\Runes? response:	Is it Freed?
context: You look just as tired as me, Wakaba!\I didn't think I'd gotten this out of shape!\Can we even make it to the goal?\You guys are pitiful.\Learn from this, and lay off the booze and tobacco a little.\What is this?\Runes?\Is it Freed? response:	He's booby-trapped the course!
context: I didn't think I'd gotten this out of shape!\Can we even make it to the goal?\You guys are pitiful.\Learn from this, and lay off the booze and tobacco a little.\What is this?\Runes?\Is it Freed?\He's booby-trapped the course! response:	Exactly.
context: Can we even make it to the goal?\You guys are pitiful.\Learn from this, and lay off the booze and tobacco a little.\What is this?\Runes?\Is it Freed?\He's booby-trapped the course!\Exactly. response:	Are you never going to let us out?
context: You guys are pitiful.\Learn from this, and lay off the booze and tobacco a little.\What is this?\Runes?\Is it Freed?\He's booby-trapped the course!\Exactly.\Are you never going to let us out? response:	I know he said anything other than flying magic is allowed, but this goes too far!
context: Learn from this, and lay off the booze and tobacco a little.\What is this?\Runes?\Is it Freed?\He's booby-trapped the course!\Exactly.\Are you never going to let us out?\I know he said anything other than flying magic is allowed, but this goes too far! response:	I never said you couldn't go free.
context: What is this?\Runes?\Is it Freed?\He's booby-trapped the course!\Exactly.\Are you never going to let us out?\I know he said anything other than flying magic is allowed, but this goes too far!\I never said you couldn't go free. response:	What are these?
context: Runes?\Is it Freed?\He's booby-trapped the course!\Exactly.\Are you never going to let us out?\I know he said anything other than flying magic is allowed, but this goes too far!\I never said you couldn't go free.\What are these? response:	Practice Questions for the Magic Four-Wheeler License Exam?
context: Is it Freed?\He's booby-trapped the course!\Exactly.\Are you never going to let us out?\I know he said anything other than flying magic is allowed, but this goes too far!\I never said you couldn't go free.\What are these?\Practice Questions for the Magic Four-Wheeler License Exam? response:	This one's Practice Questions for the Level 3 Four Elements Sorcerer Qualification?
context: He's booby-trapped the course!\Exactly.\Are you never going to let us out?\I know he said anything other than flying magic is allowed, but this goes too far!\I never said you couldn't go free.\What are these?\Practice Questions for the Magic Four-Wheeler License Exam?\This one's Practice Questions for the Level 3 Four Elements Sorcerer Qualification? response:	Freed, what's the meaning of this?
context: Exactly.\Are you never going to let us out?\I know he said anything other than flying magic is allowed, but this goes too far!\I never said you couldn't go free.\What are these?\Practice Questions for the Magic Four-Wheeler License Exam?\This one's Practice Questions for the Level 3 Four Elements Sorcerer Qualification?\Freed, what's the meaning of this? response:	To escape from these runes, you must answer all the questions, and get them all correct.
context: Are you never going to let us out?\I know he said anything other than flying magic is allowed, but this goes too far!\I never said you couldn't go free.\What are these?\Practice Questions for the Magic Four-Wheeler License Exam?\This one's Practice Questions for the Level 3 Four Elements Sorcerer Qualification?\Freed, what's the meaning of this?\To escape from these runes, you must answer all the questions, and get them all correct. response:	What?!
context: I know he said anything other than flying magic is allowed, but this goes too far!\I never said you couldn't go free.\What are these?\Practice Questions for the Magic Four-Wheeler License Exam?\This one's Practice Questions for the Level 3 Four Elements Sorcerer Qualification?\Freed, what's the meaning of this?\To escape from these runes, you must answer all the questions, and get them all correct.\What?! response:	If this race purports to test both physical and mental strength,
context: I never said you couldn't go free.\What are these?\Practice Questions for the Magic Four-Wheeler License Exam?\This one's Practice Questions for the Level 3 Four Elements Sorcerer Qualification?\Freed, what's the meaning of this?\To escape from these runes, you must answer all the questions, and get them all correct.\What?!\If this race purports to test both physical and mental strength, response:	then this little side game is entertaining as well as fitting.
context: What are these?\Practice Questions for the Magic Four-Wheeler License Exam?\This one's Practice Questions for the Level 3 Four Elements Sorcerer Qualification?\Freed, what's the meaning of this?\To escape from these runes, you must answer all the questions, and get them all correct.\What?!\If this race purports to test both physical and mental strength,\then this little side game is entertaining as well as fitting. response:	If you feel bitter, blame yourselves for falling into my trap.
context: Practice Questions for the Magic Four-Wheeler License Exam?\This one's Practice Questions for the Level 3 Four Elements Sorcerer Qualification?\Freed, what's the meaning of this?\To escape from these runes, you must answer all the questions, and get them all correct.\What?!\If this race purports to test both physical and mental strength,\then this little side game is entertaining as well as fitting.\If you feel bitter, blame yourselves for falling into my trap. response:	Hold it, Freed!
context: This one's Practice Questions for the Level 3 Four Elements Sorcerer Qualification?\Freed, what's the meaning of this?\To escape from these runes, you must answer all the questions, and get them all correct.\What?!\If this race purports to test both physical and mental strength,\then this little side game is entertaining as well as fitting.\If you feel bitter, blame yourselves for falling into my trap.\Hold it, Freed! response:	Blame ourselves?
context: Freed, what's the meaning of this?\To escape from these runes, you must answer all the questions, and get them all correct.\What?!\If this race purports to test both physical and mental strength,\then this little side game is entertaining as well as fitting.\If you feel bitter, blame yourselves for falling into my trap.\Hold it, Freed!\Blame ourselves? response:	It was you who activated the runes...
context: To escape from these runes, you must answer all the questions, and get them all correct.\What?!\If this race purports to test both physical and mental strength,\then this little side game is entertaining as well as fitting.\If you feel bitter, blame yourselves for falling into my trap.\Hold it, Freed!\Blame ourselves?\It was you who activated the runes... response:	We were just caught up in it!
context: What?!\If this race purports to test both physical and mental strength,\then this little side game is entertaining as well as fitting.\If you feel bitter, blame yourselves for falling into my trap.\Hold it, Freed!\Blame ourselves?\It was you who activated the runes...\We were just caught up in it! response:	We've got no choice!
context: If this race purports to test both physical and mental strength,\then this little side game is entertaining as well as fitting.\If you feel bitter, blame yourselves for falling into my trap.\Hold it, Freed!\Blame ourselves?\It was you who activated the runes...\We were just caught up in it!\We've got no choice! response:	We'll solve all the problems!
context: then this little side game is entertaining as well as fitting.\If you feel bitter, blame yourselves for falling into my trap.\Hold it, Freed!\Blame ourselves?\It was you who activated the runes...\We were just caught up in it!\We've got no choice!\We'll solve all the problems! response:	Do them yourself!
context: If you feel bitter, blame yourselves for falling into my trap.\Hold it, Freed!\Blame ourselves?\It was you who activated the runes...\We were just caught up in it!\We've got no choice!\We'll solve all the problems!\Do them yourself! response:	Forgive me, friends!
context: Hold it, Freed!\Blame ourselves?\It was you who activated the runes...\We were just caught up in it!\We've got no choice!\We'll solve all the problems!\Do them yourself!\Forgive me, friends! response:	You meanies!
context: Blame ourselves?\It was you who activated the runes...\We were just caught up in it!\We've got no choice!\We'll solve all the problems!\Do them yourself!\Forgive me, friends!\You meanies! response:	She is brave for not using magic.
context: It was you who activated the runes...\We were just caught up in it!\We've got no choice!\We'll solve all the problems!\Do them yourself!\Forgive me, friends!\You meanies!\She is brave for not using magic. response:	Runes?
context: We were just caught up in it!\We've got no choice!\We'll solve all the problems!\Do them yourself!\Forgive me, friends!\You meanies!\She is brave for not using magic.\Runes? response:	Titania!
context: We've got no choice!\We'll solve all the problems!\Do them yourself!\Forgive me, friends!\You meanies!\She is brave for not using magic.\Runes?\Titania! response:	Your senses are as perceptive as ever!
context: We'll solve all the problems!\Do them yourself!\Forgive me, friends!\You meanies!\She is brave for not using magic.\Runes?\Titania!\Your senses are as perceptive as ever! response:	You may have noticed the rune trap, however...
context: Do them yourself!\Forgive me, friends!\You meanies!\She is brave for not using magic.\Runes?\Titania!\Your senses are as perceptive as ever!\You may have noticed the rune trap, however... response:	Breaking my running rhythm is a serious offense.
context: Forgive me, friends!\You meanies!\She is brave for not using magic.\Runes?\Titania!\Your senses are as perceptive as ever!\You may have noticed the rune trap, however...\Breaking my running rhythm is a serious offense. response:	Now I have to get my rhythm back...
context: You meanies!\She is brave for not using magic.\Runes?\Titania!\Your senses are as perceptive as ever!\You may have noticed the rune trap, however...\Breaking my running rhythm is a serious offense.\Now I have to get my rhythm back... response:	Erza, let me out of here!
context: She is brave for not using magic.\Runes?\Titania!\Your senses are as perceptive as ever!\You may have noticed the rune trap, however...\Breaking my running rhythm is a serious offense.\Now I have to get my rhythm back...\Erza, let me out of here! response:	Hey!
context: Runes?\Titania!\Your senses are as perceptive as ever!\You may have noticed the rune trap, however...\Breaking my running rhythm is a serious offense.\Now I have to get my rhythm back...\Erza, let me out of here!\Hey! response:	After getting past his tricks, she zings one back at him!
context: Titania!\Your senses are as perceptive as ever!\You may have noticed the rune trap, however...\Breaking my running rhythm is a serious offense.\Now I have to get my rhythm back...\Erza, let me out of here!\Hey!\After getting past his tricks, she zings one back at him! response:	The race has gotten completely unpredictable!
context: Your senses are as perceptive as ever!\You may have noticed the rune trap, however...\Breaking my running rhythm is a serious offense.\Now I have to get my rhythm back...\Erza, let me out of here!\Hey!\After getting past his tricks, she zings one back at him!\The race has gotten completely unpredictable! response:	No one wants to face the punishment.
context: You may have noticed the rune trap, however...\Breaking my running rhythm is a serious offense.\Now I have to get my rhythm back...\Erza, let me out of here!\Hey!\After getting past his tricks, she zings one back at him!\The race has gotten completely unpredictable!\No one wants to face the punishment. response:	Oh?
context: Breaking my running rhythm is a serious offense.\Now I have to get my rhythm back...\Erza, let me out of here!\Hey!\After getting past his tricks, she zings one back at him!\The race has gotten completely unpredictable!\No one wants to face the punishment.\Oh? response:	There's movement near the top of Mt. Ivor!
context: Now I have to get my rhythm back...\Erza, let me out of here!\Hey!\After getting past his tricks, she zings one back at him!\The race has gotten completely unpredictable!\No one wants to face the punishment.\Oh?\There's movement near the top of Mt. Ivor! response:	Could it be?
context: Erza, let me out of here!\Hey!\After getting past his tricks, she zings one back at him!\The race has gotten completely unpredictable!\No one wants to face the punishment.\Oh?\There's movement near the top of Mt. Ivor!\Could it be? response:	It's Jet!
context: Hey!\After getting past his tricks, she zings one back at him!\The race has gotten completely unpredictable!\No one wants to face the punishment.\Oh?\There's movement near the top of Mt. Ivor!\Could it be?\It's Jet! response:	The pre-race speculation was right on the money, as Jet is the first to reach the summit!
context: After getting past his tricks, she zings one back at him!\The race has gotten completely unpredictable!\No one wants to face the punishment.\Oh?\There's movement near the top of Mt. Ivor!\Could it be?\It's Jet!\The pre-race speculation was right on the money, as Jet is the first to reach the summit! response:	He took a Wyvern scale!
context: The race has gotten completely unpredictable!\No one wants to face the punishment.\Oh?\There's movement near the top of Mt. Ivor!\Could it be?\It's Jet!\The pre-race speculation was right on the money, as Jet is the first to reach the summit!\He took a Wyvern scale! response:	Now all he has to do is come back!
context: No one wants to face the punishment.\Oh?\There's movement near the top of Mt. Ivor!\Could it be?\It's Jet!\The pre-race speculation was right on the money, as Jet is the first to reach the summit!\He took a Wyvern scale!\Now all he has to do is come back! response:	Jet's speed isn't waning in the slightest!
context: Oh?\There's movement near the top of Mt. Ivor!\Could it be?\It's Jet!\The pre-race speculation was right on the money, as Jet is the first to reach the summit!\He took a Wyvern scale!\Now all he has to do is come back!\Jet's speed isn't waning in the slightest! response:	Who will get there next?!
context: There's movement near the top of Mt. Ivor!\Could it be?\It's Jet!\The pre-race speculation was right on the money, as Jet is the first to reach the summit!\He took a Wyvern scale!\Now all he has to do is come back!\Jet's speed isn't waning in the slightest!\Who will get there next?! response:	Ah, I'm beat...
context: Could it be?\It's Jet!\The pre-race speculation was right on the money, as Jet is the first to reach the summit!\He took a Wyvern scale!\Now all he has to do is come back!\Jet's speed isn't waning in the slightest!\Who will get there next?!\Ah, I'm beat... response:	I can't go on anymore. I need a little break.
context: It's Jet!\The pre-race speculation was right on the money, as Jet is the first to reach the summit!\He took a Wyvern scale!\Now all he has to do is come back!\Jet's speed isn't waning in the slightest!\Who will get there next?!\Ah, I'm beat...\I can't go on anymore. I need a little break. response:	Lu-chan, you have to keep going!
context: The pre-race speculation was right on the money, as Jet is the first to reach the summit!\He took a Wyvern scale!\Now all he has to do is come back!\Jet's speed isn't waning in the slightest!\Who will get there next?!\Ah, I'm beat...\I can't go on anymore. I need a little break.\Lu-chan, you have to keep going! response:	But my legs won't move!
context: He took a Wyvern scale!\Now all he has to do is come back!\Jet's speed isn't waning in the slightest!\Who will get there next?!\Ah, I'm beat...\I can't go on anymore. I need a little break.\Lu-chan, you have to keep going!\But my legs won't move! response:	Levy-chan, you go ahead. I'll catch up.
context: Now all he has to do is come back!\Jet's speed isn't waning in the slightest!\Who will get there next?!\Ah, I'm beat...\I can't go on anymore. I need a little break.\Lu-chan, you have to keep going!\But my legs won't move!\Levy-chan, you go ahead. I'll catch up. response:	Okay.
context: Jet's speed isn't waning in the slightest!\Who will get there next?!\Ah, I'm beat...\I can't go on anymore. I need a little break.\Lu-chan, you have to keep going!\But my legs won't move!\Levy-chan, you go ahead. I'll catch up.\Okay. response:	I'll be going now.
context: Who will get there next?!\Ah, I'm beat...\I can't go on anymore. I need a little break.\Lu-chan, you have to keep going!\But my legs won't move!\Levy-chan, you go ahead. I'll catch up.\Okay.\I'll be going now. response:	My legs hurt...
context: Ah, I'm beat...\I can't go on anymore. I need a little break.\Lu-chan, you have to keep going!\But my legs won't move!\Levy-chan, you go ahead. I'll catch up.\Okay.\I'll be going now.\My legs hurt... response:	Is there anything I can make use of?
context: I can't go on anymore. I need a little break.\Lu-chan, you have to keep going!\But my legs won't move!\Levy-chan, you go ahead. I'll catch up.\Okay.\I'll be going now.\My legs hurt...\Is there anything I can make use of? response:	Anyone good to rely on at a time like this...
context: Lu-chan, you have to keep going!\But my legs won't move!\Levy-chan, you go ahead. I'll catch up.\Okay.\I'll be going now.\My legs hurt...\Is there anything I can make use of?\Anyone good to rely on at a time like this... response:	Gate of the Maiden, I open thee!
context: But my legs won't move!\Levy-chan, you go ahead. I'll catch up.\Okay.\I'll be going now.\My legs hurt...\Is there anything I can make use of?\Anyone good to rely on at a time like this...\Gate of the Maiden, I open thee! response:	Virgo!
context: Levy-chan, you go ahead. I'll catch up.\Okay.\I'll be going now.\My legs hurt...\Is there anything I can make use of?\Anyone good to rely on at a time like this...\Gate of the Maiden, I open thee!\Virgo! response:	You called, Princess?
context: Okay.\I'll be going now.\My legs hurt...\Is there anything I can make use of?\Anyone good to rely on at a time like this...\Gate of the Maiden, I open thee!\Virgo!\You called, Princess? response:	Carry me up to the peak!
context: I'll be going now.\My legs hurt...\Is there anything I can make use of?\Anyone good to rely on at a time like this...\Gate of the Maiden, I open thee!\Virgo!\You called, Princess?\Carry me up to the peak! response:	And do it on the double!
context: My legs hurt...\Is there anything I can make use of?\Anyone good to rely on at a time like this...\Gate of the Maiden, I open thee!\Virgo!\You called, Princess?\Carry me up to the peak!\And do it on the double! response:	As you wish.
context: Is there anything I can make use of?\Anyone good to rely on at a time like this...\Gate of the Maiden, I open thee!\Virgo!\You called, Princess?\Carry me up to the peak!\And do it on the double!\As you wish. response:	This'll be a breeze!
context: Anyone good to rely on at a time like this...\Gate of the Maiden, I open thee!\Virgo!\You called, Princess?\Carry me up to the peak!\And do it on the double!\As you wish.\This'll be a breeze! response:	Full speed ahead!
context: Gate of the Maiden, I open thee!\Virgo!\You called, Princess?\Carry me up to the peak!\And do it on the double!\As you wish.\This'll be a breeze!\Full speed ahead! response:	I depart!
context: Virgo!\You called, Princess?\Carry me up to the peak!\And do it on the double!\As you wish.\This'll be a breeze!\Full speed ahead!\I depart! response:	Lu-chan?
context: You called, Princess?\Carry me up to the peak!\And do it on the double!\As you wish.\This'll be a breeze!\Full speed ahead!\I depart!\Lu-chan? response:	I'm gonna fall! I'm gonna fall!
context: Carry me up to the peak!\And do it on the double!\As you wish.\This'll be a breeze!\Full speed ahead!\I depart!\Lu-chan?\I'm gonna fall! I'm gonna fall! response:	Let me down, I'm scared!
context: And do it on the double!\As you wish.\This'll be a breeze!\Full speed ahead!\I depart!\Lu-chan?\I'm gonna fall! I'm gonna fall!\Let me down, I'm scared! response:	What lovely water...
context: As you wish.\This'll be a breeze!\Full speed ahead!\I depart!\Lu-chan?\I'm gonna fall! I'm gonna fall!\Let me down, I'm scared!\What lovely water... response:	The fatigue is washing right away...
context: This'll be a breeze!\Full speed ahead!\I depart!\Lu-chan?\I'm gonna fall! I'm gonna fall!\Let me down, I'm scared!\What lovely water...\The fatigue is washing right away... response:	Ah, Gray-sama...
context: Full speed ahead!\I depart!\Lu-chan?\I'm gonna fall! I'm gonna fall!\Let me down, I'm scared!\What lovely water...\The fatigue is washing right away...\Ah, Gray-sama... response:	Sorry for earlier.
context: I depart!\Lu-chan?\I'm gonna fall! I'm gonna fall!\Let me down, I'm scared!\What lovely water...\The fatigue is washing right away...\Ah, Gray-sama...\Sorry for earlier. response:	Juvia was also scared of this punishment, so she didn't help you, and instead went on ahead!
context: Lu-chan?\I'm gonna fall! I'm gonna fall!\Let me down, I'm scared!\What lovely water...\The fatigue is washing right away...\Ah, Gray-sama...\Sorry for earlier.\Juvia was also scared of this punishment, so she didn't help you, and instead went on ahead! response:	But Juvia is tormented by what she did!
context: I'm gonna fall! I'm gonna fall!\Let me down, I'm scared!\What lovely water...\The fatigue is washing right away...\Ah, Gray-sama...\Sorry for earlier.\Juvia was also scared of this punishment, so she didn't help you, and instead went on ahead!\But Juvia is tormented by what she did! response:	Until Gray-sama comes to this place, Juvia will rest herself in this cool water...
context: Let me down, I'm scared!\What lovely water...\The fatigue is washing right away...\Ah, Gray-sama...\Sorry for earlier.\Juvia was also scared of this punishment, so she didn't help you, and instead went on ahead!\But Juvia is tormented by what she did!\Until Gray-sama comes to this place, Juvia will rest herself in this cool water... response:	Like this...
context: What lovely water...\The fatigue is washing right away...\Ah, Gray-sama...\Sorry for earlier.\Juvia was also scared of this punishment, so she didn't help you, and instead went on ahead!\But Juvia is tormented by what she did!\Until Gray-sama comes to this place, Juvia will rest herself in this cool water...\Like this... response:	Was that... Juvia-san?
context: The fatigue is washing right away...\Ah, Gray-sama...\Sorry for earlier.\Juvia was also scared of this punishment, so she didn't help you, and instead went on ahead!\But Juvia is tormented by what she did!\Until Gray-sama comes to this place, Juvia will rest herself in this cool water...\Like this...\Was that... Juvia-san? response:	Ah, the water-user.
context: Ah, Gray-sama...\Sorry for earlier.\Juvia was also scared of this punishment, so she didn't help you, and instead went on ahead!\But Juvia is tormented by what she did!\Until Gray-sama comes to this place, Juvia will rest herself in this cool water...\Like this...\Was that... Juvia-san?\Ah, the water-user. response:	While she was soaking in the water, she must have changed herself to water by accident.
context: Sorry for earlier.\Juvia was also scared of this punishment, so she didn't help you, and instead went on ahead!\But Juvia is tormented by what she did!\Until Gray-sama comes to this place, Juvia will rest herself in this cool water...\Like this...\Was that... Juvia-san?\Ah, the water-user.\While she was soaking in the water, she must have changed herself to water by accident. response:	Have you seen Juvia around here?
context: Juvia was also scared of this punishment, so she didn't help you, and instead went on ahead!\But Juvia is tormented by what she did!\Until Gray-sama comes to this place, Juvia will rest herself in this cool water...\Like this...\Was that... Juvia-san?\Ah, the water-user.\While she was soaking in the water, she must have changed herself to water by accident.\Have you seen Juvia around here? response:	Seriously?
context: But Juvia is tormented by what she did!\Until Gray-sama comes to this place, Juvia will rest herself in this cool water...\Like this...\Was that... Juvia-san?\Ah, the water-user.\While she was soaking in the water, she must have changed herself to water by accident.\Have you seen Juvia around here?\Seriously? response:	Gray-sama!
context: Until Gray-sama comes to this place, Juvia will rest herself in this cool water...\Like this...\Was that... Juvia-san?\Ah, the water-user.\While she was soaking in the water, she must have changed herself to water by accident.\Have you seen Juvia around here?\Seriously?\Gray-sama! response:	Go, go, go!
context: Like this...\Was that... Juvia-san?\Ah, the water-user.\While she was soaking in the water, she must have changed herself to water by accident.\Have you seen Juvia around here?\Seriously?\Gray-sama!\Go, go, go! response:	Whoa there, they stopped!
context: Was that... Juvia-san?\Ah, the water-user.\While she was soaking in the water, she must have changed herself to water by accident.\Have you seen Juvia around here?\Seriously?\Gray-sama!\Go, go, go!\Whoa there, they stopped! response:	Out of fuel?
context: Ah, the water-user.\While she was soaking in the water, she must have changed herself to water by accident.\Have you seen Juvia around here?\Seriously?\Gray-sama!\Go, go, go!\Whoa there, they stopped!\Out of fuel? response:	Well, I was going full-power all this time.
context: While she was soaking in the water, she must have changed herself to water by accident.\Have you seen Juvia around here?\Seriously?\Gray-sama!\Go, go, go!\Whoa there, they stopped!\Out of fuel?\Well, I was going full-power all this time. response:	Gajeel!
context: Have you seen Juvia around here?\Seriously?\Gray-sama!\Go, go, go!\Whoa there, they stopped!\Out of fuel?\Well, I was going full-power all this time.\Gajeel! response:	Outta my way!
context: Seriously?\Gray-sama!\Go, go, go!\Whoa there, they stopped!\Out of fuel?\Well, I was going full-power all this time.\Gajeel!\Outta my way! response:	Gajeel, you bastard!
context: Gray-sama!\Go, go, go!\Whoa there, they stopped!\Out of fuel?\Well, I was going full-power all this time.\Gajeel!\Outta my way!\Gajeel, you bastard! response:	Can I eat that fire?
context: Go, go, go!\Whoa there, they stopped!\Out of fuel?\Well, I was going full-power all this time.\Gajeel!\Outta my way!\Gajeel, you bastard!\Can I eat that fire? response:	It's been 12 hours since the start!
context: Whoa there, they stopped!\Out of fuel?\Well, I was going full-power all this time.\Gajeel!\Outta my way!\Gajeel, you bastard!\Can I eat that fire?\It's been 12 hours since the start! response:	The moon has already risen over the night sky!
context: Out of fuel?\Well, I was going full-power all this time.\Gajeel!\Outta my way!\Gajeel, you bastard!\Can I eat that fire?\It's been 12 hours since the start!\The moon has already risen over the night sky! response:	Right now, the wizards are taking Wyvern scales one after another
context: Well, I was going full-power all this time.\Gajeel!\Outta my way!\Gajeel, you bastard!\Can I eat that fire?\It's been 12 hours since the start!\The moon has already risen over the night sky!\Right now, the wizards are taking Wyvern scales one after another response:	and blasting on to the return course!
context: Gajeel!\Outta my way!\Gajeel, you bastard!\Can I eat that fire?\It's been 12 hours since the start!\The moon has already risen over the night sky!\Right now, the wizards are taking Wyvern scales one after another\and blasting on to the return course! response:	Finally, here...
context: Outta my way!\Gajeel, you bastard!\Can I eat that fire?\It's been 12 hours since the start!\The moon has already risen over the night sky!\Right now, the wizards are taking Wyvern scales one after another\and blasting on to the return course!\Finally, here... response:	Oh, Happy!
context: Gajeel, you bastard!\Can I eat that fire?\It's been 12 hours since the start!\The moon has already risen over the night sky!\Right now, the wizards are taking Wyvern scales one after another\and blasting on to the return course!\Finally, here...\Oh, Happy! response:	Natsu!
context: Can I eat that fire?\It's been 12 hours since the start!\The moon has already risen over the night sky!\Right now, the wizards are taking Wyvern scales one after another\and blasting on to the return course!\Finally, here...\Oh, Happy!\Natsu! response:	Thanks, Natsu!
context: It's been 12 hours since the start!\The moon has already risen over the night sky!\Right now, the wizards are taking Wyvern scales one after another\and blasting on to the return course!\Finally, here...\Oh, Happy!\Natsu!\Thanks, Natsu! response:	I'm taking off.
context: The moon has already risen over the night sky!\Right now, the wizards are taking Wyvern scales one after another\and blasting on to the return course!\Finally, here...\Oh, Happy!\Natsu!\Thanks, Natsu!\I'm taking off. response:	Don't slack off on the way!
context: Right now, the wizards are taking Wyvern scales one after another\and blasting on to the return course!\Finally, here...\Oh, Happy!\Natsu!\Thanks, Natsu!\I'm taking off.\Don't slack off on the way! response:	I know!
context: and blasting on to the return course!\Finally, here...\Oh, Happy!\Natsu!\Thanks, Natsu!\I'm taking off.\Don't slack off on the way!\I know! response:	Fists of the Fire Dragon!
context: Finally, here...\Oh, Happy!\Natsu!\Thanks, Natsu!\I'm taking off.\Don't slack off on the way!\I know!\Fists of the Fire Dragon! response:	The 24 Hours Endurance Road Race!
context: Oh, Happy!\Natsu!\Thanks, Natsu!\I'm taking off.\Don't slack off on the way!\I know!\Fists of the Fire Dragon!\The 24 Hours Endurance Road Race! response:	We're well into the second half! Cool!
context: Natsu!\Thanks, Natsu!\I'm taking off.\Don't slack off on the way!\I know!\Fists of the Fire Dragon!\The 24 Hours Endurance Road Race!\We're well into the second half! Cool! response:	All the wizards, with Wyvern scale in hand,
context: Thanks, Natsu!\I'm taking off.\Don't slack off on the way!\I know!\Fists of the Fire Dragon!\The 24 Hours Endurance Road Race!\We're well into the second half! Cool!\All the wizards, with Wyvern scale in hand, response:	are racing full speed toward the Magnolia South Gate Park!
context: I'm taking off.\Don't slack off on the way!\I know!\Fists of the Fire Dragon!\The 24 Hours Endurance Road Race!\We're well into the second half! Cool!\All the wizards, with Wyvern scale in hand,\are racing full speed toward the Magnolia South Gate Park! response:	Still in the lead is Jet, as always!
context: Don't slack off on the way!\I know!\Fists of the Fire Dragon!\The 24 Hours Endurance Road Race!\We're well into the second half! Cool!\All the wizards, with Wyvern scale in hand,\are racing full speed toward the Magnolia South Gate Park!\Still in the lead is Jet, as always! response:	Next up is Erza, who doesn't even look winded!
context: I know!\Fists of the Fire Dragon!\The 24 Hours Endurance Road Race!\We're well into the second half! Cool!\All the wizards, with Wyvern scale in hand,\are racing full speed toward the Magnolia South Gate Park!\Still in the lead is Jet, as always!\Next up is Erza, who doesn't even look winded! response:	The next group is Gray, Lucy, and Gajeel, who are still running strong!
context: Fists of the Fire Dragon!\The 24 Hours Endurance Road Race!\We're well into the second half! Cool!\All the wizards, with Wyvern scale in hand,\are racing full speed toward the Magnolia South Gate Park!\Still in the lead is Jet, as always!\Next up is Erza, who doesn't even look winded!\The next group is Gray, Lucy, and Gajeel, who are still running strong! response:	Cool!
context: The 24 Hours Endurance Road Race!\We're well into the second half! Cool!\All the wizards, with Wyvern scale in hand,\are racing full speed toward the Magnolia South Gate Park!\Still in the lead is Jet, as always!\Next up is Erza, who doesn't even look winded!\The next group is Gray, Lucy, and Gajeel, who are still running strong!\Cool! response:	Behind them is the full pack in pursuit, not losing focus for an instant!
context: We're well into the second half! Cool!\All the wizards, with Wyvern scale in hand,\are racing full speed toward the Magnolia South Gate Park!\Still in the lead is Jet, as always!\Next up is Erza, who doesn't even look winded!\The next group is Gray, Lucy, and Gajeel, who are still running strong!\Cool!\Behind them is the full pack in pursuit, not losing focus for an instant! response:	Who will be coming in last?
