context: This is a story about my father, my mother, and me. response:	About our family of three.
context: If it is, something feels off\I got it!\There's no manga here!\Is this what Ms. Ichiko was talking about?!\A fashionista nest?!\Venti non-fat milk add whipped cream chocolate chips\vanilla creme banana nut chocolate latte.\Ice double tall double. response:	They're chanting some kind of spell!
context: I got it!\There's no manga here!\Is this what Ms. Ichiko was talking about?!\A fashionista nest?!\Venti non-fat milk add whipped cream chocolate chips\vanilla creme banana nut chocolate latte.\Ice double tall double.\They're chanting some kind of spell! response:	That mark!
context: There's no manga here!\Is this what Ms. Ichiko was talking about?!\A fashionista nest?!\Venti non-fat milk add whipped cream chocolate chips\vanilla creme banana nut chocolate latte.\Ice double tall double.\They're chanting some kind of spell!\That mark! response:	It really is!
context: Is this what Ms. Ichiko was talking about?!\A fashionista nest?!\Venti non-fat milk add whipped cream chocolate chips\vanilla creme banana nut chocolate latte.\Ice double tall double.\They're chanting some kind of spell!\That mark!\It really is! response:	It's a fashionista nest!
context: A fashionista nest?!\Venti non-fat milk add whipped cream chocolate chips\vanilla creme banana nut chocolate latte.\Ice double tall double.\They're chanting some kind of spell!\That mark!\It really is!\It's a fashionista nest! response:	Wait, is this maybe a Sta
context: Venti non-fat milk add whipped cream chocolate chips\vanilla creme banana nut chocolate latte.\Ice double tall double.\They're chanting some kind of spell!\That mark!\It really is!\It's a fashionista nest!\Wait, is this maybe a Sta response:	Look over there!
context: vanilla creme banana nut chocolate latte.\Ice double tall double.\They're chanting some kind of spell!\That mark!\It really is!\It's a fashionista nest!\Wait, is this maybe a Sta\Look over there! response:	Mr. Hero?
context: Ice double tall double.\They're chanting some kind of spell!\That mark!\It really is!\It's a fashionista nest!\Wait, is this maybe a Sta\Look over there!\Mr. Hero? response:	Mr. Hero came to save us!
context: They're chanting some kind of spell!\That mark!\It really is!\It's a fashionista nest!\Wait, is this maybe a Sta\Look over there!\Mr. Hero?\Mr. Hero came to save us! response:	No way! There's no way the hero who saved a cat could be so sloppy!
context: That mark!\It really is!\It's a fashionista nest!\Wait, is this maybe a Sta\Look over there!\Mr. Hero?\Mr. Hero came to save us!\No way! There's no way the hero who saved a cat could be so sloppy! response:	And he's drinking witch juice!
context: It really is!\It's a fashionista nest!\Wait, is this maybe a Sta\Look over there!\Mr. Hero?\Mr. Hero came to save us!\No way! There's no way the hero who saved a cat could be so sloppy!\And he's drinking witch juice! response:	He's one of the monsters!
context: It's a fashionista nest!\Wait, is this maybe a Sta\Look over there!\Mr. Hero?\Mr. Hero came to save us!\No way! There's no way the hero who saved a cat could be so sloppy!\And he's drinking witch juice!\He's one of the monsters! response:	If there's no manga, then
context: Wait, is this maybe a Sta\Look over there!\Mr. Hero?\Mr. Hero came to save us!\No way! There's no way the hero who saved a cat could be so sloppy!\And he's drinking witch juice!\He's one of the monsters!\If there's no manga, then response:	The monsters' weakness is manga!
context: Look over there!\Mr. Hero?\Mr. Hero came to save us!\No way! There's no way the hero who saved a cat could be so sloppy!\And he's drinking witch juice!\He's one of the monsters!\If there's no manga, then\The monsters' weakness is manga! response:	I get it!
context: Mr. Hero?\Mr. Hero came to save us!\No way! There's no way the hero who saved a cat could be so sloppy!\And he's drinking witch juice!\He's one of the monsters!\If there's no manga, then\The monsters' weakness is manga!\I get it! response:	I found this earlier
context: Mr. Hero came to save us!\No way! There's no way the hero who saved a cat could be so sloppy!\And he's drinking witch juice!\He's one of the monsters!\If there's no manga, then\The monsters' weakness is manga!\I get it!\I found this earlier response:	Take this, monster!
context: No way! There's no way the hero who saved a cat could be so sloppy!\And he's drinking witch juice!\He's one of the monsters!\If there's no manga, then\The monsters' weakness is manga!\I get it!\I found this earlier\Take this, monster! response:	Run away!
context: And he's drinking witch juice!\He's one of the monsters!\If there's no manga, then\The monsters' weakness is manga!\I get it!\I found this earlier\Take this, monster!\Run away! response:	I think this really is a Sta
context: He's one of the monsters!\If there's no manga, then\The monsters' weakness is manga!\I get it!\I found this earlier\Take this, monster!\Run away!\I think this really is a Sta response:	Come on, Hime!
context: If there's no manga, then\The monsters' weakness is manga!\I get it!\I found this earlier\Take this, monster!\Run away!\I think this really is a Sta\Come on, Hime! response:	This
context: The monsters' weakness is manga!\I get it!\I found this earlier\Take this, monster!\Run away!\I think this really is a Sta\Come on, Hime!\This response:	Are you crying?
context: I get it!\I found this earlier\Take this, monster!\Run away!\I think this really is a Sta\Come on, Hime!\This\Are you crying? response:	A lot of things I can't understand just happened
context: I found this earlier\Take this, monster!\Run away!\I think this really is a Sta\Come on, Hime!\This\Are you crying?\A lot of things I can't understand just happened response:	I guess I really do need to start selling
context: Take this, monster!\Run away!\I think this really is a Sta\Come on, Hime!\This\Are you crying?\A lot of things I can't understand just happened\I guess I really do need to start selling response:	Yeah, you do.
context: Run away!\I think this really is a Sta\Come on, Hime!\This\Are you crying?\A lot of things I can't understand just happened\I guess I really do need to start selling\Yeah, you do. response:	Today I played dark fantasy with my friends!
context: I think this really is a Sta\Come on, Hime!\This\Are you crying?\A lot of things I can't understand just happened\I guess I really do need to start selling\Yeah, you do.\Today I played dark fantasy with my friends! response:	We ran away from fashionistas!
context: Come on, Hime!\This\Are you crying?\A lot of things I can't understand just happened\I guess I really do need to start selling\Yeah, you do.\Today I played dark fantasy with my friends!\We ran away from fashionistas! response:	You shouldn't play dangerous games, though.
context: This\Are you crying?\A lot of things I can't understand just happened\I guess I really do need to start selling\Yeah, you do.\Today I played dark fantasy with my friends!\We ran away from fashionistas!\You shouldn't play dangerous games, though. response:	Okay.
context: Are you crying?\A lot of things I can't understand just happened\I guess I really do need to start selling\Yeah, you do.\Today I played dark fantasy with my friends!\We ran away from fashionistas!\You shouldn't play dangerous games, though.\Okay. response:	Lights out.
context: A lot of things I can't understand just happened\I guess I really do need to start selling\Yeah, you do.\Today I played dark fantasy with my friends!\We ran away from fashionistas!\You shouldn't play dangerous games, though.\Okay.\Lights out. response:	Okay.
context: I guess I really do need to start selling\Yeah, you do.\Today I played dark fantasy with my friends!\We ran away from fashionistas!\You shouldn't play dangerous games, though.\Okay.\Lights out.\Okay. response:	Hey, Hime.
context: Yeah, you do.\Today I played dark fantasy with my friends!\We ran away from fashionistas!\You shouldn't play dangerous games, though.\Okay.\Lights out.\Okay.\Hey, Hime. response:	Why'd you write that you wish I was important?
context: Today I played dark fantasy with my friends!\We ran away from fashionistas!\You shouldn't play dangerous games, though.\Okay.\Lights out.\Okay.\Hey, Hime.\Why'd you write that you wish I was important? response:	Oh!
context: We ran away from fashionistas!\You shouldn't play dangerous games, though.\Okay.\Lights out.\Okay.\Hey, Hime.\Why'd you write that you wish I was important?\Oh! response:	That?
context: You shouldn't play dangerous games, though.\Okay.\Lights out.\Okay.\Hey, Hime.\Why'd you write that you wish I was important?\Oh!\That? response:	I thought it'd make you happy!
context: Okay.\Lights out.\Okay.\Hey, Hime.\Why'd you write that you wish I was important?\Oh!\That?\I thought it'd make you happy! response:	Is that all?
context: Lights out.\Okay.\Hey, Hime.\Why'd you write that you wish I was important?\Oh!\That?\I thought it'd make you happy!\Is that all? response:	Huh? You're not happy?
context: Okay.\Hey, Hime.\Why'd you write that you wish I was important?\Oh!\That?\I thought it'd make you happy!\Is that all?\Huh? You're not happy? response:	No, I'm definitely happy.
context: Hey, Hime.\Why'd you write that you wish I was important?\Oh!\That?\I thought it'd make you happy!\Is that all?\Huh? You're not happy?\No, I'm definitely happy. response:	But what makes me happiest
context: Why'd you write that you wish I was important?\Oh!\That?\I thought it'd make you happy!\Is that all?\Huh? You're not happy?\No, I'm definitely happy.\But what makes me happiest response:	Happiest of all
context: Oh!\That?\I thought it'd make you happy!\Is that all?\Huh? You're not happy?\No, I'm definitely happy.\But what makes me happiest\Happiest of all response:	No matter what happens, let's raise her well until the very end.
context: That?\I thought it'd make you happy!\Is that all?\Huh? You're not happy?\No, I'm definitely happy.\But what makes me happiest\Happiest of all\No matter what happens, let's raise her well until the very end. response:	is you growing up big and strong, Hime.
context: I thought it'd make you happy!\Is that all?\Huh? You're not happy?\No, I'm definitely happy.\But what makes me happiest\Happiest of all\No matter what happens, let's raise her well until the very end.\is you growing up big and strong, Hime. response:	Big and strong?
context: Is that all?\Huh? You're not happy?\No, I'm definitely happy.\But what makes me happiest\Happiest of all\No matter what happens, let's raise her well until the very end.\is you growing up big and strong, Hime.\Big and strong? response:	Maybe I should drink Yakult!
context: Huh? You're not happy?\No, I'm definitely happy.\But what makes me happiest\Happiest of all\No matter what happens, let's raise her well until the very end.\is you growing up big and strong, Hime.\Big and strong?\Maybe I should drink Yakult! response:	In that case, you can also make my wish come true.
context: No, I'm definitely happy.\But what makes me happiest\Happiest of all\No matter what happens, let's raise her well until the very end.\is you growing up big and strong, Hime.\Big and strong?\Maybe I should drink Yakult!\In that case, you can also make my wish come true. response:	In that case, you can also make my wish come true.
context: But what makes me happiest\Happiest of all\No matter what happens, let's raise her well until the very end.\is you growing up big and strong, Hime.\Big and strong?\Maybe I should drink Yakult!\In that case, you can also make my wish come true.\In that case, you can also make my wish come true. response:	I don't really remember much about my mother.
context: Happiest of all\No matter what happens, let's raise her well until the very end.\is you growing up big and strong, Hime.\Big and strong?\Maybe I should drink Yakult!\In that case, you can also make my wish come true.\In that case, you can also make my wish come true.\I don't really remember much about my mother. response:	Why isn't she around?
context: No matter what happens, let's raise her well until the very end.\is you growing up big and strong, Hime.\Big and strong?\Maybe I should drink Yakult!\In that case, you can also make my wish come true.\In that case, you can also make my wish come true.\I don't really remember much about my mother.\Why isn't she around? response:	My father never talked about it.
context: is you growing up big and strong, Hime.\Big and strong?\Maybe I should drink Yakult!\In that case, you can also make my wish come true.\In that case, you can also make my wish come true.\I don't really remember much about my mother.\Why isn't she around?\My father never talked about it. response:	But
context: Big and strong?\Maybe I should drink Yakult!\In that case, you can also make my wish come true.\In that case, you can also make my wish come true.\I don't really remember much about my mother.\Why isn't she around?\My father never talked about it.\But response:	my mother was the type to prepare for anything.
context: Maybe I should drink Yakult!\In that case, you can also make my wish come true.\In that case, you can also make my wish come true.\I don't really remember much about my mother.\Why isn't she around?\My father never talked about it.\But\my mother was the type to prepare for anything. response:	Whatever I might need as I grew up,
context: In that case, you can also make my wish come true.\In that case, you can also make my wish come true.\I don't really remember much about my mother.\Why isn't she around?\My father never talked about it.\But\my mother was the type to prepare for anything.\Whatever I might need as I grew up, response:	she boxed it up in advance.
context: In that case, you can also make my wish come true.\I don't really remember much about my mother.\Why isn't she around?\My father never talked about it.\But\my mother was the type to prepare for anything.\Whatever I might need as I grew up,\she boxed it up in advance. response:	When I was still young, that made me so happy.
context: I don't really remember much about my mother.\Why isn't she around?\My father never talked about it.\But\my mother was the type to prepare for anything.\Whatever I might need as I grew up,\she boxed it up in advance.\When I was still young, that made me so happy. response:	Every year,
context: Why isn't she around?\My father never talked about it.\But\my mother was the type to prepare for anything.\Whatever I might need as I grew up,\she boxed it up in advance.\When I was still young, that made me so happy.\Every year, response:	I'd open a box on my birthday.
context: My father never talked about it.\But\my mother was the type to prepare for anything.\Whatever I might need as I grew up,\she boxed it up in advance.\When I was still young, that made me so happy.\Every year,\I'd open a box on my birthday. response:	I looked forward to it so much.
context: But\my mother was the type to prepare for anything.\Whatever I might need as I grew up,\she boxed it up in advance.\When I was still young, that made me so happy.\Every year,\I'd open a box on my birthday.\I looked forward to it so much. response:	As you'd expect, as the years passed, they'd diverge from the trends,
context: my mother was the type to prepare for anything.\Whatever I might need as I grew up,\she boxed it up in advance.\When I was still young, that made me so happy.\Every year,\I'd open a box on my birthday.\I looked forward to it so much.\As you'd expect, as the years passed, they'd diverge from the trends, response:	and there was a fair amount of confusing stuff,
context: Whatever I might need as I grew up,\she boxed it up in advance.\When I was still young, that made me so happy.\Every year,\I'd open a box on my birthday.\I looked forward to it so much.\As you'd expect, as the years passed, they'd diverge from the trends,\and there was a fair amount of confusing stuff, response:	but
context: she boxed it up in advance.\When I was still young, that made me so happy.\Every year,\I'd open a box on my birthday.\I looked forward to it so much.\As you'd expect, as the years passed, they'd diverge from the trends,\and there was a fair amount of confusing stuff,\but response:	as confusing as they were,
context: When I was still young, that made me so happy.\Every year,\I'd open a box on my birthday.\I looked forward to it so much.\As you'd expect, as the years passed, they'd diverge from the trends,\and there was a fair amount of confusing stuff,\but\as confusing as they were, response:	they let me feel the times my mother saw,
context: Every year,\I'd open a box on my birthday.\I looked forward to it so much.\As you'd expect, as the years passed, they'd diverge from the trends,\and there was a fair amount of confusing stuff,\but\as confusing as they were,\they let me feel the times my mother saw, response:	and I treasured them even more.
context: I'd open a box on my birthday.\I looked forward to it so much.\As you'd expect, as the years passed, they'd diverge from the trends,\and there was a fair amount of confusing stuff,\but\as confusing as they were,\they let me feel the times my mother saw,\and I treasured them even more. response:	There are more of Mom's boxes?
context: I looked forward to it so much.\As you'd expect, as the years passed, they'd diverge from the trends,\and there was a fair amount of confusing stuff,\but\as confusing as they were,\they let me feel the times my mother saw,\and I treasured them even more.\There are more of Mom's boxes? response:	Why are they here?
context: As you'd expect, as the years passed, they'd diverge from the trends,\and there was a fair amount of confusing stuff,\but\as confusing as they were,\they let me feel the times my mother saw,\and I treasured them even more.\There are more of Mom's boxes?\Why are they here? response:	Hime?
context: and there was a fair amount of confusing stuff,\but\as confusing as they were,\they let me feel the times my mother saw,\and I treasured them even more.\There are more of Mom's boxes?\Why are they here?\Hime? response:	Hime, you're such a good artist! Daddy's no match for you.
context: but\as confusing as they were,\they let me feel the times my mother saw,\and I treasured them even more.\There are more of Mom's boxes?\Why are they here?\Hime?\Hime, you're such a good artist! Daddy's no match for you. response:	- Dad! - Dad.
context: as confusing as they were,\they let me feel the times my mother saw,\and I treasured them even more.\There are more of Mom's boxes?\Why are they here?\Hime?\Hime, you're such a good artist! Daddy's no match for you.\- Dad! - Dad. response:	I call you Dad, so stop calling yourself Daddy.
context: they let me feel the times my mother saw,\and I treasured them even more.\There are more of Mom's boxes?\Why are they here?\Hime?\Hime, you're such a good artist! Daddy's no match for you.\- Dad! - Dad.\I call you Dad, so stop calling yourself Daddy. response:	I have to because you won't, Hime
context: and I treasured them even more.\There are more of Mom's boxes?\Why are they here?\Hime?\Hime, you're such a good artist! Daddy's no match for you.\- Dad! - Dad.\I call you Dad, so stop calling yourself Daddy.\I have to because you won't, Hime response:	You're late! Where were you?
context: There are more of Mom's boxes?\Why are they here?\Hime?\Hime, you're such a good artist! Daddy's no match for you.\- Dad! - Dad.\I call you Dad, so stop calling yourself Daddy.\I have to because you won't, Hime\You're late! Where were you? response:	Sorry, sorry. What should we buy next?
context: Why are they here?\Hime?\Hime, you're such a good artist! Daddy's no match for you.\- Dad! - Dad.\I call you Dad, so stop calling yourself Daddy.\I have to because you won't, Hime\You're late! Where were you?\Sorry, sorry. What should we buy next? response:	Want to use my scarf?
context: Hime?\Hime, you're such a good artist! Daddy's no match for you.\- Dad! - Dad.\I call you Dad, so stop calling yourself Daddy.\I have to because you won't, Hime\You're late! Where were you?\Sorry, sorry. What should we buy next?\Want to use my scarf? response:	No, Daddy's fine.
context: Hime, you're such a good artist! Daddy's no match for you.\- Dad! - Dad.\I call you Dad, so stop calling yourself Daddy.\I have to because you won't, Hime\You're late! Where were you?\Sorry, sorry. What should we buy next?\Want to use my scarf?\No, Daddy's fine. response:	Besides, I had fun today
context: - Dad! - Dad.\I call you Dad, so stop calling yourself Daddy.\I have to because you won't, Hime\You're late! Where were you?\Sorry, sorry. What should we buy next?\Want to use my scarf?\No, Daddy's fine.\Besides, I had fun today response:	Wow! A treehouse!
context: I call you Dad, so stop calling yourself Daddy.\I have to because you won't, Hime\You're late! Where were you?\Sorry, sorry. What should we buy next?\Want to use my scarf?\No, Daddy's fine.\Besides, I had fun today\Wow! A treehouse! response:	Hime! That's dangerous! Come down!
context: I have to because you won't, Hime\You're late! Where were you?\Sorry, sorry. What should we buy next?\Want to use my scarf?\No, Daddy's fine.\Besides, I had fun today\Wow! A treehouse!\Hime! That's dangerous! Come down! response:	I get it
context: You're late! Where were you?\Sorry, sorry. What should we buy next?\Want to use my scarf?\No, Daddy's fine.\Besides, I had fun today\Wow! A treehouse!\Hime! That's dangerous! Come down!\I get it response:	Dad left these boxes for me.
context: Sorry, sorry. What should we buy next?\Want to use my scarf?\No, Daddy's fine.\Besides, I had fun today\Wow! A treehouse!\Hime! That's dangerous! Come down!\I get it\Dad left these boxes for me. response:	You don't need to put such big chunks of meat in the curry.
context: Want to use my scarf?\No, Daddy's fine.\Besides, I had fun today\Wow! A treehouse!\Hime! That's dangerous! Come down!\I get it\Dad left these boxes for me.\You don't need to put such big chunks of meat in the curry. response:	This notebook was in the age 10 box!
context: No, Daddy's fine.\Besides, I had fun today\Wow! A treehouse!\Hime! That's dangerous! Come down!\I get it\Dad left these boxes for me.\You don't need to put such big chunks of meat in the curry.\This notebook was in the age 10 box! response:	This notebook was in the age 10 box!
context: Besides, I had fun today\Wow! A treehouse!\Hime! That's dangerous! Come down!\I get it\Dad left these boxes for me.\You don't need to put such big chunks of meat in the curry.\This notebook was in the age 10 box!\This notebook was in the age 10 box! response:	Daddy wants to try your cooking, too.
context: Wow! A treehouse!\Hime! That's dangerous! Come down!\I get it\Dad left these boxes for me.\You don't need to put such big chunks of meat in the curry.\This notebook was in the age 10 box!\This notebook was in the age 10 box!\Daddy wants to try your cooking, too. response:	I'll do my best!
context: Hime! That's dangerous! Come down!\I get it\Dad left these boxes for me.\You don't need to put such big chunks of meat in the curry.\This notebook was in the age 10 box!\This notebook was in the age 10 box!\Daddy wants to try your cooking, too.\I'll do my best! response:	Little Hime's my fan!
context: I get it\Dad left these boxes for me.\You don't need to put such big chunks of meat in the curry.\This notebook was in the age 10 box!\This notebook was in the age 10 box!\Daddy wants to try your cooking, too.\I'll do my best!\Little Hime's my fan! response:	I aspire to be an idol!
context: Dad left these boxes for me.\You don't need to put such big chunks of meat in the curry.\This notebook was in the age 10 box!\This notebook was in the age 10 box!\Daddy wants to try your cooking, too.\I'll do my best!\Little Hime's my fan!\I aspire to be an idol! response:	She says you and I have a really strong guardian spirit,
context: You don't need to put such big chunks of meat in the curry.\This notebook was in the age 10 box!\This notebook was in the age 10 box!\Daddy wants to try your cooking, too.\I'll do my best!\Little Hime's my fan!\I aspire to be an idol!\She says you and I have a really strong guardian spirit, response:	and it'll protect us, so don't worry!
context: This notebook was in the age 10 box!\This notebook was in the age 10 box!\Daddy wants to try your cooking, too.\I'll do my best!\Little Hime's my fan!\I aspire to be an idol!\She says you and I have a really strong guardian spirit,\and it'll protect us, so don't worry! response:	Are you okay, Hime?!
context: This notebook was in the age 10 box!\Daddy wants to try your cooking, too.\I'll do my best!\Little Hime's my fan!\I aspire to be an idol!\She says you and I have a really strong guardian spirit,\and it'll protect us, so don't worry!\Are you okay, Hime?! response:	I'm fine.
context: Daddy wants to try your cooking, too.\I'll do my best!\Little Hime's my fan!\I aspire to be an idol!\She says you and I have a really strong guardian spirit,\and it'll protect us, so don't worry!\Are you okay, Hime?!\I'm fine. response:	If I have a savior like Hime,
context: I'll do my best!\Little Hime's my fan!\I aspire to be an idol!\She says you and I have a really strong guardian spirit,\and it'll protect us, so don't worry!\Are you okay, Hime?!\I'm fine.\If I have a savior like Hime, response:	I might be able to rewrite my life!
context: Little Hime's my fan!\I aspire to be an idol!\She says you and I have a really strong guardian spirit,\and it'll protect us, so don't worry!\Are you okay, Hime?!\I'm fine.\If I have a savior like Hime,\I might be able to rewrite my life! response:	That's what I thought!
context: I aspire to be an idol!\She says you and I have a really strong guardian spirit,\and it'll protect us, so don't worry!\Are you okay, Hime?!\I'm fine.\If I have a savior like Hime,\I might be able to rewrite my life!\That's what I thought! response:	Her life's savior, huh?
context: She says you and I have a really strong guardian spirit,\and it'll protect us, so don't worry!\Are you okay, Hime?!\I'm fine.\If I have a savior like Hime,\I might be able to rewrite my life!\That's what I thought!\Her life's savior, huh? response:	It's a gold medal! I made it at school.
context: and it'll protect us, so don't worry!\Are you okay, Hime?!\I'm fine.\If I have a savior like Hime,\I might be able to rewrite my life!\That's what I thought!\Her life's savior, huh?\It's a gold medal! I made it at school. response:	Hime?
context: Are you okay, Hime?!\I'm fine.\If I have a savior like Hime,\I might be able to rewrite my life!\That's what I thought!\Her life's savior, huh?\It's a gold medal! I made it at school.\Hime? response:	You're a gold medalist to me!
context: I'm fine.\If I have a savior like Hime,\I might be able to rewrite my life!\That's what I thought!\Her life's savior, huh?\It's a gold medal! I made it at school.\Hime?\You're a gold medalist to me! response:	Thanks, Hime.
context: If I have a savior like Hime,\I might be able to rewrite my life!\That's what I thought!\Her life's savior, huh?\It's a gold medal! I made it at school.\Hime?\You're a gold medalist to me!\Thanks, Hime. response:	He shamelessly sent one again?
context: I might be able to rewrite my life!\That's what I thought!\Her life's savior, huh?\It's a gold medal! I made it at school.\Hime?\You're a gold medalist to me!\Thanks, Hime.\He shamelessly sent one again? response:	It's from Mr. Datena Oto.
context: That's what I thought!\Her life's savior, huh?\It's a gold medal! I made it at school.\Hime?\You're a gold medalist to me!\Thanks, Hime.\He shamelessly sent one again?\It's from Mr. Datena Oto. response:	But you already have the one Daddy bought you.
context: Her life's savior, huh?\It's a gold medal! I made it at school.\Hime?\You're a gold medalist to me!\Thanks, Hime.\He shamelessly sent one again?\It's from Mr. Datena Oto.\But you already have the one Daddy bought you. response:	Yeah, and it's my favorite.
context: It's a gold medal! I made it at school.\Hime?\You're a gold medalist to me!\Thanks, Hime.\He shamelessly sent one again?\It's from Mr. Datena Oto.\But you already have the one Daddy bought you.\Yeah, and it's my favorite. response:	But I feel bad for Mr. Datena,
context: Hime?\You're a gold medalist to me!\Thanks, Hime.\He shamelessly sent one again?\It's from Mr. Datena Oto.\But you already have the one Daddy bought you.\Yeah, and it's my favorite.\But I feel bad for Mr. Datena, response:	so I tried wearing both!
context: You're a gold medalist to me!\Thanks, Hime.\He shamelessly sent one again?\It's from Mr. Datena Oto.\But you already have the one Daddy bought you.\Yeah, and it's my favorite.\But I feel bad for Mr. Datena,\so I tried wearing both! response:	Hime's such a nice girl.
context: Thanks, Hime.\He shamelessly sent one again?\It's from Mr. Datena Oto.\But you already have the one Daddy bought you.\Yeah, and it's my favorite.\But I feel bad for Mr. Datena,\so I tried wearing both!\Hime's such a nice girl. response:	Okay, we'll take a picture of you wearing it again this year.
context: He shamelessly sent one again?\It's from Mr. Datena Oto.\But you already have the one Daddy bought you.\Yeah, and it's my favorite.\But I feel bad for Mr. Datena,\so I tried wearing both!\Hime's such a nice girl.\Okay, we'll take a picture of you wearing it again this year. response:	Leave it closed so he can't see it's empty.
context: It's from Mr. Datena Oto.\But you already have the one Daddy bought you.\Yeah, and it's my favorite.\But I feel bad for Mr. Datena,\so I tried wearing both!\Hime's such a nice girl.\Okay, we'll take a picture of you wearing it again this year.\Leave it closed so he can't see it's empty. response:	Date Naoto again?
context: But you already have the one Daddy bought you.\Yeah, and it's my favorite.\But I feel bad for Mr. Datena,\so I tried wearing both!\Hime's such a nice girl.\Okay, we'll take a picture of you wearing it again this year.\Leave it closed so he can't see it's empty.\Date Naoto again? response:	Who's that?
context: Yeah, and it's my favorite.\But I feel bad for Mr. Datena,\so I tried wearing both!\Hime's such a nice girl.\Okay, we'll take a picture of you wearing it again this year.\Leave it closed so he can't see it's empty.\Date Naoto again?\Who's that? response:	He's shameless, sending a new backpack every year.
context: But I feel bad for Mr. Datena,\so I tried wearing both!\Hime's such a nice girl.\Okay, we'll take a picture of you wearing it again this year.\Leave it closed so he can't see it's empty.\Date Naoto again?\Who's that?\He's shameless, sending a new backpack every year. response:	Ah, this is one of those stories everyone's heard, huh?
context: so I tried wearing both!\Hime's such a nice girl.\Okay, we'll take a picture of you wearing it again this year.\Leave it closed so he can't see it's empty.\Date Naoto again?\Who's that?\He's shameless, sending a new backpack every year.\Ah, this is one of those stories everyone's heard, huh? response:	So, who's Date Naoto?
context: Hime's such a nice girl.\Okay, we'll take a picture of you wearing it again this year.\Leave it closed so he can't see it's empty.\Date Naoto again?\Who's that?\He's shameless, sending a new backpack every year.\Ah, this is one of those stories everyone's heard, huh?\So, who's Date Naoto? response:	That's his private life
context: Okay, we'll take a picture of you wearing it again this year.\Leave it closed so he can't see it's empty.\Date Naoto again?\Who's that?\He's shameless, sending a new backpack every year.\Ah, this is one of those stories everyone's heard, huh?\So, who's Date Naoto?\That's his private life response:	Don't go sticking your foot in it!
context: Leave it closed so he can't see it's empty.\Date Naoto again?\Who's that?\He's shameless, sending a new backpack every year.\Ah, this is one of those stories everyone's heard, huh?\So, who's Date Naoto?\That's his private life\Don't go sticking your foot in it! response:	There's no way Date Naoto's a good guy.
context: Date Naoto again?\Who's that?\He's shameless, sending a new backpack every year.\Ah, this is one of those stories everyone's heard, huh?\So, who's Date Naoto?\That's his private life\Don't go sticking your foot in it!\There's no way Date Naoto's a good guy. response:	First of all, the Date Naotos of the world are wrong.
context: Who's that?\He's shameless, sending a new backpack every year.\Ah, this is one of those stories everyone's heard, huh?\So, who's Date Naoto?\That's his private life\Don't go sticking your foot in it!\There's no way Date Naoto's a good guy.\First of all, the Date Naotos of the world are wrong. response:	I bought a backpack for you. Isn't that sleazy?
context: He's shameless, sending a new backpack every year.\Ah, this is one of those stories everyone's heard, huh?\So, who's Date Naoto?\That's his private life\Don't go sticking your foot in it!\There's no way Date Naoto's a good guy.\First of all, the Date Naotos of the world are wrong.\I bought a backpack for you. Isn't that sleazy? response:	It should be, I had the honor of buying you a backpack!
context: Ah, this is one of those stories everyone's heard, huh?\So, who's Date Naoto?\That's his private life\Don't go sticking your foot in it!\There's no way Date Naoto's a good guy.\First of all, the Date Naotos of the world are wrong.\I bought a backpack for you. Isn't that sleazy?\It should be, I had the honor of buying you a backpack! response:	Buying a backpack is a privilege!
context: So, who's Date Naoto?\That's his private life\Don't go sticking your foot in it!\There's no way Date Naoto's a good guy.\First of all, the Date Naotos of the world are wrong.\I bought a backpack for you. Isn't that sleazy?\It should be, I had the honor of buying you a backpack!\Buying a backpack is a privilege! response:	Buying a backpack is a privilege!
context: That's his private life\Don't go sticking your foot in it!\There's no way Date Naoto's a good guy.\First of all, the Date Naotos of the world are wrong.\I bought a backpack for you. Isn't that sleazy?\It should be, I had the honor of buying you a backpack!\Buying a backpack is a privilege!\Buying a backpack is a privilege! response:	Being a parent
context: Don't go sticking your foot in it!\There's no way Date Naoto's a good guy.\First of all, the Date Naotos of the world are wrong.\I bought a backpack for you. Isn't that sleazy?\It should be, I had the honor of buying you a backpack!\Buying a backpack is a privilege!\Buying a backpack is a privilege!\Being a parent response:	means beating out everyone who wants to buy one,
context: There's no way Date Naoto's a good guy.\First of all, the Date Naotos of the world are wrong.\I bought a backpack for you. Isn't that sleazy?\It should be, I had the honor of buying you a backpack!\Buying a backpack is a privilege!\Buying a backpack is a privilege!\Being a parent\means beating out everyone who wants to buy one, response:	means beating out everyone who wants to buy one,
context: First of all, the Date Naotos of the world are wrong.\I bought a backpack for you. Isn't that sleazy?\It should be, I had the honor of buying you a backpack!\Buying a backpack is a privilege!\Buying a backpack is a privilege!\Being a parent\means beating out everyone who wants to buy one,\means beating out everyone who wants to buy one, response:	and earning the right to buy it,
context: I bought a backpack for you. Isn't that sleazy?\It should be, I had the honor of buying you a backpack!\Buying a backpack is a privilege!\Buying a backpack is a privilege!\Being a parent\means beating out everyone who wants to buy one,\means beating out everyone who wants to buy one,\and earning the right to buy it, response:	so it's not a stranger's place to buy one!
context: It should be, I had the honor of buying you a backpack!\Buying a backpack is a privilege!\Buying a backpack is a privilege!\Being a parent\means beating out everyone who wants to buy one,\means beating out everyone who wants to buy one,\and earning the right to buy it,\so it's not a stranger's place to buy one! response:	That's your problem?
