context: Rokuro, Saizo, Isanami. response:	The three of you will accompany me to the capitol.
context: Isanami!\Saizo!\Bombs!\You owe me one, Saizo.\Kamanosuke.\What the hell are you doing here?\Can't I be here?\Isanami, are you all right? response:	Yeah.
context: Saizo!\Bombs!\You owe me one, Saizo.\Kamanosuke.\What the hell are you doing here?\Can't I be here?\Isanami, are you all right?\Yeah. response:	Looks like everyone's fine.
context: Bombs!\You owe me one, Saizo.\Kamanosuke.\What the hell are you doing here?\Can't I be here?\Isanami, are you all right?\Yeah.\Looks like everyone's fine. response:	But who would do such a thing?
context: You owe me one, Saizo.\Kamanosuke.\What the hell are you doing here?\Can't I be here?\Isanami, are you all right?\Yeah.\Looks like everyone's fine.\But who would do such a thing? response:	Amazing.
context: Kamanosuke.\What the hell are you doing here?\Can't I be here?\Isanami, are you all right?\Yeah.\Looks like everyone's fine.\But who would do such a thing?\Amazing. response:	You're the first ones to avoid all my traps.
context: What the hell are you doing here?\Can't I be here?\Isanami, are you all right?\Yeah.\Looks like everyone's fine.\But who would do such a thing?\Amazing.\You're the first ones to avoid all my traps. response:	You're the boy from the inn.
context: Can't I be here?\Isanami, are you all right?\Yeah.\Looks like everyone's fine.\But who would do such a thing?\Amazing.\You're the first ones to avoid all my traps.\You're the boy from the inn. response:	That gunpowder I smelled...
context: Isanami, are you all right?\Yeah.\Looks like everyone's fine.\But who would do such a thing?\Amazing.\You're the first ones to avoid all my traps.\You're the boy from the inn.\That gunpowder I smelled... response:	You did all of this.
context: Yeah.\Looks like everyone's fine.\But who would do such a thing?\Amazing.\You're the first ones to avoid all my traps.\You're the boy from the inn.\That gunpowder I smelled...\You did all of this. response:	That settles it.
context: Looks like everyone's fine.\But who would do such a thing?\Amazing.\You're the first ones to avoid all my traps.\You're the boy from the inn.\That gunpowder I smelled...\You did all of this.\That settles it. response:	Old man, hire me.
context: But who would do such a thing?\Amazing.\You're the first ones to avoid all my traps.\You're the boy from the inn.\That gunpowder I smelled...\You did all of this.\That settles it.\Old man, hire me. response:	What?
context: Amazing.\You're the first ones to avoid all my traps.\You're the boy from the inn.\That gunpowder I smelled...\You did all of this.\That settles it.\Old man, hire me.\What? response:	You want to become a samurai,
context: You're the first ones to avoid all my traps.\You're the boy from the inn.\That gunpowder I smelled...\You did all of this.\That settles it.\Old man, hire me.\What?\You want to become a samurai, response:	so you've been testing potential masters by sending them this way.
context: You're the boy from the inn.\That gunpowder I smelled...\You did all of this.\That settles it.\Old man, hire me.\What?\You want to become a samurai,\so you've been testing potential masters by sending them this way. response:	I'll choose my own master.
context: That gunpowder I smelled...\You did all of this.\That settles it.\Old man, hire me.\What?\You want to become a samurai,\so you've been testing potential masters by sending them this way.\I'll choose my own master. response:	I don't wanna work for some weakling.
context: You did all of this.\That settles it.\Old man, hire me.\What?\You want to become a samurai,\so you've been testing potential masters by sending them this way.\I'll choose my own master.\I don't wanna work for some weakling. response:	You all passed my test. I'll serve you.
context: That settles it.\Old man, hire me.\What?\You want to become a samurai,\so you've been testing potential masters by sending them this way.\I'll choose my own master.\I don't wanna work for some weakling.\You all passed my test. I'll serve you. response:	We passed, did we?
context: Old man, hire me.\What?\You want to become a samurai,\so you've been testing potential masters by sending them this way.\I'll choose my own master.\I don't wanna work for some weakling.\You all passed my test. I'll serve you.\We passed, did we? response:	No one sets better traps or makes better explosives than me.
context: What?\You want to become a samurai,\so you've been testing potential masters by sending them this way.\I'll choose my own master.\I don't wanna work for some weakling.\You all passed my test. I'll serve you.\We passed, did we?\No one sets better traps or makes better explosives than me. response:	I can be useful.
context: You want to become a samurai,\so you've been testing potential masters by sending them this way.\I'll choose my own master.\I don't wanna work for some weakling.\You all passed my test. I'll serve you.\We passed, did we?\No one sets better traps or makes better explosives than me.\I can be useful. response:	Ow.
context: so you've been testing potential masters by sending them this way.\I'll choose my own master.\I don't wanna work for some weakling.\You all passed my test. I'll serve you.\We passed, did we?\No one sets better traps or makes better explosives than me.\I can be useful.\Ow. response:	It's not your decision, brat.
context: I'll choose my own master.\I don't wanna work for some weakling.\You all passed my test. I'll serve you.\We passed, did we?\No one sets better traps or makes better explosives than me.\I can be useful.\Ow.\It's not your decision, brat. response:	Wah, miss!
context: I don't wanna work for some weakling.\You all passed my test. I'll serve you.\We passed, did we?\No one sets better traps or makes better explosives than me.\I can be useful.\Ow.\It's not your decision, brat.\Wah, miss! response:	Saizo, don't bully children.
context: You all passed my test. I'll serve you.\We passed, did we?\No one sets better traps or makes better explosives than me.\I can be useful.\Ow.\It's not your decision, brat.\Wah, miss!\Saizo, don't bully children. response:	Don't be ridiculous.
context: We passed, did we?\No one sets better traps or makes better explosives than me.\I can be useful.\Ow.\It's not your decision, brat.\Wah, miss!\Saizo, don't bully children.\Don't be ridiculous. response:	He almost killed us.
context: No one sets better traps or makes better explosives than me.\I can be useful.\Ow.\It's not your decision, brat.\Wah, miss!\Saizo, don't bully children.\Don't be ridiculous.\He almost killed us. response:	No one was hurt. Who cares?
context: I can be useful.\Ow.\It's not your decision, brat.\Wah, miss!\Saizo, don't bully children.\Don't be ridiculous.\He almost killed us.\No one was hurt. Who cares? response:	Go home already.
context: Ow.\It's not your decision, brat.\Wah, miss!\Saizo, don't bully children.\Don't be ridiculous.\He almost killed us.\No one was hurt. Who cares?\Go home already. response:	Your parents must be worried about you.
context: It's not your decision, brat.\Wah, miss!\Saizo, don't bully children.\Don't be ridiculous.\He almost killed us.\No one was hurt. Who cares?\Go home already.\Your parents must be worried about you. response:	I don't have any.
context: Wah, miss!\Saizo, don't bully children.\Don't be ridiculous.\He almost killed us.\No one was hurt. Who cares?\Go home already.\Your parents must be worried about you.\I don't have any. response:	Huh?
context: Saizo, don't bully children.\Don't be ridiculous.\He almost killed us.\No one was hurt. Who cares?\Go home already.\Your parents must be worried about you.\I don't have any.\Huh? response:	I don't have any parents. I...
context: Don't be ridiculous.\He almost killed us.\No one was hurt. Who cares?\Go home already.\Your parents must be worried about you.\I don't have any.\Huh?\I don't have any parents. I... response:	I've always lived by myself.
context: He almost killed us.\No one was hurt. Who cares?\Go home already.\Your parents must be worried about you.\I don't have any.\Huh?\I don't have any parents. I...\I've always lived by myself. response:	I bet your parents abandoned you.
context: No one was hurt. Who cares?\Go home already.\Your parents must be worried about you.\I don't have any.\Huh?\I don't have any parents. I...\I've always lived by myself.\I bet your parents abandoned you. response:	It's not uncommon.
context: Go home already.\Your parents must be worried about you.\I don't have any.\Huh?\I don't have any parents. I...\I've always lived by myself.\I bet your parents abandoned you.\It's not uncommon. response:	Saizo, that's terrible.
context: Your parents must be worried about you.\I don't have any.\Huh?\I don't have any parents. I...\I've always lived by myself.\I bet your parents abandoned you.\It's not uncommon.\Saizo, that's terrible. response:	Say whatever you want.
context: I don't have any.\Huh?\I don't have any parents. I...\I've always lived by myself.\I bet your parents abandoned you.\It's not uncommon.\Saizo, that's terrible.\Say whatever you want. response:	I like you.
context: Huh?\I don't have any parents. I...\I've always lived by myself.\I bet your parents abandoned you.\It's not uncommon.\Saizo, that's terrible.\Say whatever you want.\I like you. response:	I will allow you to serve me.
context: I don't have any parents. I...\I've always lived by myself.\I bet your parents abandoned you.\It's not uncommon.\Saizo, that's terrible.\Say whatever you want.\I like you.\I will allow you to serve me. response:	Really?
context: I've always lived by myself.\I bet your parents abandoned you.\It's not uncommon.\Saizo, that's terrible.\Say whatever you want.\I like you.\I will allow you to serve me.\Really? response:	Yukimura-sama.
context: I bet your parents abandoned you.\It's not uncommon.\Saizo, that's terrible.\Say whatever you want.\I like you.\I will allow you to serve me.\Really?\Yukimura-sama. response:	Are you crazy, old man?
context: It's not uncommon.\Saizo, that's terrible.\Say whatever you want.\I like you.\I will allow you to serve me.\Really?\Yukimura-sama.\Are you crazy, old man? response:	He's got a lot of guts for a young boy, don't you think?
context: Saizo, that's terrible.\Say whatever you want.\I like you.\I will allow you to serve me.\Really?\Yukimura-sama.\Are you crazy, old man?\He's got a lot of guts for a young boy, don't you think? response:	I'm impressed.
context: Say whatever you want.\I like you.\I will allow you to serve me.\Really?\Yukimura-sama.\Are you crazy, old man?\He's got a lot of guts for a young boy, don't you think?\I'm impressed. response:	What is your name, youngster?
context: I like you.\I will allow you to serve me.\Really?\Yukimura-sama.\Are you crazy, old man?\He's got a lot of guts for a young boy, don't you think?\I'm impressed.\What is your name, youngster? response:	Mochizuki Rokuro.
context: I will allow you to serve me.\Really?\Yukimura-sama.\Are you crazy, old man?\He's got a lot of guts for a young boy, don't you think?\I'm impressed.\What is your name, youngster?\Mochizuki Rokuro. response:	I'm the sixth child, so that's why I'm Rokuro.
context: Really?\Yukimura-sama.\Are you crazy, old man?\He's got a lot of guts for a young boy, don't you think?\I'm impressed.\What is your name, youngster?\Mochizuki Rokuro.\I'm the sixth child, so that's why I'm Rokuro. response:	I chose my own family name.
context: Yukimura-sama.\Are you crazy, old man?\He's got a lot of guts for a young boy, don't you think?\I'm impressed.\What is your name, youngster?\Mochizuki Rokuro.\I'm the sixth child, so that's why I'm Rokuro.\I chose my own family name. response:	It won't be convenient having two men with the same name.
context: Are you crazy, old man?\He's got a lot of guts for a young boy, don't you think?\I'm impressed.\What is your name, youngster?\Mochizuki Rokuro.\I'm the sixth child, so that's why I'm Rokuro.\I chose my own family name.\It won't be convenient having two men with the same name. response:	We really do have the same name?
context: He's got a lot of guts for a young boy, don't you think?\I'm impressed.\What is your name, youngster?\Mochizuki Rokuro.\I'm the sixth child, so that's why I'm Rokuro.\I chose my own family name.\It won't be convenient having two men with the same name.\We really do have the same name? response:	I heard you call him that earlier.
context: I'm impressed.\What is your name, youngster?\Mochizuki Rokuro.\I'm the sixth child, so that's why I'm Rokuro.\I chose my own family name.\It won't be convenient having two men with the same name.\We really do have the same name?\I heard you call him that earlier. response:	I don't care what you call me.
context: What is your name, youngster?\Mochizuki Rokuro.\I'm the sixth child, so that's why I'm Rokuro.\I chose my own family name.\It won't be convenient having two men with the same name.\We really do have the same name?\I heard you call him that earlier.\I don't care what you call me. response:	Rokuro's a lame name, anyway.
context: Mochizuki Rokuro.\I'm the sixth child, so that's why I'm Rokuro.\I chose my own family name.\It won't be convenient having two men with the same name.\We really do have the same name?\I heard you call him that earlier.\I don't care what you call me.\Rokuro's a lame name, anyway. response:	Lameness aside, there's only one Rokuro for me.
context: I'm the sixth child, so that's why I'm Rokuro.\I chose my own family name.\It won't be convenient having two men with the same name.\We really do have the same name?\I heard you call him that earlier.\I don't care what you call me.\Rokuro's a lame name, anyway.\Lameness aside, there's only one Rokuro for me. response:	I know, Benmaru.
context: I chose my own family name.\It won't be convenient having two men with the same name.\We really do have the same name?\I heard you call him that earlier.\I don't care what you call me.\Rokuro's a lame name, anyway.\Lameness aside, there's only one Rokuro for me.\I know, Benmaru. response:	Starting today, your name is Benmaru. Got it?
context: It won't be convenient having two men with the same name.\We really do have the same name?\I heard you call him that earlier.\I don't care what you call me.\Rokuro's a lame name, anyway.\Lameness aside, there's only one Rokuro for me.\I know, Benmaru.\Starting today, your name is Benmaru. Got it? response:	Yes, sir.
context: We really do have the same name?\I heard you call him that earlier.\I don't care what you call me.\Rokuro's a lame name, anyway.\Lameness aside, there's only one Rokuro for me.\I know, Benmaru.\Starting today, your name is Benmaru. Got it?\Yes, sir. response:	What a cute name.
context: I heard you call him that earlier.\I don't care what you call me.\Rokuro's a lame name, anyway.\Lameness aside, there's only one Rokuro for me.\I know, Benmaru.\Starting today, your name is Benmaru. Got it?\Yes, sir.\What a cute name. response:	Sir, Benmaru was your childhood name.
context: I don't care what you call me.\Rokuro's a lame name, anyway.\Lameness aside, there's only one Rokuro for me.\I know, Benmaru.\Starting today, your name is Benmaru. Got it?\Yes, sir.\What a cute name.\Sir, Benmaru was your childhood name. response:	What a waste.
context: Rokuro's a lame name, anyway.\Lameness aside, there's only one Rokuro for me.\I know, Benmaru.\Starting today, your name is Benmaru. Got it?\Yes, sir.\What a cute name.\Sir, Benmaru was your childhood name.\What a waste. response:	Don't be angry, Rokuro.
context: Lameness aside, there's only one Rokuro for me.\I know, Benmaru.\Starting today, your name is Benmaru. Got it?\Yes, sir.\What a cute name.\Sir, Benmaru was your childhood name.\What a waste.\Don't be angry, Rokuro. response:	Didn't I say I admire the boy's courage?
context: I know, Benmaru.\Starting today, your name is Benmaru. Got it?\Yes, sir.\What a cute name.\Sir, Benmaru was your childhood name.\What a waste.\Don't be angry, Rokuro.\Didn't I say I admire the boy's courage? response:	Besides, no encounter is mere coincidence.
context: Starting today, your name is Benmaru. Got it?\Yes, sir.\What a cute name.\Sir, Benmaru was your childhood name.\What a waste.\Don't be angry, Rokuro.\Didn't I say I admire the boy's courage?\Besides, no encounter is mere coincidence. response:	Isn't that right?
context: Yes, sir.\What a cute name.\Sir, Benmaru was your childhood name.\What a waste.\Don't be angry, Rokuro.\Didn't I say I admire the boy's courage?\Besides, no encounter is mere coincidence.\Isn't that right? response:	Very well.
context: What a cute name.\Sir, Benmaru was your childhood name.\What a waste.\Don't be angry, Rokuro.\Didn't I say I admire the boy's courage?\Besides, no encounter is mere coincidence.\Isn't that right?\Very well. response:	Now, Benmaru, I will give you your first order.
context: Sir, Benmaru was your childhood name.\What a waste.\Don't be angry, Rokuro.\Didn't I say I admire the boy's courage?\Besides, no encounter is mere coincidence.\Isn't that right?\Very well.\Now, Benmaru, I will give you your first order. response:	Yes, sir.
context: What a waste.\Don't be angry, Rokuro.\Didn't I say I admire the boy's courage?\Besides, no encounter is mere coincidence.\Isn't that right?\Very well.\Now, Benmaru, I will give you your first order.\Yes, sir. response:	We're on our way to the capitol.
context: Don't be angry, Rokuro.\Didn't I say I admire the boy's courage?\Besides, no encounter is mere coincidence.\Isn't that right?\Very well.\Now, Benmaru, I will give you your first order.\Yes, sir.\We're on our way to the capitol. response:	Because I cannot take you with us,
context: Didn't I say I admire the boy's courage?\Besides, no encounter is mere coincidence.\Isn't that right?\Very well.\Now, Benmaru, I will give you your first order.\Yes, sir.\We're on our way to the capitol.\Because I cannot take you with us, response:	I'd like you to wait at the inn up ahead.
context: Besides, no encounter is mere coincidence.\Isn't that right?\Very well.\Now, Benmaru, I will give you your first order.\Yes, sir.\We're on our way to the capitol.\Because I cannot take you with us,\I'd like you to wait at the inn up ahead. response:	What?
context: Isn't that right?\Very well.\Now, Benmaru, I will give you your first order.\Yes, sir.\We're on our way to the capitol.\Because I cannot take you with us,\I'd like you to wait at the inn up ahead.\What? response:	You must obey this order if you wish to serve me.
context: Very well.\Now, Benmaru, I will give you your first order.\Yes, sir.\We're on our way to the capitol.\Because I cannot take you with us,\I'd like you to wait at the inn up ahead.\What?\You must obey this order if you wish to serve me. response:	Got it?
context: Now, Benmaru, I will give you your first order.\Yes, sir.\We're on our way to the capitol.\Because I cannot take you with us,\I'd like you to wait at the inn up ahead.\What?\You must obey this order if you wish to serve me.\Got it? response:	Okay.
context: Yes, sir.\We're on our way to the capitol.\Because I cannot take you with us,\I'd like you to wait at the inn up ahead.\What?\You must obey this order if you wish to serve me.\Got it?\Okay. response:	And you two should return to Ueda.
context: We're on our way to the capitol.\Because I cannot take you with us,\I'd like you to wait at the inn up ahead.\What?\You must obey this order if you wish to serve me.\Got it?\Okay.\And you two should return to Ueda. response:	Well, it's what I'd like to say, but I know you won't listen to me.
context: Because I cannot take you with us,\I'd like you to wait at the inn up ahead.\What?\You must obey this order if you wish to serve me.\Got it?\Okay.\And you two should return to Ueda.\Well, it's what I'd like to say, but I know you won't listen to me. response:	Do whatever you want.
context: I'd like you to wait at the inn up ahead.\What?\You must obey this order if you wish to serve me.\Got it?\Okay.\And you two should return to Ueda.\Well, it's what I'd like to say, but I know you won't listen to me.\Do whatever you want. response:	Old man!
context: What?\You must obey this order if you wish to serve me.\Got it?\Okay.\And you two should return to Ueda.\Well, it's what I'd like to say, but I know you won't listen to me.\Do whatever you want.\Old man! response:	What extravagant clothes.
context: You must obey this order if you wish to serve me.\Got it?\Okay.\And you two should return to Ueda.\Well, it's what I'd like to say, but I know you won't listen to me.\Do whatever you want.\Old man!\What extravagant clothes. response:	I heard he's Lord Date.
context: Got it?\Okay.\And you two should return to Ueda.\Well, it's what I'd like to say, but I know you won't listen to me.\Do whatever you want.\Old man!\What extravagant clothes.\I heard he's Lord Date. response:	Oh, from Oshu.
context: Okay.\And you two should return to Ueda.\Well, it's what I'd like to say, but I know you won't listen to me.\Do whatever you want.\Old man!\What extravagant clothes.\I heard he's Lord Date.\Oh, from Oshu. response:	He's here.
context: And you two should return to Ueda.\Well, it's what I'd like to say, but I know you won't listen to me.\Do whatever you want.\Old man!\What extravagant clothes.\I heard he's Lord Date.\Oh, from Oshu.\He's here. response:	My lord.
context: Well, it's what I'd like to say, but I know you won't listen to me.\Do whatever you want.\Old man!\What extravagant clothes.\I heard he's Lord Date.\Oh, from Oshu.\He's here.\My lord. response:	You must have had a long journey.
context: Do whatever you want.\Old man!\What extravagant clothes.\I heard he's Lord Date.\Oh, from Oshu.\He's here.\My lord.\You must have had a long journey. response:	Ichimaru, Niko.
context: Old man!\What extravagant clothes.\I heard he's Lord Date.\Oh, from Oshu.\He's here.\My lord.\You must have had a long journey.\Ichimaru, Niko. response:	Thank you for meeting me.
context: What extravagant clothes.\I heard he's Lord Date.\Oh, from Oshu.\He's here.\My lord.\You must have had a long journey.\Ichimaru, Niko.\Thank you for meeting me. response:	Did you walk through the capitol in those clothes?
context: I heard he's Lord Date.\Oh, from Oshu.\He's here.\My lord.\You must have had a long journey.\Ichimaru, Niko.\Thank you for meeting me.\Did you walk through the capitol in those clothes? response:	It suits me, doesn't it?
context: Oh, from Oshu.\He's here.\My lord.\You must have had a long journey.\Ichimaru, Niko.\Thank you for meeting me.\Did you walk through the capitol in those clothes?\It suits me, doesn't it? response:	Excuse me.
context: He's here.\My lord.\You must have had a long journey.\Ichimaru, Niko.\Thank you for meeting me.\Did you walk through the capitol in those clothes?\It suits me, doesn't it?\Excuse me. response:	Has Lord Date Masamune arrived?
context: My lord.\You must have had a long journey.\Ichimaru, Niko.\Thank you for meeting me.\Did you walk through the capitol in those clothes?\It suits me, doesn't it?\Excuse me.\Has Lord Date Masamune arrived? response:	What?
context: You must have had a long journey.\Ichimaru, Niko.\Thank you for meeting me.\Did you walk through the capitol in those clothes?\It suits me, doesn't it?\Excuse me.\Has Lord Date Masamune arrived?\What? response:	With the tea ceremony tomorrow,
context: Ichimaru, Niko.\Thank you for meeting me.\Did you walk through the capitol in those clothes?\It suits me, doesn't it?\Excuse me.\Has Lord Date Masamune arrived?\What?\With the tea ceremony tomorrow, response:	I have come to deliver a special decree.
context: Thank you for meeting me.\Did you walk through the capitol in those clothes?\It suits me, doesn't it?\Excuse me.\Has Lord Date Masamune arrived?\What?\With the tea ceremony tomorrow,\I have come to deliver a special decree. response:	What decree?
context: Did you walk through the capitol in those clothes?\It suits me, doesn't it?\Excuse me.\Has Lord Date Masamune arrived?\What?\With the tea ceremony tomorrow,\I have come to deliver a special decree.\What decree? response:	A weapons ban?
context: It suits me, doesn't it?\Excuse me.\Has Lord Date Masamune arrived?\What?\With the tea ceremony tomorrow,\I have come to deliver a special decree.\What decree?\A weapons ban? response:	That's right.
context: Excuse me.\Has Lord Date Masamune arrived?\What?\With the tea ceremony tomorrow,\I have come to deliver a special decree.\What decree?\A weapons ban?\That's right. response:	The decree has been issued throughout the capitol.
context: Has Lord Date Masamune arrived?\What?\With the tea ceremony tomorrow,\I have come to deliver a special decree.\What decree?\A weapons ban?\That's right.\The decree has been issued throughout the capitol. response:	While I am gone, you must not draw your weapon.
context: What?\With the tea ceremony tomorrow,\I have come to deliver a special decree.\What decree?\A weapons ban?\That's right.\The decree has been issued throughout the capitol.\While I am gone, you must not draw your weapon. response:	What are we supposed to do if we run into Tokugawa or Date's men?
context: With the tea ceremony tomorrow,\I have come to deliver a special decree.\What decree?\A weapons ban?\That's right.\The decree has been issued throughout the capitol.\While I am gone, you must not draw your weapon.\What are we supposed to do if we run into Tokugawa or Date's men? response:	As long as the decree is in effect, we should not be attacked soon.
context: I have come to deliver a special decree.\What decree?\A weapons ban?\That's right.\The decree has been issued throughout the capitol.\While I am gone, you must not draw your weapon.\What are we supposed to do if we run into Tokugawa or Date's men?\As long as the decree is in effect, we should not be attacked soon. response:	You bitch, you ate my food.
context: What decree?\A weapons ban?\That's right.\The decree has been issued throughout the capitol.\While I am gone, you must not draw your weapon.\What are we supposed to do if we run into Tokugawa or Date's men?\As long as the decree is in effect, we should not be attacked soon.\You bitch, you ate my food. response:	It's your own fault for sleeping late.
context: A weapons ban?\That's right.\The decree has been issued throughout the capitol.\While I am gone, you must not draw your weapon.\What are we supposed to do if we run into Tokugawa or Date's men?\As long as the decree is in effect, we should not be attacked soon.\You bitch, you ate my food.\It's your own fault for sleeping late. response:	Shut up.
context: That's right.\The decree has been issued throughout the capitol.\While I am gone, you must not draw your weapon.\What are we supposed to do if we run into Tokugawa or Date's men?\As long as the decree is in effect, we should not be attacked soon.\You bitch, you ate my food.\It's your own fault for sleeping late.\Shut up. response:	You will not hurt Isanami!
context: The decree has been issued throughout the capitol.\While I am gone, you must not draw your weapon.\What are we supposed to do if we run into Tokugawa or Date's men?\As long as the decree is in effect, we should not be attacked soon.\You bitch, you ate my food.\It's your own fault for sleeping late.\Shut up.\You will not hurt Isanami! response:	I'm more worried about them.
context: While I am gone, you must not draw your weapon.\What are we supposed to do if we run into Tokugawa or Date's men?\As long as the decree is in effect, we should not be attacked soon.\You bitch, you ate my food.\It's your own fault for sleeping late.\Shut up.\You will not hurt Isanami!\I'm more worried about them. response:	I'm counting on you, playboy.
context: What are we supposed to do if we run into Tokugawa or Date's men?\As long as the decree is in effect, we should not be attacked soon.\You bitch, you ate my food.\It's your own fault for sleeping late.\Shut up.\You will not hurt Isanami!\I'm more worried about them.\I'm counting on you, playboy. response:	If I draw my weapon,
context: As long as the decree is in effect, we should not be attacked soon.\You bitch, you ate my food.\It's your own fault for sleeping late.\Shut up.\You will not hurt Isanami!\I'm more worried about them.\I'm counting on you, playboy.\If I draw my weapon, response:	Tokugawa will use it as an excuse to punish Sanada, huh?
context: You bitch, you ate my food.\It's your own fault for sleeping late.\Shut up.\You will not hurt Isanami!\I'm more worried about them.\I'm counting on you, playboy.\If I draw my weapon,\Tokugawa will use it as an excuse to punish Sanada, huh? response:	Kitano Shrine
context: It's your own fault for sleeping late.\Shut up.\You will not hurt Isanami!\I'm more worried about them.\I'm counting on you, playboy.\If I draw my weapon,\Tokugawa will use it as an excuse to punish Sanada, huh?\Kitano Shrine response:	You are the only one so underdressed.
context: Shut up.\You will not hurt Isanami!\I'm more worried about them.\I'm counting on you, playboy.\If I draw my weapon,\Tokugawa will use it as an excuse to punish Sanada, huh?\Kitano Shrine\You are the only one so underdressed. response:	I don't care. These clothes are more comfortable.
context: You will not hurt Isanami!\I'm more worried about them.\I'm counting on you, playboy.\If I draw my weapon,\Tokugawa will use it as an excuse to punish Sanada, huh?\Kitano Shrine\You are the only one so underdressed.\I don't care. These clothes are more comfortable. response:	There you are, Yukimura.
context: I'm more worried about them.\I'm counting on you, playboy.\If I draw my weapon,\Tokugawa will use it as an excuse to punish Sanada, huh?\Kitano Shrine\You are the only one so underdressed.\I don't care. These clothes are more comfortable.\There you are, Yukimura. response:	Lord Ishida Mitsunari.
context: I'm counting on you, playboy.\If I draw my weapon,\Tokugawa will use it as an excuse to punish Sanada, huh?\Kitano Shrine\You are the only one so underdressed.\I don't care. These clothes are more comfortable.\There you are, Yukimura.\Lord Ishida Mitsunari. response:	I didn't know you had been invited.
context: If I draw my weapon,\Tokugawa will use it as an excuse to punish Sanada, huh?\Kitano Shrine\You are the only one so underdressed.\I don't care. These clothes are more comfortable.\There you are, Yukimura.\Lord Ishida Mitsunari.\I didn't know you had been invited. response:	I could never refuse an invitation from the great Tokugawa.
context: Tokugawa will use it as an excuse to punish Sanada, huh?\Kitano Shrine\You are the only one so underdressed.\I don't care. These clothes are more comfortable.\There you are, Yukimura.\Lord Ishida Mitsunari.\I didn't know you had been invited.\I could never refuse an invitation from the great Tokugawa. response:	Did you do something?
context: Kitano Shrine\You are the only one so underdressed.\I don't care. These clothes are more comfortable.\There you are, Yukimura.\Lord Ishida Mitsunari.\I didn't know you had been invited.\I could never refuse an invitation from the great Tokugawa.\Did you do something? response:	Surely not.
context: You are the only one so underdressed.\I don't care. These clothes are more comfortable.\There you are, Yukimura.\Lord Ishida Mitsunari.\I didn't know you had been invited.\I could never refuse an invitation from the great Tokugawa.\Did you do something?\Surely not. response:	You are a difficult man.
context: I don't care. These clothes are more comfortable.\There you are, Yukimura.\Lord Ishida Mitsunari.\I didn't know you had been invited.\I could never refuse an invitation from the great Tokugawa.\Did you do something?\Surely not.\You are a difficult man. response:	You flatter me.
context: There you are, Yukimura.\Lord Ishida Mitsunari.\I didn't know you had been invited.\I could never refuse an invitation from the great Tokugawa.\Did you do something?\Surely not.\You are a difficult man.\You flatter me. response:	When I sent you a secret message regarding Ieyasu's behavior,
context: Lord Ishida Mitsunari.\I didn't know you had been invited.\I could never refuse an invitation from the great Tokugawa.\Did you do something?\Surely not.\You are a difficult man.\You flatter me.\When I sent you a secret message regarding Ieyasu's behavior, response:	you did nothing.
context: I didn't know you had been invited.\I could never refuse an invitation from the great Tokugawa.\Did you do something?\Surely not.\You are a difficult man.\You flatter me.\When I sent you a secret message regarding Ieyasu's behavior,\you did nothing. response:	Now Ieyasu is attempting to provoke me into a war,
context: I could never refuse an invitation from the great Tokugawa.\Did you do something?\Surely not.\You are a difficult man.\You flatter me.\When I sent you a secret message regarding Ieyasu's behavior,\you did nothing.\Now Ieyasu is attempting to provoke me into a war, response:	and swing the balance in his favor.
context: Did you do something?\Surely not.\You are a difficult man.\You flatter me.\When I sent you a secret message regarding Ieyasu's behavior,\you did nothing.\Now Ieyasu is attempting to provoke me into a war,\and swing the balance in his favor. response:	Don't rush your decision.
context: Surely not.\You are a difficult man.\You flatter me.\When I sent you a secret message regarding Ieyasu's behavior,\you did nothing.\Now Ieyasu is attempting to provoke me into a war,\and swing the balance in his favor.\Don't rush your decision. response:	Now is the time to establish your position.
context: You are a difficult man.\You flatter me.\When I sent you a secret message regarding Ieyasu's behavior,\you did nothing.\Now Ieyasu is attempting to provoke me into a war,\and swing the balance in his favor.\Don't rush your decision.\Now is the time to establish your position. response:	At least, that was my understanding.
context: You flatter me.\When I sent you a secret message regarding Ieyasu's behavior,\you did nothing.\Now Ieyasu is attempting to provoke me into a war,\and swing the balance in his favor.\Don't rush your decision.\Now is the time to establish your position.\At least, that was my understanding. response:	I don't get involved in trouble.
context: When I sent you a secret message regarding Ieyasu's behavior,\you did nothing.\Now Ieyasu is attempting to provoke me into a war,\and swing the balance in his favor.\Don't rush your decision.\Now is the time to establish your position.\At least, that was my understanding.\I don't get involved in trouble. response:	That's all.
context: you did nothing.\Now Ieyasu is attempting to provoke me into a war,\and swing the balance in his favor.\Don't rush your decision.\Now is the time to establish your position.\At least, that was my understanding.\I don't get involved in trouble.\That's all. response:	In any case, he's been rather brazen since the father of the regent passed away.
context: Now Ieyasu is attempting to provoke me into a war,\and swing the balance in his favor.\Don't rush your decision.\Now is the time to establish your position.\At least, that was my understanding.\I don't get involved in trouble.\That's all.\In any case, he's been rather brazen since the father of the regent passed away. response:	Even this tea ceremony is nothing more than a public display of power.
context: and swing the balance in his favor.\Don't rush your decision.\Now is the time to establish your position.\At least, that was my understanding.\I don't get involved in trouble.\That's all.\In any case, he's been rather brazen since the father of the regent passed away.\Even this tea ceremony is nothing more than a public display of power. response:	I couldn't agree more.
