context: Note that though we may be apart, if I am to hear response:	Can I copy your homework?
context: Hmm? Yeah.\Right.\Really...\Eyesight without glasses 0.03\Ayase-san, I'm pretty sure that Mashima\was the one who hid my glasses.\Huh?\Taichi might be selfish, but he's not mean! response:	And that's not me.
context: Right.\Really...\Eyesight without glasses 0.03\Ayase-san, I'm pretty sure that Mashima\was the one who hid my glasses.\Huh?\Taichi might be selfish, but he's not mean!\And that's not me. response:	We will now begin the final match!
context: Really...\Eyesight without glasses 0.03\Ayase-san, I'm pretty sure that Mashima\was the one who hid my glasses.\Huh?\Taichi might be selfish, but he's not mean!\And that's not me.\We will now begin the final match! response:	I'll go find your glasses!
context: Eyesight without glasses 0.03\Ayase-san, I'm pretty sure that Mashima\was the one who hid my glasses.\Huh?\Taichi might be selfish, but he's not mean!\And that's not me.\We will now begin the final match!\I'll go find your glasses! response:	Hold on!
context: Ayase-san, I'm pretty sure that Mashima\was the one who hid my glasses.\Huh?\Taichi might be selfish, but he's not mean!\And that's not me.\We will now begin the final match!\I'll go find your glasses!\Hold on! response:	Do you really have to lean that close to read them?
context: was the one who hid my glasses.\Huh?\Taichi might be selfish, but he's not mean!\And that's not me.\We will now begin the final match!\I'll go find your glasses!\Hold on!\Do you really have to lean that close to read them? response:	Are you making sure you'll have an excuse when you lose?
context: Huh?\Taichi might be selfish, but he's not mean!\And that's not me.\We will now begin the final match!\I'll go find your glasses!\Hold on!\Do you really have to lean that close to read them?\Are you making sure you'll have an excuse when you lose? response:	J-Just so we're clear...
context: Taichi might be selfish, but he's not mean!\And that's not me.\We will now begin the final match!\I'll go find your glasses!\Hold on!\Do you really have to lean that close to read them?\Are you making sure you'll have an excuse when you lose?\J-Just so we're clear... response:	If I take a card from you, you lose!
context: And that's not me.\We will now begin the final match!\I'll go find your glasses!\Hold on!\Do you really have to lean that close to read them?\Are you making sure you'll have an excuse when you lose?\J-Just so we're clear...\If I take a card from you, you lose! response:	Naniwa Bay, now the flower blooms, but for winter.
context: We will now begin the final match!\I'll go find your glasses!\Hold on!\Do you really have to lean that close to read them?\Are you making sure you'll have an excuse when you lose?\J-Just so we're clear...\If I take a card from you, you lose!\Naniwa Bay, now the flower blooms, but for winter. response:	Here comes spring, now the flower blooms.
context: I'll go find your glasses!\Hold on!\Do you really have to lean that close to read them?\Are you making sure you'll have an excuse when you lose?\J-Just so we're clear...\If I take a card from you, you lose!\Naniwa Bay, now the flower blooms, but for winter.\Here comes spring, now the flower blooms. response:	A mountain stream...
context: Hold on!\Do you really have to lean that close to read them?\Are you making sure you'll have an excuse when you lose?\J-Just so we're clear...\If I take a card from you, you lose!\Naniwa Bay, now the flower blooms, but for winter.\Here comes spring, now the flower blooms.\A mountain stream... response:	That was fast!
context: Do you really have to lean that close to read them?\Are you making sure you'll have an excuse when you lose?\J-Just so we're clear...\If I take a card from you, you lose!\Naniwa Bay, now the flower blooms, but for winter.\Here comes spring, now the flower blooms.\A mountain stream...\That was fast! response:	That scared me.
context: Are you making sure you'll have an excuse when you lose?\J-Just so we're clear...\If I take a card from you, you lose!\Naniwa Bay, now the flower blooms, but for winter.\Here comes spring, now the flower blooms.\A mountain stream...\That was fast!\That scared me. response:	What's going on?
context: J-Just so we're clear...\If I take a card from you, you lose!\Naniwa Bay, now the flower blooms, but for winter.\Here comes spring, now the flower blooms.\A mountain stream...\That was fast!\That scared me.\What's going on? response:	I thought he couldn't see.
context: If I take a card from you, you lose!\Naniwa Bay, now the flower blooms, but for winter.\Here comes spring, now the flower blooms.\A mountain stream...\That was fast!\That scared me.\What's going on?\I thought he couldn't see. response:	I wish...
context: Naniwa Bay, now the flower blooms, but for winter.\Here comes spring, now the flower blooms.\A mountain stream...\That was fast!\That scared me.\What's going on?\I thought he couldn't see.\I wish... response:	No way!
context: Here comes spring, now the flower blooms.\A mountain stream...\That was fast!\That scared me.\What's going on?\I thought he couldn't see.\I wish...\No way! response:	Waves...
context: A mountain stream...\That was fast!\That scared me.\What's going on?\I thought he couldn't see.\I wish...\No way!\Waves... response:	He memorized the initial position of every card?!
context: That was fast!\That scared me.\What's going on?\I thought he couldn't see.\I wish...\No way!\Waves...\He memorized the initial position of every card?! response:	My life means nothing after...
context: That scared me.\What's going on?\I thought he couldn't see.\I wish...\No way!\Waves...\He memorized the initial position of every card?!\My life means nothing after... response:	While some dodge...
context: What's going on?\I thought he couldn't see.\I wish...\No way!\Waves...\He memorized the initial position of every card?!\My life means nothing after...\While some dodge... response:	Oh, Wataya-kun.
context: I thought he couldn't see.\I wish...\No way!\Waves...\He memorized the initial position of every card?!\My life means nothing after...\While some dodge...\Oh, Wataya-kun. response:	That's the wrong card.
context: I wish...\No way!\Waves...\He memorized the initial position of every card?!\My life means nothing after...\While some dodge...\Oh, Wataya-kun.\That's the wrong card. response:	I have learned to both love and hate my fellow man
context: No way!\Waves...\He memorized the initial position of every card?!\My life means nothing after...\While some dodge...\Oh, Wataya-kun.\That's the wrong card.\I have learned to both love and hate my fellow man response:	I deflect your artful words to keep my sleeves dry
context: Waves...\He memorized the initial position of every card?!\My life means nothing after...\While some dodge...\Oh, Wataya-kun.\That's the wrong card.\I have learned to both love and hate my fellow man\I deflect your artful words to keep my sleeves dry response:	Got it!
context: He memorized the initial position of every card?!\My life means nothing after...\While some dodge...\Oh, Wataya-kun.\That's the wrong card.\I have learned to both love and hate my fellow man\I deflect your artful words to keep my sleeves dry\Got it! response:	Nice job, Taichi!
context: My life means nothing after...\While some dodge...\Oh, Wataya-kun.\That's the wrong card.\I have learned to both love and hate my fellow man\I deflect your artful words to keep my sleeves dry\Got it!\Nice job, Taichi! response:	Time to start your comeback!
context: While some dodge...\Oh, Wataya-kun.\That's the wrong card.\I have learned to both love and hate my fellow man\I deflect your artful words to keep my sleeves dry\Got it!\Nice job, Taichi!\Time to start your comeback! response:	The cards have been moved?
context: Oh, Wataya-kun.\That's the wrong card.\I have learned to both love and hate my fellow man\I deflect your artful words to keep my sleeves dry\Got it!\Nice job, Taichi!\Time to start your comeback!\The cards have been moved? response:	My fear is that you will forget your promise to never forget me,
context: That's the wrong card.\I have learned to both love and hate my fellow man\I deflect your artful words to keep my sleeves dry\Got it!\Nice job, Taichi!\Time to start your comeback!\The cards have been moved?\My fear is that you will forget your promise to never forget me, response:	Where is it?
context: I have learned to both love and hate my fellow man\I deflect your artful words to keep my sleeves dry\Got it!\Nice job, Taichi!\Time to start your comeback!\The cards have been moved?\My fear is that you will forget your promise to never forget me,\Where is it? response:	Found it!
context: I deflect your artful words to keep my sleeves dry\Got it!\Nice job, Taichi!\Time to start your comeback!\The cards have been moved?\My fear is that you will forget your promise to never forget me,\Where is it?\Found it! response:	Mashima got another card!
context: Got it!\Nice job, Taichi!\Time to start your comeback!\The cards have been moved?\My fear is that you will forget your promise to never forget me,\Where is it?\Found it!\Mashima got another card! response:	Way to go, Mashima!
context: Nice job, Taichi!\Time to start your comeback!\The cards have been moved?\My fear is that you will forget your promise to never forget me,\Where is it?\Found it!\Mashima got another card!\Way to go, Mashima! response:	Keep it up!
context: Time to start your comeback!\The cards have been moved?\My fear is that you will forget your promise to never forget me,\Where is it?\Found it!\Mashima got another card!\Way to go, Mashima!\Keep it up! response:	When the misty bridge of magpie feathers comes into sight,
context: The cards have been moved?\My fear is that you will forget your promise to never forget me,\Where is it?\Found it!\Mashima got another card!\Way to go, Mashima!\Keep it up!\When the misty bridge of magpie feathers comes into sight, response:	Awesome!
context: My fear is that you will forget your promise to never forget me,\Where is it?\Found it!\Mashima got another card!\Way to go, Mashima!\Keep it up!\When the misty bridge of magpie feathers comes into sight,\Awesome! response:	He got it!
context: Where is it?\Found it!\Mashima got another card!\Way to go, Mashima!\Keep it up!\When the misty bridge of magpie feathers comes into sight,\Awesome!\He got it! response:	That's it, Mashima!
context: Found it!\Mashima got another card!\Way to go, Mashima!\Keep it up!\When the misty bridge of magpie feathers comes into sight,\Awesome!\He got it!\That's it, Mashima! response:	Don't lose to the outsider!
context: Mashima got another card!\Way to go, Mashima!\Keep it up!\When the misty bridge of magpie feathers comes into sight,\Awesome!\He got it!\That's it, Mashima!\Don't lose to the outsider! response:	Wataya's lame!
context: Way to go, Mashima!\Keep it up!\When the misty bridge of magpie feathers comes into sight,\Awesome!\He got it!\That's it, Mashima!\Don't lose to the outsider!\Wataya's lame! response:	That's what you get for bragging about being good at karuta!
context: Keep it up!\When the misty bridge of magpie feathers comes into sight,\Awesome!\He got it!\That's it, Mashima!\Don't lose to the outsider!\Wataya's lame!\That's what you get for bragging about being good at karuta! response:	Take him out, Mashima!
context: When the misty bridge of magpie feathers comes into sight,\Awesome!\He got it!\That's it, Mashima!\Don't lose to the outsider!\Wataya's lame!\That's what you get for bragging about being good at karuta!\Take him out, Mashima! response:	Get him!
context: Awesome!\He got it!\That's it, Mashima!\Don't lose to the outsider!\Wataya's lame!\That's what you get for bragging about being good at karuta!\Take him out, Mashima!\Get him! response:	Do it!
context: He got it!\That's it, Mashima!\Don't lose to the outsider!\Wataya's lame!\That's what you get for bragging about being good at karuta!\Take him out, Mashima!\Get him!\Do it! response:	That's it!
context: That's it, Mashima!\Don't lose to the outsider!\Wataya's lame!\That's what you get for bragging about being good at karuta!\Take him out, Mashima!\Get him!\Do it!\That's it! response:	Sensei!
context: Don't lose to the outsider!\Wataya's lame!\That's what you get for bragging about being good at karuta!\Take him out, Mashima!\Get him!\Do it!\That's it!\Sensei! response:	Can I take Wataya-kun's place?!
context: Wataya's lame!\That's what you get for bragging about being good at karuta!\Take him out, Mashima!\Get him!\Do it!\That's it!\Sensei!\Can I take Wataya-kun's place?! response:	Huh?
context: That's what you get for bragging about being good at karuta!\Take him out, Mashima!\Get him!\Do it!\That's it!\Sensei!\Can I take Wataya-kun's place?!\Huh? response:	Huh?
context: Take him out, Mashima!\Get him!\Do it!\That's it!\Sensei!\Can I take Wataya-kun's place?!\Huh?\Huh? response:	I'll take Wataya-kun's place!
context: Get him!\Do it!\That's it!\Sensei!\Can I take Wataya-kun's place?!\Huh?\Huh?\I'll take Wataya-kun's place! response:	What are you saying?
context: Do it!\That's it!\Sensei!\Can I take Wataya-kun's place?!\Huh?\Huh?\I'll take Wataya-kun's place!\What are you saying? response:	You shouldn't interrupt a match, Ayase-san.
context: That's it!\Sensei!\Can I take Wataya-kun's place?!\Huh?\Huh?\I'll take Wataya-kun's place!\What are you saying?\You shouldn't interrupt a match, Ayase-san. response:	But Sensei! Wataya-kun lost his glasses!
context: Sensei!\Can I take Wataya-kun's place?!\Huh?\Huh?\I'll take Wataya-kun's place!\What are you saying?\You shouldn't interrupt a match, Ayase-san.\But Sensei! Wataya-kun lost his glasses! response:	And um...
context: Can I take Wataya-kun's place?!\Huh?\Huh?\I'll take Wataya-kun's place!\What are you saying?\You shouldn't interrupt a match, Ayase-san.\But Sensei! Wataya-kun lost his glasses!\And um... response:	I'm his number one pupil!
context: Huh?\Huh?\I'll take Wataya-kun's place!\What are you saying?\You shouldn't interrupt a match, Ayase-san.\But Sensei! Wataya-kun lost his glasses!\And um...\I'm his number one pupil! response:	It's true that he doesn't have his glasses.
context: Huh?\I'll take Wataya-kun's place!\What are you saying?\You shouldn't interrupt a match, Ayase-san.\But Sensei! Wataya-kun lost his glasses!\And um...\I'm his number one pupil!\It's true that he doesn't have his glasses. response:	I don't mind.
context: I'll take Wataya-kun's place!\What are you saying?\You shouldn't interrupt a match, Ayase-san.\But Sensei! Wataya-kun lost his glasses!\And um...\I'm his number one pupil!\It's true that he doesn't have his glasses.\I don't mind. response:	Chihaya is obviously weaker.
context: What are you saying?\You shouldn't interrupt a match, Ayase-san.\But Sensei! Wataya-kun lost his glasses!\And um...\I'm his number one pupil!\It's true that he doesn't have his glasses.\I don't mind.\Chihaya is obviously weaker. response:	Thank you!
context: You shouldn't interrupt a match, Ayase-san.\But Sensei! Wataya-kun lost his glasses!\And um...\I'm his number one pupil!\It's true that he doesn't have his glasses.\I don't mind.\Chihaya is obviously weaker.\Thank you! response:	But Chi-chan only has a third of the poems memorized.
context: But Sensei! Wataya-kun lost his glasses!\And um...\I'm his number one pupil!\It's true that he doesn't have his glasses.\I don't mind.\Chihaya is obviously weaker.\Thank you!\But Chi-chan only has a third of the poems memorized. response:	Is she going to be okay?
context: And um...\I'm his number one pupil!\It's true that he doesn't have his glasses.\I don't mind.\Chihaya is obviously weaker.\Thank you!\But Chi-chan only has a third of the poems memorized.\Is she going to be okay? response:	I'm going to win this match for Wataya-kun!
context: I'm his number one pupil!\It's true that he doesn't have his glasses.\I don't mind.\Chihaya is obviously weaker.\Thank you!\But Chi-chan only has a third of the poems memorized.\Is she going to be okay?\I'm going to win this match for Wataya-kun! response:	No...
context: It's true that he doesn't have his glasses.\I don't mind.\Chihaya is obviously weaker.\Thank you!\But Chi-chan only has a third of the poems memorized.\Is she going to be okay?\I'm going to win this match for Wataya-kun!\No... response:	the night is nearly past
context: I don't mind.\Chihaya is obviously weaker.\Thank you!\But Chi-chan only has a third of the poems memorized.\Is she going to be okay?\I'm going to win this match for Wataya-kun!\No...\the night is nearly past response:	I'm not doing this for him.
context: Chihaya is obviously weaker.\Thank you!\But Chi-chan only has a third of the poems memorized.\Is she going to be okay?\I'm going to win this match for Wataya-kun!\No...\the night is nearly past\I'm not doing this for him. response:	I'm...
context: Thank you!\But Chi-chan only has a third of the poems memorized.\Is she going to be okay?\I'm going to win this match for Wataya-kun!\No...\the night is nearly past\I'm not doing this for him.\I'm... response:	I'm the one who's going to defeat Taichi!
context: But Chi-chan only has a third of the poems memorized.\Is she going to be okay?\I'm going to win this match for Wataya-kun!\No...\the night is nearly past\I'm not doing this for him.\I'm...\I'm the one who's going to defeat Taichi! response:	May the scarlet kadsuras of Mount Afusaka...
context: Is she going to be okay?\I'm going to win this match for Wataya-kun!\No...\the night is nearly past\I'm not doing this for him.\I'm...\I'm the one who's going to defeat Taichi!\May the scarlet kadsuras of Mount Afusaka... response:	I know this one!
context: I'm going to win this match for Wataya-kun!\No...\the night is nearly past\I'm not doing this for him.\I'm...\I'm the one who's going to defeat Taichi!\May the scarlet kadsuras of Mount Afusaka...\I know this one! response:	Wh-What are you doing?!
context: No...\the night is nearly past\I'm not doing this for him.\I'm...\I'm the one who's going to defeat Taichi!\May the scarlet kadsuras of Mount Afusaka...\I know this one!\Wh-What are you doing?! response:	You're not supposed to use both hands.
context: the night is nearly past\I'm not doing this for him.\I'm...\I'm the one who's going to defeat Taichi!\May the scarlet kadsuras of Mount Afusaka...\I know this one!\Wh-What are you doing?!\You're not supposed to use both hands. response:	Huh? What order were these in?
context: I'm not doing this for him.\I'm...\I'm the one who's going to defeat Taichi!\May the scarlet kadsuras of Mount Afusaka...\I know this one!\Wh-What are you doing?!\You're not supposed to use both hands.\Huh? What order were these in? response:	You're out of control.
context: I'm...\I'm the one who's going to defeat Taichi!\May the scarlet kadsuras of Mount Afusaka...\I know this one!\Wh-What are you doing?!\You're not supposed to use both hands.\Huh? What order were these in?\You're out of control. response:	When I was playing against Wataya-kun,
context: I'm the one who's going to defeat Taichi!\May the scarlet kadsuras of Mount Afusaka...\I know this one!\Wh-What are you doing?!\You're not supposed to use both hands.\Huh? What order were these in?\You're out of control.\When I was playing against Wataya-kun, response:	Emperor Sutoku Swift waters parted by the jagged rocks
context: May the scarlet kadsuras of Mount Afusaka...\I know this one!\Wh-What are you doing?!\You're not supposed to use both hands.\Huh? What order were these in?\You're out of control.\When I was playing against Wataya-kun,\Emperor Sutoku Swift waters parted by the jagged rocks response:	I was focused on jumping into action
context: I know this one!\Wh-What are you doing?!\You're not supposed to use both hands.\Huh? What order were these in?\You're out of control.\When I was playing against Wataya-kun,\Emperor Sutoku Swift waters parted by the jagged rocks\I was focused on jumping into action response:	are joined at river's end
context: Wh-What are you doing?!\You're not supposed to use both hands.\Huh? What order were these in?\You're out of control.\When I was playing against Wataya-kun,\Emperor Sutoku Swift waters parted by the jagged rocks\I was focused on jumping into action\are joined at river's end response:	as soon as I heard the first word of the first verse.
context: You're not supposed to use both hands.\Huh? What order were these in?\You're out of control.\When I was playing against Wataya-kun,\Emperor Sutoku Swift waters parted by the jagged rocks\I was focused on jumping into action\are joined at river's end\as soon as I heard the first word of the first verse. response:	In other words...
context: Huh? What order were these in?\You're out of control.\When I was playing against Wataya-kun,\Emperor Sutoku Swift waters parted by the jagged rocks\I was focused on jumping into action\are joined at river's end\as soon as I heard the first word of the first verse.\In other words... response:	I just have to keep cycling through the first few words
context: You're out of control.\When I was playing against Wataya-kun,\Emperor Sutoku Swift waters parted by the jagged rocks\I was focused on jumping into action\are joined at river's end\as soon as I heard the first word of the first verse.\In other words...\I just have to keep cycling through the first few words response:	of every first verse!
context: When I was playing against Wataya-kun,\Emperor Sutoku Swift waters parted by the jagged rocks\I was focused on jumping into action\are joined at river's end\as soon as I heard the first word of the first verse.\In other words...\I just have to keep cycling through the first few words\of every first verse! response:	It doesn't matter what the poem means!
context: Emperor Sutoku Swift waters parted by the jagged rocks\I was focused on jumping into action\are joined at river's end\as soon as I heard the first word of the first verse.\In other words...\I just have to keep cycling through the first few words\of every first verse!\It doesn't matter what the poem means! response:	If she reads a card I don't recognize...
context: I was focused on jumping into action\are joined at river's end\as soon as I heard the first word of the first verse.\In other words...\I just have to keep cycling through the first few words\of every first verse!\It doesn't matter what the poem means!\If she reads a card I don't recognize... response:	Since the dew atop the blades of grass
context: are joined at river's end\as soon as I heard the first word of the first verse.\In other words...\I just have to keep cycling through the first few words\of every first verse!\It doesn't matter what the poem means!\If she reads a card I don't recognize...\Since the dew atop the blades of grass response:	I bat away the cards that are in the area Taichi is looking!
context: as soon as I heard the first word of the first verse.\In other words...\I just have to keep cycling through the first few words\of every first verse!\It doesn't matter what the poem means!\If she reads a card I don't recognize...\Since the dew atop the blades of grass\I bat away the cards that are in the area Taichi is looking! response:	That's cheap, Chihaya!
context: In other words...\I just have to keep cycling through the first few words\of every first verse!\It doesn't matter what the poem means!\If she reads a card I don't recognize...\Since the dew atop the blades of grass\I bat away the cards that are in the area Taichi is looking!\That's cheap, Chihaya! response:	Am I allowed to do that, Sensei?
context: I just have to keep cycling through the first few words\of every first verse!\It doesn't matter what the poem means!\If she reads a card I don't recognize...\Since the dew atop the blades of grass\I bat away the cards that are in the area Taichi is looking!\That's cheap, Chihaya!\Am I allowed to do that, Sensei? response:	The rules allow it.
context: of every first verse!\It doesn't matter what the poem means!\If she reads a card I don't recognize...\Since the dew atop the blades of grass\I bat away the cards that are in the area Taichi is looking!\That's cheap, Chihaya!\Am I allowed to do that, Sensei?\The rules allow it. response:	As long as the correct card is removed from the area of play.
context: It doesn't matter what the poem means!\If she reads a card I don't recognize...\Since the dew atop the blades of grass\I bat away the cards that are in the area Taichi is looking!\That's cheap, Chihaya!\Am I allowed to do that, Sensei?\The rules allow it.\As long as the correct card is removed from the area of play. response:	This girl certainly has style.
context: If she reads a card I don't recognize...\Since the dew atop the blades of grass\I bat away the cards that are in the area Taichi is looking!\That's cheap, Chihaya!\Am I allowed to do that, Sensei?\The rules allow it.\As long as the correct card is removed from the area of play.\This girl certainly has style. response:	For you, I head out to the fields to pick spring greens
context: Since the dew atop the blades of grass\I bat away the cards that are in the area Taichi is looking!\That's cheap, Chihaya!\Am I allowed to do that, Sensei?\The rules allow it.\As long as the correct card is removed from the area of play.\This girl certainly has style.\For you, I head out to the fields to pick spring greens response:	The second verse is while snow falls upon...
context: I bat away the cards that are in the area Taichi is looking!\That's cheap, Chihaya!\Am I allowed to do that, Sensei?\The rules allow it.\As long as the correct card is removed from the area of play.\This girl certainly has style.\For you, I head out to the fields to pick spring greens\The second verse is while snow falls upon... response:	I can't lose!
context: That's cheap, Chihaya!\Am I allowed to do that, Sensei?\The rules allow it.\As long as the correct card is removed from the area of play.\This girl certainly has style.\For you, I head out to the fields to pick spring greens\The second verse is while snow falls upon...\I can't lose! response:	Focus on Taichi's movements!
context: Am I allowed to do that, Sensei?\The rules allow it.\As long as the correct card is removed from the area of play.\This girl certainly has style.\For you, I head out to the fields to pick spring greens\The second verse is while snow falls upon...\I can't lose!\Focus on Taichi's movements! response:	Got it!
context: The rules allow it.\As long as the correct card is removed from the area of play.\This girl certainly has style.\For you, I head out to the fields to pick spring greens\The second verse is while snow falls upon...\I can't lose!\Focus on Taichi's movements!\Got it! response:	Why is she so serious?
context: As long as the correct card is removed from the area of play.\This girl certainly has style.\For you, I head out to the fields to pick spring greens\The second verse is while snow falls upon...\I can't lose!\Focus on Taichi's movements!\Got it!\Why is she so serious? response:	Is she...
context: This girl certainly has style.\For you, I head out to the fields to pick spring greens\The second verse is while snow falls upon...\I can't lose!\Focus on Taichi's movements!\Got it!\Why is she so serious?\Is she... response:	Is she doing it for him?
context: For you, I head out to the fields to pick spring greens\The second verse is while snow falls upon...\I can't lose!\Focus on Taichi's movements!\Got it!\Why is she so serious?\Is she...\Is she doing it for him? response:	For that loser?
context: The second verse is while snow falls upon...\I can't lose!\Focus on Taichi's movements!\Got it!\Why is she so serious?\Is she...\Is she doing it for him?\For that loser? response:	Got it!
context: I can't lose!\Focus on Taichi's movements!\Got it!\Why is she so serious?\Is she...\Is she doing it for him?\For that loser?\Got it! response:	What's wrong, Taichi?!
context: Focus on Taichi's movements!\Got it!\Why is she so serious?\Is she...\Is she doing it for him?\For that loser?\Got it!\What's wrong, Taichi?! response:	You better not lose!
context: Got it!\Why is she so serious?\Is she...\Is she doing it for him?\For that loser?\Got it!\What's wrong, Taichi?!\You better not lose! response:	Pull it together!
context: Why is she so serious?\Is she...\Is she doing it for him?\For that loser?\Got it!\What's wrong, Taichi?!\You better not lose!\Pull it together! response:	They're right!
context: Is she...\Is she doing it for him?\For that loser?\Got it!\What's wrong, Taichi?!\You better not lose!\Pull it together!\They're right! response:	Focus!
context: Is she doing it for him?\For that loser?\Got it!\What's wrong, Taichi?!\You better not lose!\Pull it together!\They're right!\Focus! response:	For the...
context: For that loser?\Got it!\What's wrong, Taichi?!\You better not lose!\Pull it together!\They're right!\Focus!\For the... response:	May I find the...
context: Got it!\What's wrong, Taichi?!\You better not lose!\Pull it together!\They're right!\Focus!\For the...\May I find the... response:	Chi-chan got the card!
context: What's wrong, Taichi?!\You better not lose!\Pull it together!\They're right!\Focus!\For the...\May I find the...\Chi-chan got the card! response:	Only one left!
context: You better not lose!\Pull it together!\They're right!\Focus!\For the...\May I find the...\Chi-chan got the card!\Only one left! response:	Only one left.
context: Pull it together!\They're right!\Focus!\For the...\May I find the...\Chi-chan got the card!\Only one left!\Only one left. response:	Only one left.
context: They're right!\Focus!\For the...\May I find the...\Chi-chan got the card!\Only one left!\Only one left.\Only one left. response:	Huh?
context: Focus!\For the...\May I find the...\Chi-chan got the card!\Only one left!\Only one left.\Only one left.\Huh? response:	No way!
context: For the...\May I find the...\Chi-chan got the card!\Only one left!\Only one left.\Only one left.\Huh?\No way! response:	I don't recognize any of the other cards!
context: May I find the...\Chi-chan got the card!\Only one left!\Only one left.\Only one left.\Huh?\No way!\I don't recognize any of the other cards! response:	What do I do?
context: Chi-chan got the card!\Only one left!\Only one left.\Only one left.\Huh?\No way!\I don't recognize any of the other cards!\What do I do? response:	Oh!
context: Only one left!\Only one left.\Only one left.\Huh?\No way!\I don't recognize any of the other cards!\What do I do?\Oh! response:	That's how I see it.
context: Only one left.\Only one left.\Huh?\No way!\I don't recognize any of the other cards!\What do I do?\Oh!\That's how I see it. response:	the red that is the Tatsuta River
context: Only one left.\Huh?\No way!\I don't recognize any of the other cards!\What do I do?\Oh!\That's how I see it.\the red that is the Tatsuta River response:	Chihaya is a good name.
context: Huh?\No way!\I don't recognize any of the other cards!\What do I do?\Oh!\That's how I see it.\the red that is the Tatsuta River\Chihaya is a good name. response:	Chihaya
context: No way!\I don't recognize any of the other cards!\What do I do?\Oh!\That's how I see it.\the red that is the Tatsuta River\Chihaya is a good name.\Chihaya response:	Th-This is...
context: I don't recognize any of the other cards!\What do I do?\Oh!\That's how I see it.\the red that is the Tatsuta River\Chihaya is a good name.\Chihaya\Th-This is... response:	Impassionate gods...
context: What do I do?\Oh!\That's how I see it.\the red that is the Tatsuta River\Chihaya is a good name.\Chihaya\Th-This is...\Impassionate gods... response:	This is how a karuta player sees the world!
context: Oh!\That's how I see it.\the red that is the Tatsuta River\Chihaya is a good name.\Chihaya\Th-This is...\Impassionate gods...\This is how a karuta player sees the world! response:	She did it!
context: That's how I see it.\the red that is the Tatsuta River\Chihaya is a good name.\Chihaya\Th-This is...\Impassionate gods...\This is how a karuta player sees the world!\She did it! response:	Our sixth grade champion is Ayase Chihaya-san from Class 1!
context: the red that is the Tatsuta River\Chihaya is a good name.\Chihaya\Th-This is...\Impassionate gods...\This is how a karuta player sees the world!\She did it!\Our sixth grade champion is Ayase Chihaya-san from Class 1! response:	Man! What's going on?!
context: Chihaya is a good name.\Chihaya\Th-This is...\Impassionate gods...\This is how a karuta player sees the world!\She did it!\Our sixth grade champion is Ayase Chihaya-san from Class 1!\Man! What's going on?! response:	Who cares if I'm not good at karuta!
context: Chihaya\Th-This is...\Impassionate gods...\This is how a karuta player sees the world!\She did it!\Our sixth grade champion is Ayase Chihaya-san from Class 1!\Man! What's going on?!\Who cares if I'm not good at karuta! response:	That was a really fun match!
context: Th-This is...\Impassionate gods...\This is how a karuta player sees the world!\She did it!\Our sixth grade champion is Ayase Chihaya-san from Class 1!\Man! What's going on?!\Who cares if I'm not good at karuta!\That was a really fun match! response:	Karuta is so much fun!
context: Impassionate gods...\This is how a karuta player sees the world!\She did it!\Our sixth grade champion is Ayase Chihaya-san from Class 1!\Man! What's going on?!\Who cares if I'm not good at karuta!\That was a really fun match!\Karuta is so much fun! response:	But it would be a different story if
context: This is how a karuta player sees the world!\She did it!\Our sixth grade champion is Ayase Chihaya-san from Class 1!\Man! What's going on?!\Who cares if I'm not good at karuta!\That was a really fun match!\Karuta is so much fun!\But it would be a different story if response:	you were playing against Wataya-kun!
context: She did it!\Our sixth grade champion is Ayase Chihaya-san from Class 1!\Man! What's going on?!\Who cares if I'm not good at karuta!\That was a really fun match!\Karuta is so much fun!\But it would be a different story if\you were playing against Wataya-kun! response:	He's going to become a master.
context: Our sixth grade champion is Ayase Chihaya-san from Class 1!\Man! What's going on?!\Who cares if I'm not good at karuta!\That was a really fun match!\Karuta is so much fun!\But it would be a different story if\you were playing against Wataya-kun!\He's going to become a master. response:	That makes you the Queen, Ayase-san.
context: Man! What's going on?!\Who cares if I'm not good at karuta!\That was a really fun match!\Karuta is so much fun!\But it would be a different story if\you were playing against Wataya-kun!\He's going to become a master.\That makes you the Queen, Ayase-san. response:	Queen?
context: Who cares if I'm not good at karuta!\That was a really fun match!\Karuta is so much fun!\But it would be a different story if\you were playing against Wataya-kun!\He's going to become a master.\That makes you the Queen, Ayase-san.\Queen? response:	It's the title given to the strongest female player.
context: That was a really fun match!\Karuta is so much fun!\But it would be a different story if\you were playing against Wataya-kun!\He's going to become a master.\That makes you the Queen, Ayase-san.\Queen?\It's the title given to the strongest female player. response:	Queen...
context: Karuta is so much fun!\But it would be a different story if\you were playing against Wataya-kun!\He's going to become a master.\That makes you the Queen, Ayase-san.\Queen?\It's the title given to the strongest female player.\Queen... response:	The best player in Japan...
context: But it would be a different story if\you were playing against Wataya-kun!\He's going to become a master.\That makes you the Queen, Ayase-san.\Queen?\It's the title given to the strongest female player.\Queen...\The best player in Japan... response:	is the best player in the world!
context: you were playing against Wataya-kun!\He's going to become a master.\That makes you the Queen, Ayase-san.\Queen?\It's the title given to the strongest female player.\Queen...\The best player in Japan...\is the best player in the world! response:	I believe that you have the talent for karuta.
