context: Why? response:	How?
context: The only way I can find out is to take a look.\I have to cut open your heads and look inside your brains.\Like hell you will!\Pine!\Pine!\Are you okay?!\Damn! I damaged my precious test subject!\Oh, well. response:	I'll be cutting you up eventually anyway.
context: I have to cut open your heads and look inside your brains.\Like hell you will!\Pine!\Pine!\Are you okay?!\Damn! I damaged my precious test subject!\Oh, well.\I'll be cutting you up eventually anyway. response:	I won't let you have Chiyoko.
context: Like hell you will!\Pine!\Pine!\Are you okay?!\Damn! I damaged my precious test subject!\Oh, well.\I'll be cutting you up eventually anyway.\I won't let you have Chiyoko. response:	Never.
context: Pine!\Pine!\Are you okay?!\Damn! I damaged my precious test subject!\Oh, well.\I'll be cutting you up eventually anyway.\I won't let you have Chiyoko.\Never. response:	Never...
context: Pine!\Are you okay?!\Damn! I damaged my precious test subject!\Oh, well.\I'll be cutting you up eventually anyway.\I won't let you have Chiyoko.\Never.\Never... response:	Never!
context: Are you okay?!\Damn! I damaged my precious test subject!\Oh, well.\I'll be cutting you up eventually anyway.\I won't let you have Chiyoko.\Never.\Never...\Never! response:	That's it!
context: Damn! I damaged my precious test subject!\Oh, well.\I'll be cutting you up eventually anyway.\I won't let you have Chiyoko.\Never.\Never...\Never!\That's it! response:	That's the power!
context: Oh, well.\I'll be cutting you up eventually anyway.\I won't let you have Chiyoko.\Never.\Never...\Never!\That's it!\That's the power! response:	Did you like that boy?
context: I'll be cutting you up eventually anyway.\I won't let you have Chiyoko.\Never.\Never...\Never!\That's it!\That's the power!\Did you like that boy? response:	Huh?! Wh-Where did that come from?
context: I won't let you have Chiyoko.\Never.\Never...\Never!\That's it!\That's the power!\Did you like that boy?\Huh?! Wh-Where did that come from? response:	Bingo.
context: Never.\Never...\Never!\That's it!\That's the power!\Did you like that boy?\Huh?! Wh-Where did that come from?\Bingo. response:	That's not it!
context: Never...\Never!\That's it!\That's the power!\Did you like that boy?\Huh?! Wh-Where did that come from?\Bingo.\That's not it! response:	What about you, Ito-chan?
context: Never!\That's it!\That's the power!\Did you like that boy?\Huh?! Wh-Where did that come from?\Bingo.\That's not it!\What about you, Ito-chan? response:	Huh?
context: That's it!\That's the power!\Did you like that boy?\Huh?! Wh-Where did that come from?\Bingo.\That's not it!\What about you, Ito-chan?\Huh? response:	Do you have any crushes, or anything?
context: That's the power!\Did you like that boy?\Huh?! Wh-Where did that come from?\Bingo.\That's not it!\What about you, Ito-chan?\Huh?\Do you have any crushes, or anything? response:	It's not really a crush,
context: Did you like that boy?\Huh?! Wh-Where did that come from?\Bingo.\That's not it!\What about you, Ito-chan?\Huh?\Do you have any crushes, or anything?\It's not really a crush, response:	but there is someone I like as a person.
context: Huh?! Wh-Where did that come from?\Bingo.\That's not it!\What about you, Ito-chan?\Huh?\Do you have any crushes, or anything?\It's not really a crush,\but there is someone I like as a person. response:	Who?
context: Bingo.\That's not it!\What about you, Ito-chan?\Huh?\Do you have any crushes, or anything?\It's not really a crush,\but there is someone I like as a person.\Who? response:	A teacher at school.
context: That's not it!\What about you, Ito-chan?\Huh?\Do you have any crushes, or anything?\It's not really a crush,\but there is someone I like as a person.\Who?\A teacher at school. response:	He's my homeroom teacher,
context: What about you, Ito-chan?\Huh?\Do you have any crushes, or anything?\It's not really a crush,\but there is someone I like as a person.\Who?\A teacher at school.\He's my homeroom teacher, response:	but he's like a friend.
context: Huh?\Do you have any crushes, or anything?\It's not really a crush,\but there is someone I like as a person.\Who?\A teacher at school.\He's my homeroom teacher,\but he's like a friend. response:	One time, he gave me a ride home.
context: Do you have any crushes, or anything?\It's not really a crush,\but there is someone I like as a person.\Who?\A teacher at school.\He's my homeroom teacher,\but he's like a friend.\One time, he gave me a ride home. response:	He was worried it'd be dangerous, since it was getting late.
context: It's not really a crush,\but there is someone I like as a person.\Who?\A teacher at school.\He's my homeroom teacher,\but he's like a friend.\One time, he gave me a ride home.\He was worried it'd be dangerous, since it was getting late. response:	Some kids in my class saw us.
context: but there is someone I like as a person.\Who?\A teacher at school.\He's my homeroom teacher,\but he's like a friend.\One time, he gave me a ride home.\He was worried it'd be dangerous, since it was getting late.\Some kids in my class saw us. response:	The next day, when I went to school, no one would talk to me anymore.
context: Who?\A teacher at school.\He's my homeroom teacher,\but he's like a friend.\One time, he gave me a ride home.\He was worried it'd be dangerous, since it was getting late.\Some kids in my class saw us.\The next day, when I went to school, no one would talk to me anymore. response:	Why?
context: A teacher at school.\He's my homeroom teacher,\but he's like a friend.\One time, he gave me a ride home.\He was worried it'd be dangerous, since it was getting late.\Some kids in my class saw us.\The next day, when I went to school, no one would talk to me anymore.\Why? response:	There was a girl who liked that teacher.
context: He's my homeroom teacher,\but he's like a friend.\One time, he gave me a ride home.\He was worried it'd be dangerous, since it was getting late.\Some kids in my class saw us.\The next day, when I went to school, no one would talk to me anymore.\Why?\There was a girl who liked that teacher. response:	She was like the leader of the school.
context: but he's like a friend.\One time, he gave me a ride home.\He was worried it'd be dangerous, since it was getting late.\Some kids in my class saw us.\The next day, when I went to school, no one would talk to me anymore.\Why?\There was a girl who liked that teacher.\She was like the leader of the school. response:	She targeted me.
context: One time, he gave me a ride home.\He was worried it'd be dangerous, since it was getting late.\Some kids in my class saw us.\The next day, when I went to school, no one would talk to me anymore.\Why?\There was a girl who liked that teacher.\She was like the leader of the school.\She targeted me. response:	That's when it started.
context: He was worried it'd be dangerous, since it was getting late.\Some kids in my class saw us.\The next day, when I went to school, no one would talk to me anymore.\Why?\There was a girl who liked that teacher.\She was like the leader of the school.\She targeted me.\That's when it started. response:	Every day was hell.
context: Some kids in my class saw us.\The next day, when I went to school, no one would talk to me anymore.\Why?\There was a girl who liked that teacher.\She was like the leader of the school.\She targeted me.\That's when it started.\Every day was hell. response:	Die
context: The next day, when I went to school, no one would talk to me anymore.\Why?\There was a girl who liked that teacher.\She was like the leader of the school.\She targeted me.\That's when it started.\Every day was hell.\Die response:	Math
context: Why?\There was a girl who liked that teacher.\She was like the leader of the school.\She targeted me.\That's when it started.\Every day was hell.\Die\Math response:	I don't know how many times I bought new pairs of indoor shoes.
context: There was a girl who liked that teacher.\She was like the leader of the school.\She targeted me.\That's when it started.\Every day was hell.\Die\Math\I don't know how many times I bought new pairs of indoor shoes. response:	My textbooks and notebooks were rendered unreadable.
context: She was like the leader of the school.\She targeted me.\That's when it started.\Every day was hell.\Die\Math\I don't know how many times I bought new pairs of indoor shoes.\My textbooks and notebooks were rendered unreadable. response:	I had to keep throwing them out.
context: She targeted me.\That's when it started.\Every day was hell.\Die\Math\I don't know how many times I bought new pairs of indoor shoes.\My textbooks and notebooks were rendered unreadable.\I had to keep throwing them out. response:	On days when we had P.E., I stayed in my track suit until after school,
context: That's when it started.\Every day was hell.\Die\Math\I don't know how many times I bought new pairs of indoor shoes.\My textbooks and notebooks were rendered unreadable.\I had to keep throwing them out.\On days when we had P.E., I stayed in my track suit until after school, response:	because my skirt would get stolen.
context: Every day was hell.\Die\Math\I don't know how many times I bought new pairs of indoor shoes.\My textbooks and notebooks were rendered unreadable.\I had to keep throwing them out.\On days when we had P.E., I stayed in my track suit until after school,\because my skirt would get stolen. response:	My underwear went missing one time when we had swimming.
context: Die\Math\I don't know how many times I bought new pairs of indoor shoes.\My textbooks and notebooks were rendered unreadable.\I had to keep throwing them out.\On days when we had P.E., I stayed in my track suit until after school,\because my skirt would get stolen.\My underwear went missing one time when we had swimming. response:	That much I could bear, though.
context: Math\I don't know how many times I bought new pairs of indoor shoes.\My textbooks and notebooks were rendered unreadable.\I had to keep throwing them out.\On days when we had P.E., I stayed in my track suit until after school,\because my skirt would get stolen.\My underwear went missing one time when we had swimming.\That much I could bear, though. response:	Ew, there's gum in your hair, Ito.
context: I don't know how many times I bought new pairs of indoor shoes.\My textbooks and notebooks were rendered unreadable.\I had to keep throwing them out.\On days when we had P.E., I stayed in my track suit until after school,\because my skirt would get stolen.\My underwear went missing one time when we had swimming.\That much I could bear, though.\Ew, there's gum in your hair, Ito. response:	You put it there, didn't you, Moena?
context: My textbooks and notebooks were rendered unreadable.\I had to keep throwing them out.\On days when we had P.E., I stayed in my track suit until after school,\because my skirt would get stolen.\My underwear went missing one time when we had swimming.\That much I could bear, though.\Ew, there's gum in your hair, Ito.\You put it there, didn't you, Moena? response:	Of course not.
context: I had to keep throwing them out.\On days when we had P.E., I stayed in my track suit until after school,\because my skirt would get stolen.\My underwear went missing one time when we had swimming.\That much I could bear, though.\Ew, there's gum in your hair, Ito.\You put it there, didn't you, Moena?\Of course not. response:	Oh, well. Let's cut it out for her.
context: On days when we had P.E., I stayed in my track suit until after school,\because my skirt would get stolen.\My underwear went missing one time when we had swimming.\That much I could bear, though.\Ew, there's gum in your hair, Ito.\You put it there, didn't you, Moena?\Of course not.\Oh, well. Let's cut it out for her. response:	No!
context: because my skirt would get stolen.\My underwear went missing one time when we had swimming.\That much I could bear, though.\Ew, there's gum in your hair, Ito.\You put it there, didn't you, Moena?\Of course not.\Oh, well. Let's cut it out for her.\No! response:	Good going, Meiko.
context: My underwear went missing one time when we had swimming.\That much I could bear, though.\Ew, there's gum in your hair, Ito.\You put it there, didn't you, Moena?\Of course not.\Oh, well. Let's cut it out for her.\No!\Good going, Meiko. response:	Nice cut!
context: That much I could bear, though.\Ew, there's gum in your hair, Ito.\You put it there, didn't you, Moena?\Of course not.\Oh, well. Let's cut it out for her.\No!\Good going, Meiko.\Nice cut! response:	Maybe I cut too much?
context: Ew, there's gum in your hair, Ito.\You put it there, didn't you, Moena?\Of course not.\Oh, well. Let's cut it out for her.\No!\Good going, Meiko.\Nice cut!\Maybe I cut too much? response:	That's why I stopped going to school.
context: You put it there, didn't you, Moena?\Of course not.\Oh, well. Let's cut it out for her.\No!\Good going, Meiko.\Nice cut!\Maybe I cut too much?\That's why I stopped going to school. response:	Even then, my teacher was nice to me.
context: Of course not.\Oh, well. Let's cut it out for her.\No!\Good going, Meiko.\Nice cut!\Maybe I cut too much?\That's why I stopped going to school.\Even then, my teacher was nice to me. response:	Have you ever talked to him about it?
context: Oh, well. Let's cut it out for her.\No!\Good going, Meiko.\Nice cut!\Maybe I cut too much?\That's why I stopped going to school.\Even then, my teacher was nice to me.\Have you ever talked to him about it? response:	No.
context: No!\Good going, Meiko.\Nice cut!\Maybe I cut too much?\That's why I stopped going to school.\Even then, my teacher was nice to me.\Have you ever talked to him about it?\No. response:	I didn't want to give him trouble.
context: Good going, Meiko.\Nice cut!\Maybe I cut too much?\That's why I stopped going to school.\Even then, my teacher was nice to me.\Have you ever talked to him about it?\No.\I didn't want to give him trouble. response:	That's the reason for the video.
context: Nice cut!\Maybe I cut too much?\That's why I stopped going to school.\Even then, my teacher was nice to me.\Have you ever talked to him about it?\No.\I didn't want to give him trouble.\That's the reason for the video. response:	The video?
context: Maybe I cut too much?\That's why I stopped going to school.\Even then, my teacher was nice to me.\Have you ever talked to him about it?\No.\I didn't want to give him trouble.\That's the reason for the video.\The video? response:	You said you saw it, right?
context: That's why I stopped going to school.\Even then, my teacher was nice to me.\Have you ever talked to him about it?\No.\I didn't want to give him trouble.\That's the reason for the video.\The video?\You said you saw it, right? response:	I'm the one who made it.
context: Even then, my teacher was nice to me.\Have you ever talked to him about it?\No.\I didn't want to give him trouble.\That's the reason for the video.\The video?\You said you saw it, right?\I'm the one who made it. response:	The names on it are the names of the kids who bullied me.
context: Have you ever talked to him about it?\No.\I didn't want to give him trouble.\That's the reason for the video.\The video?\You said you saw it, right?\I'm the one who made it.\The names on it are the names of the kids who bullied me. response:	I just wanted to scare them a little, so I put it online.
context: No.\I didn't want to give him trouble.\That's the reason for the video.\The video?\You said you saw it, right?\I'm the one who made it.\The names on it are the names of the kids who bullied me.\I just wanted to scare them a little, so I put it online. response:	But your name was in the video, too.
context: I didn't want to give him trouble.\That's the reason for the video.\The video?\You said you saw it, right?\I'm the one who made it.\The names on it are the names of the kids who bullied me.\I just wanted to scare them a little, so I put it online.\But your name was in the video, too. response:	It wasn't on there when I made it.
context: That's the reason for the video.\The video?\You said you saw it, right?\I'm the one who made it.\The names on it are the names of the kids who bullied me.\I just wanted to scare them a little, so I put it online.\But your name was in the video, too.\It wasn't on there when I made it. response:	So...
context: The video?\You said you saw it, right?\I'm the one who made it.\The names on it are the names of the kids who bullied me.\I just wanted to scare them a little, so I put it online.\But your name was in the video, too.\It wasn't on there when I made it.\So... response:	Someone edited it afterwards...
context: You said you saw it, right?\I'm the one who made it.\The names on it are the names of the kids who bullied me.\I just wanted to scare them a little, so I put it online.\But your name was in the video, too.\It wasn't on there when I made it.\So...\Someone edited it afterwards... response:	It was probably...
context: I'm the one who made it.\The names on it are the names of the kids who bullied me.\I just wanted to scare them a little, so I put it online.\But your name was in the video, too.\It wasn't on there when I made it.\So...\Someone edited it afterwards...\It was probably... response:	whoever it was that killed Meiko and Moena.
context: The names on it are the names of the kids who bullied me.\I just wanted to scare them a little, so I put it online.\But your name was in the video, too.\It wasn't on there when I made it.\So...\Someone edited it afterwards...\It was probably...\whoever it was that killed Meiko and Moena. response:	Why didn't you say somethi
context: I just wanted to scare them a little, so I put it online.\But your name was in the video, too.\It wasn't on there when I made it.\So...\Someone edited it afterwards...\It was probably...\whoever it was that killed Meiko and Moena.\Why didn't you say somethi response:	How could I have admitted
context: But your name was in the video, too.\It wasn't on there when I made it.\So...\Someone edited it afterwards...\It was probably...\whoever it was that killed Meiko and Moena.\Why didn't you say somethi\How could I have admitted response:	that I was being bullied at school?
context: It wasn't on there when I made it.\So...\Someone edited it afterwards...\It was probably...\whoever it was that killed Meiko and Moena.\Why didn't you say somethi\How could I have admitted\that I was being bullied at school? response:	Why not?
context: So...\Someone edited it afterwards...\It was probably...\whoever it was that killed Meiko and Moena.\Why didn't you say somethi\How could I have admitted\that I was being bullied at school?\Why not? response:	Isn't it obvious? Because I'd look stupid!
context: Someone edited it afterwards...\It was probably...\whoever it was that killed Meiko and Moena.\Why didn't you say somethi\How could I have admitted\that I was being bullied at school?\Why not?\Isn't it obvious? Because I'd look stupid! response:	I'd look pathetic.
context: It was probably...\whoever it was that killed Meiko and Moena.\Why didn't you say somethi\How could I have admitted\that I was being bullied at school?\Why not?\Isn't it obvious? Because I'd look stupid!\I'd look pathetic. response:	I'm not a loner. I'm not shy.
context: whoever it was that killed Meiko and Moena.\Why didn't you say somethi\How could I have admitted\that I was being bullied at school?\Why not?\Isn't it obvious? Because I'd look stupid!\I'd look pathetic.\I'm not a loner. I'm not shy. response:	I could make new friends easily if I wanted to.
context: Why didn't you say somethi\How could I have admitted\that I was being bullied at school?\Why not?\Isn't it obvious? Because I'd look stupid!\I'd look pathetic.\I'm not a loner. I'm not shy.\I could make new friends easily if I wanted to. response:	That's what I wanted them to think.
context: How could I have admitted\that I was being bullied at school?\Why not?\Isn't it obvious? Because I'd look stupid!\I'd look pathetic.\I'm not a loner. I'm not shy.\I could make new friends easily if I wanted to.\That's what I wanted them to think. response:	I wanted to show them that.
context: that I was being bullied at school?\Why not?\Isn't it obvious? Because I'd look stupid!\I'd look pathetic.\I'm not a loner. I'm not shy.\I could make new friends easily if I wanted to.\That's what I wanted them to think.\I wanted to show them that. response:	Even if I knew no one really thought that of me.
context: Why not?\Isn't it obvious? Because I'd look stupid!\I'd look pathetic.\I'm not a loner. I'm not shy.\I could make new friends easily if I wanted to.\That's what I wanted them to think.\I wanted to show them that.\Even if I knew no one really thought that of me. response:	The truth is, ever since I saw that video,
context: Isn't it obvious? Because I'd look stupid!\I'd look pathetic.\I'm not a loner. I'm not shy.\I could make new friends easily if I wanted to.\That's what I wanted them to think.\I wanted to show them that.\Even if I knew no one really thought that of me.\The truth is, ever since I saw that video, response:	I've been really scared.
context: I'd look pathetic.\I'm not a loner. I'm not shy.\I could make new friends easily if I wanted to.\That's what I wanted them to think.\I wanted to show them that.\Even if I knew no one really thought that of me.\The truth is, ever since I saw that video,\I've been really scared. response:	But whenever I saw everyone smiling,
context: I'm not a loner. I'm not shy.\I could make new friends easily if I wanted to.\That's what I wanted them to think.\I wanted to show them that.\Even if I knew no one really thought that of me.\The truth is, ever since I saw that video,\I've been really scared.\But whenever I saw everyone smiling, response:	it started to feel like none of it was real.
context: I could make new friends easily if I wanted to.\That's what I wanted them to think.\I wanted to show them that.\Even if I knew no one really thought that of me.\The truth is, ever since I saw that video,\I've been really scared.\But whenever I saw everyone smiling,\it started to feel like none of it was real. response:	Ito-chan, it's okay.
context: That's what I wanted them to think.\I wanted to show them that.\Even if I knew no one really thought that of me.\The truth is, ever since I saw that video,\I've been really scared.\But whenever I saw everyone smiling,\it started to feel like none of it was real.\Ito-chan, it's okay. response:	It's okay.
context: I wanted to show them that.\Even if I knew no one really thought that of me.\The truth is, ever since I saw that video,\I've been really scared.\But whenever I saw everyone smiling,\it started to feel like none of it was real.\Ito-chan, it's okay.\It's okay. response:	I'm on the side of justice.
context: Even if I knew no one really thought that of me.\The truth is, ever since I saw that video,\I've been really scared.\But whenever I saw everyone smiling,\it started to feel like none of it was real.\Ito-chan, it's okay.\It's okay.\I'm on the side of justice. response:	I'm on your side.
context: The truth is, ever since I saw that video,\I've been really scared.\But whenever I saw everyone smiling,\it started to feel like none of it was real.\Ito-chan, it's okay.\It's okay.\I'm on the side of justice.\I'm on your side. response:	No matter what happens,
context: I've been really scared.\But whenever I saw everyone smiling,\it started to feel like none of it was real.\Ito-chan, it's okay.\It's okay.\I'm on the side of justice.\I'm on your side.\No matter what happens, response:	I promise...
context: But whenever I saw everyone smiling,\it started to feel like none of it was real.\Ito-chan, it's okay.\It's okay.\I'm on the side of justice.\I'm on your side.\No matter what happens,\I promise... response:	I promise I'll protect you.
context: it started to feel like none of it was real.\Ito-chan, it's okay.\It's okay.\I'm on the side of justice.\I'm on your side.\No matter what happens,\I promise...\I promise I'll protect you. response:	Looks like history's changed.
context: Ito-chan, it's okay.\It's okay.\I'm on the side of justice.\I'm on your side.\No matter what happens,\I promise...\I promise I'll protect you.\Looks like history's changed. response:	Yeah.
context: It's okay.\I'm on the side of justice.\I'm on your side.\No matter what happens,\I promise...\I promise I'll protect you.\Looks like history's changed.\Yeah. response:	Aren't you happy?
context: I'm on the side of justice.\I'm on your side.\No matter what happens,\I promise...\I promise I'll protect you.\Looks like history's changed.\Yeah.\Aren't you happy? response:	There's too much to think about.
context: I'm on your side.\No matter what happens,\I promise...\I promise I'll protect you.\Looks like history's changed.\Yeah.\Aren't you happy?\There's too much to think about. response:	I don't know anything about who did it.
context: No matter what happens,\I promise...\I promise I'll protect you.\Looks like history's changed.\Yeah.\Aren't you happy?\There's too much to think about.\I don't know anything about who did it. response:	And...
context: I promise...\I promise I'll protect you.\Looks like history's changed.\Yeah.\Aren't you happy?\There's too much to think about.\I don't know anything about who did it.\And... response:	What's this?
context: I promise I'll protect you.\Looks like history's changed.\Yeah.\Aren't you happy?\There's too much to think about.\I don't know anything about who did it.\And...\What's this? response:	Looks like you two are getting along well.
context: Looks like history's changed.\Yeah.\Aren't you happy?\There's too much to think about.\I don't know anything about who did it.\And...\What's this?\Looks like you two are getting along well. response:	Th-That's not it!
context: Yeah.\Aren't you happy?\There's too much to think about.\I don't know anything about who did it.\And...\What's this?\Looks like you two are getting along well.\Th-That's not it! response:	He just keeps clinging to me!
context: Aren't you happy?\There's too much to think about.\I don't know anything about who did it.\And...\What's this?\Looks like you two are getting along well.\Th-That's not it!\He just keeps clinging to me! response:	Hey! Shoo, shoo! Get off me!
context: There's too much to think about.\I don't know anything about who did it.\And...\What's this?\Looks like you two are getting along well.\Th-That's not it!\He just keeps clinging to me!\Hey! Shoo, shoo! Get off me! response:	You've been with him since last night, haven't you?
context: I don't know anything about who did it.\And...\What's this?\Looks like you two are getting along well.\Th-That's not it!\He just keeps clinging to me!\Hey! Shoo, shoo! Get off me!\You've been with him since last night, haven't you? response:	Why did you take care of him for me?
context: And...\What's this?\Looks like you two are getting along well.\Th-That's not it!\He just keeps clinging to me!\Hey! Shoo, shoo! Get off me!\You've been with him since last night, haven't you?\Why did you take care of him for me? response:	Well, y'know, he saved me one time.
context: What's this?\Looks like you two are getting along well.\Th-That's not it!\He just keeps clinging to me!\Hey! Shoo, shoo! Get off me!\You've been with him since last night, haven't you?\Why did you take care of him for me?\Well, y'know, he saved me one time. response:	Yeah?
context: Looks like you two are getting along well.\Th-That's not it!\He just keeps clinging to me!\Hey! Shoo, shoo! Get off me!\You've been with him since last night, haven't you?\Why did you take care of him for me?\Well, y'know, he saved me one time.\Yeah? response:	So, what are you doing here?
context: Th-That's not it!\He just keeps clinging to me!\Hey! Shoo, shoo! Get off me!\You've been with him since last night, haven't you?\Why did you take care of him for me?\Well, y'know, he saved me one time.\Yeah?\So, what are you doing here? response:	There was some noise in the satellite link,
context: He just keeps clinging to me!\Hey! Shoo, shoo! Get off me!\You've been with him since last night, haven't you?\Why did you take care of him for me?\Well, y'know, he saved me one time.\Yeah?\So, what are you doing here?\There was some noise in the satellite link, response:	so I came to check it out.
context: Hey! Shoo, shoo! Get off me!\You've been with him since last night, haven't you?\Why did you take care of him for me?\Well, y'know, he saved me one time.\Yeah?\So, what are you doing here?\There was some noise in the satellite link,\so I came to check it out. response:	And you?
context: You've been with him since last night, haven't you?\Why did you take care of him for me?\Well, y'know, he saved me one time.\Yeah?\So, what are you doing here?\There was some noise in the satellite link,\so I came to check it out.\And you? response:	Oh, um... It doesn't matter now.
context: Why did you take care of him for me?\Well, y'know, he saved me one time.\Yeah?\So, what are you doing here?\There was some noise in the satellite link,\so I came to check it out.\And you?\Oh, um... It doesn't matter now. response:	Actually, I came to take Muhi, but...
context: Well, y'know, he saved me one time.\Yeah?\So, what are you doing here?\There was some noise in the satellite link,\so I came to check it out.\And you?\Oh, um... It doesn't matter now.\Actually, I came to take Muhi, but... response:	Take him, damn it!
context: Yeah?\So, what are you doing here?\There was some noise in the satellite link,\so I came to check it out.\And you?\Oh, um... It doesn't matter now.\Actually, I came to take Muhi, but...\Take him, damn it! response:	One more day until New Year's Eve.
context: So, what are you doing here?\There was some noise in the satellite link,\so I came to check it out.\And you?\Oh, um... It doesn't matter now.\Actually, I came to take Muhi, but...\Take him, damn it!\One more day until New Year's Eve. response:	Mikatan, what are you doing?
context: There was some noise in the satellite link,\so I came to check it out.\And you?\Oh, um... It doesn't matter now.\Actually, I came to take Muhi, but...\Take him, damn it!\One more day until New Year's Eve.\Mikatan, what are you doing? response:	Oh, nothing.
context: so I came to check it out.\And you?\Oh, um... It doesn't matter now.\Actually, I came to take Muhi, but...\Take him, damn it!\One more day until New Year's Eve.\Mikatan, what are you doing?\Oh, nothing. response:	Those are...
context: And you?\Oh, um... It doesn't matter now.\Actually, I came to take Muhi, but...\Take him, damn it!\One more day until New Year's Eve.\Mikatan, what are you doing?\Oh, nothing.\Those are... response:	Meika?
context: Oh, um... It doesn't matter now.\Actually, I came to take Muhi, but...\Take him, damn it!\One more day until New Year's Eve.\Mikatan, what are you doing?\Oh, nothing.\Those are...\Meika? response:	What was that?
context: Actually, I came to take Muhi, but...\Take him, damn it!\One more day until New Year's Eve.\Mikatan, what are you doing?\Oh, nothing.\Those are...\Meika?\What was that? response:	Meika!
context: Take him, damn it!\One more day until New Year's Eve.\Mikatan, what are you doing?\Oh, nothing.\Those are...\Meika?\What was that?\Meika! response:	What happened?
context: One more day until New Year's Eve.\Mikatan, what are you doing?\Oh, nothing.\Those are...\Meika?\What was that?\Meika!\What happened? response:	Muhi?
context: Mikatan, what are you doing?\Oh, nothing.\Those are...\Meika?\What was that?\Meika!\What happened?\Muhi? response:	Where's Muhi?
context: Oh, nothing.\Those are...\Meika?\What was that?\Meika!\What happened?\Muhi?\Where's Muhi? response:	Sorry... That man...
context: Those are...\Meika?\What was that?\Meika!\What happened?\Muhi?\Where's Muhi?\Sorry... That man... response:	What man?
context: Meika?\What was that?\Meika!\What happened?\Muhi?\Where's Muhi?\Sorry... That man...\What man? response:	Turtle Man.
context: What was that?\Meika!\What happened?\Muhi?\Where's Muhi?\Sorry... That man...\What man?\Turtle Man. response:	The one who was here before.
context: Meika!\What happened?\Muhi?\Where's Muhi?\Sorry... That man...\What man?\Turtle Man.\The one who was here before. response:	Him?
context: What happened?\Muhi?\Where's Muhi?\Sorry... That man...\What man?\Turtle Man.\The one who was here before.\Him? response:	Muhi!
context: Muhi?\Where's Muhi?\Sorry... That man...\What man?\Turtle Man.\The one who was here before.\Him?\Muhi! response:	Wait, Ito!
context: Where's Muhi?\Sorry... That man...\What man?\Turtle Man.\The one who was here before.\Him?\Muhi!\Wait, Ito! response:	There's still more!
context: Sorry... That man...\What man?\Turtle Man.\The one who was here before.\Him?\Muhi!\Wait, Ito!\There's still more! response:	More?
context: What man?\Turtle Man.\The one who was here before.\Him?\Muhi!\Wait, Ito!\There's still more!\More? response:	He said...
context: Turtle Man.\The one who was here before.\Him?\Muhi!\Wait, Ito!\There's still more!\More?\He said... response:	Tell Ito that this is punishment for not having come last night.
context: The one who was here before.\Him?\Muhi!\Wait, Ito!\There's still more!\More?\He said...\Tell Ito that this is punishment for not having come last night. response:	It was Turtle Man that called Ito out last night.
context: Him?\Muhi!\Wait, Ito!\There's still more!\More?\He said...\Tell Ito that this is punishment for not having come last night.\It was Turtle Man that called Ito out last night. response:	Ito-chan!
context: Muhi!\Wait, Ito!\There's still more!\More?\He said...\Tell Ito that this is punishment for not having come last night.\It was Turtle Man that called Ito out last night.\Ito-chan! response:	Turtle Man is the one who killed Ito's classmates.
context: Wait, Ito!\There's still more!\More?\He said...\Tell Ito that this is punishment for not having come last night.\It was Turtle Man that called Ito out last night.\Ito-chan!\Turtle Man is the one who killed Ito's classmates. response:	If Ito runs into him...
context: There's still more!\More?\He said...\Tell Ito that this is punishment for not having come last night.\It was Turtle Man that called Ito out last night.\Ito-chan!\Turtle Man is the one who killed Ito's classmates.\If Ito runs into him... response:	Ito!
context: More?\He said...\Tell Ito that this is punishment for not having come last night.\It was Turtle Man that called Ito out last night.\Ito-chan!\Turtle Man is the one who killed Ito's classmates.\If Ito runs into him...\Ito! response:	Not here.
context: He said...\Tell Ito that this is punishment for not having come last night.\It was Turtle Man that called Ito out last night.\Ito-chan!\Turtle Man is the one who killed Ito's classmates.\If Ito runs into him...\Ito!\Not here. response:	Not here.
context: Tell Ito that this is punishment for not having come last night.\It was Turtle Man that called Ito out last night.\Ito-chan!\Turtle Man is the one who killed Ito's classmates.\If Ito runs into him...\Ito!\Not here.\Not here. response:	Not here!
context: It was Turtle Man that called Ito out last night.\Ito-chan!\Turtle Man is the one who killed Ito's classmates.\If Ito runs into him...\Ito!\Not here.\Not here.\Not here! response:	Isn't Turtle Man here?
context: Ito-chan!\Turtle Man is the one who killed Ito's classmates.\If Ito runs into him...\Ito!\Not here.\Not here.\Not here!\Isn't Turtle Man here? response:	He might have run far off by now.
context: Turtle Man is the one who killed Ito's classmates.\If Ito runs into him...\Ito!\Not here.\Not here.\Not here!\Isn't Turtle Man here?\He might have run far off by now. response:	How can you be so nonchalant?!
context: If Ito runs into him...\Ito!\Not here.\Not here.\Not here!\Isn't Turtle Man here?\He might have run far off by now.\How can you be so nonchalant?! response:	What if right now
context: Ito!\Not here.\Not here.\Not here!\Isn't Turtle Man here?\He might have run far off by now.\How can you be so nonchalant?!\What if right now response:	Why don't you try luring him out, then?
context: Not here.\Not here.\Not here!\Isn't Turtle Man here?\He might have run far off by now.\How can you be so nonchalant?!\What if right now\Why don't you try luring him out, then? response:	Email!
context: Not here.\Not here!\Isn't Turtle Man here?\He might have run far off by now.\How can you be so nonchalant?!\What if right now\Why don't you try luring him out, then?\Email! response:	I see.
context: Not here!\Isn't Turtle Man here?\He might have run far off by now.\How can you be so nonchalant?!\What if right now\Why don't you try luring him out, then?\Email!\I see. response:	You're going to send a reply to Ito's email from yesterday.
