context: That's correct, Doma-san. response:	This formula will show up on the test, so please remember it.
context: No.\But there was one time I invited her to eat lunch with us.\Kirie-chan.\W-Want to eat lunch together?\With Umaru-san, too?\Y-Yeah. She'll be there, too.\I see...\So after you told her I'd be there... response:	I don't think that's why.
context: But there was one time I invited her to eat lunch with us.\Kirie-chan.\W-Want to eat lunch together?\With Umaru-san, too?\Y-Yeah. She'll be there, too.\I see...\So after you told her I'd be there...\I don't think that's why. response:	Huh?
context: Kirie-chan.\W-Want to eat lunch together?\With Umaru-san, too?\Y-Yeah. She'll be there, too.\I see...\So after you told her I'd be there...\I don't think that's why.\Huh? response:	I don't know how to put it,
context: W-Want to eat lunch together?\With Umaru-san, too?\Y-Yeah. She'll be there, too.\I see...\So after you told her I'd be there...\I don't think that's why.\Huh?\I don't know how to put it, response:	and everyone's scared of Kirie-chan, but...
context: With Umaru-san, too?\Y-Yeah. She'll be there, too.\I see...\So after you told her I'd be there...\I don't think that's why.\Huh?\I don't know how to put it,\and everyone's scared of Kirie-chan, but... response:	I don't think she's scary.
context: Y-Yeah. She'll be there, too.\I see...\So after you told her I'd be there...\I don't think that's why.\Huh?\I don't know how to put it,\and everyone's scared of Kirie-chan, but...\I don't think she's scary. response:	Bye.
context: I see...\So after you told her I'd be there...\I don't think that's why.\Huh?\I don't know how to put it,\and everyone's scared of Kirie-chan, but...\I don't think she's scary.\Bye. response:	See you tomorrow.
context: So after you told her I'd be there...\I don't think that's why.\Huh?\I don't know how to put it,\and everyone's scared of Kirie-chan, but...\I don't think she's scary.\Bye.\See you tomorrow. response:	I wonder why Motoba-san's been staring at me...
context: I don't think that's why.\Huh?\I don't know how to put it,\and everyone's scared of Kirie-chan, but...\I don't think she's scary.\Bye.\See you tomorrow.\I wonder why Motoba-san's been staring at me... response:	Maybe she's suspicious of me.
context: Huh?\I don't know how to put it,\and everyone's scared of Kirie-chan, but...\I don't think she's scary.\Bye.\See you tomorrow.\I wonder why Motoba-san's been staring at me...\Maybe she's suspicious of me. response:	If that's the case...
context: I don't know how to put it,\and everyone's scared of Kirie-chan, but...\I don't think she's scary.\Bye.\See you tomorrow.\I wonder why Motoba-san's been staring at me...\Maybe she's suspicious of me.\If that's the case... response:	She'd probably be pretty shocked if she saw me like this.
context: and everyone's scared of Kirie-chan, but...\I don't think she's scary.\Bye.\See you tomorrow.\I wonder why Motoba-san's been staring at me...\Maybe she's suspicious of me.\If that's the case...\She'd probably be pretty shocked if she saw me like this. response:	Derrrp.
context: I don't think she's scary.\Bye.\See you tomorrow.\I wonder why Motoba-san's been staring at me...\Maybe she's suspicious of me.\If that's the case...\She'd probably be pretty shocked if she saw me like this.\Derrrp. response:	Hey! You're not like you are at school!
context: Bye.\See you tomorrow.\I wonder why Motoba-san's been staring at me...\Maybe she's suspicious of me.\If that's the case...\She'd probably be pretty shocked if she saw me like this.\Derrrp.\Hey! You're not like you are at school! response:	You tricked me!
context: See you tomorrow.\I wonder why Motoba-san's been staring at me...\Maybe she's suspicious of me.\If that's the case...\She'd probably be pretty shocked if she saw me like this.\Derrrp.\Hey! You're not like you are at school!\You tricked me! response:	Please forgive her!
context: I wonder why Motoba-san's been staring at me...\Maybe she's suspicious of me.\If that's the case...\She'd probably be pretty shocked if she saw me like this.\Derrrp.\Hey! You're not like you are at school!\You tricked me!\Please forgive her! response:	Now, now. Let's not fight.
context: Maybe she's suspicious of me.\If that's the case...\She'd probably be pretty shocked if she saw me like this.\Derrrp.\Hey! You're not like you are at school!\You tricked me!\Please forgive her!\Now, now. Let's not fight. response:	Let's get on these and play.
context: If that's the case...\She'd probably be pretty shocked if she saw me like this.\Derrrp.\Hey! You're not like you are at school!\You tricked me!\Please forgive her!\Now, now. Let's not fight.\Let's get on these and play. response:	Yahoo!
context: She'd probably be pretty shocked if she saw me like this.\Derrrp.\Hey! You're not like you are at school!\You tricked me!\Please forgive her!\Now, now. Let's not fight.\Let's get on these and play.\Yahoo! response:	We're flying!
context: Derrrp.\Hey! You're not like you are at school!\You tricked me!\Please forgive her!\Now, now. Let's not fight.\Let's get on these and play.\Yahoo!\We're flying! response:	Oh, crap! There's a new quest out today!
context: Hey! You're not like you are at school!\You tricked me!\Please forgive her!\Now, now. Let's not fight.\Let's get on these and play.\Yahoo!\We're flying!\Oh, crap! There's a new quest out today! response:	That was close. I almost missed it.
context: You tricked me!\Please forgive her!\Now, now. Let's not fight.\Let's get on these and play.\Yahoo!\We're flying!\Oh, crap! There's a new quest out today!\That was close. I almost missed it. response:	This isn't the time to be worrying about reality.
context: Please forgive her!\Now, now. Let's not fight.\Let's get on these and play.\Yahoo!\We're flying!\Oh, crap! There's a new quest out today!\That was close. I almost missed it.\This isn't the time to be worrying about reality. response:	The Net! The Net!
context: Now, now. Let's not fight.\Let's get on these and play.\Yahoo!\We're flying!\Oh, crap! There's a new quest out today!\That was close. I almost missed it.\This isn't the time to be worrying about reality.\The Net! The Net! response:	You got a giant piece of meat!
context: Let's get on these and play.\Yahoo!\We're flying!\Oh, crap! There's a new quest out today!\That was close. I almost missed it.\This isn't the time to be worrying about reality.\The Net! The Net!\You got a giant piece of meat! response:	Growwwl
context: Yahoo!\We're flying!\Oh, crap! There's a new quest out today!\That was close. I almost missed it.\This isn't the time to be worrying about reality.\The Net! The Net!\You got a giant piece of meat!\Growwwl response:	I'm hungry.
context: We're flying!\Oh, crap! There's a new quest out today!\That was close. I almost missed it.\This isn't the time to be worrying about reality.\The Net! The Net!\You got a giant piece of meat!\Growwwl\I'm hungry. response:	I wonder when Onii-chan's going to be home.
context: Oh, crap! There's a new quest out today!\That was close. I almost missed it.\This isn't the time to be worrying about reality.\The Net! The Net!\You got a giant piece of meat!\Growwwl\I'm hungry.\I wonder when Onii-chan's going to be home. response:	Oh, that's right. Today's Wednesday, so he'll be shopping for groceries.
context: That was close. I almost missed it.\This isn't the time to be worrying about reality.\The Net! The Net!\You got a giant piece of meat!\Growwwl\I'm hungry.\I wonder when Onii-chan's going to be home.\Oh, that's right. Today's Wednesday, so he'll be shopping for groceries. response:	Which means he'll bring home some meat, too.
context: This isn't the time to be worrying about reality.\The Net! The Net!\You got a giant piece of meat!\Growwwl\I'm hungry.\I wonder when Onii-chan's going to be home.\Oh, that's right. Today's Wednesday, so he'll be shopping for groceries.\Which means he'll bring home some meat, too. response:	I wonder if he'll make me steak.
context: The Net! The Net!\You got a giant piece of meat!\Growwwl\I'm hungry.\I wonder when Onii-chan's going to be home.\Oh, that's right. Today's Wednesday, so he'll be shopping for groceries.\Which means he'll bring home some meat, too.\I wonder if he'll make me steak. response:	Who's that? A delivery?
context: You got a giant piece of meat!\Growwwl\I'm hungry.\I wonder when Onii-chan's going to be home.\Oh, that's right. Today's Wednesday, so he'll be shopping for groceries.\Which means he'll bring home some meat, too.\I wonder if he'll make me steak.\Who's that? A delivery? response:	Oh, that's right.
context: Growwwl\I'm hungry.\I wonder when Onii-chan's going to be home.\Oh, that's right. Today's Wednesday, so he'll be shopping for groceries.\Which means he'll bring home some meat, too.\I wonder if he'll make me steak.\Who's that? A delivery?\Oh, that's right. response:	Onii-chan went shopping, so he can't open the door.
context: I'm hungry.\I wonder when Onii-chan's going to be home.\Oh, that's right. Today's Wednesday, so he'll be shopping for groceries.\Which means he'll bring home some meat, too.\I wonder if he'll make me steak.\Who's that? A delivery?\Oh, that's right.\Onii-chan went shopping, so he can't open the door. response:	Heyo, Onii-chan!
context: I wonder when Onii-chan's going to be home.\Oh, that's right. Today's Wednesday, so he'll be shopping for groceries.\Which means he'll bring home some meat, too.\I wonder if he'll make me steak.\Who's that? A delivery?\Oh, that's right.\Onii-chan went shopping, so he can't open the door.\Heyo, Onii-chan! response:	Hey, for dinner tonight...
context: Oh, that's right. Today's Wednesday, so he'll be shopping for groceries.\Which means he'll bring home some meat, too.\I wonder if he'll make me steak.\Who's that? A delivery?\Oh, that's right.\Onii-chan went shopping, so he can't open the door.\Heyo, Onii-chan!\Hey, for dinner tonight... response:	Oh noes!
context: Which means he'll bring home some meat, too.\I wonder if he'll make me steak.\Who's that? A delivery?\Oh, that's right.\Onii-chan went shopping, so he can't open the door.\Heyo, Onii-chan!\Hey, for dinner tonight...\Oh noes! response:	So cute.
context: I wonder if he'll make me steak.\Who's that? A delivery?\Oh, that's right.\Onii-chan went shopping, so he can't open the door.\Heyo, Onii-chan!\Hey, for dinner tonight...\Oh noes!\So cute. response:	Huh?
context: Who's that? A delivery?\Oh, that's right.\Onii-chan went shopping, so he can't open the door.\Heyo, Onii-chan!\Hey, for dinner tonight...\Oh noes!\So cute.\Huh? response:	P-Pardon me!
context: Oh, that's right.\Onii-chan went shopping, so he can't open the door.\Heyo, Onii-chan!\Hey, for dinner tonight...\Oh noes!\So cute.\Huh?\P-Pardon me! response:	Sh-She hasn't realized it?
context: Onii-chan went shopping, so he can't open the door.\Heyo, Onii-chan!\Hey, for dinner tonight...\Oh noes!\So cute.\Huh?\P-Pardon me!\Sh-She hasn't realized it? response:	I-I ended up letting her in.
context: Heyo, Onii-chan!\Hey, for dinner tonight...\Oh noes!\So cute.\Huh?\P-Pardon me!\Sh-She hasn't realized it?\I-I ended up letting her in. response:	I wonder why she came over...
context: Hey, for dinner tonight...\Oh noes!\So cute.\Huh?\P-Pardon me!\Sh-She hasn't realized it?\I-I ended up letting her in.\I wonder why she came over... response:	What's up with her?
context: Oh noes!\So cute.\Huh?\P-Pardon me!\Sh-She hasn't realized it?\I-I ended up letting her in.\I wonder why she came over...\What's up with her? response:	Um...
context: So cute.\Huh?\P-Pardon me!\Sh-She hasn't realized it?\I-I ended up letting her in.\I wonder why she came over...\What's up with her?\Um... response:	I-I'm sorry! I didn't even introduce myself.
context: Huh?\P-Pardon me!\Sh-She hasn't realized it?\I-I ended up letting her in.\I wonder why she came over...\What's up with her?\Um...\I-I'm sorry! I didn't even introduce myself. response:	M-My name is Motoba Kirie.
context: P-Pardon me!\Sh-She hasn't realized it?\I-I ended up letting her in.\I wonder why she came over...\What's up with her?\Um...\I-I'm sorry! I didn't even introduce myself.\M-My name is Motoba Kirie. response:	Huh? Er, right...
context: Sh-She hasn't realized it?\I-I ended up letting her in.\I wonder why she came over...\What's up with her?\Um...\I-I'm sorry! I didn't even introduce myself.\M-My name is Motoba Kirie.\Huh? Er, right... response:	I know that...
context: I-I ended up letting her in.\I wonder why she came over...\What's up with her?\Um...\I-I'm sorry! I didn't even introduce myself.\M-My name is Motoba Kirie.\Huh? Er, right...\I know that... response:	U-Um, I apologize in advance if I'm wrong, but...
context: I wonder why she came over...\What's up with her?\Um...\I-I'm sorry! I didn't even introduce myself.\M-My name is Motoba Kirie.\Huh? Er, right...\I know that...\U-Um, I apologize in advance if I'm wrong, but... response:	A-A-Are you Umaru-san's younger sister?
context: What's up with her?\Um...\I-I'm sorry! I didn't even introduce myself.\M-My name is Motoba Kirie.\Huh? Er, right...\I know that...\U-Um, I apologize in advance if I'm wrong, but...\A-A-Are you Umaru-san's younger sister? response:	Younger sister
context: Um...\I-I'm sorry! I didn't even introduce myself.\M-My name is Motoba Kirie.\Huh? Er, right...\I know that...\U-Um, I apologize in advance if I'm wrong, but...\A-A-Are you Umaru-san's younger sister?\Younger sister response:	I'm her younger sister, Komaru.
context: I-I'm sorry! I didn't even introduce myself.\M-My name is Motoba Kirie.\Huh? Er, right...\I know that...\U-Um, I apologize in advance if I'm wrong, but...\A-A-Are you Umaru-san's younger sister?\Younger sister\I'm her younger sister, Komaru. response:	I knew it! No wonder you have a certain elegance, like Umaru-san.
context: M-My name is Motoba Kirie.\Huh? Er, right...\I know that...\U-Um, I apologize in advance if I'm wrong, but...\A-A-Are you Umaru-san's younger sister?\Younger sister\I'm her younger sister, Komaru.\I knew it! No wonder you have a certain elegance, like Umaru-san. response:	That's not true...
context: Huh? Er, right...\I know that...\U-Um, I apologize in advance if I'm wrong, but...\A-A-Are you Umaru-san's younger sister?\Younger sister\I'm her younger sister, Komaru.\I knew it! No wonder you have a certain elegance, like Umaru-san.\That's not true... response:	I just created a pretty handy character.
context: I know that...\U-Um, I apologize in advance if I'm wrong, but...\A-A-Are you Umaru-san's younger sister?\Younger sister\I'm her younger sister, Komaru.\I knew it! No wonder you have a certain elegance, like Umaru-san.\That's not true...\I just created a pretty handy character. response:	S-So, it appears that Umaru-san isn't here right now.
context: U-Um, I apologize in advance if I'm wrong, but...\A-A-Are you Umaru-san's younger sister?\Younger sister\I'm her younger sister, Komaru.\I knew it! No wonder you have a certain elegance, like Umaru-san.\That's not true...\I just created a pretty handy character.\S-So, it appears that Umaru-san isn't here right now. response:	Around when will she be home?
context: A-A-Are you Umaru-san's younger sister?\Younger sister\I'm her younger sister, Komaru.\I knew it! No wonder you have a certain elegance, like Umaru-san.\That's not true...\I just created a pretty handy character.\S-So, it appears that Umaru-san isn't here right now.\Around when will she be home? response:	Huh? Ah, n-no...
context: Younger sister\I'm her younger sister, Komaru.\I knew it! No wonder you have a certain elegance, like Umaru-san.\That's not true...\I just created a pretty handy character.\S-So, it appears that Umaru-san isn't here right now.\Around when will she be home?\Huh? Ah, n-no... response:	Only Onii-chan and I live here. Onee-chan doesn't.
context: I'm her younger sister, Komaru.\I knew it! No wonder you have a certain elegance, like Umaru-san.\That's not true...\I just created a pretty handy character.\S-So, it appears that Umaru-san isn't here right now.\Around when will she be home?\Huh? Ah, n-no...\Only Onii-chan and I live here. Onee-chan doesn't. response:	I-I see...
context: I knew it! No wonder you have a certain elegance, like Umaru-san.\That's not true...\I just created a pretty handy character.\S-So, it appears that Umaru-san isn't here right now.\Around when will she be home?\Huh? Ah, n-no...\Only Onii-chan and I live here. Onee-chan doesn't.\I-I see... response:	Speaking of which, I wonder how she knew where I lived.
context: That's not true...\I just created a pretty handy character.\S-So, it appears that Umaru-san isn't here right now.\Around when will she be home?\Huh? Ah, n-no...\Only Onii-chan and I live here. Onee-chan doesn't.\I-I see...\Speaking of which, I wonder how she knew where I lived. response:	Why did you think Onee-chan was here, Kirie-chan?
context: I just created a pretty handy character.\S-So, it appears that Umaru-san isn't here right now.\Around when will she be home?\Huh? Ah, n-no...\Only Onii-chan and I live here. Onee-chan doesn't.\I-I see...\Speaking of which, I wonder how she knew where I lived.\Why did you think Onee-chan was here, Kirie-chan? response:	W-Well...
context: S-So, it appears that Umaru-san isn't here right now.\Around when will she be home?\Huh? Ah, n-no...\Only Onii-chan and I live here. Onee-chan doesn't.\I-I see...\Speaking of which, I wonder how she knew where I lived.\Why did you think Onee-chan was here, Kirie-chan?\W-Well... response:	For the past week, I've been following Umaru-san home.
context: Around when will she be home?\Huh? Ah, n-no...\Only Onii-chan and I live here. Onee-chan doesn't.\I-I see...\Speaking of which, I wonder how she knew where I lived.\Why did you think Onee-chan was here, Kirie-chan?\W-Well...\For the past week, I've been following Umaru-san home. response:	O-Oh, no! I was supposed to give you this first,
context: Huh? Ah, n-no...\Only Onii-chan and I live here. Onee-chan doesn't.\I-I see...\Speaking of which, I wonder how she knew where I lived.\Why did you think Onee-chan was here, Kirie-chan?\W-Well...\For the past week, I've been following Umaru-san home.\O-Oh, no! I was supposed to give you this first, response:	or I'd seem like some kind of stalker!
context: Only Onii-chan and I live here. Onee-chan doesn't.\I-I see...\Speaking of which, I wonder how she knew where I lived.\Why did you think Onee-chan was here, Kirie-chan?\W-Well...\For the past week, I've been following Umaru-san home.\O-Oh, no! I was supposed to give you this first,\or I'd seem like some kind of stalker! response:	Huh? You're not one?
context: I-I see...\Speaking of which, I wonder how she knew where I lived.\Why did you think Onee-chan was here, Kirie-chan?\W-Well...\For the past week, I've been following Umaru-san home.\O-Oh, no! I was supposed to give you this first,\or I'd seem like some kind of stalker!\Huh? You're not one? response:	Arayada High School Student ID
context: Speaking of which, I wonder how she knew where I lived.\Why did you think Onee-chan was here, Kirie-chan?\W-Well...\For the past week, I've been following Umaru-san home.\O-Oh, no! I was supposed to give you this first,\or I'd seem like some kind of stalker!\Huh? You're not one?\Arayada High School Student ID response:	Regular Curriculum Name: Doma Umaru Birth date: 9/26 Enrolled: Heisei Year 27 April 1st
context: Why did you think Onee-chan was here, Kirie-chan?\W-Well...\For the past week, I've been following Umaru-san home.\O-Oh, no! I was supposed to give you this first,\or I'd seem like some kind of stalker!\Huh? You're not one?\Arayada High School Student ID\Regular Curriculum Name: Doma Umaru Birth date: 9/26 Enrolled: Heisei Year 27 April 1st response:	Oh, it's my student ID that I dropped.
context: W-Well...\For the past week, I've been following Umaru-san home.\O-Oh, no! I was supposed to give you this first,\or I'd seem like some kind of stalker!\Huh? You're not one?\Arayada High School Student ID\Regular Curriculum Name: Doma Umaru Birth date: 9/26 Enrolled: Heisei Year 27 April 1st\Oh, it's my student ID that I dropped. response:	U-Um... I picked that up a week ago.
context: For the past week, I've been following Umaru-san home.\O-Oh, no! I was supposed to give you this first,\or I'd seem like some kind of stalker!\Huh? You're not one?\Arayada High School Student ID\Regular Curriculum Name: Doma Umaru Birth date: 9/26 Enrolled: Heisei Year 27 April 1st\Oh, it's my student ID that I dropped.\U-Um... I picked that up a week ago. response:	And, um... I couldn't find the right time to give it back.
context: O-Oh, no! I was supposed to give you this first,\or I'd seem like some kind of stalker!\Huh? You're not one?\Arayada High School Student ID\Regular Curriculum Name: Doma Umaru Birth date: 9/26 Enrolled: Heisei Year 27 April 1st\Oh, it's my student ID that I dropped.\U-Um... I picked that up a week ago.\And, um... I couldn't find the right time to give it back. response:	Everyone's scared of Kirie-chan, but...
context: or I'd seem like some kind of stalker!\Huh? You're not one?\Arayada High School Student ID\Regular Curriculum Name: Doma Umaru Birth date: 9/26 Enrolled: Heisei Year 27 April 1st\Oh, it's my student ID that I dropped.\U-Um... I picked that up a week ago.\And, um... I couldn't find the right time to give it back.\Everyone's scared of Kirie-chan, but... response:	I don't think she's scary.
context: Huh? You're not one?\Arayada High School Student ID\Regular Curriculum Name: Doma Umaru Birth date: 9/26 Enrolled: Heisei Year 27 April 1st\Oh, it's my student ID that I dropped.\U-Um... I picked that up a week ago.\And, um... I couldn't find the right time to give it back.\Everyone's scared of Kirie-chan, but...\I don't think she's scary. response:	Kirie-chan.
context: Arayada High School Student ID\Regular Curriculum Name: Doma Umaru Birth date: 9/26 Enrolled: Heisei Year 27 April 1st\Oh, it's my student ID that I dropped.\U-Um... I picked that up a week ago.\And, um... I couldn't find the right time to give it back.\Everyone's scared of Kirie-chan, but...\I don't think she's scary.\Kirie-chan. response:	Thanks!
context: Regular Curriculum Name: Doma Umaru Birth date: 9/26 Enrolled: Heisei Year 27 April 1st\Oh, it's my student ID that I dropped.\U-Um... I picked that up a week ago.\And, um... I couldn't find the right time to give it back.\Everyone's scared of Kirie-chan, but...\I don't think she's scary.\Kirie-chan.\Thanks! response:	M?
context: Oh, it's my student ID that I dropped.\U-Um... I picked that up a week ago.\And, um... I couldn't find the right time to give it back.\Everyone's scared of Kirie-chan, but...\I don't think she's scary.\Kirie-chan.\Thanks!\M? response:	May I call you Master?!
context: U-Um... I picked that up a week ago.\And, um... I couldn't find the right time to give it back.\Everyone's scared of Kirie-chan, but...\I don't think she's scary.\Kirie-chan.\Thanks!\M?\May I call you Master?! response:	M-Master?
context: And, um... I couldn't find the right time to give it back.\Everyone's scared of Kirie-chan, but...\I don't think she's scary.\Kirie-chan.\Thanks!\M?\May I call you Master?!\M-Master? response:	Y-Yes! I've just decided that I want to follow you, Master Komaru!
context: Everyone's scared of Kirie-chan, but...\I don't think she's scary.\Kirie-chan.\Thanks!\M?\May I call you Master?!\M-Master?\Y-Yes! I've just decided that I want to follow you, Master Komaru! response:	Master Komaru?
context: I don't think she's scary.\Kirie-chan.\Thanks!\M?\May I call you Master?!\M-Master?\Y-Yes! I've just decided that I want to follow you, Master Komaru!\Master Komaru? response:	That makes me sound like a comic storyteller.
context: Kirie-chan.\Thanks!\M?\May I call you Master?!\M-Master?\Y-Yes! I've just decided that I want to follow you, Master Komaru!\Master Komaru?\That makes me sound like a comic storyteller. response:	I'm home.
context: Thanks!\M?\May I call you Master?!\M-Master?\Y-Yes! I've just decided that I want to follow you, Master Komaru!\Master Komaru?\That makes me sound like a comic storyteller.\I'm home. response:	Oh, Onii-chan.
context: M?\May I call you Master?!\M-Master?\Y-Yes! I've just decided that I want to follow you, Master Komaru!\Master Komaru?\That makes me sound like a comic storyteller.\I'm home.\Oh, Onii-chan. response:	Is someone over?
context: May I call you Master?!\M-Master?\Y-Yes! I've just decided that I want to follow you, Master Komaru!\Master Komaru?\That makes me sound like a comic storyteller.\I'm home.\Oh, Onii-chan.\Is someone over? response:	Huh? Umaru's wearing her hood in front of a friend.
context: M-Master?\Y-Yes! I've just decided that I want to follow you, Master Komaru!\Master Komaru?\That makes me sound like a comic storyteller.\I'm home.\Oh, Onii-chan.\Is someone over?\Huh? Umaru's wearing her hood in front of a friend. response:	Did something happen?
context: Y-Yes! I've just decided that I want to follow you, Master Komaru!\Master Komaru?\That makes me sound like a comic storyteller.\I'm home.\Oh, Onii-chan.\Is someone over?\Huh? Umaru's wearing her hood in front of a friend.\Did something happen? response:	Um... This is Kirie-chan. We became friends today.
context: Master Komaru?\That makes me sound like a comic storyteller.\I'm home.\Oh, Onii-chan.\Is someone over?\Huh? Umaru's wearing her hood in front of a friend.\Did something happen?\Um... This is Kirie-chan. We became friends today. response:	Oh, it's nice to meet you.
context: That makes me sound like a comic storyteller.\I'm home.\Oh, Onii-chan.\Is someone over?\Huh? Umaru's wearing her hood in front of a friend.\Did something happen?\Um... This is Kirie-chan. We became friends today.\Oh, it's nice to meet you. response:	Huh?
context: I'm home.\Oh, Onii-chan.\Is someone over?\Huh? Umaru's wearing her hood in front of a friend.\Did something happen?\Um... This is Kirie-chan. We became friends today.\Oh, it's nice to meet you.\Huh? response:	Sh-She's creepy!
context: Oh, Onii-chan.\Is someone over?\Huh? Umaru's wearing her hood in front of a friend.\Did something happen?\Um... This is Kirie-chan. We became friends today.\Oh, it's nice to meet you.\Huh?\Sh-She's creepy! response:	Oh, I get it.
context: Is someone over?\Huh? Umaru's wearing her hood in front of a friend.\Did something happen?\Um... This is Kirie-chan. We became friends today.\Oh, it's nice to meet you.\Huh?\Sh-She's creepy!\Oh, I get it. response:	She's so shy, she can only talk to children.
context: Huh? Umaru's wearing her hood in front of a friend.\Did something happen?\Um... This is Kirie-chan. We became friends today.\Oh, it's nice to meet you.\Huh?\Sh-She's creepy!\Oh, I get it.\She's so shy, she can only talk to children. response:	Menacing
context: Did something happen?\Um... This is Kirie-chan. We became friends today.\Oh, it's nice to meet you.\Huh?\Sh-She's creepy!\Oh, I get it.\She's so shy, she can only talk to children.\Menacing response:	That's amazing, Doma. You set a new record.
context: Um... This is Kirie-chan. We became friends today.\Oh, it's nice to meet you.\Huh?\Sh-She's creepy!\Oh, I get it.\She's so shy, she can only talk to children.\Menacing\That's amazing, Doma. You set a new record. response:	Kirie-san.
context: Oh, it's nice to meet you.\Huh?\Sh-She's creepy!\Oh, I get it.\She's so shy, she can only talk to children.\Menacing\That's amazing, Doma. You set a new record.\Kirie-san. response:	Let us go home together.
context: Huh?\Sh-She's creepy!\Oh, I get it.\She's so shy, she can only talk to children.\Menacing\That's amazing, Doma. You set a new record.\Kirie-san.\Let us go home together. response:	Yes.
context: Sh-She's creepy!\Oh, I get it.\She's so shy, she can only talk to children.\Menacing\That's amazing, Doma. You set a new record.\Kirie-san.\Let us go home together.\Yes. response:	I shall protect you, Umaru-san.
context: Oh, I get it.\She's so shy, she can only talk to children.\Menacing\That's amazing, Doma. You set a new record.\Kirie-san.\Let us go home together.\Yes.\I shall protect you, Umaru-san. response:	Huh?
context: She's so shy, she can only talk to children.\Menacing\That's amazing, Doma. You set a new record.\Kirie-san.\Let us go home together.\Yes.\I shall protect you, Umaru-san.\Huh? response:	What's the matter, Kirie-chan?
context: Menacing\That's amazing, Doma. You set a new record.\Kirie-san.\Let us go home together.\Yes.\I shall protect you, Umaru-san.\Huh?\What's the matter, Kirie-chan? response:	N-N-No, it's nothing, Master.
context: That's amazing, Doma. You set a new record.\Kirie-san.\Let us go home together.\Yes.\I shall protect you, Umaru-san.\Huh?\What's the matter, Kirie-chan?\N-N-No, it's nothing, Master. response:	All right, I'm going to spin a rare Gatcha, so come watch.
context: Kirie-san.\Let us go home together.\Yes.\I shall protect you, Umaru-san.\Huh?\What's the matter, Kirie-chan?\N-N-No, it's nothing, Master.\All right, I'm going to spin a rare Gatcha, so come watch. response:	R-Right.
context: Let us go home together.\Yes.\I shall protect you, Umaru-san.\Huh?\What's the matter, Kirie-chan?\N-N-No, it's nothing, Master.\All right, I'm going to spin a rare Gatcha, so come watch.\R-Right. response:	Come on, super ultra rare!
context: Yes.\I shall protect you, Umaru-san.\Huh?\What's the matter, Kirie-chan?\N-N-No, it's nothing, Master.\All right, I'm going to spin a rare Gatcha, so come watch.\R-Right.\Come on, super ultra rare! response:	Please! Don't lose to the other users!
context: I shall protect you, Umaru-san.\Huh?\What's the matter, Kirie-chan?\N-N-No, it's nothing, Master.\All right, I'm going to spin a rare Gatcha, so come watch.\R-Right.\Come on, super ultra rare!\Please! Don't lose to the other users! response:	I know... Maybe if I talk to Master, I can be friends with Umaru-san...
context: Huh?\What's the matter, Kirie-chan?\N-N-No, it's nothing, Master.\All right, I'm going to spin a rare Gatcha, so come watch.\R-Right.\Come on, super ultra rare!\Please! Don't lose to the other users!\I know... Maybe if I talk to Master, I can be friends with Umaru-san... response:	Another normal!
context: What's the matter, Kirie-chan?\N-N-No, it's nothing, Master.\All right, I'm going to spin a rare Gatcha, so come watch.\R-Right.\Come on, super ultra rare!\Please! Don't lose to the other users!\I know... Maybe if I talk to Master, I can be friends with Umaru-san...\Another normal! response:	U-Um, Master...
context: N-N-No, it's nothing, Master.\All right, I'm going to spin a rare Gatcha, so come watch.\R-Right.\Come on, super ultra rare!\Please! Don't lose to the other users!\I know... Maybe if I talk to Master, I can be friends with Umaru-san...\Another normal!\U-Um, Master... response:	U-Um, uh...
context: All right, I'm going to spin a rare Gatcha, so come watch.\R-Right.\Come on, super ultra rare!\Please! Don't lose to the other users!\I know... Maybe if I talk to Master, I can be friends with Umaru-san...\Another normal!\U-Um, Master...\U-Um, uh... response:	W-Well, um...
context: R-Right.\Come on, super ultra rare!\Please! Don't lose to the other users!\I know... Maybe if I talk to Master, I can be friends with Umaru-san...\Another normal!\U-Um, Master...\U-Um, uh...\W-Well, um... response:	H-How do I put this...
context: Come on, super ultra rare!\Please! Don't lose to the other users!\I know... Maybe if I talk to Master, I can be friends with Umaru-san...\Another normal!\U-Um, Master...\U-Um, uh...\W-Well, um...\H-How do I put this... response:	U-Um, ah...
context: Please! Don't lose to the other users!\I know... Maybe if I talk to Master, I can be friends with Umaru-san...\Another normal!\U-Um, Master...\U-Um, uh...\W-Well, um...\H-How do I put this...\U-Um, ah... response:	Never mind...
context: I know... Maybe if I talk to Master, I can be friends with Umaru-san...\Another normal!\U-Um, Master...\U-Um, uh...\W-Well, um...\H-How do I put this...\U-Um, ah...\Never mind... response:	Huh? Are you sure?
context: Another normal!\U-Um, Master...\U-Um, uh...\W-Well, um...\H-How do I put this...\U-Um, ah...\Never mind...\Huh? Are you sure? response:	Y-Yes.
context: U-Um, Master...\U-Um, uh...\W-Well, um...\H-How do I put this...\U-Um, ah...\Never mind...\Huh? Are you sure?\Y-Yes. response:	It's Motoba-san.
context: U-Um, uh...\W-Well, um...\H-How do I put this...\U-Um, ah...\Never mind...\Huh? Are you sure?\Y-Yes.\It's Motoba-san. response:	Her eyes are as sharp as ever.
context: W-Well, um...\H-How do I put this...\U-Um, ah...\Never mind...\Huh? Are you sure?\Y-Yes.\It's Motoba-san.\Her eyes are as sharp as ever. response:	She's so scary, it's hard to approach her.
