context: Thanks to you, I've awakened. response:	This time for sure, see.
context: Both of you can just get blasted to hell!\There's no need to dodge.\What the...\I-Impossible...\I have to say, you did piss me off a little.\So at least let me do that.\Shenyun Li has lost consciousness!\Therefore, Ayato Amagiri and Julis-Alexia von Riessfeld are your winners! response:	Now that was an enjoyable match!
context: There's no need to dodge.\What the...\I-Impossible...\I have to say, you did piss me off a little.\So at least let me do that.\Shenyun Li has lost consciousness!\Therefore, Ayato Amagiri and Julis-Alexia von Riessfeld are your winners!\Now that was an enjoyable match! response:	Ayato Amagiri...
context: What the...\I-Impossible...\I have to say, you did piss me off a little.\So at least let me do that.\Shenyun Li has lost consciousness!\Therefore, Ayato Amagiri and Julis-Alexia von Riessfeld are your winners!\Now that was an enjoyable match!\Ayato Amagiri... response:	I would be thrilled to meet you.
context: I-Impossible...\I have to say, you did piss me off a little.\So at least let me do that.\Shenyun Li has lost consciousness!\Therefore, Ayato Amagiri and Julis-Alexia von Riessfeld are your winners!\Now that was an enjoyable match!\Ayato Amagiri...\I would be thrilled to meet you. response:	Congratulations, Your Highness! Mr. Amagiri!
context: I have to say, you did piss me off a little.\So at least let me do that.\Shenyun Li has lost consciousness!\Therefore, Ayato Amagiri and Julis-Alexia von Riessfeld are your winners!\Now that was an enjoyable match!\Ayato Amagiri...\I would be thrilled to meet you.\Congratulations, Your Highness! Mr. Amagiri! response:	You were totally, totally amazing!
context: So at least let me do that.\Shenyun Li has lost consciousness!\Therefore, Ayato Amagiri and Julis-Alexia von Riessfeld are your winners!\Now that was an enjoyable match!\Ayato Amagiri...\I would be thrilled to meet you.\Congratulations, Your Highness! Mr. Amagiri!\You were totally, totally amazing! response:	I was so excited!
context: Shenyun Li has lost consciousness!\Therefore, Ayato Amagiri and Julis-Alexia von Riessfeld are your winners!\Now that was an enjoyable match!\Ayato Amagiri...\I would be thrilled to meet you.\Congratulations, Your Highness! Mr. Amagiri!\You were totally, totally amazing!\I was so excited! response:	Thanks, Flora.
context: Therefore, Ayato Amagiri and Julis-Alexia von Riessfeld are your winners!\Now that was an enjoyable match!\Ayato Amagiri...\I would be thrilled to meet you.\Congratulations, Your Highness! Mr. Amagiri!\You were totally, totally amazing!\I was so excited!\Thanks, Flora. response:	Calm down a bit, Flora.
context: Now that was an enjoyable match!\Ayato Amagiri...\I would be thrilled to meet you.\Congratulations, Your Highness! Mr. Amagiri!\You were totally, totally amazing!\I was so excited!\Thanks, Flora.\Calm down a bit, Flora. response:	I see you're as spunky as usual, Flora.
context: Ayato Amagiri...\I would be thrilled to meet you.\Congratulations, Your Highness! Mr. Amagiri!\You were totally, totally amazing!\I was so excited!\Thanks, Flora.\Calm down a bit, Flora.\I see you're as spunky as usual, Flora. response:	That sets my mind at ease.
context: I would be thrilled to meet you.\Congratulations, Your Highness! Mr. Amagiri!\You were totally, totally amazing!\I was so excited!\Thanks, Flora.\Calm down a bit, Flora.\I see you're as spunky as usual, Flora.\That sets my mind at ease. response:	Did you know Flora from before, Claudia?
context: Congratulations, Your Highness! Mr. Amagiri!\You were totally, totally amazing!\I was so excited!\Thanks, Flora.\Calm down a bit, Flora.\I see you're as spunky as usual, Flora.\That sets my mind at ease.\Did you know Flora from before, Claudia? response:	Yes, I've met her as Julis's maid-in-waiting several times.
context: You were totally, totally amazing!\I was so excited!\Thanks, Flora.\Calm down a bit, Flora.\I see you're as spunky as usual, Flora.\That sets my mind at ease.\Did you know Flora from before, Claudia?\Yes, I've met her as Julis's maid-in-waiting several times. response:	Lady Enfield is always so kind!
context: I was so excited!\Thanks, Flora.\Calm down a bit, Flora.\I see you're as spunky as usual, Flora.\That sets my mind at ease.\Did you know Flora from before, Claudia?\Yes, I've met her as Julis's maid-in-waiting several times.\Lady Enfield is always so kind! response:	- I see. - Now, then...
context: Thanks, Flora.\Calm down a bit, Flora.\I see you're as spunky as usual, Flora.\That sets my mind at ease.\Did you know Flora from before, Claudia?\Yes, I've met her as Julis's maid-in-waiting several times.\Lady Enfield is always so kind!\- I see. - Now, then... response:	Congratulations to you both on reaching the semifinals.
context: Calm down a bit, Flora.\I see you're as spunky as usual, Flora.\That sets my mind at ease.\Did you know Flora from before, Claudia?\Yes, I've met her as Julis's maid-in-waiting several times.\Lady Enfield is always so kind!\- I see. - Now, then...\Congratulations to you both on reaching the semifinals. response:	Seidoukan Academy has more points than we'd projected.
context: I see you're as spunky as usual, Flora.\That sets my mind at ease.\Did you know Flora from before, Claudia?\Yes, I've met her as Julis's maid-in-waiting several times.\Lady Enfield is always so kind!\- I see. - Now, then...\Congratulations to you both on reaching the semifinals.\Seidoukan Academy has more points than we'd projected. response:	As a representative of the school, I'd like to express my joy and gratitude.
context: That sets my mind at ease.\Did you know Flora from before, Claudia?\Yes, I've met her as Julis's maid-in-waiting several times.\Lady Enfield is always so kind!\- I see. - Now, then...\Congratulations to you both on reaching the semifinals.\Seidoukan Academy has more points than we'd projected.\As a representative of the school, I'd like to express my joy and gratitude. response:	Hey, it's nothing you need to thank us for.
context: Did you know Flora from before, Claudia?\Yes, I've met her as Julis's maid-in-waiting several times.\Lady Enfield is always so kind!\- I see. - Now, then...\Congratulations to you both on reaching the semifinals.\Seidoukan Academy has more points than we'd projected.\As a representative of the school, I'd like to express my joy and gratitude.\Hey, it's nothing you need to thank us for. response:	Of course,
context: Yes, I've met her as Julis's maid-in-waiting several times.\Lady Enfield is always so kind!\- I see. - Now, then...\Congratulations to you both on reaching the semifinals.\Seidoukan Academy has more points than we'd projected.\As a representative of the school, I'd like to express my joy and gratitude.\Hey, it's nothing you need to thank us for.\Of course, response:	I'd like to express my heartfelt congratulations and gratitude to you,
context: Lady Enfield is always so kind!\- I see. - Now, then...\Congratulations to you both on reaching the semifinals.\Seidoukan Academy has more points than we'd projected.\As a representative of the school, I'd like to express my joy and gratitude.\Hey, it's nothing you need to thank us for.\Of course,\I'd like to express my heartfelt congratulations and gratitude to you, response:	not just as a representative of the school, but personally, as well.
context: - I see. - Now, then...\Congratulations to you both on reaching the semifinals.\Seidoukan Academy has more points than we'd projected.\As a representative of the school, I'd like to express my joy and gratitude.\Hey, it's nothing you need to thank us for.\Of course,\I'd like to express my heartfelt congratulations and gratitude to you,\not just as a representative of the school, but personally, as well. response:	Now, then, please come to my room tonight.
context: Congratulations to you both on reaching the semifinals.\Seidoukan Academy has more points than we'd projected.\As a representative of the school, I'd like to express my joy and gratitude.\Hey, it's nothing you need to thank us for.\Of course,\I'd like to express my heartfelt congratulations and gratitude to you,\not just as a representative of the school, but personally, as well.\Now, then, please come to my room tonight. response:	- Come along! - H-Hey, wait!
context: Seidoukan Academy has more points than we'd projected.\As a representative of the school, I'd like to express my joy and gratitude.\Hey, it's nothing you need to thank us for.\Of course,\I'd like to express my heartfelt congratulations and gratitude to you,\not just as a representative of the school, but personally, as well.\Now, then, please come to my room tonight.\- Come along! - H-Hey, wait! response:	Right, then! Away we go!
context: As a representative of the school, I'd like to express my joy and gratitude.\Hey, it's nothing you need to thank us for.\Of course,\I'd like to express my heartfelt congratulations and gratitude to you,\not just as a representative of the school, but personally, as well.\Now, then, please come to my room tonight.\- Come along! - H-Hey, wait!\Right, then! Away we go! response:	H-Hold up!
context: Hey, it's nothing you need to thank us for.\Of course,\I'd like to express my heartfelt congratulations and gratitude to you,\not just as a representative of the school, but personally, as well.\Now, then, please come to my room tonight.\- Come along! - H-Hey, wait!\Right, then! Away we go!\H-Hold up! response:	What kind of proposition is that, all of a sudden?!
context: Of course,\I'd like to express my heartfelt congratulations and gratitude to you,\not just as a representative of the school, but personally, as well.\Now, then, please come to my room tonight.\- Come along! - H-Hey, wait!\Right, then! Away we go!\H-Hold up!\What kind of proposition is that, all of a sudden?! response:	In order to restore Ayato's vitality before tomorrow's semifinal match,
context: I'd like to express my heartfelt congratulations and gratitude to you,\not just as a representative of the school, but personally, as well.\Now, then, please come to my room tonight.\- Come along! - H-Hey, wait!\Right, then! Away we go!\H-Hold up!\What kind of proposition is that, all of a sudden?!\In order to restore Ayato's vitality before tomorrow's semifinal match, response:	I've prepared to offer him some hospitality.
context: not just as a representative of the school, but personally, as well.\Now, then, please come to my room tonight.\- Come along! - H-Hey, wait!\Right, then! Away we go!\H-Hold up!\What kind of proposition is that, all of a sudden?!\In order to restore Ayato's vitality before tomorrow's semifinal match,\I've prepared to offer him some hospitality. response:	Don't just drag him away like that!
context: Now, then, please come to my room tonight.\- Come along! - H-Hey, wait!\Right, then! Away we go!\H-Hold up!\What kind of proposition is that, all of a sudden?!\In order to restore Ayato's vitality before tomorrow's semifinal match,\I've prepared to offer him some hospitality.\Don't just drag him away like that! response:	Ayato and I are going to discuss our strategy for tomorrow!
context: - Come along! - H-Hey, wait!\Right, then! Away we go!\H-Hold up!\What kind of proposition is that, all of a sudden?!\In order to restore Ayato's vitality before tomorrow's semifinal match,\I've prepared to offer him some hospitality.\Don't just drag him away like that!\Ayato and I are going to discuss our strategy for tomorrow! response:	No, no, what Ayato needs right now is rest!
context: Right, then! Away we go!\H-Hold up!\What kind of proposition is that, all of a sudden?!\In order to restore Ayato's vitality before tomorrow's semifinal match,\I've prepared to offer him some hospitality.\Don't just drag him away like that!\Ayato and I are going to discuss our strategy for tomorrow!\No, no, what Ayato needs right now is rest! response:	- No way! Strategy meeting! - It's not fair, Julis!
context: H-Hold up!\What kind of proposition is that, all of a sudden?!\In order to restore Ayato's vitality before tomorrow's semifinal match,\I've prepared to offer him some hospitality.\Don't just drag him away like that!\Ayato and I are going to discuss our strategy for tomorrow!\No, no, what Ayato needs right now is rest!\- No way! Strategy meeting! - It's not fair, Julis! response:	H-Hey, come on... both of you!
context: What kind of proposition is that, all of a sudden?!\In order to restore Ayato's vitality before tomorrow's semifinal match,\I've prepared to offer him some hospitality.\Don't just drag him away like that!\Ayato and I are going to discuss our strategy for tomorrow!\No, no, what Ayato needs right now is rest!\- No way! Strategy meeting! - It's not fair, Julis!\H-Hey, come on... both of you! response:	This year's Festa has a greater popularity than we expected.
context: In order to restore Ayato's vitality before tomorrow's semifinal match,\I've prepared to offer him some hospitality.\Don't just drag him away like that!\Ayato and I are going to discuss our strategy for tomorrow!\No, no, what Ayato needs right now is rest!\- No way! Strategy meeting! - It's not fair, Julis!\H-Hey, come on... both of you!\This year's Festa has a greater popularity than we expected. response:	At this point,
context: I've prepared to offer him some hospitality.\Don't just drag him away like that!\Ayato and I are going to discuss our strategy for tomorrow!\No, no, what Ayato needs right now is rest!\- No way! Strategy meeting! - It's not fair, Julis!\H-Hey, come on... both of you!\This year's Festa has a greater popularity than we expected.\At this point, response:	we've already surpassed last year's figures for both the box office and attendance.
context: Don't just drag him away like that!\Ayato and I are going to discuss our strategy for tomorrow!\No, no, what Ayato needs right now is rest!\- No way! Strategy meeting! - It's not fair, Julis!\H-Hey, come on... both of you!\This year's Festa has a greater popularity than we expected.\At this point,\we've already surpassed last year's figures for both the box office and attendance. response:	Permitting Arlequint's surrogates to compete was a masterstroke!
context: Ayato and I are going to discuss our strategy for tomorrow!\No, no, what Ayato needs right now is rest!\- No way! Strategy meeting! - It's not fair, Julis!\H-Hey, come on... both of you!\This year's Festa has a greater popularity than we expected.\At this point,\we've already surpassed last year's figures for both the box office and attendance.\Permitting Arlequint's surrogates to compete was a masterstroke! response:	Haruka's younger brother, huh?
context: No, no, what Ayato needs right now is rest!\- No way! Strategy meeting! - It's not fair, Julis!\H-Hey, come on... both of you!\This year's Festa has a greater popularity than we expected.\At this point,\we've already surpassed last year's figures for both the box office and attendance.\Permitting Arlequint's surrogates to compete was a masterstroke!\Haruka's younger brother, huh? response:	What?
context: - No way! Strategy meeting! - It's not fair, Julis!\H-Hey, come on... both of you!\This year's Festa has a greater popularity than we expected.\At this point,\we've already surpassed last year's figures for both the box office and attendance.\Permitting Arlequint's surrogates to compete was a masterstroke!\Haruka's younger brother, huh?\What? response:	No, never mind.
context: H-Hey, come on... both of you!\This year's Festa has a greater popularity than we expected.\At this point,\we've already surpassed last year's figures for both the box office and attendance.\Permitting Arlequint's surrogates to compete was a masterstroke!\Haruka's younger brother, huh?\What?\No, never mind. response:	Thank you for your report.
context: This year's Festa has a greater popularity than we expected.\At this point,\we've already surpassed last year's figures for both the box office and attendance.\Permitting Arlequint's surrogates to compete was a masterstroke!\Haruka's younger brother, huh?\What?\No, never mind.\Thank you for your report. response:	Excuse me, sir.
context: At this point,\we've already surpassed last year's figures for both the box office and attendance.\Permitting Arlequint's surrogates to compete was a masterstroke!\Haruka's younger brother, huh?\What?\No, never mind.\Thank you for your report.\Excuse me, sir. response:	Now, then...
context: we've already surpassed last year's figures for both the box office and attendance.\Permitting Arlequint's surrogates to compete was a masterstroke!\Haruka's younger brother, huh?\What?\No, never mind.\Thank you for your report.\Excuse me, sir.\Now, then... response:	On to the semifinals!
context: Permitting Arlequint's surrogates to compete was a masterstroke!\Haruka's younger brother, huh?\What?\No, never mind.\Thank you for your report.\Excuse me, sir.\Now, then...\On to the semifinals! response:	What is that?
context: Haruka's younger brother, huh?\What?\No, never mind.\Thank you for your report.\Excuse me, sir.\Now, then...\On to the semifinals!\What is that? response:	This is my good luck charm.
context: What?\No, never mind.\Thank you for your report.\Excuse me, sir.\Now, then...\On to the semifinals!\What is that?\This is my good luck charm. response:	It's a magical ticket that will grant you any wish you desire.
context: No, never mind.\Thank you for your report.\Excuse me, sir.\Now, then...\On to the semifinals!\What is that?\This is my good luck charm.\It's a magical ticket that will grant you any wish you desire. response:	How wonderful!
context: Thank you for your report.\Excuse me, sir.\Now, then...\On to the semifinals!\What is that?\This is my good luck charm.\It's a magical ticket that will grant you any wish you desire.\How wonderful! response:	Oh, then were you just wishing for victory in today's match?
context: Excuse me, sir.\Now, then...\On to the semifinals!\What is that?\This is my good luck charm.\It's a magical ticket that will grant you any wish you desire.\How wonderful!\Oh, then were you just wishing for victory in today's match? response:	No.
context: Now, then...\On to the semifinals!\What is that?\This is my good luck charm.\It's a magical ticket that will grant you any wish you desire.\How wonderful!\Oh, then were you just wishing for victory in today's match?\No. response:	This is just a good luck charm.
context: On to the semifinals!\What is that?\This is my good luck charm.\It's a magical ticket that will grant you any wish you desire.\How wonderful!\Oh, then were you just wishing for victory in today's match?\No.\This is just a good luck charm. response:	Today's victory is something you and I are going to achieve on our own.
context: What is that?\This is my good luck charm.\It's a magical ticket that will grant you any wish you desire.\How wonderful!\Oh, then were you just wishing for victory in today's match?\No.\This is just a good luck charm.\Today's victory is something you and I are going to achieve on our own. response:	You're right.
context: This is my good luck charm.\It's a magical ticket that will grant you any wish you desire.\How wonderful!\Oh, then were you just wishing for victory in today's match?\No.\This is just a good luck charm.\Today's victory is something you and I are going to achieve on our own.\You're right. response:	Sorry about that.
context: It's a magical ticket that will grant you any wish you desire.\How wonderful!\Oh, then were you just wishing for victory in today's match?\No.\This is just a good luck charm.\Today's victory is something you and I are going to achieve on our own.\You're right.\Sorry about that. response:	Kirin?
context: How wonderful!\Oh, then were you just wishing for victory in today's match?\No.\This is just a good luck charm.\Today's victory is something you and I are going to achieve on our own.\You're right.\Sorry about that.\Kirin? response:	Uh, yes? What is it?
context: Oh, then were you just wishing for victory in today's match?\No.\This is just a good luck charm.\Today's victory is something you and I are going to achieve on our own.\You're right.\Sorry about that.\Kirin?\Uh, yes? What is it? response:	Thank you.
context: No.\This is just a good luck charm.\Today's victory is something you and I are going to achieve on our own.\You're right.\Sorry about that.\Kirin?\Uh, yes? What is it?\Thank you. response:	What? Wh-What's this, all of a sudden?
context: This is just a good luck charm.\Today's victory is something you and I are going to achieve on our own.\You're right.\Sorry about that.\Kirin?\Uh, yes? What is it?\Thank you.\What? Wh-What's this, all of a sudden? response:	I only made it this far because of you. I'm grateful for that.
context: Today's victory is something you and I are going to achieve on our own.\You're right.\Sorry about that.\Kirin?\Uh, yes? What is it?\Thank you.\What? Wh-What's this, all of a sudden?\I only made it this far because of you. I'm grateful for that. response:	P-Please! Don't say things like that!
context: You're right.\Sorry about that.\Kirin?\Uh, yes? What is it?\Thank you.\What? Wh-What's this, all of a sudden?\I only made it this far because of you. I'm grateful for that.\P-Please! Don't say things like that! response:	I'm the one who should be thanking you.
context: Sorry about that.\Kirin?\Uh, yes? What is it?\Thank you.\What? Wh-What's this, all of a sudden?\I only made it this far because of you. I'm grateful for that.\P-Please! Don't say things like that!\I'm the one who should be thanking you. response:	Because my wish to save my father is about to come true.
context: Kirin?\Uh, yes? What is it?\Thank you.\What? Wh-What's this, all of a sudden?\I only made it this far because of you. I'm grateful for that.\P-Please! Don't say things like that!\I'm the one who should be thanking you.\Because my wish to save my father is about to come true. response:	Your father...
context: Uh, yes? What is it?\Thank you.\What? Wh-What's this, all of a sudden?\I only made it this far because of you. I'm grateful for that.\P-Please! Don't say things like that!\I'm the one who should be thanking you.\Because my wish to save my father is about to come true.\Your father... response:	This is something I want you to know, Kirin.
context: Thank you.\What? Wh-What's this, all of a sudden?\I only made it this far because of you. I'm grateful for that.\P-Please! Don't say things like that!\I'm the one who should be thanking you.\Because my wish to save my father is about to come true.\Your father...\This is something I want you to know, Kirin. response:	Yes?
context: What? Wh-What's this, all of a sudden?\I only made it this far because of you. I'm grateful for that.\P-Please! Don't say things like that!\I'm the one who should be thanking you.\Because my wish to save my father is about to come true.\Your father...\This is something I want you to know, Kirin.\Yes? response:	My father lost most of his body in an accident at the lab where he worked.
context: I only made it this far because of you. I'm grateful for that.\P-Please! Don't say things like that!\I'm the one who should be thanking you.\Because my wish to save my father is about to come true.\Your father...\This is something I want you to know, Kirin.\Yes?\My father lost most of his body in an accident at the lab where he worked. response:	Fortunately, his brain was unscathed,
context: P-Please! Don't say things like that!\I'm the one who should be thanking you.\Because my wish to save my father is about to come true.\Your father...\This is something I want you to know, Kirin.\Yes?\My father lost most of his body in an accident at the lab where he worked.\Fortunately, his brain was unscathed, response:	so now he's hooked up to the nerve center in the workshop he built at home.
context: I'm the one who should be thanking you.\Because my wish to save my father is about to come true.\Your father...\This is something I want you to know, Kirin.\Yes?\My father lost most of his body in an accident at the lab where he worked.\Fortunately, his brain was unscathed,\so now he's hooked up to the nerve center in the workshop he built at home. response:	You don't have to feel bad for him.
context: Because my wish to save my father is about to come true.\Your father...\This is something I want you to know, Kirin.\Yes?\My father lost most of his body in an accident at the lab where he worked.\Fortunately, his brain was unscathed,\so now he's hooked up to the nerve center in the workshop he built at home.\You don't have to feel bad for him. response:	Now that he's free to research what he wants to,
context: Your father...\This is something I want you to know, Kirin.\Yes?\My father lost most of his body in an accident at the lab where he worked.\Fortunately, his brain was unscathed,\so now he's hooked up to the nerve center in the workshop he built at home.\You don't have to feel bad for him.\Now that he's free to research what he wants to, response:	my father says he's happier.
context: This is something I want you to know, Kirin.\Yes?\My father lost most of his body in an accident at the lab where he worked.\Fortunately, his brain was unscathed,\so now he's hooked up to the nerve center in the workshop he built at home.\You don't have to feel bad for him.\Now that he's free to research what he wants to,\my father says he's happier. response:	What he wants to?
context: Yes?\My father lost most of his body in an accident at the lab where he worked.\Fortunately, his brain was unscathed,\so now he's hooked up to the nerve center in the workshop he built at home.\You don't have to feel bad for him.\Now that he's free to research what he wants to,\my father says he's happier.\What he wants to? response:	Making guns for me.
context: My father lost most of his body in an accident at the lab where he worked.\Fortunately, his brain was unscathed,\so now he's hooked up to the nerve center in the workshop he built at home.\You don't have to feel bad for him.\Now that he's free to research what he wants to,\my father says he's happier.\What he wants to?\Making guns for me. response:	For you, Saya?
context: Fortunately, his brain was unscathed,\so now he's hooked up to the nerve center in the workshop he built at home.\You don't have to feel bad for him.\Now that he's free to research what he wants to,\my father says he's happier.\What he wants to?\Making guns for me.\For you, Saya? response:	That's right.
context: so now he's hooked up to the nerve center in the workshop he built at home.\You don't have to feel bad for him.\Now that he's free to research what he wants to,\my father says he's happier.\What he wants to?\Making guns for me.\For you, Saya?\That's right. response:	So in a way, what Camilla Pareto said was on the mark.
context: You don't have to feel bad for him.\Now that he's free to research what he wants to,\my father says he's happier.\What he wants to?\Making guns for me.\For you, Saya?\That's right.\So in a way, what Camilla Pareto said was on the mark. response:	Because this power wasn't created for others, but for me alone.
context: Now that he's free to research what he wants to,\my father says he's happier.\What he wants to?\Making guns for me.\For you, Saya?\That's right.\So in a way, what Camilla Pareto said was on the mark.\Because this power wasn't created for others, but for me alone. response:	And that's precisely why I can't forgive anyone who would reject that notion.
context: my father says he's happier.\What he wants to?\Making guns for me.\For you, Saya?\That's right.\So in a way, what Camilla Pareto said was on the mark.\Because this power wasn't created for others, but for me alone.\And that's precisely why I can't forgive anyone who would reject that notion. response:	Hey, there, girls!
context: What he wants to?\Making guns for me.\For you, Saya?\That's right.\So in a way, what Camilla Pareto said was on the mark.\Because this power wasn't created for others, but for me alone.\And that's precisely why I can't forgive anyone who would reject that notion.\Hey, there, girls! response:	Long time no see!
context: Making guns for me.\For you, Saya?\That's right.\So in a way, what Camilla Pareto said was on the mark.\Because this power wasn't created for others, but for me alone.\And that's precisely why I can't forgive anyone who would reject that notion.\Hey, there, girls!\Long time no see! response:	What do you want?
context: For you, Saya?\That's right.\So in a way, what Camilla Pareto said was on the mark.\Because this power wasn't created for others, but for me alone.\And that's precisely why I can't forgive anyone who would reject that notion.\Hey, there, girls!\Long time no see!\What do you want? response:	Oh, my, that's pretty cold!
context: That's right.\So in a way, what Camilla Pareto said was on the mark.\Because this power wasn't created for others, but for me alone.\And that's precisely why I can't forgive anyone who would reject that notion.\Hey, there, girls!\Long time no see!\What do you want?\Oh, my, that's pretty cold! response:	Camilla says there's something she just has to tell you before the match, so...
context: So in a way, what Camilla Pareto said was on the mark.\Because this power wasn't created for others, but for me alone.\And that's precisely why I can't forgive anyone who would reject that notion.\Hey, there, girls!\Long time no see!\What do you want?\Oh, my, that's pretty cold!\Camilla says there's something she just has to tell you before the match, so... response:	It's been a long time, Saya Sasamiya.
context: Because this power wasn't created for others, but for me alone.\And that's precisely why I can't forgive anyone who would reject that notion.\Hey, there, girls!\Long time no see!\What do you want?\Oh, my, that's pretty cold!\Camilla says there's something she just has to tell you before the match, so...\It's been a long time, Saya Sasamiya. response:	What can I say? It seems that I misread you slightly,
context: And that's precisely why I can't forgive anyone who would reject that notion.\Hey, there, girls!\Long time no see!\What do you want?\Oh, my, that's pretty cold!\Camilla says there's something she just has to tell you before the match, so...\It's been a long time, Saya Sasamiya.\What can I say? It seems that I misread you slightly, response:	so I thought I'd tell you.
context: Hey, there, girls!\Long time no see!\What do you want?\Oh, my, that's pretty cold!\Camilla says there's something she just has to tell you before the match, so...\It's been a long time, Saya Sasamiya.\What can I say? It seems that I misread you slightly,\so I thought I'd tell you. response:	Misread me?
context: Long time no see!\What do you want?\Oh, my, that's pretty cold!\Camilla says there's something she just has to tell you before the match, so...\It's been a long time, Saya Sasamiya.\What can I say? It seems that I misread you slightly,\so I thought I'd tell you.\Misread me? response:	Yes, I realized it when I saw your match.
context: What do you want?\Oh, my, that's pretty cold!\Camilla says there's something she just has to tell you before the match, so...\It's been a long time, Saya Sasamiya.\What can I say? It seems that I misread you slightly,\so I thought I'd tell you.\Misread me?\Yes, I realized it when I saw your match. response:	When viewed separately, those Luxes of yours are all defective.
context: Oh, my, that's pretty cold!\Camilla says there's something she just has to tell you before the match, so...\It's been a long time, Saya Sasamiya.\What can I say? It seems that I misread you slightly,\so I thought I'd tell you.\Misread me?\Yes, I realized it when I saw your match.\When viewed separately, those Luxes of yours are all defective. response:	But when you look at them, including yourself, as a single weapon,
context: Camilla says there's something she just has to tell you before the match, so...\It's been a long time, Saya Sasamiya.\What can I say? It seems that I misread you slightly,\so I thought I'd tell you.\Misread me?\Yes, I realized it when I saw your match.\When viewed separately, those Luxes of yours are all defective.\But when you look at them, including yourself, as a single weapon, response:	I must admit that they're without peer.
context: It's been a long time, Saya Sasamiya.\What can I say? It seems that I misread you slightly,\so I thought I'd tell you.\Misread me?\Yes, I realized it when I saw your match.\When viewed separately, those Luxes of yours are all defective.\But when you look at them, including yourself, as a single weapon,\I must admit that they're without peer. response:	Then...
context: What can I say? It seems that I misread you slightly,\so I thought I'd tell you.\Misread me?\Yes, I realized it when I saw your match.\When viewed separately, those Luxes of yours are all defective.\But when you look at them, including yourself, as a single weapon,\I must admit that they're without peer.\Then... response:	However...
context: so I thought I'd tell you.\Misread me?\Yes, I realized it when I saw your match.\When viewed separately, those Luxes of yours are all defective.\But when you look at them, including yourself, as a single weapon,\I must admit that they're without peer.\Then...\However... response:	That actually means they're prone to causing more organic instability.
context: Misread me?\Yes, I realized it when I saw your match.\When viewed separately, those Luxes of yours are all defective.\But when you look at them, including yourself, as a single weapon,\I must admit that they're without peer.\Then...\However...\That actually means they're prone to causing more organic instability. response:	Like I said, they're not for actual combat.
context: Yes, I realized it when I saw your match.\When viewed separately, those Luxes of yours are all defective.\But when you look at them, including yourself, as a single weapon,\I must admit that they're without peer.\Then...\However...\That actually means they're prone to causing more organic instability.\Like I said, they're not for actual combat. response:	Then, I'll make you acknowledge them by taking out your clones.
context: When viewed separately, those Luxes of yours are all defective.\But when you look at them, including yourself, as a single weapon,\I must admit that they're without peer.\Then...\However...\That actually means they're prone to causing more organic instability.\Like I said, they're not for actual combat.\Then, I'll make you acknowledge them by taking out your clones. response:	That's impossible.
context: But when you look at them, including yourself, as a single weapon,\I must admit that they're without peer.\Then...\However...\That actually means they're prone to causing more organic instability.\Like I said, they're not for actual combat.\Then, I'll make you acknowledge them by taking out your clones.\That's impossible. response:	S-Saya!
context: I must admit that they're without peer.\Then...\However...\That actually means they're prone to causing more organic instability.\Like I said, they're not for actual combat.\Then, I'll make you acknowledge them by taking out your clones.\That's impossible.\S-Saya! response:	That said...
context: Then...\However...\That actually means they're prone to causing more organic instability.\Like I said, they're not for actual combat.\Then, I'll make you acknowledge them by taking out your clones.\That's impossible.\S-Saya!\That said... response:	If, by any chance, you two should win,
context: However...\That actually means they're prone to causing more organic instability.\Like I said, they're not for actual combat.\Then, I'll make you acknowledge them by taking out your clones.\That's impossible.\S-Saya!\That said...\If, by any chance, you two should win, response:	I'll take back what I said the other day.
context: That actually means they're prone to causing more organic instability.\Like I said, they're not for actual combat.\Then, I'll make you acknowledge them by taking out your clones.\That's impossible.\S-Saya!\That said...\If, by any chance, you two should win,\I'll take back what I said the other day. response:	Ferrovius and I have poured
context: Like I said, they're not for actual combat.\Then, I'll make you acknowledge them by taking out your clones.\That's impossible.\S-Saya!\That said...\If, by any chance, you two should win,\I'll take back what I said the other day.\Ferrovius and I have poured response:	all the technology we've developed into AR-D and RM-C's equipment.
context: Then, I'll make you acknowledge them by taking out your clones.\That's impossible.\S-Saya!\That said...\If, by any chance, you two should win,\I'll take back what I said the other day.\Ferrovius and I have poured\all the technology we've developed into AR-D and RM-C's equipment. response:	So if you do manage to defeat them,
context: That's impossible.\S-Saya!\That said...\If, by any chance, you two should win,\I'll take back what I said the other day.\Ferrovius and I have poured\all the technology we've developed into AR-D and RM-C's equipment.\So if you do manage to defeat them, response:	I can't say your Luxes aren't suited for actual combat.
context: S-Saya!\That said...\If, by any chance, you two should win,\I'll take back what I said the other day.\Ferrovius and I have poured\all the technology we've developed into AR-D and RM-C's equipment.\So if you do manage to defeat them,\I can't say your Luxes aren't suited for actual combat. response:	See ya!
context: That said...\If, by any chance, you two should win,\I'll take back what I said the other day.\Ferrovius and I have poured\all the technology we've developed into AR-D and RM-C's equipment.\So if you do manage to defeat them,\I can't say your Luxes aren't suited for actual combat.\See ya! response:	Let's go, Kirin.
context: If, by any chance, you two should win,\I'll take back what I said the other day.\Ferrovius and I have poured\all the technology we've developed into AR-D and RM-C's equipment.\So if you do manage to defeat them,\I can't say your Luxes aren't suited for actual combat.\See ya!\Let's go, Kirin. response:	Right!
