context: Your newbie hasn't quit yet? response:	Nope, he's hanging in there.
context: No sign of any crests or spells...\So it's not likely artificial, then.\Artificial?\Like incorporating magic into the elevator itself into make into some kind of device.\What does that mean?\For example, if a believer in a god, or what we call an Another,\created a magical gate to offer their deity sacrifices.\The victims would have no idea what happened response:	as they passed through the gate and right to the Another's presence.
context: So it's not likely artificial, then.\Artificial?\Like incorporating magic into the elevator itself into make into some kind of device.\What does that mean?\For example, if a believer in a god, or what we call an Another,\created a magical gate to offer their deity sacrifices.\The victims would have no idea what happened\as they passed through the gate and right to the Another's presence. response:	The data we have made it seem like it happens
context: Artificial?\Like incorporating magic into the elevator itself into make into some kind of device.\What does that mean?\For example, if a believer in a god, or what we call an Another,\created a magical gate to offer their deity sacrifices.\The victims would have no idea what happened\as they passed through the gate and right to the Another's presence.\The data we have made it seem like it happens response:	when you leave the elevator to go into the observation deck.
context: Like incorporating magic into the elevator itself into make into some kind of device.\What does that mean?\For example, if a believer in a god, or what we call an Another,\created a magical gate to offer their deity sacrifices.\The victims would have no idea what happened\as they passed through the gate and right to the Another's presence.\The data we have made it seem like it happens\when you leave the elevator to go into the observation deck. response:	So, we should go up?
context: What does that mean?\For example, if a believer in a god, or what we call an Another,\created a magical gate to offer their deity sacrifices.\The victims would have no idea what happened\as they passed through the gate and right to the Another's presence.\The data we have made it seem like it happens\when you leave the elevator to go into the observation deck.\So, we should go up? response:	Theo, head up to the south deck and take a look.
context: For example, if a believer in a god, or what we call an Another,\created a magical gate to offer their deity sacrifices.\The victims would have no idea what happened\as they passed through the gate and right to the Another's presence.\The data we have made it seem like it happens\when you leave the elevator to go into the observation deck.\So, we should go up?\Theo, head up to the south deck and take a look. response:	Miyako and I will take a look at the north deck.
context: created a magical gate to offer their deity sacrifices.\The victims would have no idea what happened\as they passed through the gate and right to the Another's presence.\The data we have made it seem like it happens\when you leave the elevator to go into the observation deck.\So, we should go up?\Theo, head up to the south deck and take a look.\Miyako and I will take a look at the north deck. response:	Roger.
context: The victims would have no idea what happened\as they passed through the gate and right to the Another's presence.\The data we have made it seem like it happens\when you leave the elevator to go into the observation deck.\So, we should go up?\Theo, head up to the south deck and take a look.\Miyako and I will take a look at the north deck.\Roger. response:	Pray for me, so I don't end up in a parallel world.
context: as they passed through the gate and right to the Another's presence.\The data we have made it seem like it happens\when you leave the elevator to go into the observation deck.\So, we should go up?\Theo, head up to the south deck and take a look.\Miyako and I will take a look at the north deck.\Roger.\Pray for me, so I don't end up in a parallel world. response:	That's not funny...
context: The data we have made it seem like it happens\when you leave the elevator to go into the observation deck.\So, we should go up?\Theo, head up to the south deck and take a look.\Miyako and I will take a look at the north deck.\Roger.\Pray for me, so I don't end up in a parallel world.\That's not funny... response:	Nothing.
context: when you leave the elevator to go into the observation deck.\So, we should go up?\Theo, head up to the south deck and take a look.\Miyako and I will take a look at the north deck.\Roger.\Pray for me, so I don't end up in a parallel world.\That's not funny...\Nothing. response:	Nope.
context: So, we should go up?\Theo, head up to the south deck and take a look.\Miyako and I will take a look at the north deck.\Roger.\Pray for me, so I don't end up in a parallel world.\That's not funny...\Nothing.\Nope. response:	Up it is, then.
context: Theo, head up to the south deck and take a look.\Miyako and I will take a look at the north deck.\Roger.\Pray for me, so I don't end up in a parallel world.\That's not funny...\Nothing.\Nope.\Up it is, then. response:	Right.
context: Miyako and I will take a look at the north deck.\Roger.\Pray for me, so I don't end up in a parallel world.\That's not funny...\Nothing.\Nope.\Up it is, then.\Right. response:	June 14th
context: Roger.\Pray for me, so I don't end up in a parallel world.\That's not funny...\Nothing.\Nope.\Up it is, then.\Right.\June 14th response:	Um,
context: Pray for me, so I don't end up in a parallel world.\That's not funny...\Nothing.\Nope.\Up it is, then.\Right.\June 14th\Um, response:	the missing persons and missing memories cases are occurring at random
context: That's not funny...\Nothing.\Nope.\Up it is, then.\Right.\June 14th\Um,\the missing persons and missing memories cases are occurring at random response:	in both the north and south elevators, right?
context: Nothing.\Nope.\Up it is, then.\Right.\June 14th\Um,\the missing persons and missing memories cases are occurring at random\in both the north and south elevators, right? response:	Yeah. We don't know what makes them happen.
context: Nope.\Up it is, then.\Right.\June 14th\Um,\the missing persons and missing memories cases are occurring at random\in both the north and south elevators, right?\Yeah. We don't know what makes them happen. response:	Why would someone do that?
context: Up it is, then.\Right.\June 14th\Um,\the missing persons and missing memories cases are occurring at random\in both the north and south elevators, right?\Yeah. We don't know what makes them happen.\Why would someone do that? response:	No idea.
context: Right.\June 14th\Um,\the missing persons and missing memories cases are occurring at random\in both the north and south elevators, right?\Yeah. We don't know what makes them happen.\Why would someone do that?\No idea. response:	The goals of the Anothers are beyond our comprehension.
context: June 14th\Um,\the missing persons and missing memories cases are occurring at random\in both the north and south elevators, right?\Yeah. We don't know what makes them happen.\Why would someone do that?\No idea.\The goals of the Anothers are beyond our comprehension. response:	June 14th
context: Um,\the missing persons and missing memories cases are occurring at random\in both the north and south elevators, right?\Yeah. We don't know what makes them happen.\Why would someone do that?\No idea.\The goals of the Anothers are beyond our comprehension.\June 14th response:	Okay, let's go.
context: the missing persons and missing memories cases are occurring at random\in both the north and south elevators, right?\Yeah. We don't know what makes them happen.\Why would someone do that?\No idea.\The goals of the Anothers are beyond our comprehension.\June 14th\Okay, let's go. response:	So this is the Parallel World?
context: in both the north and south elevators, right?\Yeah. We don't know what makes them happen.\Why would someone do that?\No idea.\The goals of the Anothers are beyond our comprehension.\June 14th\Okay, let's go.\So this is the Parallel World? response:	I'm looking for something.
context: Yeah. We don't know what makes them happen.\Why would someone do that?\No idea.\The goals of the Anothers are beyond our comprehension.\June 14th\Okay, let's go.\So this is the Parallel World?\I'm looking for something. response:	Give what you have to me.
context: Why would someone do that?\No idea.\The goals of the Anothers are beyond our comprehension.\June 14th\Okay, let's go.\So this is the Parallel World?\I'm looking for something.\Give what you have to me. response:	Shinjuku Ward
context: No idea.\The goals of the Anothers are beyond our comprehension.\June 14th\Okay, let's go.\So this is the Parallel World?\I'm looking for something.\Give what you have to me.\Shinjuku Ward response:	Nope, nothing.
context: The goals of the Anothers are beyond our comprehension.\June 14th\Okay, let's go.\So this is the Parallel World?\I'm looking for something.\Give what you have to me.\Shinjuku Ward\Nope, nothing. response:	The hell?
context: June 14th\Okay, let's go.\So this is the Parallel World?\I'm looking for something.\Give what you have to me.\Shinjuku Ward\Nope, nothing.\The hell? response:	Okay, Arata, then.
context: Okay, let's go.\So this is the Parallel World?\I'm looking for something.\Give what you have to me.\Shinjuku Ward\Nope, nothing.\The hell?\Okay, Arata, then. response:	Did they end up going to that other world?
context: So this is the Parallel World?\I'm looking for something.\Give what you have to me.\Shinjuku Ward\Nope, nothing.\The hell?\Okay, Arata, then.\Did they end up going to that other world? response:	Nah, no way.
context: I'm looking for something.\Give what you have to me.\Shinjuku Ward\Nope, nothing.\The hell?\Okay, Arata, then.\Did they end up going to that other world?\Nah, no way. response:	June 14th
context: Give what you have to me.\Shinjuku Ward\Nope, nothing.\The hell?\Okay, Arata, then.\Did they end up going to that other world?\Nah, no way.\June 14th response:	No, no, no.
context: Shinjuku Ward\Nope, nothing.\The hell?\Okay, Arata, then.\Did they end up going to that other world?\Nah, no way.\June 14th\No, no, no. response:	June 14th
context: Nope, nothing.\The hell?\Okay, Arata, then.\Did they end up going to that other world?\Nah, no way.\June 14th\No, no, no.\June 14th response:	Kyoichi! Arata!
context: The hell?\Okay, Arata, then.\Did they end up going to that other world?\Nah, no way.\June 14th\No, no, no.\June 14th\Kyoichi! Arata! response:	Maybe...
context: Okay, Arata, then.\Did they end up going to that other world?\Nah, no way.\June 14th\No, no, no.\June 14th\Kyoichi! Arata!\Maybe... response:	They did?
context: Did they end up going to that other world?\Nah, no way.\June 14th\No, no, no.\June 14th\Kyoichi! Arata!\Maybe...\They did? response:	Give them to me.
context: Nah, no way.\June 14th\No, no, no.\June 14th\Kyoichi! Arata!\Maybe...\They did?\Give them to me. response:	Hey, do you know what she's saying?
context: June 14th\No, no, no.\June 14th\Kyoichi! Arata!\Maybe...\They did?\Give them to me.\Hey, do you know what she's saying? response:	Give them to me.
context: No, no, no.\June 14th\Kyoichi! Arata!\Maybe...\They did?\Give them to me.\Hey, do you know what she's saying?\Give them to me. response:	Give what?
context: June 14th\Kyoichi! Arata!\Maybe...\They did?\Give them to me.\Hey, do you know what she's saying?\Give them to me.\Give what? response:	No idea.
context: Kyoichi! Arata!\Maybe...\They did?\Give them to me.\Hey, do you know what she's saying?\Give them to me.\Give what?\No idea. response:	Oh?
context: Maybe...\They did?\Give them to me.\Hey, do you know what she's saying?\Give them to me.\Give what?\No idea.\Oh? response:	What you have...
context: They did?\Give them to me.\Hey, do you know what she's saying?\Give them to me.\Give what?\No idea.\Oh?\What you have... response:	That's not it!
context: Give them to me.\Hey, do you know what she's saying?\Give them to me.\Give what?\No idea.\Oh?\What you have...\That's not it! response:	Oh, no! Did I make a mistake?
context: Hey, do you know what she's saying?\Give them to me.\Give what?\No idea.\Oh?\What you have...\That's not it!\Oh, no! Did I make a mistake? response:	A mistake?
context: Give them to me.\Give what?\No idea.\Oh?\What you have...\That's not it!\Oh, no! Did I make a mistake?\A mistake? response:	What about you?
context: Give what?\No idea.\Oh?\What you have...\That's not it!\Oh, no! Did I make a mistake?\A mistake?\What about you? response:	You have nothing.
context: No idea.\Oh?\What you have...\That's not it!\Oh, no! Did I make a mistake?\A mistake?\What about you?\You have nothing. response:	You've got nothing to do with this!
context: Oh?\What you have...\That's not it!\Oh, no! Did I make a mistake?\A mistake?\What about you?\You have nothing.\You've got nothing to do with this! response:	You made contact with this human at the entrance
context: What you have...\That's not it!\Oh, no! Did I make a mistake?\A mistake?\What about you?\You have nothing.\You've got nothing to do with this!\You made contact with this human at the entrance response:	and came with him, it feels like.
context: That's not it!\Oh, no! Did I make a mistake?\A mistake?\What about you?\You have nothing.\You've got nothing to do with this!\You made contact with this human at the entrance\and came with him, it feels like. response:	Contact at the entrance?
context: Oh, no! Did I make a mistake?\A mistake?\What about you?\You have nothing.\You've got nothing to do with this!\You made contact with this human at the entrance\and came with him, it feels like.\Contact at the entrance? response:	Was it then?
context: A mistake?\What about you?\You have nothing.\You've got nothing to do with this!\You made contact with this human at the entrance\and came with him, it feels like.\Contact at the entrance?\Was it then? response:	How many times has this happened?
context: What about you?\You have nothing.\You've got nothing to do with this!\You made contact with this human at the entrance\and came with him, it feels like.\Contact at the entrance?\Was it then?\How many times has this happened? response:	Maybe when you prioritize efficiency, you become less accurate.
context: You have nothing.\You've got nothing to do with this!\You made contact with this human at the entrance\and came with him, it feels like.\Contact at the entrance?\Was it then?\How many times has this happened?\Maybe when you prioritize efficiency, you become less accurate. response:	Efficiency? Accurate?
context: You've got nothing to do with this!\You made contact with this human at the entrance\and came with him, it feels like.\Contact at the entrance?\Was it then?\How many times has this happened?\Maybe when you prioritize efficiency, you become less accurate.\Efficiency? Accurate? response:	You're human, aren't you?
context: You made contact with this human at the entrance\and came with him, it feels like.\Contact at the entrance?\Was it then?\How many times has this happened?\Maybe when you prioritize efficiency, you become less accurate.\Efficiency? Accurate?\You're human, aren't you? response:	But you understand what I'm saying?
context: and came with him, it feels like.\Contact at the entrance?\Was it then?\How many times has this happened?\Maybe when you prioritize efficiency, you become less accurate.\Efficiency? Accurate?\You're human, aren't you?\But you understand what I'm saying? response:	Uh... yeah.
context: Contact at the entrance?\Was it then?\How many times has this happened?\Maybe when you prioritize efficiency, you become less accurate.\Efficiency? Accurate?\You're human, aren't you?\But you understand what I'm saying?\Uh... yeah. response:	I'm talking with a human! How wonderful!
context: Was it then?\How many times has this happened?\Maybe when you prioritize efficiency, you become less accurate.\Efficiency? Accurate?\You're human, aren't you?\But you understand what I'm saying?\Uh... yeah.\I'm talking with a human! How wonderful! response:	Since you're here, I'd like to talk to you.
context: How many times has this happened?\Maybe when you prioritize efficiency, you become less accurate.\Efficiency? Accurate?\You're human, aren't you?\But you understand what I'm saying?\Uh... yeah.\I'm talking with a human! How wonderful!\Since you're here, I'd like to talk to you. response:	Huh? Talk to me?
context: Maybe when you prioritize efficiency, you become less accurate.\Efficiency? Accurate?\You're human, aren't you?\But you understand what I'm saying?\Uh... yeah.\I'm talking with a human! How wonderful!\Since you're here, I'd like to talk to you.\Huh? Talk to me? response:	Come on. This way.
context: Efficiency? Accurate?\You're human, aren't you?\But you understand what I'm saying?\Uh... yeah.\I'm talking with a human! How wonderful!\Since you're here, I'd like to talk to you.\Huh? Talk to me?\Come on. This way. response:	Huh? Wait...
context: You're human, aren't you?\But you understand what I'm saying?\Uh... yeah.\I'm talking with a human! How wonderful!\Since you're here, I'd like to talk to you.\Huh? Talk to me?\Come on. This way.\Huh? Wait... response:	Hey, Miyako!
context: But you understand what I'm saying?\Uh... yeah.\I'm talking with a human! How wonderful!\Since you're here, I'd like to talk to you.\Huh? Talk to me?\Come on. This way.\Huh? Wait...\Hey, Miyako! response:	I don't need you anymore.
context: Uh... yeah.\I'm talking with a human! How wonderful!\Since you're here, I'd like to talk to you.\Huh? Talk to me?\Come on. This way.\Huh? Wait...\Hey, Miyako!\I don't need you anymore. response:	No
context: I'm talking with a human! How wonderful!\Since you're here, I'd like to talk to you.\Huh? Talk to me?\Come on. This way.\Huh? Wait...\Hey, Miyako!\I don't need you anymore.\No response:	S-Sakaki-san!
context: Since you're here, I'd like to talk to you.\Huh? Talk to me?\Come on. This way.\Huh? Wait...\Hey, Miyako!\I don't need you anymore.\No\S-Sakaki-san! response:	Kyoichi! Kyoichi!
context: Huh? Talk to me?\Come on. This way.\Huh? Wait...\Hey, Miyako!\I don't need you anymore.\No\S-Sakaki-san!\Kyoichi! Kyoichi! response:	Kyoichi!
context: Come on. This way.\Huh? Wait...\Hey, Miyako!\I don't need you anymore.\No\S-Sakaki-san!\Kyoichi! Kyoichi!\Kyoichi! response:	What happened?
context: Huh? Wait...\Hey, Miyako!\I don't need you anymore.\No\S-Sakaki-san!\Kyoichi! Kyoichi!\Kyoichi!\What happened? response:	Where's Arata?
context: Hey, Miyako!\I don't need you anymore.\No\S-Sakaki-san!\Kyoichi! Kyoichi!\Kyoichi!\What happened?\Where's Arata? response:	She got him.
context: I don't need you anymore.\No\S-Sakaki-san!\Kyoichi! Kyoichi!\Kyoichi!\What happened?\Where's Arata?\She got him. response:	She controls that space.
context: No\S-Sakaki-san!\Kyoichi! Kyoichi!\Kyoichi!\What happened?\Where's Arata?\She got him.\She controls that space. response:	We went to another world, and I was sent back.
context: S-Sakaki-san!\Kyoichi! Kyoichi!\Kyoichi!\What happened?\Where's Arata?\She got him.\She controls that space.\We went to another world, and I was sent back. response:	I made a mistake...
context: Kyoichi! Kyoichi!\Kyoichi!\What happened?\Where's Arata?\She got him.\She controls that space.\We went to another world, and I was sent back.\I made a mistake... response:	Sakaki-san? No...
context: Kyoichi!\What happened?\Where's Arata?\She got him.\She controls that space.\We went to another world, and I was sent back.\I made a mistake...\Sakaki-san? No... response:	Is he okay?
context: What happened?\Where's Arata?\She got him.\She controls that space.\We went to another world, and I was sent back.\I made a mistake...\Sakaki-san? No...\Is he okay? response:	I just sent him back outside.
context: Where's Arata?\She got him.\She controls that space.\We went to another world, and I was sent back.\I made a mistake...\Sakaki-san? No...\Is he okay?\I just sent him back outside. response:	Now we can talk, can't we?
context: She got him.\She controls that space.\We went to another world, and I was sent back.\I made a mistake...\Sakaki-san? No...\Is he okay?\I just sent him back outside.\Now we can talk, can't we? response:	What are you doing?
context: She controls that space.\We went to another world, and I was sent back.\I made a mistake...\Sakaki-san? No...\Is he okay?\I just sent him back outside.\Now we can talk, can't we?\What are you doing? response:	Looking for something.
context: We went to another world, and I was sent back.\I made a mistake...\Sakaki-san? No...\Is he okay?\I just sent him back outside.\Now we can talk, can't we?\What are you doing?\Looking for something. response:	Looking for something?
context: I made a mistake...\Sakaki-san? No...\Is he okay?\I just sent him back outside.\Now we can talk, can't we?\What are you doing?\Looking for something.\Looking for something? response:	Yes.
context: Sakaki-san? No...\Is he okay?\I just sent him back outside.\Now we can talk, can't we?\What are you doing?\Looking for something.\Looking for something?\Yes. response:	I'm gathering the things that escaped from this box.
context: Is he okay?\I just sent him back outside.\Now we can talk, can't we?\What are you doing?\Looking for something.\Looking for something?\Yes.\I'm gathering the things that escaped from this box. response:	So she has nothing to do with the disappearances and the missing memories?
context: I just sent him back outside.\Now we can talk, can't we?\What are you doing?\Looking for something.\Looking for something?\Yes.\I'm gathering the things that escaped from this box.\So she has nothing to do with the disappearances and the missing memories? response:	I use that device to tell me who has what I'm looking for and who doesn't.
context: Now we can talk, can't we?\What are you doing?\Looking for something.\Looking for something?\Yes.\I'm gathering the things that escaped from this box.\So she has nothing to do with the disappearances and the missing memories?\I use that device to tell me who has what I'm looking for and who doesn't. response:	Only those who have it are sent to me.
context: What are you doing?\Looking for something.\Looking for something?\Yes.\I'm gathering the things that escaped from this box.\So she has nothing to do with the disappearances and the missing memories?\I use that device to tell me who has what I'm looking for and who doesn't.\Only those who have it are sent to me. response:	But when I set it to send me more people, it started making mistakes.
context: Looking for something.\Looking for something?\Yes.\I'm gathering the things that escaped from this box.\So she has nothing to do with the disappearances and the missing memories?\I use that device to tell me who has what I'm looking for and who doesn't.\Only those who have it are sent to me.\But when I set it to send me more people, it started making mistakes. response:	It started sending people who only had something similar.
context: Looking for something?\Yes.\I'm gathering the things that escaped from this box.\So she has nothing to do with the disappearances and the missing memories?\I use that device to tell me who has what I'm looking for and who doesn't.\Only those who have it are sent to me.\But when I set it to send me more people, it started making mistakes.\It started sending people who only had something similar. response:	Similar?
context: Yes.\I'm gathering the things that escaped from this box.\So she has nothing to do with the disappearances and the missing memories?\I use that device to tell me who has what I'm looking for and who doesn't.\Only those who have it are sent to me.\But when I set it to send me more people, it started making mistakes.\It started sending people who only had something similar.\Similar? response:	Similar to what you're looking for?
context: I'm gathering the things that escaped from this box.\So she has nothing to do with the disappearances and the missing memories?\I use that device to tell me who has what I'm looking for and who doesn't.\Only those who have it are sent to me.\But when I set it to send me more people, it started making mistakes.\It started sending people who only had something similar.\Similar?\Similar to what you're looking for? response:	Yes. The man you were with held a tremendous sense of loss, and that tripped the device.
context: So she has nothing to do with the disappearances and the missing memories?\I use that device to tell me who has what I'm looking for and who doesn't.\Only those who have it are sent to me.\But when I set it to send me more people, it started making mistakes.\It started sending people who only had something similar.\Similar?\Similar to what you're looking for?\Yes. The man you were with held a tremendous sense of loss, and that tripped the device. response:	I'm looking for a sense of loss, too.
context: I use that device to tell me who has what I'm looking for and who doesn't.\Only those who have it are sent to me.\But when I set it to send me more people, it started making mistakes.\It started sending people who only had something similar.\Similar?\Similar to what you're looking for?\Yes. The man you were with held a tremendous sense of loss, and that tripped the device.\I'm looking for a sense of loss, too. response:	But of a slightly different sort.
context: Only those who have it are sent to me.\But when I set it to send me more people, it started making mistakes.\It started sending people who only had something similar.\Similar?\Similar to what you're looking for?\Yes. The man you were with held a tremendous sense of loss, and that tripped the device.\I'm looking for a sense of loss, too.\But of a slightly different sort. response:	A sense of loss? Sakaki-san?
context: But when I set it to send me more people, it started making mistakes.\It started sending people who only had something similar.\Similar?\Similar to what you're looking for?\Yes. The man you were with held a tremendous sense of loss, and that tripped the device.\I'm looking for a sense of loss, too.\But of a slightly different sort.\A sense of loss? Sakaki-san? response:	Any luck, Theo?
context: It started sending people who only had something similar.\Similar?\Similar to what you're looking for?\Yes. The man you were with held a tremendous sense of loss, and that tripped the device.\I'm looking for a sense of loss, too.\But of a slightly different sort.\A sense of loss? Sakaki-san?\Any luck, Theo? response:	I kept trying,
context: Similar?\Similar to what you're looking for?\Yes. The man you were with held a tremendous sense of loss, and that tripped the device.\I'm looking for a sense of loss, too.\But of a slightly different sort.\A sense of loss? Sakaki-san?\Any luck, Theo?\I kept trying, response:	which means there needs to be some condition met that we don't have.
context: Similar to what you're looking for?\Yes. The man you were with held a tremendous sense of loss, and that tripped the device.\I'm looking for a sense of loss, too.\But of a slightly different sort.\A sense of loss? Sakaki-san?\Any luck, Theo?\I kept trying,\which means there needs to be some condition met that we don't have. response:	Shit!
context: Yes. The man you were with held a tremendous sense of loss, and that tripped the device.\I'm looking for a sense of loss, too.\But of a slightly different sort.\A sense of loss? Sakaki-san?\Any luck, Theo?\I kept trying,\which means there needs to be some condition met that we don't have.\Shit! response:	We're stuck.
context: I'm looking for a sense of loss, too.\But of a slightly different sort.\A sense of loss? Sakaki-san?\Any luck, Theo?\I kept trying,\which means there needs to be some condition met that we don't have.\Shit!\We're stuck. response:	Hey, where are you going?
context: But of a slightly different sort.\A sense of loss? Sakaki-san?\Any luck, Theo?\I kept trying,\which means there needs to be some condition met that we don't have.\Shit!\We're stuck.\Hey, where are you going? response:	Hey!
context: A sense of loss? Sakaki-san?\Any luck, Theo?\I kept trying,\which means there needs to be some condition met that we don't have.\Shit!\We're stuck.\Hey, where are you going?\Hey! response:	This box once contained many things.
context: Any luck, Theo?\I kept trying,\which means there needs to be some condition met that we don't have.\Shit!\We're stuck.\Hey, where are you going?\Hey!\This box once contained many things. response:	Bad things. Sad feelings. Diseases and crimes.
context: I kept trying,\which means there needs to be some condition met that we don't have.\Shit!\We're stuck.\Hey, where are you going?\Hey!\This box once contained many things.\Bad things. Sad feelings. Diseases and crimes. response:	All sorts of things.
context: which means there needs to be some condition met that we don't have.\Shit!\We're stuck.\Hey, where are you going?\Hey!\This box once contained many things.\Bad things. Sad feelings. Diseases and crimes.\All sorts of things. response:	So I was told not to open it...
context: Shit!\We're stuck.\Hey, where are you going?\Hey!\This box once contained many things.\Bad things. Sad feelings. Diseases and crimes.\All sorts of things.\So I was told not to open it... response:	But when I cracked it open just a bit, they all flew off.
context: We're stuck.\Hey, where are you going?\Hey!\This box once contained many things.\Bad things. Sad feelings. Diseases and crimes.\All sorts of things.\So I was told not to open it...\But when I cracked it open just a bit, they all flew off. response:	It was my mistake.
context: Hey, where are you going?\Hey!\This box once contained many things.\Bad things. Sad feelings. Diseases and crimes.\All sorts of things.\So I was told not to open it...\But when I cracked it open just a bit, they all flew off.\It was my mistake. response:	Some of the box's contents, feelings of loss in love,
context: Hey!\This box once contained many things.\Bad things. Sad feelings. Diseases and crimes.\All sorts of things.\So I was told not to open it...\But when I cracked it open just a bit, they all flew off.\It was my mistake.\Some of the box's contents, feelings of loss in love, response:	fell here in Asia.
context: This box once contained many things.\Bad things. Sad feelings. Diseases and crimes.\All sorts of things.\So I was told not to open it...\But when I cracked it open just a bit, they all flew off.\It was my mistake.\Some of the box's contents, feelings of loss in love,\fell here in Asia. response:	Why are you collecting lost loves in a City Hall elevator?
context: Bad things. Sad feelings. Diseases and crimes.\All sorts of things.\So I was told not to open it...\But when I cracked it open just a bit, they all flew off.\It was my mistake.\Some of the box's contents, feelings of loss in love,\fell here in Asia.\Why are you collecting lost loves in a City Hall elevator? response:	City Hall?
context: All sorts of things.\So I was told not to open it...\But when I cracked it open just a bit, they all flew off.\It was my mistake.\Some of the box's contents, feelings of loss in love,\fell here in Asia.\Why are you collecting lost loves in a City Hall elevator?\City Hall? response:	I don't know anything about human buildings.
context: So I was told not to open it...\But when I cracked it open just a bit, they all flew off.\It was my mistake.\Some of the box's contents, feelings of loss in love,\fell here in Asia.\Why are you collecting lost loves in a City Hall elevator?\City Hall?\I don't know anything about human buildings. response:	I make paths to this place in all the places that meet my needs.
context: But when I cracked it open just a bit, they all flew off.\It was my mistake.\Some of the box's contents, feelings of loss in love,\fell here in Asia.\Why are you collecting lost loves in a City Hall elevator?\City Hall?\I don't know anything about human buildings.\I make paths to this place in all the places that meet my needs. response:	Then there are other elevators in Asia that lead here, too?
context: It was my mistake.\Some of the box's contents, feelings of loss in love,\fell here in Asia.\Why are you collecting lost loves in a City Hall elevator?\City Hall?\I don't know anything about human buildings.\I make paths to this place in all the places that meet my needs.\Then there are other elevators in Asia that lead here, too? response:	Here, just wait a minute.
context: Some of the box's contents, feelings of loss in love,\fell here in Asia.\Why are you collecting lost loves in a City Hall elevator?\City Hall?\I don't know anything about human buildings.\I make paths to this place in all the places that meet my needs.\Then there are other elevators in Asia that lead here, too?\Here, just wait a minute. response:	I hope this one isn't a mistake.
context: fell here in Asia.\Why are you collecting lost loves in a City Hall elevator?\City Hall?\I don't know anything about human buildings.\I make paths to this place in all the places that meet my needs.\Then there are other elevators in Asia that lead here, too?\Here, just wait a minute.\I hope this one isn't a mistake. response:	Good. This one is right.
context: Why are you collecting lost loves in a City Hall elevator?\City Hall?\I don't know anything about human buildings.\I make paths to this place in all the places that meet my needs.\Then there are other elevators in Asia that lead here, too?\Here, just wait a minute.\I hope this one isn't a mistake.\Good. This one is right. response:	I'm taking your feelings of lost love.
context: City Hall?\I don't know anything about human buildings.\I make paths to this place in all the places that meet my needs.\Then there are other elevators in Asia that lead here, too?\Here, just wait a minute.\I hope this one isn't a mistake.\Good. This one is right.\I'm taking your feelings of lost love. response:	Thank you.
context: I don't know anything about human buildings.\I make paths to this place in all the places that meet my needs.\Then there are other elevators in Asia that lead here, too?\Here, just wait a minute.\I hope this one isn't a mistake.\Good. This one is right.\I'm taking your feelings of lost love.\Thank you. response:	Now, you may return.
context: I make paths to this place in all the places that meet my needs.\Then there are other elevators in Asia that lead here, too?\Here, just wait a minute.\I hope this one isn't a mistake.\Good. This one is right.\I'm taking your feelings of lost love.\Thank you.\Now, you may return. response:	You're just going home.
context: Then there are other elevators in Asia that lead here, too?\Here, just wait a minute.\I hope this one isn't a mistake.\Good. This one is right.\I'm taking your feelings of lost love.\Thank you.\Now, you may return.\You're just going home. response:	Just as you came.
context: Here, just wait a minute.\I hope this one isn't a mistake.\Good. This one is right.\I'm taking your feelings of lost love.\Thank you.\Now, you may return.\You're just going home.\Just as you came. response:	When you wake up, you'll be where you wish to be.
context: I hope this one isn't a mistake.\Good. This one is right.\I'm taking your feelings of lost love.\Thank you.\Now, you may return.\You're just going home.\Just as you came.\When you wake up, you'll be where you wish to be. response:	That girl had a pretty big stock.
context: Good. This one is right.\I'm taking your feelings of lost love.\Thank you.\Now, you may return.\You're just going home.\Just as you came.\When you wake up, you'll be where you wish to be.\That girl had a pretty big stock. response:	It may be time to go.
context: I'm taking your feelings of lost love.\Thank you.\Now, you may return.\You're just going home.\Just as you came.\When you wake up, you'll be where you wish to be.\That girl had a pretty big stock.\It may be time to go. response:	I've almost recovered enough lost love,
context: Thank you.\Now, you may return.\You're just going home.\Just as you came.\When you wake up, you'll be where you wish to be.\That girl had a pretty big stock.\It may be time to go.\I've almost recovered enough lost love, response:	so next I'm going to Europe to recover jealousy.
context: Now, you may return.\You're just going home.\Just as you came.\When you wake up, you'll be where you wish to be.\That girl had a pretty big stock.\It may be time to go.\I've almost recovered enough lost love,\so next I'm going to Europe to recover jealousy. response:	Does that mean you're leaving City Hall?
context: You're just going home.\Just as you came.\When you wake up, you'll be where you wish to be.\That girl had a pretty big stock.\It may be time to go.\I've almost recovered enough lost love,\so next I'm going to Europe to recover jealousy.\Does that mean you're leaving City Hall? response:	I told you, it triggers when you leave the elevator.
context: Just as you came.\When you wake up, you'll be where you wish to be.\That girl had a pretty big stock.\It may be time to go.\I've almost recovered enough lost love,\so next I'm going to Europe to recover jealousy.\Does that mean you're leaving City Hall?\I told you, it triggers when you leave the elevator. response:	Calm down.
context: When you wake up, you'll be where you wish to be.\That girl had a pretty big stock.\It may be time to go.\I've almost recovered enough lost love,\so next I'm going to Europe to recover jealousy.\Does that mean you're leaving City Hall?\I told you, it triggers when you leave the elevator.\Calm down. response:	You're our leader.
context: That girl had a pretty big stock.\It may be time to go.\I've almost recovered enough lost love,\so next I'm going to Europe to recover jealousy.\Does that mean you're leaving City Hall?\I told you, it triggers when you leave the elevator.\Calm down.\You're our leader. response:	I need to bring back Miyako...
