context: Shiratorizawa response:	I haven't doubted once that we would win.
context: Nice! Get the last!\One more time...\He's planning to hit it...\Ushiwaka three times in a row!\The top of the net...\Yes!\This is our chance!\My legs are so friggin' heavy... response:	Don't give up, legs!
context: One more time...\He's planning to hit it...\Ushiwaka three times in a row!\The top of the net...\Yes!\This is our chance!\My legs are so friggin' heavy...\Don't give up, legs! response:	I'm going to hit it!
context: He's planning to hit it...\Ushiwaka three times in a row!\The top of the net...\Yes!\This is our chance!\My legs are so friggin' heavy...\Don't give up, legs!\I'm going to hit it! response:	Tsukishima's doing a slide hit?!
context: Ushiwaka three times in a row!\The top of the net...\Yes!\This is our chance!\My legs are so friggin' heavy...\Don't give up, legs!\I'm going to hit it!\Tsukishima's doing a slide hit?! response:	He's faking!
context: The top of the net...\Yes!\This is our chance!\My legs are so friggin' heavy...\Don't give up, legs!\I'm going to hit it!\Tsukishima's doing a slide hit?!\He's faking! response:	He's figured me out...
context: Yes!\This is our chance!\My legs are so friggin' heavy...\Don't give up, legs!\I'm going to hit it!\Tsukishima's doing a slide hit?!\He's faking!\He's figured me out... response:	But I managed to gain you a few seconds.
context: This is our chance!\My legs are so friggin' heavy...\Don't give up, legs!\I'm going to hit it!\Tsukishima's doing a slide hit?!\He's faking!\He's figured me out...\But I managed to gain you a few seconds. response:	I-It's a break!
context: My legs are so friggin' heavy...\Don't give up, legs!\I'm going to hit it!\Tsukishima's doing a slide hit?!\He's faking!\He's figured me out...\But I managed to gain you a few seconds.\I-It's a break! response:	All right!
context: Don't give up, legs!\I'm going to hit it!\Tsukishima's doing a slide hit?!\He's faking!\He's figured me out...\But I managed to gain you a few seconds.\I-It's a break!\All right! response:	Shiratorizawa Karasuno
context: I'm going to hit it!\Tsukishima's doing a slide hit?!\He's faking!\He's figured me out...\But I managed to gain you a few seconds.\I-It's a break!\All right!\Shiratorizawa Karasuno response:	We did it!
context: Tsukishima's doing a slide hit?!\He's faking!\He's figured me out...\But I managed to gain you a few seconds.\I-It's a break!\All right!\Shiratorizawa Karasuno\We did it! response:	They're at a match point!
context: He's faking!\He's figured me out...\But I managed to gain you a few seconds.\I-It's a break!\All right!\Shiratorizawa Karasuno\We did it!\They're at a match point! response:	One more point, and they'll beat Shiratorizawa!
context: He's figured me out...\But I managed to gain you a few seconds.\I-It's a break!\All right!\Shiratorizawa Karasuno\We did it!\They're at a match point!\One more point, and they'll beat Shiratorizawa! response:	I think they might just be able to do it!
context: But I managed to gain you a few seconds.\I-It's a break!\All right!\Shiratorizawa Karasuno\We did it!\They're at a match point!\One more point, and they'll beat Shiratorizawa!\I think they might just be able to do it! response:	We've been pushing them ever since Kei came back!
context: I-It's a break!\All right!\Shiratorizawa Karasuno\We did it!\They're at a match point!\One more point, and they'll beat Shiratorizawa!\I think they might just be able to do it!\We've been pushing them ever since Kei came back! response:	Go, Karasuno!
context: All right!\Shiratorizawa Karasuno\We did it!\They're at a match point!\One more point, and they'll beat Shiratorizawa!\I think they might just be able to do it!\We've been pushing them ever since Kei came back!\Go, Karasuno! response:	I guess it's no surprise that Shiratorizawa took a timeout.
context: Shiratorizawa Karasuno\We did it!\They're at a match point!\One more point, and they'll beat Shiratorizawa!\I think they might just be able to do it!\We've been pushing them ever since Kei came back!\Go, Karasuno!\I guess it's no surprise that Shiratorizawa took a timeout. response:	Karasuno really is versatile.
context: We did it!\They're at a match point!\One more point, and they'll beat Shiratorizawa!\I think they might just be able to do it!\We've been pushing them ever since Kei came back!\Go, Karasuno!\I guess it's no surprise that Shiratorizawa took a timeout.\Karasuno really is versatile. response:	I've never seen Glasses do a slide hit... Even if he was just a decoy.
context: They're at a match point!\One more point, and they'll beat Shiratorizawa!\I think they might just be able to do it!\We've been pushing them ever since Kei came back!\Go, Karasuno!\I guess it's no surprise that Shiratorizawa took a timeout.\Karasuno really is versatile.\I've never seen Glasses do a slide hit... Even if he was just a decoy. response:	We can't easily abandon a near perfect time difference attack,
context: One more point, and they'll beat Shiratorizawa!\I think they might just be able to do it!\We've been pushing them ever since Kei came back!\Go, Karasuno!\I guess it's no surprise that Shiratorizawa took a timeout.\Karasuno really is versatile.\I've never seen Glasses do a slide hit... Even if he was just a decoy.\We can't easily abandon a near perfect time difference attack, response:	and Shiratorizawa's not going to change their style
context: I think they might just be able to do it!\We've been pushing them ever since Kei came back!\Go, Karasuno!\I guess it's no surprise that Shiratorizawa took a timeout.\Karasuno really is versatile.\I've never seen Glasses do a slide hit... Even if he was just a decoy.\We can't easily abandon a near perfect time difference attack,\and Shiratorizawa's not going to change their style response:	of strengthening individual strengths.
context: We've been pushing them ever since Kei came back!\Go, Karasuno!\I guess it's no surprise that Shiratorizawa took a timeout.\Karasuno really is versatile.\I've never seen Glasses do a slide hit... Even if he was just a decoy.\We can't easily abandon a near perfect time difference attack,\and Shiratorizawa's not going to change their style\of strengthening individual strengths. response:	That's why we're called powerhouse schools now.
context: Go, Karasuno!\I guess it's no surprise that Shiratorizawa took a timeout.\Karasuno really is versatile.\I've never seen Glasses do a slide hit... Even if he was just a decoy.\We can't easily abandon a near perfect time difference attack,\and Shiratorizawa's not going to change their style\of strengthening individual strengths.\That's why we're called powerhouse schools now. response:	Who would've ever thought you'd set us up like that!
context: I guess it's no surprise that Shiratorizawa took a timeout.\Karasuno really is versatile.\I've never seen Glasses do a slide hit... Even if he was just a decoy.\We can't easily abandon a near perfect time difference attack,\and Shiratorizawa's not going to change their style\of strengthening individual strengths.\That's why we're called powerhouse schools now.\Who would've ever thought you'd set us up like that! response:	But Karasuno probably doesn't have a style they need to protect.
context: Karasuno really is versatile.\I've never seen Glasses do a slide hit... Even if he was just a decoy.\We can't easily abandon a near perfect time difference attack,\and Shiratorizawa's not going to change their style\of strengthening individual strengths.\That's why we're called powerhouse schools now.\Who would've ever thought you'd set us up like that!\But Karasuno probably doesn't have a style they need to protect. response:	I'm so happy, Tsukishima!
context: I've never seen Glasses do a slide hit... Even if he was just a decoy.\We can't easily abandon a near perfect time difference attack,\and Shiratorizawa's not going to change their style\of strengthening individual strengths.\That's why we're called powerhouse schools now.\Who would've ever thought you'd set us up like that!\But Karasuno probably doesn't have a style they need to protect.\I'm so happy, Tsukishima! response:	They may have had one when they were a powerhouse school.
context: We can't easily abandon a near perfect time difference attack,\and Shiratorizawa's not going to change their style\of strengthening individual strengths.\That's why we're called powerhouse schools now.\Who would've ever thought you'd set us up like that!\But Karasuno probably doesn't have a style they need to protect.\I'm so happy, Tsukishima!\They may have had one when they were a powerhouse school. response:	Hey, sit down and rest on the bench, even for a moment.
context: and Shiratorizawa's not going to change their style\of strengthening individual strengths.\That's why we're called powerhouse schools now.\Who would've ever thought you'd set us up like that!\But Karasuno probably doesn't have a style they need to protect.\I'm so happy, Tsukishima!\They may have had one when they were a powerhouse school.\Hey, sit down and rest on the bench, even for a moment. response:	So they don't hesitate to try new things.
context: of strengthening individual strengths.\That's why we're called powerhouse schools now.\Who would've ever thought you'd set us up like that!\But Karasuno probably doesn't have a style they need to protect.\I'm so happy, Tsukishima!\They may have had one when they were a powerhouse school.\Hey, sit down and rest on the bench, even for a moment.\So they don't hesitate to try new things. response:	They even gave up that miracle-like quick immediately and made it new.
context: That's why we're called powerhouse schools now.\Who would've ever thought you'd set us up like that!\But Karasuno probably doesn't have a style they need to protect.\I'm so happy, Tsukishima!\They may have had one when they were a powerhouse school.\Hey, sit down and rest on the bench, even for a moment.\So they don't hesitate to try new things.\They even gave up that miracle-like quick immediately and made it new. response:	The old and dependable Shiratorizawa...
context: Who would've ever thought you'd set us up like that!\But Karasuno probably doesn't have a style they need to protect.\I'm so happy, Tsukishima!\They may have had one when they were a powerhouse school.\Hey, sit down and rest on the bench, even for a moment.\So they don't hesitate to try new things.\They even gave up that miracle-like quick immediately and made it new.\The old and dependable Shiratorizawa... response:	The new and reckless Karasuno...
context: But Karasuno probably doesn't have a style they need to protect.\I'm so happy, Tsukishima!\They may have had one when they were a powerhouse school.\Hey, sit down and rest on the bench, even for a moment.\So they don't hesitate to try new things.\They even gave up that miracle-like quick immediately and made it new.\The old and dependable Shiratorizawa...\The new and reckless Karasuno... response:	Either one of them winning is going to piss me off,
context: I'm so happy, Tsukishima!\They may have had one when they were a powerhouse school.\Hey, sit down and rest on the bench, even for a moment.\So they don't hesitate to try new things.\They even gave up that miracle-like quick immediately and made it new.\The old and dependable Shiratorizawa...\The new and reckless Karasuno...\Either one of them winning is going to piss me off, response:	so they should both lose.
context: They may have had one when they were a powerhouse school.\Hey, sit down and rest on the bench, even for a moment.\So they don't hesitate to try new things.\They even gave up that miracle-like quick immediately and made it new.\The old and dependable Shiratorizawa...\The new and reckless Karasuno...\Either one of them winning is going to piss me off,\so they should both lose. response:	You really are a crappy guy.
context: Hey, sit down and rest on the bench, even for a moment.\So they don't hesitate to try new things.\They even gave up that miracle-like quick immediately and made it new.\The old and dependable Shiratorizawa...\The new and reckless Karasuno...\Either one of them winning is going to piss me off,\so they should both lose.\You really are a crappy guy. response:	Could you stop calling me a crappy guy?!
context: So they don't hesitate to try new things.\They even gave up that miracle-like quick immediately and made it new.\The old and dependable Shiratorizawa...\The new and reckless Karasuno...\Either one of them winning is going to piss me off,\so they should both lose.\You really are a crappy guy.\Could you stop calling me a crappy guy?! response:	Pick between that or a shitty guy.
context: They even gave up that miracle-like quick immediately and made it new.\The old and dependable Shiratorizawa...\The new and reckless Karasuno...\Either one of them winning is going to piss me off,\so they should both lose.\You really are a crappy guy.\Could you stop calling me a crappy guy?!\Pick between that or a shitty guy. response:	Well, then I guess I choose crappy!
context: The old and dependable Shiratorizawa...\The new and reckless Karasuno...\Either one of them winning is going to piss me off,\so they should both lose.\You really are a crappy guy.\Could you stop calling me a crappy guy?!\Pick between that or a shitty guy.\Well, then I guess I choose crappy! response:	Don't let up til the end!
context: The new and reckless Karasuno...\Either one of them winning is going to piss me off,\so they should both lose.\You really are a crappy guy.\Could you stop calling me a crappy guy?!\Pick between that or a shitty guy.\Well, then I guess I choose crappy!\Don't let up til the end! response:	I'm sure all of their legs are at their limits by now.
context: Either one of them winning is going to piss me off,\so they should both lose.\You really are a crappy guy.\Could you stop calling me a crappy guy?!\Pick between that or a shitty guy.\Well, then I guess I choose crappy!\Don't let up til the end!\I'm sure all of their legs are at their limits by now. response:	It's obvious for Ushiwaka, who's hit so many times,
context: so they should both lose.\You really are a crappy guy.\Could you stop calling me a crappy guy?!\Pick between that or a shitty guy.\Well, then I guess I choose crappy!\Don't let up til the end!\I'm sure all of their legs are at their limits by now.\It's obvious for Ushiwaka, who's hit so many times, response:	but for Karasuno's offense,
context: You really are a crappy guy.\Could you stop calling me a crappy guy?!\Pick between that or a shitty guy.\Well, then I guess I choose crappy!\Don't let up til the end!\I'm sure all of their legs are at their limits by now.\It's obvious for Ushiwaka, who's hit so many times,\but for Karasuno's offense, response:	they've done starting runs more than spikes.
context: Could you stop calling me a crappy guy?!\Pick between that or a shitty guy.\Well, then I guess I choose crappy!\Don't let up til the end!\I'm sure all of their legs are at their limits by now.\It's obvious for Ushiwaka, who's hit so many times,\but for Karasuno's offense,\they've done starting runs more than spikes. response:	That may look like a lot of needless movement,
context: Pick between that or a shitty guy.\Well, then I guess I choose crappy!\Don't let up til the end!\I'm sure all of their legs are at their limits by now.\It's obvious for Ushiwaka, who's hit so many times,\but for Karasuno's offense,\they've done starting runs more than spikes.\That may look like a lot of needless movement, response:	but that's the primary factor
context: Well, then I guess I choose crappy!\Don't let up til the end!\I'm sure all of their legs are at their limits by now.\It's obvious for Ushiwaka, who's hit so many times,\but for Karasuno's offense,\they've done starting runs more than spikes.\That may look like a lot of needless movement,\but that's the primary factor response:	in how Karasuno's offense is prying through Shiratorizawa's blocks.
context: Don't let up til the end!\I'm sure all of their legs are at their limits by now.\It's obvious for Ushiwaka, who's hit so many times,\but for Karasuno's offense,\they've done starting runs more than spikes.\That may look like a lot of needless movement,\but that's the primary factor\in how Karasuno's offense is prying through Shiratorizawa's blocks. response:	Since Tanaka, Azumane and Sawamura have been playing the whole time,
context: I'm sure all of their legs are at their limits by now.\It's obvious for Ushiwaka, who's hit so many times,\but for Karasuno's offense,\they've done starting runs more than spikes.\That may look like a lot of needless movement,\but that's the primary factor\in how Karasuno's offense is prying through Shiratorizawa's blocks.\Since Tanaka, Azumane and Sawamura have been playing the whole time, response:	I'm sure they're beyond their limits by now.
context: It's obvious for Ushiwaka, who's hit so many times,\but for Karasuno's offense,\they've done starting runs more than spikes.\That may look like a lot of needless movement,\but that's the primary factor\in how Karasuno's offense is prying through Shiratorizawa's blocks.\Since Tanaka, Azumane and Sawamura have been playing the whole time,\I'm sure they're beyond their limits by now. response:	Nishinoya-san, are you okay?
context: but for Karasuno's offense,\they've done starting runs more than spikes.\That may look like a lot of needless movement,\but that's the primary factor\in how Karasuno's offense is prying through Shiratorizawa's blocks.\Since Tanaka, Azumane and Sawamura have been playing the whole time,\I'm sure they're beyond their limits by now.\Nishinoya-san, are you okay? response:	Yeah. I've been able to rest here and there, so...
context: they've done starting runs more than spikes.\That may look like a lot of needless movement,\but that's the primary factor\in how Karasuno's offense is prying through Shiratorizawa's blocks.\Since Tanaka, Azumane and Sawamura have been playing the whole time,\I'm sure they're beyond their limits by now.\Nishinoya-san, are you okay?\Yeah. I've been able to rest here and there, so... response:	Ushijima's scored about 40 points.
context: That may look like a lot of needless movement,\but that's the primary factor\in how Karasuno's offense is prying through Shiratorizawa's blocks.\Since Tanaka, Azumane and Sawamura have been playing the whole time,\I'm sure they're beyond their limits by now.\Nishinoya-san, are you okay?\Yeah. I've been able to rest here and there, so...\Ushijima's scored about 40 points. response:	He was able to score almost half the points all by himself.
context: but that's the primary factor\in how Karasuno's offense is prying through Shiratorizawa's blocks.\Since Tanaka, Azumane and Sawamura have been playing the whole time,\I'm sure they're beyond their limits by now.\Nishinoya-san, are you okay?\Yeah. I've been able to rest here and there, so...\Ushijima's scored about 40 points.\He was able to score almost half the points all by himself. response:	Despite being thoroughly marked,
context: in how Karasuno's offense is prying through Shiratorizawa's blocks.\Since Tanaka, Azumane and Sawamura have been playing the whole time,\I'm sure they're beyond their limits by now.\Nishinoya-san, are you okay?\Yeah. I've been able to rest here and there, so...\Ushijima's scored about 40 points.\He was able to score almost half the points all by himself.\Despite being thoroughly marked, response:	and a lot of the tosses being harder ones to hit...
context: Since Tanaka, Azumane and Sawamura have been playing the whole time,\I'm sure they're beyond their limits by now.\Nishinoya-san, are you okay?\Yeah. I've been able to rest here and there, so...\Ushijima's scored about 40 points.\He was able to score almost half the points all by himself.\Despite being thoroughly marked,\and a lot of the tosses being harder ones to hit... response:	I knew that...
context: I'm sure they're beyond their limits by now.\Nishinoya-san, are you okay?\Yeah. I've been able to rest here and there, so...\Ushijima's scored about 40 points.\He was able to score almost half the points all by himself.\Despite being thoroughly marked,\and a lot of the tosses being harder ones to hit...\I knew that... response:	I knew that, but...
context: Nishinoya-san, are you okay?\Yeah. I've been able to rest here and there, so...\Ushijima's scored about 40 points.\He was able to score almost half the points all by himself.\Despite being thoroughly marked,\and a lot of the tosses being harder ones to hit...\I knew that...\I knew that, but... response:	Ushijima Wakatoshi is beyond impressive.
context: Yeah. I've been able to rest here and there, so...\Ushijima's scored about 40 points.\He was able to score almost half the points all by himself.\Despite being thoroughly marked,\and a lot of the tosses being harder ones to hit...\I knew that...\I knew that, but...\Ushijima Wakatoshi is beyond impressive. response:	Ushijima-san.
context: Ushijima's scored about 40 points.\He was able to score almost half the points all by himself.\Despite being thoroughly marked,\and a lot of the tosses being harder ones to hit...\I knew that...\I knew that, but...\Ushijima Wakatoshi is beyond impressive.\Ushijima-san. response:	When you said to get tosses up to you at any time,
context: He was able to score almost half the points all by himself.\Despite being thoroughly marked,\and a lot of the tosses being harder ones to hit...\I knew that...\I knew that, but...\Ushijima Wakatoshi is beyond impressive.\Ushijima-san.\When you said to get tosses up to you at any time, response:	you meant that for while you're still of use, right?
context: Despite being thoroughly marked,\and a lot of the tosses being harder ones to hit...\I knew that...\I knew that, but...\Ushijima Wakatoshi is beyond impressive.\Ushijima-san.\When you said to get tosses up to you at any time,\you meant that for while you're still of use, right? response:	Wha?! Hey, I don't know what's going on, but how could you say that?
context: and a lot of the tosses being harder ones to hit...\I knew that...\I knew that, but...\Ushijima Wakatoshi is beyond impressive.\Ushijima-san.\When you said to get tosses up to you at any time,\you meant that for while you're still of use, right?\Wha?! Hey, I don't know what's going on, but how could you say that? response:	That's right.
context: I knew that...\I knew that, but...\Ushijima Wakatoshi is beyond impressive.\Ushijima-san.\When you said to get tosses up to you at any time,\you meant that for while you're still of use, right?\Wha?! Hey, I don't know what's going on, but how could you say that?\That's right. response:	Let's go.
context: I knew that, but...\Ushijima Wakatoshi is beyond impressive.\Ushijima-san.\When you said to get tosses up to you at any time,\you meant that for while you're still of use, right?\Wha?! Hey, I don't know what's going on, but how could you say that?\That's right.\Let's go. response:	Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!
context: Ushijima Wakatoshi is beyond impressive.\Ushijima-san.\When you said to get tosses up to you at any time,\you meant that for while you're still of use, right?\Wha?! Hey, I don't know what's going on, but how could you say that?\That's right.\Let's go.\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno! response:	If volleyball was a one-on-one sport,
context: Ushijima-san.\When you said to get tosses up to you at any time,\you meant that for while you're still of use, right?\Wha?! Hey, I don't know what's going on, but how could you say that?\That's right.\Let's go.\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\If volleyball was a one-on-one sport, response:	we wouldn't be able to win against Shiratorizawa.
context: When you said to get tosses up to you at any time,\you meant that for while you're still of use, right?\Wha?! Hey, I don't know what's going on, but how could you say that?\That's right.\Let's go.\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\If volleyball was a one-on-one sport,\we wouldn't be able to win against Shiratorizawa. response:	We're smaller, and our individual attack strength falls short in comparison.
context: you meant that for while you're still of use, right?\Wha?! Hey, I don't know what's going on, but how could you say that?\That's right.\Let's go.\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\If volleyball was a one-on-one sport,\we wouldn't be able to win against Shiratorizawa.\We're smaller, and our individual attack strength falls short in comparison. response:	But there are six of us on the court.
context: Wha?! Hey, I don't know what's going on, but how could you say that?\That's right.\Let's go.\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\If volleyball was a one-on-one sport,\we wouldn't be able to win against Shiratorizawa.\We're smaller, and our individual attack strength falls short in comparison.\But there are six of us on the court. response:	If we win, it's not because a miracle happened.
context: That's right.\Let's go.\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\If volleyball was a one-on-one sport,\we wouldn't be able to win against Shiratorizawa.\We're smaller, and our individual attack strength falls short in comparison.\But there are six of us on the court.\If we win, it's not because a miracle happened. response:	Our concept won't change until the very end!
context: Let's go.\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\If volleyball was a one-on-one sport,\we wouldn't be able to win against Shiratorizawa.\We're smaller, and our individual attack strength falls short in comparison.\But there are six of us on the court.\If we win, it's not because a miracle happened.\Our concept won't change until the very end! response:	We're going to punch our way through!
context: Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\If volleyball was a one-on-one sport,\we wouldn't be able to win against Shiratorizawa.\We're smaller, and our individual attack strength falls short in comparison.\But there are six of us on the court.\If we win, it's not because a miracle happened.\Our concept won't change until the very end!\We're going to punch our way through! response:	Yeah!
context: If volleyball was a one-on-one sport,\we wouldn't be able to win against Shiratorizawa.\We're smaller, and our individual attack strength falls short in comparison.\But there are six of us on the court.\If we win, it's not because a miracle happened.\Our concept won't change until the very end!\We're going to punch our way through!\Yeah! response:	We've done everything we can to this point.
context: we wouldn't be able to win against Shiratorizawa.\We're smaller, and our individual attack strength falls short in comparison.\But there are six of us on the court.\If we win, it's not because a miracle happened.\Our concept won't change until the very end!\We're going to punch our way through!\Yeah!\We've done everything we can to this point. response:	Fight! Fight! Fight!
context: We're smaller, and our individual attack strength falls short in comparison.\But there are six of us on the court.\If we win, it's not because a miracle happened.\Our concept won't change until the very end!\We're going to punch our way through!\Yeah!\We've done everything we can to this point.\Fight! Fight! Fight! response:	We've both used up all of our timeouts.
context: But there are six of us on the court.\If we win, it's not because a miracle happened.\Our concept won't change until the very end!\We're going to punch our way through!\Yeah!\We've done everything we can to this point.\Fight! Fight! Fight!\We've both used up all of our timeouts. response:	Let's end this thing!
context: If we win, it's not because a miracle happened.\Our concept won't change until the very end!\We're going to punch our way through!\Yeah!\We've done everything we can to this point.\Fight! Fight! Fight!\We've both used up all of our timeouts.\Let's end this thing! response:	Let's calm down and score that point.
context: Our concept won't change until the very end!\We're going to punch our way through!\Yeah!\We've done everything we can to this point.\Fight! Fight! Fight!\We've both used up all of our timeouts.\Let's end this thing!\Let's calm down and score that point. response:	The next time you leave that court...
context: We're going to punch our way through!\Yeah!\We've done everything we can to this point.\Fight! Fight! Fight!\We've both used up all of our timeouts.\Let's end this thing!\Let's calm down and score that point.\The next time you leave that court... response:	Yeah!
context: Yeah!\We've done everything we can to this point.\Fight! Fight! Fight!\We've both used up all of our timeouts.\Let's end this thing!\Let's calm down and score that point.\The next time you leave that court...\Yeah! response:	Haikyu!! Karasuno High School vs Shiratorizawa Academy
context: We've done everything we can to this point.\Fight! Fight! Fight!\We've both used up all of our timeouts.\Let's end this thing!\Let's calm down and score that point.\The next time you leave that court...\Yeah!\Haikyu!! Karasuno High School vs Shiratorizawa Academy response:	Haikyu!! Karasuno High School vs Shiratorizawa Academy
context: Fight! Fight! Fight!\We've both used up all of our timeouts.\Let's end this thing!\Let's calm down and score that point.\The next time you leave that court...\Yeah!\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy response:	Shiratorizawa Karasuno
context: We've both used up all of our timeouts.\Let's end this thing!\Let's calm down and score that point.\The next time you leave that court...\Yeah!\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Shiratorizawa Karasuno response:	Nice serve, Asahi!
context: Let's end this thing!\Let's calm down and score that point.\The next time you leave that court...\Yeah!\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Shiratorizawa Karasuno\Nice serve, Asahi! response:	Here comes that all-out serve again!
context: Let's calm down and score that point.\The next time you leave that court...\Yeah!\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Shiratorizawa Karasuno\Nice serve, Asahi!\Here comes that all-out serve again! response:	End it here. End it with this one!
context: The next time you leave that court...\Yeah!\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Shiratorizawa Karasuno\Nice serve, Asahi!\Here comes that all-out serve again!\End it here. End it with this one! response:	Yes!
context: Yeah!\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Shiratorizawa Karasuno\Nice serve, Asahi!\Here comes that all-out serve again!\End it here. End it with this one!\Yes! response:	They did
context: Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Shiratorizawa Karasuno\Nice serve, Asahi!\Here comes that all-out serve again!\End it here. End it with this one!\Yes!\They did response:	All right!
context: Haikyu!! Karasuno High School vs Shiratorizawa Academy\Shiratorizawa Karasuno\Nice serve, Asahi!\Here comes that all-out serve again!\End it here. End it with this one!\Yes!\They did\All right! response:	Such a waste!
context: Shiratorizawa Karasuno\Nice serve, Asahi!\Here comes that all-out serve again!\End it here. End it with this one!\Yes!\They did\All right!\Such a waste! response:	Sorry!
context: Nice serve, Asahi!\Here comes that all-out serve again!\End it here. End it with this one!\Yes!\They did\All right!\Such a waste!\Sorry! response:	Don't mind!
context: Here comes that all-out serve again!\End it here. End it with this one!\Yes!\They did\All right!\Such a waste!\Sorry!\Don't mind! response:	The serve toss was fine,
context: End it here. End it with this one!\Yes!\They did\All right!\Such a waste!\Sorry!\Don't mind!\The serve toss was fine, response:	but I was a little careless when stepping into the jump.
context: Yes!\They did\All right!\Such a waste!\Sorry!\Don't mind!\The serve toss was fine,\but I was a little careless when stepping into the jump. response:	And now,
context: They did\All right!\Such a waste!\Sorry!\Don't mind!\The serve toss was fine,\but I was a little careless when stepping into the jump.\And now, response:	Ushijima-kun is serving.
context: All right!\Such a waste!\Sorry!\Don't mind!\The serve toss was fine,\but I was a little careless when stepping into the jump.\And now,\Ushijima-kun is serving. response:	Sorry.
context: Such a waste!\Sorry!\Don't mind!\The serve toss was fine,\but I was a little careless when stepping into the jump.\And now,\Ushijima-kun is serving.\Sorry. response:	Don't mind!
context: Sorry!\Don't mind!\The serve toss was fine,\but I was a little careless when stepping into the jump.\And now,\Ushijima-kun is serving.\Sorry.\Don't mind! response:	When we get back, you're gonna be serving 100 times.
context: Don't mind!\The serve toss was fine,\but I was a little careless when stepping into the jump.\And now,\Ushijima-kun is serving.\Sorry.\Don't mind!\When we get back, you're gonna be serving 100 times. response:	Neither side has any intention of putting their guard up.
context: The serve toss was fine,\but I was a little careless when stepping into the jump.\And now,\Ushijima-kun is serving.\Sorry.\Don't mind!\When we get back, you're gonna be serving 100 times.\Neither side has any intention of putting their guard up. response:	That's lucky for us, but also a waste.
context: but I was a little careless when stepping into the jump.\And now,\Ushijima-kun is serving.\Sorry.\Don't mind!\When we get back, you're gonna be serving 100 times.\Neither side has any intention of putting their guard up.\That's lucky for us, but also a waste. response:	I mean, it's all for naught if they miss.
context: And now,\Ushijima-kun is serving.\Sorry.\Don't mind!\When we get back, you're gonna be serving 100 times.\Neither side has any intention of putting their guard up.\That's lucky for us, but also a waste.\I mean, it's all for naught if they miss. response:	But just by hitting
context: Ushijima-kun is serving.\Sorry.\Don't mind!\When we get back, you're gonna be serving 100 times.\Neither side has any intention of putting their guard up.\That's lucky for us, but also a waste.\I mean, it's all for naught if they miss.\But just by hitting response:	a powerful serve itself becomes pressure for the other side.
context: Sorry.\Don't mind!\When we get back, you're gonna be serving 100 times.\Neither side has any intention of putting their guard up.\That's lucky for us, but also a waste.\I mean, it's all for naught if they miss.\But just by hitting\a powerful serve itself becomes pressure for the other side. response:	Huh?
context: Don't mind!\When we get back, you're gonna be serving 100 times.\Neither side has any intention of putting their guard up.\That's lucky for us, but also a waste.\I mean, it's all for naught if they miss.\But just by hitting\a powerful serve itself becomes pressure for the other side.\Huh? response:	A jump serve is a very risky serve.
context: When we get back, you're gonna be serving 100 times.\Neither side has any intention of putting their guard up.\That's lucky for us, but also a waste.\I mean, it's all for naught if they miss.\But just by hitting\a powerful serve itself becomes pressure for the other side.\Huh?\A jump serve is a very risky serve. response:	But a serve that's done by chance, or a serve that's guaranteed to go in...
context: Neither side has any intention of putting their guard up.\That's lucky for us, but also a waste.\I mean, it's all for naught if they miss.\But just by hitting\a powerful serve itself becomes pressure for the other side.\Huh?\A jump serve is a very risky serve.\But a serve that's done by chance, or a serve that's guaranteed to go in... response:	It's not about picking that,
context: That's lucky for us, but also a waste.\I mean, it's all for naught if they miss.\But just by hitting\a powerful serve itself becomes pressure for the other side.\Huh?\A jump serve is a very risky serve.\But a serve that's done by chance, or a serve that's guaranteed to go in...\It's not about picking that, response:	but a team that's able to complete a chance serve right now is a strong team.
context: I mean, it's all for naught if they miss.\But just by hitting\a powerful serve itself becomes pressure for the other side.\Huh?\A jump serve is a very risky serve.\But a serve that's done by chance, or a serve that's guaranteed to go in...\It's not about picking that,\but a team that's able to complete a chance serve right now is a strong team. response:	A team that's able to choose to do a chance serve right now
