context: <I'm better at flying than running!!> response:	<Sketch of Petya>
context: Nika!\Do you know who I am?\Who you are?\Of course.\H-Hey! Suou...\Suou?\Episode 2 The Fallen Star...\Thus, what enables the wise sovereign and the good general to strike and conquer, response:	and achieve things beyond the reach of ordinary men, is foreknowledge.
context: Do you know who I am?\Who you are?\Of course.\H-Hey! Suou...\Suou?\Episode 2 The Fallen Star...\Thus, what enables the wise sovereign and the good general to strike and conquer,\and achieve things beyond the reach of ordinary men, is foreknowledge. response:	Looks like I've come to ask for your help again, Madame.
context: Who you are?\Of course.\H-Hey! Suou...\Suou?\Episode 2 The Fallen Star...\Thus, what enables the wise sovereign and the good general to strike and conquer,\and achieve things beyond the reach of ordinary men, is foreknowledge.\Looks like I've come to ask for your help again, Madame. response:	One of my men stumbled upon something in the Far East.
context: Of course.\H-Hey! Suou...\Suou?\Episode 2 The Fallen Star...\Thus, what enables the wise sovereign and the good general to strike and conquer,\and achieve things beyond the reach of ordinary men, is foreknowledge.\Looks like I've come to ask for your help again, Madame.\One of my men stumbled upon something in the Far East. response:	The organization has finally made its move to obtain Izanagi.
context: H-Hey! Suou...\Suou?\Episode 2 The Fallen Star...\Thus, what enables the wise sovereign and the good general to strike and conquer,\and achieve things beyond the reach of ordinary men, is foreknowledge.\Looks like I've come to ask for your help again, Madame.\One of my men stumbled upon something in the Far East.\The organization has finally made its move to obtain Izanagi. response:	I was wondering if you knew anything about it.
context: Suou?\Episode 2 The Fallen Star...\Thus, what enables the wise sovereign and the good general to strike and conquer,\and achieve things beyond the reach of ordinary men, is foreknowledge.\Looks like I've come to ask for your help again, Madame.\One of my men stumbled upon something in the Far East.\The organization has finally made its move to obtain Izanagi.\I was wondering if you knew anything about it. response:	I'm really grateful for business from the almighty CIA, however...
context: Episode 2 The Fallen Star...\Thus, what enables the wise sovereign and the good general to strike and conquer,\and achieve things beyond the reach of ordinary men, is foreknowledge.\Looks like I've come to ask for your help again, Madame.\One of my men stumbled upon something in the Far East.\The organization has finally made its move to obtain Izanagi.\I was wondering if you knew anything about it.\I'm really grateful for business from the almighty CIA, however... response:	Foreknowledge cannot be elicited from spirits, Mr. Smith.
context: Thus, what enables the wise sovereign and the good general to strike and conquer,\and achieve things beyond the reach of ordinary men, is foreknowledge.\Looks like I've come to ask for your help again, Madame.\One of my men stumbled upon something in the Far East.\The organization has finally made its move to obtain Izanagi.\I was wondering if you knew anything about it.\I'm really grateful for business from the almighty CIA, however...\Foreknowledge cannot be elicited from spirits, Mr. Smith. response:	Know thy self, know thy enemy.
context: and achieve things beyond the reach of ordinary men, is foreknowledge.\Looks like I've come to ask for your help again, Madame.\One of my men stumbled upon something in the Far East.\The organization has finally made its move to obtain Izanagi.\I was wondering if you knew anything about it.\I'm really grateful for business from the almighty CIA, however...\Foreknowledge cannot be elicited from spirits, Mr. Smith.\Know thy self, know thy enemy. response:	I'm just a coward.
context: Looks like I've come to ask for your help again, Madame.\One of my men stumbled upon something in the Far East.\The organization has finally made its move to obtain Izanagi.\I was wondering if you knew anything about it.\I'm really grateful for business from the almighty CIA, however...\Foreknowledge cannot be elicited from spirits, Mr. Smith.\Know thy self, know thy enemy.\I'm just a coward. response:	What in the world is going on?
context: One of my men stumbled upon something in the Far East.\The organization has finally made its move to obtain Izanagi.\I was wondering if you knew anything about it.\I'm really grateful for business from the almighty CIA, however...\Foreknowledge cannot be elicited from spirits, Mr. Smith.\Know thy self, know thy enemy.\I'm just a coward.\What in the world is going on? response:	When I called the people from class, they've all forgotten about Tanya.
context: The organization has finally made its move to obtain Izanagi.\I was wondering if you knew anything about it.\I'm really grateful for business from the almighty CIA, however...\Foreknowledge cannot be elicited from spirits, Mr. Smith.\Know thy self, know thy enemy.\I'm just a coward.\What in the world is going on?\When I called the people from class, they've all forgotten about Tanya. response:	And there was a fire at your house...
context: I was wondering if you knew anything about it.\I'm really grateful for business from the almighty CIA, however...\Foreknowledge cannot be elicited from spirits, Mr. Smith.\Know thy self, know thy enemy.\I'm just a coward.\What in the world is going on?\When I called the people from class, they've all forgotten about Tanya.\And there was a fire at your house... response:	Is your father okay?
context: I'm really grateful for business from the almighty CIA, however...\Foreknowledge cannot be elicited from spirits, Mr. Smith.\Know thy self, know thy enemy.\I'm just a coward.\What in the world is going on?\When I called the people from class, they've all forgotten about Tanya.\And there was a fire at your house...\Is your father okay? response:	Hey, Suou.
context: Foreknowledge cannot be elicited from spirits, Mr. Smith.\Know thy self, know thy enemy.\I'm just a coward.\What in the world is going on?\When I called the people from class, they've all forgotten about Tanya.\And there was a fire at your house...\Is your father okay?\Hey, Suou. response:	Darn, there's nothing useful here.
context: Know thy self, know thy enemy.\I'm just a coward.\What in the world is going on?\When I called the people from class, they've all forgotten about Tanya.\And there was a fire at your house...\Is your father okay?\Hey, Suou.\Darn, there's nothing useful here. response:	Eat something.
context: I'm just a coward.\What in the world is going on?\When I called the people from class, they've all forgotten about Tanya.\And there was a fire at your house...\Is your father okay?\Hey, Suou.\Darn, there's nothing useful here.\Eat something. response:	You haven't eaten anything, have you?
context: What in the world is going on?\When I called the people from class, they've all forgotten about Tanya.\And there was a fire at your house...\Is your father okay?\Hey, Suou.\Darn, there's nothing useful here.\Eat something.\You haven't eaten anything, have you? response:	Hey, Suou...
context: When I called the people from class, they've all forgotten about Tanya.\And there was a fire at your house...\Is your father okay?\Hey, Suou.\Darn, there's nothing useful here.\Eat something.\You haven't eaten anything, have you?\Hey, Suou... response:	That's enough pondering!
context: And there was a fire at your house...\Is your father okay?\Hey, Suou.\Darn, there's nothing useful here.\Eat something.\You haven't eaten anything, have you?\Hey, Suou...\That's enough pondering! response:	S-Suou?
context: Is your father okay?\Hey, Suou.\Darn, there's nothing useful here.\Eat something.\You haven't eaten anything, have you?\Hey, Suou...\That's enough pondering!\S-Suou? response:	I'm borrowing your desk.
context: Hey, Suou.\Darn, there's nothing useful here.\Eat something.\You haven't eaten anything, have you?\Hey, Suou...\That's enough pondering!\S-Suou?\I'm borrowing your desk. response:	Stop that!
context: Darn, there's nothing useful here.\Eat something.\You haven't eaten anything, have you?\Hey, Suou...\That's enough pondering!\S-Suou?\I'm borrowing your desk.\Stop that! response:	That's a badass anti-tank rifle!
context: Eat something.\You haven't eaten anything, have you?\Hey, Suou...\That's enough pondering!\S-Suou?\I'm borrowing your desk.\Stop that!\That's a badass anti-tank rifle! response:	It's scrap!
context: You haven't eaten anything, have you?\Hey, Suou...\That's enough pondering!\S-Suou?\I'm borrowing your desk.\Stop that!\That's a badass anti-tank rifle!\It's scrap! response:	Wait and see, old man in black!
context: Hey, Suou...\That's enough pondering!\S-Suou?\I'm borrowing your desk.\Stop that!\That's a badass anti-tank rifle!\It's scrap!\Wait and see, old man in black! response:	When I arrived, the professor was already dead.
context: That's enough pondering!\S-Suou?\I'm borrowing your desk.\Stop that!\That's a badass anti-tank rifle!\It's scrap!\Wait and see, old man in black!\When I arrived, the professor was already dead. response:	You're telling the truth, I hope.
context: S-Suou?\I'm borrowing your desk.\Stop that!\That's a badass anti-tank rifle!\It's scrap!\Wait and see, old man in black!\When I arrived, the professor was already dead.\You're telling the truth, I hope. response:	Who were the people who intervened?
context: I'm borrowing your desk.\Stop that!\That's a badass anti-tank rifle!\It's scrap!\Wait and see, old man in black!\When I arrived, the professor was already dead.\You're telling the truth, I hope.\Who were the people who intervened? response:	We're investigating them.
context: Stop that!\That's a badass anti-tank rifle!\It's scrap!\Wait and see, old man in black!\When I arrived, the professor was already dead.\You're telling the truth, I hope.\Who were the people who intervened?\We're investigating them. response:	I'll let you know if we find anything.
context: That's a badass anti-tank rifle!\It's scrap!\Wait and see, old man in black!\When I arrived, the professor was already dead.\You're telling the truth, I hope.\Who were the people who intervened?\We're investigating them.\I'll let you know if we find anything. response:	There're so many missing pieces.
context: It's scrap!\Wait and see, old man in black!\When I arrived, the professor was already dead.\You're telling the truth, I hope.\Who were the people who intervened?\We're investigating them.\I'll let you know if we find anything.\There're so many missing pieces. response:	The CIA specifically hired you to deal with these kinds of situations.
context: Wait and see, old man in black!\When I arrived, the professor was already dead.\You're telling the truth, I hope.\Who were the people who intervened?\We're investigating them.\I'll let you know if we find anything.\There're so many missing pieces.\The CIA specifically hired you to deal with these kinds of situations. response:	You'll obey us,
context: When I arrived, the professor was already dead.\You're telling the truth, I hope.\Who were the people who intervened?\We're investigating them.\I'll let you know if we find anything.\There're so many missing pieces.\The CIA specifically hired you to deal with these kinds of situations.\You'll obey us, response:	Black Grim Reaper.
context: You're telling the truth, I hope.\Who were the people who intervened?\We're investigating them.\I'll let you know if we find anything.\There're so many missing pieces.\The CIA specifically hired you to deal with these kinds of situations.\You'll obey us,\Black Grim Reaper. response:	Wedding swindler.
context: Who were the people who intervened?\We're investigating them.\I'll let you know if we find anything.\There're so many missing pieces.\The CIA specifically hired you to deal with these kinds of situations.\You'll obey us,\Black Grim Reaper.\Wedding swindler. response:	The scum who ran away after tainting my sister and taking her savings.
context: We're investigating them.\I'll let you know if we find anything.\There're so many missing pieces.\The CIA specifically hired you to deal with these kinds of situations.\You'll obey us,\Black Grim Reaper.\Wedding swindler.\The scum who ran away after tainting my sister and taking her savings. response:	Please contact me if you spot him.
context: I'll let you know if we find anything.\There're so many missing pieces.\The CIA specifically hired you to deal with these kinds of situations.\You'll obey us,\Black Grim Reaper.\Wedding swindler.\The scum who ran away after tainting my sister and taking her savings.\Please contact me if you spot him. response:	Is it okay to be doing this?
context: There're so many missing pieces.\The CIA specifically hired you to deal with these kinds of situations.\You'll obey us,\Black Grim Reaper.\Wedding swindler.\The scum who ran away after tainting my sister and taking her savings.\Please contact me if you spot him.\Is it okay to be doing this? response:	It's easier to give birth than to worry.
context: The CIA specifically hired you to deal with these kinds of situations.\You'll obey us,\Black Grim Reaper.\Wedding swindler.\The scum who ran away after tainting my sister and taking her savings.\Please contact me if you spot him.\Is it okay to be doing this?\It's easier to give birth than to worry. response:	A Japanese idiom.
context: You'll obey us,\Black Grim Reaper.\Wedding swindler.\The scum who ran away after tainting my sister and taking her savings.\Please contact me if you spot him.\Is it okay to be doing this?\It's easier to give birth than to worry.\A Japanese idiom. response:	Apparently my mom used it quite often.
context: Black Grim Reaper.\Wedding swindler.\The scum who ran away after tainting my sister and taking her savings.\Please contact me if you spot him.\Is it okay to be doing this?\It's easier to give birth than to worry.\A Japanese idiom.\Apparently my mom used it quite often. response:	And what does it mean?
context: Wedding swindler.\The scum who ran away after tainting my sister and taking her savings.\Please contact me if you spot him.\Is it okay to be doing this?\It's easier to give birth than to worry.\A Japanese idiom.\Apparently my mom used it quite often.\And what does it mean? response:	It's better to take action than to overthink things.
context: The scum who ran away after tainting my sister and taking her savings.\Please contact me if you spot him.\Is it okay to be doing this?\It's easier to give birth than to worry.\A Japanese idiom.\Apparently my mom used it quite often.\And what does it mean?\It's better to take action than to overthink things. response:	That's so like you.
context: Please contact me if you spot him.\Is it okay to be doing this?\It's easier to give birth than to worry.\A Japanese idiom.\Apparently my mom used it quite often.\And what does it mean?\It's better to take action than to overthink things.\That's so like you. response:	That secret base brought back memories, eh?
context: Is it okay to be doing this?\It's easier to give birth than to worry.\A Japanese idiom.\Apparently my mom used it quite often.\And what does it mean?\It's better to take action than to overthink things.\That's so like you.\That secret base brought back memories, eh? response:	So you were still using it.
context: It's easier to give birth than to worry.\A Japanese idiom.\Apparently my mom used it quite often.\And what does it mean?\It's better to take action than to overthink things.\That's so like you.\That secret base brought back memories, eh?\So you were still using it. response:	Actually I was planning to close it.
context: A Japanese idiom.\Apparently my mom used it quite often.\And what does it mean?\It's better to take action than to overthink things.\That's so like you.\That secret base brought back memories, eh?\So you were still using it.\Actually I was planning to close it. response:	But...
context: Apparently my mom used it quite often.\And what does it mean?\It's better to take action than to overthink things.\That's so like you.\That secret base brought back memories, eh?\So you were still using it.\Actually I was planning to close it.\But... response:	You're strong, Suou.
context: And what does it mean?\It's better to take action than to overthink things.\That's so like you.\That secret base brought back memories, eh?\So you were still using it.\Actually I was planning to close it.\But...\You're strong, Suou. response:	I swore to protect him.
context: It's better to take action than to overthink things.\That's so like you.\That secret base brought back memories, eh?\So you were still using it.\Actually I was planning to close it.\But...\You're strong, Suou.\I swore to protect him. response:	So...
context: That's so like you.\That secret base brought back memories, eh?\So you were still using it.\Actually I was planning to close it.\But...\You're strong, Suou.\I swore to protect him.\So... response:	Say, Suou.
context: That secret base brought back memories, eh?\So you were still using it.\Actually I was planning to close it.\But...\You're strong, Suou.\I swore to protect him.\So...\Say, Suou. response:	You said that the military took Tanya with them.
context: So you were still using it.\Actually I was planning to close it.\But...\You're strong, Suou.\I swore to protect him.\So...\Say, Suou.\You said that the military took Tanya with them. response:	Yes.
context: Actually I was planning to close it.\But...\You're strong, Suou.\I swore to protect him.\So...\Say, Suou.\You said that the military took Tanya with them.\Yes. response:	Suou, I...
context: But...\You're strong, Suou.\I swore to protect him.\So...\Say, Suou.\You said that the military took Tanya with them.\Yes.\Suou, I... response:	I got it.
context: You're strong, Suou.\I swore to protect him.\So...\Say, Suou.\You said that the military took Tanya with them.\Yes.\Suou, I...\I got it. response:	Thanks, Nika.
context: I swore to protect him.\So...\Say, Suou.\You said that the military took Tanya with them.\Yes.\Suou, I...\I got it.\Thanks, Nika. response:	Don't be reckless.
context: So...\Say, Suou.\You said that the military took Tanya with them.\Yes.\Suou, I...\I got it.\Thanks, Nika.\Don't be reckless. response:	I won't.
context: Say, Suou.\You said that the military took Tanya with them.\Yes.\Suou, I...\I got it.\Thanks, Nika.\Don't be reckless.\I won't. response:	This is the witness report of the professor's kid.
context: You said that the military took Tanya with them.\Yes.\Suou, I...\I got it.\Thanks, Nika.\Don't be reckless.\I won't.\This is the witness report of the professor's kid. response:	Anonymous tip, eh?
context: Yes.\Suou, I...\I got it.\Thanks, Nika.\Don't be reckless.\I won't.\This is the witness report of the professor's kid.\Anonymous tip, eh? response:	There seems to be many people who should've forgotten about the past that we missed.
context: Suou, I...\I got it.\Thanks, Nika.\Don't be reckless.\I won't.\This is the witness report of the professor's kid.\Anonymous tip, eh?\There seems to be many people who should've forgotten about the past that we missed. response:	Should I report it to Major Repnin?
context: I got it.\Thanks, Nika.\Don't be reckless.\I won't.\This is the witness report of the professor's kid.\Anonymous tip, eh?\There seems to be many people who should've forgotten about the past that we missed.\Should I report it to Major Repnin? response:	No need.
context: Thanks, Nika.\Don't be reckless.\I won't.\This is the witness report of the professor's kid.\Anonymous tip, eh?\There seems to be many people who should've forgotten about the past that we missed.\Should I report it to Major Repnin?\No need. response:	He probably has his hands full with the training of the new monster he got yesterday.
context: Don't be reckless.\I won't.\This is the witness report of the professor's kid.\Anonymous tip, eh?\There seems to be many people who should've forgotten about the past that we missed.\Should I report it to Major Repnin?\No need.\He probably has his hands full with the training of the new monster he got yesterday. response:	They've started to move.
context: I won't.\This is the witness report of the professor's kid.\Anonymous tip, eh?\There seems to be many people who should've forgotten about the past that we missed.\Should I report it to Major Repnin?\No need.\He probably has his hands full with the training of the new monster he got yesterday.\They've started to move. response:	All right, July.
context: This is the witness report of the professor's kid.\Anonymous tip, eh?\There seems to be many people who should've forgotten about the past that we missed.\Should I report it to Major Repnin?\No need.\He probably has his hands full with the training of the new monster he got yesterday.\They've started to move.\All right, July. response:	Don't move till I come to pick you up.
context: Anonymous tip, eh?\There seems to be many people who should've forgotten about the past that we missed.\Should I report it to Major Repnin?\No need.\He probably has his hands full with the training of the new monster he got yesterday.\They've started to move.\All right, July.\Don't move till I come to pick you up. response:	To think you'd arrive before the information trickled in...
context: There seems to be many people who should've forgotten about the past that we missed.\Should I report it to Major Repnin?\No need.\He probably has his hands full with the training of the new monster he got yesterday.\They've started to move.\All right, July.\Don't move till I come to pick you up.\To think you'd arrive before the information trickled in... response:	You saved me quite some time.
context: Should I report it to Major Repnin?\No need.\He probably has his hands full with the training of the new monster he got yesterday.\They've started to move.\All right, July.\Don't move till I come to pick you up.\To think you'd arrive before the information trickled in...\You saved me quite some time. response:	You're angry, aren't you?
context: No need.\He probably has his hands full with the training of the new monster he got yesterday.\They've started to move.\All right, July.\Don't move till I come to pick you up.\To think you'd arrive before the information trickled in...\You saved me quite some time.\You're angry, aren't you? response:	Are you going to kill me?
context: He probably has his hands full with the training of the new monster he got yesterday.\They've started to move.\All right, July.\Don't move till I come to pick you up.\To think you'd arrive before the information trickled in...\You saved me quite some time.\You're angry, aren't you?\Are you going to kill me? response:	Go ahead and try it!
context: They've started to move.\All right, July.\Don't move till I come to pick you up.\To think you'd arrive before the information trickled in...\You saved me quite some time.\You're angry, aren't you?\Are you going to kill me?\Go ahead and try it! response:	Then your picture will be all over the Internet!
context: All right, July.\Don't move till I come to pick you up.\To think you'd arrive before the information trickled in...\You saved me quite some time.\You're angry, aren't you?\Are you going to kill me?\Go ahead and try it!\Then your picture will be all over the Internet! response:	I arranged it that way.
context: Don't move till I come to pick you up.\To think you'd arrive before the information trickled in...\You saved me quite some time.\You're angry, aren't you?\Are you going to kill me?\Go ahead and try it!\Then your picture will be all over the Internet!\I arranged it that way. response:	You'll be in deep shit if I don't return!
context: To think you'd arrive before the information trickled in...\You saved me quite some time.\You're angry, aren't you?\Are you going to kill me?\Go ahead and try it!\Then your picture will be all over the Internet!\I arranged it that way.\You'll be in deep shit if I don't return! response:	I swear!
context: You saved me quite some time.\You're angry, aren't you?\Are you going to kill me?\Go ahead and try it!\Then your picture will be all over the Internet!\I arranged it that way.\You'll be in deep shit if I don't return!\I swear! response:	Shion Pavlichenko.
context: You're angry, aren't you?\Are you going to kill me?\Go ahead and try it!\Then your picture will be all over the Internet!\I arranged it that way.\You'll be in deep shit if I don't return!\I swear!\Shion Pavlichenko. response:	Hand over the meteor core.
context: Are you going to kill me?\Go ahead and try it!\Then your picture will be all over the Internet!\I arranged it that way.\You'll be in deep shit if I don't return!\I swear!\Shion Pavlichenko.\Hand over the meteor core. response:	Then I won't kill you.
context: Go ahead and try it!\Then your picture will be all over the Internet!\I arranged it that way.\You'll be in deep shit if I don't return!\I swear!\Shion Pavlichenko.\Hand over the meteor core.\Then I won't kill you. response:	You're lying!
context: Then your picture will be all over the Internet!\I arranged it that way.\You'll be in deep shit if I don't return!\I swear!\Shion Pavlichenko.\Hand over the meteor core.\Then I won't kill you.\You're lying! response:	Contractors are all liars!
context: I arranged it that way.\You'll be in deep shit if I don't return!\I swear!\Shion Pavlichenko.\Hand over the meteor core.\Then I won't kill you.\You're lying!\Contractors are all liars! response:	You can't trust them!
context: You'll be in deep shit if I don't return!\I swear!\Shion Pavlichenko.\Hand over the meteor core.\Then I won't kill you.\You're lying!\Contractors are all liars!\You can't trust them! response:	Ow...
context: I swear!\Shion Pavlichenko.\Hand over the meteor core.\Then I won't kill you.\You're lying!\Contractors are all liars!\You can't trust them!\Ow... response:	What are you doing?!
context: Shion Pavlichenko.\Hand over the meteor core.\Then I won't kill you.\You're lying!\Contractors are all liars!\You can't trust them!\Ow...\What are you doing?! response:	Where's the meteor core?!
context: Hand over the meteor core.\Then I won't kill you.\You're lying!\Contractors are all liars!\You can't trust them!\Ow...\What are you doing?!\Where's the meteor core?! response:	No! What the hell are you doing?!
context: Then I won't kill you.\You're lying!\Contractors are all liars!\You can't trust them!\Ow...\What are you doing?!\Where's the meteor core?!\No! What the hell are you doing?! response:	Pervert! Moron! Molester! Lecher!
context: You're lying!\Contractors are all liars!\You can't trust them!\Ow...\What are you doing?!\Where's the meteor core?!\No! What the hell are you doing?!\Pervert! Moron! Molester! Lecher! response:	You're...
context: Contractors are all liars!\You can't trust them!\Ow...\What are you doing?!\Where's the meteor core?!\No! What the hell are you doing?!\Pervert! Moron! Molester! Lecher!\You're... response:	Where's Shion?
context: You can't trust them!\Ow...\What are you doing?!\Where's the meteor core?!\No! What the hell are you doing?!\Pervert! Moron! Molester! Lecher!\You're...\Where's Shion? response:	Why did you kill Papa?!
context: Ow...\What are you doing?!\Where's the meteor core?!\No! What the hell are you doing?!\Pervert! Moron! Molester! Lecher!\You're...\Where's Shion?\Why did you kill Papa?! response:	Why did you kill Bella as well?!
context: What are you doing?!\Where's the meteor core?!\No! What the hell are you doing?!\Pervert! Moron! Molester! Lecher!\You're...\Where's Shion?\Why did you kill Papa?!\Why did you kill Bella as well?! response:	How can you...
context: Where's the meteor core?!\No! What the hell are you doing?!\Pervert! Moron! Molester! Lecher!\You're...\Where's Shion?\Why did you kill Papa?!\Why did you kill Bella as well?!\How can you... response:	do it that easy?
context: No! What the hell are you doing?!\Pervert! Moron! Molester! Lecher!\You're...\Where's Shion?\Why did you kill Papa?!\Why did you kill Bella as well?!\How can you...\do it that easy? response:	If you're a human...
context: Pervert! Moron! Molester! Lecher!\You're...\Where's Shion?\Why did you kill Papa?!\Why did you kill Bella as well?!\How can you...\do it that easy?\If you're a human... response:	I'm a contractor.
context: You're...\Where's Shion?\Why did you kill Papa?!\Why did you kill Bella as well?!\How can you...\do it that easy?\If you're a human...\I'm a contractor. response:	Is that why you can kill people without blinking?
context: Where's Shion?\Why did you kill Papa?!\Why did you kill Bella as well?!\How can you...\do it that easy?\If you're a human...\I'm a contractor.\Is that why you can kill people without blinking? response:	Is that what being a rational contractor is about?
context: Why did you kill Papa?!\Why did you kill Bella as well?!\How can you...\do it that easy?\If you're a human...\I'm a contractor.\Is that why you can kill people without blinking?\Is that what being a rational contractor is about? response:	Can you even feel pain?!
context: Why did you kill Bella as well?!\How can you...\do it that easy?\If you're a human...\I'm a contractor.\Is that why you can kill people without blinking?\Is that what being a rational contractor is about?\Can you even feel pain?! response:	Do contractors lose even that?!
context: How can you...\do it that easy?\If you're a human...\I'm a contractor.\Is that why you can kill people without blinking?\Is that what being a rational contractor is about?\Can you even feel pain?!\Do contractors lose even that?! response:	What exactly are contractors?!
context: do it that easy?\If you're a human...\I'm a contractor.\Is that why you can kill people without blinking?\Is that what being a rational contractor is about?\Can you even feel pain?!\Do contractors lose even that?!\What exactly are contractors?! response:	What's so fun about being one?!
context: If you're a human...\I'm a contractor.\Is that why you can kill people without blinking?\Is that what being a rational contractor is about?\Can you even feel pain?!\Do contractors lose even that?!\What exactly are contractors?!\What's so fun about being one?! response:	Why are there people like you?!
context: I'm a contractor.\Is that why you can kill people without blinking?\Is that what being a rational contractor is about?\Can you even feel pain?!\Do contractors lose even that?!\What exactly are contractors?!\What's so fun about being one?!\Why are there people like you?! response:	Freeze!
context: Is that why you can kill people without blinking?\Is that what being a rational contractor is about?\Can you even feel pain?!\Do contractors lose even that?!\What exactly are contractors?!\What's so fun about being one?!\Why are there people like you?!\Freeze! response:	Put your hands on the wall.
context: Is that what being a rational contractor is about?\Can you even feel pain?!\Do contractors lose even that?!\What exactly are contractors?!\What's so fun about being one?!\Why are there people like you?!\Freeze!\Put your hands on the wall. response:	You've caused us some trouble, Shion.
context: Can you even feel pain?!\Do contractors lose even that?!\What exactly are contractors?!\What's so fun about being one?!\Why are there people like you?!\Freeze!\Put your hands on the wall.\You've caused us some trouble, Shion. response:	Come with us.
context: Do contractors lose even that?!\What exactly are contractors?!\What's so fun about being one?!\Why are there people like you?!\Freeze!\Put your hands on the wall.\You've caused us some trouble, Shion.\Come with us. response:	We'll take you under our protection.
context: What exactly are contractors?!\What's so fun about being one?!\Why are there people like you?!\Freeze!\Put your hands on the wall.\You've caused us some trouble, Shion.\Come with us.\We'll take you under our protection. response:	No!
context: What's so fun about being one?!\Why are there people like you?!\Freeze!\Put your hands on the wall.\You've caused us some trouble, Shion.\Come with us.\We'll take you under our protection.\No! response:	You took Tanya...
context: Why are there people like you?!\Freeze!\Put your hands on the wall.\You've caused us some trouble, Shion.\Come with us.\We'll take you under our protection.\No!\You took Tanya... response:	Stop it, gentlemen.
context: Freeze!\Put your hands on the wall.\You've caused us some trouble, Shion.\Come with us.\We'll take you under our protection.\No!\You took Tanya...\Stop it, gentlemen. response:	I'll be the one taking the boy.
context: Put your hands on the wall.\You've caused us some trouble, Shion.\Come with us.\We'll take you under our protection.\No!\You took Tanya...\Stop it, gentlemen.\I'll be the one taking the boy. response:	A contractor?
context: You've caused us some trouble, Shion.\Come with us.\We'll take you under our protection.\No!\You took Tanya...\Stop it, gentlemen.\I'll be the one taking the boy.\A contractor? response:	To think he would just show himself like that.
context: Come with us.\We'll take you under our protection.\No!\You took Tanya...\Stop it, gentlemen.\I'll be the one taking the boy.\A contractor?\To think he would just show himself like that. response:	I'm a magician.
context: We'll take you under our protection.\No!\You took Tanya...\Stop it, gentlemen.\I'll be the one taking the boy.\A contractor?\To think he would just show himself like that.\I'm a magician. response:	I can't get in the mood without an audience.
context: No!\You took Tanya...\Stop it, gentlemen.\I'll be the one taking the boy.\A contractor?\To think he would just show himself like that.\I'm a magician.\I can't get in the mood without an audience. response:	Fire.
context: You took Tanya...\Stop it, gentlemen.\I'll be the one taking the boy.\A contractor?\To think he would just show himself like that.\I'm a magician.\I can't get in the mood without an audience.\Fire. response:	Mysterious, isn't it?
context: Stop it, gentlemen.\I'll be the one taking the boy.\A contractor?\To think he would just show himself like that.\I'm a magician.\I can't get in the mood without an audience.\Fire.\Mysterious, isn't it? response:	Don't let them get away!
context: I'll be the one taking the boy.\A contractor?\To think he would just show himself like that.\I'm a magician.\I can't get in the mood without an audience.\Fire.\Mysterious, isn't it?\Don't let them get away! response:	Even though he tried to kill me just now...
context: A contractor?\To think he would just show himself like that.\I'm a magician.\I can't get in the mood without an audience.\Fire.\Mysterious, isn't it?\Don't let them get away!\Even though he tried to kill me just now... response:	Why is he...
context: To think he would just show himself like that.\I'm a magician.\I can't get in the mood without an audience.\Fire.\Mysterious, isn't it?\Don't let them get away!\Even though he tried to kill me just now...\Why is he... response:	The show starts now.
context: I'm a magician.\I can't get in the mood without an audience.\Fire.\Mysterious, isn't it?\Don't let them get away!\Even though he tried to kill me just now...\Why is he...\The show starts now. response:	After them!
context: I can't get in the mood without an audience.\Fire.\Mysterious, isn't it?\Don't let them get away!\Even though he tried to kill me just now...\Why is he...\The show starts now.\After them! response:	A contractor?!
context: Fire.\Mysterious, isn't it?\Don't let them get away!\Even though he tried to kill me just now...\Why is he...\The show starts now.\After them!\A contractor?! response:	Are you a friend of that guy just now?
context: Mysterious, isn't it?\Don't let them get away!\Even though he tried to kill me just now...\Why is he...\The show starts now.\After them!\A contractor?!\Are you a friend of that guy just now? response:	Wrong!
context: Don't let them get away!\Even though he tried to kill me just now...\Why is he...\The show starts now.\After them!\A contractor?!\Are you a friend of that guy just now?\Wrong! response:	Take care of the rest, Youko-chan.
context: Even though he tried to kill me just now...\Why is he...\The show starts now.\After them!\A contractor?!\Are you a friend of that guy just now?\Wrong!\Take care of the rest, Youko-chan. response:	Let me down! Hey!
context: Why is he...\The show starts now.\After them!\A contractor?!\Are you a friend of that guy just now?\Wrong!\Take care of the rest, Youko-chan.\Let me down! Hey! response:	When they find out that I'm not Shion...
context: The show starts now.\After them!\A contractor?!\Are you a friend of that guy just now?\Wrong!\Take care of the rest, Youko-chan.\Let me down! Hey!\When they find out that I'm not Shion... response:	They'll kill you.
context: After them!\A contractor?!\Are you a friend of that guy just now?\Wrong!\Take care of the rest, Youko-chan.\Let me down! Hey!\When they find out that I'm not Shion...\They'll kill you. response:	This is the most rational decision in that situation.
context: A contractor?!\Are you a friend of that guy just now?\Wrong!\Take care of the rest, Youko-chan.\Let me down! Hey!\When they find out that I'm not Shion...\They'll kill you.\This is the most rational decision in that situation. response:	A cigarette cannot go through a coin.
context: Are you a friend of that guy just now?\Wrong!\Take care of the rest, Youko-chan.\Let me down! Hey!\When they find out that I'm not Shion...\They'll kill you.\This is the most rational decision in that situation.\A cigarette cannot go through a coin. response:	There's a hole in the coin.
