context: Beyond the seas of Kamogawa response:	Beyond the seas of Kamogawa
context: full of conviction\full of conviction\that we are misunderstood\The designated emergency evacuation location for this area\is Kamogawa Girls' High School!\Keep moving and make your way over there quickly!\There's broken glass inside the building.\Stay away from windows! response:	Get inside quickly!
context: full of conviction\that we are misunderstood\The designated emergency evacuation location for this area\is Kamogawa Girls' High School!\Keep moving and make your way over there quickly!\There's broken glass inside the building.\Stay away from windows!\Get inside quickly! response:	Ms. Machiko...
context: that we are misunderstood\The designated emergency evacuation location for this area\is Kamogawa Girls' High School!\Keep moving and make your way over there quickly!\There's broken glass inside the building.\Stay away from windows!\Get inside quickly!\Ms. Machiko... response:	Don't worry.
context: The designated emergency evacuation location for this area\is Kamogawa Girls' High School!\Keep moving and make your way over there quickly!\There's broken glass inside the building.\Stay away from windows!\Get inside quickly!\Ms. Machiko...\Don't worry. response:	Everything's going to be okay.
context: is Kamogawa Girls' High School!\Keep moving and make your way over there quickly!\There's broken glass inside the building.\Stay away from windows!\Get inside quickly!\Ms. Machiko...\Don't worry.\Everything's going to be okay. response:	Still no signs of Aura, Lympha or Ignis!
context: Keep moving and make your way over there quickly!\There's broken glass inside the building.\Stay away from windows!\Get inside quickly!\Ms. Machiko...\Don't worry.\Everything's going to be okay.\Still no signs of Aura, Lympha or Ignis! response:	We have no line with any of the pilots!
context: There's broken glass inside the building.\Stay away from windows!\Get inside quickly!\Ms. Machiko...\Don't worry.\Everything's going to be okay.\Still no signs of Aura, Lympha or Ignis!\We have no line with any of the pilots! response:	I don't care, keep trying to contact them!
context: Stay away from windows!\Get inside quickly!\Ms. Machiko...\Don't worry.\Everything's going to be okay.\Still no signs of Aura, Lympha or Ignis!\We have no line with any of the pilots!\I don't care, keep trying to contact them! response:	Don't overlook even the weakest signal!
context: Get inside quickly!\Ms. Machiko...\Don't worry.\Everything's going to be okay.\Still no signs of Aura, Lympha or Ignis!\We have no line with any of the pilots!\I don't care, keep trying to contact them!\Don't overlook even the weakest signal! response:	Pharos to Aura, Lympha, Ignis. Do you read?
context: Ms. Machiko...\Don't worry.\Everything's going to be okay.\Still no signs of Aura, Lympha or Ignis!\We have no line with any of the pilots!\I don't care, keep trying to contact them!\Don't overlook even the weakest signal!\Pharos to Aura, Lympha, Ignis. Do you read? response:	Respond, Madoka!
context: Don't worry.\Everything's going to be okay.\Still no signs of Aura, Lympha or Ignis!\We have no line with any of the pilots!\I don't care, keep trying to contact them!\Don't overlook even the weakest signal!\Pharos to Aura, Lympha, Ignis. Do you read?\Respond, Madoka! response:	Lan! Muginami! Can you hear me?!
context: Everything's going to be okay.\Still no signs of Aura, Lympha or Ignis!\We have no line with any of the pilots!\I don't care, keep trying to contact them!\Don't overlook even the weakest signal!\Pharos to Aura, Lympha, Ignis. Do you read?\Respond, Madoka!\Lan! Muginami! Can you hear me?! response:	Please respond!
context: Still no signs of Aura, Lympha or Ignis!\We have no line with any of the pilots!\I don't care, keep trying to contact them!\Don't overlook even the weakest signal!\Pharos to Aura, Lympha, Ignis. Do you read?\Respond, Madoka!\Lan! Muginami! Can you hear me?!\Please respond! response:	More regions are reporting abnormal phenomena!
context: We have no line with any of the pilots!\I don't care, keep trying to contact them!\Don't overlook even the weakest signal!\Pharos to Aura, Lympha, Ignis. Do you read?\Respond, Madoka!\Lan! Muginami! Can you hear me?!\Please respond!\More regions are reporting abnormal phenomena! response:	Asia! Oceania! Europe! And now we're getting reports
context: I don't care, keep trying to contact them!\Don't overlook even the weakest signal!\Pharos to Aura, Lympha, Ignis. Do you read?\Respond, Madoka!\Lan! Muginami! Can you hear me?!\Please respond!\More regions are reporting abnormal phenomena!\Asia! Oceania! Europe! And now we're getting reports response:	from Africa and North, Central, and South America, as well!
context: Don't overlook even the weakest signal!\Pharos to Aura, Lympha, Ignis. Do you read?\Respond, Madoka!\Lan! Muginami! Can you hear me?!\Please respond!\More regions are reporting abnormal phenomena!\Asia! Oceania! Europe! And now we're getting reports\from Africa and North, Central, and South America, as well! response:	This thing really is trying to swallow the entire Earth.
context: Pharos to Aura, Lympha, Ignis. Do you read?\Respond, Madoka!\Lan! Muginami! Can you hear me?!\Please respond!\More regions are reporting abnormal phenomena!\Asia! Oceania! Europe! And now we're getting reports\from Africa and North, Central, and South America, as well!\This thing really is trying to swallow the entire Earth. response:	Just like it did 20,000 years ago...
context: Respond, Madoka!\Lan! Muginami! Can you hear me?!\Please respond!\More regions are reporting abnormal phenomena!\Asia! Oceania! Europe! And now we're getting reports\from Africa and North, Central, and South America, as well!\This thing really is trying to swallow the entire Earth.\Just like it did 20,000 years ago... response:	What's going to happen?
context: Lan! Muginami! Can you hear me?!\Please respond!\More regions are reporting abnormal phenomena!\Asia! Oceania! Europe! And now we're getting reports\from Africa and North, Central, and South America, as well!\This thing really is trying to swallow the entire Earth.\Just like it did 20,000 years ago...\What's going to happen? response:	Many ancient ruins foretell the end of the world.
context: Please respond!\More regions are reporting abnormal phenomena!\Asia! Oceania! Europe! And now we're getting reports\from Africa and North, Central, and South America, as well!\This thing really is trying to swallow the entire Earth.\Just like it did 20,000 years ago...\What's going to happen?\Many ancient ruins foretell the end of the world. response:	Predictions of the world being consumed by fire,
context: More regions are reporting abnormal phenomena!\Asia! Oceania! Europe! And now we're getting reports\from Africa and North, Central, and South America, as well!\This thing really is trying to swallow the entire Earth.\Just like it did 20,000 years ago...\What's going to happen?\Many ancient ruins foretell the end of the world.\Predictions of the world being consumed by fire, response:	or the coming of an evil devil that preys on humans.
context: Asia! Oceania! Europe! And now we're getting reports\from Africa and North, Central, and South America, as well!\This thing really is trying to swallow the entire Earth.\Just like it did 20,000 years ago...\What's going to happen?\Many ancient ruins foretell the end of the world.\Predictions of the world being consumed by fire,\or the coming of an evil devil that preys on humans. response:	You mean?
context: from Africa and North, Central, and South America, as well!\This thing really is trying to swallow the entire Earth.\Just like it did 20,000 years ago...\What's going to happen?\Many ancient ruins foretell the end of the world.\Predictions of the world being consumed by fire,\or the coming of an evil devil that preys on humans.\You mean? response:	At any rate, we'll have our answer soon.
context: This thing really is trying to swallow the entire Earth.\Just like it did 20,000 years ago...\What's going to happen?\Many ancient ruins foretell the end of the world.\Predictions of the world being consumed by fire,\or the coming of an evil devil that preys on humans.\You mean?\At any rate, we'll have our answer soon. response:	This looks like the place where I met Yurikano before.
context: Just like it did 20,000 years ago...\What's going to happen?\Many ancient ruins foretell the end of the world.\Predictions of the world being consumed by fire,\or the coming of an evil devil that preys on humans.\You mean?\At any rate, we'll have our answer soon.\This looks like the place where I met Yurikano before. response:	But it's different.
context: What's going to happen?\Many ancient ruins foretell the end of the world.\Predictions of the world being consumed by fire,\or the coming of an evil devil that preys on humans.\You mean?\At any rate, we'll have our answer soon.\This looks like the place where I met Yurikano before.\But it's different. response:	It wasn't icy and cold like this.
context: Many ancient ruins foretell the end of the world.\Predictions of the world being consumed by fire,\or the coming of an evil devil that preys on humans.\You mean?\At any rate, we'll have our answer soon.\This looks like the place where I met Yurikano before.\But it's different.\It wasn't icy and cold like this. response:	It didn't feel this intense either.
context: Predictions of the world being consumed by fire,\or the coming of an evil devil that preys on humans.\You mean?\At any rate, we'll have our answer soon.\This looks like the place where I met Yurikano before.\But it's different.\It wasn't icy and cold like this.\It didn't feel this intense either. response:	I wonder if Lan and Muginami are here too?
context: or the coming of an evil devil that preys on humans.\You mean?\At any rate, we'll have our answer soon.\This looks like the place where I met Yurikano before.\But it's different.\It wasn't icy and cold like this.\It didn't feel this intense either.\I wonder if Lan and Muginami are here too? response:	Where could they be?
context: You mean?\At any rate, we'll have our answer soon.\This looks like the place where I met Yurikano before.\But it's different.\It wasn't icy and cold like this.\It didn't feel this intense either.\I wonder if Lan and Muginami are here too?\Where could they be? response:	Madoka! Where are you?
context: At any rate, we'll have our answer soon.\This looks like the place where I met Yurikano before.\But it's different.\It wasn't icy and cold like this.\It didn't feel this intense either.\I wonder if Lan and Muginami are here too?\Where could they be?\Madoka! Where are you? response:	Muginami! Can you hear me?
context: This looks like the place where I met Yurikano before.\But it's different.\It wasn't icy and cold like this.\It didn't feel this intense either.\I wonder if Lan and Muginami are here too?\Where could they be?\Madoka! Where are you?\Muginami! Can you hear me? response:	I can't even contact Pharos.
context: But it's different.\It wasn't icy and cold like this.\It didn't feel this intense either.\I wonder if Lan and Muginami are here too?\Where could they be?\Madoka! Where are you?\Muginami! Can you hear me?\I can't even contact Pharos. response:	Where am I?
context: It wasn't icy and cold like this.\It didn't feel this intense either.\I wonder if Lan and Muginami are here too?\Where could they be?\Madoka! Where are you?\Muginami! Can you hear me?\I can't even contact Pharos.\Where am I? response:	Madoka?
context: It didn't feel this intense either.\I wonder if Lan and Muginami are here too?\Where could they be?\Madoka! Where are you?\Muginami! Can you hear me?\I can't even contact Pharos.\Where am I?\Madoka? response:	Hey!
context: I wonder if Lan and Muginami are here too?\Where could they be?\Madoka! Where are you?\Muginami! Can you hear me?\I can't even contact Pharos.\Where am I?\Madoka?\Hey! response:	Can anyone hear me?!
context: Where could they be?\Madoka! Where are you?\Muginami! Can you hear me?\I can't even contact Pharos.\Where am I?\Madoka?\Hey!\Can anyone hear me?! response:	Lan!
context: Madoka! Where are you?\Muginami! Can you hear me?\I can't even contact Pharos.\Where am I?\Madoka?\Hey!\Can anyone hear me?!\Lan! response:	Muginami!
context: Muginami! Can you hear me?\I can't even contact Pharos.\Where am I?\Madoka?\Hey!\Can anyone hear me?!\Lan!\Muginami! response:	Oh, so you were here...
context: I can't even contact Pharos.\Where am I?\Madoka?\Hey!\Can anyone hear me?!\Lan!\Muginami!\Oh, so you were here... response:	Lan's brother!
context: Where am I?\Madoka?\Hey!\Can anyone hear me?!\Lan!\Muginami!\Oh, so you were here...\Lan's brother! response:	Hey! Why'd you do such a terrible thing to Big Brother Giuvi?
context: Madoka?\Hey!\Can anyone hear me?!\Lan!\Muginami!\Oh, so you were here...\Lan's brother!\Hey! Why'd you do such a terrible thing to Big Brother Giuvi? response:	No, not just him.
context: Hey!\Can anyone hear me?!\Lan!\Muginami!\Oh, so you were here...\Lan's brother!\Hey! Why'd you do such a terrible thing to Big Brother Giuvi?\No, not just him. response:	You betrayed all of us.
context: Can anyone hear me?!\Lan!\Muginami!\Oh, so you were here...\Lan's brother!\Hey! Why'd you do such a terrible thing to Big Brother Giuvi?\No, not just him.\You betrayed all of us. response:	Everyone who believed in you that day...
context: Lan!\Muginami!\Oh, so you were here...\Lan's brother!\Hey! Why'd you do such a terrible thing to Big Brother Giuvi?\No, not just him.\You betrayed all of us.\Everyone who believed in you that day... response:	Lan, Muginami, the people of the Polyhedron...
context: Muginami!\Oh, so you were here...\Lan's brother!\Hey! Why'd you do such a terrible thing to Big Brother Giuvi?\No, not just him.\You betrayed all of us.\Everyone who believed in you that day...\Lan, Muginami, the people of the Polyhedron... response:	Yurikano...
context: Oh, so you were here...\Lan's brother!\Hey! Why'd you do such a terrible thing to Big Brother Giuvi?\No, not just him.\You betrayed all of us.\Everyone who believed in you that day...\Lan, Muginami, the people of the Polyhedron...\Yurikano... response:	And me, too!
context: Lan's brother!\Hey! Why'd you do such a terrible thing to Big Brother Giuvi?\No, not just him.\You betrayed all of us.\Everyone who believed in you that day...\Lan, Muginami, the people of the Polyhedron...\Yurikano...\And me, too! response:	Say something!
context: Hey! Why'd you do such a terrible thing to Big Brother Giuvi?\No, not just him.\You betrayed all of us.\Everyone who believed in you that day...\Lan, Muginami, the people of the Polyhedron...\Yurikano...\And me, too!\Say something! response:	Midori!
context: No, not just him.\You betrayed all of us.\Everyone who believed in you that day...\Lan, Muginami, the people of the Polyhedron...\Yurikano...\And me, too!\Say something!\Midori! response:	I'm really mad now!
context: You betrayed all of us.\Everyone who believed in you that day...\Lan, Muginami, the people of the Polyhedron...\Yurikano...\And me, too!\Say something!\Midori!\I'm really mad now! response:	Tell me...
context: Everyone who believed in you that day...\Lan, Muginami, the people of the Polyhedron...\Yurikano...\And me, too!\Say something!\Midori!\I'm really mad now!\Tell me... response:	Why did things turn out like this?
context: Lan, Muginami, the people of the Polyhedron...\Yurikano...\And me, too!\Say something!\Midori!\I'm really mad now!\Tell me...\Why did things turn out like this? response:	Where did we go wrong?
context: Yurikano...\And me, too!\Say something!\Midori!\I'm really mad now!\Tell me...\Why did things turn out like this?\Where did we go wrong? response:	Stop that...
context: And me, too!\Say something!\Midori!\I'm really mad now!\Tell me...\Why did things turn out like this?\Where did we go wrong?\Stop that... response:	Let me sleep.
context: Say something!\Midori!\I'm really mad now!\Tell me...\Why did things turn out like this?\Where did we go wrong?\Stop that...\Let me sleep. response:	You made a vow to us!
context: Midori!\I'm really mad now!\Tell me...\Why did things turn out like this?\Where did we go wrong?\Stop that...\Let me sleep.\You made a vow to us! response:	You agreed to join hands with Big Brother Giuvi once more!
context: I'm really mad now!\Tell me...\Why did things turn out like this?\Where did we go wrong?\Stop that...\Let me sleep.\You made a vow to us!\You agreed to join hands with Big Brother Giuvi once more! response:	We were all happy when you said that, so why?
context: Tell me...\Why did things turn out like this?\Where did we go wrong?\Stop that...\Let me sleep.\You made a vow to us!\You agreed to join hands with Big Brother Giuvi once more!\We were all happy when you said that, so why? response:	Even if you are my brother...
context: Why did things turn out like this?\Where did we go wrong?\Stop that...\Let me sleep.\You made a vow to us!\You agreed to join hands with Big Brother Giuvi once more!\We were all happy when you said that, so why?\Even if you are my brother... response:	No, it's because you're my brother.
context: Where did we go wrong?\Stop that...\Let me sleep.\You made a vow to us!\You agreed to join hands with Big Brother Giuvi once more!\We were all happy when you said that, so why?\Even if you are my brother...\No, it's because you're my brother. response:	I must stop you... As your sister!
context: Stop that...\Let me sleep.\You made a vow to us!\You agreed to join hands with Big Brother Giuvi once more!\We were all happy when you said that, so why?\Even if you are my brother...\No, it's because you're my brother.\I must stop you... As your sister! response:	Anyone who hurts Lan, or makes Madoka suffer...
context: Let me sleep.\You made a vow to us!\You agreed to join hands with Big Brother Giuvi once more!\We were all happy when you said that, so why?\Even if you are my brother...\No, it's because you're my brother.\I must stop you... As your sister!\Anyone who hurts Lan, or makes Madoka suffer... response:	will answer to me!
context: You made a vow to us!\You agreed to join hands with Big Brother Giuvi once more!\We were all happy when you said that, so why?\Even if you are my brother...\No, it's because you're my brother.\I must stop you... As your sister!\Anyone who hurts Lan, or makes Madoka suffer...\will answer to me! response:	I won't forgive you.
context: You agreed to join hands with Big Brother Giuvi once more!\We were all happy when you said that, so why?\Even if you are my brother...\No, it's because you're my brother.\I must stop you... As your sister!\Anyone who hurts Lan, or makes Madoka suffer...\will answer to me!\I won't forgive you. response:	I'll never, ever, ever... forgive you!
context: We were all happy when you said that, so why?\Even if you are my brother...\No, it's because you're my brother.\I must stop you... As your sister!\Anyone who hurts Lan, or makes Madoka suffer...\will answer to me!\I won't forgive you.\I'll never, ever, ever... forgive you! response:	That perfect I gave you...
context: Even if you are my brother...\No, it's because you're my brother.\I must stop you... As your sister!\Anyone who hurts Lan, or makes Madoka suffer...\will answer to me!\I won't forgive you.\I'll never, ever, ever... forgive you!\That perfect I gave you... response:	I take it back now!
context: No, it's because you're my brother.\I must stop you... As your sister!\Anyone who hurts Lan, or makes Madoka suffer...\will answer to me!\I won't forgive you.\I'll never, ever, ever... forgive you!\That perfect I gave you...\I take it back now! response:	Captain! On the antenna tower!
context: I must stop you... As your sister!\Anyone who hurts Lan, or makes Madoka suffer...\will answer to me!\I won't forgive you.\I'll never, ever, ever... forgive you!\That perfect I gave you...\I take it back now!\Captain! On the antenna tower! response:	It's almost here...
context: Anyone who hurts Lan, or makes Madoka suffer...\will answer to me!\I won't forgive you.\I'll never, ever, ever... forgive you!\That perfect I gave you...\I take it back now!\Captain! On the antenna tower!\It's almost here... response:	I can feel it...
context: will answer to me!\I won't forgive you.\I'll never, ever, ever... forgive you!\That perfect I gave you...\I take it back now!\Captain! On the antenna tower!\It's almost here...\I can feel it... response:	the tingling...
context: I won't forgive you.\I'll never, ever, ever... forgive you!\That perfect I gave you...\I take it back now!\Captain! On the antenna tower!\It's almost here...\I can feel it...\the tingling... response:	Why?
context: I'll never, ever, ever... forgive you!\That perfect I gave you...\I take it back now!\Captain! On the antenna tower!\It's almost here...\I can feel it...\the tingling...\Why? response:	Why can't I beat him?!
context: That perfect I gave you...\I take it back now!\Captain! On the antenna tower!\It's almost here...\I can feel it...\the tingling...\Why?\Why can't I beat him?! response:	I don't deserve a perfect... if I can't beat him!
context: I take it back now!\Captain! On the antenna tower!\It's almost here...\I can feel it...\the tingling...\Why?\Why can't I beat him?!\I don't deserve a perfect... if I can't beat him! response:	W-What?!
context: Captain! On the antenna tower!\It's almost here...\I can feel it...\the tingling...\Why?\Why can't I beat him?!\I don't deserve a perfect... if I can't beat him!\W-What?! response:	Damn it! It's going to engulf us too!
context: It's almost here...\I can feel it...\the tingling...\Why?\Why can't I beat him?!\I don't deserve a perfect... if I can't beat him!\W-What?!\Damn it! It's going to engulf us too! response:	Move it!
context: I can feel it...\the tingling...\Why?\Why can't I beat him?!\I don't deserve a perfect... if I can't beat him!\W-What?!\Damn it! It's going to engulf us too!\Move it! response:	Array!
context: the tingling...\Why?\Why can't I beat him?!\I don't deserve a perfect... if I can't beat him!\W-What?!\Damn it! It's going to engulf us too!\Move it!\Array! response:	Come on!
context: Why?\Why can't I beat him?!\I don't deserve a perfect... if I can't beat him!\W-What?!\Damn it! It's going to engulf us too!\Move it!\Array!\Come on! response:	Is this the consequence of what you believed in?
context: Why can't I beat him?!\I don't deserve a perfect... if I can't beat him!\W-What?!\Damn it! It's going to engulf us too!\Move it!\Array!\Come on!\Is this the consequence of what you believed in? response:	Good.
context: I don't deserve a perfect... if I can't beat him!\W-What?!\Damn it! It's going to engulf us too!\Move it!\Array!\Come on!\Is this the consequence of what you believed in?\Good. response:	It's nice and tainted.
context: W-What?!\Damn it! It's going to engulf us too!\Move it!\Array!\Come on!\Is this the consequence of what you believed in?\Good.\It's nice and tainted. response:	We're almost there.
context: Damn it! It's going to engulf us too!\Move it!\Array!\Come on!\Is this the consequence of what you believed in?\Good.\It's nice and tainted.\We're almost there. response:	Say...
context: Move it!\Array!\Come on!\Is this the consequence of what you believed in?\Good.\It's nice and tainted.\We're almost there.\Say... response:	Tell me something.
context: Array!\Come on!\Is this the consequence of what you believed in?\Good.\It's nice and tainted.\We're almost there.\Say...\Tell me something. response:	Who are you?
context: Come on!\Is this the consequence of what you believed in?\Good.\It's nice and tainted.\We're almost there.\Say...\Tell me something.\Who are you? response:	On that day 20,000 years ago,
context: Is this the consequence of what you believed in?\Good.\It's nice and tainted.\We're almost there.\Say...\Tell me something.\Who are you?\On that day 20,000 years ago, response:	I watched you, just like I am doing right now.
context: Good.\It's nice and tainted.\We're almost there.\Say...\Tell me something.\Who are you?\On that day 20,000 years ago,\I watched you, just like I am doing right now. response:	Queen Maycun.
context: It's nice and tainted.\We're almost there.\Say...\Tell me something.\Who are you?\On that day 20,000 years ago,\I watched you, just like I am doing right now.\Queen Maycun. response:	I watched you go through everything.
context: We're almost there.\Say...\Tell me something.\Who are you?\On that day 20,000 years ago,\I watched you, just like I am doing right now.\Queen Maycun.\I watched you go through everything. response:	The history you shared with the Vox...
context: Say...\Tell me something.\Who are you?\On that day 20,000 years ago,\I watched you, just like I am doing right now.\Queen Maycun.\I watched you go through everything.\The history you shared with the Vox... response:	Queen Maycun did just as we had planned.
context: Tell me something.\Who are you?\On that day 20,000 years ago,\I watched you, just like I am doing right now.\Queen Maycun.\I watched you go through everything.\The history you shared with the Vox...\Queen Maycun did just as we had planned. response:	Yes. Now, all we need is for her to open the Rinne.
context: Who are you?\On that day 20,000 years ago,\I watched you, just like I am doing right now.\Queen Maycun.\I watched you go through everything.\The history you shared with the Vox...\Queen Maycun did just as we had planned.\Yes. Now, all we need is for her to open the Rinne. response:	How your most trusted and closest people betrayed you,
context: On that day 20,000 years ago,\I watched you, just like I am doing right now.\Queen Maycun.\I watched you go through everything.\The history you shared with the Vox...\Queen Maycun did just as we had planned.\Yes. Now, all we need is for her to open the Rinne.\How your most trusted and closest people betrayed you, response:	using you like a puppet...
context: I watched you, just like I am doing right now.\Queen Maycun.\I watched you go through everything.\The history you shared with the Vox...\Queen Maycun did just as we had planned.\Yes. Now, all we need is for her to open the Rinne.\How your most trusted and closest people betrayed you,\using you like a puppet... response:	Tormenting you to the deepest and farthest depths of your inner mind.
context: Queen Maycun.\I watched you go through everything.\The history you shared with the Vox...\Queen Maycun did just as we had planned.\Yes. Now, all we need is for her to open the Rinne.\How your most trusted and closest people betrayed you,\using you like a puppet...\Tormenting you to the deepest and farthest depths of your inner mind. response:	Why?
context: I watched you go through everything.\The history you shared with the Vox...\Queen Maycun did just as we had planned.\Yes. Now, all we need is for her to open the Rinne.\How your most trusted and closest people betrayed you,\using you like a puppet...\Tormenting you to the deepest and farthest depths of your inner mind.\Why? response:	Why?!
context: The history you shared with the Vox...\Queen Maycun did just as we had planned.\Yes. Now, all we need is for her to open the Rinne.\How your most trusted and closest people betrayed you,\using you like a puppet...\Tormenting you to the deepest and farthest depths of your inner mind.\Why?\Why?! response:	I witnessed everything, Queen Maycun.
context: Queen Maycun did just as we had planned.\Yes. Now, all we need is for her to open the Rinne.\How your most trusted and closest people betrayed you,\using you like a puppet...\Tormenting you to the deepest and farthest depths of your inner mind.\Why?\Why?!\I witnessed everything, Queen Maycun. response:	Good.
context: Yes. Now, all we need is for her to open the Rinne.\How your most trusted and closest people betrayed you,\using you like a puppet...\Tormenting you to the deepest and farthest depths of your inner mind.\Why?\Why?!\I witnessed everything, Queen Maycun.\Good. response:	Then you can answer my questions
context: How your most trusted and closest people betrayed you,\using you like a puppet...\Tormenting you to the deepest and farthest depths of your inner mind.\Why?\Why?!\I witnessed everything, Queen Maycun.\Good.\Then you can answer my questions response:	without holding anything back.
context: using you like a puppet...\Tormenting you to the deepest and farthest depths of your inner mind.\Why?\Why?!\I witnessed everything, Queen Maycun.\Good.\Then you can answer my questions\without holding anything back. response:	What did you do to Dizelmine?
context: Tormenting you to the deepest and farthest depths of your inner mind.\Why?\Why?!\I witnessed everything, Queen Maycun.\Good.\Then you can answer my questions\without holding anything back.\What did you do to Dizelmine? response:	Nothing.
context: Why?\Why?!\I witnessed everything, Queen Maycun.\Good.\Then you can answer my questions\without holding anything back.\What did you do to Dizelmine?\Nothing. response:	Although you could say that I helped him
context: Why?!\I witnessed everything, Queen Maycun.\Good.\Then you can answer my questions\without holding anything back.\What did you do to Dizelmine?\Nothing.\Although you could say that I helped him response:	realize his true feelings.
context: I witnessed everything, Queen Maycun.\Good.\Then you can answer my questions\without holding anything back.\What did you do to Dizelmine?\Nothing.\Although you could say that I helped him\realize his true feelings. response:	True feelings?
context: Good.\Then you can answer my questions\without holding anything back.\What did you do to Dizelmine?\Nothing.\Although you could say that I helped him\realize his true feelings.\True feelings? response:	He finally realized the hatred he felt towards Villagiulio.
context: Then you can answer my questions\without holding anything back.\What did you do to Dizelmine?\Nothing.\Although you could say that I helped him\realize his true feelings.\True feelings?\He finally realized the hatred he felt towards Villagiulio. response:	So you made him open the Rinne.
context: without holding anything back.\What did you do to Dizelmine?\Nothing.\Although you could say that I helped him\realize his true feelings.\True feelings?\He finally realized the hatred he felt towards Villagiulio.\So you made him open the Rinne. response:	And?
context: What did you do to Dizelmine?\Nothing.\Although you could say that I helped him\realize his true feelings.\True feelings?\He finally realized the hatred he felt towards Villagiulio.\So you made him open the Rinne.\And? response:	What is it that you seek?
context: Nothing.\Although you could say that I helped him\realize his true feelings.\True feelings?\He finally realized the hatred he felt towards Villagiulio.\So you made him open the Rinne.\And?\What is it that you seek? response:	This whole world is about to be swallowed into nothingness again.
context: Although you could say that I helped him\realize his true feelings.\True feelings?\He finally realized the hatred he felt towards Villagiulio.\So you made him open the Rinne.\And?\What is it that you seek?\This whole world is about to be swallowed into nothingness again. response:	What will this madness bring you?!
context: realize his true feelings.\True feelings?\He finally realized the hatred he felt towards Villagiulio.\So you made him open the Rinne.\And?\What is it that you seek?\This whole world is about to be swallowed into nothingness again.\What will this madness bring you?! response:	Do you not wish to hear it?
context: True feelings?\He finally realized the hatred he felt towards Villagiulio.\So you made him open the Rinne.\And?\What is it that you seek?\This whole world is about to be swallowed into nothingness again.\What will this madness bring you?!\Do you not wish to hear it? response:	To hear its voice?
context: He finally realized the hatred he felt towards Villagiulio.\So you made him open the Rinne.\And?\What is it that you seek?\This whole world is about to be swallowed into nothingness again.\What will this madness bring you?!\Do you not wish to hear it?\To hear its voice? response:	The Rinne is a place where people's hearts connect.
context: So you made him open the Rinne.\And?\What is it that you seek?\This whole world is about to be swallowed into nothingness again.\What will this madness bring you?!\Do you not wish to hear it?\To hear its voice?\The Rinne is a place where people's hearts connect. response:	The Vox acts as an interface between those two worlds,
context: And?\What is it that you seek?\This whole world is about to be swallowed into nothingness again.\What will this madness bring you?!\Do you not wish to hear it?\To hear its voice?\The Rinne is a place where people's hearts connect.\The Vox acts as an interface between those two worlds, response:	like a bridge guard.
context: What is it that you seek?\This whole world is about to be swallowed into nothingness again.\What will this madness bring you?!\Do you not wish to hear it?\To hear its voice?\The Rinne is a place where people's hearts connect.\The Vox acts as an interface between those two worlds,\like a bridge guard. response:	It grants passage to those it has deemed worthy
context: This whole world is about to be swallowed into nothingness again.\What will this madness bring you?!\Do you not wish to hear it?\To hear its voice?\The Rinne is a place where people's hearts connect.\The Vox acts as an interface between those two worlds,\like a bridge guard.\It grants passage to those it has deemed worthy response:	by bestowing them the Memoria.
context: What will this madness bring you?!\Do you not wish to hear it?\To hear its voice?\The Rinne is a place where people's hearts connect.\The Vox acts as an interface between those two worlds,\like a bridge guard.\It grants passage to those it has deemed worthy\by bestowing them the Memoria. response:	I then realized, the stronger the bond
context: Do you not wish to hear it?\To hear its voice?\The Rinne is a place where people's hearts connect.\The Vox acts as an interface between those two worlds,\like a bridge guard.\It grants passage to those it has deemed worthy\by bestowing them the Memoria.\I then realized, the stronger the bond response:	between those who've achieved Memoria and their Vox,
context: To hear its voice?\The Rinne is a place where people's hearts connect.\The Vox acts as an interface between those two worlds,\like a bridge guard.\It grants passage to those it has deemed worthy\by bestowing them the Memoria.\I then realized, the stronger the bond\between those who've achieved Memoria and their Vox, response:	the more that person's will is converted into the power of the Rinne.
context: The Rinne is a place where people's hearts connect.\The Vox acts as an interface between those two worlds,\like a bridge guard.\It grants passage to those it has deemed worthy\by bestowing them the Memoria.\I then realized, the stronger the bond\between those who've achieved Memoria and their Vox,\the more that person's will is converted into the power of the Rinne. response:	And that's when I felt it...
context: The Vox acts as an interface between those two worlds,\like a bridge guard.\It grants passage to those it has deemed worthy\by bestowing them the Memoria.\I then realized, the stronger the bond\between those who've achieved Memoria and their Vox,\the more that person's will is converted into the power of the Rinne.\And that's when I felt it... response:	The will of a greater presence!
context: like a bridge guard.\It grants passage to those it has deemed worthy\by bestowing them the Memoria.\I then realized, the stronger the bond\between those who've achieved Memoria and their Vox,\the more that person's will is converted into the power of the Rinne.\And that's when I felt it...\The will of a greater presence! response:	In the past, in an attempt to hear that voice,
context: It grants passage to those it has deemed worthy\by bestowing them the Memoria.\I then realized, the stronger the bond\between those who've achieved Memoria and their Vox,\the more that person's will is converted into the power of the Rinne.\And that's when I felt it...\The will of a greater presence!\In the past, in an attempt to hear that voice, response:	I tried giving myself to the Vox.
context: by bestowing them the Memoria.\I then realized, the stronger the bond\between those who've achieved Memoria and their Vox,\the more that person's will is converted into the power of the Rinne.\And that's when I felt it...\The will of a greater presence!\In the past, in an attempt to hear that voice,\I tried giving myself to the Vox. response:	But my soul was not deemed worthy of the Memoria.
