context: Operation: Infiltrate a Planetoid Base response:	They're fast! I can't process their data quick enough!
context: In fact, they're funny.\You want me to stop?\But they're still cool!\And they saved our hides!\They're totally the hero type!\I'll really let you have it next time!\I swear, you never change!\Neither do you! response:	Excuse me! Thank you for saving me the other day.
context: You want me to stop?\But they're still cool!\And they saved our hides!\They're totally the hero type!\I'll really let you have it next time!\I swear, you never change!\Neither do you!\Excuse me! Thank you for saving me the other day. response:	Uh, aren't you Red 5's pilot...?
context: But they're still cool!\And they saved our hides!\They're totally the hero type!\I'll really let you have it next time!\I swear, you never change!\Neither do you!\Excuse me! Thank you for saving me the other day.\Uh, aren't you Red 5's pilot...? response:	I'm Izuru Hitachi.
context: And they saved our hides!\They're totally the hero type!\I'll really let you have it next time!\I swear, you never change!\Neither do you!\Excuse me! Thank you for saving me the other day.\Uh, aren't you Red 5's pilot...?\I'm Izuru Hitachi. response:	It feels like ages since I was here last.
context: They're totally the hero type!\I'll really let you have it next time!\I swear, you never change!\Neither do you!\Excuse me! Thank you for saving me the other day.\Uh, aren't you Red 5's pilot...?\I'm Izuru Hitachi.\It feels like ages since I was here last. response:	You've got it rough, huh?
context: I'll really let you have it next time!\I swear, you never change!\Neither do you!\Excuse me! Thank you for saving me the other day.\Uh, aren't you Red 5's pilot...?\I'm Izuru Hitachi.\It feels like ages since I was here last.\You've got it rough, huh? response:	They're sending you out hunting when you're still just a student.
context: I swear, you never change!\Neither do you!\Excuse me! Thank you for saving me the other day.\Uh, aren't you Red 5's pilot...?\I'm Izuru Hitachi.\It feels like ages since I was here last.\You've got it rough, huh?\They're sending you out hunting when you're still just a student. response:	People are gonna say what they're gonna say; don't worry'bout it.
context: Neither do you!\Excuse me! Thank you for saving me the other day.\Uh, aren't you Red 5's pilot...?\I'm Izuru Hitachi.\It feels like ages since I was here last.\You've got it rough, huh?\They're sending you out hunting when you're still just a student.\People are gonna say what they're gonna say; don't worry'bout it. response:	But I do!
context: Excuse me! Thank you for saving me the other day.\Uh, aren't you Red 5's pilot...?\I'm Izuru Hitachi.\It feels like ages since I was here last.\You've got it rough, huh?\They're sending you out hunting when you're still just a student.\People are gonna say what they're gonna say; don't worry'bout it.\But I do! response:	Whenever I get sent to battle, I wonder if I'm doing enough.
context: Uh, aren't you Red 5's pilot...?\I'm Izuru Hitachi.\It feels like ages since I was here last.\You've got it rough, huh?\They're sending you out hunting when you're still just a student.\People are gonna say what they're gonna say; don't worry'bout it.\But I do!\Whenever I get sent to battle, I wonder if I'm doing enough. response:	You've survived this far! Isn't that good enough?
context: I'm Izuru Hitachi.\It feels like ages since I was here last.\You've got it rough, huh?\They're sending you out hunting when you're still just a student.\People are gonna say what they're gonna say; don't worry'bout it.\But I do!\Whenever I get sent to battle, I wonder if I'm doing enough.\You've survived this far! Isn't that good enough? response:	But I want to become a hero!
context: It feels like ages since I was here last.\You've got it rough, huh?\They're sending you out hunting when you're still just a student.\People are gonna say what they're gonna say; don't worry'bout it.\But I do!\Whenever I get sent to battle, I wonder if I'm doing enough.\You've survived this far! Isn't that good enough?\But I want to become a hero! response:	A hero?
context: You've got it rough, huh?\They're sending you out hunting when you're still just a student.\People are gonna say what they're gonna say; don't worry'bout it.\But I do!\Whenever I get sent to battle, I wonder if I'm doing enough.\You've survived this far! Isn't that good enough?\But I want to become a hero!\A hero? response:	So? Why do you want to be a hero of all things?
context: They're sending you out hunting when you're still just a student.\People are gonna say what they're gonna say; don't worry'bout it.\But I do!\Whenever I get sent to battle, I wonder if I'm doing enough.\You've survived this far! Isn't that good enough?\But I want to become a hero!\A hero?\So? Why do you want to be a hero of all things? response:	Because I think they're great!
context: People are gonna say what they're gonna say; don't worry'bout it.\But I do!\Whenever I get sent to battle, I wonder if I'm doing enough.\You've survived this far! Isn't that good enough?\But I want to become a hero!\A hero?\So? Why do you want to be a hero of all things?\Because I think they're great! response:	I-I see...
context: But I do!\Whenever I get sent to battle, I wonder if I'm doing enough.\You've survived this far! Isn't that good enough?\But I want to become a hero!\A hero?\So? Why do you want to be a hero of all things?\Because I think they're great!\I-I see... response:	All right.
context: Whenever I get sent to battle, I wonder if I'm doing enough.\You've survived this far! Isn't that good enough?\But I want to become a hero!\A hero?\So? Why do you want to be a hero of all things?\Because I think they're great!\I-I see...\All right. response:	I'll tell you what it takes to be a hero. You must be...
context: You've survived this far! Isn't that good enough?\But I want to become a hero!\A hero?\So? Why do you want to be a hero of all things?\Because I think they're great!\I-I see...\All right.\I'll tell you what it takes to be a hero. You must be... response:	Good looking?
context: But I want to become a hero!\A hero?\So? Why do you want to be a hero of all things?\Because I think they're great!\I-I see...\All right.\I'll tell you what it takes to be a hero. You must be...\Good looking? response:	Right, it's all about the looks!
context: A hero?\So? Why do you want to be a hero of all things?\Because I think they're great!\I-I see...\All right.\I'll tell you what it takes to be a hero. You must be...\Good looking?\Right, it's all about the looks! response:	To be a hero, you gotta be the best looking
context: So? Why do you want to be a hero of all things?\Because I think they're great!\I-I see...\All right.\I'll tell you what it takes to be a hero. You must be...\Good looking?\Right, it's all about the looks!\To be a hero, you gotta be the best looking response:	member in your group and get all of the girls.
context: Because I think they're great!\I-I see...\All right.\I'll tell you what it takes to be a hero. You must be...\Good looking?\Right, it's all about the looks!\To be a hero, you gotta be the best looking\member in your group and get all of the girls. response:	Aren't I a prime example?
context: I-I see...\All right.\I'll tell you what it takes to be a hero. You must be...\Good looking?\Right, it's all about the looks!\To be a hero, you gotta be the best looking\member in your group and get all of the girls.\Aren't I a prime example? response:	Y-yeah...
context: All right.\I'll tell you what it takes to be a hero. You must be...\Good looking?\Right, it's all about the looks!\To be a hero, you gotta be the best looking\member in your group and get all of the girls.\Aren't I a prime example?\Y-yeah... response:	For the record, you...
context: I'll tell you what it takes to be a hero. You must be...\Good looking?\Right, it's all about the looks!\To be a hero, you gotta be the best looking\member in your group and get all of the girls.\Aren't I a prime example?\Y-yeah...\For the record, you... response:	Yeah, you aren't as handsome as me, but you're plenty good looking!
context: Good looking?\Right, it's all about the looks!\To be a hero, you gotta be the best looking\member in your group and get all of the girls.\Aren't I a prime example?\Y-yeah...\For the record, you...\Yeah, you aren't as handsome as me, but you're plenty good looking! response:	Don't worry, you'll become an amazing hero.
context: Right, it's all about the looks!\To be a hero, you gotta be the best looking\member in your group and get all of the girls.\Aren't I a prime example?\Y-yeah...\For the record, you...\Yeah, you aren't as handsome as me, but you're plenty good looking!\Don't worry, you'll become an amazing hero. response:	I guarantee it!
context: To be a hero, you gotta be the best looking\member in your group and get all of the girls.\Aren't I a prime example?\Y-yeah...\For the record, you...\Yeah, you aren't as handsome as me, but you're plenty good looking!\Don't worry, you'll become an amazing hero.\I guarantee it! response:	Is-is that right...?
context: member in your group and get all of the girls.\Aren't I a prime example?\Y-yeah...\For the record, you...\Yeah, you aren't as handsome as me, but you're plenty good looking!\Don't worry, you'll become an amazing hero.\I guarantee it!\Is-is that right...? response:	Let's see, what else is there...?
context: Aren't I a prime example?\Y-yeah...\For the record, you...\Yeah, you aren't as handsome as me, but you're plenty good looking!\Don't worry, you'll become an amazing hero.\I guarantee it!\Is-is that right...?\Let's see, what else is there...? response:	Making decisions, never giving up and believing in your comrades.
context: Y-yeah...\For the record, you...\Yeah, you aren't as handsome as me, but you're plenty good looking!\Don't worry, you'll become an amazing hero.\I guarantee it!\Is-is that right...?\Let's see, what else is there...?\Making decisions, never giving up and believing in your comrades. response:	Do you trust them... your friends?
context: For the record, you...\Yeah, you aren't as handsome as me, but you're plenty good looking!\Don't worry, you'll become an amazing hero.\I guarantee it!\Is-is that right...?\Let's see, what else is there...?\Making decisions, never giving up and believing in your comrades.\Do you trust them... your friends? response:	I watched the footage from all of Team Rabbits' battles so far.
context: Yeah, you aren't as handsome as me, but you're plenty good looking!\Don't worry, you'll become an amazing hero.\I guarantee it!\Is-is that right...?\Let's see, what else is there...?\Making decisions, never giving up and believing in your comrades.\Do you trust them... your friends?\I watched the footage from all of Team Rabbits' battles so far. response:	You try to do everything yourself while
context: Don't worry, you'll become an amazing hero.\I guarantee it!\Is-is that right...?\Let's see, what else is there...?\Making decisions, never giving up and believing in your comrades.\Do you trust them... your friends?\I watched the footage from all of Team Rabbits' battles so far.\You try to do everything yourself while response:	desperately fighting to protect your friends.
context: I guarantee it!\Is-is that right...?\Let's see, what else is there...?\Making decisions, never giving up and believing in your comrades.\Do you trust them... your friends?\I watched the footage from all of Team Rabbits' battles so far.\You try to do everything yourself while\desperately fighting to protect your friends. response:	You can't keep a team together if you don't believe in your men!
context: Is-is that right...?\Let's see, what else is there...?\Making decisions, never giving up and believing in your comrades.\Do you trust them... your friends?\I watched the footage from all of Team Rabbits' battles so far.\You try to do everything yourself while\desperately fighting to protect your friends.\You can't keep a team together if you don't believe in your men! response:	Now putting that aside!
context: Let's see, what else is there...?\Making decisions, never giving up and believing in your comrades.\Do you trust them... your friends?\I watched the footage from all of Team Rabbits' battles so far.\You try to do everything yourself while\desperately fighting to protect your friends.\You can't keep a team together if you don't believe in your men!\Now putting that aside! response:	The pilots for Unit 2 and Unit 3...
context: Making decisions, never giving up and believing in your comrades.\Do you trust them... your friends?\I watched the footage from all of Team Rabbits' battles so far.\You try to do everything yourself while\desperately fighting to protect your friends.\You can't keep a team together if you don't believe in your men!\Now putting that aside!\The pilots for Unit 2 and Unit 3... response:	Which do you have your sights set on?
context: Do you trust them... your friends?\I watched the footage from all of Team Rabbits' battles so far.\You try to do everything yourself while\desperately fighting to protect your friends.\You can't keep a team together if you don't believe in your men!\Now putting that aside!\The pilots for Unit 2 and Unit 3...\Which do you have your sights set on? response:	Pardon?
context: I watched the footage from all of Team Rabbits' battles so far.\You try to do everything yourself while\desperately fighting to protect your friends.\You can't keep a team together if you don't believe in your men!\Now putting that aside!\The pilots for Unit 2 and Unit 3...\Which do you have your sights set on?\Pardon? response:	Aren't they both adorable? Which is your type?
context: You try to do everything yourself while\desperately fighting to protect your friends.\You can't keep a team together if you don't believe in your men!\Now putting that aside!\The pilots for Unit 2 and Unit 3...\Which do you have your sights set on?\Pardon?\Aren't they both adorable? Which is your type? response:	Or are you already dating one of them?!
context: desperately fighting to protect your friends.\You can't keep a team together if you don't believe in your men!\Now putting that aside!\The pilots for Unit 2 and Unit 3...\Which do you have your sights set on?\Pardon?\Aren't they both adorable? Which is your type?\Or are you already dating one of them?! response:	I-I couldn't possibly!
context: You can't keep a team together if you don't believe in your men!\Now putting that aside!\The pilots for Unit 2 and Unit 3...\Which do you have your sights set on?\Pardon?\Aren't they both adorable? Which is your type?\Or are you already dating one of them?!\I-I couldn't possibly! response:	We're a team, so that sort of stuff is taboo!
context: Now putting that aside!\The pilots for Unit 2 and Unit 3...\Which do you have your sights set on?\Pardon?\Aren't they both adorable? Which is your type?\Or are you already dating one of them?!\I-I couldn't possibly!\We're a team, so that sort of stuff is taboo! response:	What?!
context: The pilots for Unit 2 and Unit 3...\Which do you have your sights set on?\Pardon?\Aren't they both adorable? Which is your type?\Or are you already dating one of them?!\I-I couldn't possibly!\We're a team, so that sort of stuff is taboo!\What?! response:	I can't believe my ears! Just how old are you guys?
context: Which do you have your sights set on?\Pardon?\Aren't they both adorable? Which is your type?\Or are you already dating one of them?!\I-I couldn't possibly!\We're a team, so that sort of stuff is taboo!\What?!\I can't believe my ears! Just how old are you guys? response:	Kei, Suruga and I are 16. Asagi is 17. Tamaki is 15.
context: Pardon?\Aren't they both adorable? Which is your type?\Or are you already dating one of them?!\I-I couldn't possibly!\We're a team, so that sort of stuff is taboo!\What?!\I can't believe my ears! Just how old are you guys?\Kei, Suruga and I are 16. Asagi is 17. Tamaki is 15. response:	These are the best days of your life!
context: Aren't they both adorable? Which is your type?\Or are you already dating one of them?!\I-I couldn't possibly!\We're a team, so that sort of stuff is taboo!\What?!\I can't believe my ears! Just how old are you guys?\Kei, Suruga and I are 16. Asagi is 17. Tamaki is 15.\These are the best days of your life! response:	You gotta fall in love, squabble and then break up!
context: Or are you already dating one of them?!\I-I couldn't possibly!\We're a team, so that sort of stuff is taboo!\What?!\I can't believe my ears! Just how old are you guys?\Kei, Suruga and I are 16. Asagi is 17. Tamaki is 15.\These are the best days of your life!\You gotta fall in love, squabble and then break up! response:	I really can't do that!
context: I-I couldn't possibly!\We're a team, so that sort of stuff is taboo!\What?!\I can't believe my ears! Just how old are you guys?\Kei, Suruga and I are 16. Asagi is 17. Tamaki is 15.\These are the best days of your life!\You gotta fall in love, squabble and then break up!\I really can't do that! response:	I know! Swap teams with me.
context: We're a team, so that sort of stuff is taboo!\What?!\I can't believe my ears! Just how old are you guys?\Kei, Suruga and I are 16. Asagi is 17. Tamaki is 15.\These are the best days of your life!\You gotta fall in love, squabble and then break up!\I really can't do that!\I know! Swap teams with me. response:	As of today, you're Team Doberman's leader; I'm taking Rabbits.
context: What?!\I can't believe my ears! Just how old are you guys?\Kei, Suruga and I are 16. Asagi is 17. Tamaki is 15.\These are the best days of your life!\You gotta fall in love, squabble and then break up!\I really can't do that!\I know! Swap teams with me.\As of today, you're Team Doberman's leader; I'm taking Rabbits. response:	What?!
context: I can't believe my ears! Just how old are you guys?\Kei, Suruga and I are 16. Asagi is 17. Tamaki is 15.\These are the best days of your life!\You gotta fall in love, squabble and then break up!\I really can't do that!\I know! Swap teams with me.\As of today, you're Team Doberman's leader; I'm taking Rabbits.\What?! response:	Of course, I'm just pulling your leg.
context: Kei, Suruga and I are 16. Asagi is 17. Tamaki is 15.\These are the best days of your life!\You gotta fall in love, squabble and then break up!\I really can't do that!\I know! Swap teams with me.\As of today, you're Team Doberman's leader; I'm taking Rabbits.\What?!\Of course, I'm just pulling your leg. response:	Your eyes looked kinda serious...
context: These are the best days of your life!\You gotta fall in love, squabble and then break up!\I really can't do that!\I know! Swap teams with me.\As of today, you're Team Doberman's leader; I'm taking Rabbits.\What?!\Of course, I'm just pulling your leg.\Your eyes looked kinda serious... response:	Listen.
context: You gotta fall in love, squabble and then break up!\I really can't do that!\I know! Swap teams with me.\As of today, you're Team Doberman's leader; I'm taking Rabbits.\What?!\Of course, I'm just pulling your leg.\Your eyes looked kinda serious...\Listen. response:	In our line of work, you never know when you're gonna die.
context: I really can't do that!\I know! Swap teams with me.\As of today, you're Team Doberman's leader; I'm taking Rabbits.\What?!\Of course, I'm just pulling your leg.\Your eyes looked kinda serious...\Listen.\In our line of work, you never know when you're gonna die. response:	Wouldn't you like someone to remember
context: I know! Swap teams with me.\As of today, you're Team Doberman's leader; I'm taking Rabbits.\What?!\Of course, I'm just pulling your leg.\Your eyes looked kinda serious...\Listen.\In our line of work, you never know when you're gonna die.\Wouldn't you like someone to remember response:	who you were after you're gone?
context: As of today, you're Team Doberman's leader; I'm taking Rabbits.\What?!\Of course, I'm just pulling your leg.\Your eyes looked kinda serious...\Listen.\In our line of work, you never know when you're gonna die.\Wouldn't you like someone to remember\who you were after you're gone? response:	Interact with as many people as you possibly can.
context: What?!\Of course, I'm just pulling your leg.\Your eyes looked kinda serious...\Listen.\In our line of work, you never know when you're gonna die.\Wouldn't you like someone to remember\who you were after you're gone?\Interact with as many people as you possibly can. response:	And make sure you remember each person you meet along the way.
context: Of course, I'm just pulling your leg.\Your eyes looked kinda serious...\Listen.\In our line of work, you never know when you're gonna die.\Wouldn't you like someone to remember\who you were after you're gone?\Interact with as many people as you possibly can.\And make sure you remember each person you meet along the way. response:	You can borrow this.
context: Your eyes looked kinda serious...\Listen.\In our line of work, you never know when you're gonna die.\Wouldn't you like someone to remember\who you were after you're gone?\Interact with as many people as you possibly can.\And make sure you remember each person you meet along the way.\You can borrow this. response:	Study this with the pilots for Unit 1 and Unit 4.
context: Listen.\In our line of work, you never know when you're gonna die.\Wouldn't you like someone to remember\who you were after you're gone?\Interact with as many people as you possibly can.\And make sure you remember each person you meet along the way.\You can borrow this.\Study this with the pilots for Unit 1 and Unit 4. response:	Does it contain footage from our battles?
context: In our line of work, you never know when you're gonna die.\Wouldn't you like someone to remember\who you were after you're gone?\Interact with as many people as you possibly can.\And make sure you remember each person you meet along the way.\You can borrow this.\Study this with the pilots for Unit 1 and Unit 4.\Does it contain footage from our battles? response:	Close enough.
context: Wouldn't you like someone to remember\who you were after you're gone?\Interact with as many people as you possibly can.\And make sure you remember each person you meet along the way.\You can borrow this.\Study this with the pilots for Unit 1 and Unit 4.\Does it contain footage from our battles?\Close enough. response:	Watch this and put your best foot forward!
context: who you were after you're gone?\Interact with as many people as you possibly can.\And make sure you remember each person you meet along the way.\You can borrow this.\Study this with the pilots for Unit 1 and Unit 4.\Does it contain footage from our battles?\Close enough.\Watch this and put your best foot forward! response:	I will!
context: Interact with as many people as you possibly can.\And make sure you remember each person you meet along the way.\You can borrow this.\Study this with the pilots for Unit 1 and Unit 4.\Does it contain footage from our battles?\Close enough.\Watch this and put your best foot forward!\I will! response:	Let's watch this together!
context: And make sure you remember each person you meet along the way.\You can borrow this.\Study this with the pilots for Unit 1 and Unit 4.\Does it contain footage from our battles?\Close enough.\Watch this and put your best foot forward!\I will!\Let's watch this together! response:	What is it? Does it contain video records?
context: You can borrow this.\Study this with the pilots for Unit 1 and Unit 4.\Does it contain footage from our battles?\Close enough.\Watch this and put your best foot forward!\I will!\Let's watch this together!\What is it? Does it contain video records? response:	Yep! He said to only watch it with Asagi and Suruga,
context: Study this with the pilots for Unit 1 and Unit 4.\Does it contain footage from our battles?\Close enough.\Watch this and put your best foot forward!\I will!\Let's watch this together!\What is it? Does it contain video records?\Yep! He said to only watch it with Asagi and Suruga, response:	but I figured we could all watch it together!
context: Does it contain footage from our battles?\Close enough.\Watch this and put your best foot forward!\I will!\Let's watch this together!\What is it? Does it contain video records?\Yep! He said to only watch it with Asagi and Suruga,\but I figured we could all watch it together! response:	What is this...?
context: Close enough.\Watch this and put your best foot forward!\I will!\Let's watch this together!\What is it? Does it contain video records?\Yep! He said to only watch it with Asagi and Suruga,\but I figured we could all watch it together!\What is this...? response:	That hurt...!
context: Watch this and put your best foot forward!\I will!\Let's watch this together!\What is it? Does it contain video records?\Yep! He said to only watch it with Asagi and Suruga,\but I figured we could all watch it together!\What is this...?\That hurt...! response:	What the hell are you thinking?!
context: I will!\Let's watch this together!\What is it? Does it contain video records?\Yep! He said to only watch it with Asagi and Suruga,\but I figured we could all watch it together!\What is this...?\That hurt...!\What the hell are you thinking?! response:	Well, this isn't exactly what I was expecting...
context: Let's watch this together!\What is it? Does it contain video records?\Yep! He said to only watch it with Asagi and Suruga,\but I figured we could all watch it together!\What is this...?\That hurt...!\What the hell are you thinking?!\Well, this isn't exactly what I was expecting... response:	Pro wrestling?
context: What is it? Does it contain video records?\Yep! He said to only watch it with Asagi and Suruga,\but I figured we could all watch it together!\What is this...?\That hurt...!\What the hell are you thinking?!\Well, this isn't exactly what I was expecting...\Pro wrestling? response:	Wh-what? What? Wh-what's the big deal?!
context: Yep! He said to only watch it with Asagi and Suruga,\but I figured we could all watch it together!\What is this...?\That hurt...!\What the hell are you thinking?!\Well, this isn't exactly what I was expecting...\Pro wrestling?\Wh-what? What? Wh-what's the big deal?! response:	This is a bit much for me...
context: but I figured we could all watch it together!\What is this...?\That hurt...!\What the hell are you thinking?!\Well, this isn't exactly what I was expecting...\Pro wrestling?\Wh-what? What? Wh-what's the big deal?!\This is a bit much for me... response:	Why are you freaking out when you're the one constantly flirting with the ladies?
context: What is this...?\That hurt...!\What the hell are you thinking?!\Well, this isn't exactly what I was expecting...\Pro wrestling?\Wh-what? What? Wh-what's the big deal?!\This is a bit much for me...\Why are you freaking out when you're the one constantly flirting with the ladies? response:	B-but this is on a totally different level...
context: That hurt...!\What the hell are you thinking?!\Well, this isn't exactly what I was expecting...\Pro wrestling?\Wh-what? What? Wh-what's the big deal?!\This is a bit much for me...\Why are you freaking out when you're the one constantly flirting with the ladies?\B-but this is on a totally different level... response:	I'm gonna pass!
context: What the hell are you thinking?!\Well, this isn't exactly what I was expecting...\Pro wrestling?\Wh-what? What? Wh-what's the big deal?!\This is a bit much for me...\Why are you freaking out when you're the one constantly flirting with the ladies?\B-but this is on a totally different level...\I'm gonna pass! response:	Damn it! If we get caught, reports will be the least of our worries.
context: Well, this isn't exactly what I was expecting...\Pro wrestling?\Wh-what? What? Wh-what's the big deal?!\This is a bit much for me...\Why are you freaking out when you're the one constantly flirting with the ladies?\B-but this is on a totally different level...\I'm gonna pass!\Damn it! If we get caught, reports will be the least of our worries. response:	But I didn't mean-
context: Pro wrestling?\Wh-what? What? Wh-what's the big deal?!\This is a bit much for me...\Why are you freaking out when you're the one constantly flirting with the ladies?\B-but this is on a totally different level...\I'm gonna pass!\Damn it! If we get caught, reports will be the least of our worries.\But I didn't mean- response:	Enough! This is truly ridiculous.
context: Wh-what? What? Wh-what's the big deal?!\This is a bit much for me...\Why are you freaking out when you're the one constantly flirting with the ladies?\B-but this is on a totally different level...\I'm gonna pass!\Damn it! If we get caught, reports will be the least of our worries.\But I didn't mean-\Enough! This is truly ridiculous. response:	I just realized something important.
context: This is a bit much for me...\Why are you freaking out when you're the one constantly flirting with the ladies?\B-but this is on a totally different level...\I'm gonna pass!\Damn it! If we get caught, reports will be the least of our worries.\But I didn't mean-\Enough! This is truly ridiculous.\I just realized something important. response:	What is it?
context: Why are you freaking out when you're the one constantly flirting with the ladies?\B-but this is on a totally different level...\I'm gonna pass!\Damn it! If we get caught, reports will be the least of our worries.\But I didn't mean-\Enough! This is truly ridiculous.\I just realized something important.\What is it? response:	This actress resembles Instructor Suzukaze.
context: B-but this is on a totally different level...\I'm gonna pass!\Damn it! If we get caught, reports will be the least of our worries.\But I didn't mean-\Enough! This is truly ridiculous.\I just realized something important.\What is it?\This actress resembles Instructor Suzukaze. response:	Now that you mention it, I can see that...
context: I'm gonna pass!\Damn it! If we get caught, reports will be the least of our worries.\But I didn't mean-\Enough! This is truly ridiculous.\I just realized something important.\What is it?\This actress resembles Instructor Suzukaze.\Now that you mention it, I can see that... response:	I can't bear to watch!
context: Damn it! If we get caught, reports will be the least of our worries.\But I didn't mean-\Enough! This is truly ridiculous.\I just realized something important.\What is it?\This actress resembles Instructor Suzukaze.\Now that you mention it, I can see that...\I can't bear to watch! response:	The mission's name is Operation: MacLean.
context: But I didn't mean-\Enough! This is truly ridiculous.\I just realized something important.\What is it?\This actress resembles Instructor Suzukaze.\Now that you mention it, I can see that...\I can't bear to watch!\The mission's name is Operation: MacLean. response:	You are to infiltrate the enemy base on Planetoid RA221 and blow it up.
context: Enough! This is truly ridiculous.\I just realized something important.\What is it?\This actress resembles Instructor Suzukaze.\Now that you mention it, I can see that...\I can't bear to watch!\The mission's name is Operation: MacLean.\You are to infiltrate the enemy base on Planetoid RA221 and blow it up. response:	Concentrate!
context: I just realized something important.\What is it?\This actress resembles Instructor Suzukaze.\Now that you mention it, I can see that...\I can't bear to watch!\The mission's name is Operation: MacLean.\You are to infiltrate the enemy base on Planetoid RA221 and blow it up.\Concentrate! response:	Sir, what do you think has gotten into them?
context: What is it?\This actress resembles Instructor Suzukaze.\Now that you mention it, I can see that...\I can't bear to watch!\The mission's name is Operation: MacLean.\You are to infiltrate the enemy base on Planetoid RA221 and blow it up.\Concentrate!\Sir, what do you think has gotten into them? response:	Beats me.
context: This actress resembles Instructor Suzukaze.\Now that you mention it, I can see that...\I can't bear to watch!\The mission's name is Operation: MacLean.\You are to infiltrate the enemy base on Planetoid RA221 and blow it up.\Concentrate!\Sir, what do you think has gotten into them?\Beats me. response:	We don't know what to expect once you're in.
context: Now that you mention it, I can see that...\I can't bear to watch!\The mission's name is Operation: MacLean.\You are to infiltrate the enemy base on Planetoid RA221 and blow it up.\Concentrate!\Sir, what do you think has gotten into them?\Beats me.\We don't know what to expect once you're in. response:	Although it isn't terribly big,
context: I can't bear to watch!\The mission's name is Operation: MacLean.\You are to infiltrate the enemy base on Planetoid RA221 and blow it up.\Concentrate!\Sir, what do you think has gotten into them?\Beats me.\We don't know what to expect once you're in.\Although it isn't terribly big, response:	we believe the base's artificial gravity device is active.
context: The mission's name is Operation: MacLean.\You are to infiltrate the enemy base on Planetoid RA221 and blow it up.\Concentrate!\Sir, what do you think has gotten into them?\Beats me.\We don't know what to expect once you're in.\Although it isn't terribly big,\we believe the base's artificial gravity device is active. response:	We have outfitted your units for fighting in gravity.
context: You are to infiltrate the enemy base on Planetoid RA221 and blow it up.\Concentrate!\Sir, what do you think has gotten into them?\Beats me.\We don't know what to expect once you're in.\Although it isn't terribly big,\we believe the base's artificial gravity device is active.\We have outfitted your units for fighting in gravity. response:	Was our training on Earth before the mission
context: Concentrate!\Sir, what do you think has gotten into them?\Beats me.\We don't know what to expect once you're in.\Although it isn't terribly big,\we believe the base's artificial gravity device is active.\We have outfitted your units for fighting in gravity.\Was our training on Earth before the mission response:	meant to serve as a simulation?
context: Sir, what do you think has gotten into them?\Beats me.\We don't know what to expect once you're in.\Although it isn't terribly big,\we believe the base's artificial gravity device is active.\We have outfitted your units for fighting in gravity.\Was our training on Earth before the mission\meant to serve as a simulation? response:	It is far enough away from the battlefield that we expect minimal security.
context: Beats me.\We don't know what to expect once you're in.\Although it isn't terribly big,\we believe the base's artificial gravity device is active.\We have outfitted your units for fighting in gravity.\Was our training on Earth before the mission\meant to serve as a simulation?\It is far enough away from the battlefield that we expect minimal security. response:	However, with weak transmission signals,
context: We don't know what to expect once you're in.\Although it isn't terribly big,\we believe the base's artificial gravity device is active.\We have outfitted your units for fighting in gravity.\Was our training on Earth before the mission\meant to serve as a simulation?\It is far enough away from the battlefield that we expect minimal security.\However, with weak transmission signals, response:	it will be impossible to communicate with us.
context: Although it isn't terribly big,\we believe the base's artificial gravity device is active.\We have outfitted your units for fighting in gravity.\Was our training on Earth before the mission\meant to serve as a simulation?\It is far enough away from the battlefield that we expect minimal security.\However, with weak transmission signals,\it will be impossible to communicate with us. response:	Gold 4 will be in charge of the bomb.
context: we believe the base's artificial gravity device is active.\We have outfitted your units for fighting in gravity.\Was our training on Earth before the mission\meant to serve as a simulation?\It is far enough away from the battlefield that we expect minimal security.\However, with weak transmission signals,\it will be impossible to communicate with us.\Gold 4 will be in charge of the bomb. response:	You will also use Gold 4's computer to detonate it.
context: We have outfitted your units for fighting in gravity.\Was our training on Earth before the mission\meant to serve as a simulation?\It is far enough away from the battlefield that we expect minimal security.\However, with weak transmission signals,\it will be impossible to communicate with us.\Gold 4 will be in charge of the bomb.\You will also use Gold 4's computer to detonate it. response:	This mission came out of nowhere, didn't it?
context: Was our training on Earth before the mission\meant to serve as a simulation?\It is far enough away from the battlefield that we expect minimal security.\However, with weak transmission signals,\it will be impossible to communicate with us.\Gold 4 will be in charge of the bomb.\You will also use Gold 4's computer to detonate it.\This mission came out of nowhere, didn't it? response:	I can't believe we're destroying a base that's on the sidelines.
context: meant to serve as a simulation?\It is far enough away from the battlefield that we expect minimal security.\However, with weak transmission signals,\it will be impossible to communicate with us.\Gold 4 will be in charge of the bomb.\You will also use Gold 4's computer to detonate it.\This mission came out of nowhere, didn't it?\I can't believe we're destroying a base that's on the sidelines. response:	They're probably trying to make the other team look good.
context: It is far enough away from the battlefield that we expect minimal security.\However, with weak transmission signals,\it will be impossible to communicate with us.\Gold 4 will be in charge of the bomb.\You will also use Gold 4's computer to detonate it.\This mission came out of nowhere, didn't it?\I can't believe we're destroying a base that's on the sidelines.\They're probably trying to make the other team look good. response:	That's what it'd take to save the MJP's face.
context: However, with weak transmission signals,\it will be impossible to communicate with us.\Gold 4 will be in charge of the bomb.\You will also use Gold 4's computer to detonate it.\This mission came out of nowhere, didn't it?\I can't believe we're destroying a base that's on the sidelines.\They're probably trying to make the other team look good.\That's what it'd take to save the MJP's face. response:	At any rate, they want evidence that we're winning.
