context: After all the trouble we went through response:	to restore the Seven Monsters back into humans,
context: You're Endymion of the Dark Kingdom.\That's right. Since you can see the future,\I see making such a guess is a piece of cake.\So, have you seen what is in store for you as well?\Yes. You're going to trap me inside the Black Crystal, right?\Very good. Now, why don't you quietly come with me?\I'm sorry, but someone told me something once\and ever since then, I've decided to make my own destiny. response:	What do you mean?
context: That's right. Since you can see the future,\I see making such a guess is a piece of cake.\So, have you seen what is in store for you as well?\Yes. You're going to trap me inside the Black Crystal, right?\Very good. Now, why don't you quietly come with me?\I'm sorry, but someone told me something once\and ever since then, I've decided to make my own destiny.\What do you mean? response:	In other words, I'm not going to just give up!
context: I see making such a guess is a piece of cake.\So, have you seen what is in store for you as well?\Yes. You're going to trap me inside the Black Crystal, right?\Very good. Now, why don't you quietly come with me?\I'm sorry, but someone told me something once\and ever since then, I've decided to make my own destiny.\What do you mean?\In other words, I'm not going to just give up! response:	MURDERER! HELP ME!
context: So, have you seen what is in store for you as well?\Yes. You're going to trap me inside the Black Crystal, right?\Very good. Now, why don't you quietly come with me?\I'm sorry, but someone told me something once\and ever since then, I've decided to make my own destiny.\What do you mean?\In other words, I'm not going to just give up!\MURDERER! HELP ME! response:	No, I'm not!
context: Yes. You're going to trap me inside the Black Crystal, right?\Very good. Now, why don't you quietly come with me?\I'm sorry, but someone told me something once\and ever since then, I've decided to make my own destiny.\What do you mean?\In other words, I'm not going to just give up!\MURDERER! HELP ME!\No, I'm not! response:	Shoot!
context: Very good. Now, why don't you quietly come with me?\I'm sorry, but someone told me something once\and ever since then, I've decided to make my own destiny.\What do you mean?\In other words, I'm not going to just give up!\MURDERER! HELP ME!\No, I'm not!\Shoot! response:	Mako, let's go back.
context: I'm sorry, but someone told me something once\and ever since then, I've decided to make my own destiny.\What do you mean?\In other words, I'm not going to just give up!\MURDERER! HELP ME!\No, I'm not!\Shoot!\Mako, let's go back. response:	I feel bad for Ryo,
context: and ever since then, I've decided to make my own destiny.\What do you mean?\In other words, I'm not going to just give up!\MURDERER! HELP ME!\No, I'm not!\Shoot!\Mako, let's go back.\I feel bad for Ryo, response:	but there's nothing we can do in this situation.
context: What do you mean?\In other words, I'm not going to just give up!\MURDERER! HELP ME!\No, I'm not!\Shoot!\Mako, let's go back.\I feel bad for Ryo,\but there's nothing we can do in this situation. response:	What are you saying?! He's your boyfriend, isn't he?!
context: In other words, I'm not going to just give up!\MURDERER! HELP ME!\No, I'm not!\Shoot!\Mako, let's go back.\I feel bad for Ryo,\but there's nothing we can do in this situation.\What are you saying?! He's your boyfriend, isn't he?! response:	Oh, no, not a boyfriend. He's just a friend.
context: MURDERER! HELP ME!\No, I'm not!\Shoot!\Mako, let's go back.\I feel bad for Ryo,\but there's nothing we can do in this situation.\What are you saying?! He's your boyfriend, isn't he?!\Oh, no, not a boyfriend. He's just a friend. response:	Ami, are you saying that seriously?
context: No, I'm not!\Shoot!\Mako, let's go back.\I feel bad for Ryo,\but there's nothing we can do in this situation.\What are you saying?! He's your boyfriend, isn't he?!\Oh, no, not a boyfriend. He's just a friend.\Ami, are you saying that seriously? response:	What? Yes...
context: Shoot!\Mako, let's go back.\I feel bad for Ryo,\but there's nothing we can do in this situation.\What are you saying?! He's your boyfriend, isn't he?!\Oh, no, not a boyfriend. He's just a friend.\Ami, are you saying that seriously?\What? Yes... response:	Urawa loves you, you know!
context: Mako, let's go back.\I feel bad for Ryo,\but there's nothing we can do in this situation.\What are you saying?! He's your boyfriend, isn't he?!\Oh, no, not a boyfriend. He's just a friend.\Ami, are you saying that seriously?\What? Yes...\Urawa loves you, you know! response:	I know. But we have an important mission,
context: I feel bad for Ryo,\but there's nothing we can do in this situation.\What are you saying?! He's your boyfriend, isn't he?!\Oh, no, not a boyfriend. He's just a friend.\Ami, are you saying that seriously?\What? Yes...\Urawa loves you, you know!\I know. But we have an important mission, response:	so I can't return his feelings.
context: but there's nothing we can do in this situation.\What are you saying?! He's your boyfriend, isn't he?!\Oh, no, not a boyfriend. He's just a friend.\Ami, are you saying that seriously?\What? Yes...\Urawa loves you, you know!\I know. But we have an important mission,\so I can't return his feelings. response:	If you keep telling yourself that, you'll regret your youth!
context: What are you saying?! He's your boyfriend, isn't he?!\Oh, no, not a boyfriend. He's just a friend.\Ami, are you saying that seriously?\What? Yes...\Urawa loves you, you know!\I know. But we have an important mission,\so I can't return his feelings.\If you keep telling yourself that, you'll regret your youth! response:	Even champions of justice should be allowed to love!
context: Oh, no, not a boyfriend. He's just a friend.\Ami, are you saying that seriously?\What? Yes...\Urawa loves you, you know!\I know. But we have an important mission,\so I can't return his feelings.\If you keep telling yourself that, you'll regret your youth!\Even champions of justice should be allowed to love! response:	What's wrong with dating a boy that you like?!
context: Ami, are you saying that seriously?\What? Yes...\Urawa loves you, you know!\I know. But we have an important mission,\so I can't return his feelings.\If you keep telling yourself that, you'll regret your youth!\Even champions of justice should be allowed to love!\What's wrong with dating a boy that you like?! response:	But...
context: What? Yes...\Urawa loves you, you know!\I know. But we have an important mission,\so I can't return his feelings.\If you keep telling yourself that, you'll regret your youth!\Even champions of justice should be allowed to love!\What's wrong with dating a boy that you like?!\But... response:	Ami, you're just running away from it!
context: Urawa loves you, you know!\I know. But we have an important mission,\so I can't return his feelings.\If you keep telling yourself that, you'll regret your youth!\Even champions of justice should be allowed to love!\What's wrong with dating a boy that you like?!\But...\Ami, you're just running away from it! response:	You're scared of being in love.
context: I know. But we have an important mission,\so I can't return his feelings.\If you keep telling yourself that, you'll regret your youth!\Even champions of justice should be allowed to love!\What's wrong with dating a boy that you like?!\But...\Ami, you're just running away from it!\You're scared of being in love. response:	That's why you come up with all kinds of excuses
context: so I can't return his feelings.\If you keep telling yourself that, you'll regret your youth!\Even champions of justice should be allowed to love!\What's wrong with dating a boy that you like?!\But...\Ami, you're just running away from it!\You're scared of being in love.\That's why you come up with all kinds of excuses response:	so you don't have to deal with Urawa!
context: If you keep telling yourself that, you'll regret your youth!\Even champions of justice should be allowed to love!\What's wrong with dating a boy that you like?!\But...\Ami, you're just running away from it!\You're scared of being in love.\That's why you come up with all kinds of excuses\so you don't have to deal with Urawa! response:	Why can't you be more honest with your feelings?!
context: Even champions of justice should be allowed to love!\What's wrong with dating a boy that you like?!\But...\Ami, you're just running away from it!\You're scared of being in love.\That's why you come up with all kinds of excuses\so you don't have to deal with Urawa!\Why can't you be more honest with your feelings?! response:	That's not...
context: What's wrong with dating a boy that you like?!\But...\Ami, you're just running away from it!\You're scared of being in love.\That's why you come up with all kinds of excuses\so you don't have to deal with Urawa!\Why can't you be more honest with your feelings?!\That's not... response:	Lost Cat
context: But...\Ami, you're just running away from it!\You're scared of being in love.\That's why you come up with all kinds of excuses\so you don't have to deal with Urawa!\Why can't you be more honest with your feelings?!\That's not...\Lost Cat response:	Lost Cat Oh! There he is!
context: Ami, you're just running away from it!\You're scared of being in love.\That's why you come up with all kinds of excuses\so you don't have to deal with Urawa!\Why can't you be more honest with your feelings?!\That's not...\Lost Cat\Lost Cat Oh! There he is! response:	Oh! There he is!
context: You're scared of being in love.\That's why you come up with all kinds of excuses\so you don't have to deal with Urawa!\Why can't you be more honest with your feelings?!\That's not...\Lost Cat\Lost Cat Oh! There he is!\Oh! There he is! response:	Sure, I can understand why you might hesitate, but...
context: That's why you come up with all kinds of excuses\so you don't have to deal with Urawa!\Why can't you be more honest with your feelings?!\That's not...\Lost Cat\Lost Cat Oh! There he is!\Oh! There he is!\Sure, I can understand why you might hesitate, but... response:	Oh, wait, Ami! I'm not finished talking!
context: so you don't have to deal with Urawa!\Why can't you be more honest with your feelings?!\That's not...\Lost Cat\Lost Cat Oh! There he is!\Oh! There he is!\Sure, I can understand why you might hesitate, but...\Oh, wait, Ami! I'm not finished talking! response:	I saw him!
context: Why can't you be more honest with your feelings?!\That's not...\Lost Cat\Lost Cat Oh! There he is!\Oh! There he is!\Sure, I can understand why you might hesitate, but...\Oh, wait, Ami! I'm not finished talking!\I saw him! response:	What?! You mean, Urawa? I saw him!
context: That's not...\Lost Cat\Lost Cat Oh! There he is!\Oh! There he is!\Sure, I can understand why you might hesitate, but...\Oh, wait, Ami! I'm not finished talking!\I saw him!\What?! You mean, Urawa? I saw him! response:	What?! You mean, Urawa?
context: Lost Cat\Lost Cat Oh! There he is!\Oh! There he is!\Sure, I can understand why you might hesitate, but...\Oh, wait, Ami! I'm not finished talking!\I saw him!\What?! You mean, Urawa? I saw him!\What?! You mean, Urawa? response:	Yeah!
context: Lost Cat Oh! There he is!\Oh! There he is!\Sure, I can understand why you might hesitate, but...\Oh, wait, Ami! I'm not finished talking!\I saw him!\What?! You mean, Urawa? I saw him!\What?! You mean, Urawa?\Yeah! response:	Let's go!
context: Oh! There he is!\Sure, I can understand why you might hesitate, but...\Oh, wait, Ami! I'm not finished talking!\I saw him!\What?! You mean, Urawa? I saw him!\What?! You mean, Urawa?\Yeah!\Let's go! response:	Miss Ami! No, Sailor Mercury...
context: Sure, I can understand why you might hesitate, but...\Oh, wait, Ami! I'm not finished talking!\I saw him!\What?! You mean, Urawa? I saw him!\What?! You mean, Urawa?\Yeah!\Let's go!\Miss Ami! No, Sailor Mercury... response:	Long time no see, Urawa.
context: Oh, wait, Ami! I'm not finished talking!\I saw him!\What?! You mean, Urawa? I saw him!\What?! You mean, Urawa?\Yeah!\Let's go!\Miss Ami! No, Sailor Mercury...\Long time no see, Urawa. response:	You're safe, now that we're here.
context: I saw him!\What?! You mean, Urawa? I saw him!\What?! You mean, Urawa?\Yeah!\Let's go!\Miss Ami! No, Sailor Mercury...\Long time no see, Urawa.\You're safe, now that we're here. response:	What reassuring bodyguards.
context: What?! You mean, Urawa? I saw him!\What?! You mean, Urawa?\Yeah!\Let's go!\Miss Ami! No, Sailor Mercury...\Long time no see, Urawa.\You're safe, now that we're here.\What reassuring bodyguards. response:	Mamoru!
context: What?! You mean, Urawa?\Yeah!\Let's go!\Miss Ami! No, Sailor Mercury...\Long time no see, Urawa.\You're safe, now that we're here.\What reassuring bodyguards.\Mamoru! response:	Mamoru! Mamoru!
context: Yeah!\Let's go!\Miss Ami! No, Sailor Mercury...\Long time no see, Urawa.\You're safe, now that we're here.\What reassuring bodyguards.\Mamoru!\Mamoru! Mamoru! response:	Mamoru? Someone else also called me that before.
context: Let's go!\Miss Ami! No, Sailor Mercury...\Long time no see, Urawa.\You're safe, now that we're here.\What reassuring bodyguards.\Mamoru!\Mamoru! Mamoru!\Mamoru? Someone else also called me that before. response:	But you have the wrong person! My name is Endymion!
context: Miss Ami! No, Sailor Mercury...\Long time no see, Urawa.\You're safe, now that we're here.\What reassuring bodyguards.\Mamoru!\Mamoru! Mamoru!\Mamoru? Someone else also called me that before.\But you have the wrong person! My name is Endymion! response:	Sailor Mercury, let me handle this. You take Urawa.
context: Long time no see, Urawa.\You're safe, now that we're here.\What reassuring bodyguards.\Mamoru!\Mamoru! Mamoru!\Mamoru? Someone else also called me that before.\But you have the wrong person! My name is Endymion!\Sailor Mercury, let me handle this. You take Urawa. response:	No, I'll fight with you!
context: You're safe, now that we're here.\What reassuring bodyguards.\Mamoru!\Mamoru! Mamoru!\Mamoru? Someone else also called me that before.\But you have the wrong person! My name is Endymion!\Sailor Mercury, let me handle this. You take Urawa.\No, I'll fight with you! response:	What are you saying?! Our priority is to protect Urawa, right?!
context: What reassuring bodyguards.\Mamoru!\Mamoru! Mamoru!\Mamoru? Someone else also called me that before.\But you have the wrong person! My name is Endymion!\Sailor Mercury, let me handle this. You take Urawa.\No, I'll fight with you!\What are you saying?! Our priority is to protect Urawa, right?! response:	But...
context: Mamoru!\Mamoru! Mamoru!\Mamoru? Someone else also called me that before.\But you have the wrong person! My name is Endymion!\Sailor Mercury, let me handle this. You take Urawa.\No, I'll fight with you!\What are you saying?! Our priority is to protect Urawa, right?!\But... response:	Come on, hurry!
context: Mamoru! Mamoru!\Mamoru? Someone else also called me that before.\But you have the wrong person! My name is Endymion!\Sailor Mercury, let me handle this. You take Urawa.\No, I'll fight with you!\What are you saying?! Our priority is to protect Urawa, right?!\But...\Come on, hurry! response:	Okay! Urawa, this way!
context: Mamoru? Someone else also called me that before.\But you have the wrong person! My name is Endymion!\Sailor Mercury, let me handle this. You take Urawa.\No, I'll fight with you!\What are you saying?! Our priority is to protect Urawa, right?!\But...\Come on, hurry!\Okay! Urawa, this way! response:	Mamoru... No, Endymion!
context: But you have the wrong person! My name is Endymion!\Sailor Mercury, let me handle this. You take Urawa.\No, I'll fight with you!\What are you saying?! Our priority is to protect Urawa, right?!\But...\Come on, hurry!\Okay! Urawa, this way!\Mamoru... No, Endymion! response:	I don't really want to fight against you,
context: Sailor Mercury, let me handle this. You take Urawa.\No, I'll fight with you!\What are you saying?! Our priority is to protect Urawa, right?!\But...\Come on, hurry!\Okay! Urawa, this way!\Mamoru... No, Endymion!\I don't really want to fight against you, response:	but considering the situation, I'm not going easy on you!
context: No, I'll fight with you!\What are you saying?! Our priority is to protect Urawa, right?!\But...\Come on, hurry!\Okay! Urawa, this way!\Mamoru... No, Endymion!\I don't really want to fight against you,\but considering the situation, I'm not going easy on you! response:	Just what I would have wanted.
context: What are you saying?! Our priority is to protect Urawa, right?!\But...\Come on, hurry!\Okay! Urawa, this way!\Mamoru... No, Endymion!\I don't really want to fight against you,\but considering the situation, I'm not going easy on you!\Just what I would have wanted. response:	But will you be able to handle me all by yourself, I wonder?
context: But...\Come on, hurry!\Okay! Urawa, this way!\Mamoru... No, Endymion!\I don't really want to fight against you,\but considering the situation, I'm not going easy on you!\Just what I would have wanted.\But will you be able to handle me all by yourself, I wonder? response:	I'll just have to give it my best shot!
context: Come on, hurry!\Okay! Urawa, this way!\Mamoru... No, Endymion!\I don't really want to fight against you,\but considering the situation, I'm not going easy on you!\Just what I would have wanted.\But will you be able to handle me all by yourself, I wonder?\I'll just have to give it my best shot! response:	Supreme
context: Okay! Urawa, this way!\Mamoru... No, Endymion!\I don't really want to fight against you,\but considering the situation, I'm not going easy on you!\Just what I would have wanted.\But will you be able to handle me all by yourself, I wonder?\I'll just have to give it my best shot!\Supreme response:	Thunder!
context: Mamoru... No, Endymion!\I don't really want to fight against you,\but considering the situation, I'm not going easy on you!\Just what I would have wanted.\But will you be able to handle me all by yourself, I wonder?\I'll just have to give it my best shot!\Supreme\Thunder! response:	Is that it?
context: I don't really want to fight against you,\but considering the situation, I'm not going easy on you!\Just what I would have wanted.\But will you be able to handle me all by yourself, I wonder?\I'll just have to give it my best shot!\Supreme\Thunder!\Is that it? response:	This is Sailor Mercury! I have Urawa under my protection!
context: but considering the situation, I'm not going easy on you!\Just what I would have wanted.\But will you be able to handle me all by yourself, I wonder?\I'll just have to give it my best shot!\Supreme\Thunder!\Is that it?\This is Sailor Mercury! I have Urawa under my protection! response:	That's my girl, Sailor Mercury!
context: Just what I would have wanted.\But will you be able to handle me all by yourself, I wonder?\I'll just have to give it my best shot!\Supreme\Thunder!\Is that it?\This is Sailor Mercury! I have Urawa under my protection!\That's my girl, Sailor Mercury! response:	Let me read it! That's my girl, Sailor Mercury!
context: But will you be able to handle me all by yourself, I wonder?\I'll just have to give it my best shot!\Supreme\Thunder!\Is that it?\This is Sailor Mercury! I have Urawa under my protection!\That's my girl, Sailor Mercury!\Let me read it! That's my girl, Sailor Mercury! response:	Let me read it!
context: I'll just have to give it my best shot!\Supreme\Thunder!\Is that it?\This is Sailor Mercury! I have Urawa under my protection!\That's my girl, Sailor Mercury!\Let me read it! That's my girl, Sailor Mercury!\Let me read it! response:	Just give it to me, Usagi!
context: Supreme\Thunder!\Is that it?\This is Sailor Mercury! I have Urawa under my protection!\That's my girl, Sailor Mercury!\Let me read it! That's my girl, Sailor Mercury!\Let me read it!\Just give it to me, Usagi! response:	But Mamoru showed up, Just give it to me, Usagi!
context: Thunder!\Is that it?\This is Sailor Mercury! I have Urawa under my protection!\That's my girl, Sailor Mercury!\Let me read it! That's my girl, Sailor Mercury!\Let me read it!\Just give it to me, Usagi!\But Mamoru showed up, Just give it to me, Usagi! response:	But Mamoru showed up,
context: Is that it?\This is Sailor Mercury! I have Urawa under my protection!\That's my girl, Sailor Mercury!\Let me read it! That's my girl, Sailor Mercury!\Let me read it!\Just give it to me, Usagi!\But Mamoru showed up, Just give it to me, Usagi!\But Mamoru showed up, response:	and Sailor Jupiter is fighting him right now!
context: This is Sailor Mercury! I have Urawa under my protection!\That's my girl, Sailor Mercury!\Let me read it! That's my girl, Sailor Mercury!\Let me read it!\Just give it to me, Usagi!\But Mamoru showed up, Just give it to me, Usagi!\But Mamoru showed up,\and Sailor Jupiter is fighting him right now! response:	Mamoru showed up?!
context: That's my girl, Sailor Mercury!\Let me read it! That's my girl, Sailor Mercury!\Let me read it!\Just give it to me, Usagi!\But Mamoru showed up, Just give it to me, Usagi!\But Mamoru showed up,\and Sailor Jupiter is fighting him right now!\Mamoru showed up?! response:	Will Sailor Jupiter be all right by herself?
context: Let me read it! That's my girl, Sailor Mercury!\Let me read it!\Just give it to me, Usagi!\But Mamoru showed up, Just give it to me, Usagi!\But Mamoru showed up,\and Sailor Jupiter is fighting him right now!\Mamoru showed up?!\Will Sailor Jupiter be all right by herself? response:	Like Good Friends
context: Let me read it!\Just give it to me, Usagi!\But Mamoru showed up, Just give it to me, Usagi!\But Mamoru showed up,\and Sailor Jupiter is fighting him right now!\Mamoru showed up?!\Will Sailor Jupiter be all right by herself?\Like Good Friends response:	Like Good Friends Sailor Moon, please help us!
context: Just give it to me, Usagi!\But Mamoru showed up, Just give it to me, Usagi!\But Mamoru showed up,\and Sailor Jupiter is fighting him right now!\Mamoru showed up?!\Will Sailor Jupiter be all right by herself?\Like Good Friends\Like Good Friends Sailor Moon, please help us! response:	Sailor Moon, please help us!
context: But Mamoru showed up, Just give it to me, Usagi!\But Mamoru showed up,\and Sailor Jupiter is fighting him right now!\Mamoru showed up?!\Will Sailor Jupiter be all right by herself?\Like Good Friends\Like Good Friends Sailor Moon, please help us!\Sailor Moon, please help us! response:	The Crescent Moon Wand is the only way
context: But Mamoru showed up,\and Sailor Jupiter is fighting him right now!\Mamoru showed up?!\Will Sailor Jupiter be all right by herself?\Like Good Friends\Like Good Friends Sailor Moon, please help us!\Sailor Moon, please help us!\The Crescent Moon Wand is the only way response:	we can restore Mamoru!
context: and Sailor Jupiter is fighting him right now!\Mamoru showed up?!\Will Sailor Jupiter be all right by herself?\Like Good Friends\Like Good Friends Sailor Moon, please help us!\Sailor Moon, please help us!\The Crescent Moon Wand is the only way\we can restore Mamoru! response:	Usagi!
context: Mamoru showed up?!\Will Sailor Jupiter be all right by herself?\Like Good Friends\Like Good Friends Sailor Moon, please help us!\Sailor Moon, please help us!\The Crescent Moon Wand is the only way\we can restore Mamoru!\Usagi! response:	Okay... Let's go, Luna...
context: Will Sailor Jupiter be all right by herself?\Like Good Friends\Like Good Friends Sailor Moon, please help us!\Sailor Moon, please help us!\The Crescent Moon Wand is the only way\we can restore Mamoru!\Usagi!\Okay... Let's go, Luna... response:	Hurry up...
context: Like Good Friends\Like Good Friends Sailor Moon, please help us!\Sailor Moon, please help us!\The Crescent Moon Wand is the only way\we can restore Mamoru!\Usagi!\Okay... Let's go, Luna...\Hurry up... response:	What's wrong? Are you done attacking already?
context: Like Good Friends Sailor Moon, please help us!\Sailor Moon, please help us!\The Crescent Moon Wand is the only way\we can restore Mamoru!\Usagi!\Okay... Let's go, Luna...\Hurry up...\What's wrong? Are you done attacking already? response:	I'm just getting started!
context: Sailor Moon, please help us!\The Crescent Moon Wand is the only way\we can restore Mamoru!\Usagi!\Okay... Let's go, Luna...\Hurry up...\What's wrong? Are you done attacking already?\I'm just getting started! response:	You have quite an admirable fighting spirit.
context: The Crescent Moon Wand is the only way\we can restore Mamoru!\Usagi!\Okay... Let's go, Luna...\Hurry up...\What's wrong? Are you done attacking already?\I'm just getting started!\You have quite an admirable fighting spirit. response:	But, I cannot just keep playing this game.
context: we can restore Mamoru!\Usagi!\Okay... Let's go, Luna...\Hurry up...\What's wrong? Are you done attacking already?\I'm just getting started!\You have quite an admirable fighting spirit.\But, I cannot just keep playing this game. response:	So, I will go on the offensive now.
context: Usagi!\Okay... Let's go, Luna...\Hurry up...\What's wrong? Are you done attacking already?\I'm just getting started!\You have quite an admirable fighting spirit.\But, I cannot just keep playing this game.\So, I will go on the offensive now. response:	Here, here, here, here!
context: Okay... Let's go, Luna...\Hurry up...\What's wrong? Are you done attacking already?\I'm just getting started!\You have quite an admirable fighting spirit.\But, I cannot just keep playing this game.\So, I will go on the offensive now.\Here, here, here, here! response:	As I thought, you are no match for me alone.
context: Hurry up...\What's wrong? Are you done attacking already?\I'm just getting started!\You have quite an admirable fighting spirit.\But, I cannot just keep playing this game.\So, I will go on the offensive now.\Here, here, here, here!\As I thought, you are no match for me alone. response:	Polish your skills more and fight me again.
context: What's wrong? Are you done attacking already?\I'm just getting started!\You have quite an admirable fighting spirit.\But, I cannot just keep playing this game.\So, I will go on the offensive now.\Here, here, here, here!\As I thought, you are no match for me alone.\Polish your skills more and fight me again. response:	Damn it!
context: I'm just getting started!\You have quite an admirable fighting spirit.\But, I cannot just keep playing this game.\So, I will go on the offensive now.\Here, here, here, here!\As I thought, you are no match for me alone.\Polish your skills more and fight me again.\Damn it! response:	Sailor Mercury, I have a request.
context: You have quite an admirable fighting spirit.\But, I cannot just keep playing this game.\So, I will go on the offensive now.\Here, here, here, here!\As I thought, you are no match for me alone.\Polish your skills more and fight me again.\Damn it!\Sailor Mercury, I have a request. response:	Look. If we're going to run, we should go this way.
context: But, I cannot just keep playing this game.\So, I will go on the offensive now.\Here, here, here, here!\As I thought, you are no match for me alone.\Polish your skills more and fight me again.\Damn it!\Sailor Mercury, I have a request.\Look. If we're going to run, we should go this way. response:	It's so cold! It'll ruin my skin!
context: So, I will go on the offensive now.\Here, here, here, here!\As I thought, you are no match for me alone.\Polish your skills more and fight me again.\Damn it!\Sailor Mercury, I have a request.\Look. If we're going to run, we should go this way.\It's so cold! It'll ruin my skin! response:	Come on, run faster! It'll warm you up!
context: Here, here, here, here!\As I thought, you are no match for me alone.\Polish your skills more and fight me again.\Damn it!\Sailor Mercury, I have a request.\Look. If we're going to run, we should go this way.\It's so cold! It'll ruin my skin!\Come on, run faster! It'll warm you up! response:	Easy for you to say!
context: As I thought, you are no match for me alone.\Polish your skills more and fight me again.\Damn it!\Sailor Mercury, I have a request.\Look. If we're going to run, we should go this way.\It's so cold! It'll ruin my skin!\Come on, run faster! It'll warm you up!\Easy for you to say! response:	Ouch! It hurts!
context: Polish your skills more and fight me again.\Damn it!\Sailor Mercury, I have a request.\Look. If we're going to run, we should go this way.\It's so cold! It'll ruin my skin!\Come on, run faster! It'll warm you up!\Easy for you to say!\Ouch! It hurts! response:	Usagi?!
context: Damn it!\Sailor Mercury, I have a request.\Look. If we're going to run, we should go this way.\It's so cold! It'll ruin my skin!\Come on, run faster! It'll warm you up!\Easy for you to say!\Ouch! It hurts!\Usagi?! response:	Sailor Jupiter!
context: Sailor Mercury, I have a request.\Look. If we're going to run, we should go this way.\It's so cold! It'll ruin my skin!\Come on, run faster! It'll warm you up!\Easy for you to say!\Ouch! It hurts!\Usagi?!\Sailor Jupiter! response:	I'm glad. We made it in time!
context: Look. If we're going to run, we should go this way.\It's so cold! It'll ruin my skin!\Come on, run faster! It'll warm you up!\Easy for you to say!\Ouch! It hurts!\Usagi?!\Sailor Jupiter!\I'm glad. We made it in time! response:	No, you didn't!
context: It's so cold! It'll ruin my skin!\Come on, run faster! It'll warm you up!\Easy for you to say!\Ouch! It hurts!\Usagi?!\Sailor Jupiter!\I'm glad. We made it in time!\No, you didn't! response:	Say, Luna, Endymion didn't come this way, did he?
context: Come on, run faster! It'll warm you up!\Easy for you to say!\Ouch! It hurts!\Usagi?!\Sailor Jupiter!\I'm glad. We made it in time!\No, you didn't!\Say, Luna, Endymion didn't come this way, did he? response:	What?
context: Easy for you to say!\Ouch! It hurts!\Usagi?!\Sailor Jupiter!\I'm glad. We made it in time!\No, you didn't!\Say, Luna, Endymion didn't come this way, did he?\What? response:	Shoot! Where did he go?!
context: Ouch! It hurts!\Usagi?!\Sailor Jupiter!\I'm glad. We made it in time!\No, you didn't!\Say, Luna, Endymion didn't come this way, did he?\What?\Shoot! Where did he go?! response:	We're Closed Today Hours
context: Usagi?!\Sailor Jupiter!\I'm glad. We made it in time!\No, you didn't!\Say, Luna, Endymion didn't come this way, did he?\What?\Shoot! Where did he go?!\We're Closed Today Hours response:	Urawa, why do you want to come here?
context: Sailor Jupiter!\I'm glad. We made it in time!\No, you didn't!\Say, Luna, Endymion didn't come this way, did he?\What?\Shoot! Where did he go?!\We're Closed Today Hours\Urawa, why do you want to come here? response:	It was my dream to go to an amusement park with you.
context: I'm glad. We made it in time!\No, you didn't!\Say, Luna, Endymion didn't come this way, did he?\What?\Shoot! Where did he go?!\We're Closed Today Hours\Urawa, why do you want to come here?\It was my dream to go to an amusement park with you. response:	Urawa...
context: No, you didn't!\Say, Luna, Endymion didn't come this way, did he?\What?\Shoot! Where did he go?!\We're Closed Today Hours\Urawa, why do you want to come here?\It was my dream to go to an amusement park with you.\Urawa... response:	Now, I have nothing to regret.
context: Say, Luna, Endymion didn't come this way, did he?\What?\Shoot! Where did he go?!\We're Closed Today Hours\Urawa, why do you want to come here?\It was my dream to go to an amusement park with you.\Urawa...\Now, I have nothing to regret. response:	Let us go in separate directions from here.
context: What?\Shoot! Where did he go?!\We're Closed Today Hours\Urawa, why do you want to come here?\It was my dream to go to an amusement park with you.\Urawa...\Now, I have nothing to regret.\Let us go in separate directions from here. response:	We can't do that.
context: Shoot! Where did he go?!\We're Closed Today Hours\Urawa, why do you want to come here?\It was my dream to go to an amusement park with you.\Urawa...\Now, I have nothing to regret.\Let us go in separate directions from here.\We can't do that. response:	We don't know when the Dark Kingdom might come back for you.
context: We're Closed Today Hours\Urawa, why do you want to come here?\It was my dream to go to an amusement park with you.\Urawa...\Now, I have nothing to regret.\Let us go in separate directions from here.\We can't do that.\We don't know when the Dark Kingdom might come back for you. response:	I've found the resolve to take them down with me.
context: Urawa, why do you want to come here?\It was my dream to go to an amusement park with you.\Urawa...\Now, I have nothing to regret.\Let us go in separate directions from here.\We can't do that.\We don't know when the Dark Kingdom might come back for you.\I've found the resolve to take them down with me. response:	Please, I want you to fulfill your own mission.
context: It was my dream to go to an amusement park with you.\Urawa...\Now, I have nothing to regret.\Let us go in separate directions from here.\We can't do that.\We don't know when the Dark Kingdom might come back for you.\I've found the resolve to take them down with me.\Please, I want you to fulfill your own mission. response:	After all, I was never human to begin with.
context: Urawa...\Now, I have nothing to regret.\Let us go in separate directions from here.\We can't do that.\We don't know when the Dark Kingdom might come back for you.\I've found the resolve to take them down with me.\Please, I want you to fulfill your own mission.\After all, I was never human to begin with. response:	If the sacrifice of my unworthy life could save the world...
context: Now, I have nothing to regret.\Let us go in separate directions from here.\We can't do that.\We don't know when the Dark Kingdom might come back for you.\I've found the resolve to take them down with me.\Please, I want you to fulfill your own mission.\After all, I was never human to begin with.\If the sacrifice of my unworthy life could save the world... response:	You and I really are the same.
context: Let us go in separate directions from here.\We can't do that.\We don't know when the Dark Kingdom might come back for you.\I've found the resolve to take them down with me.\Please, I want you to fulfill your own mission.\After all, I was never human to begin with.\If the sacrifice of my unworthy life could save the world...\You and I really are the same. response:	We're always trying to avoid something.
context: We can't do that.\We don't know when the Dark Kingdom might come back for you.\I've found the resolve to take them down with me.\Please, I want you to fulfill your own mission.\After all, I was never human to begin with.\If the sacrifice of my unworthy life could save the world...\You and I really are the same.\We're always trying to avoid something. response:	What?!
