context: Ladies and gentlemen, we are now preparing for landing. response:	Please fasten your seatbelts tightly.
context: Um, sorry for saying something so weird,\but actually I have no clue who I am.\I have no memory of anything before the White House.\I can't remember my name, or what I've been doing, or anything.\So, the first thing I have to do is figure out who I am,\so I think I'll start by going to the address on my passport.\So let's say goodbye here. See you!\No way! response:	Number 9 is supposed to have been dead.
context: but actually I have no clue who I am.\I have no memory of anything before the White House.\I can't remember my name, or what I've been doing, or anything.\So, the first thing I have to do is figure out who I am,\so I think I'll start by going to the address on my passport.\So let's say goodbye here. See you!\No way!\Number 9 is supposed to have been dead. response:	Maybe somebody picked up his phone?
context: I have no memory of anything before the White House.\I can't remember my name, or what I've been doing, or anything.\So, the first thing I have to do is figure out who I am,\so I think I'll start by going to the address on my passport.\So let's say goodbye here. See you!\No way!\Number 9 is supposed to have been dead.\Maybe somebody picked up his phone? response:	otherwise nobody but me would use it for stuff like this.
context: I can't remember my name, or what I've been doing, or anything.\So, the first thing I have to do is figure out who I am,\so I think I'll start by going to the address on my passport.\So let's say goodbye here. See you!\No way!\Number 9 is supposed to have been dead.\Maybe somebody picked up his phone?\otherwise nobody but me would use it for stuff like this. response:	What was with him? I thought we were getting along so well!
context: So, the first thing I have to do is figure out who I am,\so I think I'll start by going to the address on my passport.\So let's say goodbye here. See you!\No way!\Number 9 is supposed to have been dead.\Maybe somebody picked up his phone?\otherwise nobody but me would use it for stuff like this.\What was with him? I thought we were getting along so well! response:	What an awful face. Maybe I didn't smile enough?
context: so I think I'll start by going to the address on my passport.\So let's say goodbye here. See you!\No way!\Number 9 is supposed to have been dead.\Maybe somebody picked up his phone?\otherwise nobody but me would use it for stuff like this.\What was with him? I thought we were getting along so well!\What an awful face. Maybe I didn't smile enough? response:	Your smile was just great!
context: So let's say goodbye here. See you!\No way!\Number 9 is supposed to have been dead.\Maybe somebody picked up his phone?\otherwise nobody but me would use it for stuff like this.\What was with him? I thought we were getting along so well!\What an awful face. Maybe I didn't smile enough?\Your smile was just great! response:	-Hi. -What are you doing?
context: No way!\Number 9 is supposed to have been dead.\Maybe somebody picked up his phone?\otherwise nobody but me would use it for stuff like this.\What was with him? I thought we were getting along so well!\What an awful face. Maybe I didn't smile enough?\Your smile was just great!\-Hi. -What are you doing? response:	You're breaking social rules here!
context: Number 9 is supposed to have been dead.\Maybe somebody picked up his phone?\otherwise nobody but me would use it for stuff like this.\What was with him? I thought we were getting along so well!\What an awful face. Maybe I didn't smile enough?\Your smile was just great!\-Hi. -What are you doing?\You're breaking social rules here! response:	Um, where is Toyosu, again?
context: Maybe somebody picked up his phone?\otherwise nobody but me would use it for stuff like this.\What was with him? I thought we were getting along so well!\What an awful face. Maybe I didn't smile enough?\Your smile was just great!\-Hi. -What are you doing?\You're breaking social rules here!\Um, where is Toyosu, again? response:	And now he's just waltzed onto the monorail.
context: otherwise nobody but me would use it for stuff like this.\What was with him? I thought we were getting along so well!\What an awful face. Maybe I didn't smile enough?\Your smile was just great!\-Hi. -What are you doing?\You're breaking social rules here!\Um, where is Toyosu, again?\And now he's just waltzed onto the monorail. response:	I did want to get a look at him, but...
context: What was with him? I thought we were getting along so well!\What an awful face. Maybe I didn't smile enough?\Your smile was just great!\-Hi. -What are you doing?\You're breaking social rules here!\Um, where is Toyosu, again?\And now he's just waltzed onto the monorail.\I did want to get a look at him, but... response:	-What is it? -This address is right next to a crater.
context: What an awful face. Maybe I didn't smile enough?\Your smile was just great!\-Hi. -What are you doing?\You're breaking social rules here!\Um, where is Toyosu, again?\And now he's just waltzed onto the monorail.\I did want to get a look at him, but...\-What is it? -This address is right next to a crater. response:	Where a missile hit on Careless Monday.
context: Your smile was just great!\-Hi. -What are you doing?\You're breaking social rules here!\Um, where is Toyosu, again?\And now he's just waltzed onto the monorail.\I did want to get a look at him, but...\-What is it? -This address is right next to a crater.\Where a missile hit on Careless Monday. response:	I think this area is in ruins now...
context: -Hi. -What are you doing?\You're breaking social rules here!\Um, where is Toyosu, again?\And now he's just waltzed onto the monorail.\I did want to get a look at him, but...\-What is it? -This address is right next to a crater.\Where a missile hit on Careless Monday.\I think this area is in ruins now... response:	I wonder if my house is gone, then...
context: You're breaking social rules here!\Um, where is Toyosu, again?\And now he's just waltzed onto the monorail.\I did want to get a look at him, but...\-What is it? -This address is right next to a crater.\Where a missile hit on Careless Monday.\I think this area is in ruins now...\I wonder if my house is gone, then... response:	Hey, just how many of those craters are there?
context: Um, where is Toyosu, again?\And now he's just waltzed onto the monorail.\I did want to get a look at him, but...\-What is it? -This address is right next to a crater.\Where a missile hit on Careless Monday.\I think this area is in ruins now...\I wonder if my house is gone, then...\Hey, just how many of those craters are there? response:	Why was there even a missile attack in the first place?
context: And now he's just waltzed onto the monorail.\I did want to get a look at him, but...\-What is it? -This address is right next to a crater.\Where a missile hit on Careless Monday.\I think this area is in ruins now...\I wonder if my house is gone, then...\Hey, just how many of those craters are there?\Why was there even a missile attack in the first place? response:	I think there were eleven missiles total, if you count yesterday's.
context: I did want to get a look at him, but...\-What is it? -This address is right next to a crater.\Where a missile hit on Careless Monday.\I think this area is in ruins now...\I wonder if my house is gone, then...\Hey, just how many of those craters are there?\Why was there even a missile attack in the first place?\I think there were eleven missiles total, if you count yesterday's. response:	I don't know why, but last year on Monday, November 22nd,
context: -What is it? -This address is right next to a crater.\Where a missile hit on Careless Monday.\I think this area is in ruins now...\I wonder if my house is gone, then...\Hey, just how many of those craters are there?\Why was there even a missile attack in the first place?\I think there were eleven missiles total, if you count yesterday's.\I don't know why, but last year on Monday, November 22nd, response:	they suddenly came flying at us.
context: Where a missile hit on Careless Monday.\I think this area is in ruins now...\I wonder if my house is gone, then...\Hey, just how many of those craters are there?\Why was there even a missile attack in the first place?\I think there were eleven missiles total, if you count yesterday's.\I don't know why, but last year on Monday, November 22nd,\they suddenly came flying at us. response:	The SDF and the police and the politicians
context: I think this area is in ruins now...\I wonder if my house is gone, then...\Hey, just how many of those craters are there?\Why was there even a missile attack in the first place?\I think there were eleven missiles total, if you count yesterday's.\I don't know why, but last year on Monday, November 22nd,\they suddenly came flying at us.\The SDF and the police and the politicians response:	never dreamed Japan would be subject to a missile attack...
context: I wonder if my house is gone, then...\Hey, just how many of those craters are there?\Why was there even a missile attack in the first place?\I think there were eleven missiles total, if you count yesterday's.\I don't know why, but last year on Monday, November 22nd,\they suddenly came flying at us.\The SDF and the police and the politicians\never dreamed Japan would be subject to a missile attack... response:	So on a special newscast, the Prime Minister actually said, I was careless.
context: Hey, just how many of those craters are there?\Why was there even a missile attack in the first place?\I think there were eleven missiles total, if you count yesterday's.\I don't know why, but last year on Monday, November 22nd,\they suddenly came flying at us.\The SDF and the police and the politicians\never dreamed Japan would be subject to a missile attack...\So on a special newscast, the Prime Minister actually said, I was careless. response:	And that's why it's called Careless Monday?
context: Why was there even a missile attack in the first place?\I think there were eleven missiles total, if you count yesterday's.\I don't know why, but last year on Monday, November 22nd,\they suddenly came flying at us.\The SDF and the police and the politicians\never dreamed Japan would be subject to a missile attack...\So on a special newscast, the Prime Minister actually said, I was careless.\And that's why it's called Careless Monday? response:	Yep. And afterwards, it came to light that there were no deaths.
context: I think there were eleven missiles total, if you count yesterday's.\I don't know why, but last year on Monday, November 22nd,\they suddenly came flying at us.\The SDF and the police and the politicians\never dreamed Japan would be subject to a missile attack...\So on a special newscast, the Prime Minister actually said, I was careless.\And that's why it's called Careless Monday?\Yep. And afterwards, it came to light that there were no deaths. response:	The internet and the mass media went crazy trying to find out who did it.
context: I don't know why, but last year on Monday, November 22nd,\they suddenly came flying at us.\The SDF and the police and the politicians\never dreamed Japan would be subject to a missile attack...\So on a special newscast, the Prime Minister actually said, I was careless.\And that's why it's called Careless Monday?\Yep. And afterwards, it came to light that there were no deaths.\The internet and the mass media went crazy trying to find out who did it. response:	Saying it was a neighboring country's attack,
context: they suddenly came flying at us.\The SDF and the police and the politicians\never dreamed Japan would be subject to a missile attack...\So on a special newscast, the Prime Minister actually said, I was careless.\And that's why it's called Careless Monday?\Yep. And afterwards, it came to light that there were no deaths.\The internet and the mass media went crazy trying to find out who did it.\Saying it was a neighboring country's attack, response:	or an American conspiracy, or that our government did it all...
context: The SDF and the police and the politicians\never dreamed Japan would be subject to a missile attack...\So on a special newscast, the Prime Minister actually said, I was careless.\And that's why it's called Careless Monday?\Yep. And afterwards, it came to light that there were no deaths.\The internet and the mass media went crazy trying to find out who did it.\Saying it was a neighboring country's attack,\or an American conspiracy, or that our government did it all... response:	But the whole thing was just too improbable,
context: never dreamed Japan would be subject to a missile attack...\So on a special newscast, the Prime Minister actually said, I was careless.\And that's why it's called Careless Monday?\Yep. And afterwards, it came to light that there were no deaths.\The internet and the mass media went crazy trying to find out who did it.\Saying it was a neighboring country's attack,\or an American conspiracy, or that our government did it all...\But the whole thing was just too improbable, response:	so people kind of lost their sense of crisis...
context: So on a special newscast, the Prime Minister actually said, I was careless.\And that's why it's called Careless Monday?\Yep. And afterwards, it came to light that there were no deaths.\The internet and the mass media went crazy trying to find out who did it.\Saying it was a neighboring country's attack,\or an American conspiracy, or that our government did it all...\But the whole thing was just too improbable,\so people kind of lost their sense of crisis... response:	It was rash of us, but we got a little excited,
context: And that's why it's called Careless Monday?\Yep. And afterwards, it came to light that there were no deaths.\The internet and the mass media went crazy trying to find out who did it.\Saying it was a neighboring country's attack,\or an American conspiracy, or that our government did it all...\But the whole thing was just too improbable,\so people kind of lost their sense of crisis...\It was rash of us, but we got a little excited, response:	anticipating that maybe something even bigger would happen.
context: Yep. And afterwards, it came to light that there were no deaths.\The internet and the mass media went crazy trying to find out who did it.\Saying it was a neighboring country's attack,\or an American conspiracy, or that our government did it all...\But the whole thing was just too improbable,\so people kind of lost their sense of crisis...\It was rash of us, but we got a little excited,\anticipating that maybe something even bigger would happen. response:	Where are you, Number 9?
context: The internet and the mass media went crazy trying to find out who did it.\Saying it was a neighboring country's attack,\or an American conspiracy, or that our government did it all...\But the whole thing was just too improbable,\so people kind of lost their sense of crisis...\It was rash of us, but we got a little excited,\anticipating that maybe something even bigger would happen.\Where are you, Number 9? response:	Selecao Activity History
context: Saying it was a neighboring country's attack,\or an American conspiracy, or that our government did it all...\But the whole thing was just too improbable,\so people kind of lost their sense of crisis...\It was rash of us, but we got a little excited,\anticipating that maybe something even bigger would happen.\Where are you, Number 9?\Selecao Activity History response:	I was right. Dammit, he should still be here...
context: or an American conspiracy, or that our government did it all...\But the whole thing was just too improbable,\so people kind of lost their sense of crisis...\It was rash of us, but we got a little excited,\anticipating that maybe something even bigger would happen.\Where are you, Number 9?\Selecao Activity History\I was right. Dammit, he should still be here... response:	I lost him?
context: But the whole thing was just too improbable,\so people kind of lost their sense of crisis...\It was rash of us, but we got a little excited,\anticipating that maybe something even bigger would happen.\Where are you, Number 9?\Selecao Activity History\I was right. Dammit, he should still be here...\I lost him? response:	Hey, Mister.
context: so people kind of lost their sense of crisis...\It was rash of us, but we got a little excited,\anticipating that maybe something even bigger would happen.\Where are you, Number 9?\Selecao Activity History\I was right. Dammit, he should still be here...\I lost him?\Hey, Mister. response:	We have the same cell phone.
context: It was rash of us, but we got a little excited,\anticipating that maybe something even bigger would happen.\Where are you, Number 9?\Selecao Activity History\I was right. Dammit, he should still be here...\I lost him?\Hey, Mister.\We have the same cell phone. response:	Have you lost your memory too, Mister?
context: anticipating that maybe something even bigger would happen.\Where are you, Number 9?\Selecao Activity History\I was right. Dammit, he should still be here...\I lost him?\Hey, Mister.\We have the same cell phone.\Have you lost your memory too, Mister? response:	Huh? What are you talking about?
context: Where are you, Number 9?\Selecao Activity History\I was right. Dammit, he should still be here...\I lost him?\Hey, Mister.\We have the same cell phone.\Have you lost your memory too, Mister?\Huh? What are you talking about? response:	Oh, nothing! Sorry, I was just curious.
context: Selecao Activity History\I was right. Dammit, he should still be here...\I lost him?\Hey, Mister.\We have the same cell phone.\Have you lost your memory too, Mister?\Huh? What are you talking about?\Oh, nothing! Sorry, I was just curious. response:	Bye!
context: I was right. Dammit, he should still be here...\I lost him?\Hey, Mister.\We have the same cell phone.\Have you lost your memory too, Mister?\Huh? What are you talking about?\Oh, nothing! Sorry, I was just curious.\Bye! response:	Hold on there, kid. Are you Selecao?
context: I lost him?\Hey, Mister.\We have the same cell phone.\Have you lost your memory too, Mister?\Huh? What are you talking about?\Oh, nothing! Sorry, I was just curious.\Bye!\Hold on there, kid. Are you Selecao? response:	Selecao?
context: Hey, Mister.\We have the same cell phone.\Have you lost your memory too, Mister?\Huh? What are you talking about?\Oh, nothing! Sorry, I was just curious.\Bye!\Hold on there, kid. Are you Selecao?\Selecao? response:	I'm a police officer.
context: We have the same cell phone.\Have you lost your memory too, Mister?\Huh? What are you talking about?\Oh, nothing! Sorry, I was just curious.\Bye!\Hold on there, kid. Are you Selecao?\Selecao?\I'm a police officer. response:	These are dangerous times. I'm going to check your ID just in case.
context: Have you lost your memory too, Mister?\Huh? What are you talking about?\Oh, nothing! Sorry, I was just curious.\Bye!\Hold on there, kid. Are you Selecao?\Selecao?\I'm a police officer.\These are dangerous times. I'm going to check your ID just in case. response:	My ID?
context: Huh? What are you talking about?\Oh, nothing! Sorry, I was just curious.\Bye!\Hold on there, kid. Are you Selecao?\Selecao?\I'm a police officer.\These are dangerous times. I'm going to check your ID just in case.\My ID? response:	Akira Takizawa, with an address in Toyosu.
context: Oh, nothing! Sorry, I was just curious.\Bye!\Hold on there, kid. Are you Selecao?\Selecao?\I'm a police officer.\These are dangerous times. I'm going to check your ID just in case.\My ID?\Akira Takizawa, with an address in Toyosu. response:	I see. Next time you say crazy stuff to me, I'll haul you in.
context: Bye!\Hold on there, kid. Are you Selecao?\Selecao?\I'm a police officer.\These are dangerous times. I'm going to check your ID just in case.\My ID?\Akira Takizawa, with an address in Toyosu.\I see. Next time you say crazy stuff to me, I'll haul you in. response:	I'll be careful.
context: Hold on there, kid. Are you Selecao?\Selecao?\I'm a police officer.\These are dangerous times. I'm going to check your ID just in case.\My ID?\Akira Takizawa, with an address in Toyosu.\I see. Next time you say crazy stuff to me, I'll haul you in.\I'll be careful. response:	Okay, Detective, see you later!
context: Selecao?\I'm a police officer.\These are dangerous times. I'm going to check your ID just in case.\My ID?\Akira Takizawa, with an address in Toyosu.\I see. Next time you say crazy stuff to me, I'll haul you in.\I'll be careful.\Okay, Detective, see you later! response:	So he's Selecao No. 9?
context: I'm a police officer.\These are dangerous times. I'm going to check your ID just in case.\My ID?\Akira Takizawa, with an address in Toyosu.\I see. Next time you say crazy stuff to me, I'll haul you in.\I'll be careful.\Okay, Detective, see you later!\So he's Selecao No. 9? response:	That was bad.
context: These are dangerous times. I'm going to check your ID just in case.\My ID?\Akira Takizawa, with an address in Toyosu.\I see. Next time you say crazy stuff to me, I'll haul you in.\I'll be careful.\Okay, Detective, see you later!\So he's Selecao No. 9?\That was bad. response:	You can go when the boat gets here. I think I can make it the rest of the way.
context: My ID?\Akira Takizawa, with an address in Toyosu.\I see. Next time you say crazy stuff to me, I'll haul you in.\I'll be careful.\Okay, Detective, see you later!\So he's Selecao No. 9?\That was bad.\You can go when the boat gets here. I think I can make it the rest of the way. response:	Here's your coffee, and 760 yen in change.
context: Akira Takizawa, with an address in Toyosu.\I see. Next time you say crazy stuff to me, I'll haul you in.\I'll be careful.\Okay, Detective, see you later!\So he's Selecao No. 9?\That was bad.\You can go when the boat gets here. I think I can make it the rest of the way.\Here's your coffee, and 760 yen in change. response:	Thanks. You can keep the change. You haven't got any cash, right?
context: I see. Next time you say crazy stuff to me, I'll haul you in.\I'll be careful.\Okay, Detective, see you later!\So he's Selecao No. 9?\That was bad.\You can go when the boat gets here. I think I can make it the rest of the way.\Here's your coffee, and 760 yen in change.\Thanks. You can keep the change. You haven't got any cash, right? response:	Great, thanks.
context: I'll be careful.\Okay, Detective, see you later!\So he's Selecao No. 9?\That was bad.\You can go when the boat gets here. I think I can make it the rest of the way.\Here's your coffee, and 760 yen in change.\Thanks. You can keep the change. You haven't got any cash, right?\Great, thanks. response:	I hope your place is still there.
context: Okay, Detective, see you later!\So he's Selecao No. 9?\That was bad.\You can go when the boat gets here. I think I can make it the rest of the way.\Here's your coffee, and 760 yen in change.\Thanks. You can keep the change. You haven't got any cash, right?\Great, thanks.\I hope your place is still there. response:	Well, if it's not, I'll figure something out.
context: So he's Selecao No. 9?\That was bad.\You can go when the boat gets here. I think I can make it the rest of the way.\Here's your coffee, and 760 yen in change.\Thanks. You can keep the change. You haven't got any cash, right?\Great, thanks.\I hope your place is still there.\Well, if it's not, I'll figure something out. response:	I know- since I'm such a blank slate, tell me about you instead.
context: That was bad.\You can go when the boat gets here. I think I can make it the rest of the way.\Here's your coffee, and 760 yen in change.\Thanks. You can keep the change. You haven't got any cash, right?\Great, thanks.\I hope your place is still there.\Well, if it's not, I'll figure something out.\I know- since I'm such a blank slate, tell me about you instead. response:	About me?
context: You can go when the boat gets here. I think I can make it the rest of the way.\Here's your coffee, and 760 yen in change.\Thanks. You can keep the change. You haven't got any cash, right?\Great, thanks.\I hope your place is still there.\Well, if it's not, I'll figure something out.\I know- since I'm such a blank slate, tell me about you instead.\About me? response:	Yeah, as much as you can before the boat gets here.
context: Here's your coffee, and 760 yen in change.\Thanks. You can keep the change. You haven't got any cash, right?\Great, thanks.\I hope your place is still there.\Well, if it's not, I'll figure something out.\I know- since I'm such a blank slate, tell me about you instead.\About me?\Yeah, as much as you can before the boat gets here. response:	Um, I'm a senior in college, and I'll be working starting in April...
context: Thanks. You can keep the change. You haven't got any cash, right?\Great, thanks.\I hope your place is still there.\Well, if it's not, I'll figure something out.\I know- since I'm such a blank slate, tell me about you instead.\About me?\Yeah, as much as you can before the boat gets here.\Um, I'm a senior in college, and I'll be working starting in April... response:	oh, so you'll be working. Where?
context: Great, thanks.\I hope your place is still there.\Well, if it's not, I'll figure something out.\I know- since I'm such a blank slate, tell me about you instead.\About me?\Yeah, as much as you can before the boat gets here.\Um, I'm a senior in college, and I'll be working starting in April...\oh, so you'll be working. Where? response:	Where my sister's husband used to work.
context: I hope your place is still there.\Well, if it's not, I'll figure something out.\I know- since I'm such a blank slate, tell me about you instead.\About me?\Yeah, as much as you can before the boat gets here.\Um, I'm a senior in college, and I'll be working starting in April...\oh, so you'll be working. Where?\Where my sister's husband used to work. response:	So you have an older sister.
context: Well, if it's not, I'll figure something out.\I know- since I'm such a blank slate, tell me about you instead.\About me?\Yeah, as much as you can before the boat gets here.\Um, I'm a senior in college, and I'll be working starting in April...\oh, so you'll be working. Where?\Where my sister's husband used to work.\So you have an older sister. response:	Yeah. Um, I don't want you to walk on eggshells with me about it,
context: I know- since I'm such a blank slate, tell me about you instead.\About me?\Yeah, as much as you can before the boat gets here.\Um, I'm a senior in college, and I'll be working starting in April...\oh, so you'll be working. Where?\Where my sister's husband used to work.\So you have an older sister.\Yeah. Um, I don't want you to walk on eggshells with me about it, response:	but I don't have any parents.
context: About me?\Yeah, as much as you can before the boat gets here.\Um, I'm a senior in college, and I'll be working starting in April...\oh, so you'll be working. Where?\Where my sister's husband used to work.\So you have an older sister.\Yeah. Um, I don't want you to walk on eggshells with me about it,\but I don't have any parents. response:	It was an accident. My sister was already married,
context: Yeah, as much as you can before the boat gets here.\Um, I'm a senior in college, and I'll be working starting in April...\oh, so you'll be working. Where?\Where my sister's husband used to work.\So you have an older sister.\Yeah. Um, I don't want you to walk on eggshells with me about it,\but I don't have any parents.\It was an accident. My sister was already married, response:	and I thought I'd forget about college and start working,
context: Um, I'm a senior in college, and I'll be working starting in April...\oh, so you'll be working. Where?\Where my sister's husband used to work.\So you have an older sister.\Yeah. Um, I don't want you to walk on eggshells with me about it,\but I don't have any parents.\It was an accident. My sister was already married,\and I thought I'd forget about college and start working, response:	but she and her husband took over the family business for me,
context: oh, so you'll be working. Where?\Where my sister's husband used to work.\So you have an older sister.\Yeah. Um, I don't want you to walk on eggshells with me about it,\but I don't have any parents.\It was an accident. My sister was already married,\and I thought I'd forget about college and start working,\but she and her husband took over the family business for me, response:	and let me go to college.
context: Where my sister's husband used to work.\So you have an older sister.\Yeah. Um, I don't want you to walk on eggshells with me about it,\but I don't have any parents.\It was an accident. My sister was already married,\and I thought I'd forget about college and start working,\but she and her husband took over the family business for me,\and let me go to college. response:	She's a nice sister.
context: So you have an older sister.\Yeah. Um, I don't want you to walk on eggshells with me about it,\but I don't have any parents.\It was an accident. My sister was already married,\and I thought I'd forget about college and start working,\but she and her husband took over the family business for me,\and let me go to college.\She's a nice sister. response:	Yeah. Ryosuke, too...
context: Yeah. Um, I don't want you to walk on eggshells with me about it,\but I don't have any parents.\It was an accident. My sister was already married,\and I thought I'd forget about college and start working,\but she and her husband took over the family business for me,\and let me go to college.\She's a nice sister.\Yeah. Ryosuke, too... response:	oh, he's Sis's husband.
context: but I don't have any parents.\It was an accident. My sister was already married,\and I thought I'd forget about college and start working,\but she and her husband took over the family business for me,\and let me go to college.\She's a nice sister.\Yeah. Ryosuke, too...\oh, he's Sis's husband. response:	She had a baby last year, which makes four of us living together.
context: It was an accident. My sister was already married,\and I thought I'd forget about college and start working,\but she and her husband took over the family business for me,\and let me go to college.\She's a nice sister.\Yeah. Ryosuke, too...\oh, he's Sis's husband.\She had a baby last year, which makes four of us living together. response:	What's Ryosuke like?
context: and I thought I'd forget about college and start working,\but she and her husband took over the family business for me,\and let me go to college.\She's a nice sister.\Yeah. Ryosuke, too...\oh, he's Sis's husband.\She had a baby last year, which makes four of us living together.\What's Ryosuke like? response:	Stop rushing me!
context: but she and her husband took over the family business for me,\and let me go to college.\She's a nice sister.\Yeah. Ryosuke, too...\oh, he's Sis's husband.\She had a baby last year, which makes four of us living together.\What's Ryosuke like?\Stop rushing me! response:	Ryosuke is a very sincere person.
context: and let me go to college.\She's a nice sister.\Yeah. Ryosuke, too...\oh, he's Sis's husband.\She had a baby last year, which makes four of us living together.\What's Ryosuke like?\Stop rushing me!\Ryosuke is a very sincere person. response:	They've been going out since my sister was in college.
context: She's a nice sister.\Yeah. Ryosuke, too...\oh, he's Sis's husband.\She had a baby last year, which makes four of us living together.\What's Ryosuke like?\Stop rushing me!\Ryosuke is a very sincere person.\They've been going out since my sister was in college. response:	I knew they'd get married from the moment I met him...
context: Yeah. Ryosuke, too...\oh, he's Sis's husband.\She had a baby last year, which makes four of us living together.\What's Ryosuke like?\Stop rushing me!\Ryosuke is a very sincere person.\They've been going out since my sister was in college.\I knew they'd get married from the moment I met him... response:	So he's cool.
context: oh, he's Sis's husband.\She had a baby last year, which makes four of us living together.\What's Ryosuke like?\Stop rushing me!\Ryosuke is a very sincere person.\They've been going out since my sister was in college.\I knew they'd get married from the moment I met him...\So he's cool. response:	Yeah, I guess my sister's got decent taste.
context: She had a baby last year, which makes four of us living together.\What's Ryosuke like?\Stop rushing me!\Ryosuke is a very sincere person.\They've been going out since my sister was in college.\I knew they'd get married from the moment I met him...\So he's cool.\Yeah, I guess my sister's got decent taste. response:	Sounds good. It really feels like you're family.
context: What's Ryosuke like?\Stop rushing me!\Ryosuke is a very sincere person.\They've been going out since my sister was in college.\I knew they'd get married from the moment I met him...\So he's cool.\Yeah, I guess my sister's got decent taste.\Sounds good. It really feels like you're family. response:	But it's not all good.
context: Stop rushing me!\Ryosuke is a very sincere person.\They've been going out since my sister was in college.\I knew they'd get married from the moment I met him...\So he's cool.\Yeah, I guess my sister's got decent taste.\Sounds good. It really feels like you're family.\But it's not all good. response:	I'm ashamed that I've been such a burden on them.
context: Ryosuke is a very sincere person.\They've been going out since my sister was in college.\I knew they'd get married from the moment I met him...\So he's cool.\Yeah, I guess my sister's got decent taste.\Sounds good. It really feels like you're family.\But it's not all good.\I'm ashamed that I've been such a burden on them. response:	Oh.
context: They've been going out since my sister was in college.\I knew they'd get married from the moment I met him...\So he's cool.\Yeah, I guess my sister's got decent taste.\Sounds good. It really feels like you're family.\But it's not all good.\I'm ashamed that I've been such a burden on them.\Oh. response:	Listening to you, I think I got just one of my memories back.
context: I knew they'd get married from the moment I met him...\So he's cool.\Yeah, I guess my sister's got decent taste.\Sounds good. It really feels like you're family.\But it's not all good.\I'm ashamed that I've been such a burden on them.\Oh.\Listening to you, I think I got just one of my memories back. response:	Really?
context: So he's cool.\Yeah, I guess my sister's got decent taste.\Sounds good. It really feels like you're family.\But it's not all good.\I'm ashamed that I've been such a burden on them.\Oh.\Listening to you, I think I got just one of my memories back.\Really? response:	When I was about five, someone in a department store gave me 500 yen.
context: Yeah, I guess my sister's got decent taste.\Sounds good. It really feels like you're family.\But it's not all good.\I'm ashamed that I've been such a burden on them.\Oh.\Listening to you, I think I got just one of my memories back.\Really?\When I was about five, someone in a department store gave me 500 yen. response:	They said, Go buy whatever you want with this.
context: Sounds good. It really feels like you're family.\But it's not all good.\I'm ashamed that I've been such a burden on them.\Oh.\Listening to you, I think I got just one of my memories back.\Really?\When I was about five, someone in a department store gave me 500 yen.\They said, Go buy whatever you want with this. response:	And when I hesitated about doing it alone,
context: But it's not all good.\I'm ashamed that I've been such a burden on them.\Oh.\Listening to you, I think I got just one of my memories back.\Really?\When I was about five, someone in a department store gave me 500 yen.\They said, Go buy whatever you want with this.\And when I hesitated about doing it alone, response:	they said, It's okay. If you've got money, a kid's as good as an adult.
context: I'm ashamed that I've been such a burden on them.\Oh.\Listening to you, I think I got just one of my memories back.\Really?\When I was about five, someone in a department store gave me 500 yen.\They said, Go buy whatever you want with this.\And when I hesitated about doing it alone,\they said, It's okay. If you've got money, a kid's as good as an adult. response:	I forget what I bought, but I clearly remember
context: Oh.\Listening to you, I think I got just one of my memories back.\Really?\When I was about five, someone in a department store gave me 500 yen.\They said, Go buy whatever you want with this.\And when I hesitated about doing it alone,\they said, It's okay. If you've got money, a kid's as good as an adult.\I forget what I bought, but I clearly remember response:	that the man at the register bowed deeply to me when I paid.
context: Listening to you, I think I got just one of my memories back.\Really?\When I was about five, someone in a department store gave me 500 yen.\They said, Go buy whatever you want with this.\And when I hesitated about doing it alone,\they said, It's okay. If you've got money, a kid's as good as an adult.\I forget what I bought, but I clearly remember\that the man at the register bowed deeply to me when I paid. response:	I got all happy, and turned around to say that Mom had been right...
context: Really?\When I was about five, someone in a department store gave me 500 yen.\They said, Go buy whatever you want with this.\And when I hesitated about doing it alone,\they said, It's okay. If you've got money, a kid's as good as an adult.\I forget what I bought, but I clearly remember\that the man at the register bowed deeply to me when I paid.\I got all happy, and turned around to say that Mom had been right... response:	Hey, this is a memory of my mom!
context: When I was about five, someone in a department store gave me 500 yen.\They said, Go buy whatever you want with this.\And when I hesitated about doing it alone,\they said, It's okay. If you've got money, a kid's as good as an adult.\I forget what I bought, but I clearly remember\that the man at the register bowed deeply to me when I paid.\I got all happy, and turned around to say that Mom had been right...\Hey, this is a memory of my mom! response:	But when I turned around, she was gone,
context: They said, Go buy whatever you want with this.\And when I hesitated about doing it alone,\they said, It's okay. If you've got money, a kid's as good as an adult.\I forget what I bought, but I clearly remember\that the man at the register bowed deeply to me when I paid.\I got all happy, and turned around to say that Mom had been right...\Hey, this is a memory of my mom!\But when I turned around, she was gone, response:	and I think I never saw her again.
context: And when I hesitated about doing it alone,\they said, It's okay. If you've got money, a kid's as good as an adult.\I forget what I bought, but I clearly remember\that the man at the register bowed deeply to me when I paid.\I got all happy, and turned around to say that Mom had been right...\Hey, this is a memory of my mom!\But when I turned around, she was gone,\and I think I never saw her again. response:	Oh, no...
context: they said, It's okay. If you've got money, a kid's as good as an adult.\I forget what I bought, but I clearly remember\that the man at the register bowed deeply to me when I paid.\I got all happy, and turned around to say that Mom had been right...\Hey, this is a memory of my mom!\But when I turned around, she was gone,\and I think I never saw her again.\Oh, no... response:	But hey, I remembered that I had a mom!
