context: Unforgivable! He is the number one enemy of all junior high girls! response:	Impure fraternization! It's just unforgivable!
context: You will teach the humans the wrath of nature. You.\What are these?! Help!\By using the power of the monster,\you can control the animals and insects at will.\The more you use that power, the more your energy will increase.\According to what Motoki told me,\he's supposed to come this way after school.\I'm sorry. response:	I wasn't looking where I was going.
context: What are these?! Help!\By using the power of the monster,\you can control the animals and insects at will.\The more you use that power, the more your energy will increase.\According to what Motoki told me,\he's supposed to come this way after school.\I'm sorry.\I wasn't looking where I was going. response:	Not at all. I should have paid more attention, too.
context: By using the power of the monster,\you can control the animals and insects at will.\The more you use that power, the more your energy will increase.\According to what Motoki told me,\he's supposed to come this way after school.\I'm sorry.\I wasn't looking where I was going.\Not at all. I should have paid more attention, too. response:	If you don't mind, I'll take you out for tea as an apology.
context: you can control the animals and insects at will.\The more you use that power, the more your energy will increase.\According to what Motoki told me,\he's supposed to come this way after school.\I'm sorry.\I wasn't looking where I was going.\Not at all. I should have paid more attention, too.\If you don't mind, I'll take you out for tea as an apology. response:	My! All right, I will join you.
context: The more you use that power, the more your energy will increase.\According to what Motoki told me,\he's supposed to come this way after school.\I'm sorry.\I wasn't looking where I was going.\Not at all. I should have paid more attention, too.\If you don't mind, I'll take you out for tea as an apology.\My! All right, I will join you. response:	Good.
context: According to what Motoki told me,\he's supposed to come this way after school.\I'm sorry.\I wasn't looking where I was going.\Not at all. I should have paid more attention, too.\If you don't mind, I'll take you out for tea as an apology.\My! All right, I will join you.\Good. response:	Oh, it would be nice.
context: he's supposed to come this way after school.\I'm sorry.\I wasn't looking where I was going.\Not at all. I should have paid more attention, too.\If you don't mind, I'll take you out for tea as an apology.\My! All right, I will join you.\Good.\Oh, it would be nice. response:	For cake or bread, come to our shop! Juban Bakery Oh, it would be nice.
context: I'm sorry.\I wasn't looking where I was going.\Not at all. I should have paid more attention, too.\If you don't mind, I'll take you out for tea as an apology.\My! All right, I will join you.\Good.\Oh, it would be nice.\For cake or bread, come to our shop! Juban Bakery Oh, it would be nice. response:	For cake or bread, come to our shop! Juban Bakery
context: I wasn't looking where I was going.\Not at all. I should have paid more attention, too.\If you don't mind, I'll take you out for tea as an apology.\My! All right, I will join you.\Good.\Oh, it would be nice.\For cake or bread, come to our shop! Juban Bakery Oh, it would be nice.\For cake or bread, come to our shop! Juban Bakery response:	For cake or bread, come to our shop! Juban Bakery I'll bump into him on purpose and make an opportunity for myself!
context: Not at all. I should have paid more attention, too.\If you don't mind, I'll take you out for tea as an apology.\My! All right, I will join you.\Good.\Oh, it would be nice.\For cake or bread, come to our shop! Juban Bakery Oh, it would be nice.\For cake or bread, come to our shop! Juban Bakery\For cake or bread, come to our shop! Juban Bakery I'll bump into him on purpose and make an opportunity for myself! response:	Sheesh! You're going to gain weight again!
context: If you don't mind, I'll take you out for tea as an apology.\My! All right, I will join you.\Good.\Oh, it would be nice.\For cake or bread, come to our shop! Juban Bakery Oh, it would be nice.\For cake or bread, come to our shop! Juban Bakery\For cake or bread, come to our shop! Juban Bakery I'll bump into him on purpose and make an opportunity for myself!\Sheesh! You're going to gain weight again! response:	This is nothing!
context: My! All right, I will join you.\Good.\Oh, it would be nice.\For cake or bread, come to our shop! Juban Bakery Oh, it would be nice.\For cake or bread, come to our shop! Juban Bakery\For cake or bread, come to our shop! Juban Bakery I'll bump into him on purpose and make an opportunity for myself!\Sheesh! You're going to gain weight again!\This is nothing! response:	Oh, it's Rei!
context: Good.\Oh, it would be nice.\For cake or bread, come to our shop! Juban Bakery Oh, it would be nice.\For cake or bread, come to our shop! Juban Bakery\For cake or bread, come to our shop! Juban Bakery I'll bump into him on purpose and make an opportunity for myself!\Sheesh! You're going to gain weight again!\This is nothing!\Oh, it's Rei! response:	You're right. I wonder what she's doing?
context: Oh, it would be nice.\For cake or bread, come to our shop! Juban Bakery Oh, it would be nice.\For cake or bread, come to our shop! Juban Bakery\For cake or bread, come to our shop! Juban Bakery I'll bump into him on purpose and make an opportunity for myself!\Sheesh! You're going to gain weight again!\This is nothing!\Oh, it's Rei!\You're right. I wonder what she's doing? response:	Here he comes.
context: For cake or bread, come to our shop! Juban Bakery Oh, it would be nice.\For cake or bread, come to our shop! Juban Bakery\For cake or bread, come to our shop! Juban Bakery I'll bump into him on purpose and make an opportunity for myself!\Sheesh! You're going to gain weight again!\This is nothing!\Oh, it's Rei!\You're right. I wonder what she's doing?\Here he comes. response:	Now!
context: For cake or bread, come to our shop! Juban Bakery\For cake or bread, come to our shop! Juban Bakery I'll bump into him on purpose and make an opportunity for myself!\Sheesh! You're going to gain weight again!\This is nothing!\Oh, it's Rei!\You're right. I wonder what she's doing?\Here he comes.\Now! response:	Are you okay?!
context: For cake or bread, come to our shop! Juban Bakery I'll bump into him on purpose and make an opportunity for myself!\Sheesh! You're going to gain weight again!\This is nothing!\Oh, it's Rei!\You're right. I wonder what she's doing?\Here he comes.\Now!\Are you okay?! response:	I don't know what she was doing,
context: Sheesh! You're going to gain weight again!\This is nothing!\Oh, it's Rei!\You're right. I wonder what she's doing?\Here he comes.\Now!\Are you okay?!\I don't know what she was doing, response:	but Rei's pretty clumsy.
context: This is nothing!\Oh, it's Rei!\You're right. I wonder what she's doing?\Here he comes.\Now!\Are you okay?!\I don't know what she was doing,\but Rei's pretty clumsy. response:	Speak for yourself.
context: Oh, it's Rei!\You're right. I wonder what she's doing?\Here he comes.\Now!\Are you okay?!\I don't know what she was doing,\but Rei's pretty clumsy.\Speak for yourself. response:	I'm all right.
context: You're right. I wonder what she's doing?\Here he comes.\Now!\Are you okay?!\I don't know what she was doing,\but Rei's pretty clumsy.\Speak for yourself.\I'm all right. response:	Okay, glad to hear it.
context: Here he comes.\Now!\Are you okay?!\I don't know what she was doing,\but Rei's pretty clumsy.\Speak for yourself.\I'm all right.\Okay, glad to hear it. response:	What?!
context: Now!\Are you okay?!\I don't know what she was doing,\but Rei's pretty clumsy.\Speak for yourself.\I'm all right.\Okay, glad to hear it.\What?! response:	Excuse me...
context: Are you okay?!\I don't know what she was doing,\but Rei's pretty clumsy.\Speak for yourself.\I'm all right.\Okay, glad to hear it.\What?!\Excuse me... response:	Oh? You're that dumpling head's friend.
context: I don't know what she was doing,\but Rei's pretty clumsy.\Speak for yourself.\I'm all right.\Okay, glad to hear it.\What?!\Excuse me...\Oh? You're that dumpling head's friend. response:	Yes. My name is Rei Hino. Please just call me, Rei.
context: but Rei's pretty clumsy.\Speak for yourself.\I'm all right.\Okay, glad to hear it.\What?!\Excuse me...\Oh? You're that dumpling head's friend.\Yes. My name is Rei Hino. Please just call me, Rei. response:	Are you okay?
context: Speak for yourself.\I'm all right.\Okay, glad to hear it.\What?!\Excuse me...\Oh? You're that dumpling head's friend.\Yes. My name is Rei Hino. Please just call me, Rei.\Are you okay? response:	Sure, I'm fine, but...
context: I'm all right.\Okay, glad to hear it.\What?!\Excuse me...\Oh? You're that dumpling head's friend.\Yes. My name is Rei Hino. Please just call me, Rei.\Are you okay?\Sure, I'm fine, but... response:	I'm sorry. I will take you out for tea to make up for this.
context: Okay, glad to hear it.\What?!\Excuse me...\Oh? You're that dumpling head's friend.\Yes. My name is Rei Hino. Please just call me, Rei.\Are you okay?\Sure, I'm fine, but...\I'm sorry. I will take you out for tea to make up for this. response:	To make up for what?
context: What?!\Excuse me...\Oh? You're that dumpling head's friend.\Yes. My name is Rei Hino. Please just call me, Rei.\Are you okay?\Sure, I'm fine, but...\I'm sorry. I will take you out for tea to make up for this.\To make up for what? response:	Oh, well...
context: Excuse me...\Oh? You're that dumpling head's friend.\Yes. My name is Rei Hino. Please just call me, Rei.\Are you okay?\Sure, I'm fine, but...\I'm sorry. I will take you out for tea to make up for this.\To make up for what?\Oh, well... response:	For making you step on my head.
context: Oh? You're that dumpling head's friend.\Yes. My name is Rei Hino. Please just call me, Rei.\Are you okay?\Sure, I'm fine, but...\I'm sorry. I will take you out for tea to make up for this.\To make up for what?\Oh, well...\For making you step on my head. response:	What?
context: Yes. My name is Rei Hino. Please just call me, Rei.\Are you okay?\Sure, I'm fine, but...\I'm sorry. I will take you out for tea to make up for this.\To make up for what?\Oh, well...\For making you step on my head.\What? response:	Well, okay. I won't mind having tea with you.
context: Are you okay?\Sure, I'm fine, but...\I'm sorry. I will take you out for tea to make up for this.\To make up for what?\Oh, well...\For making you step on my head.\What?\Well, okay. I won't mind having tea with you. response:	Really?!
context: Sure, I'm fine, but...\I'm sorry. I will take you out for tea to make up for this.\To make up for what?\Oh, well...\For making you step on my head.\What?\Well, okay. I won't mind having tea with you.\Really?! response:	Yeah. Really?!
context: I'm sorry. I will take you out for tea to make up for this.\To make up for what?\Oh, well...\For making you step on my head.\What?\Well, okay. I won't mind having tea with you.\Really?!\Yeah. Really?! response:	Yeah.
context: To make up for what?\Oh, well...\For making you step on my head.\What?\Well, okay. I won't mind having tea with you.\Really?!\Yeah. Really?!\Yeah. response:	Yeah. Well, everything turned out okay in the end.
context: Oh, well...\For making you step on my head.\What?\Well, okay. I won't mind having tea with you.\Really?!\Yeah. Really?!\Yeah.\Yeah. Well, everything turned out okay in the end. response:	Well, everything turned out okay in the end.
context: For making you step on my head.\What?\Well, okay. I won't mind having tea with you.\Really?!\Yeah. Really?!\Yeah.\Yeah. Well, everything turned out okay in the end.\Well, everything turned out okay in the end. response:	What the hell is he doing?!
context: What?\Well, okay. I won't mind having tea with you.\Really?!\Yeah. Really?!\Yeah.\Yeah. Well, everything turned out okay in the end.\Well, everything turned out okay in the end.\What the hell is he doing?! response:	He's a college student and he's walking arm-in-arm with Rei!
context: Well, okay. I won't mind having tea with you.\Really?!\Yeah. Really?!\Yeah.\Yeah. Well, everything turned out okay in the end.\Well, everything turned out okay in the end.\What the hell is he doing?!\He's a college student and he's walking arm-in-arm with Rei! response:	Usagi, I don't think Mamoru is such a bad person, you know.
context: Really?!\Yeah. Really?!\Yeah.\Yeah. Well, everything turned out okay in the end.\Well, everything turned out okay in the end.\What the hell is he doing?!\He's a college student and he's walking arm-in-arm with Rei!\Usagi, I don't think Mamoru is such a bad person, you know. response:	Don't be silly! That's impure fraternization!
context: Yeah. Really?!\Yeah.\Yeah. Well, everything turned out okay in the end.\Well, everything turned out okay in the end.\What the hell is he doing?!\He's a college student and he's walking arm-in-arm with Rei!\Usagi, I don't think Mamoru is such a bad person, you know.\Don't be silly! That's impure fraternization! response:	Even the student guide says that's absolutely wrong!
context: Yeah.\Yeah. Well, everything turned out okay in the end.\Well, everything turned out okay in the end.\What the hell is he doing?!\He's a college student and he's walking arm-in-arm with Rei!\Usagi, I don't think Mamoru is such a bad person, you know.\Don't be silly! That's impure fraternization!\Even the student guide says that's absolutely wrong! response:	Anyway, Rei's in danger! We're following them!
context: Yeah. Well, everything turned out okay in the end.\Well, everything turned out okay in the end.\What the hell is he doing?!\He's a college student and he's walking arm-in-arm with Rei!\Usagi, I don't think Mamoru is such a bad person, you know.\Don't be silly! That's impure fraternization!\Even the student guide says that's absolutely wrong!\Anyway, Rei's in danger! We're following them! response:	Sheesh. She's just jealous, plain and simple.
context: Well, everything turned out okay in the end.\What the hell is he doing?!\He's a college student and he's walking arm-in-arm with Rei!\Usagi, I don't think Mamoru is such a bad person, you know.\Don't be silly! That's impure fraternization!\Even the student guide says that's absolutely wrong!\Anyway, Rei's in danger! We're following them!\Sheesh. She's just jealous, plain and simple. response:	Excuse me...
context: What the hell is he doing?!\He's a college student and he's walking arm-in-arm with Rei!\Usagi, I don't think Mamoru is such a bad person, you know.\Don't be silly! That's impure fraternization!\Even the student guide says that's absolutely wrong!\Anyway, Rei's in danger! We're following them!\Sheesh. She's just jealous, plain and simple.\Excuse me... response:	Would you like some sugar?
context: He's a college student and he's walking arm-in-arm with Rei!\Usagi, I don't think Mamoru is such a bad person, you know.\Don't be silly! That's impure fraternization!\Even the student guide says that's absolutely wrong!\Anyway, Rei's in danger! We're following them!\Sheesh. She's just jealous, plain and simple.\Excuse me...\Would you like some sugar? response:	No thanks, I'm fine. Would you like some sugar?
context: Usagi, I don't think Mamoru is such a bad person, you know.\Don't be silly! That's impure fraternization!\Even the student guide says that's absolutely wrong!\Anyway, Rei's in danger! We're following them!\Sheesh. She's just jealous, plain and simple.\Excuse me...\Would you like some sugar?\No thanks, I'm fine. Would you like some sugar? response:	No thanks, I'm fine.
context: Don't be silly! That's impure fraternization!\Even the student guide says that's absolutely wrong!\Anyway, Rei's in danger! We're following them!\Sheesh. She's just jealous, plain and simple.\Excuse me...\Would you like some sugar?\No thanks, I'm fine. Would you like some sugar?\No thanks, I'm fine. response:	Oh, of course not!
context: Even the student guide says that's absolutely wrong!\Anyway, Rei's in danger! We're following them!\Sheesh. She's just jealous, plain and simple.\Excuse me...\Would you like some sugar?\No thanks, I'm fine. Would you like some sugar?\No thanks, I'm fine.\Oh, of course not! response:	Then I won't either.
context: Anyway, Rei's in danger! We're following them!\Sheesh. She's just jealous, plain and simple.\Excuse me...\Would you like some sugar?\No thanks, I'm fine. Would you like some sugar?\No thanks, I'm fine.\Oh, of course not!\Then I won't either. response:	I wonder what they're talking about?
context: Sheesh. She's just jealous, plain and simple.\Excuse me...\Would you like some sugar?\No thanks, I'm fine. Would you like some sugar?\No thanks, I'm fine.\Oh, of course not!\Then I won't either.\I wonder what they're talking about? response:	I wish I could go in.
context: Excuse me...\Would you like some sugar?\No thanks, I'm fine. Would you like some sugar?\No thanks, I'm fine.\Oh, of course not!\Then I won't either.\I wonder what they're talking about?\I wish I could go in. response:	It's your fault for spending all your money on ice cream.
context: Would you like some sugar?\No thanks, I'm fine. Would you like some sugar?\No thanks, I'm fine.\Oh, of course not!\Then I won't either.\I wonder what they're talking about?\I wish I could go in.\It's your fault for spending all your money on ice cream. response:	I know! I'll transform into a waitress and...
context: No thanks, I'm fine. Would you like some sugar?\No thanks, I'm fine.\Oh, of course not!\Then I won't either.\I wonder what they're talking about?\I wish I could go in.\It's your fault for spending all your money on ice cream.\I know! I'll transform into a waitress and... response:	No, you can't!
context: No thanks, I'm fine.\Oh, of course not!\Then I won't either.\I wonder what they're talking about?\I wish I could go in.\It's your fault for spending all your money on ice cream.\I know! I'll transform into a waitress and...\No, you can't! response:	Why not?
context: Oh, of course not!\Then I won't either.\I wonder what they're talking about?\I wish I could go in.\It's your fault for spending all your money on ice cream.\I know! I'll transform into a waitress and...\No, you can't!\Why not? response:	Because you're supposed to use that for justice! Why not?
context: Then I won't either.\I wonder what they're talking about?\I wish I could go in.\It's your fault for spending all your money on ice cream.\I know! I'll transform into a waitress and...\No, you can't!\Why not?\Because you're supposed to use that for justice! Why not? response:	Because you're supposed to use that for justice!
context: I wonder what they're talking about?\I wish I could go in.\It's your fault for spending all your money on ice cream.\I know! I'll transform into a waitress and...\No, you can't!\Why not?\Because you're supposed to use that for justice! Why not?\Because you're supposed to use that for justice! response:	Oh, come on! Just for a little while!
context: I wish I could go in.\It's your fault for spending all your money on ice cream.\I know! I'll transform into a waitress and...\No, you can't!\Why not?\Because you're supposed to use that for justice! Why not?\Because you're supposed to use that for justice!\Oh, come on! Just for a little while! response:	Miss Usagi! Oh, come on! Just for a little while!
context: It's your fault for spending all your money on ice cream.\I know! I'll transform into a waitress and...\No, you can't!\Why not?\Because you're supposed to use that for justice! Why not?\Because you're supposed to use that for justice!\Oh, come on! Just for a little while!\Miss Usagi! Oh, come on! Just for a little while! response:	Miss Usagi!
context: I know! I'll transform into a waitress and...\No, you can't!\Why not?\Because you're supposed to use that for justice! Why not?\Because you're supposed to use that for justice!\Oh, come on! Just for a little while!\Miss Usagi! Oh, come on! Just for a little while!\Miss Usagi! response:	What are you doing?
context: No, you can't!\Why not?\Because you're supposed to use that for justice! Why not?\Because you're supposed to use that for justice!\Oh, come on! Just for a little while!\Miss Usagi! Oh, come on! Just for a little while!\Miss Usagi!\What are you doing? response:	Umino...
context: Why not?\Because you're supposed to use that for justice! Why not?\Because you're supposed to use that for justice!\Oh, come on! Just for a little while!\Miss Usagi! Oh, come on! Just for a little while!\Miss Usagi!\What are you doing?\Umino... response:	Umino, do you have any money on you?
context: Because you're supposed to use that for justice! Why not?\Because you're supposed to use that for justice!\Oh, come on! Just for a little while!\Miss Usagi! Oh, come on! Just for a little while!\Miss Usagi!\What are you doing?\Umino...\Umino, do you have any money on you? response:	Yes, I do...
context: Because you're supposed to use that for justice!\Oh, come on! Just for a little while!\Miss Usagi! Oh, come on! Just for a little while!\Miss Usagi!\What are you doing?\Umino...\Umino, do you have any money on you?\Yes, I do... response:	Then how about going on a date with me right now?
context: Oh, come on! Just for a little while!\Miss Usagi! Oh, come on! Just for a little while!\Miss Usagi!\What are you doing?\Umino...\Umino, do you have any money on you?\Yes, I do...\Then how about going on a date with me right now? response:	What?! Really?!
context: Miss Usagi! Oh, come on! Just for a little while!\Miss Usagi!\What are you doing?\Umino...\Umino, do you have any money on you?\Yes, I do...\Then how about going on a date with me right now?\What?! Really?! response:	I can't keep up with the way she thinks.
context: Miss Usagi!\What are you doing?\Umino...\Umino, do you have any money on you?\Yes, I do...\Then how about going on a date with me right now?\What?! Really?!\I can't keep up with the way she thinks. response:	Mamoru, I know of a really nice place.
context: What are you doing?\Umino...\Umino, do you have any money on you?\Yes, I do...\Then how about going on a date with me right now?\What?! Really?!\I can't keep up with the way she thinks.\Mamoru, I know of a really nice place. response:	Would you like to go there with me?
context: Umino...\Umino, do you have any money on you?\Yes, I do...\Then how about going on a date with me right now?\What?! Really?!\I can't keep up with the way she thinks.\Mamoru, I know of a really nice place.\Would you like to go there with me? response:	Sure, I don't mind.
context: Umino, do you have any money on you?\Yes, I do...\Then how about going on a date with me right now?\What?! Really?!\I can't keep up with the way she thinks.\Mamoru, I know of a really nice place.\Would you like to go there with me?\Sure, I don't mind. response:	Really?!
context: Yes, I do...\Then how about going on a date with me right now?\What?! Really?!\I can't keep up with the way she thinks.\Mamoru, I know of a really nice place.\Would you like to go there with me?\Sure, I don't mind.\Really?! response:	Everything is going according to plan.
context: Then how about going on a date with me right now?\What?! Really?!\I can't keep up with the way she thinks.\Mamoru, I know of a really nice place.\Would you like to go there with me?\Sure, I don't mind.\Really?!\Everything is going according to plan. response:	Shoot! I can't hear them from here either.
context: What?! Really?!\I can't keep up with the way she thinks.\Mamoru, I know of a really nice place.\Would you like to go there with me?\Sure, I don't mind.\Really?!\Everything is going according to plan.\Shoot! I can't hear them from here either. response:	Ami.
context: I can't keep up with the way she thinks.\Mamoru, I know of a really nice place.\Would you like to go there with me?\Sure, I don't mind.\Really?!\Everything is going according to plan.\Shoot! I can't hear them from here either.\Ami. response:	Luna!
context: Mamoru, I know of a really nice place.\Would you like to go there with me?\Sure, I don't mind.\Really?!\Everything is going according to plan.\Shoot! I can't hear them from here either.\Ami.\Luna! response:	What's wrong? You don't look very cheerful.
context: Would you like to go there with me?\Sure, I don't mind.\Really?!\Everything is going according to plan.\Shoot! I can't hear them from here either.\Ami.\Luna!\What's wrong? You don't look very cheerful. response:	Yeah...
context: Sure, I don't mind.\Really?!\Everything is going according to plan.\Shoot! I can't hear them from here either.\Ami.\Luna!\What's wrong? You don't look very cheerful.\Yeah... response:	Well...
context: Really?!\Everything is going according to plan.\Shoot! I can't hear them from here either.\Ami.\Luna!\What's wrong? You don't look very cheerful.\Yeah...\Well... response:	It seems the construction company
context: Everything is going according to plan.\Shoot! I can't hear them from here either.\Ami.\Luna!\What's wrong? You don't look very cheerful.\Yeah...\Well...\It seems the construction company response:	that was working on the park just left.
context: Shoot! I can't hear them from here either.\Ami.\Luna!\What's wrong? You don't look very cheerful.\Yeah...\Well...\It seems the construction company\that was working on the park just left. response:	As a result, the park will stay as it is for now.
context: Ami.\Luna!\What's wrong? You don't look very cheerful.\Yeah...\Well...\It seems the construction company\that was working on the park just left.\As a result, the park will stay as it is for now. response:	So, we would like you to continue to be the park's caretaker.
context: Luna!\What's wrong? You don't look very cheerful.\Yeah...\Well...\It seems the construction company\that was working on the park just left.\As a result, the park will stay as it is for now.\So, we would like you to continue to be the park's caretaker. response:	What? The caretaker of this park?
context: What's wrong? You don't look very cheerful.\Yeah...\Well...\It seems the construction company\that was working on the park just left.\As a result, the park will stay as it is for now.\So, we would like you to continue to be the park's caretaker.\What? The caretaker of this park? response:	Yes. He was the same until yesterday, but...
context: Yeah...\Well...\It seems the construction company\that was working on the park just left.\As a result, the park will stay as it is for now.\So, we would like you to continue to be the park's caretaker.\What? The caretaker of this park?\Yes. He was the same until yesterday, but... response:	You should not come to this park without good reason from now on.
context: Well...\It seems the construction company\that was working on the park just left.\As a result, the park will stay as it is for now.\So, we would like you to continue to be the park's caretaker.\What? The caretaker of this park?\Yes. He was the same until yesterday, but...\You should not come to this park without good reason from now on. response:	You people don't deserve to enjoy the boons of nature.
context: It seems the construction company\that was working on the park just left.\As a result, the park will stay as it is for now.\So, we would like you to continue to be the park's caretaker.\What? The caretaker of this park?\Yes. He was the same until yesterday, but...\You should not come to this park without good reason from now on.\You people don't deserve to enjoy the boons of nature. response:	I wonder what happened to him?
context: that was working on the park just left.\As a result, the park will stay as it is for now.\So, we would like you to continue to be the park's caretaker.\What? The caretaker of this park?\Yes. He was the same until yesterday, but...\You should not come to this park without good reason from now on.\You people don't deserve to enjoy the boons of nature.\I wonder what happened to him? response:	That construction company is pitiful!
context: As a result, the park will stay as it is for now.\So, we would like you to continue to be the park's caretaker.\What? The caretaker of this park?\Yes. He was the same until yesterday, but...\You should not come to this park without good reason from now on.\You people don't deserve to enjoy the boons of nature.\I wonder what happened to him?\That construction company is pitiful! response:	There's no way animals and insects would interfere with the construction!
context: So, we would like you to continue to be the park's caretaker.\What? The caretaker of this park?\Yes. He was the same until yesterday, but...\You should not come to this park without good reason from now on.\You people don't deserve to enjoy the boons of nature.\I wonder what happened to him?\That construction company is pitiful!\There's no way animals and insects would interfere with the construction! response:	What?! What are these?!
context: What? The caretaker of this park?\Yes. He was the same until yesterday, but...\You should not come to this park without good reason from now on.\You people don't deserve to enjoy the boons of nature.\I wonder what happened to him?\That construction company is pitiful!\There's no way animals and insects would interfere with the construction!\What?! What are these?! response:	What's going on?
context: Yes. He was the same until yesterday, but...\You should not come to this park without good reason from now on.\You people don't deserve to enjoy the boons of nature.\I wonder what happened to him?\That construction company is pitiful!\There's no way animals and insects would interfere with the construction!\What?! What are these?!\What's going on? response:	I'll never do anything to this park again! Forgive me!
context: You should not come to this park without good reason from now on.\You people don't deserve to enjoy the boons of nature.\I wonder what happened to him?\That construction company is pitiful!\There's no way animals and insects would interfere with the construction!\What?! What are these?!\What's going on?\I'll never do anything to this park again! Forgive me! response:	This place is filled with a powerful evil aura!
context: You people don't deserve to enjoy the boons of nature.\I wonder what happened to him?\That construction company is pitiful!\There's no way animals and insects would interfere with the construction!\What?! What are these?!\What's going on?\I'll never do anything to this park again! Forgive me!\This place is filled with a powerful evil aura! response:	What?!
context: I wonder what happened to him?\That construction company is pitiful!\There's no way animals and insects would interfere with the construction!\What?! What are these?!\What's going on?\I'll never do anything to this park again! Forgive me!\This place is filled with a powerful evil aura!\What?! response:	This must be the work of the Dark Kingdom! What?!
context: That construction company is pitiful!\There's no way animals and insects would interfere with the construction!\What?! What are these?!\What's going on?\I'll never do anything to this park again! Forgive me!\This place is filled with a powerful evil aura!\What?!\This must be the work of the Dark Kingdom! What?! response:	This must be the work of the Dark Kingdom!
context: There's no way animals and insects would interfere with the construction!\What?! What are these?!\What's going on?\I'll never do anything to this park again! Forgive me!\This place is filled with a powerful evil aura!\What?!\This must be the work of the Dark Kingdom! What?!\This must be the work of the Dark Kingdom! response:	Oh, no.
context: What?! What are these?!\What's going on?\I'll never do anything to this park again! Forgive me!\This place is filled with a powerful evil aura!\What?!\This must be the work of the Dark Kingdom! What?!\This must be the work of the Dark Kingdom!\Oh, no. response:	Then Mr. Kunitachi could also be...
context: What's going on?\I'll never do anything to this park again! Forgive me!\This place is filled with a powerful evil aura!\What?!\This must be the work of the Dark Kingdom! What?!\This must be the work of the Dark Kingdom!\Oh, no.\Then Mr. Kunitachi could also be... response:	I didn't know there was a park like this in this city.
context: I'll never do anything to this park again! Forgive me!\This place is filled with a powerful evil aura!\What?!\This must be the work of the Dark Kingdom! What?!\This must be the work of the Dark Kingdom!\Oh, no.\Then Mr. Kunitachi could also be...\I didn't know there was a park like this in this city. response:	But this park is going to be torn down soon.
context: This place is filled with a powerful evil aura!\What?!\This must be the work of the Dark Kingdom! What?!\This must be the work of the Dark Kingdom!\Oh, no.\Then Mr. Kunitachi could also be...\I didn't know there was a park like this in this city.\But this park is going to be torn down soon. response:	I heard they're turning it into a business district.
context: What?!\This must be the work of the Dark Kingdom! What?!\This must be the work of the Dark Kingdom!\Oh, no.\Then Mr. Kunitachi could also be...\I didn't know there was a park like this in this city.\But this park is going to be torn down soon.\I heard they're turning it into a business district. response:	I see.
context: This must be the work of the Dark Kingdom! What?!\This must be the work of the Dark Kingdom!\Oh, no.\Then Mr. Kunitachi could also be...\I didn't know there was a park like this in this city.\But this park is going to be torn down soon.\I heard they're turning it into a business district.\I see. response:	It's such a nice park surrounded by beautiful nature.
context: This must be the work of the Dark Kingdom!\Oh, no.\Then Mr. Kunitachi could also be...\I didn't know there was a park like this in this city.\But this park is going to be torn down soon.\I heard they're turning it into a business district.\I see.\It's such a nice park surrounded by beautiful nature. response:	You think so too, Mamoru?
context: Oh, no.\Then Mr. Kunitachi could also be...\I didn't know there was a park like this in this city.\But this park is going to be torn down soon.\I heard they're turning it into a business district.\I see.\It's such a nice park surrounded by beautiful nature.\You think so too, Mamoru? response:	Yes. People should think about taking better care of nature.
context: Then Mr. Kunitachi could also be...\I didn't know there was a park like this in this city.\But this park is going to be torn down soon.\I heard they're turning it into a business district.\I see.\It's such a nice park surrounded by beautiful nature.\You think so too, Mamoru?\Yes. People should think about taking better care of nature. response:	Mamoru...
context: I didn't know there was a park like this in this city.\But this park is going to be torn down soon.\I heard they're turning it into a business district.\I see.\It's such a nice park surrounded by beautiful nature.\You think so too, Mamoru?\Yes. People should think about taking better care of nature.\Mamoru... response:	What could they be chatting about?!
context: But this park is going to be torn down soon.\I heard they're turning it into a business district.\I see.\It's such a nice park surrounded by beautiful nature.\You think so too, Mamoru?\Yes. People should think about taking better care of nature.\Mamoru...\What could they be chatting about?! response:	I'll just have to get closer to them.
context: I heard they're turning it into a business district.\I see.\It's such a nice park surrounded by beautiful nature.\You think so too, Mamoru?\Yes. People should think about taking better care of nature.\Mamoru...\What could they be chatting about?!\I'll just have to get closer to them. response:	Usagi, you're too bold.
context: I see.\It's such a nice park surrounded by beautiful nature.\You think so too, Mamoru?\Yes. People should think about taking better care of nature.\Mamoru...\What could they be chatting about?!\I'll just have to get closer to them.\Usagi, you're too bold. response:	This is not the place for...
context: It's such a nice park surrounded by beautiful nature.\You think so too, Mamoru?\Yes. People should think about taking better care of nature.\Mamoru...\What could they be chatting about?!\I'll just have to get closer to them.\Usagi, you're too bold.\This is not the place for... response:	We should have a pure relationship, like good junior high kids.
context: You think so too, Mamoru?\Yes. People should think about taking better care of nature.\Mamoru...\What could they be chatting about?!\I'll just have to get closer to them.\Usagi, you're too bold.\This is not the place for...\We should have a pure relationship, like good junior high kids. response:	But maybe a kiss wouldn't hurt!
context: Yes. People should think about taking better care of nature.\Mamoru...\What could they be chatting about?!\I'll just have to get closer to them.\Usagi, you're too bold.\This is not the place for...\We should have a pure relationship, like good junior high kids.\But maybe a kiss wouldn't hurt! response:	Huh? Where did you go, Miss Usagi?!
context: Mamoru...\What could they be chatting about?!\I'll just have to get closer to them.\Usagi, you're too bold.\This is not the place for...\We should have a pure relationship, like good junior high kids.\But maybe a kiss wouldn't hurt!\Huh? Where did you go, Miss Usagi?! response:	Usagi!
