context: I thought you'd be back before us. response:	What are you doing?
context: Seriously? So we're back to how we started?\He wants to run at his own pace starting today.\Nico-chan Senpai said he wanted to try running at his own pace\during morning practice, too.\What? You sure he didn't just skip?\Kurahara!\Shut up!\It sounds like this thing is groaning! It's creepy! response:	But my legs...
context: He wants to run at his own pace starting today.\Nico-chan Senpai said he wanted to try running at his own pace\during morning practice, too.\What? You sure he didn't just skip?\Kurahara!\Shut up!\It sounds like this thing is groaning! It's creepy!\But my legs... response:	My butt is cramping.
context: Nico-chan Senpai said he wanted to try running at his own pace\during morning practice, too.\What? You sure he didn't just skip?\Kurahara!\Shut up!\It sounds like this thing is groaning! It's creepy!\But my legs...\My butt is cramping. response:	You're gonna curse us!
context: during morning practice, too.\What? You sure he didn't just skip?\Kurahara!\Shut up!\It sounds like this thing is groaning! It's creepy!\But my legs...\My butt is cramping.\You're gonna curse us! response:	You guys don't need to be here.
context: What? You sure he didn't just skip?\Kurahara!\Shut up!\It sounds like this thing is groaning! It's creepy!\But my legs...\My butt is cramping.\You're gonna curse us!\You guys don't need to be here. response:	Yeah, but we can't move anymore.
context: Kurahara!\Shut up!\It sounds like this thing is groaning! It's creepy!\But my legs...\My butt is cramping.\You're gonna curse us!\You guys don't need to be here.\Yeah, but we can't move anymore. response:	Maybe we can take a bath tomorrow.
context: Shut up!\It sounds like this thing is groaning! It's creepy!\But my legs...\My butt is cramping.\You're gonna curse us!\You guys don't need to be here.\Yeah, but we can't move anymore.\Maybe we can take a bath tomorrow. response:	Let's do that.
context: It sounds like this thing is groaning! It's creepy!\But my legs...\My butt is cramping.\You're gonna curse us!\You guys don't need to be here.\Yeah, but we can't move anymore.\Maybe we can take a bath tomorrow.\Let's do that. response:	Isn't that what you said yesterday?
context: But my legs...\My butt is cramping.\You're gonna curse us!\You guys don't need to be here.\Yeah, but we can't move anymore.\Maybe we can take a bath tomorrow.\Let's do that.\Isn't that what you said yesterday? response:	I found it.
context: My butt is cramping.\You're gonna curse us!\You guys don't need to be here.\Yeah, but we can't move anymore.\Maybe we can take a bath tomorrow.\Let's do that.\Isn't that what you said yesterday?\I found it. response:	A treadmill?
context: You're gonna curse us!\You guys don't need to be here.\Yeah, but we can't move anymore.\Maybe we can take a bath tomorrow.\Let's do that.\Isn't that what you said yesterday?\I found it.\A treadmill? response:	Yes.
context: You guys don't need to be here.\Yeah, but we can't move anymore.\Maybe we can take a bath tomorrow.\Let's do that.\Isn't that what you said yesterday?\I found it.\A treadmill?\Yes. response:	Ugh, but it's expensive.
context: Yeah, but we can't move anymore.\Maybe we can take a bath tomorrow.\Let's do that.\Isn't that what you said yesterday?\I found it.\A treadmill?\Yes.\Ugh, but it's expensive. response:	Is that what you've been shopping for?
context: Maybe we can take a bath tomorrow.\Let's do that.\Isn't that what you said yesterday?\I found it.\A treadmill?\Yes.\Ugh, but it's expensive.\Is that what you've been shopping for? response:	Yes. There must be a cheaper one somewhere...
context: Let's do that.\Isn't that what you said yesterday?\I found it.\A treadmill?\Yes.\Ugh, but it's expensive.\Is that what you've been shopping for?\Yes. There must be a cheaper one somewhere... response:	Hurry it up. You should go to Yuki's room.
context: Isn't that what you said yesterday?\I found it.\A treadmill?\Yes.\Ugh, but it's expensive.\Is that what you've been shopping for?\Yes. There must be a cheaper one somewhere...\Hurry it up. You should go to Yuki's room. response:	He'd never let me in his room.
context: I found it.\A treadmill?\Yes.\Ugh, but it's expensive.\Is that what you've been shopping for?\Yes. There must be a cheaper one somewhere...\Hurry it up. You should go to Yuki's room.\He'd never let me in his room. response:	You're right, especially not if they went with you.
context: A treadmill?\Yes.\Ugh, but it's expensive.\Is that what you've been shopping for?\Yes. There must be a cheaper one somewhere...\Hurry it up. You should go to Yuki's room.\He'd never let me in his room.\You're right, especially not if they went with you. response:	Jota, right there.
context: Yes.\Ugh, but it's expensive.\Is that what you've been shopping for?\Yes. There must be a cheaper one somewhere...\Hurry it up. You should go to Yuki's room.\He'd never let me in his room.\You're right, especially not if they went with you.\Jota, right there. response:	I'll try the same spot.
context: Ugh, but it's expensive.\Is that what you've been shopping for?\Yes. There must be a cheaper one somewhere...\Hurry it up. You should go to Yuki's room.\He'd never let me in his room.\You're right, especially not if they went with you.\Jota, right there.\I'll try the same spot. response:	Oh, it's so good.
context: Is that what you've been shopping for?\Yes. There must be a cheaper one somewhere...\Hurry it up. You should go to Yuki's room.\He'd never let me in his room.\You're right, especially not if they went with you.\Jota, right there.\I'll try the same spot.\Oh, it's so good. response:	That's gross!
context: Yes. There must be a cheaper one somewhere...\Hurry it up. You should go to Yuki's room.\He'd never let me in his room.\You're right, especially not if they went with you.\Jota, right there.\I'll try the same spot.\Oh, it's so good.\That's gross! response:	Why are you in such a bad mood?
context: Hurry it up. You should go to Yuki's room.\He'd never let me in his room.\You're right, especially not if they went with you.\Jota, right there.\I'll try the same spot.\Oh, it's so good.\That's gross!\Why are you in such a bad mood? response:	Is it withdrawal?
context: He'd never let me in his room.\You're right, especially not if they went with you.\Jota, right there.\I'll try the same spot.\Oh, it's so good.\That's gross!\Why are you in such a bad mood?\Is it withdrawal? response:	Anyway, Prince, does this mean you want to run now?
context: You're right, especially not if they went with you.\Jota, right there.\I'll try the same spot.\Oh, it's so good.\That's gross!\Why are you in such a bad mood?\Is it withdrawal?\Anyway, Prince, does this mean you want to run now? response:	No, but he's been pestering us to practice all the time.
context: Jota, right there.\I'll try the same spot.\Oh, it's so good.\That's gross!\Why are you in such a bad mood?\Is it withdrawal?\Anyway, Prince, does this mean you want to run now?\No, but he's been pestering us to practice all the time. response:	I'd like to at least be able to read comics while I do.
context: I'll try the same spot.\Oh, it's so good.\That's gross!\Why are you in such a bad mood?\Is it withdrawal?\Anyway, Prince, does this mean you want to run now?\No, but he's been pestering us to practice all the time.\I'd like to at least be able to read comics while I do. response:	This mouse is so hard to use.
context: Oh, it's so good.\That's gross!\Why are you in such a bad mood?\Is it withdrawal?\Anyway, Prince, does this mean you want to run now?\No, but he's been pestering us to practice all the time.\I'd like to at least be able to read comics while I do.\This mouse is so hard to use. response:	No, it's not a mouse!
context: That's gross!\Why are you in such a bad mood?\Is it withdrawal?\Anyway, Prince, does this mean you want to run now?\No, but he's been pestering us to practice all the time.\I'd like to at least be able to read comics while I do.\This mouse is so hard to use.\No, it's not a mouse! response:	What is this?!
context: Why are you in such a bad mood?\Is it withdrawal?\Anyway, Prince, does this mean you want to run now?\No, but he's been pestering us to practice all the time.\I'd like to at least be able to read comics while I do.\This mouse is so hard to use.\No, it's not a mouse!\What is this?! response:	What? Shut up already.
context: Is it withdrawal?\Anyway, Prince, does this mean you want to run now?\No, but he's been pestering us to practice all the time.\I'd like to at least be able to read comics while I do.\This mouse is so hard to use.\No, it's not a mouse!\What is this?!\What? Shut up already. response:	This!
context: Anyway, Prince, does this mean you want to run now?\No, but he's been pestering us to practice all the time.\I'd like to at least be able to read comics while I do.\This mouse is so hard to use.\No, it's not a mouse!\What is this?!\What? Shut up already.\This! response:	Yikes.
context: No, but he's been pestering us to practice all the time.\I'd like to at least be able to read comics while I do.\This mouse is so hard to use.\No, it's not a mouse!\What is this?!\What? Shut up already.\This!\Yikes. response:	It's so I wouldn't accidentally smoke.
context: I'd like to at least be able to read comics while I do.\This mouse is so hard to use.\No, it's not a mouse!\What is this?!\What? Shut up already.\This!\Yikes.\It's so I wouldn't accidentally smoke. response:	It's just like Rikiishi!
context: This mouse is so hard to use.\No, it's not a mouse!\What is this?!\What? Shut up already.\This!\Yikes.\It's so I wouldn't accidentally smoke.\It's just like Rikiishi! response:	Huh?
context: No, it's not a mouse!\What is this?!\What? Shut up already.\This!\Yikes.\It's so I wouldn't accidentally smoke.\It's just like Rikiishi!\Huh? response:	Are you a fan of Joe?
context: What is this?!\What? Shut up already.\This!\Yikes.\It's so I wouldn't accidentally smoke.\It's just like Rikiishi!\Huh?\Are you a fan of Joe? response:	That's not what I was trying to do.
context: What? Shut up already.\This!\Yikes.\It's so I wouldn't accidentally smoke.\It's just like Rikiishi!\Huh?\Are you a fan of Joe?\That's not what I was trying to do. response:	What's Rikiishi?
context: This!\Yikes.\It's so I wouldn't accidentally smoke.\It's just like Rikiishi!\Huh?\Are you a fan of Joe?\That's not what I was trying to do.\What's Rikiishi? response:	You don't know, you idiots?
context: Yikes.\It's so I wouldn't accidentally smoke.\It's just like Rikiishi!\Huh?\Are you a fan of Joe?\That's not what I was trying to do.\What's Rikiishi?\You don't know, you idiots? response:	He's a boxer. Joe's first, and greatest, rival.
context: It's so I wouldn't accidentally smoke.\It's just like Rikiishi!\Huh?\Are you a fan of Joe?\That's not what I was trying to do.\What's Rikiishi?\You don't know, you idiots?\He's a boxer. Joe's first, and greatest, rival. response:	In order to lose weight, he didn't allow himself to drink a single drop of water.
context: It's just like Rikiishi!\Huh?\Are you a fan of Joe?\That's not what I was trying to do.\What's Rikiishi?\You don't know, you idiots?\He's a boxer. Joe's first, and greatest, rival.\In order to lose weight, he didn't allow himself to drink a single drop of water. response:	He's a legendary boxer who ultimately died while standing in the ring.
context: Huh?\Are you a fan of Joe?\That's not what I was trying to do.\What's Rikiishi?\You don't know, you idiots?\He's a boxer. Joe's first, and greatest, rival.\In order to lose weight, he didn't allow himself to drink a single drop of water.\He's a legendary boxer who ultimately died while standing in the ring. response:	Whoa.
context: Are you a fan of Joe?\That's not what I was trying to do.\What's Rikiishi?\You don't know, you idiots?\He's a boxer. Joe's first, and greatest, rival.\In order to lose weight, he didn't allow himself to drink a single drop of water.\He's a legendary boxer who ultimately died while standing in the ring.\Whoa. response:	That's it?!
context: That's not what I was trying to do.\What's Rikiishi?\You don't know, you idiots?\He's a boxer. Joe's first, and greatest, rival.\In order to lose weight, he didn't allow himself to drink a single drop of water.\He's a legendary boxer who ultimately died while standing in the ring.\Whoa.\That's it?! response:	What? Nico-chan Senpai, are you okay?
context: What's Rikiishi?\You don't know, you idiots?\He's a boxer. Joe's first, and greatest, rival.\In order to lose weight, he didn't allow himself to drink a single drop of water.\He's a legendary boxer who ultimately died while standing in the ring.\Whoa.\That's it?!\What? Nico-chan Senpai, are you okay? response:	Don't die while standing during the Hakone Ekiden.
context: You don't know, you idiots?\He's a boxer. Joe's first, and greatest, rival.\In order to lose weight, he didn't allow himself to drink a single drop of water.\He's a legendary boxer who ultimately died while standing in the ring.\Whoa.\That's it?!\What? Nico-chan Senpai, are you okay?\Don't die while standing during the Hakone Ekiden. response:	Don't say such ominous things.
context: He's a boxer. Joe's first, and greatest, rival.\In order to lose weight, he didn't allow himself to drink a single drop of water.\He's a legendary boxer who ultimately died while standing in the ring.\Whoa.\That's it?!\What? Nico-chan Senpai, are you okay?\Don't die while standing during the Hakone Ekiden.\Don't say such ominous things. response:	You've touched my heart.
context: In order to lose weight, he didn't allow himself to drink a single drop of water.\He's a legendary boxer who ultimately died while standing in the ring.\Whoa.\That's it?!\What? Nico-chan Senpai, are you okay?\Don't die while standing during the Hakone Ekiden.\Don't say such ominous things.\You've touched my heart. response:	How?
context: He's a legendary boxer who ultimately died while standing in the ring.\Whoa.\That's it?!\What? Nico-chan Senpai, are you okay?\Don't die while standing during the Hakone Ekiden.\Don't say such ominous things.\You've touched my heart.\How? response:	I won't be beat!
context: Whoa.\That's it?!\What? Nico-chan Senpai, are you okay?\Don't die while standing during the Hakone Ekiden.\Don't say such ominous things.\You've touched my heart.\How?\I won't be beat! response:	I'm gonna buy a treadmill!
context: That's it?!\What? Nico-chan Senpai, are you okay?\Don't die while standing during the Hakone Ekiden.\Don't say such ominous things.\You've touched my heart.\How?\I won't be beat!\I'm gonna buy a treadmill! response:	Finally!
context: What? Nico-chan Senpai, are you okay?\Don't die while standing during the Hakone Ekiden.\Don't say such ominous things.\You've touched my heart.\How?\I won't be beat!\I'm gonna buy a treadmill!\Finally! response:	Add to Cart
context: Don't die while standing during the Hakone Ekiden.\Don't say such ominous things.\You've touched my heart.\How?\I won't be beat!\I'm gonna buy a treadmill!\Finally!\Add to Cart response:	The buy button is so far...
context: Don't say such ominous things.\You've touched my heart.\How?\I won't be beat!\I'm gonna buy a treadmill!\Finally!\Add to Cart\The buy button is so far... response:	Go, go, Prince! Go, go, Prince!
context: You've touched my heart.\How?\I won't be beat!\I'm gonna buy a treadmill!\Finally!\Add to Cart\The buy button is so far...\Go, go, Prince! Go, go, Prince! response:	Shut up! Go to the second floor!
context: How?\I won't be beat!\I'm gonna buy a treadmill!\Finally!\Add to Cart\The buy button is so far...\Go, go, Prince! Go, go, Prince!\Shut up! Go to the second floor! response:	Stay out of my room!
context: I won't be beat!\I'm gonna buy a treadmill!\Finally!\Add to Cart\The buy button is so far...\Go, go, Prince! Go, go, Prince!\Shut up! Go to the second floor!\Stay out of my room! response:	Our fixed-pace runs are twice as long.
context: I'm gonna buy a treadmill!\Finally!\Add to Cart\The buy button is so far...\Go, go, Prince! Go, go, Prince!\Shut up! Go to the second floor!\Stay out of my room!\Our fixed-pace runs are twice as long. response:	The build-up runs have increased a lot, too.
context: Finally!\Add to Cart\The buy button is so far...\Go, go, Prince! Go, go, Prince!\Shut up! Go to the second floor!\Stay out of my room!\Our fixed-pace runs are twice as long.\The build-up runs have increased a lot, too. response:	I considered each of you individually.
context: Add to Cart\The buy button is so far...\Go, go, Prince! Go, go, Prince!\Shut up! Go to the second floor!\Stay out of my room!\Our fixed-pace runs are twice as long.\The build-up runs have increased a lot, too.\I considered each of you individually. response:	We'll increase the intensity of practice in any way we can.
context: The buy button is so far...\Go, go, Prince! Go, go, Prince!\Shut up! Go to the second floor!\Stay out of my room!\Our fixed-pace runs are twice as long.\The build-up runs have increased a lot, too.\I considered each of you individually.\We'll increase the intensity of practice in any way we can. response:	Let's try it. I'm sure we can do it.
context: Go, go, Prince! Go, go, Prince!\Shut up! Go to the second floor!\Stay out of my room!\Our fixed-pace runs are twice as long.\The build-up runs have increased a lot, too.\I considered each of you individually.\We'll increase the intensity of practice in any way we can.\Let's try it. I'm sure we can do it. response:	Yeah.
context: Shut up! Go to the second floor!\Stay out of my room!\Our fixed-pace runs are twice as long.\The build-up runs have increased a lot, too.\I considered each of you individually.\We'll increase the intensity of practice in any way we can.\Let's try it. I'm sure we can do it.\Yeah. response:	Hold on. Is that okay?
context: Stay out of my room!\Our fixed-pace runs are twice as long.\The build-up runs have increased a lot, too.\I considered each of you individually.\We'll increase the intensity of practice in any way we can.\Let's try it. I'm sure we can do it.\Yeah.\Hold on. Is that okay? response:	Build-up runs are speed training, right?
context: Our fixed-pace runs are twice as long.\The build-up runs have increased a lot, too.\I considered each of you individually.\We'll increase the intensity of practice in any way we can.\Let's try it. I'm sure we can do it.\Yeah.\Hold on. Is that okay?\Build-up runs are speed training, right? response:	They're exhausting and hard on your legs.
context: The build-up runs have increased a lot, too.\I considered each of you individually.\We'll increase the intensity of practice in any way we can.\Let's try it. I'm sure we can do it.\Yeah.\Hold on. Is that okay?\Build-up runs are speed training, right?\They're exhausting and hard on your legs. response:	What?
context: I considered each of you individually.\We'll increase the intensity of practice in any way we can.\Let's try it. I'm sure we can do it.\Yeah.\Hold on. Is that okay?\Build-up runs are speed training, right?\They're exhausting and hard on your legs.\What? response:	Yuki, you finally feel like running?
context: We'll increase the intensity of practice in any way we can.\Let's try it. I'm sure we can do it.\Yeah.\Hold on. Is that okay?\Build-up runs are speed training, right?\They're exhausting and hard on your legs.\What?\Yuki, you finally feel like running? response:	No! I'm just worried about you guys!
context: Let's try it. I'm sure we can do it.\Yeah.\Hold on. Is that okay?\Build-up runs are speed training, right?\They're exhausting and hard on your legs.\What?\Yuki, you finally feel like running?\No! I'm just worried about you guys! response:	I knew you cared.
context: Yeah.\Hold on. Is that okay?\Build-up runs are speed training, right?\They're exhausting and hard on your legs.\What?\Yuki, you finally feel like running?\No! I'm just worried about you guys!\I knew you cared. response:	If we injure ourselves, we'll have nothing.
context: Hold on. Is that okay?\Build-up runs are speed training, right?\They're exhausting and hard on your legs.\What?\Yuki, you finally feel like running?\No! I'm just worried about you guys!\I knew you cared.\If we injure ourselves, we'll have nothing. response:	Yuki's right.
context: Build-up runs are speed training, right?\They're exhausting and hard on your legs.\What?\Yuki, you finally feel like running?\No! I'm just worried about you guys!\I knew you cared.\If we injure ourselves, we'll have nothing.\Yuki's right. response:	Some of you will struggle with build-ups,
context: They're exhausting and hard on your legs.\What?\Yuki, you finally feel like running?\No! I'm just worried about you guys!\I knew you cared.\If we injure ourselves, we'll have nothing.\Yuki's right.\Some of you will struggle with build-ups, response:	so I've incorporated interval runs, as well.
context: What?\Yuki, you finally feel like running?\No! I'm just worried about you guys!\I knew you cared.\If we injure ourselves, we'll have nothing.\Yuki's right.\Some of you will struggle with build-ups,\so I've incorporated interval runs, as well. response:	What?! You're adding more?
context: Yuki, you finally feel like running?\No! I'm just worried about you guys!\I knew you cared.\If we injure ourselves, we'll have nothing.\Yuki's right.\Some of you will struggle with build-ups,\so I've incorporated interval runs, as well.\What?! You're adding more? response:	Were you listening to what Yuki said?
context: No! I'm just worried about you guys!\I knew you cared.\If we injure ourselves, we'll have nothing.\Yuki's right.\Some of you will struggle with build-ups,\so I've incorporated interval runs, as well.\What?! You're adding more?\Were you listening to what Yuki said? response:	Let's do it. We're wasting time.
context: I knew you cared.\If we injure ourselves, we'll have nothing.\Yuki's right.\Some of you will struggle with build-ups,\so I've incorporated interval runs, as well.\What?! You're adding more?\Were you listening to what Yuki said?\Let's do it. We're wasting time. response:	Let's split into two groups.
context: If we injure ourselves, we'll have nothing.\Yuki's right.\Some of you will struggle with build-ups,\so I've incorporated interval runs, as well.\What?! You're adding more?\Were you listening to what Yuki said?\Let's do it. We're wasting time.\Let's split into two groups. response:	You can do it. You've got this, Prince.
context: Yuki's right.\Some of you will struggle with build-ups,\so I've incorporated interval runs, as well.\What?! You're adding more?\Were you listening to what Yuki said?\Let's do it. We're wasting time.\Let's split into two groups.\You can do it. You've got this, Prince. response:	I can do it?
context: Some of you will struggle with build-ups,\so I've incorporated interval runs, as well.\What?! You're adding more?\Were you listening to what Yuki said?\Let's do it. We're wasting time.\Let's split into two groups.\You can do it. You've got this, Prince.\I can do it? response:	What do you think I can do?
context: so I've incorporated interval runs, as well.\What?! You're adding more?\Were you listening to what Yuki said?\Let's do it. We're wasting time.\Let's split into two groups.\You can do it. You've got this, Prince.\I can do it?\What do you think I can do? response:	Run on the left!
context: What?! You're adding more?\Were you listening to what Yuki said?\Let's do it. We're wasting time.\Let's split into two groups.\You can do it. You've got this, Prince.\I can do it?\What do you think I can do?\Run on the left! response:	Ugh
context: Were you listening to what Yuki said?\Let's do it. We're wasting time.\Let's split into two groups.\You can do it. You've got this, Prince.\I can do it?\What do you think I can do?\Run on the left!\Ugh response:	Clear the path!
context: Let's do it. We're wasting time.\Let's split into two groups.\You can do it. You've got this, Prince.\I can do it?\What do you think I can do?\Run on the left!\Ugh\Clear the path! response:	Okay...
context: Let's split into two groups.\You can do it. You've got this, Prince.\I can do it?\What do you think I can do?\Run on the left!\Ugh\Clear the path!\Okay... response:	What?
context: You can do it. You've got this, Prince.\I can do it?\What do you think I can do?\Run on the left!\Ugh\Clear the path!\Okay...\What? response:	Are you running tonight?
context: I can do it?\What do you think I can do?\Run on the left!\Ugh\Clear the path!\Okay...\What?\Are you running tonight? response:	Are you going jogging tonight?
context: What do you think I can do?\Run on the left!\Ugh\Clear the path!\Okay...\What?\Are you running tonight?\Are you going jogging tonight? response:	Oh, uh...
context: Run on the left!\Ugh\Clear the path!\Okay...\What?\Are you running tonight?\Are you going jogging tonight?\Oh, uh... response:	We're exhausted from practice today.
context: Ugh\Clear the path!\Okay...\What?\Are you running tonight?\Are you going jogging tonight?\Oh, uh...\We're exhausted from practice today. response:	Then, even though we've stepped up practice, we won't have gained anything.
context: Clear the path!\Okay...\What?\Are you running tonight?\Are you going jogging tonight?\Oh, uh...\We're exhausted from practice today.\Then, even though we've stepped up practice, we won't have gained anything. response:	But...
context: Okay...\What?\Are you running tonight?\Are you going jogging tonight?\Oh, uh...\We're exhausted from practice today.\Then, even though we've stepped up practice, we won't have gained anything.\But... response:	We were jogging at night for other reasons.
context: What?\Are you running tonight?\Are you going jogging tonight?\Oh, uh...\We're exhausted from practice today.\Then, even though we've stepped up practice, we won't have gained anything.\But...\We were jogging at night for other reasons. response:	The fan club, right? Have you been gaining members?
context: Are you running tonight?\Are you going jogging tonight?\Oh, uh...\We're exhausted from practice today.\Then, even though we've stepped up practice, we won't have gained anything.\But...\We were jogging at night for other reasons.\The fan club, right? Have you been gaining members? response:	Slowly.
context: Are you going jogging tonight?\Oh, uh...\We're exhausted from practice today.\Then, even though we've stepped up practice, we won't have gained anything.\But...\We were jogging at night for other reasons.\The fan club, right? Have you been gaining members?\Slowly. response:	But I'm too exhausted to recruit.
context: Oh, uh...\We're exhausted from practice today.\Then, even though we've stepped up practice, we won't have gained anything.\But...\We were jogging at night for other reasons.\The fan club, right? Have you been gaining members?\Slowly.\But I'm too exhausted to recruit. response:	Kakeru, behind you!
context: We're exhausted from practice today.\Then, even though we've stepped up practice, we won't have gained anything.\But...\We were jogging at night for other reasons.\The fan club, right? Have you been gaining members?\Slowly.\But I'm too exhausted to recruit.\Kakeru, behind you! response:	Hey, watch out!
context: Then, even though we've stepped up practice, we won't have gained anything.\But...\We were jogging at night for other reasons.\The fan club, right? Have you been gaining members?\Slowly.\But I'm too exhausted to recruit.\Kakeru, behind you!\Hey, watch out! response:	Be careful.
context: But...\We were jogging at night for other reasons.\The fan club, right? Have you been gaining members?\Slowly.\But I'm too exhausted to recruit.\Kakeru, behind you!\Hey, watch out!\Be careful. response:	Practice lasts until we get home.
context: We were jogging at night for other reasons.\The fan club, right? Have you been gaining members?\Slowly.\But I'm too exhausted to recruit.\Kakeru, behind you!\Hey, watch out!\Be careful.\Practice lasts until we get home. response:	Teacher says the field trip lasts until we get home.
context: The fan club, right? Have you been gaining members?\Slowly.\But I'm too exhausted to recruit.\Kakeru, behind you!\Hey, watch out!\Be careful.\Practice lasts until we get home.\Teacher says the field trip lasts until we get home. response:	You've got energy to spare.
context: Slowly.\But I'm too exhausted to recruit.\Kakeru, behind you!\Hey, watch out!\Be careful.\Practice lasts until we get home.\Teacher says the field trip lasts until we get home.\You've got energy to spare. response:	I'm really thinking about quitting today.
context: But I'm too exhausted to recruit.\Kakeru, behind you!\Hey, watch out!\Be careful.\Practice lasts until we get home.\Teacher says the field trip lasts until we get home.\You've got energy to spare.\I'm really thinking about quitting today. response:	Let's keep going. We shouldn't quit what we've started.
context: Kakeru, behind you!\Hey, watch out!\Be careful.\Practice lasts until we get home.\Teacher says the field trip lasts until we get home.\You've got energy to spare.\I'm really thinking about quitting today.\Let's keep going. We shouldn't quit what we've started. response:	He sure is fast, isn't he?
context: Hey, watch out!\Be careful.\Practice lasts until we get home.\Teacher says the field trip lasts until we get home.\You've got energy to spare.\I'm really thinking about quitting today.\Let's keep going. We shouldn't quit what we've started.\He sure is fast, isn't he? response:	Whoa!
context: Be careful.\Practice lasts until we get home.\Teacher says the field trip lasts until we get home.\You've got energy to spare.\I'm really thinking about quitting today.\Let's keep going. We shouldn't quit what we've started.\He sure is fast, isn't he?\Whoa! response:	It's so hot!
context: Practice lasts until we get home.\Teacher says the field trip lasts until we get home.\You've got energy to spare.\I'm really thinking about quitting today.\Let's keep going. We shouldn't quit what we've started.\He sure is fast, isn't he?\Whoa!\It's so hot! response:	This is it! This feels great!
context: Teacher says the field trip lasts until we get home.\You've got energy to spare.\I'm really thinking about quitting today.\Let's keep going. We shouldn't quit what we've started.\He sure is fast, isn't he?\Whoa!\It's so hot!\This is it! This feels great! response:	The bath is hell,
context: You've got energy to spare.\I'm really thinking about quitting today.\Let's keep going. We shouldn't quit what we've started.\He sure is fast, isn't he?\Whoa!\It's so hot!\This is it! This feels great!\The bath is hell, response:	but the sauna is pretty bad, too.
context: I'm really thinking about quitting today.\Let's keep going. We shouldn't quit what we've started.\He sure is fast, isn't he?\Whoa!\It's so hot!\This is it! This feels great!\The bath is hell,\but the sauna is pretty bad, too. response:	Don't forget to hydrate.
context: Let's keep going. We shouldn't quit what we've started.\He sure is fast, isn't he?\Whoa!\It's so hot!\This is it! This feels great!\The bath is hell,\but the sauna is pretty bad, too.\Don't forget to hydrate. response:	I'm sure you know, but Nico-chan Senpai's pushing himself too hard.
context: He sure is fast, isn't he?\Whoa!\It's so hot!\This is it! This feels great!\The bath is hell,\but the sauna is pretty bad, too.\Don't forget to hydrate.\I'm sure you know, but Nico-chan Senpai's pushing himself too hard. response:	Kakeru's egging him on.
context: Whoa!\It's so hot!\This is it! This feels great!\The bath is hell,\but the sauna is pretty bad, too.\Don't forget to hydrate.\I'm sure you know, but Nico-chan Senpai's pushing himself too hard.\Kakeru's egging him on. response:	Egging him on?
context: It's so hot!\This is it! This feels great!\The bath is hell,\but the sauna is pretty bad, too.\Don't forget to hydrate.\I'm sure you know, but Nico-chan Senpai's pushing himself too hard.\Kakeru's egging him on.\Egging him on? response:	He used to run track.
context: This is it! This feels great!\The bath is hell,\but the sauna is pretty bad, too.\Don't forget to hydrate.\I'm sure you know, but Nico-chan Senpai's pushing himself too hard.\Kakeru's egging him on.\Egging him on?\He used to run track. response:	Having a fast guy tell him he can do it probably makes him feel like he can.
context: The bath is hell,\but the sauna is pretty bad, too.\Don't forget to hydrate.\I'm sure you know, but Nico-chan Senpai's pushing himself too hard.\Kakeru's egging him on.\Egging him on?\He used to run track.\Having a fast guy tell him he can do it probably makes him feel like he can. response:	I think it's dangerous.
context: but the sauna is pretty bad, too.\Don't forget to hydrate.\I'm sure you know, but Nico-chan Senpai's pushing himself too hard.\Kakeru's egging him on.\Egging him on?\He used to run track.\Having a fast guy tell him he can do it probably makes him feel like he can.\I think it's dangerous. response:	What's the hardest part about section 8?
context: Don't forget to hydrate.\I'm sure you know, but Nico-chan Senpai's pushing himself too hard.\Kakeru's egging him on.\Egging him on?\He used to run track.\Having a fast guy tell him he can do it probably makes him feel like he can.\I think it's dangerous.\What's the hardest part about section 8? response:	Too easy. The Yugyo-ji Temple Slope.
context: I'm sure you know, but Nico-chan Senpai's pushing himself too hard.\Kakeru's egging him on.\Egging him on?\He used to run track.\Having a fast guy tell him he can do it probably makes him feel like he can.\I think it's dangerous.\What's the hardest part about section 8?\Too easy. The Yugyo-ji Temple Slope. response:	Correct.
context: Kakeru's egging him on.\Egging him on?\He used to run track.\Having a fast guy tell him he can do it probably makes him feel like he can.\I think it's dangerous.\What's the hardest part about section 8?\Too easy. The Yugyo-ji Temple Slope.\Correct. response:	Yeah!
context: Egging him on?\He used to run track.\Having a fast guy tell him he can do it probably makes him feel like he can.\I think it's dangerous.\What's the hardest part about section 8?\Too easy. The Yugyo-ji Temple Slope.\Correct.\Yeah! response:	What else? What else you got?
context: He used to run track.\Having a fast guy tell him he can do it probably makes him feel like he can.\I think it's dangerous.\What's the hardest part about section 8?\Too easy. The Yugyo-ji Temple Slope.\Correct.\Yeah!\What else? What else you got? response:	Oh, uh...
context: Having a fast guy tell him he can do it probably makes him feel like he can.\I think it's dangerous.\What's the hardest part about section 8?\Too easy. The Yugyo-ji Temple Slope.\Correct.\Yeah!\What else? What else you got?\Oh, uh... response:	King seems to be doing well.
context: I think it's dangerous.\What's the hardest part about section 8?\Too easy. The Yugyo-ji Temple Slope.\Correct.\Yeah!\What else? What else you got?\Oh, uh...\King seems to be doing well. response:	When he mentioned the Ekiden in his afternoon interview,
context: What's the hardest part about section 8?\Too easy. The Yugyo-ji Temple Slope.\Correct.\Yeah!\What else? What else you got?\Oh, uh...\King seems to be doing well.\When he mentioned the Ekiden in his afternoon interview, response:	it was apparently received very well.
