context: The Grand Magic Games response:	are about to begin at last.
context: I don't know what it entails...\It can't be helped.\It's amazing that two teams from the same guild made it this far...\It's fine with me.\My memory is singing.\It's not necessarily the case that two of them confers an advantage.\I don't especially care either!\I'm fine with it. response:	I'm impressed.
context: It can't be helped.\It's amazing that two teams from the same guild made it this far...\It's fine with me.\My memory is singing.\It's not necessarily the case that two of them confers an advantage.\I don't especially care either!\I'm fine with it.\I'm impressed. response:	Is that what they call the confidence of a king?
context: It's amazing that two teams from the same guild made it this far...\It's fine with me.\My memory is singing.\It's not necessarily the case that two of them confers an advantage.\I don't especially care either!\I'm fine with it.\I'm impressed.\Is that what they call the confidence of a king? response:	It's possible your fellow guild member will become your weakness.
context: It's fine with me.\My memory is singing.\It's not necessarily the case that two of them confers an advantage.\I don't especially care either!\I'm fine with it.\I'm impressed.\Is that what they call the confidence of a king?\It's possible your fellow guild member will become your weakness. response:	She could be held hostage, threatened, leak information...
context: My memory is singing.\It's not necessarily the case that two of them confers an advantage.\I don't especially care either!\I'm fine with it.\I'm impressed.\Is that what they call the confidence of a king?\It's possible your fellow guild member will become your weakness.\She could be held hostage, threatened, leak information... response:	And many more unfavorable circumstances could be created.
context: It's not necessarily the case that two of them confers an advantage.\I don't especially care either!\I'm fine with it.\I'm impressed.\Is that what they call the confidence of a king?\It's possible your fellow guild member will become your weakness.\She could be held hostage, threatened, leak information...\And many more unfavorable circumstances could be created. response:	Keep that in mind.
context: I don't especially care either!\I'm fine with it.\I'm impressed.\Is that what they call the confidence of a king?\It's possible your fellow guild member will become your weakness.\She could be held hostage, threatened, leak information...\And many more unfavorable circumstances could be created.\Keep that in mind. response:	If I don't forget it...
context: I'm fine with it.\I'm impressed.\Is that what they call the confidence of a king?\It's possible your fellow guild member will become your weakness.\She could be held hostage, threatened, leak information...\And many more unfavorable circumstances could be created.\Keep that in mind.\If I don't forget it... response:	Field open!
context: I'm impressed.\Is that what they call the confidence of a king?\It's possible your fellow guild member will become your weakness.\She could be held hostage, threatened, leak information...\And many more unfavorable circumstances could be created.\Keep that in mind.\If I don't forget it...\Field open! response:	What the...?!
context: Is that what they call the confidence of a king?\It's possible your fellow guild member will become your weakness.\She could be held hostage, threatened, leak information...\And many more unfavorable circumstances could be created.\Keep that in mind.\If I don't forget it...\Field open!\What the...?! response:	A town?!
context: It's possible your fellow guild member will become your weakness.\She could be held hostage, threatened, leak information...\And many more unfavorable circumstances could be created.\Keep that in mind.\If I don't forget it...\Field open!\What the...?!\A town?! response:	It's huge!
context: She could be held hostage, threatened, leak information...\And many more unfavorable circumstances could be created.\Keep that in mind.\If I don't forget it...\Field open!\What the...?!\A town?!\It's huge! response:	Whoa...
context: And many more unfavorable circumstances could be created.\Keep that in mind.\If I don't forget it...\Field open!\What the...?!\A town?!\It's huge!\Whoa... response:	What the hell is goin' on here?!
context: Keep that in mind.\If I don't forget it...\Field open!\What the...?!\A town?!\It's huge!\Whoa...\What the hell is goin' on here?! response:	A city is appearing in the middle of the arena!
context: If I don't forget it...\Field open!\What the...?!\A town?!\It's huge!\Whoa...\What the hell is goin' on here?!\A city is appearing in the middle of the arena! response:	Now I've seen everything...
context: Field open!\What the...?!\A town?!\It's huge!\Whoa...\What the hell is goin' on here?!\A city is appearing in the middle of the arena!\Now I've seen everything... response:	The creation of a town?
context: What the...?!\A town?!\It's huge!\Whoa...\What the hell is goin' on here?!\A city is appearing in the middle of the arena!\Now I've seen everything...\The creation of a town? response:	How much magic is being used to pull that off?!
context: A town?!\It's huge!\Whoa...\What the hell is goin' on here?!\A city is appearing in the middle of the arena!\Now I've seen everything...\The creation of a town?\How much magic is being used to pull that off?! response:	Juvia! Leon!
context: It's huge!\Whoa...\What the hell is goin' on here?!\A city is appearing in the middle of the arena!\Now I've seen everything...\The creation of a town?\How much magic is being used to pull that off?!\Juvia! Leon! response:	What happened to everyone else?!
context: Whoa...\What the hell is goin' on here?!\A city is appearing in the middle of the arena!\Now I've seen everything...\The creation of a town?\How much magic is being used to pull that off?!\Juvia! Leon!\What happened to everyone else?! response:	Everyone disappeared...
context: What the hell is goin' on here?!\A city is appearing in the middle of the arena!\Now I've seen everything...\The creation of a town?\How much magic is being used to pull that off?!\Juvia! Leon!\What happened to everyone else?!\Everyone disappeared... response:	I see...
context: A city is appearing in the middle of the arena!\Now I've seen everything...\The creation of a town?\How much magic is being used to pull that off?!\Juvia! Leon!\What happened to everyone else?!\Everyone disappeared...\I see... response:	So that's the idea...
context: Now I've seen everything...\The creation of a town?\How much magic is being used to pull that off?!\Juvia! Leon!\What happened to everyone else?!\Everyone disappeared...\I see...\So that's the idea... response:	Hide and seek here?
context: The creation of a town?\How much magic is being used to pull that off?!\Juvia! Leon!\What happened to everyone else?!\Everyone disappeared...\I see...\So that's the idea...\Hide and seek here? response:	Where should I hide?
context: How much magic is being used to pull that off?!\Juvia! Leon!\What happened to everyone else?!\Everyone disappeared...\I see...\So that's the idea...\Hide and seek here?\Where should I hide? response:	This is a weird way to play hide and seek!
context: Juvia! Leon!\What happened to everyone else?!\Everyone disappeared...\I see...\So that's the idea...\Hide and seek here?\Where should I hide?\This is a weird way to play hide and seek! response:	Nobody's the seeker!
context: What happened to everyone else?!\Everyone disappeared...\I see...\So that's the idea...\Hide and seek here?\Where should I hide?\This is a weird way to play hide and seek!\Nobody's the seeker! response:	Everyone, please enjoy what's going on in town via Lacrima Vision.
context: Everyone disappeared...\I see...\So that's the idea...\Hide and seek here?\Where should I hide?\This is a weird way to play hide and seek!\Nobody's the seeker!\Everyone, please enjoy what's going on in town via Lacrima Vision. response:	The eight participants don't know what the others are doing.
context: I see...\So that's the idea...\Hide and seek here?\Where should I hide?\This is a weird way to play hide and seek!\Nobody's the seeker!\Everyone, please enjoy what's going on in town via Lacrima Vision.\The eight participants don't know what the others are doing. response:	The rules of Hidden are simple.
context: So that's the idea...\Hide and seek here?\Where should I hide?\This is a weird way to play hide and seek!\Nobody's the seeker!\Everyone, please enjoy what's going on in town via Lacrima Vision.\The eight participants don't know what the others are doing.\The rules of Hidden are simple. response:	Each person is both the hider and seeker!
context: Hide and seek here?\Where should I hide?\This is a weird way to play hide and seek!\Nobody's the seeker!\Everyone, please enjoy what's going on in town via Lacrima Vision.\The eight participants don't know what the others are doing.\The rules of Hidden are simple.\Each person is both the hider and seeker! response:	What's that?!
context: Where should I hide?\This is a weird way to play hide and seek!\Nobody's the seeker!\Everyone, please enjoy what's going on in town via Lacrima Vision.\The eight participants don't know what the others are doing.\The rules of Hidden are simple.\Each person is both the hider and seeker!\What's that?! response:	Find each other in this town!
context: This is a weird way to play hide and seek!\Nobody's the seeker!\Everyone, please enjoy what's going on in town via Lacrima Vision.\The eight participants don't know what the others are doing.\The rules of Hidden are simple.\Each person is both the hider and seeker!\What's that?!\Find each other in this town! response:	You can use any kind of magic. Then deliver one blow!
context: Nobody's the seeker!\Everyone, please enjoy what's going on in town via Lacrima Vision.\The eight participants don't know what the others are doing.\The rules of Hidden are simple.\Each person is both the hider and seeker!\What's that?!\Find each other in this town!\You can use any kind of magic. Then deliver one blow! response:	It doesn't matter if you do any damage. The person who attacks gets one point.
context: Everyone, please enjoy what's going on in town via Lacrima Vision.\The eight participants don't know what the others are doing.\The rules of Hidden are simple.\Each person is both the hider and seeker!\What's that?!\Find each other in this town!\You can use any kind of magic. Then deliver one blow!\It doesn't matter if you do any damage. The person who attacks gets one point. response:	W-What the hell is this?
context: The eight participants don't know what the others are doing.\The rules of Hidden are simple.\Each person is both the hider and seeker!\What's that?!\Find each other in this town!\You can use any kind of magic. Then deliver one blow!\It doesn't matter if you do any damage. The person who attacks gets one point.\W-What the hell is this? response:	What the hell's goin' on here?!
context: The rules of Hidden are simple.\Each person is both the hider and seeker!\What's that?!\Find each other in this town!\You can use any kind of magic. Then deliver one blow!\It doesn't matter if you do any damage. The person who attacks gets one point.\W-What the hell is this?\What the hell's goin' on here?! response:	There are tons of the same faces!
context: Each person is both the hider and seeker!\What's that?!\Find each other in this town!\You can use any kind of magic. Then deliver one blow!\It doesn't matter if you do any damage. The person who attacks gets one point.\W-What the hell is this?\What the hell's goin' on here?!\There are tons of the same faces! response:	That makes you sick?!
context: What's that?!\Find each other in this town!\You can use any kind of magic. Then deliver one blow!\It doesn't matter if you do any damage. The person who attacks gets one point.\W-What the hell is this?\What the hell's goin' on here?!\There are tons of the same faces!\That makes you sick?! response:	After all, a bunch of Grays is gross, isn't it?!
context: Find each other in this town!\You can use any kind of magic. Then deliver one blow!\It doesn't matter if you do any damage. The person who attacks gets one point.\W-What the hell is this?\What the hell's goin' on here?!\There are tons of the same faces!\That makes you sick?!\After all, a bunch of Grays is gross, isn't it?! response:	This is a pain.
context: You can use any kind of magic. Then deliver one blow!\It doesn't matter if you do any damage. The person who attacks gets one point.\W-What the hell is this?\What the hell's goin' on here?!\There are tons of the same faces!\That makes you sick?!\After all, a bunch of Grays is gross, isn't it?!\This is a pain. response:	Even we'll probably lose track of which is the real Gray.
context: It doesn't matter if you do any damage. The person who attacks gets one point.\W-What the hell is this?\What the hell's goin' on here?!\There are tons of the same faces!\That makes you sick?!\After all, a bunch of Grays is gross, isn't it?!\This is a pain.\Even we'll probably lose track of which is the real Gray. response:	These are copies of everyone.
context: W-What the hell is this?\What the hell's goin' on here?!\There are tons of the same faces!\That makes you sick?!\After all, a bunch of Grays is gross, isn't it?!\This is a pain.\Even we'll probably lose track of which is the real Gray.\These are copies of everyone. response:	If you accidentally attack a copy,
context: What the hell's goin' on here?!\There are tons of the same faces!\That makes you sick?!\After all, a bunch of Grays is gross, isn't it?!\This is a pain.\Even we'll probably lose track of which is the real Gray.\These are copies of everyone.\If you accidentally attack a copy, response:	you lose one point!
context: There are tons of the same faces!\That makes you sick?!\After all, a bunch of Grays is gross, isn't it?!\This is a pain.\Even we'll probably lose track of which is the real Gray.\These are copies of everyone.\If you accidentally attack a copy,\you lose one point! response:	Now, disappear into the silence!
context: That makes you sick?!\After all, a bunch of Grays is gross, isn't it?!\This is a pain.\Even we'll probably lose track of which is the real Gray.\These are copies of everyone.\If you accidentally attack a copy,\you lose one point!\Now, disappear into the silence! response:	Like a black cat lurking in the dark night!
context: After all, a bunch of Grays is gross, isn't it?!\This is a pain.\Even we'll probably lose track of which is the real Gray.\These are copies of everyone.\If you accidentally attack a copy,\you lose one point!\Now, disappear into the silence!\Like a black cat lurking in the dark night! response:	Let Hidden begin!
context: This is a pain.\Even we'll probably lose track of which is the real Gray.\These are copies of everyone.\If you accidentally attack a copy,\you lose one point!\Now, disappear into the silence!\Like a black cat lurking in the dark night!\Let Hidden begin! response:	This ain't hide and seek,
context: Even we'll probably lose track of which is the real Gray.\These are copies of everyone.\If you accidentally attack a copy,\you lose one point!\Now, disappear into the silence!\Like a black cat lurking in the dark night!\Let Hidden begin!\This ain't hide and seek, response:	but more about figurin' out how to find your real enemy!
context: These are copies of everyone.\If you accidentally attack a copy,\you lose one point!\Now, disappear into the silence!\Like a black cat lurking in the dark night!\Let Hidden begin!\This ain't hide and seek,\but more about figurin' out how to find your real enemy! response:	There are so many Gray-samas!
context: If you accidentally attack a copy,\you lose one point!\Now, disappear into the silence!\Like a black cat lurking in the dark night!\Let Hidden begin!\This ain't hide and seek,\but more about figurin' out how to find your real enemy!\There are so many Gray-samas! response:	With all of these around, no one will care if Juvia takes just one!
context: you lose one point!\Now, disappear into the silence!\Like a black cat lurking in the dark night!\Let Hidden begin!\This ain't hide and seek,\but more about figurin' out how to find your real enemy!\There are so many Gray-samas!\With all of these around, no one will care if Juvia takes just one! response:	Gray-sama...
context: Now, disappear into the silence!\Like a black cat lurking in the dark night!\Let Hidden begin!\This ain't hide and seek,\but more about figurin' out how to find your real enemy!\There are so many Gray-samas!\With all of these around, no one will care if Juvia takes just one!\Gray-sama... response:	Oh, my! Juvia attacked a copy and lost one point!
context: Like a black cat lurking in the dark night!\Let Hidden begin!\This ain't hide and seek,\but more about figurin' out how to find your real enemy!\There are so many Gray-samas!\With all of these around, no one will care if Juvia takes just one!\Gray-sama...\Oh, my! Juvia attacked a copy and lost one point! response:	In this situation, the player restarts ten seconds later in a different area.
context: Let Hidden begin!\This ain't hide and seek,\but more about figurin' out how to find your real enemy!\There are so many Gray-samas!\With all of these around, no one will care if Juvia takes just one!\Gray-sama...\Oh, my! Juvia attacked a copy and lost one point!\In this situation, the player restarts ten seconds later in a different area. response:	Likewise, if the player is attacked by another wizard, a point is subtracted then too,
context: This ain't hide and seek,\but more about figurin' out how to find your real enemy!\There are so many Gray-samas!\With all of these around, no one will care if Juvia takes just one!\Gray-sama...\Oh, my! Juvia attacked a copy and lost one point!\In this situation, the player restarts ten seconds later in a different area.\Likewise, if the player is attacked by another wizard, a point is subtracted then too, response:	and the player restarts in a different area ten seconds later.
context: but more about figurin' out how to find your real enemy!\There are so many Gray-samas!\With all of these around, no one will care if Juvia takes just one!\Gray-sama...\Oh, my! Juvia attacked a copy and lost one point!\In this situation, the player restarts ten seconds later in a different area.\Likewise, if the player is attacked by another wizard, a point is subtracted then too,\and the player restarts in a different area ten seconds later. response:	That idiot...
context: There are so many Gray-samas!\With all of these around, no one will care if Juvia takes just one!\Gray-sama...\Oh, my! Juvia attacked a copy and lost one point!\In this situation, the player restarts ten seconds later in a different area.\Likewise, if the player is attacked by another wizard, a point is subtracted then too,\and the player restarts in a different area ten seconds later.\That idiot... response:	This may be a disadvantage to Juvia...
context: With all of these around, no one will care if Juvia takes just one!\Gray-sama...\Oh, my! Juvia attacked a copy and lost one point!\In this situation, the player restarts ten seconds later in a different area.\Likewise, if the player is attacked by another wizard, a point is subtracted then too,\and the player restarts in a different area ten seconds later.\That idiot...\This may be a disadvantage to Juvia... response:	If I knew it'd be like this, I would've done it.
context: Gray-sama...\Oh, my! Juvia attacked a copy and lost one point!\In this situation, the player restarts ten seconds later in a different area.\Likewise, if the player is attacked by another wizard, a point is subtracted then too,\and the player restarts in a different area ten seconds later.\That idiot...\This may be a disadvantage to Juvia...\If I knew it'd be like this, I would've done it. response:	As long as it's within the time limit,
context: Oh, my! Juvia attacked a copy and lost one point!\In this situation, the player restarts ten seconds later in a different area.\Likewise, if the player is attacked by another wizard, a point is subtracted then too,\and the player restarts in a different area ten seconds later.\That idiot...\This may be a disadvantage to Juvia...\If I knew it'd be like this, I would've done it.\As long as it's within the time limit, response:	it's possible for the players to restart any number of times.
context: In this situation, the player restarts ten seconds later in a different area.\Likewise, if the player is attacked by another wizard, a point is subtracted then too,\and the player restarts in a different area ten seconds later.\That idiot...\This may be a disadvantage to Juvia...\If I knew it'd be like this, I would've done it.\As long as it's within the time limit,\it's possible for the players to restart any number of times. response:	The time limit is 30 minutes
context: Likewise, if the player is attacked by another wizard, a point is subtracted then too,\and the player restarts in a different area ten seconds later.\That idiot...\This may be a disadvantage to Juvia...\If I knew it'd be like this, I would've done it.\As long as it's within the time limit,\it's possible for the players to restart any number of times.\The time limit is 30 minutes response:	and the team that has the most points at the end will be in first place.
context: and the player restarts in a different area ten seconds later.\That idiot...\This may be a disadvantage to Juvia...\If I knew it'd be like this, I would've done it.\As long as it's within the time limit,\it's possible for the players to restart any number of times.\The time limit is 30 minutes\and the team that has the most points at the end will be in first place. response:	In this competition, it's harder to find than it is to hide!
context: That idiot...\This may be a disadvantage to Juvia...\If I knew it'd be like this, I would've done it.\As long as it's within the time limit,\it's possible for the players to restart any number of times.\The time limit is 30 minutes\and the team that has the most points at the end will be in first place.\In this competition, it's harder to find than it is to hide! response:	Oh, I don't know about that.
context: This may be a disadvantage to Juvia...\If I knew it'd be like this, I would've done it.\As long as it's within the time limit,\it's possible for the players to restart any number of times.\The time limit is 30 minutes\and the team that has the most points at the end will be in first place.\In this competition, it's harder to find than it is to hide!\Oh, I don't know about that. response:	You should try to grasp the rules faster.
context: If I knew it'd be like this, I would've done it.\As long as it's within the time limit,\it's possible for the players to restart any number of times.\The time limit is 30 minutes\and the team that has the most points at the end will be in first place.\In this competition, it's harder to find than it is to hide!\Oh, I don't know about that.\You should try to grasp the rules faster. response:	Who are you?!
context: As long as it's within the time limit,\it's possible for the players to restart any number of times.\The time limit is 30 minutes\and the team that has the most points at the end will be in first place.\In this competition, it's harder to find than it is to hide!\Oh, I don't know about that.\You should try to grasp the rules faster.\Who are you?! response:	Nalpudding from Raven Tail.
context: it's possible for the players to restart any number of times.\The time limit is 30 minutes\and the team that has the most points at the end will be in first place.\In this competition, it's harder to find than it is to hide!\Oh, I don't know about that.\You should try to grasp the rules faster.\Who are you?!\Nalpudding from Raven Tail. response:	I didn't figure you'd be the first one to come at me.
context: The time limit is 30 minutes\and the team that has the most points at the end will be in first place.\In this competition, it's harder to find than it is to hide!\Oh, I don't know about that.\You should try to grasp the rules faster.\Who are you?!\Nalpudding from Raven Tail.\I didn't figure you'd be the first one to come at me. response:	But now I don't have to look for you!
context: and the team that has the most points at the end will be in first place.\In this competition, it's harder to find than it is to hide!\Oh, I don't know about that.\You should try to grasp the rules faster.\Who are you?!\Nalpudding from Raven Tail.\I didn't figure you'd be the first one to come at me.\But now I don't have to look for you! response:	Ice Hammer!
context: In this competition, it's harder to find than it is to hide!\Oh, I don't know about that.\You should try to grasp the rules faster.\Who are you?!\Nalpudding from Raven Tail.\I didn't figure you'd be the first one to come at me.\But now I don't have to look for you!\Ice Hammer! response:	That's different from his Molding Magic up to now, isn't it?
context: Oh, I don't know about that.\You should try to grasp the rules faster.\Who are you?!\Nalpudding from Raven Tail.\I didn't figure you'd be the first one to come at me.\But now I don't have to look for you!\Ice Hammer!\That's different from his Molding Magic up to now, isn't it? response:	It's the result of all his training.
context: You should try to grasp the rules faster.\Who are you?!\Nalpudding from Raven Tail.\I didn't figure you'd be the first one to come at me.\But now I don't have to look for you!\Ice Hammer!\That's different from his Molding Magic up to now, isn't it?\It's the result of all his training. response:	And now I'm gettin' a point.
context: Who are you?!\Nalpudding from Raven Tail.\I didn't figure you'd be the first one to come at me.\But now I don't have to look for you!\Ice Hammer!\That's different from his Molding Magic up to now, isn't it?\It's the result of all his training.\And now I'm gettin' a point. response:	What?! That attack should've nailed him head on!
context: Nalpudding from Raven Tail.\I didn't figure you'd be the first one to come at me.\But now I don't have to look for you!\Ice Hammer!\That's different from his Molding Magic up to now, isn't it?\It's the result of all his training.\And now I'm gettin' a point.\What?! That attack should've nailed him head on! response:	I don't believe it...
context: I didn't figure you'd be the first one to come at me.\But now I don't have to look for you!\Ice Hammer!\That's different from his Molding Magic up to now, isn't it?\It's the result of all his training.\And now I'm gettin' a point.\What?! That attack should've nailed him head on!\I don't believe it... response:	Too bad. That was a copy.
context: But now I don't have to look for you!\Ice Hammer!\That's different from his Molding Magic up to now, isn't it?\It's the result of all his training.\And now I'm gettin' a point.\What?! That attack should've nailed him head on!\I don't believe it...\Too bad. That was a copy. response:	The real thing was right behind the copy!
context: Ice Hammer!\That's different from his Molding Magic up to now, isn't it?\It's the result of all his training.\And now I'm gettin' a point.\What?! That attack should've nailed him head on!\I don't believe it...\Too bad. That was a copy.\The real thing was right behind the copy! response:	Then he gets a point taken away for attacking a copy?!
context: That's different from his Molding Magic up to now, isn't it?\It's the result of all his training.\And now I'm gettin' a point.\What?! That attack should've nailed him head on!\I don't believe it...\Too bad. That was a copy.\The real thing was right behind the copy!\Then he gets a point taken away for attacking a copy?! response:	Dammit!
context: It's the result of all his training.\And now I'm gettin' a point.\What?! That attack should've nailed him head on!\I don't believe it...\Too bad. That was a copy.\The real thing was right behind the copy!\Then he gets a point taken away for attacking a copy?!\Dammit! response:	I blew it!
context: And now I'm gettin' a point.\What?! That attack should've nailed him head on!\I don't believe it...\Too bad. That was a copy.\The real thing was right behind the copy!\Then he gets a point taken away for attacking a copy?!\Dammit!\I blew it! response:	I see. So that's how he did it...
context: What?! That attack should've nailed him head on!\I don't believe it...\Too bad. That was a copy.\The real thing was right behind the copy!\Then he gets a point taken away for attacking a copy?!\Dammit!\I blew it!\I see. So that's how he did it... response:	He did a good job using his copy to approach the enemy...
context: I don't believe it...\Too bad. That was a copy.\The real thing was right behind the copy!\Then he gets a point taken away for attacking a copy?!\Dammit!\I blew it!\I see. So that's how he did it...\He did a good job using his copy to approach the enemy... response:	A strategy like that isn't bad,
context: Too bad. That was a copy.\The real thing was right behind the copy!\Then he gets a point taken away for attacking a copy?!\Dammit!\I blew it!\I see. So that's how he did it...\He did a good job using his copy to approach the enemy...\A strategy like that isn't bad, response:	but if the enemy identifies you first, they could possibly do a surprise attack.
context: The real thing was right behind the copy!\Then he gets a point taken away for attacking a copy?!\Dammit!\I blew it!\I see. So that's how he did it...\He did a good job using his copy to approach the enemy...\A strategy like that isn't bad,\but if the enemy identifies you first, they could possibly do a surprise attack. response:	This is Hidden!
context: Then he gets a point taken away for attacking a copy?!\Dammit!\I blew it!\I see. So that's how he did it...\He did a good job using his copy to approach the enemy...\A strategy like that isn't bad,\but if the enemy identifies you first, they could possibly do a surprise attack.\This is Hidden! response:	Everyone is blending in with the crowd.
context: Dammit!\I blew it!\I see. So that's how he did it...\He did a good job using his copy to approach the enemy...\A strategy like that isn't bad,\but if the enemy identifies you first, they could possibly do a surprise attack.\This is Hidden!\Everyone is blending in with the crowd. response:	How is he gonna find'em now?!
context: I blew it!\I see. So that's how he did it...\He did a good job using his copy to approach the enemy...\A strategy like that isn't bad,\but if the enemy identifies you first, they could possibly do a surprise attack.\This is Hidden!\Everyone is blending in with the crowd.\How is he gonna find'em now?! response:	I'm glad I'm not out there!
context: I see. So that's how he did it...\He did a good job using his copy to approach the enemy...\A strategy like that isn't bad,\but if the enemy identifies you first, they could possibly do a surprise attack.\This is Hidden!\Everyone is blending in with the crowd.\How is he gonna find'em now?!\I'm glad I'm not out there! response:	That kind of stuff's outta my league!
context: He did a good job using his copy to approach the enemy...\A strategy like that isn't bad,\but if the enemy identifies you first, they could possibly do a surprise attack.\This is Hidden!\Everyone is blending in with the crowd.\How is he gonna find'em now?!\I'm glad I'm not out there!\That kind of stuff's outta my league! response:	If he acts carelessly, the enemy will be alerted to his presence.
context: A strategy like that isn't bad,\but if the enemy identifies you first, they could possibly do a surprise attack.\This is Hidden!\Everyone is blending in with the crowd.\How is he gonna find'em now?!\I'm glad I'm not out there!\That kind of stuff's outta my league!\If he acts carelessly, the enemy will be alerted to his presence. response:	What are you going to do, Gray?
context: but if the enemy identifies you first, they could possibly do a surprise attack.\This is Hidden!\Everyone is blending in with the crowd.\How is he gonna find'em now?!\I'm glad I'm not out there!\That kind of stuff's outta my league!\If he acts carelessly, the enemy will be alerted to his presence.\What are you going to do, Gray? response:	Which one's the enemy?
context: This is Hidden!\Everyone is blending in with the crowd.\How is he gonna find'em now?!\I'm glad I'm not out there!\That kind of stuff's outta my league!\If he acts carelessly, the enemy will be alerted to his presence.\What are you going to do, Gray?\Which one's the enemy? response:	Which one's real?!
context: Everyone is blending in with the crowd.\How is he gonna find'em now?!\I'm glad I'm not out there!\That kind of stuff's outta my league!\If he acts carelessly, the enemy will be alerted to his presence.\What are you going to do, Gray?\Which one's the enemy?\Which one's real?! response:	Gray-san...
context: How is he gonna find'em now?!\I'm glad I'm not out there!\That kind of stuff's outta my league!\If he acts carelessly, the enemy will be alerted to his presence.\What are you going to do, Gray?\Which one's the enemy?\Which one's real?!\Gray-san... response:	I found you!
context: I'm glad I'm not out there!\That kind of stuff's outta my league!\If he acts carelessly, the enemy will be alerted to his presence.\What are you going to do, Gray?\Which one's the enemy?\Which one's real?!\Gray-san...\I found you! response:	Gray!
context: That kind of stuff's outta my league!\If he acts carelessly, the enemy will be alerted to his presence.\What are you going to do, Gray?\Which one's the enemy?\Which one's real?!\Gray-san...\I found you!\Gray! response:	How did he know?!
context: If he acts carelessly, the enemy will be alerted to his presence.\What are you going to do, Gray?\Which one's the enemy?\Which one's real?!\Gray-san...\I found you!\Gray!\How did he know?! response:	That guy...
context: What are you going to do, Gray?\Which one's the enemy?\Which one's real?!\Gray-san...\I found you!\Gray!\How did he know?!\That guy... response:	He went after me again!
context: Which one's the enemy?\Which one's real?!\Gray-san...\I found you!\Gray!\How did he know?!\That guy...\He went after me again! response:	You're an easy mark!
context: Which one's real?!\Gray-san...\I found you!\Gray!\How did he know?!\That guy...\He went after me again!\You're an easy mark! response:	This is the first game, Hidden, and the fierce but silent battle continues!
context: Gray-san...\I found you!\Gray!\How did he know?!\That guy...\He went after me again!\You're an easy mark!\This is the first game, Hidden, and the fierce but silent battle continues! response:	At the moment, Nalpudding is in first place!
context: I found you!\Gray!\How did he know?!\That guy...\He went after me again!\You're an easy mark!\This is the first game, Hidden, and the fierce but silent battle continues!\At the moment, Nalpudding is in first place! response:	On a field with yourself and an army of enemies, what should you do
context: Gray!\How did he know?!\That guy...\He went after me again!\You're an easy mark!\This is the first game, Hidden, and the fierce but silent battle continues!\At the moment, Nalpudding is in first place!\On a field with yourself and an army of enemies, what should you do response:	to ferret out the flesh and blood ones?
context: How did he know?!\That guy...\He went after me again!\You're an easy mark!\This is the first game, Hidden, and the fierce but silent battle continues!\At the moment, Nalpudding is in first place!\On a field with yourself and an army of enemies, what should you do\to ferret out the flesh and blood ones? response:	There are various ways.
context: That guy...\He went after me again!\You're an easy mark!\This is the first game, Hidden, and the fierce but silent battle continues!\At the moment, Nalpudding is in first place!\On a field with yourself and an army of enemies, what should you do\to ferret out the flesh and blood ones?\There are various ways. response:	For example, you could look for your opponent's magic.
context: He went after me again!\You're an easy mark!\This is the first game, Hidden, and the fierce but silent battle continues!\At the moment, Nalpudding is in first place!\On a field with yourself and an army of enemies, what should you do\to ferret out the flesh and blood ones?\There are various ways.\For example, you could look for your opponent's magic. response:	I think Eve-kun has a better method than that.
context: You're an easy mark!\This is the first game, Hidden, and the fierce but silent battle continues!\At the moment, Nalpudding is in first place!\On a field with yourself and an army of enemies, what should you do\to ferret out the flesh and blood ones?\There are various ways.\For example, you could look for your opponent's magic.\I think Eve-kun has a better method than that. response:	Look for your opponent's magic...
context: This is the first game, Hidden, and the fierce but silent battle continues!\At the moment, Nalpudding is in first place!\On a field with yourself and an army of enemies, what should you do\to ferret out the flesh and blood ones?\There are various ways.\For example, you could look for your opponent's magic.\I think Eve-kun has a better method than that.\Look for your opponent's magic... response:	Getting a general direction is one thing,
context: At the moment, Nalpudding is in first place!\On a field with yourself and an army of enemies, what should you do\to ferret out the flesh and blood ones?\There are various ways.\For example, you could look for your opponent's magic.\I think Eve-kun has a better method than that.\Look for your opponent's magic...\Getting a general direction is one thing, response:	but pinpointing it is tough.
context: On a field with yourself and an army of enemies, what should you do\to ferret out the flesh and blood ones?\There are various ways.\For example, you could look for your opponent's magic.\I think Eve-kun has a better method than that.\Look for your opponent's magic...\Getting a general direction is one thing,\but pinpointing it is tough. response:	Gray! What the hell are you doin'?!
context: to ferret out the flesh and blood ones?\There are various ways.\For example, you could look for your opponent's magic.\I think Eve-kun has a better method than that.\Look for your opponent's magic...\Getting a general direction is one thing,\but pinpointing it is tough.\Gray! What the hell are you doin'?! response:	Don't let the same guy tag you twice!
context: There are various ways.\For example, you could look for your opponent's magic.\I think Eve-kun has a better method than that.\Look for your opponent's magic...\Getting a general direction is one thing,\but pinpointing it is tough.\Gray! What the hell are you doin'?!\Don't let the same guy tag you twice! response:	Raven Tail...
context: For example, you could look for your opponent's magic.\I think Eve-kun has a better method than that.\Look for your opponent's magic...\Getting a general direction is one thing,\but pinpointing it is tough.\Gray! What the hell are you doin'?!\Don't let the same guy tag you twice!\Raven Tail... response:	What are you looking at, Blondie?
context: I think Eve-kun has a better method than that.\Look for your opponent's magic...\Getting a general direction is one thing,\but pinpointing it is tough.\Gray! What the hell are you doin'?!\Don't let the same guy tag you twice!\Raven Tail...\What are you looking at, Blondie? response:	First, you went after Wendy...
