context: Pathetic. response:	Pathetic, pathetic, pathetic!
context: like the trash they are.\It's up to you to defeat him.\Archer!\I'm surprised he had it in him to save another...\Why, you... Who gave you permission to lay a hand on my Archer?\I had intended to start with that walking dead man,\but I see the order has changed, woman.\Rin, stand back. response:	What are you doing here, Archer?
context: It's up to you to defeat him.\Archer!\I'm surprised he had it in him to save another...\Why, you... Who gave you permission to lay a hand on my Archer?\I had intended to start with that walking dead man,\but I see the order has changed, woman.\Rin, stand back.\What are you doing here, Archer? response:	Is it not obvious?
context: Archer!\I'm surprised he had it in him to save another...\Why, you... Who gave you permission to lay a hand on my Archer?\I had intended to start with that walking dead man,\but I see the order has changed, woman.\Rin, stand back.\What are you doing here, Archer?\Is it not obvious? response:	After the previous war's end,
context: I'm surprised he had it in him to save another...\Why, you... Who gave you permission to lay a hand on my Archer?\I had intended to start with that walking dead man,\but I see the order has changed, woman.\Rin, stand back.\What are you doing here, Archer?\Is it not obvious?\After the previous war's end, response:	I remained in this world instead of disappearing.
context: Why, you... Who gave you permission to lay a hand on my Archer?\I had intended to start with that walking dead man,\but I see the order has changed, woman.\Rin, stand back.\What are you doing here, Archer?\Is it not obvious?\After the previous war's end,\I remained in this world instead of disappearing. response:	That's impossible.
context: I had intended to start with that walking dead man,\but I see the order has changed, woman.\Rin, stand back.\What are you doing here, Archer?\Is it not obvious?\After the previous war's end,\I remained in this world instead of disappearing.\That's impossible. response:	I am the only Servant who bathed in the Grail.
context: but I see the order has changed, woman.\Rin, stand back.\What are you doing here, Archer?\Is it not obvious?\After the previous war's end,\I remained in this world instead of disappearing.\That's impossible.\I am the only Servant who bathed in the Grail. response:	I took physical form in this era ten years ago.
context: Rin, stand back.\What are you doing here, Archer?\Is it not obvious?\After the previous war's end,\I remained in this world instead of disappearing.\That's impossible.\I am the only Servant who bathed in the Grail.\I took physical form in this era ten years ago. response:	Yes, I have you to thank, Saber.
context: What are you doing here, Archer?\Is it not obvious?\After the previous war's end,\I remained in this world instead of disappearing.\That's impossible.\I am the only Servant who bathed in the Grail.\I took physical form in this era ten years ago.\Yes, I have you to thank, Saber. response:	I know its true nature better than anyone.
context: Is it not obvious?\After the previous war's end,\I remained in this world instead of disappearing.\That's impossible.\I am the only Servant who bathed in the Grail.\I took physical form in this era ten years ago.\Yes, I have you to thank, Saber.\I know its true nature better than anyone. response:	As its innards poured out upon me, I saw what lay within it.
context: After the previous war's end,\I remained in this world instead of disappearing.\That's impossible.\I am the only Servant who bathed in the Grail.\I took physical form in this era ten years ago.\Yes, I have you to thank, Saber.\I know its true nature better than anyone.\As its innards poured out upon me, I saw what lay within it. response:	In that instant, I made a decision: that none but I would wield it.
context: I remained in this world instead of disappearing.\That's impossible.\I am the only Servant who bathed in the Grail.\I took physical form in this era ten years ago.\Yes, I have you to thank, Saber.\I know its true nature better than anyone.\As its innards poured out upon me, I saw what lay within it.\In that instant, I made a decision: that none but I would wield it. response:	Wield the Grail? You?
context: That's impossible.\I am the only Servant who bathed in the Grail.\I took physical form in this era ten years ago.\Yes, I have you to thank, Saber.\I know its true nature better than anyone.\As its innards poured out upon me, I saw what lay within it.\In that instant, I made a decision: that none but I would wield it.\Wield the Grail? You? response:	But of course. The ritual to summon the Grail is a twisted joke.
context: I am the only Servant who bathed in the Grail.\I took physical form in this era ten years ago.\Yes, I have you to thank, Saber.\I know its true nature better than anyone.\As its innards poured out upon me, I saw what lay within it.\In that instant, I made a decision: that none but I would wield it.\Wield the Grail? You?\But of course. The ritual to summon the Grail is a twisted joke. response:	A life-or-death struggle among seven Masters?
context: I took physical form in this era ten years ago.\Yes, I have you to thank, Saber.\I know its true nature better than anyone.\As its innards poured out upon me, I saw what lay within it.\In that instant, I made a decision: that none but I would wield it.\Wield the Grail? You?\But of course. The ritual to summon the Grail is a twisted joke.\A life-or-death struggle among seven Masters? response:	A ritual wherein only the last Master standing wins the Grail?
context: Yes, I have you to thank, Saber.\I know its true nature better than anyone.\As its innards poured out upon me, I saw what lay within it.\In that instant, I made a decision: that none but I would wield it.\Wield the Grail? You?\But of course. The ritual to summon the Grail is a twisted joke.\A life-or-death struggle among seven Masters?\A ritual wherein only the last Master standing wins the Grail? response:	That is but a pretext.
context: I know its true nature better than anyone.\As its innards poured out upon me, I saw what lay within it.\In that instant, I made a decision: that none but I would wield it.\Wield the Grail? You?\But of course. The ritual to summon the Grail is a twisted joke.\A life-or-death struggle among seven Masters?\A ritual wherein only the last Master standing wins the Grail?\That is but a pretext. response:	The Grail has been here the whole time.
context: As its innards poured out upon me, I saw what lay within it.\In that instant, I made a decision: that none but I would wield it.\Wield the Grail? You?\But of course. The ritual to summon the Grail is a twisted joke.\A life-or-death struggle among seven Masters?\A ritual wherein only the last Master standing wins the Grail?\That is but a pretext.\The Grail has been here the whole time. response:	Each time, once the Grail is prepared,
context: In that instant, I made a decision: that none but I would wield it.\Wield the Grail? You?\But of course. The ritual to summon the Grail is a twisted joke.\A life-or-death struggle among seven Masters?\A ritual wherein only the last Master standing wins the Grail?\That is but a pretext.\The Grail has been here the whole time.\Each time, once the Grail is prepared, response:	they summon seven Servants.
context: Wield the Grail? You?\But of course. The ritual to summon the Grail is a twisted joke.\A life-or-death struggle among seven Masters?\A ritual wherein only the last Master standing wins the Grail?\That is but a pretext.\The Grail has been here the whole time.\Each time, once the Grail is prepared,\they summon seven Servants. response:	Do you see, King of Knights?
context: But of course. The ritual to summon the Grail is a twisted joke.\A life-or-death struggle among seven Masters?\A ritual wherein only the last Master standing wins the Grail?\That is but a pretext.\The Grail has been here the whole time.\Each time, once the Grail is prepared,\they summon seven Servants.\Do you see, King of Knights? response:	What they require is not the Grail, but its contents.
context: A life-or-death struggle among seven Masters?\A ritual wherein only the last Master standing wins the Grail?\That is but a pretext.\The Grail has been here the whole time.\Each time, once the Grail is prepared,\they summon seven Servants.\Do you see, King of Knights?\What they require is not the Grail, but its contents. response:	Those mages did, indeed, create the Grail.
context: A ritual wherein only the last Master standing wins the Grail?\That is but a pretext.\The Grail has been here the whole time.\Each time, once the Grail is prepared,\they summon seven Servants.\Do you see, King of Knights?\What they require is not the Grail, but its contents.\Those mages did, indeed, create the Grail. response:	But they were unable to provide what is meant to fill it.
context: That is but a pretext.\The Grail has been here the whole time.\Each time, once the Grail is prepared,\they summon seven Servants.\Do you see, King of Knights?\What they require is not the Grail, but its contents.\Those mages did, indeed, create the Grail.\But they were unable to provide what is meant to fill it. response:	And so, they summoned the contents,
context: The Grail has been here the whole time.\Each time, once the Grail is prepared,\they summon seven Servants.\Do you see, King of Knights?\What they require is not the Grail, but its contents.\Those mages did, indeed, create the Grail.\But they were unable to provide what is meant to fill it.\And so, they summoned the contents, response:	deceiving the Servants, as well as their Masters,
context: Each time, once the Grail is prepared,\they summon seven Servants.\Do you see, King of Knights?\What they require is not the Grail, but its contents.\Those mages did, indeed, create the Grail.\But they were unable to provide what is meant to fill it.\And so, they summoned the contents,\deceiving the Servants, as well as their Masters, response:	who were blind to the truth.
context: they summon seven Servants.\Do you see, King of Knights?\What they require is not the Grail, but its contents.\Those mages did, indeed, create the Grail.\But they were unable to provide what is meant to fill it.\And so, they summoned the contents,\deceiving the Servants, as well as their Masters,\who were blind to the truth. response:	I see that you understand, Tohsaka wench.
context: Do you see, King of Knights?\What they require is not the Grail, but its contents.\Those mages did, indeed, create the Grail.\But they were unable to provide what is meant to fill it.\And so, they summoned the contents,\deceiving the Servants, as well as their Masters,\who were blind to the truth.\I see that you understand, Tohsaka wench. response:	You are correct.
context: What they require is not the Grail, but its contents.\Those mages did, indeed, create the Grail.\But they were unable to provide what is meant to fill it.\And so, they summoned the contents,\deceiving the Servants, as well as their Masters,\who were blind to the truth.\I see that you understand, Tohsaka wench.\You are correct. response:	Mana of the highest purity, with which to fill the Grail.
context: Those mages did, indeed, create the Grail.\But they were unable to provide what is meant to fill it.\And so, they summoned the contents,\deceiving the Servants, as well as their Masters,\who were blind to the truth.\I see that you understand, Tohsaka wench.\You are correct.\Mana of the highest purity, with which to fill the Grail. response:	What they sought for its contents were humanity's mightiest souls.
context: But they were unable to provide what is meant to fill it.\And so, they summoned the contents,\deceiving the Servants, as well as their Masters,\who were blind to the truth.\I see that you understand, Tohsaka wench.\You are correct.\Mana of the highest purity, with which to fill the Grail.\What they sought for its contents were humanity's mightiest souls. response:	Its guardians, one might say!
context: And so, they summoned the contents,\deceiving the Servants, as well as their Masters,\who were blind to the truth.\I see that you understand, Tohsaka wench.\You are correct.\Mana of the highest purity, with which to fill the Grail.\What they sought for its contents were humanity's mightiest souls.\Its guardians, one might say! response:	That's not... That's not possible!
context: deceiving the Servants, as well as their Masters,\who were blind to the truth.\I see that you understand, Tohsaka wench.\You are correct.\Mana of the highest purity, with which to fill the Grail.\What they sought for its contents were humanity's mightiest souls.\Its guardians, one might say!\That's not... That's not possible! response:	The more sacrifices, the better.
context: who were blind to the truth.\I see that you understand, Tohsaka wench.\You are correct.\Mana of the highest purity, with which to fill the Grail.\What they sought for its contents were humanity's mightiest souls.\Its guardians, one might say!\That's not... That's not possible!\The more sacrifices, the better. response:	If the souls of six Servants were fed into it,
context: I see that you understand, Tohsaka wench.\You are correct.\Mana of the highest purity, with which to fill the Grail.\What they sought for its contents were humanity's mightiest souls.\Its guardians, one might say!\That's not... That's not possible!\The more sacrifices, the better.\If the souls of six Servants were fed into it, response:	it would be nigh omnipotent.
context: You are correct.\Mana of the highest purity, with which to fill the Grail.\What they sought for its contents were humanity's mightiest souls.\Its guardians, one might say!\That's not... That's not possible!\The more sacrifices, the better.\If the souls of six Servants were fed into it,\it would be nigh omnipotent. response:	To the mages, it would be a source of inexhaustible mana.
context: Mana of the highest purity, with which to fill the Grail.\What they sought for its contents were humanity's mightiest souls.\Its guardians, one might say!\That's not... That's not possible!\The more sacrifices, the better.\If the souls of six Servants were fed into it,\it would be nigh omnipotent.\To the mages, it would be a source of inexhaustible mana. response:	But then...
context: What they sought for its contents were humanity's mightiest souls.\Its guardians, one might say!\That's not... That's not possible!\The more sacrifices, the better.\If the souls of six Servants were fed into it,\it would be nigh omnipotent.\To the mages, it would be a source of inexhaustible mana.\But then... response:	Then only a Master can wield the Grail.
context: Its guardians, one might say!\That's not... That's not possible!\The more sacrifices, the better.\If the souls of six Servants were fed into it,\it would be nigh omnipotent.\To the mages, it would be a source of inexhaustible mana.\But then...\Then only a Master can wield the Grail. response:	If, as you say, the Grail is a repository of pure mana,
context: That's not... That's not possible!\The more sacrifices, the better.\If the souls of six Servants were fed into it,\it would be nigh omnipotent.\To the mages, it would be a source of inexhaustible mana.\But then...\Then only a Master can wield the Grail.\If, as you say, the Grail is a repository of pure mana, response:	only a mage could use it.
context: The more sacrifices, the better.\If the souls of six Servants were fed into it,\it would be nigh omnipotent.\To the mages, it would be a source of inexhaustible mana.\But then...\Then only a Master can wield the Grail.\If, as you say, the Grail is a repository of pure mana,\only a mage could use it. response:	But I have no interest in such things.
context: If the souls of six Servants were fed into it,\it would be nigh omnipotent.\To the mages, it would be a source of inexhaustible mana.\But then...\Then only a Master can wield the Grail.\If, as you say, the Grail is a repository of pure mana,\only a mage could use it.\But I have no interest in such things. response:	Only in the Grail's ability to act as a hole.
context: it would be nigh omnipotent.\To the mages, it would be a source of inexhaustible mana.\But then...\Then only a Master can wield the Grail.\If, as you say, the Grail is a repository of pure mana,\only a mage could use it.\But I have no interest in such things.\Only in the Grail's ability to act as a hole. response:	The Grail is a hole?
context: To the mages, it would be a source of inexhaustible mana.\But then...\Then only a Master can wield the Grail.\If, as you say, the Grail is a repository of pure mana,\only a mage could use it.\But I have no interest in such things.\Only in the Grail's ability to act as a hole.\The Grail is a hole? response:	Think back ten years, Saber.
context: But then...\Then only a Master can wield the Grail.\If, as you say, the Grail is a repository of pure mana,\only a mage could use it.\But I have no interest in such things.\Only in the Grail's ability to act as a hole.\The Grail is a hole?\Think back ten years, Saber. response:	When I was but a step away from claiming the Grail,
context: Then only a Master can wield the Grail.\If, as you say, the Grail is a repository of pure mana,\only a mage could use it.\But I have no interest in such things.\Only in the Grail's ability to act as a hole.\The Grail is a hole?\Think back ten years, Saber.\When I was but a step away from claiming the Grail, response:	I was stopped by you.
context: If, as you say, the Grail is a repository of pure mana,\only a mage could use it.\But I have no interest in such things.\Only in the Grail's ability to act as a hole.\The Grail is a hole?\Think back ten years, Saber.\When I was but a step away from claiming the Grail,\I was stopped by you. response:	The Grail was cut in two by a holy sword.
context: only a mage could use it.\But I have no interest in such things.\Only in the Grail's ability to act as a hole.\The Grail is a hole?\Think back ten years, Saber.\When I was but a step away from claiming the Grail,\I was stopped by you.\The Grail was cut in two by a holy sword. response:	No way... Saber, you destroyed the Grail?
context: But I have no interest in such things.\Only in the Grail's ability to act as a hole.\The Grail is a hole?\Think back ten years, Saber.\When I was but a step away from claiming the Grail,\I was stopped by you.\The Grail was cut in two by a holy sword.\No way... Saber, you destroyed the Grail? response:	What spilled forth became a great flame that burned the city.
context: Only in the Grail's ability to act as a hole.\The Grail is a hole?\Think back ten years, Saber.\When I was but a step away from claiming the Grail,\I was stopped by you.\The Grail was cut in two by a holy sword.\No way... Saber, you destroyed the Grail?\What spilled forth became a great flame that burned the city. response:	I was directly beneath it, so naturally, my body was doused in the torrent.
context: The Grail is a hole?\Think back ten years, Saber.\When I was but a step away from claiming the Grail,\I was stopped by you.\The Grail was cut in two by a holy sword.\No way... Saber, you destroyed the Grail?\What spilled forth became a great flame that burned the city.\I was directly beneath it, so naturally, my body was doused in the torrent. response:	In that moment, I learned the Grail's true nature.
context: Think back ten years, Saber.\When I was but a step away from claiming the Grail,\I was stopped by you.\The Grail was cut in two by a holy sword.\No way... Saber, you destroyed the Grail?\What spilled forth became a great flame that burned the city.\I was directly beneath it, so naturally, my body was doused in the torrent.\In that moment, I learned the Grail's true nature. response:	It is truly rubbish.
context: When I was but a step away from claiming the Grail,\I was stopped by you.\The Grail was cut in two by a holy sword.\No way... Saber, you destroyed the Grail?\What spilled forth became a great flame that burned the city.\I was directly beneath it, so naturally, my body was doused in the torrent.\In that moment, I learned the Grail's true nature.\It is truly rubbish. response:	Rubbish, but it has its uses.
context: I was stopped by you.\The Grail was cut in two by a holy sword.\No way... Saber, you destroyed the Grail?\What spilled forth became a great flame that burned the city.\I was directly beneath it, so naturally, my body was doused in the torrent.\In that moment, I learned the Grail's true nature.\It is truly rubbish.\Rubbish, but it has its uses. response:	Of my many weapons, I have none so perfectly tailored to killing.
context: The Grail was cut in two by a holy sword.\No way... Saber, you destroyed the Grail?\What spilled forth became a great flame that burned the city.\I was directly beneath it, so naturally, my body was doused in the torrent.\In that moment, I learned the Grail's true nature.\It is truly rubbish.\Rubbish, but it has its uses.\Of my many weapons, I have none so perfectly tailored to killing. response:	A weapon?
context: No way... Saber, you destroyed the Grail?\What spilled forth became a great flame that burned the city.\I was directly beneath it, so naturally, my body was doused in the torrent.\In that moment, I learned the Grail's true nature.\It is truly rubbish.\Rubbish, but it has its uses.\Of my many weapons, I have none so perfectly tailored to killing.\A weapon? response:	You say that the Grail, something brought into being by Servants, is a weapon, Archer?
context: What spilled forth became a great flame that burned the city.\I was directly beneath it, so naturally, my body was doused in the torrent.\In that moment, I learned the Grail's true nature.\It is truly rubbish.\Rubbish, but it has its uses.\Of my many weapons, I have none so perfectly tailored to killing.\A weapon?\You say that the Grail, something brought into being by Servants, is a weapon, Archer? response:	By our nature, we ourselves are weapons.
context: I was directly beneath it, so naturally, my body was doused in the torrent.\In that moment, I learned the Grail's true nature.\It is truly rubbish.\Rubbish, but it has its uses.\Of my many weapons, I have none so perfectly tailored to killing.\A weapon?\You say that the Grail, something brought into being by Servants, is a weapon, Archer?\By our nature, we ourselves are weapons. response:	The Grail merely takes that nature to its logical end.
context: In that moment, I learned the Grail's true nature.\It is truly rubbish.\Rubbish, but it has its uses.\Of my many weapons, I have none so perfectly tailored to killing.\A weapon?\You say that the Grail, something brought into being by Servants, is a weapon, Archer?\By our nature, we ourselves are weapons.\The Grail merely takes that nature to its logical end. response:	The Holy Grail is a gateway to Hell.
context: It is truly rubbish.\Rubbish, but it has its uses.\Of my many weapons, I have none so perfectly tailored to killing.\A weapon?\You say that the Grail, something brought into being by Servants, is a weapon, Archer?\By our nature, we ourselves are weapons.\The Grail merely takes that nature to its logical end.\The Holy Grail is a gateway to Hell. response:	When opened, billions of curses will pour out.
context: Rubbish, but it has its uses.\Of my many weapons, I have none so perfectly tailored to killing.\A weapon?\You say that the Grail, something brought into being by Servants, is a weapon, Archer?\By our nature, we ourselves are weapons.\The Grail merely takes that nature to its logical end.\The Holy Grail is a gateway to Hell.\When opened, billions of curses will pour out. response:	Did Kotomine not tell you?
context: Of my many weapons, I have none so perfectly tailored to killing.\A weapon?\You say that the Grail, something brought into being by Servants, is a weapon, Archer?\By our nature, we ourselves are weapons.\The Grail merely takes that nature to its logical end.\The Holy Grail is a gateway to Hell.\When opened, billions of curses will pour out.\Did Kotomine not tell you? response:	That it was a Grail that had already been corrupted?
context: A weapon?\You say that the Grail, something brought into being by Servants, is a weapon, Archer?\By our nature, we ourselves are weapons.\The Grail merely takes that nature to its logical end.\The Holy Grail is a gateway to Hell.\When opened, billions of curses will pour out.\Did Kotomine not tell you?\That it was a Grail that had already been corrupted? response:	A chalice of greed that you humans let fall to Earth?
context: You say that the Grail, something brought into being by Servants, is a weapon, Archer?\By our nature, we ourselves are weapons.\The Grail merely takes that nature to its logical end.\The Holy Grail is a gateway to Hell.\When opened, billions of curses will pour out.\Did Kotomine not tell you?\That it was a Grail that had already been corrupted?\A chalice of greed that you humans let fall to Earth? response:	That it is one of humanity's great evils,
context: By our nature, we ourselves are weapons.\The Grail merely takes that nature to its logical end.\The Holy Grail is a gateway to Hell.\When opened, billions of curses will pour out.\Did Kotomine not tell you?\That it was a Grail that had already been corrupted?\A chalice of greed that you humans let fall to Earth?\That it is one of humanity's great evils, response:	tailored to cursing and killing humans?
context: The Grail merely takes that nature to its logical end.\The Holy Grail is a gateway to Hell.\When opened, billions of curses will pour out.\Did Kotomine not tell you?\That it was a Grail that had already been corrupted?\A chalice of greed that you humans let fall to Earth?\That it is one of humanity's great evils,\tailored to cursing and killing humans? response:	Then, what you are after is humanity's...
context: The Holy Grail is a gateway to Hell.\When opened, billions of curses will pour out.\Did Kotomine not tell you?\That it was a Grail that had already been corrupted?\A chalice of greed that you humans let fall to Earth?\That it is one of humanity's great evils,\tailored to cursing and killing humans?\Then, what you are after is humanity's... response:	Yes, the eradication of all humans in this era.
context: When opened, billions of curses will pour out.\Did Kotomine not tell you?\That it was a Grail that had already been corrupted?\A chalice of greed that you humans let fall to Earth?\That it is one of humanity's great evils,\tailored to cursing and killing humans?\Then, what you are after is humanity's...\Yes, the eradication of all humans in this era. response:	This world is enjoyable, but also beyond redemption.
context: Did Kotomine not tell you?\That it was a Grail that had already been corrupted?\A chalice of greed that you humans let fall to Earth?\That it is one of humanity's great evils,\tailored to cursing and killing humans?\Then, what you are after is humanity's...\Yes, the eradication of all humans in this era.\This world is enjoyable, but also beyond redemption. response:	A plenitude of mongrels enjoying life is an affront to the king.
context: That it was a Grail that had already been corrupted?\A chalice of greed that you humans let fall to Earth?\That it is one of humanity's great evils,\tailored to cursing and killing humans?\Then, what you are after is humanity's...\Yes, the eradication of all humans in this era.\This world is enjoyable, but also beyond redemption.\A plenitude of mongrels enjoying life is an affront to the king. response:	Wh-What do you mean, an affront to the king?
context: A chalice of greed that you humans let fall to Earth?\That it is one of humanity's great evils,\tailored to cursing and killing humans?\Then, what you are after is humanity's...\Yes, the eradication of all humans in this era.\This world is enjoyable, but also beyond redemption.\A plenitude of mongrels enjoying life is an affront to the king.\Wh-What do you mean, an affront to the king? response:	If you eradicate humanity, what's the point of being king?
context: That it is one of humanity's great evils,\tailored to cursing and killing humans?\Then, what you are after is humanity's...\Yes, the eradication of all humans in this era.\This world is enjoyable, but also beyond redemption.\A plenitude of mongrels enjoying life is an affront to the king.\Wh-What do you mean, an affront to the king?\If you eradicate humanity, what's the point of being king? response:	If they die out, so be it.
context: tailored to cursing and killing humans?\Then, what you are after is humanity's...\Yes, the eradication of all humans in this era.\This world is enjoyable, but also beyond redemption.\A plenitude of mongrels enjoying life is an affront to the king.\Wh-What do you mean, an affront to the king?\If you eradicate humanity, what's the point of being king?\If they die out, so be it. response:	If they vanish as a consequence of their own sin, surely their lives have no value.
context: Then, what you are after is humanity's...\Yes, the eradication of all humans in this era.\This world is enjoyable, but also beyond redemption.\A plenitude of mongrels enjoying life is an affront to the king.\Wh-What do you mean, an affront to the king?\If you eradicate humanity, what's the point of being king?\If they die out, so be it.\If they vanish as a consequence of their own sin, surely their lives have no value. response:	It is not mongrels that I desire.
context: Yes, the eradication of all humans in this era.\This world is enjoyable, but also beyond redemption.\A plenitude of mongrels enjoying life is an affront to the king.\Wh-What do you mean, an affront to the king?\If you eradicate humanity, what's the point of being king?\If they die out, so be it.\If they vanish as a consequence of their own sin, surely their lives have no value.\It is not mongrels that I desire. response:	It is those who survive amidst that Hell
context: This world is enjoyable, but also beyond redemption.\A plenitude of mongrels enjoying life is an affront to the king.\Wh-What do you mean, an affront to the king?\If you eradicate humanity, what's the point of being king?\If they die out, so be it.\If they vanish as a consequence of their own sin, surely their lives have no value.\It is not mongrels that I desire.\It is those who survive amidst that Hell response:	who will be worthy of my rule.
context: A plenitude of mongrels enjoying life is an affront to the king.\Wh-What do you mean, an affront to the king?\If you eradicate humanity, what's the point of being king?\If they die out, so be it.\If they vanish as a consequence of their own sin, surely their lives have no value.\It is not mongrels that I desire.\It is those who survive amidst that Hell\who will be worthy of my rule. response:	In that respect, those who died last time were failures.
context: Wh-What do you mean, an affront to the king?\If you eradicate humanity, what's the point of being king?\If they die out, so be it.\If they vanish as a consequence of their own sin, surely their lives have no value.\It is not mongrels that I desire.\It is those who survive amidst that Hell\who will be worthy of my rule.\In that respect, those who died last time were failures. response:	If a little fire like that suffices to kill them,
context: If you eradicate humanity, what's the point of being king?\If they die out, so be it.\If they vanish as a consequence of their own sin, surely their lives have no value.\It is not mongrels that I desire.\It is those who survive amidst that Hell\who will be worthy of my rule.\In that respect, those who died last time were failures.\If a little fire like that suffices to kill them, response:	the humans of this time are far too frail.
context: If they die out, so be it.\If they vanish as a consequence of their own sin, surely their lives have no value.\It is not mongrels that I desire.\It is those who survive amidst that Hell\who will be worthy of my rule.\In that respect, those who died last time were failures.\If a little fire like that suffices to kill them,\the humans of this time are far too frail. response:	I do not know what those who created the Grail intended,
context: If they vanish as a consequence of their own sin, surely their lives have no value.\It is not mongrels that I desire.\It is those who survive amidst that Hell\who will be worthy of my rule.\In that respect, those who died last time were failures.\If a little fire like that suffices to kill them,\the humans of this time are far too frail.\I do not know what those who created the Grail intended, response:	but it is a convenient tool.
context: It is not mongrels that I desire.\It is those who survive amidst that Hell\who will be worthy of my rule.\In that respect, those who died last time were failures.\If a little fire like that suffices to kill them,\the humans of this time are far too frail.\I do not know what those who created the Grail intended,\but it is a convenient tool. response:	A death sentence that will fall equally on all humans.
context: It is those who survive amidst that Hell\who will be worthy of my rule.\In that respect, those who died last time were failures.\If a little fire like that suffices to kill them,\the humans of this time are far too frail.\I do not know what those who created the Grail intended,\but it is a convenient tool.\A death sentence that will fall equally on all humans. response:	A fathomless darkness, created by man, that kills only man.
context: who will be worthy of my rule.\In that respect, those who died last time were failures.\If a little fire like that suffices to kill them,\the humans of this time are far too frail.\I do not know what those who created the Grail intended,\but it is a convenient tool.\A death sentence that will fall equally on all humans.\A fathomless darkness, created by man, that kills only man. response:	A hound worthy of entrusting with a task I ought to do myself.
context: In that respect, those who died last time were failures.\If a little fire like that suffices to kill them,\the humans of this time are far too frail.\I do not know what those who created the Grail intended,\but it is a convenient tool.\A death sentence that will fall equally on all humans.\A fathomless darkness, created by man, that kills only man.\A hound worthy of entrusting with a task I ought to do myself. response:	So let us pick up where we left off ten years ago.
context: If a little fire like that suffices to kill them,\the humans of this time are far too frail.\I do not know what those who created the Grail intended,\but it is a convenient tool.\A death sentence that will fall equally on all humans.\A fathomless darkness, created by man, that kills only man.\A hound worthy of entrusting with a task I ought to do myself.\So let us pick up where we left off ten years ago. response:	Back then, a filthy mongrel interrupted us,
context: the humans of this time are far too frail.\I do not know what those who created the Grail intended,\but it is a convenient tool.\A death sentence that will fall equally on all humans.\A fathomless darkness, created by man, that kills only man.\A hound worthy of entrusting with a task I ought to do myself.\So let us pick up where we left off ten years ago.\Back then, a filthy mongrel interrupted us, response:	but now, there is no such mongrel present.
context: I do not know what those who created the Grail intended,\but it is a convenient tool.\A death sentence that will fall equally on all humans.\A fathomless darkness, created by man, that kills only man.\A hound worthy of entrusting with a task I ought to do myself.\So let us pick up where we left off ten years ago.\Back then, a filthy mongrel interrupted us,\but now, there is no such mongrel present. response:	Admittedly, an even more inferior fake is in our presence.
context: but it is a convenient tool.\A death sentence that will fall equally on all humans.\A fathomless darkness, created by man, that kills only man.\A hound worthy of entrusting with a task I ought to do myself.\So let us pick up where we left off ten years ago.\Back then, a filthy mongrel interrupted us,\but now, there is no such mongrel present.\Admittedly, an even more inferior fake is in our presence. response:	It's up to you to defeat him.
context: A death sentence that will fall equally on all humans.\A fathomless darkness, created by man, that kills only man.\A hound worthy of entrusting with a task I ought to do myself.\So let us pick up where we left off ten years ago.\Back then, a filthy mongrel interrupted us,\but now, there is no such mongrel present.\Admittedly, an even more inferior fake is in our presence.\It's up to you to defeat him. response:	Why did he say that?
context: A fathomless darkness, created by man, that kills only man.\A hound worthy of entrusting with a task I ought to do myself.\So let us pick up where we left off ten years ago.\Back then, a filthy mongrel interrupted us,\but now, there is no such mongrel present.\Admittedly, an even more inferior fake is in our presence.\It's up to you to defeat him.\Why did he say that? response:	Well, no matter.
context: A hound worthy of entrusting with a task I ought to do myself.\So let us pick up where we left off ten years ago.\Back then, a filthy mongrel interrupted us,\but now, there is no such mongrel present.\Admittedly, an even more inferior fake is in our presence.\It's up to you to defeat him.\Why did he say that?\Well, no matter. response:	I have slain my true target. I shall call it a day.
context: So let us pick up where we left off ten years ago.\Back then, a filthy mongrel interrupted us,\but now, there is no such mongrel present.\Admittedly, an even more inferior fake is in our presence.\It's up to you to defeat him.\Why did he say that?\Well, no matter.\I have slain my true target. I shall call it a day. response:	Anyway, I'm getting soot all over me.
context: Back then, a filthy mongrel interrupted us,\but now, there is no such mongrel present.\Admittedly, an even more inferior fake is in our presence.\It's up to you to defeat him.\Why did he say that?\Well, no matter.\I have slain my true target. I shall call it a day.\Anyway, I'm getting soot all over me. response:	This means your lives are worth less to me than soot.
context: but now, there is no such mongrel present.\Admittedly, an even more inferior fake is in our presence.\It's up to you to defeat him.\Why did he say that?\Well, no matter.\I have slain my true target. I shall call it a day.\Anyway, I'm getting soot all over me.\This means your lives are worth less to me than soot. response:	You have no time to waste, though.
context: Admittedly, an even more inferior fake is in our presence.\It's up to you to defeat him.\Why did he say that?\Well, no matter.\I have slain my true target. I shall call it a day.\Anyway, I'm getting soot all over me.\This means your lives are worth less to me than soot.\You have no time to waste, though. response:	I shall produce the Grail right away, and open a hole leading to Hell.
context: It's up to you to defeat him.\Why did he say that?\Well, no matter.\I have slain my true target. I shall call it a day.\Anyway, I'm getting soot all over me.\This means your lives are worth less to me than soot.\You have no time to waste, though.\I shall produce the Grail right away, and open a hole leading to Hell. response:	Saber, if you wish to recover it, act swiftly.
context: Why did he say that?\Well, no matter.\I have slain my true target. I shall call it a day.\Anyway, I'm getting soot all over me.\This means your lives are worth less to me than soot.\You have no time to waste, though.\I shall produce the Grail right away, and open a hole leading to Hell.\Saber, if you wish to recover it, act swiftly. response:	This time, the Grail is a hasty affair, riddled with defects.
