context: Are you... Mari?! response:	I had sworn to myself that I would never speak that way in front of you.
context: What's going on?\How should I know?\As far as I know, I only made the promise with one girl.\So what was that promise about in the first place?\I can't remember, no matter what.\Me neither...\None of you remember what the promise was about?\You mean, you remember? response:	Well, but of course, it could be none other than a promise of marriage!
context: How should I know?\As far as I know, I only made the promise with one girl.\So what was that promise about in the first place?\I can't remember, no matter what.\Me neither...\None of you remember what the promise was about?\You mean, you remember?\Well, but of course, it could be none other than a promise of marriage! response:	What? Am I wrong?
context: As far as I know, I only made the promise with one girl.\So what was that promise about in the first place?\I can't remember, no matter what.\Me neither...\None of you remember what the promise was about?\You mean, you remember?\Well, but of course, it could be none other than a promise of marriage!\What? Am I wrong? response:	I just assumed it was the same for the rest of you, too.
context: So what was that promise about in the first place?\I can't remember, no matter what.\Me neither...\None of you remember what the promise was about?\You mean, you remember?\Well, but of course, it could be none other than a promise of marriage!\What? Am I wrong?\I just assumed it was the same for the rest of you, too. response:	That was the promise I made when I bade Raku-sama farewell.
context: I can't remember, no matter what.\Me neither...\None of you remember what the promise was about?\You mean, you remember?\Well, but of course, it could be none other than a promise of marriage!\What? Am I wrong?\I just assumed it was the same for the rest of you, too.\That was the promise I made when I bade Raku-sama farewell. response:	Although he may not remember that!
context: Me neither...\None of you remember what the promise was about?\You mean, you remember?\Well, but of course, it could be none other than a promise of marriage!\What? Am I wrong?\I just assumed it was the same for the rest of you, too.\That was the promise I made when I bade Raku-sama farewell.\Although he may not remember that! response:	Darling, didn't you say you made such a promise when you said goodbye?
context: None of you remember what the promise was about?\You mean, you remember?\Well, but of course, it could be none other than a promise of marriage!\What? Am I wrong?\I just assumed it was the same for the rest of you, too.\That was the promise I made when I bade Raku-sama farewell.\Although he may not remember that!\Darling, didn't you say you made such a promise when you said goodbye? response:	Don't you think she's the one?
context: You mean, you remember?\Well, but of course, it could be none other than a promise of marriage!\What? Am I wrong?\I just assumed it was the same for the rest of you, too.\That was the promise I made when I bade Raku-sama farewell.\Although he may not remember that!\Darling, didn't you say you made such a promise when you said goodbye?\Don't you think she's the one? response:	W-Well, I don't know about that...
context: Well, but of course, it could be none other than a promise of marriage!\What? Am I wrong?\I just assumed it was the same for the rest of you, too.\That was the promise I made when I bade Raku-sama farewell.\Although he may not remember that!\Darling, didn't you say you made such a promise when you said goodbye?\Don't you think she's the one?\W-Well, I don't know about that... response:	Like, there's still a lot we don't know...
context: What? Am I wrong?\I just assumed it was the same for the rest of you, too.\That was the promise I made when I bade Raku-sama farewell.\Although he may not remember that!\Darling, didn't you say you made such a promise when you said goodbye?\Don't you think she's the one?\W-Well, I don't know about that...\Like, there's still a lot we don't know... response:	Marriage?
context: I just assumed it was the same for the rest of you, too.\That was the promise I made when I bade Raku-sama farewell.\Although he may not remember that!\Darling, didn't you say you made such a promise when you said goodbye?\Don't you think she's the one?\W-Well, I don't know about that...\Like, there's still a lot we don't know...\Marriage? response:	Is it possible that I made such a bold promise with Ichijou-kun, too?
context: That was the promise I made when I bade Raku-sama farewell.\Although he may not remember that!\Darling, didn't you say you made such a promise when you said goodbye?\Don't you think she's the one?\W-Well, I don't know about that...\Like, there's still a lot we don't know...\Marriage?\Is it possible that I made such a bold promise with Ichijou-kun, too? response:	If... If I did...
context: Although he may not remember that!\Darling, didn't you say you made such a promise when you said goodbye?\Don't you think she's the one?\W-Well, I don't know about that...\Like, there's still a lot we don't know...\Marriage?\Is it possible that I made such a bold promise with Ichijou-kun, too?\If... If I did... response:	I knew it was some kind of important promise,
context: Darling, didn't you say you made such a promise when you said goodbye?\Don't you think she's the one?\W-Well, I don't know about that...\Like, there's still a lot we don't know...\Marriage?\Is it possible that I made such a bold promise with Ichijou-kun, too?\If... If I did...\I knew it was some kind of important promise, response:	but I never would've thought...
context: Don't you think she's the one?\W-Well, I don't know about that...\Like, there's still a lot we don't know...\Marriage?\Is it possible that I made such a bold promise with Ichijou-kun, too?\If... If I did...\I knew it was some kind of important promise,\but I never would've thought... response:	Well, then why are there three keys?
context: W-Well, I don't know about that...\Like, there's still a lot we don't know...\Marriage?\Is it possible that I made such a bold promise with Ichijou-kun, too?\If... If I did...\I knew it was some kind of important promise,\but I never would've thought...\Well, then why are there three keys? response:	You should know, right?
context: Like, there's still a lot we don't know...\Marriage?\Is it possible that I made such a bold promise with Ichijou-kun, too?\If... If I did...\I knew it was some kind of important promise,\but I never would've thought...\Well, then why are there three keys?\You should know, right? response:	The truth about this promise...
context: Marriage?\Is it possible that I made such a bold promise with Ichijou-kun, too?\If... If I did...\I knew it was some kind of important promise,\but I never would've thought...\Well, then why are there three keys?\You should know, right?\The truth about this promise... response:	Oh, you didn't want to tell us, right?
context: Is it possible that I made such a bold promise with Ichijou-kun, too?\If... If I did...\I knew it was some kind of important promise,\but I never would've thought...\Well, then why are there three keys?\You should know, right?\The truth about this promise...\Oh, you didn't want to tell us, right? response:	How about just a little hint?
context: If... If I did...\I knew it was some kind of important promise,\but I never would've thought...\Well, then why are there three keys?\You should know, right?\The truth about this promise...\Oh, you didn't want to tell us, right?\How about just a little hint? response:	Let me see...
context: I knew it was some kind of important promise,\but I never would've thought...\Well, then why are there three keys?\You should know, right?\The truth about this promise...\Oh, you didn't want to tell us, right?\How about just a little hint?\Let me see... response:	I apologize.
context: but I never would've thought...\Well, then why are there three keys?\You should know, right?\The truth about this promise...\Oh, you didn't want to tell us, right?\How about just a little hint?\Let me see...\I apologize. response:	That I don't know myself.
context: Well, then why are there three keys?\You should know, right?\The truth about this promise...\Oh, you didn't want to tell us, right?\How about just a little hint?\Let me see...\I apologize.\That I don't know myself. response:	Yeah, but you
context: You should know, right?\The truth about this promise...\Oh, you didn't want to tell us, right?\How about just a little hint?\Let me see...\I apologize.\That I don't know myself.\Yeah, but you response:	You were totally bragging about how you knew the answer!
context: The truth about this promise...\Oh, you didn't want to tell us, right?\How about just a little hint?\Let me see...\I apologize.\That I don't know myself.\Yeah, but you\You were totally bragging about how you knew the answer! response:	Yesno, I am very, very sorry.
context: Oh, you didn't want to tell us, right?\How about just a little hint?\Let me see...\I apologize.\That I don't know myself.\Yeah, but you\You were totally bragging about how you knew the answer!\Yesno, I am very, very sorry. response:	To be honest, I am also astonished.
context: How about just a little hint?\Let me see...\I apologize.\That I don't know myself.\Yeah, but you\You were totally bragging about how you knew the answer!\Yesno, I am very, very sorry.\To be honest, I am also astonished. response:	I never knew that there were others apart from myself with keys.
context: Let me see...\I apologize.\That I don't know myself.\Yeah, but you\You were totally bragging about how you knew the answer!\Yesno, I am very, very sorry.\To be honest, I am also astonished.\I never knew that there were others apart from myself with keys. response:	Today is the first I have heard of it.
context: I apologize.\That I don't know myself.\Yeah, but you\You were totally bragging about how you knew the answer!\Yesno, I am very, very sorry.\To be honest, I am also astonished.\I never knew that there were others apart from myself with keys.\Today is the first I have heard of it. response:	Though I do recall that in our conversations,
context: That I don't know myself.\Yeah, but you\You were totally bragging about how you knew the answer!\Yesno, I am very, very sorry.\To be honest, I am also astonished.\I never knew that there were others apart from myself with keys.\Today is the first I have heard of it.\Though I do recall that in our conversations, response:	you had mentioned another playmate of yours.
context: Yeah, but you\You were totally bragging about how you knew the answer!\Yesno, I am very, very sorry.\To be honest, I am also astonished.\I never knew that there were others apart from myself with keys.\Today is the first I have heard of it.\Though I do recall that in our conversations,\you had mentioned another playmate of yours. response:	Then this truth of yours...
context: You were totally bragging about how you knew the answer!\Yesno, I am very, very sorry.\To be honest, I am also astonished.\I never knew that there were others apart from myself with keys.\Today is the first I have heard of it.\Though I do recall that in our conversations,\you had mentioned another playmate of yours.\Then this truth of yours... response:	Needless to say...
context: Yesno, I am very, very sorry.\To be honest, I am also astonished.\I never knew that there were others apart from myself with keys.\Today is the first I have heard of it.\Though I do recall that in our conversations,\you had mentioned another playmate of yours.\Then this truth of yours...\Needless to say... response:	I was referring to how much I was in love with you when I made that promise!
context: To be honest, I am also astonished.\I never knew that there were others apart from myself with keys.\Today is the first I have heard of it.\Though I do recall that in our conversations,\you had mentioned another playmate of yours.\Then this truth of yours...\Needless to say...\I was referring to how much I was in love with you when I made that promise! response:	I know only what concerns my own promise, after all.
context: I never knew that there were others apart from myself with keys.\Today is the first I have heard of it.\Though I do recall that in our conversations,\you had mentioned another playmate of yours.\Then this truth of yours...\Needless to say...\I was referring to how much I was in love with you when I made that promise!\I know only what concerns my own promise, after all. response:	Nothing more.
context: Today is the first I have heard of it.\Though I do recall that in our conversations,\you had mentioned another playmate of yours.\Then this truth of yours...\Needless to say...\I was referring to how much I was in love with you when I made that promise!\I know only what concerns my own promise, after all.\Nothing more. response:	So that means one of these keys is real, and the others aren't.
context: Though I do recall that in our conversations,\you had mentioned another playmate of yours.\Then this truth of yours...\Needless to say...\I was referring to how much I was in love with you when I made that promise!\I know only what concerns my own promise, after all.\Nothing more.\So that means one of these keys is real, and the others aren't. response:	If that's the case, then we're stuck waiting until your locket is repaired, right?
context: you had mentioned another playmate of yours.\Then this truth of yours...\Needless to say...\I was referring to how much I was in love with you when I made that promise!\I know only what concerns my own promise, after all.\Nothing more.\So that means one of these keys is real, and the others aren't.\If that's the case, then we're stuck waiting until your locket is repaired, right? response:	Well, in any case, I am the one who shall wed Raku-sama.
context: Then this truth of yours...\Needless to say...\I was referring to how much I was in love with you when I made that promise!\I know only what concerns my own promise, after all.\Nothing more.\So that means one of these keys is real, and the others aren't.\If that's the case, then we're stuck waiting until your locket is repaired, right?\Well, in any case, I am the one who shall wed Raku-sama. response:	After all, we've already shared a kiss.
context: Needless to say...\I was referring to how much I was in love with you when I made that promise!\I know only what concerns my own promise, after all.\Nothing more.\So that means one of these keys is real, and the others aren't.\If that's the case, then we're stuck waiting until your locket is repaired, right?\Well, in any case, I am the one who shall wed Raku-sama.\After all, we've already shared a kiss. response:	A kiss? Wait!
context: I was referring to how much I was in love with you when I made that promise!\I know only what concerns my own promise, after all.\Nothing more.\So that means one of these keys is real, and the others aren't.\If that's the case, then we're stuck waiting until your locket is repaired, right?\Well, in any case, I am the one who shall wed Raku-sama.\After all, we've already shared a kiss.\A kiss? Wait! response:	You can't fool us anymore. I know you're just saying that to
context: I know only what concerns my own promise, after all.\Nothing more.\So that means one of these keys is real, and the others aren't.\If that's the case, then we're stuck waiting until your locket is repaired, right?\Well, in any case, I am the one who shall wed Raku-sama.\After all, we've already shared a kiss.\A kiss? Wait!\You can't fool us anymore. I know you're just saying that to response:	Waityou two kissed?
context: Nothing more.\So that means one of these keys is real, and the others aren't.\If that's the case, then we're stuck waiting until your locket is repaired, right?\Well, in any case, I am the one who shall wed Raku-sama.\After all, we've already shared a kiss.\A kiss? Wait!\You can't fool us anymore. I know you're just saying that to\Waityou two kissed? response:	No, no, no! No, no! It was so sudden! I had no way of resisting!
context: So that means one of these keys is real, and the others aren't.\If that's the case, then we're stuck waiting until your locket is repaired, right?\Well, in any case, I am the one who shall wed Raku-sama.\After all, we've already shared a kiss.\A kiss? Wait!\You can't fool us anymore. I know you're just saying that to\Waityou two kissed?\No, no, no! No, no! It was so sudden! I had no way of resisting! response:	So you did kiss! Lowlife scum! I can't believe you!
context: If that's the case, then we're stuck waiting until your locket is repaired, right?\Well, in any case, I am the one who shall wed Raku-sama.\After all, we've already shared a kiss.\A kiss? Wait!\You can't fool us anymore. I know you're just saying that to\Waityou two kissed?\No, no, no! No, no! It was so sudden! I had no way of resisting!\So you did kiss! Lowlife scum! I can't believe you! response:	You filthy beast!
context: Well, in any case, I am the one who shall wed Raku-sama.\After all, we've already shared a kiss.\A kiss? Wait!\You can't fool us anymore. I know you're just saying that to\Waityou two kissed?\No, no, no! No, no! It was so sudden! I had no way of resisting!\So you did kiss! Lowlife scum! I can't believe you!\You filthy beast! response:	Kissing a girl you've just met.
context: After all, we've already shared a kiss.\A kiss? Wait!\You can't fool us anymore. I know you're just saying that to\Waityou two kissed?\No, no, no! No, no! It was so sudden! I had no way of resisting!\So you did kiss! Lowlife scum! I can't believe you!\You filthy beast!\Kissing a girl you've just met. response:	Hey, it wasn't really a kiss! Her lips just touched my cheek, that's all!
context: A kiss? Wait!\You can't fool us anymore. I know you're just saying that to\Waityou two kissed?\No, no, no! No, no! It was so sudden! I had no way of resisting!\So you did kiss! Lowlife scum! I can't believe you!\You filthy beast!\Kissing a girl you've just met.\Hey, it wasn't really a kiss! Her lips just touched my cheek, that's all! response:	Well, considering who's more appropriate for Raku-sama, it's only natural, I think.
context: You can't fool us anymore. I know you're just saying that to\Waityou two kissed?\No, no, no! No, no! It was so sudden! I had no way of resisting!\So you did kiss! Lowlife scum! I can't believe you!\You filthy beast!\Kissing a girl you've just met.\Hey, it wasn't really a kiss! Her lips just touched my cheek, that's all!\Well, considering who's more appropriate for Raku-sama, it's only natural, I think. response:	Well, well! You're one to talk, after making a move on my darling!
context: Waityou two kissed?\No, no, no! No, no! It was so sudden! I had no way of resisting!\So you did kiss! Lowlife scum! I can't believe you!\You filthy beast!\Kissing a girl you've just met.\Hey, it wasn't really a kiss! Her lips just touched my cheek, that's all!\Well, considering who's more appropriate for Raku-sama, it's only natural, I think.\Well, well! You're one to talk, after making a move on my darling! response:	You thieving cat.
context: No, no, no! No, no! It was so sudden! I had no way of resisting!\So you did kiss! Lowlife scum! I can't believe you!\You filthy beast!\Kissing a girl you've just met.\Hey, it wasn't really a kiss! Her lips just touched my cheek, that's all!\Well, considering who's more appropriate for Raku-sama, it's only natural, I think.\Well, well! You're one to talk, after making a move on my darling!\You thieving cat. response:	Well, at least cats are more endearing than gorillas.
context: So you did kiss! Lowlife scum! I can't believe you!\You filthy beast!\Kissing a girl you've just met.\Hey, it wasn't really a kiss! Her lips just touched my cheek, that's all!\Well, considering who's more appropriate for Raku-sama, it's only natural, I think.\Well, well! You're one to talk, after making a move on my darling!\You thieving cat.\Well, at least cats are more endearing than gorillas. response:	I'm more suitable for Darling!
context: You filthy beast!\Kissing a girl you've just met.\Hey, it wasn't really a kiss! Her lips just touched my cheek, that's all!\Well, considering who's more appropriate for Raku-sama, it's only natural, I think.\Well, well! You're one to talk, after making a move on my darling!\You thieving cat.\Well, at least cats are more endearing than gorillas.\I'm more suitable for Darling! response:	No, I am!
context: Kissing a girl you've just met.\Hey, it wasn't really a kiss! Her lips just touched my cheek, that's all!\Well, considering who's more appropriate for Raku-sama, it's only natural, I think.\Well, well! You're one to talk, after making a move on my darling!\You thieving cat.\Well, at least cats are more endearing than gorillas.\I'm more suitable for Darling!\No, I am! response:	Whose side are you on, Kosaki-chan?
context: Hey, it wasn't really a kiss! Her lips just touched my cheek, that's all!\Well, considering who's more appropriate for Raku-sama, it's only natural, I think.\Well, well! You're one to talk, after making a move on my darling!\You thieving cat.\Well, at least cats are more endearing than gorillas.\I'm more suitable for Darling!\No, I am!\Whose side are you on, Kosaki-chan? response:	What do you think, Onodera-sama?
context: Well, considering who's more appropriate for Raku-sama, it's only natural, I think.\Well, well! You're one to talk, after making a move on my darling!\You thieving cat.\Well, at least cats are more endearing than gorillas.\I'm more suitable for Darling!\No, I am!\Whose side are you on, Kosaki-chan?\What do you think, Onodera-sama? response:	Uh, um... Well, I...
context: Well, well! You're one to talk, after making a move on my darling!\You thieving cat.\Well, at least cats are more endearing than gorillas.\I'm more suitable for Darling!\No, I am!\Whose side are you on, Kosaki-chan?\What do you think, Onodera-sama?\Uh, um... Well, I... response:	Oh, yes, before you answer...
context: You thieving cat.\Well, at least cats are more endearing than gorillas.\I'm more suitable for Darling!\No, I am!\Whose side are you on, Kosaki-chan?\What do you think, Onodera-sama?\Uh, um... Well, I...\Oh, yes, before you answer... response:	Tell us, how do you feel about Raku-sama?
context: Well, at least cats are more endearing than gorillas.\I'm more suitable for Darling!\No, I am!\Whose side are you on, Kosaki-chan?\What do you think, Onodera-sama?\Uh, um... Well, I...\Oh, yes, before you answer...\Tell us, how do you feel about Raku-sama? response:	Perhaps you're thinking that you might have promised to marry him years ago,
context: I'm more suitable for Darling!\No, I am!\Whose side are you on, Kosaki-chan?\What do you think, Onodera-sama?\Uh, um... Well, I...\Oh, yes, before you answer...\Tell us, how do you feel about Raku-sama?\Perhaps you're thinking that you might have promised to marry him years ago, response:	and possibly that you and he
context: No, I am!\Whose side are you on, Kosaki-chan?\What do you think, Onodera-sama?\Uh, um... Well, I...\Oh, yes, before you answer...\Tell us, how do you feel about Raku-sama?\Perhaps you're thinking that you might have promised to marry him years ago,\and possibly that you and he response:	It's possible that I might have made such a promise years ago,
context: Whose side are you on, Kosaki-chan?\What do you think, Onodera-sama?\Uh, um... Well, I...\Oh, yes, before you answer...\Tell us, how do you feel about Raku-sama?\Perhaps you're thinking that you might have promised to marry him years ago,\and possibly that you and he\It's possible that I might have made such a promise years ago, response:	but for now I think of him as a good friend.
context: What do you think, Onodera-sama?\Uh, um... Well, I...\Oh, yes, before you answer...\Tell us, how do you feel about Raku-sama?\Perhaps you're thinking that you might have promised to marry him years ago,\and possibly that you and he\It's possible that I might have made such a promise years ago,\but for now I think of him as a good friend. response:	Is that right? In that case, let's be friends!
context: Uh, um... Well, I...\Oh, yes, before you answer...\Tell us, how do you feel about Raku-sama?\Perhaps you're thinking that you might have promised to marry him years ago,\and possibly that you and he\It's possible that I might have made such a promise years ago,\but for now I think of him as a good friend.\Is that right? In that case, let's be friends! response:	No way! Kosaki-chan is my friend!
context: Oh, yes, before you answer...\Tell us, how do you feel about Raku-sama?\Perhaps you're thinking that you might have promised to marry him years ago,\and possibly that you and he\It's possible that I might have made such a promise years ago,\but for now I think of him as a good friend.\Is that right? In that case, let's be friends!\No way! Kosaki-chan is my friend! response:	Good friend, huh? Well, that's a bummer.
context: Tell us, how do you feel about Raku-sama?\Perhaps you're thinking that you might have promised to marry him years ago,\and possibly that you and he\It's possible that I might have made such a promise years ago,\but for now I think of him as a good friend.\Is that right? In that case, let's be friends!\No way! Kosaki-chan is my friend!\Good friend, huh? Well, that's a bummer. response:	Now, now, why so uptight? You certainly are a stingy gorilla.
context: Perhaps you're thinking that you might have promised to marry him years ago,\and possibly that you and he\It's possible that I might have made such a promise years ago,\but for now I think of him as a good friend.\Is that right? In that case, let's be friends!\No way! Kosaki-chan is my friend!\Good friend, huh? Well, that's a bummer.\Now, now, why so uptight? You certainly are a stingy gorilla. response:	So Ichijou-kun and I did meet in the past.
context: and possibly that you and he\It's possible that I might have made such a promise years ago,\but for now I think of him as a good friend.\Is that right? In that case, let's be friends!\No way! Kosaki-chan is my friend!\Good friend, huh? Well, that's a bummer.\Now, now, why so uptight? You certainly are a stingy gorilla.\So Ichijou-kun and I did meet in the past. response:	Then, that makes him my first love.
context: It's possible that I might have made such a promise years ago,\but for now I think of him as a good friend.\Is that right? In that case, let's be friends!\No way! Kosaki-chan is my friend!\Good friend, huh? Well, that's a bummer.\Now, now, why so uptight? You certainly are a stingy gorilla.\So Ichijou-kun and I did meet in the past.\Then, that makes him my first love. response:	Kosaki-chan doesn't need a thieving cat like you for a friend!
context: but for now I think of him as a good friend.\Is that right? In that case, let's be friends!\No way! Kosaki-chan is my friend!\Good friend, huh? Well, that's a bummer.\Now, now, why so uptight? You certainly are a stingy gorilla.\So Ichijou-kun and I did meet in the past.\Then, that makes him my first love.\Kosaki-chan doesn't need a thieving cat like you for a friend! response:	But what if Ichijou-kun loves Chitoge-chan?
context: Is that right? In that case, let's be friends!\No way! Kosaki-chan is my friend!\Good friend, huh? Well, that's a bummer.\Now, now, why so uptight? You certainly are a stingy gorilla.\So Ichijou-kun and I did meet in the past.\Then, that makes him my first love.\Kosaki-chan doesn't need a thieving cat like you for a friend!\But what if Ichijou-kun loves Chitoge-chan? response:	Oh, my! What a loud voice you have, Gorilla!
context: No way! Kosaki-chan is my friend!\Good friend, huh? Well, that's a bummer.\Now, now, why so uptight? You certainly are a stingy gorilla.\So Ichijou-kun and I did meet in the past.\Then, that makes him my first love.\Kosaki-chan doesn't need a thieving cat like you for a friend!\But what if Ichijou-kun loves Chitoge-chan?\Oh, my! What a loud voice you have, Gorilla! response:	Oh, man, you make my blood boil! What's so funny?
context: Good friend, huh? Well, that's a bummer.\Now, now, why so uptight? You certainly are a stingy gorilla.\So Ichijou-kun and I did meet in the past.\Then, that makes him my first love.\Kosaki-chan doesn't need a thieving cat like you for a friend!\But what if Ichijou-kun loves Chitoge-chan?\Oh, my! What a loud voice you have, Gorilla!\Oh, man, you make my blood boil! What's so funny? response:	One of those girls is the one I made the promise with?
context: Now, now, why so uptight? You certainly are a stingy gorilla.\So Ichijou-kun and I did meet in the past.\Then, that makes him my first love.\Kosaki-chan doesn't need a thieving cat like you for a friend!\But what if Ichijou-kun loves Chitoge-chan?\Oh, my! What a loud voice you have, Gorilla!\Oh, man, you make my blood boil! What's so funny?\One of those girls is the one I made the promise with? response:	What a barbaric gorilla you are!
context: So Ichijou-kun and I did meet in the past.\Then, that makes him my first love.\Kosaki-chan doesn't need a thieving cat like you for a friend!\But what if Ichijou-kun loves Chitoge-chan?\Oh, my! What a loud voice you have, Gorilla!\Oh, man, you make my blood boil! What's so funny?\One of those girls is the one I made the promise with?\What a barbaric gorilla you are! response:	But the one I love now is Onodera.
context: Then, that makes him my first love.\Kosaki-chan doesn't need a thieving cat like you for a friend!\But what if Ichijou-kun loves Chitoge-chan?\Oh, my! What a loud voice you have, Gorilla!\Oh, man, you make my blood boil! What's so funny?\One of those girls is the one I made the promise with?\What a barbaric gorilla you are!\But the one I love now is Onodera. response:	My feelings right now and my feelings from the past, huh?
context: Kosaki-chan doesn't need a thieving cat like you for a friend!\But what if Ichijou-kun loves Chitoge-chan?\Oh, my! What a loud voice you have, Gorilla!\Oh, man, you make my blood boil! What's so funny?\One of those girls is the one I made the promise with?\What a barbaric gorilla you are!\But the one I love now is Onodera.\My feelings right now and my feelings from the past, huh? response:	Well, it is all but settled that my key is the genuine one.
context: But what if Ichijou-kun loves Chitoge-chan?\Oh, my! What a loud voice you have, Gorilla!\Oh, man, you make my blood boil! What's so funny?\One of those girls is the one I made the promise with?\What a barbaric gorilla you are!\But the one I love now is Onodera.\My feelings right now and my feelings from the past, huh?\Well, it is all but settled that my key is the genuine one. response:	Raku-sama and I are bound by the red thread of destiny
context: Oh, my! What a loud voice you have, Gorilla!\Oh, man, you make my blood boil! What's so funny?\One of those girls is the one I made the promise with?\What a barbaric gorilla you are!\But the one I love now is Onodera.\My feelings right now and my feelings from the past, huh?\Well, it is all but settled that my key is the genuine one.\Raku-sama and I are bound by the red thread of destiny response:	Yeah? So why didn't he remember a thing about you, then?
context: Oh, man, you make my blood boil! What's so funny?\One of those girls is the one I made the promise with?\What a barbaric gorilla you are!\But the one I love now is Onodera.\My feelings right now and my feelings from the past, huh?\Well, it is all but settled that my key is the genuine one.\Raku-sama and I are bound by the red thread of destiny\Yeah? So why didn't he remember a thing about you, then? response:	Don't you gimme that hogwash, now!
context: One of those girls is the one I made the promise with?\What a barbaric gorilla you are!\But the one I love now is Onodera.\My feelings right now and my feelings from the past, huh?\Well, it is all but settled that my key is the genuine one.\Raku-sama and I are bound by the red thread of destiny\Yeah? So why didn't he remember a thing about you, then?\Don't you gimme that hogwash, now! response:	What was that?
context: What a barbaric gorilla you are!\But the one I love now is Onodera.\My feelings right now and my feelings from the past, huh?\Well, it is all but settled that my key is the genuine one.\Raku-sama and I are bound by the red thread of destiny\Yeah? So why didn't he remember a thing about you, then?\Don't you gimme that hogwash, now!\What was that? response:	I don't know. Whatever are you talking about?
context: But the one I love now is Onodera.\My feelings right now and my feelings from the past, huh?\Well, it is all but settled that my key is the genuine one.\Raku-sama and I are bound by the red thread of destiny\Yeah? So why didn't he remember a thing about you, then?\Don't you gimme that hogwash, now!\What was that?\I don't know. Whatever are you talking about? response:	No, nothing at all!
context: My feelings right now and my feelings from the past, huh?\Well, it is all but settled that my key is the genuine one.\Raku-sama and I are bound by the red thread of destiny\Yeah? So why didn't he remember a thing about you, then?\Don't you gimme that hogwash, now!\What was that?\I don't know. Whatever are you talking about?\No, nothing at all! response:	And so, Raku-sama, will you be so kind as to meet my father tomorrow?
context: Well, it is all but settled that my key is the genuine one.\Raku-sama and I are bound by the red thread of destiny\Yeah? So why didn't he remember a thing about you, then?\Don't you gimme that hogwash, now!\What was that?\I don't know. Whatever are you talking about?\No, nothing at all!\And so, Raku-sama, will you be so kind as to meet my father tomorrow? response:	I told you, you need to come by at least once to pay your respects.
context: Raku-sama and I are bound by the red thread of destiny\Yeah? So why didn't he remember a thing about you, then?\Don't you gimme that hogwash, now!\What was that?\I don't know. Whatever are you talking about?\No, nothing at all!\And so, Raku-sama, will you be so kind as to meet my father tomorrow?\I told you, you need to come by at least once to pay your respects. response:	We also have to decide on the date of our engagement.
context: Yeah? So why didn't he remember a thing about you, then?\Don't you gimme that hogwash, now!\What was that?\I don't know. Whatever are you talking about?\No, nothing at all!\And so, Raku-sama, will you be so kind as to meet my father tomorrow?\I told you, you need to come by at least once to pay your respects.\We also have to decide on the date of our engagement. response:	Wait, what are you trying to get at?
context: Don't you gimme that hogwash, now!\What was that?\I don't know. Whatever are you talking about?\No, nothing at all!\And so, Raku-sama, will you be so kind as to meet my father tomorrow?\I told you, you need to come by at least once to pay your respects.\We also have to decide on the date of our engagement.\Wait, what are you trying to get at? response:	Didn't I make it clear that I had no clue that I had a fiancee?
context: What was that?\I don't know. Whatever are you talking about?\No, nothing at all!\And so, Raku-sama, will you be so kind as to meet my father tomorrow?\I told you, you need to come by at least once to pay your respects.\We also have to decide on the date of our engagement.\Wait, what are you trying to get at?\Didn't I make it clear that I had no clue that I had a fiancee? response:	Yes, I am well aware of that.
context: I don't know. Whatever are you talking about?\No, nothing at all!\And so, Raku-sama, will you be so kind as to meet my father tomorrow?\I told you, you need to come by at least once to pay your respects.\We also have to decide on the date of our engagement.\Wait, what are you trying to get at?\Didn't I make it clear that I had no clue that I had a fiancee?\Yes, I am well aware of that. response:	However, that doesn't mean that our engagement has been annulled.
context: No, nothing at all!\And so, Raku-sama, will you be so kind as to meet my father tomorrow?\I told you, you need to come by at least once to pay your respects.\We also have to decide on the date of our engagement.\Wait, what are you trying to get at?\Didn't I make it clear that I had no clue that I had a fiancee?\Yes, I am well aware of that.\However, that doesn't mean that our engagement has been annulled. response:	And besides, we just might see the good in each other for the first time once we've become husband and wife!
context: And so, Raku-sama, will you be so kind as to meet my father tomorrow?\I told you, you need to come by at least once to pay your respects.\We also have to decide on the date of our engagement.\Wait, what are you trying to get at?\Didn't I make it clear that I had no clue that I had a fiancee?\Yes, I am well aware of that.\However, that doesn't mean that our engagement has been annulled.\And besides, we just might see the good in each other for the first time once we've become husband and wife! response:	I'm not even old enough to get married yet.
context: I told you, you need to come by at least once to pay your respects.\We also have to decide on the date of our engagement.\Wait, what are you trying to get at?\Didn't I make it clear that I had no clue that I had a fiancee?\Yes, I am well aware of that.\However, that doesn't mean that our engagement has been annulled.\And besides, we just might see the good in each other for the first time once we've become husband and wife!\I'm not even old enough to get married yet. response:	Listen, Tachibana-san, do you not think that you're being rather shameless?
context: We also have to decide on the date of our engagement.\Wait, what are you trying to get at?\Didn't I make it clear that I had no clue that I had a fiancee?\Yes, I am well aware of that.\However, that doesn't mean that our engagement has been annulled.\And besides, we just might see the good in each other for the first time once we've become husband and wife!\I'm not even old enough to get married yet.\Listen, Tachibana-san, do you not think that you're being rather shameless? response:	In front of his girlfriend, even!
context: Wait, what are you trying to get at?\Didn't I make it clear that I had no clue that I had a fiancee?\Yes, I am well aware of that.\However, that doesn't mean that our engagement has been annulled.\And besides, we just might see the good in each other for the first time once we've become husband and wife!\I'm not even old enough to get married yet.\Listen, Tachibana-san, do you not think that you're being rather shameless?\In front of his girlfriend, even! response:	Oh, my, forgive me for being so remiss, Kirisaki-san.
