context: It truly is a lovely world. response:	No matter how many times I see it, it takes my breath away.
context: - It's no wonder you flunked! - Bite me!\In 1999, the Vers Empire finally declared war against the UE.\As a result of the fierce back and forth fighting on the Moon's surface,\the Hyper Gate went out of control and destroyed the Moon itself.\The astronomical body that had been Earth's satellite for 4.5 billion years\I'm sorry I'm late!\was pulverized into countless boulders and now continues on in its orbit as the Satellite Belt.\Hey there, Warrant Officer Sleepyhead. response:	As a result of this event, Earth suffered catastrophic damage.
context: In 1999, the Vers Empire finally declared war against the UE.\As a result of the fierce back and forth fighting on the Moon's surface,\the Hyper Gate went out of control and destroyed the Moon itself.\The astronomical body that had been Earth's satellite for 4.5 billion years\I'm sorry I'm late!\was pulverized into countless boulders and now continues on in its orbit as the Satellite Belt.\Hey there, Warrant Officer Sleepyhead.\As a result of this event, Earth suffered catastrophic damage. response:	Lt. Marito!
context: As a result of the fierce back and forth fighting on the Moon's surface,\the Hyper Gate went out of control and destroyed the Moon itself.\The astronomical body that had been Earth's satellite for 4.5 billion years\I'm sorry I'm late!\was pulverized into countless boulders and now continues on in its orbit as the Satellite Belt.\Hey there, Warrant Officer Sleepyhead.\As a result of this event, Earth suffered catastrophic damage.\Lt. Marito! response:	Meteor impacts, gravity wave-induced crustal deformation,
context: the Hyper Gate went out of control and destroyed the Moon itself.\The astronomical body that had been Earth's satellite for 4.5 billion years\I'm sorry I'm late!\was pulverized into countless boulders and now continues on in its orbit as the Satellite Belt.\Hey there, Warrant Officer Sleepyhead.\As a result of this event, Earth suffered catastrophic damage.\Lt. Marito!\Meteor impacts, gravity wave-induced crustal deformation, response:	Pee-yew!
context: The astronomical body that had been Earth's satellite for 4.5 billion years\I'm sorry I'm late!\was pulverized into countless boulders and now continues on in its orbit as the Satellite Belt.\Hey there, Warrant Officer Sleepyhead.\As a result of this event, Earth suffered catastrophic damage.\Lt. Marito!\Meteor impacts, gravity wave-induced crustal deformation,\Pee-yew! response:	earthquakes, tsunami, abnormal weather...
context: I'm sorry I'm late!\was pulverized into countless boulders and now continues on in its orbit as the Satellite Belt.\Hey there, Warrant Officer Sleepyhead.\As a result of this event, Earth suffered catastrophic damage.\Lt. Marito!\Meteor impacts, gravity wave-induced crustal deformation,\Pee-yew!\earthquakes, tsunami, abnormal weather... response:	I thought I asked you to refrain from drinking on military drill days, Lieutenant!
context: was pulverized into countless boulders and now continues on in its orbit as the Satellite Belt.\Hey there, Warrant Officer Sleepyhead.\As a result of this event, Earth suffered catastrophic damage.\Lt. Marito!\Meteor impacts, gravity wave-induced crustal deformation,\Pee-yew!\earthquakes, tsunami, abnormal weather...\I thought I asked you to refrain from drinking on military drill days, Lieutenant! response:	Scars left by the catastrophe that followed on in the wake of the Moon's breakup, Heavens Fall,
context: Hey there, Warrant Officer Sleepyhead.\As a result of this event, Earth suffered catastrophic damage.\Lt. Marito!\Meteor impacts, gravity wave-induced crustal deformation,\Pee-yew!\earthquakes, tsunami, abnormal weather...\I thought I asked you to refrain from drinking on military drill days, Lieutenant!\Scars left by the catastrophe that followed on in the wake of the Moon's breakup, Heavens Fall, response:	This is just a game.
context: As a result of this event, Earth suffered catastrophic damage.\Lt. Marito!\Meteor impacts, gravity wave-induced crustal deformation,\Pee-yew!\earthquakes, tsunami, abnormal weather...\I thought I asked you to refrain from drinking on military drill days, Lieutenant!\Scars left by the catastrophe that followed on in the wake of the Moon's breakup, Heavens Fall,\This is just a game. response:	are still fresh all around the world.
context: Lt. Marito!\Meteor impacts, gravity wave-induced crustal deformation,\Pee-yew!\earthquakes, tsunami, abnormal weather...\I thought I asked you to refrain from drinking on military drill days, Lieutenant!\Scars left by the catastrophe that followed on in the wake of the Moon's breakup, Heavens Fall,\This is just a game.\are still fresh all around the world. response:	Don't get too into it.
context: Meteor impacts, gravity wave-induced crustal deformation,\Pee-yew!\earthquakes, tsunami, abnormal weather...\I thought I asked you to refrain from drinking on military drill days, Lieutenant!\Scars left by the catastrophe that followed on in the wake of the Moon's breakup, Heavens Fall,\This is just a game.\are still fresh all around the world.\Don't get too into it. response:	Soldiers of the Vers Imperial Army whose path home to Mars was cut off
context: Pee-yew!\earthquakes, tsunami, abnormal weather...\I thought I asked you to refrain from drinking on military drill days, Lieutenant!\Scars left by the catastrophe that followed on in the wake of the Moon's breakup, Heavens Fall,\This is just a game.\are still fresh all around the world.\Don't get too into it.\Soldiers of the Vers Imperial Army whose path home to Mars was cut off response:	We're doing live-fire exercises today.
context: earthquakes, tsunami, abnormal weather...\I thought I asked you to refrain from drinking on military drill days, Lieutenant!\Scars left by the catastrophe that followed on in the wake of the Moon's breakup, Heavens Fall,\This is just a game.\are still fresh all around the world.\Don't get too into it.\Soldiers of the Vers Imperial Army whose path home to Mars was cut off\We're doing live-fire exercises today. response:	by the destruction of the Hyper Gate took up residence in the Satellite Belt,
context: I thought I asked you to refrain from drinking on military drill days, Lieutenant!\Scars left by the catastrophe that followed on in the wake of the Moon's breakup, Heavens Fall,\This is just a game.\are still fresh all around the world.\Don't get too into it.\Soldiers of the Vers Imperial Army whose path home to Mars was cut off\We're doing live-fire exercises today.\by the destruction of the Hyper Gate took up residence in the Satellite Belt, response:	and even with travel between Earth and Mars now possible without the Hyper Gate...
context: Scars left by the catastrophe that followed on in the wake of the Moon's breakup, Heavens Fall,\This is just a game.\are still fresh all around the world.\Don't get too into it.\Soldiers of the Vers Imperial Army whose path home to Mars was cut off\We're doing live-fire exercises today.\by the destruction of the Hyper Gate took up residence in the Satellite Belt,\and even with travel between Earth and Mars now possible without the Hyper Gate... response:	M-Master Arm switch... Fire control...
context: This is just a game.\are still fresh all around the world.\Don't get too into it.\Soldiers of the Vers Imperial Army whose path home to Mars was cut off\We're doing live-fire exercises today.\by the destruction of the Hyper Gate took up residence in the Satellite Belt,\and even with travel between Earth and Mars now possible without the Hyper Gate...\M-Master Arm switch... Fire control... response:	Lower the dampers, then lock on...
context: are still fresh all around the world.\Don't get too into it.\Soldiers of the Vers Imperial Army whose path home to Mars was cut off\We're doing live-fire exercises today.\by the destruction of the Hyper Gate took up residence in the Satellite Belt,\and even with travel between Earth and Mars now possible without the Hyper Gate...\M-Master Arm switch... Fire control...\Lower the dampers, then lock on... response:	Targeting correction...
context: Don't get too into it.\Soldiers of the Vers Imperial Army whose path home to Mars was cut off\We're doing live-fire exercises today.\by the destruction of the Hyper Gate took up residence in the Satellite Belt,\and even with travel between Earth and Mars now possible without the Hyper Gate...\M-Master Arm switch... Fire control...\Lower the dampers, then lock on...\Targeting correction... response:	F-Fire!
context: Soldiers of the Vers Imperial Army whose path home to Mars was cut off\We're doing live-fire exercises today.\by the destruction of the Hyper Gate took up residence in the Satellite Belt,\and even with travel between Earth and Mars now possible without the Hyper Gate...\M-Master Arm switch... Fire control...\Lower the dampers, then lock on...\Targeting correction...\F-Fire! response:	Okay, switch pilots.
context: We're doing live-fire exercises today.\by the destruction of the Hyper Gate took up residence in the Satellite Belt,\and even with travel between Earth and Mars now possible without the Hyper Gate...\M-Master Arm switch... Fire control...\Lower the dampers, then lock on...\Targeting correction...\F-Fire!\Okay, switch pilots. response:	Squad B, take cover in the bleachers.
context: by the destruction of the Hyper Gate took up residence in the Satellite Belt,\and even with travel between Earth and Mars now possible without the Hyper Gate...\M-Master Arm switch... Fire control...\Lower the dampers, then lock on...\Targeting correction...\F-Fire!\Okay, switch pilots.\Squad B, take cover in the bleachers. response:	Go act as spotter, Warrant Officer Kaizuka.
context: and even with travel between Earth and Mars now possible without the Hyper Gate...\M-Master Arm switch... Fire control...\Lower the dampers, then lock on...\Targeting correction...\F-Fire!\Okay, switch pilots.\Squad B, take cover in the bleachers.\Go act as spotter, Warrant Officer Kaizuka. response:	Please go easy on the booze, sir.
context: M-Master Arm switch... Fire control...\Lower the dampers, then lock on...\Targeting correction...\F-Fire!\Okay, switch pilots.\Squad B, take cover in the bleachers.\Go act as spotter, Warrant Officer Kaizuka.\Please go easy on the booze, sir. response:	When a teacher smells of alcohol, students lose respect for him.
context: Lower the dampers, then lock on...\Targeting correction...\F-Fire!\Okay, switch pilots.\Squad B, take cover in the bleachers.\Go act as spotter, Warrant Officer Kaizuka.\Please go easy on the booze, sir.\When a teacher smells of alcohol, students lose respect for him. response:	Don't you worry about me. I'm used to being looked down on.
context: Targeting correction...\F-Fire!\Okay, switch pilots.\Squad B, take cover in the bleachers.\Go act as spotter, Warrant Officer Kaizuka.\Please go easy on the booze, sir.\When a teacher smells of alcohol, students lose respect for him.\Don't you worry about me. I'm used to being looked down on. response:	No, sir.
context: F-Fire!\Okay, switch pilots.\Squad B, take cover in the bleachers.\Go act as spotter, Warrant Officer Kaizuka.\Please go easy on the booze, sir.\When a teacher smells of alcohol, students lose respect for him.\Don't you worry about me. I'm used to being looked down on.\No, sir. response:	You're actually a fine soldier, Lt. Marito.
context: Okay, switch pilots.\Squad B, take cover in the bleachers.\Go act as spotter, Warrant Officer Kaizuka.\Please go easy on the booze, sir.\When a teacher smells of alcohol, students lose respect for him.\Don't you worry about me. I'm used to being looked down on.\No, sir.\You're actually a fine soldier, Lt. Marito. response:	I warned you to cut back on the alcohol, didn't I, Lieutenant?
context: Squad B, take cover in the bleachers.\Go act as spotter, Warrant Officer Kaizuka.\Please go easy on the booze, sir.\When a teacher smells of alcohol, students lose respect for him.\Don't you worry about me. I'm used to being looked down on.\No, sir.\You're actually a fine soldier, Lt. Marito.\I warned you to cut back on the alcohol, didn't I, Lieutenant? response:	Good to see you, Dr. Yagarai.
context: Go act as spotter, Warrant Officer Kaizuka.\Please go easy on the booze, sir.\When a teacher smells of alcohol, students lose respect for him.\Don't you worry about me. I'm used to being looked down on.\No, sir.\You're actually a fine soldier, Lt. Marito.\I warned you to cut back on the alcohol, didn't I, Lieutenant?\Good to see you, Dr. Yagarai. response:	Don't see you here often.
context: Please go easy on the booze, sir.\When a teacher smells of alcohol, students lose respect for him.\Don't you worry about me. I'm used to being looked down on.\No, sir.\You're actually a fine soldier, Lt. Marito.\I warned you to cut back on the alcohol, didn't I, Lieutenant?\Good to see you, Dr. Yagarai.\Don't see you here often. response:	Making a house call all the way out here, huh?
context: When a teacher smells of alcohol, students lose respect for him.\Don't you worry about me. I'm used to being looked down on.\No, sir.\You're actually a fine soldier, Lt. Marito.\I warned you to cut back on the alcohol, didn't I, Lieutenant?\Good to see you, Dr. Yagarai.\Don't see you here often.\Making a house call all the way out here, huh? response:	A patient of mine is being uncooperative.
context: Don't you worry about me. I'm used to being looked down on.\No, sir.\You're actually a fine soldier, Lt. Marito.\I warned you to cut back on the alcohol, didn't I, Lieutenant?\Good to see you, Dr. Yagarai.\Don't see you here often.\Making a house call all the way out here, huh?\A patient of mine is being uncooperative. response:	I can't do my job without drinking.
context: No, sir.\You're actually a fine soldier, Lt. Marito.\I warned you to cut back on the alcohol, didn't I, Lieutenant?\Good to see you, Dr. Yagarai.\Don't see you here often.\Making a house call all the way out here, huh?\A patient of mine is being uncooperative.\I can't do my job without drinking. response:	It was drill day for them again today.
context: You're actually a fine soldier, Lt. Marito.\I warned you to cut back on the alcohol, didn't I, Lieutenant?\Good to see you, Dr. Yagarai.\Don't see you here often.\Making a house call all the way out here, huh?\A patient of mine is being uncooperative.\I can't do my job without drinking.\It was drill day for them again today. response:	The work you're doing is important.
context: I warned you to cut back on the alcohol, didn't I, Lieutenant?\Good to see you, Dr. Yagarai.\Don't see you here often.\Making a house call all the way out here, huh?\A patient of mine is being uncooperative.\I can't do my job without drinking.\It was drill day for them again today.\The work you're doing is important. response:	The KG-6 Sleipnir.
context: Good to see you, Dr. Yagarai.\Don't see you here often.\Making a house call all the way out here, huh?\A patient of mine is being uncooperative.\I can't do my job without drinking.\It was drill day for them again today.\The work you're doing is important.\The KG-6 Sleipnir. response:	The Kataphrakt developed by the UE to prepare for the coming Martian threat.
context: Don't see you here often.\Making a house call all the way out here, huh?\A patient of mine is being uncooperative.\I can't do my job without drinking.\It was drill day for them again today.\The work you're doing is important.\The KG-6 Sleipnir.\The Kataphrakt developed by the UE to prepare for the coming Martian threat. response:	A manned humanoid weapon.
context: Making a house call all the way out here, huh?\A patient of mine is being uncooperative.\I can't do my job without drinking.\It was drill day for them again today.\The work you're doing is important.\The KG-6 Sleipnir.\The Kataphrakt developed by the UE to prepare for the coming Martian threat.\A manned humanoid weapon. response:	Military training is now part of their required curriculum.
context: A patient of mine is being uncooperative.\I can't do my job without drinking.\It was drill day for them again today.\The work you're doing is important.\The KG-6 Sleipnir.\The Kataphrakt developed by the UE to prepare for the coming Martian threat.\A manned humanoid weapon.\Military training is now part of their required curriculum. response:	They fire off that 75mm cannon like it's some game,
context: I can't do my job without drinking.\It was drill day for them again today.\The work you're doing is important.\The KG-6 Sleipnir.\The Kataphrakt developed by the UE to prepare for the coming Martian threat.\A manned humanoid weapon.\Military training is now part of their required curriculum.\They fire off that 75mm cannon like it's some game, response:	and you guys tell'em they can defend the ol' homeland.
context: It was drill day for them again today.\The work you're doing is important.\The KG-6 Sleipnir.\The Kataphrakt developed by the UE to prepare for the coming Martian threat.\A manned humanoid weapon.\Military training is now part of their required curriculum.\They fire off that 75mm cannon like it's some game,\and you guys tell'em they can defend the ol' homeland. response:	Pumping those kids' heads full of this stupid crap, you call this a job?
context: The work you're doing is important.\The KG-6 Sleipnir.\The Kataphrakt developed by the UE to prepare for the coming Martian threat.\A manned humanoid weapon.\Military training is now part of their required curriculum.\They fire off that 75mm cannon like it's some game,\and you guys tell'em they can defend the ol' homeland.\Pumping those kids' heads full of this stupid crap, you call this a job? response:	Get real.
context: The KG-6 Sleipnir.\The Kataphrakt developed by the UE to prepare for the coming Martian threat.\A manned humanoid weapon.\Military training is now part of their required curriculum.\They fire off that 75mm cannon like it's some game,\and you guys tell'em they can defend the ol' homeland.\Pumping those kids' heads full of this stupid crap, you call this a job?\Get real. response:	Lieutenant...
context: The Kataphrakt developed by the UE to prepare for the coming Martian threat.\A manned humanoid weapon.\Military training is now part of their required curriculum.\They fire off that 75mm cannon like it's some game,\and you guys tell'em they can defend the ol' homeland.\Pumping those kids' heads full of this stupid crap, you call this a job?\Get real.\Lieutenant... response:	15 years ago,
context: A manned humanoid weapon.\Military training is now part of their required curriculum.\They fire off that 75mm cannon like it's some game,\and you guys tell'em they can defend the ol' homeland.\Pumping those kids' heads full of this stupid crap, you call this a job?\Get real.\Lieutenant...\15 years ago, response:	the top brass hushed up what happened in Tanegashima.
context: Military training is now part of their required curriculum.\They fire off that 75mm cannon like it's some game,\and you guys tell'em they can defend the ol' homeland.\Pumping those kids' heads full of this stupid crap, you call this a job?\Get real.\Lieutenant...\15 years ago,\the top brass hushed up what happened in Tanegashima. response:	Nobody believes me when I tell them now.
context: They fire off that 75mm cannon like it's some game,\and you guys tell'em they can defend the ol' homeland.\Pumping those kids' heads full of this stupid crap, you call this a job?\Get real.\Lieutenant...\15 years ago,\the top brass hushed up what happened in Tanegashima.\Nobody believes me when I tell them now. response:	But even if no one else remembers, I do.
context: and you guys tell'em they can defend the ol' homeland.\Pumping those kids' heads full of this stupid crap, you call this a job?\Get real.\Lieutenant...\15 years ago,\the top brass hushed up what happened in Tanegashima.\Nobody believes me when I tell them now.\But even if no one else remembers, I do. response:	Aldnoah...
context: Pumping those kids' heads full of this stupid crap, you call this a job?\Get real.\Lieutenant...\15 years ago,\the top brass hushed up what happened in Tanegashima.\Nobody believes me when I tell them now.\But even if no one else remembers, I do.\Aldnoah... response:	Out on Mars, they got their hands on the power of the gods.
context: Get real.\Lieutenant...\15 years ago,\the top brass hushed up what happened in Tanegashima.\Nobody believes me when I tell them now.\But even if no one else remembers, I do.\Aldnoah...\Out on Mars, they got their hands on the power of the gods. response:	Relics of a civilization 30,000 years gone.
context: Lieutenant...\15 years ago,\the top brass hushed up what happened in Tanegashima.\Nobody believes me when I tell them now.\But even if no one else remembers, I do.\Aldnoah...\Out on Mars, they got their hands on the power of the gods.\Relics of a civilization 30,000 years gone. response:	Unbelievable power that reduced the Moon to rubble.
context: 15 years ago,\the top brass hushed up what happened in Tanegashima.\Nobody believes me when I tell them now.\But even if no one else remembers, I do.\Aldnoah...\Out on Mars, they got their hands on the power of the gods.\Relics of a civilization 30,000 years gone.\Unbelievable power that reduced the Moon to rubble. response:	Who are you kidding, trying to stand against something like that?
context: the top brass hushed up what happened in Tanegashima.\Nobody believes me when I tell them now.\But even if no one else remembers, I do.\Aldnoah...\Out on Mars, they got their hands on the power of the gods.\Relics of a civilization 30,000 years gone.\Unbelievable power that reduced the Moon to rubble.\Who are you kidding, trying to stand against something like that? response:	Nobody's taking this seriously.
context: Nobody believes me when I tell them now.\But even if no one else remembers, I do.\Aldnoah...\Out on Mars, they got their hands on the power of the gods.\Relics of a civilization 30,000 years gone.\Unbelievable power that reduced the Moon to rubble.\Who are you kidding, trying to stand against something like that?\Nobody's taking this seriously. response:	They believe that this transitory peace will last forever.
context: But even if no one else remembers, I do.\Aldnoah...\Out on Mars, they got their hands on the power of the gods.\Relics of a civilization 30,000 years gone.\Unbelievable power that reduced the Moon to rubble.\Who are you kidding, trying to stand against something like that?\Nobody's taking this seriously.\They believe that this transitory peace will last forever. response:	Tell me, Doc.
context: Aldnoah...\Out on Mars, they got their hands on the power of the gods.\Relics of a civilization 30,000 years gone.\Unbelievable power that reduced the Moon to rubble.\Who are you kidding, trying to stand against something like that?\Nobody's taking this seriously.\They believe that this transitory peace will last forever.\Tell me, Doc. response:	What's gonna happen to those kids whose heads have been pumped full of lies by us adults?
context: Out on Mars, they got their hands on the power of the gods.\Relics of a civilization 30,000 years gone.\Unbelievable power that reduced the Moon to rubble.\Who are you kidding, trying to stand against something like that?\Nobody's taking this seriously.\They believe that this transitory peace will last forever.\Tell me, Doc.\What's gonna happen to those kids whose heads have been pumped full of lies by us adults? response:	When the day comes for them to face off against those guys
context: Relics of a civilization 30,000 years gone.\Unbelievable power that reduced the Moon to rubble.\Who are you kidding, trying to stand against something like that?\Nobody's taking this seriously.\They believe that this transitory peace will last forever.\Tell me, Doc.\What's gonna happen to those kids whose heads have been pumped full of lies by us adults?\When the day comes for them to face off against those guys response:	that have been biding their time in the wreckage of the Moon,
context: Unbelievable power that reduced the Moon to rubble.\Who are you kidding, trying to stand against something like that?\Nobody's taking this seriously.\They believe that this transitory peace will last forever.\Tell me, Doc.\What's gonna happen to those kids whose heads have been pumped full of lies by us adults?\When the day comes for them to face off against those guys\that have been biding their time in the wreckage of the Moon, response:	how do you suggest we make up for all the lies we've told them?
context: Who are you kidding, trying to stand against something like that?\Nobody's taking this seriously.\They believe that this transitory peace will last forever.\Tell me, Doc.\What's gonna happen to those kids whose heads have been pumped full of lies by us adults?\When the day comes for them to face off against those guys\that have been biding their time in the wreckage of the Moon,\how do you suggest we make up for all the lies we've told them? response:	Slaine.
context: Nobody's taking this seriously.\They believe that this transitory peace will last forever.\Tell me, Doc.\What's gonna happen to those kids whose heads have been pumped full of lies by us adults?\When the day comes for them to face off against those guys\that have been biding their time in the wreckage of the Moon,\how do you suggest we make up for all the lies we've told them?\Slaine. response:	Princess Asseylum.
context: They believe that this transitory peace will last forever.\Tell me, Doc.\What's gonna happen to those kids whose heads have been pumped full of lies by us adults?\When the day comes for them to face off against those guys\that have been biding their time in the wreckage of the Moon,\how do you suggest we make up for all the lies we've told them?\Slaine.\Princess Asseylum. response:	Look up, Slaine.
context: Tell me, Doc.\What's gonna happen to those kids whose heads have been pumped full of lies by us adults?\When the day comes for them to face off against those guys\that have been biding their time in the wreckage of the Moon,\how do you suggest we make up for all the lies we've told them?\Slaine.\Princess Asseylum.\Look up, Slaine. response:	Yes.
context: What's gonna happen to those kids whose heads have been pumped full of lies by us adults?\When the day comes for them to face off against those guys\that have been biding their time in the wreckage of the Moon,\how do you suggest we make up for all the lies we've told them?\Slaine.\Princess Asseylum.\Look up, Slaine.\Yes. response:	The day has come for us to say farewell.
context: When the day comes for them to face off against those guys\that have been biding their time in the wreckage of the Moon,\how do you suggest we make up for all the lies we've told them?\Slaine.\Princess Asseylum.\Look up, Slaine.\Yes.\The day has come for us to say farewell. response:	I will now go down to Earth and carry out my goodwill mission.
context: that have been biding their time in the wreckage of the Moon,\how do you suggest we make up for all the lies we've told them?\Slaine.\Princess Asseylum.\Look up, Slaine.\Yes.\The day has come for us to say farewell.\I will now go down to Earth and carry out my goodwill mission. response:	The many facts you have imparted to me are certain to prove useful.
context: how do you suggest we make up for all the lies we've told them?\Slaine.\Princess Asseylum.\Look up, Slaine.\Yes.\The day has come for us to say farewell.\I will now go down to Earth and carry out my goodwill mission.\The many facts you have imparted to me are certain to prove useful. response:	Um... Will it not be dangerous?
context: Slaine.\Princess Asseylum.\Look up, Slaine.\Yes.\The day has come for us to say farewell.\I will now go down to Earth and carry out my goodwill mission.\The many facts you have imparted to me are certain to prove useful.\Um... Will it not be dangerous? response:	We cannot go on in fear.
context: Princess Asseylum.\Look up, Slaine.\Yes.\The day has come for us to say farewell.\I will now go down to Earth and carry out my goodwill mission.\The many facts you have imparted to me are certain to prove useful.\Um... Will it not be dangerous?\We cannot go on in fear. response:	Right now, someone must take that first step towards Earth and Mars reaching a compromise.
context: Look up, Slaine.\Yes.\The day has come for us to say farewell.\I will now go down to Earth and carry out my goodwill mission.\The many facts you have imparted to me are certain to prove useful.\Um... Will it not be dangerous?\We cannot go on in fear.\Right now, someone must take that first step towards Earth and Mars reaching a compromise. response:	Princess...
context: Yes.\The day has come for us to say farewell.\I will now go down to Earth and carry out my goodwill mission.\The many facts you have imparted to me are certain to prove useful.\Um... Will it not be dangerous?\We cannot go on in fear.\Right now, someone must take that first step towards Earth and Mars reaching a compromise.\Princess... response:	Take this.
context: The day has come for us to say farewell.\I will now go down to Earth and carry out my goodwill mission.\The many facts you have imparted to me are certain to prove useful.\Um... Will it not be dangerous?\We cannot go on in fear.\Right now, someone must take that first step towards Earth and Mars reaching a compromise.\Princess...\Take this. response:	I'm told that it's an old Earth charm that wards off evil spirits.
context: I will now go down to Earth and carry out my goodwill mission.\The many facts you have imparted to me are certain to prove useful.\Um... Will it not be dangerous?\We cannot go on in fear.\Right now, someone must take that first step towards Earth and Mars reaching a compromise.\Princess...\Take this.\I'm told that it's an old Earth charm that wards off evil spirits. response:	But you said that this is all you have of your father...
context: The many facts you have imparted to me are certain to prove useful.\Um... Will it not be dangerous?\We cannot go on in fear.\Right now, someone must take that first step towards Earth and Mars reaching a compromise.\Princess...\Take this.\I'm told that it's an old Earth charm that wards off evil spirits.\But you said that this is all you have of your father... response:	It's fine. I'm sure that Father would want you to have it.
context: Um... Will it not be dangerous?\We cannot go on in fear.\Right now, someone must take that first step towards Earth and Mars reaching a compromise.\Princess...\Take this.\I'm told that it's an old Earth charm that wards off evil spirits.\But you said that this is all you have of your father...\It's fine. I'm sure that Father would want you to have it. response:	It's to thank you for saving me and my father when we were at death's door five years ago.
context: We cannot go on in fear.\Right now, someone must take that first step towards Earth and Mars reaching a compromise.\Princess...\Take this.\I'm told that it's an old Earth charm that wards off evil spirits.\But you said that this is all you have of your father...\It's fine. I'm sure that Father would want you to have it.\It's to thank you for saving me and my father when we were at death's door five years ago. response:	I shall deliver your and your father's prayer of peace to that blue world.
context: Right now, someone must take that first step towards Earth and Mars reaching a compromise.\Princess...\Take this.\I'm told that it's an old Earth charm that wards off evil spirits.\But you said that this is all you have of your father...\It's fine. I'm sure that Father would want you to have it.\It's to thank you for saving me and my father when we were at death's door five years ago.\I shall deliver your and your father's prayer of peace to that blue world. response:	Thank you, Slaine.
context: Princess...\Take this.\I'm told that it's an old Earth charm that wards off evil spirits.\But you said that this is all you have of your father...\It's fine. I'm sure that Father would want you to have it.\It's to thank you for saving me and my father when we were at death's door five years ago.\I shall deliver your and your father's prayer of peace to that blue world.\Thank you, Slaine. response:	Princess Asseylum. Your shuttle has arrived.
context: Take this.\I'm told that it's an old Earth charm that wards off evil spirits.\But you said that this is all you have of your father...\It's fine. I'm sure that Father would want you to have it.\It's to thank you for saving me and my father when we were at death's door five years ago.\I shall deliver your and your father's prayer of peace to that blue world.\Thank you, Slaine.\Princess Asseylum. Your shuttle has arrived. response:	Very well. Goodbye, then.
context: I'm told that it's an old Earth charm that wards off evil spirits.\But you said that this is all you have of your father...\It's fine. I'm sure that Father would want you to have it.\It's to thank you for saving me and my father when we were at death's door five years ago.\I shall deliver your and your father's prayer of peace to that blue world.\Thank you, Slaine.\Princess Asseylum. Your shuttle has arrived.\Very well. Goodbye, then. response:	Yes.
context: But you said that this is all you have of your father...\It's fine. I'm sure that Father would want you to have it.\It's to thank you for saving me and my father when we were at death's door five years ago.\I shall deliver your and your father's prayer of peace to that blue world.\Thank you, Slaine.\Princess Asseylum. Your shuttle has arrived.\Very well. Goodbye, then.\Yes. response:	Know your place, scum.
context: It's fine. I'm sure that Father would want you to have it.\It's to thank you for saving me and my father when we were at death's door five years ago.\I shall deliver your and your father's prayer of peace to that blue world.\Thank you, Slaine.\Princess Asseylum. Your shuttle has arrived.\Very well. Goodbye, then.\Yes.\Know your place, scum. response:	While I appreciate all you have done to dissuade Her Highness from her folly,
context: It's to thank you for saving me and my father when we were at death's door five years ago.\I shall deliver your and your father's prayer of peace to that blue world.\Thank you, Slaine.\Princess Asseylum. Your shuttle has arrived.\Very well. Goodbye, then.\Yes.\Know your place, scum.\While I appreciate all you have done to dissuade Her Highness from her folly, response:	when a dog soils the carpet, its master is responsible.
context: I shall deliver your and your father's prayer of peace to that blue world.\Thank you, Slaine.\Princess Asseylum. Your shuttle has arrived.\Very well. Goodbye, then.\Yes.\Know your place, scum.\While I appreciate all you have done to dissuade Her Highness from her folly,\when a dog soils the carpet, its master is responsible. response:	That is your only warning, Terran.
context: Thank you, Slaine.\Princess Asseylum. Your shuttle has arrived.\Very well. Goodbye, then.\Yes.\Know your place, scum.\While I appreciate all you have done to dissuade Her Highness from her folly,\when a dog soils the carpet, its master is responsible.\That is your only warning, Terran. response:	Yes, Milord...
context: Princess Asseylum. Your shuttle has arrived.\Very well. Goodbye, then.\Yes.\Know your place, scum.\While I appreciate all you have done to dissuade Her Highness from her folly,\when a dog soils the carpet, its master is responsible.\That is your only warning, Terran.\Yes, Milord... response:	You do not think much of Slaine, either, do you, Eddelrittuo?
context: Very well. Goodbye, then.\Yes.\Know your place, scum.\While I appreciate all you have done to dissuade Her Highness from her folly,\when a dog soils the carpet, its master is responsible.\That is your only warning, Terran.\Yes, Milord...\You do not think much of Slaine, either, do you, Eddelrittuo? response:	Well, um...
context: Yes.\Know your place, scum.\While I appreciate all you have done to dissuade Her Highness from her folly,\when a dog soils the carpet, its master is responsible.\That is your only warning, Terran.\Yes, Milord...\You do not think much of Slaine, either, do you, Eddelrittuo?\Well, um... response:	If we go back far enough, we ourselves are descendants of emigrants who struck out from that blue world.
context: Know your place, scum.\While I appreciate all you have done to dissuade Her Highness from her folly,\when a dog soils the carpet, its master is responsible.\That is your only warning, Terran.\Yes, Milord...\You do not think much of Slaine, either, do you, Eddelrittuo?\Well, um...\If we go back far enough, we ourselves are descendants of emigrants who struck out from that blue world. response:	Why do we hate them so?
context: While I appreciate all you have done to dissuade Her Highness from her folly,\when a dog soils the carpet, its master is responsible.\That is your only warning, Terran.\Yes, Milord...\You do not think much of Slaine, either, do you, Eddelrittuo?\Well, um...\If we go back far enough, we ourselves are descendants of emigrants who struck out from that blue world.\Why do we hate them so? response:	Begging your pardon, Milady...
context: when a dog soils the carpet, its master is responsible.\That is your only warning, Terran.\Yes, Milord...\You do not think much of Slaine, either, do you, Eddelrittuo?\Well, um...\If we go back far enough, we ourselves are descendants of emigrants who struck out from that blue world.\Why do we hate them so?\Begging your pardon, Milady... response:	we subjects of the empire became a new race distinct from the old humanity we left on Earth
