context: Okay, Vegeta- chan, now it's our turn. response:	You two little pipsqueaks there, give Vegeta- chan a hand.
context: For crying out loud, your softness makes me want to vomit!\The ground's surface has been blown away, and the planet's shape has changed...\What a terrifying beast!\That sneak attack just now was a pretty good one.\Coming down from directly above shut my mouth.\As a result, my teeth are messed up. I think I might be a little bit mad.\Hey, Butta, Jheese!\Let me take out these two little squirts, too! response:	Do you mind? Okay? Do you mind?
context: The ground's surface has been blown away, and the planet's shape has changed...\What a terrifying beast!\That sneak attack just now was a pretty good one.\Coming down from directly above shut my mouth.\As a result, my teeth are messed up. I think I might be a little bit mad.\Hey, Butta, Jheese!\Let me take out these two little squirts, too!\Do you mind? Okay? Do you mind? response:	What choice do we have?
context: What a terrifying beast!\That sneak attack just now was a pretty good one.\Coming down from directly above shut my mouth.\As a result, my teeth are messed up. I think I might be a little bit mad.\Hey, Butta, Jheese!\Let me take out these two little squirts, too!\Do you mind? Okay? Do you mind?\What choice do we have? response:	Okay, fine! Do as you please.
context: That sneak attack just now was a pretty good one.\Coming down from directly above shut my mouth.\As a result, my teeth are messed up. I think I might be a little bit mad.\Hey, Butta, Jheese!\Let me take out these two little squirts, too!\Do you mind? Okay? Do you mind?\What choice do we have?\Okay, fine! Do as you please. response:	In exchange, you're going to treat us to chocolate parfaits later!
context: Coming down from directly above shut my mouth.\As a result, my teeth are messed up. I think I might be a little bit mad.\Hey, Butta, Jheese!\Let me take out these two little squirts, too!\Do you mind? Okay? Do you mind?\What choice do we have?\Okay, fine! Do as you please.\In exchange, you're going to treat us to chocolate parfaits later! response:	Okay! You heard him, maggot- kun.
context: As a result, my teeth are messed up. I think I might be a little bit mad.\Hey, Butta, Jheese!\Let me take out these two little squirts, too!\Do you mind? Okay? Do you mind?\What choice do we have?\Okay, fine! Do as you please.\In exchange, you're going to treat us to chocolate parfaits later!\Okay! You heard him, maggot- kun. response:	Big Fire Toe Attack!!
context: Hey, Butta, Jheese!\Let me take out these two little squirts, too!\Do you mind? Okay? Do you mind?\What choice do we have?\Okay, fine! Do as you please.\In exchange, you're going to treat us to chocolate parfaits later!\Okay! You heard him, maggot- kun.\Big Fire Toe Attack!! response:	Kuririn- san!
context: Let me take out these two little squirts, too!\Do you mind? Okay? Do you mind?\What choice do we have?\Okay, fine! Do as you please.\In exchange, you're going to treat us to chocolate parfaits later!\Okay! You heard him, maggot- kun.\Big Fire Toe Attack!!\Kuririn- san! response:	Kuririn- san! Kuririn- san!
context: Do you mind? Okay? Do you mind?\What choice do we have?\Okay, fine! Do as you please.\In exchange, you're going to treat us to chocolate parfaits later!\Okay! You heard him, maggot- kun.\Big Fire Toe Attack!!\Kuririn- san!\Kuririn- san! Kuririn- san! response:	M- my bones... How can this be?
context: What choice do we have?\Okay, fine! Do as you please.\In exchange, you're going to treat us to chocolate parfaits later!\Okay! You heard him, maggot- kun.\Big Fire Toe Attack!!\Kuririn- san!\Kuririn- san! Kuririn- san!\M- my bones... How can this be? response:	With just one hit... this is what happens to me...
context: Okay, fine! Do as you please.\In exchange, you're going to treat us to chocolate parfaits later!\Okay! You heard him, maggot- kun.\Big Fire Toe Attack!!\Kuririn- san!\Kuririn- san! Kuririn- san!\M- my bones... How can this be?\With just one hit... this is what happens to me... response:	He's too much...
context: In exchange, you're going to treat us to chocolate parfaits later!\Okay! You heard him, maggot- kun.\Big Fire Toe Attack!!\Kuririn- san!\Kuririn- san! Kuririn- san!\M- my bones... How can this be?\With just one hit... this is what happens to me...\He's too much... response:	I- is this allowed?
context: Okay! You heard him, maggot- kun.\Big Fire Toe Attack!!\Kuririn- san!\Kuririn- san! Kuririn- san!\M- my bones... How can this be?\With just one hit... this is what happens to me...\He's too much...\I- is this allowed? response:	And after having Grand Elder- san raise my power, too...
context: Big Fire Toe Attack!!\Kuririn- san!\Kuririn- san! Kuririn- san!\M- my bones... How can this be?\With just one hit... this is what happens to me...\He's too much...\I- is this allowed?\And after having Grand Elder- san raise my power, too... response:	I- I'm no use at all...
context: Kuririn- san!\Kuririn- san! Kuririn- san!\M- my bones... How can this be?\With just one hit... this is what happens to me...\He's too much...\I- is this allowed?\And after having Grand Elder- san raise my power, too...\I- I'm no use at all... response:	S- shake it off, Kuririn- san! Kuririn- san!
context: Kuririn- san! Kuririn- san!\M- my bones... How can this be?\With just one hit... this is what happens to me...\He's too much...\I- is this allowed?\And after having Grand Elder- san raise my power, too...\I- I'm no use at all...\S- shake it off, Kuririn- san! Kuririn- san! response:	F- frankly, we're finished...
context: M- my bones... How can this be?\With just one hit... this is what happens to me...\He's too much...\I- is this allowed?\And after having Grand Elder- san raise my power, too...\I- I'm no use at all...\S- shake it off, Kuririn- san! Kuririn- san!\F- frankly, we're finished... response:	We're powerless against them, and if we run, they'll catch us right away...
context: With just one hit... this is what happens to me...\He's too much...\I- is this allowed?\And after having Grand Elder- san raise my power, too...\I- I'm no use at all...\S- shake it off, Kuririn- san! Kuririn- san!\F- frankly, we're finished...\We're powerless against them, and if we run, they'll catch us right away... response:	And the Dragon Balls have been taken from us...
context: He's too much...\I- is this allowed?\And after having Grand Elder- san raise my power, too...\I- I'm no use at all...\S- shake it off, Kuririn- san! Kuririn- san!\F- frankly, we're finished...\We're powerless against them, and if we run, they'll catch us right away...\And the Dragon Balls have been taken from us... response:	There's nothing good about this...
context: I- is this allowed?\And after having Grand Elder- san raise my power, too...\I- I'm no use at all...\S- shake it off, Kuririn- san! Kuririn- san!\F- frankly, we're finished...\We're powerless against them, and if we run, they'll catch us right away...\And the Dragon Balls have been taken from us...\There's nothing good about this... response:	Tch! Aw, man... I couldn't help myself, and hit him too hard.
context: And after having Grand Elder- san raise my power, too...\I- I'm no use at all...\S- shake it off, Kuririn- san! Kuririn- san!\F- frankly, we're finished...\We're powerless against them, and if we run, they'll catch us right away...\And the Dragon Balls have been taken from us...\There's nothing good about this...\Tch! Aw, man... I couldn't help myself, and hit him too hard. response:	I was planning to play around with him a little more, but too bad.
context: I- I'm no use at all...\S- shake it off, Kuririn- san! Kuririn- san!\F- frankly, we're finished...\We're powerless against them, and if we run, they'll catch us right away...\And the Dragon Balls have been taken from us...\There's nothing good about this...\Tch! Aw, man... I couldn't help myself, and hit him too hard.\I was planning to play around with him a little more, but too bad. response:	Now then, for the next little pipsqueak's turn...
context: S- shake it off, Kuririn- san! Kuririn- san!\F- frankly, we're finished...\We're powerless against them, and if we run, they'll catch us right away...\And the Dragon Balls have been taken from us...\There's nothing good about this...\Tch! Aw, man... I couldn't help myself, and hit him too hard.\I was planning to play around with him a little more, but too bad.\Now then, for the next little pipsqueak's turn... response:	Darn it!
context: F- frankly, we're finished...\We're powerless against them, and if we run, they'll catch us right away...\And the Dragon Balls have been taken from us...\There's nothing good about this...\Tch! Aw, man... I couldn't help myself, and hit him too hard.\I was planning to play around with him a little more, but too bad.\Now then, for the next little pipsqueak's turn...\Darn it! response:	G- Gohan...
context: We're powerless against them, and if we run, they'll catch us right away...\And the Dragon Balls have been taken from us...\There's nothing good about this...\Tch! Aw, man... I couldn't help myself, and hit him too hard.\I was planning to play around with him a little more, but too bad.\Now then, for the next little pipsqueak's turn...\Darn it!\G- Gohan... response:	I- I'll do as much as I can! Just you watch me!
context: And the Dragon Balls have been taken from us...\There's nothing good about this...\Tch! Aw, man... I couldn't help myself, and hit him too hard.\I was planning to play around with him a little more, but too bad.\Now then, for the next little pipsqueak's turn...\Darn it!\G- Gohan...\I- I'll do as much as I can! Just you watch me! response:	This should be interesting.
context: There's nothing good about this...\Tch! Aw, man... I couldn't help myself, and hit him too hard.\I was planning to play around with him a little more, but too bad.\Now then, for the next little pipsqueak's turn...\Darn it!\G- Gohan...\I- I'll do as much as I can! Just you watch me!\This should be interesting. response:	Darn it...
context: Tch! Aw, man... I couldn't help myself, and hit him too hard.\I was planning to play around with him a little more, but too bad.\Now then, for the next little pipsqueak's turn...\Darn it!\G- Gohan...\I- I'll do as much as I can! Just you watch me!\This should be interesting.\Darn it... response:	ReaCoom is an incredible foe.
context: I was planning to play around with him a little more, but too bad.\Now then, for the next little pipsqueak's turn...\Darn it!\G- Gohan...\I- I'll do as much as I can! Just you watch me!\This should be interesting.\Darn it...\ReaCoom is an incredible foe. response:	Will Gohan be able to get through this greatest of pinches?
