context: Naraku had dispelled the barrier around his castle. response:	In otherwords, he had abandoned his castle
context: He had a burn scarthat was shaped like a spider.\Now he was a true villain... I couldn't compare with him.\It'll grant any wish?\Sure.\That's amazing! And it's called the Shikon Jewel?\In the village overyonder...\A priestess named Kikyo has possession of it.\Then we'll attack this village tomorrow. response:	No, Rasetsu... go alone.
context: Now he was a true villain... I couldn't compare with him.\It'll grant any wish?\Sure.\That's amazing! And it's called the Shikon Jewel?\In the village overyonder...\A priestess named Kikyo has possession of it.\Then we'll attack this village tomorrow.\No, Rasetsu... go alone. response:	Why?
context: It'll grant any wish?\Sure.\That's amazing! And it's called the Shikon Jewel?\In the village overyonder...\A priestess named Kikyo has possession of it.\Then we'll attack this village tomorrow.\No, Rasetsu... go alone.\Why? response:	Kikyo has sharp senses.
context: Sure.\That's amazing! And it's called the Shikon Jewel?\In the village overyonder...\A priestess named Kikyo has possession of it.\Then we'll attack this village tomorrow.\No, Rasetsu... go alone.\Why?\Kikyo has sharp senses. response:	If we go in numbers, she'll escape.
context: That's amazing! And it's called the Shikon Jewel?\In the village overyonder...\A priestess named Kikyo has possession of it.\Then we'll attack this village tomorrow.\No, Rasetsu... go alone.\Why?\Kikyo has sharp senses.\If we go in numbers, she'll escape. response:	Damn! Then what'll I do?
context: In the village overyonder...\A priestess named Kikyo has possession of it.\Then we'll attack this village tomorrow.\No, Rasetsu... go alone.\Why?\Kikyo has sharp senses.\If we go in numbers, she'll escape.\Damn! Then what'll I do? response:	With your bow and arrow,
context: A priestess named Kikyo has possession of it.\Then we'll attack this village tomorrow.\No, Rasetsu... go alone.\Why?\Kikyo has sharp senses.\If we go in numbers, she'll escape.\Damn! Then what'll I do?\With your bow and arrow, response:	you can get herfrom a distance with one shot.
context: Then we'll attack this village tomorrow.\No, Rasetsu... go alone.\Why?\Kikyo has sharp senses.\If we go in numbers, she'll escape.\Damn! Then what'll I do?\With your bow and arrow,\you can get herfrom a distance with one shot. response:	Isn't that so?
context: No, Rasetsu... go alone.\Why?\Kikyo has sharp senses.\If we go in numbers, she'll escape.\Damn! Then what'll I do?\With your bow and arrow,\you can get herfrom a distance with one shot.\Isn't that so? response:	Well...
context: Why?\Kikyo has sharp senses.\If we go in numbers, she'll escape.\Damn! Then what'll I do?\With your bow and arrow,\you can get herfrom a distance with one shot.\Isn't that so?\Well... response:	Won't you try it, Rasetsu?
context: Kikyo has sharp senses.\If we go in numbers, she'll escape.\Damn! Then what'll I do?\With your bow and arrow,\you can get herfrom a distance with one shot.\Isn't that so?\Well...\Won't you try it, Rasetsu? response:	Whatever I want, huh?
context: If we go in numbers, she'll escape.\Damn! Then what'll I do?\With your bow and arrow,\you can get herfrom a distance with one shot.\Isn't that so?\Well...\Won't you try it, Rasetsu?\Whatever I want, huh? response:	I'll be able to drink all the sake I want.
context: Damn! Then what'll I do?\With your bow and arrow,\you can get herfrom a distance with one shot.\Isn't that so?\Well...\Won't you try it, Rasetsu?\Whatever I want, huh?\I'll be able to drink all the sake I want. response:	And next, I'll conquer the world!
context: With your bow and arrow,\you can get herfrom a distance with one shot.\Isn't that so?\Well...\Won't you try it, Rasetsu?\Whatever I want, huh?\I'll be able to drink all the sake I want.\And next, I'll conquer the world! response:	I found you! Die!
context: you can get herfrom a distance with one shot.\Isn't that so?\Well...\Won't you try it, Rasetsu?\Whatever I want, huh?\I'll be able to drink all the sake I want.\And next, I'll conquer the world!\I found you! Die! response:	What?!
context: Isn't that so?\Well...\Won't you try it, Rasetsu?\Whatever I want, huh?\I'll be able to drink all the sake I want.\And next, I'll conquer the world!\I found you! Die!\What?! response:	Who are you?!
context: Well...\Won't you try it, Rasetsu?\Whatever I want, huh?\I'll be able to drink all the sake I want.\And next, I'll conquer the world!\I found you! Die!\What?!\Who are you?! response:	What?!
context: Won't you try it, Rasetsu?\Whatever I want, huh?\I'll be able to drink all the sake I want.\And next, I'll conquer the world!\I found you! Die!\What?!\Who are you?!\What?! response:	A human like you... trying to take Kikyo's life...
context: Whatever I want, huh?\I'll be able to drink all the sake I want.\And next, I'll conquer the world!\I found you! Die!\What?!\Who are you?!\What?!\A human like you... trying to take Kikyo's life... response:	You've got some nerve!
context: I'll be able to drink all the sake I want.\And next, I'll conquer the world!\I found you! Die!\What?!\Who are you?!\What?!\A human like you... trying to take Kikyo's life...\You've got some nerve! response:	Are you after the Sacred Jewel?
context: And next, I'll conquer the world!\I found you! Die!\What?!\Who are you?!\What?!\A human like you... trying to take Kikyo's life...\You've got some nerve!\Are you after the Sacred Jewel? response:	Shut up, demon!
context: I found you! Die!\What?!\Who are you?!\What?!\A human like you... trying to take Kikyo's life...\You've got some nerve!\Are you after the Sacred Jewel?\Shut up, demon! response:	Unfortunately, I'm no demon!
context: What?!\Who are you?!\What?!\A human like you... trying to take Kikyo's life...\You've got some nerve!\Are you after the Sacred Jewel?\Shut up, demon!\Unfortunately, I'm no demon! response:	Now prepare to die!
context: Who are you?!\What?!\A human like you... trying to take Kikyo's life...\You've got some nerve!\Are you after the Sacred Jewel?\Shut up, demon!\Unfortunately, I'm no demon!\Now prepare to die! response:	Inuyasha!
context: What?!\A human like you... trying to take Kikyo's life...\You've got some nerve!\Are you after the Sacred Jewel?\Shut up, demon!\Unfortunately, I'm no demon!\Now prepare to die!\Inuyasha! response:	Damn! You're a lucky dog!
context: A human like you... trying to take Kikyo's life...\You've got some nerve!\Are you after the Sacred Jewel?\Shut up, demon!\Unfortunately, I'm no demon!\Now prepare to die!\Inuyasha!\Damn! You're a lucky dog! response:	Did something happen?
context: You've got some nerve!\Are you after the Sacred Jewel?\Shut up, demon!\Unfortunately, I'm no demon!\Now prepare to die!\Inuyasha!\Damn! You're a lucky dog!\Did something happen? response:	Huh! It was nothing.
context: Are you after the Sacred Jewel?\Shut up, demon!\Unfortunately, I'm no demon!\Now prepare to die!\Inuyasha!\Damn! You're a lucky dog!\Did something happen?\Huh! It was nothing. response:	Don't do anything rough when I'm around.
context: Shut up, demon!\Unfortunately, I'm no demon!\Now prepare to die!\Inuyasha!\Damn! You're a lucky dog!\Did something happen?\Huh! It was nothing.\Don't do anything rough when I'm around. response:	Where?
context: Unfortunately, I'm no demon!\Now prepare to die!\Inuyasha!\Damn! You're a lucky dog!\Did something happen?\Huh! It was nothing.\Don't do anything rough when I'm around.\Where? response:	Where did they go?!
context: Now prepare to die!\Inuyasha!\Damn! You're a lucky dog!\Did something happen?\Huh! It was nothing.\Don't do anything rough when I'm around.\Where?\Where did they go?! response:	Damn that Onigumo!
context: Inuyasha!\Damn! You're a lucky dog!\Did something happen?\Huh! It was nothing.\Don't do anything rough when I'm around.\Where?\Where did they go?!\Damn that Onigumo! response:	He planned to take my men from the start!
context: Damn! You're a lucky dog!\Did something happen?\Huh! It was nothing.\Don't do anything rough when I'm around.\Where?\Where did they go?!\Damn that Onigumo!\He planned to take my men from the start! response:	So this is where...
context: Did something happen?\Huh! It was nothing.\Don't do anything rough when I'm around.\Where?\Where did they go?!\Damn that Onigumo!\He planned to take my men from the start!\So this is where... response:	B-Boss!
context: Huh! It was nothing.\Don't do anything rough when I'm around.\Where?\Where did they go?!\Damn that Onigumo!\He planned to take my men from the start!\So this is where...\B-Boss! response:	You're alive!
context: Don't do anything rough when I'm around.\Where?\Where did they go?!\Damn that Onigumo!\He planned to take my men from the start!\So this is where...\B-Boss!\You're alive! response:	Boss!
context: Where?\Where did they go?!\Damn that Onigumo!\He planned to take my men from the start!\So this is where...\B-Boss!\You're alive!\Boss! response:	We didn't mean to betray you!
context: Where did they go?!\Damn that Onigumo!\He planned to take my men from the start!\So this is where...\B-Boss!\You're alive!\Boss!\We didn't mean to betray you! response:	Shut up!
context: Damn that Onigumo!\He planned to take my men from the start!\So this is where...\B-Boss!\You're alive!\Boss!\We didn't mean to betray you!\Shut up! response:	If you come back to me, I'll spare your lives!
context: He planned to take my men from the start!\So this is where...\B-Boss!\You're alive!\Boss!\We didn't mean to betray you!\Shut up!\If you come back to me, I'll spare your lives! response:	However...
context: So this is where...\B-Boss!\You're alive!\Boss!\We didn't mean to betray you!\Shut up!\If you come back to me, I'll spare your lives!\However... response:	Where is he?
context: B-Boss!\You're alive!\Boss!\We didn't mean to betray you!\Shut up!\If you come back to me, I'll spare your lives!\However...\Where is he? response:	Where is that Onigumo?!
context: You're alive!\Boss!\We didn't mean to betray you!\Shut up!\If you come back to me, I'll spare your lives!\However...\Where is he?\Where is that Onigumo?! response:	Damn him!
context: Boss!\We didn't mean to betray you!\Shut up!\If you come back to me, I'll spare your lives!\However...\Where is he?\Where is that Onigumo?!\Damn him! response:	I won't let him go!
context: We didn't mean to betray you!\Shut up!\If you come back to me, I'll spare your lives!\However...\Where is he?\Where is that Onigumo?!\Damn him!\I won't let him go! response:	Didn't that half-demon kill you?!
context: Shut up!\If you come back to me, I'll spare your lives!\However...\Where is he?\Where is that Onigumo?!\Damn him!\I won't let him go!\Didn't that half-demon kill you?! response:	How dare you set me up like that!
context: If you come back to me, I'll spare your lives!\However...\Where is he?\Where is that Onigumo?!\Damn him!\I won't let him go!\Didn't that half-demon kill you?!\How dare you set me up like that! response:	Now I'll return the favor!
context: However...\Where is he?\Where is that Onigumo?!\Damn him!\I won't let him go!\Didn't that half-demon kill you?!\How dare you set me up like that!\Now I'll return the favor! response:	Rasetsu!
context: Where is he?\Where is that Onigumo?!\Damn him!\I won't let him go!\Didn't that half-demon kill you?!\How dare you set me up like that!\Now I'll return the favor!\Rasetsu! response:	So long, Onigumo!
context: Where is that Onigumo?!\Damn him!\I won't let him go!\Didn't that half-demon kill you?!\How dare you set me up like that!\Now I'll return the favor!\Rasetsu!\So long, Onigumo! response:	Burn! Burn!
context: Damn him!\I won't let him go!\Didn't that half-demon kill you?!\How dare you set me up like that!\Now I'll return the favor!\Rasetsu!\So long, Onigumo!\Burn! Burn! response:	Burn!
context: I won't let him go!\Didn't that half-demon kill you?!\How dare you set me up like that!\Now I'll return the favor!\Rasetsu!\So long, Onigumo!\Burn! Burn!\Burn! response:	R-Rasetsu!
context: Didn't that half-demon kill you?!\How dare you set me up like that!\Now I'll return the favor!\Rasetsu!\So long, Onigumo!\Burn! Burn!\Burn!\R-Rasetsu! response:	Stubborn fellow!
context: How dare you set me up like that!\Now I'll return the favor!\Rasetsu!\So long, Onigumo!\Burn! Burn!\Burn!\R-Rasetsu!\Stubborn fellow! response:	Here...
context: Now I'll return the favor!\Rasetsu!\So long, Onigumo!\Burn! Burn!\Burn!\R-Rasetsu!\Stubborn fellow!\Here... response:	Hey! Throw him over.
context: Rasetsu!\So long, Onigumo!\Burn! Burn!\Burn!\R-Rasetsu!\Stubborn fellow!\Here...\Hey! Throw him over. response:	Onigumo, this time you can go get it...
context: So long, Onigumo!\Burn! Burn!\Burn!\R-Rasetsu!\Stubborn fellow!\Here...\Hey! Throw him over.\Onigumo, this time you can go get it... response:	The Sacred Jewel.
context: Burn! Burn!\Burn!\R-Rasetsu!\Stubborn fellow!\Here...\Hey! Throw him over.\Onigumo, this time you can go get it...\The Sacred Jewel. response:	Say hello to Kikyo!
context: Burn!\R-Rasetsu!\Stubborn fellow!\Here...\Hey! Throw him over.\Onigumo, this time you can go get it...\The Sacred Jewel.\Say hello to Kikyo! response:	So you threw him over?
context: R-Rasetsu!\Stubborn fellow!\Here...\Hey! Throw him over.\Onigumo, this time you can go get it...\The Sacred Jewel.\Say hello to Kikyo!\So you threw him over? response:	Yeah. To the infernal abyss.
context: Stubborn fellow!\Here...\Hey! Throw him over.\Onigumo, this time you can go get it...\The Sacred Jewel.\Say hello to Kikyo!\So you threw him over?\Yeah. To the infernal abyss. response:	Infernal abyss... Naraku.
context: Here...\Hey! Throw him over.\Onigumo, this time you can go get it...\The Sacred Jewel.\Say hello to Kikyo!\So you threw him over?\Yeah. To the infernal abyss.\Infernal abyss... Naraku. response:	And? What happened afterthat?
context: Hey! Throw him over.\Onigumo, this time you can go get it...\The Sacred Jewel.\Say hello to Kikyo!\So you threw him over?\Yeah. To the infernal abyss.\Infernal abyss... Naraku.\And? What happened afterthat? response:	That was the end.
context: Onigumo, this time you can go get it...\The Sacred Jewel.\Say hello to Kikyo!\So you threw him over?\Yeah. To the infernal abyss.\Infernal abyss... Naraku.\And? What happened afterthat?\That was the end. response:	I stole this Sacred Jewel shard recently from a dying demon.
context: The Sacred Jewel.\Say hello to Kikyo!\So you threw him over?\Yeah. To the infernal abyss.\Infernal abyss... Naraku.\And? What happened afterthat?\That was the end.\I stole this Sacred Jewel shard recently from a dying demon. response:	But it won'tgrant my wish.
context: Say hello to Kikyo!\So you threw him over?\Yeah. To the infernal abyss.\Infernal abyss... Naraku.\And? What happened afterthat?\That was the end.\I stole this Sacred Jewel shard recently from a dying demon.\But it won'tgrant my wish. response:	It just prolongs my life...
context: So you threw him over?\Yeah. To the infernal abyss.\Infernal abyss... Naraku.\And? What happened afterthat?\That was the end.\I stole this Sacred Jewel shard recently from a dying demon.\But it won'tgrant my wish.\It just prolongs my life... response:	and tempts demons to constantly attack me.
context: Yeah. To the infernal abyss.\Infernal abyss... Naraku.\And? What happened afterthat?\That was the end.\I stole this Sacred Jewel shard recently from a dying demon.\But it won'tgrant my wish.\It just prolongs my life...\and tempts demons to constantly attack me. response:	Onigumo continues to betray me even in death.
context: Infernal abyss... Naraku.\And? What happened afterthat?\That was the end.\I stole this Sacred Jewel shard recently from a dying demon.\But it won'tgrant my wish.\It just prolongs my life...\and tempts demons to constantly attack me.\Onigumo continues to betray me even in death. response:	Although, this shard helps to ward off those demons.
context: And? What happened afterthat?\That was the end.\I stole this Sacred Jewel shard recently from a dying demon.\But it won'tgrant my wish.\It just prolongs my life...\and tempts demons to constantly attack me.\Onigumo continues to betray me even in death.\Although, this shard helps to ward off those demons. response:	What's the matter?
context: That was the end.\I stole this Sacred Jewel shard recently from a dying demon.\But it won'tgrant my wish.\It just prolongs my life...\and tempts demons to constantly attack me.\Onigumo continues to betray me even in death.\Although, this shard helps to ward off those demons.\What's the matter? response:	It's come.
context: I stole this Sacred Jewel shard recently from a dying demon.\But it won'tgrant my wish.\It just prolongs my life...\and tempts demons to constantly attack me.\Onigumo continues to betray me even in death.\Although, this shard helps to ward off those demons.\What's the matter?\It's come. response:	Most probably, to get that shard.
context: But it won'tgrant my wish.\It just prolongs my life...\and tempts demons to constantly attack me.\Onigumo continues to betray me even in death.\Although, this shard helps to ward off those demons.\What's the matter?\It's come.\Most probably, to get that shard. response:	Ademon?
context: It just prolongs my life...\and tempts demons to constantly attack me.\Onigumo continues to betray me even in death.\Although, this shard helps to ward off those demons.\What's the matter?\It's come.\Most probably, to get that shard.\Ademon? response:	This demonic aura...
context: and tempts demons to constantly attack me.\Onigumo continues to betray me even in death.\Although, this shard helps to ward off those demons.\What's the matter?\It's come.\Most probably, to get that shard.\Ademon?\This demonic aura... response:	It couldn't be... Naraku!
context: Onigumo continues to betray me even in death.\Although, this shard helps to ward off those demons.\What's the matter?\It's come.\Most probably, to get that shard.\Ademon?\This demonic aura...\It couldn't be... Naraku! response:	No, it's not. This is...
context: Although, this shard helps to ward off those demons.\What's the matter?\It's come.\Most probably, to get that shard.\Ademon?\This demonic aura...\It couldn't be... Naraku!\No, it's not. This is... response:	Give it to me...
context: What's the matter?\It's come.\Most probably, to get that shard.\Ademon?\This demonic aura...\It couldn't be... Naraku!\No, it's not. This is...\Give it to me... response:	Give me the Sacred Jewel shard!
context: It's come.\Most probably, to get that shard.\Ademon?\This demonic aura...\It couldn't be... Naraku!\No, it's not. This is...\Give it to me...\Give me the Sacred Jewel shard! response:	You...
context: Most probably, to get that shard.\Ademon?\This demonic aura...\It couldn't be... Naraku!\No, it's not. This is...\Give it to me...\Give me the Sacred Jewel shard!\You... response:	Just what are you to Naraku?!
context: Ademon?\This demonic aura...\It couldn't be... Naraku!\No, it's not. This is...\Give it to me...\Give me the Sacred Jewel shard!\You...\Just what are you to Naraku?! response:	Naraku?
context: This demonic aura...\It couldn't be... Naraku!\No, it's not. This is...\Give it to me...\Give me the Sacred Jewel shard!\You...\Just what are you to Naraku?!\Naraku? response:	That unforgivable Naraku?!
context: It couldn't be... Naraku!\No, it's not. This is...\Give it to me...\Give me the Sacred Jewel shard!\You...\Just what are you to Naraku?!\Naraku?\That unforgivable Naraku?! response:	Naraku severed me from him!
context: No, it's not. This is...\Give it to me...\Give me the Sacred Jewel shard!\You...\Just what are you to Naraku?!\Naraku?\That unforgivable Naraku?!\Naraku severed me from him! response:	Looking like this!
context: Give it to me...\Give me the Sacred Jewel shard!\You...\Just what are you to Naraku?!\Naraku?\That unforgivable Naraku?!\Naraku severed me from him!\Looking like this! response:	It's a portion of Naraku's body... which was abandoned?
context: Give me the Sacred Jewel shard!\You...\Just what are you to Naraku?!\Naraku?\That unforgivable Naraku?!\Naraku severed me from him!\Looking like this!\It's a portion of Naraku's body... which was abandoned? response:	The Sacred Jewel shard.
context: You...\Just what are you to Naraku?!\Naraku?\That unforgivable Naraku?!\Naraku severed me from him!\Looking like this!\It's a portion of Naraku's body... which was abandoned?\The Sacred Jewel shard. response:	If I have the shard,
context: Just what are you to Naraku?!\Naraku?\That unforgivable Naraku?!\Naraku severed me from him!\Looking like this!\It's a portion of Naraku's body... which was abandoned?\The Sacred Jewel shard.\If I have the shard, response:	I'll be able to secure myself a properbody.
context: Naraku?\That unforgivable Naraku?!\Naraku severed me from him!\Looking like this!\It's a portion of Naraku's body... which was abandoned?\The Sacred Jewel shard.\If I have the shard,\I'll be able to secure myself a properbody. response:	Give it here!
context: That unforgivable Naraku?!\Naraku severed me from him!\Looking like this!\It's a portion of Naraku's body... which was abandoned?\The Sacred Jewel shard.\If I have the shard,\I'll be able to secure myself a properbody.\Give it here! response:	Damn demon!
context: Naraku severed me from him!\Looking like this!\It's a portion of Naraku's body... which was abandoned?\The Sacred Jewel shard.\If I have the shard,\I'll be able to secure myself a properbody.\Give it here!\Damn demon! response:	Die!
context: Looking like this!\It's a portion of Naraku's body... which was abandoned?\The Sacred Jewel shard.\If I have the shard,\I'll be able to secure myself a properbody.\Give it here!\Damn demon!\Die! response:	A human dares defy me?!
context: It's a portion of Naraku's body... which was abandoned?\The Sacred Jewel shard.\If I have the shard,\I'll be able to secure myself a properbody.\Give it here!\Damn demon!\Die!\A human dares defy me?! response:	Give me... the bow and arrow!
context: The Sacred Jewel shard.\If I have the shard,\I'll be able to secure myself a properbody.\Give it here!\Damn demon!\Die!\A human dares defy me?!\Give me... the bow and arrow! response:	Hand overthe Sacred Jewel shard!
context: If I have the shard,\I'll be able to secure myself a properbody.\Give it here!\Damn demon!\Die!\A human dares defy me?!\Give me... the bow and arrow!\Hand overthe Sacred Jewel shard! response:	You want this so much?
context: I'll be able to secure myself a properbody.\Give it here!\Damn demon!\Die!\A human dares defy me?!\Give me... the bow and arrow!\Hand overthe Sacred Jewel shard!\You want this so much? response:	That arrow-!
context: Give it here!\Damn demon!\Die!\A human dares defy me?!\Give me... the bow and arrow!\Hand overthe Sacred Jewel shard!\You want this so much?\That arrow-! response:	Are you all right?
context: Damn demon!\Die!\A human dares defy me?!\Give me... the bow and arrow!\Hand overthe Sacred Jewel shard!\You want this so much?\That arrow-!\Are you all right? response:	How pitiful... saved by a woman!
context: Die!\A human dares defy me?!\Give me... the bow and arrow!\Hand overthe Sacred Jewel shard!\You want this so much?\That arrow-!\Are you all right?\How pitiful... saved by a woman! response:	However, you're some woman.
context: A human dares defy me?!\Give me... the bow and arrow!\Hand overthe Sacred Jewel shard!\You want this so much?\That arrow-!\Are you all right?\How pitiful... saved by a woman!\However, you're some woman. response:	I got it back foryou.
context: Give me... the bow and arrow!\Hand overthe Sacred Jewel shard!\You want this so much?\That arrow-!\Are you all right?\How pitiful... saved by a woman!\However, you're some woman.\I got it back foryou. response:	I have no need forthat.
context: Hand overthe Sacred Jewel shard!\You want this so much?\That arrow-!\Are you all right?\How pitiful... saved by a woman!\However, you're some woman.\I got it back foryou.\I have no need forthat. response:	I'll give it to you.
context: You want this so much?\That arrow-!\Are you all right?\How pitiful... saved by a woman!\However, you're some woman.\I got it back foryou.\I have no need forthat.\I'll give it to you. response:	However, I have just one request.
context: That arrow-!\Are you all right?\How pitiful... saved by a woman!\However, you're some woman.\I got it back foryou.\I have no need forthat.\I'll give it to you.\However, I have just one request. response:	Request?
context: Are you all right?\How pitiful... saved by a woman!\However, you're some woman.\I got it back foryou.\I have no need forthat.\I'll give it to you.\However, I have just one request.\Request? response:	I've lived the way I wanted.
context: How pitiful... saved by a woman!\However, you're some woman.\I got it back foryou.\I have no need forthat.\I'll give it to you.\However, I have just one request.\Request?\I've lived the way I wanted. response:	However, afterexperiencing old age and sickness,
context: However, you're some woman.\I got it back foryou.\I have no need forthat.\I'll give it to you.\However, I have just one request.\Request?\I've lived the way I wanted.\However, afterexperiencing old age and sickness, response:	I've become afraid of falling to Hell.
context: I got it back foryou.\I have no need forthat.\I'll give it to you.\However, I have just one request.\Request?\I've lived the way I wanted.\However, afterexperiencing old age and sickness,\I've become afraid of falling to Hell. response:	You want to be saved?
context: I have no need forthat.\I'll give it to you.\However, I have just one request.\Request?\I've lived the way I wanted.\However, afterexperiencing old age and sickness,\I've become afraid of falling to Hell.\You want to be saved? response:	I heard thateven villains like me can find salvation.
context: I'll give it to you.\However, I have just one request.\Request?\I've lived the way I wanted.\However, afterexperiencing old age and sickness,\I've become afraid of falling to Hell.\You want to be saved?\I heard thateven villains like me can find salvation. response:	And I've traveled in search of it as a place forme to die.
context: However, I have just one request.\Request?\I've lived the way I wanted.\However, afterexperiencing old age and sickness,\I've become afraid of falling to Hell.\You want to be saved?\I heard thateven villains like me can find salvation.\And I've traveled in search of it as a place forme to die. response:	But I guess I won't find it.
context: Request?\I've lived the way I wanted.\However, afterexperiencing old age and sickness,\I've become afraid of falling to Hell.\You want to be saved?\I heard thateven villains like me can find salvation.\And I've traveled in search of it as a place forme to die.\But I guess I won't find it. response:	So?
context: I've lived the way I wanted.\However, afterexperiencing old age and sickness,\I've become afraid of falling to Hell.\You want to be saved?\I heard thateven villains like me can find salvation.\And I've traveled in search of it as a place forme to die.\But I guess I won't find it.\So? response:	Take this...
context: However, afterexperiencing old age and sickness,\I've become afraid of falling to Hell.\You want to be saved?\I heard thateven villains like me can find salvation.\And I've traveled in search of it as a place forme to die.\But I guess I won't find it.\So?\Take this... response:	Iock of hair and bury it.
context: I've become afraid of falling to Hell.\You want to be saved?\I heard thateven villains like me can find salvation.\And I've traveled in search of it as a place forme to die.\But I guess I won't find it.\So?\Take this...\Iock of hair and bury it. response:	Woman...
context: You want to be saved?\I heard thateven villains like me can find salvation.\And I've traveled in search of it as a place forme to die.\But I guess I won't find it.\So?\Take this...\Iock of hair and bury it.\Woman... response:	What's yourname?
context: I heard thateven villains like me can find salvation.\And I've traveled in search of it as a place forme to die.\But I guess I won't find it.\So?\Take this...\Iock of hair and bury it.\Woman...\What's yourname? response:	It's Kikyo.
context: And I've traveled in search of it as a place forme to die.\But I guess I won't find it.\So?\Take this...\Iock of hair and bury it.\Woman...\What's yourname?\It's Kikyo. response:	That's a bad joke.
context: But I guess I won't find it.\So?\Take this...\Iock of hair and bury it.\Woman...\What's yourname?\It's Kikyo.\That's a bad joke. response:	The wheel of fortune is everin motion...so they say.
context: So?\Take this...\Iock of hair and bury it.\Woman...\What's yourname?\It's Kikyo.\That's a bad joke.\The wheel of fortune is everin motion...so they say. response:	Put this on so you won't catch a cold.
context: Take this...\Iock of hair and bury it.\Woman...\What's yourname?\It's Kikyo.\That's a bad joke.\The wheel of fortune is everin motion...so they say.\Put this on so you won't catch a cold. response:	You've already caught one!
context: Iock of hair and bury it.\Woman...\What's yourname?\It's Kikyo.\That's a bad joke.\The wheel of fortune is everin motion...so they say.\Put this on so you won't catch a cold.\You've already caught one! response:	No, someone's gossiping about me.
context: Woman...\What's yourname?\It's Kikyo.\That's a bad joke.\The wheel of fortune is everin motion...so they say.\Put this on so you won't catch a cold.\You've already caught one!\No, someone's gossiping about me. response:	Dummy! Who'd gossip about you?
context: What's yourname?\It's Kikyo.\That's a bad joke.\The wheel of fortune is everin motion...so they say.\Put this on so you won't catch a cold.\You've already caught one!\No, someone's gossiping about me.\Dummy! Who'd gossip about you? response:	Good, no fever.
context: It's Kikyo.\That's a bad joke.\The wheel of fortune is everin motion...so they say.\Put this on so you won't catch a cold.\You've already caught one!\No, someone's gossiping about me.\Dummy! Who'd gossip about you?\Good, no fever. response:	Thank you forbeing concerned.
context: That's a bad joke.\The wheel of fortune is everin motion...so they say.\Put this on so you won't catch a cold.\You've already caught one!\No, someone's gossiping about me.\Dummy! Who'd gossip about you?\Good, no fever.\Thank you forbeing concerned. response:	Huh... you're starting to get warm.
context: The wheel of fortune is everin motion...so they say.\Put this on so you won't catch a cold.\You've already caught one!\No, someone's gossiping about me.\Dummy! Who'd gossip about you?\Good, no fever.\Thank you forbeing concerned.\Huh... you're starting to get warm. response:	It's okay, don't worry.
context: Put this on so you won't catch a cold.\You've already caught one!\No, someone's gossiping about me.\Dummy! Who'd gossip about you?\Good, no fever.\Thank you forbeing concerned.\Huh... you're starting to get warm.\It's okay, don't worry. response:	Came all this way with his remains?
context: You've already caught one!\No, someone's gossiping about me.\Dummy! Who'd gossip about you?\Good, no fever.\Thank you forbeing concerned.\Huh... you're starting to get warm.\It's okay, don't worry.\Came all this way with his remains? response:	Thank you so much for all yourtrouble.
context: No, someone's gossiping about me.\Dummy! Who'd gossip about you?\Good, no fever.\Thank you forbeing concerned.\Huh... you're starting to get warm.\It's okay, don't worry.\Came all this way with his remains?\Thank you so much for all yourtrouble. response:	It was his dying wish.
context: Dummy! Who'd gossip about you?\Good, no fever.\Thank you forbeing concerned.\Huh... you're starting to get warm.\It's okay, don't worry.\Came all this way with his remains?\Thank you so much for all yourtrouble.\It was his dying wish. response:	I've heard about this place of purification.
context: Good, no fever.\Thank you forbeing concerned.\Huh... you're starting to get warm.\It's okay, don't worry.\Came all this way with his remains?\Thank you so much for all yourtrouble.\It was his dying wish.\I've heard about this place of purification. response:	I believe the priest's name was Hakushin.
context: Thank you forbeing concerned.\Huh... you're starting to get warm.\It's okay, don't worry.\Came all this way with his remains?\Thank you so much for all yourtrouble.\It was his dying wish.\I've heard about this place of purification.\I believe the priest's name was Hakushin. response:	Yes, yes!
context: Huh... you're starting to get warm.\It's okay, don't worry.\Came all this way with his remains?\Thank you so much for all yourtrouble.\It was his dying wish.\I've heard about this place of purification.\I believe the priest's name was Hakushin.\Yes, yes! response:	There's a temple started by this Priest Hakushin.
context: It's okay, don't worry.\Came all this way with his remains?\Thank you so much for all yourtrouble.\It was his dying wish.\I've heard about this place of purification.\I believe the priest's name was Hakushin.\Yes, yes!\There's a temple started by this Priest Hakushin. response:	And if the soul is returned there, he can cleanse any sin.
context: Came all this way with his remains?\Thank you so much for all yourtrouble.\It was his dying wish.\I've heard about this place of purification.\I believe the priest's name was Hakushin.\Yes, yes!\There's a temple started by this Priest Hakushin.\And if the soul is returned there, he can cleanse any sin. response:	Where is this temple?
context: Thank you so much for all yourtrouble.\It was his dying wish.\I've heard about this place of purification.\I believe the priest's name was Hakushin.\Yes, yes!\There's a temple started by this Priest Hakushin.\And if the soul is returned there, he can cleanse any sin.\Where is this temple? response:	Mount Hakurei.
context: It was his dying wish.\I've heard about this place of purification.\I believe the priest's name was Hakushin.\Yes, yes!\There's a temple started by this Priest Hakushin.\And if the soul is returned there, he can cleanse any sin.\Where is this temple?\Mount Hakurei. response:	Mount Hakurei?
context: I've heard about this place of purification.\I believe the priest's name was Hakushin.\Yes, yes!\There's a temple started by this Priest Hakushin.\And if the soul is returned there, he can cleanse any sin.\Where is this temple?\Mount Hakurei.\Mount Hakurei? response:	Beyond this forest,
