context: Tsuritama Episode 2 response:	The day I moved to Enoshima,
context: We're supposed to put together all of this?\Sounds like a lot of work.\Fine. I just have to catch one, right?\Listen up, because I'll only say it once.\First attach your reel to your rod, and open the bail arm.\Pull out your line, and thread it through the guides.\Wait. Your explanation's too fast.\This is hard! response:	Then, attach the lure to the leader on the end of your line.
context: Sounds like a lot of work.\Fine. I just have to catch one, right?\Listen up, because I'll only say it once.\First attach your reel to your rod, and open the bail arm.\Pull out your line, and thread it through the guides.\Wait. Your explanation's too fast.\This is hard!\Then, attach the lure to the leader on the end of your line. response:	You can borrow one of my lures.
context: Fine. I just have to catch one, right?\Listen up, because I'll only say it once.\First attach your reel to your rod, and open the bail arm.\Pull out your line, and thread it through the guides.\Wait. Your explanation's too fast.\This is hard!\Then, attach the lure to the leader on the end of your line.\You can borrow one of my lures. response:	I choose this one. It's so cute.
context: Listen up, because I'll only say it once.\First attach your reel to your rod, and open the bail arm.\Pull out your line, and thread it through the guides.\Wait. Your explanation's too fast.\This is hard!\Then, attach the lure to the leader on the end of your line.\You can borrow one of my lures.\I choose this one. It's so cute. response:	What the heck is he doing?!
context: First attach your reel to your rod, and open the bail arm.\Pull out your line, and thread it through the guides.\Wait. Your explanation's too fast.\This is hard!\Then, attach the lure to the leader on the end of your line.\You can borrow one of my lures.\I choose this one. It's so cute.\What the heck is he doing?! response:	Tie this with a uni knot.
context: Pull out your line, and thread it through the guides.\Wait. Your explanation's too fast.\This is hard!\Then, attach the lure to the leader on the end of your line.\You can borrow one of my lures.\I choose this one. It's so cute.\What the heck is he doing?!\Tie this with a uni knot. response:	Uni knot?
context: Wait. Your explanation's too fast.\This is hard!\Then, attach the lure to the leader on the end of your line.\You can borrow one of my lures.\I choose this one. It's so cute.\What the heck is he doing?!\Tie this with a uni knot.\Uni knot? response:	It's a way to tie your line.
context: This is hard!\Then, attach the lure to the leader on the end of your line.\You can borrow one of my lures.\I choose this one. It's so cute.\What the heck is he doing?!\Tie this with a uni knot.\Uni knot?\It's a way to tie your line. response:	I'm only going to show you once.
context: Then, attach the lure to the leader on the end of your line.\You can borrow one of my lures.\I choose this one. It's so cute.\What the heck is he doing?!\Tie this with a uni knot.\Uni knot?\It's a way to tie your line.\I'm only going to show you once. response:	Pass the line through the hole in this metal snap.
context: You can borrow one of my lures.\I choose this one. It's so cute.\What the heck is he doing?!\Tie this with a uni knot.\Uni knot?\It's a way to tie your line.\I'm only going to show you once.\Pass the line through the hole in this metal snap. response:	Make a ring, and go around three times.
context: I choose this one. It's so cute.\What the heck is he doing?!\Tie this with a uni knot.\Uni knot?\It's a way to tie your line.\I'm only going to show you once.\Pass the line through the hole in this metal snap.\Make a ring, and go around three times. response:	And pull.
context: What the heck is he doing?!\Tie this with a uni knot.\Uni knot?\It's a way to tie your line.\I'm only going to show you once.\Pass the line through the hole in this metal snap.\Make a ring, and go around three times.\And pull. response:	That won't work.
context: Tie this with a uni knot.\Uni knot?\It's a way to tie your line.\I'm only going to show you once.\Pass the line through the hole in this metal snap.\Make a ring, and go around three times.\And pull.\That won't work. response:	See?
context: Uni knot?\It's a way to tie your line.\I'm only going to show you once.\Pass the line through the hole in this metal snap.\Make a ring, and go around three times.\And pull.\That won't work.\See? response:	It is different.
context: It's a way to tie your line.\I'm only going to show you once.\Pass the line through the hole in this metal snap.\Make a ring, and go around three times.\And pull.\That won't work.\See?\It is different. response:	Mine's sort of lumpy.
context: I'm only going to show you once.\Pass the line through the hole in this metal snap.\Make a ring, and go around three times.\And pull.\That won't work.\See?\It is different.\Mine's sort of lumpy. response:	If you don't tie it right, it'll come undone right away.
context: Pass the line through the hole in this metal snap.\Make a ring, and go around three times.\And pull.\That won't work.\See?\It is different.\Mine's sort of lumpy.\If you don't tie it right, it'll come undone right away. response:	No. This'll break right away.
context: Make a ring, and go around three times.\And pull.\That won't work.\See?\It is different.\Mine's sort of lumpy.\If you don't tie it right, it'll come undone right away.\No. This'll break right away. response:	Damn it!
context: And pull.\That won't work.\See?\It is different.\Mine's sort of lumpy.\If you don't tie it right, it'll come undone right away.\No. This'll break right away.\Damn it! response:	Something's wrong. Natsuki, one more time.
context: That won't work.\See?\It is different.\Mine's sort of lumpy.\If you don't tie it right, it'll come undone right away.\No. This'll break right away.\Damn it!\Something's wrong. Natsuki, one more time. response:	I said I'd only show you once.
context: See?\It is different.\Mine's sort of lumpy.\If you don't tie it right, it'll come undone right away.\No. This'll break right away.\Damn it!\Something's wrong. Natsuki, one more time.\I said I'd only show you once. response:	Hey!
context: It is different.\Mine's sort of lumpy.\If you don't tie it right, it'll come undone right away.\No. This'll break right away.\Damn it!\Something's wrong. Natsuki, one more time.\I said I'd only show you once.\Hey! response:	Prince, do it.
context: Mine's sort of lumpy.\If you don't tie it right, it'll come undone right away.\No. This'll break right away.\Damn it!\Something's wrong. Natsuki, one more time.\I said I'd only show you once.\Hey!\Prince, do it. response:	Yuki, make sure you remember this time.
context: If you don't tie it right, it'll come undone right away.\No. This'll break right away.\Damn it!\Something's wrong. Natsuki, one more time.\I said I'd only show you once.\Hey!\Prince, do it.\Yuki, make sure you remember this time. response:	What is this?
context: No. This'll break right away.\Damn it!\Something's wrong. Natsuki, one more time.\I said I'd only show you once.\Hey!\Prince, do it.\Yuki, make sure you remember this time.\What is this? response:	Is this how he's been controlling me, too?
context: Damn it!\Something's wrong. Natsuki, one more time.\I said I'd only show you once.\Hey!\Prince, do it.\Yuki, make sure you remember this time.\What is this?\Is this how he's been controlling me, too? response:	This guy's seriously scary!
context: Something's wrong. Natsuki, one more time.\I said I'd only show you once.\Hey!\Prince, do it.\Yuki, make sure you remember this time.\What is this?\Is this how he's been controlling me, too?\This guy's seriously scary! response:	What am I gonna do if I can't catch a fish?
context: I said I'd only show you once.\Hey!\Prince, do it.\Yuki, make sure you remember this time.\What is this?\Is this how he's been controlling me, too?\This guy's seriously scary!\What am I gonna do if I can't catch a fish? response:	Tada!
context: Hey!\Prince, do it.\Yuki, make sure you remember this time.\What is this?\Is this how he's been controlling me, too?\This guy's seriously scary!\What am I gonna do if I can't catch a fish?\Tada! response:	I'm surprised you're such a fast learner.
context: Prince, do it.\Yuki, make sure you remember this time.\What is this?\Is this how he's been controlling me, too?\This guy's seriously scary!\What am I gonna do if I can't catch a fish?\Tada!\I'm surprised you're such a fast learner. response:	What can I say?
context: Yuki, make sure you remember this time.\What is this?\Is this how he's been controlling me, too?\This guy's seriously scary!\What am I gonna do if I can't catch a fish?\Tada!\I'm surprised you're such a fast learner.\What can I say? response:	He didn't get it at all.
context: What is this?\Is this how he's been controlling me, too?\This guy's seriously scary!\What am I gonna do if I can't catch a fish?\Tada!\I'm surprised you're such a fast learner.\What can I say?\He didn't get it at all. response:	And why's he so mad?
context: Is this how he's been controlling me, too?\This guy's seriously scary!\What am I gonna do if I can't catch a fish?\Tada!\I'm surprised you're such a fast learner.\What can I say?\He didn't get it at all.\And why's he so mad? response:	Hey, do you need me to explain it again?
context: This guy's seriously scary!\What am I gonna do if I can't catch a fish?\Tada!\I'm surprised you're such a fast learner.\What can I say?\He didn't get it at all.\And why's he so mad?\Hey, do you need me to explain it again? response:	What am I gonna do if I can't catch a fish?
context: What am I gonna do if I can't catch a fish?\Tada!\I'm surprised you're such a fast learner.\What can I say?\He didn't get it at all.\And why's he so mad?\Hey, do you need me to explain it again?\What am I gonna do if I can't catch a fish? response:	Hey.
context: Tada!\I'm surprised you're such a fast learner.\What can I say?\He didn't get it at all.\And why's he so mad?\Hey, do you need me to explain it again?\What am I gonna do if I can't catch a fish?\Hey. response:	Huh?
context: I'm surprised you're such a fast learner.\What can I say?\He didn't get it at all.\And why's he so mad?\Hey, do you need me to explain it again?\What am I gonna do if I can't catch a fish?\Hey.\Huh? response:	Do you want me to explain it to you again?
context: What can I say?\He didn't get it at all.\And why's he so mad?\Hey, do you need me to explain it again?\What am I gonna do if I can't catch a fish?\Hey.\Huh?\Do you want me to explain it to you again? response:	Did he really get it?
context: He didn't get it at all.\And why's he so mad?\Hey, do you need me to explain it again?\What am I gonna do if I can't catch a fish?\Hey.\Huh?\Do you want me to explain it to you again?\Did he really get it? response:	It's no use.
context: And why's he so mad?\Hey, do you need me to explain it again?\What am I gonna do if I can't catch a fish?\Hey.\Huh?\Do you want me to explain it to you again?\Did he really get it?\It's no use. response:	I know, I know!
context: Hey, do you need me to explain it again?\What am I gonna do if I can't catch a fish?\Hey.\Huh?\Do you want me to explain it to you again?\Did he really get it?\It's no use.\I know, I know! response:	Oh, good enough!
context: What am I gonna do if I can't catch a fish?\Hey.\Huh?\Do you want me to explain it to you again?\Did he really get it?\It's no use.\I know, I know!\Oh, good enough! response:	Prince, I caught another.
context: Hey.\Huh?\Do you want me to explain it to you again?\Did he really get it?\It's no use.\I know, I know!\Oh, good enough!\Prince, I caught another. response:	Yuki, why can't you catch anything?
context: Huh?\Do you want me to explain it to you again?\Did he really get it?\It's no use.\I know, I know!\Oh, good enough!\Prince, I caught another.\Yuki, why can't you catch anything? response:	Heck if I know.
context: Do you want me to explain it to you again?\Did he really get it?\It's no use.\I know, I know!\Oh, good enough!\Prince, I caught another.\Yuki, why can't you catch anything?\Heck if I know. response:	Besides, there's no way an amateur could suddenly catch
context: Did he really get it?\It's no use.\I know, I know!\Oh, good enough!\Prince, I caught another.\Yuki, why can't you catch anything?\Heck if I know.\Besides, there's no way an amateur could suddenly catch response:	You're kidding!
context: It's no use.\I know, I know!\Oh, good enough!\Prince, I caught another.\Yuki, why can't you catch anything?\Heck if I know.\Besides, there's no way an amateur could suddenly catch\You're kidding! response:	Another hit. Is he even holding it?
context: I know, I know!\Oh, good enough!\Prince, I caught another.\Yuki, why can't you catch anything?\Heck if I know.\Besides, there's no way an amateur could suddenly catch\You're kidding!\Another hit. Is he even holding it? response:	Um, what am I supposed to do again?
context: Oh, good enough!\Prince, I caught another.\Yuki, why can't you catch anything?\Heck if I know.\Besides, there's no way an amateur could suddenly catch\You're kidding!\Another hit. Is he even holding it?\Um, what am I supposed to do again? response:	I told you before!
context: Prince, I caught another.\Yuki, why can't you catch anything?\Heck if I know.\Besides, there's no way an amateur could suddenly catch\You're kidding!\Another hit. Is he even holding it?\Um, what am I supposed to do again?\I told you before! response:	Raise your rod and calmly reel him in!
context: Yuki, why can't you catch anything?\Heck if I know.\Besides, there's no way an amateur could suddenly catch\You're kidding!\Another hit. Is he even holding it?\Um, what am I supposed to do again?\I told you before!\Raise your rod and calmly reel him in! response:	What am I gonna do? What am I gonna do?!
context: Heck if I know.\Besides, there's no way an amateur could suddenly catch\You're kidding!\Another hit. Is he even holding it?\Um, what am I supposed to do again?\I told you before!\Raise your rod and calmly reel him in!\What am I gonna do? What am I gonna do?! response:	Is that a sea bass? Yuki, it's huge.
context: Besides, there's no way an amateur could suddenly catch\You're kidding!\Another hit. Is he even holding it?\Um, what am I supposed to do again?\I told you before!\Raise your rod and calmly reel him in!\What am I gonna do? What am I gonna do?!\Is that a sea bass? Yuki, it's huge. response:	It's that feeling again!
context: You're kidding!\Another hit. Is he even holding it?\Um, what am I supposed to do again?\I told you before!\Raise your rod and calmly reel him in!\What am I gonna do? What am I gonna do?!\Is that a sea bass? Yuki, it's huge.\It's that feeling again! response:	Calm down!
context: Another hit. Is he even holding it?\Um, what am I supposed to do again?\I told you before!\Raise your rod and calmly reel him in!\What am I gonna do? What am I gonna do?!\Is that a sea bass? Yuki, it's huge.\It's that feeling again!\Calm down! response:	I have to catch it. I have to catch one!
context: Um, what am I supposed to do again?\I told you before!\Raise your rod and calmly reel him in!\What am I gonna do? What am I gonna do?!\Is that a sea bass? Yuki, it's huge.\It's that feeling again!\Calm down!\I have to catch it. I have to catch one! response:	Hey, don't panic!
context: I told you before!\Raise your rod and calmly reel him in!\What am I gonna do? What am I gonna do?!\Is that a sea bass? Yuki, it's huge.\It's that feeling again!\Calm down!\I have to catch it. I have to catch one!\Hey, don't panic! response:	I'll catch one!
context: Raise your rod and calmly reel him in!\What am I gonna do? What am I gonna do?!\Is that a sea bass? Yuki, it's huge.\It's that feeling again!\Calm down!\I have to catch it. I have to catch one!\Hey, don't panic!\I'll catch one! response:	It's jumping!
context: What am I gonna do? What am I gonna do?!\Is that a sea bass? Yuki, it's huge.\It's that feeling again!\Calm down!\I have to catch it. I have to catch one!\Hey, don't panic!\I'll catch one!\It's jumping! response:	Sorry. I'll pay you back.
context: Is that a sea bass? Yuki, it's huge.\It's that feeling again!\Calm down!\I have to catch it. I have to catch one!\Hey, don't panic!\I'll catch one!\It's jumping!\Sorry. I'll pay you back. response:	Don't worry about it.
context: It's that feeling again!\Calm down!\I have to catch it. I have to catch one!\Hey, don't panic!\I'll catch one!\It's jumping!\Sorry. I'll pay you back.\Don't worry about it. response:	Did you tie your uni knot right?
context: Calm down!\I have to catch it. I have to catch one!\Hey, don't panic!\I'll catch one!\It's jumping!\Sorry. I'll pay you back.\Don't worry about it.\Did you tie your uni knot right? response:	I'm asking if you tied your knot right.
context: I have to catch it. I have to catch one!\Hey, don't panic!\I'll catch one!\It's jumping!\Sorry. I'll pay you back.\Don't worry about it.\Did you tie your uni knot right?\I'm asking if you tied your knot right. response:	No, I winged it.
context: Hey, don't panic!\I'll catch one!\It's jumping!\Sorry. I'll pay you back.\Don't worry about it.\Did you tie your uni knot right?\I'm asking if you tied your knot right.\No, I winged it. response:	Who do you think's going to suffer if you do that?
context: I'll catch one!\It's jumping!\Sorry. I'll pay you back.\Don't worry about it.\Did you tie your uni knot right?\I'm asking if you tied your knot right.\No, I winged it.\Who do you think's going to suffer if you do that? response:	Fishing's not something you can just wing.
context: It's jumping!\Sorry. I'll pay you back.\Don't worry about it.\Did you tie your uni knot right?\I'm asking if you tied your knot right.\No, I winged it.\Who do you think's going to suffer if you do that?\Fishing's not something you can just wing. response:	I refuse to fish with someone who does that.
context: Sorry. I'll pay you back.\Don't worry about it.\Did you tie your uni knot right?\I'm asking if you tied your knot right.\No, I winged it.\Who do you think's going to suffer if you do that?\Fishing's not something you can just wing.\I refuse to fish with someone who does that. response:	Oh, he's super pissed!
context: Don't worry about it.\Did you tie your uni knot right?\I'm asking if you tied your knot right.\No, I winged it.\Who do you think's going to suffer if you do that?\Fishing's not something you can just wing.\I refuse to fish with someone who does that.\Oh, he's super pissed! response:	What should I say at a time like this?
context: Did you tie your uni knot right?\I'm asking if you tied your knot right.\No, I winged it.\Who do you think's going to suffer if you do that?\Fishing's not something you can just wing.\I refuse to fish with someone who does that.\Oh, he's super pissed!\What should I say at a time like this? response:	I bet you didn't even listen to anything I said!
context: I'm asking if you tied your knot right.\No, I winged it.\Who do you think's going to suffer if you do that?\Fishing's not something you can just wing.\I refuse to fish with someone who does that.\Oh, he's super pissed!\What should I say at a time like this?\I bet you didn't even listen to anything I said! response:	Think about others a little more!
context: No, I winged it.\Who do you think's going to suffer if you do that?\Fishing's not something you can just wing.\I refuse to fish with someone who does that.\Oh, he's super pissed!\What should I say at a time like this?\I bet you didn't even listen to anything I said!\Think about others a little more! response:	I'm teaching you because you asked me to teach you!
context: Who do you think's going to suffer if you do that?\Fishing's not something you can just wing.\I refuse to fish with someone who does that.\Oh, he's super pissed!\What should I say at a time like this?\I bet you didn't even listen to anything I said!\Think about others a little more!\I'm teaching you because you asked me to teach you! response:	Guys like you can't do anything.
context: Fishing's not something you can just wing.\I refuse to fish with someone who does that.\Oh, he's super pissed!\What should I say at a time like this?\I bet you didn't even listen to anything I said!\Think about others a little more!\I'm teaching you because you asked me to teach you!\Guys like you can't do anything. response:	What? If you have something to say, say it!
context: I refuse to fish with someone who does that.\Oh, he's super pissed!\What should I say at a time like this?\I bet you didn't even listen to anything I said!\Think about others a little more!\I'm teaching you because you asked me to teach you!\Guys like you can't do anything.\What? If you have something to say, say it! response:	Yuki!
context: Oh, he's super pissed!\What should I say at a time like this?\I bet you didn't even listen to anything I said!\Think about others a little more!\I'm teaching you because you asked me to teach you!\Guys like you can't do anything.\What? If you have something to say, say it!\Yuki! response:	What's wrong with him?
context: What should I say at a time like this?\I bet you didn't even listen to anything I said!\Think about others a little more!\I'm teaching you because you asked me to teach you!\Guys like you can't do anything.\What? If you have something to say, say it!\Yuki!\What's wrong with him? response:	He'll never catch anything fishing like that.
context: I bet you didn't even listen to anything I said!\Think about others a little more!\I'm teaching you because you asked me to teach you!\Guys like you can't do anything.\What? If you have something to say, say it!\Yuki!\What's wrong with him?\He'll never catch anything fishing like that. response:	You're giving up?
context: Think about others a little more!\I'm teaching you because you asked me to teach you!\Guys like you can't do anything.\What? If you have something to say, say it!\Yuki!\What's wrong with him?\He'll never catch anything fishing like that.\You're giving up? response:	I can't do it.
context: I'm teaching you because you asked me to teach you!\Guys like you can't do anything.\What? If you have something to say, say it!\Yuki!\What's wrong with him?\He'll never catch anything fishing like that.\You're giving up?\I can't do it. response:	You're Haru's friend.
context: Guys like you can't do anything.\What? If you have something to say, say it!\Yuki!\What's wrong with him?\He'll never catch anything fishing like that.\You're giving up?\I can't do it.\You're Haru's friend. response:	Friends don't break promises.
context: What? If you have something to say, say it!\Yuki!\What's wrong with him?\He'll never catch anything fishing like that.\You're giving up?\I can't do it.\You're Haru's friend.\Friends don't break promises. response:	I'm not his friend.
context: Yuki!\What's wrong with him?\He'll never catch anything fishing like that.\You're giving up?\I can't do it.\You're Haru's friend.\Friends don't break promises.\I'm not his friend. response:	That's no good.
context: What's wrong with him?\He'll never catch anything fishing like that.\You're giving up?\I can't do it.\You're Haru's friend.\Friends don't break promises.\I'm not his friend.\That's no good. response:	Onii-chan, is it done yet?
context: He'll never catch anything fishing like that.\You're giving up?\I can't do it.\You're Haru's friend.\Friends don't break promises.\I'm not his friend.\That's no good.\Onii-chan, is it done yet? response:	Soon. Just wait.
context: You're giving up?\I can't do it.\You're Haru's friend.\Friends don't break promises.\I'm not his friend.\That's no good.\Onii-chan, is it done yet?\Soon. Just wait. response:	I want to eat your curry now.
context: I can't do it.\You're Haru's friend.\Friends don't break promises.\I'm not his friend.\That's no good.\Onii-chan, is it done yet?\Soon. Just wait.\I want to eat your curry now. response:	I'm home.
context: You're Haru's friend.\Friends don't break promises.\I'm not his friend.\That's no good.\Onii-chan, is it done yet?\Soon. Just wait.\I want to eat your curry now.\I'm home. response:	Dad, good work today.
context: Friends don't break promises.\I'm not his friend.\That's no good.\Onii-chan, is it done yet?\Soon. Just wait.\I want to eat your curry now.\I'm home.\Dad, good work today. response:	Good work.
context: I'm not his friend.\That's no good.\Onii-chan, is it done yet?\Soon. Just wait.\I want to eat your curry now.\I'm home.\Dad, good work today.\Good work. response:	Mari-chan, good work.
context: That's no good.\Onii-chan, is it done yet?\Soon. Just wait.\I want to eat your curry now.\I'm home.\Dad, good work today.\Good work.\Mari-chan, good work. response:	Natsuki-kun, good work today.
context: Onii-chan, is it done yet?\Soon. Just wait.\I want to eat your curry now.\I'm home.\Dad, good work today.\Good work.\Mari-chan, good work.\Natsuki-kun, good work today. response:	Hey, Natsuki.
context: Soon. Just wait.\I want to eat your curry now.\I'm home.\Dad, good work today.\Good work.\Mari-chan, good work.\Natsuki-kun, good work today.\Hey, Natsuki. response:	See you tomorrow.
context: I want to eat your curry now.\I'm home.\Dad, good work today.\Good work.\Mari-chan, good work.\Natsuki-kun, good work today.\Hey, Natsuki.\See you tomorrow. response:	Okay.
context: I'm home.\Dad, good work today.\Good work.\Mari-chan, good work.\Natsuki-kun, good work today.\Hey, Natsuki.\See you tomorrow.\Okay. response:	See you tomorrow.
context: Dad, good work today.\Good work.\Mari-chan, good work.\Natsuki-kun, good work today.\Hey, Natsuki.\See you tomorrow.\Okay.\See you tomorrow. response:	Natsuki, good work.
context: Good work.\Mari-chan, good work.\Natsuki-kun, good work today.\Hey, Natsuki.\See you tomorrow.\Okay.\See you tomorrow.\Natsuki, good work. response:	Did you have some of this?
context: Mari-chan, good work.\Natsuki-kun, good work today.\Hey, Natsuki.\See you tomorrow.\Okay.\See you tomorrow.\Natsuki, good work.\Did you have some of this? response:	It's a cheese roe whitebait ball.
context: Natsuki-kun, good work today.\Hey, Natsuki.\See you tomorrow.\Okay.\See you tomorrow.\Natsuki, good work.\Did you have some of this?\It's a cheese roe whitebait ball. response:	It's my new recipe.
context: Hey, Natsuki.\See you tomorrow.\Okay.\See you tomorrow.\Natsuki, good work.\Did you have some of this?\It's a cheese roe whitebait ball.\It's my new recipe. response:	What do you think you're doing?
context: See you tomorrow.\Okay.\See you tomorrow.\Natsuki, good work.\Did you have some of this?\It's a cheese roe whitebait ball.\It's my new recipe.\What do you think you're doing? response:	It hasn't even been two years.
context: Okay.\See you tomorrow.\Natsuki, good work.\Did you have some of this?\It's a cheese roe whitebait ball.\It's my new recipe.\What do you think you're doing?\It hasn't even been two years. response:	It's been two years.
context: See you tomorrow.\Natsuki, good work.\Did you have some of this?\It's a cheese roe whitebait ball.\It's my new recipe.\What do you think you're doing?\It hasn't even been two years.\It's been two years. response:	Natsuki, you...
context: Natsuki, good work.\Did you have some of this?\It's a cheese roe whitebait ball.\It's my new recipe.\What do you think you're doing?\It hasn't even been two years.\It's been two years.\Natsuki, you... response:	You should cut your hair.
context: Did you have some of this?\It's a cheese roe whitebait ball.\It's my new recipe.\What do you think you're doing?\It hasn't even been two years.\It's been two years.\Natsuki, you...\You should cut your hair. response:	Stop it.
context: It's a cheese roe whitebait ball.\It's my new recipe.\What do you think you're doing?\It hasn't even been two years.\It's been two years.\Natsuki, you...\You should cut your hair.\Stop it. response:	What're you getting embarrassed about?
context: It's my new recipe.\What do you think you're doing?\It hasn't even been two years.\It's been two years.\Natsuki, you...\You should cut your hair.\Stop it.\What're you getting embarrassed about? response:	You'll feel a lot better with short hair.
context: What do you think you're doing?\It hasn't even been two years.\It's been two years.\Natsuki, you...\You should cut your hair.\Stop it.\What're you getting embarrassed about?\You'll feel a lot better with short hair. response:	I didn't ask for your opinion.
context: It hasn't even been two years.\It's been two years.\Natsuki, you...\You should cut your hair.\Stop it.\What're you getting embarrassed about?\You'll feel a lot better with short hair.\I didn't ask for your opinion. response:	There's no need to get so angry.
context: It's been two years.\Natsuki, you...\You should cut your hair.\Stop it.\What're you getting embarrassed about?\You'll feel a lot better with short hair.\I didn't ask for your opinion.\There's no need to get so angry. response:	Time for some beer.
context: Natsuki, you...\You should cut your hair.\Stop it.\What're you getting embarrassed about?\You'll feel a lot better with short hair.\I didn't ask for your opinion.\There's no need to get so angry.\Time for some beer. response:	Why won't you fish?! Why, why?!
context: You should cut your hair.\Stop it.\What're you getting embarrassed about?\You'll feel a lot better with short hair.\I didn't ask for your opinion.\There's no need to get so angry.\Time for some beer.\Why won't you fish?! Why, why?! response:	Come on! Come on!
context: Stop it.\What're you getting embarrassed about?\You'll feel a lot better with short hair.\I didn't ask for your opinion.\There's no need to get so angry.\Time for some beer.\Why won't you fish?! Why, why?!\Come on! Come on! response:	Yuki won't come out.
context: What're you getting embarrassed about?\You'll feel a lot better with short hair.\I didn't ask for your opinion.\There's no need to get so angry.\Time for some beer.\Why won't you fish?! Why, why?!\Come on! Come on!\Yuki won't come out. response:	He'll come out eventually.
context: You'll feel a lot better with short hair.\I didn't ask for your opinion.\There's no need to get so angry.\Time for some beer.\Why won't you fish?! Why, why?!\Come on! Come on!\Yuki won't come out.\He'll come out eventually. response:	Yuki said he doesn't want to be my friend.
context: I didn't ask for your opinion.\There's no need to get so angry.\Time for some beer.\Why won't you fish?! Why, why?!\Come on! Come on!\Yuki won't come out.\He'll come out eventually.\Yuki said he doesn't want to be my friend. response:	Does being with Yuki make you happy?
context: There's no need to get so angry.\Time for some beer.\Why won't you fish?! Why, why?!\Come on! Come on!\Yuki won't come out.\He'll come out eventually.\Yuki said he doesn't want to be my friend.\Does being with Yuki make you happy? response:	Happy?
context: Time for some beer.\Why won't you fish?! Why, why?!\Come on! Come on!\Yuki won't come out.\He'll come out eventually.\Yuki said he doesn't want to be my friend.\Does being with Yuki make you happy?\Happy? response:	When your heart feels like this.
context: Why won't you fish?! Why, why?!\Come on! Come on!\Yuki won't come out.\He'll come out eventually.\Yuki said he doesn't want to be my friend.\Does being with Yuki make you happy?\Happy?\When your heart feels like this. response:	Yes. It jumps.
context: Come on! Come on!\Yuki won't come out.\He'll come out eventually.\Yuki said he doesn't want to be my friend.\Does being with Yuki make you happy?\Happy?\When your heart feels like this.\Yes. It jumps. response:	Then you shouldn't bother him.
context: Yuki won't come out.\He'll come out eventually.\Yuki said he doesn't want to be my friend.\Does being with Yuki make you happy?\Happy?\When your heart feels like this.\Yes. It jumps.\Then you shouldn't bother him. response:	Bother?
context: He'll come out eventually.\Yuki said he doesn't want to be my friend.\Does being with Yuki make you happy?\Happy?\When your heart feels like this.\Yes. It jumps.\Then you shouldn't bother him.\Bother? response:	When Yuki wants to be alone, you should leave him alone.
context: Yuki said he doesn't want to be my friend.\Does being with Yuki make you happy?\Happy?\When your heart feels like this.\Yes. It jumps.\Then you shouldn't bother him.\Bother?\When Yuki wants to be alone, you should leave him alone. response:	Why?
context: Does being with Yuki make you happy?\Happy?\When your heart feels like this.\Yes. It jumps.\Then you shouldn't bother him.\Bother?\When Yuki wants to be alone, you should leave him alone.\Why? response:	When he wants to be alone, he's thinking about something.
context: Happy?\When your heart feels like this.\Yes. It jumps.\Then you shouldn't bother him.\Bother?\When Yuki wants to be alone, you should leave him alone.\Why?\When he wants to be alone, he's thinking about something. response:	About something important, I'm sure.
context: When your heart feels like this.\Yes. It jumps.\Then you shouldn't bother him.\Bother?\When Yuki wants to be alone, you should leave him alone.\Why?\When he wants to be alone, he's thinking about something.\About something important, I'm sure. response:	If I leave him alone, will Yuki be my friend?
context: Yes. It jumps.\Then you shouldn't bother him.\Bother?\When Yuki wants to be alone, you should leave him alone.\Why?\When he wants to be alone, he's thinking about something.\About something important, I'm sure.\If I leave him alone, will Yuki be my friend? response:	Yes. I'm sure he will.
context: Then you shouldn't bother him.\Bother?\When Yuki wants to be alone, you should leave him alone.\Why?\When he wants to be alone, he's thinking about something.\About something important, I'm sure.\If I leave him alone, will Yuki be my friend?\Yes. I'm sure he will. response:	Okay, I got it.
context: Bother?\When Yuki wants to be alone, you should leave him alone.\Why?\When he wants to be alone, he's thinking about something.\About something important, I'm sure.\If I leave him alone, will Yuki be my friend?\Yes. I'm sure he will.\Okay, I got it. response:	What's this?
context: When Yuki wants to be alone, you should leave him alone.\Why?\When he wants to be alone, he's thinking about something.\About something important, I'm sure.\If I leave him alone, will Yuki be my friend?\Yes. I'm sure he will.\Okay, I got it.\What's this? response:	It's nothing. Don't do it in front of Yuki.
context: Why?\When he wants to be alone, he's thinking about something.\About something important, I'm sure.\If I leave him alone, will Yuki be my friend?\Yes. I'm sure he will.\Okay, I got it.\What's this?\It's nothing. Don't do it in front of Yuki. response:	Okay.
context: When he wants to be alone, he's thinking about something.\About something important, I'm sure.\If I leave him alone, will Yuki be my friend?\Yes. I'm sure he will.\Okay, I got it.\What's this?\It's nothing. Don't do it in front of Yuki.\Okay. response:	Who do you think's going to suffer if you do that?
context: About something important, I'm sure.\If I leave him alone, will Yuki be my friend?\Yes. I'm sure he will.\Okay, I got it.\What's this?\It's nothing. Don't do it in front of Yuki.\Okay.\Who do you think's going to suffer if you do that? response:	Guys like you can't do anything.
context: If I leave him alone, will Yuki be my friend?\Yes. I'm sure he will.\Okay, I got it.\What's this?\It's nothing. Don't do it in front of Yuki.\Okay.\Who do you think's going to suffer if you do that?\Guys like you can't do anything. response:	What? If you have something to say, say it!
context: Yes. I'm sure he will.\Okay, I got it.\What's this?\It's nothing. Don't do it in front of Yuki.\Okay.\Who do you think's going to suffer if you do that?\Guys like you can't do anything.\What? If you have something to say, say it! response:	What is this feeling?
