context: Fast as Wind Quiet as a Forest Daring as Fire Immovable as a Mountain response:	I'm hungry.
context: Does it hurt?\Not really.\I'm sorry.\I didn't mean for you to get involved.\Huh?\Why are you apologizing?\I decided to tell him how I feel,\but for some reason, he was jealous of you response:	and derailed the conversation.
context: Not really.\I'm sorry.\I didn't mean for you to get involved.\Huh?\Why are you apologizing?\I decided to tell him how I feel,\but for some reason, he was jealous of you\and derailed the conversation. response:	Dammit.
context: I'm sorry.\I didn't mean for you to get involved.\Huh?\Why are you apologizing?\I decided to tell him how I feel,\but for some reason, he was jealous of you\and derailed the conversation.\Dammit. response:	Did I do something wrong?
context: I didn't mean for you to get involved.\Huh?\Why are you apologizing?\I decided to tell him how I feel,\but for some reason, he was jealous of you\and derailed the conversation.\Dammit.\Did I do something wrong? response:	I told her to wait.
context: Huh?\Why are you apologizing?\I decided to tell him how I feel,\but for some reason, he was jealous of you\and derailed the conversation.\Dammit.\Did I do something wrong?\I told her to wait. response:	Well, you make a nice couple,
context: Why are you apologizing?\I decided to tell him how I feel,\but for some reason, he was jealous of you\and derailed the conversation.\Dammit.\Did I do something wrong?\I told her to wait.\Well, you make a nice couple, response:	since you're so similar.
context: I decided to tell him how I feel,\but for some reason, he was jealous of you\and derailed the conversation.\Dammit.\Did I do something wrong?\I told her to wait.\Well, you make a nice couple,\since you're so similar. response:	There are two types of people.
context: but for some reason, he was jealous of you\and derailed the conversation.\Dammit.\Did I do something wrong?\I told her to wait.\Well, you make a nice couple,\since you're so similar.\There are two types of people. response:	Dumb people and smart people.
context: and derailed the conversation.\Dammit.\Did I do something wrong?\I told her to wait.\Well, you make a nice couple,\since you're so similar.\There are two types of people.\Dumb people and smart people. response:	You dumb people can only focus on one thing at a time.
context: Dammit.\Did I do something wrong?\I told her to wait.\Well, you make a nice couple,\since you're so similar.\There are two types of people.\Dumb people and smart people.\You dumb people can only focus on one thing at a time. response:	You can't see the big picture.
context: Did I do something wrong?\I told her to wait.\Well, you make a nice couple,\since you're so similar.\There are two types of people.\Dumb people and smart people.\You dumb people can only focus on one thing at a time.\You can't see the big picture. response:	I'm on this side.
context: I told her to wait.\Well, you make a nice couple,\since you're so similar.\There are two types of people.\Dumb people and smart people.\You dumb people can only focus on one thing at a time.\You can't see the big picture.\I'm on this side. response:	You guys are on the other side.
context: Well, you make a nice couple,\since you're so similar.\There are two types of people.\Dumb people and smart people.\You dumb people can only focus on one thing at a time.\You can't see the big picture.\I'm on this side.\You guys are on the other side. response:	What makes us so different?
context: since you're so similar.\There are two types of people.\Dumb people and smart people.\You dumb people can only focus on one thing at a time.\You can't see the big picture.\I'm on this side.\You guys are on the other side.\What makes us so different? response:	You wouldn't have to worry about
context: There are two types of people.\Dumb people and smart people.\You dumb people can only focus on one thing at a time.\You can't see the big picture.\I'm on this side.\You guys are on the other side.\What makes us so different?\You wouldn't have to worry about response:	any of this if you went out with me.
context: Dumb people and smart people.\You dumb people can only focus on one thing at a time.\You can't see the big picture.\I'm on this side.\You guys are on the other side.\What makes us so different?\You wouldn't have to worry about\any of this if you went out with me. response:	What was that?
context: You dumb people can only focus on one thing at a time.\You can't see the big picture.\I'm on this side.\You guys are on the other side.\What makes us so different?\You wouldn't have to worry about\any of this if you went out with me.\What was that? response:	It sounded like I was hitting on her.
context: You can't see the big picture.\I'm on this side.\You guys are on the other side.\What makes us so different?\You wouldn't have to worry about\any of this if you went out with me.\What was that?\It sounded like I was hitting on her. response:	How can he be so confident?
context: I'm on this side.\You guys are on the other side.\What makes us so different?\You wouldn't have to worry about\any of this if you went out with me.\What was that?\It sounded like I was hitting on her.\How can he be so confident? response:	Ow.
context: You guys are on the other side.\What makes us so different?\You wouldn't have to worry about\any of this if you went out with me.\What was that?\It sounded like I was hitting on her.\How can he be so confident?\Ow. response:	Oh, wow.
context: What makes us so different?\You wouldn't have to worry about\any of this if you went out with me.\What was that?\It sounded like I was hitting on her.\How can he be so confident?\Ow.\Oh, wow. response:	Ah, there's a bump.
context: You wouldn't have to worry about\any of this if you went out with me.\What was that?\It sounded like I was hitting on her.\How can he be so confident?\Ow.\Oh, wow.\Ah, there's a bump. response:	You should put some ice on it.
context: any of this if you went out with me.\What was that?\It sounded like I was hitting on her.\How can he be so confident?\Ow.\Oh, wow.\Ah, there's a bump.\You should put some ice on it. response:	Let's go.
context: What was that?\It sounded like I was hitting on her.\How can he be so confident?\Ow.\Oh, wow.\Ah, there's a bump.\You should put some ice on it.\Let's go. response:	I feel partially responsible.
context: It sounded like I was hitting on her.\How can he be so confident?\Ow.\Oh, wow.\Ah, there's a bump.\You should put some ice on it.\Let's go.\I feel partially responsible. response:	Huh?
context: How can he be so confident?\Ow.\Oh, wow.\Ah, there's a bump.\You should put some ice on it.\Let's go.\I feel partially responsible.\Huh? response:	Oh...
context: Ow.\Oh, wow.\Ah, there's a bump.\You should put some ice on it.\Let's go.\I feel partially responsible.\Huh?\Oh... response:	No, it's okay.
context: Oh, wow.\Ah, there's a bump.\You should put some ice on it.\Let's go.\I feel partially responsible.\Huh?\Oh...\No, it's okay. response:	Really?
context: Ah, there's a bump.\You should put some ice on it.\Let's go.\I feel partially responsible.\Huh?\Oh...\No, it's okay.\Really? response:	If you say so.
context: You should put some ice on it.\Let's go.\I feel partially responsible.\Huh?\Oh...\No, it's okay.\Really?\If you say so. response:	Why did my heart just skip a beat?
context: Let's go.\I feel partially responsible.\Huh?\Oh...\No, it's okay.\Really?\If you say so.\Why did my heart just skip a beat? response:	Well, you should stay away from Haru,
context: I feel partially responsible.\Huh?\Oh...\No, it's okay.\Really?\If you say so.\Why did my heart just skip a beat?\Well, you should stay away from Haru, response:	and stay away from me.
context: Huh?\Oh...\No, it's okay.\Really?\If you say so.\Why did my heart just skip a beat?\Well, you should stay away from Haru,\and stay away from me. response:	Why should I give a damn about him?
context: Oh...\No, it's okay.\Really?\If you say so.\Why did my heart just skip a beat?\Well, you should stay away from Haru,\and stay away from me.\Why should I give a damn about him? response:	You said that he's jealous?
context: No, it's okay.\Really?\If you say so.\Why did my heart just skip a beat?\Well, you should stay away from Haru,\and stay away from me.\Why should I give a damn about him?\You said that he's jealous? response:	What?
context: Really?\If you say so.\Why did my heart just skip a beat?\Well, you should stay away from Haru,\and stay away from me.\Why should I give a damn about him?\You said that he's jealous?\What? response:	Are you bragging?
context: If you say so.\Why did my heart just skip a beat?\Well, you should stay away from Haru,\and stay away from me.\Why should I give a damn about him?\You said that he's jealous?\What?\Are you bragging? response:	Bragging?
context: Why did my heart just skip a beat?\Well, you should stay away from Haru,\and stay away from me.\Why should I give a damn about him?\You said that he's jealous?\What?\Are you bragging?\Bragging? response:	That wasn't my intention.
context: Well, you should stay away from Haru,\and stay away from me.\Why should I give a damn about him?\You said that he's jealous?\What?\Are you bragging?\Bragging?\That wasn't my intention. response:	It just shows how much appeal you have.
context: and stay away from me.\Why should I give a damn about him?\You said that he's jealous?\What?\Are you bragging?\Bragging?\That wasn't my intention.\It just shows how much appeal you have. response:	Sasaki Seminar
context: Why should I give a damn about him?\You said that he's jealous?\What?\Are you bragging?\Bragging?\That wasn't my intention.\It just shows how much appeal you have.\Sasaki Seminar response:	Did you bring an umbrella?
context: You said that he's jealous?\What?\Are you bragging?\Bragging?\That wasn't my intention.\It just shows how much appeal you have.\Sasaki Seminar\Did you bring an umbrella? response:	Why?
context: What?\Are you bragging?\Bragging?\That wasn't my intention.\It just shows how much appeal you have.\Sasaki Seminar\Did you bring an umbrella?\Why? response:	It just shows how much appeal you have.
context: Are you bragging?\Bragging?\That wasn't my intention.\It just shows how much appeal you have.\Sasaki Seminar\Did you bring an umbrella?\Why?\It just shows how much appeal you have. response:	So she thinks I'm appealing?
context: Bragging?\That wasn't my intention.\It just shows how much appeal you have.\Sasaki Seminar\Did you bring an umbrella?\Why?\It just shows how much appeal you have.\So she thinks I'm appealing? response:	Crap...
context: That wasn't my intention.\It just shows how much appeal you have.\Sasaki Seminar\Did you bring an umbrella?\Why?\It just shows how much appeal you have.\So she thinks I'm appealing?\Crap... response:	I can't stop smiling.
context: It just shows how much appeal you have.\Sasaki Seminar\Did you bring an umbrella?\Why?\It just shows how much appeal you have.\So she thinks I'm appealing?\Crap...\I can't stop smiling. response:	Yes!
context: Sasaki Seminar\Did you bring an umbrella?\Why?\It just shows how much appeal you have.\So she thinks I'm appealing?\Crap...\I can't stop smiling.\Yes! response:	Y-Yuu-chan, hold on.
context: Did you bring an umbrella?\Why?\It just shows how much appeal you have.\So she thinks I'm appealing?\Crap...\I can't stop smiling.\Yes!\Y-Yuu-chan, hold on. response:	I just saw someone grinning like a fool.
context: Why?\It just shows how much appeal you have.\So she thinks I'm appealing?\Crap...\I can't stop smiling.\Yes!\Y-Yuu-chan, hold on.\I just saw someone grinning like a fool. response:	He did some kind of victory pose.
context: It just shows how much appeal you have.\So she thinks I'm appealing?\Crap...\I can't stop smiling.\Yes!\Y-Yuu-chan, hold on.\I just saw someone grinning like a fool.\He did some kind of victory pose. response:	Huh?
context: So she thinks I'm appealing?\Crap...\I can't stop smiling.\Yes!\Y-Yuu-chan, hold on.\I just saw someone grinning like a fool.\He did some kind of victory pose.\Huh? response:	What are you doing here, Yamaken?
context: Crap...\I can't stop smiling.\Yes!\Y-Yuu-chan, hold on.\I just saw someone grinning like a fool.\He did some kind of victory pose.\Huh?\What are you doing here, Yamaken? response:	Isn't your class over?
context: I can't stop smiling.\Yes!\Y-Yuu-chan, hold on.\I just saw someone grinning like a fool.\He did some kind of victory pose.\Huh?\What are you doing here, Yamaken?\Isn't your class over? response:	Are you lost again?
context: Yes!\Y-Yuu-chan, hold on.\I just saw someone grinning like a fool.\He did some kind of victory pose.\Huh?\What are you doing here, Yamaken?\Isn't your class over?\Are you lost again? response:	Buzz off.
context: Y-Yuu-chan, hold on.\I just saw someone grinning like a fool.\He did some kind of victory pose.\Huh?\What are you doing here, Yamaken?\Isn't your class over?\Are you lost again?\Buzz off. response:	Why are you still hanging around here?
context: I just saw someone grinning like a fool.\He did some kind of victory pose.\Huh?\What are you doing here, Yamaken?\Isn't your class over?\Are you lost again?\Buzz off.\Why are you still hanging around here? response:	Are you a stalker?
context: He did some kind of victory pose.\Huh?\What are you doing here, Yamaken?\Isn't your class over?\Are you lost again?\Buzz off.\Why are you still hanging around here?\Are you a stalker? response:	Not really.
context: Huh?\What are you doing here, Yamaken?\Isn't your class over?\Are you lost again?\Buzz off.\Why are you still hanging around here?\Are you a stalker?\Not really. response:	I kinda spaced out and now it's dark out.
context: What are you doing here, Yamaken?\Isn't your class over?\Are you lost again?\Buzz off.\Why are you still hanging around here?\Are you a stalker?\Not really.\I kinda spaced out and now it's dark out. response:	Wait, I just remembered...
context: Isn't your class over?\Are you lost again?\Buzz off.\Why are you still hanging around here?\Are you a stalker?\Not really.\I kinda spaced out and now it's dark out.\Wait, I just remembered... response:	He was definitely about to push me off.
context: Are you lost again?\Buzz off.\Why are you still hanging around here?\Are you a stalker?\Not really.\I kinda spaced out and now it's dark out.\Wait, I just remembered...\He was definitely about to push me off. response:	Am I in danger here?
context: Buzz off.\Why are you still hanging around here?\Are you a stalker?\Not really.\I kinda spaced out and now it's dark out.\Wait, I just remembered...\He was definitely about to push me off.\Am I in danger here? response:	Come on.
context: Why are you still hanging around here?\Are you a stalker?\Not really.\I kinda spaced out and now it's dark out.\Wait, I just remembered...\He was definitely about to push me off.\Am I in danger here?\Come on. response:	Will the bus stop work for you?
context: Are you a stalker?\Not really.\I kinda spaced out and now it's dark out.\Wait, I just remembered...\He was definitely about to push me off.\Am I in danger here?\Come on.\Will the bus stop work for you? response:	Or are you scared of me?
context: Not really.\I kinda spaced out and now it's dark out.\Wait, I just remembered...\He was definitely about to push me off.\Am I in danger here?\Come on.\Will the bus stop work for you?\Or are you scared of me? response:	Idiot, don't insult me.
context: I kinda spaced out and now it's dark out.\Wait, I just remembered...\He was definitely about to push me off.\Am I in danger here?\Come on.\Will the bus stop work for you?\Or are you scared of me?\Idiot, don't insult me. response:	Stop following me. It's creepy.
context: Wait, I just remembered...\He was definitely about to push me off.\Am I in danger here?\Come on.\Will the bus stop work for you?\Or are you scared of me?\Idiot, don't insult me.\Stop following me. It's creepy. response:	You probably think you're special because you
context: He was definitely about to push me off.\Am I in danger here?\Come on.\Will the bus stop work for you?\Or are you scared of me?\Idiot, don't insult me.\Stop following me. It's creepy.\You probably think you're special because you response:	got a higher grade than me.
context: Am I in danger here?\Come on.\Will the bus stop work for you?\Or are you scared of me?\Idiot, don't insult me.\Stop following me. It's creepy.\You probably think you're special because you\got a higher grade than me. response:	That's why you get bullied,
context: Come on.\Will the bus stop work for you?\Or are you scared of me?\Idiot, don't insult me.\Stop following me. It's creepy.\You probably think you're special because you\got a higher grade than me.\That's why you get bullied, response:	and I'm the one bullying you.
context: Will the bus stop work for you?\Or are you scared of me?\Idiot, don't insult me.\Stop following me. It's creepy.\You probably think you're special because you\got a higher grade than me.\That's why you get bullied,\and I'm the one bullying you. response:	Got it? So watch yourself, newbie.
context: Or are you scared of me?\Idiot, don't insult me.\Stop following me. It's creepy.\You probably think you're special because you\got a higher grade than me.\That's why you get bullied,\and I'm the one bullying you.\Got it? So watch yourself, newbie. response:	Got it, Yamaken.
context: Idiot, don't insult me.\Stop following me. It's creepy.\You probably think you're special because you\got a higher grade than me.\That's why you get bullied,\and I'm the one bullying you.\Got it? So watch yourself, newbie.\Got it, Yamaken. response:	Show some respect, Curly.
context: Stop following me. It's creepy.\You probably think you're special because you\got a higher grade than me.\That's why you get bullied,\and I'm the one bullying you.\Got it? So watch yourself, newbie.\Got it, Yamaken.\Show some respect, Curly. response:	Curly?
context: You probably think you're special because you\got a higher grade than me.\That's why you get bullied,\and I'm the one bullying you.\Got it? So watch yourself, newbie.\Got it, Yamaken.\Show some respect, Curly.\Curly? response:	And never walk in front of me.
context: got a higher grade than me.\That's why you get bullied,\and I'm the one bullying you.\Got it? So watch yourself, newbie.\Got it, Yamaken.\Show some respect, Curly.\Curly?\And never walk in front of me. response:	You okay, Tomio?
context: That's why you get bullied,\and I'm the one bullying you.\Got it? So watch yourself, newbie.\Got it, Yamaken.\Show some respect, Curly.\Curly?\And never walk in front of me.\You okay, Tomio? response:	Look out, Mabo!
context: and I'm the one bullying you.\Got it? So watch yourself, newbie.\Got it, Yamaken.\Show some respect, Curly.\Curly?\And never walk in front of me.\You okay, Tomio?\Look out, Mabo! response:	Hey, aren't you guys finished yet?
context: Got it? So watch yourself, newbie.\Got it, Yamaken.\Show some respect, Curly.\Curly?\And never walk in front of me.\You okay, Tomio?\Look out, Mabo!\Hey, aren't you guys finished yet? response:	Nice, Joji!
context: Got it, Yamaken.\Show some respect, Curly.\Curly?\And never walk in front of me.\You okay, Tomio?\Look out, Mabo!\Hey, aren't you guys finished yet?\Nice, Joji! response:	That's what you get!
context: Show some respect, Curly.\Curly?\And never walk in front of me.\You okay, Tomio?\Look out, Mabo!\Hey, aren't you guys finished yet?\Nice, Joji!\That's what you get! response:	Ow.
context: Curly?\And never walk in front of me.\You okay, Tomio?\Look out, Mabo!\Hey, aren't you guys finished yet?\Nice, Joji!\That's what you get!\Ow. response:	Hey.
context: And never walk in front of me.\You okay, Tomio?\Look out, Mabo!\Hey, aren't you guys finished yet?\Nice, Joji!\That's what you get!\Ow.\Hey. response:	Which one of you threw this guy?
context: You okay, Tomio?\Look out, Mabo!\Hey, aren't you guys finished yet?\Nice, Joji!\That's what you get!\Ow.\Hey.\Which one of you threw this guy? response:	You hit me.
context: Look out, Mabo!\Hey, aren't you guys finished yet?\Nice, Joji!\That's what you get!\Ow.\Hey.\Which one of you threw this guy?\You hit me. response:	Wait, aren't you...
context: Hey, aren't you guys finished yet?\Nice, Joji!\That's what you get!\Ow.\Hey.\Which one of you threw this guy?\You hit me.\Wait, aren't you... response:	Was it you?
context: Nice, Joji!\That's what you get!\Ow.\Hey.\Which one of you threw this guy?\You hit me.\Wait, aren't you...\Was it you? response:	Hey.
context: That's what you get!\Ow.\Hey.\Which one of you threw this guy?\You hit me.\Wait, aren't you...\Was it you?\Hey. response:	Huh?
context: Ow.\Hey.\Which one of you threw this guy?\You hit me.\Wait, aren't you...\Was it you?\Hey.\Huh? response:	You've changed.
context: Hey.\Which one of you threw this guy?\You hit me.\Wait, aren't you...\Was it you?\Hey.\Huh?\You've changed. response:	Yo-Yoshida-kun thinks you guys are his friends.
context: Which one of you threw this guy?\You hit me.\Wait, aren't you...\Was it you?\Hey.\Huh?\You've changed.\Yo-Yoshida-kun thinks you guys are his friends. response:	So, if you consider him a friend,
context: You hit me.\Wait, aren't you...\Was it you?\Hey.\Huh?\You've changed.\Yo-Yoshida-kun thinks you guys are his friends.\So, if you consider him a friend, response:	you should be honest with him!
context: Wait, aren't you...\Was it you?\Hey.\Huh?\You've changed.\Yo-Yoshida-kun thinks you guys are his friends.\So, if you consider him a friend,\you should be honest with him! response:	I've changed? Really?
context: Was it you?\Hey.\Huh?\You've changed.\Yo-Yoshida-kun thinks you guys are his friends.\So, if you consider him a friend,\you should be honest with him!\I've changed? Really? response:	I haven't changed.
context: Hey.\Huh?\You've changed.\Yo-Yoshida-kun thinks you guys are his friends.\So, if you consider him a friend,\you should be honest with him!\I've changed? Really?\I haven't changed. response:	Nothing's changed.
context: Huh?\You've changed.\Yo-Yoshida-kun thinks you guys are his friends.\So, if you consider him a friend,\you should be honest with him!\I've changed? Really?\I haven't changed.\Nothing's changed. response:	Shizuku's the one who keeps changing.
context: You've changed.\Yo-Yoshida-kun thinks you guys are his friends.\So, if you consider him a friend,\you should be honest with him!\I've changed? Really?\I haven't changed.\Nothing's changed.\Shizuku's the one who keeps changing. response:	I can only wonder if she's going
context: Yo-Yoshida-kun thinks you guys are his friends.\So, if you consider him a friend,\you should be honest with him!\I've changed? Really?\I haven't changed.\Nothing's changed.\Shizuku's the one who keeps changing.\I can only wonder if she's going response:	to leave me behind one of these days.
context: So, if you consider him a friend,\you should be honest with him!\I've changed? Really?\I haven't changed.\Nothing's changed.\Shizuku's the one who keeps changing.\I can only wonder if she's going\to leave me behind one of these days. response:	Makes me consider tearing off her arms and legs.
context: you should be honest with him!\I've changed? Really?\I haven't changed.\Nothing's changed.\Shizuku's the one who keeps changing.\I can only wonder if she's going\to leave me behind one of these days.\Makes me consider tearing off her arms and legs. response:	Your ideas are scary.
context: I've changed? Really?\I haven't changed.\Nothing's changed.\Shizuku's the one who keeps changing.\I can only wonder if she's going\to leave me behind one of these days.\Makes me consider tearing off her arms and legs.\Your ideas are scary. response:	Yeah.
context: I haven't changed.\Nothing's changed.\Shizuku's the one who keeps changing.\I can only wonder if she's going\to leave me behind one of these days.\Makes me consider tearing off her arms and legs.\Your ideas are scary.\Yeah. response:	Well, I wouldn't do it.
context: Nothing's changed.\Shizuku's the one who keeps changing.\I can only wonder if she's going\to leave me behind one of these days.\Makes me consider tearing off her arms and legs.\Your ideas are scary.\Yeah.\Well, I wouldn't do it. response:	No kidding!
context: Shizuku's the one who keeps changing.\I can only wonder if she's going\to leave me behind one of these days.\Makes me consider tearing off her arms and legs.\Your ideas are scary.\Yeah.\Well, I wouldn't do it.\No kidding! response:	That's why...
context: I can only wonder if she's going\to leave me behind one of these days.\Makes me consider tearing off her arms and legs.\Your ideas are scary.\Yeah.\Well, I wouldn't do it.\No kidding!\That's why... response:	I'm always looking up.
context: to leave me behind one of these days.\Makes me consider tearing off her arms and legs.\Your ideas are scary.\Yeah.\Well, I wouldn't do it.\No kidding!\That's why...\I'm always looking up. response:	Bye.
context: Makes me consider tearing off her arms and legs.\Your ideas are scary.\Yeah.\Well, I wouldn't do it.\No kidding!\That's why...\I'm always looking up.\Bye. response:	Yeah.
context: Your ideas are scary.\Yeah.\Well, I wouldn't do it.\No kidding!\That's why...\I'm always looking up.\Bye.\Yeah. response:	Yamaken.
context: Yeah.\Well, I wouldn't do it.\No kidding!\That's why...\I'm always looking up.\Bye.\Yeah.\Yamaken. response:	I wouldn't do that to Shizuku,
context: Well, I wouldn't do it.\No kidding!\That's why...\I'm always looking up.\Bye.\Yeah.\Yamaken.\I wouldn't do that to Shizuku, response:	but everyone else is fair game.
context: No kidding!\That's why...\I'm always looking up.\Bye.\Yeah.\Yamaken.\I wouldn't do that to Shizuku,\but everyone else is fair game. response:	Ow.
context: That's why...\I'm always looking up.\Bye.\Yeah.\Yamaken.\I wouldn't do that to Shizuku,\but everyone else is fair game.\Ow. response:	That was a lame threat.
context: I'm always looking up.\Bye.\Yeah.\Yamaken.\I wouldn't do that to Shizuku,\but everyone else is fair game.\Ow.\That was a lame threat. response:	Jealousy, huh?
context: Bye.\Yeah.\Yamaken.\I wouldn't do that to Shizuku,\but everyone else is fair game.\Ow.\That was a lame threat.\Jealousy, huh? response:	I don't think it's simple jealously.
context: Yeah.\Yamaken.\I wouldn't do that to Shizuku,\but everyone else is fair game.\Ow.\That was a lame threat.\Jealousy, huh?\I don't think it's simple jealously. response:	Whatever.
context: Yamaken.\I wouldn't do that to Shizuku,\but everyone else is fair game.\Ow.\That was a lame threat.\Jealousy, huh?\I don't think it's simple jealously.\Whatever. response:	You just sit tight.
context: I wouldn't do that to Shizuku,\but everyone else is fair game.\Ow.\That was a lame threat.\Jealousy, huh?\I don't think it's simple jealously.\Whatever.\You just sit tight. response:	Wow, Haru!
context: but everyone else is fair game.\Ow.\That was a lame threat.\Jealousy, huh?\I don't think it's simple jealously.\Whatever.\You just sit tight.\Wow, Haru! response:	You can become an entomologist when you grow up!
context: Ow.\That was a lame threat.\Jealousy, huh?\I don't think it's simple jealously.\Whatever.\You just sit tight.\Wow, Haru!\You can become an entomologist when you grow up! response:	We don't have a choice.
context: That was a lame threat.\Jealousy, huh?\I don't think it's simple jealously.\Whatever.\You just sit tight.\Wow, Haru!\You can become an entomologist when you grow up!\We don't have a choice. response:	It's what we have to put up with to stay in this house.
context: Jealousy, huh?\I don't think it's simple jealously.\Whatever.\You just sit tight.\Wow, Haru!\You can become an entomologist when you grow up!\We don't have a choice.\It's what we have to put up with to stay in this house. response:	Why did you run away from home?
context: I don't think it's simple jealously.\Whatever.\You just sit tight.\Wow, Haru!\You can become an entomologist when you grow up!\We don't have a choice.\It's what we have to put up with to stay in this house.\Why did you run away from home? response:	Did you think you could go back to Tone?
context: Whatever.\You just sit tight.\Wow, Haru!\You can become an entomologist when you grow up!\We don't have a choice.\It's what we have to put up with to stay in this house.\Why did you run away from home?\Did you think you could go back to Tone? response:	You're so dumb.
context: You just sit tight.\Wow, Haru!\You can become an entomologist when you grow up!\We don't have a choice.\It's what we have to put up with to stay in this house.\Why did you run away from home?\Did you think you could go back to Tone?\You're so dumb. response:	You and I have no place to go back to.
context: Wow, Haru!\You can become an entomologist when you grow up!\We don't have a choice.\It's what we have to put up with to stay in this house.\Why did you run away from home?\Did you think you could go back to Tone?\You're so dumb.\You and I have no place to go back to. response:	Yuzan!
context: You can become an entomologist when you grow up!\We don't have a choice.\It's what we have to put up with to stay in this house.\Why did you run away from home?\Did you think you could go back to Tone?\You're so dumb.\You and I have no place to go back to.\Yuzan! response:	Do you hate me now?
context: We don't have a choice.\It's what we have to put up with to stay in this house.\Why did you run away from home?\Did you think you could go back to Tone?\You're so dumb.\You and I have no place to go back to.\Yuzan!\Do you hate me now? response:	I wish I could.
context: It's what we have to put up with to stay in this house.\Why did you run away from home?\Did you think you could go back to Tone?\You're so dumb.\You and I have no place to go back to.\Yuzan!\Do you hate me now?\I wish I could. response:	Did you know, Haru?
context: Why did you run away from home?\Did you think you could go back to Tone?\You're so dumb.\You and I have no place to go back to.\Yuzan!\Do you hate me now?\I wish I could.\Did you know, Haru? response:	You're the reason we were brought to this house.
context: Did you think you could go back to Tone?\You're so dumb.\You and I have no place to go back to.\Yuzan!\Do you hate me now?\I wish I could.\Did you know, Haru?\You're the reason we were brought to this house. response:	I'm guessing you've never even tried to imagine
context: You're so dumb.\You and I have no place to go back to.\Yuzan!\Do you hate me now?\I wish I could.\Did you know, Haru?\You're the reason we were brought to this house.\I'm guessing you've never even tried to imagine response:	how I feel when I see you.
context: You and I have no place to go back to.\Yuzan!\Do you hate me now?\I wish I could.\Did you know, Haru?\You're the reason we were brought to this house.\I'm guessing you've never even tried to imagine\how I feel when I see you. response:	I've always wished that you didn't exist.
context: Yuzan!\Do you hate me now?\I wish I could.\Did you know, Haru?\You're the reason we were brought to this house.\I'm guessing you've never even tried to imagine\how I feel when I see you.\I've always wished that you didn't exist. response:	What are you doing, Haru?
context: Do you hate me now?\I wish I could.\Did you know, Haru?\You're the reason we were brought to this house.\I'm guessing you've never even tried to imagine\how I feel when I see you.\I've always wished that you didn't exist.\What are you doing, Haru? response:	Were you waiting for me?
context: I wish I could.\Did you know, Haru?\You're the reason we were brought to this house.\I'm guessing you've never even tried to imagine\how I feel when I see you.\I've always wished that you didn't exist.\What are you doing, Haru?\Were you waiting for me? response:	H-How am I supposed to react?
context: Did you know, Haru?\You're the reason we were brought to this house.\I'm guessing you've never even tried to imagine\how I feel when I see you.\I've always wished that you didn't exist.\What are you doing, Haru?\Were you waiting for me?\H-How am I supposed to react? response:	Should I be happy?
context: You're the reason we were brought to this house.\I'm guessing you've never even tried to imagine\how I feel when I see you.\I've always wished that you didn't exist.\What are you doing, Haru?\Were you waiting for me?\H-How am I supposed to react?\Should I be happy? response:	You're my hero, Shizuku.
context: I'm guessing you've never even tried to imagine\how I feel when I see you.\I've always wished that you didn't exist.\What are you doing, Haru?\Were you waiting for me?\H-How am I supposed to react?\Should I be happy?\You're my hero, Shizuku. response:	You're always there when I want to see you.
context: how I feel when I see you.\I've always wished that you didn't exist.\What are you doing, Haru?\Were you waiting for me?\H-How am I supposed to react?\Should I be happy?\You're my hero, Shizuku.\You're always there when I want to see you. response:	Huh? Weren't you waiting for me?
context: I've always wished that you didn't exist.\What are you doing, Haru?\Were you waiting for me?\H-How am I supposed to react?\Should I be happy?\You're my hero, Shizuku.\You're always there when I want to see you.\Huh? Weren't you waiting for me? response:	I love you...
context: What are you doing, Haru?\Were you waiting for me?\H-How am I supposed to react?\Should I be happy?\You're my hero, Shizuku.\You're always there when I want to see you.\Huh? Weren't you waiting for me?\I love you... response:	So why am I the only one who has to show restraint?
context: Were you waiting for me?\H-How am I supposed to react?\Should I be happy?\You're my hero, Shizuku.\You're always there when I want to see you.\Huh? Weren't you waiting for me?\I love you...\So why am I the only one who has to show restraint? response:	You've been restraining yourself?
context: H-How am I supposed to react?\Should I be happy?\You're my hero, Shizuku.\You're always there when I want to see you.\Huh? Weren't you waiting for me?\I love you...\So why am I the only one who has to show restraint?\You've been restraining yourself? response:	When and where?
context: Should I be happy?\You're my hero, Shizuku.\You're always there when I want to see you.\Huh? Weren't you waiting for me?\I love you...\So why am I the only one who has to show restraint?\You've been restraining yourself?\When and where? response:	I have.
context: You're my hero, Shizuku.\You're always there when I want to see you.\Huh? Weren't you waiting for me?\I love you...\So why am I the only one who has to show restraint?\You've been restraining yourself?\When and where?\I have. response:	I've been restraining myself like crazy.
context: You're always there when I want to see you.\Huh? Weren't you waiting for me?\I love you...\So why am I the only one who has to show restraint?\You've been restraining yourself?\When and where?\I have.\I've been restraining myself like crazy. response:	I wanted to storm in your class and mess everything up.
context: Huh? Weren't you waiting for me?\I love you...\So why am I the only one who has to show restraint?\You've been restraining yourself?\When and where?\I have.\I've been restraining myself like crazy.\I wanted to storm in your class and mess everything up. response:	If you do that, we're finished.
context: I love you...\So why am I the only one who has to show restraint?\You've been restraining yourself?\When and where?\I have.\I've been restraining myself like crazy.\I wanted to storm in your class and mess everything up.\If you do that, we're finished. response:	See?
