context: The be-in... response:	Why not return it?
context: Well, if it isn't Akko.\What's with those outfits?\We've received an invitation to the Earl of Hanbridge's manor.\His son, Lord Andrew, just earned unparalleled honors at his prestigious school.\A party is being held to celebrate the occasion.\For Andrew?\Andrew Hanbridge.\Run away! response:	I didn't expect that thing to be inside!
context: What's with those outfits?\We've received an invitation to the Earl of Hanbridge's manor.\His son, Lord Andrew, just earned unparalleled honors at his prestigious school.\A party is being held to celebrate the occasion.\For Andrew?\Andrew Hanbridge.\Run away!\I didn't expect that thing to be inside! response:	Honestly, you've got a fantastic school here!
context: We've received an invitation to the Earl of Hanbridge's manor.\His son, Lord Andrew, just earned unparalleled honors at his prestigious school.\A party is being held to celebrate the occasion.\For Andrew?\Andrew Hanbridge.\Run away!\I didn't expect that thing to be inside!\Honestly, you've got a fantastic school here! response:	How lovely!
context: His son, Lord Andrew, just earned unparalleled honors at his prestigious school.\A party is being held to celebrate the occasion.\For Andrew?\Andrew Hanbridge.\Run away!\I didn't expect that thing to be inside!\Honestly, you've got a fantastic school here!\How lovely! response:	You're going too, Diana?
context: A party is being held to celebrate the occasion.\For Andrew?\Andrew Hanbridge.\Run away!\I didn't expect that thing to be inside!\Honestly, you've got a fantastic school here!\How lovely!\You're going too, Diana? response:	Why wouldn't she be?
context: For Andrew?\Andrew Hanbridge.\Run away!\I didn't expect that thing to be inside!\Honestly, you've got a fantastic school here!\How lovely!\You're going too, Diana?\Why wouldn't she be? response:	The Hanbridge and Cavendish families share a long and illustrious noble bloodline.
context: Andrew Hanbridge.\Run away!\I didn't expect that thing to be inside!\Honestly, you've got a fantastic school here!\How lovely!\You're going too, Diana?\Why wouldn't she be?\The Hanbridge and Cavendish families share a long and illustrious noble bloodline. response:	Their families have been linked for over five hundred years.
context: Run away!\I didn't expect that thing to be inside!\Honestly, you've got a fantastic school here!\How lovely!\You're going too, Diana?\Why wouldn't she be?\The Hanbridge and Cavendish families share a long and illustrious noble bloodline.\Their families have been linked for over five hundred years. response:	I cannot embrace this.
context: I didn't expect that thing to be inside!\Honestly, you've got a fantastic school here!\How lovely!\You're going too, Diana?\Why wouldn't she be?\The Hanbridge and Cavendish families share a long and illustrious noble bloodline.\Their families have been linked for over five hundred years.\I cannot embrace this. response:	I would much rather be studying than wasting time at a party.
context: Honestly, you've got a fantastic school here!\How lovely!\You're going too, Diana?\Why wouldn't she be?\The Hanbridge and Cavendish families share a long and illustrious noble bloodline.\Their families have been linked for over five hundred years.\I cannot embrace this.\I would much rather be studying than wasting time at a party. response:	Hannah, Barbara, let us plan to leave early.
context: How lovely!\You're going too, Diana?\Why wouldn't she be?\The Hanbridge and Cavendish families share a long and illustrious noble bloodline.\Their families have been linked for over five hundred years.\I cannot embrace this.\I would much rather be studying than wasting time at a party.\Hannah, Barbara, let us plan to leave early. response:	Are you jealous?
context: You're going too, Diana?\Why wouldn't she be?\The Hanbridge and Cavendish families share a long and illustrious noble bloodline.\Their families have been linked for over five hundred years.\I cannot embrace this.\I would much rather be studying than wasting time at a party.\Hannah, Barbara, let us plan to leave early.\Are you jealous? response:	Don't you want to go to the party?
context: Why wouldn't she be?\The Hanbridge and Cavendish families share a long and illustrious noble bloodline.\Their families have been linked for over five hundred years.\I cannot embrace this.\I would much rather be studying than wasting time at a party.\Hannah, Barbara, let us plan to leave early.\Are you jealous?\Don't you want to go to the party? response:	Never ever, ever, ever!
context: The Hanbridge and Cavendish families share a long and illustrious noble bloodline.\Their families have been linked for over five hundred years.\I cannot embrace this.\I would much rather be studying than wasting time at a party.\Hannah, Barbara, let us plan to leave early.\Are you jealous?\Don't you want to go to the party?\Never ever, ever, ever! response:	Only nobility and the affluent are invited to the Earl's manor!
context: Their families have been linked for over five hundred years.\I cannot embrace this.\I would much rather be studying than wasting time at a party.\Hannah, Barbara, let us plan to leave early.\Are you jealous?\Don't you want to go to the party?\Never ever, ever, ever!\Only nobility and the affluent are invited to the Earl's manor! response:	Little Miss Dunce can just stay here and wash away the ice cream on her cheeks with tears of frustration.
context: I cannot embrace this.\I would much rather be studying than wasting time at a party.\Hannah, Barbara, let us plan to leave early.\Are you jealous?\Don't you want to go to the party?\Never ever, ever, ever!\Only nobility and the affluent are invited to the Earl's manor!\Little Miss Dunce can just stay here and wash away the ice cream on her cheeks with tears of frustration. response:	Damn them!
context: I would much rather be studying than wasting time at a party.\Hannah, Barbara, let us plan to leave early.\Are you jealous?\Don't you want to go to the party?\Never ever, ever, ever!\Only nobility and the affluent are invited to the Earl's manor!\Little Miss Dunce can just stay here and wash away the ice cream on her cheeks with tears of frustration.\Damn them! response:	Doesn't that piss you off, Sucy? Lotte?
context: Hannah, Barbara, let us plan to leave early.\Are you jealous?\Don't you want to go to the party?\Never ever, ever, ever!\Only nobility and the affluent are invited to the Earl's manor!\Little Miss Dunce can just stay here and wash away the ice cream on her cheeks with tears of frustration.\Damn them!\Doesn't that piss you off, Sucy? Lotte? response:	Not really. Couldn't care less.
context: Are you jealous?\Don't you want to go to the party?\Never ever, ever, ever!\Only nobility and the affluent are invited to the Earl's manor!\Little Miss Dunce can just stay here and wash away the ice cream on her cheeks with tears of frustration.\Damn them!\Doesn't that piss you off, Sucy? Lotte?\Not really. Couldn't care less. response:	Let's go, Akko.
context: Don't you want to go to the party?\Never ever, ever, ever!\Only nobility and the affluent are invited to the Earl's manor!\Little Miss Dunce can just stay here and wash away the ice cream on her cheeks with tears of frustration.\Damn them!\Doesn't that piss you off, Sucy? Lotte?\Not really. Couldn't care less.\Let's go, Akko. response:	I will! To the party!
context: Never ever, ever, ever!\Only nobility and the affluent are invited to the Earl's manor!\Little Miss Dunce can just stay here and wash away the ice cream on her cheeks with tears of frustration.\Damn them!\Doesn't that piss you off, Sucy? Lotte?\Not really. Couldn't care less.\Let's go, Akko.\I will! To the party! response:	Huh?
context: Only nobility and the affluent are invited to the Earl's manor!\Little Miss Dunce can just stay here and wash away the ice cream on her cheeks with tears of frustration.\Damn them!\Doesn't that piss you off, Sucy? Lotte?\Not really. Couldn't care less.\Let's go, Akko.\I will! To the party!\Huh? response:	Just taking that on the chin would put the good name of witches to shame!
context: Little Miss Dunce can just stay here and wash away the ice cream on her cheeks with tears of frustration.\Damn them!\Doesn't that piss you off, Sucy? Lotte?\Not really. Couldn't care less.\Let's go, Akko.\I will! To the party!\Huh?\Just taking that on the chin would put the good name of witches to shame! response:	I'm going, and that's final!
context: Damn them!\Doesn't that piss you off, Sucy? Lotte?\Not really. Couldn't care less.\Let's go, Akko.\I will! To the party!\Huh?\Just taking that on the chin would put the good name of witches to shame!\I'm going, and that's final! response:	Here where our long journey has finally led us
context: Doesn't that piss you off, Sucy? Lotte?\Not really. Couldn't care less.\Let's go, Akko.\I will! To the party!\Huh?\Just taking that on the chin would put the good name of witches to shame!\I'm going, and that's final!\Here where our long journey has finally led us response:	Here where our long journey has finally led us
context: Not really. Couldn't care less.\Let's go, Akko.\I will! To the party!\Huh?\Just taking that on the chin would put the good name of witches to shame!\I'm going, and that's final!\Here where our long journey has finally led us\Here where our long journey has finally led us response:	kakedashita hibi ni yukitsuita kono basho
context: Let's go, Akko.\I will! To the party!\Huh?\Just taking that on the chin would put the good name of witches to shame!\I'm going, and that's final!\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho response:	kakedashita hibi ni yukitsuita kono basho
context: I will! To the party!\Huh?\Just taking that on the chin would put the good name of witches to shame!\I'm going, and that's final!\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho response:	We can push open the door
context: Huh?\Just taking that on the chin would put the good name of witches to shame!\I'm going, and that's final!\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door response:	We can push open the door
context: Just taking that on the chin would put the good name of witches to shame!\I'm going, and that's final!\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door response:	fureta tobira hiraite
context: I'm going, and that's final!\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite response:	fureta tobira hiraite
context: Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite response:	In the footsteps of our dreams far beyond the stars
context: Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars response:	In the footsteps of our dreams far beyond the stars
context: kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars response:	hoshizora no kanata yume no ashiato
context: kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato response:	hoshizora no kanata yume no ashiato
context: We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato response:	Pick up the pieces with a song
context: We can push open the door\fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song response:	Pick up the pieces with a song
context: fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song response:	hiroiatsume utau yo
context: fureta tobira hiraite\In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo response:	hiroiatsume utau yo
context: In the footsteps of our dreams far beyond the stars\In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo response:	Keep the destination of your dreams nestled in your heart
context: In the footsteps of our dreams far beyond the stars\hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart response:	Keep the destination of your dreams nestled in your heart
context: hoshizora no kanata yume no ashiato\hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart response:	yume ga kaketeku basho ima mo kokoro ni himete
context: hoshizora no kanata yume no ashiato\Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete response:	yume ga kaketeku basho ima mo kokoro ni himete
context: Pick up the pieces with a song\Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete response:	And envelop the night
context: Pick up the pieces with a song\hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night response:	And envelop the night
context: hiroiatsume utau yo\hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night response:	yoru wo tsutsumikomu
context: hiroiatsume utau yo\Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night\yoru wo tsutsumikomu response:	yoru wo tsutsumikomu
context: Keep the destination of your dreams nestled in your heart\Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night\yoru wo tsutsumikomu\yoru wo tsutsumikomu response:	Cast a magic spell
context: Keep the destination of your dreams nestled in your heart\yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night\yoru wo tsutsumikomu\yoru wo tsutsumikomu\Cast a magic spell response:	Cast a magic spell
context: yume ga kaketeku basho ima mo kokoro ni himete\yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night\yoru wo tsutsumikomu\yoru wo tsutsumikomu\Cast a magic spell\Cast a magic spell response:	mahou kakete
context: yume ga kaketeku basho ima mo kokoro ni himete\And envelop the night\And envelop the night\yoru wo tsutsumikomu\yoru wo tsutsumikomu\Cast a magic spell\Cast a magic spell\mahou kakete response:	mahou kakete
context: And envelop the night\And envelop the night\yoru wo tsutsumikomu\yoru wo tsutsumikomu\Cast a magic spell\Cast a magic spell\mahou kakete\mahou kakete response:	And start to dance
context: And envelop the night\yoru wo tsutsumikomu\yoru wo tsutsumikomu\Cast a magic spell\Cast a magic spell\mahou kakete\mahou kakete\And start to dance response:	And start to dance
context: yoru wo tsutsumikomu\yoru wo tsutsumikomu\Cast a magic spell\Cast a magic spell\mahou kakete\mahou kakete\And start to dance\And start to dance response:	odoridasu
context: yoru wo tsutsumikomu\Cast a magic spell\Cast a magic spell\mahou kakete\mahou kakete\And start to dance\And start to dance\odoridasu response:	odoridasu
context: Cast a magic spell\Cast a magic spell\mahou kakete\mahou kakete\And start to dance\And start to dance\odoridasu\odoridasu response:	The landscape looks like it's burning brilliantly
context: Cast a magic spell\mahou kakete\mahou kakete\And start to dance\And start to dance\odoridasu\odoridasu\The landscape looks like it's burning brilliantly response:	The landscape looks like it's burning brilliantly
context: mahou kakete\mahou kakete\And start to dance\And start to dance\odoridasu\odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly response:	yaketsuita you ni irodzuita fuukei wa
context: mahou kakete\And start to dance\And start to dance\odoridasu\odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa response:	yaketsuita you ni irodzuita fuukei wa
context: And start to dance\And start to dance\odoridasu\odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa response:	But you can't see it fallen on the ground
context: And start to dance\odoridasu\odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground response:	But you can't see it fallen on the ground
context: odoridasu\odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground response:	koronda kurai ja tokenai kara
context: odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara response:	koronda kurai ja tokenai kara
context: The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara response:	The world will keep on turning
context: The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning response:	The world will keep on turning
context: yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning response:	sekai wa tsudzuku yo
context: yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo response:	sekai wa tsudzuku yo
context: But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo response:	Embrace the moment as if it'll never come again
context: But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again response:	Embrace the moment as if it'll never come again
context: koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again response:	hakanai mama no ima wo dakishimete
context: koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete response:	hakanai mama no ima wo dakishimete
context: The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete response:	Let's keep walking as we are with the light in our sights
context: The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights response:	Let's keep walking as we are with the light in our sights
context: sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights response:	kawaranai mama jikan to hikari mitsumete aruiteku
context: sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku response:	kawaranai mama jikan to hikari mitsumete aruiteku
context: Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku response:	The first thing we need are dresses. Magic dresses that'll make us the life of the party!
context: Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\The first thing we need are dresses. Magic dresses that'll make us the life of the party! response:	Little Witch Academia
context: hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\The first thing we need are dresses. Magic dresses that'll make us the life of the party!\Little Witch Academia response:	Little Witch Academia
context: hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\The first thing we need are dresses. Magic dresses that'll make us the life of the party!\Little Witch Academia\Little Witch Academia response:	Us?
context: Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\The first thing we need are dresses. Magic dresses that'll make us the life of the party!\Little Witch Academia\Little Witch Academia\Us? response:	Yes, we're going! And that includes you two.
context: Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\The first thing we need are dresses. Magic dresses that'll make us the life of the party!\Little Witch Academia\Little Witch Academia\Us?\Yes, we're going! And that includes you two. response:	R-Right...
context: kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\The first thing we need are dresses. Magic dresses that'll make us the life of the party!\Little Witch Academia\Little Witch Academia\Us?\Yes, we're going! And that includes you two.\R-Right... response:	So you want magic dresses...
context: kawaranai mama jikan to hikari mitsumete aruiteku\The first thing we need are dresses. Magic dresses that'll make us the life of the party!\Little Witch Academia\Little Witch Academia\Us?\Yes, we're going! And that includes you two.\R-Right...\So you want magic dresses... response:	Everything I've got is way out of reach for you.
context: The first thing we need are dresses. Magic dresses that'll make us the life of the party!\Little Witch Academia\Little Witch Academia\Us?\Yes, we're going! And that includes you two.\R-Right...\So you want magic dresses...\Everything I've got is way out of reach for you. response:	Could you change that?
context: Little Witch Academia\Little Witch Academia\Us?\Yes, we're going! And that includes you two.\R-Right...\So you want magic dresses...\Everything I've got is way out of reach for you.\Could you change that? response:	Well, then...
context: Little Witch Academia\Us?\Yes, we're going! And that includes you two.\R-Right...\So you want magic dresses...\Everything I've got is way out of reach for you.\Could you change that?\Well, then... response:	How's this?
context: Us?\Yes, we're going! And that includes you two.\R-Right...\So you want magic dresses...\Everything I've got is way out of reach for you.\Could you change that?\Well, then...\How's this? response:	What about this?
context: Yes, we're going! And that includes you two.\R-Right...\So you want magic dresses...\Everything I've got is way out of reach for you.\Could you change that?\Well, then...\How's this?\What about this? response:	Then this one.
context: R-Right...\So you want magic dresses...\Everything I've got is way out of reach for you.\Could you change that?\Well, then...\How's this?\What about this?\Then this one. response:	Fine, then how about this?
context: So you want magic dresses...\Everything I've got is way out of reach for you.\Could you change that?\Well, then...\How's this?\What about this?\Then this one.\Fine, then how about this? response:	A Cinderella set?
context: Everything I've got is way out of reach for you.\Could you change that?\Well, then...\How's this?\What about this?\Then this one.\Fine, then how about this?\A Cinderella set? response:	This was our bestseller a century ago.
context: Could you change that?\Well, then...\How's this?\What about this?\Then this one.\Fine, then how about this?\A Cinderella set?\This was our bestseller a century ago. response:	With a wave of your wand and the magic words, you, too, can become Cinderella.
context: Well, then...\How's this?\What about this?\Then this one.\Fine, then how about this?\A Cinderella set?\This was our bestseller a century ago.\With a wave of your wand and the magic words, you, too, can become Cinderella. response:	Buy now and I'll throw in a Snow White set, and even knock the whole shebang down to half price!
context: How's this?\What about this?\Then this one.\Fine, then how about this?\A Cinderella set?\This was our bestseller a century ago.\With a wave of your wand and the magic words, you, too, can become Cinderella.\Buy now and I'll throw in a Snow White set, and even knock the whole shebang down to half price! response:	All right, you've got a deal!
context: What about this?\Then this one.\Fine, then how about this?\A Cinderella set?\This was our bestseller a century ago.\With a wave of your wand and the magic words, you, too, can become Cinderella.\Buy now and I'll throw in a Snow White set, and even knock the whole shebang down to half price!\All right, you've got a deal! response:	Okay, let's do this!
context: Then this one.\Fine, then how about this?\A Cinderella set?\This was our bestseller a century ago.\With a wave of your wand and the magic words, you, too, can become Cinderella.\Buy now and I'll throw in a Snow White set, and even knock the whole shebang down to half price!\All right, you've got a deal!\Okay, let's do this! response:	Bubide!
context: Fine, then how about this?\A Cinderella set?\This was our bestseller a century ago.\With a wave of your wand and the magic words, you, too, can become Cinderella.\Buy now and I'll throw in a Snow White set, and even knock the whole shebang down to half price!\All right, you've got a deal!\Okay, let's do this!\Bubide! response:	B-Bubbi-babbi?
context: A Cinderella set?\This was our bestseller a century ago.\With a wave of your wand and the magic words, you, too, can become Cinderella.\Buy now and I'll throw in a Snow White set, and even knock the whole shebang down to half price!\All right, you've got a deal!\Okay, let's do this!\Bubide!\B-Bubbi-babbi? response:	Boo.
context: This was our bestseller a century ago.\With a wave of your wand and the magic words, you, too, can become Cinderella.\Buy now and I'll throw in a Snow White set, and even knock the whole shebang down to half price!\All right, you've got a deal!\Okay, let's do this!\Bubide!\B-Bubbi-babbi?\Boo. response:	This is supposed to be our carriage?
context: With a wave of your wand and the magic words, you, too, can become Cinderella.\Buy now and I'll throw in a Snow White set, and even knock the whole shebang down to half price!\All right, you've got a deal!\Okay, let's do this!\Bubide!\B-Bubbi-babbi?\Boo.\This is supposed to be our carriage? response:	It says here the magic will run out in two hours.
context: Buy now and I'll throw in a Snow White set, and even knock the whole shebang down to half price!\All right, you've got a deal!\Okay, let's do this!\Bubide!\B-Bubbi-babbi?\Boo.\This is supposed to be our carriage?\It says here the magic will run out in two hours. response:	I get it. No wonder he was sitting on that shelfwarmer.
context: All right, you've got a deal!\Okay, let's do this!\Bubide!\B-Bubbi-babbi?\Boo.\This is supposed to be our carriage?\It says here the magic will run out in two hours.\I get it. No wonder he was sitting on that shelfwarmer. response:	The Lord and Lady Rodester. We have been eagerly awaiting your arrival.
context: Okay, let's do this!\Bubide!\B-Bubbi-babbi?\Boo.\This is supposed to be our carriage?\It says here the magic will run out in two hours.\I get it. No wonder he was sitting on that shelfwarmer.\The Lord and Lady Rodester. We have been eagerly awaiting your arrival. response:	Look, that's it! Earl Hanbridge's manor!
context: Bubide!\B-Bubbi-babbi?\Boo.\This is supposed to be our carriage?\It says here the magic will run out in two hours.\I get it. No wonder he was sitting on that shelfwarmer.\The Lord and Lady Rodester. We have been eagerly awaiting your arrival.\Look, that's it! Earl Hanbridge's manor! response:	There's no way we'll be able to get in there...
context: B-Bubbi-babbi?\Boo.\This is supposed to be our carriage?\It says here the magic will run out in two hours.\I get it. No wonder he was sitting on that shelfwarmer.\The Lord and Lady Rodester. We have been eagerly awaiting your arrival.\Look, that's it! Earl Hanbridge's manor!\There's no way we'll be able to get in there... response:	Leave it to me!
context: Boo.\This is supposed to be our carriage?\It says here the magic will run out in two hours.\I get it. No wonder he was sitting on that shelfwarmer.\The Lord and Lady Rodester. We have been eagerly awaiting your arrival.\Look, that's it! Earl Hanbridge's manor!\There's no way we'll be able to get in there...\Leave it to me! response:	Metamorphie Faciesse!
context: This is supposed to be our carriage?\It says here the magic will run out in two hours.\I get it. No wonder he was sitting on that shelfwarmer.\The Lord and Lady Rodester. We have been eagerly awaiting your arrival.\Look, that's it! Earl Hanbridge's manor!\There's no way we'll be able to get in there...\Leave it to me!\Metamorphie Faciesse! response:	Now's our chance!
